"RJC1","Output10","TCU2","IMT3","GDJ4","USF5","FIW6","KYD7","DRF8","CRZ9"
39.753,"Class4",72,37.343,20.084,73.517,77.323,72.553,91.436,"C"
14.476,"Class2",36,48.081,32.003,33.004,74.936,27.92,44.148,NA
50.048,"Class4",60,25.686,19.585,72.531,52.847,45.719,94.346,"G"
47.703,"Class3",93,30.902,76.132,68.717,63.335,15.795,62.986,"A"
37.711,"Class2",56,72.139,31.274,36.764,82.9,25.73,48.01,"Q"
56.892,"Class3",75,54.797,75.966,42.868,48.749,17.098,63.091,"L"
32.604,"Class4",64,28.968,19.589,60.49,64.652,70.017,95.211,"F"
79.109,"Class3",97,21.422,92.662,98.678,33.756,27.517,74.327,"K"
4.504,"Class2",44,69.734,30.902,52.232,64.154,26.915,51.476,"K"
43.337,"Class1",51,55.762,78.406,26.975,37.997,68.388,24.283,NA
20.566,"Class2",40,61.038,31.173,31.441,86.354,25.199,53.791,"R"
42.098,"Class4",97,6.587,18.924,64.805,84.073,41.293,89.382,"F"
18.451,"Class2",26,65.775,31.917,52.693,65.961,27.183,53.865,"O"
54.684,"Class1",54,66.893,72.333,23.013,107.056,62.915,31.491,"J"
38.922,"Class4",85,28.661,18.891,60.456,50.934,77.85,93.78,"C"
16.178,"Class2",28,67.824,31.953,56.512,81.113,26.291,52.327,"Q"
39.586,"Class3",82,66.781,73.096,84.661,31.508,26.043,43.256,"J"
42.298,"Class1",54,50.058,69.382,48.896,43.112,70.492,32.702,"D"
29.807,"Class1",48,76.6,68.415,20.425,55.254,75.793,36.127,"H"
63.942,"Class3",68,32.697,97.541,78.057,56.391,18.382,68.491,"K"
42.568,"Class4",80,38.053,18.949,70.906,69.59,63.845,100.178,"G"
17.465,"Class1",58,76.534,76.644,17.298,33.296,55.939,30.495,"D"
57.121,"Class3",81,62.411,95.44,64.445,58.877,32.875,65.56,"A"
57.647,"Class3",80,40.596,59.16,50.888,69.111,27.213,72.777,"J"
4.612,"Class2",38,55.358,31.258,32.431,80.177,26.731,55.295,"Q"
72.643,"Class3",94,23.194,51.123,88.731,62.197,13.846,52.223,"X"
23.17,"Class2",40,63.332,31.335,34.53,60.131,25.651,43.812,"R"
6.477,"Class2",60,53.583,31.107,60.535,69.635,26.485,57.955,"R"
52.842,"Class3",90,53.552,94.204,44.518,65.031,21.471,50.562,"K"
67.047,"Class1",58,56.84,70.436,48.815,73.22,62.742,22.621,"J"
25.844,"Class2",31,74.888,31.637,47.416,88.49,26.857,47.124,"R"
29.752,"Class1",52,74.129,76.444,62.611,17.592,67.148,23.532,"H"
36.573,"Class1",47,46.378,72.138,47.541,56.606,61.978,35.789,"V"
-0.258,"Class1",55,67.129,59.222,54.517,84.933,53.404,30.506,"J"
70.45,"Class3",95,40.665,51.677,75.538,53.461,22.462,69.876,"L"
13.239,"Class2",50,NA,31.578,42.428,94.953,25.462,57.827,NA
58.62,"Class3",82,36.84,87.607,74.251,61.558,26.413,70.624,"A"
70.475,"Class3",81,59.878,80.684,96.051,51.592,31.023,56.469,"J"
23.544,"Class2",55,55.052,31.284,57.919,88.315,26.106,54.876,"K"
51.984,"Class3",91,44.242,79.972,77.21,73.376,23.906,70.01,"L"
53.621,"Class3",76,37.321,77.839,92,61.038,30.541,50.344,"K"
14.183,"Class2",42,57.615,31.549,37.215,81.981,26.462,43.15,"R"
52.385,"Class3",83,57.785,76.944,82.918,58.015,34.998,67.625,"K"
14.538,"Class2",38,86.665,31.259,60.841,86.118,25.731,50.734,"E"
55.863,"Class3",97,36.851,52.903,77.068,56.906,35.633,72.376,"J"
41.886,"Class4",53,39.259,19.332,52.014,56.365,57.559,92.075,"F"
51.45,"Class1",49,47.204,72.912,21.149,83.618,63.61,29.515,"H"
35.326,"Class4",67,39.354,19.202,67.329,49.07,47.95,89.722,"G"
67.523,"Class3",87,NA,55.299,46.107,51.928,23.254,50.676,"K"
-12.697,"Class1",61,62.692,66.501,60.023,65.434,54.202,27.917,"H"
53.982,"Class4",96,37.193,19.66,75.662,43.692,64.586,90.555,"C"
57.737,"Class3",95,NA,40.248,98.463,44.466,32.086,73.038,"X"
5.532,"Class2",29,NA,31.768,35.886,85.227,25.343,54.302,"K"
69.544,"Class3",90,44.129,39.976,78.445,64.143,20.387,59.991,NA
30.888,"Class2",61,52.251,31.17,31.208,81.481,27.597,53.981,"K"
-1.573,"Class2",32,70.566,31.546,46.165,79.353,25.093,49.256,"E"
45.065,"Class1",53,81.596,74.705,51.209,20.736,55.564,28.86,"V"
30.145,"Class1",59,61.748,62.302,19.666,35.541,60.429,24.056,"H"
16.261,"Class2",40,66.767,31.765,50.671,78.466,26.489,50.928,"Q"
84.211,"Class1",57,26.738,69.013,58.806,25.015,71.668,29.609,"O"
16.998,"Class2",62,62.701,31.102,46.35,70.44,25.418,58.909,"O"
20.674,"Class1",50,80.421,86.254,23.603,20.577,55.527,21.008,"H"
56.031,"Class3",68,31.893,101.125,94.232,69.719,26.924,51.835,"X"
54.683,"Class3",87,68.638,43.628,94.883,56.409,20.177,60.652,"L"
9.155,"Class2",32,93.7,31.759,39.079,89.881,26.037,46.105,"Q"
64.104,"Class3",90,17.428,69.286,93.885,78.264,23.464,81.563,"L"
67.503,"Class3",97,40.309,49.892,65.367,65.055,19.149,70.547,"A"
58.547,"Class4",66,27.079,18.581,57.939,42.865,43.311,97.239,"F"
11.953,"Class2",30,79.116,31.233,32.332,88.982,26.661,51.166,"R"
55.206,"Class3",95,26.046,43.318,96.148,69.343,18.106,52.203,"A"
4.481,"Class4",67,28.028,19.79,79.649,67.091,40.582,88.29,"R"
26.749,"Class2",61,95.362,31.289,38.299,88.765,26.508,46.252,"R"
36.328,"Class2",43,53.3,31.711,53.336,77.898,26.722,53.087,"R"
22.198,"Class4",58,29.472,19.307,80.515,40.195,50.516,99.275,"G"
24.227,"Class1",50,27.714,67.779,39.014,35.948,67.451,21.658,"J"
23.042,"Class1",52,31.68,86.49,62.584,88.267,69.63,23.969,"H"
31.385,"Class2",48,88.15,31.218,49.033,77.484,25.376,50.584,"O"
60.56,"Class3",90,26.218,70.561,47.573,47.728,30.8,60.65,"A"
66.138,"Class3",97,67.724,56.462,77.354,60.578,19.681,80.29,"X"
15.94,"Class1",58,44.725,66.113,37.571,86.842,77.12,19.612,"H"
56.218,"Class3",89,50.405,78.21,93.917,41.907,34.195,59.303,"J"
13.162,"Class1",53,70.276,76.412,44.77,40.354,70.136,21.652,"J"
66.541,"Class4",96,11.2,18.481,73.106,54.242,50.172,94.206,"T"
25.33,"Class2",43,81.507,31.211,33.237,83.829,25.122,49.726,"Q"
49.105,"Class1",52,57.046,72.127,31.453,32.436,77.878,35.834,"V"
7.608,"Class2",37,86.325,31.638,56.592,74.789,25.401,53.202,"K"
23.615,"Class4",79,34.954,17.977,79.246,68.1,52.178,93.821,"G"
-1.858,"Class1",54,78.418,72.883,43.601,82.937,75.51,27.111,"O"
24.785,"Class1",59,70.366,77.668,31.61,66.142,69.806,26.942,"J"
35.185,"Class4",98,18.942,18.922,58.351,53.857,62.37,91.299,"C"
16.09,"Class1",57,24.256,78.386,56.605,54.553,59.252,28.035,"J"
3.251,"Class2",60,68.053,31.783,60.41,98.457,27.65,53.638,"K"
29.829,"Class2",30,55.978,30.776,56.376,85.476,27.643,53.133,"O"
22.588,"Class2",53,70.152,31.583,61.366,85.27,25.592,58.801,"K"
56.392,"Class3",95,65.363,68.63,45.97,56.092,19.106,60.282,"K"
25.665,"Class4",86,32.734,19.017,55.623,38.744,46.909,99.343,"C"
62.567,"Class3",78,63.667,76.918,71.047,44.925,21.888,57.407,"A"
4.657,"Class1",51,77.381,59.917,61.471,45.087,74.817,34.023,"H"
29.161,"Class4",82,8.976,20.065,76.816,69.106,48.149,100.525,"T"
17.279,"Class1",47,77.577,61.561,37.363,71.323,64.797,26.076,"D"
34.959,"Class2",49,92.456,31.219,35.924,90.274,26.438,52.55,"O"
69.333,"Class3",94,16.721,87.255,55.629,65.133,23.348,53.816,"K"
36.544,"Class4",69,NA,19.271,59.296,44.757,54.211,90.153,"F"
60.476,"Class3",89,27.027,60.078,79.462,76.327,25.543,50.74,"L"
28.156,"Class2",33,57.629,31.328,56.17,101.345,25.402,53.591,"Q"
58.09,"Class3",90,60.534,60.196,67.665,42.09,30.105,85.406,"A"
18.135,"Class2",43,65.508,31.731,60.893,64.822,25.967,57.631,"O"
40.12,"Class1",56,91.403,82.721,42.091,52.023,58.302,27.912,"V"
62.061,"Class3",97,66.867,38.894,68.496,65.357,21.667,72.847,"J"
14.197,"Class2",31,69.04,31.504,42.326,88.977,27.957,55.033,"Q"
26.166,"Class2",59,74.861,31.413,52.833,80.881,27.578,57.905,"E"
14.337,"Class1",56,60.784,72.154,32.03,72.455,77.51,35.546,"V"
44.376,"Class1",54,77.617,66.277,54.376,38.094,53.551,31.104,"V"
68.053,"Class3",80,53.55,69.105,85.212,77.569,18.143,67.349,NA
19.95,"Class2",55,81.622,31.554,32.308,93.169,26.304,54.72,"O"
41.055,"Class1",56,34.799,75.289,30.425,54.336,74.777,37.085,"V"
27.121,"Class1",61,58.538,81.305,28.006,67.211,53.945,28.573,"V"
33.083,"Class2",38,94.475,31.048,58.26,77.063,27.971,45.644,"K"
49.916,"Class4",92,21.8,19.432,79.215,44.135,54.412,89.225,"T"
53.194,"Class4",92,26.238,18.643,57.881,45.979,57.327,101.701,"G"
24.012,"Class4",92,33.805,19.402,67.513,65.709,51.666,94.822,"T"
46.685,"Class1",54,89.986,71.251,30.4,68.079,72.919,29.646,"V"
16.254,"Class2",53,79.214,30.97,33.357,94.876,26.982,54.825,"E"
43.153,"Class1",52,53.353,75.985,38.79,57.118,54.886,34.756,"D"
69.62,"Class3",68,52.35,56.279,86.757,45.723,18.308,68.315,"K"
31.918,"Class2",54,86.435,32.005,44.483,85.27,27.923,57.811,"E"
19.454,"Class1",49,38.917,68.857,56.754,11.222,60.111,28.353,"D"
44.507,"Class3",69,27.27,67.116,61.622,76.897,16.614,48.879,"J"
41.498,"Class3",89,NA,56.885,98.609,46.57,24.595,59.613,"X"
16.305,"Class2",25,88.385,31.621,50.737,62.254,26.373,49.009,"K"
34.957,"Class4",69,20.481,19.111,74.553,49.585,52.606,98.04,NA
29.312,"Class1",48,65.536,67.511,25.367,76.874,54.379,21.967,NA
48.514,"Class3",89,56.298,45.264,78.247,66.058,24.056,58.434,"A"
22.089,"Class2",51,92.279,32.113,38.817,82.802,25.44,48.776,"O"
3.344,"Class4",81,28.127,17.493,60.675,68.126,49.061,93.122,"T"
23.553,"Class2",44,67.213,30.926,57.787,74.295,25.229,59.657,"R"
24.597,"Class4",83,6.285,18.374,73.439,55.227,78.294,93.626,"C"
20.717,"Class2",35,60.239,31.89,33.415,74.589,26.079,60.257,"O"
21.089,"Class2",26,85.363,31.969,35.892,106.473,27.476,53.15,"E"
54.62,"Class3",86,22.01,106.865,59.486,76.67,29.141,50.927,"L"
16.089,"Class1",47,29.138,75.496,34.698,53.588,74.947,22.683,"V"
19.796,"Class4",70,23.274,18.651,64.905,60.157,66.363,91.649,"C"
24.211,"Class4",66,13.641,19.516,56.793,55.796,41.989,91.751,"G"
6.004,"Class2",55,76.442,31.29,37.134,88.126,25.617,51.509,"R"
12.022,"Class2",55,71.393,32.278,55.614,80.602,27.082,55.377,"Q"
55.782,"Class4",55,41.424,19.077,54.454,67.795,51.487,96.085,"R"
6.623,"Class2",42,56.593,31.733,44.767,90.698,25.394,48.392,"E"
20.126,"Class2",39,89.868,31.153,33.089,75.477,26.48,60.125,NA
62.316,"Class3",82,27.084,72.61,89.32,87.531,25.404,61.435,"L"
63.026,"Class3",88,23.326,80.387,95.256,43.398,16.088,66.763,"K"
1.193,"Class2",52,72.656,31.374,53.476,76.122,26.347,52.107,"E"
62.243,"Class3",90,51.781,94.384,50.085,60.518,29.073,58.538,"X"
15.541,"Class2",57,86.374,31.844,36.935,83.451,27.988,56.187,"Q"
57.595,"Class3",79,67.551,62.066,89.126,48.607,34.911,62.308,"J"
55.298,"Class4",94,13.742,19.648,79.646,25.521,64.15,96.72,"G"
8.954,"Class2",45,70.904,31.49,44.266,76.595,25.488,52.267,"K"
19.271,"Class2",47,75.925,31.535,56.359,83.447,27.152,61.066,"R"
59.65,"Class4",80,39.232,18.352,77.147,32.872,63.547,97.137,"C"
72.112,"Class3",90,56.013,67.277,49.15,48.056,13.247,61.937,"J"
25.487,"Class1",53,53.13,81.646,56.699,57.819,72.936,22.613,"D"
13.605,"Class2",28,NA,31.852,47.318,81.827,25.66,61.357,"O"
71.872,"Class3",70,60.118,49.332,83.397,71.033,19.843,53.764,"L"
18.175,"Class1",50,72.734,76.334,18.262,27.067,57.7,31.44,"O"
17.577,"Class2",37,59.143,31.355,50.15,85.758,26.054,58.815,"K"
14.749,"Class1",58,52.85,71.978,55.637,51.875,67.626,26.92,"D"
73.75,"Class3",76,42.183,52.416,53.33,53.803,17.786,39.537,"A"
12.59,"Class4",60,42.972,17.343,76.681,37.413,59.625,94.118,"R"
18.864,"Class2",31,85.943,31.721,46.648,89.18,25.282,56.218,"K"
31.133,"Class1",47,65.397,76.496,62.695,20.393,57.65,25.605,"J"
16.874,"Class2",59,63.829,30.788,45.27,88.749,25.131,56.176,"O"
41.2,"Class1",54,47.241,67.386,27.986,43.1,62.084,30.119,"D"
65.107,"Class3",84,35.672,63.676,62.648,55.468,24.535,39.554,"X"
0.692,"Class1",54,30.512,80.407,34.865,65.817,74.557,25.387,"O"
33.634,"Class4",82,34.487,19.011,75.343,29.664,56.323,95.026,"G"
56.597,"Class1",53,28.728,79.488,43.084,46.878,68.438,29.777,"J"
21.437,"Class2",59,70.49,31.906,48.937,61.981,26.694,52.514,"R"
16.802,"Class2",46,88.151,31.794,52.273,75.911,27.714,53.327,"K"
45.521,"Class3",90,NA,82.189,83.888,79.047,25.144,35.97,"L"
50.544,"Class3",77,28.657,72.08,96.356,60.828,32.94,59.667,"J"
28.986,"Class4",53,15.756,17.771,54.305,11.723,39.526,100.809,"G"
51.132,"Class4",73,19.858,18.81,58.284,74.749,43.714,89.28,"G"
31.094,"Class1",52,78.155,78.666,29.147,61.449,65.422,27.719,"J"
12.522,"Class1",61,65.569,68.627,62.363,44.627,66.045,38.294,"V"
42.511,"Class3",72,21.578,103.724,72.162,70.467,20.007,65.956,"L"
0.529,"Class1",51,70.155,79.235,33.361,42.936,77.141,36.771,"H"
4.085,"Class1",59,78.044,65.687,49.669,61.024,75.828,28.662,"D"
12.059,"Class2",28,59.672,31.327,52.735,90.741,25.881,52.036,"E"
63.533,"Class4",67,10.258,18.197,56.428,65.817,58.133,90.127,NA
36.801,"Class1",61,25.876,72.96,59.68,52.143,61.069,37.223,"V"
16.347,"Class2",26,88.728,30.995,46.799,78.893,27.33,55.401,"O"
7.636,"Class2",47,75.64,31.51,30.62,91.183,25.036,55.498,"O"
45.002,"Class4",54,5.428,18.327,77.66,59.906,73.687,94.89,"G"
33.344,"Class1",54,NA,74.347,60.534,51.787,61.248,26.465,"J"
18.959,"Class2",60,65.73,31.366,42.094,84.055,26.584,58.107,"E"
13.366,"Class4",59,27.008,19.38,56.067,30.52,62.691,96.133,"T"
13.665,"Class2",48,63.85,31.223,61.976,95.872,27.271,50.879,"E"
47.309,"Class3",81,47.54,71.468,55.124,70.276,13.783,49.192,"L"
49.812,"Class3",71,19.481,57.231,74.315,64.487,19.947,40.743,"L"
52.58,"Class3",78,44.734,57.472,53.17,53.97,34.052,53.122,"J"
45.998,"Class4",61,17.597,19.805,73.815,61.256,71.268,94.025,"C"
31.438,"Class4",53,43.853,19.029,56.71,40.662,61.662,95.021,"C"
19.146,"Class2",61,74.938,31.464,44.017,98.816,27.861,52.518,"R"
20.754,"Class1",60,79.303,91.006,56.808,52.072,56.776,23.193,"O"
29.509,"Class2",38,64.751,31.511,37.645,102.655,25.953,61.673,"O"
55.822,"Class4",95,18.327,19.978,66.625,52.155,44.368,97.285,"F"
57.633,"Class3",77,54.918,84.555,68.145,75.516,34.679,44.994,"L"
6.796,"Class2",34,70.94,31.35,43.566,83.446,27.33,55.083,"R"
61.5,"Class4",80,12.94,18.601,60.044,42.058,42.663,92.313,"G"
45.632,"Class4",97,11.832,17.696,68.879,59.139,66.005,96.857,"T"
46.366,"Class1",49,52.518,74.428,30.685,85.022,71.472,26.426,"V"
37.411,"Class4",59,17.597,19.514,68.557,54.353,58.549,97.515,"C"
60.716,"Class3",80,54.113,64.278,84.566,59.06,29.978,58.997,NA
38.841,"Class4",91,15.758,19.469,60.596,56.911,56.34,94.664,"C"
39.768,"Class4",78,NA,19.311,58.949,58.501,69.541,92.743,"T"
61.075,"Class3",71,61.919,65.326,85.753,63.827,22.643,55.134,"J"
42.077,"Class1",48,NA,72.561,32.674,25.018,63.967,34.261,"H"
57.687,"Class3",71,53.636,99.339,49.109,67.455,18.214,61.398,"X"
22.972,"Class2",46,48.6,32.055,60.859,82.819,27.5,46.903,"O"
22.023,"Class4",74,24.116,19.898,63.41,75.597,65.878,89.148,"F"
85.271,"Class3",91,47.479,83.396,91.344,66.943,28.462,63.813,"A"
8.591,"Class2",34,53.734,31.759,48.369,63.899,27.137,57.473,"O"
34.332,"Class4",97,33.292,18.382,61.724,79.718,75.923,94.908,"C"
20.094,"Class1",58,75.764,64.442,32.226,68.872,72.695,31.758,"V"
54.416,"Class3",87,28.159,60.693,41.7,90.12,25.982,39.243,"K"
9.429,"Class2",34,69.912,31.701,42.34,90.673,25.258,50.833,"O"
36.305,"Class1",58,91.818,74.877,49.33,69.478,73.016,33.926,"J"
7.837,"Class2",54,72.307,30.912,51.345,109.829,26.571,49.669,"K"
39.4,"Class1",59,33.44,75.697,62.4,99.733,76.971,30.209,"J"
42.718,"Class1",61,24.416,75.682,15.503,83.102,71.809,40.411,"O"
41.24,"Class1",51,90.727,64.14,45.742,36.292,60.194,31.397,"V"
45.902,"Class4",90,28.206,18.409,69.2,45.286,47.505,89.695,"R"
29.32,"Class2",42,64.432,31.768,31.795,71.901,25.462,42.242,"E"
16.956,"Class2",46,92.223,31.667,60.401,77.031,27.777,48.361,"K"
21.121,"Class4",82,18.596,19.625,66.128,61.282,75.41,95.013,"G"
54.424,"Class4",61,21.583,19.46,67.936,53.781,59.154,97.401,"G"
17.052,"Class4",59,36.721,20.509,80.795,67.455,71.103,95.287,NA
72.489,"Class3",76,60.075,53.107,65.296,51.945,18.274,67.945,"J"
15.067,"Class2",49,60.53,31.342,44.491,104.722,25.341,61.247,"E"
67.787,"Class3",94,28.268,41.752,85.485,42.156,21.905,48.795,"L"
27.731,"Class2",47,89.699,31.568,45.649,86.323,26.06,53.213,"Q"
67.502,"Class3",88,25.387,39.85,56.375,54.989,32.191,61.239,"J"
