"Output18","ZIH1","RJM2","FDT3","CJE4","JHD5","VMR6","BAW7","CBE8","MCU9","UTK10","XLS11"
"Class2",29.132,41.942,14.638,56.152,42.658,87,81.775,82,28.859,55.215,"U"
"Class2",33.922,42.386,22.917,19.259,41.498,87,74.876,79,12.9,18.046,"Q"
"Class1",10.737,48.2,83.085,35.529,90.371,NA,70.454,15,49.637,65.634,"U"
"Class1",11.016,46.264,88.001,36.185,51.069,16,53.574,11,29.464,47.989,"W"
"Class1",14.019,23.683,69.826,35.395,81.078,30,52.505,15,9.371,65.509,"L"
"Class1",13.877,34.084,85.278,36.12,58.597,NA,75.518,38,39.814,48.742,"E"
"Class2",34.376,63.309,24.635,41.475,14.75,86,81.858,38,36.25,115.63,"Y"
"Class1",14.909,48.599,74.593,36.894,39.265,54,62.456,85,11.653,48.204,"U"
"Class1",12.666,31.888,70.264,36.001,57.315,39,53.252,43,25.088,57.583,"L"
"Class1",14.519,16.799,86.129,35.614,62.47,26,58.899,9,47.319,71.516,"E"
"Class2",24.117,47.999,27.4,33.017,21.565,87,73.097,90,22.726,87.497,"Y"
"Class2",23.585,48.893,27.532,25.642,13.41,85,82.043,80,33.187,51.321,"L"
"Class1",12.323,31.266,68.853,35.229,82.268,54,80.19,26,11.369,73.796,"E"
"Class1",12.095,13.775,70.869,35.003,57.648,16,73.655,15,37.68,68.62,"E"
"Class1",10.795,21.828,79.793,36.161,51.358,33,71.032,81,41.335,35.438,"U"
"Class1",15.404,49.136,84.04,36.686,84.058,29,80.822,24,39.645,50.601,"U"
"Class1",12.638,36.313,73.584,35.656,78.136,34,102.905,11,46.788,67.51,"K"
"Class1",15.785,28.579,85.618,35.424,24.306,40,71.18,21,15.365,73.52,"W"
"Class2",42.452,18.696,15.42,19.643,21.136,87,73.527,43,21.255,47.352,"L"
"Class2",22.939,40.236,26.792,30.637,50.834,85,83.247,65,42.657,86.973,"N"
"Class2",32.061,43.818,19.17,25.718,13.231,86,71.223,73,35.17,50.264,"L"
"Class1",14.229,36.614,86.961,35.871,45.282,41,68.86,25,23.867,66.784,"L"
"Class1",11.012,37.132,70.254,36.193,42.05,28,67.201,68,30.062,48.942,"W"
"Class2",11.811,-3.4,22.925,39.842,24.629,87,76.447,31,17.078,52.185,"Y"
"Class1",12.974,30.338,68.777,35.401,74.639,56,73.389,20,16.603,21.444,"W"
"Class1",15.454,30.199,81.753,35.927,21.458,60,64.056,67,35.002,56.655,"L"
"Class2",22.654,37.37,21.054,33.955,28.574,87,80.566,69,23.105,79.103,"Y"
"Class1",15.186,47.992,69.9,36.4,41.377,29,82.091,76,22.701,43.89,"W"
"Class2",35.014,36.984,26.741,21.434,27.72,87,78.296,73,22.657,94.19,"Q"
"Class1",12.382,39.068,79.61,36.63,31.688,56,66.852,75,43.894,68.773,"K"
"Class2",34.422,16.99,26.747,19.161,16.792,87,92.154,76,28.405,25.276,"N"
"Class2",37.002,46.944,27.724,47.767,22.782,87,78.344,67,36.047,76.975,"Q"
"Class1",14.199,34.206,75.794,35.481,37.358,61,60.987,34,19.961,70.491,"K"
"Class2",33.423,13.053,21.231,58.915,43.819,86,75.442,47,24.009,54.417,"Q"
"Class2",41.388,9.42,13.561,55.567,34,86,79.268,53,28.583,55.756,"N"
"Class1",13.231,30.459,88.952,36.682,47.069,26,92.483,45,35.201,56.572,"W"
"Class2",29.744,20.707,14.676,42.654,35.847,87,74.016,91,32.09,31.053,"Y"
"Class2",18.195,23.483,15.703,30.544,40.926,86,81.563,47,25.27,74.251,"Q"
"Class1",14.414,25.491,84.801,36.176,72.725,32,40.382,15,25.225,66.274,"L"
"Class1",16.522,32.893,88.562,36.062,68.988,53,83.899,84,27.559,78.31,"L"
"Class1",15.516,28.453,78.781,35.799,76.161,NA,76.313,37,37.178,81.624,"U"
"Class1",15.53,22.762,78.369,35.792,25.315,60,89.929,84,25.32,78.364,NA
"Class1",12.549,21.502,76.502,36.836,26.332,60,58.573,11,50.273,36.492,"K"
"Class2",26.559,18.744,14.471,31.58,12.943,87,82.184,63,36.678,35.101,"U"
"Class2",16.506,9.16,18.275,25.006,30,NA,70.843,40,42.289,41.939,"Q"
"Class2",2.484,-18.631,26.956,30.158,32.465,87,79.913,43,19.642,86.504,"N"
"Class1",13.502,39.248,80.117,35.73,74.292,61,73.617,25,24.051,52.987,"K"
"Class2",38.084,30.655,27.648,26.269,26.052,87,86.783,68,17.241,24.839,"Y"
"Class2",40.894,23.076,25.977,34.692,39.631,87,75.68,85,40.052,64.347,"N"
"Class1",12.973,29.537,66.809,36.468,86.19,58,61.731,39,15.446,48.82,"L"
"Class2",43.093,22.428,23.446,30.741,17.287,87,78.285,57,16.418,70.795,"L"
"Class2",20.657,58.952,13.863,39.965,36.482,87,76.851,39,40.976,19.768,"U"
"Class2",17.277,57.85,14.414,21.264,49.739,86,76.577,45,40.485,61.39,"U"
"Class1",13.876,26.34,73.424,36.519,46.02,58,58.647,26,26.084,58.853,"U"
"Class1",13.852,32.078,86.421,36.905,52.339,39,36.459,10,45.557,49.917,"L"
"Class1",13.002,26.63,69.381,35.465,62.822,16,102.014,58,21.426,57.21,"W"
"Class2",42.432,40.686,22.213,28.073,16.087,85,79.001,54,14.429,79.325,"Q"
"Class2",24.006,58.854,21.036,58.231,22.46,87,79.82,51,40.797,50.444,"Y"
"Class1",15.257,18.589,80.956,35.984,50.485,39,68.062,37,15.303,103.238,"L"
"Class2",25.293,38.735,27.153,48.158,50.326,87,87.705,59,38.011,62.262,"U"
"Class1",12.951,33.428,81.264,36.482,19.382,26,85.683,36,19.638,43.188,"W"
"Class2",27.499,-13.477,27.082,58.687,42.501,87,87.524,76,30.902,69.506,"Q"
"Class1",15.752,16.095,83.162,35.494,92.77,44,65.26,53,29.165,57.189,"L"
"Class2",26.7,43.888,21.211,51.383,40.582,87,78.812,34,22.796,83.955,"U"
"Class1",15.489,15.618,72.221,36.252,35.545,56,95.924,36,31.509,71.314,NA
"Class2",27.188,68.552,26.797,37.132,45.872,85,84.181,52,15.715,43.968,"N"
"Class2",35.887,24.632,14.269,33.784,22.599,86,77.772,54,31.055,85.38,"U"
"Class1",13.066,24.845,80.255,36.58,37.711,59,67.118,32,26.417,40.021,"K"
"Class1",14.85,38.109,80.914,36.262,30.515,37,54.404,57,38.891,56.223,"L"
"Class2",26.193,39.755,17.024,57.798,38.265,85,76.709,34,12.205,80.089,"Y"
"Class2",32.016,45.997,15.273,55.994,26.577,85,79.144,38,26.673,79.558,"L"
"Class2",28.96,22.969,20.783,61.123,20.635,85,77.628,95,23.718,59.256,"U"
"Class1",12.364,28.306,70.881,36.571,89.205,16,43.352,49,42.959,45.444,"U"
"Class2",20.608,14.346,15.658,44.392,10.943,87,78.862,87,15.429,37.503,"L"
"Class1",12.525,38.729,68.117,36.802,64.71,43,46.888,20,49.228,35.389,"L"
"Class2",30.908,14.5,18.898,21.772,29.185,87,78.627,96,31.501,52.336,"L"
"Class1",12.288,15.226,78.747,35.865,57.822,59,32.504,32,16.76,80.862,"E"
"Class2",32.698,1.069,21.945,48.851,33.931,87,84.091,37,34.959,89.99,"Q"
"Class1",14.35,40.725,70.155,35.899,56.589,48,54.388,40,27.861,73.237,"L"
"Class1",14.673,33.885,82.819,36.439,89.104,63,34.609,41,27.199,61.954,"E"
"Class1",14.109,43.506,88.313,36.083,82.29,16,42.224,58,16.794,33.058,"E"
"Class2",36.307,16.297,13.796,20.493,15.949,85,77.064,40,33.245,65.86,"Q"
"Class2",30.322,25.999,18.015,43.239,36.684,86,78.808,74,32.797,68.029,"U"
"Class1",15.587,18.667,79.137,35.24,26.347,49,72.114,62,29.343,42.73,"W"
"Class1",13.52,22.44,79.444,35.389,78.569,42,64.255,61,50.384,72.426,"E"
"Class1",14.321,40.604,77.79,35.586,54.043,24,52.148,64,9.469,35.36,"E"
"Class2",44.268,12.228,25.146,58.542,21.963,87,78.264,62,24.406,38.805,"Q"
"Class1",12.982,46.664,79.695,35.728,81.86,38,71.283,12,11.597,60.438,"W"
"Class2",26.5,37.658,26.503,43.714,35.605,87,75.177,36,32.03,41.971,"L"
"Class2",21.668,28.378,17.22,49.01,33.303,85,81.079,51,35.469,88.599,"N"
"Class2",25.51,31.846,22.582,50.944,27.328,86,80.681,44,15.63,59.685,NA
"Class1",14.823,29.921,67.917,36.848,35.606,39,48.993,71,28.204,53.614,"U"
"Class2",29.591,39.156,22.004,23.815,34.078,85,84.644,77,42.509,75.707,"N"
"Class1",14.108,26.482,70.561,35.325,90.259,49,50.218,80,9.79,48.68,"K"
"Class1",14.509,38.634,84.37,35.975,48.574,16,62.878,24,8.899,24.43,"K"
"Class2",43.285,42.696,24.064,22.825,43.281,85,79.601,52,39.499,116.785,"Y"
"Class1",13.823,27.105,87.36,35.957,55.394,19,88.012,16,43.593,59.236,"K"
"Class1",13.231,35.509,70.063,35.658,27.593,18,73.765,55,48.705,40.188,"E"
"Class2",35.57,73.984,13.973,53.733,11.885,86,76.654,94,38.531,57.492,NA
"Class1",12.267,17.533,67.13,36.293,75.985,19,74.279,18,24.859,53.609,"L"
"Class1",14.48,41.061,83.779,36.139,37.472,NA,70.135,11,47.225,66.297,"U"
"Class1",15.572,34.368,86.649,36.746,22.821,53,66.479,39,31.601,58.997,"E"
"Class1",13.17,19.678,73.045,35.333,46.626,47,77.589,37,45.751,48.801,"W"
"Class2",47.072,20.947,19.048,39.457,11.484,85,87.26,53,27.685,72.752,"Q"
"Class1",13.2,15.589,69.363,35.795,42.602,28,66.037,76,8.393,55.503,"U"
"Class2",5.263,49.138,20.068,28.424,25.97,87,81.103,44,37.441,64.479,"Y"
"Class1",12.311,42.729,81.663,36.501,52.04,56,66.988,52,43.239,73.742,"W"
"Class2",24.652,4.643,14.766,19.586,35.209,86,89.361,73,41.887,38.714,"Y"
"Class1",12.019,36.449,84.34,36.608,23.174,54,83.639,77,14.928,74.095,"U"
"Class1",14.246,30.36,88.911,35.697,55.731,42,72.957,35,35.115,72.875,"K"
"Class2",37.177,32.095,23.82,56.131,50.624,86,80.975,58,38.93,72.812,"U"
"Class1",15.015,21.384,83.631,35.212,22.074,50,109.074,28,32.359,52.454,NA
"Class1",14.487,36.392,76.777,35.798,71.394,47,61.261,64,45.498,46.15,"W"
"Class2",13.057,16.071,15.855,56.447,32.87,86,69.634,58,42.601,98.463,"U"
"Class2",55.697,39.128,27.85,25.157,21.952,87,80.294,85,34.251,51.743,"Q"
"Class1",12.985,34.646,76.604,35.682,75.908,55,63.339,35,39.292,35.242,"W"
"Class1",13.26,32.898,67.052,35.19,82.355,34,51.54,84,14.202,64.325,"W"
"Class1",13.1,28.946,66.213,35.334,87.085,18,46.663,31,35.359,57.767,NA
"Class1",13.9,34.179,76.487,35.932,64.552,20,45.018,58,22.886,67.957,"W"
"Class1",14.235,18.696,73.001,35.973,43.049,NA,47.655,76,32.902,74.282,"L"
"Class2",19.335,31.465,22.161,23.942,48.536,86,79.655,38,33.2,58.612,"U"
"Class2",22.559,58.968,24.273,53.478,46.522,87,84.312,49,22.347,58.456,"Y"
"Class1",15.28,26.522,81.413,35.614,68.314,40,60.306,10,45.584,68.08,"K"
"Class1",12.888,27.311,71.044,35.515,22.084,37,76.992,27,47.32,54.407,"L"
"Class1",15.543,35.673,80.656,35.864,51.935,37,53.458,52,21.177,59.224,"K"
"Class1",12.413,52.509,66.135,36.388,85.132,46,70.997,64,50.916,66.073,"E"
"Class2",36.866,64.275,15.565,22.478,23.46,85,81.076,81,34.004,25.16,"N"
"Class1",12.077,58.482,70.334,36.98,35.195,49,65.148,46,41.317,70.868,"K"
"Class1",11.484,17.06,89.294,35.975,32.193,58,56.78,59,46.262,71.71,"W"
"Class2",27.624,-3.739,20.896,54.678,47.983,86,79.21,51,16.351,77.718,"N"
"Class2",27.905,48.553,19.027,40.134,10.246,87,74.915,45,20.431,58.688,"Y"
"Class2",35.321,58.502,20.05,29.154,39.3,87,83.003,58,40.566,54.068,"Q"
"Class1",13.106,29.799,83.58,35.741,78.807,16,51.906,51,42.253,65.846,NA
"Class1",12.495,20.083,87.367,35.088,80.582,52,47.63,74,30.582,64.379,"E"
"Class2",32.373,45.714,21.054,49.506,10.863,87,80.04,85,25.713,79.986,"U"
"Class2",28.492,44.405,25.469,31.974,30.222,85,74.464,59,27.401,115.517,"L"
"Class2",20.191,20.382,17.635,41.129,51.607,87,81.07,53,17.178,58.931,"U"
"Class2",20.981,48.745,15.585,28.16,38.072,85,89.646,44,36.543,90.344,"N"
"Class2",31.684,44.7,14.721,61.686,29.054,86,79.5,80,42.452,82.319,"Y"
"Class2",18.163,13.353,15.805,32.483,14.331,86,81.245,92,25.09,78.557,"Q"
"Class2",21.037,57.528,15.331,29.143,9.627,85,79.989,88,33.14,76.209,"Y"
"Class1",15.065,38.481,75.212,35.405,74.89,NA,54.445,19,36.625,45.297,"K"
"Class2",23.581,19.884,21.075,30.252,21.07,87,89.943,39,21.45,53.026,"N"
"Class2",20.203,24.173,19.971,45.498,24.716,86,79.221,79,15.804,84.074,"Q"
"Class1",14.44,45.457,66.782,35.264,67.518,59,42.365,51,39.335,61.096,"K"
"Class2",14.397,41.814,19.219,56.529,13.606,85,72.387,36,35.333,126.478,"Q"
"Class1",15.084,36.176,68.555,35.002,23.169,39,36.995,46,25.687,53.278,"U"
"Class1",12.207,28.567,86.98,36.869,60.305,41,77.642,14,44.677,77.284,"K"
"Class1",14.227,33.089,89.007,35.573,35.423,44,76.636,14,12.46,48.312,"W"
"Class1",17.38,33.548,86.409,35.141,60.789,NA,63.402,35,41.115,58.287,"E"
"Class2",23.503,10.954,13.961,27.956,45.471,85,75.418,45,14.206,64.206,"N"
"Class2",15.34,-8.23,27.653,41.299,29.613,NA,79.104,76,15.973,68.623,"Y"
"Class1",14.174,33.442,79.122,35.037,63.428,39,63.349,64,44.749,25.376,"K"
"Class2",18.878,15.226,15.057,40.339,38.015,86,90.998,54,32.233,54.048,"Q"
"Class2",19.709,21.005,25.627,44.855,37.229,86,82.315,86,12.609,120.626,NA
"Class2",15.555,13.036,15.41,36.35,38.313,87,81.056,92,19.007,55.223,"L"
"Class2",24.152,77.027,18.979,37.747,45.058,86,79.512,46,14.238,82.965,"Y"
"Class2",36.483,28.453,22.359,48.997,34.037,86,84.511,88,42.483,68.158,"U"
"Class2",37.524,67.248,16.745,27.293,40.016,86,78.906,65,36.979,43.686,"L"
"Class1",12.004,30.389,73.216,36.167,53.666,22,70.36,13,33.688,44.663,"L"
"Class2",18.156,11.845,27.273,57.794,27.641,85,84.379,64,14.19,47.649,"N"
"Class2",25.393,45.761,13.562,21.507,37.141,87,75.671,70,40.984,105.122,"U"
"Class2",35.598,1.087,25.665,44.358,40.678,86,69.251,37,32.931,52.647,"Y"
"Class2",37.049,65.358,19.911,38.257,42.207,85,72.107,82,32.422,56.7,"U"
"Class2",29.922,20.317,19.009,22.806,26.781,87,72.658,46,40.361,85.272,"U"
"Class1",12.45,42.104,81.417,35.082,26.785,35,57.421,23,40.976,66.121,"E"
"Class2",20.133,35.035,17.119,34.456,45.978,NA,75.904,96,14.867,40.838,"L"
"Class2",32.129,27.678,16.847,30.144,23.103,85,78.027,73,22.138,95.481,"L"
"Class1",13.706,35.864,89.199,35.028,28.908,35,55.435,57,35.452,39.047,"U"
"Class2",31.126,58.974,23.488,20.885,29.23,87,87.487,71,15.2,67.001,"L"
"Class1",14.027,15.956,73.81,35.921,64.933,23,60.047,28,37.384,60.328,"W"
"Class1",13.72,16.004,75.679,36.741,39.036,17,65.321,72,18.919,39.126,"U"
"Class1",14.778,32.357,83.231,35.046,68.354,17,76.222,62,13.665,75.917,"K"
"Class1",13.699,48.112,66.563,36.405,34.338,18,63.493,42,29.684,89.398,"L"
"Class1",16.099,34.046,73.61,36.904,39.555,31,50.021,29,9.313,59.87,"E"
"Class2",30.227,62.158,20.83,53.64,23.702,87,76.123,95,22.534,58.146,"Q"
"Class2",27.373,27.625,14.533,47.427,50.118,85,82.666,56,30.239,63.459,"U"
"Class1",14.716,33.909,76.227,36.872,64.406,37,33.709,48,49.483,46.715,NA
"Class2",34.445,48.812,13.055,55.49,26.445,86,79.716,36,37.642,102.953,"Y"
"Class1",13.093,38.149,67.206,35.879,87.59,20,69.247,73,38.497,67.113,"W"
"Class1",14.863,36.115,68.924,35.136,68.264,45,83.154,80,20.602,52.257,"E"
"Class1",14.617,27.999,86.642,36.617,29.124,47,54.683,72,12.885,46.316,"U"
"Class2",22.902,52.824,17.684,59.151,31.602,87,71.779,63,40.612,60.577,"N"
"Class2",21.948,15.456,22.076,43.032,9.92,NA,74.191,48,24.554,72.02,"Y"
"Class1",12.98,28.434,72.576,36.018,61.687,53,26.154,46,23.07,49.238,"L"
"Class1",12.791,35.232,82.114,35.818,74.029,17,78.444,11,17.098,85.071,NA
"Class1",12.273,40.659,82.305,35.162,72.599,58,57.797,26,11.874,54.37,"U"
"Class2",40.065,69.375,19.17,21.196,48.946,86,91.464,72,30.393,93.548,"N"
"Class1",12.233,34.488,67.885,36.037,83.889,29,73.361,71,11.568,61.295,"W"
"Class2",18.135,48.353,25.082,26.663,23.916,86,77.281,56,30.994,95.156,"N"
"Class2",34.6,25.601,17.131,26.758,18.097,85,79.14,71,42.455,75.444,"U"
"Class1",14.167,29.538,73.756,36.717,46.137,40,80.464,44,28.137,80.156,"E"
"Class1",14.382,39.855,76.173,35.924,81.888,57,73.477,75,34.206,74.511,"U"
"Class1",15.471,19.156,70.957,36.019,73.469,17,52.869,15,36.965,87.192,"E"
"Class2",26.93,46.615,18.334,42.09,44.475,86,72.042,71,19.108,59.227,"Q"
"Class1",15.002,37.643,79.48,36.152,50.882,19,56.926,81,31.047,72.428,"U"
"Class2",36.223,38.066,17.638,40.811,32.313,85,89.691,43,40.268,10.302,"N"
"Class1",12.569,27.354,81.56,36.418,50.964,55,60.319,22,39.52,90.428,"W"
"Class2",35.033,59.402,23.309,19.277,28.305,85,78.396,31,21.727,113.046,"Y"
"Class1",12.291,29.348,76.035,35.743,83.894,53,65.392,45,41.2,57.183,"K"
"Class2",25.805,82.968,25.13,44.343,38.882,86,79.118,53,30.599,97.969,"N"
"Class2",20.227,19.477,21.636,56.188,38.147,87,81.62,65,23.001,55.744,"Q"
"Class1",12.383,47.187,77.506,35.663,30.774,43,91.368,39,33.315,73.992,"U"
"Class1",13.936,24.771,74.27,35.547,89.711,18,49.111,69,19.049,38.707,"K"
"Class1",14.026,20.524,77.079,35.146,43.554,18,73.949,36,10.334,68.71,"W"
"Class1",16.444,48.195,84.949,35.585,30.201,48,51.83,12,41.381,87.471,"L"
"Class2",26.733,45.29,21.743,41.975,40.975,86,77.437,90,33.85,32.823,"L"
"Class1",14.526,49.333,85.073,36.675,41.104,20,73.219,9,47.158,72.591,"W"
"Class1",13.781,22.314,81.106,36.476,77.831,59,64.543,51,40.975,58.143,"L"
"Class2",20.895,45.418,13.868,34.462,29.522,86,79.417,89,20.92,70.222,"N"
"Class2",27.415,53.581,14.529,57.893,16.251,87,78.736,36,40.616,92.088,"U"
"Class1",12.772,22.98,78.851,35.652,74.378,29,90.001,38,33.218,45.851,"K"
"Class2",29.301,30.61,19.2,24.853,16.412,86,74.655,71,38.212,44.596,"N"
"Class1",12.33,43.583,89.027,35.283,41.658,26,81.649,83,28.824,44.332,"E"
"Class1",12.35,16.039,85.374,35.687,67.186,33,88.805,33,10.372,45.392,"E"
"Class1",12.202,31.403,85.956,36.329,32.745,38,89.877,74,9.489,37.798,"K"
"Class1",12.98,36.471,89.949,36.486,21.97,38,51.169,43,29.775,46.136,"L"
"Class1",16.089,26.005,67.918,35.352,53.747,23,68.062,22,13.123,72.666,"U"
"Class2",21.785,38.941,20.354,44.137,35.043,87,85.579,54,14.915,90.725,"Q"
"Class2",15.968,-0.59,24.896,58.956,50.915,85,86.282,61,27.048,53.542,"U"
"Class1",14.853,35.405,67.835,35.908,58.128,NA,64.978,81,31.906,54.991,"L"
"Class1",15.496,25.136,73.239,35.662,66.324,41,84.085,24,11.024,83.383,"K"
"Class2",25.43,23.971,26.07,45.328,22.28,86,83.974,74,40.698,62.983,"Y"
"Class1",10.582,30.315,71.711,36.792,36.8,27,75.153,20,49.897,73.944,"U"
"Class1",11.724,57.415,89.403,36.189,51.998,34,102.21,40,45.266,60.207,"W"
"Class1",15.491,21.569,77.697,36.997,66.512,46,53.556,13,15.171,72.617,"K"
"Class2",36.549,42.38,27.81,38.034,49.67,85,90.319,66,19.864,66.562,"U"
"Class2",24.275,24.611,18.889,41.537,18.486,87,75.217,46,42.161,67.624,"U"
"Class2",22.519,46.951,19.91,34.771,49.404,87,78.01,73,16.229,24.315,"Q"
"Class2",48.94,34.607,14.462,58.899,48.004,85,89.839,69,13.001,56.463,"Q"
"Class1",12.966,37.595,72.522,36.738,26.382,52,70.311,49,11.75,50.84,"K"
"Class2",29.703,49.017,20.531,44.658,9.222,86,74.995,72,40.3,64.759,"Y"
"Class1",12.059,31.454,74.592,36.084,36.888,54,64.756,36,49.305,49.063,"E"
"Class1",12.429,37.601,68.544,36.453,56.104,18,90.554,78,41.308,63.357,"U"
"Class1",14.029,32.228,89.511,35.04,63.946,43,54.639,62,49.669,68.925,"U"
"Class1",12.84,36.532,68.862,36.466,23.077,18,49.72,34,27.269,48.87,"L"
"Class1",12.576,27.207,75.182,36.228,84.924,44,79.109,9,9.65,62.679,"L"
"Class1",16.315,18.434,69.523,36.035,36.782,24,53.197,58,28.574,69.777,"K"
"Class1",15.815,17.128,82.179,35.931,70.074,45,63.43,43,49.888,45.466,"L"
"Class1",14.942,20.648,88.217,35.403,40.429,56,44.7,58,27.455,75.688,"E"
"Class1",13.647,22.54,77.369,36.854,72.475,57,51.862,38,33.798,56.523,"W"
"Class2",29.654,29.482,27.091,32.239,34.579,86,74.757,86,28.937,70.163,"L"
"Class2",20.007,43.189,25.162,22.989,47.373,86,80.725,86,39.547,63.491,"Q"
"Class2",34.905,34.641,24.214,35.336,24.43,85,73.392,69,25.408,53.908,"L"
"Class1",14.825,29.184,85.073,35.154,58.152,27,55.242,43,44.409,52.968,"E"
"Class2",38.318,27.532,25.555,34.601,47.537,85,89.281,84,25.927,52.164,"Y"
"Class1",12.202,30.262,71.153,36.193,59.351,47,71.143,73,42.453,50.735,"E"
"Class2",27.443,26.489,17.617,51.431,11.703,85,81.142,88,36.508,40.449,"Q"
"Class2",31.917,36.293,18.145,24.019,11.282,85,79.176,92,20.005,73.306,"L"
"Class2",30.584,46.373,18.913,44.486,12.197,86,81.181,72,34.71,86.882,"Y"
"Class2",36.608,39.648,27.97,33.069,9.651,85,75.681,90,41.191,51.376,"L"
"Class1",14.329,49.804,89.75,36.502,45.586,23,78.265,9,41.828,60.308,NA
"Class1",13.958,39.003,72.15,35.702,24.601,46,54.305,22,39.107,56.547,"K"
"Class1",13.655,37.147,75.639,36.193,69.785,34,46.647,19,46.007,57.254,"U"
"Class1",14.608,42.809,82.999,35.805,59.272,37,42.777,39,35.142,105.677,NA
"Class2",29.122,27.411,26.22,40.969,7.094,86,81.5,92,18.429,75.892,"N"
"Class2",19.132,48.804,22.824,54.52,7.4,87,82.26,81,35.111,47.806,"Q"
"Class2",38.524,43.591,18.781,28.842,18.316,87,84.21,43,29.29,92.947,"N"
"Class2",36.211,-13.149,18.153,50.577,7.132,86,78.531,91,42.866,60.359,"Q"
"Class2",21.526,48.007,20.034,59.749,46.99,87,73.603,76,28.084,49.15,"L"
"Class1",14.345,36.17,74.617,36.877,26.084,38,95.837,12,40.104,58.944,"L"
"Class1",14.504,16.09,88.961,35.274,76.021,24,72.485,30,29.388,67.506,"K"
"Class2",26.035,47.89,19.017,30.487,40.189,85,71.917,93,21.24,72.909,"U"
"Class2",36.12,22.494,23.66,51.868,33.294,87,78.897,53,25.005,44.272,"Y"
"Class2",18.947,40.601,14.382,54.263,26.486,87,76.821,77,31.825,34.152,"Y"
"Class2",24.969,18.203,25.233,51.423,40.805,86,84.631,65,32.595,59.359,"N"
"Class1",12.224,53.569,73.529,35.364,24.82,26,59.012,39,36.079,66.822,"K"
"Class1",13.201,33.618,78.615,35.136,20.602,46,67.388,16,49.177,93.363,"L"
"Class1",13.032,29.914,83.358,36.714,54.848,40,34.15,36,36.14,51.379,"W"
"Class1",14.546,40.872,79.398,36.097,36.006,55,79.101,34,26.554,60.477,"K"
"Class2",29.652,12.073,20.951,60.071,43.565,86,74.396,37,21.524,40.793,"Q"
"Class2",24.327,26.497,16.87,28.048,37.356,87,82.999,90,38.599,78.218,"N"
"Class2",30.132,19.143,15.599,26.263,23.507,86,88.412,74,28.351,78.678,"U"
"Class1",16.29,51.453,78.315,35.403,75.737,47,72.161,57,37.048,50.332,NA
"Class2",30.266,72.916,13.726,52.802,42.56,85,76.688,41,27.861,59.922,"U"
"Class1",13.09,39.322,75.969,35.782,69.748,38,74.491,81,46.092,59.216,"L"
"Class1",12.644,14.115,72.705,35.696,67.791,25,77.366,41,16.502,53.232,"K"
"Class2",26.482,32.14,21.663,49.229,35.221,85,84.316,67,22.089,82.459,"L"
"Class1",14.376,39.833,77.344,35.355,23.921,63,67.008,10,17.54,78.383,"U"
"Class1",12.675,42.968,70.194,35.294,83.888,18,71.866,11,20.215,43.483,"U"
"Class1",14.318,26.373,72.757,35.772,74.598,30,62.676,64,50.417,40.97,"W"
"Class2",20.169,47.261,24.945,59.747,9.681,85,83.069,65,23.386,35.549,"N"
