"GKP1","ACK2","PAD3","MZP4","Output2","IXG5","QHX6","ZFG7","HRQ8","SIZ9","CEP10"
37.779,62.889,38.703,60.706,"Class2","S",30.263,"U",60.686,46.613,5
40.122,57.82,42.896,49.064,"Class2","R",28.181,"U",69.156,44.547,5
39.221,64.334,58.877,19.388,"Class2","G",29.494,"N",59.981,49.273,1
11.403,34.398,71.485,73.617,"Class1","N",93.717,"A",52.621,29.689,36
36.19,59.253,36.904,60.636,"Class2","S",26.405,"T",43.357,43.166,4
37.727,45.181,26.96,18.736,"Class2","L",26.767,"N",98.579,43.825,3
40.814,62.128,50.702,100.401,"Class1","A",92.422,"A",65.269,21.056,25
36.219,70.701,32.282,41.252,"Class2","R",30.188,"V",39.854,48.349,5
39.597,41.059,41.409,38.195,"Class2","R",25.688,"Y",58.589,49.46,4
20.372,53.122,56.108,72.985,"Class1","L",93.579,"A",83.102,17.759,34
30.889,33.441,70.063,86.247,"Class1","A",84.932,"Y",62.737,9.357,30
34.929,42.923,74.825,84.645,"Class1","Q",91.831,"A",44.202,10.786,27
37.206,68.006,52.066,17.709,"Class2","R",23.846,"T",57.245,50.848,6
38.753,75.411,35.235,40.855,"Class2","G",26.255,"N",13.651,50.823,0
35.042,61.107,32.266,42.477,"Class2","G",23.724,"Y",36.785,42.758,5
22.905,59.75,55.467,82.484,"Class1","L",87.594,"G",54.271,29.417,35
37.106,70.489,36.398,66.999,"Class2","R",29.082,"T",6.778,46.838,6
25.618,17.422,56.976,88.309,"Class1","N",92.127,"R",70.279,28.355,27
34.878,42.918,37.604,NA,"Class2","R",34.032,"N",32.347,51.027,4
36.958,77.572,49.555,12.794,"Class2","G",36.027,"T",50.985,45.422,3
37.625,66.772,38.293,56.152,"Class2","S",31.371,"N",19.862,45.136,4
23.477,39.736,100.552,90.052,"Class1","A",88.873,"M",63.242,11.105,24
34.154,57.552,72.755,NA,"Class2","G",26.293,"U",84.624,45.195,7
32.792,43.552,46.788,96.192,"Class1","A",86.867,"A",67.478,7.879,27
37.074,52.809,34.974,51.17,"Class2","G",25.841,"V",77.246,42.808,7
20.833,24.248,47.196,84.145,"Class1","N",93.984,"G",70.932,19.681,27
23.797,59.692,36.771,73.148,"Class1","L",90.283,"R",75.054,29.897,27
14.937,57.965,133.823,92.447,"Class1","A",86.726,"G",36.438,15.335,30
25.893,45.926,13.449,77.817,"Class1","L",93.069,"Y",89.512,20.607,39
36.996,76.085,42.91,27.865,"Class2","R",24.984,"N",69.217,50.368,5
37.648,73.831,7.891,68.528,"Class2","G",24.845,"N",43.911,51.049,7
46.465,61.489,82.993,85.876,"Class1","L",84.573,NA,61.486,23.279,29
35.666,41.523,38.496,55.368,"Class2","L",36.606,"V",26.565,41.157,3
39.813,57.143,31.725,28.58,"Class2","L",36.259,"V",56.312,42.813,1
35.291,64.577,64.413,35.893,"Class2","G",25.158,"V",32.415,47.25,5
8.735,36.744,64.428,76.929,"Class1","N",89.035,"A",68.35,31.77,33
38.28,77.351,32.406,17.058,"Class2","G",29.991,"V",78.072,41.804,3
49.998,29.98,57.43,68.771,"Class1","A",85.039,"A",79.419,27.959,25
36.739,74.492,41.212,40.436,"Class2","L",28.316,"V",71.155,51.82,0
35.375,36.34,81.696,84.973,"Class1","N",85.819,"G",90.145,16.836,26
1.588,21.426,69.473,83.782,"Class1","A",86.432,"Y",72.823,6.223,24
30.233,18.533,61.824,66.876,"Class1","S",85.874,"Y",72.033,31.659,29
36.015,50.305,29.98,64.836,"Class2","R",32.481,"Y",56.563,46.025,6
25.027,41.795,64.97,78.508,"Class1","A",84.562,"R",55.746,25.163,26
39.126,70.616,40.442,24.957,"Class2","R",36.987,"U",114.108,46.829,1
37.525,45.396,29.351,68.932,"Class2","T",27.816,"T",57.697,50.874,4
45.746,37.574,79.271,67.076,"Class1","A",89.019,"M",45.48,13.692,39
36.682,62.71,45.729,34.423,"Class2","G",32.782,"N",57.21,48.163,4
41.295,73.626,28.385,11.817,"Class2","S",29.255,"T",59.16,44.226,7
19.549,20.526,48.861,NA,"Class1","N",88.885,"M",69.234,25.277,35
40.588,77,18.048,19.25,"Class2","G",24.895,"U",70.309,44.692,6
37.772,62.074,38.761,46.594,"Class2","G",34.476,"V",44.469,45.631,1
25.759,43.943,58.611,67.929,"Class1","Q",92.91,"G",104.323,15.263,38
9.894,28.482,46.815,86.445,"Class1","Q",93.061,"A",56.551,17.785,34
41.385,76.615,41.529,13.019,"Class2","G",32.671,"T",71.036,49.665,2
35.423,27.704,77.997,70.062,"Class1","L",86.494,"R",85.74,27.121,37
31.265,22.045,89.813,82.089,"Class1","L",88.621,"M",47.31,7.001,24
34.039,56.08,33.739,80.762,"Class1","A",92.209,"M",67.555,15.087,36
28.846,46.778,97.229,88.15,"Class1","S",85.805,"M",74.632,18.663,42
41.218,67.543,38.8,36.784,"Class2","L",23.877,"Y",61.81,46.736,1
41.811,67.301,33.775,35.359,"Class2","L",30.096,"N",6.984,47.776,6
35.764,52.916,35.66,28.669,"Class2","G",36.098,"T",46.595,43.457,7
36.849,75.156,20.596,NA,"Class2","T",26.631,"Y",36.612,44.399,3
39.223,64.355,40.684,33.671,"Class2","R",36.37,"T",31.971,48.297,3
44.057,69.371,20.634,17.418,"Class2","S",27.744,"T",17.167,42.779,1
45.637,57.262,62.976,91.334,"Class1","Q",93.922,"M",76.148,21.53,24
31.697,65.145,50.952,82.659,"Class1","S",89.474,"R",62.258,28.944,36
38.695,59.063,97.476,68.481,"Class1","Q",86.912,"G",55.933,26.894,27
22.615,22.405,29.236,79.27,"Class1","N",87.032,NA,53.431,17.56,39
40.843,43.38,25.606,38.355,"Class2","G",23.111,"U",48.774,44.227,3
38.643,63.164,54.771,44.009,"Class2","S",23.348,"V",84.847,42.098,1
40.219,74.075,27.956,38.388,"Class2","R",27.791,"N",97.41,51.882,7
22.915,38.284,31.063,81.208,"Class1","S",86.667,"R",86.177,23.316,30
46.92,30.538,42.335,83.348,"Class1","N",84.126,"A",106.079,19.512,29
43.001,45.263,1.175,80.134,"Class1","S",87.182,"Y",82.221,6.935,41
45.738,40.799,42.891,87.158,"Class1","S",84.782,"A",77.012,11.923,31
28.428,53.211,64.913,78.895,"Class1","N",89.827,"G",71.871,31.289,42
39.907,78.313,34.967,47.912,"Class2","T",33.699,"N",59.103,45.531,2
32.288,65.867,31.681,84.543,"Class1","Q",92.753,"M",76.417,8.45,41
35.789,46.175,20.727,32.757,"Class2","S",32.753,"U",45.958,48.956,3
35.663,64.86,51.607,53.018,"Class2","T",34.644,"N",36.762,42.191,0
39.931,56.862,60.735,79.055,"Class2","R",27.857,NA,38.974,51.585,3
38.564,64.196,22.28,31.932,"Class2","T",35.099,"V",57.308,51.518,3
44.161,64.501,60.232,40.521,"Class2","L",26.694,"N",70.582,50.096,0
22.926,27.575,73.034,87.837,"Class1","S",84.442,"A",63.033,9.316,32
38.338,42.237,64.759,77.669,"Class1","S",85.476,"R",61.599,7.207,37
12.8,62.717,71.455,85.513,"Class1","N",84.118,"G",75.653,12.044,32
18.812,22.465,110.7,83.753,"Class1","L",92.593,NA,61.396,9.02,24
41.314,68.81,18.378,9.069,"Class2","L",32.79,"U",42.2,43.495,2
38.739,67.192,40.163,35.472,"Class2","S",31.138,"T",61.321,41.393,1
38.444,48.328,83.253,48.326,"Class2","R",34.444,"Y",69.939,45.196,0
30.74,36.912,85.293,76.656,"Class1","A",88.305,"Y",57.066,18.001,33
42.282,30.378,29.5,86.004,"Class1","A",86.349,"G",57.646,15.615,33
11.831,31.433,43.854,69.308,"Class1","Q",86.242,"Y",71.52,28.539,27
31.148,42.122,73.077,NA,"Class1","N",91.173,"G",70.058,24.441,40
40.149,64.151,47.274,34.709,"Class2","S",28.311,"V",85.436,46.066,0
36.022,52.062,52.757,50.515,"Class2","G",23.84,"U",45.602,41.29,4
25.97,42.422,50.179,NA,"Class1","S",84.014,"Y",62.974,7.635,41
39.856,68.659,62.105,-2.416,"Class2","S",24.228,"Y",36.6,49.305,2
36.841,32.369,46.194,88.633,"Class1","L",87.799,"R",73.388,9.609,24
25.623,46.697,25.752,76.798,"Class1","S",92.144,"R",75.307,22.202,29
29.778,63.091,16.681,NA,"Class1","N",88.393,"G",89.112,21.59,30
26.836,65.243,74.106,89.498,"Class1","L",85.758,"A",52.848,11.54,30
38.633,59.383,22.539,43.62,"Class2","R",35.538,"U",46.903,49.487,2
11.951,34.27,57.533,78.448,"Class1","L",87.023,"M",82.109,23.747,32
44.868,43.358,79.101,72.931,"Class1","N",89.939,"G",57.995,17.738,25
26.819,62.51,64.669,88.539,"Class1","N",85.847,"R",32.573,8.281,26
34.264,44.476,32.452,NA,"Class2","T",26.309,"U",19.937,48.551,1
40.151,24.62,50.244,81.286,"Class1","Q",88.063,"Y",45.528,23.045,23
24.883,23.542,72.62,87.481,"Class1","L",90.25,"M",84.038,12.24,31
31.883,61.782,48.125,58.51,"Class2","L",28.097,"T",14.592,50.992,7
27.171,25.993,81.579,83.864,"Class1","L",84.624,"R",73.441,6.459,24
38.82,24.334,60.245,80.946,"Class1","N",92.843,"A",61.322,22.945,40
39.889,58.781,26.565,33.011,"Class2","R",29.033,"N",41.336,50.289,5
38.099,73.958,29.899,23.397,"Class2","G",26.352,"T",78.544,49.985,4
20.197,27.039,65.778,92.976,"Class1","L",85.627,"A",68.872,12.433,29
37.515,50.443,29.322,21.96,"Class2","R",34.024,"U",9.803,46.22,1
37.538,58.129,3.995,64.35,"Class2","G",29.577,"U",55.504,49.446,1
14.003,49.559,66.927,76.366,"Class1","Q",87.7,"A",67.82,20.283,35
17.447,43.038,57.476,80.639,"Class1","Q",89.713,"R",82.901,20.14,31
58.464,54.265,93.108,84.266,"Class1","S",88.595,"R",68.51,12.744,38
12.332,19.134,43.334,75.641,"Class1","A",90.969,"A",57.522,14.333,29
45.397,57.199,48.633,90.04,"Class1","L",85.628,"M",51.828,10.553,30
36.623,64.514,22.393,10.392,"Class2","L",27.167,"T",75.744,41.189,7
38.779,48.853,22.197,54.113,"Class2","T",24.878,"T",26.458,49.725,7
38.395,72.893,48.537,19.813,"Class2","R",32.46,"V",45.439,50.007,6
37.738,61.588,58.846,40.251,"Class2","S",29.354,"N",35.707,51.954,5
37.776,50.806,75.072,74.326,"Class1","A",93.217,"M",54.148,18.87,38
35.579,36.498,99.873,78.83,"Class1","N",85.939,"Y",65.124,26.226,29
21.191,49.226,42.564,78.537,"Class1","S",86.316,"G",84.1,9.071,32
38.304,78.71,60.174,32.241,"Class2","R",29.757,"N",38.554,49.875,0
39.815,54.03,21.091,56.238,"Class2","T",28.756,"V",73.426,43.144,6
33.36,61.527,72.814,79.863,"Class1","Q",86.237,"R",64.651,8.194,38
33.059,35.309,117.872,85.056,"Class1","L",89.653,"M",68.944,31.931,36
32.6,34.189,71.997,73.773,"Class1","S",89.176,"A",58.845,19.648,36
40.565,39.291,103.365,78.373,"Class1","Q",86.593,"G",65.527,6.755,38
31.019,45.287,43.044,37.222,"Class2","L",26.943,NA,44.567,50.949,2
43.444,19.562,25.21,78.12,"Class1","L",89.281,"R",49.241,22.931,34
38.429,32.942,66.412,78.686,"Class1","N",93.782,"R",87.721,21.818,30
7.498,19.162,80.304,81.298,"Class1","Q",91.793,"A",65.648,15.887,23
61.926,58.228,86.75,71.272,"Class1","L",85.4,"Y",54.668,11.621,32
39.992,35.145,67.89,79.83,"Class1","S",84.542,"Y",48.121,27.287,37
39.46,51.887,52.703,33.971,"Class2","R",34.376,NA,-2.874,48.371,7
36.849,44.218,58.738,NA,"Class2","L",31.248,"U",49.124,45.13,3
36.728,58.513,27.437,25.615,"Class2","S",24.311,"V",68.118,51.632,5
28.358,31.676,67.571,70.012,"Class1","S",92.169,NA,60.948,15.052,35
34.166,33.964,60.942,84.494,"Class1","A",93.802,NA,74.258,25.915,28
33.41,51.529,49.98,80.713,"Class1","S",89.007,"R",72.073,7.656,37
29.53,64.644,73.075,82.628,"Class1","A",90.008,"M",74.268,22.203,40
41.606,53.377,33.673,-8.762,"Class2","G",32.92,"U",46.541,43.454,7
44.222,43.304,35.647,20.482,"Class2","L",31.073,"V",58.675,41.646,4
27.42,58.688,80.682,83.528,"Class1","S",87.458,"G",76.273,30.063,29
7.047,24.223,27.4,85.471,"Class1","Q",93.581,"A",49.299,12.786,40
28.022,37.901,15.535,88.891,"Class1","Q",85.446,"A",68.336,10.62,36
32.96,36.391,52.808,87.057,"Class1","L",86.633,"M",67.177,21.782,40
38.641,54.708,68.112,32.094,"Class2","G",31.599,NA,57.68,51.877,5
41.216,31.222,62.304,77.198,"Class1","L",92.347,"R",62.745,17.542,26
39.932,60.441,48.228,28.558,"Class2","S",36.231,"T",12.901,49.407,2
39.133,72.702,46.052,54.243,"Class2","R",32.148,"Y",12.376,46.884,0
28.082,51.099,40.182,81.587,"Class1","L",93.221,"R",47.478,23.314,42
28.537,59.762,64.91,83.533,"Class1","Q",93.213,"M",60.633,6.618,38
22.545,49.893,31.993,74.093,"Class1","Q",93.054,"Y",76.162,25.281,35
38.972,50.656,46.294,50.415,"Class2","R",32.972,"N",97.423,50.234,7
39.785,44.22,11.282,34.314,"Class2","L",36.373,"V",40.131,41.513,7
35.829,57.303,62.744,23.346,"Class2","T",32.984,"T",109.222,51.302,0
40.494,60.712,31.892,41.832,"Class2","S",24.792,"N",48.41,50.773,5
38.439,60.24,28.822,56.681,"Class2","R",29.925,"T",71.839,42.677,5
39.845,69.782,44.811,NA,"Class2","T",31.823,"T",73.665,50.668,0
37.346,46.486,39.883,42.978,"Class2","R",33.08,"N",75.747,41.732,5
36.536,47.709,45.96,48.513,"Class2","L",30.388,"Y",57.356,49.197,0
16.224,57.095,40.041,65.872,"Class1","A",92.138,"Y",77.164,18.566,33
34.927,41.661,37.88,28.458,"Class2","L",28.716,"U",41.797,47.189,0
49.276,42.114,56.079,88.532,"Class1","Q",91.043,"G",62.48,6.46,36
18.746,63.543,54.679,81.197,"Class1","L",87.502,"R",76.692,8.374,29
11.324,64.178,71.8,NA,"Class1","N",87.419,"R",91.677,15.069,42
33.488,72.876,26.716,38.836,"Class2","R",32.179,"Y",49.259,48.363,1
12.232,56.184,52.159,85.233,"Class1","N",87.434,"M",72.526,6.138,24
28.975,23.12,65.065,65.597,"Class1","S",84.884,"M",77.105,30.973,42
36.59,49.41,39.207,63.875,"Class2","T",35.02,"Y",45.027,47.034,5
19.758,32.78,91.53,81.072,"Class1","N",89.595,"M",91.654,19.663,42
35.698,55.492,18.118,62.124,"Class2","G",35.381,"N",19.889,41.222,0
38.126,77.33,19.208,45.411,"Class2","G",23.447,"V",49.426,41.966,2
44.443,51.294,27.95,49.701,"Class2","S",31.904,"V",72.232,41.45,6
11.667,46.396,98.123,78.045,"Class1","Q",84.867,"R",62.122,15.215,26
28.121,24.421,30.732,88.201,"Class1","A",85.663,NA,75.652,25.594,25
37.89,49.271,27.455,62.047,"Class2","R",29.507,"U",108.235,46.155,2
19.816,44.647,123.179,73.483,"Class1","L",88.233,"A",85.303,6.111,26
19.719,59.636,103.793,NA,"Class1","N",88.825,"R",78.84,23.355,29
33.963,56.663,64.47,46.897,"Class2","R",34.377,"V",52.44,49.595,2
17.596,24.596,30.765,82.569,"Class1","N",89.287,"M",62.585,26.257,24
30.357,23.403,109.195,75.226,"Class1","A",89.506,"Y",79.922,19.101,35
39.305,67.406,40.52,27.021,"Class2","R",28.728,"T",95.626,49.638,1
34.11,78.914,35.274,14.721,"Class2","T",28.65,"T",92.52,41.63,3
18.839,64.395,29.544,73.167,"Class1","N",85.249,"M",72.152,15.876,38
23.852,53.977,87.659,63.353,"Class1","S",90.501,"M",61.327,19.711,30
36.64,43.655,7.996,35.593,"Class2","G",25.097,"Y",104.272,46.913,5
41.516,73.281,33.22,48.544,"Class2","S",29.38,"U",22.788,42.399,1
34.881,51.986,27.565,45.833,"Class2","R",31.212,"Y",-0.05,46.06,0
33.666,38.65,56.199,84.627,"Class1","N",87.188,"G",55.702,8.702,42
23.004,54.795,14.845,77.844,"Class1","S",93.794,"M",57.728,22.601,34
34.324,31.666,51.564,77.48,"Class1","A",85.722,"M",46.939,24.693,29
15.515,50.105,33.364,67.932,"Class1","Q",86.098,"A",83.787,18.947,34
20.014,57.732,28.43,78.504,"Class1","L",84.825,"A",54.619,8.908,24
26.062,34.433,93.277,78.461,"Class1","Q",89.134,"R",71.188,26.461,42
38.581,64.779,69.291,92.533,"Class1","Q",93.571,"M",72.695,15.326,31
36.753,76.998,20.906,53.093,"Class2","L",23.922,"V",68.432,47.258,6
39.124,46.367,46.961,49.335,"Class2","R",29.771,"Y",73.233,51.617,2
39.569,29.129,44.061,80.718,"Class1","L",85.425,"M",65.004,13.869,29
26.577,61.288,61.629,87.065,"Class1","N",88.874,"R",56.026,15.117,24
34.953,48.824,50.014,73.605,"Class2","G",28.633,"V",42.691,49.407,0
37.666,64.795,60.387,-3.479,"Class2","G",25.746,"U",104.305,42.377,5
23.838,44.57,51.222,75.359,"Class1","A",85.208,"M",53.356,16.532,27
39.426,54.678,26.662,42.745,"Class2","R",24.799,"Y",52.746,46.292,3
34.334,61.504,55.314,8.75,"Class2","G",23.136,"U",107.305,48.58,1
16.864,31.831,59.175,65.458,"Class1","Q",93.766,"Y",58.344,28.462,31
39.186,57.092,43.312,49.927,"Class2","L",23.593,"T",64.218,43.815,2
41.105,61.099,22.929,18.694,"Class2","T",27.121,"N",39.873,49.905,3
29.758,41.053,28.384,81.992,"Class1","L",88.698,"Y",50.38,27.062,37
40.119,58.909,66.501,45.021,"Class2","S",31.113,"U",14.813,43.576,4
26.557,26.796,85.057,90.688,"Class1","Q",87.814,"Y",58.948,20.952,31
36.878,44.274,13.674,46.77,"Class2","G",28.7,"U",75.416,42.148,5
35.393,49.101,18.891,48.678,"Class2","R",35.73,"N",94.445,46.716,7
39.161,47.987,23.916,41.572,"Class2","S",27.55,"V",41.934,46.133,7
39.579,36.072,93.34,82.694,"Class1","L",85.182,"M",50.383,30.867,29
34.843,69.424,16.513,72.104,"Class2","G",35.004,"Y",51.581,50.9,6
23.448,25.066,76.459,80.305,"Class1","Q",88.128,"M",49.381,23.064,42
33.785,27.038,25.358,81.496,"Class1","A",86.442,"A",65.639,24.735,41
16.826,64.235,80.844,83.829,"Class1","L",89.412,"A",81.429,12.795,40
38.546,70.708,42.443,NA,"Class2","S",27.78,"N",47.523,44.165,2
14.301,32.951,74.884,85.823,"Class1","L",91.507,"R",48.588,25.347,29
40.887,62.699,31.38,62.676,"Class2","S",30.438,"Y",57.459,50.053,7
12.659,57.644,81.258,84.233,"Class1","L",88.811,"Y",60.753,25.113,42
28.405,21.426,46.337,86.876,"Class1","S",91.84,"R",67.603,29.965,31
32.545,51.132,19.904,11.325,"Class2","R",28.173,"T",51.097,48.232,0
43.193,69.169,30.283,55.614,"Class2","L",24.847,NA,49.378,46.202,4
35.688,58.811,9.496,3.264,"Class2","R",23.014,"T",42.344,45.992,2
39.333,74.213,49.613,24.377,"Class2","R",34.516,"N",93.446,50.55,1
27.391,42.231,66.323,83.755,"Class1","S",90.357,"M",65.855,22.252,23
32.091,46.208,43.98,75.74,"Class1","Q",92.801,"G",83.97,25.336,42
38.723,51.034,21.867,43.859,"Class2","L",34.358,"U",63.533,43.594,2
32.591,71.71,42.103,31.116,"Class2","L",29.791,"Y",85.125,48.153,1
43.144,71.947,49.766,48.484,"Class2","R",27.647,"V",46.853,41.019,1
23.885,41.166,92.642,87.087,"Class1","S",91.442,"M",74.763,14.87,29
43.404,32.625,66.063,63.839,"Class1","L",89.628,"G",90.221,27.557,31
35.23,49.315,40.5,70.385,"Class2","S",29.552,"U",61.935,43.761,4
36.914,46.272,63.636,29.397,"Class2","G",33.119,"V",35.282,43.833,4
39.645,46.323,121.627,83.234,"Class1","Q",90.243,"M",58.128,27.251,40
35.188,63.981,27.292,14.419,"Class2","G",23.905,"Y",42.591,47.401,1
28.436,63.004,109.938,77.049,"Class1","A",90.356,"M",57.859,22.121,35
29.158,25.693,62.802,71.052,"Class1","Q",88.817,"Y",39.722,16.287,28
39.565,74.304,29.558,4.315,"Class2","L",35.114,"U",49.95,43.294,4
36.035,52.209,73.92,73.575,"Class1","N",88.19,"Y",93.902,7.189,34
27.124,46.457,62.57,87.447,"Class1","S",89.433,NA,74.862,14.981,26
32.476,29.412,47.14,73.464,"Class1","N",93.627,"Y",79.98,17.234,42
10.661,62.41,59.546,77.955,"Class1","L",92.773,"G",78.729,25.106,38
17.364,53.099,33.231,78.809,"Class1","S",88.783,"R",80.479,12.352,38
41.926,48.593,19.622,21.495,"Class2","R",24.321,"N",48,47.924,6
36.916,41.036,54.109,21.764,"Class2","G",35.057,"V",25.352,47.502,7
36.279,45.583,26.423,11.605,"Class2","T",30.034,NA,44.878,48.823,2
18.857,35.499,41.166,82.102,"Class1","L",90.262,"G",37.024,6.346,26
30.811,21.757,42.083,80.416,"Class1","L",88.746,"G",83.846,16.915,35
11.406,37.246,54.919,72.043,"Class1","N",92.716,"Y",83.703,26.994,40
38.088,23.982,42.392,83.126,"Class1","Q",86.243,"R",82.648,28.257,23
38.752,53.334,62.48,17.053,"Class2","T",26.165,NA,90.623,41.212,0
43.504,29.988,46.034,83.454,"Class1","L",84.653,"Y",74.908,19.848,27
4.382,56.759,11.502,85.335,"Class1","S",92.759,"G",67.481,6.287,40
35.878,70.258,13.916,24.759,"Class2","S",29.706,"N",66.51,44.537,0
41.827,56.72,21.642,36.866,"Class2","G",24.991,"N",67.475,44.456,7
36.012,19.001,73.819,70.807,"Class1","N",87.938,"A",72.223,9.135,32
42.377,47.085,39.855,50.968,"Class2","T",31.342,"Y",77.155,49.396,4
33.647,62.126,77.86,NA,"Class1","Q",92.946,"A",47.012,28.609,41
35.347,19.248,73.583,88.095,"Class1","L",93.292,"G",83.341,26.718,24
37.173,75.797,15.137,34.183,"Class2","G",31.754,"U",35.34,47.602,3
38.286,78.445,29.898,-26.758,"Class2","T",35.719,"U",57.978,44.805,5
39.687,68.455,47.885,0.517,"Class2","S",30.074,"U",66.792,51.967,1
39.214,45.2,64.18,31.848,"Class2","S",30.358,"T",37.309,46.723,2
38.844,54.445,61.799,8.49,"Class2","T",30.754,"U",53.578,47.826,5
27.521,18.853,74.837,80.354,"Class1","L",90.088,"M",53.349,24.9,28
36.873,66.928,56.261,47.637,"Class2","T",34.566,"U",69.564,50.878,3
18.497,25.173,51.249,72.691,"Class1","L",93.812,"A",41.27,12.6,39
39.136,74.779,49.921,35.05,"Class2","S",35.852,"T",53.642,50.103,6
37.128,60.295,16.283,42.744,"Class2","T",33.877,"T",37.611,47.632,2
36.788,64.122,73.863,42.09,"Class2","L",33.77,"T",66.988,43.782,2
33.476,60.357,38.021,28.736,"Class2","L",33.727,"T",48.696,49.379,2
27.753,41.683,-3.011,79.421,"Class1","S",86.822,"R",75.703,9.193,27
37.368,61.54,19.318,51.887,"Class2","R",31.549,NA,89.003,49.176,5
42.446,44.024,27.558,38.583,"Class2","S",34.816,"V",94.508,46.279,6
40.859,63.408,21.309,46.31,"Class2","R",33.359,"U",38.021,43.446,5
11.837,24.163,82.441,NA,"Class1","N",89.342,"Y",66.032,12.493,39
20.075,51.994,93.709,76.525,"Class1","S",91.16,"Y",78.437,20.104,38
37.265,52.812,47.167,20.739,"Class2","G",24.709,"Y",83.23,42.261,5
37.678,64.387,46.51,65.451,"Class2","S",35.215,"T",91.26,46.009,1
24.698,50.225,44.248,83.456,"Class1","Q",89.75,"Y",64.529,23.297,25
25.725,35.508,79.568,82.428,"Class1","L",87.309,"R",90.857,23.458,27
38.086,31.941,61.584,81.009,"Class1","N",90.029,"G",65.421,22.12,27
24.938,33.785,101.409,77.22,"Class1","N",88.559,"G",82.156,30.812,27
35.724,74.684,37.791,59.126,"Class2","S",24.54,"U",72.575,42.626,6
17.396,19.024,77.931,86.445,"Class1","S",86.621,"M",52.651,23.226,26
