"ONE1","IKD2","BMI3","ZSL4","RJC5","VJC6","PKO7","EST8","CYT9","Output6"
76.576,76.189,78.578,50.592,25.499,75.661,"I",90,25.659,"Class4"
51.762,46.897,21.064,28.472,19.179,70.35,"J",23,66.166,"Class5"
34.092,57.894,64.635,26.8,16.128,71.882,"J",35,52.667,"Class5"
43.638,54.328,42.105,9.672,19.376,71.518,"T",38,69.249,"Class5"
76.461,24.784,43.197,74.231,84.49,23.918,"T",85,63.886,"Class2"
94.909,45.15,63.827,66.112,65.258,75.92,"B",97,76.158,"Class1"
60.936,23.949,72.591,39.114,66.583,41.643,"I",79,26.389,"Class4"
13.53,75.287,11.897,15.513,4.999,49.069,"N",11,65.356,"Class3"
94.824,3.134,54.425,66.094,69.968,78.114,"W",98,17.658,"Class1"
94.672,54.06,57.086,65.862,32.681,81.198,"M",96,126.35,"Class1"
40.478,72.996,75.502,42.787,70.603,65.373,"W",91,13.109,"Class4"
68.234,24.221,42.523,76.919,75.277,17.467,"G",89,87.301,"Class2"
81.068,24.804,31.008,41.362,NA,12.778,"P",71,101.144,"Class2"
37.877,57.962,51.843,23.266,17.948,48.285,"T",28,51.396,"Class5"
39.123,51.452,51.98,24,15.25,60.566,"J",26,63.745,"Class5"
42.673,81.146,17.106,19.358,1.388,39.939,"F",6,49.344,"Class3"
35.792,71.418,19.696,17.435,9.441,34.667,"F",24,61.249,"Class3"
39.547,59.203,60.347,16.594,21.53,54.392,"M",30,71.194,"Class5"
95.155,73.805,57.933,69.354,75.036,72.973,"B",100,94.171,"Class1"
41.382,70.161,15.463,15.369,4.573,32.698,"D",23,59.069,"Class3"
82.887,22.787,35.349,75.47,63.823,17.149,"C",79,65.441,"Class2"
35.587,49.831,24.57,16.429,22.063,50.949,"J",28,59.031,"Class5"
98.984,43.789,66.894,65.42,74.307,70.904,"B",95,37.553,"Class1"
53.152,51.238,11.253,15.386,22.767,67.338,"M",20,63.427,"Class5"
98.592,43.031,55.897,64.146,46.708,80.243,"N",95,54.424,"Class1"
60.569,56.808,82.654,38.668,49.953,62.026,"H",83,23.434,"Class4"
59.974,55.242,83.074,50.273,49.91,50.881,"C",92,32.749,"Class4"
50.944,64.267,81.243,51.953,34.367,40.992,"H",64,35.763,"Class4"
96.356,26.601,67.024,59.72,71.378,88.629,"W",96,103.395,"Class1"
95.774,31.858,68.702,59.11,NA,84.446,"M",97,6.855,"Class1"
81.31,73.768,77.295,44.286,83.472,54.121,"H",60,20.076,"Class4"
86.498,22.409,29.616,81.898,66.713,20.626,"P",91,62.367,"Class2"
74.057,26.441,52.22,29.664,90.076,23.432,"F",76,76.803,"Class2"
73.655,24.439,46.168,75.658,95.071,27.975,"P",71,92.89,"Class2"
45.445,49.875,57.384,25.743,21.092,67.55,"J",39,57.266,"Class5"
69.964,24.338,47.279,65.439,66.123,14.506,"P",77,71.998,"Class2"
97.584,1.654,45.289,60.931,75.331,81.406,"W",100,98.421,"Class1"
32.247,70.746,24.724,19.325,3.822,55.158,"O",5,66.597,"Class3"
69.857,27.515,33.197,41.037,65.915,6.558,"G",69,69.896,"Class2"
50.433,50.312,79.913,64.62,84.82,66.357,"C",89,21.64,"Class4"
93.674,86.875,57.033,65.459,43.152,82.784,"F",95,11.18,"Class1"
33.289,47.421,63.454,20.449,20.821,65.492,"F",34,66.598,"Class5"
78.271,85.465,80.411,54.926,52.649,58.946,"I",77,16.246,"Class4"
95.592,40.446,57.023,62.446,67.289,75.397,"B",97,NA,"Class1"
42.121,31.54,108.883,21.837,16.838,54.765,"J",31,56.934,"Class5"
96.736,57.693,63.251,67.384,49.891,70.861,"F",97,46.094,"Class1"
46.538,78.772,20.763,18.15,12.007,50.353,"O",38,68.618,"Class3"
71.774,94.809,79.415,55.515,44.349,78.046,"W",92,25.366,"Class4"
96.657,65.133,56.083,54.793,32.475,81.981,"W",100,90.898,"Class1"
96.62,35.436,49.356,61.201,75.283,74.631,"N",96,65.111,"Class1"
86.659,26.317,1.4,90,69.944,11.975,"T",74,89.627,"Class2"
96.406,33.893,68.068,62.841,NA,69.051,"N",100,38.422,"Class1"
68.555,76.016,85.257,43.486,70.215,35.46,"H",89,22.892,"Class4"
70.761,41.889,71.351,41.482,57.523,38.954,"H",78,26.323,"Class4"
76.608,47.275,74.343,58.825,35.293,37.306,"I",63,NA,"Class4"
42.356,71.749,77.042,30.558,NA,62.965,"T",39,76.025,"Class5"
56.19,82.045,82.362,44.34,31.499,48.385,"H",81,35.01,"Class4"
80.662,68.202,78.827,61.349,78.718,58.672,"H",73,40.118,"Class4"
28.667,83.102,19.012,15.56,2.855,33.388,"D",31,55.815,"Class3"
60.101,58.653,76.116,37.901,78.594,53.358,"H",70,45.548,"Class4"
95.343,68.317,74.041,69.853,35.092,76.257,"M",97,35.794,"Class1"
66.947,61.063,72.633,51.143,24.208,33.698,"W",77,56.621,"Class4"
66.982,32.251,78.515,62.44,35.856,57.029,"I",69,10.14,"Class4"
98.048,83.357,67.156,65.762,70.52,87.509,"F",95,64.665,"Class1"
39.977,45.269,74.596,51.447,62.141,54.3,"W",65,33.242,"Class4"
44.649,59.526,83.211,41.043,NA,78.468,"I",71,31.446,"Class4"
21.78,77.637,22.736,15.441,11.585,40.841,"D",3,70.714,"Class3"
71.089,23.951,40.466,35.033,93.852,20.832,"T",91,80.883,"Class2"
67.001,26.198,27.934,88.875,66.362,12.626,"G",92,72.649,"Class2"
25.872,76.361,23.883,17.31,15.243,37.47,"N",34,50.214,"Class3"
-3.705,81.697,21.906,16.297,7.885,45.305,"O",18,61.939,"Class3"
63.94,75.554,75.278,65.714,69.251,50.596,"C",91,37.113,"Class4"
95.735,51.52,71.453,66.953,NA,88.719,"N",95,27.487,"Class1"
52.872,67.476,83.816,11.227,15.824,71.01,"V",36,48.495,"Class5"
29.034,45.643,43.716,15.469,21.457,59.372,"T",36,72.845,"Class5"
37.048,73.942,26.298,19.905,2.737,40.181,"N",25,67.678,"Class3"
28.567,81.199,16.584,15.31,11.051,41.519,"T",21,69.982,"Class3"
43.182,49.521,28.444,26.233,NA,62.868,"V",25,58.864,"Class5"
74.054,23.99,34.489,65.398,78.491,16.664,"T",64,62.858,"Class2"
33.848,60.271,29.051,14.013,NA,69.322,"M",25,53.553,"Class5"
56.269,26.128,22.77,93.658,71.715,15.477,"P",74,48.906,"Class2"
47.584,59.798,38.988,30.427,21.77,55.146,"J",38,70.678,"Class5"
95.9,69.129,64.916,60.364,76.562,81.882,"F",100,42.95,"Class1"
96.469,45.836,77.951,59.621,NA,73.788,"N",98,-2.002,"Class1"
29.086,76.29,20.165,18.338,1.91,53.73,"N",13,73.42,"Class3"
41.764,63.261,44.922,11.276,20.202,60.117,"F",39,66.313,"Class5"
98.11,30.067,64.254,54.655,65.267,70.142,"N",96,67.352,"Class1"
33.226,67.23,22.43,18.107,13.013,52.318,"F",26,68.812,"Class3"
50.562,61.711,78.07,39.188,64.843,59.589,"W",86,38.33,"Class4"
33.182,37.587,72.873,15.872,18.539,67.178,"F",26,49.864,"Class5"
33.391,89.862,81.298,50.028,50.003,78.761,"W",62,44.056,"Class4"
79.899,69.699,80.713,37.229,75.549,78.865,"C",70,3.065,"Class4"
81.037,25.11,30.91,83.753,62.421,27.044,"G",93,32.71,"Class2"
74,24.676,53.857,42.606,87.009,26.817,"P",87,76.442,"Class2"
50.678,63.097,35.894,10.945,21.716,48.854,"M",29,59.607,"Class5"
43.641,44.191,23.192,32.7,18.106,45.688,"M",34,69.953,"Class5"
71.393,22.89,51.301,93.287,68.102,29.068,"G",80,60.591,"Class2"
53.891,85.874,77.643,58.221,30.547,71.904,"C",87,16.183,"Class4"
27.472,49.728,35.258,12.761,20.732,70.347,"M",32,57.429,"Class5"
27.574,47.703,45.22,32.205,17.751,57.154,"F",22,57.027,"Class5"
75.6,44.806,80.986,46.78,69.618,71.88,"I",82,38.302,"Class4"
75.624,25.447,29.355,83.793,65.001,26.906,"T",87,82.522,"Class2"
34.704,50.041,37.599,11.908,15.737,62.436,"T",31,56.439,"Class5"
30.14,76.842,25.422,18.332,1.926,40.047,"N",14,63.033,"Class3"
82.996,20.03,52.311,38.537,NA,25.671,"P",68,59.792,"Class2"
96.257,26.265,62.754,60.388,73.099,76.954,"B",98,33.701,"Class1"
17.155,60.183,21.186,23.675,21.902,64.444,"V",22,76.733,"Class5"
48.641,53.033,37.471,15.453,18.992,63.69,"V",32,74.91,"Class5"
46.488,44.065,62.249,11.056,17.689,63.759,"J",35,61.561,"Class5"
50.843,81.462,20.435,17.571,8.327,44.697,"N",24,68.633,"Class3"
76.921,61.749,82.507,46.128,47.097,45.592,"A",70,25.932,"Class4"
23.433,44.832,93.655,21.41,18.906,53.481,"J",20,66.97,"Class5"
85.73,25.864,54.701,37.392,96.435,13.993,"T",93,92.014,"Class2"
36.037,60.442,-13.268,19.266,17.178,58.786,"V",39,54.613,"Class5"
37.756,36.929,73.304,65.458,66.962,50.754,"C",78,35.037,"Class4"
97.092,61.756,76.552,51.663,31.982,57.184,"I",76,30.794,"Class4"
97.325,47.352,59.125,55.052,73.085,77.596,"N",96,81.136,"Class1"
74.605,23.081,10.83,92.697,89.57,11.539,"G",77,72.892,"Class2"
40.798,85.345,15.348,19.252,13.997,30.57,"T",40,68.801,"Class3"
97.815,53.967,56.459,67.406,59.139,76.931,"F",96,45.032,"Class1"
46.709,67.474,78.357,50.935,60.201,61.113,"C",76,26.3,"Class4"
45.577,57.691,66.227,18.574,17.617,59.667,"V",29,52.263,"Class5"
95.843,60.002,58.54,62.663,73.064,71.231,"B",99,82.735,"Class1"
98.301,70.591,62.486,63.765,NA,83.15,"N",99,93.38,"Class1"
43.953,51.929,78.209,48.504,56.314,51.706,"H",81,34.103,"Class4"
69.844,23.82,28.216,54.213,62.321,8.78,"P",64,80.432,"Class2"
40.52,34.939,79.878,23.211,21.329,47.836,"F",22,52.915,"Class5"
67.172,24.307,31.18,76.982,70.47,21.919,"G",84,91.967,"Class2"
87.328,23.302,55.339,26.564,96.541,16.348,"P",70,84.575,"Class2"
77.472,24.68,36.21,67.947,73.88,23.898,"P",91,79.461,"Class2"
33.214,48.664,80.438,38.954,35.648,34.469,"H",88,12.068,"Class4"
94.769,39.855,65.129,65.885,72.229,82.72,"N",97,45.963,"Class1"
45.962,48.518,31.051,30.955,15.465,66.883,"T",20,72.1,"Class5"
58.448,51.735,81.51,47.672,30.937,53.426,"H",72,9.882,"Class4"
50.601,57.401,63.077,23.446,22.736,46.103,"M",24,57.512,"Class5"
24.107,84.187,21.074,17.857,NA,32.901,"N",9,68.155,"Class3"
9.116,73.336,17.631,19.38,2.543,33.845,"F",37,62.629,"Class3"
29.805,78.446,78.603,49.936,81.033,39.145,"I",61,17.26,"Class4"
33.288,53.088,54.405,25.267,20.289,66.855,"M",32,48.792,"Class5"
97.337,45.33,78.898,68.041,33.509,79.406,"B",96,67.508,"Class1"
35.759,56.432,40.855,31.016,18.363,63.412,"F",29,51.527,"Class5"
35.081,74.229,25.742,15.599,15.79,49.939,"N",35,67.204,"Class3"
94.72,19.896,62.266,56.233,54.604,76.469,"N",99,27.096,"Class1"
-4.861,76.203,13.977,18.086,4.787,25.925,"T",8,58.785,"Class3"
37.584,61.049,27.391,17.686,17.043,56.383,"F",25,49.06,"Class5"
37.367,60.856,42.4,23.081,17.084,67.654,"J",21,65.976,"Class5"
96.861,28.131,54.686,67.83,55.803,78.207,"N",99,87.665,"Class1"
17.747,38.561,83.285,45.964,79.27,51.229,"I",61,26.633,"Class4"
52.389,52.14,67.828,15.985,NA,52.977,"F",24,73.735,"Class5"
40.377,52.078,14.348,33.597,18.526,60.104,"F",22,73.689,"Class5"
97.298,17.61,57.487,55.069,49.849,87.831,"F",95,70.941,"Class1"
87.153,22.779,37.965,38.363,88.207,19.71,"C",82,79.786,"Class2"
80.155,62.974,83.695,55.372,29.994,64.004,"H",89,1.772,"Class4"
55.583,85.561,80.049,60.884,72.928,71.824,"W",90,24.677,"Class4"
97.35,47.596,65.705,62.057,81.122,86.502,"F",98,16.966,"Class1"
16.403,77.535,14.733,17.325,8.05,49.275,"O",6,61.915,"Class3"
96.838,37.072,62.22,56.897,34.67,82.266,"M",95,57.757,"Class1"
89.508,56.353,76.555,40.598,43.445,39.882,"H",74,30.429,"Class4"
16.019,72.56,24.272,18.581,11.572,44.786,"F",31,78.638,"Class3"
97.496,51.679,70.697,66.371,33.081,88.746,"W",96,79.839,"Class1"
67.525,76.181,78.535,63.413,48.475,33.062,"C",92,35.215,"Class4"
78.19,82.423,69.972,40.101,55.046,44.674,"I",64,NA,"Class4"
71.137,85.885,82.316,58.414,69.312,62.104,"A",67,10.716,"Class4"
47.209,65.206,73.472,63.368,55.274,77.963,"C",68,38.224,"Class4"
60.926,83.085,82.126,38.407,69.595,77.148,"H",81,24.382,"Class4"
86.219,24.999,-1.594,43.912,90.81,29.794,"P",83,34.747,"Class2"
56.006,55.374,28.488,29.115,17.076,50.215,"T",26,62.579,"Class5"
26.042,55.819,29.425,28.668,18.663,50.342,"V",22,67.666,"Class5"
99.211,82.093,80.802,60.109,51.092,38.485,"C",83,32.679,"Class4"
33.346,55.592,32.537,15.789,18.254,63.767,"T",37,42.222,"Class5"
45.839,55.449,35.17,23.851,21.081,68.002,"F",26,60.39,"Class5"
80.736,22.927,31.312,33.329,74.331,14.511,"T",80,70.06,"Class2"
58.791,51.695,80.706,51.897,65.784,61.862,"I",61,29.559,"Class4"
16.454,76.999,6.981,16.015,5.735,40.406,"F",18,77.484,"Class3"
33.993,70.422,23.067,15.098,4.994,33.879,"O",16,54.23,"Class3"
47.661,80.718,20,15.429,8.49,30.826,"F",9,65.962,"Class3"
42.289,63.144,24.195,9.168,22.36,54.067,"J",39,61.286,"Class5"
92.996,72.336,57.007,59.66,85.631,74.076,"W",100,60.943,"Class1"
36.099,73.451,37.524,16.982,11.102,43.68,"N",9,62.968,"Class3"
95.172,28.126,51.141,66.218,83.351,76.75,"W",96,65.87,"Class1"
62.637,26.64,27.62,61.705,78.303,13.87,"T",89,70.603,"Class2"
74.769,22.653,33.817,45.936,64.385,11.618,"G",68,73.749,"Class2"
28.519,77.248,25.732,15.466,6.648,47.57,"O",29,53.687,"Class3"
81.743,23.093,24.148,88.663,84.393,24.115,"P",92,NA,"Class2"
49.99,80.607,79.665,54.899,NA,68.283,"C",66,32.483,"Class4"
94.906,48.684,65.872,63.201,67.174,76.817,"W",98,14.116,"Class1"
22.682,76.998,28.408,18.939,0.557,55.87,"T",34,59.529,"Class3"
97.482,61.709,71.88,67.532,84.562,83.452,"B",97,30.15,"Class1"
78.171,25.392,41.328,51.195,81.017,10.451,"P",81,82.567,"Class2"
51.551,59.783,8.539,9.921,15.577,60.681,"T",25,NA,"Class5"
97.278,36.75,73.737,63.845,89.198,73.684,"W",98,44.186,"Class1"
50.178,45.799,85.062,28.877,15.898,59.609,"M",26,64.608,"Class5"
69.87,22.384,26.466,55.789,65.604,18.013,"P",73,83.217,"Class2"
82.104,26.522,16.188,75.965,81.183,23.507,"T",64,46.742,"Class2"
72.887,21.789,22.314,53.757,65.82,8.173,"P",78,83.538,"Class2"
58.8,29.59,73.799,48.425,75.443,59.848,"C",89,37.658,"Class4"
95.617,24.923,74.68,61.113,81.237,88.397,"W",98,35.54,"Class1"
41.303,68.868,10.355,18.968,12.933,28.746,"N",34,60.94,"Class3"
98.59,64.812,65.503,63.448,55.375,84.134,"B",96,31.94,"Class1"
95.506,30.443,59.813,64.244,76.862,83.974,"B",99,NA,"Class1"
71.091,24.934,52.134,85.159,72.201,18.53,"T",72,69.575,"Class2"
68.455,73.752,84.061,57.602,69.629,55.226,"I",62,26.636,"Class4"
43.334,60.844,59.748,21.35,18.732,64.984,"V",22,60.155,"Class5"
76.943,24.558,40.516,93.007,66.334,13.116,"P",82,62.361,"Class2"
30.618,76.289,20.618,16.307,5.978,27.749,"F",33,88.384,"Class3"
65.274,78.719,20.133,15.857,8.728,55.439,"F",1,77.211,"Class3"
72.2,59.962,75.174,57.069,64.28,59.196,"W",87,36.582,"Class4"
43.242,50.527,48.861,27.784,16.905,62.328,"V",28,52.354,"Class5"
34.892,46.85,28.434,10.342,NA,56.279,"J",38,62.096,"Class5"
36.903,68.426,25.201,17.44,6.815,35.718,"D",1,66.033,"Class3"
44.186,55.961,-17.96,19.265,21.162,54.723,"M",34,46.444,"Class5"
85.657,66.167,77.356,45.485,31.008,63.923,"C",76,22.239,"Class4"
33.03,75.249,82.618,57.647,74.156,53.388,"H",81,26.38,"Class4"
69.484,68.593,79.465,51.592,NA,58.058,"A",75,21.103,"Class4"
39.061,59.331,2.802,14.706,19.199,55.706,"T",24,82.838,"Class5"
86.418,26.139,49.381,88.113,73.482,16.56,"F",71,94.156,"Class2"
82.693,23.86,13.081,76.881,83.442,10.753,"C",69,79.262,"Class2"
9.777,80.61,16.857,17.392,0.145,36.498,"D",40,59.887,"Class3"
34.516,65.961,61.757,31.843,21.963,53.77,"T",33,62.29,"Class5"
69.539,28.772,75.735,43.63,32.637,44.161,"C",64,26.914,"Class4"
96.333,68.46,55.06,62.951,40.338,83.442,"F",100,54.744,"Class1"
30.04,54.981,36.799,33.659,15.474,69.564,"M",29,56.196,"Class5"
54.366,59.927,80.601,53.626,29.247,72.974,"W",76,31.406,"Class4"
75.253,22.52,41.754,52.413,95.484,26.38,"T",80,66.382,"Class2"
93.144,23.593,78.466,40.29,65.719,61.841,"I",69,32.956,"Class4"
46.078,64.383,91.548,18.73,20.266,62.657,"J",24,62.838,"Class5"
78.639,27.432,38.507,67.155,72.062,16.526,"T",83,68.951,"Class2"
95.915,48.749,72.695,42.864,41.074,58.324,"C",68,40.408,"Class4"
72.235,23.561,38.922,48.938,76.887,18.92,"G",67,NA,"Class2"
45.477,52.388,21.601,19.157,NA,66.99,"T",36,64.802,"Class5"
56.677,51.464,77.226,61.968,30.899,67.055,"I",71,17.572,"Class4"
96.152,67.6,63.83,66.207,79.316,77.366,"W",98,41.375,"Class1"
84.43,21.61,52.366,55.844,95.628,22.923,"T",73,55.633,"Class2"
60.69,23.034,51.791,60.266,87.898,8.938,"G",82,56.767,"Class2"
52.276,87.225,28.454,16.468,7.487,46.881,"O",16,NA,"Class3"
33.897,69.761,16.986,21.197,NA,70.473,"T",20,70.484,"Class5"
25.052,73.933,28.278,18.829,2.37,27.621,"D",2,75.494,"Class3"
95.761,65.091,76.108,66.369,73.015,80.873,"M",95,46.917,"Class1"
67.196,25.018,61.636,75.905,72.048,7.006,"G",76,84.92,"Class2"
51.71,51.503,9.535,28.254,NA,60.108,"M",31,56.468,"Class5"
86.258,24.877,18.489,27.989,81.463,16.18,"P",90,73.137,"Class2"
78.517,22.146,29.249,84.64,67.374,19.826,"P",66,56.685,"Class2"
87.187,22.955,46.848,26.394,89.646,21.223,"F",67,80.322,"Class2"
45.173,79.964,19.802,19.343,4.54,51.589,"T",23,73.494,"Class3"
32.329,54.392,19.333,23.181,17.772,57.087,"M",24,79.821,"Class5"
75.904,24.336,41.086,25.112,69.669,12.21,"F",82,46,"Class2"
36.775,75.913,18.04,15.156,3.868,54.909,"T",22,53.79,"Class3"
96.814,85.797,71.142,67.627,NA,71.214,"B",97,88.055,"Class1"
58.881,42.133,82.147,52.506,32.962,57.907,"W",88,NA,"Class4"
27.088,81.908,20.888,16.49,0.772,27.495,"F",23,79.397,"Class3"
59.965,63.329,27.31,15.999,NA,50.489,"N",40,77.143,"Class3"
96.216,57.467,69.842,54.496,36.966,77.398,"F",100,33.139,"Class1"
98.009,52.425,76.03,69.842,39.361,77.105,"B",97,73.545,"Class1"
67.6,80.023,29.854,18.476,9.844,52.147,"T",39,58.109,"Class3"
36.399,49.415,81.288,9.142,21.524,53.335,"T",37,71.321,"Class5"
25.199,51.609,38.529,21.066,19.729,70.013,"T",33,62.767,"Class5"
45.926,79.785,20.819,18.762,14.027,25.952,"F",25,52.776,"Class3"
39.64,72.557,17.492,17.832,9.421,46.728,"T",7,57.637,"Class3"
53.708,58.793,82.737,46.764,44.504,69.281,"C",66,38.226,"Class4"
92.685,40.807,83.48,57.43,28.643,32.825,"A",78,34.955,"Class4"
48.25,57.417,83.186,42.758,74.874,59.354,"H",69,18.433,"Class4"
59.401,73.125,77.358,44.354,54.69,75.447,"C",71,13.328,"Class4"
71.914,22.145,29.101,48.222,76.602,16.62,"P",92,70.401,"Class2"
50.211,49.813,83.63,51.87,61.917,56.418,"I",85,35.579,"Class4"
98.14,68.426,60.492,55.112,90.013,76.471,"N",100,59.208,"Class1"
84.326,22.248,49.873,25.473,94.526,9.157,"F",79,83.776,"Class2"
41.353,81.849,16.179,18.878,9.55,27.265,"F",16,79.864,"Class3"
38.288,55.577,66.508,10.92,19.128,61.161,"F",22,68.119,"Class5"
83.387,26.714,32.482,49.216,76.399,6.374,"P",79,76.292,"Class2"
45.031,68.8,27.957,17.24,NA,56.521,"D",14,68.431,"Class3"
97.698,74.406,62.289,54.878,59.637,70.154,"F",96,58.596,"Class1"
78.177,23.562,44.752,49.872,74.302,21.868,"T",72,65.495,"Class2"
97.145,77.269,51.516,59.981,85.053,75.113,"N",99,9.92,"Class1"
74.043,25.59,56.193,35.299,92.499,10.032,"T",93,76.43,"Class2"
72.958,70.411,81.108,45.408,57.529,37.054,"I",70,2.03,"Class4"
54.54,52.725,37.229,13.698,15.432,50.306,"J",23,43.597,"Class5"
48.69,77.692,17.99,18.485,12.032,50.856,"F",19,49.936,"Class3"
52.322,64.904,80.384,39.326,81.32,48.866,"C",71,30.563,"Class4"
95.007,40.426,54.098,55.321,78.7,85.677,"W",95,79.489,"Class1"
30.374,77.143,23.806,16.033,13.487,26.085,"O",3,66.525,"Class3"
68.405,24.368,36.363,86.31,92.583,16.792,"G",84,89.505,"Class2"
46.909,52.405,55.27,17.021,NA,69.932,"J",29,46.034,"Class5"
96.806,78.73,79.084,59.92,50.188,71.169,"F",95,63.162,"Class1"
96.817,32.661,68.876,69.538,53.737,78.155,"N",98,52.426,"Class1"
44.551,59.53,92.747,9.322,22.953,52.32,"F",24,66.996,"Class5"
97.512,18.941,74.5,69.832,76.595,72.76,"W",99,47.746,"Class1"
83.315,80.054,78.053,55.043,41.173,64.573,"W",75,1.932,"Class4"
84.1,62.966,78.184,60.334,27.733,63.248,"H",70,NA,"Class4"
59.997,22.934,49.174,44.706,63.886,25.174,"F",77,86.045,"Class2"
84.088,27.281,20.259,65.433,94.6,8.342,"G",65,24.83,"Class2"
73.857,26.798,56.769,49.928,95.365,29.799,"F",91,56.768,"Class2"
51.436,83.783,8.535,18.297,4.582,38.044,"T",25,56.12,"Class3"
39.865,38.402,53.312,12.813,15.895,56.017,"F",22,65.455,"Class5"
38.844,56.345,6.442,26.006,21.86,66.53,"T",26,66.95,"Class5"
7.195,76.818,26.92,19.58,13.794,38.865,"T",7,54.546,"Class3"
45.115,37.118,59.754,24.149,NA,70.224,"M",39,44.821,"Class5"
11.29,73.436,28.125,15.116,0.422,28.369,"N",25,68.474,"Class3"
53.524,72.215,21.781,18.737,11.666,40.946,"F",8,51.363,"Class3"
97.232,44.858,64.987,67.134,NA,85.055,"M",98,73.258,"Class1"
31.337,50.316,5.542,15.833,20.803,53.775,"F",28,45.194,"Class5"
66.023,94.462,84.367,64.682,41.352,51.109,"A",83,NA,"Class4"
70.849,23.26,25.902,65.116,69.332,14.234,"G",93,81.822,"Class2"
37.077,45.935,89.899,13.939,18.68,52.614,"J",21,NA,"Class5"
42.063,47.652,78.388,16.999,21.594,47.396,"M",23,71.399,"Class5"
20.918,72.137,17.084,18.682,3.29,43.158,"O",25,65.79,"Class3"
49.842,41.711,54.367,18.851,16.601,47.088,"V",30,62.128,"Class5"
91.131,23.127,32.281,37.683,88.738,16.8,"F",65,58.218,"Class2"
85.751,23.516,21.286,91.651,69.292,25.554,"G",83,85.652,"Class2"
76.821,72.014,81.933,58.396,78.325,65.1,"C",77,18.158,"Class4"
35.876,64.646,80.924,24.682,18.187,51.525,"F",22,76.372,"Class5"
7.116,73.697,17.803,18.106,11.111,45.625,"D",22,NA,"Class3"
32.389,54.832,86.738,40.74,48.86,46.41,"C",88,37.993,"Class4"
29.849,67.467,13.733,17.66,5.506,30.974,"O",11,55.579,"Class3"
49.704,59.052,42.821,24.894,17.103,61.475,"F",21,74.774,"Class5"
47.935,49.632,33.798,12.843,15.391,70.598,"M",37,67.037,"Class5"
97.999,45.664,55.424,64.24,73.283,73.039,"M",99,63.058,"Class1"
26.707,38.095,13.726,29.608,18.895,47.157,"J",32,61.461,"Class5"
75.183,28.095,38.983,50.551,65.935,28.029,"P",67,66.229,"Class2"
55.123,81.828,76.707,43.988,38.834,39.771,"I",92,28.274,"Class4"
42.644,51.434,66.844,24.918,17.382,45.141,"V",36,77.537,"Class5"
95.813,59.586,65.268,65.61,47.158,79.662,"W",97,24.393,"Class1"
84.045,19.749,77.837,61.165,52.494,70.546,"H",90,45.086,"Class4"
62.749,49.801,39.157,31.236,22.549,56.159,"M",30,62.827,"Class5"
96.931,52.104,59.541,65.233,67.858,73.409,"F",98,83.118,"Class1"
59.625,72.134,23.7,17.651,4.51,29.908,"D",35,64.646,"Class3"
93.474,53.818,59.391,65.397,52.252,75.772,"N",100,79.973,"Class1"
94.782,78.412,68.44,69.96,50.162,84.529,"B",98,12.514,"Class1"
55.785,26.423,83.178,42.665,27.153,33.356,"W",62,20.742,"Class4"
83.984,24.039,32.202,53.816,92.143,8.517,"F",67,53.051,"Class2"
24.594,73.138,23.564,15.404,12.723,34.931,"D",9,56.255,"Class3"
