"HOS1","AZC2","ANQ3","YKF4","BSU5","XTJ6","ORD7","DUN8","BPU9","CPR10","Output3"
88.411,36.255,12.353,"G",40,89.449,18.452,20.069,64.985,84.957,"Class1"
92.039,67.121,12.723,"K",55,74.791,18.095,21.806,71.115,85.306,"Class1"
88.564,83.62,11.988,"G",53,89.431,17.34,28.13,59.793,84.667,"Class1"
85.512,84.642,12.492,"B",45,51.651,19.849,16.859,71.717,85.121,"Class1"
60.231,36.252,41.192,"D",34,55.092,60.776,51.948,45.463,29.773,"Class2"
67.397,27.246,14.767,"P",74,18.521,66.74,46.691,51.439,32.481,"Class2"
89.222,54.301,12.165,"B",28,78.969,17.282,21.69,59.688,84.056,"Class1"
97.865,83.686,11.448,"G",22,88.428,16.125,19.168,65.87,86.61,"Class1"
73.257,53.83,9.632,"X",68,86.106,83.666,48.799,42.835,32.311,"Class2"
67.702,32.775,39.096,"X",63,NA,84.881,42.871,61.421,32.749,"Class2"
84.948,41.298,11.134,"F",28,75.083,17.644,10.872,61.094,85.129,"Class1"
92.073,71.776,11.099,"F",28,84.388,17.557,31.513,66.132,84.313,"Class1"
62.262,56.49,34.566,"G",14,63.348,88.702,51.805,59.238,33.783,"Class2"
75.852,28.856,46.335,"P",72,57.499,63.076,44.251,70.912,32.815,"Class2"
65.271,45.288,42.945,"G",14,30.409,75.935,43.405,52.786,31.923,"Class2"
56.706,50.224,19.711,"X",46,NA,73.06,49.183,47.419,31.576,"Class2"
52.715,46.752,49.991,"D",49,31.485,87.758,50.946,64.493,31.54,"Class2"
82.14,67.424,11.627,"B",23,87.736,17.354,12.118,56.583,84.668,"Class1"
87.971,56.497,12.312,"F",57,78.207,17.031,38.529,55.454,85.337,"Class1"
64.059,38.297,57.128,"X",74,47.823,68.365,50.749,33.61,29.791,"Class2"
88.385,41.604,12.605,"G",28,84.354,17.953,29.59,62.975,86.964,"Class1"
87.973,76.666,12.071,"K",56,53.229,19.901,18.255,55.589,84.623,"Class1"
64.617,32.445,48.73,"X",61,78.071,94.105,43.54,55.789,29.212,"Class2"
104.758,83.354,11.722,"V",46,60.638,19.909,26.844,51.006,84.78,"Class1"
68.136,24.134,35.284,"G",55,65.341,76.184,48.774,53.711,30.67,"Class2"
57.681,40.941,NA,"P",64,93.128,63.436,52.427,73.01,31.923,"Class2"
74.556,28.536,26.091,"G",46,54.9,76.346,38.178,66.257,30.746,"Class2"
94.024,51.387,12.416,"B",45,52.169,19.642,27.406,63.222,85.147,"Class1"
66.904,53.556,14.159,"D",33,18.338,64.725,51.862,63.943,32.726,"Class2"
100.3,55.594,11.551,"G",55,51.913,19.91,15.072,76.031,84.994,"Class1"
59.032,35.958,17.915,"G",71,55.582,59.45,51.197,64.03,30.325,"Class2"
71,30.463,17.484,"P",40,93.692,84.535,50.772,64.821,31.894,"Class2"
92.681,33.049,NA,"G",49,66.683,17.166,44.504,59.795,85.928,"Class1"
63.734,35.123,39.231,"G",51,44.651,64.936,49.292,74.13,31.503,"Class2"
92.754,75.601,12.245,"V",23,54.686,19.982,12.382,61.548,86.042,"Class1"
91.617,75.69,11.772,"F",27,50.993,16.428,12.992,64.193,86.739,"Class1"
49.73,45.654,47.556,"D",13,83.43,89.844,41.987,61.844,29.93,"Class2"
92.545,83.314,12.578,"B",36,87.452,16.654,19.294,54.916,86.934,"Class1"
96.501,55.097,11.264,"G",53,67.991,16.411,25.649,57.313,85.228,"Class1"
85.345,65.558,10.898,"F",43,71.03,18.977,30.671,60.937,85.917,"Class1"
69.531,43.685,40.137,"P",30,67.191,86.643,44.033,34.953,30.76,"Class2"
86.72,51.594,11.851,"B",36,78.589,19.413,19.377,65.874,86.081,"Class1"
54.247,29.839,51.29,"P",31,77.107,62.627,45.173,32.59,32.09,"Class2"
87.94,85.145,12.408,"B",29,59.553,19.551,22.203,55.863,85.009,"Class1"
59.335,56.428,34.948,"P",41,83.179,92.491,44.629,58.543,33.706,"Class2"
65.995,38.721,20.688,"C",69,60.015,56.762,49.955,63.355,32.294,"Class2"
85.887,41.164,12.499,"B",25,70.01,17.502,41.378,63.231,86.442,"Class1"
86.288,65.433,10.888,"K",28,84.516,17.041,18.69,54.099,84.561,"Class1"
90.06,47.764,13.288,"K",33,78.989,17.809,24.342,65.291,86.676,"Class1"
92.581,65.696,11.573,"B",38,56.376,19.608,24.349,65.715,84.353,"Class1"
60.481,44.421,27.646,"D",65,93.588,61.98,46.825,46.99,30.364,"Class2"
80.462,44.422,23.181,"G",24,74.447,78.674,44.755,55.283,32.204,"Class2"
81.401,41.71,11.981,"F",41,78.882,18.658,9.405,52.272,85.244,"Class1"
91.38,44.274,10.853,"G",38,53.492,19.307,30.49,52.997,85.912,"Class1"
66.812,46.209,41.952,"G",53,27.278,64.928,44.657,38.044,32.89,"Class2"
57.166,41.658,35.876,"P",59,65.708,75.939,40.545,47.017,33.834,"Class2"
59.285,50.745,52.228,"C",65,73.715,86.511,46.517,50.496,30.111,"Class2"
63.513,28.703,44.991,"C",50,13.774,60.754,44.783,59.42,31.639,"Class2"
53.628,33.284,26.705,"D",36,64.058,61.108,42.83,55.447,31.755,"Class2"
86.094,47.739,11.98,"V",51,57.113,17.923,13.049,54.098,86.706,"Class1"
96.447,62.148,12.17,"V",35,90.629,16.566,24.079,52.971,84.417,"Class1"
88.504,74.859,12.284,"V",52,68.105,16.736,27.408,74.586,85.881,"Class1"
57.364,51.225,55.639,"X",36,36.502,64.234,48.91,49.105,29.686,"Class2"
96.186,66.531,12.054,"K",27,56.555,18.357,21.286,51.493,84.845,"Class1"
88.469,50.319,12.292,"F",46,77.286,16.925,10.579,59.629,86.903,"Class1"
68.135,56.304,43.951,"G",42,24.7,88.577,37.047,49.363,31.115,"Class2"
66.38,31.846,38.375,"G",23,73.339,56.176,43.519,71.245,30.415,"Class2"
91.981,80.426,10.974,"K",44,91.19,17.154,16.566,66.666,86.538,"Class1"
61.875,31.066,66.582,"C",67,32.11,68.057,46.414,33.386,33.568,"Class2"
47.197,55.929,41.354,"D",11,34.81,88.824,37.112,40.885,32.131,"Class2"
63.94,43.073,34.72,"P",50,56.032,58.458,49.741,47.638,30.659,"Class2"
90.254,39.27,11.978,"V",23,50.977,16.987,13.571,55.258,86.745,"Class1"
79.543,69.286,11.572,"F",57,89.547,16.391,40.696,63.658,84.208,"Class1"
84.234,58.055,12.689,"V",40,65.679,19.605,17.107,61.814,84.996,"Class1"
63.897,35.359,33.966,"C",16,60.012,81.752,47.368,28.29,32.13,"Class2"
61.802,53.711,34.25,"P",25,53.278,62.284,42.738,59.964,32.084,"Class2"
69.985,46.287,26.443,"X",76,70.088,57.566,42.117,45.931,30.602,"Class2"
88.328,80.716,10.706,"G",34,55.7,18.336,21.377,58.045,84.264,"Class1"
89.646,56.388,10.659,"V",45,69.386,18.078,28.172,65.279,85.916,"Class1"
59.319,53.436,52.53,"C",45,31.546,71.066,38.223,58.922,32.601,"Class2"
63.97,32.89,49.347,"D",67,82.634,89.766,39.945,66.531,31.214,"Class2"
56.229,29.122,31.56,"P",45,76.734,57.836,41.553,35.303,29.667,"Class2"
90.319,69.902,12.229,"K",51,NA,16.582,3.615,58.262,85.649,"Class1"
95.678,85.26,12.396,"F",47,63.849,17.39,29.878,53.74,86.154,"Class1"
63.535,32.427,45.403,"D",28,65.885,55.802,47.266,60.523,33.603,"Class2"
85.994,58.234,11.098,"B",44,82.54,16.982,34.434,63.075,85.333,"Class1"
77.414,78.5,11.645,"F",48,76.293,16.339,35.153,62.183,86.798,"Class1"
92.15,55.488,11.891,"K",37,NA,18.569,23.835,64.992,84.122,"Class1"
98.271,65.216,11.333,"K",40,83.086,17.362,18.116,57.54,84.254,"Class1"
59.64,25.206,42.09,"P",16,33.857,80.522,43.992,58.562,33.408,"Class2"
63.772,26.54,45.801,"C",30,28.191,72.918,49.595,51.837,31.451,"Class2"
74.659,52.12,NA,"X",43,78.084,63.328,41.365,44.544,31.548,"Class2"
92.901,52.001,10.577,"F",36,83.526,19.105,7.689,49.734,86.686,"Class1"
62.065,49.101,42.734,"D",70,44.553,60.549,48.81,97.647,30.087,"Class2"
65.192,29.943,NA,"P",74,68.305,96.525,40.998,79.047,31.124,"Class2"
67.808,28.824,NA,"G",27,55.501,80.852,37.796,57.954,29.454,"Class2"
59.71,57.966,43.024,"D",24,19.8,95.798,45.564,77.365,32.812,"Class2"
61.558,44.92,44.477,"C",39,31.868,93.233,52.115,39.918,32.228,"Class2"
91.001,53.538,10.883,"K",49,84.986,16.628,17.604,59.885,84.823,"Class1"
88.013,56.467,12.17,"V",37,54.595,16.555,15.026,52.203,85.138,"Class1"
63.381,29.738,29.345,"X",41,NA,54.568,41.036,73.078,31.216,"Class2"
98.785,55.72,11.74,"V",36,51.831,18.769,16.834,80.39,86.639,"Class1"
86.709,80.991,11.552,"V",20,55.318,16.978,23.763,57.527,86.166,"Class1"
58.866,40.667,24.667,"C",13,49.22,84.648,47.662,63.254,32.042,"Class2"
74.085,52.299,41.078,"P",37,NA,59.164,43.841,56.095,33.159,"Class2"
58.48,44.436,43.249,"X",59,30.124,69.737,42.549,37.346,30.732,"Class2"
82.474,56.547,11.764,"G",56,79.827,16.023,27.53,51.535,84.69,"Class1"
55.184,28.251,11.364,"C",64,NA,61.687,41.027,72.177,32.402,"Class2"
68.488,40.964,59.193,"X",48,45.066,87.997,51.864,46.438,32.924,"Class2"
51.89,44.268,NA,"X",59,NA,63.061,42.676,57.859,32.132,"Class2"
59.595,56.769,17.7,"D",9,14.781,69.891,40.732,50.062,33.58,"Class2"
92.195,49.183,12.174,"G",41,83.741,16.208,5.363,69.043,84.639,"Class1"
52.261,31.763,25.593,"X",63,25.88,69.725,49.847,54.728,29.66,"Class2"
59.409,50.339,57.443,"P",32,58.321,64.477,48.065,51.174,32.725,"Class2"
55.435,37.131,49.206,"G",73,45.012,71.419,51.148,65.066,31.859,"Class2"
90.689,53.801,11.806,"G",43,59.735,19.035,16.285,59.955,85.392,"Class1"
85.979,53.775,11.88,"V",47,55.923,16.085,24.007,54.314,85.911,"Class1"
65.296,45.011,37.564,"G",24,11.756,68.736,43.672,54.126,31.253,"Class2"
66.355,56.65,34.79,"C",32,40.635,58.9,43.682,71.088,32.909,"Class2"
87.179,78.301,13.121,"B",24,66.851,16.123,25.096,54.107,84.863,"Class1"
55.832,34.559,59.092,"C",37,81.574,68.085,44.715,46.734,33.467,"Class2"
67.769,39.717,37.859,"G",57,70.921,85.205,45.846,57.163,31.44,"Class2"
66.204,27.358,13.698,"D",10,43.53,86.422,42.555,48.606,32.317,"Class2"
71.217,25.585,34.292,"G",66,74.454,78.088,42.443,48.9,32.621,"Class2"
88.968,41.385,12.59,"F",28,59.035,16.607,16.86,54.226,86.51,"Class1"
69.207,49.79,47.044,"G",72,40.749,61.837,42.744,41.227,31.823,"Class2"
64.652,55.51,44.721,"G",48,41.555,85.163,46.72,47.182,30.77,"Class2"
79.805,38.193,12.184,"B",23,53.133,18.481,30.769,62.977,84.827,"Class1"
95.953,33.948,13.127,"V",45,86.595,19.755,25.771,58.134,84.393,"Class1"
65.997,24.139,41.253,"D",29,90.736,88.146,41.988,55.664,31.646,"Class2"
56.699,41.211,55.911,"P",77,25.877,83.144,43.087,40.994,32.446,"Class2"
101.317,72.957,11.933,"F",22,57.876,19.818,10.339,64.805,85.968,"Class1"
93.826,77.488,11.934,"F",44,56.25,19.015,36.282,55.15,84.721,"Class1"
88.661,85.392,11.181,"K",31,85.966,16.691,3.463,65.399,85.006,"Class1"
63.251,51.851,57.399,"D",19,23.632,66.296,51.653,49.241,31.675,"Class2"
58.407,31.017,33.86,"P",65,36.252,74.909,50.184,53.565,31.381,"Class2"
95.244,71.397,12.197,"K",31,64.95,16.153,29.098,64.265,86.713,"Class1"
52.371,28.502,59.939,"D",66,23.989,55.143,39.343,72.48,30.628,"Class2"
66.644,42.406,51.574,"D",33,44.835,94.426,51.942,65.847,30.862,"Class2"
84.58,59.558,12.149,"F",46,81.78,16.93,22.515,61.242,84.859,"Class1"
62.389,43.99,33.034,"D",12,NA,77.476,40.485,54.425,32.916,"Class2"
89.658,34.851,11.715,"B",55,59.183,18.274,9.161,61.324,86.512,"Class1"
85.176,41.217,11.193,"F",55,55.562,19.534,13.003,65.414,85.199,"Class1"
70.123,49.016,16.198,"X",45,70.002,54.506,43.793,51.655,29.028,"Class2"
91.695,77.856,12.286,"K",22,57.331,19.151,38.551,62.042,85.717,"Class1"
87.741,53.54,11.573,"B",21,90.127,19.304,14.622,58.666,85.082,"Class1"
84.98,59.234,12.498,"K",50,65.285,18.38,15.8,51.686,84.773,"Class1"
90.876,86.102,NA,"V",47,71.923,18.941,8.142,62.027,86.883,"Class1"
89.463,35.439,11.76,"B",21,74.025,16.152,8.167,58.167,84.272,"Class1"
94.338,69.856,13.145,"G",26,89.103,18.487,13.717,60.198,84.136,"Class1"
93.45,39.669,12.206,"F",41,62.176,17.02,9.371,61.333,85.451,"Class1"
90.161,49.645,11.444,"G",49,80.026,19.476,15.091,63.708,86.845,"Class1"
92.603,53.336,11.528,"K",32,88.029,18.311,10.088,61.721,84.146,"Class1"
68.498,40.83,40.75,"X",65,77.17,66.992,40.536,47.261,31.894,"Class2"
93.519,62.441,12.258,"K",42,53.794,17.708,11.899,46.437,85.742,"Class1"
96.759,70.886,11.812,"B",20,81.912,17.931,15.468,57.749,85.502,"Class1"
62.321,50.005,43.81,"P",13,74.851,66.697,38.824,59.494,31.852,"Class2"
92.256,61.091,11.191,"F",55,87.615,18.744,20.204,53.706,84.348,"Class1"
56.538,35.464,49.23,"X",14,19.659,61.296,49.672,64.108,33.242,"Class2"
68.876,46.25,4.705,"X",23,10.114,91.948,51.864,34.322,30.455,"Class2"
84.095,56.79,11.971,"B",20,82.953,17.555,31.597,53.413,84.862,"Class1"
89.794,73.038,10.893,"G",21,61.854,17.933,9.96,68.657,85.86,"Class1"
55.637,29.06,30.427,"D",13,24.563,66.201,45.15,37.25,31.398,"Class2"
95.348,81.234,12.427,"B",24,90.761,19.087,35.844,57.602,84.057,"Class1"
82.554,47.976,11.953,"V",29,69.288,16.496,13.639,65.913,84.233,"Class1"
92.636,53.72,NA,"V",26,78.136,19.212,19.383,64.425,85.902,"Class1"
68.791,56.618,29.762,"C",12,67.297,58.214,47.824,49.596,32.052,"Class2"
57.234,28.995,32.438,"D",46,68.745,92.462,51.542,70.049,33.513,"Class2"
59.457,47.144,44.983,"X",46,82.994,96.599,46.58,78.854,32.666,"Class2"
70.676,29.602,31.677,"D",41,69.433,82.534,39.049,60.034,30.276,"Class2"
87.593,46.18,12.708,"G",25,82.012,18.741,24.094,60.695,86.009,"Class1"
69.397,53.396,54.747,"D",48,24.151,54.154,38.766,43.633,33.559,"Class2"
85.205,61.117,12.435,"F",21,57.194,18.712,21.693,60.361,84.801,"Class1"
53.211,40.132,38.143,"G",33,30.841,60.082,47.813,56.122,33.855,"Class2"
93.596,63.654,12.818,"F",33,79.537,16.701,4.23,54.227,86.361,"Class1"
50.373,30.875,26.977,"C",51,77.439,74.671,43.91,58.758,30.828,"Class2"
88.069,37.077,11.601,"V",38,88.368,19.298,-3.203,76.736,86.885,"Class1"
84.497,66.003,11.475,"G",43,74.756,19.884,13.846,59.207,86.946,"Class1"
76.995,55.663,50.608,"X",20,19.96,77.002,47.428,53.828,31.692,"Class2"
65.196,47,44.201,"D",50,36.903,91.486,44.018,60.591,29.522,"Class2"
74.323,57.156,50.519,"G",78,84.441,87.72,46.709,65.526,33.286,"Class2"
91.153,34.214,11.845,"V",34,52.034,19.963,18.504,67.204,84.568,"Class1"
71.235,56.691,34.821,"G",56,81.088,93.712,47.634,57.572,29.301,"Class2"
95.091,46.247,12.429,"V",33,85.163,17.108,27.593,65.664,86.38,"Class1"
60.675,25.787,21.1,"D",36,48.258,77.432,47.8,61.033,29.143,"Class2"
60.672,41.455,34.386,"C",46,61.549,87.483,51.962,51.587,33.153,"Class2"
94.536,77.185,12.85,"F",35,81.134,17.871,13.95,63.513,85.797,"Class1"
62.854,28.628,40.564,"X",64,85.781,54.301,46.422,64.004,32.818,"Class2"
66.594,52.452,46.069,"G",63,49.75,76.362,52.783,54.348,33.055,"Class2"
61.879,44.432,36.513,"C",49,78.826,92.483,45.746,56.277,31.756,"Class2"
92.407,36.949,11.256,"B",29,57.479,19.372,27.582,52.832,86.344,"Class1"
89.611,57.414,11.217,"K",31,62.658,19.753,26.485,43.637,85.598,"Class1"
69.055,54.017,25.297,"C",56,68.738,95.905,44.983,63.015,31.624,"Class2"
64.888,35.902,38.066,"G",16,37.33,70.149,34.078,58.327,30.232,"Class2"
89.093,51.673,13.277,"G",55,87.313,19.004,23.952,68.855,85.098,"Class1"
91.59,79.761,11.65,"K",43,52.814,16.028,13.227,64.307,84.893,"Class1"
85.188,58.608,10.992,"G",54,55.854,17.604,25.631,58.616,85.867,"Class1"
76.583,47.568,42.402,"G",68,85.115,94.287,44.153,53.778,29.661,"Class2"
85.808,63.289,11.587,"F",53,63.784,17.53,23.493,69.336,84.87,"Class1"
91.049,85.247,11.789,"V",20,56.954,18.873,12.265,69.816,84.948,"Class1"
95.191,74.273,12.32,"G",48,82.475,18.843,29.124,70.881,85.065,"Class1"
90.818,38.121,11.039,"G",27,85.043,19.45,17.926,55.857,86.075,"Class1"
93.36,41.518,12.161,"G",33,83.123,16.301,31.488,55.514,86.087,"Class1"
93.516,68.142,11.676,"B",42,87.592,19.288,39.271,56.88,84.114,"Class1"
60.891,27.605,30.828,"G",13,10.685,57.277,44.812,61.211,33.951,"Class2"
53.075,49.267,NA,"P",58,35.849,91.1,52.021,41.793,30.322,"Class2"
59.856,24.464,48.198,"C",68,84.251,86.514,50.613,53.787,31.611,"Class2"
58.075,40.487,40.276,"X",75,29.104,56.216,44.392,43.468,33.385,"Class2"
84.497,62.382,NA,"F",33,61.952,19.114,21.358,61.572,85.514,"Class1"
77.378,82.575,11.966,"K",32,51.253,17.906,32.795,60.893,84.665,"Class1"
90.126,48.531,13.176,"K",33,50.267,16.304,34.166,52.293,86.226,"Class1"
61.079,47.638,36.099,"C",9,19.561,96.403,47.535,73.723,32.517,"Class2"
59.243,32.525,43.25,"G",54,63.654,62.322,44.23,60.536,32.237,"Class2"
86.745,74.126,11.976,"V",55,73.911,18.291,11.146,61.198,85.251,"Class1"
55.237,57.095,32.311,"D",41,40.316,94.649,54.202,59.137,29.689,"Class2"
83.312,47.732,11.355,"K",49,61.283,19.371,25.274,66.555,86.97,"Class1"
59.993,52.64,9.84,"X",11,39.153,83.958,41.558,59.402,29.6,"Class2"
49.434,42.15,37.064,"P",39,55.894,83.447,44.575,61.946,32.156,"Class2"
59.888,42.96,64.411,"C",36,27.038,55.169,43.129,48.41,33.103,"Class2"
52.068,34.719,37.337,"P",39,91.48,65.507,39.001,33.68,29.608,"Class2"
88.533,57.973,12.954,"K",48,78.274,18.93,18.634,61.15,86.277,"Class1"
86.693,33.471,13.034,"K",56,83.549,16.665,21.348,54.414,86.269,"Class1"
52.02,43.26,25.05,"X",51,35.74,76.5,45.158,45.796,31.447,"Class2"
72.261,30.257,49.484,"D",34,42.822,68.732,46.784,44.997,31.893,"Class2"
60.653,42.053,31.666,"X",50,85.336,70.422,49.899,58.367,30.744,"Class2"
77.569,81.748,12.095,"F",35,78.54,19.742,14.138,65.303,86.399,"Class1"
93.368,58.064,11.038,"B",48,90.844,16.186,38.794,63.312,85.082,"Class1"
89.987,57.532,12.518,"G",29,54.523,16.339,34.05,58.959,84.903,"Class1"
54.884,27.144,29.024,"G",31,11.724,80.258,52.872,84.372,29.43,"Class2"
81.603,68.984,12.533,"B",32,52.902,17.593,24.462,65.092,86.09,"Class1"
68.134,38.632,43.601,"P",67,43.048,66.405,48.36,38.183,30.821,"Class2"
54.658,35.708,34.37,"D",72,84.621,80.541,49.284,70.499,30.967,"Class2"
86.824,36.037,13.026,"V",26,57.894,17.549,30.803,63.218,84.681,"Class1"
81.855,50.049,NA,"G",35,76.181,18.327,35.618,48.123,85.62,"Class1"
94.032,67.646,11.278,"K",55,66.32,19.81,16.598,65.798,84.512,"Class1"
89.058,68.072,12.549,"G",49,79.908,18.199,23.371,66.995,84.3,"Class1"
88.918,36.985,12.438,"B",49,86.073,16.968,26.003,58.588,85.476,"Class1"
87.349,34.734,12.275,"B",42,74.693,17.598,8.475,56.176,85.646,"Class1"
68.112,54.686,55.198,"D",74,NA,92.691,45.979,38.19,31.73,"Class2"
53.091,24.342,49.378,"P",48,NA,77.01,42.451,34.981,30.257,"Class2"
83.541,33.575,12.531,"V",48,79.705,18.117,10.632,66.402,85.697,"Class1"
94.966,34.864,11.62,"B",27,56.366,19.969,28.768,59.356,86.531,"Class1"
61.7,54.681,27.271,"C",73,83.798,65.026,44.893,63.869,33.009,"Class2"
84.684,39.221,11.669,"F",32,53.517,18.649,3.486,54.408,85.386,"Class1"
67.934,50.098,20.487,"P",19,89.776,66.439,44.179,64.877,29.328,"Class2"
88.063,56.061,11.884,"G",53,88.293,17.958,12.577,47.616,86.832,"Class1"
92.943,40.844,12.753,"F",42,80.213,17.205,31.66,62.007,86.634,"Class1"
85.213,62.524,11.887,"V",38,83.943,17.151,7.209,58.59,84.956,"Class1"
87.594,35.491,11.152,"V",40,79.021,16.991,28.204,56.765,86.959,"Class1"
78.81,68.926,NA,"B",30,68.17,19.809,15.547,58.965,85.142,"Class1"
94.016,54.836,13.241,"K",47,79.159,19.542,27.862,60.591,84.132,"Class1"
55.303,39.53,6.399,"G",17,33.97,86.495,45.026,49.87,29.701,"Class2"
64.563,26.074,37.551,"C",54,55.841,69.338,42.637,51.4,29.439,"Class2"
68.427,41.557,56.12,"P",20,85.625,89.957,40.26,36.152,30.398,"Class2"
65.068,31.422,17.937,"G",24,36.454,91.871,38.287,52.813,30.353,"Class2"
80.829,40.647,11.267,"G",39,63.866,19.293,32.674,62.235,86.054,"Class1"
50.261,55.803,20.84,"X",39,32.354,88.29,42.827,53.502,29.678,"Class2"
91.977,60.875,12.618,"K",37,58.273,17.459,17.873,47.276,84.039,"Class1"
54.743,39.081,43.399,"D",65,77.649,71.449,44.153,42.434,33.012,"Class2"
59.642,43.146,19.066,"G",51,55.769,69.31,51.89,36.346,29.534,"Class2"
71.847,29.466,40.215,"X",71,26.402,67.899,51.198,65.686,33.138,"Class2"
59.698,39.382,7.359,"D",71,11.656,90.169,44.638,53.666,33.961,"Class2"
83.316,38.532,13.022,"K",48,54.537,16.246,20.452,58.641,86.003,"Class1"
60.403,26.804,31.001,"G",13,28.927,68.319,44.796,55.595,29.157,"Class2"
92.411,81.585,12.106,"B",38,91.831,19.424,28.573,63.147,86.18,"Class1"
92.986,58.322,12.396,"F",39,74.752,18.613,19.603,66.365,84.866,"Class1"
98.924,83.657,12.656,"K",32,63.152,19.264,32.642,66.943,86.119,"Class1"
87.82,40.582,12.033,"B",35,79.331,17.975,30.139,74.883,86.153,"Class1"
73.345,54.227,27.745,"X",28,92.768,65.701,39.432,63.766,31.206,"Class2"
84.947,33.982,12.191,"F",42,63.665,18.654,28.677,60.64,85.243,"Class1"
77.084,49.005,34.437,"G",33,54.02,69.063,42.675,44.091,29.519,"Class2"
67.332,28.576,1.19,"P",64,33.612,54.064,41.221,48.309,33.744,"Class2"
86.35,47.26,11.614,"K",49,64.029,19.909,42.742,67.359,85.884,"Class1"
73.486,31.774,50.997,"X",62,39.145,94.977,50.512,48.141,30.52,"Class2"
69.595,33.608,17.595,"D",37,74.364,95.183,41.386,61.522,31.946,"Class2"
