"OEI1","XDL2","BID3","NDM4","GJN5","NEF6","HVA7","LJK8","NPV9","DQP10","Output23","IQO11"
67.847,84.358,78.585,66.393,59.113,82.406,15,99.658,"N",26.542,"Class3","M"
79.139,22.34,84.883,67.315,35.593,76.825,21,75.433,"X",58.923,"Class3","Q"
57.967,74.711,60.643,44.691,78.688,41.348,56,67.683,"K",59.83,"Class2","L"
51.816,49.91,30.962,66.003,43.334,71.998,19,80.89,"F",23.364,"Class1","Z"
59.673,68.849,85.35,70.019,73.903,40.726,65,76.043,"E",62.807,"Class2","L"
80.045,84.51,89.102,24.08,85.964,42.427,67,75.155,"E",NA,"Class2","K"
71.26,71.009,90.167,27.367,86.563,42.514,71,75.553,"G",62.193,"Class2","R"
72.853,45.575,86.111,78.598,34.493,79.01,25,50.404,"N",25.62,"Class3","X"
76.453,95.922,106.235,63.38,83.288,38.707,57,63.493,"N",58.091,"Class2","L"
76.663,91.926,60.085,32.044,72.011,41.122,68,84.694,"N",64.353,"Class2","R"
70.811,84.55,85.559,65.424,71.231,41.389,64,79.277,"E",63.909,"Class2","I"
62.888,54.237,9.81,69.823,48.082,81.965,17,86.776,"F",25.059,"Class1","Z"
86.265,44.677,48.572,41.514,53.69,92.731,21,94.306,"M",14.534,"Class1","Z"
58.196,39.759,37.267,73.59,46.251,69.334,16,95.324,"F",29.528,"Class1","H"
68.653,86.067,55.684,46.579,81.107,42.25,72,91.213,"N",62.385,"Class2","R"
69.125,70.007,76.01,22.877,75.292,41.799,58,85.224,"E",62.129,"Class2","I"
81.582,66.536,92.673,85.892,59.141,77.106,13,68.162,"B",57.202,"Class3","X"
56.048,90.44,81.562,28.002,74.439,41.223,60,81.746,"G",55.808,"Class2","L"
71.024,67.876,83.664,73.406,38.885,81.354,13,62.101,"N",30.546,"Class3","Z"
64.732,20.526,90.015,97.904,41.167,80.485,25,47.369,"K",30.731,"Class3","B"
74.76,45.13,45.62,70.578,33.573,70.754,20,75.149,"M",16.77,"Class1","C"
64.204,43.894,55.61,58.995,42.519,78.653,16,95.845,"G",35.796,"Class1","H"
71.817,88.858,83.601,49.038,76.891,40.562,58,52.021,"B",60,"Class2","R"
62.54,66.539,92.589,81.212,48.676,81.737,21,104.125,"X",56.954,"Class3","B"
55.178,48.528,52.601,58.812,33.186,75.737,23,90.825,"E",37.665,"Class1","Z"
65.56,67.105,76.942,67.427,87.292,41.607,59,77.823,"K",57.468,"Class2","K"
75.572,88.881,96.426,44.904,73.183,42.044,63,76.65,"E",58.825,"Class2","L"
72.682,59.796,24.596,42.413,25.618,76.737,22,85.585,"F",18.464,"Class1","H"
72.564,78.729,67.599,29.962,76.378,44.254,66,67.698,"G",55.078,"Class2","G"
68.108,41.516,13.211,70.989,52.242,80.158,19,81.815,"M",26.345,"Class1","O"
67.504,65.771,92.16,87.69,54.015,72.381,23,34.726,"K",43.029,"Class3","Z"
73.093,54.33,41.475,69.173,40.965,81.366,17,79.579,"M",21.859,"Class1","O"
80.016,53.593,49.795,46.183,53.884,75.025,20,71.952,"D",26.025,"Class1","Z"
84.326,59.322,20.22,70.841,31.774,74.223,18,78.735,"M",17.682,"Class1","Z"
73.919,42.682,74.789,82.2,52.436,79.677,22,47.794,"K",30.609,"Class3","Q"
90.159,83.828,95.394,58.712,76.436,42.173,62,69.689,"K",61.679,"Class2","L"
45.625,48.531,32.187,34.431,24.113,79.088,20,88.58,"E",34.201,"Class1","Y"
76.764,93.953,54.439,29.25,79.348,38.627,70,81.785,"K",58.861,"Class2","L"
66.405,80.592,83.179,14.622,81.983,40.25,64,90.495,"N",64.663,"Class2","R"
73.367,10.639,90.509,81.013,50.843,83.062,18,69.528,"N",47.303,"Class3","M"
53.069,84.945,96.82,19.31,80.444,42.145,63,51.766,"B",56.447,"Class2","G"
91.782,37.455,38.82,78.956,17.911,88.133,21,85.727,"E",14.149,"Class1","C"
76.935,92.422,75.314,46.664,72.048,42.389,70,95.64,"G",65.373,"Class2","R"
63.643,72.831,93.692,15.857,83.565,38.866,57,76.361,"K",62.358,"Class2","I"
51.759,59.282,19.026,73.875,53.12,84.796,21,79.943,"D",24.242,"Class1","Z"
69.37,84.005,60.609,72.781,54.077,83.399,16,84.621,"D",53.033,"Class3","B"
74.726,37.566,20.858,57.414,26.677,76.005,21,85.675,"G",36.111,"Class1","C"
73.582,64.056,91.521,91.62,40.356,81.656,18,29.469,"B",49.002,"Class3","X"
NA,76.478,94.733,66.657,46.179,82.243,22,45.476,"N",42.497,"Class3","M"
77.117,58.639,36.132,61.134,25.391,80.96,19,80.069,"G",22.386,"Class1","O"
74.369,71.144,82.035,43.363,73.926,39.681,62,63.971,"K",63.157,"Class2","R"
68.687,79.862,60.24,17.423,69.152,42.017,65,91.949,"B",65.661,"Class2","L"
84.647,74.549,91.701,44.751,76.951,43.996,64,76.483,"N",59.224,"Class2","G"
57.295,95.328,62.305,69.434,85.772,40.104,59,76.171,"N",63.053,"Class2","I"
79.436,44.124,40.673,48.392,17.994,80.572,22,91.806,"F",13.475,"Class1","H"
73.937,51.246,-8.327,33.944,16.264,89.879,21,83.394,"E",25.92,"Class1","C"
75.907,42.323,44.946,70.447,46.324,87.363,16,85.468,"E",13.058,"Class1","O"
57.818,22.289,78.782,71.113,64.923,83.543,26,52.9,"D",33.48,"Class3","B"
NA,81.175,87.874,97.444,64.427,81.445,24,67.516,"B",27.625,"Class3","B"
72.57,72.934,38.051,55.573,75.057,38.099,61,77.696,"B",63.251,"Class2","K"
68.378,84.987,85.489,73.969,45.534,81.613,13,60.171,"X",49.893,"Class3","B"
74.026,49.667,27.733,32.375,15.323,74.49,20,85.954,"D",31.329,"Class1","C"
81.193,77.465,89.077,93.574,64.66,80.943,24,72.406,"D",58.105,"Class3","Z"
77.331,52.174,32.196,85.257,35.227,81.462,17,84.089,"D",24.647,"Class1","C"
74.765,41.973,88.236,95.188,55.938,80.701,25,41.425,"D",24.097,"Class3","M"
70.025,37.377,34.446,45.674,21.998,79.164,23,77.338,"G",NA,"Class1","O"
87.941,46.549,90.557,66.993,48.286,82.465,24,85.246,"N",41.951,"Class3","Z"
77.203,66.178,84.285,69.789,36.138,80.161,24,59.796,"D",30.214,"Class3","X"
69.982,10.543,95.037,80.518,57.779,85.884,22,41.974,"D",49.387,"Class3","X"
69.939,33.534,74.802,79.978,53.665,81.741,16,35.744,"B",62.625,"Class3","M"
66.503,82.037,80.435,40.674,73.106,40.931,58,74.017,"G",55.968,"Class2","G"
69.463,91.748,67.496,20.113,73.955,40.797,54,71.592,"K",57.2,"Class2","G"
63.891,94.407,82.177,33.512,70.636,41.407,58,66.932,"N",64.755,"Class2","I"
83.153,54.046,34.535,30.798,16.128,82.056,21,95.437,"E",14.032,"Class1","Z"
61.774,16.452,82.448,71.378,38.284,79.338,22,51.478,"X",36.106,"Class3","X"
82.704,78.842,89.252,79.894,59.378,80.201,24,57.495,"K",55.89,"Class3","Z"
70.152,22.503,91.139,79.573,57.379,82.866,24,56.869,"X",25.981,"Class3","B"
70.642,65.884,83.768,69.091,50.194,78.201,14,28.294,"B",53.658,"Class3","Q"
NA,35.332,55.147,42.899,36.677,80.247,20,82.455,"F",13.926,"Class1","C"
69.734,36.253,50.514,60.491,43.694,76.37,18,86.894,"E",NA,"Class1","O"
70.577,38.502,98.557,78.313,32.558,78.496,15,62.863,"X",50.355,"Class3","Q"
66.452,46.397,62.327,44.948,26.513,81.822,21,95.952,"E",30.585,"Class1","Z"
51.306,53.334,16.897,73.201,43.565,79.225,20,96.373,"M",15.79,"Class1","Z"
79.438,15.764,85.144,68.979,50.513,82.672,27,60.045,"X",59.855,"Class3","M"
83.872,45.049,49.922,45.239,26.651,75.712,17,100.827,"F",28.598,"Class1","O"
65.119,75.688,84.083,80.168,48.693,79.649,24,52.492,"N",61.257,"Class3","Z"
84.035,42.046,52.882,59.429,44.424,74.613,17,96.389,"E",12.293,"Class1","Z"
70.282,44.092,89.977,70.439,43.848,80.271,25,52.399,"K",42.94,"Class3","Z"
78.215,85.194,100.448,84.891,47.86,79.351,22,119.071,"N",31.15,"Class3","B"
72.418,46.344,27.286,30.178,38.561,74.737,21,96.483,"G",35.071,"Class1","H"
70.709,42.217,89.953,75.686,58.049,77.114,13,55.239,"X",27.754,"Class3","M"
61.479,41.003,83.102,69.15,61.89,78.276,20,18.106,"K",54.694,"Class3","M"
81.28,58.411,35.617,55.516,31.193,78.711,23,95.922,"F",20.085,"Class1","Y"
70.978,79.342,66.545,47.676,73.713,38.261,55,68.907,"N",58.544,"Class2","R"
80.618,39.024,12.648,53.352,24.331,83.625,17,93.528,"E",26.882,"Class1","Y"
60.54,87.588,101.527,29.054,82.802,41.726,62,65.664,"E",55.33,"Class2","K"
65.548,72.568,104.048,19.988,80.227,40.341,70,103.04,"B",NA,"Class2","K"
84.851,51.195,18.721,33.057,50.728,86.335,16,98.874,"F",29.489,"Class1","C"
NA,87.665,99.441,66.344,81.342,36.687,67,93.258,"K",58.417,"Class2","K"
57.392,42.837,37.913,52.228,42.815,76.095,24,83.143,"D",35.953,"Class1","O"
78.834,62.975,91.065,93.135,50.137,76.118,13,103.447,"B",40.359,"Class3","Q"
74.027,82.658,86.041,59.855,75.171,40.494,69,86.223,"E",62.11,"Class2","G"
67.428,69.103,66.675,51.838,69.927,39.209,66,77.929,"K",63.475,"Class2","L"
60.166,86.704,81.177,42.065,76.383,42.449,74,57.244,"E",62.348,"Class2","R"
65.605,79.016,55.75,40.204,80.786,39.947,63,90.209,"K",63.007,"Class2","L"
57.142,73.907,61.115,38.988,80.916,40.542,68,79.966,"G",63.517,"Class2","G"
NA,13.763,81.598,75.445,33.036,80.198,22,54.314,"B",26.912,"Class3","B"
82.729,55.639,26.463,56.849,25.133,79.707,16,85.714,"D",21.49,"Class1","H"
76.678,28.841,81.761,74.633,53.548,75.534,20,52.955,"N",48.261,"Class3","M"
79.344,42.391,46.638,59.676,49.509,74.564,20,74.952,"D",25.834,"Class1","Z"
62.957,94.78,62.149,37.568,72.193,41.552,61,90.774,"B",62.948,"Class2","K"
78.295,86.774,100.827,71.36,56.643,78.363,20,33.718,"X",44.669,"Class3","M"
71.887,90.43,99.378,83.448,57.136,82.045,21,81.212,"N",NA,"Class3","Z"
96.342,45.951,33.742,71.932,23.259,77.247,22,87.91,"F",21.025,"Class1","O"
NA,83.143,81.341,88.602,37.607,80.643,27,70.236,"D",51.166,"Class3","B"
74.873,38.287,41.191,81.787,46.937,73.535,16,86.735,"E",15.188,"Class1","Y"
79.547,76.63,70.239,18.537,82.312,42.105,71,87.001,"E",56.498,"Class2","I"
NA,88.503,87.046,82.717,59.821,81.984,23,38.852,"N",27.167,"Class3","Z"
66.912,20.59,84.14,66.987,59.458,79.323,17,65.035,"B",46.611,"Class3","Z"
53.893,80.952,75.668,57.314,76.92,39.156,55,76.436,"K",61.859,"Class2","G"
66.445,88.275,82.06,55.973,72.273,40.03,67,82.6,"G",58.088,"Class2","L"
64.047,23.761,97.183,88.881,54.346,80.749,19,72.065,"X",49.386,"Class3","X"
61.824,76.245,60.459,65.035,86.299,39.712,70,104.759,"B",60.708,"Class2","I"
75.016,19.443,95.048,77.471,62.167,78.593,26,47.699,"K",29.466,"Class3","B"
72.141,19.03,95.767,79.916,42.605,78.746,19,88.073,"B",34.239,"Class3","Q"
80.791,52.894,51.251,35.269,15.459,76.039,16,72.909,"G",27.298,"Class1","Y"
72.589,17.207,92.587,66.566,51.868,77.58,26,69.597,"N",28.046,"Class3","X"
53.56,66.083,82.663,45.208,88.247,40.698,65,60.705,"N",65.193,"Class2","L"
66.94,36.432,95.446,98.24,59.279,79.157,23,74.832,"D",61.541,"Class3","B"
69.972,78.411,92.694,20.702,77.79,38.206,57,65.02,"E",65.396,"Class2","K"
70.094,67.085,94.726,91.232,61.72,79.438,16,54.391,"B",57.861,"Class3","M"
72.536,43.691,92.135,75.52,55.933,80.148,22,58.733,"D",54.601,"Class3","M"
80.347,38.88,33.804,78.021,28.685,78.947,18,76.882,"E",34.166,"Class1","C"
75.823,78.309,73.859,13.061,86.539,39.73,60,63.534,"G",61.558,"Class2","I"
69.909,73.711,59.702,15.028,74.369,42.115,56,71.679,"B",63.359,"Class2","R"
78.304,77.952,56.662,39.088,85.576,41.453,63,77.087,"N",60.363,"Class2","I"
54.151,82.55,81.712,19.549,83.618,38.848,63,93.194,"G",63.055,"Class2","K"
74.549,5.912,93.519,87.363,43.112,78.07,15,70.9,"N",46.627,"Class3","M"
70.637,47.846,31.162,63.598,33.396,93.403,20,88.367,"D",37.215,"Class1","O"
74.436,55.289,20.65,71.451,54.248,78.266,23,85.546,"G",17.081,"Class1","C"
70.672,55.306,40.702,53.588,23.936,68.382,22,90.899,"G",13.029,"Class1","Y"
65.045,76.84,83.03,51.671,71.997,40.643,67,70.1,"K",61.638,"Class2","K"
76.666,78.459,82.115,91.658,50.603,76.357,19,43.922,"N",44.212,"Class3","M"
65.512,70.967,97.682,60.713,83.307,40.776,65,67.977,"N",60.691,"Class2","G"
73.691,44.141,32.953,37.268,16.589,82.538,18,89.537,"E",26.037,"Class1","O"
96.57,80.532,77.108,71.713,83.578,40.764,54,79.613,"N",60.944,"Class2","I"
72.792,35.851,35.918,64.805,40.887,83.334,22,91.597,"G",23.238,"Class1","C"
49.608,91.329,74.796,25.592,74.009,39.613,55,86.907,"N",57.348,"Class2","I"
56.54,66.267,95.333,96.792,41.716,82.094,13,71.175,"K",48.676,"Class3","M"
74.97,69.295,65.591,33.793,79.94,42.08,59,91.85,"G",59.485,"Class2","K"
79.812,40.64,92.963,96.294,36.604,81.871,26,51.813,"D",26.011,"Class3","M"
63.048,53.082,56.52,31.883,48.669,79.551,20,87.382,"E",31.814,"Class1","O"
64.244,36.687,30.524,68.014,27.72,71.225,19,85.385,"F",30.918,"Class1","H"
NA,47.963,91.373,79.036,51.233,78.911,21,23.393,"B",29.79,"Class3","X"
76.788,91.046,67.263,68.983,81.925,41.175,60,91.036,"B",58.132,"Class2","K"
73.207,36.047,84.734,97.631,58.289,78.886,26,69.362,"B",38.411,"Class3","X"
77.365,66.989,71.906,57.008,79.671,41.089,67,73.661,"N",58.593,"Class2","R"
77.067,35.228,12.763,77.14,26.306,90.917,19,87.776,"F",20.434,"Class1","H"
92.21,58.198,32.273,37.877,48.896,95.715,19,92.174,"M",18.07,"Class1","Y"
76.464,67.783,82.724,80.459,39.783,76.829,20,39.356,"N",58.797,"Class3","X"
66.426,42.478,27.415,31.855,16.006,76.781,22,92.516,"G",36.653,"Class1","C"
63.561,88.409,76.839,71.717,88.009,42.062,66,99.214,"B",57.213,"Class2","I"
69.81,49.232,38.681,52.288,53.28,81.688,17,89.38,"D",36.909,"Class1","O"
79.655,50.122,32.008,48.658,46.737,81.105,18,82.272,"D",35.147,"Class1","O"
73.302,72.623,67.862,24.344,76.821,38.883,73,76.839,"B",56.445,"Class2","K"
64.951,83.402,87.01,95.259,64.876,78.62,19,71.143,"N",43.176,"Class3","Q"
73.083,83.763,88.957,67.508,35.449,77.958,23,129.731,"N",54.36,"Class3","B"
81.442,74.779,82.655,92.026,38.513,83.473,24,90.886,"N",49.221,"Class3","Q"
66.586,75.409,59.432,20.543,69.752,42.781,56,82.105,"B",64.623,"Class2","R"
72.28,45.826,88.003,88.775,48.601,84.288,21,79.489,"N",NA,"Class3","Z"
70.676,82.184,91,86.961,41.562,78.477,25,49.177,"N",42.01,"Class3","X"
69.852,81.48,78.946,24.782,75.166,41.917,62,67.362,"K",62.562,"Class2","G"
NA,35.726,39.129,60.467,23.372,91.69,18,95.683,"F",36.77,"Class1","C"
64.284,71.427,91.101,70.858,40.622,82.734,17,32.655,"B",57.722,"Class3","Z"
59.334,50.064,76.625,70.017,50.944,78.349,27,99.177,"N",52.156,"Class3","M"
NA,41.776,94.32,91.621,55.708,84.424,17,63.245,"X",25.289,"Class3","X"
67.781,83.176,79.839,68.632,72.687,38.231,71,100.111,"N",55.139,"Class2","R"
66.124,72.777,57.553,27.491,69.102,39.687,60,79.443,"K",59.408,"Class2","K"
77.802,78.36,74.146,16.303,81.972,37.994,72,74.609,"B",60.027,"Class2","I"
76.952,89.607,90.776,96.161,55.168,85.38,27,64.751,"N",24.865,"Class3","M"
89.497,57.12,37.854,81.23,50.894,74.247,16,80.544,"F",29.678,"Class1","Z"
86.209,85.432,67.555,25.32,71.645,42.242,61,74.634,"N",59.106,"Class2","G"
77.514,89.243,74.125,51.262,80.429,42.563,60,71.664,"K",61.81,"Class2","G"
75.718,34.022,81.951,72.043,38.361,79.918,17,57.676,"D",44.491,"Class3","M"
71.48,45.931,41.857,77.946,39.04,76.799,20,85.659,"G",NA,"Class1","Y"
75.947,54.764,32.08,67.05,33.745,76.755,23,80.125,"F",17.099,"Class1","O"
79.384,17.625,74.645,75.231,54.797,76.724,26,62.779,"N",36.99,"Class3","X"
74.862,39.352,67.583,29.397,33.734,90.086,20,85.311,"E",20.752,"Class1","Y"
72.97,66.783,57.073,60.024,71.404,40.413,63,74.596,"K",59.801,"Class2","I"
79.849,19.835,90.434,89.526,44.324,81.54,23,76.383,"D",57.666,"Class3","Z"
75.78,69.33,100.04,69.67,48.007,83.14,14,49.791,"B",38.616,"Class3","Z"
61.243,7.837,77.54,72.628,57.851,83.653,21,76.657,"X",56.6,"Class3","M"
74.811,55.359,95.043,69.352,60.271,78.593,13,44.035,"X",29.025,"Class3","B"
82.634,91.285,88.686,87.505,64.693,76.717,20,29.598,"D",33.093,"Class3","Q"
80.001,46.862,22.972,63.83,19.123,84.944,22,91.517,"D",15.622,"Class1","Y"
83.7,93.243,104.684,18.01,74.581,41.707,61,81.702,"E",62.029,"Class2","L"
94.529,42.22,36.845,77.486,48.767,84.54,20,96.239,"E",26.193,"Class1","O"
74.169,92.309,87.256,14.789,76.718,37.437,55,75.541,"N",55.868,"Class2","G"
69.085,53.272,18.418,57.166,47.522,72.565,16,80.808,"G",25.473,"Class1","Z"
77.534,88.9,81.476,10.019,71.359,41.303,62,78.815,"K",61.076,"Class2","K"
75.601,26.497,87.217,84.176,59.097,77.855,20,55.806,"X",51.84,"Class3","Q"
76.486,27.554,92.217,76.913,47.757,79.377,26,72.875,"B",42.318,"Class3","X"
83.702,43.795,28.081,33.843,15.643,75.404,19,85.455,"M",11.282,"Class1","C"
81.273,49.347,32.012,50.153,35.137,76.694,23,85.47,"G",17.889,"Class1","H"
66.119,48.516,36.755,29.205,30.278,63.686,17,95.438,"M",26.005,"Class1","H"
76.249,82.189,86.647,89.204,46.085,80.466,15,88.589,"D",60.543,"Class3","X"
64.371,40.833,20.786,57.749,23.015,79.862,24,86.289,"G",17.897,"Class1","H"
NA,40.019,36.766,29.615,21.165,85.145,19,98.696,"D",34.369,"Class1","H"
NA,54.133,45.081,49.869,39.641,68.67,18,90.989,"D",19.353,"Class1","C"
59.047,67.422,76.948,53.46,83.773,39.969,69,82.649,"N",62.532,"Class2","K"
75.596,23.202,93.3,94.341,47.667,78.804,23,17.032,"B",42.183,"Class3","B"
68.259,56.327,44.728,43.552,51.706,77.632,18,88.014,"F",27.754,"Class1","Y"
70.157,52.973,55.334,35.7,44.213,74.709,20,89.386,"D",26.96,"Class1","O"
76.588,57.429,23.14,37.704,24.431,77.439,18,93.236,"D",15.595,"Class1","H"
NA,87.489,84.167,93.455,48.241,80.939,13,56.763,"B",55.577,"Class3","M"
64.339,66.743,97,37.64,70.537,41.14,72,70.198,"E",62.591,"Class2","R"
78.32,41.437,37.573,36.575,50.165,80.609,24,85.277,"E",17.34,"Class1","Y"
76.175,41.384,23.389,46.443,27.667,84.336,23,88.787,"E",18.462,"Class1","Y"
61.359,8.974,94.906,93.373,41.981,82.652,16,71.73,"D",29.762,"Class3","M"
72.756,45.582,90.668,86.193,38.857,76.683,19,74.657,"N",52.44,"Class3","Q"
69.945,75.479,75.064,91.352,45.905,82.456,26,81.345,"X",36.728,"Class3","B"
80.275,36.715,60.083,83.312,20.944,82.838,19,84.799,"F",12.58,"Class1","Y"
69.796,67.859,85.336,67.844,36.988,79.18,26,119.549,"N",NA,"Class3","Z"
69.425,89.737,85.065,71.852,52.187,82.051,20,47.557,"B",31.662,"Class3","Z"
69.055,79.247,79.419,43.245,74.566,41.766,74,69.324,"G",58.689,"Class2","K"
69.502,46.824,27.491,69.963,36.207,87.148,24,92.876,"G",12.283,"Class1","O"
56.163,47.271,13.492,68.209,53.239,65.218,19,90.79,"E",11.305,"Class1","C"
81.646,22.025,83.108,79.919,41.273,79.704,15,41.817,"X",50.401,"Class3","B"
