"GCJ1","TRK2","TYC3","AMI4","QRO5","HGF6","UVL7","ZBR8","CAO9","ZFV10","Output17","JQX11"
43.714,"K",69.38,81,31.735,13.958,49.415,"U",81.521,25,"Class1",51.224
48.258,"L",46.145,59,24.236,45.391,29.639,"I",99.571,53,"Class2",53.85
63.134,"N",NA,58,40.978,35.147,26.857,"P",83.192,32,"Class2",31.792
88.724,"K",56.314,85,32.568,46.46,32.511,"O",71.27,23,"Class1",61.066
90.821,"D",22.231,54,43.174,33.894,36.9,"I",93.642,54,"Class2",59.137
57.409,"N",69.711,51,29.93,66.618,26.464,"P",84.904,40,"Class2",31.218
60.093,"O",69.775,90,11.264,54.334,25.084,"N",15.957,6,"Class1",25.826
41.033,"L",51.484,59,28.795,39.166,26.743,"O",37.206,69,"Class2",64.682
61.394,"O",62.087,75,30.373,15.754,26.698,"U",53.148,22,"Class1",46.204
65.21,"U",85.19,61,16.112,2.641,30.901,"D",66.795,63,"Class2",32.356
64.401,"O",72.964,84,44.359,34.501,4.107,"W",39.888,37,"Class1",19.399
92.043,"O",68.413,95,11.649,28.479,56.092,"U",60.445,8,"Class1",44.009
63.475,"G",80.368,97,41.496,43.777,18.662,"O",48.315,53,"Class1",49.895
49.047,"O",66.105,75,12.547,38.327,30.461,"U",76.436,27,"Class1",34.95
51.07,"D",64.221,73,24.679,28.768,91.566,"O",64.656,71,"Class1",33.058
42.307,"N",75.021,55,37.081,22.977,27.424,"I",49.956,52,"Class2",40.321
40.804,"U",39.118,55,45.988,31.266,21.816,"P",41.316,53,"Class2",65.665
42.942,"N",38.92,54,19.101,39.554,21.459,"D",95.306,70,"Class2",40.299
60.107,"N",61.582,59,30.14,15.418,26.029,"I",23.305,35,"Class2",63.659
67.129,"G",71.635,82,39.262,38.792,61.603,"W",36.969,35,"Class1",52.544
47.556,"T",55.638,58,27.987,55.45,21.043,"D",34.875,41,"Class2",46.347
55.696,"L",93.111,62,34.342,21.032,30.709,"P",47.639,25,"Class2",36.14
41.027,"L",58.454,58,38.318,39.721,21.951,"I",-9.768,26,"Class2",48.891
68.607,"L",0.418,54,21.992,43.096,20.98,"O",73.405,35,"Class2",55.17
48.114,"L",47.044,59,34.703,14.648,26.106,"D",27.759,31,"Class2",56.844
89.522,"L",31.371,53,34.448,50.094,32.95,"P",69.714,38,"Class2",39.183
90.301,"O",60.522,90,20.24,18.686,34.266,"O",57.077,62,"Class1",85.561
67.197,"U",69.856,51,20.218,23.837,23.551,"P",51.414,68,"Class2",32.403
69.501,"D",37.596,59,16.639,36.484,28.461,"D",64.664,32,"Class2",51.132
67.959,"K",65.134,97,29.812,16.88,39.044,"C",76.991,33,"Class1",50.33
87.183,"U",35.002,61,22.068,30.943,26.553,"H",15.8,59,"Class2",48.446
22.348,"L",74.4,62,29.376,51.79,21.32,"I",46.088,28,"Class2",39.47
86.485,"K",NA,94,16.378,25.014,76.279,"C",61.527,18,"Class1",36.244
67.467,"U",-0.923,59,21.139,41.15,23.324,"D",94.385,42,"Class2",35.066
64.705,"U",21.104,52,15.289,39.232,25.847,"D",47.522,65,"Class2",52.476
42.281,"O",67.172,79,39.329,12.903,58.699,"N",28.911,16,"Class1",NA
64.834,"D",82.423,55,21.712,16.262,27.568,"P",22.618,66,"Class2",NA
89.707,"T",45.803,54,16.941,33.892,30.002,"D",57.291,68,"Class2",64.846
39.766,"N",68.445,59,22.763,39.227,27.437,"O",48.175,67,"Class2",61.48
44.148,"U",36.619,56,31.913,47.032,28.602,"H",80.608,44,"Class2",59.133
50.603,"K",76.694,81,33.511,35.035,44.903,"W",46.341,56,"Class1",43.886
82.384,"D",74.092,85,36.595,48.496,55.741,"W",68.743,72,"Class1",91.118
69.667,"L",16.611,55,41.411,37.673,27.803,"P",60.727,37,"Class2",34.62
16.873,"D",35.125,62,44.413,25.939,24.546,"H",54.067,44,"Class2",49.842
47.142,"L",35.611,52,36.524,52.762,25.791,"I",36.48,37,"Class2",43.972
57.864,"D",73.317,87,33.269,43.394,45.089,"N",71.271,31,"Class1",30.524
64.178,"G",62.609,81,41.743,57.201,32.881,"O",74.922,42,"Class1",80.937
45.518,"U",45.498,56,42.699,35.056,28.512,"D",26.985,34,"Class2",45.838
55.371,"O",70.296,79,22.063,29.581,65.391,"C",66.054,76,"Class1",57.076
64.174,"D",60.042,93,20.11,15.932,43.217,"U",62.542,13,"Class1",82.187
27.391,"L",82.719,51,15.191,46.788,20.45,"O",31.765,64,"Class2",64.136
21.832,"N",52.512,54,19.093,41.873,24.353,"O",50.209,26,"Class2",NA
33.579,"L",16.767,56,40.801,48.129,31.297,"I",50.233,47,"Class2",NA
79.938,"G",80.49,91,40.782,30.191,30.595,"U",11.149,58,"Class1",71.297
24.239,"L",49.237,60,26.574,69.288,29.81,"H",66.945,44,"Class2",46.625
41.331,"L",15.942,60,39.996,24.657,26.191,"H",10.049,30,"Class2",55.594
80.687,"L",47.187,56,27.063,36.97,26.323,"D",34.86,61,"Class2",65.15
58.009,"K",70.492,90,29.174,42.915,19.545,"C",68.732,28,"Class1",75.35
29.709,"L",67.017,60,26.39,37.406,24.233,"P",76.966,28,"Class2",45.745
19.275,"L",59.028,57,35.69,54.303,24.004,"I",35.516,56,"Class2",57.517
44.798,"T",39.339,58,20.78,34.327,23.539,"O",61.378,53,"Class2",57.244
19.723,"N",8.643,54,16.441,40.44,23.611,"D",70.197,42,"Class2",47.826
40.841,"O",65.457,79,19.886,33.734,55.856,"W",22.814,45,"Class1",70.327
38.643,"N",93.838,58,42.918,43.25,24.965,"D",74.231,55,"Class2",57.096
87.288,"N",70.744,77,19.886,52.16,14.601,"O",44.158,41,"Class1",89.127
64.241,"L",78.06,59,43.939,40.956,23.194,"P",54.184,57,"Class2",62.973
27.733,"U",44.348,55,33.93,52.35,25.953,"I",96.763,36,"Class2",52.006
77.814,"T",-10.943,55,18.988,43.476,24.255,"I",56.799,62,"Class2",32.717
78.782,"U",56.074,51,43.011,58.66,25.649,"H",36.828,63,"Class2",61.509
47,"K",68.82,75,41.94,27.939,38.995,"W",69.757,21,"Class1",67.425
43.186,"G",58.641,81,45.208,29.628,34.969,"C",57.378,58,"Class1",81.288
67.401,"N",15.589,60,18.685,47.031,24.932,"I",8.215,55,"Class2",33.819
85.251,"N",NA,86,38.078,40.472,36.407,"C",58.109,17,"Class1",24.334
47.184,"N",NA,73,16.383,25.324,31.136,"C",53.935,5,"Class1",55.12
79.85,"N",71.496,79,31.905,38.375,75.72,"U",40.768,62,"Class1",30.615
38.921,"L",32.891,61,40.878,20.688,23.744,"D",77.959,41,"Class2",NA
64.089,"D",11.817,62,44.147,38.335,29.219,"O",88.315,50,"Class2",54.658
88.692,"G",73.491,89,23.349,13.758,3.875,"N",49.075,27,"Class1",63.866
94.413,"N",66.733,92,13.36,34.673,48.654,"W",9.753,69,"Class1",79.11
74.554,"L",48.054,52,36.663,24.601,26.305,"D",11.268,46,"Class2",37.383
15.635,"N",57.512,60,41.009,55.777,25.572,"I",68.949,54,"Class2",55.559
34.988,"L",73.372,53,44.427,44.469,23.488,"H",26.38,46,"Class2",50.524
42.029,"N",70.703,85,24.968,25.725,51.743,"O",67.602,41,"Class1",31.27
47.364,"N",60.527,79,37.334,29.343,58.087,"C",69.557,17,"Class1",82.165
71.431,"U",24.14,55,15.015,50.219,29.801,"H",91.073,52,"Class2",40.457
56.814,"D",67.736,92,16.013,38.323,88.785,"W",86.082,50,"Class1",59.671
87.238,"O",NA,74,37.671,30.098,80.964,"O",54.257,73,"Class1",44.808
58.012,"N",8.224,58,36.697,49.241,28.225,"P",35.001,67,"Class2",54.307
13.456,"D",73.809,60,41.564,39.189,26.152,"H",59.512,67,"Class2",34.478
49.145,"D",71.428,95,21.937,48.348,36.388,"U",53.934,34,"Class1",63.574
96.277,"O",63.495,91,18.11,31.851,16.001,"C",81.315,10,"Class1",38.092
92.746,"N",66.984,91,38.918,46.687,36.431,"N",15.922,52,"Class1",15.677
17.213,"L",NA,52,17.661,56.479,28.053,"P",119.701,26,"Class2",32.855
93.725,"N",64.864,93,23.984,46.595,50.748,"N",18.36,55,"Class1",79.138
41.619,"N",NA,73,41.179,20.956,60.133,"W",33.072,27,"Class1",54.056
72.273,"N",74.449,95,32.538,34.632,15.345,"O",9.748,64,"Class1",62.866
58.105,"N",49.217,61,20.044,25.352,27.676,"P",85.083,40,"Class2",41.007
36.211,"N",58.387,72,39.678,40.161,49.105,"C",44.221,38,"Class1",69.083
73.66,"G",70.046,89,32.641,28.535,52.327,"N",56.583,27,"Class1",52.887
22.161,"U",58.618,54,18.803,43.848,29.011,"H",46.462,70,"Class2",49.889
39.177,"T",97.553,52,39.913,41.063,30.689,"P",49.403,47,"Class2",31.599
36.381,"D",69.806,80,30.18,6.353,71.809,"O",30.741,44,"Class1",17.195
79.602,"N",69.27,72,24.838,22.866,7.784,"C",69.693,41,"Class1",82.621
27.403,"T",13.79,62,44.61,54.004,26.821,"P",7.11,65,"Class2",50.205
72.351,"G",68.494,92,11.542,35.789,92.249,"N",63.925,69,"Class1",NA
89.024,"N",23.963,60,31.609,54.182,26.905,"P",66.296,60,"Class2",58.01
36.494,"N",NA,51,44.381,18.567,24.579,"P",17.133,69,"Class2",64.852
30.578,"D",64.593,53,44.55,23.62,24.862,"I",59.053,38,"Class2",58.979
56.473,"U",59.045,59,33.404,47.425,23.247,"O",78.082,58,"Class2",53.485
42.227,"N",1.974,62,29.367,27.312,21.596,"D",8.141,63,"Class2",46.361
43.901,"G",76.363,76,23.709,45.671,49.042,"C",67.67,72,"Class1",31.976
80.276,"D",60.134,72,22.242,17.087,28.631,"N",33.54,14,"Class1",70.841
61.254,"N",57.919,82,42.048,35.955,87.241,"W",78.575,50,"Class1",31.256
58.491,"T",22.534,51,39.934,52.887,22.299,"I",86.452,68,"Class2",66.428
90.827,"L",13.634,53,21.922,41.737,22.074,"P",11.401,30,"Class2",40.432
49.08,"D",78.049,51,45.093,56.82,22.779,"O",84.117,57,"Class2",58.286
37.456,"U",28.856,60,44.176,60.361,27.04,"H",87.724,54,"Class2",32.793
75.03,"G",77.457,82,33.236,20.142,55.843,"O",62.262,50,"Class1",29.927
42.968,"U",35.06,52,27.902,45.819,23.661,"H",41.61,37,"Class2",46.161
33.272,"D",57.937,54,40.888,52.924,25.189,"O",35.548,46,"Class2",40.615
74.039,"L",-5.593,59,40.406,31.576,25.388,"O",4.925,36,"Class2",31.139
41.018,"L",-5.203,56,18.062,27.186,30.404,"D",80.739,42,"Class2",58.198
38.288,"T",44.258,61,37.048,66.225,20.619,"I",36.031,64,"Class2",48.759
92.529,"O",NA,74,27.753,0.05,87.172,"U",44.308,42,"Class1",34.939
90.89,"L",NA,53,22.078,44.49,23.412,"I",70.063,61,"Class2",60.486
25.511,"N",116.789,56,16.557,73.865,28.801,"P",24.116,44,"Class2",52.318
56.928,"D",88.344,55,38.083,37.167,28.369,"D",64.639,38,"Class2",53.761
52.54,"T",47.149,57,32.29,28.725,30.53,"D",88.536,65,"Class2",37.93
90.061,"K",74.16,88,13.825,30.355,9.569,"O",42.245,62,"Class1",40.062
87.64,"G",68.71,89,20.748,28.818,35.548,"U",9.637,43,"Class1",39.7
58.129,"N",83.793,53,25.917,52.559,21.162,"O",70.933,28,"Class2",58.333
37.125,"L",66.466,59,25.524,56.612,29.348,"I",56.448,53,"Class2",60.511
89.635,"D",70.693,90,37.648,43.468,40.881,"C",73.363,43,"Class1",54.529
73.389,"N",6.661,54,44.782,60.361,23.141,"I",117.743,65,"Class2",47.69
66.904,"K",72.689,87,32.424,32.809,55.93,"C",27.488,45,"Class1",75.8
92.955,"O",61.851,85,26.018,49.335,51.84,"U",58.727,6,"Class1",38.346
79.987,"U",18.981,58,42.869,18.267,25.935,"H",3.972,50,"Class2",38.769
87.862,"O",60.548,94,40.516,4.98,9.571,"U",54.998,34,"Class1",73.441
58.972,"O",76.841,88,26.366,41.876,35.809,"C",47.151,42,"Class1",9.74
65.638,"N",43.2,55,35.716,29.091,20.981,"I",55.014,63,"Class2",53.337
36.003,"K",61.072,76,40.142,7.365,38.857,"C",68.732,33,"Class1",23.483
60.248,"D",57.534,95,26.734,30.106,80.575,"W",54.336,64,"Class1",67.682
73.823,"K",70.081,86,14.249,33.038,35.506,"W",71.43,46,"Class1",58.85
39.123,"K",78.973,80,35.823,36.027,56.585,"C",63.204,27,"Class1",80.392
49.357,"K",68.853,89,11.684,31.131,36.142,"N",48.169,9,"Class1",22.806
30.434,"L",70.327,55,43.73,52.476,23.786,"O",29.699,54,"Class2",34.152
79.722,"G",68.392,78,32.317,39.618,49.959,"W",41.321,22,"Class1",12.469
63.444,"K",70.294,79,24.285,-9.415,50.569,"C",48.7,15,"Class1",20.96
74.211,"D",60.49,83,43.065,22.017,52.87,"O",68.252,6,"Class1",NA
70.979,"O",59.526,84,17.46,40.099,52.183,"O",73.018,45,"Class1",61.62
89.731,"N",59.108,74,19.829,16.986,-14.791,"W",64.802,13,"Class1",47.41
88.511,"G",61.265,91,17.64,32.696,89.297,"O",51.027,57,"Class1",35.888
85.35,"L",44.733,60,31.34,16.445,27.255,"D",35.238,62,"Class2",54.367
43.902,"O",77.886,90,11.089,32.635,59.747,"N",73.534,23,"Class1",49.541
88,"K",74.728,76,43.197,60.674,36.286,"U",48.055,53,"Class1",80.61
54.596,"D",64.336,94,27.114,12.571,12.511,"U",94.59,73,"Class1",63.161
41.878,"G",74.531,95,37.041,26.086,47.553,"O",61.127,74,"Class1",61.93
70.103,"N",30.489,57,39.897,29.621,23.437,"D",82.658,28,"Class2",45.093
58.931,"N",89.849,55,21.446,32,25.527,"H",93.652,55,"Class2",62.4
39.686,"D",65.818,78,35.192,44.54,55.184,"O",67.822,24,"Class1",62.87
75.167,"D",68.489,88,21.94,46.286,44.577,"W",57.441,57,"Class1",89.99
71.224,"D",59.521,59,33.859,58.174,22.18,"O",117.613,41,"Class2",47.133
93.894,"O",63.129,91,20.558,34.205,41.945,"W",81.99,43,"Class1",81.687
85.633,"D",66.83,72,30.832,19.523,40.349,"N",56.872,21,"Class1",83.015
84.512,"N",34.551,60,30.435,81.847,19.967,"P",35.95,48,"Class2",62.284
49.535,"K",65.484,86,32.255,28.764,49.947,"W",48.372,46,"Class1",NA
53.189,"O",55.993,87,36.179,35.108,16.997,"W",69.437,52,"Class1",68.713
23.615,"U",28.216,60,23.147,43.572,26.356,"H",110.586,61,"Class2",30.545
59.86,"D",25.966,62,42.675,36.639,25.682,"H",62.567,66,"Class2",NA
41.053,"K",68.956,86,21.472,28.322,35.845,"C",56.328,28,"Class1",80.767
78.415,"L",-7.097,54,18.15,31.952,27.781,"O",64.675,49,"Class2",66.487
85.115,"K",74.898,93,13.224,14.855,53.256,"O",59.623,71,"Class1",14.236
29.732,"L",NA,56,21.194,38.186,20.201,"O",19.382,42,"Class2",46.954
68.635,"U",-8.292,52,35.276,46.965,25.053,"D",73.625,38,"Class2",NA
26.07,"D",54.127,60,26.99,27.846,26.447,"O",21.757,57,"Class2",65.425
38.5,"N",11.954,57,43.769,34.181,22.337,"P",27.113,46,"Class2",NA
26.89,"T",39.461,55,17.179,17.307,29.028,"D",50.14,41,"Class2",32.451
15.217,"U",32.962,51,42.498,40.735,25.746,"P",79.587,52,"Class2",64.643
68.716,"U",42.394,60,21.072,51.209,25.338,"D",69.539,64,"Class2",55.664
50.08,"D",5.706,60,44.514,51.598,33.711,"I",39.47,60,"Class2",32.252
92.613,"G",76.46,92,20.227,26.004,28.877,"N",65.825,48,"Class1",73.654
38.217,"U",67.188,54,38.484,45.842,24.992,"D",71.084,30,"Class2",53.167
87.862,"N",77.627,96,19.713,32.9,44.337,"W",41.028,34,"Class1",38.771
27.784,"L",49.172,62,40.443,55.992,23.901,"H",30.499,46,"Class2",62.577
58.038,"L",21.506,53,22.031,28.015,30.3,"P",0.368,55,"Class2",54.906
30.609,"T",-28.29,51,38.665,3.762,21.955,"P",29.493,50,"Class2",65.234
56.207,"K",64.49,94,42.088,38.073,105.86,"C",22.129,12,"Class1",20.553
83.448,"K",71.702,87,37.514,46.761,40.893,"C",63.57,38,"Class1",76.662
41.828,"N",78.845,53,39.218,51.673,27.179,"O",56.079,48,"Class2",62.699
65.513,"K",64.008,84,24.806,-4.817,-1.717,"N",43.613,21,"Class1",61.284
69.041,"O",57.438,89,39.545,50.375,58.884,"O",44.831,67,"Class1",58.195
51.492,"G",62.883,73,20.375,34.68,64.789,"W",17.37,38,"Class1",49.731
68.019,"T",29.143,59,37.714,34.677,22.525,"I",48.515,35,"Class2",42.726
25.604,"N",16.276,51,35.624,40.435,17.304,"P",38.646,68,"Class2",39.959
81.065,"N",63.121,75,42.984,30.499,65.569,"W",76.794,40,"Class1",24.989
61.042,"G",56.561,89,12.424,35.961,22.748,"O",69.317,44,"Class1",NA
65.62,"U",29.649,52,29.815,54.858,27.882,"I",72.839,32,"Class2",39.453
88.632,"G",66.931,96,41.775,51.571,54.857,"C",18.635,42,"Class1",83.292
85.234,"N",62.938,77,32.692,34.823,68.136,"U",67.913,29,"Class1",50.047
67.852,"T",51.298,55,34.207,49.093,26.02,"P",91.141,48,"Class2",43.011
46.516,"U",NA,51,17.546,28.892,26.033,"P",72.517,69,"Class2",60.271
73.462,"N",66.154,97,19.131,16.826,28.873,"U",39.48,67,"Class1",32.994
44.297,"U",52.774,52,44.542,60.631,20.929,"D",48.32,43,"Class2",30.045
58.429,"N",62.045,82,39.778,9.343,41.101,"W",49.69,43,"Class1",27.491
61.328,"L",46.751,54,38.513,61.675,22.921,"D",13.32,53,"Class2",43.993
43.77,"D",66.601,88,42.244,26.121,42.57,"N",40.714,7,"Class1",85.782
16.726,"L",28.462,52,44.513,30.078,24.164,"O",94.886,43,"Class2",32.631
61.927,"K",67.028,96,33.732,-10.302,51.025,"C",49.634,43,"Class1",33.158
85.64,"N",64.757,77,44.759,-4.751,5.002,"C",67.495,32,"Class1",87.199
62.878,"N",NA,59,41.839,10.147,22.713,"I",30.884,36,"Class2",59.682
53.066,"L",29.978,62,35.382,28.743,21.533,"P",49.766,59,"Class2",45.95
15.174,"U",24.115,56,43.716,62.841,28.668,"I",50.163,33,"Class2",50.251
76.893,"K",49.659,95,32.23,30.591,44.129,"N",85.316,62,"Class1",31.566
55.517,"O",69.827,91,38.205,37.963,75.39,"W",89.114,57,"Class1",33.865
71.003,"N",33.108,51,16.92,19.327,24.805,"I",57.147,53,"Class2",49.14
89.857,"K",65.474,96,41.398,45.252,-3.885,"U",64.846,74,"Class1",94.271
33.674,"N",67.006,61,45.367,42.568,29.003,"I",45.717,37,"Class2",32.717
34.742,"D",45.428,54,36.462,48.03,20.234,"O",65.086,56,"Class2",55.451
45.106,"N",62.015,53,35.397,52.15,30.098,"H",115.036,55,"Class2",61.416
96.082,"O",NA,72,28.28,52.664,58.156,"C",109.218,49,"Class1",82.12
71.96,"G",73.566,89,40.056,8.369,57.609,"O",23.561,34,"Class1",67.378
83.375,"G",69.632,88,16.263,28.462,93.443,"N",63.086,41,"Class1",39.108
47.959,"N",58.98,75,17.437,43.45,38.808,"O",63.815,61,"Class1",86.266
36.402,"N",NA,93,17.027,16.051,59.189,"N",62.031,53,"Class1",21.248
42.721,"N",73.484,97,42.963,33.069,12.324,"U",82.49,16,"Class1",18.837
95.018,"D",64.878,73,14.637,18.867,66.851,"O",55.691,37,"Class1",64.137
75.389,"N",66.566,52,42.589,56.143,25.328,"O",74.61,43,"Class2",53.294
41.768,"D",17.777,53,21.61,31.434,24.575,"D",89.031,65,"Class2",49.463
84.285,"N",61.371,89,24.695,1.783,24.289,"W",71.671,34,"Class1",49.469
76.386,"N",17.889,51,17.213,50.516,26.382,"O",90.949,30,"Class2",57.432
48.253,"N",61.309,73,31.077,13.52,35.207,"C",65.339,61,"Class1",77.763
57.287,"G",74.015,86,22.188,40.053,8.102,"N",53.616,48,"Class1",85.984
62.104,"D",56.494,61,18.706,31.318,27.391,"O",38.689,27,"Class2",52.798
93.03,"O",68.427,79,28.124,37.354,53.676,"U",86.629,54,"Class1",45.733
60.051,"D",59.755,81,12.545,46.845,32.03,"C",32.814,43,"Class1",9.617
67.101,"T",-6.582,58,29.192,42.141,23.888,"I",25.405,48,"Class2",57.595
46.559,"O",54.835,74,43.457,16.642,61.775,"C",63.009,42,"Class1",41.141
96.291,"D",65.341,94,35.41,5.659,50.729,"U",3.098,48,"Class1",47.262
48.217,"K",64.09,82,17.615,22.586,54.779,"O",43.878,75,"Class1",9.507
56.567,"G",68.992,91,46.327,33.354,-3.45,"W",50.025,54,"Class1",30.187
59.235,"O",57.708,92,24.407,17.556,30.926,"U",119.53,9,"Class1",23.763
29.275,"U",40.88,62,30.137,50.596,30.765,"I",46.294,39,"Class2",36.977
45.816,"N",69.34,72,25.961,41.103,59.527,"O",57.886,71,"Class1",15.059
87.066,"D",66.771,87,40.846,27.33,19.713,"C",78.44,23,"Class1",32.99
17.293,"U",10.863,61,16.81,48.058,30.536,"I",57.015,60,"Class2",58.613
68.465,"K",75.728,82,24.41,34.299,36.041,"W",70.397,53,"Class1",45.734
84.971,"N",71.603,72,32.496,37.884,65.151,"C",76.049,42,"Class1",54.264
39.093,"T",87.518,53,19.914,50.176,24.442,"I",46.643,29,"Class2",41.037
50.86,"D",47.214,54,36.051,49.488,28.826,"P",14.442,66,"Class2",64.202
40.714,"K",67.679,77,42.516,38.569,68.557,"U",67.401,47,"Class1",68.283
86.908,"G",64.069,93,35.782,11.191,69.416,"U",29.923,48,"Class1",66.368
88.254,"T",91.653,56,26.726,65.163,20.342,"D",7.415,66,"Class2",65.549
45.876,"N",57.608,76,41.44,42.832,91.806,"U",77.868,56,"Class1",73.401
82.111,"K",67.766,80,37.158,37.054,10.511,"N",39.373,22,"Class1",76.378
22.328,"N",77.03,55,36.457,15.955,19.515,"I",46.548,62,"Class2",41.132
45.344,"D",-2.388,60,18.953,37.876,28.958,"I",44.839,35,"Class2",47.512
83.879,"G",64.523,74,27.475,53.781,49.337,"O",35.342,68,"Class1",51.481
82.749,"O",71.373,76,14.501,18.379,45.577,"O",45.718,49,"Class1",93.514
82.626,"T",96.844,58,19.174,30.871,23.412,"D",101.716,56,"Class2",NA
19.465,"U",65.522,57,30.102,27.027,27.251,"O",48.155,39,"Class2",53.864
16.385,"U",28.853,51,41.747,58.671,22.54,"D",13.171,30,"Class2",59.426
52.254,"K",70.184,97,23.833,36.23,41.96,"W",41.814,31,"Class1",92.446
31.683,"L",25.179,55,44.375,36.854,25.832,"P",32.331,69,"Class2",47.096
66.846,"D",44.43,58,20.964,54.627,30.472,"O",37.295,30,"Class2",44.069
71.282,"N",68.822,96,12.649,22.764,75.352,"W",55.631,43,"Class1",74.127
60.145,"K",65.034,91,34.664,25.642,40.442,"U",30.941,70,"Class1",75.166
87.219,"G",56.139,81,45.338,12.414,30.875,"N",65.127,59,"Class1",78.977
49.822,"O",72.085,81,21.834,26.321,8.24,"C",56.158,70,"Class1",72.231
