"RDG1","WAL2","XUD3","FZO4","VMY5","EXQ6","BLU7","ITA8","ATD9","Output19","JXU10"
39.142,51.804,29.118,26.6,"D",29,92.579,80.062,12.632,"Class1",46.26
65.801,65.437,67.609,27.459,"J",85,68.655,11.98,43.707,"Class2",39.492
50.474,55.076,8.199,32.457,"Y",23,93.08,61.023,16.983,"Class1",43.41
69.741,25.411,4.679,15.557,"Z",92,10.995,NA,24.362,"Class3",11.618
22.76,33.201,15.753,54.285,"O",6,57.556,29.545,6.765,"Class4",88.801
49.329,50.989,82.633,27.553,"J",11,92.577,70.907,16.725,"Class1",43.658
48.094,37.533,6.616,15.118,"V",53,10.281,80.436,26.894,"Class3",11.049
82.856,14.43,0.989,10.491,"O",55,6.461,81.16,26.567,"Class3",13.092
65.453,38.573,71.103,18.205,"K",84,63.181,20.41,54.525,"Class2",31.239
28.75,50.994,53.967,27.446,"I",13,89.847,61.22,11.703,"Class1",41.719
43.005,32.797,37.912,50.156,"G",9,71.043,32.85,69.523,"Class4",50.902
82.047,48.724,74.989,18.244,"J",87,68.34,21.395,27.006,"Class2",51.849
60.899,19.209,13.409,10.943,"A",84,11.175,81.746,26.143,"Class3",16.389
51.408,32.475,31.552,42.507,"B",0,66.607,28.981,73.027,"Class4",75.89
54.643,9.717,8.71,5.072,"A",62,9.052,80.119,19.927,"Class3",9.762
70.122,17.336,70.796,36.534,"N",84,60.978,28.298,40.381,"Class2",82.875
46.467,35.236,-3.128,40.344,"B",8,57.538,20.74,36.422,"Class4",65.213
43.585,50.463,55.314,28.393,"J",17,91.727,79.19,14.264,"Class1",42.83
65.143,34.488,73.659,12.862,"K",84,60.573,23.504,38.837,"Class2",54.525
39.976,49.584,17.81,31.572,"Z",29,94.999,64.056,15.158,"Class1",43.259
84.065,28.163,70.933,28.91,"H",86,68.244,14.982,48.634,"Class2",70.604
69.473,22.105,3.923,14.1,"O",87,8.64,81.912,26.326,"Class3",12.776
34.772,51.928,48.721,27.19,"Z",33,88.72,71.435,12.732,"Class1",43.662
61.939,26.775,76.414,27.227,"N",86,68.275,17.556,33.696,"Class2",88.565
65.65,12.289,11.551,10.819,"K",64,10.357,81.072,19.463,"Class3",16.096
79.918,44.82,70.707,12.552,"Q",84,65.478,8.259,29.735,"Class2",27.648
36.667,33.063,29.948,39.594,"B",0,46.471,34.045,53.059,"Class4",55.321
34.021,30.575,38.152,51.429,"G",7,56.729,35.494,36.432,"Class4",51.058
40.446,51.275,52.103,32.222,"J",10,90.25,74.322,12.183,"Class1",35.995
85.099,12.879,22.615,6.982,"V",55,3.93,80.113,23.375,"Class3",16.631
94.793,39.81,5.268,7.983,"A",63,10.966,80.741,17.231,"Class3",12.776
32.855,32.125,33.338,52.968,"F",3,NA,24.598,21.213,"Class4",65.701
33.583,52.707,0.162,30.257,"I",14,93.61,75.168,14.193,"Class1",40.03
77.969,11.391,10.209,26.38,"K",65,5.023,NA,19.49,"Class3",14.288
77.133,29.017,5.229,27.718,"K",72,11.2,80.259,18.043,"Class3",14.427
42.796,55.2,9.649,27.084,"J",27,95.451,73.093,11.399,"Class1",43.131
43.526,49.478,40.825,21.489,"Y",31,93.374,74.583,16.723,"Class1",45.33
72.711,50.43,72.421,34.089,"K",85,66.057,15.563,74.702,"Class2",43.226
39.969,54.578,53.107,30.882,"Y",26,94.918,61.506,15.833,"Class1",40.03
27.834,50.462,47.359,30.504,"Z",25,89.121,73.883,11.21,"Class1",41.923
30.321,51.628,16.831,28.742,"J",12,94.375,61.093,13.268,"Class1",47.994
27.35,52.385,30.641,29.625,"Z",25,NA,55.21,11.288,"Class1",46.771
27.376,32.626,13.907,55.339,"F",5,74.912,24.048,16.744,"Class4",91.107
75.806,63.515,75.735,28.845,"N",87,71.262,27.309,75.035,"Class2",69.995
69.327,48.329,72.733,31.402,"J",87,66.098,28.911,79.351,"Class2",32.606
41.299,31.595,50.218,56.84,"F",6,46.489,36.211,21.956,"Class4",66.127
33.181,54.962,65.44,27.036,"D",23,90.302,69.373,15.869,"Class1",37.919
58.471,28.182,12.807,10.227,"K",67,10.896,NA,21.897,"Class3",13.037
74.747,43.684,76.303,27.283,"H",87,63.307,13.416,47.083,"Class2",84.447
54.21,32.587,61.866,58.865,"G",4,71.776,32.691,55.335,"Class4",94.598
88.129,41.958,76.995,24.437,"H",87,71.375,30.221,55.829,"Class2",46.776
60.111,44.784,78.084,35.135,"J",84,60.304,21.031,39.53,"Class2",27.381
80.837,64.082,71.417,19.237,"J",84,62.719,20.403,78.022,"Class2",34.547
39.915,34.263,52.383,63.543,"C",6,74.152,29.76,61.341,"Class4",72.498
52.304,52.774,57.72,33.284,"Y",15,88.37,75.764,12.387,"Class1",43.566
75.466,63.405,69.662,37.614,"K",86,66.411,30.801,78.206,"Class2",20.315
80.162,64.604,65.21,31.143,"Q",87,72.385,20.036,82.682,"Class2",55.404
86.186,61.779,68.711,25.047,"J",85,63.862,9.01,47.265,"Class2",61.413
26.782,53.234,79.681,29.972,"J",31,93.368,80.207,11.644,"Class1",42.872
34.255,31.436,49.661,62.503,"B",4,49.25,18.188,48.779,"Class4",59.591
57.121,22.023,16.934,17.673,"V",79,3.761,81.776,25.236,"Class3",17.422
55.607,32.897,30.253,43.966,"G",3,51.634,29.906,26.357,"Class4",72.022
70.03,22.7,13.706,21.557,"A",55,11.208,80.06,24.239,"Class3",9.916
42.871,53.558,50.86,31.353,"I",33,92.414,67.612,13.711,"Class1",51.562
71.263,24.835,6.995,20.46,"Z",75,7.991,81.527,19.422,"Class3",15.014
33.926,31.472,51.624,55.538,"C",9,62.466,26.195,73.812,"Class4",60.55
93.087,52.529,76.391,29.987,"K",87,72.288,15.553,52.639,"Class2",43.069
78.553,-15.017,7.257,11.27,"A",92,NA,80.707,18.156,"Class3",12.692
88.823,19.448,70.928,39.746,"Q",87,61.849,15.409,66.045,"Class2",95.48
35.091,52.62,46.703,28.024,"Y",13,95.855,76.209,11.256,"Class1",39.957
89.699,72.734,68.893,35.948,"J",87,66.179,8.574,82.064,"Class2",88.228
77.939,6.096,-0.102,12.712,"A",63,8.484,81.436,27.34,"Class3",16.314
59.304,31.994,3.861,29.67,"V",76,2.903,81.317,17.447,"Class3",13.723
60.386,49.315,76.469,26.206,"J",85,66.387,11.961,30.634,"Class2",70.373
36.196,31.345,28.393,64.296,"C",8,57.659,25.176,51.504,"Class4",60.59
34.418,51.485,33.473,29.884,"D",26,93.839,77.232,13.215,"Class1",40.096
91.444,18.851,70.041,28.444,"J",85,61.849,19.128,77.766,"Class2",51.781
35.168,31.516,44.422,51.48,"G",4,69.771,27.24,26.654,"Class4",56.72
74.689,16.174,8.13,13.275,"Z",92,7.18,80.945,23.232,"Class3",15.052
29.462,29.45,46.724,65.675,"O",4,73.908,31.927,74.978,"Class4",92.97
41.515,32.524,22.221,56.616,"C",7,69.157,28.385,29.105,"Class4",67.479
47.478,6.621,7.395,15.533,"V",75,7.011,NA,22.949,"Class3",12.042
25.578,53.192,57.158,29.886,"I",12,96.228,54.021,13.403,"Class1",42.261
24.112,34.63,7.646,54.727,"G",6,46.832,36.436,2.874,"Class4",75.097
45.725,33.966,59.71,61.489,"F",3,58.4,28.619,41.675,"Class4",71.49
30.12,33.493,40.131,62.754,"F",9,73.824,18.422,51.474,"Class4",74.794
91.333,32.795,73.361,22.764,"K",84,69.586,30.303,37.994,"Class2",27.312
30.888,33.991,45.508,53.922,"B",7,51.173,22.783,10.186,"Class4",83.69
37.274,51.075,23.671,24.714,"I",29,93.307,80.907,13.319,"Class1",37.907
76.774,31.109,1.054,22.673,"V",71,4.104,81.734,26.724,"Class3",11.622
83.096,53.149,7.185,18.859,"K",67,4.24,81.634,20.965,"Class3",15.131
60.738,40.357,72.122,29.141,"J",87,65.281,16.249,37.683,"Class2",57.601
47.413,32.508,41.836,49.032,"G",3,NA,34.467,15.295,"Class4",70.884
65.054,70.517,69.674,32.676,"Q",85,60.679,20.591,52.162,"Class2",68.519
43.069,10.082,14.745,14.402,"V",83,2.594,80.217,22.919,"Class3",13.385
44.91,53.737,46.824,33.084,"Y",11,90.609,66.053,14.568,"Class1",35.73
65.557,40.98,75.249,30.679,"N",84,63.93,9.476,80.262,"Class2",109.8
35.934,53.678,17.04,30.35,"Y",18,94.664,65.931,13.71,"Class1",42.313
41.617,51.12,29.711,33.783,"I",12,92.825,64.725,11.997,"Class1",33.623
36.746,50.852,89.293,26.849,"J",30,96.968,71.902,16.874,"Class1",36.304
94.353,58.035,74.936,22.621,"H",86,NA,10.837,50.994,"Class2",62.49
33.68,49.801,64.219,26.693,"J",12,95.812,68.563,11.419,"Class1",43.5
31.731,55.811,73.589,28.701,"D",10,90.682,78.799,12.529,"Class1",38.174
54.274,31.217,31.874,54.767,"G",1,59.085,20.587,4.207,"Class4",45.379
56.603,35.99,12.035,12.789,"Z",70,9.159,81.665,21.91,"Class3",12.677
30.275,52.714,80.832,30.011,"I",18,90.059,70.473,14.123,"Class1",37.111
63.764,21.212,-1.508,17.755,"Z",57,7.386,80.502,25.095,"Class3",11.766
40.473,51.269,108.014,28.768,"Y",22,96.343,54.614,16.797,"Class1",48.573
92.701,15.784,8.169,6.82,"V",76,3.191,81.45,20.764,"Class3",14.875
94.553,37.791,73.304,40.185,"J",84,61.22,19.37,81.987,"Class2",16.463
67.846,24.111,20.226,12.453,"A",61,3.733,81.658,22.969,"Class3",15.982
49.774,32.232,39.974,41.396,"G",6,64.036,30.924,39.859,"Class4",68.057
47.126,20.998,2.876,11.894,"V",67,3.482,81.695,22.554,"Class3",10.82
45.14,25.252,-9.956,18.691,"O",68,9.213,80.762,22.955,"Class3",14.251
47.115,10.947,13.834,8.116,"A",64,4.707,81.89,27.035,"Class3",11.393
72.88,45.285,77.357,27.205,"J",85,68.803,8.2,33.643,"Class2",23.057
68.384,28.673,72.13,33.01,"H",86,63.032,13.258,28.158,"Class2",79.078
51.539,55.161,23.703,30.738,"I",12,92.385,64.839,12.544,"Class1",38.903
82.872,13.616,12.616,10.691,"A",65,5.337,81.209,27.702,"Class3",11.698
51.675,26.437,-3.481,12.027,"K",82,10.953,81.775,23.255,"Class3",12.75
89.413,19.975,11.033,8.334,"O",57,NA,81.731,26.863,"Class3",12.704
46.368,52.29,45.272,23.884,"I",32,NA,78.058,15.554,"Class1",36.594
86.023,20.75,6.053,11.318,"Z",59,9.737,80.188,26.094,"Class3",10.975
29.987,32.118,19.847,45.056,"F",4,40.121,37.901,48.116,"Class4",57.554
85.279,87.896,74.82,26.116,"K",84,65.142,18.596,80.948,"Class2",64.432
66.818,22.305,7.17,7.574,"Z",64,2.162,81.909,17.815,"Class3",14.444
41.98,51.479,65.096,31.482,"I",28,95.266,66.612,12.208,"Class1",46.238
68.795,62.781,73.64,22.755,"Q",86,NA,28.118,30.539,"Class2",49.416
78.449,24.655,5.651,13.256,"V",79,11.678,81.686,20.244,"Class3",9.488
86.899,101.492,73.178,29.893,"J",87,63.421,29.829,58.479,"Class2",28.622
36.919,55.511,7.388,30.512,"J",11,90.039,65.096,12.43,"Class1",45.589
84.539,50.687,71.793,30.995,"Q",86,66.775,18.408,30.058,"Class2",32.334
54.526,32.062,44.055,74.36,"O",9,59.235,38.004,16.09,"Class4",59.661
69.279,59.291,73.403,33.54,"J",85,68.677,25.056,51.19,"Class2",78.495
39.431,52.544,48.79,29.418,"Y",29,89.082,77.674,13.168,"Class1",43.478
67.577,32.034,9.436,14.155,"O",69,11.197,80.957,20.689,"Class3",11.895
68.533,14.959,22.32,18.673,"V",68,11.707,81.237,22.717,"Class3",14.373
51.213,54.812,40.843,36.408,"Y",25,NA,76.335,12.225,"Class1",50.147
31.553,35.778,24.864,53.133,"F",0,44.138,27.747,29.888,"Class4",81.149
71.12,65.192,76.929,22.648,"J",86,71.355,28.018,49.688,"Class2",45.584
65.043,51.515,71.572,30.833,"J",87,64.428,13.962,78.166,"Class2",85.461
72.213,36.622,76.022,20.221,"H",84,64.187,22.071,29.875,"Class2",58.035
35.87,49.181,48.031,32.724,"Z",20,89.036,58.55,16.545,"Class1",43.749
51.551,21.041,19.017,12.037,"Z",81,9.289,81.735,25.587,"Class3",14.058
28.958,31.838,54.423,65.888,"B",9,60.624,28.915,47.478,"Class4",67.565
34.725,33.739,12.206,61.791,"B",7,50.238,29.402,27.951,"Class4",57.858
43.751,34.083,65.821,65.474,"C",1,NA,23.78,50.495,"Class4",69.232
29.255,31.81,45.937,54.199,"B",8,56.606,32.553,21.06,"Class4",78.839
23.894,54.847,20.706,31.317,"Z",14,92.557,NA,11.525,"Class1",41.203
49.463,31.996,30.027,59.858,"B",0,43.909,34.454,51.316,"Class4",111.793
27.436,53.369,76.124,29.203,"Z",23,89.718,80.279,13.795,"Class1",37.843
66.16,67.199,69.246,29.618,"K",86,66.027,15.091,79.573,"Class2",52.629
40.44,55.011,59.318,25.276,"I",20,92.311,65.786,12.495,"Class1",42.059
62.561,60.592,73.06,27.203,"J",87,67.81,22.423,51.177,"Class2",37.119
47.926,50.706,21.545,27.21,"Z",15,89.659,NA,12.174,"Class1",42.574
74.573,7.791,74.026,26.222,"N",85,62.141,14.708,70.435,"Class2",20.281
49.943,50.077,39.921,31.689,"D",12,95.405,64.225,13.366,"Class1",37.769
52.817,34.69,35.956,65.695,"B",2,41.551,22.005,31.058,"Class4",124.948
35.721,34.156,61.685,52.546,"B",9,56.996,22.276,63.299,"Class4",86.692
42.377,31.164,47.682,53.193,"G",2,42.458,NA,58.586,"Class4",95.59
79.426,67.843,74.875,25.569,"J",84,69.116,23.466,48.398,"Class2",48.363
95.38,29.245,10.702,17.556,"V",63,11.62,80.621,26.246,"Class3",13.075
45.395,34.255,60.716,59.961,"F",0,64.108,32.746,2.455,"Class4",72.937
43.954,50.908,60.472,32.028,"I",22,95.559,68.89,16.422,"Class1",37.819
69.817,20.962,0.535,19.22,"V",65,9.975,80.376,22.299,"Class3",10.512
35.762,49.459,60.027,28.137,"Z",30,92.586,66.604,16.324,"Class1",40.898
44.157,16.736,9.639,12.953,"K",61,3.08,81.023,24.016,"Class3",15.488
29.116,50.523,47.254,25.321,"J",21,93.553,54.733,14.723,"Class1",36.649
27.117,51.134,49.132,32.654,"Z",28,93.206,68.142,16.621,"Class1",40.202
30.247,33.693,23.025,58.567,"B",3,69.616,21.295,17.512,"Class4",73.517
83.91,44.081,69.27,24.978,"K",86,71.831,18.548,61.045,"Class2",60.443
39.835,51.375,112.688,32.045,"Z",19,92.918,67.156,14.4,"Class1",39.432
29.088,53.508,39.261,30.501,"J",26,95.186,78.02,12.875,"Class1",42.334
31.377,50.556,51.194,30.516,"I",30,88.108,66.78,14.719,"Class1",43.516
41.792,19.803,6.574,7.463,"A",80,9.766,80.51,19.55,"Class3",14.355
21.604,31.71,30.073,56.876,"G",4,46.176,28,11.57,"Class4",79.315
53.552,33.057,11.104,61.874,"G",5,49.267,29.333,10.238,"Class4",81.228
93.291,24.586,5.226,9.252,"Z",63,9.58,80.018,17.805,"Class3",14.008
28.605,33.816,63.343,52.323,"O",2,50.132,30.924,44.195,"Class4",65.027
93.886,43.083,19.667,21.603,"V",64,9.164,81.378,26.769,"Class3",12.018
76.119,24.85,6.748,13.323,"A",78,4.487,81.616,18.845,"Class3",12.602
25.821,52.393,22.826,32.75,"I",30,89.743,64.383,15.049,"Class1",36.207
72.647,12.988,2.954,17.831,"Z",83,4.359,81.942,24.885,"Class3",11.863
22.07,31.97,26.373,42.67,"F",4,41.36,25.127,60.493,"Class4",67.309
34.567,33.473,27.671,52.399,"C",5,56.251,35.459,24.943,"Class4",57.359
43.197,33.059,51.673,57.166,"O",4,66.339,29.163,66.69,"Class4",54.581
62.739,41.332,70.021,27.04,"Q",84,65.303,28.03,37.509,"Class2",44.565
37.015,32.892,43.398,52.278,"G",2,57.308,28.181,49.705,"Class4",102.024
45.998,52.137,44.254,25.504,"I",31,96.21,71.173,15.436,"Class1",40.389
23.12,32.946,16.564,58.677,"O",2,67.612,30.578,2.849,"Class4",66.778
69.889,66.382,72.619,35.799,"J",86,61.406,11.173,42.792,"Class2",78.666
38.159,37.41,8.571,11.355,"Z",63,11.571,81.056,27.202,"Class3",13.56
55.889,30.607,48.526,70.931,"B",10,72.426,27.128,52.719,"Class4",49.242
68.117,23.138,71.873,27.821,"N",84,67.964,28.245,81.186,"Class2",91.776
83.099,12.858,2.504,5.638,"K",67,4.473,80.183,21.381,"Class3",11.94
85.636,53.411,76.645,20.374,"Q",86,64.325,22.043,41.111,"Class2",81.004
27.531,33.461,23.639,60.736,"O",3,66.01,20.156,8.007,"Class4",81.278
39.173,32.751,40.908,46.845,"F",2,42.271,36.869,32.157,"Class4",95.625
77.908,44.501,76.746,44.514,"Q",86,72.402,14.404,37.336,"Class2",75.735
89.433,49.24,70.775,26.878,"N",85,70.709,14.97,58.491,"Class2",53.65
51.484,19.602,8.862,3.001,"A",90,2.117,80.149,18.734,"Class3",15.223
22.637,33.305,81.11,52.983,"C",1,45.809,33.495,64.376,"Class4",60.745
23.329,32.123,39.794,61.635,"O",2,54.499,28.408,27.154,"Class4",55.342
93.001,49.525,73.675,26.843,"Q",85,60.666,16.385,64.742,"Class2",38.028
78.505,90.048,73.034,31.689,"K",86,64.482,24.142,80.243,"Class2",63.771
60.961,51.448,76.368,33.037,"N",87,69.212,28.664,62.045,"Class2",39.119
57.231,31.558,38.759,50.586,"F",9,72.997,38.262,7.244,"Class4",61.553
83.434,21.184,3.911,7.896,"V",70,11.006,81.61,25.227,"Class3",14.051
49.648,52.032,26.452,31.096,"Z",10,91.859,69.204,14.777,"Class1",43.221
56.328,33.266,52.707,51.594,"B",1,71.805,20.007,72.954,"Class4",80.373
27.857,50.954,52.792,26.541,"D",18,90.626,NA,11.697,"Class1",47.757
24.407,50.147,75.091,26.887,"I",21,92.553,74.491,15.142,"Class1",50.06
50.3,53.279,-23.66,28.758,"Y",29,95.186,63.389,15.866,"Class1",42.699
74.161,84.479,72.612,34.237,"K",87,69.641,20.279,74.51,"Class2",61.998
46.346,55.083,76.742,23.759,"J",17,91.297,72.082,11.339,"Class1",48.931
28.779,53.307,78.619,27.804,"Z",16,91.235,60.595,12.754,"Class1",42.789
40.381,20.509,8.667,6.361,"K",62,3.931,81.31,24.112,"Class3",12.615
33.684,51.113,66.484,31.649,"I",30,95.928,71.174,13.052,"Class1",43.312
58.884,30.317,13.708,11.065,"V",66,8.45,80.558,18.95,"Class3",15.235
63.351,22.004,5.835,14.428,"A",77,10.39,80.997,26.726,"Class3",12.66
38.52,52.608,30.438,29.545,"D",14,90.079,71.385,16.109,"Class1",44.553
43.75,53.941,40.68,30.616,"I",24,90.598,67.526,12.882,"Class1",50.385
44.839,50.517,-12.679,32.321,"Z",18,89.754,72.769,16.856,"Class1",46.432
46.835,50.286,44.361,29.22,"J",26,94.043,67.151,11.963,"Class1",38.765
25.382,56.811,20.633,28.57,"Y",20,92.41,78.86,13.471,"Class1",42.029
37.181,53.941,13.538,28.186,"I",21,96.718,53.498,15.565,"Class1",43.509
39.864,53.28,24.026,26.287,"Z",27,89.529,64.471,11.579,"Class1",45.583
61.6,15.106,9.974,15.831,"K",72,5.67,81.253,19.989,"Class3",14.523
57.485,34.072,-0.651,65.907,"C",10,47.558,21.175,5.3,"Class4",109.604
34.264,31.61,48.872,50.56,"O",8,74.525,23.916,54.605,"Class4",79.627
21.844,31.35,58.618,52.617,"B",0,54.982,36.886,35.478,"Class4",43.634
36.03,51.733,-0.791,26.309,"Y",12,90.224,70.167,16.127,"Class1",41.41
57.806,28.247,11.313,18.792,"Z",68,6.663,80.537,17.694,"Class3",15.682
57.346,31.244,23.872,48.301,"B",6,57.118,35.652,44.914,"Class4",98.14
66.204,41.783,75.351,18.116,"H",87,68.325,24.827,82.63,"Class2",73.983
28.25,30.387,13.137,70.214,"B",5,54.897,26.103,22.548,"Class4",114.981
34.946,49.113,37.203,26.264,"D",27,92.381,75.5,14.842,"Class1",42.747
69.591,53.714,72.022,26.836,"N",84,63.846,19.178,74.884,"Class2",42.063
67.741,48.607,73.591,29.301,"H",86,66.043,8.131,54.906,"Class2",41.432
44.977,10.581,12.163,7.876,"Z",72,3.313,80.75,27.35,"Class3",15.434
34.554,32.192,48.565,60.403,"C",0,71.061,32.788,26.798,"Class4",67.54
90.102,42.991,71.058,23.019,"J",86,NA,24.164,57.762,"Class2",69.29
25.817,32.678,46.436,68.128,"C",9,69.737,37.629,34.302,"Class4",83.871
66.126,37.768,14.754,8.23,"V",58,5.776,80.388,19.317,"Class3",11.933
91.024,19.021,7.841,19.148,"A",66,NA,81.154,27.565,"Class3",13.914
47.625,32.966,41.325,76.569,"G",2,60.91,20.142,43.338,"Class4",83.101
76.543,19.048,0.411,11.158,"K",75,10.092,81.511,18.177,"Class3",14.55
43.635,51.648,9.367,29.58,"Y",11,96.144,71.471,13.831,"Class1",45.178
90.529,54.096,74.708,33.502,"Q",86,65.254,27.138,60.253,"Class2",71.77
39.038,34.118,6.605,15.927,"V",63,9.861,80.253,27.533,"Class3",18.06
85.74,15.889,13.694,11.775,"Z",89,9.298,81.865,27.178,"Class3",13.767
32.81,50.736,42.395,29.892,"D",12,96.452,55.597,11.666,"Class1",36.271
91.724,32.95,71.907,26.131,"Q",87,68.68,15.268,67.017,"Class2",90.796
33.315,31.416,39.897,54.231,"O",4,NA,18.374,26.895,"Class4",50.711
24.165,48.171,69.665,30.036,"J",33,92.744,68.044,15.37,"Class1",38.11
65.08,17.442,5.926,18.906,"O",73,8.442,80.935,18.423,"Class3",10.45
27.553,52.13,49.528,30.703,"I",30,90.702,78.822,14.443,"Class1",45.912
45.5,32.509,47.354,55.969,"C",8,64.118,27.24,68.581,"Class4",99.278
49.554,31.649,47.65,46.474,"O",6,62.168,35.308,19.9,"Class4",57.069
50.039,52.595,80.293,29.464,"Z",15,89.767,72.591,11.222,"Class1",42.173
77.357,25.163,69.417,28.226,"N",85,62.336,10.947,44.189,"Class2",71.246
32.437,50.781,80.331,28.898,"I",11,93.976,63.862,13.772,"Class1",43.573
69.111,-2.354,6.562,12.229,"K",86,3.845,81.855,26.64,"Class3",15.295
74.681,49.185,71.647,29.643,"Q",87,69.798,29.812,43.828,"Class2",93.319
28.466,33.004,23.768,57.897,"B",2,61.259,NA,61.998,"Class4",60.032
89.872,33.89,71.928,19.647,"Q",84,62.128,NA,32.283,"Class2",60.494
47.684,17.222,15.145,13.186,"O",85,9.077,81.781,22.533,"Class3",15.028
87.13,8.247,1.618,18.878,"K",56,6.482,80.925,18.607,"Class3",13.323
81.352,22.11,-0.065,16.839,"O",63,2.38,81.924,19.158,"Class3",11.832
89.607,41.11,71.763,34.497,"N",84,NA,17.289,57.571,"Class2",36.293
47.123,51.576,15.818,29.429,"D",20,92.478,54.63,11.737,"Class1",46.19
66.701,48.682,75.232,31.551,"J",87,71.947,17.196,44.951,"Class2",59.353
31.711,48.804,56.977,28.267,"Z",33,93.579,55.908,12.043,"Class1",40.019
41.795,54.407,42.323,31.802,"Z",21,93.413,61.504,11.851,"Class1",40.093
81.68,25.916,9.698,13.288,"K",66,2.786,81.626,21.779,"Class3",16.056
59.857,33.274,11.087,16.865,"Z",80,2.094,81.165,20.941,"Class3",13.595
87.512,51.042,73.511,27.61,"J",85,60.591,10.371,40.086,"Class2",38.459
94.734,31.167,6.503,7.925,"V",59,8.85,81.253,20.648,"Class3",16.087
39.493,53.399,82.396,25.709,"J",22,89.125,56.571,16.834,"Class1",45.037
24.587,31.409,29.649,65.064,"B",7,57.981,19.109,2.957,"Class4",50.36
36.791,32.455,35.801,58.635,"B",4,67.586,28.174,74.642,"Class4",80.066
38.272,5.941,9.03,13.955,"A",80,6.489,81.616,19.891,"Class3",14.12
79.473,41.879,72.769,36.492,"K",85,61.053,15.686,78.207,"Class2",69.315
88.385,30.771,2.274,7.256,"A",88,2.769,NA,25.764,"Class3",11.986
24.715,32.329,44.309,60.112,"G",10,58.928,19.972,6.434,"Class4",76.121
76.22,64.58,73.164,30.308,"K",86,68.394,12.579,28.629,"Class2",64.6
65.224,22.19,8.603,4.197,"K",72,5.44,80.093,20.827,"Class3",15.57
68.829,71.678,67.461,15.574,"J",85,60.465,22.524,52.521,"Class2",79.743
58.835,18.12,1.824,17.417,"V",54,6.981,81.736,21.848,"Class3",11.838
36.945,33.225,34.536,50.955,"O",1,53.308,36.275,8.927,"Class4",48.915
33.691,54.966,50.859,22.918,"I",23,88.481,59.217,16.292,"Class1",39.547
68.945,17.663,8.779,11.863,"K",89,5.092,80.158,24.057,"Class3",14.242
60.22,52.992,79.286,29.313,"N",87,69.195,10.288,38.188,"Class2",52.038
32.851,32.048,51.099,56.064,"G",4,54.68,27.714,42.79,"Class4",80.577
22.095,31.95,39.577,48.184,"G",4,47.227,20.772,5.012,"Class4",85.449
67.672,17.422,3.23,3.42,"Z",79,8.321,81.367,26.523,"Class3",12.473
40.698,31.723,35.174,72.053,"O",10,50.438,29.02,14.415,"Class4",81.493
41.347,31.967,14.948,66.398,"F",1,45.342,27.542,26.418,"Class4",70.127
36.765,31.878,42.704,57.552,"B",10,57.937,31.185,43.63,"Class4",114.355
50.318,38.15,6.351,12.99,"V",77,9.281,81.813,27.802,"Class3",16.18
22.751,32.509,44.972,39.041,"F",8,58.326,32.906,14.668,"Class4",70.146
45.573,33.631,60.966,48.133,"C",5,62.314,21.192,45.184,"Class4",55.437
40.494,9.751,4.237,19.831,"K",88,3.225,80.346,27.406,"Class3",14.532
32.395,31.484,39.154,59.054,"F",1,55.855,22.57,61.521,"Class4",62.447
