"GYS1","RIK2","KML3","NUR4","BSP5","QIE6","QVK7","Output22","MQC8","GYI9","NXZ10","IEF11","YXO12"
"N",2.544,58.115,31.021,77,"D",33.986,"Class3",75.385,21.452,69.471,22.131,65
"I",37.068,37.147,39.952,63,"I",21.055,"Class1",6.027,48.926,73.375,22.941,25
"M",4.257,54.864,34.442,66,"Z",41.203,"Class3",28.642,19.34,35.475,20.431,66
"T",42.822,48.258,40.976,61,"I",17.868,"Class1",3.368,75.218,75.35,25.791,37
"I",37.837,37.117,40.202,60,"O",17.538,"Class1",12.264,53.782,74.24,18.642,27
"T",59.169,28.611,39.354,66,"Z",10.825,"Class1",4.319,61.909,76.126,21.457,26
"O",7.277,53.019,40.358,40,"Z",25.029,"Class3",32.845,24.652,62.152,68.435,44
"T",40.575,35.45,38.334,61,"N",14.438,"Class1",7.935,57.719,75.735,24.669,11
"P",59.969,68.952,7.23,67,"Y",60.883,"Class4",77.607,32.122,72.699,75.735,74
"R",47.275,30.958,39.095,68,"Z",14.301,"Class1",9.851,51.504,74.289,29.522,31
"T",41.723,38.563,38.349,64,"I",11.91,"Class1",14.73,44.197,76.261,28.229,25
"T",24.793,39.36,38.463,66,"N",10.003,"Class1",5.684,49.627,75.904,24.184,33
"Z",101.578,90.42,11.641,44,"Y",85.396,"Class4",79.311,32.737,55.973,80.588,83
"M",37.765,71.175,14.203,61,"D",63.723,"Class4",82.958,32.694,71.354,88.538,71
"T",43.25,37.162,25.92,68,"T",67.592,"Class2",46.541,50.539,39.022,84.281,20
"S",61.558,74.727,7.689,74,"Y",74.83,"Class4",64.708,32.153,70.23,78.835,55
"U",45.189,37.432,71.31,22,"O",79.187,"Class2",46.302,60.181,37.754,82.409,27
"Z",64.064,85.833,15.047,60,"A",85.043,"Class4",82.296,32.466,54.056,72.247,86
"F",3.915,47.078,35.148,44,"C",20.701,"Class3",26.798,19.287,69.732,27.62,58
"Z",52.756,77.562,8.491,50,"A",54.834,"Class4",65.035,32.286,70.446,89.479,62
"T",19.119,68.878,40.918,64,"Z",18.171,"Class1",11.967,60.785,76.34,20.841,9
"M",80.954,72.761,12.762,41,"A",72.503,"Class4",84.763,32.496,80.219,87.577,67
"F",2.559,39.82,27.305,85,"R",40.264,"Class3",70.229,20.584,58.7,31.199,64
"M",84.52,74.657,11.676,75,"A",65.588,"Class4",56.429,32.885,73.402,86.09,69
"T",13.813,50.963,39.63,63,"W",13.493,"Class1",4.296,63.443,75.341,24.488,19
"P",79.66,80.524,14.385,47,"D",62.927,"Class4",91.886,32.882,45.383,75.885,62
"T",54.911,32.688,9.674,60,"C",64.053,"Class2",46.314,NA,38.658,83.793,29
"S",80.602,71.12,10.453,75,"S",79.989,"Class4",68.945,32.004,50.684,88.231,72
"H",37.409,34.091,39.197,61,"Z",17.618,"Class1",10.56,61.483,72.786,24.608,16
"C",5.716,56.059,38.413,82,"F",29.426,"Class3",74.965,19.323,91.896,55.959,28
"H",53.073,68.468,40.502,68,"W",13.404,"Class1",4.979,67.037,74.691,25.486,20
"M",73.168,95.861,17.539,70,"Y",83.422,"Class4",87.968,32.73,75.649,77.727,81
"N",8.926,39.66,30.318,78,"F",43.582,"Class3",50.549,24.1,52.249,68.224,57
"I",24.614,52.142,39.004,63,"W",16.25,"Class1",11.678,55.326,75.127,22.462,44
"U",62.388,76.786,8.927,52,"A",64.565,"Class4",61.202,32.952,66.588,88.122,48
"P",61.401,86.357,8.889,38,"D",92.805,"Class4",91.63,32.856,77.979,71.091,65
"K",48.457,35.035,41.031,74,"T",77.747,"Class2",46.514,79.912,38.643,83.235,21
"T",23.317,60.304,38.194,64,"N",15.05,"Class1",9.822,50.681,75.445,30.561,7
"I",45.952,21.98,40.591,62,"I",13.389,"Class1",3.22,75.859,76.3,26.038,13
"K",51.081,35.653,28.772,79,"C",45.564,"Class2",46.426,70.604,38.104,83.865,30
"T",47.752,34.437,87.638,74,"C",60.749,"Class2",46.512,79.728,34.639,84.719,34
"E",47.999,34.533,63.617,20,"T",71.689,"Class2",46.157,50.518,39.048,84.216,21
"F",5.407,45.012,32.334,16,"F",12.176,"Class3",58.563,21.02,55.364,60.04,27
"M",7.807,50.786,33.45,29,"C",10.674,"Class3",41.612,21.549,77.911,43.998,49
"O",8.084,60.53,45.978,47,"D",33.215,"Class3",25.468,23.794,76.108,72.229,68
"M",3.447,58.816,43.653,57,"C",7.296,"Class3",59.862,22.031,77.152,48.195,35
"U",48.994,35.067,78.53,37,"H",73.885,"Class2",47.919,40.065,37.098,82.977,35
"C",8.175,64.269,36.36,59,"D",13.498,"Class3",74.188,22.179,41.427,64.806,46
"R",44.273,39.538,25.099,29,"H",81.802,"Class2",46.248,83.75,40.787,82.059,23
"O",7.256,69.703,34.977,56,"D",43.189,"Class3",40.909,22.45,92.004,26.251,66
"U",74.457,60.829,10.951,62,"A",91.12,"Class4",55.023,32.533,85.819,87.355,65
"T",46.841,13.488,40.577,63,"N",13.196,"Class1",8.89,69.164,75.928,24.986,18
"S",101.364,79.579,9.344,36,"S",76.69,"Class4",82.383,32.877,70.445,70.168,54
"Z",94.992,79.971,13.124,49,"S",44.531,"Class4",55.851,32.585,60.361,79.993,75
"H",31.936,41.091,38.512,68,"W",15.127,"Class1",14.971,75.233,75.279,24.569,29
"Z",79.172,75.988,10.046,48,"A",78.42,"Class4",90.902,32.752,41.746,78.48,63
"O",5.809,NA,30.24,25,"F",11.978,"Class3",8.433,20.283,87.148,79.887,53
"U",45.355,41.698,13.081,14,"U",68.25,"Class2",46.162,44.153,41.269,82.433,24
"W",18.801,42.433,39.544,63,"Z",15.764,"Class1",10.969,NA,76.342,19.046,19
"E",51.041,36.245,66.84,57,"H",42.865,"Class2",47.274,79.506,40.898,83.741,31
"C",5.522,50.452,39.427,41,"C",12.706,"Class3",30.817,23.441,59.341,77.401,25
"Z",68.47,75.357,7.986,44,"S",83.904,"Class4",68.508,32.562,78.928,70.099,86
"O",5.08,60.456,37.678,57,"F",40.074,"Class3",39.015,19.396,81.909,27.971,30
"N",5.095,57.397,33.425,14,"C",51.599,"Class3",28.164,20.891,52.933,43.483,47
"O",5.702,62.26,47.077,50,"D",51.372,"Class3",23.292,22.678,69.67,18.843,48
"T",59.452,38.053,39.316,62,"Z",16.673,"Class1",12.74,66.941,76.567,27.909,42
