"GXI1","EUH2","ETN3","AZS4","DTQ5","QGH6","IUQ7","IME8","QBO9","CTN10","Output20"
79.72,68.938,55.384,34.246,48.121,"R",22,44.036,50,38.952,"Class1"
62.666,68.166,NA,59.398,66.887,"H",11,62.832,83,-15.277,"Class3"
84.841,90.001,57.408,35.883,46.37,"R",30,41.762,52,-27.647,"Class1"
28.035,58.879,56.803,16.408,43.633,"F",57,6.883,27,10.466,"Class2"
74.644,71.715,56.983,33.547,47.224,"R",53,68.925,65,-41.391,"Class1"
44.847,68.416,30.91,62.394,77.917,"W",12,62.847,88,56.195,"Class3"
1.618,24.796,39.385,60.198,35.851,"Q",70,24.79,33,44.061,"Class4"
15.359,36.273,53.109,16.34,28.769,"F",83,16.792,32,10.225,"Class2"
2.252,87.631,33.098,60.422,37.306,"J",75,35.928,34,45.085,"Class4"
89.521,86.362,65.409,34.495,64.028,"Y",49,60.044,58,39.625,"Class1"
61.463,65.983,32.207,59.309,65.577,"H",12,66.152,86,5.521,"Class3"
84.456,86.066,59.581,37.444,64.49,"R",38,54.048,55,21.437,"Class1"
36.711,61.46,37.948,59.331,36.577,"I",77,31.188,37,43.653,"Class4"
6.431,43.32,56.363,16.789,29.665,"G",68,5.839,16,9.882,"Class2"
2.71,20.534,56.864,16.134,37.996,"G",71,4.429,23,10.829,"Class2"
66.976,93.182,66.224,37.461,45.589,"Y",65,37.312,59,54.437,"Class1"
33.585,51.124,57.192,16.473,45.855,"N",69,10.735,19,10.318,"Class2"
69.296,94.985,60.824,34.337,60.039,"Y",57,44.44,61,60,"Class1"
77.653,68.719,58.864,35.462,40.986,"C",57,39.209,56,-15.525,"Class1"
43.14,73.888,22.714,68.505,37.511,"D",72,21.669,35,44.625,"Class4"
79.856,70.139,55.328,35.836,52.914,"Y",30,47.297,56,16.735,"Class1"
26.114,89.052,60.242,37.249,55.938,"C",22,50.137,58,32.416,"Class1"
54.876,67.288,36.681,56.43,97.982,"H",12,63.525,87,9.077,"Class3"
48.057,65.562,22.818,79.484,84.499,"K",13,69.74,85,29.242,"Class3"
55.213,66.986,43.9,39.287,70.413,"W",11,63.196,87,43.983,"Class3"
28.485,29.911,57.914,16.817,56.262,"F",71,12.761,17,10.267,"Class2"
54.905,26.586,29.92,51.075,36.542,"J",72,22.719,35,47.42,"Class4"
21.095,74.158,67.639,36.13,60.414,"Y",64,54.544,54,103.656,"Class1"
33.31,82.213,62.664,37.108,53.585,"Y",57,58.999,49,92.385,"Class1"
76.179,94.759,NA,35.504,49.038,"Y",50,46.902,69,31.022,"Class1"
53.663,66.961,5.816,33.75,86.887,"Q",13,74.917,94,55.453,"Class3"
20.666,89.459,58.998,34.676,54.594,"Q",31,53.492,66,97.203,"Class1"
58.668,66.319,13.795,52.1,49.598,"F",11,66.666,95,37.13,"Class3"
26.22,49.56,58.201,16.704,46.539,"F",65,8.049,22,10.802,"Class2"
66.181,67.84,31.804,57.601,74.253,"W",13,73.794,91,26.034,"Class3"
22.492,30.587,38.097,10.851,44.453,"D",72,17.687,38,42.871,"Class4"
8.906,32.234,59.017,16.477,49.021,"J",60,12.441,21,10.338,"Class2"
67.657,74.974,NA,33.946,57.898,"A",50,65.288,53,54.188,"Class1"
34.592,87.561,58.277,48.418,40.404,"N",77,31.116,37,44.286,"Class4"
85.663,86.001,54.82,35.257,58.938,"C",38,34.391,55,-6.385,"Class1"
9.302,59.802,53.248,16.431,42.939,"G",86,12.226,30,10.16,"Class2"
40.787,87.474,30.499,62.194,34.58,"Q",67,17.602,41,46.14,"Class4"
64.754,NA,63.64,35.153,44.145,"A",62,34.3,68,27.317,"Class1"
24.542,56.189,59.806,16.345,49.106,"F",55,11.709,50,10.818,"Class2"
9.294,60.406,47.21,56.655,48.254,"Q",76,32.406,35,46.196,"Class4"
66.205,65.216,35.502,83.891,55.433,"K",13,60.13,87,25.049,"Class3"
46.282,68.452,37.93,62.131,66.484,"K",12,63.965,87,40.993,"Class3"
37.83,80.041,61.647,36.39,50.505,"A",25,41.612,67,48.001,"Class1"
12.188,17.692,58.523,16.783,-4.02,"J",72,16.221,14,10.28,"Class2"
39.485,95.829,59.361,35.062,40.81,"C",22,37.143,70,-3.647,"Class1"
21.542,58.11,57.08,17.104,76.998,"G",69,10.749,46,10.223,"Class2"
24.852,57.55,58.304,16.154,29.524,"G",88,14.206,43,10.522,"Class2"
42.118,68.842,44.317,68.87,110.99,"H",11,70.959,94,46.339,"Class3"
50.698,67.408,49.637,61.227,80.004,"W",11,67.098,83,13.994,"Class3"
19.742,40.395,56.254,16.776,41.125,"J",70,16.784,24,10.72,"Class2"
30.355,37.118,54.787,16.883,50.864,"G",85,7.21,14,10.775,"Class2"
10.332,20.933,58.188,16.338,66.29,"G",56,4.518,41,10.036,"Class2"
57.646,95.926,63.001,35.275,49.958,"Y",39,65.795,68,21.166,"Class1"
31.916,87.695,59.839,36.346,51.936,"A",63,35.225,62,44.394,"Class1"
46.923,68.396,55.677,44.459,46.291,"K",11,71.62,86,29.655,"Class3"
30.151,50.078,56.846,16.384,49.498,"C",74,9.466,17,10.361,"Class2"
32.541,29.027,54.394,16.208,28.838,"N",74,7.783,14,10.684,"Class2"
43.182,67.021,19.198,93.244,43.422,"K",13,74.108,92,21.731,"Class3"
55.395,92.241,65.255,36.322,52.04,"A",66,38.884,56,17.129,"Class1"
38.874,95.862,65.186,36.284,54.622,"Q",25,49.927,63,17.996,"Class1"
0.869,76.847,33.215,52.616,44.419,"I",68,33.578,33,47.209,"Class4"
57.019,68.306,32.245,63.502,40.272,"H",11,69.404,83,-7.004,"Class3"
11.274,20.366,58.966,15.813,76.583,"J",70,12.91,40,10.462,"Class2"
56.814,65.845,21.69,52.124,67.819,"W",13,64.56,85,12.319,"Class3"
33.667,88.523,55.486,36.717,56.138,"Q",21,67.828,57,32.103,"Class1"
82.757,81.355,58.744,35.981,50.158,"C",38,62.325,65,3.605,"Class1"
23.997,71.181,NA,35.909,43.508,"C",21,55.59,57,47.278,"Class1"
19.144,37.452,55.467,16.203,6.869,"J",52,9.978,23,10.46,"Class2"
60.392,68.988,43.226,42.259,68.748,"W",13,62.851,93,4.713,"Class3"
17.726,49.051,56.44,15.728,72.706,"C",50,5.33,14,9.984,"Class2"
24.377,52.139,56.747,16.536,21.851,"N",60,6.16,28,10.164,"Class2"
5.779,33.383,53.147,16.169,42.6,"C",77,11.464,28,10.764,"Class2"
87.341,67.054,56.264,35.847,46.247,"C",39,44.292,52,59.55,"Class1"
56.525,68.642,31.33,42.649,20.228,"F",12,73.63,90,61.541,"Class3"
32.228,31.737,58.147,16.593,42.576,"G",85,5.473,29,10.137,"Class2"
42.436,66.335,31.756,47.274,69.351,"W",13,71.14,89,64.053,"Class3"
68.682,78.656,56.484,35.364,56.892,"Y",36,64.448,68,60.694,"Class1"
3.225,49.921,58.831,16.448,54.291,"F",68,8.907,20,10.655,"Class2"
4.716,40.491,52.919,16.359,48.792,"C",89,16.841,19,10.189,"Class2"
30.417,23.056,5.261,50.13,41.861,"J",66,21.886,38,42.48,"Class4"
29.168,38.611,59.967,16.377,45.435,"G",77,6.981,18,10.726,"Class2"
8.007,28.985,55.726,15.912,-4.64,"G",72,3.123,49,11.091,"Class2"
51.495,68.693,61.682,87.89,50.238,"H",11,74.317,86,16.1,"Class3"
45.79,NA,NA,56.773,26.356,"Q",69,35.87,38,44.54,"Class4"
65.248,66.778,22.745,94.372,51.646,"F",12,70.786,85,3.034,"Class3"
45.428,25.934,21.459,66.463,36.648,"D",67,35.277,34,45.282,"Class4"
12.97,40.387,56.854,16.558,37.329,"F",73,4.654,27,10.384,"Class2"
74.016,96.472,63.343,37.71,37.973,"C",48,47.937,68,68.443,"Class1"
27.081,60.186,55.646,16.785,-2.711,"J",75,7.699,23,10.385,"Class2"
53.774,38.285,27.238,88.743,41.704,"J",68,15.226,41,44.218,"Class4"
4.675,61.887,57.057,16.527,-3.046,"J",68,15.286,26,10.616,"Class2"
80.116,77.805,67.628,35.41,52.345,"A",41,56.597,55,25.343,"Class1"
11.271,42.784,56.748,15.876,65.389,"G",50,9.757,34,10.586,"Class2"
33.965,91.357,63.696,36.487,49.79,"Q",34,60.832,65,61.46,"Class1"
62.348,93.259,58.896,37.185,55.933,"Y",47,39.613,53,45.366,"Class1"
24.204,46.713,61.125,16.139,72.444,"N",92,11.18,14,10.591,"Class2"
14.526,80.688,30.097,36.609,28.122,"D",66,27.073,34,42.004,"Class4"
58.449,NA,30.033,65.37,91.286,"W",11,64.155,93,29.133,"Class3"
24.252,41.953,30.083,62.329,33.407,"D",75,17.737,38,45.469,"Class4"
1.048,23.704,54.685,16.162,42.408,"J",73,11.936,24,10.08,"Class2"
22.179,94.507,55.221,36.364,59.668,"C",66,68.554,61,53.859,"Class1"
28.743,48.634,55.876,17.4,42.17,"J",59,15.831,49,10.072,"Class2"
15.399,50.5,54.88,16.946,52.462,"N",84,16.047,47,9.903,"Class2"
55.37,88.68,9.487,78.331,30.751,"N",70,39.105,35,46.306,"Class4"
66.694,39.999,31.393,57.761,33.735,"N",67,29.757,39,45.776,"Class4"
47.187,89.255,59.399,34.885,52.316,"Y",59,49.168,52,86.944,"Class1"
20.747,57.357,56.594,16.824,76.093,"F",62,6.867,20,10.181,"Class2"
45.809,67.573,24.958,39.586,61.117,"W",13,71.708,93,38.049,"Class3"
50.933,74.173,42.697,57.585,39.328,"N",73,28.497,37,43.092,"Class4"
71.728,74.609,59.702,35.247,49.318,"Q",49,50.46,70,44.588,"Class1"
56.638,38.525,41.182,51.32,33.28,"I",73,15.442,33,44.104,"Class4"
27.497,74.621,61.171,35.002,62.245,"Q",33,39.726,58,81.08,"Class1"
65.75,66.56,14.301,95.643,39.277,"Q",71,41.381,39,42.995,"Class4"
2.916,80.35,45.973,49.497,32.486,"I",77,23.516,36,44.687,"Class4"
70.683,91.18,59.137,35.488,37.658,"A",52,38.678,54,89.391,"Class1"
36.618,70.241,57.951,37.65,49.169,"Q",42,67.079,58,86.474,"Class1"
46.137,NA,NA,70.155,58.642,"F",13,62.75,87,26.361,"Class3"
59.742,64.873,34.712,71.251,30.801,"I",77,15.684,33,45.314,"Class4"
25.671,28.791,29.606,75.913,43.947,"D",76,21.744,38,45.578,"Class4"
18.615,20.829,57.212,16.878,45.615,"C",78,15.106,23,10.781,"Class2"
82.897,84.375,63.485,33.021,45.306,"Q",57,55.511,66,27.665,"Class1"
32.254,49.49,57.148,15.406,16.362,"C",50,13.952,20,10.857,"Class2"
17.965,27.531,22.357,47.373,38.163,"J",77,37.018,41,42.708,"Class4"
44.828,68.77,NA,30.088,97.543,"K",11,63.063,93,47.597,"Class3"
35.894,78.9,61.803,35.289,65.662,"C",59,57.225,61,73.574,"Class1"
63.821,84.823,60.411,38.895,51.349,"A",66,46.217,50,23.876,"Class1"
27.073,NA,61.621,36.195,49.535,"Q",57,58.15,59,74.559,"Class1"
55.177,65.936,44.318,16.376,90.804,"F",11,69.353,91,33.801,"Class3"
66.914,68.936,49.215,36.133,40.849,"Q",13,64.04,84,18.068,"Class3"
25.559,45.053,18.614,62.113,39.71,"D",74,26.264,33,46.238,"Class4"
7.045,44.721,25.465,18.031,32.832,"D",68,16.265,37,47.487,"Class4"
56.2,NA,23.748,63.185,73.586,"W",12,64.827,83,52.851,"Class3"
58.247,66.805,44.84,78.031,72.922,"Q",12,61.842,93,-4.488,"Class3"
47.072,66.179,38.893,64.853,66.972,"Q",12,61.244,83,29.875,"Class3"
79.294,94.522,58.795,37.47,57.597,"Y",59,57.989,52,35.692,"Class1"
45.052,68.533,48.463,44.489,80.956,"K",13,66.185,95,54.036,"Class3"
76.517,68.402,62.768,36.259,48.094,"Q",30,51.692,62,49.181,"Class1"
88.379,96.877,62.818,34.75,52.92,"Q",34,56.008,61,52.11,"Class1"
47.329,40.494,28.312,64.44,40.084,"Q",74,29.877,33,44.522,"Class4"
20.784,29.739,60.244,16.459,58.089,"C",50,6.019,43,10.482,"Class2"
34.579,41.764,57.546,16.909,27.96,"C",92,9.254,40,11.402,"Class2"
59.503,31.777,22.528,57.856,36.365,"J",68,15.4,38,45.057,"Class4"
39.977,84.83,62.761,34.482,42.494,"Q",29,55.41,61,64.143,"Class1"
22.751,81.751,63.842,38.971,54.75,"A",45,41.843,68,47.329,"Class1"
82.521,NA,65.309,34.619,67.386,"Y",54,49.919,67,42.753,"Class1"
15.224,57.398,57.65,16.829,85.514,"G",54,4.074,50,10.395,"Class2"
20.27,69.395,44.407,90.244,42.618,"I",70,28.014,35,44.943,"Class4"
12.302,57.157,58.134,16.438,26.697,"G",59,7.294,27,10.792,"Class2"
1.861,34.27,19.925,61.965,50.728,"D",70,30.66,35,46.042,"Class4"
53.1,72.868,43.363,64.694,40.545,"D",72,20.677,33,43.452,"Class4"
10.729,19.858,53.661,15.994,57.868,"N",57,12.553,25,10.574,"Class2"
65.443,68.361,31.462,50.07,90.575,"K",13,60.116,85,33.533,"Class3"
63.525,68.4,28.524,68.184,100.008,"H",11,67.596,87,38.68,"Class3"
26.584,91.552,53.82,35.219,48.425,"A",31,53.264,52,47.68,"Class1"
3.33,27.94,57.512,16.119,36.551,"G",87,13.116,48,10.663,"Class2"
13.823,30.981,45.001,36.497,43.349,"N",72,22.516,37,45.867,"Class4"
82.256,90.407,63.81,36.215,45.787,"Y",27,39.262,56,52.92,"Class1"
22.655,88.234,59.412,36.553,63.521,"C",62,47.914,63,41.68,"Class1"
60.314,67,11.919,81.54,86.977,"F",13,74.962,85,38.819,"Class3"
29.758,41.681,24.324,43.185,35.619,"D",72,19.402,39,43.585,"Class4"
44.478,71.125,66.292,109.429,36.348,"I",68,39.685,41,43.192,"Class4"
67.728,67.36,21.69,38.252,44.319,"D",77,31.763,41,43.561,"Class4"
51.838,79.374,57.314,35.799,58.742,"R",64,55.76,59,3.018,"Class1"
59.318,68.371,33.922,45.464,14.733,"W",11,66.208,95,29.382,"Class3"
12.383,32.761,57.186,16.22,25.65,"G",69,6.9,46,10.447,"Class2"
61.716,65.326,35.242,37.559,78.403,"W",13,73.635,83,42.132,"Class3"
19.153,NA,57.565,16.98,55.047,"C",92,9.029,14,10.74,"Class2"
53.811,66.26,45.182,72.047,61.943,"W",13,60.722,88,63.54,"Class3"
79.298,75.508,60.515,35.234,49.875,"R",45,62.322,64,74.18,"Class1"
53.113,79.547,57.693,38.257,48.614,"C",33,44.706,64,6.234,"Class1"
16.764,46.319,54.225,15.892,40.732,"F",82,4.275,15,10.586,"Class2"
5.925,19.286,NA,16.295,40.421,"C",55,12.2,42,10.081,"Class2"
42.577,82.534,59.049,35.837,51.041,"Y",24,48.124,59,0.167,"Class1"
50.345,71.223,29.625,73.34,41.609,"D",68,20.522,41,38.416,"Class4"
27.792,39.944,59.5,16.786,45.288,"N",79,13.59,43,10.539,"Class2"
53.502,65.486,28.38,57.482,49.41,"K",13,68.013,91,3.841,"Class3"
7.725,39.288,61.349,16.645,52.496,"J",54,10.363,16,10.405,"Class2"
47.108,86.349,62.196,36.081,24.168,"A",47,57.207,54,48.428,"Class1"
62.593,71.032,NA,35.466,35.73,"Q",47,51.254,53,74.734,"Class1"
65.751,66.38,54.628,76.018,112.14,"F",13,67.504,93,47.865,"Class3"
21.206,84.105,64.69,34.861,55.414,"A",31,65.901,49,3.028,"Class1"
59.729,67.39,59.454,67.199,90.523,"W",11,61.845,95,23.025,"Class3"
52.98,45.001,17.315,46.914,48.692,"D",73,17.279,41,41.581,"Class4"
26.068,34.492,56.396,16.728,33.552,"F",82,3.663,48,10.645,"Class2"
42.405,68.331,44.724,71.347,78.222,"W",13,64.057,90,37.485,"Class3"
52.76,65.79,44.862,65.363,68.159,"H",13,74.371,87,41.34,"Class3"
60.011,87.103,28.737,71.063,34.543,"Q",76,19.504,33,41.773,"Class4"
56.545,67.05,33.857,88.76,65.175,"Q",13,72.202,86,42.137,"Class3"
32.279,67.45,57.959,36.427,47.64,"Q",54,44.821,52,36.746,"Class1"
44.1,80.462,37.088,54.253,32.738,"N",72,38.281,33,41.599,"Class4"
66.6,85.431,61.988,37.901,54.757,"Q",36,44.753,60,85.689,"Class1"
18.956,NA,28.207,61.053,39.479,"D",75,38.17,40,44.433,"Class4"
21.611,22.99,52.507,16.328,39.353,"N",92,4.564,39,9.813,"Class2"
45.249,67.491,32.681,82.239,32.679,"Q",13,70.009,86,37.747,"Class3"
66.031,66.233,29.745,71.267,58.123,"Q",11,63.222,87,-5.118,"Class3"
57.339,73.692,27.58,102.532,34.889,"J",72,23.22,34,43.355,"Class4"
22.869,84.863,29.002,44.72,59.483,"I",77,23.479,36,43.021,"Class4"
50.901,67.868,10.126,2.925,34.381,"F",13,61.599,84,38.469,"Class3"
75.003,89.175,57.057,36.6,38.357,"C",58,54.202,55,47.435,"Class1"
51.583,28.529,40.937,57.936,35.886,"Q",70,24.725,36,44.368,"Class4"
47.599,80.911,43.569,65.623,35.559,"Q",71,25.701,35,46.419,"Class4"
51.933,88.631,62.729,34.972,47.58,"Y",37,63.023,68,69.846,"Class1"
12.853,67.184,14.504,56.495,46.7,"N",72,32.645,33,45.149,"Class4"
14.081,49.131,55.872,16.145,32.946,"C",60,3.946,24,10.303,"Class2"
35.764,NA,14.234,49.597,38.455,"D",67,30.99,39,47.751,"Class4"
55.332,54.363,42.988,65.834,42.145,"I",76,39.61,36,43.022,"Class4"
43.512,67.863,57.933,47.248,87.762,"Q",11,60.12,83,3.328,"Class3"
15.854,60.61,57.128,15.973,53.951,"G",62,6.045,51,10.982,"Class2"
38.068,62.982,56.231,84.793,35.83,"J",67,26.188,35,46.625,"Class4"
36.719,82.959,58.589,35.032,65.127,"Y",54,61.183,64,99.334,"Class1"
65.651,87.755,61.815,35.711,59.06,"C",46,34.059,56,-8.26,"Class1"
21.526,55.249,38.419,67.572,37.378,"J",71,34.009,33,43.907,"Class4"
56.84,65.431,28.722,30.143,70.76,"W",12,74.45,94,23.689,"Class3"
53.331,65.096,36.89,46.164,76.278,"K",12,68.944,84,13.285,"Class3"
59.706,74.284,59.267,36.034,51.612,"R",41,68.414,63,2.979,"Class1"
52.924,65.316,32.942,29.77,56.82,"Q",13,71.65,89,29.791,"Class3"
44.074,66.353,32.168,93.632,59.066,"H",13,62.507,94,2.318,"Class3"
8.386,43.533,48.186,56.465,47.523,"J",67,21.144,33,42.17,"Class4"
28.404,24.642,57.272,16.914,24.394,"C",50,11.2,30,10.131,"Class2"
50.545,77.582,53.524,35.266,44.858,"Y",56,41.509,55,19.703,"Class1"
21.488,NA,52.14,16.916,36.678,"J",75,13.917,28,10.182,"Class2"
10.06,58.484,57.061,16.575,52.324,"C",55,15.528,45,10.819,"Class2"
79.441,84.878,65.507,35.016,45.802,"C",21,34.827,52,56.496,"Class1"
63.321,68.136,38.788,81.657,54.12,"W",11,63.277,90,14.922,"Class3"
60.919,39.635,31.359,64.808,43.786,"N",72,31.19,33,45.513,"Class4"
22.115,60.751,54.994,16.88,22.848,"G",93,12.581,26,10.273,"Class2"
64.464,68,44.048,67.495,47.189,"K",11,63.589,87,57.116,"Class3"
26.878,29.979,15.015,59.468,35.576,"D",77,29.92,37,44.515,"Class4"
18.907,NA,35.873,44.695,38.159,"N",66,16.793,34,43.954,"Class4"
48.705,68.517,48.337,98.051,25.35,"H",11,71.728,91,54.285,"Class3"
45.064,67.571,38.532,33.983,86.994,"F",11,71.584,84,32.734,"Class3"
45.169,66.817,34.789,32.678,58.863,"F",12,61.927,84,49.954,"Class3"
7.42,32.353,59.756,16.906,27.832,"J",69,13.584,18,10.324,"Class2"
33.427,28.946,58.412,16.495,35.389,"G",79,7.888,26,10.288,"Class2"
66.683,73.228,58.672,35.448,44.854,"Y",48,59.091,51,48.857,"Class1"
64.803,67.748,NA,64.459,51.465,"K",11,61.869,88,22.261,"Class3"
6.469,32.05,57.984,16.363,50.065,"C",58,14.094,32,10.385,"Class2"
50.148,66.847,28.399,72.845,93.312,"W",12,64.615,85,7.794,"Class3"
20.338,50.399,54.665,16.384,44.823,"C",82,3.263,35,10.928,"Class2"
11.99,54.93,55.798,16.705,40.887,"J",65,5.386,37,10.34,"Class2"
14.862,49.955,59.367,15.832,47.696,"G",90,11.056,16,10.567,"Class2"
55.433,72.458,28.218,32.76,48.408,"Q",70,40.948,41,45.297,"Class4"
34.615,NA,56.845,16.556,35.869,"F",75,13.683,36,10.32,"Class2"
90.325,85.118,56.93,38.498,60.005,"Y",25,36.508,58,83.45,"Class1"
22.721,91.629,56.404,35.569,63.463,"R",55,56.84,66,52.674,"Class1"
15.695,19.396,58.614,16.193,19.765,"G",63,13.018,40,10.935,"Class2"
65.357,68.209,49.018,69.166,51.354,"Q",11,72.331,85,29.549,"Class3"
18.603,59.588,53.957,16.693,39.736,"C",57,13.973,29,10.639,"Class2"
46.349,87.189,25.869,28.358,34.067,"D",70,37.092,36,45.302,"Class4"
63.965,68.234,45.773,30.228,46.427,"H",11,62.742,92,30.238,"Class3"
18.839,26.492,56.992,16.88,37.122,"F",61,14.184,28,10.509,"Class2"
75.737,87.444,60.609,37.193,53.053,"Q",51,51.026,67,30.315,"Class1"
34.568,69.588,29.862,80.427,43.178,"Q",66,26.616,41,44.195,"Class4"
9.719,36.319,57.477,16.298,36.59,"C",72,4.292,26,10.512,"Class2"
15.919,42.503,53.868,16.773,37.785,"J",81,8.083,32,10.367,"Class2"
5.486,65.742,30.98,106.835,32.804,"I",69,23.747,40,42.855,"Class4"
31.25,31.281,53.695,16.498,19.789,"C",72,7.439,14,10.585,"Class2"
11.43,57.312,58.181,16.644,75.383,"N",76,16.216,26,10.074,"Class2"
33.619,55.914,22.745,40.041,37.985,"Q",72,29.394,34,45.057,"Class4"
49.582,93.308,64.766,35.721,44.91,"C",48,35.986,57,46.02,"Class1"
10.965,22.452,54.931,16.33,44.036,"C",76,3.879,19,9.962,"Class2"
57.615,69.171,46.475,48.719,37.78,"N",71,36.049,33,45.914,"Class4"
53.382,65.049,33.501,26.452,42.154,"H",12,62.818,94,26.842,"Class3"
57.505,55.404,28.397,32.534,39.367,"N",76,15.289,35,46.074,"Class4"
58.788,65.591,40.595,60.053,64.692,"H",12,60.11,86,47.002,"Class3"
12.058,38.611,NA,16.755,22.087,"G",72,3.491,17,10.139,"Class2"
45.119,65.748,50.74,38.454,97.619,"K",12,72.864,84,64.928,"Class3"
67.216,79.445,31.947,107.806,46.228,"I",73,21.886,39,42.287,"Class4"
6.206,79.442,42.978,69.425,42.392,"I",70,25.19,35,43.342,"Class4"
33.577,28.666,57.393,16.652,57.474,"N",54,12.119,35,10.715,"Class2"
65.904,69.002,15.536,81.899,39.333,"J",69,35.996,35,47.631,"Class4"
24.203,83.785,62.72,34.266,68.286,"A",49,66.242,49,41.001,"Class1"
54.93,68.096,44.294,57.414,86.672,"H",13,67.55,87,13.453,"Class3"
50.7,88.967,64.862,34.423,46.399,"Y",63,59.885,49,70.386,"Class1"
1.424,31.743,58.19,16.381,70.826,"G",78,15.156,41,11.039,"Class2"
48.746,44.336,29.338,62.624,34.827,"D",77,19.689,38,43.417,"Class4"
61.712,68.145,48.055,67.648,74.544,"H",11,69.522,94,27.802,"Class3"
41.318,46.783,34.777,64.58,42.272,"D",71,19.882,35,44.963,"Class4"
52.637,67.806,31.407,14.936,60.603,"W",13,61.268,90,27.588,"Class3"
38.119,76.886,57.206,35.866,50.48,"C",25,64.538,68,51.166,"Class1"
29.438,53.646,56.736,16.941,48.806,"C",71,14.357,34,10.43,"Class2"
19.484,60.114,21.514,100.259,37.744,"N",77,21.779,38,47.03,"Class4"
35.909,82.249,58.559,35.274,44.554,"Q",63,40.2,50,47.528,"Class1"
32.417,19.764,57.361,16.22,20.82,"F",66,12.433,39,10.588,"Class2"
39.428,80.58,57.059,35.975,52.472,"A",53,64.846,49,34.408,"Class1"
5.435,51.701,55.568,16.061,31.171,"F",83,6.238,34,11.068,"Class2"
48.006,66.571,20.891,54.924,48.019,"H",13,72.5,88,15.829,"Class3"
22.347,49.114,NA,63.794,25.256,"N",72,31.148,41,44.276,"Class4"
52.064,65.517,35.213,56.072,52.502,"H",12,66.506,89,49.626,"Class3"
13.351,33.961,58.831,16.031,18.021,"J",77,14.616,24,10.392,"Class2"
34.836,86.207,61.482,35.219,56.964,"Q",34,39.83,58,14.281,"Class1"
22.033,83.437,20.536,64.338,47.143,"D",74,29.645,37,44.949,"Class4"
