"WUE1","LMS2","ITH3","UVL4","PXI5","SYU6","YPD7","JDF8","VTO9","NOG10","Output8"
91.908,56,93.778,"W",38.999,59,18.522,11.605,55.225,31.205,"Class2"
68.224,9,93.205,"I",29.76,3,23.632,74.187,39.915,36.103,"Class1"
72.406,84,78.076,"A",53.161,65,8.858,10.51,71.504,31.188,"Class2"
43.035,76,50.7,"N",39.765,64,19.105,13.364,81.754,36.902,"Class2"
97.622,34,85.105,"A",20.826,59,15.626,10.031,99.299,33.453,"Class2"
51.862,13,57.481,"N",67.683,83,43.827,67.706,45.759,57.13,"Class3"
79.213,21,90.696,"U",18.636,51,7.063,74.056,42.159,89.976,"Class1"
46.296,46,58.796,"W",67.877,68,24.526,NA,30.818,58.12,"Class3"
60.177,50,49.052,"W",67.648,63,57.286,85.213,50.487,54.069,"Class3"
60.083,29,87.589,"K",23.886,67,6.878,13.614,49.152,23.54,"Class2"
47.028,3,72.203,"N",25.831,68,22.214,14.164,84.748,22.854,"Class2"
63.121,7,90.828,"U",15.918,48,47.708,74.882,49.502,68.648,"Class1"
26.238,17,79.389,"K",49.601,58,8.599,13.483,67.007,60.48,"Class2"
45.131,11,96.228,"U",17.009,42,18.848,74.283,19.096,71.452,"Class1"
89.662,5,96.484,"S",14.525,18,7.206,74.295,33.29,40.425,"Class1"
57.917,92,44.31,"K",53.183,73,16.431,10.884,80.075,29.62,"Class2"
78.436,10,93.8,"I",27.999,49,0.462,74.839,NA,78.222,"Class1"
35.262,60,49.643,"X",67.311,67,11.807,63.968,19.435,56.123,"Class3"
47.533,18,44.219,"N",67.038,78,34.784,51.38,47.212,53.532,"Class3"
44.368,44,70.35,"X",67.077,77,51.586,57.643,43.884,48.118,"Class3"
53.855,58,72.328,"K",67.294,98,28.798,62.167,NA,53.596,"Class3"
55.479,65,63.856,"X",31.592,57,11.07,13.394,77.792,21.578,"Class2"
71.415,57,57.27,"K",59.599,76,17.727,11.489,61.514,19.991,"Class2"
62.643,87,65.166,"K",26.391,65,20.256,NA,64.426,39.812,"Class2"
61.679,10,96.744,"I",18.562,3,26.986,74.44,46.816,58.927,"Class1"
57.081,45,36.062,"K",67.408,96,54.355,66.693,25.227,47.462,"Class3"
43.134,16,94.433,"G",17.482,23,29.203,74.491,39.343,73.45,"Class1"
44.581,6,56.222,"W",67.511,91,50.13,69.833,9.882,64.914,"Class3"
83.564,10,92.31,"I",34.181,53,54.486,74.304,53.285,76.914,"Class1"
44.837,11,72.094,"X",67.456,86,4.183,48.919,24.935,52.809,"Class3"
64.532,44,49.5,"W",67.723,90,53.531,85.408,57.269,55.018,"Class3"
104.612,21,58.152,"K",42.949,64,15.046,12.379,53.579,28.902,"Class2"
81.734,58,89.235,"A",37.993,59,20.724,12.839,80.005,75.514,"Class2"
67.876,82,56.788,"N",41.028,61,16.144,11.918,79.632,30.843,"Class2"
48.548,10,91.75,"S",18.536,27,51.807,74.231,27.869,111.541,"Class1"
37.535,90,90.41,"W",51.242,58,23.042,13.13,83.55,26.315,"Class2"
64.516,24,87.872,"K",26.269,65,17.555,12.85,71.232,2.334,"Class2"
34.162,36,43.433,"X",35.554,57,23.487,14.779,64.741,18.029,"Class2"
59.196,5,96.718,"S",18.922,54,1.781,74.251,50.87,27.982,"Class1"
57.093,65,60.922,"K",52.472,58,18.531,14.795,94.044,16.818,"Class2"
52.384,7,94.642,"I",14.618,6,5.051,74.944,37.705,7.295,"Class1"
80.925,11,95.479,"G",14.109,7,51.444,74.01,44.572,39.026,"Class1"
52.292,19,90.654,"R",26.872,14,62.477,74.68,37.838,69.024,"Class1"
99.919,15,93.321,"I",31.911,11,41.532,74.367,45.105,41.382,"Class1"
55.506,10,54.487,"W",67.227,92,21.257,64.246,39.212,63.377,"Class3"
36.84,47,56.885,"K",67.837,86,26.984,82.832,27.241,53.168,"Class3"
52.088,65,62.005,"W",67.587,59,53.828,54.376,37.693,53.576,"Class3"
31.149,66,60.245,"A",43.624,69,16.029,13.253,49.623,45.224,"Class2"
66.668,16,96.381,"I",25.178,51,63.25,74.86,NA,42.44,"Class1"
57.798,28,52.132,"A",26.187,78,15.109,11.684,94.332,25.825,"Class2"
68.626,12,94.998,"S",19.932,31,16.478,74.951,62.487,6.258,"Class1"
41.971,38,62.182,"L",67.856,70,33.724,61.276,24.959,49.281,"Class3"
51.831,73,82.292,"W",61.709,68,15.653,12.672,65.87,41.102,"Class2"
58.832,11,94.309,"S",25.455,29,20.667,74.174,35.646,43.857,"Class1"
35.515,5,76.405,"K",57.751,70,-0.124,10.481,76.767,-4.967,"Class2"
61.631,91,89.142,"N",36.66,54,11.681,12.773,95.736,35.251,"Class2"
46.151,61,40.591,"L",67.097,63,60.085,58.43,47.069,48.727,"Class3"
41.958,60,73.453,"X",67.917,68,27.729,64.555,58.871,54.089,"Class3"
100.341,18,92.595,"I",32.151,10,54.042,74.117,41.237,-11.243,"Class1"
53.811,36,57.155,"N",67.992,55,32.494,54.236,38.42,60.399,"Class3"
59.268,7,59.079,"W",67.148,87,54.365,54.271,38.12,60.507,"Class3"
75.952,6,92.778,"R",15.127,45,-12.068,74.524,32.338,36.463,"Class1"
65.156,12,96.17,"S",31.913,15,49.902,74.087,35.752,29.269,"Class1"
37.79,62,62.299,"L",67.487,89,26.316,84.839,62.685,52.873,"Class3"
48.253,5,93.689,"S",21.864,28,22.606,NA,56.935,27.156,"Class1"
107.22,6,94.107,"G",30.108,49,42.261,74.153,NA,66.335,"Class1"
44.385,6,37.515,"N",67.769,66,50.482,NA,6.649,55.95,"Class3"
33.587,38,62.932,"X",67.379,68,43.894,80.582,28.023,69.087,"Class3"
98.237,19,93.717,"G",30.724,44,8.586,74.645,NA,80.251,"Class1"
60.495,9,93.957,"S",31.254,43,32.62,74.6,28.691,66.799,"Class1"
31.603,39,48.301,"X",67.607,97,54.311,85.747,41.012,66.938,"Class3"
86.944,10,78.861,"A",24.221,66,20.759,10.874,83.445,37.041,"Class2"
-6.833,88,65.233,"W",61.02,59,17.033,11.342,60.11,42.871,"Class2"
53.396,50,85.877,"K",28.08,76,30.738,11.883,82.862,37.851,"Class2"
34.362,53,54.348,"X",67.653,89,57.987,61.732,47.006,50.5,"Class3"
63.559,10,95.2,"U",28.596,26,82.715,74.509,46.82,53.983,"Class1"
59.824,24,43.119,"K",31.547,54,8.869,14.82,83.362,10.921,"Class2"
59.137,38,46.313,"L",67.98,81,9.47,66.644,52.09,58.584,"Class3"
52.013,8,95.987,"U",29.715,39,23.068,74.744,43.343,31.708,"Class1"
70.105,57,51.792,"W",31.145,72,16.306,14.504,80.979,31.571,"Class2"
53.837,26,55.299,"L",67.162,94,32.653,60.146,53.59,55.861,"Class3"
19.237,6,91.067,"G",30.639,55,29.105,74.162,55.011,72.341,"Class1"
38.065,29,73.461,"X",38.259,59,14.006,14.009,93.602,13.856,"Class2"
17.65,66,62.583,"N",43.136,64,4.179,11.102,87.485,4.153,"Class2"
43.841,26,58.139,"N",60.368,56,10.125,14.76,78.007,-6.577,"Class2"
60.708,36,60.256,"X",67.03,87,56.445,63.241,35.488,67.747,"Class3"
84.717,21,95.35,"I",21.007,27,18.87,74.785,41.95,17.342,"Class1"
58.696,6,96.68,"S",20.263,30,47.807,74.926,42.727,46.691,"Class1"
43.648,60,60.009,"K",67.195,73,50.185,54.476,18.786,46.967,"Class3"
44.44,14,64.803,"N",67.803,96,55.04,58.504,40.218,48.312,"Class3"
49.902,84,51.685,"N",51.94,73,10.593,14.676,78.596,65.34,"Class2"
56.368,40,74.146,"X",67.375,97,23.461,57.675,30.038,69.85,"Class3"
49.662,6,62.195,"K",67.065,66,50.608,69.046,18.358,53.22,"Class3"
38.514,41,90.246,"N",46.99,63,15.117,13.302,73.225,29.17,"Class2"
54.805,38,60.395,"W",67.241,65,49.54,NA,35.606,66.696,"Class3"
26.324,13,96.787,"I",21.057,18,58.414,74.941,45.811,51.659,"Class1"
46.697,18,43.29,"W",67.376,84,39.547,NA,20.635,55.54,"Class3"
46.4,12,95.741,"U",32.962,10,-1.008,74.106,38.364,46.37,"Class1"
37.617,7,36.49,"W",67.29,95,74.222,56.427,NA,47.223,"Class3"
53.169,7,91.063,"U",17.312,46,-3.607,74.123,46.975,-11.657,"Class1"
58.091,5,94.938,"R",16.419,10,36.992,74.437,55.94,30.27,"Class1"
50.405,45,38.934,"W",67.362,93,52.665,83.28,26.824,56.066,"Class3"
30.166,20,66.631,"K",67.079,78,31.556,58.283,41.43,57.22,"Class3"
73.281,15,96.309,"I",16.231,37,43.652,74.387,42.8,74.105,"Class1"
71.715,58,70.145,"K",48.118,74,16.46,10.723,72.643,10.951,"Class2"
32.164,34,35.686,"K",67.231,68,31.86,49.355,56.024,64.282,"Class3"
50.204,7,93.871,"U",27.176,30,31.117,74.4,39.802,62.656,"Class1"
68.767,38,73.424,"A",23.899,55,14.218,10.683,46.638,54.368,"Class2"
68.165,16,90.387,"G",22.488,8,6.052,74.697,61.069,9.86,"Class1"
50.401,41,43.068,"K",67.428,90,34.659,81.016,48.772,57.593,"Class3"
43.774,6,96.412,"U",29.71,20,83.358,74.489,47.901,23.308,"Class1"
56.468,22,92.028,"I",30.513,8,26.6,74.097,38.21,40.208,"Class1"
24.581,82,45.409,"K",26.601,59,7.843,14.58,72.173,52.656,"Class2"
105.826,21,92.739,"I",28.38,7,29.623,74.512,29.8,-0.681,"Class1"
52.856,36,56.857,"K",67.08,73,27.252,55.125,28.441,50.461,"Class3"
48.435,38,67.148,"X",67.273,58,50.694,48.074,42.896,50.701,"Class3"
61.233,52,65.029,"X",27.321,68,20.509,12.981,89.89,36.575,"Class2"
61.94,76,46.051,"A",24.488,64,11.881,14.501,78.317,53.1,"Class2"
46.341,81,91.09,"W",54.283,56,10.847,10.929,90.064,58.15,"Class2"
69.91,12,96.271,"I",18.717,41,43.538,74.951,39.921,14.586,"Class1"
29.324,40,72.963,"X",56.53,62,11.322,13.745,60.668,40.89,"Class2"
57.328,31,67.544,"L",67.519,91,34.18,NA,29.101,59.559,"Class3"
49.483,36,88.144,"K",23.363,73,16.174,11.748,69.07,38.465,"Class2"
83.84,10,90.596,"G",18.39,18,62.692,74.868,58.659,58.953,"Class1"
85.912,67,49.697,"A",38.084,55,10.883,10.919,60.611,-1.342,"Class2"
58.577,22,39.434,"N",67.877,58,47.314,64.653,54.124,54.474,"Class3"
39.173,43,72.973,"N",67.183,89,54.908,71.1,25.183,57.995,"Class3"
52.532,66,65.503,"K",67.853,74,11.269,NA,51.427,61.79,"Class3"
55.538,43,69.86,"K",67.831,55,44.277,55.846,11.229,63.61,"Class3"
62.045,24,47.819,"N",67.477,95,51.204,68.716,43.087,51.208,"Class3"
99.407,10,73.493,"A",33.412,58,16.712,10.736,NA,-6.882,"Class2"
52.892,19,44.877,"N",62.457,74,11.694,12.549,79.936,61.74,"Class2"
64.501,30,49.436,"W",34.216,61,5.64,12.276,83.873,28.338,"Class2"
51.718,21,41.275,"L",67.95,85,50.098,54.148,33.456,56.721,"Class3"
77.61,40,43.518,"K",55.539,62,12.735,10.21,64.934,53.248,"Class2"
46.654,18,55.451,"A",55.202,75,25.764,12.062,51.877,46.228,"Class2"
54.357,15,62.386,"W",67.739,71,46.418,61.53,44.226,52.719,"Class3"
62.991,18,96.743,"U",14.681,47,26.426,74.756,52.547,64.216,"Class1"
45.67,3,43.921,"K",41.852,62,24.464,12.65,63.389,24.582,"Class2"
76.628,13,94.495,"G",13.511,31,122.429,74.496,36.214,81.132,"Class1"
79.588,6,67.478,"N",21.543,63,15.575,10.646,79.598,28.099,"Class2"
55.464,15,96.665,"S",26.059,39,20.978,74.035,42.699,54.973,"Class1"
74.985,91,61.687,"K",58.529,77,9.838,13.752,73.577,45.856,"Class2"
42.986,14,64.117,"X",67.782,58,30.769,70.659,36.384,60.39,"Class3"
56.76,39,70.025,"L",67.272,62,53.794,53.569,48.352,58.678,"Class3"
38.311,81,52.191,"X",57.097,60,14.693,13.537,90.872,9.419,"Class2"
51.988,22,94.657,"U",30.424,8,34.491,74.294,30.695,67.415,"Class1"
47.657,14,96.252,"R",14.445,49,59.38,74.858,49.039,75.078,"Class1"
56,14,61.576,"K",67.78,56,50.034,81.348,51.94,60.348,"Class3"
55.429,9,43.663,"N",67.14,74,27.817,59.605,54.842,58.178,"Class3"
51.648,23,65.527,"W",67.895,86,40.691,80.438,41.612,55.595,"Class3"
55.37,94,58.427,"N",31.321,59,9.769,NA,63.978,12.025,"Class2"
103.679,15,65.36,"K",53.394,72,13.308,14.315,NA,42.25,"Class2"
63.996,5,95.046,"S",18.125,47,117.73,74.57,22.988,54.712,"Class1"
40.566,11,55.126,"K",67.651,84,27.644,69.291,37.967,49.729,"Class3"
69.048,62,84.738,"A",63.632,62,20.65,13.799,76.962,46.619,"Class2"
48.23,15,61.684,"N",32.549,59,24.161,10.547,104.783,19.396,"Class2"
27.205,21,93.109,"S",31.064,3,82.661,74.484,35.833,46.514,"Class1"
46.771,21,96.596,"U",22.787,20,74.856,74.659,31.42,74.152,"Class1"
47.538,59,49.496,"L",67.406,70,57.525,71.998,49.561,57.456,"Class3"
49.817,46,49.104,"N",67.724,91,35.748,48.701,19.124,52.533,"Class3"
43.657,40,58.963,"W",67.835,58,13.032,81.058,27.483,54.778,"Class3"
30.199,5,91.871,"G",19.19,18,51.78,74.829,54.181,80.446,"Class1"
61.458,84,84.576,"N",43.039,65,12.369,10.125,63.353,-6.266,"Class2"
50.168,46,55.025,"N",67.453,69,45.621,74.05,38.359,53.63,"Class3"
-2.601,45,58.593,"W",56.6,74,14.52,13.73,60.089,9.413,"Class2"
39.923,41,52.249,"W",67.846,68,63.436,65.898,51.72,52.279,"Class3"
18.988,91,92.283,"X",36.397,56,27.118,12.694,64.888,32.379,"Class2"
49.461,41,41.781,"L",67.59,87,45.171,78.864,45.32,50.471,"Class3"
38.752,19,91.479,"S",17.393,19,50.521,NA,46.094,102.101,"Class1"
42.474,25,54.455,"X",61.468,62,6.801,10.264,83.796,48.749,"Class2"
64.583,6,61.181,"A",44.914,73,9.035,14.461,56.769,43.943,"Class2"
80.45,25,49.117,"W",32.234,54,23.779,11.584,66.907,0.449,"Class2"
97.245,48,80.137,"N",63.187,72,6.867,10.118,67.989,66.486,"Class2"
47.831,10,72.38,"W",39.147,65,16.254,13.998,94.721,17.184,"Class2"
65.719,5,96.569,"I",20.791,51,23.873,74.882,NA,71.265,"Class1"
62.359,10,55.437,"N",53.67,59,17.796,11.723,80.109,55.68,"Class2"
35.934,16,94.782,"G",20.054,13,56.512,74.886,38.832,23.353,"Class1"
54.684,15,67.479,"L",67.245,68,52.398,63.576,37.677,55.97,"Class3"
64.496,40,69.478,"N",67.245,96,42.605,69.579,40.228,58.857,"Class3"
61.496,22,91.502,"I",28.051,37,84.168,74.778,29.607,15.581,"Class1"
49.963,17,62.175,"W",20.812,62,19.438,13.215,75.552,36.413,"Class2"
21.692,12,94.514,"S",24.347,35,-2.012,NA,32.192,123.703,"Class1"
55.556,60,64.245,"N",67.833,69,62.639,71.162,30.227,57.747,"Class3"
70.59,74,53.714,"W",48.686,59,18.666,14.357,69.476,30.476,"Class2"
26.202,7,85.017,"X",21.051,78,13.934,13.43,82.035,63.059,"Class2"
31.425,11,74.173,"N",67.692,82,27.597,83.584,56.714,57.91,"Class3"
50.364,14,91.294,"G",33.871,19,47.889,74.33,31.171,24.017,"Class1"
92.789,18,92.583,"U",23.781,7,52.69,74.744,52.757,37.708,"Class1"
55,9,92.383,"I",31.1,11,8.482,74.442,22.918,23.005,"Class1"
87.026,6,50.659,"N",37.47,64,18.424,13.012,82.641,42.995,"Class2"
41.389,28,40.192,"K",67.848,96,31.202,NA,39.187,55.039,"Class3"
57.511,65,44.093,"L",67.927,94,31.042,75.521,42.984,55.367,"Class3"
41.24,28,53.507,"L",67.687,64,44.289,82.315,27.903,64.54,"Class3"
54.048,42,50.485,"N",67.458,80,14.712,69.92,30.884,56.429,"Class3"
38.004,16,53.322,"A",49.57,69,4.853,13.535,91.365,58.81,"Class2"
32.194,47,57.149,"K",67.614,72,47.08,82.083,53.859,60.163,"Class3"
80.836,40,71.003,"N",26.095,64,19.432,14.748,69.771,34.392,"Class2"
30.564,71,59.914,"W",43.162,64,15.306,10.694,59.556,56.688,"Class2"
54.284,15,86.534,"W",40.824,75,6.725,12.007,62.018,68.924,"Class2"
28.834,32,78.053,"X",36.988,64,15.566,14.451,71.335,34.49,"Class2"
54.472,15,93.761,"I",14.125,47,27.464,74.193,39.066,-40.759,"Class1"
53.167,11,91.836,"S",22.109,40,30.298,74.839,32.655,75.261,"Class1"
49.655,13,67.658,"L",67.581,93,45.407,63.683,23.098,47.806,"Class3"
37.4,13,94.275,"G",24.652,23,31.219,74.371,39.373,20.466,"Class1"
53.345,15,96.31,"G",28.942,36,34.157,74.792,30.698,30.569,"Class1"
75.271,12,94.868,"U",22.238,7,57.939,74.906,NA,46.189,"Class1"
62.611,38,65.461,"L",67.8,77,48.854,78.389,31.657,68.251,"Class3"
56.03,22,94.834,"R",27.602,26,82.285,74.587,NA,9.561,"Class1"
49.168,64,68.441,"X",67.733,59,33.65,69.5,NA,50.109,"Class3"
32.893,21,76.8,"W",32.051,75,17.042,13.241,87.585,31.847,"Class2"
43.343,76,50.534,"A",36.17,60,16.982,11.531,88.011,47.262,"Class2"
46.819,48,67.504,"W",67.51,76,75.403,56.184,58.261,55.809,"Class3"
42.999,45,70.371,"L",67.946,79,39.146,74.717,43.449,65.636,"Class3"
80.651,9,91.863,"G",23.851,39,68.887,74.153,51.966,27.987,"Class1"
47.194,6,90.253,"I",23.92,40,55.882,74.087,33.693,57.733,"Class1"
29.185,17,42.434,"K",67.486,68,38.807,67.307,34.079,56.115,"Class3"
50.171,9,51.716,"W",67.36,56,49.46,58.142,27.184,48.94,"Class3"
10.066,21,92.958,"U",33.1,53,-0.343,74.004,44.614,45.785,"Class1"
62.805,35,61.797,"N",67.839,94,52.639,78.529,NA,51.582,"Class3"
62.319,59,56.272,"A",24.128,56,17.79,11.581,88.822,24.489,"Class2"
20.313,87,70.715,"N",53.801,70,16.635,14.52,88.349,24.408,"Class2"
55.836,94,65.94,"W",63.972,58,18.097,14.032,82.024,60.897,"Class2"
49.224,91,65.964,"K",45.411,63,11.33,12.66,88.967,2.609,"Class2"
81.828,10,90.57,"G",18.219,24,27.188,74.92,32.235,59.998,"Class1"
68.745,12,94.018,"I",25.434,8,41.947,74.199,50.063,107.344,"Class1"
69.859,7,93.649,"R",20.613,28,32.397,74.289,40.24,17.719,"Class1"
58.168,25,60.935,"W",67.323,73,22.155,66.96,24.521,52.516,"Class3"
83.691,20,95.192,"U",26.461,43,46.133,74.643,44.099,72.509,"Class1"
56.889,11,90.719,"R",18.693,5,28.613,74.904,40.808,-21.178,"Class1"
43.76,39,72.173,"K",67.128,67,61.766,NA,37.376,56.855,"Class3"
49.327,32,51.149,"N",31.415,76,14.126,13.376,81.46,24.378,"Class2"
44.784,18,46.492,"X",59.812,69,19.459,13.43,48.474,55.153,"Class2"
52.804,7,94.013,"S",21.576,52,70.627,74.432,66.113,49.205,"Class1"
46.283,13,50.458,"W",67.55,87,35.569,64.417,24.185,55.315,"Class3"
18.441,30,77.836,"X",21.432,64,20.502,13.534,74,12.884,"Class2"
50.5,29,36.656,"K",67.48,95,41.952,73.597,36.425,60.438,"Class3"
58.671,26,46.287,"K",28.694,78,10.13,14.81,72.237,28.218,"Class2"
45.499,92,81.608,"K",40.459,63,17.182,11.798,80.229,40.574,"Class2"
30.201,25,76.296,"X",39.609,78,18.614,12.241,57.578,19.887,"Class2"
54.669,79,58.866,"K",62.421,57,20.486,NA,39.094,40.985,"Class2"
40.765,15,91.254,"S",28.941,55,81.898,74.359,29.413,58.862,"Class1"
37.081,38,40.869,"N",67.766,95,30.212,80.81,17.296,53.377,"Class3"
56.352,56,71.227,"X",67.64,65,64.314,57.075,43.679,49.428,"Class3"
93.812,14,91.488,"U",21.121,45,27.085,74.192,46.435,36.083,"Class1"
63.067,8,51.018,"W",20.849,74,13.576,11.162,66.871,31.166,"Class2"
39.95,24,74.229,"L",67.748,93,44.309,72.307,44.655,55.879,"Class3"
56.559,7,94.039,"I",27.094,45,75.429,74.988,37.968,55.383,"Class1"
93.335,9,92.996,"I",13.141,33,87.175,NA,45.093,4.312,"Class1"
59.916,5,96.407,"I",23.185,10,-7.573,74.057,41.632,115.192,"Class1"
74.205,12,93.809,"I",26.142,34,45.672,74.029,46.093,74.549,"Class1"
48.987,15,90.794,"I",27.766,28,31.169,74.415,22.871,36.009,"Class1"
