"Output11","EVC1","CXK2","FKO3","IWU4","ANT5","PZK6","EZW7","SFA8","CLB9","LQW10","TKH11"
"Class4",85.64,59.774,11.038,23.533,"Z","J",78.907,75.106,33,49.862,70.524
"Class3",75.687,35.89,27.512,40.656,"J","D",16.041,49.87,57,74.895,39.594
"Class5",81.2,21.916,15.93,45.078,"I","B",5.808,36.369,35,30.339,70.316
"Class1",23.325,22.005,48.473,61.53,"N","B",76.938,26.257,29,15.907,0.804
"Class1",7.848,58.875,39.503,68.473,"N","V",72.582,22.571,42,23.453,33.762
"Class4",38.998,58.57,10.099,40.788,"W","W",67.253,75.771,29,49.473,53.326
"Class4",55.713,57.891,5.069,47.565,"G","W",92.242,78.073,29,48.449,51.992
"Class4",70.758,57.281,18.923,50.969,"Q","M",73.406,77.569,29,43.256,53.873
"Class4",67.062,58.205,14.116,52.997,"Z","J",54.898,79.949,30,36.594,73.69
"Class4",38.976,58.858,9.026,52.137,"Q","W",62.301,78.059,31,52.46,54.215
"Class5",91.782,32.836,15.39,47.163,"A","X",10.852,54.638,34,37.384,60.042
"Class5",82.902,33.576,15.899,43.847,"I","A",16.418,32.987,24,22.657,52.136
"Class4",57.171,57.497,7.811,47.551,NA,"J",47.038,75.998,33,34.394,90.823
"Class3",72.035,27.942,32.446,21.709,"Z","A",16.402,23.973,62,83.247,43.628
"Class4",56.982,58.261,10.533,50.798,NA,"M",77.322,78.04,33,47.805,75.635
"Class1",-10.272,51.656,70.339,68.223,"O","Q",72.05,26.234,44,18.883,34.664
"Class3",83.905,41.421,27.778,74.217,"C","R",13.304,75.952,55,85.669,39.766
"Class2",16.675,50.49,32.487,85.021,"F","N",15.385,67.417,24,18.18,45.207
"Class3",35.199,39.627,28.569,61.681,NA,"A",23.602,23.585,55,79.441,43.922
"Class5",88.096,48.249,16.477,44.792,"W","G",15.832,51.226,39,15.358,60.884
"Class2",25.985,40.014,19.016,109.956,"X","H",80.091,67.209,44,16.071,9.3
"Class3",70.168,32.071,28.018,59.577,NA,"D",13.484,30.061,77,71.018,32.632
"Class4",54.191,58.303,15.9,52.689,"W","M",71.683,78.822,31,49.804,61.31
"Class1",31.182,57.074,80.321,72.915,"N","V",75.71,25.927,48,31.932,7.823
"Class3",49.606,31.308,30.591,55.203,"Z","R",11.148,30.8,69,73.394,34.405
"Class1",40.921,57.669,73.397,66.945,"T","B",70.794,25.461,43,49.571,10.242
"Class1",35.136,21.042,76.527,61.679,"N","V",69.55,29.312,52,13.975,29.072
"Class4",73.244,57.581,10.545,45.016,"Q","W",50.416,75.547,32,19.023,76.084
"Class5",85.046,55.501,16.348,44.899,"W","G",24.549,56.763,37,26.264,68.582
"Class5",82.65,58.917,15.774,46.221,"W","G",0.662,41.603,6,28.651,52.656
"Class1",21.495,20.871,59.174,58.019,NA,"W",73.809,27.307,24,12.873,22.477
"Class4",56.999,58.263,13.298,NA,"Q","W",62.972,77.036,31,41.554,73.356
"Class2",22.499,41.756,27.058,77.059,"R","Z",48.593,66.089,29,27.209,26.408
"Class1",36.933,32.639,42.364,42.868,"O","R",75.992,23.832,48,17.403,3.519
"Class2",22.268,44.131,29.093,66.351,"F","H",25.193,61.907,9,12.186,35.769
"Class3",114.168,35.103,29.896,60.37,"J","R",16.797,43.322,75,76.008,40.246
"Class4",53.78,57.2,4.072,40.983,"Q","W",72.274,78.647,30,27.321,70.135
"Class1",53.971,53.498,63.998,63.297,"O","Q",71.019,27.673,30,34.457,24.818
"Class2",6.327,62.058,40.072,66.089,"X","W",64.121,69.036,41,15.54,37.252
"Class4",28.764,59.573,5.777,46.757,"G","Z",91.075,77.059,34,19.382,62.263
"Class4",64.846,59.202,7.958,44.215,"K","Z",73.818,77.932,31,62.304,64.546
"Class2",8.237,74.688,23.909,84.155,"K","W",39.867,67.475,10,34.101,49.843
"Class4",59.66,59.764,16.602,50.685,"Z","W",70.897,78.935,32,39.668,51.68
"Class3",77.48,26.452,28.852,73.916,"J","R",14.964,38.025,58,70.769,50.278
"Class3",77.531,29.365,34.383,40.202,"C","U",9.511,39.508,56,76.893,47.78
"Class2",-0.284,53.925,38.408,84.595,"F","Z",18.024,68.406,32,23.344,47.847
"Class1",44.479,28.747,58.054,68.144,"V","R",74.087,25.074,54,41.363,24.143
"Class3",33.108,29.603,34.53,48.27,"A","D",11.407,50.071,71,77.476,42.181
"Class1",56.654,40.981,56.564,45.597,"W","R",72.795,29.402,47,20.367,8.6
"Class3",76.231,33.028,30.95,73.97,NA,"T",8.466,31.576,71,71.942,47.122
"Class1",45.725,44.713,91.144,51.331,"V","B",73.829,25.065,36,27.535,7.81
"Class3",64.129,29.416,28.093,NA,NA,"U",18.824,37.732,67,82.601,45.871
"Class2",42.712,64.622,10.302,52.974,"X","W",26.16,62.63,45,26.365,40.709
"Class1",42.966,25.146,72.749,51.698,"N","R",76.649,26.615,51,27.098,33.908
"Class1",62.091,44.097,37.613,50.849,"N","R",75.859,27.83,44,27.291,15.282
"Class3",84.371,36.521,30.823,82.212,"J","A",6.825,41.495,63,78.039,43.084
"Class3",44.091,41.114,35.089,NA,"S","D",15.59,52.769,80,76.568,42.277
"Class5",82.961,40.522,15.902,51.945,"I","A",29.418,71.056,21,43.987,56.894
"Class3",79.799,37.119,28.697,67.34,"Z","T",11.486,60.172,59,77.045,38.92
"Class5",84.551,81.178,16.74,40.163,NA,"A",24.701,13.869,34,9.631,65.185
"Class1",20.65,46.996,61.884,49.638,"V","B",67.582,29.012,48,19.612,31.6
"Class4",60.018,59.741,15.949,47.95,"G","Z",112.138,77.987,29,33.207,69.33
"Class5",85.444,51.568,15.735,42.734,"L","A",25.797,25.138,26,16.399,84.883
"Class4",72.387,58.582,7.865,41.143,"K","M",51.065,77.644,31,23.951,52.012
"Class5",88.766,75.037,16.466,45.379,"I","X",27.69,31.123,20,38.623,71.803
"Class3",80.245,28.777,31.719,73.537,"J","D",6.924,58.18,72,79.504,31.287
"Class1",14.166,42.426,95.039,52.395,"W","V",71.251,31.411,50,11.49,13.878
"Class2",28.464,53.356,26.812,61.528,"X","B",27.428,66.164,44,12.879,28.513
"Class1",33.497,30.8,45.726,43.815,"N","R",75.097,25.97,35,35.074,8.335
"Class5",88.917,22.232,15.044,44.511,"I","X",21.643,26.565,37,41.382,59.282
"Class5",84.012,45.631,16.567,32.518,"I","S",24.005,21.251,15,41.178,62.02
"Class5",89.758,8.074,16.001,47.177,"A","B",23.289,43.076,31,28.033,74.935
"Class1",60.663,58.186,93.697,46.204,"V","R",73.03,24.667,54,17.215,31.304
"Class5",88.407,14.489,15.456,44,"A","B",28.424,15.33,26,33.408,65.669
"Class2",30.129,57.512,22.665,54.164,"R","N",50.506,62.049,19,28.674,37.136
"Class5",84.757,49.444,15.144,40.817,"A","B",12.306,56.359,32,6.357,52.216
"Class3",37.123,41.974,29.276,29.806,"A","T",13.282,33.102,73,79.301,40.617
"Class1",25.923,38.72,49.023,60.386,"O","R",68.044,23.573,52,18.842,28.319
"Class4",76.598,57.598,14.228,31.471,"Q","J",105.349,79.109,29,53.955,55.985
"Class4",31.394,58.294,4.675,47.726,"Q","M",60.965,80.323,34,17.553,54.803
"Class1",12.284,26.87,78.562,63.231,"V","R",73.568,29.408,28,36.048,24.039
"Class3",27.586,30.346,33.133,50.733,"C","D",15.402,55.442,77,81.207,43.109
"Class1",23.019,47.427,91.363,68.031,"N","V",69.356,30.913,41,13.673,47.328
"Class5",84.911,34.65,16.914,46.682,"L","G",12.513,39.225,11,39.058,58.458
"Class1",55.305,33.724,46.059,83.298,"O","B",78.786,25.273,35,41.114,18.522
"Class2",22.356,67.932,14.489,57.242,"R","B",29.786,65.234,40,10.22,67.42
"Class1",25.866,24.661,44.431,54.33,"T","B",73.727,28.901,36,12.1,33.357
"Class4",31.735,59.542,7.483,59.2,"K","M",71.839,79.812,30,27.979,78.141
"Class3",43.092,28.809,30.874,29.759,"C","R",10.671,68.199,66,75.487,35.636
"Class3",77.326,31.935,28.738,49.123,"J","D",13.287,50.206,69,73.981,35.561
"Class5",85.707,40.91,15.305,45.863,"L","A",23.067,14.989,27,40.678,63.088
"Class2",25.215,50.285,11.314,64.802,NA,"Z",31.304,64.544,19,16.485,22.059
"Class5",84.976,15.71,15.723,44.374,"W","A",24.209,22.827,29,15.358,78.917
"Class3",99.589,27.079,28.14,52.912,"A","A",16.87,31.932,81,75.087,41.548
"Class5",93.167,74.534,15.874,45.265,"A","S",13.637,19.284,24,4.16,67.915
"Class2",13.619,43.054,13.211,47.284,"K","H",6.396,68.542,35,27.299,33.923
"Class1",35.479,32.804,70.632,NA,"V","W",68.681,22.086,26,38.137,62.189
"Class1",8.409,20.5,51.68,NA,"T","V",69.729,26.767,32,22.052,33.302
"Class4",44.459,59.524,14.518,46.302,"Q","Z",53.242,79.688,29,49.617,59.387
"Class3",61.055,35.697,33.834,43.964,"A","U",15.451,74.907,56,75.085,42.093
"Class5",87.992,29.427,15.624,51.279,"I","X",22.22,48.897,17,22.853,49.222
"Class3",28.654,27.183,34.971,36.765,"J","U",11.282,34.66,66,73.303,44.058
"Class5",83.921,7.787,15.391,45.687,"I","S",27.775,42.45,21,10.94,53.123
"Class3",83.374,35.158,34.693,77.759,"C","U",13.203,53.167,79,77.05,43.852
"Class3",61.36,38.57,30.176,74.043,"S","D",19.067,38.583,67,77.718,30.691
"Class4",15.694,59.193,17.795,44.005,"K","J",73.723,77.84,32,18.694,74.011
"Class3",29.81,36.888,27.225,37.636,"Z","T",13.914,29.753,57,85.473,34.916
"Class3",38.071,27.632,29.043,36.326,"A","A",17.559,36.332,64,77.239,44.324
"Class2",25.796,47.36,38.83,62.157,"F","H",17.946,65.905,40,8.538,31.273
"Class2",5.345,59.707,28.368,85.061,"X","B",16.891,66.431,5,32.484,23.153
"Class5",86.901,60.426,15.039,45.69,"L","X",13.654,9.125,14,0.496,64.636
"Class4",40.579,58.59,6.021,52.947,"W","C",61.094,77.398,31,38.065,60.22
"Class5",87.342,37.914,16.38,39.539,"W","X",16.154,33.959,16,24.25,59.52
"Class3",19.658,26.547,35.683,58.227,"J","T",14.883,28.855,72,77.013,37.206
"Class3",28.337,30.128,33.989,56.767,"Z","A",11.574,65.093,56,85.773,44.985
"Class4",107.789,58.193,18.799,50.054,"Q","M",55.351,76.204,31,63.085,80.11
"Class1",62.76,28.661,37.273,52.711,"W","R",77.905,22.676,39,36.722,38.808
"Class5",82.675,25.918,16.794,49.379,"W","G",10.884,17.765,22,14.145,69.208
"Class5",83.609,55.685,16.223,47.685,"W","G",22.019,9.159,5,21.462,55.429
"Class5",89.996,66.303,15.502,46.967,"N","G",22.661,20.143,5,42.46,47.03
"Class2",37.835,61.07,9.43,73.012,"K","Z",21.206,66.295,10,21.339,40.676
"Class3",62.453,29.28,35.431,43.102,"S","D",19.324,64.517,80,88.532,49.046
"Class5",84.674,74.481,15.512,42.772,"I","A",10.623,25.293,24,28.839,69.633
"Class1",14.055,51.179,62.324,44.577,"W","B",71.683,24.072,43,15.591,21.072
"Class4",30.744,58.087,11.839,NA,"K","C",60.574,80.672,32,57.583,93.874
"Class5",85.569,77.197,15.864,42.364,"L","G",29.543,30.792,31,10.457,62.156
"Class2",23.759,56.821,18.067,89.184,"F","H",38.371,68.892,22,7.514,69.55
"Class4",44.233,58.597,6.625,34.963,"W","M",59.409,77.026,30,25.148,59.803
"Class4",54.051,57.815,8.024,NA,"Z","J",39.234,75.091,34,38.89,72.262
"Class2",40.935,63.178,29.569,69.14,"D","B",45.327,67.414,33,10.266,35.562
"Class4",65.615,59.209,13.505,33.831,"W","W",72.576,75.84,29,47.869,77.995
"Class1",35.172,18.709,49.169,65.647,"O","V",71.081,29.3,53,25.061,6.479
"Class4",29.927,57.222,14.19,48.335,"Q","J",72.415,76.716,29,61.609,60.727
"Class1",30.998,28.517,98.31,47.457,"T","W",69.639,22.125,22,21.119,51.269
"Class4",48.44,58.54,6.228,46.773,"Z","C",68.751,76.43,32,40.422,70.902
