"PCX1","UYL2","SCG3","LUM4","LRN5","Output12","USH6","UNA7","PIG8","BYQ9","XJG10","QVC11"
23.289,"G","C",44.324,-0.184,"Class3",79.875,92,12.855,24.901,78.693,59.681
54.473,"I","E",29.736,5.767,"Class1",70.095,58,62.981,71.969,54.996,69.628
17.885,"G","C",45.499,5.876,"Class3",79.126,92,5.268,10.735,75.978,45.959
69.412,"I","J",31.224,5.145,"Class1",98.268,58,62.471,67.139,48.613,76.993
18.3,"Q","C",43.113,10.423,"Class3",79.435,96,6.671,28.085,72.833,33.277
64.029,NA,"R",30.31,6.958,"Class1",87.115,65,89.481,61.804,55.56,43.915
92.003,"B","C",28.533,3.672,"Class1",63.349,72,72.487,57.079,50.427,53.714
9.88,"W","S",43.478,21.787,"Class3",79.05,95,13.007,36.247,72.985,50.92
16.043,"G","I",43.059,20.152,"Class3",79.457,97,10.508,37.829,65.166,67.822
67.024,"U","P",12.261,56.513,"Class2",45.389,32,36.851,13.839,52.319,18.569
98.336,"L","P",49.089,56.204,"Class2",37.224,25,45.75,8.304,62.248,30.432
71.328,NA,"S",-11.452,56.34,"Class2",37.24,34,42.986,13.845,88.619,8.261
18.505,"X","I",45.099,12.208,"Class3",79.226,92,9.703,27.369,64.264,44.737
79.402,NA,"E",32.773,NA,"Class1",73.589,73,90.93,65.035,54.387,7.923
64.298,"E","E",30.669,8.677,"Class1",96.009,82,81.431,68.929,47.5,68.703
27.761,"G","K",42.097,14.979,"Class3",79.81,91,13.665,22.176,70.906,41.21
76.682,"E","R",27.708,5.587,"Class1",75.441,81,57.886,61.365,55.902,37.981
24.375,"G","C",45.36,8.088,"Class3",79.46,91,12.153,21.349,78.202,62.313
83.858,"L","Q",30.414,6.117,"Class1",71.039,68,72.743,62.858,53.994,63.709
22.897,"X","O",44.933,8.83,"Class3",79.704,93,13.579,22.728,67.317,46.461
84.322,"Q","S",42.424,56.219,"Class2",45.163,28,45.451,10.825,61.005,29.621
74.51,"M","N",40.573,59.223,"Class2",38.344,32,37.818,10.059,94.271,23.519
62.55,"N","R",25.861,9.405,"Class1",59.425,60,75.869,57.392,45.972,34.517
74.744,"U","P",30.849,58.195,"Class2",38.957,30,48.08,7.098,87.365,22.016
13.211,"J","C",44.756,15.596,"Class3",79.793,94,14.991,35.461,75.076,66.727
21.217,"W","I",42.424,10.044,"Class3",79.44,97,4.041,40.024,62.212,40.234
22.415,"W","K",44.556,15.082,"Class3",79.96,94,6.8,30.555,73.965,46.837
68.964,"Q","V",23.846,58.744,"Class2",37.569,26,40.027,6.985,59.714,10.49
4.277,"J","K",44.421,11.924,"Class3",79.224,96,6.256,32.726,70.228,55.823
95.406,"L","Q",28.193,3.662,"Class1",78.88,83,65.579,59.921,47.516,10.952
82.782,"L","K",11.356,57.711,"Class2",38.137,25,44.198,5.736,90.096,7.438
52.493,"L","V",-5.586,54.008,"Class2",43.941,28,41.512,9.833,64.445,28.304
11.029,"N","J",31.972,4.539,"Class1",73.428,78,70.91,60.939,51.47,23.868
52.031,"M","N",45.187,57.619,"Class2",40.997,31,34.764,12.938,59.944,25.758
63.376,"L","V",-2.057,56.208,"Class2",35.782,24,42.139,9.562,61.084,19.214
65.457,"I","C",30.964,8.444,"Class1",65.112,76,74.738,64.719,46.348,20.199
91.996,"D","K",36.256,57.065,"Class2",44.441,26,52.33,18.761,76.307,28.941
15.224,"X","O",42.825,16.944,"Class3",79.373,92,6.929,36.568,72.111,42.748
55.075,"B","E",29.615,9.958,"Class1",84.982,80,82.838,61.417,55.659,41.082
61.423,"N","R",31.732,7.776,"Class1",57.323,67,76.281,58.271,45.109,8.371
39.044,"B","C",31.088,6.705,"Class1",94.564,79,93.031,65.805,55.54,58.489
14.213,"J","O",41.794,14.01,"Class3",79.872,93,15.074,34.397,73.358,62.495
31.114,"I","E",29.601,NA,"Class1",63.187,73,65.096,66.977,51.436,58.957
49.271,"L","R",28.153,2.894,"Class1",83.589,61,84.658,67.151,45.278,28.776
18.108,"I","R",29.869,8.278,"Class1",81.22,69,67.291,69.338,50.602,72.754
24.169,"W","K",47.217,15.022,"Class3",79.897,97,10.815,47.29,68.787,65.136
80.138,"I","R",31.001,7.648,"Class1",60.537,72,75.123,55.092,53.135,45.084
15.34,"Q","I",44.148,15.397,"Class3",79.226,97,7.112,36.54,62.646,42.871
83.999,"L","S",46.661,57.41,"Class2",45.92,34,44.844,23.802,49.362,29.795
79.507,"E","Q",26.241,8.29,"Class1",90.372,84,82.343,62.699,47.11,55.422
23.424,"J","I",44.435,12.051,"Class3",79.922,91,2.246,43.387,68.065,62.572
51.732,"L","Q",29,4.213,"Class1",75.664,73,90.2,65.553,49.109,6.646
31.362,"W","C",43.914,12.863,"Class3",79.15,97,12.73,21.307,53.915,33.463
15.789,"Q","S",45.569,11.263,"Class3",79.998,95,5.515,9.988,66.597,52.517
73.046,"D","P",-6.447,57.237,"Class2",39.396,34,51.726,13.983,70.422,7.154
17.127,"X","I",45.491,18.573,"Class3",79.76,92,12.537,19.78,59.924,42.317
76.387,"D","N",25.178,59.147,"Class2",45.474,30,46.373,11.723,92.499,21.156
15.507,"W","S",42.324,16.605,"Class3",79.827,92,3.01,34.42,54.916,61.923
17.618,NA,"I",45.986,9.792,"Class3",79.138,95,8.893,31.803,59.984,44.045
69.871,"M","S",38.675,57.293,"Class2",38.225,25,47.272,11.2,87.63,24.451
48.681,"E","J",31.189,4.864,"Class1",75.354,75,73.022,62.685,54.044,18.5
99.79,"Q","N",80.465,56.404,"Class2",41.022,28,36.899,4.093,75.53,20.116
98.034,"L","C",27.869,5.47,"Class1",69.895,78,74.873,63.104,53.804,21.765
17.126,"Q","I",42.405,16.399,"Class3",79.919,95,14.065,18.208,59.822,45.37
75.648,NA,"P",14.571,57.143,"Class2",40.909,25,37.836,7.67,77.088,8.86
58.655,"E","R",30.62,6.51,"Class1",85.522,81,63.118,71.597,45.765,6.958
86.23,"D","V",36.277,57.397,"Class2",45.922,33,51.779,15.4,83.067,28.089
98.578,"B","E",30.169,6.911,"Class1",65.274,83,76.107,68.019,53.208,3.021
18.04,"J","S",44.805,10.723,"Class3",79.322,96,14.005,33.267,73.968,62.352
77.868,"U","V",15.495,56.176,"Class2",38.964,27,37.485,10.728,80.264,21.315
19.209,"X","C",42.593,12.297,"Class3",79.247,96,12.557,43.799,73.697,42.295
71.822,"L","R",32.509,7.96,"Class1",97.233,85,72.873,68.555,52.194,58.297
35.273,"N","J",30.88,6.948,"Class1",87.192,70,67.504,60.103,55.712,43.614
52.123,NA,"C",30.332,NA,"Class1",56.619,83,59.526,68.073,46.753,24.129
88.861,"M","S",34.03,56.421,"Class2",43.951,25,50.621,14.117,87.383,25.829
81.593,"Q","P",54.462,59.389,"Class2",39.885,27,38.645,7.775,88.527,13.25
74.647,"D","P",-2.137,58.127,"Class2",44.286,29,34.632,10.248,79.255,25.171
79.358,"Q","V",41.219,57.788,"Class2",39.792,24,38.085,11.571,90.367,26.038
107.696,"M","P",59.669,56.537,"Class2",38.091,31,39.739,12.171,64.641,19.958
88.389,"Q","P",83.069,57.741,"Class2",42.161,33,47.09,6.162,50.027,19.345
18.89,"W","K",44.098,11.544,"Class3",79.199,91,9.873,28.192,59.518,58.647
86.558,"L","N",14.762,58.278,"Class2",38.898,28,38.802,12.172,54.756,20.168
13.799,"W","C",42.439,NA,"Class3",79.456,97,9.968,5.611,81.921,67.04
12.398,"Q","O",47.041,13.548,"Class3",79.271,95,9.18,25.456,65.063,44.923
19.668,"W","I",44.23,10.185,"Class3",79.021,93,5.365,60.508,56.652,59.627
17.056,NA,"I",45.345,12.877,"Class3",79.798,94,14.934,29.337,70.876,47.933
76.258,"Q","S",55.301,58.498,"Class2",40.447,34,36.198,9.605,90.223,24.759
72.226,"U","P",21.671,57.816,"Class2",46.695,34,32.985,9.629,65.131,10.017
29.404,NA,"S",43.783,8.924,"Class3",79.484,96,1.96,20.339,79.976,41.842
70.262,NA,"R",31.271,11.317,"Class1",64.224,83,72.851,61.111,49.47,57.313
95.587,"L","K",50.014,57.54,"Class2",42.037,28,47.637,15.802,75.913,17.246
53.172,"I","J",30.034,9.677,"Class1",93.578,73,64.51,61.69,53.384,11.541
65.69,"E","R",29.102,6.81,"Class1",58.901,67,76.041,65.081,49.778,36.583
19.416,"W","I",43.282,6.992,"Class3",79.836,95,14.125,14.383,67.217,67.365
15.716,"W","C",46.167,15.012,"Class3",79.234,96,8.138,16.936,76.737,46.977
83.415,"M","P",21.127,57.043,"Class2",45.364,30,47.111,11.731,86.809,20.843
53.416,"N","Q",33.058,6.025,"Class1",88.289,79,91.116,60.684,48.923,75.553
69.252,"I","R",29.947,6.211,"Class1",80.519,69,63.768,63.456,52.318,24.341
57.692,"L","Q",32.579,6.478,"Class1",57.587,80,70.179,65.74,52.432,8.666
96.639,"L","P",21.218,57.293,"Class2",43.827,27,40.366,12.156,63.822,23.427
25.286,"Q","C",46.413,9.57,"Class3",79.316,95,5.871,45.932,71.811,43.503
11.741,"G","S",44.17,12.071,"Class3",79.433,96,4.049,23.112,70.604,43.209
59.337,"L","Q",27.793,4.827,"Class1",84.629,75,81.281,63.195,49.305,12.52
18.183,"J","S",44.555,14.189,"Class3",79.114,92,6.032,21.924,76.935,49.479
89.697,"M","K",30.512,56.11,"Class2",45.528,24,33.758,12.64,78.987,25.451
21.315,"X","S",44.012,NA,"Class3",79.061,95,8.325,31.795,75.702,40.77
18.912,"W","S",44.167,9.471,"Class3",79.001,91,10.982,26.009,54.058,58.101
80.843,"M","N",61.717,58.652,"Class2",35.069,25,47.651,14.567,64.829,16.98
16.816,"W","C",43.769,NA,"Class3",79.108,97,5.107,31.468,54.586,41.272
70.341,"I","Q",27.923,6.393,"Class1",66.043,63,67.604,70.805,51.766,58.924
86.4,"U","S",24.046,56.339,"Class2",37.173,26,39.889,9.298,78.097,31.742
89.578,"U","S",38.736,58.983,"Class2",39.258,27,49.49,6.556,76.215,10.596
34.216,NA,"Q",29.478,8.031,"Class1",77.639,69,64.183,66.635,51.163,64.902
62.089,"Q","N",43.571,58.496,"Class2",46.663,34,52.05,10.068,58.559,8.698
52.529,"L","J",32.519,6.964,"Class1",97.558,79,83.497,65.846,53.79,16.241
30.638,"L","R",33.517,9.236,"Class1",70.105,76,83.269,70.498,51.281,43.877
74.868,"M","P",-8.482,56.596,"Class2",43.041,24,37.165,8.411,54.425,8.744
86.416,"N","C",34.573,7.12,"Class1",98.164,79,58.838,67.028,53.575,22.932
80.106,"U","N",35.433,56.497,"Class2",36.374,32,33.902,7.22,71.319,14.471
84.644,"L","P",26.426,57.907,"Class2",40.784,24,37.796,10.93,77.281,15.426
23.116,"W","I",43.218,5.999,"Class3",79.35,93,15.655,22.959,74.183,33.507
87.874,"L","K",25.987,56.338,"Class2",44.746,28,49.565,17.107,76.404,28.693
13.701,"G","K",44.533,4.505,"Class3",79.705,95,10.037,17.877,59.419,61.238
14.206,"W","S",41.578,12.965,"Class3",79.924,96,15.899,51.128,64.579,47.531
66.571,"D","V",46.486,57.208,"Class2",44.457,24,35.996,8.763,82.305,7.529
43.684,"B","J",32.347,8.996,"Class1",85.888,81,59.127,65.585,50.422,9.583
75.922,"I","C",29.828,5.218,"Class1",55.776,66,63.719,63.729,52.154,30.519
85.373,"D","V",3.94,56.87,"Class2",39.988,34,33.275,11.869,68.616,15.726
63.891,"M","S",51.411,57.643,"Class2",37.46,27,35.619,12.047,54.745,14.095
18.368,"Q","C",44.997,9.91,"Class3",79.743,97,1.572,32.448,53.207,51.98
44.328,"D","K",4.91,56.845,"Class2",43.971,33,33.894,12.034,67.588,8.808
21.006,"J","C",47.238,NA,"Class3",79.251,95,12.81,32.024,78.275,62.803
56.226,NA,"R",32.309,1.34,"Class1",96.695,74,85.422,70.771,53.918,66.452
42.134,NA,"C",31.158,8.871,"Class1",59.315,64,87.837,64.598,46.627,39.744
75.619,NA,"V",36.124,57.056,"Class2",45.982,30,40.743,11.131,49.767,30.014
69.535,"I","E",28.006,6.87,"Class1",71.636,61,72.141,71.248,48.752,19.998
16.27,"X","I",44.489,16.836,"Class3",79.451,91,6.1,42.667,68.943,63.983
47.183,"L","Q",29.366,5.436,"Class1",70.837,82,91.125,73.264,45.337,8.622
30.145,"J","O",45.183,12.099,"Class3",79.287,95,12.572,3.839,62.954,34.319
73.091,"N","J",27.373,10.12,"Class1",62.606,70,93.916,60.078,54.519,14.146
87.009,"D","V",20.322,59.117,"Class2",46.239,27,36.487,19.549,71.705,14.32
93.578,"L","V",32.341,57.265,"Class2",45.538,27,38.876,13.616,82.264,21.797
15.993,"G","S",42.298,11.466,"Class3",79.271,96,15.165,19.726,75.772,44.658
69.74,"N","C",30.858,2.865,"Class1",78.279,61,71.889,67.48,47.118,53.479
59.184,"L","S",30.382,58.908,"Class2",38.646,27,49.128,9.374,76.01,17.911
105.318,"L","E",30.547,6.635,"Class1",70.829,75,90.854,62.218,53.629,51.346
65.59,"M","S",35.26,57.326,"Class2",36.678,27,37.697,7.99,75.371,17.749
89.751,"D","K",16.772,58.867,"Class2",39.326,25,42.324,9.976,92.593,9.812
62.6,"E","J",34.294,12.473,"Class1",89.616,72,66.307,67.661,48.736,53.965
23.162,"G","S",43.634,19.756,"Class3",79.641,97,2.457,22.036,52.591,55.189
89.764,"Q","S",31.817,57.177,"Class2",39.264,34,49.961,17.85,96.168,8.909
88.223,"L","N",53.443,56.587,"Class2",38.099,28,39.206,8.367,83.853,21.732
73.007,"L","S",29.444,57.407,"Class2",45.746,24,35.268,8.456,89.326,24.282
81.027,"Q","V",14.523,57.918,"Class2",46.978,30,36.637,14.616,52.782,23.096
22.983,"X","I",40.404,9.526,"Class3",79.556,96,6.48,40.647,77.277,43.309
77.004,"N","E",31.008,10.271,"Class1",76.913,75,90.481,67.398,47.439,36.893
21.696,"G","K",43.396,19.538,"Class3",79.832,95,2.799,38.43,76.07,44.193
51.293,"E","J",32.858,9.317,"Class1",90.051,81,84.942,57.539,48.957,41.157
59.606,"L","C",27.03,8.581,"Class1",56.692,76,75.744,62.298,51.848,49.128
93.486,"M","V",59.75,58.632,"Class2",43.578,24,38.29,12.876,79.741,30.809
17.795,"G","I",42.721,3.499,"Class3",79.586,97,7.114,13.38,64.696,53.887
92.667,"Q","S",21.563,59.181,"Class2",42.735,31,39.849,7.784,93.623,19.089
32.042,"L","J",30.301,4.421,"Class1",96.79,76,62.226,67.105,53.423,22.221
16.211,"W","S",42.304,17.771,"Class3",79.311,94,11.374,24.794,63.942,58.578
73.392,"L","P",21.15,57.232,"Class2",37.743,26,38.312,14.083,69.495,20.713
100.096,"U","K",45.889,55.508,"Class2",39.943,29,44.703,8.775,76.879,11.016
51.77,"E","C",32.673,6.821,"Class1",85.001,63,64.71,72.504,51.031,19.036
14.566,"X","C",45.925,18.996,"Class3",79.376,95,14.262,28.33,52.275,50.864
76.01,"L","J",29.208,6.169,"Class1",92.19,76,88.567,66.843,51.747,46.688
40.396,"E","E",26.283,2.297,"Class1",65.014,81,88.175,69.667,52.594,23.587
57.995,"L","C",29.593,4.893,"Class1",73.117,79,83.107,58.853,49.583,36.495
16.201,"G","C",41.747,8.252,"Class3",79.332,92,2.327,10.706,74.641,38.01
82.23,"B","C",31.454,8.667,"Class1",83.406,82,76.032,65.971,48.697,46.856
72.481,"E","C",31.437,7.985,"Class1",66.767,78,83.821,61.679,45.981,73.549
15.871,"G","O",43.766,8.895,"Class3",79.426,91,12.57,23.243,72.808,60.129
57.531,"L","Q",27.555,8.407,"Class1",60.12,65,78.313,62.929,49.196,42.895
75.848,"L","K",11.781,NA,"Class2",35.091,34,52.828,8.71,81.446,30.715
79.056,"U","N",10.197,NA,"Class2",44.58,32,48.488,6.999,59.125,32.384
89.135,"U","V",16.404,56.264,"Class2",38.824,25,33.358,14.637,62.35,30.466
60.792,"I","Q",29.248,11.512,"Class1",99.565,72,59.289,63.716,46.089,21.45
59.737,"L","C",27.181,6.19,"Class1",68.416,70,84.172,64.344,50.411,10.102
61.186,"I","R",33.74,5.462,"Class1",74.521,72,57.962,53.183,47.936,74.502
18.612,"Q","I",44.427,9.186,"Class3",79.174,94,7.973,14.473,74.415,55.399
23.207,"W","K",44.926,NA,"Class3",79.362,95,14.051,36.198,53.699,41.183
9.17,"G","K",44.308,8.6,"Class3",79.888,94,12.498,15.986,80.6,36.618
12.074,"W","C",45.028,11.352,"Class3",79.209,93,6.748,30.679,65.024,39.218
23.081,"W","C",43.006,8.433,"Class3",79.324,95,5.273,33.711,60.592,48.848
9.434,NA,"S",41.967,13.997,"Class3",79.057,91,10.223,34.738,55.417,37.638
54.554,"M","N",46.993,57.06,"Class2",45.649,33,48.452,15.246,53.686,25.517
59.856,"N","Q",28.295,10.822,"Class1",75.285,80,57.134,63.139,50.73,51.989
79.245,"M","V",48.305,57.312,"Class2",40.544,29,44.03,14.787,75.167,19.223
83.81,NA,"E",33.695,6.14,"Class1",70.506,65,67.809,58.269,47.409,57.671
20.301,"Q","K",44.585,12.797,"Class3",79.937,95,12.439,18.225,61.445,42.882
35.771,"L","J",29.221,4.142,"Class1",61.196,71,61.798,63.169,48.034,31.73
18.1,"W","K",45.143,16.261,"Class3",79.24,97,10.387,25.695,60.845,65.546
51.865,"Q","V",22.456,57.344,"Class2",45.555,32,50.824,12.81,66.331,23.268
16.742,"X","O",44.396,14.525,"Class3",79.814,93,1.31,13.386,65.082,62.409
92.527,"M","N",40.819,55.978,"Class2",35.712,25,49.534,7.69,81.826,16.916
13.472,"J","I",44.386,13.211,"Class3",79.479,92,8.425,17.328,63.316,55.456
98.647,"L","S",12.386,57.577,"Class2",39.68,33,43.695,2.078,52.142,17.431
61.838,"M","S",47.011,58.456,"Class2",36.713,30,32.986,22.777,66.512,27.569
16.81,"G","I",44.416,8.556,"Class3",79.812,93,6.08,33.354,63.761,57.686
61.094,"L","J",31.72,3.963,"Class1",64.433,58,65.077,60.305,55.792,48.462
20.715,"J","S",45.395,8.265,"Class3",79.282,92,14.759,55.667,79.498,54.379
66.958,"U","N",15.981,56.448,"Class2",37.205,27,35.84,5.919,83.451,14.606
87.796,"N","J",30.216,5.948,"Class1",64.844,73,68.671,66.009,54.917,44.701
69.865,"I","J",30.172,4.061,"Class1",96.946,81,71.916,60.509,50.227,35.32
15.994,"W","O",45.49,8.496,"Class3",79.945,95,8.439,40.985,52.591,54.677
14.325,"Q","I",44.19,14.715,"Class3",79.16,96,4.7,20.339,70.956,59.6
59.317,"Q","P",55.781,56.688,"Class2",42.433,33,43.067,16.375,77.602,24.787
82.425,"M","S",8.667,58.328,"Class2",35.095,28,40.636,11.813,49.343,28.432
55.66,"Q","K",50.471,56.016,"Class2",43.944,30,49.084,11.951,74.274,10.027
88.354,"L","S",24.35,57.652,"Class2",36.493,31,49.124,14.392,83.479,28.233
82.77,"L","J",30.55,4.981,"Class1",65.941,65,57.342,66.917,47.516,13.63
78.342,"E","J",30.718,5.286,"Class1",82.366,75,81.267,59.549,55.521,51.415
26.59,"B","J",27.881,7.999,"Class1",88.638,58,80.411,61.597,48.826,34.008
52.986,"N","E",30.218,7.817,"Class1",59.804,64,83.177,69.882,46.947,27
77.248,"M","N",39.739,57.535,"Class2",43.473,29,49.909,12.497,89.636,16.241
80.154,"D","K",16.991,59.547,"Class2",41.449,27,44.087,17.077,80.195,20.459
18.921,"X","K",42.358,15.275,"Class3",79.069,92,6.98,32.425,53.677,64.193
74.015,"N","C",33.332,8.162,"Class1",88.7,61,59.873,59.827,55.863,11.863
78.941,"U","K",74.705,55.666,"Class2",43.853,25,35.058,9.324,66.733,16.848
17.211,"W","S",44.764,16.178,"Class3",79.422,94,8.798,45.727,64.968,50.619
82.627,"U","S",38.41,57.664,"Class2",45.377,25,42.47,10.142,93.589,31.866
19.123,"W","S",44.056,9.945,"Class3",79.699,97,1.956,18.662,52.35,37.844
21.83,"Q","C",43.627,15.406,"Class3",79.153,93,11.361,15.25,64.546,34.099
14.182,"Q","K",45.82,16.62,"Class3",79.817,96,13.157,47.305,66.795,37.749
14.397,"G","S",45.199,12.396,"Class3",79.977,92,9.615,38.175,67.88,45.931
87.304,"L","S",45.835,56.331,"Class2",41.212,29,39.804,-1.82,79.081,17.126
16.046,"W","S",43.48,13.232,"Class3",79.931,91,4.774,25.015,70.927,33.196
63.151,"Q","V",65.691,55.208,"Class2",37.712,32,35.707,11.724,60.787,32.504
15.778,"G","O",41.83,18.843,"Class3",79.988,95,15.576,30.779,70.943,54.404
13.911,"W","I",44.916,14.445,"Class3",79.628,95,10.898,25.288,76.728,39.017
17.07,"W","S",44.363,9.149,"Class3",79.843,97,9.569,23.152,73.696,60.239
86.538,"D","K",29.954,57.952,"Class2",35.277,26,39.094,11.88,89.323,30.778
60.301,"D","N",29.674,55.755,"Class2",36.177,27,34.286,8.143,87.466,23.642
51.34,"B","E",27.742,6.347,"Class1",98.406,73,58.791,57.259,52.758,62.658
9.515,"X","S",43.015,14.048,"Class3",79.699,92,10.56,39.663,73.093,46.397
71.035,"N","J",29.827,8.391,"Class1",63.15,75,79.253,58.789,50.204,16.148
50.551,"B","E",31.787,6.253,"Class1",69.987,79,92.131,65.663,52.168,33.262
27.008,"G","C",45.333,6.17,"Class3",79.509,96,9.792,16.339,69.46,41.382
79.65,"D","N",49.373,57.175,"Class2",39.994,24,37.942,13.841,70.751,29.682
83.039,"Q","N",19.543,57.561,"Class2",39.962,32,34.914,12.945,69.701,29.272
64.253,"N","C",28.774,8.839,"Class1",64.993,78,66.585,58.283,51.888,6.585
57.93,"N","R",29.643,8.129,"Class1",86.621,60,90.368,67.702,47.413,11.912
16.835,"J","K",44.96,16.825,"Class3",79.68,96,15.436,18.134,59.135,43.289
13.023,"G","S",42.809,11.223,"Class3",79.179,95,7.764,19.153,56.522,49.76
60.532,"Q","N",56.032,57.139,"Class2",41.029,25,32.56,6.447,94.21,13.299
85.125,"M","V",16.772,58.48,"Class2",38.319,32,35.768,8.33,57.749,8.705
60.337,"U","V",-4.146,56.985,"Class2",45.919,27,43.186,18.518,68.581,26.933
18.686,NA,"K",44.718,11.103,"Class3",79.797,95,13.504,17.196,58.384,44.057
10.238,"G","C",46.757,18.295,"Class3",79.607,96,11.312,26.665,80.241,55.582
16.46,"G","I",45.643,9.462,"Class3",79.259,92,13.929,17.923,65.678,50.787
94.502,"D","S",11.351,56.534,"Class2",35.576,30,45.089,20.436,93.361,18.77
23.976,"B","C",30.889,2.819,"Class1",69.719,65,64.171,66.499,55.328,18.905
51.118,"M","V",33.389,57.659,"Class2",35.034,33,37.058,12.961,79.377,21.301
16.772,"W","K",42.185,6.959,"Class3",79.511,95,15.349,34.391,64.131,42.131
22.201,"W","K",44.862,15.848,"Class3",79.245,97,1.409,26.969,76.143,62.524
82.147,"D","V",9.288,56.024,"Class2",40.499,28,51.745,15.615,55.649,12.165
24.112,"E","R",28.265,7.192,"Class1",72.294,61,58.968,61.442,55.177,76.204
86.503,"Q","V",34.635,57.941,"Class2",40.969,31,52.696,10.538,90.64,7.169
69.871,"M","V",5.676,58.104,"Class2",43.403,32,48.831,3.315,53.359,20.061
22.402,"X","K",45.664,12.189,"Class3",79.12,92,10.305,36.181,70.274,55.492
14.035,"W","C",43.861,18.682,"Class3",79.483,97,12.491,23.765,65.98,60.38
18.682,"Q","O",43.017,22.69,"Class3",79.915,96,8.473,14.064,73.935,62.477
17.807,"Q","O",46.276,9.718,"Class3",79.443,95,2.072,27.216,71.75,58.692
50.853,"E","R",27.989,8.721,"Class1",85.425,73,63.489,69.222,53.47,6.707
83.496,"I","J",28.491,4.321,"Class1",64.785,73,57.758,79.946,47.729,39.274
101.106,"M","K",26.471,57.019,"Class2",36.831,28,39.041,13.603,56.418,14.629
69.775,"U","S",29.338,59.448,"Class2",38.396,31,41.258,11.848,88.031,27.535
49.436,NA,"S",9.487,NA,"Class2",44.674,30,49.937,11.968,68.665,15.597
