"WYI1","ECB2","Output5","RKH3","DKI4","JIA5","HTD6","CGX7","KHF8","LSH9","OZT10","ODQ11","LYB12"
64,46.222,"Class1",61.11,27.884,21.062,72,"R",26.743,13.464,"D",89.607,31.124
92,37.959,"Class2",57.25,27.714,81.637,33,"I",58.61,72.311,"R",92.83,68.089
66,47.735,"Class1",82.78,27.64,27.645,65,"D",33.904,45.961,"X",85.07,49.969
46,47.14,"Class3",53.257,69.097,82.472,16,"P",16.464,22.147,"Z",55.029,81.323
91,21.188,"Class2",33.419,28.137,59.429,70,"I",59.365,67.21,"H",92.055,50.183
94,26.754,"Class2",35.209,26.326,66.386,54,"D",59.464,21.996,"P",94.377,26.814
77,40.999,"Class3",54.672,69.538,93.324,11,"M",19.101,20.77,"Z",47.515,83.779
67,42.098,"Class1",89.568,36.079,6.762,67,"C",35.777,34.338,"C",80.062,50.189
71,30.397,"Class1",90.235,27.187,41.732,64,"S",26.281,50.209,"C",88.148,35.528
97,27.943,"Class2",44.503,27.312,43.538,41,"X",57.308,77.837,"O",92.792,36.62
63,42.001,"Class1",67.405,10.149,42.488,72,"V",31.982,39.973,"X",86.051,41.122
90,42.057,"Class2",56.458,27.019,45.039,74,"C",59.722,-3.472,"R",NA,53.507
71,40.647,"Class3",50.93,70.475,80.38,24,"J",15.382,27.009,"I",47.511,89.118
94,83.478,"Class2",26.129,29.18,74.905,53,"I",58.453,74.342,"P",93.9,68.112
66,47.074,"Class3",60.112,69.751,112.378,12,"E",NA,19.465,"Z",52.273,76.797
91,19.251,"Class2",34.434,29.377,35.717,61,"A",60.146,22.191,"O",92.259,52.64
34,47.608,"Class3",58.793,70.536,72.656,12,"K",15.947,22.62,"O",54.963,70.075
96,24.033,"Class2",43.684,29.456,52.373,77,"X",58.662,56.278,"H",92.302,52.046
61,40.939,"Class3",60.336,69.936,66.656,8,"E",16.28,25.646,"O",45.059,76.755
91,52.732,"Class2",50.655,26.948,66.382,57,"X",60.897,80.021,"P",91.816,38.496
95,80.751,"Class2",42.206,28.356,53.261,28,"A",58.452,55.214,"O",90.774,14.283
99,19.607,"Class2",42.038,27.913,51.956,48,"I",58.882,32.263,"O",93.618,52.208
98,42.984,"Class2",54.14,30.129,52.855,70,"I",57.856,48.982,"C",NA,68.466
72,50.924,"Class1",73.82,33.951,17.465,68,"R",27.927,49.95,"W",67.737,44.693
68,60.663,"Class1",62.48,22.697,12.079,71,"S",29.166,51.544,"D",83.368,48.664
64,44.347,"Class3",57.786,70.109,91.014,23,"J",18.205,23.446,"G",53.407,83.778
67,52.249,"Class1",92.22,30.358,2.994,64,"R",27.353,12.882,"R",73.969,43.244
94,40.678,"Class2",53.736,27.864,63.848,76,"C",59.615,88.295,"O",NA,33.949
92,64.887,"Class2",30.655,27.197,44.21,59,"X",59.802,109.75,"H",92.699,47.619
66,55.623,"Class1",83.261,28.385,13.919,68,"S",26.525,57.572,"D",59.933,48.27
98,29.93,"Class2",53.737,26.115,74.087,24,"D",58.669,41.645,"C",94.427,18.158
64,64.43,"Class1",63.521,11.699,25.976,66,"S",24.675,34.899,"C",68.072,46.706
88,43.388,"Class3",57.424,70.645,98.336,24,"E",NA,24.737,"I",50.629,74.768
96,31.55,"Class2",41.14,25.28,47.983,47,"A",58.318,94.09,"C",96.98,35.672
83,41.496,"Class3",59.802,70.298,84.248,16,"K",28.274,20.715,"Z",NA,88.091
51,40.01,"Class3",46.935,70.329,69.125,7,"J",17.462,21.487,"Z",45.749,69.062
94,48.512,"Class2",32.496,26.891,71.596,38,"C",57.893,46.652,"R",94.19,15.388
98,75.066,"Class2",57.949,29.546,74.197,72,"D",60.354,88.218,"C",92.649,34.34
91,81.727,"Class2",28.651,28.091,35.841,56,"I",59.486,7.233,"O",92.552,61.096
91,44.163,"Class3",50.571,69.805,89.949,13,"M",22.194,24.239,"O",50.887,79.784
94,58.306,"Class2",34.198,29.895,73.384,64,"A",57.612,82.089,"H",96.01,32.954
67,56.251,"Class1",69.162,15.47,31.87,66,"S",33.834,24.897,"R",102.996,42.23
77,47.489,"Class3",45.624,70.484,86.704,26,"M",19.596,21.849,"G",46.459,81.771
64,63.723,"Class1",72.841,6.762,16.435,73,"R",31.771,23.884,"W",77.381,41.93
99,83.033,"Class2",50.934,25.603,47.107,53,"I",58.795,23.686,"O",91.435,41.912
90,21.389,"Class2",27.993,25.171,76.473,54,"I",NA,45.843,"P",91.088,13.944
91,42.45,"Class2",57.568,26.795,78.751,76,"A",57.907,60.155,"R",NA,37.637
49,45.798,"Class3",46.05,70.316,92.07,20,"E",27.102,23.087,"I",53.16,66.761
96,55.279,"Class2",51.137,28.806,36.296,45,"I",60.702,37.997,"O",92.06,21.918
44,39.68,"Class3",44.469,69.897,103.808,4,"J",24.054,22.085,"Z",47.673,65.612
70,48.329,"Class1",78.63,30.542,38.565,72,"C",31.945,46.29,"C",85.679,34.926
35,47.399,"Class3",55.284,70.46,85.842,11,"M",13.536,21.388,"Z",49.639,68.574
48,44.616,"Class3",54.723,71.298,78.16,32,"M",21.168,24.096,"R",46.836,85.872
97,30.573,"Class2",46.106,26.976,49.916,68,"I",59.806,71.45,"R",93.669,26.439
90,33.987,"Class2",55.622,26.266,71.25,63,"X",60.464,82.893,"O",92.239,66.323
55,46.087,"Class3",53.119,70.426,77.438,8,"P",15.911,21.188,"O",50.63,89.16
42,41.335,"Class3",48.051,69.894,78.677,9,"J",22.628,23.262,"R",51.452,73.517
96,81.941,"Class2",47.52,26.924,65.295,81,"C",59.787,75.692,"P",90.061,13.294
93,76.773,"Class2",35.658,27.167,79.184,26,"I",60.809,77.078,"H",96.1,37.259
71,35.848,"Class1",81.111,28.092,28.861,67,"C",35.391,48.819,"W",88.018,46.971
96,59.387,"Class2",32.103,30.402,58.331,65,"X",58.738,89.326,"H",93.602,56.236
64,59.366,"Class1",71.522,28.133,29.647,69,"R",35.761,50.832,"W",92.182,55.823
75,46.392,"Class3",53.45,69.246,73.763,21,"P",NA,21.889,"R",43.796,81.176
61,44.386,"Class3",57.993,69.67,63.883,11,"P",NA,26.96,"G",48.361,88.106
69,43.793,"Class3",61.889,69.146,101.505,13,"M",25.691,24.43,"G",54.88,62.786
92,79.447,"Class2",30.003,27.359,40.615,70,"D",59.029,43.299,"H",96.868,68.034
90,81.619,"Class2",55.443,28.103,47.309,34,"C",59.444,68.256,"H",90.938,27.362
94,28.534,"Class2",49.269,28.805,55.553,61,"I",60.271,68.885,"O",93.061,53.392
73,29.638,"Class1",62.237,37.353,45.438,66,"V",31.133,17.923,"R",78.457,44.328
69,69.002,"Class1",92.961,14.534,19.417,67,"V",33.927,32.248,"C",83.394,55.699
94,52.379,"Class2",56.303,29.57,41.295,60,"I",59.786,46.177,"P",93.156,40.176
48,40.403,"Class3",49.108,68.881,95.283,31,"E",15.245,25.604,"Z",44.287,65.061
71,56.358,"Class1",93.572,22.669,22.739,69,"S",35.213,56.332,"W",76.626,31.203
98,52.561,"Class2",28.665,28.036,61.344,33,"X",60.718,18.012,"P",93.258,33.615
43,42.332,"Class3",53.459,70.343,94.041,4,"P",17.839,27.857,"O",47.063,85.023
34,47.043,"Class3",57.856,69.627,84.521,14,"K",14.475,22.22,"O",46.826,85.245
71,45.153,"Class1",75.008,17.086,43.955,65,"S",29.683,22.533,"W",97.98,48.733
52,44.761,"Class3",59.731,70.668,79.077,32,"J",24.938,25.826,"G",50.657,76.933
85,43.526,"Class3",56.77,68.962,90.216,28,"J",17.443,22.655,"R",46.013,70.391
68,35.502,"Class1",64.104,39.125,27.675,68,"V",27.375,35.069,"W",90.165,37.219
87,40.03,"Class3",56.945,69.302,88.843,32,"K",20.431,24.221,"G",57.993,81.621
72,55.87,"Class1",79.013,19.424,29.62,66,"R",34.186,50.195,"R",89.967,54.004
97,69.221,"Class2",40.804,30.977,42.507,73,"I",60.714,0.758,"P",89.635,17.518
95,72.8,"Class2",41.161,29.963,52.951,34,"X",60.927,17.351,"O",92.425,26.808
71,69.379,"Class1",76.293,26.848,34.215,66,"R",24.445,11.852,"C",84.566,52.803
71,34.54,"Class1",85.889,30.411,2.495,65,"D",25.971,66.958,"X",73.776,32.903
90,58.741,"Class2",50.117,31.647,70.797,69,"I",NA,27.337,"O",91.765,15.944
67,65.701,"Class1",77.777,27.099,28.651,72,"C",33.313,52.196,"C",83.5,48.759
70,40.661,"Class3",62.816,69.543,71.227,11,"E",25.799,24.512,"Z",46.617,64.077
91,29.269,"Class2",56.161,31.441,60.569,77,"X",58.99,42.957,"H",93.171,65.922
65,34.44,"Class1",64.388,48.95,14.216,72,"S",31.642,37.563,"W",58.777,51.071
47,44.485,"Class3",57.617,69.621,81.897,13,"P",26.055,21.462,"O",46.355,90.57
91,25.89,"Class2",42.195,28.806,29.439,71,"X",58.627,47.507,"P",92.669,63.949
70,38.842,"Class1",77.668,21.301,33.891,72,"R",25.355,52.673,"W",87.977,35.648
85,44.895,"Class3",61.583,70.231,87.554,5,"P",13.777,23.921,"R",52.716,80.496
65,69.699,"Class1",67.519,38.633,43.573,68,"V",27.946,26.712,"X",103.331,46.67
99,49.905,"Class2",57.415,25.348,61.624,66,"D",NA,69.353,"P",93.709,33.932
71,61.735,"Class1",80.908,24.621,46.259,69,"S",24.556,34.183,"R",83.678,53.048
99,78.633,"Class2",30.703,29.295,51.333,74,"C",60.414,11.762,"P",92.761,13.757
85,41.596,"Class3",60.013,70.512,77.33,13,"M",18.899,20.748,"G",44.796,65.888
67,45.709,"Class3",59.11,69.952,81.665,26,"P",13.391,21.129,"I",43.5,66.818
50,44.799,"Class3",44.25,69.773,88.827,5,"K",19.514,25.836,"G",56.133,90.634
92,41.46,"Class2",30.63,28.41,53.224,74,"I",58.05,60.321,"H",93.587,14.626
89,40.48,"Class3",53.239,69.843,85.21,9,"K",14.379,23.158,"G",54.653,74.646
77,42.89,"Class3",51.907,70.272,89.246,29,"E",24.665,19.312,"R",43.415,81.738
98,58.286,"Class2",39.297,27.846,50.616,40,"I",58.196,84.402,"P",90.289,60.837
95,23.808,"Class2",43.113,28.429,50.443,31,"X",58.463,65.095,"P",92.794,36.351
67,40.235,"Class3",62.794,69.76,65.915,24,"K",21.935,19.747,"Z",45.865,82.16
73,67.258,"Class1",80.437,28.226,44.798,68,"V",NA,19.655,"X",76.737,32.959
92,71.154,"Class2",36.621,28.356,49.964,53,"D",59.055,79.5,"P",NA,44.458
68,42.555,"Class3",54.521,70.1,77.866,11,"M",21.375,27.044,"R",47.988,78.037
63,45.217,"Class1",81.383,25.218,32.983,71,"C",35.257,35.735,"C",101.728,46.996
63,31.244,"Class1",71.437,25.314,9.297,64,"S",29.886,47.317,"X",87.227,50.752
40,41.324,"Class3",54.726,70.25,92.664,8,"J",29.678,19.02,"R",41.805,81.653
92,63.468,"Class2",43.188,26.133,49.528,58,"I",59.669,13.717,"P",95.826,58.992
60,46.507,"Class3",47.81,70.361,72.297,23,"J",18.575,21.785,"I",53.569,62.744
90,31.037,"Class2",37.983,28.097,62.833,66,"C",58.689,66.735,"R",94.465,56.068
73,67.476,"Class1",67.238,36.029,29.785,67,"S",30.523,54.284,"D",86.937,36
33,44.763,"Class3",53.975,72.068,70.399,22,"J",28.577,21.909,"Z",51.327,73.477
63,59.768,"Class1",70.255,26.858,36.333,67,"R",NA,40.981,"D",94.324,54.785
57,45.419,"Class3",55.94,69.695,91.635,32,"K",23.234,21.14,"Z",51.064,85.901
67,33.574,"Class1",68.067,15.208,34.303,67,"R",33.196,28.04,"C",90.174,42.844
54,41.284,"Class3",50.495,70.211,88.838,8,"K",17.034,21.878,"R",44.664,84.619
66,39.355,"Class3",52.65,69.379,81.594,17,"J",24.835,20.827,"O",41.886,71.294
88,47.966,"Class3",45.977,69.478,73.524,18,"P",22.607,24.11,"O",52.051,73.363
64,33.225,"Class1",68.835,38.902,32.135,72,"R",27.676,42.925,"X",90.734,54.871
91,31.244,"Class2",42.74,29.308,58.807,80,"C",58.631,55.216,"R",90.301,58.174
39,40.548,"Class3",56.46,69.126,99.517,21,"P",13.317,21.396,"Z",49.664,82.685
98,59.402,"Class2",52.361,27.019,63.016,82,"I",58.529,-38.179,"H",NA,12.357
63,63.219,"Class1",78.012,22.451,25.499,69,"D",32.741,50.752,"C",NA,47.514
92,38.121,"Class2",45.859,29.135,56.357,36,"C",57.473,48.213,"R",93.063,31.675
71,35.021,"Class1",68.991,-0.668,21.169,71,"D",33.04,32.688,"D",90.168,51.951
70,61.756,"Class1",88.409,30.229,15.392,71,"C",27.593,42.269,"X",76.307,42.188
66,47.958,"Class3",62.472,70.066,77.943,25,"K",19.933,19.652,"R",49.447,79.458
63,37.777,"Class1",81.374,20.787,23.754,65,"D",26.04,53.818,"R",83.377,45.273
47,43.211,"Class3",54.703,70.905,71.445,14,"K",27.482,23.347,"O",49.501,88.55
65,51.358,"Class1",73.997,46.268,31.111,71,"D",25.969,26.159,"R",NA,56.772
52,47.662,"Class3",53.321,70.378,80.602,12,"E",17.891,25.311,"Z",41.83,72.783
95,27.751,"Class2",40.185,27.926,45.736,33,"D",58.551,19.17,"O",92.192,38.539
90,40.26,"Class2",43.261,29.57,67.395,75,"C",60.574,5.862,"C",92.615,46.375
70,68.08,"Class1",62.247,19.283,37.263,71,"C",NA,73.243,"C",70.791,47.558
97,36.341,"Class2",29.579,30.61,67.461,32,"D",58.616,58.253,"O",90.62,19.348
56,46.562,"Class3",60.745,69.274,92.843,12,"P",25.924,22.871,"Z",NA,71.226
74,46.541,"Class3",61.305,71.449,86.323,15,"E",13.012,22.053,"O",48.951,68.427
92,45.54,"Class2",50.042,28.595,57.367,49,"D",60.394,-5.963,"P",93.028,60.891
67,39.282,"Class1",65.181,26.494,18.689,70,"V",34.542,34.197,"W",72.352,35.245
91,47.317,"Class3",63.359,69.844,93.364,31,"K",23.162,24.279,"O",42.71,79.152
98,39.191,"Class2",45.157,27.683,48.119,79,"I",59.258,98.762,"H",94.339,25.063
70,60.428,"Class1",71.263,37.72,27.15,71,"C",26.891,31.93,"W",100.214,54.816
93,47.219,"Class2",27.873,27.327,57.116,39,"I",57.464,-5.183,"P",90.845,14.416
70,64.276,"Class1",66.87,16.165,33.608,73,"V",30.479,54.151,"X",78.259,55.266
67,48.744,"Class1",64.86,23.001,39.903,65,"S",31.604,54.245,"W",77.373,31.05
71,39.588,"Class3",61.36,70.782,86.169,6,"M",16.995,25.669,"Z",46.879,85.614
70,44.195,"Class3",50.432,69.778,86.017,9,"P",16.23,23.508,"I",48.492,62.476
88,44.268,"Class3",49.647,68.821,100.067,22,"K",16.638,23.897,"Z",46.842,63.034
62,45.953,"Class3",61.007,69.629,90.104,19,"M",24.102,24.243,"O",54.272,72.572
67,38.477,"Class1",77.383,37.555,27.163,71,"S",28.06,45.034,"D",91.558,47.975
31,46.685,"Class3",64.838,69.341,73.697,27,"K",15.672,28.106,"R",49.307,78.111
68,67.269,"Class1",69.354,12.668,36.54,69,"R",27.328,29.04,"C",68.23,39.808
88,41.002,"Class3",59.67,70.162,100.716,13,"M",23.112,20.485,"R",54.419,66.353
64,46.379,"Class3",45.994,69.861,82.364,8,"M",20.288,27.337,"O",46.198,79.525
63,69.297,"Class1",66.278,20.655,10.528,65,"V",NA,6.976,"R",75.35,34.638
67,66.581,"Class1",65.103,37.302,28.843,72,"R",26.636,24.064,"R",90.833,52.483
66,58.508,"Class1",75.539,42.178,15.84,71,"R",34.556,40.976,"X",81.228,35.308
99,62.122,"Class2",35.446,27.056,49.193,75,"C",57.024,47.697,"H",94.206,22.45
66,43.878,"Class3",57.251,69.934,81.405,19,"E",17.964,23.348,"I",51.496,85.102
47,41.765,"Class3",57.444,71.187,84.311,31,"P",22.959,26.65,"Z",40.059,77.296
68,69.836,"Class1",81.514,35.963,22.53,70,"D",33.994,90.888,"R",84.544,40.323
98,21.679,"Class2",50.111,26.798,53.315,63,"D",59.798,48.869,"C",92.046,55.423
69,41.243,"Class3",59.604,71.037,58.871,13,"K",29.049,23.866,"R",46.471,62.182
62,45.574,"Class3",56.076,69.825,89.097,30,"J",16.72,26.391,"I",45.707,67.332
64,45.375,"Class3",49.839,71.32,79.047,21,"M",15.786,22.642,"G",47.224,88.738
86,41.139,"Class3",62.86,70.271,90.879,9,"E",NA,24.965,"R",42.878,84.588
70,49.944,"Class1",93.161,10.136,28.301,72,"R",NA,57.623,"W",NA,43.413
84,45.049,"Class3",50.981,70.454,100.638,21,"M",15.603,22.817,"I",46.03,78.68
69,32.635,"Class1",62.112,36.138,10.202,70,"R",28.191,60.717,"W",80.954,42.425
68,45.39,"Class1",64.404,35.373,28.668,69,"S",29.513,10.44,"W",90.752,40.304
99,86.934,"Class2",33.371,29.087,56.411,79,"I",57.729,0.337,"H",94.459,61.869
64,41.86,"Class1",86.015,51.373,33.189,72,"S",29.586,36.814,"W",82.119,37.284
71,39.659,"Class3",44.166,69.165,68.202,4,"P",26.201,28.56,"R",43.755,71.405
96,19.841,"Class2",41.18,27.217,52.517,77,"X",59.425,34.778,"P",93.557,41.226
90,39.187,"Class2",52.797,30.826,48.395,78,"X",58.469,36.974,"H",92.617,29.835
66,57.221,"Class1",84.972,16.717,44.471,69,"R",31.85,81.955,"C",101.007,51.526
98,53.733,"Class2",35.992,30.528,78.758,81,"X",59.329,39.94,"C",91.01,11.244
90,70.066,"Class2",31.199,29.988,62.449,23,"X",NA,74.131,"H",94.736,66.698
