"Output1","ONF1","UNV2","DLX3","GHE4","DZH5","QAK6","OEL7","CRB8","BSP9","ZJI10"
"Class2",77.041,20.874,28.458,"E",80.946,44.408,38,55.537,60.357,85.764
"Class3",58.187,27.423,86.949,"G",80.495,87.703,38,93.022,45.304,55.447
"Class4",63.412,50.691,NA,"J",75.756,79.2,77,67.164,80.595,51.676
"Class3",77.587,45.459,NA,"X",65.953,81.82,42,91.965,62.191,55.304
"Class4",58.214,70.8,63.334,"U",72.855,79.909,53,67.792,78.12,63.598
"Class1",63.796,52.975,20.361,"O",47.067,0.828,50,72.298,96.471,26.299
"Class2",91.857,25.367,29,"K",79.168,45.987,57,8.382,86.922,73.094
"Class4",64.761,36.396,43.996,"U",67.745,79.522,98,62.988,68.169,54.211
"Class1",61.432,66.827,60.678,"N",65.351,27.465,48,83.729,95.203,29.252
"Class4",50.228,66.979,73.329,"J",71.634,80.1,58,68.204,79.503,70.294
"Class1",62.248,60.125,19.408,"X",60.483,13.13,51,85.498,76.978,67.789
"Class2",41.483,21.313,27.571,"N",72.27,45.106,51,54.35,87.977,72.955
"Class2",96.491,10.274,31.844,"D",71.257,44.785,58,60.625,80.318,80.213
"Class2",87.265,15.649,19.134,"K",68.776,43.568,39,36.062,80.685,85.012
"Class1",61.9,53.339,38.231,"X",59.664,31.91,53,90.463,88.019,39.21
"Class1",63.626,70.712,14.418,"D",66.951,14.857,55,87.965,86.055,-20.812
"Class5",59.904,31.86,73.451,"I",54.267,68.666,37,37.906,49.199,50.385
"Class4",76.843,9.036,34.769,"J",79.103,79.949,78,64.052,78.609,67.127
"Class1",67.298,58.943,43.304,"D",71.392,35.887,47,77.742,86.4,64.135
"Class3",22.568,36.122,81.149,NA,78.016,80.537,39,93.97,52.253,59.129
"Class5",37.105,68.446,46.74,"D",-1.86,76.105,53,66.441,30.932,38.253
"Class4",39.072,19.079,73.472,"I",77.673,79.429,86,65.7,84.802,23.59
"Class4",53.574,55.412,59.407,"U",77.573,79.292,66,61.201,74.926,45.406
"Class1",65.378,53.302,18.498,"D",63.115,38.7,54,85.84,80.537,74.659
"Class4",31.049,44.288,56.648,"J",72.92,79.556,96,66.805,75.3,65.534
"Class4",31.06,70.526,42.814,"K",70.407,79.106,53,59.491,72.518,22.839
"Class5",29.017,28.597,80.097,"I",34.403,56.488,48,48.943,38.656,39.935
"Class1",65.853,41.975,17.715,"N",56.509,27.543,51,71.068,71.542,60.729
"Class3",28.636,44.627,62.945,"G",85.126,76.224,45,92.189,64.852,76.093
"Class3",9.012,30.16,61.353,"T",77.22,83.04,42,90.458,66.135,62.897
"Class4",54.832,21.392,68.365,"U",69.644,79.588,76,62.042,75.391,34.376
"Class1",63.671,54.452,23.057,"K",72.164,30.907,50,85.867,72.02,37.987
"Class4",41.518,11.853,47.13,"K",73.667,79.226,54,66.194,94.02,18.149
"Class3",15.119,9.09,53.678,"X",82.415,83.586,46,91.686,95.37,48.592
"Class4",44.769,43.309,68.144,"J",75.377,79.6,88,66.725,87.332,34.671
"Class3",21.043,51.536,62.681,"X",69.961,88.001,39,96.257,44.736,105.764
"Class5",53.921,52.635,63.116,"X",99.491,67.87,57,47.314,27.754,39.132
"Class5",25.346,18.827,46.364,"I",61.863,105.595,42,74.24,3.34,36.602
"Class4",70.237,33.06,36.879,"U",77.476,79.59,53,63.022,68.112,51.343
"Class3",65.423,15.775,61.406,"H",77.663,81.51,45,95.279,48.888,37.938
"Class1",67.779,44.829,40.09,"D",75.197,20.271,51,85.478,80.036,74.836
"Class4",65.206,29.313,59.495,NA,75.879,79.644,71,64.803,92.009,33.571
"Class3",61.653,22.875,56.591,"T",85.837,84.164,38,85.669,63.53,82.251
"Class4",38.743,17.537,56.37,"U",76.371,79.199,72,70.699,76.148,14.401
"Class5",30.633,81.088,65.595,"N",66.102,60.656,39,51.796,50.645,52.014
"Class4",61.14,59.946,35.077,"E",74.344,79.754,99,63.166,79.627,12.849
"Class5",47.876,28.13,71.609,"N",31.919,42.508,45,55.658,12.11,60.105
"Class5",44.983,39.942,82.46,"M",47.16,89.146,50,88.617,21.809,35.705
"Class1",67.596,37.619,48.054,"X",62.976,14.702,54,77.422,94.003,52.372
"Class4",31.18,26.119,44.413,"K",70.967,79.338,96,67.881,78.704,65.197
"Class1",64.863,60.281,10.529,"N",73.166,30.354,50,88.026,83.786,0.753
"Class5",15.909,88.616,79.638,"D",46.727,78.807,55,79.861,7.628,69.483
"Class1",61.253,33.648,24.744,"D",49.636,28.942,51,86.472,86.222,33.424
"Class3",47.932,46.577,50.079,"F",86.815,82.628,45,93.513,56.566,58.202
"Class3",74.443,25.281,92.845,"H",80.56,78.745,44,91.694,67.391,50.382
"Class4",48.483,48.167,46.078,"E",72.759,79.599,60,67.827,79.322,33.725
"Class1",64.065,37.393,17.05,"O",64.425,29.683,48,81.236,82.29,77.404
"Class4",52.162,71.354,41.612,"I",71.747,79.932,63,66.485,73.293,36.534
"Class1",60.773,67.971,44.199,"X",75.234,40.326,56,83.273,85.584,58.267
"Class4",62.923,43.496,52.362,"J",74.434,80.222,55,60.963,87.653,64.505
"Class3",35.329,16.205,53.687,"X",75.19,81.781,41,93.435,92.491,33.674
"Class4",68.86,24.821,62.079,"K",73.49,79.091,56,67.191,79.322,12.172
"Class4",33.381,65.21,70.444,"I",74.804,79.074,75,65.548,90.819,68.124
"Class2",72.784,10.282,27.587,"E",76.14,45.511,51,35.088,80.549,99.551
"Class2",87.057,14.935,31.163,"Z",77.174,45.028,60,32.241,61.027,76.431
"Class4",67.077,79.648,58.669,"E",77.843,78.836,58,67.208,73.823,48.205
"Class3",18.602,17.646,68.536,"X",76.917,84.105,50,97.583,61.1,36.406
"Class1",65.443,34.203,29.263,"N",56.03,15.483,49,79.447,96.049,78.224
"Class4",75.544,17.184,30.688,"E",72.246,79.542,93,65.759,83.897,49.812
"Class2",87.965,24.459,18.706,NA,77.733,43.14,72,50.509,78.074,81.416
"Class1",63.006,46.576,17.565,"K",67.902,23.998,57,90.189,92.734,19.016
"Class4",64.199,15.822,NA,"U",67.417,79.728,83,63.745,77.55,28.591
"Class5",14.883,29.586,46.99,"X",67.29,54.795,23,72.209,48.783,33.982
"Class5",12.589,91.333,66.046,"N",119.23,61.317,52,102.835,16.461,70.22
"Class1",67.786,56.957,33.716,"D",64.851,19.858,57,82.63,78.324,27.5
"Class1",60.651,46.205,38.275,"K",65.15,42,54,84.995,80.776,47.77
"Class3",26.572,25.018,55.237,"G",74.012,79.901,42,89.566,84.806,84.348
"Class1",65.259,47.994,51.77,"D",75.764,28.203,49,81.398,93.983,38.258
"Class1",61.749,56.326,40.213,"O",68.566,13.647,48,84.131,93.723,39.384
"Class4",58.969,6.025,68.464,"K",72.346,79.747,87,65.156,78.076,59.063
"Class1",68.959,52.028,53.477,"O",61.185,11.063,55,90.034,76.483,24.406
"Class1",60.933,50.385,NA,"N",61.431,-2.556,54,96.473,94.79,-21.282
"Class5",44.01,40.496,45.485,"I",87.209,70.293,47,50.755,49.49,57.667
"Class3",19.763,47.263,93.636,NA,87.645,83.751,38,92.802,72.674,83.209
"Class1",65.388,57.548,23.113,"X",58.875,32.517,56,74.125,91.982,61.428
"Class1",64.475,45.866,31.47,"X",59.148,30.802,48,72.947,94.708,47.735
"Class5",36.757,73.367,37.352,"N",49.609,75.515,52,49.45,46.408,54.426
"Class3",44.328,12.78,53.334,"F",88.196,87.659,47,92.391,95.663,83.275
"Class5",50.594,42.829,78.577,"I",54.616,58.885,31,55.479,6.545,74.166
"Class4",35.639,79.923,64.795,"I",78.203,79.078,68,69.623,87.72,27.113
"Class5",58.012,39.203,48.578,"N",50.611,87.134,37,66.447,37.216,64.205
"Class4",35.417,68.555,58.223,"K",72.634,79.235,71,69.415,88.301,85.346
"Class2",54.022,24.422,29.504,"Z",75.603,47.316,77,43.883,90.751,77.165
"Class4",60.224,14.753,37.298,"E",75.548,79.562,69,71.998,69.241,53.31
"Class1",68.787,68.704,26.253,"X",52.935,28.191,51,78.53,90.506,77.324
"Class5",40.566,48.296,29.836,"X",100.743,74.036,45,92.805,6.023,17.171
"Class2",49.041,23.78,23.751,"K",73.64,45.588,63,46.149,67.036,76.092
"Class1",60.693,67.455,45.273,"D",64.163,13.012,57,86.235,89.94,41.75
"Class4",73.064,59.722,46.186,"E",77.417,79.927,95,66.086,88.426,9.519
"Class3",26.174,56.365,64.307,"G",76.78,82.755,40,89.158,46.366,70.104
"Class3",40.647,10.961,57.559,"X",83.097,83.407,42,91.574,65.005,64.115
"Class4",46.33,40.969,49.101,"E",75.491,79.084,72,67.44,80.011,37.302
"Class1",63.583,36.131,21.721,"K",76.513,13.882,49,82.64,72.225,12.473
"Class3",77.102,42.772,72.387,NA,84.726,81.149,50,93.417,77.11,67.022
"Class5",34.144,32.865,47.898,"N",96.314,70.213,46,81.517,27.672,36.211
"Class2",45.064,11.366,28.554,"D",74.939,45.16,48,67.069,97.725,90.966
"Class3",21.042,21.935,90.134,"X",73.758,82.206,47,91.39,78.682,74.748
"Class4",53.738,64.498,62.086,"J",73.984,78.909,94,63.12,87.085,37.107
"Class4",72.792,16.164,57.847,"J",71.163,79.797,56,63.763,94.433,34.925
"Class5",55.279,74.828,31.647,"M",53.226,63.094,49,75.734,7.014,52.875
"Class1",64.559,52.156,34.036,"X",66.991,26.075,55,91.121,77.997,8.628
"Class2",61.912,17.261,25.29,"E",78.849,47.594,46,61.768,77.125,77.115
"Class4",51.806,16.951,51.906,"U",71.304,79.585,85,67.945,83.741,63.628
"Class2",44.382,10.243,19.467,"Z",75.894,45.649,72,9.714,81.961,84.445
"Class4",53.065,61.898,30.502,"U",72.178,79.236,54,66.92,73.71,16.197
"Class1",61.375,53.471,58.771,NA,69.98,35.889,47,87.188,74.571,51.343
"Class2",59.202,10.775,26.722,"K",73.394,47.005,74,25.062,71.154,67.451
"Class5",39.707,71.465,42.088,NA,54.206,76.034,46,64.245,40.108,46.003
"Class4",39.553,72.082,43.991,"E",68.968,79.384,57,66.777,77.366,46.128
"Class3",16.835,50.45,57.724,"X",80.391,81.284,46,91.375,80.765,69.279
"Class5",24.857,23.784,31.955,"I",23.45,57.391,45,103.167,47.385,41.276
"Class2",57.893,21.762,23.786,"D",73.514,46.702,59,56.1,82.762,82.448
"Class1",64.484,35.157,38.418,"N",67.099,17.715,53,81.606,94.988,13.096
"Class5",38.634,87.773,84.531,"X",46.521,72.341,57,75.898,47.117,50.86
"Class3",8.5,38.992,70.198,"H",78.333,83.375,51,95.212,88.499,45.802
"Class1",62.694,43.559,32.011,"O",74.541,37.578,53,80.955,74.539,48.64
"Class5",31.524,22.821,60.319,"D",75.233,74.136,56,87.792,25.891,48.464
"Class4",45.575,55.661,NA,"E",74.118,79.869,98,62.465,67.004,47.061
"Class3",65.281,33.389,67.7,"T",96.156,80.913,49,93.683,91.267,79.303
"Class2",44.785,10.459,17.811,"D",78.418,45.143,68,38.891,64.222,64.742
"Class2",89.175,20.657,26.962,"E",76.364,45.591,54,59.059,63.436,74.55
"Class4",42.674,8.083,44.403,"J",71.945,79.985,57,68.053,90.145,43.683
"Class3",24.075,56.202,75.195,"T",75.618,83.095,45,96.298,78.954,70.076
"Class3",10.531,36.312,51.194,"H",95.493,79.565,42,89.699,71.783,78.775
"Class3",49.708,29.441,52.167,"G",82.835,78.865,41,96.881,44.569,52.791
"Class1",67.72,31.809,37.194,NA,79.095,25.724,47,85.762,73.788,14.1
"Class4",34.17,21.253,51.855,"E",74.24,79.286,82,66.77,81.365,33.199
"Class5",56.319,42.874,85.642,"N",71.239,50.995,31,39.022,30.67,46.992
"Class2",90.691,14.056,24.733,"N",75.514,46.962,45,53.197,78.381,79.188
"Class4",69.515,39.045,43.862,"E",77.633,79.464,68,63.777,89.62,32.399
"Class4",51.508,12.504,76.059,NA,75.513,79.289,84,60.351,67.014,29.402
"Class4",59.772,63.955,62.698,"E",72.505,79.329,60,61.396,73.438,60.612
"Class5",52.14,49.489,64.478,"M",45.55,55.577,41,59.365,36.791,23.967
"Class2",87.545,14.897,19.689,"Z",78.692,43.783,74,67.078,61.348,84.424
"Class1",60.469,36.145,41.285,"D",59.71,25.229,49,79.838,87.635,20.9
"Class5",52.013,83.207,43.559,"X",79.101,65.611,49,65.414,19.552,66.632
"Class4",57.92,37.508,50.236,"I",71.491,79.491,97,68.743,81.175,63.417
"Class1",68.162,69.748,12.13,"K",65.896,30.343,56,89.917,81.215,55.471
"Class1",63.008,73.352,20.428,"N",72.056,26.019,56,90.902,93.356,37.144
"Class3",52.84,45.828,57.802,"G",74.677,84.388,47,95.076,62.511,56.145
"Class3",48.689,12.541,52.284,"G",74.481,80.661,50,96.562,52.132,70.239
"Class4",80.506,57.214,54.159,"E",70.684,79.526,84,68.865,71.559,42.176
"Class5",32.425,68.419,43.188,"N",32.749,58.096,41,44.22,27.699,65.593
"Class3",36.138,46.244,53.172,"G",76.963,83.383,38,94.017,62.695,96.29
"Class3",79.962,33.712,66.101,"H",83.887,82.467,47,94.583,71.132,79.433
"Class1",66.322,56.318,58.519,"N",57.945,19.373,56,81.593,90.145,7.273
"Class3",77.918,57.254,55.375,"H",81.589,83.022,47,89.955,74.806,83.747
"Class4",68.916,19.788,NA,"K",79.733,79.241,85,66.838,82.965,44.527
"Class3",63.168,19.813,71.529,"H",69.244,83.583,47,93.975,59.904,43.903
"Class5",33.802,40.321,36.056,"I",32.283,77.926,49,101.02,4.05,44.156
"Class2",82.72,22.398,31.095,"K",77.176,41.173,63,69.409,82.188,87.995
"Class4",66.937,65.064,75.098,"U",71.548,79.546,94,68.135,70.733,36.18
"Class3",76.732,31.926,85.033,"T",84.693,77.86,44,93.902,94.308,43.573
"Class3",55.689,37.196,63.514,"G",76.071,85.037,48,92.795,93.384,86.059
"Class1",62.016,43.839,13.054,"X",73.783,39.856,51,88.828,85.996,82.755
"Class1",65.022,63.719,12.89,"K",62.501,8.07,49,86.274,72.831,29.558
"Class4",72,34.119,76.889,"K",71.672,79.757,97,69.571,87.552,40.273
"Class1",68.334,36.625,10.97,"D",58.367,5.379,49,85.835,85.286,60.773
"Class1",64.296,64.76,30.871,"N",69.594,29.744,57,78.658,85.007,-19.883
"Class5",23.161,61.427,73.052,"M",17.966,70.435,34,77.357,34.151,43.91
"Class3",30.859,54.258,66.596,"H",72.901,83.611,43,93.18,62.352,34.332
"Class3",62.29,16.192,75.251,"G",77.071,82.81,39,92.127,63.072,61.551
"Class3",80.928,54.573,64.692,"H",77.416,83.492,42,93.261,89.82,65.602
"Class4",50.294,21.719,51.584,"U",73.317,79.186,95,63.461,94.597,68.648
"Class1",66.634,54.081,43.768,"D",72.931,26.993,60,78.724,80.832,51.996
"Class2",81.73,22.362,30.081,"E",81.56,44.497,41,46.84,59.231,69.918
"Class1",60.488,41.719,60.834,"X",67.552,29.567,51,86.362,86.763,16.978
"Class2",52.223,10.98,20.761,"N",74.885,44.344,43,58.583,72.929,73.901
"Class3",13.514,19.73,66.963,"F",74.936,86.804,39,91.12,84.321,68.146
"Class3",40.133,33.762,84.733,"T",77.409,79.002,38,92.515,76.119,80.195
"Class3",68.209,18.036,81.911,NA,75.479,81.014,46,93.332,86.584,49.286
"Class1",63.619,66.729,60.404,"X",66.876,29.332,49,86.337,84.457,17.322
"Class5",59.655,29.477,27.105,"M",-10.678,71.298,42,63.429,22.935,52.727
"Class5",14.682,23.601,31.033,"N",54.226,63.767,41,64.974,10.653,66.623
"Class2",60.655,16.242,19.884,"N",77.556,44.512,59,42.822,79.618,78.763
"Class2",75.189,14.214,25.411,"K",77.029,46.598,56,22.633,90.335,67.219
"Class1",61.827,67.731,32.386,"K",65.856,35.39,50,80.95,94.799,45.198
"Class5",47.919,20.726,49.598,"I",54.655,80.424,43,58.61,1.476,58.912
"Class3",26.518,41.142,49.41,"G",72.838,82.317,47,92.007,83.333,40.042
"Class4",35.57,50.959,70.975,"K",72.171,79.153,72,65.143,73.379,46.144
"Class1",61.707,56.217,38.076,"D",62.629,35.194,56,87.794,82.586,85.553
"Class3",11.499,19.449,70.267,"T",73.018,77.736,48,92.3,77.657,90.381
"Class5",22.054,23.641,35.101,"N",33.644,69.931,56,102.535,23.391,58.378
"Class5",57.949,30.378,77.723,"N",52.093,69.056,32,75.816,11.448,63.854
"Class4",74.233,20.807,43.952,"J",73.614,79.423,82,66.385,85.606,60.751
"Class1",64.678,46.56,57.66,"K",63.301,27.396,50,82.147,79.766,30.199
"Class5",55.512,86.739,48.829,"D",41.814,83.538,29,54.916,27.908,35.066
"Class4",50.278,28.087,49.669,"U",71.836,79.451,66,66.798,69.152,74.457
"Class5",17.525,94.744,79.379,"X",-22.458,69.739,34,54.312,36.223,76.925
"Class1",62.694,55.79,38.439,"D",60.292,13.47,47,83.823,86.018,18.173
"Class4",74.255,73.66,63.378,"E",79.328,79.321,78,63.545,96.044,69.545
"Class5",29.337,33.988,NA,"M",-68.516,73.407,52,71.088,32.547,54.18
"Class5",60.685,53.393,65.629,"D",19.831,76.333,44,67.146,31.567,47.144
"Class2",83.22,20.132,22.461,"N",77.235,46.303,85,59.879,74.646,98.251
"Class3",75.82,47.193,89.249,"F",61.074,81.626,46,93.322,67.84,34.023
"Class2",67.688,17.084,17.544,"N",77.035,43.681,76,74.028,91.841,94.331
"Class2",78.255,11.363,31.537,"D",74.382,43.023,54,67.239,68.269,78.096
"Class4",73.146,4.691,75.725,"K",71.209,79.316,72,64.918,80.559,14.999
"Class4",51.998,43.914,58.804,"J",77.511,79.64,69,66.334,89.832,51.347
"Class3",81.721,30.745,62.221,"G",79.055,82.493,39,96.296,78.58,97.315
"Class5",40.151,55.787,28.733,"I",108.021,79.456,25,35.962,3.986,50.421
"Class3",57.213,37.097,51.734,"H",81.871,81.289,47,95.341,73.122,88.132
"Class4",39.242,13.63,33.175,"J",73.906,79.808,98,67.236,71.954,26.201
"Class2",52.948,10.076,25.226,"N",74.432,45.754,57,46.416,78.153,67.711
"Class1",64.666,66.324,54.716,"K",59.327,26.864,49,89.334,94.977,54.384
"Class4",62.433,23.888,64.398,"K",73.807,79.451,70,61.206,91.127,38.646
"Class4",61.785,66.238,30.206,"E",74.902,79.593,55,64.713,88.902,34.026
"Class2",77.34,15.631,21.704,"N",79.466,44.239,77,45.751,96.381,75.175
"Class2",46.337,18.689,30.267,"N",73.869,42.741,56,33.946,67.852,72.068
"Class1",66.205,72.617,48.52,NA,71.013,23.162,58,77.947,81.529,48.552
"Class4",34.316,65.581,48.477,"E",79.863,79.386,81,67.496,82.215,24.279
"Class2",40.297,15.463,31.397,"N",74.442,44.995,85,57.774,76.104,76.688
"Class3",76.356,8.177,72.576,"X",92.266,82.262,41,96.714,76.938,69.522
"Class3",13.985,50.509,NA,"F",79.13,81.944,48,96.231,70.789,73.727
"Class5",24.916,41.594,86.041,"N",-7.155,66.499,57,79.217,46.253,41.558
"Class2",80.539,10.994,27.933,"K",76.042,46.396,49,51.93,76.778,83.636
"Class2",74.406,13.029,29.818,"K",74.179,43.53,44,77.734,91.337,78.56
"Class3",21.213,12.158,56.524,NA,81.051,79.89,50,86.762,51.084,63.994
"Class4",64.142,16.81,57.413,"E",72.537,79.808,85,62.106,96.06,38.671
"Class5",43.918,85.24,87.621,"I",41.044,81.547,23,95.363,51.589,36.764
"Class3",11.504,48.867,89.8,"F",88.45,82.263,42,95.197,45.125,72.512
"Class3",8.623,39.706,91.729,"T",73.096,76.644,38,94.65,45.943,78.222
"Class4",60.713,23.899,34.793,"I",74.338,79.29,77,71.692,95.167,73.901
