"JBT1","RNA2","XJB3","UAS4","YOU5","Output15","EZQ6","RPB7","WOI8","FZT9"
84,14.269,78.552,69.65,51.648,"Class2","K",48.288,37.473,51.319
63,0.421,81.606,72.18,91.176,"Class1","F",38.687,47.259,69.979
30,29.965,19.716,67.019,75.038,"Class5","W",82.127,66.522,23.718
85,NA,50.633,64.036,72.309,"Class4","H",40.557,37.639,12.644
57,11.083,66.53,69.631,85.694,"Class1","F",77.467,55.52,64.25
28,NA,49.803,63.699,73.669,"Class4","C",43.006,58.642,12.905
62,28,53.19,62.947,71.509,"Class4","X",43.008,70.578,12.067
54,18.6,50.882,47.431,84.859,"Class1","T",48.474,81.339,64.5
56,36.082,21.599,43.243,104.924,"Class1","F",22.422,52.482,65.751
75,14.536,69.123,61.893,32.842,"Class2","H",46.876,3.205,51.556
61,30.369,97.532,67.1,102.171,"Class1","K",32.83,72.058,65.728
71,64.627,57.869,63.715,73.378,"Class4","S",62.818,40.825,12.968
54,12.842,35.148,69.336,92.446,"Class1","X",62.959,65.616,67.213
73,60.519,52.389,85.288,63.185,"Class5","S",41.135,66.846,25.208
63,36.087,51.569,62.637,72.859,"Class4","S",41.734,27.591,12.304
66,21.853,74.788,84.313,44.489,"Class2","K",50.23,27.592,51.697
35,42.586,5.064,96.304,68.795,"Class5","P",32.075,66.432,38.212
56,20.127,NA,24.251,82.383,"Class1","F",31.878,60.942,65.296
42,62.536,36.377,89.287,59.396,"Class5","Z",61.576,66.767,27.686
17,NA,49.961,83.568,55.748,"Class3","S",68.263,9.715,46.702
55,47.24,42.766,57.155,72.365,"Class4","X",61.901,82.723,12.8
58,42.872,43.564,32.479,79.102,"Class1","U",50.02,82.228,67.807
30,21.928,NA,80.727,91.881,"Class2","T",55.293,29.04,51.664
11,73.249,47.89,87.175,70.298,"Class3","I",70.907,7.261,47.283
56,35.514,35.067,58.25,84.2,"Class1","X",77.099,58.077,69.715
63,63.833,55.844,58.995,73.01,"Class4","C",47.892,76.117,12.7
72,20.842,66.395,58.97,61.334,"Class2","K",59.723,3.158,51.194
38,20.637,70.549,89.918,62.212,"Class2","Y",54.018,5.86,51.325
79,47.785,11.671,89.562,56.542,"Class5","P",43.864,66.22,42.5
43,68.24,67.675,58.255,73.059,"Class4","C",47.775,76.015,12.844
63,65.41,49.269,56.679,72.43,"Class4","I",44.293,51.387,12.848
56,18.395,38.043,84.043,81.905,"Class1","K",41.258,17.288,67.078
50,102.691,46.7,85.824,87.276,"Class3","T",60.644,10.398,47.355
44,37.526,50.326,61.704,74.951,"Class4","C",36.311,43.637,12.755
79,20.292,67.915,48.915,16.013,"Class2","Y",43.402,11.67,51.673
54,10.349,78.391,58.115,83.5,"Class1","T",53.035,43.43,67.805
19,71.699,47.352,87.142,68.675,"Class3","T",69.992,15.91,46.426
58,28.008,48.324,56.956,82.327,"Class1","K",43.048,62.489,68.424
62,NA,53.683,43.908,81.628,"Class1","F",66.409,67.745,67.996
66,13.958,69.295,21.213,16.428,"Class2","H",44.337,28.574,51.015
16,33.115,40.229,88.861,35.102,"Class3","S",76.044,27.905,47.273
10,60.021,45.186,84.372,37.532,"Class3","Q",68.891,5.179,46.654
75,4.779,62.222,60.772,35.355,"Class2","T",52.968,31.572,51.895
54,25.433,49.778,72.627,96.133,"Class1","U",63.435,18.768,67.896
66,9.538,53.884,59.653,69.949,"Class4","I",63.545,51.483,12.805
40,9.468,69.567,90.976,63.898,"Class2","T",61.791,22.082,51.729
36,11.299,59.093,61.475,74.883,"Class4","H",47.651,45.94,12.428
37,3.932,66.949,63.864,93.247,"Class2","K",53.789,36.031,51.025
74,66.367,54.874,61.761,73.211,"Class4","X",63.863,37.017,12.28
66,3.172,74.6,91.417,72.057,"Class2","X",50.937,3.487,51.041
70,25.017,20.486,84.881,56.006,"Class5","W",59.011,66.921,31.525
47,81.456,34.355,64.053,71.508,"Class4","H",44.853,34.303,12.703
71,28.519,33.567,87.304,67.204,"Class5","Q",62.52,66.969,42.055
14,74.733,45.21,81.052,48.409,"Class3","Q",55.083,16.075,47.184
62,21.012,50.595,36.451,86.652,"Class1","X",98.486,35.647,66.216
31,33.897,12.989,83.235,59.088,"Class5","S",55.064,66.716,32.222
38,33.639,15.637,81.122,69.674,"Class5","S",60.739,66.497,34.564
60,39.138,57.898,78.801,60.129,"Class5","S",31.315,66.453,39.554
47,67.885,50.581,85.255,102.677,"Class3","Q",66.702,21.658,46.815
69,23.262,25,95.293,64.669,"Class5","Q",71.747,66.802,22.091
55,16.365,74.108,85.58,35.489,"Class2","T",54.908,34.996,51.935
71,35.347,15.711,90.608,68.479,"Class5","W",59.751,66.138,33.754
30,55.56,43.404,61.92,71.87,"Class4","C",46.036,68.362,12.803
37,0.069,71.051,21.189,68.268,"Class2","X",44.871,15.203,51.674
37,61.678,38.844,61.718,75.824,"Class4","C",71.729,63.084,12.129
85,80.766,53.75,63.796,73.861,"Class4","S",37.818,20.206,12.349
68,60.629,25.051,79.417,62.073,"Class5","W",44.744,66.87,41.872
40,64.952,45.621,79.036,69.271,"Class3","T",78.762,28.059,46.406
32,69.258,42.714,79.712,68.664,"Class3","Q",71.507,18.991,47.423
63,17.324,61.347,83.586,61.011,"Class5","W",62.371,66.564,24.363
57,19.44,58.49,26.14,84.604,"Class1","X",27.451,41.516,68.759
52,18.616,72.093,67.607,20.191,"Class2","H",59.11,24.281,51.934
47,NA,5.337,77.785,78.15,"Class5","Z",46.781,66.729,32.959
60,35.469,60.573,39.231,86.305,"Class1","X",46.304,38.984,63.464
60,NA,40.209,76.721,88.245,"Class1","X",70.801,54.566,66.341
1,63.473,46.447,79.982,97.786,"Class3","N",78.755,14.213,47.428
8,64.017,NA,79.245,98.196,"Class3","N",62.138,16.096,46.046
82,4.339,44.586,64.42,70.327,"Class4","S",75.49,87.585,12.44
46,35.331,44.942,89.533,46.319,"Class3","Q",73.119,24.831,46.02
36,38.819,42.072,86.577,22.75,"Class3","I",74.52,4.374,47.779
82,46.636,12.349,77.2,55.506,"Class5","W",63.393,66.4,22.108
61,16.101,53.893,39.856,96.339,"Class1","X",75.173,17.439,68.457
64,16.282,76.241,79.072,72.514,"Class2","Y",49.65,34.085,51.278
30,62.712,47.712,89.492,102.364,"Class3","Q",64.159,2.502,47.084
84,22.48,74.581,28.226,4.662,"Class2","Y",52.076,31.178,51.439
66,6.233,70.932,31.452,89.857,"Class2","T",52.089,9.171,51.685
15,72.796,46.2,82.477,67.698,"Class3","S",77.139,14.326,47.217
51,27.833,19.898,93.284,65.961,"Class5","W",52.153,66.476,39.367
78,51.178,-1.128,95.689,61.702,"Class5","W",56.817,66.542,39.923
57,34.537,NA,95.685,92.824,"Class1","K",78.299,21.445,67.177
8,57.725,44.343,79.951,76.372,"Class3","S",74.81,12.143,47.302
39,78.198,60.898,62.602,73.38,"Class4","I",50.397,58.618,12.877
46,NA,52.397,61.665,74.453,"Class4","I",55.916,74.642,12.451
51,NA,19.1,65.431,65.644,"Class5","Z",47.973,66.023,29.051
55,43.805,28.954,88.364,74.88,"Class5","Z",39.342,66.667,27.806
38,NA,66.794,29.514,31.411,"Class2","T",50.693,44.509,51.3
23,NA,48.49,82.736,65,"Class3","I",68.618,25.882,47.876
32,73.041,45.095,87.265,48.277,"Class3","Q",61.733,3.033,47.706
59,24.467,42.016,52.537,79.71,"Class1","T",88.233,79.513,66.1
23,73.64,44.747,83.319,10.382,"Class3","I",73.142,0.843,46.304
64,25.421,25.15,81.459,75.248,"Class5","S",55.767,66.57,41.069
72,10.14,71.163,68.155,68.093,"Class2","X",52.987,29.863,51.355
56,33.244,29.428,61.092,86.65,"Class1","X",59.342,33.522,63.335
59,36.556,65.796,29.91,93.532,"Class1","U",78.298,87.067,64.863
63,51.697,17.116,76.397,77.195,"Class5","Z",48.518,66.505,30.743
64,28.159,74.974,83.9,8.746,"Class2","Y",57.272,30.77,51.612
33,87.449,50.1,81.867,28.133,"Class3","T",73.32,21.326,46.91
63,19.841,28.482,65.635,80.344,"Class1","K",34.919,88.375,63.596
18,36.006,42.612,80.723,27.856,"Class3","N",61.144,5.442,46.49
63,-2.777,63.636,39.2,13.533,"Class2","H",50.389,5.653,51.369
16,75.544,48.26,63.312,69.989,"Class4","I",29.174,17.153,12.405
74,9.292,69.795,61.361,77.749,"Class2","X",57.5,42.142,51.084
56,14.228,69.45,29.436,2.726,"Class2","H",50.62,35.755,51.47
89,50.004,48.581,58.926,76.063,"Class4","H",63.699,81.984,12.195
61,21.208,54.438,72.915,86.416,"Class1","X",76.366,41.954,68.199
63,22.975,81.213,34.477,94.719,"Class1","K",48.041,56.99,63.797
84,6.825,59.093,61.684,71.262,"Class4","X",40.498,82.755,12.555
41,43.423,29.6,92.253,74.884,"Class5","S",58.552,66.137,32.916
46,3.895,65.458,68.578,21.745,"Class2","K",45.542,24.799,51.025
33,7.187,69.621,66.128,16.488,"Class2","H",50.947,32.866,51.676
74,14.594,27.522,85.316,66.232,"Class5","S",60.621,66.536,30.645
55,32.404,41.84,20.297,84.641,"Class1","U",49.08,78.946,68.08
62,16.172,23.565,86.263,68.742,"Class5","Z",33.81,66.906,30.365
76,11.52,67.572,93.666,33.32,"Class2","X",52.743,42.335,51.342
62,33.219,32.727,60.855,100.371,"Class1","T",71.504,67.853,63.758
86,NA,41.431,60.368,71.941,"Class4","I",57.465,79.188,12.747
67,16.019,75.706,18.398,32.316,"Class2","T",48.643,44.356,51.864
70,69.431,56.698,59.824,75.099,"Class4","I",54.786,39.158,12.931
80,20.898,75.217,33.675,49.019,"Class2","X",52.992,39.535,51.164
60,37.099,1.384,70.8,84.635,"Class1","F",69.816,23.858,68.593
39,25.383,30.488,84.876,74.5,"Class5","W",28.334,66.884,23.605
54,6.2,72.134,49.025,33.451,"Class2","H",51.778,22.785,51.184
82,NA,39.199,87.303,65.413,"Class5","Z",47.628,66.743,31.188
72,19.372,76.551,85.554,12.117,"Class2","K",52.079,43.858,51.092
28,102.7,53.528,57.444,72.568,"Class4","C",14.174,73.128,12.052
51,2.272,61.058,61.358,75.343,"Class4","I",53.738,88.227,12.821
61,14.871,31.089,95.624,89.73,"Class1","K",73.864,31.541,66.739
73,27.357,43.398,58.842,73.816,"Class4","C",49.281,49.379,12.578
60,38.795,95.593,25.72,96.897,"Class1","X",52.853,23.508,65.233
13,35.486,49.004,59.376,73.34,"Class4","X",57.08,87.636,12.442
24,84.664,41.133,80.976,34.958,"Class3","N",82.303,29.225,46.332
60,28.389,20.703,42.968,90.133,"Class1","X",83.033,72.058,69.306
52,21.512,51.555,60.64,71.36,"Class4","H",23.896,37.209,12.509
43,15.707,39.945,76.209,68.563,"Class5","P",39.704,66.825,24.66
56,13.025,68.283,63.785,88.64,"Class1","T",60.422,87.825,66.437
69,9.903,70.737,69.845,93.452,"Class2","K",51.238,39.833,51.753
48,61.142,45.368,90.638,22.728,"Class3","S",67.441,20.007,47.211
4,70.617,44.615,84.502,104.076,"Class3","I",59.892,22.2,46.201
60,12.198,54.135,38.152,98.116,"Class1","F",74.068,24.554,63.76
55,10.491,70.191,52.646,56.619,"Class2","K",55.93,18.233,51.764
78,26.773,70.698,70.731,43.496,"Class2","T",48.014,7.531,51.451
58,20.121,43,57.433,109.2,"Class1","T",87.564,52.442,67.449
85,64.715,52.801,62.377,74.394,"Class4","X",52.384,22.995,12.825
74,20.956,78.951,79.921,28.536,"Class2","Y",52.165,35.54,51.244
64,14.865,61.939,31.705,48.534,"Class2","Y",44.57,12.183,51.489
28,65.282,51.09,79.826,25.026,"Class3","Q",58.508,10.087,46.509
54,-9.007,42.202,64.078,71.759,"Class4","C",17.468,81.162,12.808
30,14.375,64.877,44.275,68.46,"Class2","X",58.848,47.336,51.659
90,56.553,48.081,64.416,69.603,"Class4","C",52.282,70.642,12.452
21,45.98,42.573,86.478,54.616,"Class3","Q",63.657,3.567,46.733
6,64.026,45.852,79.559,41.698,"Class3","T",77.603,25.838,46.488
40,71.063,43.348,88.223,77.239,"Class3","T",77.139,29.125,46.361
53,28.079,24.9,72.743,92.065,"Class1","U",47.35,60.681,68.389
25,69.215,46.887,90.836,79.163,"Class3","S",71.162,25.457,46.018
4,61.632,48.233,84.153,0.817,"Class3","T",59.723,10.767,47.353
51,8.765,15.958,78.99,67.385,"Class5","S",41.798,66.03,40.93
58,31.768,55.021,56.499,87.434,"Class1","K",90.289,78.454,68.543
48,58.459,51.545,60.333,73.412,"Class4","C",23.483,91.563,12.541
56,21.354,20.934,71.197,88.91,"Class1","T",63.467,21.136,63.99
57,25.747,26.757,55.611,65.637,"Class1","T",64.208,44.399,66.269
42,16.458,60.727,57.862,72.745,"Class4","X",41.701,73.975,12.832
77,48.312,19.411,78.843,66.866,"Class5","S",42.986,66.484,41.403
70,10.023,69.74,88.009,88.659,"Class2","X",51.412,34.434,51.876
60,20.919,17.829,79.383,70.585,"Class5","S",35.821,66.555,42.975
44,86.99,44.904,90.886,95.387,"Class3","N",76.063,17.501,47.756
74,NA,77.591,49.684,37.188,"Class2","X",50.695,40.916,51.118
76,13.507,NA,56.871,12.272,"Class2","K",48.02,48.076,51.323
10,62.249,NA,80.294,61.608,"Class3","I",74.589,21.312,46.443
60,32.859,10.013,97.277,62.785,"Class5","S",65.049,66.048,37.721
22,81.818,42.363,88.74,39.967,"Class3","I",69.155,31.038,47.347
21,27.621,41.005,62.462,73.022,"Class4","S",21.774,49.01,12.786
53,49.034,50.107,64.007,69.041,"Class4","I",42.17,22.498,12.295
34,17.819,62.364,68.866,77.222,"Class2","K",54.715,33.11,51.474
36,4.479,78.564,81.353,34.962,"Class2","Y",60.496,38.425,51.534
58,39.482,51.014,18.41,89.839,"Class1","X",56.532,44.084,65.029
54,26.855,74.281,55.739,80.2,"Class1","X",71.816,39.607,69.763
33,47.142,6.708,65.639,71.253,"Class5","P",62.956,66.384,41.31
52,0.46,60.625,59.683,70.069,"Class4","H",28.016,47.891,12.823
55,-21.362,46.066,60.915,71.975,"Class4","H",46.169,62.932,12.97
42,21.718,38.136,85.667,67.662,"Class5","P",34.806,66.829,40.013
85,58.538,56.549,59.251,70.863,"Class4","X",25.214,38.341,12.795
29,9.723,82.53,64.183,33.981,"Class2","H",54.166,13.9,51.341
8,73.47,46.102,81.408,46.137,"Class3","N",69.032,27.666,46.606
53,18.129,24.154,20.055,81.032,"Class1","F",39.005,81.3,63.988
53,31.692,79.875,68.636,86.034,"Class1","X",34.128,54.636,65.051
33,-7.222,NA,62.245,71.898,"Class4","X",67.332,42.088,12.387
83,85.946,50.005,63.252,71.082,"Class4","X",51.173,42.258,12.564
28,93.884,48.847,82.052,41.604,"Class3","T",64.388,17.508,46.852
85,13.113,46.644,64.694,72.207,"Class4","C",57.716,36.373,12.538
23,50.768,45.973,90.639,85.199,"Class3","S",76.651,20.423,46.635
58,26.74,74.839,39.439,92.65,"Class1","X",68.919,28.172,68.36
19,22.398,54.389,62.119,73.795,"Class4","X",69.391,60.757,12.582
50,20.557,67.894,83.589,24.113,"Class2","H",49.86,8.56,51.477
27,14.517,72.079,30.173,22.318,"Class2","K",54.951,18.578,51.631
36,71.595,43.17,82.455,43.391,"Class3","Q",66.952,14.035,47.167
3,87.392,44.445,84.008,70.649,"Class3","N",76,26.208,47.759
54,39.763,65.302,50.941,76.394,"Class1","F",45.992,14.218,68.333
55,14.273,75.094,29.432,13.604,"Class2","K",56.611,27.418,51.493
32,10.191,70.518,31.758,43.991,"Class2","H",53.196,35.21,51.226
62,11.267,72.892,79.773,59.997,"Class2","Y",54.397,37.153,51.601
45,23.103,69.131,36.535,81.353,"Class2","T",44.281,27.789,51.807
39,38.173,35.555,98.19,77.11,"Class5","Z",63.717,66.374,31.598
47,79.836,45.341,82.519,117.22,"Class3","I",73.764,11.572,47.629
78,9.754,17.793,82.322,85.974,"Class5","S",61.997,66.186,30.701
18,NA,44.367,86.23,4.013,"Class3","T",68.17,25.371,46.744
22,NA,NA,63.205,72.161,"Class4","H",54.171,85.895,12.813
56,20.506,54.084,75.546,72.265,"Class1","K",39.358,56.611,64.105
31,41.379,45.669,81.449,73.964,"Class3","Q",70.122,25.717,46.463
59,39.431,77.016,83.809,98.739,"Class1","K",102.325,85.843,67.167
34,71.127,47.741,90.778,62.229,"Class3","Q",68.158,26.988,47.363
50,NA,4.924,89.081,72.39,"Class5","Z",36.798,66.009,37.703
52,48.184,37.475,59.023,72.837,"Class4","I",64.881,58.682,12.725
45,54.315,NA,86.81,27.34,"Class3","N",78.866,0.651,47.467
29,60.888,43.966,87.423,60.604,"Class3","Q",71.037,21.381,47.541
19,26.927,54.241,56.344,76.736,"Class4","H",55.3,77.216,12.44
58,13.486,56.74,59.743,80.88,"Class1","U",60.999,76.576,67.9
55,5.119,63.538,44.857,83.222,"Class1","F",74.495,44.25,69.789
41,7.39,72.514,62.046,89.514,"Class2","K",45.305,10.086,51.436
62,11.78,84.051,89.324,87.292,"Class1","U",29.137,50.453,64.66
20,52.058,44.995,88.566,126.341,"Class3","Q",61.747,8.889,46.267
44,35.563,42.074,76.397,82.075,"Class5","W",53.993,66.645,23.507
70,41.902,22.119,69.852,67.581,"Class5","Q",62.297,66.531,23.818
24,64.203,40.923,88.263,-16.8,"Class3","T",69.524,0.695,47.284
81,31.473,25.118,82.182,72.465,"Class5","P",55.001,66.446,25.787
