"EJS1","SLH2","ZUD3","JFS4","WML5","EHM6","IPF7","ZUS8","TKM9","OHJ10","Output21","RYQ11"
24.464,"K",45.676,13,15.42,29.898,58.703,88,18.282,49.835,"Class2",21.843
87.423,"C",86.55,83,72.379,89,30.794,24,59.34,25.246,"Class3",39.717
13.23,"I",65.563,69,38.782,54.427,15.367,77,69.277,77.087,"Class1",66.927
75.041,"Z",97.619,66,61.125,92.809,32.922,17,59.251,95.518,"Class3",40.076
63.426,"T",94.358,74,71.015,64.221,30.249,5,62.062,47.498,"Class3",42.178
15.628,"X",65.421,61,78.098,46.933,15.359,74,67.252,46.506,"Class1",69.742
23.601,"K",53.115,5,20.849,23.163,54.993,87,21.051,86.036,"Class2",7.101
91.029,"S",87.741,85,59.25,41.272,30.358,30,58.587,11.881,"Class3",42.576
31.894,"K",38.573,9,13.416,22.938,56.705,89,NA,45.446,"Class2",22.609
83.09,"C",96.524,60,69.699,24.438,33.047,28,62.853,26.911,"Class3",42.87
86.853,"S",92.787,95,64.369,2.854,30.486,35,61.776,59.737,"Class3",41.343
19.681,"D",65.4,33,41.941,46.989,18.603,72,67.683,75.992,"Class1",58.664
25.337,"W",50.704,8,39.688,24.101,52.053,87,13.647,85.888,"Class2",15.449
34.816,"V",47.418,4,21.712,26.219,34.522,90,24.235,48.164,"Class2",16.774
29.168,"T",41.498,4,20.641,19.348,49.053,91,25.956,84.268,"Class2",21.189
34.743,"A",27.542,11,14.002,27.811,41.463,90,15.179,66.994,"Class2",24.088
73.304,"I",84.964,81,76.426,90.873,33.225,7,58.742,8.119,"Class3",35.558
30.882,"W",42.505,5,13.132,25.028,58.226,84,26.246,84.024,"Class2",19.566
7.85,"D",65.435,33,-14.247,35.02,9.656,75,68.609,63.032,"Class1",66.044
25.259,"G",65.384,58,59.583,66.365,15.688,77,66.027,52.93,"Class1",69.753
22.005,"W",18.346,7,21.267,29.167,57.571,84,24.145,70.971,"Class2",11.265
79.334,"Z",86.496,90,61.234,56.776,29.518,23,62.598,42.697,"Class3",37.975
36.747,"T",53.981,3,32.525,23.378,30.905,87,29.21,45.396,"Class2",18.873
83.771,"C",91.986,70,69.95,79.703,33.058,25,60.635,57.352,"Class3",36.916
8.615,"I",65.973,36,41.527,56.765,3.424,72,NA,56.445,"Class1",57.725
6.933,"L",65.435,80,56.916,60.599,3.388,73,65.691,52.193,"Class1",69.653
85.051,"I",93.164,72,61.071,80.575,30.804,22,59.776,57.09,"Class3",38.817
66.674,"Z",92.373,97,52.652,35.657,32.638,36,58.887,39.655,"Class3",39.273
12.443,"D",65.216,54,79.99,43.693,14.155,75,69.42,34.959,"Class1",64.797
30.849,"L",65.516,79,41.405,56.993,17.58,73,66.552,66.86,"Class1",64.476
36.378,"W",48.644,10,35.214,21.005,48.277,91,28.412,67.756,"Class2",13.727
90.54,"I",97.775,81,61.752,41.737,32.112,NA,59.259,85.478,"Class3",39.951
15.325,"X",65.265,85,57.27,53.841,7.824,74,65.038,74.019,"Class1",69.202
16.229,"G",65.52,71,30.613,49.397,12.487,76,65.178,34.604,"Class1",66.806
14.635,"G",65.847,48,35.389,55.156,18.862,73,65.175,57.361,"Class1",61.992
6.166,"X",65.133,34,21.123,51.094,6.993,74,65.609,77.897,"Class1",64.547
16.089,"I",65.648,58,37.171,52.21,12.685,73,66.464,53.563,"Class1",64.871
7.277,"L",65.724,69,29.176,44.174,4.651,76,70.481,41.038,"Class1",66.548
15.931,"X",65.354,58,50.031,74.398,22.352,73,69.463,36.177,"Class1",64.837
79.385,"Z",92.816,64,61.645,13.108,32.693,37,61.962,14.509,"Class3",38.632
24.043,"V",41.731,7,18.204,24.252,48.183,86,28.482,86.637,"Class2",10.437
28.939,"K",28.646,6,18.735,31.946,52.831,86,33.335,85.427,"Class2",22.124
25.282,"K",24.999,10,25.966,24.526,54.273,NA,27.455,68.665,"Class2",17.659
77.768,"Z",85.764,59,62.715,52.2,31.73,23,62.997,14.899,"Class3",36.958
13.256,"D",65.423,44,31.795,49.138,22.513,75,66.892,74.881,"Class1",69.059
33.134,"K",22.69,11,19.771,28.534,39.808,90,13.591,66.316,"Class2",24.636
14.209,"D",65.31,52,26.074,61.528,10.094,73,65.861,75.738,"Class1",69.819
74.981,"Z",85.424,88,67.275,62.032,32.242,19,60.119,59.39,"Class3",42.18
90.994,"C",89.123,90,71.677,25.127,33.266,0,63.544,14.03,"Class3",42.92
24.673,"K",20.216,12,19.307,31.805,55.903,91,31.964,60.318,"Class2",12.627
71.311,"I",95.116,97,67.495,88.344,31.267,27,63.906,50.235,"Class3",41.014
11.949,"I",65.096,55,21.354,37.867,5.021,74,67.287,66.485,"Class1",69.374
74.105,"S",91.297,75,56.872,41.143,31.096,12,NA,15.008,"Class3",36.886
33.348,"V",65.46,3,20.342,25.974,50.58,91,10.047,50.866,"Class2",13.607
14.713,"D",65.613,38,52.634,76.081,6.145,77,69.328,61.514,"Class1",68.197
12.103,"I",65.361,51,40.782,49.633,16.348,73,69.547,40.452,"Class1",67.438
78.437,"Z",92.353,77,51.365,12.879,32.048,13,60.746,59.908,"Class3",43.631
36.649,"A",9.771,6,23.604,24.342,30.746,88,13.919,75.949,"Class2",7.422
25.717,"A",42.939,3,21.243,31.265,36.297,85,12.092,66.139,"Class2",23.445
12.372,"X",65.546,42,65.19,30.293,9.635,77,68.379,37.235,"Class1",64.537
24.261,"V",26.044,10,17.688,22.317,47.549,90,10.372,58.182,"Class2",20.584
11.809,"G",65.799,45,32.969,46.95,16.633,72,70.201,57.397,"Class1",71.765
13.716,"X",65.711,35,34.093,58.197,15.223,77,67.946,58.001,"Class1",68.481
30.147,"L",65.74,45,56.144,70.723,5.597,76,69.25,50.966,"Class1",69.442
73.272,"Z",90.069,94,73.694,32.136,30.372,12,62.873,18.24,"Class3",36.524
76.271,"C",98.791,56,57.043,96.836,31.215,35,60.438,36.245,"Class3",43.492
8.43,"L",65.823,43,44.586,36.575,15.789,74,68.946,49.608,"Class1",63.249
36.302,"V",3.752,13,26.197,16.021,29.598,84,33.035,87.275,"Class2",17.253
19.958,"X",65.636,48,47.669,49.654,21.141,74,70.405,55.981,"Class1",65.524
22.93,"X",66.059,72,4.556,40.159,14.356,73,66.187,44.075,"Class1",70.415
63.853,"T",91.611,74,63.614,41.325,32.423,28,62.227,76.729,"Class3",37.255
90.781,"C",92.263,72,61.526,36.495,30.887,10,63.223,26.77,"Class3",42.989
34.52,"T",43.28,11,13.751,23.114,57.426,89,12.326,60.275,"Class2",12.935
30.822,"G",66.214,38,30.901,54.746,8.917,75,66.409,45.435,"Class1",66.192
81.336,"T",94.784,89,64.478,63.391,31.903,17,58.349,23.895,"Class3",40.804
30.524,"X",65.692,41,74.876,55.03,3.672,74,66.028,73.544,"Class1",64.497
67.527,"C",95.163,61,67.072,90.252,31.969,34,63.272,69.144,"Class3",40.282
36.727,"W",28.252,6,25.264,24.581,27.868,88,9.131,86.066,"Class2",23.107
33.431,"V",28.856,3,25.256,27.919,30.914,90,13.224,55.513,"Class2",16.996
12.308,"I",65.113,68,30.901,45.094,12.838,75,68.439,54.965,"Class1",69.167
10.959,"X",65.729,72,80.295,48.088,13.079,75,65.6,62.345,"Class1",61.952
79.986,"T",89.885,64,73.511,69.313,30.863,19,63.723,16.293,"Class3",40.795
59.666,"S",86.337,90,69.44,59.642,30.928,23,62.388,52.761,"Class3",39.199
73.439,"I",94.232,60,86.782,71.532,31.7,40,61.833,57.926,"Class3",38.105
68.337,"T",86.064,55,62.061,21.422,30.916,23,60.316,12.002,"Class3",40.215
26.745,"V",44.021,4,15.492,14.608,43.614,90,32.788,57.6,"Class2",19.557
59.182,"S",87.992,92,68.117,10.622,33.407,32,NA,54.836,"Class3",36.124
11.844,"D",65.328,73,45.752,50.673,12.963,73,66.982,35.073,"Class1",67.86
28.636,"V",38.772,5,23.08,33.106,48.062,91,11.161,59.313,"Class2",9.055
6.208,"L",65.925,86,49.77,66.785,17.33,73,70.812,61.28,"Class1",67.691
9.958,"X",65.623,44,13.898,68.492,20.757,77,67.786,34.692,"Class1",67.089
20.24,"L",65.819,57,45.13,49.901,6.503,74,67.937,66.261,"Class1",64.544
70.037,"S",88.165,62,68.978,56.925,32.186,14,NA,8.731,"Class3",40.197
6.761,"D",65.47,65,-25.007,40.64,20.365,74,69.394,50.653,"Class1",63.96
72.136,"S",94.789,97,42.292,68.813,32.561,7,62.132,38.186,"Class3",39.209
25.967,"V",15.349,6,12.998,32.448,36.015,87,32.884,81.68,"Class2",21.208
65.637,"Z",95.728,65,70.259,57.79,33.268,18,58.318,26.03,"Class3",36.331
27.564,"D",65.587,53,59.095,34.502,20.446,73,70.439,40.379,"Class1",71.786
59.134,"C",97.069,82,59.421,105.227,30.512,NA,60.543,64.543,"Class3",36.343
68.694,"T",88.099,78,68.232,34.179,32.188,40,61.092,52.975,"Class3",43.192
24.735,"T",42.796,13,13.944,20.882,41.77,85,21.489,40.663,"Class2",24.482
11.342,"D",65.052,41,40.694,50.507,15.998,72,66.367,73.371,"Class1",65.329
67.967,"S",91.455,81,58.989,75.999,29.912,1,57.009,42.894,"Class3",38.133
85.671,"Z",96.332,61,59.102,91.892,29.118,37,61.805,14.295,"Class3",40.208
29.862,"D",65.185,80,36.412,74.996,13.227,75,68.583,72.273,"Class1",66.565
12.755,"D",65.509,63,62.179,56.943,15.482,76,69.286,44.362,"Class1",68.875
7.71,"I",65.328,86,-7.026,46.919,5.352,77,66.517,64.472,"Class1",62.633
29.368,"V",22.9,4,34.136,13.967,55.304,86,10.44,87.23,"Class2",16.796
63.938,"C",89.194,92,67.286,71.478,31.335,1,62.768,25.918,"Class3",37.229
35.755,"T",28.615,11,13.043,24.02,28.464,90,NA,61.256,"Class2",10.855
11.062,"D",65.536,61,50.54,44.356,3.604,77,69.047,67.12,"Class1",62.789
31.423,"K",26.673,12,18.296,21.608,28.968,89,17.082,77.908,"Class2",25.166
12.809,"I",65.294,84,23.188,44.532,6.369,77,67.574,44.448,"Class1",66.116
10.966,"I",65.486,60,46.001,40.565,18.368,72,65.22,69.966,"Class1",67.258
31.302,"W",31.112,5,30.128,26.441,58.147,89,25.735,76.407,"Class2",13.822
23.001,"K",30.494,9,13.336,35.861,52.707,91,25.458,90.498,"Class2",22.704
6.726,"D",65.83,86,42.119,37.07,14.454,72,66.552,55.397,"Class1",67.41
18.777,"D",65.324,83,41.82,29.47,15.164,76,66.147,34.501,"Class1",63.758
33.567,"T",25.314,14,14.562,25.79,52.362,87,16.424,66.272,"Class2",9.446
91.1,"T",93.886,90,60.118,77.328,33.144,NA,NA,31.438,"Class3",36.427
28.096,"V",33.759,14,17.288,23.223,27.936,87,22.258,46.629,"Class2",21.583
25.226,"K",51.15,13,32.352,31.241,43.606,84,15.124,89.362,"Class2",12.438
78.436,"Z",90.122,79,54.344,64.792,32.713,41,57.847,19.07,"Class3",41.231
22.158,"W",29.727,11,23.894,24.455,28.497,86,26.607,81.02,"Class2",13.428
85.492,"I",88.19,65,63.749,68.217,29.05,NA,63.972,72.243,"Class3",39.028
90.213,"T",90.288,95,63.875,42.212,29.985,4,59.694,42.815,"Class3",40.597
70.481,"Z",92.995,94,61.376,67.95,32.111,13,58.385,54.38,"Class3",42.327
72.616,"C",94.432,94,61.095,75.697,31.895,23,62.361,17.655,"Class3",43.299
83.625,"T",92.045,83,73.256,26.323,33.065,NA,57.588,11.758,"Class3",41.746
27.17,"A",22.009,9,15.519,22.666,51.026,85,28.884,59.45,"Class2",21.721
88.512,"Z",86.525,69,61.798,54.604,32.229,43,58.383,83.733,"Class3",38.681
93.243,"S",95.676,57,55.562,89.407,31.615,43,60.603,78.907,"Class3",44.194
22.002,"I",65.842,72,41.19,52.682,7.343,72,66.023,67.527,"Class1",69.061
24.392,"W",45.071,13,31.87,28.967,23.072,87,13.857,76.506,"Class2",23.203
22.491,"D",65.405,38,39.43,47.522,14.176,73,67.34,67.499,"Class1",66.098
63.548,"T",95.367,66,54.347,86.202,31.048,NA,57.758,70.247,"Class3",40.344
93.74,"S",88.572,78,60.569,14.77,30.476,0,61.215,65.042,"Class3",39.4
27.414,"A",30.706,3,22.877,35.65,48.614,91,31.187,66.377,"Class2",13.216
34.996,"V",14.172,13,11.789,14.729,41.337,88,16.045,64.541,"Class2",14.629
69.838,"I",88.485,75,61.129,40.594,31.6,13,59.224,78.618,"Class3",45.82
87.692,"T",90.25,91,62.473,83.276,30.695,NA,57.936,16.881,"Class3",41.811
32.239,"A",36.301,14,14.762,24.705,53.058,87,26.683,53.202,"Class2",19.128
27.617,"W",57.316,13,26.681,20.476,40.405,91,19.703,61.454,"Class2",15.788
81.869,"S",87.135,77,69.659,39.229,30.762,7,61.394,50.992,"Class3",42.539
12.763,"D",65.524,74,22.719,58.359,7.798,74,66.389,56.632,"Class1",67.737
18.626,"G",65.557,75,-4.74,58.387,5.223,76,68.166,53.714,"Class1",65.261
86.107,"Z",90.897,60,59.479,41.488,30.19,21,61.133,13.679,"Class3",38.001
15.194,"L",65.531,72,-10.361,66.466,17.164,77,66.657,43.792,"Class1",69.096
60.24,"C",91.827,82,55.097,58.078,33.376,NA,62.193,97.336,"Class3",45.869
13.619,"D",66.247,74,-10.268,55.717,17.632,74,65.015,56.44,"Class1",63.589
72.265,"T",83.598,90,71.25,63.679,29.679,3,63.736,23.227,"Class3",39.581
26.711,"T",32.827,3,19.261,23.169,51.828,91,30.972,87.738,"Class2",22.087
19.949,"I",65.628,83,52.311,39.764,19.245,72,66.949,52.878,"Class1",71.868
32.61,"A",40.542,9,18.423,26.716,48.736,NA,31.73,82.531,"Class2",6.44
87.679,"C",92.767,93,68.533,55.669,33.803,7,57.82,80.181,"Class3",38.391
34.013,"W",20.795,14,21.398,22.558,29.79,88,NA,50.612,"Class2",17.553
6.416,"I",65.603,83,16.148,60.405,18.159,77,66.275,53.374,"Class1",67.388
89.037,"T",92.158,88,44.8,33.087,31.672,16,59.881,65.784,"Class3",40.063
62.627,"S",94.447,98,72.276,44.055,32.652,16,63.377,6.11,"Class3",38.85
74.555,"I",90.963,71,47.341,67.27,32.158,35,60.36,77.698,"Class3",38.731
71.425,"Z",87.367,83,65.786,84.187,30.025,31,57.731,88.216,"Class3",39.801
84.363,"Z",89.206,92,68.247,61.092,33.512,8,61.17,27.493,"Class3",43.65
76.487,"S",90.238,91,72.945,61.297,33.852,21,60.501,55.6,"Class3",38.717
29.238,"A",54.698,12,9.275,33.733,48.287,87,14.731,53.514,"Class2",11.353
60.383,"I",93.549,55,47.808,72.499,31.704,29,62.504,53.198,"Class3",38.465
63.74,"C",89.972,93,57.509,38.212,29.002,8,58.971,19.708,"Class3",41.138
22.19,"V",35.37,7,15.629,26.902,29.226,87,28.18,57.582,"Class2",14.633
81.006,"S",100.35,92,68.008,31.06,32.731,23,59.876,75.034,"Class3",38.383
30.672,"A",36.576,8,29.457,33.664,46.76,87,NA,80.529,"Class2",19.863
75.775,"Z",90.01,56,59.308,48.842,32.901,27,58.462,56.829,"Class3",43.178
84.67,"T",94.854,68,69.575,23.318,31.057,18,57.853,57.901,"Class3",43.119
93.562,"C",87.713,89,65.26,3.612,29.048,17,60.79,53.403,"Class3",39.266
21.537,"V",13.681,10,28.155,21.761,36.142,88,14.741,42.084,"Class2",14.563
35.319,"W",14.681,8,33.567,36.34,29.782,NA,13.409,50.664,"Class2",18.729
80.391,"Z",93.367,94,61.737,79.475,32.413,34,57.659,69.647,"Class3",44.251
65.197,"S",90.841,70,55.929,48.828,29.933,29,59.562,37.337,"Class3",40.73
91.369,"C",91.79,72,51.984,41.305,31.096,41,63.373,54.707,"Class3",35.828
79.579,"C",92.983,74,48.217,4.571,31.175,5,61.781,21.464,"Class3",36.077
30.123,"W",36.965,9,24.678,23.206,31.866,NA,21.645,44.796,"Class2",12.096
27.162,"G",65.197,43,45.663,52.024,19.369,75,65.65,44.519,"Class1",66.358
26.349,"W",43.638,4,29.852,40.97,36.982,NA,19.703,69.972,"Class2",14.98
88.035,"T",95.384,83,57.381,53.672,31.691,8,57.109,85.363,"Class3",38.346
93.099,"S",97.791,74,56.681,87.083,33.912,39,59.719,47.926,"Class3",38.194
67.346,"C",92.236,64,60.592,129.391,30.305,17,62.059,30.502,"Class3",42.012
92.983,"C",83.85,79,52.115,56.199,29.188,45,58.728,83.779,"Class3",43.052
89.818,"C",90.12,75,63.981,33.321,31.845,44,60.969,38.572,"Class3",35.577
29.297,"X",65.637,65,28.924,40.866,9.403,75,68.742,60.233,"Class1",73.235
22.746,"K",55.545,4,22.194,29.937,31.03,90,30.704,63.729,"Class2",21.802
11.125,"D",65.526,58,39.07,38.75,16.791,NA,66.226,51.782,"Class1",60.965
63.82,"I",84.111,88,50.757,47.045,31.462,36,61.897,92.609,"Class3",39.633
64.489,"Z",94.808,59,60.995,90.319,33.252,5,60.71,48.19,"Class3",39.552
22.245,"I",65.299,70,53.703,53.376,18.697,73,68.16,38.835,"Class1",67.767
23.661,"V",38.192,7,21.44,24.894,35.393,NA,25.631,59.972,"Class2",16.403
23.69,"I",65.566,54,72.498,58.551,9.915,74,70.399,35.664,"Class1",66.298
26.964,"L",65.418,54,31.509,25.185,11.575,77,68.154,72.914,"Class1",66.438
35.973,"A",16.493,3,19.068,27.405,40.353,90,18.858,85.458,"Class2",29.909
32.802,"T",16.728,6,16.804,24.501,56.219,84,26.978,48.881,"Class2",11.264
22.268,"T",64.505,5,34.427,24.278,26.408,89,16.594,69.22,"Class2",21.293
74.859,"S",93.028,80,63.564,12.869,30.57,38,61.395,11.293,"Class3",39.529
24.47,"I",65.759,37,-5.645,56.789,11.821,72,67.851,71.173,"Class1",60.48
23.438,"A",13.35,13,24.525,19.864,31.234,88,17.213,56.356,"Class2",21.881
17.805,"L",65.316,59,9.027,47.894,21.029,75,67.467,38.392,"Class1",65.284
29.721,"A",22.624,5,24.549,28.049,53.141,86,12.542,74.294,"Class2",16.165
27.02,"G",66.333,80,41.142,36.074,9.959,NA,70.489,61.46,"Class1",69.846
20.594,"I",65.222,42,30.163,26.257,22.254,76,70.657,42.334,"Class1",58.691
13.397,"L",65.716,46,61.052,37.576,8.679,72,65.112,64.072,"Class1",61.79
21.347,"T",44.424,5,23.318,25.002,25.889,90,22.825,70.181,"Class2",27.964
9.044,"X",65.733,34,38.044,41.787,5.83,NA,69.623,69.404,"Class1",70.779
24.66,"W",39.005,14,22.581,28.625,35.675,90,19.356,40.79,"Class2",10.204
65.161,"S",92.016,82,55.46,59.385,31.82,21,60.46,15.185,"Class3",38.942
21.958,"V",22.832,10,19.974,27.914,57.011,90,21.019,46.268,"Class2",22.2
34.447,"K",36.798,9,12.706,29.241,57.558,86,29.376,77.019,"Class2",9.875
21.569,"K",39.037,5,33.532,22.956,28.357,90,16.549,61.837,"Class2",27.14
71.84,"Z",91.711,84,62.188,38.437,33.379,15,NA,10.693,"Class3",36.447
6.244,"D",65.746,43,28.555,55.199,18.248,76,70.857,61.912,"Class1",65.88
29.479,"T",40.546,9,17.978,24.961,57.969,NA,16.225,40.156,"Class2",9.036
24.578,"A",35.489,6,25.38,27.555,57.881,85,17.042,39.554,"Class2",26.242
22.968,"V",37.14,9,21.203,25.087,47.801,89,9.219,71.031,"Class2",23.655
8.987,"X",65.738,47,50.065,48.878,11.707,76,66.928,72.98,"Class1",63.712
