"OJC1","TNS2","HZG3","FMR4","QPZ5","POJ6","Output4","NKG7","NRB8","CUJ9","WRT10","QNS11"
98.237,29.941,24.305,44.214,95,49.793,"Class5","U",67.83,58,56.361,55.58
75.898,63.265,90.807,42.95,28,78.099,"Class1","P",36.733,24,8.232,38.358
45.383,79.158,84.221,5.98,65,NA,"Class2","A",35.855,62,76.39,49.369
44.517,68.012,39.669,30.031,43,67.173,"Class2","A",37.529,62,80.768,51.601
98.528,15.952,-1.723,42.148,83,54.367,"Class5","U",72.783,67,64.248,100.671
98.95,28.067,23.799,42.074,87,48.568,"Class5","C",79.326,58,64.978,49.237
45.624,30.596,46.028,28.212,58,38.927,"Class2","C",50.091,36,77.486,47.918
28.492,69.08,59.379,53.724,13,79.594,"Class1","S",18.863,45,15.179,56.716
103.495,1.491,44.262,45.133,34,53.136,"Class3","W",4.739,26,73.943,7.917
72.865,85.423,66.382,69.091,21,95.371,"Class1","S",37.876,72,12.744,27.849
98.521,37.46,29.75,43.908,81,NA,"Class5","C",72.774,78,62.101,13.307
20.968,72.311,84.746,53.352,38,37.11,"Class4","Y",6.721,32,55.765,43.811
68.568,68.579,73.757,66.849,17,81.737,"Class1","P",26.055,30,4.125,41.703
13.291,66.234,82.586,41.664,45,38.88,"Class4","D",17.56,26,68.952,30.875
95.858,2.878,78.079,40.365,30,59.882,"Class3","P",8.241,32,75.636,8.134
99.053,19.063,25.239,43.247,88,93.672,"Class5","D",70.246,68,58.386,67.425
38.385,85.902,47.013,6.758,42,42.017,"Class2","J",22.158,58,78.163,51.145
40.751,2.248,63.681,36.227,75,52.872,"Class3","X",0.631,28,77.434,5.376
98.829,37.454,59.255,43.789,77,43.917,"Class5","D",77.629,61,57.837,82.67
98.644,30.987,19.475,42.955,87,88.206,"Class5","H",68.127,72,55.284,48.301
98.41,17.186,26.862,43.595,91,-0.81,"Class5","D",67.826,78,59.133,93.051
45.518,48.411,76.751,48.843,18,74.62,"Class1","Q",26.845,32,31.058,40.365
25.268,60.65,57.596,16.566,38,38.331,"Class4","D",75.141,13,62.026,25.483
64.373,2.816,87.244,46.02,43,48.379,"Class3","I",3.155,32,89.71,15.582
22.841,68.513,60.039,23.974,29,37.958,"Class4","H",28.676,40,60.804,46.538
24.824,2.581,70.11,32.567,51,54.196,"Class3","F",6.169,67,75.119,7.678
59.941,45.692,53.428,12.206,58,11.908,"Class2","C",33.255,32,77.784,49.528
78.139,53.461,67.087,51.456,1,80.314,"Class1","S",50.291,70,4.848,54.604
63.285,1.393,26.962,40.776,23,46.111,"Class3","X",0.364,73,79.121,-0.65
52.032,1.074,90.304,40.704,33,54.673,"Class3","X",2.347,54,66.862,9.235
71.82,45.701,65.328,38.481,22,72.955,"Class1","P",27.446,66,3.726,11.694
20.85,53.221,84.216,82.936,45,38.308,"Class4","H",19.185,16,71.369,37.037
88.135,52.793,86.815,74.599,34,NA,"Class1","Q",22.314,43,6.781,40.199
95.713,73.445,79.104,48.359,34,64.299,"Class1","P",21.108,90,24.786,39.762
44.643,60.659,96.559,46.949,44,81.175,"Class1","S",50.529,26,23.462,30.378
98.162,27.422,20.63,43.493,81,65.745,"Class5","Z",78.777,67,57.218,89.975
98.929,37.04,32.597,44.944,91,50.41,"Class5","C",71.965,58,64.128,37.213
16.651,48.809,57.062,44.388,22,78.632,"Class1","P",27.647,80,8.507,27.459
45.45,69.189,61.444,33.537,59,78.68,"Class1","Q",13.102,67,30.889,22.563
49.857,53.041,26.702,12.489,60,47.889,"Class2","J",42.842,40,80.119,49.224
21.488,53.737,58.732,83.854,25,37.925,"Class4","F",7.969,21,65.54,29.676
68.599,1.663,83.442,38.138,48,53.374,"Class3","P",4.567,69,69.124,6.689
55.795,41.545,93.541,23.314,37,-4.466,"Class2","X",41.277,47,81.58,48.35
98.248,25.48,42.475,43.719,77,22.932,"Class5","C",71.053,72,63.211,43.593
45.22,74.864,53.356,24.429,65,2.324,"Class2","W",33.728,62,76.021,49.671
56.876,2.086,45.189,43.757,73,51.317,"Class3","W",1.065,28,61.737,17.35
33.018,56.299,65.648,46.36,27,37.206,"Class4","V",66.988,28,63.415,33.688
48.947,67.061,65.236,43.696,54,93.344,"Class1","H",35.86,71,6.651,61.996
98.271,38.693,61.642,44.751,94,52.638,"Class5","C",78.124,67,55.757,17.293
17.12,73.712,77.194,27.304,17,36.858,"Class4","F",50.74,14,61.089,20.745
98.297,25.261,22.043,42.374,78,37.374,"Class5","C",75.726,65,55.278,56.79
3.59,50.466,69.733,46.759,52,81.304,"Class1","X",45.314,81,18.461,37.138
71.705,2.248,40.501,41.473,10,55.8,"Class3","W",4.254,84,59.378,7.798
66.831,82.336,69.702,43.177,18,78.337,"Class1","H",32.658,63,14.241,36.08
22.769,67.237,75.118,54.522,36,37.381,"Class4","Y",47.285,28,74.966,43.917
52.641,2.616,83.202,32.632,21,48.854,"Class3","I",5.128,44,80.04,6.714
57.03,2.725,82.22,43.842,20,53.35,"Class3","W",3.528,47,84.509,6.006
55.963,33.47,33.156,28.2,60,49.879,"Class2","W",22.556,36,81.557,48.844
37.295,45.833,76.994,67.626,5,73.827,"Class1","H",9.979,55,16.868,33.309
78.513,2.843,43.692,33.641,35,45.587,"Class3","P",0.828,39,59.151,14.577
77.032,2.921,63.519,41.45,19,58.369,"Class3","F",7.934,75,85.449,10.13
15.814,60.388,85.967,11.45,40,37.669,"Class4","V",66.797,32,61.897,27.882
98.65,29.032,38.974,42.333,90,25.534,"Class5","D",71.827,72,63.681,74.923
53.981,44.129,53.7,20.684,48,49.1,"Class2","W",23.746,52,77.812,48.498
47.799,27.151,63.474,29.092,57,26.015,"Class2","C",34.979,46,76.782,48.891
27.377,67.148,90.775,56.815,31,37.391,"Class4","F",68.423,14,64.07,39.076
41.247,86.475,60.687,9.512,68,-8.637,"Class2","A",34.826,49,79.105,48.658
54.537,47.069,65.626,37.571,4,95.402,"Class1","X",41.913,54,17.497,61.762
83.118,67.452,55.288,36.32,39,86.426,"Class1","X",11.438,39,12.861,35.007
7.201,63.592,70.535,44.922,38,37.478,"Class4","F",52.114,29,74.529,27.002
56.171,1.488,4.91,34.865,43,54.295,"Class3","W",5.531,61,67.347,8.646
53.477,66.489,62.489,60.191,32,75.318,"Class1","Q",10.918,58,6.499,43.22
13.727,61.066,60.095,76.27,42,36.885,"Class4","H",63.041,10,57.547,44.928
62.602,2.581,81.043,40.413,53,47.372,"Class3","P",8.158,36,63.475,8.641
78.19,1.55,14.783,35.907,16,44.453,"Class3","F",8.886,71,51.528,8.92
98.611,27.669,53.902,42.61,94,64.451,"Class5","C",68.607,70,63.359,65.373
98.126,20.278,14.955,42.948,89,40.218,"Class5","D",75.132,76,63.693,54.807
63.352,84.226,76.525,62.337,45,82.03,"Class1","Q",22.623,46,14.075,11.838
94.691,72.01,60.945,59.906,48,66.646,"Class1","P",47.185,72,19.793,14.195
21.386,57.273,59.204,48.967,49,37.258,"Class4","D",47.782,38,58.368,47.803
98.56,21.663,33.444,43.048,87,46.903,"Class5","D",77.958,67,61.573,67.293
35.697,2.833,66.757,33.084,44,51.567,"Class3","I",0.997,78,51.79,12.481
46.449,2.565,42.986,40.03,50,57.349,"Class3","I",0.281,26,61.526,14.896
98.14,20.473,-2.328,44.913,96,34.465,"Class5","Z",76.913,61,57.814,80.515
86.746,2.264,2.408,43.173,55,48.681,"Class3","P",1.282,40,83.666,10.73
98.492,18.446,26.171,42.47,79,43.53,"Class5","U",69.861,58,62.314,47.579
30.037,73.519,57.957,56.34,46,64.549,"Class1","X",36.012,60,29.549,24.367
34.796,77.432,89.666,73.153,14,78.518,"Class1","P",36.552,63,24.294,34.344
41.528,73.573,43.888,66.94,9,87.847,"Class1","H",10.695,74,31.211,39.669
NA,44.508,70.493,60.471,21,NA,"Class1","Q",48.629,62,31.664,35.906
52.08,41.669,40.498,20.868,43,38.163,"Class2","J",10.649,54,80.686,49.586
98.46,43.528,27.929,43.575,83,NA,"Class5","H",69.854,77,59.891,92.846
28.043,69.231,47.614,64.492,21,35.799,"Class4","H",63.413,26,70.952,32.336
40.529,2.876,72.491,36.719,57,49.847,"Class3","X",5.845,73,89.517,6.921
25.576,63.439,83.531,61.238,17,NA,"Class4","F",18.003,31,61.126,29.719
24.084,64.159,79.886,14.859,50,38.245,"Class4","D",51.83,36,74.63,23.515
98.163,29.594,11.859,43.208,88,83.644,"Class5","H",67.937,65,61.251,6.316
98.612,37.377,-11.617,44.321,89,67.879,"Class5","H",76.824,75,56.553,71.717
27.052,62.534,70.106,17.035,15,38.423,"Class4","V",76.235,19,55.587,26.203
24.072,58.209,55.631,42.716,48,37.501,"Class4","D",28.69,20,63.385,46.491
20.103,61.36,62.257,32.033,28,99.655,"Class1","X",53.365,58,17.497,19.436
48.393,1.038,60.715,39.937,60,44.871,"Class3","F",3.342,28,83.388,11.46
72.457,69.364,73.009,38.619,53,80.132,"Class1","H",16.707,73,9.789,30.231
63.358,68.5,42.513,19.89,52,18.241,"Class2","J",49.232,33,80.849,49.809
26.221,64.984,89.375,56.657,39,36.95,"Class4","H",30.075,38,59.31,38.272
98.78,31.671,26.329,42.81,77,68.749,"Class5","D",76.553,83,60.304,83.922
71.32,81.168,69.103,39.724,46,84.981,"Class1","H",45.175,50,31.758,58.678
55.139,51.829,55.381,18.526,60,69.386,"Class2","X",32.432,53,79.364,48.581
41.132,82.858,85.686,63.416,18,82.274,"Class1","X",9.172,32,12.016,37.282
33.115,60.706,83.167,53.978,19,NA,"Class4","V",24.95,15,69.473,28.157
52.269,2.828,68.025,32.356,76,55.487,"Class3","X",4.839,52,54.003,-4.171
NA,70.326,88.719,87.079,51,39.131,"Class4","D",37.724,11,57.249,48.335
41.751,57.102,46.301,28.171,54,59.664,"Class2","W",18.424,51,78.387,53.979
44.377,36.586,56.427,6.198,47,35.922,"Class2","W",42.151,41,79.805,46.985
33.374,52.037,88.193,80.684,22,36.435,"Class4","F",22.965,43,60.076,19.857
68.545,68.971,79.064,59.919,50,81.515,"Class1","P",42.702,32,24.703,52.32
7.928,62.367,75.546,43.217,37,37.416,"Class4","Y",36.975,41,64.814,53.573
29.543,2.948,61.24,42.958,43,48.57,"Class3","X",7.639,25,67.524,14.303
39.932,57.849,65.703,68.759,50,61.364,"Class1","Q",49.316,67,7.419,34.245
48.068,32.47,39.584,13.303,49,44.801,"Class2","X",14.821,33,80.645,50.67
14.508,69.863,61.053,72.53,50,37.585,"Class4","V",18.343,33,60.259,36.467
28.752,50.56,58.374,23.954,50,38.918,"Class4","H",1.178,29,65.007,19.072
43.458,1.58,78.481,42.274,54,51.566,"Class3","W",6.892,43,67.08,-2.319
24.045,80.251,91.626,29.147,46,76.246,"Class1","S",41.801,75,23.375,37.74
64.107,51.917,60.938,71.515,5,77.724,"Class1","P",45.971,81,11.293,21.144
62.628,1.826,68.602,38.156,13,47.146,"Class3","W",2.717,43,56.37,12.566
11.192,72.016,82.288,69.94,34,NA,"Class4","F",50.441,28,56.453,38.814
37.837,48.978,30.77,16.506,43,31.507,"Class2","C",17.569,33,81.995,49.277
25.986,68.379,53.986,47.422,27,37.638,"Class4","D",69.546,18,55.69,30.879
98.277,29.32,-1.074,44.98,85,56.994,"Class5","H",68.89,74,56.054,39.206
97.897,42.504,8.981,42.42,80,61.814,"Class5","U",70.328,63,55.767,104.084
98.724,29.124,17.665,44.417,91,25.795,"Class5","Z",67.054,59,64.747,46.943
46.274,80.623,60.896,16.62,53,59.484,"Class2","J",12.469,36,80.115,49.66
24.771,73.877,81.577,35.291,29,37.173,"Class4","D",9.638,38,59.91,28.067
29.347,2.179,91.533,33.737,39,53.527,"Class3","X",2.95,46,52.791,9.901
98.932,46.292,19.117,44.762,93,61.015,"Class5","C",72.597,68,64.337,59.488
47.953,38.153,18.909,13.364,56,60.198,"Class2","A",17.095,42,77.726,51.434
97.856,23.591,47.094,42.483,79,71.562,"Class5","D",77.686,62,61.115,50.415
52.403,2.418,57.153,38.841,77,50.341,"Class3","W",2.227,36,84.691,12.692
51.753,76.034,100.703,41.982,14,83.61,"Class1","P",38.216,41,21.92,6.439
17.909,51.541,76.913,60.39,34,36.349,"Class4","F",68.759,15,69.463,49.83
75.238,2.483,78.794,37.118,71,56.81,"Class3","X",1.914,40,81.508,13.026
99.139,42.271,58.961,44.94,82,35.229,"Class5","C",72.214,82,58.172,62.658
NA,81.551,79.157,36.938,10,78.66,"Class1","H",21.046,44,17.583,49.384
70.089,2.375,37.638,41.163,17,51.55,"Class3","P",7.761,47,81.231,8.752
20.902,51.095,71.056,36.854,35,36.873,"Class4","D",54.512,34,70.049,34.494
49.595,53.768,52.083,17.79,46,36.089,"Class2","W",12.784,58,76.126,50.416
22.284,55.62,72.285,54.81,31,38.444,"Class4","V",41.979,35,64.098,40.16
98.407,39.286,-9.485,42.685,81,26.225,"Class5","C",67.537,66,57.589,71.935
51.277,68.506,59.065,11.889,44,31.445,"Class2","A",50.738,48,80.728,47.674
63.275,88.813,41.279,26.939,67,5.791,"Class2","X",8.974,38,80.964,48.799
70.124,1.99,66.644,46.223,30,51.92,"Class3","P",4.941,47,52.524,8.535
50.335,60.886,56.576,11.176,41,21.068,"Class2","C",32.297,38,80.498,47.663
65.983,1.811,57.166,40.155,54,45.801,"Class3","W",2.424,49,63.495,17.319
75.54,61.896,48.641,65.005,7,78.162,"Class1","H",39.707,30,29.426,52.435
51.79,55.095,43.11,38.328,18,91.86,"Class1","S",9.813,43,31.179,50.77
23.232,53.349,85.926,23.324,47,37.437,"Class4","H",59.141,16,70.061,33.527
23.079,51.579,91.569,19.801,12,37.729,"Class4","F",71.008,23,67.222,42.424
84.123,2.613,64.254,35.544,58,45.831,"Class3","I",8.949,32,62.992,13.412
52.647,34.528,28.662,8.624,64,52.484,"Class2","W",24.693,36,80.295,46.995
89.469,1.383,53.279,42.234,23,42.76,"Class3","W",2.792,31,83.564,15.277
58.028,45.681,51.683,19.693,65,43.215,"Class2","X",37.361,47,81.35,51.268
26.476,57.419,52.853,59.685,49,38.236,"Class4","D",16.573,19,72.427,38.508
16.059,53.812,63.829,43.33,49,38.742,"Class4","F",17.28,41,70.678,44.282
50.061,76.412,27.973,30.392,64,56.534,"Class2","A",9.787,61,76.736,46.546
98.453,42.006,26.515,42.469,78,63.093,"Class5","U",70.309,67,63.37,72.398
64.258,1.39,39.806,43.32,44,48.572,"Class3","W",8.98,63,80.395,17.774
98.746,29.004,19.184,42.037,91,65.285,"Class5","H",70.3,76,57.925,39.454
16.857,72.407,87.636,17.115,32,37.817,"Class4","Y",28.307,39,63.282,13.319
24.662,62.966,61.093,6.017,51,37.404,"Class4","F",32.582,39,58.319,29.877
41.981,78.78,65.05,66.001,16,85.532,"Class1","S",36.443,52,17.388,70.084
62.644,2.963,26.536,41.874,14,48.141,"Class3","P",7.735,42,77.087,7.091
75.4,50.913,80.845,62.051,5,89.018,"Class1","H",30.036,38,7.686,47.289
97.923,35.804,43.264,44.585,88,87.434,"Class5","H",67.07,56,58.25,79.055
98.404,33.149,25.214,43.626,80,23.688,"Class5","U",67.448,74,59.325,45.003
27.36,83.67,63.653,43.008,21,73.775,"Class1","Q",48.291,79,12.366,8.579
55.886,67.094,82.782,64.672,26,88.284,"Class1","S",27.151,80,23.425,47.391
54.347,84.428,32.763,7.013,41,19.266,"Class2","C",49.339,55,76.394,47.909
33.648,2.489,77.348,34.418,45,53.774,"Class3","F",7.295,30,71.247,3.723
23.659,1.621,77.586,37.46,44,54.473,"Class3","F",0.219,60,78.303,12.517
98.71,15.66,57.951,43.578,95,29.071,"Class5","D",71.441,80,60.416,87.524
98.347,26.483,49.142,43.62,78,57.35,"Class5","D",76.891,76,59.067,34.808
9.513,73.953,75.585,7.849,12,37.559,"Class4","F",13.482,38,73.146,35.521
59.977,28.627,39.699,19.732,58,52.177,"Class2","A",41.815,45,80.004,48.897
38.15,60.335,62.483,82.293,28,38.041,"Class4","F",31.968,12,61.637,28.145
59.226,1.414,75.677,46.503,21,54.101,"Class3","W",8.121,39,85.992,20.395
36.535,61.429,55.526,45.359,24,65.397,"Class1","S",16.888,45,7.188,55.619
77.528,2.019,62.357,42.64,56,50.793,"Class3","P",2.746,33,69.082,12.78
84.725,2.003,83.989,44.046,51,46.944,"Class3","W",8.798,64,58.908,0.007
98.544,37.522,20.383,44.524,96,74.587,"Class5","Z",69.757,63,58.893,59.122
66.062,85.215,62.079,43.775,53,81.838,"Class1","P",19.196,54,21.141,56.659
98.734,28.427,5.483,43.293,81,79.03,"Class5","H",74.698,56,60.769,44.709
98.362,29.907,65.191,43.305,89,64.775,"Class5","Z",68.446,74,57.831,50.513
42.677,87.038,48.721,9.828,53,19.529,"Class2","C",42.57,49,76.038,49.953
98.218,20.897,29.27,42.24,93,42.909,"Class5","C",75.686,75,56.476,56.838
29.61,1.224,89.658,43.796,29,51.723,"Class3","X",7.236,53,58.11,18.794
26.269,51.099,92.344,69.83,26,NA,"Class4","F",45.67,28,57.67,37.06
32.15,72.695,91.874,88.136,48,36.153,"Class4","Y",25.49,44,66.103,45.434
73.361,1.633,80.411,46.652,16,47.883,"Class3","W",2.776,81,52.697,-0.45
16.29,53.126,73.475,15.344,39,35.993,"Class4","Y",27.098,41,60.067,35.962
98.396,16.316,25.866,42.097,90,49.581,"Class5","U",78.927,80,57.971,43.01
98.73,23.53,44.096,43.278,95,9.018,"Class5","Z",69.055,58,64.762,59.806
64.015,2.348,78.998,39.924,37,53.465,"Class3","X",1.379,59,88.255,12.39
32.667,56.367,54.01,59.157,36,98.651,"Class1","P",29.685,60,3.25,28.878
55.791,33.881,14.952,18.605,46,64.717,"Class2","A",26.059,53,81.1,51.698
61.148,80.135,68.563,57.052,7,90.374,"Class1","H",48.394,73,9.666,48.34
66.501,1.135,51.628,36.062,28,44.677,"Class3","I",4.993,78,58.813,10.529
NA,66.67,63.025,60.432,47,67.828,"Class1","P",52.866,22,27.437,24.606
36.449,80.214,60.416,56.017,36,89.408,"Class1","H",11.468,72,9.789,51.467
77.102,61.379,78.261,57.554,42,73.511,"Class1","Q",8.575,56,28.441,56.865
98.863,24.892,45.875,43.054,82,19.551,"Class5","D",68.789,56,61.26,20.696
33.935,60.077,87.496,54.422,26,36.634,"Class4","Y",24.03,40,62.65,54.829
72.674,58.066,74.498,53.43,17,NA,"Class1","H",48.93,37,31.91,63.363
40.528,33.805,59.599,17.627,39,89.016,"Class2","J",18.861,61,81.073,47.449
21.413,50.885,92.779,73.017,31,36.54,"Class4","F",43.527,30,65.595,38.185
43.228,91.361,36.407,23.523,49,29.662,"Class2","A",29.133,38,76.515,47.261
73.152,1.257,48.241,38.751,48,50.735,"Class3","I",7.366,78,67.198,5.51
39.402,72.449,39.565,8.175,42,18.492,"Class2","A",40.964,42,76.726,50.893
52.044,68.374,85.4,22.42,40,43.234,"Class2","J",41.47,61,76.635,49.472
38.452,2.997,56.561,34.909,19,51.536,"Class3","W",4.284,35,55.486,17.665
63.56,76.565,76.002,48.945,23,80.467,"Class1","H",9.257,31,24.354,77.141
71.37,65.911,69.319,39.189,18,75.754,"Class1","Q",24.515,52,24.46,42.692
73.552,76.187,73.018,58.436,37,84.415,"Class1","P",10.971,66,26.256,66.848
41.926,69.085,62.074,58.47,46,73.473,"Class1","H",40.683,76,8.696,85.492
NA,61.669,86.675,15.924,39,37.788,"Class4","H",58.925,33,55.706,26.942
30.561,73.482,61.155,32.336,48,90.18,"Class1","H",34.46,35,26.036,3.668
53.663,94.06,49.342,19.599,49,66.67,"Class2","C",50.387,47,81.254,48.107
67.65,78.651,51.79,54.15,10,85.471,"Class1","Q",21.064,62,16.252,29.037
11.253,2.759,71.979,45.466,65,44.22,"Class3","W",0.88,39,86.502,11.849
29.509,64.501,84.429,18.271,51,36.92,"Class4","V",46.281,31,70.349,33.691
NA,29.188,15.492,43.371,87,39.694,"Class5","U",74.944,78,58.652,33.869
98.804,32.895,21.479,43.118,78,49.567,"Class5","U",74.573,83,58.718,74.312
NA,84.968,32.966,17.87,54,41.826,"Class2","A",33.131,34,80.445,50.081
51.381,64.781,83.34,54.769,31,62.024,"Class1","X",31.199,43,28.68,16.729
67.559,2.66,47.915,35.194,61,39.921,"Class3","P",7.703,63,59.263,1.968
98.532,34.408,27.69,43.454,82,62.128,"Class5","Z",67.27,72,55.131,61.185
98.694,28.015,14.887,42.066,77,58.568,"Class5","D",79.5,75,55.422,65.143
50.255,59.394,38.208,5.335,43,45.264,"Class2","W",18.741,55,76.901,48.342
45.533,86.989,64.686,12.018,64,22.209,"Class2","A",31.031,37,80.932,49.501
64.512,75.37,55.701,74.678,53,86.446,"Class1","H",43.606,30,20.313,60.114
54.133,33.14,52.785,8.839,37,27.997,"Class2","W",46.769,56,78.964,49.42
88.573,79.193,55.167,64.813,43,97.095,"Class1","X",11.254,30,16.571,40.848
98.307,31.418,29.309,42.826,96,73.043,"Class5","H",68.599,69,64.156,71.222
22.08,66.633,82.943,8.562,19,38.622,"Class4","D",8.771,12,59.462,26.885
43.075,37.505,56.845,24.66,67,72.198,"Class2","A",42.652,50,78.803,46.252
90.897,74.255,81.128,75.304,13,NA,"Class1","H",28.552,29,15.848,33.378
53.927,1.929,78.889,43.632,67,47.595,"Class3","X",5.989,82,57.33,9.919
80.609,82.582,35.323,47.765,28,77.807,"Class1","P",47.082,26,6.822,34.533
98.519,30.179,27.267,43.038,85,18.637,"Class5","H",74.93,68,56.99,47.019
39.924,51.61,63.199,40.79,1,79.885,"Class1","Q",49.102,33,3.499,36.431
98.376,23.293,29.04,42.907,96,25.984,"Class5","D",70.715,59,58.793,78.49
40.114,1.421,32.538,36.966,75,50.536,"Class3","I",5.897,43,81.757,4.021
60.82,47.334,69.303,65.487,23,85.752,"Class1","H",10.199,58,9.365,8.806
14.821,65.939,61.881,8.5,30,37.047,"Class4","Y",11.115,11,64.488,29.598
