"PVT1","EWU2","YVT3","XIU4","VWP5","TGF6","WGR7","OEX8","EBD9","JXG10","XGE11","Output7"
"J",72.316,64.314,23.233,17.05,51.19,57.731,82,"E",82.52,60.288,"Class2"
"J",69.49,72.229,32.873,22.379,78.095,72.236,65,"Y",79.795,77.72,"Class2"
"G",21.303,32.339,22.241,73.955,17.746,69.792,3,"D",57.628,91.476,"Class3"
"J",69.882,73.429,18.342,37.861,83.542,67.121,78,"Y",66.427,88.18,"Class2"
"M",75.577,63.518,44.062,44.73,91.386,56.649,79,"Y",97.975,23.483,"Class2"
"C",72.296,68.229,18.088,14.135,59.939,66.301,52,"Y",70.632,36.752,"Class2"
NA,26.87,17.135,72.686,40.383,33.046,13.905,11,"T",21.819,45.295,"Class1"
"J",77.978,72.836,20.283,53.197,70.193,67.8,90,"E",84.708,77.752,"Class2"
"O",28.602,31.619,23.59,67.235,20.328,65.698,4,"E",62.9,82.3,"Class3"
"X",18.707,18.342,96.255,67.222,32.152,12.272,21,"S",23.823,78.386,"Class1"
"J",69.58,66.698,23.07,49.972,82.426,58.881,62,"Y",80.646,30.354,"Class2"
"Y",21.3,19.627,71.347,42.288,30.336,16.374,26,"T",8.88,45.599,"Class1"
"H",31.99,29.689,21.449,71.482,19.013,72.747,4,"D",59.314,82.202,"Class3"
"H",28.761,33.624,11.75,70.103,16.167,64.164,2,"O",62.968,91.79,"Class3"
"X",23.109,17.713,75.759,52.445,31.986,39.93,22,"A",34.254,75.441,"Class1"
"V",21.064,17.976,80.82,41.323,30.988,51.035,7,"U",24.463,51.152,"Class1"
"D",22.852,17.03,70.827,69.207,31.615,46.995,14,"E",23.452,82.563,"Class1"
NA,21.814,18.646,73.474,70.107,31.467,13.784,14,"E",35.881,74.522,"Class1"
"M",72.115,70.927,31.6,52.714,61.094,48.348,64,"E",96.236,88.815,"Class2"
"V",23.241,18.617,75.435,70.375,32.661,-1.878,9,"T",32.089,77.728,"Class1"
"F",15.109,47.509,16.497,70.87,23.354,75.714,3,"E",58.187,87.072,"Class3"
"G",29.837,28.504,28.47,66.382,19.58,65.106,3,"E",55.506,91.093,"Class3"
"V",21.705,19.711,74.034,71.104,32.44,3.98,NA,"S",2.021,44.714,"Class1"
"W",75.345,71.49,39.105,46.667,95.125,72.229,61,"W",63.404,8.13,"Class2"
"C",68.595,66.098,26.14,52.818,70.716,77.536,74,"E",92.386,86.843,"Class2"
"P",72.648,67.452,19.343,30.746,70.084,68.808,68,"W",95.439,26.646,"Class2"
"X",23.852,18.122,75.759,64.148,32.044,32.378,25,"U",2.884,63.486,"Class1"
"Y",23.39,17.471,87.867,69.146,32.543,32.377,5,"U",7.474,74.398,"Class1"
"L",17.983,35.275,3.574,59.594,18.754,70.989,4,"O",62.248,82.19,"Class3"
"X",20.577,17.905,78.157,64.733,31.881,-0.446,25,"S",30.217,49.674,"Class1"
"P",19.18,17.818,86.915,54.523,30.966,5.467,6,"A",12.649,49.151,"Class1"
"D",23.126,19.486,91.423,41.307,32.622,37.681,18,"S",31.068,44.956,"Class1"
"H",22.845,40.623,19.008,28.749,26.836,71.221,2,"D",60.153,89.207,"Class3"
"H",21.101,47.357,18.982,35.279,13.262,69.302,2,"O",54.767,84.571,"Class3"
"O",24.891,22.712,20.869,57.285,19.512,67.895,3,"D",55.81,89.303,"Class3"
"Y",25.843,17.31,98.635,41.896,30.595,34.961,NA,"A",29.992,74.088,"Class1"
"L",23.441,40.065,23.131,51.319,20.573,73.203,NA,"D",57.694,89.321,"Class3"
"W",69.786,63.555,0.595,32.459,47.208,61.676,83,"T",63.032,82.913,"Class2"
NA,31.889,39.953,25.201,46.109,18.106,68.428,3,"S",59.744,82.645,"Class3"
"P",69.884,67.232,12.255,41.503,79.824,69.438,68,"Y",76.508,69.969,"Class2"
"X",22.417,18.274,81.543,66.33,32.483,8.447,8,"U",8.42,74.479,"Class1"
"G",31.841,22.203,15.697,74.646,24.342,64.778,3,"G",59.738,81.864,"Class3"
"P",73.503,63.278,12.034,35.631,66.748,66.617,64,"E",87.606,96.053,"Class2"
"W",72.855,73.035,-5.581,57.179,64.113,65.715,82,"W",82.249,62.838,"Class2"
"X",20.272,18.382,69.348,53.345,31.898,46.37,13,"T",16.589,68.818,"Class1"
"L",27.231,48.812,21.465,54.183,18.641,69.948,3,"O",62.038,92.336,"Class3"
"G",18.191,41.183,26.197,44.919,20.488,71.589,4,"S",58.106,87.267,"Class3"
"J",76.504,68.268,23.718,33.66,67.596,68.631,65,"E",76.92,35.023,"Class2"
"O",19.376,36.133,13.88,35.746,21.276,71.822,2,"D",60.365,81.981,"Class3"
"M",68.588,72.703,30.015,42.004,91.571,59.292,71,"W",64.947,21.741,"Class2"
"P",22.985,18.119,93.321,65.906,32.75,22.907,26,"A",33.962,49.817,"Class1"
"J",72.338,71.14,18.83,20.612,70.328,60.554,77,"T",90.314,37.804,"Class2"
"P",22.422,19.263,74.167,50.009,32.13,8.1,14,"E",33.889,64.673,"Class1"
"D",19.651,19.949,62.576,37.88,31.782,43.283,19,"E",9.714,49.093,"Class1"
"W",80.602,70.975,20.76,34.63,75.534,76.708,87,"W",77.734,19.072,"Class2"
NA,24.168,17.301,100.66,55.496,31.762,31.115,14,"A",23.902,61.203,"Class1"
"J",74.713,70.85,16.478,15.189,58.821,74.432,90,"E",88.194,22.498,"Class2"
"P",22.108,17.317,75.797,71.381,31.569,32.62,22,"A",21.982,46.741,"Class1"
"D",17.071,19.666,67.386,63.873,32.038,13.245,25,"T",1.195,75.404,"Class1"
"D",21.022,19.547,67.344,59.332,32.518,24.747,22,"T",29.261,43.226,"Class1"
"D",21.151,18.555,83.404,55.109,30.52,23.824,16,"T",8.225,46.924,"Class1"
"J",77.893,69.662,38.003,39.412,91.301,64.397,53,"Q",86.716,91.168,"Class2"
"M",74.908,63.631,7.901,50.714,76.239,58.662,66,"Y",71.093,14.322,"Class2"
"H",22.556,28.626,26.887,38.02,13.478,69.312,4,"S",53.564,92.891,"Class3"
"Y",25.969,17.936,80.733,40.516,32.842,15.959,19,"T",21.608,80.255,"Class1"
"L",14.987,49.595,15.535,84.318,14.843,67.694,4,"D",56.256,92.028,"Class3"
"G",25.697,29.469,21.395,83.779,17.182,67.958,2,"E",53.231,83.023,"Class3"
NA,21.195,17.356,94.236,67.475,31.661,13.107,9,"T",14.893,82.751,"Class1"
"P",18.886,18.41,82.488,44.238,33.7,-9.35,23,"U",4.818,74.487,"Class1"
"W",72.797,63.524,10.918,54.828,83.514,66.254,70,"T",87.181,3.165,"Class2"
"Y",19.949,17.255,82.902,36.64,31.016,28.568,17,"S",22.531,72.613,"Class1"
"G",32.85,39.302,16.697,38.254,16.911,66.967,3,"D",53.613,84.11,"Class3"
"O",27.521,38.023,6.913,69.267,22.89,69.901,3,"S",60.222,82.552,"Class3"
"O",7.748,48.693,3.078,49.987,27.206,65.927,2,"O",55.76,83.217,"Class3"
"G",21.125,38.674,21.226,84.161,10.788,73.117,3,"O",54.978,85.54,"Class3"
NA,19.997,19.186,71.403,43.51,33.356,57.063,21,"T",36.998,63.79,"Class1"
"O",37.035,26.958,15.305,59.23,19.999,67.007,2,"D",62.804,87.622,"Class3"
"Y",21.862,17.787,74.812,38.796,32.191,26.458,15,"T",31.08,61.593,"Class1"
"W",79.09,67.246,20.599,16.539,74.897,72.801,73,"W",99.105,84.304,"Class2"
"F",31.61,24.797,16.331,52.712,19.991,66.844,3,"S",55.784,86.504,"Class3"
"G",17.15,36.182,25.786,27.3,14.461,71.522,4,"E",57.746,82.575,"Class3"
"X",22.398,19.098,86.381,44.348,30.661,22.683,25,"U",18.778,55.931,"Class1"
"X",24.159,19.983,105.756,39.544,32.361,25.25,16,"S",12.926,68.591,"Class1"
NA,20.416,19.497,73.007,39.663,32.71,15.755,21,"S",5.236,47.283,"Class1"
"O",27.102,29.037,9.734,37.123,18.864,72.644,4,"E",60.528,86.242,"Class3"
"O",26.729,34.647,19.569,42.362,20.516,71.501,3,"O",60.593,86.214,"Class3"
"P",78.94,64.228,21.351,55.319,64.375,65.547,69,"Y",83.051,47.977,"Class2"
"X",23.618,17.093,91.389,52.84,30.849,20.322,7,"U",3.49,69.255,"Class1"
"D",21.978,19.996,93.474,52.37,33.088,30.131,8,"A",31.222,52.204,"Class1"
"P",22.524,18.736,74.293,57.907,32.153,41.41,10,"S",12.761,54.551,"Class1"
"M",74.085,71.956,5.562,46.179,79.283,69.707,71,"Y",70.827,51.358,"Class2"
"J",70.92,72.388,21.88,42.68,57.032,64.396,NA,"Y",80.122,93.134,"Class2"
"Y",23.838,18.484,70.645,64.246,31.606,0.317,20,"U",6.37,55.97,"Class1"
"G",34.38,38.941,10.889,64.879,17.663,68.355,3,"O",62.493,86.456,"Class3"
"V",22.177,17.799,96.09,55.049,31.363,17.005,24,"E",24.252,55.825,"Class1"
"P",71.26,71.691,41.708,57.948,69.893,64.214,87,"Y",92.001,26.788,"Class2"
"O",27.716,26.45,19.309,44.546,17.522,77.304,3,"E",58.832,83.967,"Class3"
"D",20.005,19.137,66.903,59.816,32.548,28.75,8,"S",10.615,51.933,"Class1"
"D",21.645,18.791,78.153,36.108,31.17,-1.24,26,"A",9.463,49.608,"Class1"
"W",75.164,69.744,10.514,45.568,82.713,56.974,62,"T",63.845,29.923,"Class2"
"D",22.822,18.947,75.526,64.339,30.934,4.758,17,"S",28.665,55.138,"Class1"
"O",32.417,46.505,22.613,51.829,21.727,73.121,2,"G",59.77,90.305,"Class3"
"D",21.784,18.218,69.85,46.292,31.56,41.716,12,"T",25.93,82.779,"Class1"
"P",76.825,70.54,30.677,40.074,84.65,59.96,60,"Q",74.519,5.635,"Class2"
"P",23.562,18.832,103.833,41.413,32.616,19.012,7,"A",26.666,49.602,"Class1"
"W",70.215,63.206,24.334,44.569,87.015,76.896,55,"E",74.415,24.171,"Class2"
"M",68.968,73.273,34.724,30.499,66.107,76.52,63,"W",70.844,18.862,"Class2"
"F",25.062,47.001,4.809,63.071,21.853,66.589,2,"S",62.778,82.84,"Class3"
"L",35.631,23.795,16.871,84.891,13.811,68.571,2,"G",61.931,81.693,"Class3"
"Y",19.894,17.946,102.733,58.205,31.546,7.909,26,"E",5.72,47.975,"Class1"
"X",21.727,19.662,68.883,56.931,31.044,22.082,23,"A",4.319,53.191,"Class1"
"W",73.033,64.034,12.841,52.387,76.189,54.335,84,"E",79.66,57.598,"Class2"
"F",21.71,23.57,11.353,83.157,24.251,65.909,3,"G",53.98,87.296,"Class3"
"W",73.576,66.746,19.227,25.427,80.923,70.54,74,"E",66.533,27.558,"Class2"
"J",75.568,73.692,22.614,20.009,65.981,51.692,57,"W",83.645,6.082,"Class2"
"F",14.745,22.307,13.44,57.937,17.635,71.644,4,"G",62.058,84.104,"Class3"
"V",19.79,17.403,95.083,46.89,32.616,5.307,16,"U",35.734,48.658,"Class1"
NA,71.718,64.106,15.409,56.592,66.042,59.539,85,"W",86.744,26.246,"Class2"
"J",80.813,68.15,28.01,45.81,80.546,68.627,59,"W",98.22,39.02,"Class2"
"P",22.434,19.795,106.381,54.261,32.038,45.303,17,"T",3.584,62.156,"Class1"
"H",23.401,38.743,27.452,79.199,16.766,68.963,3,"D",57.249,87.594,"Class3"
"D",23.626,18.6,92.519,41.674,33.568,24.771,25,"E",1.693,58.849,"Class1"
"Y",20.418,17.802,88.502,45.861,31.31,5.673,15,"T",35.512,71.398,"Class1"
"M",68.818,68.813,9.387,20.729,65.053,63.246,82,"E",93.775,95.922,"Class2"
"X",20.797,17.511,69.626,45.284,33.09,5.066,NA,"A",36.201,80.499,"Class1"
"O",31.094,27.942,13.494,49.728,9.359,72.492,2,"G",58.776,83.628,"Class3"
NA,70.084,73.289,19.562,39.983,65.958,56.599,NA,"Y",63.149,31.951,"Class2"
"L",24.922,22.325,14.707,33.05,16.829,65.088,2,"G",61.617,87.272,"Class3"
"P",23.555,17.903,95.062,54.261,30.369,-0.576,3,"E",23.177,66.732,"Class1"
"P",77.498,68.761,16.492,20.944,67.608,52.002,61,"E",65.747,20.491,"Class2"
"P",70.97,68.512,37.923,39.357,72.148,65,67,"T",81.882,87.689,"Class2"
"L",30.128,39.412,11.605,58.29,18.246,66.805,4,"S",60.523,91.745,"Class3"
"O",21.189,48.472,21.224,61.877,9.51,76.11,4,"G",53.077,89.363,"Class3"
"W",75.159,68.663,17.722,33.812,69.639,52.754,80,"Y",76.674,60.823,"Class2"
"W",72.912,73.37,3.767,50.397,77.46,46.656,59,"Y",74.485,80.692,"Class2"
"M",70.069,69.203,15.361,24.497,73.107,76.286,60,"E",78.539,48.555,"Class2"
"C",77.703,66.805,9.357,57.979,75.517,68.715,71,"W",92.836,71.088,"Class2"
"D",20.143,19.234,83.676,46.018,31.34,-9.391,16,"A",2.042,66.537,"Class1"
"D",20.358,18.486,76.54,57.882,31.615,7.957,8,"S",20.189,73.688,"Class1"
"D",19.619,17.578,71.292,42.161,32.907,38.059,19,"A",5.864,70.381,"Class1"
"V",21.801,18.76,81.421,54.956,32.782,23.276,18,"S",19.31,59.089,"Class1"
"P",22.033,17.362,88.953,59.2,32.365,31.685,4,"T",12.288,56.002,"Class1"
"J",78.918,64.223,17.303,28.862,67.695,54.151,57,"Q",75.929,7.165,"Class2"
"V",25.721,17.246,96.558,60.632,32.188,9.401,26,"S",7.788,56.529,"Class1"
"J",69.898,63.109,52.919,47.864,90.972,70.323,68,"W",95.307,56.757,"Class2"
"L",32.325,34.78,26.248,78.306,31.408,73.521,3,"G",53.615,84.746,"Class3"
"F",30.047,27.964,14.774,66.44,22.238,70.8,4,"D",55.225,91.012,"Class3"
NA,22.513,17.099,74.533,61.372,32.471,42.114,13,"T",20.538,61.492,"Class1"
"G",17.879,36.861,5.781,28.91,24.454,72.711,2,"S",58.668,89.721,"Class3"
"J",71.274,64.6,12.826,37.585,74.045,50.481,73,"Y",80.935,51.355,"Class2"
"Y",22.431,19.976,87.329,65.718,32.449,38.468,12,"A",21.546,83.101,"Class1"
"H",19.218,42.617,18.368,59.558,16.807,68.164,4,"G",60.571,91.409,"Class3"
"O",17.954,33.799,12.948,82.721,15.188,68.894,2,"S",58.388,92.352,"Class3"
"Y",20.912,17.39,88.579,71.721,32.562,50.028,11,"U",14.954,55.419,"Class1"
"X",23.585,17.4,88.103,38.906,31.446,-0.17,22,"E",12.691,59.897,"Class1"
NA,71.96,69.213,20.305,35.979,79.305,55.266,83,"W",85.331,64.464,"Class2"
"L",23.792,49.683,15.275,79.067,13.018,71.831,4,"D",62.176,89.769,"Class3"
"P",24.325,19.875,65.385,44.228,31.113,23.96,21,"U",26.443,70.618,"Class1"
"P",76.815,67.298,19.278,18.291,70.749,74.701,69,"Y",64.648,28.764,"Class2"
"X",22.391,18.153,76.809,62,31.409,30.758,6,"S",19.833,65.082,"Class1"
"H",17.437,42.524,21.768,74.634,20.38,66.001,3,"G",60.467,90.308,"Class3"
"H",25.462,47.96,16.656,77.726,5.484,72.153,2,"O",55.621,88.473,"Class3"
"F",35.731,34.42,16.383,54.958,20.584,72.312,2,"O",59.169,90.689,"Class3"
"M",68.024,65.343,23.496,31.467,66.905,79.638,NA,"E",85.673,33.687,"Class2"
"P",71.828,63.059,30.379,19.105,72.535,67.365,60,"T",96.921,7.804,"Class2"
"D",19.821,19.626,89.942,66.316,31.931,18.878,4,"U",29.02,70.179,"Class1"
"H",26.415,24.751,17.777,52.753,23.625,73.545,4,"O",54.051,90.809,"Class3"
"J",70.268,68.632,31.162,42.587,63.87,56.534,77,"W",68.191,17.883,"Class2"
"G",32.691,48.149,13.439,47.796,16.017,65.43,3,"O",58.451,86.677,"Class3"
"M",67.842,69.7,-2.589,47.824,59.276,60.983,78,"T",86.861,84.164,"Class2"
"F",20.789,28.873,23.01,29.878,20.997,71.853,4,"D",61.754,89.899,"Class3"
NA,29.746,36.217,8.636,56.169,15.074,70.943,4,"O",58.035,81.15,"Class3"
"H",34.142,38.853,22.783,35.625,13.851,73.593,4,"O",61.666,92.666,"Class3"
"C",71.758,63.239,19.045,48.615,43.44,59.036,56,"E",94.801,21.857,"Class2"
"X",24.73,19.367,99.93,57.64,31.244,41.779,14,"T",14.819,55.688,"Class1"
"L",20.762,23.224,5.582,66.394,14.155,70.802,4,"S",60.802,83.787,"Class3"
"L",26.825,28.352,15.661,78.25,17.648,71.842,4,"D",56.442,84.441,"Class3"
"G",29.735,26.552,1.621,30.899,23.794,75.533,4,"D",53.473,90.377,"Class3"
