"YHS1","MVY2","ZDE3","XWB4","BPA5","UKA6","WYP7","JSM8","Output14","MGV9","QEF10"
30.763,44.184,30.867,"A",38.379,26.025,67.079,56.178,"Class2",NA,88
39.591,33.37,59.729,"T",46.978,97.856,29.582,52.04,"Class1",51.388,19
58.724,84.041,66.714,"O",26.439,52.632,39.072,63.392,"Class3",92.821,66
41.795,84.394,67.026,"O",23.017,54.982,34.598,57.76,"Class3",82.276,54
77.261,72.818,31.136,"I",56.689,55.62,21.171,17.822,"Class4",7.465,89
74.122,64.521,36.2,"I",86.453,33.135,22.199,25.225,"Class4",14.379,83
48.339,83.13,65.157,"T",18.936,47.983,23.612,77.198,"Class3",87.993,59
15.626,57.099,55.228,"T",46.237,93.92,17.428,58.034,"Class1",60.279,19
48.713,83.043,64.654,"W",14.664,49.119,40.273,59.439,"Class3",87.809,66
68.25,33.802,10.603,"C",83.537,46.781,21.7,29.24,"Class4",16.959,91
54.084,86.027,66.072,"L",17.665,55.322,18.951,71.085,"Class3",91.608,56
51.888,82.6,67.401,"O",30.398,56.602,12.491,41.08,"Class3",85.123,62
71.792,42.327,37.321,"L",48.068,29.697,21.395,11.403,"Class4",13.843,90
41.367,24.51,46.636,"K",47.243,92.276,8.095,48.464,"Class1",42.51,19
44.307,79.14,65.14,"L",18.647,51.884,12.255,50.938,"Class3",91.106,68
76.551,69.329,27.11,"C",55.451,3.352,21.532,33.303,"Class4",11.723,99
79.209,54.883,47.24,"Y",46.227,96.644,18.537,78.191,"Class1",22.336,21
21.488,81.848,55.685,"T",48.156,89.489,31.286,45.298,"Class1",77.149,20
79.53,67.464,36.841,"O",64.784,54.854,21.476,28.638,"Class4",17.248,87
24.401,48.589,42.455,"A",16.661,33.834,55.712,49.36,"Class2",46.353,87
89.133,77.969,68.656,"C",21.269,3.903,21.47,2.967,"Class4",14.434,96
62.83,75.542,40.141,"L",62.712,50.185,21.174,17.61,"Class4",11.373,70
46.944,81.086,64.636,"H",18.637,53.434,19.189,46.887,"Class3",91.245,54
88.566,31.625,60.11,"I",69.753,73.362,21.704,18.766,"Class4",12.728,65
29.122,40.933,50.97,"T",46.444,89.098,5.301,88.687,"Class1",NA,21
84.944,70.524,22.299,"F",84.788,84.302,21.358,12.874,"Class4",19.57,65
66.652,48.158,31.05,"C",78.116,76.469,21.891,19.657,"Class4",9.706,66
63.775,53.757,33.759,"I",68.771,82.283,21.468,27.712,"Class4",18.163,85
86.253,76.936,49.06,"F",22.024,55.312,21.4,26.41,"Class4",11.8,83
23.017,45.717,62.401,"M",28.117,18.929,55.515,57.298,"Class2",46.089,87
14.462,36.312,43.022,"R",45.122,97.165,9.856,64.448,"Class1",47.03,20
32.782,43.315,63.447,"A",31.384,27.783,75.748,43.97,"Class2",37.696,88
25.594,44.766,55.877,"R",47.928,92.587,8.406,83.844,"Class1",31.382,21
48.205,81.846,66.16,"L",16.578,48.856,19.51,80.061,"Class3",82.548,56
75.653,68.211,17.333,"C",70.367,51.289,21.39,22.994,"Class4",11.855,91
50.168,43.928,40.78,"A",16.829,51.051,57.562,57.472,"Class2",40.34,88
46.427,43.922,77.821,"R",20.664,81.529,105.522,46.605,"Class2",36.334,88
91.986,36.338,15.045,"F",66.546,83.929,21.32,28.17,"Class4",15.108,90
48.884,81.479,66.252,"W",38.321,56.757,45.027,51.315,"Class3",94.16,69
30.67,47.069,52.028,"F",32.335,38.015,83.914,54.55,"Class2",38.651,88
46.979,47.245,63.376,"A",12.426,22.792,84.635,38.449,"Class2",54.874,87
41.186,82.713,65.913,"W",12.678,54.251,29.603,60.541,"Class3",86.159,54
43.681,82.225,67.606,"W",18.367,51.761,34.625,65.204,"Class3",91.827,69
59.012,69.79,41.613,"K",46.151,95.755,17.035,60.997,"Class1",39.369,19
41.068,46.626,12.884,"B",40.462,23.988,53.415,64.806,"Class2",44.249,88
43.776,44.771,62.075,"F",-0.822,86.566,76.254,49.357,"Class2",44.356,88
28.213,57.355,45.258,"K",45.308,93.479,19.064,77.777,"Class1",43.14,20
69.676,24.863,54.971,"K",45.506,92.13,6.346,69.1,"Class1",28.661,21
49.652,84.519,68.357,"T",25.821,52.494,50.852,73.004,"Class3",87.124,56
27.067,49.784,58.113,"F",15.206,37.555,63.552,73.885,"Class2",39.49,88
64.995,59.775,53.131,"V",45.813,93.546,26.537,76.339,"Class1",54.532,21
58.491,86.96,66.282,"W",23.542,57.129,35.5,64.581,"Class3",85.992,68
50.268,79.011,67.353,"T",27.126,48.596,27.53,52.626,"Class3",82.343,63
25.124,43.651,76.576,"A",26.805,39.537,94.862,44.749,"Class2",46.352,88
49.939,82.17,66.928,"T",16.296,48.819,46.154,63.346,"Class3",94.848,57
80.287,64.485,85.346,"L",44.9,46.844,21.648,24.706,"Class4",18.938,86
43.04,49.11,50.724,"B",64.493,49.838,69.028,42.388,"Class2",44.444,88
85.521,39.334,47.93,"I",56.919,61.851,21.302,25.199,"Class4",13.49,63
26.265,18.794,56.249,"V",47.011,95.971,6.164,55.663,"Class1",43.507,20
67.483,46.537,23.454,"I",62.111,5.556,22.2,9.098,"Class4",15.212,61
44.905,79.695,65.45,"L",25.496,53.365,16.895,71.196,"Class3",85.167,69
53.283,85.863,63.764,"H",19.695,56.104,29.319,66.079,"Class3",90.474,64
79.246,61.847,28.799,"I",55.67,50.711,21.456,25.667,"Class4",9.426,93
86.691,61.964,32.037,"L",59.156,26.936,21.258,12.747,"Class4",7.958,90
82.905,67.798,58.999,"O",62.524,6.823,22.265,16.075,"Class4",9.852,89
74.994,35.63,28.988,"C",64.208,73.287,21.963,27.81,"Class4",13.925,70
39.793,45.198,37.566,"R",40.315,57.994,84.103,45.107,"Class2",44.891,88
59.16,40.473,54.336,"R",47.139,92.352,24.661,61.367,"Class1",50.379,20
78.897,42.392,55.598,"F",58.642,41.138,21.73,26.599,"Class4",11.771,82
44.944,80.851,66.875,"O",25.074,56.841,26.616,69.318,"Class3",88.726,67
46.383,45.529,20.405,"A",16.488,36.462,85.724,81.844,"Class2",54.903,88
38.504,39.038,50.388,"T",45.806,90.955,16.716,52.53,"Class1",76.716,20
82.17,80.517,18.94,"L",49.009,22.169,21.664,22.722,"Class4",20.767,84
31.664,48.226,47.682,"R",42.062,67.729,121.085,58.278,"Class2",51.769,87
73.848,55.394,28.007,"O",79.333,62.539,21.242,32.69,"Class4",19.497,62
44.305,44.922,30.631,"M",37.445,52.336,65.535,65.359,"Class2",38.561,88
74.949,69.504,54.822,"Y",47.231,93.765,13.14,44.119,"Class1",63.078,19
66.742,66.829,53.948,"I",52.649,14.187,21.654,28.243,"Class4",7.17,65
56.75,83.926,64.143,"O",15.61,49.468,43.014,80.594,"Class3",94.886,53
47.126,81.375,65.852,"W",23.904,55.519,37.23,40.693,"Class3",90.624,69
29.103,44.799,80.362,"F",63.158,71.712,82.732,50.238,"Class2",41.531,87
56.144,82.379,66.872,"O",17.157,47.352,20.113,69.646,"Class3",86.421,67
44.9,80.518,66.671,"W",11.317,53.442,26.208,63.442,"Class3",81.58,55
31.567,46.331,57.925,"B",45.895,20.272,62.182,63.296,"Class2",45.92,88
88.491,49.015,19.544,"C",44.551,47.407,21.936,14.704,"Class4",7.183,89
44.342,83.119,64.799,"L",28.418,52.956,7.801,80.75,"Class3",84.373,62
48.88,45.377,22.329,"F",14.97,74.789,73.459,52.014,"Class2",31.826,88
14.908,80.41,52.558,"V",47.02,94.014,10.114,89.945,"Class1",34.007,21
40.209,82.696,65.817,"H",28.544,54.004,26.413,68.163,"Class3",89.652,69
79.713,32.542,44.375,"Y",48.484,89.221,32.486,88.743,"Class1",34.437,19
63.165,63.083,36.834,"R",44.861,91.269,7.546,60.532,"Class1",68.829,20
48.475,82.484,66.989,"T",21.989,52.49,33.329,46.504,"Class3",83.988,64
47.021,48.948,48.943,"F",43.608,41.313,92.27,35.273,"Class2",52.257,87
74.38,59.605,67.224,"Y",47.086,92.038,6.457,65.753,"Class1",36.017,20
53.685,83.369,66.717,"H",19.2,52.173,22.63,54.336,"Class3",90.338,57
74.461,43.553,34.408,"I",40.249,62.657,21.141,23.697,"Class4",15.763,84
75.157,77.298,52.196,"R",44.14,91.106,11.516,87.818,"Class1",37.608,21
73.273,78.275,42.734,"O",69.097,44.61,21.5,16.478,"Class4",8.136,66
42.122,41.243,57.676,"K",46.776,90.522,16.102,47.856,"Class1",79.67,19
20.342,75.963,39.99,"Y",46.251,89.912,7.464,95.279,"Class1",71.869,19
17.062,65.366,44.22,"K",46.887,88.631,26.162,44.042,"Class1",29.82,21
85.992,76.482,-1.249,"F",62.628,7.69,21.186,35.456,"Class4",17.062,80
27.024,8.231,47.267,"V",45.664,93.214,22.975,90.485,"Class1",30.658,20
19.784,52.366,48.104,"V",45.441,88.903,28.048,62.951,"Class1",45.734,20
15.675,51.451,42.174,"T",47.318,92.412,10.115,69.248,"Class1",34.407,21
80.374,54.298,18.731,"F",26.633,84.691,20.87,25.439,"Class4",16.555,85
55.345,35.707,59.063,"V",46.682,91.796,21.351,32.05,"Class1",70.932,19
57.037,82.271,70.076,"O",32.869,57.183,20.833,36.994,"Class3",81.838,57
70.8,29.772,24.329,"I",48.869,61.236,21.441,27.318,"Class4",19.177,82
43.538,85.024,65.599,"W",11.457,54.22,37.192,63.953,"Class3",91.569,56
37.43,56.404,32.595,"R",45.237,96.371,6.525,49.246,"Class1",34.023,20
66.942,52.637,18.868,"L",63.688,61.511,21.194,26.35,"Class4",18.845,97
14.764,69.515,68.331,"V",47.277,94.047,42.511,82.032,"Class1",73.872,19
51.302,80.128,65.274,"T",18.344,55.274,0.08,56.985,"Class3",82.017,55
24.587,43.996,56.514,"R",47.939,85.107,84.95,58.423,"Class2",49.783,87
77.946,53.687,52.781,"C",58.617,77.948,21.385,27.519,"Class4",13.325,64
89.474,47.011,52.533,"O",39.972,60.414,21.462,22.444,"Class4",9.663,90
89.586,29.463,43.517,"O",65.369,11.524,22.143,13.118,"Class4",20.816,61
53.946,49.95,60.387,"B",16.24,80.874,61.828,49.638,"Class2",35.902,88
54.632,85.184,67.265,"W",20.37,51.154,41.332,41.026,"Class3",85.601,63
45.73,83.396,65.09,"L",23.372,53.785,10.391,50.003,"Class3",NA,58
57.426,84.584,65.175,"O",25.074,48.591,34.71,74.363,"Class3",90.516,56
50.815,45.392,70.172,"Y",47.752,88.944,6.457,110.801,"Class1",55.478,19
46.398,80.045,66.428,"T",14.203,47.832,9.084,65.914,"Class3",89.318,65
72.481,38.863,54.606,"Y",46.728,89.595,13.94,61.16,"Class1",77.444,21
49.778,80.852,69.095,"O",15.418,49.803,20.438,70.917,"Class3",91.359,52
52.875,44.712,59.447,"T",46.963,96.114,13.524,73.416,"Class1",73.24,19
15.004,76.086,49.682,"K",48.996,88.281,23.455,54.796,"Class1",49.752,19
11.957,67.883,41.652,"K",46.565,90.629,43.561,89.403,"Class1",42.002,21
43.858,79.721,67.483,"W",19.046,52.089,6.709,40.562,"Class3",81.58,60
39.34,34.818,46.551,"V",46.233,95.476,22.087,20.863,"Class1",37.363,21
39.846,77.139,53.996,"V",46.297,89.855,25.295,71.297,"Class1",50.828,20
40.404,85.389,64.671,"O",11.83,48.877,6.025,61.964,"Class3",89.961,66
61.875,62.57,29.669,"I",22.571,23.582,21.87,21.164,"Class4",11.017,95
58.562,85.94,64.937,"L",10.871,50.508,45.685,82.013,"Class3",81.242,61
18.222,41.184,51.914,"R",46.572,91.787,15.756,39.197,"Class1",62.411,19
65.361,44.534,54.325,"O",64.691,43.488,21.263,26.28,"Class4",18.344,86
46.415,85.397,67.13,"H",27.115,47.285,33.25,77.502,"Class3",92.985,56
32.187,49.559,65.667,"F",28.209,82.221,86.784,53.839,"Class2",32.286,87
69.318,83.431,35.138,"F",69.792,57.074,21.866,23.421,"Class4",8.346,66
47.839,49.506,40.62,"B",9.539,46.897,72.009,43.946,"Class2",54.887,88
87.902,61.169,24.391,"F",61.086,33.024,21.058,14.142,"Class4",15.055,80
47.076,45.238,81.111,"B",42.647,70.521,51.61,58.983,"Class2",48.472,88
36.97,49.959,39.53,"F",30.418,48.769,74.935,54.617,"Class2",47.802,88
49.899,81.539,65.968,"L",18.915,55.945,39.213,48.562,"Class3",83.672,66
30.01,77.261,53.582,"Y",46.06,92.172,36.308,64.607,"Class1",55.455,19
52.314,80.264,69.492,"W",26.002,48.676,30.891,54.2,"Class3",NA,64
54.859,82.763,65.361,"O",13.728,53.352,17.884,32.257,"Class3",83.429,67
28.239,82.016,60.422,"T",45.167,96.816,15.618,62.543,"Class1",61.993,21
29.715,NA,37.78,"T",44.82,89.105,7.296,68.842,"Class1",80.922,20
90.338,NA,58.904,"I",59.698,7.298,21.614,19.192,"Class4",14.831,63
43.96,86.83,64.762,"W",30.442,49.319,4.048,51.761,"Class3",81.55,68
62.916,44.879,54.858,"F",35.943,56.207,21.574,9.025,"Class4",8.538,64
65.324,60.603,37.333,"O",50.409,47.49,20.446,17.443,"Class4",18.712,91
45.851,86.724,64.292,"H",28.856,55.633,22.785,58.7,"Class3",81.304,56
63.763,54.288,64.098,"T",45.399,88.238,17.631,53.097,"Class1",24.087,19
45.15,45.494,38.568,"F",19.986,41.72,92.66,44.152,"Class2",41.46,88
50.327,45.998,67.191,"M",10.609,84.893,74.078,38.484,"Class2",35.37,88
42.55,47.697,105.098,"A",27.297,83.816,68.779,66.884,"Class2",36.873,88
53.728,82.281,66.517,"H",15.589,53.164,22.847,74.279,"Class3",86.216,59
75.062,NA,62.696,"I",43.419,62.321,21.732,24.932,"Class4",20.308,63
50.852,51.21,63.426,"T",46.702,88.755,11.509,121.058,"Class1",33.141,20
58.412,84.772,64.523,"H",12.037,48.31,13.249,39.939,"Class3",93.218,52
13.622,32.791,46.698,"Y",47.023,91.091,17.58,58.546,"Class1",76.179,20
31.049,43.026,52.023,"F",33.299,22.874,61.37,67.06,"Class2",50.852,88
85.193,83.656,47.308,"L",64.775,48.647,20.932,32.791,"Class4",15.814,66
