"OHJ1","KDH2","WHB3","PGJ4","ZLP5","JUH6","DCF7","Output9","HJC8","IMD9","UWR10"
46.447,54.415,42.858,52.751,86,89.039,71.66,"Class2","X",23,11.947
30.263,36.355,74.954,46.235,88,45.139,57.71,"Class1","I",87,49.93
32.304,54.413,42.093,64.073,84,87.404,78.714,"Class2","X",10,44.481
83.104,55.809,62.431,31.38,18,85.319,15.735,"Class4","J",74,10.664
25.084,21.918,57.329,NA,85,45.763,54.31,"Class1","I",83,64.209
78.662,53.988,51.984,30.09,40,90.879,51.896,"Class4","R",79,NA
74.143,55.301,61.054,30.893,32,86.709,18.116,"Class4","R",78,1.298
24.794,38.396,34.653,54.192,24,56.794,25.273,"Class3","S",70,88.278
23.806,55.844,38.284,66.783,79,87.791,68.915,"Class2","A",17,29.352
91.027,53.147,48.078,24.592,32,90.427,31.583,"Class4","V",76,NA
30.42,21.39,47.09,43.591,88,39.188,57.669,"Class1","I",82,29.867
23.102,20.246,64.797,35.892,73,43.396,63.717,"Class1","P",84,39.164
26.398,38.857,30.194,18.279,21,26.97,26.746,"Class3","V",72,87.062
61.163,66.209,42.406,66.253,87,86.497,77.258,"Class2","X",23,40.784
27.171,16.412,30.358,47.34,22,3.465,25.341,"Class3","V",69,86.703
46.043,67.8,43.483,67.842,78,77.852,76.807,"Class2","M",21,19.91
11.94,57.918,37.765,50.127,90,88.663,70.346,"Class2","X",8,25.054
30.184,63.772,41.465,81.246,79,82.282,60.296,"Class2","M",24,30.263
31.337,42.67,28.073,116.227,11,26.81,29.952,"Class3","S",73,84.222
31.003,48.428,59.327,52.823,16,1.503,26.584,"Class3","L",71,84.944
44.869,54.933,40.487,84.046,93,81.787,70.879,"Class2","M",28,19.745
30.964,23.148,37.95,44.397,84,41.418,65.668,"Class1","E",87,24.654
28.636,25.959,32.761,43.522,70,49.617,61.616,"Class1","H",87,50.199
27.056,20.718,60.421,38.192,75,46.445,53.423,"Class1","H",87,73.048
20.16,28.68,55.966,86.1,21,27.388,27.029,"Class3","Q",70,82.704
29.324,44.265,23.937,24.629,24,36.317,25.205,"Class3","S",74,86.3
28.25,23.282,34.9,52.97,90,25.198,65.544,"Class1","I",86,18.414
60.167,53.107,44.283,70.115,78,80.954,70.014,"Class2","X",23,35.368
27.861,32.347,61.486,38.779,75,28.078,54.04,"Class1","H",85,50.32
30.53,31.531,61.573,33.332,22,47.755,29.935,"Class3","R",70,84.039
76.525,62.719,35.348,46.287,91,88.177,71.495,"Class2","A",19,44.749
12.72,57.054,36.329,52.828,89,84.62,64.83,"Class2","V",6,7.327
43.693,55.001,43.138,75.586,76,84.323,77.872,"Class2","A",27,26.065
23.233,42.989,57.501,-11.192,18,27.519,31.84,"Class3","L",68,87.115
47.1,53.487,39.315,70.346,88,75.916,63.183,"Class2","H",13,40.481
28.625,26.645,71.502,43.982,66,37.679,67.778,"Class1","H",85,57.41
39.018,64.557,40.825,46.136,87,84.582,64.811,"Class2","V",3,46.66
-3.478,57.89,35.134,53.301,87,79.557,70.73,"Class2","M",27,62.834
32.997,66.59,42.939,56.693,85,84.714,67.595,"Class2","A",30,51.275
27.4,33.232,36.53,47.267,77,25.162,53.244,"Class1","E",83,70.345
13.536,55.509,41.062,57.737,77,81.524,67.62,"Class2","M",27,67.237
85.045,53.911,54.984,27.232,45,85.843,52.759,"Class4","J",81,5.984
85.54,54.733,41.655,36.758,23,89.973,22.363,"Class4","A",88,28.996
24.59,44.124,56.94,75.001,14,26.776,31.402,"Class3","S",75,NA
35.331,55.948,39.053,61.558,85,90.505,78.18,"Class2","H",6,27.078
24.923,42.231,28.634,33.638,5,47.879,27.606,"Class3","R",69,85.159
82.167,53.375,58.267,29.184,26,89.899,35.611,"Class4","A",80,18.534
74.55,55.007,45.11,31.696,40,92.071,43.714,"Class4","J",72,41.523
20.701,48.317,61.941,68.433,6,21.12,30.585,"Class3","R",71,88.981
29.644,43.93,60.454,78.39,10,-1.022,27.194,"Class3","V",74,85.509
51.353,60.008,38.854,70.266,78,84.347,68.323,"Class2","V",18,44.693
41.536,54.774,36.291,55.486,76,85.434,72.895,"Class2","H",9,25.918
80.214,53.777,52.493,33.893,27,88.274,40.438,"Class4","V",65,26.99
88.841,55.022,50.182,30.716,15,90.936,19.367,"Class4","V",85,37.209
27.014,29.266,81.422,36.64,72,35.825,52.385,"Class1","H",87,6.487
23.893,16.894,43.06,50.509,21,50.126,29.426,"Class3","R",74,87.099
84.637,55.581,42.645,30.36,12,87.559,15.94,"Class4","I",73,11.369
24.171,43.836,33.566,2.817,23,19.946,28.349,"Class3","Q",71,88.511
84.801,55.726,42.232,24.745,37,87.55,53.474,"Class4","V",85,28.081
83.089,53.65,51.469,NA,41,86.02,28.628,"Class4","J",88,15.102
75.375,53.496,61.014,31.546,42,90.601,14.741,"Class4","V",75,18.269
21.015,27.649,52.213,54.942,11,25.377,31.435,"Class3","S",69,85.599
77.239,62.547,37.273,69.766,79,75.991,62.384,"Class2","M",27,18.678
24.009,41.643,34.529,19.931,6,40.206,30.675,"Class3","S",71,87.749
75.491,55.425,48.942,34.213,33,95.05,54.26,"Class4","V",85,29.083
74.095,55.26,49.372,30.721,28,92.916,17.508,"Class4","A",63,12.707
81.892,56.783,38.386,44.176,79,96.127,77.392,"Class2","M",30,35.005
44.43,58.148,41.666,83.977,86,80.438,72.67,"Class2","M",17,24.96
28.074,40.394,27.949,7.952,21,31.765,28.953,"Class3","Q",72,82.445
28.637,27.671,51.392,41.188,63,39.667,56.026,"Class1","B",83,23.923
30.137,58.37,40.454,68.295,94,81.698,65.062,"Class2","X",12,-2.554
28.043,35.212,43.818,47.863,66,47.253,52.968,"Class1","H",86,28.206
37.516,58.776,40.644,56.311,81,86.074,68.989,"Class2","X",19,12.079
43.287,58.514,41.17,70.423,86,82.941,65.758,"Class2","M",6,22.304
34.047,53.92,36.347,54.457,89,79.424,74.177,"Class2","M",25,28.082
25.942,22.161,38.82,55.451,18,67.806,29.306,"Class3","R",71,86.478
27.977,66.059,42.059,74.998,93,83.487,65.512,"Class2","A",14,10.006
29.221,37.835,75.154,43.437,76,25.285,65.688,"Class1","H",82,31.253
88.6,54.466,67.396,38.692,16,88.039,25.369,"Class4","A",85,33.138
71.396,54.085,64.844,34.348,22,88.743,54.06,"Class4","I",67,5.468
26.053,43.51,55.87,57.532,15,39.972,28.873,"Class3","Q",74,86.852
24.041,31.987,52.475,53.727,84,35.275,61.836,"Class1","E",87,20.29
28.371,25.322,29.329,-9.129,24,24.692,25.134,"Class3","R",72,82.611
27.394,39.552,29.084,34.511,4,23.231,30.39,"Class3","R",67,87.991
53.814,67.491,43.578,70.133,77,80.924,63.621,"Class2","M",33,44.873
74.058,53.74,53.715,25.682,21,91.261,50.478,"Class4","J",68,-4.314
78.662,53.501,52.033,29.336,10,91.239,41.203,"Class4","R",89,32.145
26.636,32.545,29.211,45.045,24,28.694,31.695,"Class3","V",70,84.891
30.305,58.669,38.8,65.123,80,80.053,71.575,"Class2","M",28,29.788
25.297,26.371,48.318,NA,17,8.631,25.566,"Class3","R",73,84.372
30.629,37.413,61.826,13.671,65,44.568,60.388,"Class1","I",82,69.401
23.037,26.996,52.274,NA,81,34.653,67.504,"Class1","P",85,14.742
49.975,67.75,41.623,60.851,92,87.042,61.758,"Class2","A",2,51.687
83.388,55.083,63.757,27.441,21,90.016,44.252,"Class4","R",74,23.203
23.761,30.84,49.208,22.938,71,25.961,57.47,"Class1","B",85,19.954
77.366,64.396,44.348,75.363,91,79.976,65.91,"Class2","M",20,25.408
35.689,23.952,44.538,83.638,13,47.967,26.885,"Class3","Q",68,83.512
28.099,20.218,70.263,35.766,71,27.379,56.668,"Class1","I",87,53.948
82.366,54.636,53.543,17.891,29,91.166,37.746,"Class4","A",84,38.823
37.707,64.139,40.456,NA,79,89.928,64.72,"Class2","V",7,40.314
29.789,21.225,63.709,34.604,76,40.645,60.968,"Class1","I",82,31.716
34.587,35.572,65.956,-17.406,15,49.565,28.995,"Class3","V",75,86.251
22.067,22.676,80.808,8.574,61,58.121,63.788,"Class1","H",83,57.142
29.468,41.827,32.85,41.069,15,31.555,27.147,"Class3","R",69,81.191
78.15,53.974,54.132,27.558,34,89.315,29.517,"Class4","V",77,26.602
82.203,53.078,60.147,26.965,45,90.752,14.58,"Class4","A",64,24.653
93.611,55.974,43.237,29.23,35,90.14,50.716,"Class4","A",87,30.055
28.109,19.66,64.417,27.721,10,45.475,30.098,"Class3","L",69,89.663
30.536,40.428,21.479,139.899,5,42.793,25.75,"Class3","Q",73,90.293
27.95,23.146,81.269,47.212,64,35.035,58.879,"Class1","P",82,40.569
80.436,53.904,67.865,27.648,42,90.408,54.308,"Class4","J",88,0.674
26.156,40.191,48.682,59.648,17,73.28,26.78,"Class3","S",67,91.707
29.505,27.08,21.941,72.651,8,22.461,30.241,"Class3","V",73,84.319
62.179,60.499,44.482,51.348,90,79.946,66.62,"Class2","A",13,31.03
27.393,24.105,63.178,42.207,69,39.256,65.405,"Class1","E",82,14.383
32.247,45.74,22.431,-14.872,22,13.541,25.8,"Class3","V",72,81.341
27.93,29.145,24.767,27.115,23,39.7,25.31,"Class3","R",70,81.014
23.13,43.206,45.961,18.188,17,-14.091,29.683,"Class3","V",75,87.816
83.481,53.276,39.427,26.363,29,89.901,13.901,"Class4","R",84,40.356
25.589,25.459,58.019,35.498,57,31.716,56.132,"Class1","B",84,26.612
27.265,31.841,43.244,37.651,68,35.914,64.363,"Class1","E",82,33.406
23.044,39.684,36.351,83.525,18,22.484,25.868,"Class3","Q",72,91.477
52.632,56.145,45.6,66.929,90,85.101,74.874,"Class2","M",32,17.491
22.182,37.203,64.418,67.154,67,33.03,60.437,"Class1","E",82,60.086
68.584,60.983,45.529,67.303,82,85.135,62.051,"Class2","H",20,32.821
89.206,53.854,47.258,NA,25,93.313,46.949,"Class4","R",71,18.004
27.206,48.45,38.658,96.545,11,49.158,28.737,"Class3","V",74,89.185
51.901,57.175,40.223,37.947,76,82.235,68.454,"Class2","V",26,39.353
26.086,29.599,45.441,40.378,66,40.228,67.475,"Class1","B",84,63.725
78.385,53.299,60.112,28.58,29,88.034,33.526,"Class4","J",71,33.93
28.214,34.455,66.493,47.509,91,43.521,63.721,"Class1","B",86,25.157
28.45,28.078,46.333,38.165,6,45.956,28.922,"Class3","R",68,87.459
24.054,40.635,20.24,42.364,10,43.093,28.044,"Class3","L",72,84.949
26.459,33.48,43.739,NA,61,53.638,59.323,"Class1","E",83,26.606
21.678,42.468,64.079,76.74,5,54.938,29.003,"Class3","R",69,89.446
26.571,32.61,69.071,60.566,67,52.73,53.445,"Class1","H",84,32.004
86.732,55.391,50.637,23.878,24,85.691,53.449,"Class4","A",68,36.123
59.012,53.467,40.698,75.395,82,86.291,68.955,"Class2","M",4,42.072
28.048,31.53,71.757,65.731,75,38.808,60.154,"Class1","E",83,20.951
72.251,54.001,43.067,35.134,31,88.03,28.186,"Class4","V",80,55.685
27.481,17.791,38.021,84.784,16,62.239,26.598,"Class3","Q",72,89.281
86.829,53.017,38.729,26.265,41,83.611,18.531,"Class4","I",83,24.383
12.524,58.725,43.932,49.646,91,92.526,61.572,"Class2","M",12,52.228
61.829,66.223,39.775,40.876,82,81.344,67.101,"Class2","M",28,16.876
28.216,59.77,35.888,66.242,87,88.622,75.946,"Class2","M",11,23.007
26.571,27.9,48.38,53.209,5,34.815,30.155,"Class3","Q",69,83.523
30.212,20.166,63.022,73.404,18,33.028,25.615,"Class3","S",67,NA
23.24,24.859,78.135,38.281,80,26.716,57.211,"Class1","B",84,27.015
20.87,19.777,31.788,2.002,9,49.111,30.161,"Class3","S",69,88.225
23.733,26.099,24.344,-4.235,15,58.611,30.994,"Class3","L",67,NA
48.348,58.735,37.378,45.482,87,86.888,78.068,"Class2","X",22,33.226
28.449,26.484,60.758,23.672,90,50.674,64.865,"Class1","I",84,5.848
85.545,54.527,67.789,26.181,20,91.044,37.902,"Class4","R",70,26.278
25.006,23.512,84.546,37.467,82,34.878,54.389,"Class1","I",86,36.921
77.939,53.765,40.306,24.625,13,88.58,44.353,"Class4","J",72,6.292
82.822,55.434,56.801,26.457,46,90.995,27.986,"Class4","I",85,47.745
25.116,49.085,59.291,80.829,24,34.766,26.192,"Class3","R",72,83.195
28.421,49.178,48.753,64.669,11,53.89,31.676,"Class3","Q",71,87.636
29.351,64.123,45.702,54.826,87,88.246,61.377,"Class2","M",5,30.009
25.235,46.332,23.811,40.547,5,34.287,29.308,"Class3","L",68,87.841
89.537,54.827,67.933,25.392,35,91.492,31.779,"Class4","I",80,37.344
91.351,54.439,59.383,29.786,17,90.397,44.215,"Class4","V",82,20.5
21.716,48.466,25.847,86.906,21,0.078,27.987,"Class3","V",74,83.937
82.712,54.819,63.037,27.572,29,87.25,35.032,"Class4","V",84,11.11
47.994,67.255,38.831,NA,92,82.411,68.347,"Class2","X",28,23.215
25.394,17.598,34.554,76.083,19,39.158,31.087,"Class3","L",70,89.893
26.566,44.422,47.163,20.245,5,55.828,31.034,"Class3","S",71,84.393
57.409,53.719,42.721,54.599,90,78.124,62.545,"Class2","M",8,NA
25.68,34.538,84.501,30.455,75,36.799,57.163,"Class1","H",84,26.839
27.214,32.349,72.416,14.691,67,28.18,53.758,"Class1","I",83,67.229
90.385,53.805,43.477,24.504,13,87.023,17.688,"Class4","V",73,14.387
86.95,53.461,55.175,35.352,40,85.546,50.607,"Class4","A",90,15.112
32.645,49.951,52.567,102.842,7,10.823,25.793,"Class3","V",69,84.113
50.253,64.58,42.021,48.96,88,86.108,72.99,"Class2","M",12,26.015
71.288,66.655,39.6,63.034,77,77.867,69.336,"Class2","A",6,36.211
26.814,25.952,74.436,41.812,84,32.954,61.03,"Class1","P",86,58.882
29.134,26.853,79.16,37.731,90,30.595,54.021,"Class1","H",82,55.359
8.295,56.498,38.067,50.157,86,85.972,63.551,"Class2","A",30,55.289
81.408,53.497,55.268,26.301,25,87.329,52.167,"Class4","J",89,44.953
27.589,36.737,78.227,8.932,69,44.382,62.239,"Class1","E",82,-10.475
77.277,54.858,52.641,22.948,30,89.993,22.663,"Class4","J",74,26.271
19.439,21.535,61.81,40.174,22,-11.373,27.985,"Class3","V",68,83.904
86.856,53.69,38.53,30.386,26,90.365,51.992,"Class4","A",77,NA
33.359,58.823,38.657,54.866,77,84.773,66.62,"Class2","H",25,39.209
23.292,18.672,49.634,42.742,7,28.354,29.404,"Class3","S",75,89.283
23.289,41.225,20.102,69.304,15,15.799,26.169,"Class3","R",71,85.438
70.488,56.843,42.968,68.241,77,85.241,66.377,"Class2","A",25,16.683
25.315,34.493,27.101,75.124,7,39.066,28.734,"Class3","V",67,NA
21.682,36.163,48.15,41.683,88,44.366,52.088,"Class1","E",84,42.924
45.829,55.152,35.442,46.277,91,84.168,63.729,"Class2","M",25,22.546
18.092,61.747,40.41,74.391,90,86.146,60.273,"Class2","A",21,24.819
71.536,55.706,59.475,24.734,44,88.734,34.446,"Class4","R",69,24.351
24.988,33.167,47.91,41.883,86,52.171,57.403,"Class1","H",82,20.071
74.457,55.716,66.782,28.066,43,87.847,16.147,"Class4","V",80,22.236
65.272,54.911,44.723,54.378,86,88.018,69.897,"Class2","H",9,36.042
31.324,56.743,44.542,NA,77,83.681,66.823,"Class2","X",9,17.769
28.107,59.853,35.163,47.684,79,80.99,78.08,"Class2","V",16,47.912
75.94,54.246,46.301,23.772,16,88.601,27.183,"Class4","I",69,20.643
27.683,28.517,62.836,46.607,69,45.466,63.673,"Class1","B",85,30.619
27.199,41.293,46.485,21.002,8,40.381,30.487,"Class3","R",70,83.548
25.876,41.602,48.057,9.318,17,38.608,26.026,"Class3","L",67,87.585
27.96,25.915,46.675,27.571,59,36.469,67.101,"Class1","H",87,79.3
20.503,35.894,41.641,57.893,17,41.165,29.961,"Class3","R",73,83.576
28.568,55.691,40.58,82.948,90,82.209,69.542,"Class2","X",15,27.347
82.841,53.368,67.596,29.125,42,91.622,11.311,"Class4","I",68,22.892
24.279,38.139,63.637,30.828,76,30.957,57.514,"Class1","H",84,-7.016
86.415,53.207,56.756,32.729,28,89.686,18.512,"Class4","V",72,22.001
49.237,53.323,41.554,59.129,76,83.76,69.27,"Class2","H",24,17.658
21.61,28.493,35.998,62.826,9,30.856,26.282,"Class3","S",73,84.896
28.733,27.785,53.268,26.967,62,30.005,66.159,"Class1","P",85,42.948
80.2,55.412,39.286,37.479,23,89.277,26.29,"Class4","J",77,45.295
29.222,38.853,41.364,73.476,9,53.955,28.776,"Class3","S",75,86.959
28.847,25.83,77.697,43.769,80,44.914,55.933,"Class1","P",83,21.029
26.645,40.892,22.937,55.198,12,47.509,29.548,"Class3","Q",69,82.763
84.487,55.397,52.975,35.047,29,91.219,46.03,"Class4","J",77,24.396
33.202,60.169,38.654,68.984,84,88.04,62.284,"Class2","V",2,27.356
25.497,24.146,73.727,27.666,81,34.771,58.243,"Class1","B",83,-10.836
20.139,32.572,54.234,69.91,24,18.273,25.169,"Class3","V",73,88.888
24.321,37.38,28.317,34.829,82,33.777,62.003,"Class1","E",86,31.803
78.933,54.861,65.302,34.295,20,90.928,12.695,"Class4","A",71,12.351
26.03,30.916,52.137,47.361,23,28.121,26.058,"Class3","L",74,87.8
23.412,23.135,33.611,54.578,66,22.232,53.431,"Class1","B",84,12.67
19.44,45.565,65.119,46.325,7,65.49,29.027,"Class3","R",74,90.853
20.201,29.951,24.285,18.233,7,-7.255,30.663,"Class3","R",68,NA
22.794,36.352,65.774,25.201,10,16.791,25.315,"Class3","L",71,88.655
80.791,53.802,65.31,22.483,24,91.319,13.916,"Class4","V",64,14.102
83.862,53.002,60.776,31.611,11,90.367,13.983,"Class4","R",66,NA
23.789,24.562,58.89,74.524,24,40.882,28.348,"Class3","R",67,85.857
74.468,53.696,40.483,36.01,37,93.267,14.085,"Class4","R",62,-3.684
17.622,55.096,36.264,71.205,87,77.805,75.813,"Class2","V",23,NA
72.29,55.438,39.051,33.478,29,89.868,39.228,"Class4","R",65,14.571
25.024,22.955,68.806,35.479,84,41.718,52.538,"Class1","B",86,30.631
28.612,26.445,36.757,47.662,66,37.134,60.246,"Class1","B",87,64.295
25.036,22.975,59.416,56.241,72,32.857,66.883,"Class1","E",82,19.11
48.322,64.448,37.446,62.827,90,87.661,71.866,"Class2","M",16,25.258
80.897,53.161,38.221,32.355,33,91.3,30.037,"Class4","J",75,30.464
47.157,56.126,38.096,60.803,92,88.297,61.098,"Class2","X",4,37.202
24.729,22.876,35.474,34.066,78,27.043,58.695,"Class1","H",85,37.635
25.754,30.286,53.371,33.201,73,34.107,55.839,"Class1","I",85,2.11
89.866,53.242,53.639,35.363,18,90.558,22.965,"Class4","R",65,7.958
21.978,26.883,52.228,48.295,17,6.277,31.11,"Class3","V",69,84.269
50.537,65.453,43.208,59.763,81,88.88,73.813,"Class2","A",34,13.413
29.465,25.94,38.475,68.542,19,55.99,28.467,"Class3","Q",69,93.384
75.649,54.377,45.302,31.214,34,87.73,45.933,"Class4","V",90,22.515
76.771,55.387,66.517,26.888,40,85.417,49.094,"Class4","A",73,11.08
29.904,57.157,43.109,52.345,82,84.14,62.474,"Class2","M",34,30.182
32.016,63.311,40.835,57.81,91,88.615,61.022,"Class2","H",6,45.443
19.769,24.568,62.07,46.386,24,41.598,27.447,"Class3","L",73,89.077
61.476,60.172,39.662,49.896,76,85.322,72.225,"Class2","H",3,25.93
81.083,53.021,45,36.672,33,87.088,53.599,"Class4","R",85,43.224
79.95,54.309,55.741,24.279,26,88.392,54.032,"Class4","R",74,25.388
84.619,53.393,39.373,28.046,23,92.25,33.755,"Class4","I",82,10.113
26.418,35.354,30.305,91.98,15,7.27,28.714,"Class3","S",72,85.449
16.427,59.262,38.252,57.416,89,85.376,65.275,"Class2","H",7,4.492
79.339,55.316,52.543,32.229,38,90.456,23.28,"Class4","A",82,31.346
26.247,23.329,79.153,49.069,72,54.229,53.271,"Class1","I",87,49.924
26.023,35.966,39.629,38.398,84,26.748,65.194,"Class1","I",87,33.988
25.024,42.691,61.386,50.082,13,60.729,31.942,"Class3","S",72,93.511
30.438,54.202,36.324,73.524,87,83.065,65.608,"Class2","X",10,21.003
16.092,25.448,57.626,35.173,16,38.387,28.244,"Class3","L",75,83.925
70.117,58.223,44.017,61.536,77,75.966,71.942,"Class2","A",29,54.046
27.474,31.687,29.575,60.278,14,42.875,26.894,"Class3","V",75,82.466
24.208,24.971,46.321,81.317,13,24.873,27.653,"Class3","S",71,87.509
-14.929,65.124,42.797,NA,87,87.231,68.582,"Class2","V",29,38.293
86.03,54.045,41.873,30.753,34,91.686,48.383,"Class4","R",67,35.569
28.25,34.457,65.831,50.836,83,62.551,65.201,"Class1","I",86,NA
18.967,48.141,33.078,36.871,22,-23.505,30.517,"Class3","L",73,85.146
65.836,54.817,43.796,72.432,81,88.641,63.669,"Class2","A",27,31.383
91.412,53.315,57.382,26.558,39,87.918,38.473,"Class4","I",72,24.522
25.418,23.303,34.967,40.949,76,42.743,58.089,"Class1","H",85,NA
31.458,31.302,34.579,35.105,80,46.9,52.598,"Class1","I",84,81.751
27.322,31.589,34.66,41.412,16,-15.496,31.651,"Class3","L",68,89.034
34.096,18.767,28.65,NA,4,47.671,26.347,"Class3","V",75,86.602
44.342,57.717,39.581,77.425,94,91.995,60.302,"Class2","V",16,NA
84.624,53.643,65.439,29.032,34,92.255,18.408,"Class4","A",74,2.729
32.513,19.296,54.55,38.227,8,45.543,25.184,"Class3","L",69,91.756
30.288,43.216,64.343,36.986,15,53.768,28.76,"Class3","V",74,87.048
78.27,54.556,37.508,71.101,93,80.026,75.102,"Class2","V",17,63.952
49.934,64.82,43.634,77.631,91,76.091,73.414,"Class2","A",25,37.549
85.925,55.142,51.576,26.268,37,88.184,24.211,"Class4","J",80,47.641
89.691,54.323,49,25.072,30,86.092,18.795,"Class4","I",68,-6.191
