"LRK1","POA2","UYL3","SLN4","EXB5","HQG6","KLP7","ALR8","PHS9","RST10","Output13","VRU11"
47.857,"S","T",79.169,83,54.926,51.843,53.223,68.735,69.957,"Class2",68.969
77.769,"A","J",30.987,52,60.5,31.121,8.659,86.201,86.848,"Class1",92.208
34.707,"U","M",64.547,25,22.813,83.064,48.587,88.484,25.28,"Class4",42.707
76.136,"C","K",67.545,71,66.199,31.249,13.19,80.374,79.891,"Class1",87.925
11.051,"Y","H",30.011,40,20.927,75.802,20.102,47.876,72.135,"Class5",26.097
79.289,"U","J",38.649,70,46.083,31.336,26.941,76.994,81.644,"Class1",92.684
77.879,"C","E",39.778,43,44.211,32.141,8.298,75.198,80.355,"Class1",87.239
76.996,"U","A",68.662,56,85.682,45.468,26.277,67.569,75.625,"Class1",89.425
29.202,"K","H",76.573,83,78.622,60.31,51.036,66.105,70.711,"Class2",70.975
36.427,"J","G",64.084,13,21.561,86.74,41.048,77.861,24.718,"Class4",43.735
41.347,"L","H",71.573,81,49.865,67.41,55.671,68.694,69.958,"Class2",NA
74.943,"C","E",38.685,84,22.241,42.254,23.204,76.746,52.755,"Class1",91.134
77.247,"Q","J",34.801,45,54.748,27.255,20.303,80.277,59.71,"Class1",89.018
8.502,"H","E",30.54,33,18.554,8.472,86.268,-5.024,48.644,"Class5",22.157
35.214,"P","B",30.331,35,15.894,35.315,67.294,73.911,20.541,"Class5",24.04
51.909,"K","M",76.138,85,58.305,63.262,56.103,67.199,69.411,"Class2",69.355
57.893,"X","G",43.423,57,55.377,47.142,26.134,84.67,77.891,"Class3",74.25
51.312,"H","H",77.232,78,69.912,69.455,55.943,66.389,69.368,"Class2",73.445
61.608,"X","G",43.528,56,49.175,55.821,52.072,85.092,49.909,"Class3",83.003
77.804,"U","E",22.127,67,81.435,26.525,23.346,83.353,80.773,"Class1",92.047
34.154,"F","U",64.428,27,7.369,89.176,51.455,87.138,25.48,"Class4",49.799
36.499,"B","D",73.695,84,70.174,66.93,50.127,68.294,70.255,"Class2",70.759
54.748,"O","Q",23.592,53,58.39,53.594,64.386,84.371,52.688,"Class3",93.393
39.326,"F","Z",64.333,12,12.729,86.922,59.882,84.131,19.531,"Class4",46.105
70.614,"Y","G",NA,36,17.895,71.113,86.862,8.343,28.733,"Class5",24.335
77.883,"C","K",28.637,81,83.263,37.592,10.533,81.219,80.451,"Class1",88.373
62.01,"Y","B",37.16,33,17.113,55.551,61.147,44.634,0.974,"Class5",24.163
43.139,"H","Z",83.008,80,75.121,75.548,53.22,69.646,69.528,"Class2",NA
39.162,"F","M",64.777,22,14.572,87.024,44.341,88.681,23.752,"Class4",48.785
34.09,"G","G",64.083,16,32.825,86.681,41.684,89.041,24.645,"Class4",45.403
76.107,"F","U",47.482,62,42.621,70.069,51.661,82.778,70.191,"Class3",85.766
71.947,"V","B",35.452,30,18.89,52.771,54.63,9.969,46.957,"Class5",22.025
63.093,"L","M",77.119,88,62.178,53.386,54.35,67.978,70.608,"Class2",68.42
76.84,"Q","P",42.31,45,19.806,60.389,9.363,73.739,81.649,"Class1",88.894
66.565,"F","Q",14.084,56,31.666,39.484,26.941,82.668,64.673,"Class3",68.996
91.902,"F","Z",NA,60,36.95,71.149,27.842,84.623,87.898,"Class3",90.375
46.775,"B","M",81.073,77,70.57,67.919,49.678,67.414,69.585,"Class2",67.667
32.875,"J","G",64.417,19,38.478,84.784,37.665,91.23,18.642,"Class4",47.216
69.18,"G","Q",45.071,56,37.801,75.515,65.01,83.83,74.683,"Class3",72.482
52.712,"B","D",NA,81,43.135,58.251,51.34,66.933,70.172,"Class2",74.416
74.998,"Q","P",50.216,44,65.312,73.914,21.412,77.582,78.742,"Class1",89.297
48.318,"B","D",77.732,78,68.637,70.038,53.824,68.13,70.855,"Class2",84.729
76.164,"Q","A",32.188,49,32.03,58.213,10.212,87.457,64.926,"Class1",92.621
36.524,"G","P",64.756,12,38.902,87.132,54.276,84.298,24.051,"Class4",46.638
36.482,"Y","L",29.79,36,16.606,88.804,70.252,52.727,78.14,"Class5",24.124
24.432,"H","H",34.133,32,15.267,52.033,86.892,36.303,39.702,"Class5",25.222
77.436,"Q","E",56.63,47,56.255,63.342,14.13,72.635,88.275,"Class1",89.035
38.708,"A","P",64.481,20,29.559,87.778,47.025,96.252,24.297,"Class4",49.635
42.32,"S","M",70.461,79,49.713,69.271,50.942,67.355,69.972,"Class2",86.536
80.323,"F","U",30.293,57,35.566,32.148,60.998,82.441,62.29,"Class3",70.457
57.251,"L","Z",71.389,88,41.391,69.252,52.376,67.828,69.451,"Class2",87.528
45.694,"Y","L",30.684,37,17.892,42.134,84.619,50.124,51.843,"Class5",26.853
84.503,"B","H",73.514,87,53.488,70.067,55.772,67.048,70.525,"Class2",69.236
76.787,"C","K",20.556,65,77.009,49.849,11.069,64.944,73.962,"Class1",92.85
46.288,"O","G",29.194,59,26.601,49.839,59.164,84.117,69.447,"Class3",NA
75.559,"J","K",32.743,41,21.099,48.691,11.932,92.13,77.802,"Class1",88.337
35.545,"G","G",64.524,19,30.109,83.726,53.578,86.509,26.103,"Class4",51.91
32.378,"V","L",31.458,38,16.54,61.663,26.96,47.282,29.838,"Class5",24.406
51.629,"V","H",34.221,34,19.336,44.138,45.215,33.607,19.597,"Class5",26.729
3.962,"J","G",37.113,35,18.756,66.957,27.979,47.29,12.767,"Class5",27.537
75.905,"J","K",64.466,57,84.968,13.039,29.664,71.679,87.946,"Class1",88.209
58.434,"H","Q",51.591,53,46.995,19.282,43.586,85.515,60.621,"Class3",86.068
35.555,"F","P",64.153,11,28.105,87.634,37.8,84.097,25.851,"Class4",49.214
33.715,"U","U",64.143,19,10.175,84.124,38.167,89.28,22.039,"Class4",53.216
34.087,"J","M",64.058,12,10.455,86.255,48.324,91.062,24.655,"Class4",44.048
69.389,"F","S",12.58,60,41.118,40.039,66.14,84.009,44.412,"Class3",80.407
68.468,"K","T",77.251,80,60.875,63.996,55.645,68.639,70.099,"Class2",80.903
68.885,"H","T",72.676,82,55.122,59.323,56.952,68.692,68.73,"Class2",74.416
91.796,"X","Z",52.338,53,36.34,19.868,62.852,83.277,76.295,"Class3",84.465
54.427,"S","M",81.334,86,76.986,74.088,51.237,68.202,69.663,"Class2",82.093
58.984,"J","H",30.846,36,21.692,116.482,28.863,30.254,19.551,"Class5",27.421
76.316,"Q","J",41.052,57,31.133,73.773,7.401,89.433,96.432,"Class1",92.408
41.316,"U","Z",64.17,14,21.018,83.527,46.371,86.103,26.014,"Class4",55.257
35.367,"U","M",64.9,27,28.513,85.185,59.291,84.128,23.028,"Class4",43.35
47.403,"S","M",87.535,82,58.356,60.622,50.348,68.41,69.07,"Class2",73.039
78.174,"Q","J",75.989,46,74.549,33.381,25.327,71.432,68.401,"Class1",87.876
55.449,"H","B",29.735,30,21.802,35.457,27.097,65.259,38.703,"Class5",NA
47.216,"V","H",35.838,35,21.642,62.951,21.083,61.955,32.573,"Class5",27.516
66.447,"X","S",12.996,62,32.023,8.177,47.65,84.038,68.473,"Class3",77.584
78.069,"U","J",73.197,88,46.89,28.948,21.358,78.941,86.113,"Class1",88.23
34.956,"P","H",28.89,30,15.478,49.407,34.502,46.602,21.808,"Class5",26.576
4.524,"J","E",30.946,30,16.58,71.671,37.416,37.024,20.781,"Class5",26.595
59.237,"G","Q",15.295,64,24.712,42.618,67.966,84.424,50.175,"Class3",92.664
54.298,"K","M",72.993,85,54.541,68.18,49.782,66.927,70.976,"Class2",87.165
38.681,"G","U",64.063,18,35.221,84.418,37.136,86.736,22.371,"Class4",48.513
68.412,"H","G",13.082,56,52.877,70.697,39.238,85.097,58.316,"Class3",68.134
37.521,"S","H",87.85,87,46.982,77.643,50.025,67.392,67.96,"Class2",78.48
64.724,"F","U",21.66,55,63.806,91.659,41.935,83.78,63.169,"Class3",91.171
43.741,"H","L",37.888,32,20.837,123.025,82.898,19.279,46.983,"Class5",25.509
26.524,"K","D",NA,86,43.027,57.804,53.733,67.613,69.467,"Class2",82.917
85.93,"H","U",32.963,54,22.035,51.283,65.998,85.773,72.904,"Class3",84.824
35.933,"P","E",28.359,33,18.254,60.935,20.833,67.617,27.879,"Class5",25.318
37.926,"X","G",31.259,55,34.348,58.117,42.867,86.634,71.245,"Class3",81.392
51.566,"L","D",72.659,83,52.123,52.382,53.631,68.184,69.981,"Class2",88.658
81.817,"O","Q",13.826,64,52.257,34.839,69.408,84.253,72.687,"Class3",84.95
56.027,"H","S",33.961,59,31.799,55.767,36.939,85.45,74.543,"Class3",89.529
38.963,"A","M",64.22,12,24.816,86.779,59.564,81.555,25.287,"Class4",45.357
39.672,"A","G",64.41,15,13.144,83.282,39.898,89.427,25.319,"Class4",48.501
78.525,"U","E",55.083,51,55.325,49.819,14.136,76.342,66.475,"Class1",NA
76.269,"C","A",51.899,44,83.027,44.392,14.232,76.26,79.986,"Class1",91.714
77.985,"J","K",76.632,77,62.318,46.738,25.692,76.195,82.977,"Class1",88.829
78.372,"J","K",30.298,75,50.3,50.702,25.171,71.838,83.908,"Class1",91.241
78.887,"J","P",57.73,71,59.981,72.152,10.276,85.648,78.334,"Class1",89.799
47.403,"H","Z",17.97,57,45.184,10.589,58.026,85.909,63.456,"Class3",79.888
54.25,"G","Z",11.782,56,13.233,77.9,54.165,81.446,69.816,"Class3",93.736
86.833,"X","G",30.733,55,21.84,41.755,69.18,86.822,60.034,"Class3",64.872
77.027,"H","Q",26.541,54,46.171,-36.915,55.902,84.351,52.007,"Class3",93.439
59.653,"S","M",80.311,82,75.48,70.715,50.638,67.516,69.675,"Class2",NA
36.215,"F","M",64.217,23,11.6,88.318,40.062,88.51,25.691,"Class4",48.667
77.304,"U","E",49.331,74,60.52,80.491,20.967,70.368,75.766,"Class1",89.43
76.028,"U","J",29.293,85,51.214,28.9,21.435,72.689,83.03,"Class1",91.246
34.863,"J","M",64.749,13,41.044,84.712,49.304,87.365,23.546,"Class4",45.015
78.074,"J","E",NA,48,18.846,75.622,22.387,82.438,87.786,"Class1",NA
31.039,"H","E",28.652,34,16.925,27.101,62.8,80.882,34.464,"Class5",23.067
79.663,"A","E",17.333,61,87.145,51.224,20.371,93.007,77.381,"Class1",90.848
38.848,"L","D",76.164,85,78.558,69.07,56.429,67.113,70.032,"Class2",83.584
36.307,"J","M",64.757,21,26.707,84.749,35.318,80.22,24.353,"Class4",52.591
37.034,"J","M",64.827,12,12.794,84.307,44.56,93.454,26.859,"Class4",46.696
76.332,"J","K",24.23,53,55.139,68.535,29.158,74.698,83.464,"Class1",88.785
77.033,"Q","E",21.429,47,41.221,46.337,12.374,73.065,80.663,"Class1",88.031
38.389,"S","H",76.932,88,72.008,69.064,56.268,67.459,70.264,"Class2",70.056
77.52,"Q","P",51.555,75,88.861,32.007,12.686,74.365,68.442,"Class1",91.192
65.69,"Y","G",36.802,37,18.827,107.865,55.335,9.353,21.153,"Class5",23.956
38.008,"A","M",64.159,17,22.983,84.48,42.112,83.327,25.75,"Class4",NA
1.252,"Y","G",28.348,36,16.387,27.856,36.194,-4.349,40.209,"Class5",27.73
76.333,"U","J",54.007,78,27.399,43.172,10.007,69.497,78.256,"Class1",90.788
54.41,"S","Z",82.966,88,48.82,74.649,51.453,65.857,68.318,"Class2",69.201
94.104,"B","Z",76.737,76,45.874,69.719,55.869,69.26,70.333,"Class2",71.627
76.941,"U","J",17.314,63,76.372,25.105,22.108,76.103,79.032,"Class1",92.964
37.851,"F","G",64.3,22,30.151,87.056,44.22,86.9,24.835,"Class4",52.991
90.166,"K","T",82.315,82,76.067,77.406,54.064,65.91,69.614,"Class2",73.445
42.711,"H","H",85.187,83,61.497,71.882,54.455,68.096,71.39,"Class2",88.353
48.712,"H","Z",81.637,85,42.961,63.17,54.027,67.163,68.972,"Class2",73.096
36.361,"G","M",64.72,11,26.243,84.562,58.076,87.949,24.435,"Class4",44.375
41.472,"J","H",31.111,30,21.154,63.788,59.213,52.896,14.512,"Class5",27.729
98.188,"S","Z",79.199,82,61.976,67.021,52.651,66.346,66.657,"Class2",81.409
74.504,"H","Z",43.808,57,18.812,31.282,53.509,82.648,57.477,"Class3",70.997
49.748,"Y","E",37.296,31,16.465,66.573,67.124,64.163,35.119,"Class5",22.344
78.448,"J","A",37.993,71,38.126,34.214,25.612,79.543,75.255,"Class1",92.681
31.547,"A","P",64.04,28,30.857,86.818,45.356,88.484,25.081,"Class4",53.031
60.42,"O","U",56.952,55,43.721,30.866,30.983,82.52,65.93,"Class3",84.951
36.684,"P","L",32.794,40,17.773,126.277,58.256,69.355,46.993,"Class5",25.218
36.791,"B","D",80.293,85,66.186,66.198,53.663,67.084,70.828,"Class2",67.979
41.067,"K","D",78.853,84,52.002,61.187,51.501,67.039,68.613,"Class2",83.036
51.873,"G","Q",16.665,64,51.682,23.911,46.981,83.094,58.343,"Class3",83.103
15.381,"Y","H",36.708,41,16.145,76.161,9.446,29.65,40.214,"Class5",23.083
34.52,"F","M",64.934,21,7.065,90.063,53.69,84.974,26.678,"Class4",47.934
77.103,"H","U",36.586,57,12.621,36.931,33.025,84.701,69.943,"Class3",89.201
75.707,"A","K",70.195,81,33.031,63.51,27.14,74.268,62.909,"Class1",90.889
70.578,"H","T",84.86,78,77.777,59.597,50.305,66.676,68.585,"Class2",80.334
65.171,"X","Z",33.504,53,62.556,13.784,56.289,86.007,63.951,"Class3",68.333
36.719,"F","U",64.199,15,34.684,86.769,42.215,87.819,24.093,"Class4",46.858
19.507,"J","H",32.46,37,17.191,64.257,77.041,43.229,32.993,"Class5",26.447
41.549,"S","D",71.476,88,45.062,57.95,55.928,68.158,69.595,"Class2",81.983
36.9,"J","M",64.328,26,13.174,83.784,42.196,87.36,24.808,"Class4",45.599
61.398,"Y","L",32.941,41,20.464,64.19,29.519,9.838,63.516,"Class5",24.675
76.738,"C","A",48.485,86,49.633,47.456,23.106,79.552,84.388,"Class1",89.586
76.148,"A","P",NA,41,22.757,6.58,17.272,80.673,80.524,"Class1",91.8
16.751,"Y","G",33.018,37,21.827,145.881,26.197,68.938,31.751,"Class5",25.544
76.858,"A","K",74.699,71,52.034,71.512,11.124,73.04,99.773,"Class1",87.522
51.017,"P","E",33.873,42,17.556,62.97,76.325,26.597,17.279,"Class5",24.912
34.873,"G","G",64.985,27,13.747,90.122,55.162,78.662,25.555,"Class4",NA
77.075,"F","Z",54.109,59,39.363,66.36,42.439,87.407,74.018,"Class3",89.136
57.064,"K","H",77.88,77,67.253,43.786,56.983,68.45,67.444,"Class2",71.303
23.899,"J","L",29.859,37,20.928,58.02,37.177,58.986,22.578,"Class5",25.158
39.899,"G","U",64.286,11,30.765,87.253,45.788,86.394,24.727,"Class4",NA
59.035,"H","Q",40.583,59,16.26,25.318,61.89,83.853,58.193,"Class3",86.243
49.974,"L","Z",77.316,88,47.249,64.71,54.809,68.23,69.674,"Class2",83.841
63.284,"X","U",31.882,52,61.074,-12.994,54.97,83.634,70.625,"Class3",65.292
67.946,"H","S",9.926,54,25.385,21.834,43.991,85.388,72.889,"Class3",76.802
19.949,"H","B",30.357,35,21.15,66.124,68.01,-28.586,25.771,"Class5",25.706
59.85,"K","H",82.029,84,46.603,65.457,55.864,67.597,68.424,"Class2",84.954
44.836,"J","B",34.708,36,21.719,27.733,76.194,75.158,53.067,"Class5",26.289
33.357,"G","Z",64.388,22,28.27,86.902,55.245,81.007,22.983,"Class4",54.271
35.051,"A","G",64.378,12,30.85,83.984,39.874,91.171,23.854,"Class4",54.479
40.427,"J","M",64.021,17,11.954,86.43,44.406,97.415,23.59,"Class4",52.154
39.119,"J","Z",64.939,26,27.872,84.909,37.725,88.935,24.068,"Class4",51.602
42.333,"H","T",84.659,80,76.379,58.434,51.073,66.867,69.106,"Class2",76.982
37.697,"U","P",NA,18,9.299,84.948,39.38,89.039,23.014,"Class4",50.433
55.231,"P","H",28.087,33,17.168,14.919,51.244,59.82,44.106,"Class5",27.899
77.126,"Q","A",55.186,57,52.218,25.704,8.987,88.63,80.82,"Class1",NA
50.956,"V","H",28.07,40,21.521,20.067,79.078,51.222,53.745,"Class5",24.103
53.412,"G","Q",57.666,58,23.772,44.992,49.933,86.004,83.342,"Class3",86.146
64.17,"H","G",NA,39,20.136,74.381,84.988,42.248,4.578,"Class5",24.762
37.46,"U","M",64.813,12,26.752,85.848,50.69,82.854,23.47,"Class4",41.214
62.008,"F","G",29.93,54,55.912,51.15,58.383,83.58,46.343,"Class3",80.736
41.332,"V","B",34.952,36,16.815,41.069,45.037,30.915,15.716,"Class5",23.34
84.134,"H","Z",75.784,87,73.535,72.014,50.151,69.534,68.135,"Class2",84.375
33.904,"Y","L",34.524,37,17.854,56.499,88.495,63.607,81.921,"Class5",22.825
74.531,"K","D",77.856,76,69.039,73.106,52.707,68.906,69.592,"Class2",67.918
51.367,"J","E",36.362,34,17.454,59.609,39.237,79.525,79.836,"Class5",24.838
78.817,"X","U",23.036,52,47.999,70.098,55.88,83.994,64.444,"Class3",78.119
78.654,"U","E",45.401,59,22.498,66.243,19.876,66.58,69.505,"Class1",87.127
37.161,"A","U",64.221,13,12.389,88.238,49.558,86.628,23.556,"Class4",52.707
48.948,"L","T",81.367,78,53.379,63.502,49.858,68.016,68.481,"Class2",83.55
36.365,"G","P",64.835,21,9.878,85.608,45.198,81.887,24.573,"Class4",51.037
47.084,"P","E",36.874,38,18.769,16.177,23.433,48.166,44.933,"Class5",23.21
-3.982,"H","G",33.642,41,15.386,77.077,43.007,26.545,76.355,"Class5",27.354
40.178,"F","G",64.59,11,22.77,83.329,50.086,84.04,22.028,"Class4",47.041
29.605,"H","G",31.881,40,18.539,74.45,22.002,27.884,30.311,"Class5",23.672
39.492,"G","G",64.29,21,11.722,89.579,45.817,83.825,23.579,"Class4",41.305
76.687,"C","A",40.985,51,67.059,25.736,7.505,78.748,65.155,"Class1",87.006
48.948,"P","H",NA,34,17.015,101.108,75.101,47.168,28.204,"Class5",24.188
76.399,"J","E",51.647,45,43.504,49.504,28.386,81.68,76.173,"Class1",90.655
78.541,"J","K",38.366,68,63.71,22.188,28.245,77.969,69.24,"Class1",91.3
20.911,"J","H",36.572,39,17.586,109.487,75.714,33.393,69.917,"Class5",27.171
77.682,"A","K",53.029,63,69.421,49.816,28.535,77.038,84.554,"Class1",92.204
50.399,"K","M",72.299,88,42.936,67.426,52.471,66.083,71.509,"Class2",69.126
77.803,"Q","A",61.83,76,43.248,44.967,10.957,66.1,86.526,"Class1",91.367
76.647,"B","T",79.687,84,46.129,73.328,52.578,69.015,68.534,"Class2",84.201
79.757,"K","H",72.669,82,61.383,69.761,49.13,67.085,69.582,"Class2",82.042
38.442,"F","U",64.762,12,15.899,85.761,42.987,85.858,24.525,"Class4",54.099
76.662,"C","E",41.433,76,88.361,57.246,26.082,85.115,87.882,"Class1",90.883
34.973,"A","Z",64.921,23,37.111,85.983,42.155,85.918,23.294,"Class4",45.908
70.166,"H","B",35.007,33,16.813,39.644,17.887,13.637,-9.967,"Class5",22.609
71.846,"S","T",71.822,84,78.915,62.879,55.944,67.609,69.204,"Class2",87.581
36.018,"A","P",64.424,26,37.4,85.04,40.665,90.945,26.238,"Class4",52.612
50.815,"H","M",83.705,77,65.219,72.198,53.408,66.496,69.634,"Class2",77.478
55.227,"H","H",83.554,78,40.474,57.135,49.199,67.223,68.438,"Class2",68.554
35.377,"U","P",64.392,13,9.482,87.799,56.009,95.246,23.724,"Class4",45.092
36.98,"A","P",64.25,28,35.908,85.134,44.657,90.827,24.051,"Class4",48.951
53.946,"H","Z",47.954,64,57.186,34.548,55.173,83.256,65.099,"Class3",87.146
54.788,"L","D",70.152,82,52.398,53.173,55.318,68.805,68.244,"Class2",77.573
50.404,"Y","H",35.559,34,19.157,74.617,54.783,54.243,28.692,"Class5",23.914
76.733,"U","J",15.273,70,86.688,32.465,28.515,66.872,89.448,"Class1",88.581
57.332,"H","Z",43.036,56,63.257,3.843,49.651,83.445,61.012,"Class3",63.085
17.733,"V","E",28.704,33,17.704,53.502,32.302,56.685,62.891,"Class5",23.978
76.531,"Q","J",44.552,73,43.499,61.66,26.7,85.054,74.989,"Class1",89.053
50.491,"S","M",85.373,80,46.804,72.163,53.796,66.659,69.538,"Class2",71.68
34.587,"J","G",64.821,28,26.538,84.323,41.136,88.368,24.897,"Class4",50.091
56.001,"H","Z",72.126,85,42.349,61.276,56.894,66.124,69.476,"Class2",78.936
49.528,"J","E",30.246,36,16.937,60.334,27.965,57.641,45.567,"Class5",25.202
39.971,"H","T",84.628,85,62.829,68.679,53.968,69.373,69.737,"Class2",88.817
71.905,"O","G",18.505,56,53.3,41.546,70.094,86.264,51.599,"Class3",84.947
21.914,"V","H",33.016,34,16.35,84.296,44.488,57.309,31.54,"Class5",22.223
66.554,"B","Z",83.841,88,69.922,67.831,51.39,68.24,68.139,"Class2",87.783
59.983,"Y","B",34.785,36,15.103,32.583,11.237,63.336,85.939,"Class5",26.36
34.263,"A","Z",64.807,23,22.888,86.498,35.801,90.196,23.552,"Class4",43.917
77.85,"C","J",36.894,49,40.553,88.325,9.735,80.457,71.987,"Class1",92.803
85.567,"G","Z",54.236,62,15.806,44.928,48.22,85.559,56.975,"Class3",96.445
47.898,"P","H",36.873,40,19.855,97.55,78.055,6.863,4.132,"Class5",27.179
32.571,"J","G",64.92,19,32.489,86.324,57.969,87.646,23.844,"Class4",52.144
37.723,"A","G",64.535,25,16.745,87.525,35.959,89.174,23.631,"Class4",52.453
38.342,"J","E",33.951,39,19.875,91.14,43.21,35.437,48.334,"Class5",27.432
79.324,"H","Z",79.922,86,68.664,54.934,54.682,67.609,68.734,"Class2",88.617
37.101,"A","U",64.896,14,20.6,85.044,39.058,87.928,23.65,"Class4",46.09
77.514,"J","J",50.198,83,44.307,60.362,13.122,79.808,93.198,"Class1",90.487
35.501,"G","M",64.201,21,11.848,89.788,52.279,90.248,29.313,"Class4",46.182
78.123,"U","E",52.74,57,59.348,61.849,19.229,82.575,61.027,"Class1",88.266
37.109,"G","Z",64.859,15,24.945,83.168,52.891,88.021,23.887,"Class4",43.888
75.379,"Q","K",25.106,75,44.71,33.794,18.386,88.172,73.409,"Class1",92.821
55.875,"G","G",49.959,59,40.58,49.215,45.468,83.74,64.892,"Class3",81.929
