"DUW1","BSO2","YVC3","ATJ4","QCL5","Output24","IWX6","NQY7","CDB8","SOY9","AOF10","EXH11"
72.085,81.454,NA,13.615,38,"Class3",32.131,77.094,58.395,98,"H",50.285
8.107,29.84,35.094,48.748,34,"Class4",87.661,41.394,22.631,69,"K",66.78
10.117,32.05,36.218,16.31,37,"Class4",59.901,89.876,29.633,79,"K",50.844
NA,29.148,36.326,91.779,17,"Class4",79.48,56.71,11.104,65,"K",69.593
8.699,33.577,36.488,99.867,18,"Class4",65.768,64.138,30.952,83,"B",59.836
59.881,63.022,36.916,34.275,41,"Class1",13.903,59.685,7.277,21,"W",69.345
80.234,90.391,NA,21.189,32,"Class3",68.868,76.774,50.46,99,"H",69.521
47.118,48.52,39.249,27.793,50,"Class1",12.481,20.31,8.761,20,"A",60.826
51.738,47.055,48.967,27.93,18,"Class1",11.752,49.699,6.048,33,"W",44.79
8.761,38.62,34.132,75.485,55,"Class4",85.14,17.439,23.041,86,"D",69.134
10.189,34.449,35.139,52.736,29,"Class4",78.4,2.275,75.362,70,"W",75.67
81.692,61.622,86.295,44.443,79,"Class2",28.538,89.985,18.927,88,"K",63.025
62.276,69.105,70.355,43.269,79,"Class2",25.969,55.574,14.71,80,"Z",70.778
58.444,46.226,49.503,32.766,29,"Class1",13.837,53.908,8.855,8,"W",72.794
10.753,31.924,35.565,90.699,64,"Class4",68.701,-28.041,36.958,74,"B",52.129
51.97,59.65,34.206,35.58,15,"Class1",15.907,12.487,8.118,17,"N",65.284
40.256,57.963,69.593,23.465,80,"Class2",21.299,47.781,26.762,86,"J",70.098
81.483,66.161,64.164,25.618,80,"Class2",18.393,63.406,22.009,81,"Z",70.794
59.517,39.009,20.927,37.785,9,"Class1",11.945,67.641,7.519,4,"H",72.875
56.563,60.288,75.349,37.213,10,"Class1",16.625,54.824,8.523,12,"W",19.716
81.207,83.828,41.568,31.783,39,"Class3",52.261,101.298,78.096,81,"Y",88.427
74.867,83.496,41.254,16.279,50,"Class3",48.432,78.998,34.006,90,"H",39.241
9.604,32.344,36.037,76.795,68,"Class4",69.956,46.305,71.484,66,"K",56.442
8.806,32.597,34.48,57.491,66,"Class4",64.229,54.062,21.427,79,"W",66.157
10.773,31.152,37.808,16.442,55,"Class4",65.619,-5.134,47.666,73,"H",49.051
72.753,82.541,41.519,28.264,38,"Class3",89.316,73.952,60.527,78,"G",60.578
75.076,79.736,41.64,26.906,50,"Class3",55.596,53.772,17.422,95,"R",66.613
54.837,55.097,65.105,43.737,80,"Class2",14.356,20.711,24.992,91,"O",63.152
59.838,26.535,73.351,37.51,49,"Class1",13.747,51.111,8.116,20,"H",-5.85
59.999,59.364,84.263,27.072,47,"Class1",11.622,65.995,6.859,9,"U",62.115
70.725,86.476,41.445,17.278,23,"Class3",88.642,64.896,22.1,85,"W",69.971
60.481,17.129,75.171,23.737,7,"Class1",10.895,36.408,6.245,32,"N",74.409
78.422,83.372,41.457,20.775,30,"Class3",48.275,70.66,13.16,85,"W",73.795
79.816,78.693,41.066,15.823,25,"Class3",64.13,56.339,88.55,97,"Y",8.753
NA,33.841,36.354,45.346,97,"Class4",80.316,60.16,41.384,75,"D",66.289
9.713,31.465,35.636,76.38,65,"Class4",82.105,82.536,54.966,86,"D",51.523
51.236,62.13,80.024,36.904,79,"Class2",15.731,55.195,21.465,81,"J",64.262
49.812,76.567,56.77,22.316,51,"Class1",12.926,17.032,8.338,6,"N",58.499
79.447,86.554,41.97,37.587,28,"Class3",72.316,70.197,26.612,93,"W",76.129
8.687,27.497,34.728,18.136,42,"Class4",59.061,89.878,37.175,85,"H",41.277
74.488,64.13,74.731,50.638,79,"Class2",31.753,83.94,6.096,81,"J",61.421
75.073,58.955,73.167,61.092,79,"Class2",22.28,27.741,14.358,88,"M",67.914
62.148,63.657,82.516,32.103,80,"Class2",31.24,80.132,19.067,80,"K",61.184
56.828,103.938,91.624,24.002,49,"Class1",12.828,50.451,8.781,27,"A",41.824
53.644,43.04,22.751,37.92,37,"Class1",10.67,33.061,6.405,4,"U",88.053
79.75,64.847,70.567,55.608,79,"Class2",32.626,33.661,13.133,90,"O",70.055
8.407,36.859,36.208,77.902,41,"Class4",74.648,99.067,13.325,86,"H",64.52
50.049,21.221,27.723,26.429,5,"Class1",12.885,26.044,7.59,15,"N",52.486
75.523,80.281,41.35,12.783,32,"Class3",69.031,110.4,90.887,85,"R",73.676
46.208,28.554,82.288,22.391,17,"Class1",16.86,77.791,6.992,19,"A",76.051
72.264,79.16,41.731,36.094,49,"Class3",61.192,65.27,78.107,81,"R",66.445
52.418,69.781,45.731,37.208,43,"Class1",10.074,69.41,6.907,30,"H",35.061
79.226,81.027,41.318,24.664,25,"Class3",49.603,71.175,90.374,77,"W",114.256
58.114,44.173,70.632,32.559,40,"Class1",14.733,66.728,8.284,32,"A",32.774
50.029,63.995,65.46,45.332,79,"Class2",24.386,91.805,8.356,90,"M",81.022
70.097,69.185,84.759,32.873,79,"Class2",30.393,18.547,25.182,85,"M",73.091
10.738,35.555,34.909,14.686,67,"Class4",65.287,29.18,68.403,68,"W",58.106
53.388,63.447,79.691,36.859,79,"Class2",29.525,12.71,9.453,89,"O",65.918
80.7,68.647,76.516,39.353,79,"Class2",28.697,17.869,35.299,86,"K",78.47
10.514,35.123,36.328,30.328,89,"Class4",68.034,61.647,8.015,73,"D",74.899
10.484,30.161,35.214,51.446,84,"Class4",74.275,42.794,3.801,83,"B",61.155
47.756,72.821,NA,38.704,6,"Class1",10.512,33.396,8.714,29,"N",61.275
48.585,25.257,30.758,35.48,53,"Class1",15.471,-10.547,7.673,24,"U",15.269
47.799,33.158,60.81,35.461,32,"Class1",12.891,30.311,7.917,23,"W",25.389
69.018,81.157,42.051,17.007,44,"Class3",43.907,79.863,95.671,98,"Y",55.376
10.079,32.347,35.783,61.939,36,"Class4",83.641,24.379,68.098,79,"H",81.482
8.179,30.628,35.303,12.109,65,"Class4",74.66,27.364,40.665,81,"B",35.936
73.52,81.167,41.729,31.324,33,"Class3",35.607,44.908,83.045,77,"H",67.841
77.707,80.585,NA,33.516,25,"Class3",88.361,101.751,61.372,81,"G",80.664
49.17,79.596,76.853,24.475,43,"Class1",16.748,62.821,6.039,14,"A",42.443
8.268,32.085,35.623,55.395,42,"Class4",67.733,23.645,14.655,76,"B",60.379
76.5,66.029,85.627,72.056,79,"Class2",32.515,79.702,35.135,82,"M",71.573
55.886,29.841,70.175,24.015,30,"Class1",15.234,49.969,7.473,18,"N",-15.514
8.025,30.536,34.269,89.661,35,"Class4",63.76,33.962,8.397,79,"K",66.321
57.486,50.932,61.748,36.569,35,"Class1",13.736,20.406,7.584,26,"W",72.529
42.357,67.857,83.86,40.103,80,"Class2",29.739,-13.695,33.448,80,"M",72.067
58.348,55.414,113.281,28.214,23,"Class1",12.45,54.297,6.918,26,"N",28.861
8.9,33.186,34.298,26.019,71,"Class4",78.747,17.861,64.459,69,"B",88.223
60.757,76.284,64.921,23.538,20,"Class1",10.379,69.907,7.998,10,"A",51.354
81.876,82.525,41.789,18,46,"Class3",32.205,100.313,91.091,91,"W",67.763
8.106,30.096,34.172,37.999,39,"Class4",83.117,32.285,35.832,85,"H",54.94
8.616,36.326,NA,10.241,17,"Class4",71.269,61.817,25.891,77,"K",27.83
37.252,63.938,71.125,72.472,80,"Class2",26.639,47.919,9.484,84,"Z",64.32
79.482,81.208,NA,37.147,26,"Class3",80.096,69.37,94.147,79,"R",82.218
84.602,77.445,NA,21.099,39,"Class3",59.189,89.736,47.683,83,"R",71.195
80.494,70.81,75.245,32.082,80,"Class2",26.276,19.76,42.079,84,"O",67.401
9.192,33.838,35.841,19.119,32,"Class4",76.477,86.55,27.432,74,"H",57.008
59.986,39.402,26.803,37.392,53,"Class1",12.928,36.889,7.035,28,"W",57.722
51.272,26.709,74.711,23.461,15,"Class1",10.482,36.459,6.988,34,"W",37.334
54.931,64.185,70.574,36.703,79,"Class2",16.201,72.018,24.129,87,"Z",77.321
60.687,34.149,22.146,35.246,13,"Class1",14.597,33.297,6.968,9,"U",34.455
10.599,34.256,34.815,31.961,91,"Class4",78.075,77.72,56.182,66,"W",66.95
80.455,81.891,41.036,15.397,41,"Class3",42.268,69.199,68.056,90,"R",60.174
82.972,87.326,41.954,30.699,41,"Class3",86.848,59.19,94.684,80,"W",95.216
85.032,78.918,41.589,27.003,44,"Class3",78.171,88.024,25.854,97,"Y",78.286
10.263,29.313,35.628,80.088,45,"Class4",63.96,43.484,9.665,69,"K",54.903
9.455,30.793,36.17,43.613,94,"Class4",70.136,26.75,46.041,72,"W",40.685
77.489,81.796,42.002,22.769,25,"Class3",84.761,74.194,25.261,89,"G",74.651
52.25,61.314,71.386,23.398,57,"Class1",10.297,51.963,7.964,19,"H",10.997
9.525,32.069,35.746,10.258,72,"Class4",87.963,42.421,33.434,79,"K",37.707
46.054,49.928,42.114,38.951,49,"Class1",10.233,58.292,8.216,7,"A",48.542
35.144,73.197,78.54,58.186,80,"Class2",21.217,109.844,13.116,86,"Z",74.226
70.669,70.541,65.97,47.736,80,"Class2",30.749,53.591,13.328,82,"O",60.732
10.833,27.104,34.281,71.767,81,"Class4",60.411,96.621,69.735,76,"B",55.214
9.267,36.649,33.855,38.265,83,"Class4",66.422,45.459,36.01,70,"B",94.217
NA,36.879,36.361,19.381,40,"Class4",79.039,-9.108,49.8,82,"W",63.213
10.904,34.757,34.649,52.226,30,"Class4",84.578,41.485,74.233,81,"H",53.549
59.311,70.651,48.155,33.335,47,"Class1",11.405,108.521,6.958,8,"U",36.55
8.136,30.874,36.402,47.51,18,"Class4",77.791,42.979,7.759,79,"W",78.861
83.258,67.56,69.634,38.461,79,"Class2",17.096,31.129,42.431,87,"Z",71.462
9.893,37.814,38.434,75.991,91,"Class4",65.14,61.091,68.76,73,"W",80.838
57.049,62.991,74.554,28.726,79,"Class2",23.756,40.947,26.37,88,"O",79.141
46.372,38.268,86.058,26.015,11,"Class1",13.025,22.528,7.244,15,"U",49.297
76.472,77.875,41.335,18.233,44,"Class3",54.633,83.837,24.695,98,"R",50.453
10.809,33.398,34.897,33.76,39,"Class4",86.263,119.905,49.867,69,"B",49.586
47.232,60.981,87.512,62.024,79,"Class2",20.381,58.932,27.578,83,"Z",75.897
NA,36.393,35.615,48.722,45,"Class4",74.529,66.174,36.71,76,"B",39.302
77.674,80.028,41.321,35.193,28,"Class3",65.667,81.518,61.318,79,"W",42.314
49.854,30.382,80.706,34.287,40,"Class1",10.689,48.749,8.261,11,"H",38.542
69.339,84.637,41.96,17.652,23,"Class3",49.199,82.278,33.722,82,"H",47.882
35.041,61.766,75.799,37.646,80,"Class2",28.549,49.158,16.4,90,"M",67.477
76.652,67.499,74.651,66.772,80,"Class2",16.553,73.888,41.992,81,"Z",70.936
83.659,81.937,41.317,32.056,49,"Class3",43.974,91.926,11.044,91,"Y",82.617
10.314,32.119,34.957,76.46,97,"Class4",67.573,55.584,31.201,67,"K",112.82
53.57,46.805,-5.742,37.941,58,"Class1",13.314,33.042,6.963,33,"W",26.613
51.76,95.715,75.505,37.987,45,"Class1",15.444,53.311,6.575,22,"H",68.07
71.627,81.309,NA,30.272,50,"Class3",61.549,75.844,81.045,89,"W",40.33
NA,74.323,42.058,31.554,43,"Class3",80.876,79.217,16.346,98,"Y",36.669
54.258,70.536,70.855,50.065,79,"Class2",29.442,84.158,32.725,83,"J",66.788
NA,31.402,36.497,24.404,67,"Class4",67.076,69.112,50.422,79,"H",67.027
49.213,33.006,30.365,28.069,51,"Class1",10.206,63.555,8.582,5,"H",48.247
75.937,78.29,41.421,31.478,35,"Class3",55.401,65.319,46.725,96,"Y",60.683
NA,81.795,41.443,29.704,44,"Class3",63.558,72.859,91.002,99,"R",75.952
84.8,76.645,41.404,18.172,26,"Class3",34.175,69.106,19.682,82,"Y",46.001
49.284,67.096,71.999,48.135,79,"Class2",17.189,17.919,32.308,89,"M",72.666
51.705,26.901,47.344,37.932,26,"Class1",16.578,73.273,8.006,16,"U",9.691
72.453,77.845,41.461,29.66,28,"Class3",75.435,68.507,32.561,91,"R",69.752
NA,29.086,36.451,96.201,25,"Class4",60.923,36.53,4.417,82,"H",37.214
41.175,71.369,85.136,47.749,80,"Class2",34.445,46.883,23.685,88,"K",67.182
46.5,71.34,70.619,52.903,79,"Class2",26.404,65.101,34.501,90,"J",71.034
81.096,86.272,41.872,22.716,27,"Class3",48.631,82.012,96.231,91,"H",82.262
9.919,32.392,36.852,45.333,73,"Class4",59.347,42.221,11.156,69,"H",73.82
84.021,83.636,42.049,23.276,24,"Class3",41.759,77.955,55.779,91,"Y",107.198
10.35,28.165,35.193,44.152,39,"Class4",71.333,37.21,49.284,83,"W",69.569
70.232,70.81,84.169,39.542,79,"Class2",29.497,29.768,9.495,82,"K",76.709
58.995,32.257,92.556,25.055,25,"Class1",15.364,104.78,8.961,20,"U",80.861
75.823,63.679,41.396,23.639,23,"Class3",55.153,95.528,16.64,85,"W",66.025
NA,76.399,41.412,34.479,49,"Class3",80.872,107.027,77.009,86,"R",50.395
10.577,29.12,NA,13.833,50,"Class4",60.443,63.01,34.133,85,"W",45.355
47.243,50.144,28.165,25.557,53,"Class1",10.898,18.239,6.45,8,"W",33.695
79.933,67.537,78.773,36.958,79,"Class2",16.096,65.99,17.708,80,"K",73.285
9.009,33.122,35.17,67.835,88,"Class4",72.985,49.016,14.094,74,"W",49.943
75.031,67.182,73.137,30.336,80,"Class2",25.074,98.542,7.579,83,"J",71.488
59.716,68.311,66.98,38.017,80,"Class2",14.958,30.587,23.758,83,"J",70.577
8.286,33.058,36.694,60.3,61,"Class4",75.003,98.838,62.612,74,"W",27.413
10.048,35.569,34.698,82.557,41,"Class4",70.736,27.712,36.233,72,"D",106.932
58.408,81.601,56.999,29.07,8,"Class1",15.294,49.13,8.758,30,"W",41.322
37.699,63.232,73.166,30.385,79,"Class2",15.784,53.022,24.56,85,"K",65.666
82.533,75.614,41.97,12.786,38,"Class3",72.099,82.262,18.703,99,"H",55.412
NA,86.733,41.681,34.292,35,"Class3",82.769,66.617,69.885,80,"Y",66.426
63.921,69.966,80.694,45.475,80,"Class2",14.774,27.302,28.236,83,"K",79.158
60.706,25.944,53.308,36.93,29,"Class1",14.579,21.457,7.773,23,"U",68.327
59.09,70.655,71.41,31.093,79,"Class2",17.909,19.206,26.315,83,"O",73.426
8.262,35.09,35.693,87.345,72,"Class4",60.63,107.266,66.433,84,"K",65.443
9.697,31.238,35.791,25.573,90,"Class4",78.855,130.626,36.087,79,"D",48.482
83.604,82.003,42.374,21.943,31,"Class3",82.811,70.401,87.203,82,"R",64.018
NA,84.035,NA,15.006,30,"Class3",69.312,82.756,79.888,78,"Y",39.474
NA,32.766,35.703,57.359,16,"Class4",64.828,52.877,43.375,70,"B",62.24
79.902,88.884,42.375,16.121,26,"Class3",47.463,71.39,48.967,86,"R",54.847
57.846,39.897,64.96,29.768,51,"Class1",11.816,55.51,7.792,16,"U",43.514
53.426,28.157,-0.176,29.107,20,"Class1",15.641,77.337,7.513,28,"U",84.846
10.733,33.331,37.208,7.325,78,"Class4",79.74,18.593,19.245,66,"D",52.472
71.279,73.645,41.715,29.536,47,"Class3",79.912,77.605,19.324,89,"W",24.602
63.915,70.528,74.443,30.005,80,"Class2",15.268,62.86,8.95,91,"O",71.052
NA,31.831,NA,57.106,96,"Class4",87.216,1.282,57.926,69,"W",37.182
48.545,66.941,74.977,68.239,79,"Class2",34.837,84.663,35.291,91,"Z",72.591
84.729,78.582,41.215,22.04,23,"Class3",48.925,91.862,30.791,84,"R",82.066
NA,78.815,41.433,37.495,47,"Class3",87.416,73.236,31.823,77,"R",47.027
49.766,33.348,86.624,31.37,48,"Class1",11.205,111.352,7.913,33,"A",52.554
85.533,83.303,42.248,31.241,30,"Class3",63.747,79.163,58.532,96,"W",84.405
58.659,41.862,91.237,30.917,20,"Class1",10.908,28.377,8.185,32,"W",45.343
52.037,-1.798,NA,36.402,40,"Class1",12.372,72.879,7.406,11,"A",2.671
54.331,56.987,66.444,35.304,36,"Class1",15.289,61.951,7.423,27,"W",75.593
73.504,83.004,41.274,18.47,36,"Class3",34.734,77.861,75.488,88,"H",89.354
65.048,67.051,71.289,37.036,80,"Class2",19.316,49.593,16.798,86,"O",75.018
8.543,32.089,35.2,32.489,33,"Class4",78.267,51.604,38.754,67,"B",32.094
76.006,77.152,41.711,13.258,50,"Class3",37.812,87.268,40.902,100,"R",60.581
78.474,76.059,41.531,33.034,23,"Class3",71.33,90.844,43.481,93,"H",60.271
10.021,30.657,35.154,28.573,75,"Class4",73.767,34.038,56.19,67,"H",79.486
8.757,36.302,34.626,56.656,44,"Class4",84.253,67.818,51.35,66,"W",72.431
69.53,88.229,41.441,14.676,49,"Class3",52.926,71.713,71.723,78,"H",40.265
40.249,60.344,71.535,27.593,80,"Class2",23.145,85.692,9.196,86,"M",70.781
41.764,73.265,90.287,57.715,79,"Class2",18.168,48.817,8.421,90,"J",67.364
58.061,33.914,70.076,37.157,5,"Class1",13.73,62.177,8.242,28,"W",5.486
9.435,34.6,36.55,61.031,49,"Class4",67.567,45.094,57.469,86,"W",33.4
59.391,26.227,41.499,21.634,46,"Class1",15.19,84.609,8.894,23,"W",45.201
NA,27.807,33.844,86.65,97,"Class4",61.212,62.28,22.896,76,"B",72.192
8.302,37.842,34.788,81.659,90,"Class4",69.555,40.905,64.907,66,"K",94.052
83.264,67.08,84.097,66.399,80,"Class2",30.035,5.105,31.607,85,"M",67.794
72.381,83.172,40.817,36.489,26,"Class3",44.721,78.874,31.124,95,"R",49.839
72.941,81.021,41.593,34.512,25,"Class3",81.589,88.643,38.004,90,"H",95.753
78.984,79.741,41.071,16.022,30,"Class3",40.201,93.509,68.153,80,"R",47.182
85.95,75.376,41.015,37.474,31,"Class3",56.744,73.345,43.065,88,"H",68.625
55.859,89.711,25.665,34.36,39,"Class1",14.701,42.647,8.434,17,"N",57.942
8.791,26.785,37.443,46.371,25,"Class4",85.47,66.564,67.925,80,"B",75.948
NA,82.343,NA,21.455,33,"Class3",86.443,99.381,86.08,82,"G",70.407
72.624,85.395,41.54,14.509,33,"Class3",66.979,82.549,50.472,79,"G",76.591
35.574,60.667,88.168,63.446,79,"Class2",33.591,-2.47,18.458,81,"Z",72.046
56.521,65.099,67.066,32.586,80,"Class2",22.492,33.218,40.909,80,"Z",71.486
