"AMD1","XIO2","NBE3","ASH4","MJG5","FRB6","NGE7","EAX8","Output21","EHW9","XLQ10"
47.817,81.858,73.489,47.125,47,41.19,"G",47.946,"Class3",48.612,47.814
30.198,69.401,55.275,8.819,44,50.705,"I",43.341,"Class1",84.067,63.249
39.426,27.363,41.81,59.992,92,91.576,"Z",38.183,"Class2",14.974,55.778
29.35,56.828,90.895,37.777,13,47.973,"E",28.257,"Class4",62.401,16.52
33.522,65.57,55.683,41.384,57,43.531,"J",43.508,"Class1",84.373,75.922
59.847,92.688,85.166,38.956,16,40.789,"J",22.059,"Class3",49.423,13.496
31.646,60.229,98.201,57.296,71,43.203,"L",34.557,"Class4",50.684,21.277
51.257,61.691,60.888,7.153,58,21.63,"R",75.718,"Class5",65.981,18.6
11.495,62.65,99.736,77.06,17,40.406,"I",34.012,"Class4",83.274,25.163
52.172,60.398,80.797,9.914,57,31.991,"V",88.862,"Class5",31.872,15.183
37.706,53.883,73.717,17.748,91,34.966,"D",79.994,"Class5",13.644,16.058
14.056,88.298,61.563,60.487,21,33.98,"T",50.613,"Class3",44.776,50.079
38.657,56.247,76.41,11.379,55,29.448,"D",59.251,"Class5",34.485,20.674
48.1,27.78,49.503,38.912,87,92.024,"Z",30.995,"Class2",32.014,55.841
84.998,75.847,67.998,51.556,32,12.219,"D",18.393,"Class3",54.532,NA
69.356,91.643,54.009,63.794,29,-3.267,"T",35.241,"Class3",53.815,41.767
NA,55.221,62.062,7.089,57,35.148,"R",70.009,"Class5",37.808,17.73
55.903,72.099,79.32,36.353,60,35.724,"A",42.649,"Class1",84.422,41.867
35.824,72.191,81.533,28.931,38,48.772,"J",43.323,"Class1",84.172,79.519
21.831,81.452,85.968,39.095,44,35.858,"A",44.085,"Class3",49.715,7.195
45.939,36.006,84.947,17.466,79,22.086,"D",71.423,"Class5",54.087,7.875
NA,32.412,78.372,10.649,69,26.805,"V",72.828,"Class5",53.505,12.681
35.727,83.037,76.264,67.178,16,17.538,"D",49.9,"Class3",50.735,19.12
74.476,94.345,85.187,42.662,44,16.58,"D",47.695,"Class3",39.943,55.944
40.495,24.051,14.776,80.482,95,91.304,"O",42.602,"Class2",43.045,51.992
7.528,63.072,88.505,36.52,48,50.418,"X",39.611,"Class4",73.211,5.463
39.008,77.085,51.84,34.843,39,20.752,"J",32.585,"Class3",46.286,55.993
NA,84.184,80.915,69.466,26,16.207,"G",21.29,"Class3",53.267,NA
42.759,71.342,77.667,60.724,23,52.555,"D",39.265,"Class3",60.636,32.472
54.218,65.896,44.89,5.656,57,39.389,"J",41.065,"Class1",83.623,70.307
27.861,26.757,33.682,81.498,92,91.684,"E",62.314,"Class2",24.846,27.629
39.831,26.188,11.647,68.275,81,91.192,"E",40.624,"Class2",36.592,58.926
38.214,65.559,32.117,94.123,36,21.071,"Z",39.318,"Class1",83.335,73.582
51.574,58.36,64.429,8.432,57,18.897,"V",73.954,"Class5",39.433,18.552
38.457,22.275,66.919,12.475,85,34.592,"D",92.654,"Class5",37.268,12.694
71.582,84.822,56.095,38.318,36,23.839,"D",20.864,"Class3",58.89,28.143
43.294,51.042,75.411,13.294,70,31.05,"V",66.781,"Class5",98.327,20.899
5.755,73.18,65.688,43.573,34,19.631,"A",31.714,"Class3",45.861,42.174
49.311,23.316,39.457,73.668,85,91.822,"E",67.11,"Class2",33.335,27.771
39.539,22.835,69.497,10.485,68,32.137,"S",91.536,"Class5",32.586,24.794
71.863,92.713,77.098,71.492,19,24.143,"G",13.493,"Class3",48.885,47.493
51.883,42.47,77.597,10.161,60,29.2,"X",77.908,"Class5",58.241,16.593
65.292,92.27,52.781,53.901,26,34.105,"G",30.894,"Class3",42.482,52.798
48.623,25.434,18.323,83.04,90,91.562,"X",37.425,"Class2",23.645,64.764
17.581,61.296,98.537,49.929,48,51.91,"E",22.723,"Class4",62.979,26.706
41.132,23.487,38.172,50.192,94,91.294,"Z",38.832,"Class2",29.76,43.593
81.507,87.152,51.824,83.281,32,18.053,"J",32.175,"Class3",54.106,NA
40.988,53.086,22.367,44.258,56,54.47,"J",42.75,"Class1",82.449,61.511
28.497,74.647,32.516,22.116,56,43.197,"Z",43.843,"Class1",82.169,68.645
14.289,61.749,91.234,63.621,23,43.148,"L",23.683,"Class4",48.019,29.352
18.138,59.92,95.336,72.487,74,50.367,"K",31.359,"Class4",62.959,34.121
53.156,42.658,82.579,4.347,55,30.705,"S",91.25,"Class5",68.735,18.239
46.309,26.525,25.13,64.225,81,91.385,"R",30.146,"Class2",20.856,40.622
32.629,24.604,16.265,57.482,81,91.678,"R",60.18,"Class2",20.754,30.654
28.528,61.095,99.683,51.282,74,46.275,"X",41.077,"Class4",39.898,31.927
49.794,46.427,76.414,10.89,62,24.045,"V",81.856,"Class5",42.183,18.228
34.063,89.326,42.905,74.252,53,27.846,"J",43.156,"Class1",84.625,61.784
72.227,81.219,69.596,43.717,17,31.846,"G",43.324,"Class3",45.164,39.233
42.976,25.84,10.507,46.47,86,91.772,"X",27.596,"Class2",19.104,34.445
52.074,35.978,62.517,13.377,59,30.138,"V",60.337,"Class5",63.087,17.084
35.181,74.41,40.41,79.766,40,57.286,"J",40.368,"Class1",85.853,74.936
20.998,68.499,79.786,45.23,51,57.386,"B",40.491,"Class1",85.865,61.159
49.859,60.469,83.089,8.864,94,28.982,"X",88.421,"Class5",29.19,12.242
39.74,78.131,67.774,47.528,22,14.402,"A",30.301,"Class3",51.111,31.714
7.02,64.62,95.417,40.389,26,43.108,"L",26.216,"Class4",103.964,14.986
41.287,70.65,35.111,69.734,56,23.16,"Z",43.866,"Class1",85.201,69.066
NA,23.841,23.991,37.951,93,91.316,"E",54.367,"Class2",22.887,50.606
38.324,38.441,73.612,9.113,96,30.314,"S",64.005,"Class5",13.489,8.522
37.12,61.114,84.748,9.544,77,32.736,"V",71.291,"Class5",45.859,13.821
27.751,26.348,23.839,84.09,91,91.504,"E",27.24,"Class2",27.418,39.238
44.914,53.811,80.149,7.054,75,36.464,"S",62.906,"Class5",47.729,19.307
87.429,90.823,74.991,31.795,25,23.481,"T",39.015,"Class3",54.882,7.759
40.131,22.813,83.712,10.524,60,27.508,"V",92.155,"Class5",46.902,18.182
40.752,27.859,25.65,51.369,91,91.757,"O",64.86,"Class2",25.297,40.556
33.775,49.874,92.949,54.588,80,58.731,"I",40.252,"Class4",57.893,27.111
17.939,49.052,72.567,42.047,59,52.631,"A",39.838,"Class1",81.734,66.641
34.373,23.772,39.417,60.791,81,91.193,"E",66.09,"Class2",22.908,54.181
26.028,56.448,91.444,34.947,81,48.488,"L",41.337,"Class4",64.38,21.393
48.372,23.995,25.458,55.953,92,91.112,"E",50.122,"Class2",27.745,39.987
32.457,49.712,17.515,72.012,50,36.471,"I",44.343,"Class1",83.346,70.686
42.754,74.659,68.387,72.206,22,38.523,"G",37.751,"Class3",62.735,20.833
17.762,61.866,99.473,36.548,57,52.324,"K",21.628,"Class4",82.92,20.883
37.855,26.383,13.538,44.564,78,91.215,"E",33.71,"Class2",22.654,25.412
31.8,73.578,39.83,44.09,63,56.694,"J",42.178,"Class1",82.16,67.342
31.489,23.545,47.804,59.598,80,91.947,"O",28.391,"Class2",18.822,37.112
40.372,94.876,81.197,62.226,28,52.865,"D",50.501,"Class3",46.124,4.759
61.207,79.401,71.932,23.277,44,46.869,"A",27.522,"Class3",36.084,41.58
28.931,25.92,51.229,56.93,83,91.071,"R",43.338,"Class2",18.308,54.722
5.968,82.42,67.788,44.879,33,26.887,"A",21.865,"Class3",47.539,23.955
49.85,26.625,35.718,50.37,89,91.082,"E",49.706,"Class2",33.701,39.44
50.524,24.441,68.522,10.784,90,25.597,"V",68.095,"Class5",57.351,9.722
31.781,49.658,33.089,72.256,60,33.11,"A",39.965,"Class1",82.701,57.633
34.769,51.82,93.815,53.886,14,62.644,"K",21.422,"Class4",63.627,34.004
60.511,82.266,83.555,54.442,39,22.694,"G",34.251,"Class3",56.584,57.644
70.014,80.83,62.953,43.257,38,19.627,"T",24.417,"Class3",61.304,16.395
48.112,24.075,54.278,55.352,95,91.466,"X",33.833,"Class2",26.534,40.01
NA,51.166,63.607,9.791,78,28.838,"V",59.455,"Class5",37.067,11.913
17.994,66.447,97.94,62.17,12,47.465,"K",29.422,"Class4",65.837,36.736
43.388,41.178,67.445,14.906,94,29.099,"D",92.039,"Class5",66.899,18.935
69.066,84.087,53.463,44.813,24,20.402,"D",52.847,"Class3",58.071,60.16
64.919,72.889,73.359,39.29,36,19.312,"G",22.233,"Class3",45.433,62.843
34.559,53.25,61.29,57.124,49,41.066,"A",41.239,"Class1",86.86,60.869
22.46,87.009,80.612,67.532,34,51.802,"A",45.229,"Class3",53.423,40.02
37.826,59.857,90.238,28.679,80,48.953,"I",23.863,"Class4",77.582,17.09
37.923,25.734,78.527,10.583,88,28.618,"V",78.789,"Class5",40.259,15.185
31.566,27.676,35.274,57.265,89,91.315,"X",33.466,"Class2",28.455,17.724
40.665,44.175,80.109,15.776,68,34.93,"S",69.351,"Class5",43.167,15.826
36.187,74.684,77.269,44.462,51,35.969,"B",42.934,"Class1",85.688,81.466
33.816,58.32,91.615,85.471,21,50.267,"E",30.415,"Class4",59.878,41.468
80.622,94.071,50.664,51.075,41,19.329,"T",25.042,"Class3",52.191,75.671
40.736,68.857,56.958,41.196,53,12.31,"B",39.079,"Class1",86.671,61.802
23.874,55.271,92.779,58.74,34,40.808,"E",22.657,"Class4",85.028,26.058
42.589,23.74,84.273,8.536,64,25.194,"S",70.702,"Class5",14.839,19.255
49.121,42.703,79.905,9.766,82,26.167,"X",66.276,"Class5",56.687,16.235
38.32,23.906,31.746,40.219,80,91.244,"E",33.36,"Class2",22.282,3.533
9.296,66.986,92.455,53.849,24,53.286,"E",33.798,"Class4",69.107,28.07
34.579,27.679,10.144,46.804,92,91.748,"Z",66.615,"Class2",41.348,74.197
32.372,24.225,8.745,64.561,86,91.647,"Z",54.334,"Class2",32.148,51.554
34.722,49.808,91.749,43.779,41,51.052,"I",32.591,"Class4",47.762,24.009
41.678,22.166,74.698,15.076,84,28.166,"V",64.784,"Class5",47.016,23.774
16.826,55.784,95.72,60.104,18,56.048,"E",42.309,"Class4",52.146,25.924
9.251,66.088,87.959,58.916,72,48.858,"I",22.012,"Class4",52.054,31.637
3.996,73.826,82.024,42.311,19,32.751,"D",37.426,"Class3",44.795,37.822
51.338,22.415,78.294,12.364,88,29.179,"X",84.893,"Class5",29.766,6.53
28.922,26.539,49.425,43.605,82,91.841,"R",29.427,"Class2",16.207,53.942
26.286,60.747,89.341,47.363,19,45.718,"X",37.637,"Class4",52.824,14.08
53.309,77.753,20.964,48.467,49,58.793,"J",43.347,"Class1",82.237,64.927
40.938,92.722,68.696,62.628,35,2.994,"J",12.903,"Class3",53.169,57.208
36.896,25.253,53.427,37.953,87,91.653,"E",63.719,"Class2",30.981,37.388
29.966,80.055,81.727,65.795,20,9.95,"J",52.431,"Class3",50.926,10.708
44.721,79.04,22.008,39.924,40,76.902,"J",40.92,"Class1",85.369,66.784
53.526,80.051,85.415,57.524,22,22.042,"A",47.701,"Class3",49.756,26.066
7.693,49.907,88.86,63.182,54,50.481,"E",22.427,"Class4",77.488,16.456
50.098,30.827,71.095,17.24,69,23.061,"R",57.548,"Class5",54.676,17.557
4.292,78.651,85.646,31.929,18,36.704,"T",50.122,"Class3",50.912,68.926
46.378,25.345,82.462,12.503,59,32.688,"R",63.563,"Class5",22.1,24.091
33.134,84.026,64.472,56.689,60,43.596,"J",39.007,"Class1",85.067,56.109
47.62,27.123,76.385,5.914,93,31.54,"R",76.029,"Class5",50.367,19.013
36.295,91.595,81.422,48.654,38,52.063,"D",24.878,"Class3",50.044,13.355
46.81,41.217,73.32,11.854,55,25.688,"R",74.142,"Class5",43.581,12.425
29.727,67.004,57.691,89.252,48,51.14,"B",42.519,"Class1",83.631,60.973
39.77,45.106,70.02,5.634,85,30.118,"R",77.742,"Class5",20.338,14.418
43.815,80.354,35.534,48.783,44,23.494,"B",41.943,"Class1",84.288,60.576
43.623,24.786,55.252,44.922,91,91.819,"E",51.186,"Class2",34.252,52.872
84.215,82.028,60.524,47.414,17,26.405,"G",43.4,"Class3",50.342,21.281
43.311,27.964,25.384,60.151,79,91.703,"O",53.921,"Class2",25.55,42.237
73.705,87.084,50.005,63.407,20,44.524,"D",46.818,"Class3",58.563,35.068
48.349,26.407,21.445,67.72,79,91.727,"X",33.667,"Class2",31.017,20.592
32.845,94.966,78.124,52.193,31,34.289,"D",18.48,"Class3",52.288,47.33
52.427,68.553,45.569,28.021,44,49.821,"I",42.296,"Class1",83.155,74.642
89.622,84.632,58.202,46.083,17,32.79,"G",24.187,"Class3",52.241,55.942
65.431,71.064,85.101,40.419,32,13.616,"J",48.484,"Class3",46.138,6.72
9.98,59.099,93.339,59.034,12,51.985,"L",29.633,"Class4",59.76,2.428
46.396,27.087,49.13,62.202,82,90.987,"Z",62.083,"Class2",26.662,NA
32.831,24.989,16.016,62.583,95,91.372,"R",54.437,"Class2",20.836,36.325
47.364,27.601,32.863,55.552,80,91.543,"O",67.819,"Class2",34.302,51.214
39.695,27.718,48.667,55.939,83,91.707,"Z",56.546,"Class2",22.796,27.331
31.341,23.697,32.47,71.27,80,91.514,"X",30.215,"Class2",29.486,37.274
20.23,58.087,98.209,46.387,73,47.482,"L",38.078,"Class4",55.549,16.283
34.79,54.923,91.91,35.539,55,45.35,"X",28.015,"Class4",63.083,29.052
39.549,35.728,75.952,12.671,65,29.482,"S",57.429,"Class5",55.045,13.608
50.144,42.453,61.418,10.168,74,30.301,"S",65.063,"Class5",40.315,16.215
25.204,54.909,97.754,55.864,24,48.525,"K",27.664,"Class4",71.957,38.138
20.783,86.056,60.448,44.351,22,38.848,"A",46.077,"Class3",52.262,19.28
7.029,88.026,73.537,51.375,16,25.499,"D",37.726,"Class3",53.727,38.289
28.221,23.941,21.614,54.067,88,90.972,"Z",52.953,"Class2",19.396,39.18
34.713,86.312,72.328,76.613,30,9.854,"J",11.564,"Class3",53.475,54.853
10.642,66.506,93.5,42.424,15,45.56,"E",23.212,"Class4",98.265,23.808
33.628,49.669,96.2,67.741,37,47.686,"I",40.651,"Class4",83.977,58.086
47.35,63.119,77.525,70.543,52,82.996,"A",44.192,"Class1",85.342,NA
24.4,56.494,95.704,40.11,40,45.747,"E",24.404,"Class4",73.714,24.119
75.615,80.509,55.071,27.762,47,51.939,"J",51.268,"Class3",52.916,29.191
20.16,49.318,97.992,49.348,59,46.152,"E",32.406,"Class4",57.713,11.46
42.14,26.103,50.203,57.825,94,91.042,"R",58.775,"Class2",21.771,8.632
38.347,44.069,76.748,50.789,50,39.154,"I",39.018,"Class1",83.49,56.7
30.867,57.167,93.98,61.508,51,50.001,"I",31.238,"Class4",69.027,NA
78.204,84.735,86.051,46.163,48,19.397,"A",17.761,"Class3",57.253,32.115
30.54,24.192,48.242,37.631,88,91.901,"X",41.856,"Class2",27.251,49.096
43.922,25.564,34.093,70.43,83,91.638,"O",60.525,"Class2",24.287,75.577
84.18,90.904,68.253,55.979,41,-5.95,"A",22.323,"Class3",55.494,NA
42.44,75.061,64.718,28.813,48,56.079,"A",44.735,"Class1",85.475,69.285
40.979,28.418,76.898,11.767,65,28.297,"S",65.756,"Class5",5.813,17.847
36.686,56.262,98.411,26.677,44,41.077,"E",39.442,"Class4",80.268,32.204
88.585,76.251,57.607,49.234,36,34.051,"J",22.613,"Class3",55.2,52.073
34.341,85.333,51.845,65.637,28,28.924,"G",45.414,"Class3",49.496,25.352
55.668,52.552,57.069,27.446,45,14.274,"J",43.769,"Class1",84.875,76.068
40.645,71.662,19.633,64.534,39,79.127,"I",39.606,"Class1",83.262,NA
41.649,27.696,49.635,81.885,81,91.816,"E",64.25,"Class2",36.222,32.157
85.808,91.978,60.34,51.781,48,-9.413,"G",28.257,"Class3",47.683,46.968
45.942,26.314,36.736,59.457,90,90.52,"O",53.847,"Class2",29.849,36.132
35.476,50.769,99.388,46.686,49,47.449,"K",26.859,"Class4",72.332,17.48
8.72,49.625,93.2,44.488,68,51.275,"X",28.677,"Class4",56.1,25.963
NA,26.471,39.898,39.916,79,91.202,"R",34.919,"Class2",36.533,18.77
48.549,45.432,18.158,45.46,50,56.376,"I",41.349,"Class1",85.02,63.284
27.483,53.823,88.418,73.711,32,57.051,"E",21.196,"Class4",73.196,22.312
41.82,74.202,56.894,60.721,45,21.083,"B",44.142,"Class1",84.219,59.249
40.063,66.76,69.448,50.339,61,80.362,"A",39.964,"Class1",83.29,77.341
NA,78.392,86.396,62.067,35,43.249,"D",35.81,"Class3",42.479,34.907
40.804,32.171,75.333,14.997,93,23.6,"R",71.875,"Class5",41.099,10.733
35.169,25.302,33.308,70.382,93,91.555,"Z",31.402,"Class2",34.302,78.341
NA,23.386,52.339,65.621,85,91.476,"E",68.551,"Class2",23.985,67.34
37.617,52.5,53.477,23.849,51,21.752,"I",44.619,"Class1",83.061,71.481
47.571,22.284,83.1,15.033,68,30.356,"X",75.003,"Class5",15.126,18.101
10.59,73.493,72.593,34.778,31,25.374,"T",36.453,"Class3",52.532,33.124
11.918,63.439,97.742,56.635,70,54.113,"K",23.046,"Class4",89.836,31.31
20.932,62.739,93.834,35.845,36,46.825,"X",36.856,"Class4",66.297,29.071
52.966,37.113,83.87,9.981,93,31.679,"S",92.848,"Class5",62.21,9.085
48.074,64.356,72.624,10.547,61,27.548,"V",63.431,"Class5",1.534,16.521
87.338,92.416,52.282,35.359,36,40.336,"A",40.155,"Class3",50.173,37.032
10.941,50.729,93.446,42.104,66,53.319,"I",38.443,"Class4",70.186,1.597
NA,27.872,16.489,90.066,85,91.312,"Z",40.834,"Class2",17.221,77.135
30.205,94.558,22.361,77.506,40,68.756,"J",43.878,"Class1",82.81,75.14
28.555,73.718,62.4,34.183,35,13.253,"G",43.91,"Class3",49.457,66.833
44.812,23.902,20.654,38.01,83,91.005,"E",46.973,"Class2",30.248,60.999
1.941,71.29,86.849,58.444,47,5.265,"J",37.322,"Class3",48.649,50.191
39.158,54.026,67.645,13.032,83,23.035,"R",56.349,"Class5",14.025,9.388
28.123,62.483,99.276,61,77,49.71,"K",31.743,"Class4",102.346,14.468
55.538,88.04,15.229,24.064,63,63.882,"Z",44.426,"Class1",84.229,65.576
44.928,26.374,71.47,15.349,53,24.852,"R",86.621,"Class5",80.631,17.306
NA,25.241,58.029,90.098,84,91.198,"O",32.381,"Class2",30.636,58.545
63.569,88.623,58.632,50.989,19,17.023,"J",21.132,"Class3",49.325,59.573
17.58,51.6,37.663,31.939,63,17.63,"B",43.885,"Class1",84.16,66.5
18.339,82.895,58.927,47.459,18,29.934,"D",33.486,"Class3",54,30.57
39.813,28.595,78.86,11.077,61,26.388,"S",90.675,"Class5",84.821,20.219
34.897,52.756,42.253,87.025,58,41.861,"Z",41.373,"Class1",83.112,64.913
7.856,73.933,55.862,52.132,43,13.179,"D",31.309,"Class3",45.632,45.111
28.636,55.247,89.683,71.507,41,52.518,"X",31.175,"Class4",79.932,30.413
23.872,45.091,72.597,33.701,61,51.936,"B",44.326,"Class1",85.521,61.052
89.08,92.832,52.22,66.331,22,41.97,"D",47.157,"Class3",57.293,12.966
14.713,83.221,83.411,36.438,22,38.208,"A",42.939,"Class3",53.532,44.281
8.069,52.323,91.19,33.934,46,54.561,"L",27.05,"Class4",79.404,31.138
16.439,56.702,93.935,62.6,55,50.597,"L",40.971,"Class4",88.092,-1.336
41.269,25.427,59.008,44.395,79,90.787,"X",38.688,"Class2",28.931,42.009
NA,38.192,60.177,13.858,53,27.636,"R",80.677,"Class5",30.292,16.688
14.733,50.476,88.758,71.692,5,48.549,"X",28.934,"Class4",101.172,22.013
29.827,60.582,90.547,40.935,78,46.066,"X",23.195,"Class4",63.796,25.112
49.299,82.237,59.624,37.191,46,39.173,"I",44.957,"Class1",84.078,60.272
37.187,26.761,13.259,41.382,90,91.938,"O",50.082,"Class2",43.987,73.686
50.958,36.027,81.468,9.994,74,25.04,"S",68.578,"Class5",62.055,19.796
29.369,50.094,98.109,44.365,27,41.833,"I",42.014,"Class4",68.032,36.958
43.184,89.206,64.653,44.892,21,25.443,"A",9.363,"Class3",50.006,48.67
13.458,59.111,88.637,72.936,61,53.966,"X",29.985,"Class4",67.478,21.51
23.097,65.057,93.247,31.244,13,44.82,"K",30.796,"Class4",76.273,18.796
42.321,58.336,60.155,10.395,94,25.345,"V",80.801,"Class5",61.389,17.407
NA,26.332,36.643,42.722,85,91.702,"X",59.273,"Class2",18.225,45.635
74.622,83.498,53.003,62.46,37,65.366,"A",53.922,"Class3",51.46,53.985
66.118,84.979,86.592,59.516,48,25.758,"G",29.43,"Class3",43.258,27.67
33.126,23.089,39.581,77.096,91,91.814,"Z",39.283,"Class2",47.695,38.041
25.626,58.626,98.318,70.688,50,36.177,"L",38.433,"Class4",76.091,33.023
42.613,81.71,26.486,48.923,57,39.469,"A",39.53,"Class1",84.06,76.465
NA,25.671,46.525,38.577,90,91.867,"E",42.644,"Class2",33.984,60.451
47.84,33.438,68.047,9.917,58,31.333,"V",93.875,"Class5",31.904,12.49
30.192,89.655,66.426,3.732,41,33.653,"D",20.268,"Class3",49.238,7.241
31.322,25.44,24.733,64.484,85,90.825,"X",56.627,"Class2",21.871,24.106
47.134,83.079,85.955,60.296,30,34.512,"D",13.572,"Class3",55.999,NA
27.349,24.267,50.872,83.077,81,91.543,"X",46.818,"Class2",9.915,41.589
19.092,82.146,79.737,53.116,29,14.061,"J",37.281,"Class3",47.015,46.086
36.68,27.955,32.003,90.594,93,91.647,"O",46.206,"Class2",33.982,39.596
43.897,24.155,34.063,70.145,82,91.139,"R",53.071,"Class2",37.02,28.844
8.344,49.637,87.52,48.451,54,46.176,"X",31.893,"Class4",74.901,17.021
33.073,24.882,13.559,71.006,91,90.928,"X",67.554,"Class2",31.024,37.718
35.263,56.198,88.367,52.078,20,47.932,"L",22.645,"Class4",87.34,29.058
45.316,53.426,75.853,24.588,48,81.904,"B",44.899,"Class1",84.716,63.267
32.196,63.575,14.114,31.843,37,48.371,"I",44.644,"Class1",81.728,64.182
71.007,84.909,70.536,35.913,31,1.509,"J",26.224,"Class3",55.496,56.072
35.222,50.322,89.473,66.515,24,49.01,"E",40.661,"Class4",68.162,20.231
30.753,25.009,57.25,49.915,83,91.06,"X",65.136,"Class2",26.781,51.983
30.361,26.852,11.446,38.956,82,91.684,"E",56.243,"Class2",37.975,53.852
32.756,27.095,39.656,63.242,88,91.264,"Z",27.691,"Class2",36.565,60.831
20.056,74.777,79.887,31.382,36,13.625,"D",53.284,"Class3",51.17,10.984
57.856,86.942,81.325,36.764,42,28.78,"A",21.342,"Class3",53.673,4.872
7.2,62.755,97.33,39.72,11,47.109,"I",35.418,"Class4",60.542,32.184
35.399,23.747,35.78,36.116,90,92.098,"R",49.933,"Class2",23.751,26.108
86.476,76.156,52.388,63.878,34,17.966,"J",13.043,"Class3",57.923,54.826
39.232,35.253,76.843,21.554,77,30.542,"X",76.34,"Class5",5.835,11.822
48.231,25.13,35.705,60.541,90,91.732,"Z",65.161,"Class2",30.069,24.785
NA,87.562,62.92,59.274,42,15.898,"G",27.388,"Class3",52.622,27.464
37.488,25.403,38.61,58.214,79,91.709,"O",57.718,"Class2",20.048,24.858
27.925,90.109,55.684,40.905,26,34.422,"A",10.246,"Class3",50.563,26.764
37.957,64.233,93.245,25.967,45,55.767,"L",28.2,"Class4",74.151,35.546
47.116,24.972,69.307,17.058,75,21.631,"X",92.548,"Class5",65.202,20.575
47.179,48.426,70.48,40.024,38,36.175,"I",40.206,"Class1",85.149,76.365
25.801,86.936,47.964,56.978,62,32.687,"B",44.838,"Class1",84.326,66.702
32.286,57.185,98.883,54.284,4,53.184,"I",27.111,"Class4",68.575,11.403
50.538,82.643,75.539,-6.543,41,28.105,"J",43.827,"Class1",82.671,72.076
46.914,25.735,15.151,89.357,88,91.346,"Z",38.633,"Class2",24.863,49.01
46.566,23.658,48.54,36.39,80,92.067,"X",49.738,"Class2",19.009,66.118
25.176,64.748,35.871,60.07,52,41.331,"J",41.871,"Class1",82.538,70.326
40.101,26.758,11.156,49.879,79,91.926,"X",68.801,"Class2",20.234,46.142
44.353,88.487,81.607,47.923,33,42.88,"G",12.569,"Class3",51.99,53.551
46.754,50.643,76.312,10.464,58,28.854,"X",57.878,"Class5",32.74,24.51
10.127,60.681,93.231,33.992,79,43.339,"X",36.323,"Class4",64.439,26.24
87.452,85.263,64.475,44.18,33,13.436,"G",15.871,"Class3",53.469,18.244
15.288,90.516,55.745,18.357,33,-3.075,"J",23.635,"Class3",53.051,7.479
52.741,56.834,75.277,8.03,90,30.193,"R",86.169,"Class5",66.688,17.279
