"CAI1","LOM2","CNL3","ZIY4","GCO5","UQO6","HAI7","CWY8","SUO9","Output20","UNL10"
"D",64.622,32,94.923,39.817,88.095,38.208,42.683,5.366,"Class3",79.088
"Z",41.971,69,18.238,10.343,-0.009,64.543,61.29,61.221,"Class1",42.813
NA,53.83,21,18.777,80.608,53.926,8.83,51.903,8.365,"Class2",28.608
"U",53.523,7,46.313,72.807,58.991,38.635,69.077,4.963,"Class2",28.609
"A",53.11,34,96.004,81.533,91.37,55.658,11.118,6.895,"Class3",91.56
"G",54.235,86,20.56,9.114,21.689,73.474,74.242,68.771,"Class1",44.313
"U",50.116,15,36.134,61.631,49.793,34.759,53.806,6.504,"Class2",15.631
"P",46.907,61,39.186,32.891,22.933,41.837,44.512,74.07,"Class5",55.184
"A",29.455,67,100.715,90.055,82.793,56.764,52.906,73.66,"Class4",19.127
"B",50.086,81,20.336,21.406,28.533,58.282,82.719,81.101,"Class1",45.573
"L",46.581,56,101.307,83.97,27.574,45.827,24.894,58.147,"Class4",21.122
"G",47.495,55,24.783,17.882,6.643,69.129,93.202,55.284,"Class1",30.26
"W",50.497,35,66.84,29.622,-9.06,43.803,37.055,43.232,"Class5",52.759
"U",71.347,22,31.263,69.528,42.184,54.86,75.649,1.01,"Class2",28.275
"Z",66.783,10,19.594,70.135,84.666,23.857,69.529,3.231,"Class2",32.333
"L",46.273,44,41.639,67.385,56.869,46.65,81.698,58.819,"Class4",15.2
"W",46.602,41,37.492,29.647,10.11,38.945,44.421,45.351,"Class5",60.217
"B",47.656,32,91.892,89.474,95.208,48.175,44.838,17.398,"Class3",85.609
"P",46.114,37,66.839,27.86,13.423,45.843,33.616,52.073,"Class5",45.055
"Z",54.137,69,24.784,14.531,24.622,55.93,84.56,66.484,"Class1",33.766
"N",51.914,39,59.088,34.024,18.925,40.804,51.293,NA,"Class5",63.667
"W",47.869,64,19.28,29.516,52.742,52.797,29.088,NA,"Class5",41.242
"B",50.67,66,21.081,19.91,22.12,61.75,65.307,57.747,"Class1",47.704
"L",55.727,33,99.573,79.809,98.397,61.905,24.606,13.784,"Class3",77.335
"Y",23.676,35,95.409,92.594,98.077,63.136,50.493,18.585,"Class3",84.93
"Y",33.312,19,36.231,42.209,58.221,21.88,60.518,8.324,"Class2",17.956
"A",12.29,65,63.169,81.543,69.267,47.675,54.887,NA,"Class4",19.595
"Y",54.488,9,25.899,54.685,71.246,24.97,62.83,6.864,"Class2",24.978
"B",78.749,33,92.561,59.51,93.467,77.01,30.45,6.81,"Class3",79.137
"L",28.312,71,15.691,74.543,79.303,53.889,55.292,64.323,"Class4",17.31
"Z",45.627,53,22.211,7.617,23.117,58.482,93.427,NA,"Class1",36.579
"G",66.133,66,20.301,10.434,25.645,56.638,77.794,85.61,"Class1",35.158
"B",41.825,33,93.583,63.591,93.846,73.833,29.108,8.416,"Class3",87.714
"L",54.833,51,72.764,79.869,55.796,46.283,26.526,50.902,"Class4",19.574
"Y",34.187,17,17.046,48.685,51.766,43.303,63.803,NA,"Class2",38.902
"L",11.024,43,79.063,79.378,48.154,46.773,76.754,NA,"Class4",18.591
"K",41.224,68,69.433,78.826,15.703,54.286,68.065,79.684,"Class4",17.506
"D",63.102,49,21.947,19.176,17.574,56.451,93.215,57.091,"Class1",24.738
"Z",70.419,79,20.718,15.01,27.051,70.354,51.643,68.346,"Class1",52.986
"G",52.659,56,23.534,11.493,10.391,71.794,93.524,70.182,"Class1",39.698
"Z",49.138,60,48.571,27.391,17.232,36.926,35.756,60.042,"Class5",38.154
"S",44.043,20,29.439,70.785,60.475,37.268,58.792,8.08,"Class2",36.156
"Z",46.933,56,62.034,33.637,20.109,40.878,29.383,43.747,"Class5",68.746
"D",45.435,70,23.352,11.957,32.215,68.297,55.854,98.176,"Class1",27.09
"Y",24.395,35,93.436,77.428,95.387,58.474,14.298,16.898,"Class3",83.262
"P",50.308,56,28.475,28.843,32.643,42.991,34.133,68.042,"Class5",44.045
"D",64.934,87,21.768,16.41,22.332,67.082,55.414,64.149,"Class1",42.513
"U",46.516,25,23.583,84.503,85.276,13.306,52.964,5.39,"Class2",28.264
"K",46.482,43,94.364,68.197,43.776,48.813,80.829,81.914,"Class4",25.42
"U",70.043,26,35.449,53.967,64.229,44.243,61.336,3.858,"Class2",21.093
"N",48.429,34,27.234,30.676,40.684,41.836,39.995,74.79,"Class5",65.971
"A",27.891,35,97.134,65.722,92.787,76.265,10.116,18.324,"Class3",91.151
"L",79.511,32,96.381,96.177,94.507,58.002,38.617,8.562,"Class3",78.607
"K",34.765,47,48.463,66.225,77.358,48.044,79.901,77.165,"Class4",20.146
"C",45.771,44,58.887,77.629,39.263,43.116,80.866,65.362,"Class4",22.163
"Z",52.583,79,25.082,7.664,9.728,60.854,50.139,94.86,"Class1",22.752
"Y",46.049,26,19.651,51.612,34.089,63.397,71.054,3.732,"Class2",29.648
"W",45.563,68,74.186,26.815,43.236,49.219,42.959,59.031,"Class5",70.125
"N",50.337,45,89.045,30.654,32.336,53.943,47.661,64.899,"Class5",48.459
"Z",69.735,3,46.567,48.257,92.675,4.237,58.27,9.98,"Class2",8.563
"D",69.45,56,20.298,21.227,20.131,63.707,90.393,77.396,"Class1",36.431
"Y",72.651,17,45.667,80.832,41.917,34.158,66.153,9.272,"Class2",48.373
"D",68.616,74,20.532,22.35,13.004,59.947,82.207,69.544,"Class1",23.143
"Z",64.341,16,44.183,75.787,111.384,55.187,53.158,10.468,"Class2",45.376
"Y",77.866,14,13.527,75.648,70.093,25.648,56.294,4.434,"Class2",20.439
"Y",53.792,33,95.934,95.82,96.404,53.662,9.093,17.28,"Class3",83.844
"A",44.699,41,26.231,71.076,26.479,57.87,48.772,51.52,"Class4",15.773
"W",49.452,37,30.51,31.626,30.976,55.392,25.684,87.861,"Class5",46.564
"W",49.604,53,45.737,29.675,21.583,32.609,45.16,45.695,"Class5",63.067
"D",51.436,33,94.887,93.313,98.168,48.538,39.518,8.098,"Class3",78.961
"L",41.416,39,79.737,74.88,70.167,41.821,48.534,57.035,"Class4",21.528
"B",31.146,33,94.601,75.568,96.854,61.001,17.143,13.269,"Class3",83.75
"L",43.047,36,76.846,76.733,61.779,42.082,69.631,56.541,"Class4",20.984
"L",53.008,33,52.211,67.083,66.973,50.464,27.607,76.794,"Class4",16.689
NA,51.882,12,40.936,64.469,67.893,34.489,74.78,4.463,"Class2",22.202
"P",51.202,56,45.502,33.315,10.782,43.172,31.062,54.887,"Class5",63.419
"D",76.677,35,97.084,86.708,94.676,66.608,10.37,19.241,"Class3",88.945
"L",41.607,35,95.976,78.408,94.062,64.305,23.216,15.825,"Class3",78.867
"A",44.373,47,81.184,73.513,85.06,50.28,76.888,69.754,"Class4",22.266
NA,74.665,12,39.283,57.14,86.345,51.639,61.878,6.031,"Class2",25.216
"Y",38.689,20,34.775,57.434,88.352,51.012,59.25,10.504,"Class2",27.307
"P",45.361,34,54.995,25.298,16.086,38.831,52.503,40.418,"Class5",41.887
"G",58.206,53,23.142,8.507,7.158,68.496,70.999,60.483,"Class1",36.801
"Y",27.563,34,95.179,86.354,98.101,63.843,53.913,14.632,"Class3",87.25
"B",78.591,33,96.025,88.197,91.133,59.226,20.108,13.076,"Class3",86.403
"W",44.56,62,54.564,28.479,37.085,51.651,44.927,54.989,"Class5",53.304
NA,52.164,53,80.175,71.102,80.468,52.12,22.616,64.648,"Class4",21.142
"B",45.382,68,21.618,21.948,37.937,69.091,70.886,89.498,"Class1",44.495
"B",49.913,35,95.747,98.498,96.195,58.074,50.684,16.613,"Class3",99.115
"C",54.721,70,101.497,75.635,16.029,41.371,30.967,69.599,"Class4",21.395
"G",58.376,66,25.142,9.838,23.989,63.019,92.28,80.034,"Class1",44.009
"W",45.802,37,56.454,32.981,23.389,52.636,43.597,63.64,"Class5",48.386
"Y",48.587,19,40.081,91.577,57.214,45.494,51.116,7.431,"Class2",23.813
"C",51.112,71,78.874,85.153,33.378,55.345,65.895,NA,"Class4",17.301
"T",50.919,55,22.058,17.208,23.443,56.562,82.383,60.711,"Class1",28.428
"Z",63.982,75,19.625,19.104,28.306,65.949,76.38,57.983,"Class1",17.78
"N",30.346,46,86.645,79.234,65.906,45.171,69.456,79.153,"Class4",17.652
"B",55.248,50,20.008,22.461,7.575,61.689,69.981,96.119,"Class1",46.918
"P",44.754,39,30.696,32.5,58.974,53.863,26.896,88.433,"Class5",78.737
"Y",52.465,19,18.295,82.314,55.612,15.726,60.951,3.782,"Class2",24.928
"C",22.124,10,31.195,88.702,69.363,43.12,57.785,49.554,"Class4",21.077
"A",54.554,55,91.037,85.116,44.668,53.62,76.867,80.079,"Class4",19.224
"U",68.762,16,38.977,63.381,96.183,24.917,74.738,10.163,"Class2",44.032
"Z",47.008,55,78.889,27.585,17.092,47.815,39.097,84.586,"Class5",74.992
"Y",69.068,22,30.376,77.443,61.781,29.791,74.247,2.494,"Class2",48.255
"Z",50.131,61,20.634,33.761,28.928,45.771,38.067,86.77,"Class5",36.57
"N",46.998,41,44.497,34.961,30.447,44.605,47.265,88.196,"Class5",53.801
"L",36.266,64,64.097,72.955,56.722,40.673,43.014,50.066,"Class4",19.852
"A",78.929,32,95.25,75.376,93.091,54.196,21.111,8.45,"Class3",90.252
"B",64.706,34,94.796,40.959,88.113,60.622,43.962,5.782,"Class3",83.214
"Z",50.022,53,71.439,29.477,45.756,39.985,30.548,46.51,"Class5",53.987
"Z",66.491,84,19.176,8.171,11.122,75.227,62.972,95.063,"Class1",41.877
"Z",44.723,66,39.626,27.5,16.122,39.43,27.591,87.06,"Class5",25.632
"B",48.266,71,24.38,13.599,24.226,69.13,54.168,48.926,"Class1",21.474
"A",42.324,19,71.374,89.088,99.266,52.993,57.098,76.833,"Class4",17.735
"A",49.915,53,52.8,68.4,30.881,58.13,47.49,NA,"Class4",20.779
"L",25.202,33,92.798,42.47,98.389,75.888,54.454,17.96,"Class3",84.305
"A",52.711,40,51.356,66.715,23.486,37.451,74.84,57.232,"Class4",20.7
"Y",73.209,32,94.025,80.165,95.43,55.804,30.915,5.345,"Class3",76.079
"P",50.286,51,47.807,31.361,23.807,33.55,53.806,NA,"Class5",46.926
"W",46.145,42,14.589,30.204,50.409,53.422,28.709,62.748,"Class5",60.035
"Z",44.2,50,51.243,33.343,54.923,53.178,52.798,79.739,"Class5",45.771
"S",79.001,19,39.739,57.403,61.64,29.811,55.386,6.595,"Class2",15.534
"W",51.873,69,58.072,28.784,-16.222,51.221,52.619,NA,"Class5",64.022
"D",68.938,75,22.55,10.456,23.257,70.916,91.969,58.714,"Class1",10.164
"A",57.158,34,99.053,51.226,99.838,55.567,30.447,10.767,"Class3",82.01
"D",68.133,34,98.499,70.199,96.076,46.401,30.337,11.086,"Class3",84.136
"Z",69.455,56,23.86,15.096,33.855,66.033,60.579,98.577,"Class1",35.596
"P",45.819,68,68.21,29.192,-10.943,48.626,41.881,NA,"Class5",63.525
"A",49.037,38,77.588,75.205,52.81,50.203,34.159,78.525,"Class4",18.039
"B",54.269,32,96.399,97.45,91.301,59.259,38.592,5.079,"Class3",94.367
"N",51.031,69,78.969,66.939,57.935,39.509,66.617,77.031,"Class4",18.553
"B",67.098,34,94.302,48.275,91.083,45.417,52,6.452,"Class3",93.434
"B",49.177,73,20.892,19.001,44.374,55.967,83.273,74.476,"Class1",27.029
"Y",46.444,3,22.355,71.217,85.553,41.991,70.12,11.126,"Class2",11.217
"A",35.946,32,38.568,87.844,86.061,43.629,77.865,48.197,"Class4",17.408
"S",53.134,18,31.599,45.428,98.968,39.147,66.683,10.328,"Class2",27.605
"C",38.626,55,99.911,78.737,87.265,45.62,23.011,48.878,"Class4",25.058
"D",68.585,80,23.48,20.753,29.396,62.112,50.181,47.562,"Class1",14.194
"W",46.987,65,56.249,33.371,25.554,49.911,42.475,79.316,"Class5",35.152
"P",48.703,64,50.065,26.327,52.446,55.085,36.611,61.883,"Class5",55.569
"Q",44.472,54,34.965,28.39,67.789,48.885,50.599,48.516,"Class5",52.268
"L",41.459,43,64.939,71.759,31.065,47.861,20.786,67.045,"Class4",26.044
"L",61.572,32,95.308,87.699,101.764,45.911,20.267,12.125,"Class3",86.972
"C",26.431,28,62.665,67.496,26.879,49.745,33.813,76.595,"Class4",20.495
NA,38.974,68,70.759,91.284,91.83,53.195,56.949,59.743,"Class4",20.252
"Y",72.571,35,96.823,76.386,99.21,54.972,23.393,11.426,"Class3",85.493
"D",42.271,8,22.997,81.174,75.437,-3.083,52.66,7.591,"Class2",41.304
"L",50.979,13,66.289,73.411,51.799,47.918,28.901,59.461,"Class4",19.585
"T",65.386,55,22.35,19.724,21.898,66.981,87.337,97.9,"Class1",24.489
"D",67.718,84,22.838,9.136,7.325,63.631,66.753,58.776,"Class1",23.937
"P",47.463,35,71.401,27.547,67.275,46.697,48.033,NA,"Class5",67.512
"N",39.598,64,64.299,69.616,86.896,55.32,21.663,54.978,"Class4",20.167
"T",61.546,75,20.655,14.185,29.582,63.012,71.676,93.739,"Class1",20.638
NA,44.98,40,53.806,28.691,7.107,44.991,48.254,89.537,"Class5",50.99
"A",61.786,34,96.258,95.422,95.002,67.122,45.844,11.719,"Class3",87.105
"K",53.398,38,69.819,87.644,41.399,44.674,55.443,73.787,"Class4",25.829
"N",49.923,68,53.043,26.14,18.265,41.651,47.423,62.174,"Class5",23.921
"S",34.952,17,22.143,65.945,78.619,42.025,61.684,3.808,"Class2",38.388
"Z",54.795,18,27.96,46.189,57.922,34.376,71.048,3.835,"Class2",47.328
"Z",47.661,63,50.738,30.089,43.28,53.254,29.906,89.665,"Class5",56.882
"A",49.002,42,54.356,73.824,91.064,38.408,47.639,74.904,"Class4",19.735
"L",20.471,70,55.172,83.455,35.599,52.443,78.135,59.731,"Class4",23.057
"P",47.334,44,48.374,25.25,36.609,38.267,53.431,42.017,"Class5",54.741
"N",12.59,45,66.818,81.89,96.423,51.619,69.403,68.683,"Class4",22.319
"B",48.354,87,21.891,8.437,-3.976,68.473,50.223,48.16,"Class1",46.185
"B",33.799,33,95.155,63.254,94.603,54.616,21.34,18.453,"Class3",91.496
"N",45.157,62,48.288,28.525,20.051,43.926,37.434,44.666,"Class5",60.549
"U",39.369,22,25.006,91.262,71.251,14.606,56.066,3.232,"Class2",33.497
"Q",47.374,59,52.984,26.7,82.812,45.716,51.334,41.504,"Class5",28.684
"N",16.624,55,58.896,91.254,64.741,40.357,49.884,63.179,"Class4",20.705
"A",24.565,10,79.739,77.43,31.92,49.32,49.849,61.768,"Class4",22.494
"Z",36.996,19,6.801,46.407,88.569,8.516,69.657,1.014,"Class2",45.642
NA,68.085,6,44.867,58.24,99.29,21.974,75.168,11.401,"Class2",24.948
"U",58.252,11,22.71,89.474,77.036,23.836,53.936,1.11,"Class2",8.051
"D",61.722,3,40.163,63.455,98.429,37.977,59.655,5.11,"Class2",14.916
"Y",64.132,34,97.11,48.069,97.705,54.699,32.683,9.644,"Class3",90.178
"S",61.447,20,23.226,54.072,79.201,36.031,69.514,2.333,"Class2",36.674
"C",29.201,18,52.955,84.978,66.902,40.564,79.331,81.943,"Class4",22.209
"D",59.964,12,31.622,76.768,54.412,36.84,64.152,9.443,"Class2",49.285
"Y",34.632,32,93.149,58.738,91.906,76.201,18.594,7.082,"Class3",89.222
NA,15.454,35,69.371,78.127,29.889,53.885,30.671,65.987,"Class4",20.061
"D",44.103,24,41.192,63.045,39.913,34.028,63.585,7.942,"Class2",34.317
"W",44.654,51,92.384,30.082,31.772,42.359,25.214,52.105,"Class5",48.951
"N",16.524,44,54.35,81.911,95.014,47.044,80.462,63.801,"Class4",19.856
"Y",70.304,16,27.654,45.961,54.616,27.731,72.061,11.372,"Class2",29.932
"Y",42.175,5,40.581,87.786,56.043,15.905,69.472,8.958,"Class2",29.14
"D",60.81,53,23.065,12.598,13.272,69.031,77.242,88.535,"Class1",47.063
"G",41.492,64,20.802,13.939,20.65,75.304,55.813,52.854,"Class1",48.285
"L",24.023,5,48.394,89.279,109.92,50.771,44.682,76.59,"Class4",21.515
"L",43.13,54,47.726,74.484,34.11,37.721,63.317,81.026,"Class4",24.265
"W",46.662,40,45.368,26.165,27.815,30.974,46.089,69.527,"Class5",42.12
"Y",57.256,22,36.022,85.511,40.65,30.606,63.293,11.27,"Class2",12.957
"Y",37.112,6,31.104,80.53,73.078,55.087,61.746,7.285,"Class2",31.824
"C",36.796,57,59.426,84.717,63.935,46.873,49.603,67.749,"Class4",16.801
"Y",39.772,6,30.976,53.868,107.311,48.089,63.675,11.646,"Class2",29.638
"U",46.197,12,26.495,86.368,85.671,13.432,69.779,1.637,"Class2",32.539
NA,63.989,10,19.498,82.008,60.377,46.878,51.364,2.304,"Class2",23.181
NA,58.278,35,91.304,67.736,98.482,55.659,56.177,12.759,"Class3",73.674
"U",44.995,14,22.732,74.114,57.257,52.026,68.94,1.062,"Class2",42.409
"N",26.914,6,65.04,82.059,52.762,45.624,62.804,NA,"Class4",18.52
"T",58.105,64,20.056,11.252,35.768,66.346,54.941,77.854,"Class1",33.321
"A",79.8,32,99.244,31.158,94.792,49.036,32.633,5.04,"Class3",93.371
"P",50.193,66,47.098,31.853,71.781,57.221,52.996,78.355,"Class5",39.956
"Y",51.838,13,26.392,93.441,52.207,31.634,66.488,7.869,"Class2",32.608
"L",61.195,32,97.844,70.337,96.427,46.91,33.866,7.318,"Class3",96.334
"U",47.85,26,46.812,66.932,55.164,20.191,57.956,3.315,"Class2",18.629
"A",30.144,32,97.2,69.287,95.461,61.438,9.358,9.586,"Class3",82.086
"A",18.447,25,65.397,85.063,64.166,49.893,27.214,78.565,"Class4",19.636
"Q",50.806,68,49.947,27.886,3.139,46.668,28.872,58.306,"Class5",27.991
"C",33.342,40,84.508,67.494,71.138,45.571,57.426,54.743,"Class4",18.981
"L",29.47,32,59.638,85.639,-0.322,37.683,27.329,73.56,"Class4",19.535
"Z",47.084,58,35.14,33.339,-0.206,37.575,47.172,58.233,"Class5",44.587
"D",46.621,34,96.339,67.926,88.997,60.74,36.227,9.411,"Class3",103.734
"Z",45.959,4,31.201,48.318,70.288,62.93,51.019,3.289,"Class2",35.52
"Y",52.054,18,26.404,80.951,63.485,43.361,70.412,4.242,"Class2",29.637
"Z",70.102,12,16.672,72.663,77.121,23.924,57.615,8.734,"Class2",33.967
"N",49.664,63,53.646,83.5,97.816,45.265,23.693,47.211,"Class4",18.317
"B",66.648,77,24.901,15.853,19.819,60.517,70.767,64.575,"Class1",31.334
"W",47.142,47,7.89,29.941,17.494,60.87,37.375,73.303,"Class5",37.819
"C",14.519,62,51.366,79.938,65.711,47.205,70.332,62.202,"Class4",23.166
"D",59.237,65,16.402,17.173,6.417,70.415,88.188,80.885,"Class1",55.363
"P",44.994,34,83.161,34.918,18.811,39.306,29.519,49.718,"Class5",35.032
NA,51.983,47,41.465,81.255,30.856,43.574,50.025,73.164,"Class4",17.287
"D",58.261,80,22.814,11.346,16.078,61.501,76.402,56.283,"Class1",30.515
"Z",73.491,17,40.409,83.208,35.592,31.752,74.275,9.921,"Class2",37.073
"U",62.471,26,11.2,66.421,51.452,35.194,67.519,5.091,"Class2",30.367
"Q",45.532,70,9.143,33.356,28.9,54.401,42.226,61.961,"Class5",56.582
"Z",33.733,4,25.04,68.543,68.473,54.671,75.108,1.833,"Class2",22.038
"Z",56.347,53,20.517,16.5,15.748,63.543,86.575,NA,"Class1",12.351
"L",78.058,35,92.527,51.028,88.757,49.805,53.917,13.224,"Class3",90.607
"B",47.294,62,21.535,17.997,23.939,60.768,60.938,NA,"Class1",31.005
"W",48.306,42,101.413,25.654,-0.773,35.51,38.616,46.634,"Class5",23.642
"L",43.034,32,94.495,73.484,89.26,71.235,35.128,17.517,"Class3",96.562
"W",51.229,62,73.884,33.547,-2.323,48.05,39.442,69.939,"Class5",42.123
"B",62.227,32,97.701,68.763,97.583,48.771,38.263,10.467,"Class3",97.135
"A",75.614,33,97.307,54.873,89.972,49.12,34.783,18.74,"Class3",84.395
"W",51.219,35,42.676,33.404,33.908,47.387,41.336,69.512,"Class5",54.772
"N",47.892,49,30.878,31.857,24.28,54.405,32.402,73.123,"Class5",48.487
"L",42.644,22,27.989,77.74,16.269,48.881,46.949,45.71,"Class4",17.648
"C",17.965,58,55.08,84.474,76.116,42.058,34.103,80.4,"Class4",21.849
"T",63.705,70,23.471,10.907,18.803,68.183,56.984,52.283,"Class1",32.013
"S",57.04,17,23.208,82.215,84.648,-8.966,72.688,11.01,"Class2",36.506
"N",44.497,59,61.734,32.873,12.298,40.506,42.533,38.892,"Class5",61.188
"G",55.048,71,22.751,21.486,45.449,67.777,61.736,NA,"Class1",22.284
"B",34.121,32,96.396,82.873,89.936,61.91,34.12,NA,"Class3",76.318
"N",34.512,65,77.097,69.467,53.452,49.587,63.075,61.251,"Class4",16.716
"Y",35.984,19,21.773,59.801,73.387,10.847,74.922,11.201,"Class2",27.556
"K",26.172,22,49.23,87.975,37.075,43.103,49.055,58.841,"Class4",21.418
"Z",48.917,59,69.395,25.692,34.492,46.809,32.976,61.456,"Class5",56.501
"Z",78.563,13,52.802,81.579,61.071,11.998,63.475,2.376,"Class2",29.038
"B",67.53,79,22.087,8.736,8.973,65.764,57.828,NA,"Class1",42.575
"G",45.692,71,19.313,21.242,20.035,67.237,89.821,82.546,"Class1",33.535
NA,49.381,50,49.501,32.52,21.04,44.93,34.661,68.128,"Class5",53.282
"G",57.19,85,20.694,17.795,24.883,58.268,84.286,78.121,"Class1",49.284
"B",59.358,60,17.95,21.481,8.893,69.242,89.516,87.722,"Class1",28.935
"Y",76.219,22,29.339,56.9,42.007,19.351,73.886,3.019,"Class2",49.677
"L",23.839,39,42.689,82.552,72.521,49.75,36.97,63.044,"Class4",18.845
"S",71.423,24,22.373,56.226,71.367,13.768,53.11,2.019,"Class2",33.287
"Q",48.289,67,50.338,33.664,23.811,52.567,50.047,67.955,"Class5",74.453
"D",70.815,20,25.984,71.563,47.133,54.566,58.333,9.949,"Class2",18.263
"S",67.411,11,5.506,42.624,23.608,41.323,60.946,2.014,"Class2",31.01
"K",27.226,66,57.323,66.357,21.098,50.276,38.344,80.009,"Class4",17.828
"Y",77.037,35,98.057,90.553,98.563,65.603,20.082,7.797,"Class3",86.394
"B",44.185,33,96.122,69.983,88.592,56.021,20.818,7.005,"Class3",90.169
