"GKT1","EVL2","TVU3","KAM4","OMD5","Output5","UVT6","KTN7","JQW8","FJI9","XOR10","GDI11"
"X",17.317,33.752,40.01,NA,"Class1",69,33.408,44.46,35.207,60.889,"B"
"X",28.686,53.922,36.004,66.812,"Class2",45,76.539,75.048,94.112,29.118,"Y"
"P",5.649,54.224,24.852,49.978,"Class1",62,37.714,49.024,27.833,91.217,"N"
"E",21.603,43.401,NA,26.357,"Class3",84,85.092,30.461,37.166,50.182,"E"
"E",5.159,51.526,25.21,65.73,"Class1",55,40.218,44.075,47.689,83.304,"E"
"E",10.166,39.252,39.1,92.471,"Class1",67,38.301,47.701,44.088,88.887,"D"
"F",4.82,48.907,36.476,NA,"Class1",68,39.128,48.089,43.995,77.645,"D"
"P",6.399,27.218,40.44,87.179,"Class1",54,43.139,47.078,39.76,56.685,"E"
"G",34.975,54.45,34.074,87.489,"Class2",34,95.376,30.196,86.926,40.441,"E"
"J",29.223,39.087,33.313,40.889,"Class3",73,79.31,74.264,31.478,44.325,"E"
"H",23.73,52.206,36.641,45.52,"Class2",51,81.297,66.602,91.687,17.591,"B"
"J",13.358,44.828,36.724,9.247,"Class1",49,24.023,47.602,41.507,68.532,"E"
"J",35.198,8.778,54.285,68.593,"Class3",53,83.855,74.969,7.6,42.353,"E"
"F",5.49,59.259,23.193,34.5,"Class1",38,33.373,49.095,35.975,70.102,"M"
"E",4.68,32.739,40.724,64.987,"Class1",71,49.79,47.157,30.09,78.008,"D"
"G",29.106,49.008,39.721,83.957,"Class2",33,84.334,26.682,85.844,18.797,"M"
"E",27.702,23.509,44.681,40.647,"Class3",50,81.128,38.119,27.982,54.275,"U"
"H",26.888,54.566,32.557,57.648,"Class2",39,87.431,72.168,90.321,14.817,"B"
"W",27.686,6.523,43.792,21.427,"Class3",64,75.976,51.309,25.106,40.645,"E"
"V",21.825,39.237,44.626,62.84,"Class3",45,80.081,67.983,35.526,52.442,"N"
"J",29.068,26.106,58.451,31.873,"Class3",70,80.343,54.551,-7.874,55.013,"U"
"J",21.284,42.893,NA,62.888,"Class3",79,77.596,46.423,23.061,54.687,"P"
"M",40.856,49.007,40.009,46.958,"Class2",32,68.808,55.619,89.023,64.297,"H"
"G",17.322,50.695,38.66,82.512,"Class2",39,78.569,35.484,89.341,60.92,"Y"
"H",30.642,50.04,31.087,NA,"Class2",30,60.872,47.918,90.805,16.504,"E"
"M",28.329,50.281,32.681,63.49,"Class2",44,57.657,30.15,82.374,17.316,"E"
"G",18.506,53.967,NA,NA,"Class2",37,78.185,16.777,91.619,42.186,"M"
"P",8.783,43.534,31.246,60.763,"Class1",60,23.105,49.32,39.736,59.831,"E"
"X",18.2,52.024,37.145,71.365,"Class2",53,89.325,44.365,84.604,63.494,"B"
"G",26.748,54.55,33.307,61.332,"Class2",39,66.923,28.378,98.961,60.676,"M"
"H",29.366,52.598,37.23,65.163,"Class2",49,88.612,77.43,90.211,41.577,"E"
"F",12.736,59.632,34.394,51.49,"Class1",44,37.755,46.588,19.485,82.74,"B"
"P",1.497,23.009,34.43,11.632,"Class1",43,44.207,44.901,24.812,56.372,"B"
"V",24.871,33.965,NA,64.771,"Class3",75,85.658,61.989,19.819,55.054,"E"
"F",6.98,40.091,46.771,44.156,"Class1",42,26.624,46.167,45.766,62.878,"M"
"X",24.026,55.785,32.754,73.456,"Class2",48,86.362,59.747,88.443,47.138,"H"
"M",32.347,52.767,41.945,56.326,"Class2",37,67.416,51.85,95.039,49.251,"Y"
"P",12.782,33.866,31.178,54.711,"Class1",54,44.403,47.5,35.643,60.569,"D"
"X",9.22,35.325,40.058,84.078,"Class1",51,48.842,47.733,27.938,66.116,"B"
"J",31.189,45.233,48.574,25.36,"Class3",82,79.444,45.55,48.442,48.522,"V"
"H",31.109,50.852,39.442,63.526,"Class2",41,93.565,43.299,92.037,47.911,"M"
"P",8.218,53.951,33.297,73.908,"Class1",43,30.684,47.154,19.557,88.454,"D"
"H",23.758,52.525,25.062,53.942,"Class2",39,77.091,44.32,88.65,43.717,"B"
"I",21.123,55.553,38.252,63.598,"Class2",29,72.573,17.182,86.179,15.345,"B"
"G",19.005,52.014,33.568,71.192,"Class2",44,79.073,16.825,84.779,29.843,"Y"
"M",27.058,50.231,40.077,60.835,"Class2",31,80.208,20.714,94.081,10.889,"E"
"J",30.461,7.269,35.197,53.118,"Class3",80,84.508,39.852,16.375,44.275,"E"
"X",35.756,52.892,29.526,87.746,"Class2",46,69.108,30.57,87.725,46.599,"B"
"H",37.3,55.969,30.301,65.948,"Class2",48,64.387,52.485,91.412,24.259,"M"
"E",10.363,31.878,25.955,NA,"Class1",37,49.412,49.249,27.239,85.007,"D"
"I",27.135,49.868,31.234,51.642,"Class2",46,80.141,21.682,85.75,50.05,"H"
"G",17.445,54.504,31.203,70.739,"Class2",44,66.165,39.011,87.065,4.479,"Y"
"G",42.308,55.992,31.302,83.145,"Class2",51,85.454,76.823,85.792,64.163,"E"
"I",25.952,52.005,24.906,64.812,"Class2",44,84.895,65.922,90.146,29.005,"H"
"J",40.097,44.247,51.086,60.378,"Class3",46,83.483,62.84,36.264,40.973,"V"
"X",12.362,58.638,35.773,80.087,"Class1",46,39.722,44.342,36.849,63.973,"E"
"I",27.534,48.347,42.906,84.705,"Class2",51,88.346,69.093,85.973,77.65,"M"
"J",5.789,56.856,26.163,84.687,"Class1",61,55.36,48.693,30.117,84.94,"M"
"E",8.479,52.029,40.189,24.431,"Class1",46,32.202,48.956,38.589,66.91,"B"
"J",35.814,41.818,52.802,42.509,"Class3",75,81.381,42.152,16.272,43.955,"P"
"E",17.343,14.47,55.943,70.778,"Class3",54,76.958,60.074,92.831,55.316,"E"
"P",12.746,50.37,NA,66.377,"Class1",49,38.743,45.268,41.803,86.038,"B"
"P",12.513,43.29,54.779,80.474,"Class1",58,31.103,49.75,41.705,73.966,"E"
"E",5.702,30.857,24.577,24.931,"Class1",59,36.985,49.2,31.954,86.931,"B"
"E",27.525,18.739,31.158,39.921,"Class3",68,81.264,31.693,43.051,51.112,"U"
"M",36.247,51.037,28.349,59.157,"Class2",44,86.711,78.43,89.744,73.663,"B"
"J",1.641,33.307,46.567,27.436,"Class1",68,60.472,48.552,41.736,55.049,"N"
"H",32.35,52.668,33.216,54.569,"Class2",47,90.035,26.113,89.068,69.283,"H"
"E",33.74,9.053,35.941,48.574,"Class3",45,79.927,37.22,47.534,56.946,"U"
"P",12.064,51.352,26.734,77.171,"Class1",59,39.776,49.848,42.703,63.674,"B"
"X",6.125,56.913,30.495,45.099,"Class1",58,33.256,46.804,31.765,63.798,"D"
"E",37.766,37.131,24.976,66.668,"Class3",61,83.237,59.179,48.076,41.403,"P"
"V",32.661,39.766,NA,50.369,"Class3",51,80.477,40.757,7.207,53.17,"U"
"E",19.944,43.746,58.785,29.862,"Class3",46,85.237,69.554,12.55,49.924,"E"
"J",9.228,53.118,31.815,48.052,"Class1",40,20.37,45.564,22.792,78.69,"E"
"X",30.612,48.77,NA,50.658,"Class2",28,95.663,41.95,89.933,7.51,"B"
"V",33.356,21.55,56.102,33.603,"Class3",55,80.058,70.518,26.954,49.011,"E"
"X",46.574,48.809,42.776,43.415,"Class2",42,67.381,81.656,83.786,7.19,"E"
"V",31.721,22.181,43.4,23.53,"Class3",72,81.243,32.732,58.762,41.938,"U"
"X",44.798,49.76,28.148,46.347,"Class2",47,80.319,72.078,88.633,44.546,"Y"
"P",5.736,49.529,37.328,19.927,"Class1",37,31.999,48.125,42.712,51.447,"E"
"F",6.049,33.45,35.49,17.248,"Class1",56,42.275,47.835,21.027,54.42,"D"
"E",9.686,52.241,51.311,72.337,"Class1",71,28.697,47.965,39.054,91.244,"N"
"H",12.18,48.117,34.725,77.653,"Class2",50,84.474,57.441,87.031,4.178,"M"
"X",22.069,48.403,41.914,86.558,"Class2",31,81.94,76.002,88.983,10.643,"B"
"J",13.135,41.679,42.546,7.979,"Class1",53,33.271,44.546,44.622,51.103,"M"
"F",11.353,41.16,44.805,44.595,"Class1",61,35.286,49.63,37.016,72.735,"E"
"X",3.107,27.503,29.658,22.237,"Class1",71,15.622,49.726,32.566,53.51,"D"
"E",10.178,23.286,36.774,16.273,"Class1",55,32.663,46.101,21.985,50.059,"D"
"I",32.233,49.824,37.818,73.622,"Class2",45,77.176,44.756,87.128,19.516,"E"
"G",21.727,49.126,34.828,42.019,"Class2",46,82.033,23.164,86.377,7.06,"Y"
"M",27.509,52.938,36.037,45.957,"Class2",34,86.033,69.305,89.369,3.95,"Y"
"W",24.324,14.795,53.002,69.53,"Class3",80,83.147,71.353,58.373,51.592,"U"
"F",8.029,30.51,18.776,25.115,"Class1",68,37.53,49.884,41.124,58.046,"E"
"F",2.326,52.913,35.075,64.87,"Class1",62,31.832,44.777,41.938,81.097,"M"
"V",19.864,22.066,47.604,23.851,"Class3",79,78.377,66.699,6.693,55.401,"V"
"F",32.12,5.275,58.868,24.107,"Class3",59,81.475,61.816,23.775,46.875,"V"
"F",5.965,53.033,43.932,NA,"Class1",63,31.096,49.536,53.485,76.617,"N"
"J",29.901,30.932,62.598,52.662,"Class3",73,85.252,74.374,30.529,49.601,"E"
"W",22.193,9.729,45.202,30.419,"Class3",85,83.704,66.738,50.137,55.573,"E"
"E",27.89,38.442,43.967,29.588,"Class3",45,84.686,56.245,53.228,54.422,"P"
"W",30.915,36.249,58.363,68.843,"Class3",79,86.583,24.222,56.565,50.723,"E"
"X",2.46,49.347,35.466,39.128,"Class1",43,29.223,46.917,49.068,60.081,"E"
"X",28.984,52.399,51.381,44.367,"Class2",45,73.567,50.696,90.39,33.388,"M"
"G",26.665,48.479,38.27,NA,"Class2",45,89.604,29.964,92.111,19.109,"E"
"W",7.567,19.309,43.357,52.486,"Class3",47,79.077,62.511,69.749,54.072,"U"
"F",1.235,38.049,20.562,7.521,"Class1",51,39.472,45.879,33.889,79.398,"N"
"E",6.635,60.143,31.258,44.277,"Class1",38,39.331,44.914,30.322,88.465,"E"
"G",39.401,55.569,32.901,67.512,"Class2",36,59.392,18.131,91.052,7.658,"Y"
"I",38,54.625,43.285,50.437,"Class2",39,81.216,61.842,88.552,30.131,"M"
"J",25.351,19.16,48.864,45.601,"Class3",65,78.802,55.773,36.442,48.39,"E"
"E",5.976,24.274,20.583,28.52,"Class1",53,54.888,49.753,31.373,78.768,"N"
"X",32.283,55.807,34.024,62.66,"Class2",34,74.24,60.884,90.517,55.843,"H"
"X",33.148,52.153,31.891,78.641,"Class2",51,72.379,18.377,88.346,9.544,"M"
"I",33.243,51.791,34.367,54.332,"Class2",36,82.741,60.32,89.321,32.505,"Y"
"F",0.43,36.101,35.497,NA,"Class1",47,43.109,47.124,53.481,49.346,"D"
"V",18.738,8.719,53.806,40.718,"Class3",53,83.715,23.684,6.308,47.398,"P"
"H",18.429,49.51,35.973,81.272,"Class2",32,55.126,81.207,88.573,57.985,"M"
"F",50.978,42.776,46.771,NA,"Class3",70,85.522,51.606,64.755,40.234,"N"
"J",26.801,36.568,45.906,51.331,"Class3",83,84.994,44.745,13.356,56.33,"V"
"V",34.826,27.152,42.106,20.452,"Class3",85,80.959,74.067,47.492,42.092,"N"
"I",45.519,52.11,28.951,51.111,"Class2",51,69.437,78.688,91.305,57.662,"M"
"M",29.892,53.419,45.331,73.142,"Class2",41,83.793,65.91,86.378,66.906,"M"
"F",5.55,55.101,36.212,69.848,"Class1",68,26.203,44.828,45.18,92.911,"E"
"E",4.803,39.791,47.688,61.541,"Class1",52,28.527,45.544,38.09,49.907,"M"
"P",1.526,42.332,37.61,47.561,"Class1",47,45.409,48.322,28.228,91.421,"N"
"V",19.132,16.832,47.772,55.316,"Class3",61,79.058,69.462,46.633,52.877,"P"
"X",22.18,53.189,44.548,72.186,"Class2",30,72.081,50.772,86.38,29.615,"E"
"E",27.935,37.078,53.038,44.437,"Class3",44,83.828,59.7,64.818,41.941,"U"
"E",9.217,60.808,27.802,73.982,"Class1",72,30.641,49.059,35.507,67.415,"B"
"X",32.497,55.411,NA,69.245,"Class2",34,92.931,80.451,89.503,2.255,"M"
"F",29.023,35.723,42.249,62.466,"Class3",68,81.925,66.887,44.884,55.286,"U"
"W",14.212,31.573,35.473,NA,"Class3",77,80.386,25.28,36.398,56.307,"V"
"E",8.862,52.525,27.512,24.285,"Class1",41,44.342,44.53,52.548,54.525,"E"
"F",11.599,29.137,42.322,NA,"Class1",52,24.843,49.132,29.154,55.213,"N"
"I",37.251,50.388,NA,70.893,"Class2",42,61.271,40.609,88.049,71.504,"B"
"J",4.079,34.327,41.4,52.016,"Class3",81,81.428,53.553,33.89,45.171,"N"
"J",23.341,32.46,31.135,40.092,"Class3",51,81.689,52.961,50.244,45.686,"U"
"F",38.122,36.926,37.157,19.852,"Class3",53,81.58,60.098,57.152,40.717,"U"
"M",20.682,55.681,43.796,79.997,"Class2",49,66.894,40.723,87.151,37.184,"E"
"J",36.401,44.372,44.199,48.736,"Class3",57,83.923,74.398,81.322,46.627,"E"
"G",27.27,55.285,41.634,54.664,"Class2",47,87.754,61.837,95.686,37.87,"B"
"E",15.55,31.909,43.515,23.886,"Class3",56,77.007,33.451,40.568,51.443,"U"
"X",9.337,34.51,46.149,79.607,"Class1",44,33.852,48.748,26.739,63.099,"N"
"J",32.721,44.331,46.111,51.272,"Class3",62,82.522,47.202,29.102,52.739,"P"
"E",22.045,10.39,58.971,65.107,"Class3",52,80.691,53.033,-4.643,55.621,"E"
"E",19.946,3.455,33.389,36.6,"Class3",84,83.145,57.826,68.859,41.804,"P"
"J",9.737,31.363,37.88,2.031,"Class1",55,36.988,47.09,36.641,61.392,"D"
"I",16.224,52.22,33.565,65.169,"Class2",43,78.954,37.317,83.915,43.152,"B"
"M",35.473,52.963,29.024,47.993,"Class2",29,83.947,34.109,93.306,74.374,"H"
"W",34.733,40.786,47.684,25.945,"Class3",79,84.442,74.677,-1.227,40.802,"N"
"J",21.545,13.955,64.5,55.98,"Class3",53,77.136,35.152,28.509,44.172,"N"
"E",5.518,56.643,40.929,36.879,"Class1",54,30.655,47.831,48.706,53.333,"E"
"P",7.126,29.279,42.378,74.892,"Class1",46,54.932,48.121,39.303,59.724,"N"
"X",52.793,49.466,42.424,NA,"Class2",30,79.239,15.546,88.944,73.852,"M"
"X",10.481,43.836,42.554,11.184,"Class1",65,40.456,49.11,44.748,86.208,"M"
"H",28.992,53.621,25.963,41.917,"Class2",36,95.486,22.378,83.824,75.573,"H"
"M",16.507,51.672,39.428,61.998,"Class2",38,62.267,59.117,88.936,41.323,"Y"
"I",37.724,52.263,41.761,40.053,"Class2",49,77.268,21.092,95.396,3.813,"M"
"H",40.263,52.871,44.301,74.019,"Class2",52,75.71,38.227,83.984,10.436,"B"
"J",4.522,50.04,32.016,83.373,"Class1",67,44.856,49.039,45.437,53.407,"D"
"V",21.7,24.768,42.682,41.114,"Class3",62,84.942,42.586,49.623,56.146,"P"
"J",6.017,22.725,47.35,87.935,"Class1",46,27.338,49.466,36.041,82.718,"M"
"E",36.312,26.309,44.815,63.518,"Class3",69,81.86,36.165,7.013,50.647,"E"
"P",1.83,50.995,24.41,43.346,"Class1",56,47.596,49.126,45.344,85.264,"D"
"F",28.064,4.486,46.119,20.283,"Class3",46,78.975,56.789,9.152,54.493,"E"
"G",28.155,49.869,26.412,76.785,"Class2",30,84.5,46.026,94.074,69.865,"B"
"V",36.186,7.441,43.529,NA,"Class3",51,77.873,52.795,27.987,47.902,"U"
"V",39.594,45.404,45.933,69.342,"Class3",75,78.993,32.361,15.38,55.897,"V"
"X",36.849,54.562,26.778,76.323,"Class2",45,76.237,23.411,89.684,55.166,"E"
"J",11.288,36.857,39.858,18.359,"Class1",55,33.033,48.582,38.081,77.363,"B"
"I",41.81,52.729,31.95,63.448,"Class2",37,89.956,50.351,85.358,25.368,"B"
"H",25.379,55.127,39.861,66.575,"Class2",43,78.129,44.237,90.297,43.515,"M"
"M",34.807,51.664,34.282,44.45,"Class2",29,75.947,68.03,89.514,67.904,"B"
"X",24.987,50.999,35.95,60.347,"Class2",47,90.107,81.402,84.862,57.456,"Y"
"J",7.998,26.582,41.246,59.765,"Class1",39,34.969,46.143,31.22,57.047,"D"
"W",33.983,42.373,62.235,59.78,"Class3",77,83.891,50.429,30.403,47.185,"V"
"J",22.317,24.695,47.735,64.213,"Class3",50,82.491,33.962,23.014,45.254,"P"
"E",30.08,27.01,37.028,38.712,"Class3",53,80.204,31.728,75.537,56.537,"U"
"H",25.947,49.387,33.513,85.806,"Class2",34,95.976,41.645,87.829,69.466,"Y"
"G",18.209,55.072,42.522,57.708,"Class2",45,83.77,53.267,88.576,45.938,"M"
"J",-0.655,43.241,39.663,46.102,"Class1",55,30.879,47.639,42.926,89.388,"E"
"P",6.709,24.269,36.666,37.262,"Class1",61,41.913,49.029,53.779,68.436,"M"
"V",34.499,32.854,42.794,70.401,"Class3",47,84.217,64.27,44.723,45.276,"N"
"F",2.906,26.238,22.645,84.348,"Class1",49,35.239,49.463,37.846,71.51,"B"
"X",7.6,24.846,22.915,47.118,"Class1",38,72.243,48.854,30.281,83.62,"D"
"E",31.055,36.745,42.469,60.787,"Class3",48,80.341,71.101,64.767,46.235,"E"
"H",29.768,54.645,39.971,71.018,"Class2",28,80.896,80.919,87.874,70.307,"Y"
"I",28.042,49.203,34.837,40.159,"Class2",46,78.774,36.932,89.676,4.032,"M"
"M",44.68,49.813,30.532,78.883,"Class2",35,93.455,45.013,87.225,11.605,"E"
"X",38.256,51.813,32.999,51.638,"Class2",46,89.599,15.011,88.491,9.142,"M"
"V",37.875,41.077,50.198,60.123,"Class3",61,81.943,67.095,44.336,54.355,"U"
"X",30.792,53.79,31.434,43.17,"Class2",34,71.726,42.857,91.308,39.311,"H"
"E",11.556,57.849,48.918,90.677,"Class1",60,42.406,46.22,44.213,77.247,"D"
"J",20.571,14.12,42.082,60.019,"Class3",87,80.484,50.171,3.835,43.599,"V"
"W",20.995,14.423,64.404,50.012,"Class3",82,82.788,49.796,20.203,40.636,"V"
"M",25.416,55.588,37.198,64.623,"Class2",32,82.467,75.814,94.941,72.585,"Y"
"F",24.938,35.446,61.977,NA,"Class3",84,78.674,38.707,46.228,48.982,"E"
"I",42.778,50.678,35.761,70.648,"Class2",51,89.095,16.926,89.728,16.516,"E"
"F",4.817,53.832,53.185,51.844,"Class1",48,46.517,48.818,29.596,82.249,"N"
"J",4.978,42.704,40.333,47.871,"Class1",66,43.205,46.463,25.356,84.544,"N"
"X",1.673,29.171,46.958,18.132,"Class1",54,38.362,47.736,44.59,52.464,"E"
"W",38.805,25.299,41.363,58.933,"Class3",74,78.931,53.402,33.743,56.793,"P"
"E",12.131,58.989,21.949,94.695,"Class1",56,47.915,46.91,42.229,51.181,"N"
"X",31.833,53.455,32.156,83.516,"Class2",37,63.936,81.502,92.439,11.419,"Y"
"X",13.36,28.922,41.777,36.183,"Class1",57,48.138,45.965,30.32,92.011,"M"
"V",26.674,14.455,66.632,41.931,"Class3",72,80.454,46.943,47.917,51.362,"U"
"J",31.25,11.42,34.464,46.006,"Class3",46,80.023,51.327,30.684,41.272,"E"
"I",26.414,55.119,26.863,44.569,"Class2",41,78.779,77.486,89.363,50.344,"M"
"M",31.465,50.726,33.741,80.305,"Class2",39,83.787,48.043,93.942,75.643,"E"
"X",5.005,54.599,49.551,8.583,"Class1",64,39.583,49.02,34.212,65.757,"B"
"I",23.57,50.204,32.635,40.952,"Class2",48,67.705,61.114,89.261,13.586,"E"
"J",35.514,31.133,63.34,65.78,"Class3",70,82.159,38.505,15.007,53.414,"E"
"F",12.187,23.626,35.1,40.007,"Class1",38,37.818,47.198,34.929,79.634,"N"
"X",41.343,51.309,28.576,78.62,"Class2",34,95.958,33.532,89.806,26.71,"M"
"X",11.493,39.557,33.101,3.574,"Class1",70,33.407,45.03,32.724,49.777,"N"
"E",18.504,6.133,48.298,18.196,"Class3",65,81.734,36.484,32.208,45.734,"E"
"W",27.684,30.681,53.176,62.688,"Class3",64,79.663,31.686,34.284,43.238,"N"
"E",8.985,35.557,NA,4.16,"Class1",69,34.524,44.092,26.695,55.652,"M"
"J",1.331,23.391,24.575,42.958,"Class1",64,43.223,47.584,28.666,53.573,"D"
"X",6.39,51.799,19.794,92.262,"Class1",57,46.473,48.17,47.45,82.191,"D"
"F",16.345,48.774,25.2,29.237,"Class1",46,38.554,48.621,33.126,69.404,"N"
"G",28.701,53.83,34.511,NA,"Class2",46,86.187,24.498,84.005,74.644,"B"
"X",10.066,53.254,27.313,14.716,"Class1",37,34.587,49.8,33.216,91.773,"D"
"H",33.65,51.557,37.687,52.817,"Class2",49,81.313,34.107,88.9,48.754,"H"
"P",13.106,39.077,43.536,58.613,"Class1",50,41.674,46.119,38.613,77.96,"N"
"F",16.576,14.256,NA,NA,"Class3",48,81.713,52.86,54.903,56.67,"E"
"J",24.762,40.4,38.683,65.923,"Class3",65,79.354,33.417,25.912,41.183,"V"
"E",26.325,39.056,39.352,62.093,"Class3",87,83.617,44.745,35.618,44.336,"E"
"F",6.633,27.926,38.429,89.77,"Class1",65,48.463,49.651,31.674,57.918,"M"
"J",7.511,32.518,NA,50.021,"Class1",67,45.986,46.023,30.488,59.68,"B"
"X",21.5,48.797,38.473,87.188,"Class2",47,70.21,48.757,88.367,4.506,"B"
"H",18.801,53.946,40.357,67.028,"Class2",46,84.162,24.198,90.708,22.273,"M"
"E",30.532,3.592,40.885,54.809,"Class3",82,80.17,50.286,37.754,49.399,"E"
"X",40.24,49.96,58.238,54.528,"Class2",47,93.344,81.993,90.209,4.744,"Y"
"J",-3.872,29.399,25.061,2.871,"Class1",44,35.359,48.497,30.997,70.524,"N"
"G",29.97,51.557,33.789,69.511,"Class2",43,74.475,54.191,86.389,26.265,"B"
"J",31.864,33.844,45.769,64.555,"Class3",59,80.062,29.819,9.022,50.292,"N"
"P",11.465,24.86,42.947,76.191,"Class1",46,32.138,45.151,37.186,57.034,"B"
"X",11.182,22.208,32.837,67.721,"Class1",67,27.817,46.359,26.478,54.374,"E"
"V",28.883,12.221,63.012,59.322,"Class3",77,81.524,58.732,63.468,40.126,"U"
"V",42.735,25.525,59.427,64.342,"Class3",45,80.797,62.792,44.158,56.239,"N"
"V",20.681,5.338,36.865,43.594,"Class3",85,78.691,50.437,38.558,51.915,"U"
"M",25.065,49.582,42.681,61.788,"Class2",52,80.415,50.139,92.823,65.421,"B"
"F",7.148,55.07,34.553,18.458,"Class1",47,35.872,47.986,40.601,51.221,"E"
"V",18.15,5.745,45.224,20.29,"Class3",57,82.362,58.216,58.901,51.135,"N"
"P",4.099,56.275,44.184,32.449,"Class1",37,50.755,49.619,37.024,88.098,"M"
"F",3.972,44.753,32.087,10.578,"Class1",45,33.208,48.431,42.127,72.394,"M"
"J",7.92,55.276,30.276,6.217,"Class1",66,30.506,44.761,40.783,78.92,"M"
"V",22.795,29.338,34.469,63.48,"Class3",82,82.405,54.503,-1.373,48.088,"P"
"J",31.953,36.986,42.333,NA,"Class3",70,81.509,66.217,43.582,52.154,"P"
"F",9.098,50.107,35.926,73.729,"Class1",37,41.362,44.468,38.551,82.994,"D"
"X",22.673,48.88,35.755,40.594,"Class2",45,93.41,70.781,90.386,56.295,"B"
"X",12.019,46.719,19.313,6.466,"Class1",42,33.91,49.48,36.706,65.243,"D"
"J",47.694,18.325,46.03,59.854,"Class3",85,80.199,73.493,27.408,43.537,"U"
"P",2.09,56.926,33.394,36.705,"Class1",70,40.607,46.478,45.284,73.718,"N"
"W",31.314,8.211,50.038,19.451,"Class3",77,81.821,70.633,64.391,55.876,"E"
"E",40.158,25.101,50.843,48.231,"Class3",70,82.327,53.983,20.024,54.747,"N"
"J",6.425,25.685,37.214,18.568,"Class1",45,41.103,47.095,28.134,70.564,"B"
"I",37.566,49.496,31.946,65.002,"Class2",37,89.832,36.315,89.174,76.756,"H"
"P",6.307,50.271,20.615,88.404,"Class1",71,34.759,49.35,29.518,70.268,"E"
"J",6.099,42.288,37.83,18.007,"Class1",66,35.039,45.986,24.239,80.695,"B"
"E",37.012,35.027,36.966,71.986,"Class3",65,80.896,49.207,22.82,49.456,"P"
"M",41.238,54.191,31.838,67.277,"Class2",51,91.041,31.226,84.033,44.637,"Y"
"M",29.542,48.501,35.711,48.837,"Class2",47,74.944,54.175,91.828,14.198,"E"
"G",20.271,48.596,37.813,74.76,"Class2",50,71.989,25.754,92.482,10.603,"Y"
"X",29.876,55.066,30.466,54.257,"Class2",35,89.367,19.258,92.08,26.981,"H"
"E",7.986,52.066,32.437,50.049,"Class1",38,41.263,46.122,37.174,91.119,"B"
"H",30.285,53.776,34.831,69.735,"Class2",34,68.881,56.175,92.955,74.677,"M"
"E",32.653,23.94,NA,58.382,"Class3",51,83.011,23.344,33.611,51.349,"N"
"V",28.687,6.885,NA,39.23,"Class3",62,82.36,67.666,2.687,44.079,"U"
"X",10.102,23.166,39.475,22.807,"Class1",67,48.348,44.112,28.564,58.227,"B"
"X",13.973,53.57,32.615,67.159,"Class1",66,40.226,44.774,35.799,49.452,"D"
"F",38.27,17.849,37.69,63.869,"Class3",75,80.612,27.334,11.714,43.796,"U"
"J",38.756,11.45,41.714,44.888,"Class3",51,83.147,32.5,53.954,56.051,"E"
"P",6.016,24.562,34.895,56.243,"Class1",50,38.691,47.617,17.918,86.418,"N"
"F",24.076,8.656,60.552,65.967,"Class3",73,83.86,23.164,53.047,54.885,"N"
