"IGA1","DKY2","UXZ3","MBD4","HKC5","VHG6","IQM7","Output23","XVE8","UBW9","SZQ10","EUN11"
20.314,91.482,84.394,47,"T",11.042,85.806,"Class3","H",37.585,37.497,5.289
35.301,91.259,51.582,12,"U",96.172,36.844,"Class2","F",56.675,30.854,83.93
32.335,99.995,27.495,32,"U",81.546,24.511,"Class2","D",59.517,30.58,77.898
81.049,81.291,31.16,48,"I",8.284,83.881,"Class3","Y",35.231,42.065,19.11
76.175,81.395,56.439,69,"U",NA,23.081,"Class1","C",33.577,79.192,70.844
48.711,93.382,39.217,20,"U",76.729,5.379,"Class2","G",43.078,30.809,57.934
76.489,81.824,83.375,81,"O",53.048,23.997,"Class1","N",48.079,79.527,71.591
25.689,37.682,56.389,43,"W",33.871,54.878,"Class4","J",83.73,29.345,16.972
40.47,96.563,42.988,17,"H",94.852,13.762,"Class2","W",65.452,30.678,70.577
75.94,71.597,55.309,30,"U",63.147,23.971,"Class1","O",31.062,79.296,71.819
41.251,95.001,54.513,16,"P",54.238,38.81,"Class2","W",92.916,30.946,64.397
NA,96.505,54.257,28,"S",65.834,-22.129,"Class2","G",-25.793,30.651,69.794
75.608,81.165,67.504,57,"H",77.762,23.256,"Class1","V",30.636,79.603,71.639
20.739,78.249,61.059,48,"T",11.513,94.121,"Class3","N",34.36,33.034,5.494
53.756,82.58,77.463,44,"T",13.458,86.468,"Class3","N",37.221,38.794,8.067
NA,93.845,51.087,31,"D",82.065,42.774,"Class2","F",71.052,30.613,82.825
77.452,83.495,78.263,76,"U",41.836,22.392,"Class1","Q",22.084,80.309,72.985
65.673,81.041,36.123,49,"P",9.957,86.167,"Class3","W",30.617,39.286,3.785
27.266,78.3,56.885,50,"V",7.113,84.571,"Class3","N",36.262,38.347,6.907
NA,33.931,49.884,31,"U",45.075,10.71,"Class4","J",56.544,46.522,24.918
44.176,93.242,52.372,12,"S",87.612,55.39,"Class2","F",48.668,30.534,62.38
75.329,78.657,61.582,90,"E",93.178,21.649,"Class1","V",45.096,80.445,72.924
34.946,91.602,12.076,28,"H",NA,25.216,"Class2","F",40.434,30.194,59.619
23.163,79.165,52.437,44,"Q",9.644,91.841,"Class3","N",31.919,37.679,6.668
NA,30.578,52.844,33,"U",54.865,39.561,"Class4","N",70.159,56.134,49.83
20.106,33.324,61.642,34,"U",41.771,41.625,"Class4","E",62.131,55.518,51.48
75.155,84.934,67.243,71,"H",75.543,22.297,"Class1","V",22.194,80.793,72.193
21.972,26.089,60.306,64,"W",34.735,61.265,"Class4","J",37.983,34.648,36.08
27.15,85.334,62.267,28,"P",99.09,63.838,"Class2","D",24.612,30.835,73.617
26.073,90.58,21.381,26,"P",79.861,39.77,"Class2","R",2.212,30.959,83.345
24.114,33.977,62.717,30,"G",28.004,47.061,"Class4","E",77.634,36.994,48.095
40.384,89.01,69.514,34,"U",76.249,40.45,"Class2","W",92.342,30.33,61.79
45.533,91.778,61.376,12,"U",67.828,50.1,"Class2","D",40.635,30.36,50.002
21.943,36.633,37.915,32,"G",39.424,46.092,"Class4","E",45.362,51.708,34.283
43.471,80.465,25.136,46,"V",NA,91.293,"Class3","W",36.344,38.995,11.811
46.265,100.112,68.394,12,"D",97.722,42.349,"Class2","F",47.983,30.359,85.251
61.782,85.224,73.588,43,"V",9.101,94.972,"Class3","F",33.583,31.78,3.638
77.763,77.883,91.451,62,"H",NA,24.687,"Class1","O",34.013,79.571,72.787
75.6,84.04,61.2,50,"O",41.861,25.766,"Class1","O",35.722,80.07,71.284
18.824,35.843,47.554,65,"G",38.672,57.716,"Class4","J",61.749,59.496,46.105
75.938,83.492,56.11,43,"P",13.709,85.496,"Class3","N",31.601,36.15,11.504
20.962,38.387,50.486,48,"W",38.862,52.204,"Class4","J",49.535,34.897,38.755
44.062,97.527,40.958,13,"D",56.944,37.514,"Class2","G",20.457,30.993,59.496
29.362,87.321,46.939,44,"V",11.062,90.466,"Class3","N",32.619,41.947,12.602
20.353,19.731,42.137,80,"G",45.085,28.866,"Class4","J",48.646,28.76,37.42
49.281,88.453,44.311,48,"P",13.327,88.065,"Class3","F",37.183,36.574,21.554
19.069,39.865,65.851,50,"G",44.318,54.142,"Class4","J",37.524,54.268,36.839
60.405,76.346,82.05,46,"V",9.638,89.577,"Class3","W",33.691,34.886,13.865
44.741,89.369,77.223,11,"D",76.585,23.442,"Class2","F",60.203,30.894,54.851
75.52,75.003,64.895,46,"E",47.711,23.871,"Class1","N",16.005,79.863,71.723
77.449,82.503,75.497,52,"T",48.526,20.36,"Class1","O",30.475,79.911,71.906
48.802,97.824,41.962,32,"S",52.327,15.036,"Class2","G",111.032,30.773,75.622
76.404,78.636,85.48,32,"E",73.489,24.182,"Class1","O",47.018,80.969,71.648
20.101,37.262,49.49,69,"U",40.652,19.961,"Class4","J",59.373,42.59,15.624
28.809,94.367,23.212,26,"U",48.748,42.358,"Class2","R",9.852,30.075,78.147
22.572,40.146,55.952,28,"W",45.668,28.919,"Class4","N",51.946,59.016,38.486
58.447,89.322,30.558,48,"P",12.413,88.726,"Class3","H",27.179,40.238,20.034
22.63,29.078,52.063,69,"U",36.399,23.789,"Class4","Y",56.156,59.361,30.06
39.884,88.602,55.008,18,"S",92.581,86.703,"Class2","G",138.771,30.823,52.213
NA,90.826,43.357,18,"U",49.744,46.038,"Class2","F",31.668,30.703,82.859
23.632,30.301,39.888,80,"W",28.264,52.72,"Class4","E",48.463,47.302,27.259
NA,34.903,53.826,76,"G",43.484,33.006,"Class4","Y",51.826,28.573,35.823
19.457,36.681,55.143,51,"J",42.114,64.344,"Class4","N",45.565,39.783,25.46
23.37,33.971,51.937,67,"B",47.06,73.453,"Class4","N",70.266,42.358,27.83
33.907,83.67,46.187,15,"H",93.611,13.312,"Class2","D",78.091,30.492,97.393
22.582,31.671,75.903,59,"J",35.097,51.108,"Class4","E",68.742,51.9,48.605
34.677,89.565,47.42,50,"I",8.73,80.25,"Class3","N",39.74,39.319,9.136
23.607,26.194,48.128,35,"G",33.714,30.599,"Class4","N",46.474,51.226,36.513
83.94,79.354,57.596,46,"V",11.812,84.313,"Class3","H",36.428,42.829,17.238
40.53,91.78,52.734,15,"P",84.923,41.194,"Class2","G",49.303,30.893,74.645
37.815,89.767,43.782,47,"V",11.702,86.969,"Class3","N",36.308,40.626,17.119
NA,84.634,64.513,32,"U",95.973,16.775,"Class2","D",12.227,30.943,80.369
77.819,75.138,58.539,42,"O",80.103,21.902,"Class1","N",25.778,79.856,71.218
43.266,86.792,76.707,48,"Q",7.215,85.468,"Class3","N",33.776,42.394,18.343
41.711,86.02,21.972,43,"Q",7.779,85.452,"Class3","H",34.777,35.456,13.363
19.561,49.2,69.288,70,"W",30.555,57.453,"Class4","M",63.325,31.833,14.066
18.784,44.61,53.248,39,"W",37.631,29.811,"Class4","J",78.413,39.837,51.296
31.408,83.342,76.382,23,"P",55.95,14.29,"Class2","F",55.221,30.954,75.791
76.83,79.056,66.249,62,"O",NA,26.494,"Class1","C",28.572,79.637,70.23
75.34,80.09,46.281,89,"T",64.899,23.824,"Class1","V",66.225,80.011,72.78
51.478,85.039,72.85,42,"V",8.679,85.814,"Class3","F",32.504,30.494,10.367
75.526,79.898,51.964,77,"U",44.702,24.418,"Class1","C",56.699,79.249,71.258
76.702,84.088,77.673,72,"T",58.513,25.062,"Class1","Q",42.789,80.063,70.385
19.593,39.29,59.624,57,"U",48.314,14.411,"Class4","Y",60.505,47.158,51.28
32.528,88.907,61.914,46,"I",11.292,81.519,"Class3","H",27.741,42.428,5.682
41.869,90.833,44.531,16,"S",57.032,38.815,"Class2","R",37.132,30.357,82.578
18.229,29.619,56.346,53,"B",50.682,39.98,"Class4","E",78.6,56.45,50.774
18.308,43.955,49.254,73,"G",35.901,98.832,"Class4","Y",81.047,46.188,43.271
75.623,82.495,82.182,39,"U",53.855,22.766,"Class1","N",36.464,80.857,72.123
41.166,81.485,51.337,48,"Q",12.867,86.769,"Class3","H",27.112,30.904,14.437
62.943,81.614,89.958,50,"T",7.655,85.855,"Class3","F",30.974,37.324,13.67
45.571,89.548,53.794,16,"H",92.66,45.469,"Class2","D",71.523,30.845,64.196
53.683,85.645,43.547,48,"I",11.62,87.808,"Class3","W",37.615,41.462,7.108
21.834,88.363,78.522,50,"P",13.414,85.428,"Class3","F",35.23,34.342,15.535
25.406,32.628,55.905,43,"W",46.201,43.976,"Class4","E",60.177,58.848,32.314
77.742,83.807,53.587,87,"O",NA,26.704,"Class1","O",64.278,80.243,70.342
26.707,84.617,53.271,10,"U",54.972,43.523,"Class2","W",-19.255,30.296,58.292
55.133,87.609,22.85,49,"V",12.667,90.438,"Class3","H",36.721,40.719,3.747
18.711,43.067,86.412,42,"J",48.716,56.007,"Class4","N",68.709,49.515,32.974
77.454,78.929,34.767,63,"O",73.733,22.971,"Class1","Q",47.373,79.855,71.095
75.634,80.295,44.437,72,"T",42.242,27.331,"Class1","N",58.893,79.143,71.33
22.653,47.285,50.079,30,"U",47.499,60.266,"Class4","E",74.376,34.092,37.673
24.567,40.179,50.927,34,"B",NA,30.01,"Class4","J",52.164,51.373,31.837
76.02,89.295,55.298,31,"E",44.7,22.441,"Class1","V",27.84,79.517,72.207
19.378,42.459,52.781,54,"J",28.762,61.566,"Class4","M",74.493,28.887,26.561
18.401,26.655,56.116,80,"J",28.798,47.414,"Class4","N",63.093,48.219,35.389
32.9,88.44,67.699,10,"P",81.564,18.676,"Class2","F",18.825,30.393,72.956
75.83,77.44,87.512,90,"E",44.626,24.076,"Class1","Q",39.332,79.469,71.716
18.457,40.807,63.417,80,"G",43.987,48.169,"Class4","M",54.775,31.283,36.948
NA,51.727,42.888,37,"W",45.262,36.762,"Class4","N",64.525,51.465,25.318
51.119,78.496,39.43,47,"Q",11.424,92.067,"Class3","H",37.94,40.156,13.929
77.524,78.528,45.009,39,"E",93.722,23.49,"Class1","O",15.722,80.107,71.5
76.544,78.81,19.955,90,"E",41.945,22.67,"Class1","Q",53.022,80.933,71.65
22.985,85.432,63.251,50,"V",13.49,83.738,"Class3","F",31.408,38.375,9.222
33.339,83.821,56.538,14,"S",48.406,50.506,"Class2","W",38.773,30.619,87.448
24.023,29.968,49.67,61,"J",53.652,49.753,"Class4","N",58.891,57.771,25.189
41.31,83.622,59.075,46,"I",11.594,87.145,"Class3","F",26.338,40.421,18.861
18.165,37.724,64.945,34,"W",43.345,48.61,"Class4","M",51.508,43.061,27.156
75.642,75.781,73.386,39,"O",54.75,24.842,"Class1","N",35.357,79.498,71.269
65.712,92.555,36.08,47,"I",7.536,84.612,"Class3","W",29.189,36.896,9.211
18.342,29.539,61.949,28,"W",32.523,24.212,"Class4","N",35.774,42.646,38.454
23.885,38.815,64.624,50,"J",42.421,44.383,"Class4","J",60.265,56.638,26.83
37.246,85.184,26.656,45,"Q",10.446,87.994,"Class3","H",31.379,37.917,15.138
57.404,83.368,67.894,42,"I",8.148,81.833,"Class3","N",26.354,36.725,15.037
52.8,79.341,51.437,45,"T",10.627,82.412,"Class3","F",31.175,42.177,4.784
28.22,93.603,47.54,22,"H",97.717,-0.963,"Class2","R",39.29,30.508,76.325
23.478,80.343,15.487,50,"Q",7,89.11,"Class3","Y",33.43,30.536,7.554
52.129,74.656,67.859,43,"I",11.231,91.441,"Class3","W",35.728,33.994,14.129
78.402,84.363,55.935,50,"Q",11.365,88.061,"Class3","N",34.844,40.206,12.676
30.467,89.997,46.504,26,"H",74.503,34.793,"Class2","W",2.846,30.304,87.37
32.214,94.73,79.406,30,"U",86.514,-12.807,"Class2","R",67.289,30.112,71.554
25.612,43.841,58.714,41,"B",NA,50.926,"Class4","E",58.9,57.579,22.059
20.592,34.48,42.897,64,"B",39.376,43.45,"Class4","J",75.581,37.097,20.194
56.816,81.832,33.929,43,"T",8.837,82.535,"Class3","H",30.569,40.667,9.232
33.472,90.804,57.976,11,"U",48.855,35.947,"Class2","R",44.526,30.862,82.672
20.366,39.333,43.794,78,"U",53.24,40.109,"Class4","M",41.453,34.753,35.105
46.883,93.244,71.314,18,"P",77.339,51.377,"Class2","R",93.612,30.079,53.966
25.467,39.24,56.734,77,"B",40.173,39.36,"Class4","E",71.485,49.337,20.778
21.374,85.321,45.02,43,"P",8.296,86.641,"Class3","H",32.312,33.643,5.493
77.537,83.235,58.959,85,"O",50.042,25.945,"Class1","V",52.347,80.166,70.98
76.364,80.653,62.51,87,"U",39.052,23.43,"Class1","Q",50.109,80.46,70.191
79.174,84.128,59.957,42,"T",11.795,85.735,"Class3","F",35.426,32.698,17.454
41.159,90.692,52.122,27,"D",58.899,23.701,"Class2","G",52.39,30.251,88.456
33.998,90.137,87.238,14,"H",88.052,60.066,"Class2","W",23.986,30.604,74.245
77.637,83.467,53.753,65,"E",57.018,22.955,"Class1","N",28.561,80.318,71.087
37.072,83.003,55.459,46,"V",NA,90.45,"Class3","N",30.745,34.016,9.138
77.334,76.206,66.492,59,"O",45.918,25.56,"Class1","O",35.249,79.465,72.696
22.018,36.463,67.116,69,"U",39.186,44.564,"Class4","M",94.268,39.227,21.251
37.389,104.553,53.074,10,"S",74.829,43.15,"Class2","F",39.675,30.143,77.774
76.63,82.994,50.481,29,"T",NA,24.099,"Class1","V",53.561,80.955,72.026
77.46,69.569,73.664,33,"O",82.19,20.594,"Class1","C",31.181,79.453,70.83
52.501,85.331,54.436,49,"T",13.161,80.084,"Class3","H",33.362,35.433,4.89
23.686,43.853,51.295,79,"B",44.012,52.285,"Class4","Y",76.818,55.633,36.362
NA,84.191,50.054,70,"T",80.885,23.498,"Class1","O",61.927,79.999,70.398
42.135,89.61,-1.183,45,"Q",NA,87.792,"Class3","N",33.516,39.519,15.366
24.088,30.5,54.065,41,"U",33.17,75.656,"Class4","Y",53.326,52.743,46.608
18.736,33.733,55.181,36,"J",46.53,73.588,"Class4","E",81.952,32.252,33.087
24.088,44.326,49.52,41,"W",54.72,43.664,"Class4","M",76.039,59.148,53.883
39.964,91.734,46.844,13,"S",88.497,32.495,"Class2","D",3.071,30.47,51.466
52.987,75.961,59.49,43,"P",12.225,86.723,"Class3","N",33.432,40.502,17.031
31.338,91.177,78.428,23,"U",48.949,44.786,"Class2","D",76.394,30.299,93.795
76.816,78.829,40.057,71,"E",43.97,22.201,"Class1","C",47.647,80.028,71.449
NA,31.096,54.474,69,"B",36.668,49.987,"Class4","E",60.693,46.058,20.424
32.997,91.418,63.059,28,"U",95.256,8.356,"Class2","W",3.965,30.41,48.895
35.289,79.13,32.205,45,"P",13.549,80.896,"Class3","F",31.395,33.508,15.31
75.997,73.511,46.821,54,"E",92.785,24.933,"Class1","O",12.887,80.647,70.208
32.83,91.099,47.959,14,"S",59.186,56.952,"Class2","W",41.105,30.618,48.642
75.197,81.08,65.156,93,"E",40.047,23.718,"Class1","C",42.339,80.445,70.072
77.431,81.258,51.396,44,"O",48.492,24.725,"Class1","C",45.536,80.296,71.807
58.371,88.068,72.881,48,"P",12.761,80.077,"Class3","N",36.527,36.416,15.182
77.415,83.203,48.107,47,"V",9.261,91.79,"Class3","N",26.489,35.881,16.558
18.969,40.414,40.186,33,"W",34.671,58.023,"Class4","N",54.713,30.007,24.679
41.314,93.177,70.577,19,"D",NA,21.642,"Class2","G",7.453,30.756,57.496
75.324,82.355,49.089,54,"H",60.332,23.771,"Class1","N",4.931,80.286,71.689
44.472,85.998,32.049,20,"U",86.439,69.55,"Class2","F",88.193,30.924,86.04
75.846,82.846,69.943,63,"E",39.729,20.186,"Class1","C",42.939,79.866,72.843
74.463,83.483,75.007,46,"I",8.523,82.832,"Class3","Y",33.762,33.323,14.938
75.259,85.943,53.907,82,"T",76.278,26.935,"Class1","N",68.806,80.602,70.685
75.775,76.427,75.853,94,"U",62.891,26.726,"Class1","O",44.261,79.753,70.323
59.635,89.457,41.534,49,"Q",7.985,82.057,"Class3","H",30.987,39.038,19.864
22.112,41.983,62.086,72,"J",54.114,50.39,"Class4","J",58.686,41.037,33.356
23.544,50.443,56.744,37,"B",30.752,45.997,"Class4","Y",83.767,33.509,25.046
46.801,89.621,94.43,28,"U",50.577,72.902,"Class2","F",6.699,30.508,65.15
77.85,73.686,38.708,89,"O",77.628,22.742,"Class1","N",54.258,80.94,71.946
74.81,73.883,35.591,48,"P",10.864,82.794,"Class3","Y",31.966,33.143,10.541
34.807,92.014,65.602,32,"S",77.595,47.961,"Class2","F",52.82,30.872,81.233
75.611,76.411,51.387,27,"O",51.81,24.442,"Class1","C",47.896,80.926,71.925
24.744,35.411,53.79,56,"W",52.362,42.665,"Class4","Y",71.814,35.759,50.518
25.863,35.738,68.897,71,"U",42.718,54.027,"Class4","J",63.572,53.768,51.772
76.278,79.605,98.555,31,"U",40.351,24.212,"Class1","V",44.829,80.843,72.047
NA,31.62,60.778,77,"W",32.949,52.04,"Class4","M",58.214,35.992,45.776
76.83,76.052,64.907,80,"U",92.053,23.98,"Class1","V",29.099,79.745,72.201
23.542,39.961,66.186,49,"G",28.562,64.188,"Class4","Y",69.607,38.998,24.616
35.183,95.307,30.839,30,"S",62.051,56.473,"Class2","F",40.422,30.472,92.233
75.594,83.088,64.452,29,"U",75.571,24.693,"Class1","N",37.693,79.116,71.134
76.811,83.8,74.173,60,"O",45.294,23.847,"Class1","Q",27.337,80.704,71.597
74.892,83.931,60.576,50,"I",11.722,84.847,"Class3","N",32.04,41.733,17.617
40.665,89.621,74.251,28,"U",63.006,-8.878,"Class2","G",20.379,30.66,54.135
40.724,85.012,50.437,49,"Q",8.411,92.288,"Class3","N",38.91,32.92,15.786
50.825,92.954,64.61,25,"D",54.325,73.671,"Class2","D",72.679,30.541,90.921
25.466,39.35,65.783,55,"G",51.3,25.7,"Class4","M",66.36,36.002,51.58
20.261,25.668,59.609,28,"B",NA,8.426,"Class4","J",53.151,43.727,49.534
21.089,29.777,47.343,74,"J",NA,10.827,"Class4","Y",56.809,48.273,46.199
48.899,89.627,63.473,18,"U",74.43,6.652,"Class2","G",114.883,30.904,86.512
19.946,43.587,58.132,39,"W",33.058,36.141,"Class4","N",39.175,34.079,26.47
77.194,73.854,53.549,64,"U",82.669,24.566,"Class1","C",51.586,79.206,71.987
22.444,35.098,49.935,46,"B",38.745,57.676,"Class4","J",54.721,55.119,35.59
75.781,72.137,45.735,26,"H",59.137,24.949,"Class1","N",40.262,79.042,70.482
41.686,88.255,91.647,30,"P",55.867,9.069,"Class2","R",60.921,30.262,92.537
79.658,78.847,16.786,46,"T",10.47,86.95,"Class3","F",30.328,38.508,7.686
64.684,81.067,54.296,48,"P",12.23,88.958,"Class3","H",33.843,36.508,11.726
76.419,84.025,93.093,56,"U",93.359,22.279,"Class1","V",61.396,79.407,72.463
21.6,36.752,65.057,29,"W",50.906,18.915,"Class4","M",63.457,42.691,21.846
20.42,48.724,56.523,48,"W",43.028,72.194,"Class4","N",45.955,35.718,31.668
35.46,84.227,4.829,45,"Q",10.987,82.107,"Class3","Y",30.35,40.069,5.207
21.737,47.373,56.106,54,"W",37.904,37.741,"Class4","J",50.782,59.31,19.819
68.119,90.195,59.379,49,"V",12.155,84.796,"Class3","F",33.08,41.703,6.838
23.769,29.532,42.023,74,"U",52.435,58.027,"Class4","E",57.788,28.261,27.398
38.021,90.894,33.288,19,"H",96.426,1.358,"Class2","F",41.411,30.571,97.186
23.04,32.058,57.804,38,"J",34.905,34.669,"Class4","N",75.373,28.65,19.628
26.815,90.841,83.296,21,"D",97.834,41.307,"Class2","R",73.524,30.468,79.757
23.778,31.756,65.98,53,"J",36.991,42.005,"Class4","Y",84.21,57.672,46.447
81.761,79.226,26.235,44,"P",11.902,83.209,"Class3","N",31.81,39.666,12.388
77.011,73.596,54.982,64,"T",NA,24.536,"Class1","N",58.756,79.482,70.595
77.793,77.18,56.189,60,"O",87.724,25.338,"Class1","V",45.334,80.991,70.595
23.722,44.138,44.596,31,"J",NA,18.301,"Class4","J",52.446,31.506,29.712
75.422,78.603,72.593,44,"U",65.096,25.562,"Class1","N",17.732,80.727,72.017
76.877,78.493,64.946,45,"T",82.647,21.879,"Class1","Q",44.22,79.153,70.287
19.268,26.267,47.103,45,"W",51.188,2.137,"Class4","M",66.573,56.035,24.357
75.798,80.288,48.288,54,"T",64.72,23.79,"Class1","N",18.855,79.629,71.77
39.357,90.59,78.207,23,"S",58.406,-10.148,"Class2","F",70.254,30.388,87.29
43.321,92.723,92.3,15,"H",68.528,59.857,"Class2","D",129.276,30.426,49.628
77.671,89.829,54.496,76,"U",86.098,18.524,"Class1","O",29.235,79.357,70.328
24.435,45.297,40.873,67,"G",38.756,53.521,"Class4","M",74.459,35.624,51.987
64.861,83.924,71.096,42,"P",7.711,87.943,"Class3","N",33.097,36.842,12.271
18.37,34.131,64.341,62,"U",39.897,30.18,"Class4","J",52.611,59.359,28.943
54.303,83.964,72.148,50,"V",7.567,81.944,"Class3","Y",32.564,30.025,10.779
25.382,37.299,76.573,67,"W",46.721,26.07,"Class4","Y",48.555,47.962,15.602
25.493,36.086,57.227,62,"G",47.677,15.374,"Class4","N",96.444,44.518,14.299
64.074,79.595,38.396,43,"P",10.924,88.625,"Class3","H",25.711,32.373,19.68
48.198,80.34,18.769,50,"V",11.53,93.116,"Class3","W",30.455,30.873,4.965
23.218,45.452,51.35,74,"W",35.16,66.84,"Class4","J",76.772,53.79,46.617
48.534,88.11,66.474,28,"H",62.115,25.627,"Class2","F",76.309,30.321,70.441
77.461,78.842,88.55,31,"E",83.178,22.311,"Class1","Q",58.368,80.196,71.451
48.27,89.554,71.9,20,"S",93.298,20.777,"Class2","F",-16.248,30.114,69.79
25.722,30.292,49.44,60,"W",49.523,41.023,"Class4","M",57.924,48.594,18.816
75.594,76.205,73.628,69,"E",66.704,24.525,"Class1","O",24.278,79.051,70.763
41.091,87.031,43.438,48,"V",10.556,83.777,"Class3","F",36.385,32.459,16.852
52.778,89.435,74.516,49,"T",10.174,80.18,"Class3","F",35.01,39.569,16.468
37.092,86.657,56.239,34,"P",57.609,1.21,"Class2","F",100.245,30.772,58.415
24.075,33.187,54.747,75,"J",43.397,50.617,"Class4","E",57.949,54.102,13.61
77.278,84.284,61.195,76,"E",42.218,25.694,"Class1","C",49.86,79.045,72.193
23.416,45.428,49.852,66,"J",51.125,50.152,"Class4","M",58.181,36.536,21.687
40.509,92.58,58.397,29,"S",57.371,14.307,"Class2","G",57.325,30.489,51.458
19.941,34.059,47.284,73,"W",39.931,59.169,"Class4","J",42.031,44.701,18.456
44.812,88.117,39.443,30,"S",NA,39.528,"Class2","R",77.255,30.099,84.423
76.016,82.174,26.461,42,"T",8.239,91.455,"Class3","Y",30.934,34.149,10.578
70.632,87.033,29.864,44,"P",12.868,91.111,"Class3","Y",31.983,42.454,6.845
71.408,87.679,26.906,43,"P",9.025,90.719,"Class3","Y",32.054,31.547,19.384
75.619,81.942,72.061,92,"H",71.989,24.084,"Class1","Q",50.207,80.529,71.371
54.329,92.068,75.016,42,"I",8.139,81.931,"Class3","Y",31.16,34.163,8.362
69.002,80.577,60.401,50,"Q",11.041,93.347,"Class3","W",30.9,37.811,20.592
21.932,78.656,66.897,42,"Q",8.067,84.52,"Class3","H",32.332,35.281,12.628
26.929,88.589,28.153,12,"H",77.017,16.336,"Class2","W",29.299,30.86,58.03
38.217,93.75,98.897,29,"D",98.18,75.874,"Class2","R",37.741,30.634,85.847
26.95,87.866,65.937,14,"S",83.01,75.909,"Class2","R",70.73,30.203,52.476
23.614,39.354,54.31,61,"U",35.519,60.105,"Class4","Y",54.509,59.194,32.246
77.342,73.188,47.563,48,"H",45.66,26.25,"Class1","V",48.846,79.149,70.056
32.94,92.387,50.154,25,"S",78.565,-6.518,"Class2","G",41.96,30.922,66.586
75.293,81.779,58.08,57,"O",NA,28.879,"Class1","V",14.224,80.002,72.617
71.477,87.027,50.807,45,"I",12.576,81.68,"Class3","Y",37.305,34.739,21.568
