"SDK1","URA2","SEY3","CEO4","PFR5","BEK6","LGB7","BZS8","Output26","PTE9","KPA10","CID11"
35.874,"Z",23.215,44,20.901,48.51,59.631,64.991,"Class1",21.401,68,45.864
54.411,"I",45.237,52,76.439,43.655,54.14,76.992,"Class3",24.362,34,94.083
29.361,"A",37.025,41,17.304,3.026,56.477,56.079,"Class1",28.043,60,36.629
24.558,"A",43.226,35,17.929,5.559,73.669,63.342,"Class1",41.301,71,26.32
66.986,"I",94.255,55,42.008,51.259,66.443,74.898,"Class3",46.606,34,67.704
67.37,"R",65.657,58,37.538,45.165,47.932,28.077,"Class4",29.467,48,47.803
50.966,"E",79.705,18,24.733,17.735,30.26,90.461,"Class2",55.427,NA,46.002
22.426,"A",32.928,34,29.962,45.906,35.662,44.94,"Class1",51.748,66,57.268
50.096,"E",57.228,54,22.599,10.288,23.243,101.674,"Class2",55.187,16,41.313
59.497,"Q",35.215,49,48.182,53.32,60.239,78.225,"Class3",33.086,31,74.557
29.854,"O",31.12,31,15.486,35.305,75.054,57.989,"Class1",11.656,61,80.289
65.24,"I",65.39,67,56.071,69.084,18.189,20.481,"Class4",74.753,33,44.728
71.416,"I",65.125,57,3.144,50.644,49.837,47.144,"Class4",37.459,43,43.45
51.398,"T",58.209,28,23.802,47.019,17.193,73.519,"Class2",60.846,24,40.171
63.449,"V",66.302,74,20.274,47.327,49.726,42.133,"Class4",54.2,54,45.094
72.387,"J",95.563,49,57.042,49.932,50.301,74.277,"Class3",36.719,29,78.966
66.395,"C",40.687,56,55.14,53.831,50.545,80.264,"Class3",59.877,35,96.406
22.381,"A",35.141,40,30.292,25.081,74.318,74.509,"Class1",45.32,68,85.829
70.488,"I",66.021,76,44.043,39.107,13.489,24.237,"Class4",74.202,52,43.557
50.873,"I",47.028,36,24.548,38.791,15.525,94.476,"Class2",51.602,35,40.451
72.637,"I",64.986,71,4.272,27.364,17.614,19.799,"Class4",41.421,51,48.817
68.694,"I",65.113,71,3.202,8.3,12.685,32.678,"Class4",38.818,33,46.911
36.014,"Z",50.586,51,39.006,4.42,77.769,53.376,"Class1",24.554,65,45.332
51.529,"T",18.048,74,25.488,9.417,13.223,88.819,"Class2",52.156,22,46.084
63.211,"K",47.69,52,38.889,48.488,76.666,76.977,"Class3",40.678,35,65.026
50.498,"T",62.183,63,22.202,30.484,6.525,77.607,"Class2",47.61,7,40.777
67.459,"X",65,53,50.135,48.715,18.266,30.75,"Class4",39.434,36,47.262
83.375,"Q",44.392,51,61.205,51.601,69.922,76.555,"Class3",52.525,34,83.589
26.157,"A",39.865,32,21.551,42.264,71.739,65.998,"Class1",49.109,63,25.806
29.445,"A",39.179,32,29.611,37.386,74.277,52.1,"Class1",51.175,65,80.998
67.761,"V",64.99,62,16.919,65.507,27.91,40.857,"Class4",32.279,30,46.129
49.558,"I",44.816,29,26.544,11.426,21.562,100.543,"Class2",53.64,48,47.842
49.265,"P",92.974,29,NA,12.197,23.56,73.629,"Class2",55.181,25,43.103
48.904,"V",61.202,46,27.494,45.734,17.505,57.334,"Class2",51.968,59,40.551
65.903,"I",65.45,60,41.655,51.723,14.335,24.507,"Class4",62.765,54,48.853
52.65,"T",93.125,30,24.895,43.968,14.771,80.068,"Class2",59.749,10,43.601
67.165,"Q",77.906,53,64.114,45.377,59.101,74.896,"Class3",52.321,32,62.098
70.3,"K",76.679,52,22.073,44.124,46.609,80.661,"Class3",35.56,30,69.703
52.32,"P",63.112,36,25.523,37.087,20.628,100.262,"Class2",52.3,38,49.758
23.857,"Z",25.936,49,15.563,52.683,46.508,55.704,"Class1",22.372,59,48.51
50.538,"I",101.246,37,25.293,53.76,22.201,76.972,"Class2",59.142,17,40.682
55.413,"Q",48.863,51,57.089,51.943,75.357,79.653,"Class3",48.813,28,62.25
50.898,"E",97.355,21,25.96,29.693,22.508,101.767,"Class2",53.96,38,49.907
20.275,"O",28.25,30,20.638,44.913,68.507,65.889,"Class1",11.776,58,83.88
21.419,"Z",23.224,45,23.002,33.564,32.951,68.561,"Class1",40.016,65,54.762
71.085,"C",40.674,58,47.171,45.944,55.357,79.805,"Class3",26.155,31,69.111
26.653,"C",28.484,33,9.442,14.232,44.736,72.081,"Class1",19.655,64,35.549
27.756,"Z",31.723,43,23.298,12.152,49.361,52.266,"Class1",44.262,59,31.928
48.608,"P",101.197,19,22.956,13.986,12.843,85.017,"Class2",46.2,45,46.188
52.815,"J",43.057,51,51.824,43.552,46.019,73.875,"Class3",48.563,28,70.307
50.096,"I",84.528,69,26.031,50.346,12.435,74.185,"Class2",49.917,17,43.442
61.963,"J",33.107,51,56.115,50.266,59.659,79.532,"Class3",48.273,29,84.612
67.883,"V",65.647,68,22.737,4.417,8.968,27.059,"Class4",77.569,54,42.783
25.08,"O",28.774,55,28.925,40.049,77.916,68.952,"Class1",37.074,62,79.379
66.908,"L",66.161,62,10.748,38.56,48.24,23.553,"Class4",50.389,25,45.349
51.546,"I",66.086,64,24.254,14.325,4.43,91.063,"Class2",46.479,50,40.303
29.492,"O",34.936,38,23.391,37.004,25.526,64.421,"Class1",9.932,62,53.237
64.668,"I",65.366,67,37.383,7.901,33.511,18.11,"Class4",67.632,42,48.285
47.883,"Q",55.763,58,48.441,51.41,57.478,78.912,"Class3",32.641,29,57.692
62.265,"K",54.745,49,73.315,50.524,42.623,75.137,"Class3",53.88,31,82.541
50.156,"T",52.261,36,24.451,13.362,21.052,92.242,"Class2",53.441,36,48.193
51.976,"E",62.182,63,24.415,48.059,15.591,84.228,"Class2",54.353,33,44.501
29.986,"Z",38.501,29,26.915,3.756,43.797,54.03,"Class1",28.135,58,41.275
48.702,"E",58.496,67,24.51,17.025,10.605,60.793,"Class2",47.369,58,46.743
66.879,"V",66.159,67,39.496,26.453,17.025,35.46,"Class4",32.133,50,43.015
82.418,"C",46.011,47,NA,53.59,60.028,80.038,"Class3",47.159,NA,63.586
51.193,"T",54.412,59,24.33,12.518,31.344,83.266,"Class2",51.054,17,42.16
22.955,"F",28.549,30,27.067,19.547,24.622,69.649,"Class1",37.748,60,44.551
50.52,"E",55.676,34,NA,18.267,30.686,80.787,"Class2",48.474,48,40.006
31.352,"Z",30.477,50,39.956,30.612,67.476,71.124,"Class1",21.827,NA,30.094
43.796,"Q",83.133,48,NA,45.351,39.534,75.047,"Class3",26.573,28,99.19
64.751,"L",65.507,68,47.064,47.707,18.549,24.011,"Class4",60,49,42.979
49.556,"E",61.159,65,24.572,9.729,5.752,73.179,"Class2",53.133,54,40.603
24.777,"C",30.252,54,33.278,25.691,46.605,65.836,"Class1",50.471,71,39.548
50.505,"I",76.395,40,24.86,22.122,30.192,72,"Class2",48.881,20,49.648
69.066,"X",65.071,63,29.036,69.332,34.122,25.454,"Class4",39.508,53,44.014
64.072,"L",65.377,71,25.187,60.643,7.099,38.775,"Class4",45.785,40,47.676
63.434,"V",65.236,62,16.807,8.944,27.869,20.103,"Class4",64.886,54,45.816
50.109,"I",70.392,66,25.02,48.335,17.316,80.887,"Class2",59.446,60,46.416
39.895,"C",41.554,50,51.137,48.865,75.474,81.035,"Class3",34.252,31,66.043
25.934,"Z",41.857,47,21.526,19.408,78.163,58.879,"Class1",12.39,NA,80.116
63.876,"I",65.647,57,56.814,18.378,17.435,22.991,"Class4",44.996,30,43.241
25.559,"Z",28.186,34,28.682,19.694,57.828,47.143,"Class1",50.549,66,36.335
26.985,"Z",37.915,35,36.841,26.639,26.277,66.597,"Class1",12.183,71,24.893
48.714,"I",51.856,45,NA,37.883,6.206,77.531,"Class2",56.013,33,48.809
26.479,"Z",22.449,43,1.681,41.222,13.558,56.926,"Class1",50.706,60,54.814
38.942,"C",43.147,50,55.833,52.747,56.408,73.61,"Class3",32.955,33,86.191
62.676,"I",65.736,76,43.484,26.424,7.189,30.24,"Class4",70.672,28,45.956
20.735,"C",17.848,49,17.49,35.723,79.141,54.347,"Class1",41.21,67,43.625
37.713,"Z",40.455,48,28.163,31.922,64.109,68.749,"Class1",23.189,64,30.633
31.756,"A",32.615,53,31.496,17.371,27.416,56.838,"Class1",30.692,66,46.485
31.071,"C",38.119,51,13.167,53.325,79.018,65.203,"Class1",10.751,64,78.37
68.704,"Q",75.747,54,50.417,49.206,43.185,69.759,"Class3",34.102,29,63.207
26.508,"Z",31.451,38,32.365,28.764,13.371,59.522,"Class1",41.003,64,73.777
28.025,"F",38.128,39,21.218,49.485,49.482,63.656,"Class1",31.313,NA,38.642
64.922,"X",65.156,53,44.672,37.287,44.557,22.235,"Class4",55.167,39,47.297
64.42,"X",65.186,71,-4.322,48.579,41.937,23.013,"Class4",36.254,45,47.843
33.862,"O",27.866,55,36.549,21.433,53.475,62.786,"Class1",13.031,70,81.067
46.721,"K",56.314,57,62.306,50.958,39.754,75.73,"Class3",37.777,NA,80.598
29.342,"C",23.901,51,13.533,38.577,49.408,58.624,"Class1",12.368,64,48.261
64.715,"X",65.386,59,50.107,29.421,21.434,31.536,"Class4",40.853,29,42.07
58.276,"K",46.546,55,41.508,49.868,51.766,77.276,"Class3",33.144,34,58.498
67.661,"K",29.374,55,54.424,51.173,52.768,77.19,"Class3",28.514,30,61.537
79.207,"Q",44.581,57,78.942,44.546,46.591,77.255,"Class3",35.159,34,78.124
50.503,"C",59.381,51,57.738,46.796,45.512,75.282,"Class3",29.992,36,70.081
56.41,"Q",54.2,55,52.87,48.278,45.133,80.397,"Class3",37.123,30,90.257
68.174,"R",65.047,50,26.099,33.276,23.358,27.905,"Class4",59.243,36,45.985
108.358,"I",101.809,57,44.869,43.977,71.496,68.958,"Class3",25.312,28,92.772
66.047,"Q",48.395,57,65.506,51.235,60.51,73.196,"Class3",28.565,36,74.521
27.7,"F",43.439,39,11.643,29.94,45.779,59.182,"Class1",48.385,57,57.134
79.64,"I",36.419,57,39.818,47.565,64.31,84.015,"Class3",55.181,29,98.218
46.268,"Q",62.157,56,67.258,51.371,40.383,74.912,"Class3",59.981,32,72.841
67.179,"R",65.447,64,41.448,23.399,13.142,22.035,"Class4",67.946,31,42.872
50.025,"E",91.453,33,25.041,20.457,27.906,60.114,"Class2",55.529,36,46.542
65.778,"I",65.381,56,6.525,68.273,23.895,28.186,"Class4",28.896,53,47.575
77.352,"C",15.644,50,62.313,47.928,68.524,77.157,"Class3",40.596,NA,66.35
29.352,"F",25.054,32,10.547,18.007,30.608,52.762,"Class1",15.83,69,32.118
63.276,"I",96.36,47,53.676,51.35,40.74,80.208,"Class3",59.525,36,88.11
51.285,"V",52.97,44,26.131,22.73,30.572,91,"Class2",57.474,NA,40.034
51.425,"V",72.203,55,23.307,33.866,29.26,107.313,"Class2",46.873,15,41.254
51.647,"T",40.301,41,24.59,9.654,2.387,78.261,"Class2",48.85,14,48.267
64.233,"X",64.969,74,31.591,15.988,44.208,27.285,"Class4",57.348,47,47.828
30.879,"C",38.63,29,44.021,11.37,81.947,57.527,"Class1",33.194,67,57.266
68.09,"I",65.882,54,28.841,21.666,21.95,33.98,"Class4",62.317,41,43.84
58.282,"J",52.74,47,44.515,52.633,42.76,78.521,"Class3",33.213,29,59.105
26.12,"A",37.092,53,27.452,54.755,73.967,68.543,"Class1",9.737,61,22.686
66.979,"X",65.24,74,-2.35,20.329,26.45,24.584,"Class4",32.978,52,47.742
58.219,"K",41.24,53,58.958,52.841,45.109,79.547,"Class3",22.404,31,85.761
25.883,"O",38.598,33,7.256,12.558,14.556,59.582,"Class1",51.048,59,20.392
16.698,"A",26.192,55,18.924,28.572,36.536,74.333,"Class1",37.023,57,37.753
68.688,"X",65.605,51,40.234,68.22,26.632,27.591,"Class4",39.585,55,46.659
50.862,"I",39.521,35,24.757,51.072,29.924,104.094,"Class2",45.321,43,47.404
65.765,"V",65.702,76,22.227,69.859,12.895,33.476,"Class4",32.763,47,43.135
57.076,"K",58.236,51,71.58,52.834,48.416,79.647,"Class3",24.821,28,96.549
42.65,"J",73.162,57,34.737,46.96,50.52,74.268,"Class3",26.205,29,58.973
49.789,"T",69.619,71,22.775,21.587,10.093,78.169,"Class2",51.526,33,43.601
64.876,"I",65.3,54,NA,29.117,44.569,34.631,"Class4",57.737,53,46.38
51.38,"T",62.769,44,21.466,15.988,14.909,80.167,"Class2",48.303,36,49.48
84.934,"J",92.521,55,47.093,52.523,44.581,76.602,"Class3",36.19,36,81.464
68.869,"I",65.012,68,28.188,47.691,14.172,32.649,"Class4",59.918,33,43.381
50.528,"V",86.835,30,26.294,39.219,26.951,93.401,"Class2",59.065,29,48.306
64.367,"X",65.284,65,16.999,64.07,45.083,34.144,"Class4",67.838,52,42.465
66.05,"V",64.896,62,40.734,64.469,36.756,27.571,"Class4",73.64,50,45.958
50.078,"T",25.558,13,25.173,48.289,30.122,84.478,"Class2",45.544,15,44.544
69.338,"R",65.513,67,-5.03,6.47,10.64,34.024,"Class4",41.544,32,45.035
55.965,"K",22.811,49,81.21,46.985,70.548,76.328,"Class3",48.432,33,86.159
50.593,"I",85.845,59,25.804,26.111,31.215,103.491,"Class2",59.747,NA,42.204
34.542,"C",30.05,40,27.915,4.324,20.625,63.045,"Class1",29.47,65,23.515
24.756,"C",32.97,44,24.761,33.311,42.407,63.949,"Class1",29.563,56,40.118
32.567,"F",31.052,37,21.563,43.577,60.712,52.849,"Class1",36.71,59,80.133
82.847,"J",29.167,58,61.083,44.776,58.776,80.147,"Class3",31.325,31,77.749
67.061,"R",65.053,64,54.455,10.754,29.173,34.756,"Class4",34.882,41,46.858
26.227,"A",21.423,52,40.765,27.815,49.6,60.821,"Class1",31.396,72,54.812
49.701,"E",46.862,13,23.789,53.836,24.25,54.336,"Class2",48.293,59,39.9
30.321,"F",25.914,39,5.595,52.321,29.09,67.521,"Class1",13.56,72,58.953
66.204,"K",81.403,58,24.906,53.025,54.85,81.835,"Class3",56.694,31,61.122
22.156,"O",38.312,54,24.709,9.47,41.543,61.084,"Class1",16.312,57,73.448
29.419,"C",37.552,35,34.775,4.971,68.159,70.393,"Class1",19.662,68,55.364
50.776,"E",76.109,52,NA,31.404,9.357,50.455,"Class2",46.395,17,42.001
50.216,"E",87.889,15,26.003,42.591,10.853,66.755,"Class2",48.934,24,42.585
50.454,"V",73.499,52,21.747,11.773,16.909,71.909,"Class2",45.319,12,46.614
25.61,"F",36.655,40,31.545,35.255,30.629,46.537,"Class1",34.53,68,18.279
51.229,"P",86.736,18,25.655,44.059,16.11,51.253,"Class2",48.276,NA,46.999
62.953,"R",65.663,50,50.839,70.375,11.965,24.234,"Class4",28.233,NA,45.221
27.409,"C",23.316,55,NA,0.901,28.16,56.955,"Class1",37.609,69,50.921
50.698,"E",82.472,58,23.968,52.487,32.459,76.169,"Class2",49.346,33,47.288
27.696,"F",33.776,38,20.474,6.265,85.481,69.999,"Class1",28.175,70,75.529
66.521,"R",65.131,64,40,11.023,32.626,27.524,"Class4",59.306,32,44.474
49.269,"E",96.694,37,22.281,25.003,35.409,92.847,"Class2",57.838,NA,47.449
26.854,"C",32.137,35,27.533,30.054,31.488,62.609,"Class1",24.59,56,37.616
50.839,"V",74.511,51,24.08,51.516,16.899,90.905,"Class2",49.071,18,43.602
21.85,"C",36.036,35,24.736,12.018,41.106,74.874,"Class1",48.309,57,50.164
71.731,"Q",36.734,50,50.478,50.719,74.854,74.268,"Class3",31.594,31,90.966
66.73,"R",66.155,53,13.257,9.528,7.55,32.446,"Class4",54.358,34,44.361
29.332,"C",33.584,38,NA,32.525,23.674,64.389,"Class1",53.88,NA,43.685
50.664,"T",42.653,53,27.244,15.491,16.45,69.808,"Class2",49.671,23,48.958
63.984,"V",65.735,61,32.434,58.764,40.513,33.495,"Class4",28.466,54,46.527
51.655,"P",13.592,50,22.214,12.601,9.391,87.371,"Class2",57.201,29,47.708
75.984,"I",70.058,55,41.292,52.248,67.996,75.579,"Class3",38.191,32,80.548
70.497,"I",65.438,57,-24.214,70.306,49.079,32.676,"Class4",27.624,39,43.437
50.012,"I",67.026,20,24.243,30.888,28.809,82.138,"Class2",60.546,22,45.737
70.915,"Q",68.541,50,52.156,45.761,57.197,70.624,"Class3",28.154,29,68.594
68.299,"R",65.828,50,5.847,43.77,3.945,30.461,"Class4",76.276,42,45.983
62.95,"C",110.104,50,59.18,45.847,55.318,73.987,"Class3",26.86,28,64.486
66.598,"V",65.451,73,41.519,46.961,11.033,29.909,"Class4",33.475,40,44.265
70.534,"J",53.09,55,50.235,53.193,38.574,72.044,"Class3",58.916,29,59.131
71.658,"R",65.976,61,-7.826,58.901,38.962,39.297,"Class4",48.725,31,46.479
28.557,"A",30.324,55,NA,50.625,17.978,59.891,"Class1",50.92,71,70.865
51.395,"P",36.716,54,27.742,24.511,11.053,68.398,"Class2",46.476,37,47.663
49.525,"I",74.167,22,22.646,53.657,16.531,78.474,"Class2",52.36,37,43.991
50.328,"V",57.413,49,NA,45.813,9.816,85.487,"Class2",56.23,27,42.131
71.714,"C",35.111,47,38.145,52.193,42.554,73.552,"Class3",55.512,35,89.717
25.057,"A",33.195,29,15.53,46.744,27.633,70.034,"Class1",21.253,59,44.723
29.648,"O",45.36,30,41.747,24.029,33.04,63.293,"Class1",26.321,58,58.76
50.299,"T",47.553,41,24.023,22.606,24.163,93.158,"Class2",56.819,6,41.204
57.836,"J",51.186,48,NA,43.139,70.607,75.701,"Class3",40.002,33,92.868
39.411,"I",62.546,50,77.509,48.388,66.44,78.12,"Class3",55.12,34,61.289
50.904,"V",50.08,43,24.434,49.261,11.441,95.937,"Class2",59.241,21,40.359
27.639,"A",31.526,51,21.417,38.865,41.006,53.157,"Class1",28.176,58,35.619
66.355,"I",65.592,66,31.573,55.031,12.239,17.368,"Class4",53.983,39,42.338
67.657,"I",65.489,69,56.182,32.846,41.761,17.224,"Class4",51.518,39,45.834
50.516,"I",77.048,14,26.552,10.151,5.069,83.308,"Class2",52.333,11,40.855
68.647,"R",65.994,65,32.653,68.859,22.941,30.037,"Class4",33.912,NA,47.831
70.789,"C",52.703,56,62.121,46.489,76.964,76.159,"Class3",27.504,36,96.858
63.606,"V",65.064,53,38.406,32.373,38.234,22.774,"Class4",66.32,27,44.693
68.216,"I",65.627,75,29.257,61.099,44.054,27.295,"Class4",74.242,33,48.562
51.732,"T",120.384,25,22.64,12.016,2.414,81.645,"Class2",57.87,33,42.465
70.209,"I",65.034,70,25.777,53.397,20.741,30.646,"Class4",63.961,44,45.674
28.705,"Z",34.818,46,44.779,28.568,78.873,58.264,"Class1",10.525,NA,23.126
71.156,"I",65.278,59,22.731,10.529,36.423,33.322,"Class4",70.12,41,47.14
32.942,"O",37.742,37,23.438,4.131,40.65,65.965,"Class1",32.209,66,41.118
33.969,"F",38.109,46,34.88,39.031,75.986,62.348,"Class1",44.251,NA,48.379
35.877,"C",28.781,34,31.436,34.395,24.42,60.815,"Class1",49.378,65,49.717
54.466,"I",24.541,58,60.857,50.572,47.558,73.355,"Class3",25.307,29,60.997
18.766,"A",33.604,42,27.952,16.782,65.518,56.479,"Class1",35.341,67,47.139
71.508,"Q",36.966,56,51.58,43.364,73.904,71.603,"Class3",49.906,33,80.963
49.708,"T",36.086,27,22.311,13.667,35.097,100.135,"Class2",59.391,7,48.277
59.089,"Q",28.534,52,36.099,47.727,62.857,78.142,"Class3",26.106,30,82.49
49.987,"V",28.021,38,24.641,43.325,7.015,75.867,"Class2",51.136,48,46.917
51.051,"I",33.336,71,23.447,40.908,14.35,65.25,"Class2",55.678,53,49.647
63.924,"R",66.144,52,5.134,28.816,23.969,27.043,"Class4",27.993,55,42.676
68.008,"R",65.569,75,43.102,66.597,32.208,35.794,"Class4",54.485,47,47.21
36.676,"A",29.543,45,38.299,55.528,64.81,74.593,"Class1",19.943,70,70.668
22.954,"Z",38.974,43,24.393,35.179,65.558,71.813,"Class1",21.597,71,63.94
65.596,"X",65.554,57,27.719,57.793,35.245,22.174,"Class4",44.308,29,45.699
54.771,"Q",61.77,52,NA,46.716,47.787,76.798,"Class3",46.79,33,89.688
72.649,"J",17.878,53,47.296,50.985,51.525,77.803,"Class3",55.837,29,95.701
73.465,"C",50.225,53,55.032,49.96,45.977,73.417,"Class3",31.129,36,58.669
49.786,"T",72.276,18,26.187,14.715,9.68,116.067,"Class2",50.222,26,49.908
27.899,"Z",28.361,41,38.761,4.727,21.638,64.872,"Class1",27.913,NA,61.253
69.15,"V",65.633,53,11.824,29.096,35.596,16.668,"Class4",53.807,46,45.62
44.014,"Q",63.692,58,48.187,43.256,47.359,69.828,"Class3",33.609,36,82.983
28.108,"F",33.374,35,24.838,7.08,23.97,67.913,"Class1",46.69,70,42.191
50.669,"V",56.087,61,23.369,51.604,25.698,74.888,"Class2",58.013,NA,39.164
48.135,"V",28.153,68,23.851,22.397,8.14,88.502,"Class2",49.723,9,49.057
49.224,"P",57.592,32,24.064,25.363,31.698,69.131,"Class2",53.319,13,49.025
54.707,"C",59.325,56,40.03,52.569,58.64,79.665,"Class3",58.658,34,67.509
49.406,"P",71.124,25,23.264,44.136,6.496,40.296,"Class2",52.911,17,48.501
60.801,"C",63.337,54,56.739,44.794,41.961,74.653,"Class3",26.806,34,64.728
49.808,"T",79.469,25,24.516,34.008,29.58,97.861,"Class2",60.545,39,49.344
60.442,"Q",42.062,51,60.216,50.771,63.514,80.309,"Class3",38.436,33,91.17
63.176,"X",65.379,62,14.085,48.63,29.602,14.806,"Class4",44.714,47,44.474
25.844,"A",34.345,47,29.301,49.504,70.883,57.075,"Class1",16.652,68,85.208
50.613,"I",59.33,67,26.803,31.59,10.764,54.116,"Class2",55.516,25,47.017
31.873,"C",21.839,49,25.336,33.871,60.75,54.988,"Class1",9.585,59,55.372
51.195,"T",67.155,11,23.243,36.805,24.766,72.707,"Class2",48.248,7,45.293
84.37,"I",67.963,55,63.794,53.006,46.384,78.044,"Class3",50.069,33,91.552
28.528,"F",20.159,54,29.481,37.489,78.008,63.671,"Class1",42.446,70,32.837
73.57,"R",65.592,53,25.503,38.603,32.995,28.017,"Class4",65.583,32,45.218
68.289,"L",65.188,65,16.738,23.438,38.341,30.053,"Class4",36.082,50,44.979
51.609,"T",80.985,65,25.657,48.345,3.993,80.308,"Class2",47.498,30,49.35
66.921,"V",65.194,60,33.37,32.09,20.225,30.769,"Class4",76.222,46,48.375
56.336,"I",42.07,48,42.079,53.703,42.667,75.7,"Class3",42.328,31,78.899
24.326,"A",30.22,29,15.365,0.686,49.712,49.48,"Class1",40.421,59,49.221
66.794,"V",65.468,70,35.9,36.572,12.388,23.825,"Class4",68.928,35,42.085
51.113,"I",81.916,37,27.935,9.6,35.245,76.175,"Class2",47.476,42,45.789
66.223,"L",65.879,51,52.533,63.624,6.675,18.798,"Class4",62.838,27,42.13
82.84,"I",23.823,56,56.171,48.282,64.052,75.901,"Class3",30.603,31,81.107
60.599,"K",2.382,52,58.908,50.06,46.579,79.037,"Class3",53.114,31,87.36
71.773,"L",65.256,65,10.671,57.042,26.757,29.547,"Class4",62.27,43,43.325
50.187,"I",60.813,41,25.549,40.398,3.799,65.855,"Class2",56.387,42,43.604
61.893,"X",64.958,61,-0.901,43.177,38.144,28.198,"Class4",28.304,42,45.414
67.672,"L",65.36,74,48.889,47.906,4.585,34.845,"Class4",29.057,50,44.56
52.143,"V",62.067,34,25.893,47.072,6.998,68.3,"Class2",60.961,22,45.659
16.306,"F",43.967,37,14.452,38.203,49.584,59.65,"Class1",43.533,NA,43.211
37.335,"O",42.179,45,22.841,3.937,15.659,52.399,"Class1",24.643,61,83.17
77.434,"C",25.709,51,58.545,50.4,63.696,74.715,"Class3",38.732,30,64.213
51.018,"V",10.338,23,24.778,41.207,23.949,93.215,"Class2",55.228,54,45.388
25.599,"A",31.5,51,25.693,29.553,57.294,61.558,"Class1",28.466,62,52.935
