"VZB1","RDU2","QGJ3","QKH4","WKR5","MVA6","Output1","YEX7","RZG8","QIG9","BJL10","NLD11"
"O",62.129,34.838,53,37.669,57.043,"Class2",65.127,58.442,72,4.048,30.618
"D",66.057,24.262,54,38.767,78.314,"Class2",68.026,58.425,71,58.675,41.806
"V",55.389,71.906,33,48.348,81.91,"Class1",14.348,53.413,21,29.43,76.764
"B",14.348,80.482,39,36.133,78.909,"Class1",2.188,49.102,12,55.397,72.164
"Y",77.055,61.263,63,46.746,35.633,"Class3",89.205,49.065,74,96.516,34.523
"S",61.995,45.972,51,35.095,61.615,"Class2",65.155,55.31,80,22.804,62.599
"M",42.38,74.042,42,49.409,82.979,"Class1",57.156,19.844,36,77.69,60.285
"V",46.939,75.168,52,46.982,80.735,"Class1",67.992,23.76,6,25.207,66.039
"E",63.318,70.085,66,47.825,36.377,"Class2",80.418,59.596,63,4.123,78.34
"O",62.67,23.345,64,48.845,25.652,"Class2",69.701,58.786,66,60.027,65.594
"B",52.603,80.694,39,34.731,79.143,"Class1",15.02,62.872,21,79.957,59.711
"E",67.445,83.849,60,30.496,NA,"Class2",67.337,54.74,78,21.818,28.903
"F",79.174,24.209,67,37.099,36.63,"Class3",85.286,33.862,82,95.993,54.239
"J",84.367,59.775,55,8.591,33.467,"Class3",73.766,13.423,72,93.608,32.159
"S",63.738,32.732,57,40.532,25.485,"Class2",79.799,64.355,74,68.218,69.003
"N",37.313,65.948,56,36.19,82.784,"Class1",48.982,50.387,7,24.215,70.043
"O",67.3,71.021,66,46.037,67.993,"Class2",82.585,51.315,61,11.238,50.057
"B",16.191,73.06,64,37.92,79.279,"Class1",43.101,71.925,38,52.93,72.865
"S",63.278,71.644,66,44.162,64.853,"Class2",85.786,69.414,63,35.329,60.456
"S",62.676,50.703,50,34.352,28.943,"Class2",80.995,57.876,74,35.667,31.276
"G",58.216,74.792,56,17.429,33.48,"Class3",90.31,48.893,86,95.753,67.365
"C",63.75,71.541,39,31.892,79.11,"Class1",0.631,49.497,5,66.683,72.68
"B",46.436,77.782,44,42.741,81.486,"Class1",39.27,61.707,31,69.005,65.435
"Y",38.602,29.103,69,47.032,36.795,"Class3",71.894,46.733,71,95.15,38.909
"D",66.903,-14.144,60,25.043,41.479,"Class2",66.788,59.902,56,77.353,49.008
"E",66.308,22.616,59,51.309,43.163,"Class2",69.384,56.357,70,35.362,81.803
"E",64.166,49.376,57,50.769,51.78,"Class2",60.089,56.069,58,62.252,40.742
"S",66.932,35.91,57,37.606,75.931,"Class2",76.705,53.543,61,44.934,66.368
"V",47.435,76.343,50,46.288,79.666,"Class1",27.902,35.232,31,67.33,73.952
"C",56.013,75.502,66,44.14,81.207,"Class1",86.117,67.972,25,45.567,73.49
"D",64.585,21.473,50,28.461,70.412,"Class2",63.553,59.221,77,3.849,39.582
NA,65.342,90.611,67,41.176,28.753,"Class2",62.524,51.375,62,36.79,55.814
"N",34.054,68.209,60,43.484,78.187,"Class1",33.514,72.497,11,24.102,69.806
"S",61.008,81.245,64,48.133,52.873,"Class2",71.964,53.756,65,24.253,46.351
"E",65.104,61.416,52,32.997,46.294,"Class2",68.094,54.579,57,39.012,52.03
"Y",53.038,29.346,63,29.672,33.162,"Class3",81.35,32.328,83,95.124,39.825
"N",52.883,74.61,41,41.798,82.275,"Class1",69.29,19.016,38,29.393,61.863
"M",47.992,81.53,33,40.761,78.427,"Class1",43.28,63.611,21,35.785,68.824
"N",27.015,81.558,36,42.378,NA,"Class1",50.769,30.551,32,76.13,70.877
"B",42.88,77.768,45,33.792,81.757,"Class1",58.238,67.259,29,57.619,75.669
"M",37.475,74.404,60,47.064,83.746,"Class1",9.467,54.626,23,32.232,61.992
"F",70.06,44.755,51,58.015,36.741,"Class3",104.804,23.695,84,94.914,54.718
"G",59.525,45.086,54,42.606,35.042,"Class3",70.183,-17.263,83,93.473,52.373
NA,26.537,78.529,39,37.63,81.68,"Class1",61.43,33.491,30,26.226,62.545
"F",57.52,29.574,52,30.468,36.707,"Class3",77.836,38.894,75,98.468,34.325
"D",63.052,32.921,58,40.01,49.957,"Class2",79.73,55.998,74,96.993,41.375
"G",74.892,59.072,65,31.964,33.668,"Class3",91.62,84.49,81,94.733,42.729
"D",62.965,62.65,52,36.056,29.58,"Class2",72.745,55.199,80,56.385,64.627
"L",72.356,53.104,70,35.684,35.545,"Class3",89.881,31.437,73,98.11,68.242
"S",65.852,64.917,56,25.02,47.201,"Class2",69.305,60.113,61,64.513,72.47
"D",64.775,66.827,65,31.146,39.672,"Class2",74.185,58.782,66,11.267,56.847
"F",31.308,53.557,51,-0.37,33.335,"Class3",82.948,-2.114,78,93.299,47.729
"B",27.848,67.645,33,43.725,82.43,"Class1",66.085,82.315,24,51.145,60.104
"G",70.491,56.418,62,8.793,35.782,"Class3",73.099,52.517,78,96.221,39.646
NA,11.998,79.697,45,38.192,80.938,"Class1",37.846,64.364,10,63.787,66.391
"B",52.083,75.237,65,39.666,82.548,"Class1",59.248,50.11,30,33.414,71.143
"O",65.622,50.839,59,46.754,34.823,"Class2",85.926,54.796,64,34.925,48.239
"M",60.393,76.23,32,34.918,83.94,"Class1",45.72,66.489,13,47.235,68.714
"D",63.258,41.112,50,36.396,36.702,"Class2",64.747,57.695,71,75.379,32.019
"D",66.96,46.687,54,26.458,32.194,"Class2",78.786,48.816,73,83.207,36.805
"B",19.129,75.346,53,34.501,78.268,"Class1",54.337,45.462,37,40.32,74.885
"E",65.781,74.092,51,53.644,57.02,"Class2",70.866,61.978,60,24.911,39.69
"V",27.919,79.885,55,42.618,78.98,"Class1",77.202,35.224,9,49.62,59.811
"M",67.056,73.954,37,44.152,79.94,"Class1",8.968,50.748,19,79.846,71.512
"Y",33.276,46.012,58,26.457,36.579,"Class3",82.366,-8.631,71,94.17,62.465
"G",50.964,52.271,71,55.201,36.133,"Class3",81.268,53.486,79,97.969,41.755
"Q",64.638,66.657,67,28.556,75.184,"Class2",85.536,59.733,60,31.722,34.833
"M",51.771,77.115,43,42.711,78.863,"Class1",5.405,36.296,21,23.708,59.962
"C",31.842,79.216,52,38.602,79.878,"Class1",67.395,53.28,11,74.191,62.479
"E",65.902,94.76,61,38.631,23.071,"Class2",60.884,54.373,55,43.657,26.528
"D",61.73,52.316,51,43.377,34.778,"Class2",52.448,56.474,66,43.632,51.449
"S",63.784,55.994,67,30.199,31.361,"Class2",83.261,54.357,71,40.305,67.645
"M",14.612,79.933,32,33.099,81.475,"Class1",71.456,61.497,32,57.201,73.452
"Q",65.708,43.911,55,35.58,63.723,"Class2",61.192,59.374,81,87.713,33.326
"B",57.134,77.679,67,36.87,79.116,"Class1",40.495,40.501,28,23.769,67.315
"O",65.928,86.383,67,46.454,39.649,"Class2",70.656,54.699,69,69.311,65.828
NA,63.23,20.407,61,54.74,62.386,"Class2",69.518,53.866,62,24.639,69.635
"M",21.984,74.326,65,39.301,78.009,"Class1",31.743,63.046,23,68.213,63.216
"D",67.422,18.28,52,53.592,50.448,"Class2",72.681,58.526,55,84.973,78.898
"V",68.218,75.863,67,43.834,82.68,"Class1",6.162,53.671,17,33.386,72.421
"L",80.083,46.678,53,98.142,36.414,"Class3",94.428,43.134,75,95.083,59.168
"J",49.171,45.253,55,66.187,35.788,"Class3",89.937,22.767,71,97.231,58.797
"O",63.861,24.842,54,18.876,NA,"Class2",75.362,56.766,77,76.38,41.313
"C",28.355,79.822,39,35.596,78.726,"Class1",45.152,44.281,10,46.466,74.835
"M",9.442,73.391,41,42.76,80.281,"Class1",59.624,91.068,36,74.982,66.428
"Y",33.831,70.096,54,108.631,36.546,"Class3",96.997,32.284,82,98.241,54.124
"Y",42.173,33.117,66,86.355,33.566,"Class3",75.06,25.895,75,96.632,28.412
NA,14.663,73.223,54,38.797,80.397,"Class1",34.109,30.065,13,56.367,71.83
"L",62.179,28.91,70,56.692,34.706,"Class3",79.527,58.447,80,98.734,39.014
"B",19.408,64.716,47,41.368,79.7,"Class1",28.186,52.754,30,74.397,72.235
"C",32.118,79.502,36,41.414,79.365,"Class1",34.704,76.907,17,63.098,72.731
"C",64.2,76.277,64,43.231,78.851,"Class1",38.496,47.039,24,31.465,73.472
"L",43.638,27.721,62,79.644,33.117,"Class3",84.76,36.941,86,95.2,29.138
"O",64.085,31.038,61,37.225,62.77,"Class2",61.827,54.533,82,25.63,80.359
"V",42.845,78.416,44,51.883,82.845,"Class1",68.12,46.006,11,59.8,73.123
"J",73.87,35.514,68,81.231,35.85,"Class3",75.911,26.967,84,97.496,44.08
"S",65.92,58.131,57,32.437,71.363,"Class2",76.361,63.971,68,47.348,26.742
"C",10.137,77.807,54,44.309,83.162,"Class1",16.746,65.939,18,36.32,62.111
"Q",62.273,39.45,58,25.597,50.118,"Class2",80.006,63.764,62,29.911,30.72
"O",61.825,20.999,51,44.09,63.425,"Class2",70.1,58.893,77,97.594,55.216
"Y",85.73,54.08,68,51.754,33.329,"Class3",79.718,32.594,73,98.044,26.614
"C",45.561,74.272,39,36.015,79.657,"Class1",24.218,59.148,20,57.907,63.294
"M",24.934,71.46,42,41.706,81.67,"Class1",65.827,36.335,30,20.216,65.588
"Q",64.845,95.464,55,28.416,44.12,"Class2",78.452,52.07,60,21.097,81.132
"J",77.334,53.558,67,56.527,34.063,"Class3",91.264,44.958,77,96.091,36.421
"E",66.384,42.506,62,47.288,66.062,"Class2",73.174,52.322,68,88.075,25.364
"V",25.348,71.082,58,42.979,81.363,"Class1",2.591,65.121,14,66.938,77.507
"V",59.344,76.608,41,45.375,81.746,"Class1",44.796,65.48,6,60.524,73.36
"D",65.191,73.043,54,47.617,63.991,"Class2",84.8,63.587,76,77.826,85.069
"V",36.715,71.868,49,38.303,NA,"Class1",-4.403,46.971,11,54.108,71.419
"C",49.013,80.414,43,45.523,78.049,"Class1",53.752,72.269,41,38.559,71.829
NA,66.677,74.285,63,35.112,40.938,"Class2",77.53,65.008,58,49.863,39.67
"C",16.132,71.073,61,38.778,80.688,"Class1",30.174,34.152,6,26.567,74.112
"L",80.654,56.672,68,30.794,35.988,"Class3",64.084,39.791,79,96.229,61.242
"L",74.096,30.432,60,81.061,35.236,"Class3",81.36,30.771,81,98.173,35.824
"B",35.876,77.625,52,33.157,83.376,"Class1",16.358,81.61,18,44.123,62.118
"Y",45.264,43.918,52,42.173,34.179,"Class3",83.985,8.329,78,95.31,36.815
"C",26.116,80.771,57,39.181,82.293,"Class1",16.875,71.389,30,48.05,64.205
"S",66.264,62.752,55,44.767,33.142,"Class2",72.864,68.218,74,27.867,60.792
"Q",64.366,75.589,51,35.551,33.702,"Class2",69.926,56.349,68,38.64,30.301
"B",17.659,80.036,67,32.964,83.783,"Class1",40.042,71.607,21,21.977,62.773
"M",35.315,81.396,32,41.836,80.573,"Class1",79.84,54.655,26,47.97,77.055
"D",62.501,61.007,61,46.373,75.347,"Class2",83.055,44.931,57,92.005,58.571
"S",65.529,39.444,60,51.127,70.465,"Class2",66.397,58.512,55,3.591,65.064
"L",38.054,29.33,53,7.596,36.682,"Class3",79.85,29.773,71,98.323,66.794
"D",62.164,18.546,55,20.187,78.775,"Class2",78.595,50.01,74,28.412,52.45
"Y",56.843,50.945,69,48.224,35.068,"Class3",72.992,50.852,77,96.364,62.125
"F",66.053,41.715,69,53.129,34.059,"Class3",82.583,39.55,83,93.759,61.765
"N",68.34,85.174,51,35.78,83.221,"Class1",58.661,68.202,33,66.517,71.438
"O",67.196,48.633,67,39.372,24.308,"Class2",57.216,46.039,66,98.709,45.075
"J",42.797,24.648,52,47.706,36.403,"Class3",102.587,44.95,76,98.347,41.477
"G",81.194,55.314,52,28.18,35.345,"Class3",72.899,53.461,71,95.311,38.884
"Q",64.592,73.261,59,65.88,71.718,"Class2",62.829,60.237,81,50.819,56.603
"C",59.61,76.142,42,35.425,82.638,"Class1",-17.968,32.212,27,62.68,62.184
"V",31.418,76.883,61,47.607,83.27,"Class1",50.608,72.745,25,22.451,60.949
"G",65.797,65.5,68,47.889,34.688,"Class3",90.406,8.339,72,94.415,33.422
"M",32.826,76.095,43,31.134,78.236,"Class1",76.838,56.376,38,59.067,67.815
"Q",64.684,71.143,67,40.812,NA,"Class2",76.944,54.943,58,89.718,31.702
"C",17.201,74.934,33,36.89,83.635,"Class1",36.446,66.413,27,19.199,74.282
"S",63.298,44.854,51,36.859,35.423,"Class2",91.89,53.742,62,11.762,26.075
"M",23.326,71.932,40,37.574,80.818,"Class1",27.205,76.505,32,76.607,68.82
"O",67.977,56.129,61,30.94,42.983,"Class2",74.722,52.865,58,96.462,71.754
"F",71.535,51.203,69,42.382,36.637,"Class3",64.311,17.339,79,97.906,49.337
"L",61.256,39.652,54,60.559,34.014,"Class3",82.654,46.742,83,98.643,63.099
"V",16.113,73.893,49,44.968,79.952,"Class1",71.693,58.971,39,67.55,72.761
"L",62.34,18.268,70,32.906,36.739,"Class3",76.032,28.487,78,93.963,44.536
"L",58.395,54.355,53,80.692,35.76,"Class3",83.919,50.098,74,98.767,31.108
"V",67.244,78.234,59,41.448,83.668,"Class1",27.549,57.082,19,49.076,62.509
"S",65.383,64.659,61,46.05,23.674,"Class2",78.465,63.531,79,49.404,82.699
"O",67.619,39.464,62,45.654,40.012,"Class2",83.908,56.541,80,81.146,28.148
"G",61.871,52.451,59,57.929,36.575,"Class3",80.044,32.117,77,98.232,54.331
"F",86.575,70.053,67,39.842,35.821,"Class3",95.664,45.885,73,95.768,26.53
"M",24.539,72.586,44,51.039,80.702,"Class1",79.109,44.841,25,69.437,66.332
"S",66.063,89.346,58,33.553,33.813,"Class2",66.133,56.016,58,94.348,34.898
"B",32.546,77.472,34,42.251,78.416,"Class1",67.498,65.116,29,42.484,72.564
"Y",37.528,66.477,53,27.991,34.037,"Class3",75.719,11.102,82,97.198,68.122
"B",45.27,82.439,65,37.008,79.674,"Class1",9.34,74.544,37,24.606,74.807
"L",57.296,43.994,52,12.355,33.836,"Class3",78.495,58.355,81,95.838,63.397
"E",63.598,39.4,60,31.737,60.451,"Class2",73.724,48.29,61,20.401,29.76
"M",16.474,77.18,37,34.336,78.102,"Class1",45.968,29.24,23,48.22,67.716
"B",26.063,74.437,55,39.417,78.485,"Class1",13.677,54.099,19,78.04,75.824
"D",61.234,40.671,61,63.989,56.441,"Class2",74.256,54.545,79,33,64.544
"M",16.209,71.408,52,44.781,79.033,"Class1",12.307,88.02,29,31.573,60.637
"O",63.116,12.737,56,29.63,26.713,"Class2",60.2,59.391,74,7.623,41.625
"Y",49.029,42.899,57,98.796,33.248,"Class3",92.237,75.017,81,97.581,58.817
"L",83.799,48.319,51,54.204,36.452,"Class3",90.88,19.691,73,97.342,44.769
"S",62.348,45.058,59,27.3,32.081,"Class2",55.529,56.105,55,37.453,59.169
"N",60.137,78.494,40,41.373,NA,"Class1",59.269,61.121,6,43.059,71.388
"Y",53.232,36.698,62,52.556,34.411,"Class3",57.612,33.541,73,98.002,46.306
NA,61.707,91.61,55,38.545,42.215,"Class2",76.251,54.911,57,25.894,80.406
"B",37.248,78.187,64,39.475,83.139,"Class1",19.046,64.872,35,21.286,66.849
"V",55.209,75.066,59,42.892,NA,"Class1",-14.533,49.761,6,59.021,66.965
"Y",51.37,52.874,71,27.505,34.118,"Class3",83.024,31.07,85,97.698,69.241
"C",55.91,75.415,53,35.419,79.55,"Class1",88.164,51.865,24,49.465,75.152
"Q",61.637,37.147,62,49.72,60.487,"Class2",77.392,54.574,63,64.832,71.43
"M",50.884,74.416,46,40.447,78.758,"Class1",76.618,57.565,9,79.191,65.919
"G",45.622,22.583,54,37.941,33.952,"Class3",66.836,19.438,85,93.404,49.364
"S",67.787,40.21,50,49.666,33.186,"Class2",82.383,48.086,76,13.152,79.343
"Q",67.412,8.022,60,38.735,77.159,"Class2",58.149,57.051,58,15.938,54.69
"L",58.902,64.153,70,55.907,NA,"Class3",75.342,43.12,76,95.813,66.551
"L",52.99,29.256,51,39.576,35.287,"Class3",79.258,35.276,76,94.254,65.233
NA,41.127,12.95,63,53.508,35.481,"Class3",70.375,8.354,75,95.721,59.603
"O",61.549,68.592,63,30.292,71.554,"Class2",70.212,55.114,56,72.928,48.677
"J",64.033,46.433,70,93.531,35.013,"Class3",102.276,31.347,78,97.529,51.372
"N",47.291,77.143,52,44.747,82.511,"Class1",26.298,58.472,40,21.259,65.831
"Q",62.768,-9.426,62,45.469,67.573,"Class2",76.017,56.749,55,83.298,35.633
"E",66.229,46.384,51,36.69,49.594,"Class2",62.679,62.207,55,5.501,45.612
"V",43.129,78.007,55,38.088,83.922,"Class1",2.975,39.383,5,22.399,75.641
"L",88.527,62.752,57,8.334,33.29,"Class3",88.018,12.401,74,96.274,56.153
"J",64.233,46.429,59,55.792,34.828,"Class3",72.665,33.29,79,95.29,45.18
"N",61.775,77.934,46,38.485,80.07,"Class1",10.043,57.245,8,54.293,66.167
"F",69.974,61.903,51,36.643,36.868,"Class3",92.583,63.116,81,98.375,30.234
"Y",57.37,48.339,64,57.487,33.254,"Class3",87.182,20.123,76,97.444,44.281
"G",37.702,24.945,51,21.632,34.471,"Class3",95.211,38.461,82,98.322,49.928
"C",32.341,78.99,54,30.364,78.444,"Class1",47.113,81.814,39,25.302,68.249
"E",61.966,63.133,57,45.365,31.623,"Class2",67.445,61.554,79,94.436,49.158
"J",71.126,48.242,67,88.344,33.96,"Class3",84.969,64.072,71,93.372,46.691
"L",85.471,59.393,58,34.885,34.693,"Class3",85.987,61.743,76,95.789,53.188
"Y",44.5,60.01,71,11.81,34.234,"Class3",93.714,43.08,81,96.248,58.339
"Y",74.95,60.439,61,47.176,34.151,"Class3",97.677,36.214,75,95.582,61.217
"C",48.091,70.252,51,40.529,83.242,"Class1",32.249,67.896,39,67.597,66.72
"O",65.183,61.213,56,23.334,51.365,"Class2",65.192,57.06,68,6.489,78.457
"M",15.567,80.124,55,43.663,83.641,"Class1",26.509,54.38,22,57.691,74.874
"B",48.514,75.188,34,47.467,81.059,"Class1",116.449,51.074,29,79.579,77.678
"O",62.44,37.281,50,35.596,25.756,"Class2",58.637,56.313,75,11.826,60.323
"D",64.142,63.498,60,50.886,29.953,"Class2",65.749,58.77,74,27.986,70.782
"E",64.871,27.858,54,47.785,24.691,"Class2",59.783,62.3,62,32.183,65.912
"G",43.16,5.047,61,66.485,35.674,"Class3",71.456,45.669,72,93.772,31.829
"M",48.534,79.665,49,35.275,82.474,"Class1",95.933,84.647,41,41.269,66.387
"V",67.607,73.979,33,40.067,79.43,"Class1",1.101,55.828,22,80.689,60.117
"C",57.446,75.776,61,41.99,83.052,"Class1",-12.999,29.305,15,36.449,59.93
"C",46.081,73.482,67,41.604,78.424,"Class1",1.337,60.507,27,37.711,60.242
NA,42.964,5.252,57,58.22,33.341,"Class3",89.013,37.127,78,93.26,26.868
"C",48.759,83.996,36,38.585,78.402,"Class1",20.496,70.403,30,70.538,62.649
"G",86.977,47.264,71,82.696,36.622,"Class3",76.736,12.71,82,96.835,44.295
"Y",76.79,66.024,57,77.848,NA,"Class3",78.797,32.489,84,97.98,54.115
"V",67.746,75.197,37,37.273,83.721,"Class1",19.582,56.804,34,41.091,64.429
"F",45.51,15.77,65,69.093,33.511,"Class3",76.913,23.281,85,93.955,68.979
"D",67.611,67.598,51,22.642,61.407,"Class2",61.898,53.381,66,97.391,48.307
"G",31.514,42.981,62,89.933,36.52,"Class3",91.975,47.214,72,98.75,30.48
"D",67.206,33.781,65,42.439,41.506,"Class2",66.7,54.866,57,29.264,74.146
"D",63.779,34.749,58,45.932,26.113,"Class2",78.166,61.769,76,88.402,35.439
"D",65.08,2.008,61,49.743,NA,"Class2",65.288,58.485,71,31.176,76.672
"M",36.081,74.511,66,38.834,81.725,"Class1",22.824,32.263,9,32.317,62.599
"C",20.166,73.128,33,43.218,82.982,"Class1",17.617,16.079,36,28.422,71.538
"L",88.951,18.834,58,47.229,36.21,"Class3",94.442,33.389,74,95.319,29.894
"M",37.122,71.879,58,44.514,78.63,"Class1",60.544,62.597,40,39.322,72.922
"V",56.809,81.063,60,43.013,83.225,"Class1",20.826,53.495,26,52.264,64.451
"D",65.978,100.831,66,44.937,42.885,"Class2",82.497,52.961,68,61.505,43.648
"D",65.102,45.021,54,39.661,70.435,"Class2",71.869,54.481,76,76.753,82.053
"G",72.41,48.171,51,56.85,36.309,"Class3",75.003,56.393,84,93.26,46.705
"G",31.171,38.429,56,38.913,36.664,"Class3",78.691,56.034,84,96.661,41.233
"V",48.746,80.21,45,37.661,83.107,"Class1",57.39,50.255,5,31.239,74.768
NA,13.461,78.245,60,37.407,NA,"Class1",-12.269,73.54,25,30.862,77.17
"O",63.085,84.811,53,43.323,37.848,"Class2",61.578,53.776,77,82.111,80.627
"F",50.401,32.135,52,8.29,34.132,"Class3",81.088,41.374,86,98.503,53.052
"E",61.055,9.868,59,42.421,64.71,"Class2",71.08,51.138,70,44.884,66.775
NA,46.357,79.515,65,45.093,82.905,"Class1",48.358,89.18,6,48.001,68.009
"S",67.179,83.359,58,42.488,40.393,"Class2",45.459,61.291,59,49.044,27.766
"V",35.036,78.12,57,32.784,83.483,"Class1",26.91,51.623,25,54.534,73.688
"O",62.157,51.42,53,63.878,34.184,"Class2",79.668,63.684,80,9.703,74.253
"Q",63.253,52.787,59,25.697,47.318,"Class2",74.447,68.893,76,98.332,75.659
"D",67.711,71.832,54,37.389,68.851,"Class2",59.568,63.205,63,41.56,28.87
"G",43.577,34.191,64,49.51,34.732,"Class3",90.268,36.282,71,94.524,37.934
"C",15.148,77.318,41,39.729,83.111,"Class1",37.36,74.039,35,79.804,63.189
"D",62.126,27.534,64,44.989,34.495,"Class2",77.869,59.824,75,75.692,56.021
"Y",43.229,82.722,58,75.319,35.606,"Class3",73.494,0.197,80,96.36,69.226
"F",46.901,33.617,58,27.816,33.963,"Class3",94.967,48.816,72,94.47,58.768
"E",63.651,66.357,52,57.167,36.597,"Class2",76.212,48.384,66,7.304,72.216
"B",55.869,77.561,64,38.541,82.981,"Class1",-22.163,47.929,15,42.671,65.144
"E",63.603,64.519,62,47.328,46.98,"Class2",68.382,46.9,79,93.119,72.56
"D",67.54,39.23,61,28.861,40.749,"Class2",67.303,53.288,71,17.324,47.091
"Q",62.2,47.707,60,27.197,68.065,"Class2",74.462,63.172,82,95.958,83.614
"O",67.229,9.869,60,47.404,62.605,"Class2",68.564,62.165,68,64.333,31.016
"Y",52.104,46.638,51,66.555,33.216,"Class3",89.525,49.472,72,96.129,27.788
"C",42.853,82.529,47,47.032,78.586,"Class1",46.214,71.54,31,64.356,76.063
"F",49.298,51.883,64,74.382,36.086,"Class3",89.262,29.554,80,98.722,47.296
"D",66.442,53.993,61,49.325,77.896,"Class2",67.727,47.892,82,16.568,60.216
"V",21.983,74.504,34,38.005,80.821,"Class1",-7.377,37.968,24,68.478,73.578
"Y",79.072,52.955,65,34.742,35.607,"Class3",81.763,44.601,80,97.426,47.181
"D",67.49,91.65,55,53.205,27.485,"Class2",72.627,49.728,55,86.215,40.052
"Y",57.549,51.137,67,56.863,34.228,"Class3",84.115,59.673,84,94.027,70.607
"Y",50.016,68.435,69,46.854,34.467,"Class3",84.194,38.68,71,98.779,41.848
"N",63.141,77.447,66,33.811,80.812,"Class1",54.891,60.786,39,28.607,61.429
"Q",63.402,-7.713,67,38.008,71.487,"Class2",66.394,49.466,65,85.071,33.299
"N",46.103,77.952,56,38.092,80.224,"Class1",68.018,49.562,24,49.404,60.889
"J",42.807,35.155,53,36.99,35.088,"Class3",83.997,39.765,83,93.405,42.301
"E",65.749,89.415,50,43.722,63.334,"Class2",83.018,50.469,72,27.383,31.003
"D",61.082,54.236,63,34.352,48.893,"Class2",61.709,53.258,76,44.739,81.639
"Y",68.831,29.53,68,42.008,36.128,"Class3",80.831,20.808,74,95.973,56.634
