"GEF1","ZJQ2","PNA3","HJS4","KWG5","Output7","CWN6","FKT7","HTK8","OWZ9","XEK10","YQP11"
"S",34.611,6.906,59,24.133,"Class3",53.942,"R",49.136,84.114,29.892,69.967
"C",61.165,50.177,55,75.186,"Class1",4.697,"C",61.239,25.948,83.201,28.443
"N",44.634,36.066,30,126.449,"Class2",71.867,"Q",46.536,75.141,9.389,24.169
"O",35.427,22.597,61,22.17,"Class3",42.661,"E",52.634,89.376,41.177,68.399
"B",33.935,5.69,66,4.355,"Class3",55.579,"G",59.494,82.45,81.083,58.202
"Z",44.719,30.782,27,56.355,"Class2",70.331,"X",39.817,77.773,14.328,21.822
"G",34.545,8.824,62,20.606,"Class3",28.217,"L",51.501,90.438,34.69,82.331
"D",49.368,50.202,54,64.486,"Class1",18.673,"D",36.029,33.432,82.511,98.835
"G",48.005,51.152,57,73.583,"Class1",28.865,"D",39.293,52.794,67.696,79.695
"T",46.474,50.538,54,95.153,"Class1",24.769,"I",56.04,24.457,76.157,76.057
"N",60.999,51.919,53,57.134,"Class1",13.916,"P",NA,30.34,90.035,60.569
"G",36.014,12.445,61,11.406,"Class3",35.462,"R",58.339,86.46,50.083,58.455
"O",35.186,16.231,71,21.665,"Class3",56.482,"L",56.038,45.629,75.416,79.234
"G",19.669,51.81,53,59.802,"Class1",18.421,"P",18.509,29.602,69.734,81.932
"H",43.294,63.68,30,58.288,"Class2",70.789,"Q",30.561,80.631,11.798,23.668
"T",29.698,50.23,52,87.091,"Class1",28.042,"C",34.666,4.625,66.118,27.979
"D",40.703,27.12,28,20.829,"Class2",67.734,"Q",29.597,76.277,4.611,19.008
"B",34.89,21.164,69,33.173,"Class3",38.96,"X",59.966,45.531,74.529,77.174
"Z",47.836,43.317,31,32.206,"Class2",36.317,"A",41.795,72.386,5.32,17.542
"O",35.494,12.631,69,37.454,"Class3",51.972,"L",57.193,44.053,78.451,80.6
"C",47.905,50.154,53,73.529,"Class1",18.443,"X",NA,64.234,85.369,2.612
"U",43.882,35.962,36,8.238,"Class2",61.039,"Q",13.923,73.155,11.756,23.659
"G",51.809,52.725,53,112.747,"Class1",41.496,"D",41.327,49.315,72.833,68.298
"D",45.898,60.047,27,19.885,"Class2",102.785,"C",46.543,85.591,11.15,17.966
"N",63.494,50.206,54,70.209,"Class1",13.384,"C",30.748,15.01,72.208,97.102
"C",49.695,51.716,52,56.195,"Class1",24.15,"D",6.566,18.061,80.53,46.786
"B",34.862,10.262,62,30.302,"Class3",46.831,"E",46.336,93.9,11.028,69.518
"A",34.539,17.533,59,26.765,"Class3",50.45,"E",49.127,82.1,72.057,67.814
"S",35.15,7.697,59,16.117,"Class3",54.072,"X",50.061,27.035,7.583,63.509
"S",36.052,10.897,69,27.661,"Class3",45.34,"E",57.354,51.33,28.742,77.694
"A",35.275,22.345,62,28.854,"Class3",44.406,"X",55.185,88.178,45.403,65.316
"G",36.275,21.68,64,45.516,"Class3",47.654,"L",55.078,80.075,37.448,86.173
"U",49.333,71.536,33,96.772,"Class2",50.597,"C",15.344,76.817,9.142,22.216
"G",34.372,51.528,54,58.03,"Class1",17.944,"X",54.598,37.646,77.601,NA
"B",33.837,5.274,68,22.682,"Class3",54.147,"E",53.831,60.123,73.095,73.326
"G",34.904,13.185,65,24.929,"Class3",44.288,"L",NA,71.923,26.769,77.544
"C",88.923,51.293,55,73.686,"Class1",22.292,"C",75.737,86.839,81.054,82.062
"D",54.689,50.546,41,40.455,"Class2",72.821,"L",37.095,87.089,13.048,21.373
"D",47.696,62.017,37,77.302,"Class2",66.339,"Q",27.884,72.815,4.508,26.489
"N",71.531,51.502,52,64.606,"Class1",7.015,"C",21.575,41.245,67.557,49.273
"D",50.555,51.779,53,78.909,"Class1",31.888,"I",NA,57.51,89.768,43.065
"H",49.545,70.425,42,35.804,"Class2",45.62,"C",14.459,74.638,15.77,20.062
"T",27.375,50.643,56,58.004,"Class1",32.964,"I",67.22,53.384,71.554,67.861
"N",52.459,56.881,33,19.607,"Class2",60.379,"A",17.311,86.016,7.823,NA
"B",35.63,7.798,70,25.252,"Class3",40.734,"L",54.068,92.62,3.659,70.005
"C",56.681,51.621,51,75.219,"Class1",0.507,"D",75.433,84.724,79.518,30.98
"C",66.109,51.152,57,60.697,"Class1",14.818,"D",41.147,23.207,88.909,39.818
"A",35.754,19.164,66,22.348,"Class3",48.642,"L",52.088,49.245,27.418,77.628
"O",34.368,5.3,71,17.204,"Class3",60.703,"R",55.739,23.384,20.096,76.053
"G",-0.872,52.586,52,82.125,"Class1",21.878,"I",71.166,91.221,67.476,39.926
"G",34.837,10.749,71,9.195,"Class3",35.623,"X",53.611,63.467,62.736,63.504
"D",50.302,50.131,55,75.763,"Class1",17.201,"C",14.686,84.318,91.364,23.976
"T",53.523,51.112,57,76.119,"Class1",19.904,"P",49.632,15.987,88.352,NA
"C",57.77,52.205,52,78.072,"Class1",9.566,"X",8.758,95.845,71.017,100.221
"N",58.015,51.191,53,68.753,"Class1",19.687,"D",53.281,23.09,82.446,91.874
"G",34.583,17.294,60,17.642,"Class3",53.999,"G",52.675,62.447,75.639,92.789
"D",38.584,52.485,56,52.983,"Class1",35.171,"P",69.104,95.815,74.792,27.235
"G",56.818,50.505,56,85.969,"Class1",15.486,"I",9.794,49.397,67.472,54.551
"C",38.324,50.83,53,61.969,"Class1",30.704,"I",25.256,11.249,77.804,69.785
"U",45.689,46.535,39,-44.229,"Class2",94.787,"L",31.37,71.969,6.056,23.032
"D",37.497,50.419,52,87.235,"Class1",15.623,"I",14.958,21.041,77.801,54.761
"C",37.606,52.497,56,88.686,"Class1",7.315,"X",NA,17.335,86.927,59.138
"B",35.29,13.307,67,28.231,"Class3",49.624,"L",52.645,48.573,53.221,65.978
"G",46.629,52.533,56,53.567,"Class1",-4.135,"X",11.616,87.583,88.28,49.666
"D",37.475,50.912,55,70.154,"Class1",17.68,"P",73.622,98.571,71.391,58.786
"N",42.506,52.954,36,32.017,"Class2",30.043,"X",22.241,83.6,9.344,20.864
"D",47.595,47.678,42,61.318,"Class2",62.968,"Q",38.491,85.386,5.711,22.407
"H",41.111,64.098,31,77.174,"Class2",85.478,"C",22.894,74.108,10.571,21.857
"N",25.477,50.86,55,48.476,"Class1",42.589,"P",17.345,21.192,69.112,75.633
"T",32.523,50.789,54,73.669,"Class1",28.075,"C",34.591,7.898,74.069,36.535
"A",34.102,10.124,66,35.763,"Class3",50.002,"X",NA,42.999,72.64,86.885
"N",48.808,46.971,31,38.5,"Class2",41.322,"C",16.407,75.227,15.611,12.361
"H",44.1,43.525,27,59.034,"Class2",63.006,"L",43.771,86.301,10.528,20.646
"D",33.747,50.492,54,59.155,"Class1",21.506,"C",40.556,8.672,87.385,59.01
"A",34.839,17.902,59,35.093,"Class3",36.71,"G",49.803,90.117,63.523,75.135
"N",43.443,24.866,34,-29.762,"Class2",77.68,"Q",29.123,83.374,9.048,20.073
"N",43.893,35.212,39,105.637,"Class2",39.437,"C",22.938,77.611,11.756,22.352
"N",45.061,53.45,34,68.457,"Class2",72.159,"X",14.155,87.741,11.696,22.099
"D",49.298,37.464,37,33.08,"Class2",40.111,"A",41.082,86.999,14.289,23.19
"G",21.018,52.477,56,62.5,"Class1",29.491,"I",65.602,81.844,84.857,65.901
"N",47.978,35.376,38,24.319,"Class2",40.63,"C",20.765,88.425,4.964,22.887
"O",35.281,9.655,62,16.487,"Class3",52.306,"X",58.924,81.55,25.827,76.421
"B",35.779,20.604,70,22.9,"Class3",62.483,"G",58.263,77.994,17.882,57.858
"S",34.66,22.78,61,21.188,"Class3",38.563,"G",58.421,31.23,86.891,84.4
"G",35.283,22.763,69,25.855,"Class3",56.879,"E",58.881,57.487,48.441,71.787
"C",25.111,51.725,54,46.176,"Class1",33.144,"P",56.675,47.391,78.33,72.938
"C",42.355,50.711,57,53.837,"Class1",17.196,"D",32.96,20.287,83.423,68.216
"S",34.336,8.925,62,21.79,"Class3",55.088,"L",59.441,63.549,48.238,78.6
"D",51.722,51.966,51,78.823,"Class1",28.43,"D",32.932,6.825,85.199,56.571
"S",36.244,9.849,70,34.463,"Class3",57.519,"L",54.146,42.046,46.099,71.408
"B",35.374,14.231,70,29.581,"Class3",37.9,"G",57.083,75.7,10.548,76.408
"C",40.835,50.146,52,60.189,"Class1",12.479,"C",42.425,65.254,81.857,74.545
"N",51.672,51.829,56,66.329,"Class1",42.736,"I",48.942,77.662,71.957,19.385
"D",45.149,50.06,55,77.383,"Class1",49.872,"C",32.816,80.682,86.172,70.529
"T",65.563,52.723,52,78.903,"Class1",27.837,"X",57.528,79.214,88.335,46.24
"U",45.591,25.99,44,22.81,"Class2",52.729,"Q",26.271,88.137,15.234,19.033
"G",34.542,12.188,64,32.672,"Class3",50.272,"E",59.015,45.494,55.886,76.499
"H",50.133,31.623,31,49.446,"Class2",69.28,"X",12.915,86.052,8.973,23.479
"G",34.09,10.687,64,22.67,"Class3",53.382,"L",49.972,79.524,11.179,70.336
"G",48.032,52.157,56,53.127,"Class1",28.576,"X",20.879,48.242,90.633,62.809
"O",35.921,16.778,59,25.01,"Class3",49.2,"E",49.143,71.163,84.339,86.404
"Z",48.293,34.387,29,98.4,"Class2",69.687,"L",36.319,85.539,15.794,17.792
"S",35.769,21.822,68,21.229,"Class3",52.496,"E",56.379,39.538,65.503,63.597
"A",33.762,19.983,70,28.212,"Class3",50.32,"X",46.079,62.418,75.726,61.908
"B",34.524,17.139,64,33.552,"Class3",47.88,"G",46.235,52.996,30.713,76.634
"S",36.151,15.641,66,12.6,"Class3",54.456,"R",52.176,32.849,84.057,65.309
"N",43.232,51.148,56,56.87,"Class1",-2.848,"D",32.616,23.963,71.704,49.491
"C",51.256,52.08,55,59.13,"Class1",55.219,"I",71.328,54.851,74.017,35.132
"T",59.887,51.981,55,64.681,"Class1",6.583,"X",55.344,82.985,70.319,47.443
"N",46.8,29.407,30,31.388,"Class2",83.635,"C",24.512,73.203,10.903,23.109
"U",43.052,70.153,38,64.631,"Class2",87.326,"L",36.189,88.134,2.064,21.798
"S",34.729,17.16,60,20.462,"Class3",41.779,"L",54.515,84.548,48.573,71.091
"O",34.164,14.81,61,45.423,"Class3",45.24,"G",51.369,77.453,89.721,63.151
"G",27.485,52.024,56,75.732,"Class1",17.06,"I",56.526,81.228,86.953,32.705
"H",49.923,53.89,37,23.326,"Class2",46.464,"L",45.619,88.804,4.17,20.726
"A",35.439,13.389,61,21.793,"Class3",58.067,"G",51.888,35.799,82.71,94.579
"G",47.57,51.341,52,47.22,"Class1",18.322,"P",40.507,5.612,74.684,47.749
"G",40.834,51.851,53,80.369,"Class1",44.196,"X",26.45,44.092,77.173,44.273
"G",34.614,22.055,67,13.394,"Class3",54.407,"R",55.14,31.703,65.902,79.642
"D",50.679,63.844,36,25.539,"Class2",59.044,"X",17.406,78.349,15.687,24.289
"D",44.085,60.32,42,55.782,"Class2",55.703,"L",38.137,71.182,4.901,20.547
"Z",50.271,53.718,34,104.179,"Class2",61.221,"Q",14.727,76.226,6.441,25.686
"G",65.315,50.847,56,56.302,"Class1",8.736,"C",14.205,14.134,68.555,20.283
"D",43.28,35.575,33,15.469,"Class2",69.126,"L",42.065,83.018,15.971,24.304
"T",31.911,51.964,54,75.529,"Class1",40.54,"C",5.338,11.518,68.952,65.566
"C",56.608,51.944,52,50.748,"Class1",29.991,"P",15.164,65.755,84.924,42.991
"T",54.45,52.053,52,85.833,"Class1",31.665,"C",63.726,4.739,80.836,77.243
"Z",42.687,27.686,29,39.077,"Class2",87.922,"A",28.699,73.234,9.963,19.402
"D",37.182,52.571,57,59.578,"Class1",49.539,"P",76.409,31.245,86.399,43.641
"D",50.386,52.602,56,74.986,"Class1",34.148,"C",34.148,49.996,86.281,80.722
"H",49.877,69.608,40,18.493,"Class2",66.991,"X",38.518,88.652,3.619,21.788
"G",36.666,11.798,70,32.98,"Class3",37.982,"E",51.631,48.828,44.811,79.118
"U",47.688,28.891,27,46.606,"Class2",64.257,"A",26.623,76.868,15.349,22.215
"N",64.07,52.239,56,68.01,"Class1",55.365,"X",46.462,49.671,68.709,61.941
"D",47.852,55.67,39,46.693,"Class2",52.678,"X",47.989,87.688,7.951,22.641
"U",44.82,60.447,40,63.455,"Class2",75.035,"Q",46.362,81.783,13.719,22.117
"D",46.614,50.159,54,73.726,"Class1",35.422,"I",5.801,4.648,84.079,36.832
"D",43.165,50.832,57,81.669,"Class1",27.9,"X",69.864,76.597,91.91,16.653
"N",66.874,52.767,54,73.82,"Class1",29.136,"X",48.314,66.193,71.109,42.815
"S",34.291,8.961,70,21.088,"Class3",43.618,"E",55.261,31.442,25.655,72.059
"D",46.084,41.121,34,16.964,"Class2",16.265,"L",41.959,70.6,3.537,19.883
"G",65.649,52.578,52,57.276,"Class1",38.951,"C",8.053,33.952,85.383,42.072
"Z",46.767,42.653,40,33.927,"Class2",42.548,"X",23.232,76.06,12.613,NA
"G",43.381,51.654,55,75.237,"Class1",19.218,"C",39.388,18.884,79.521,13.601
"C",75.474,52.866,53,50.079,"Class1",8.84,"X",39.607,22.828,74.752,48.289
"G",56.817,52.995,52,41.771,"Class1",26.735,"D",50.273,21.609,71.689,42.489
"T",48.419,50.956,55,52.642,"Class1",20.575,"D",26.568,82.382,68.049,34.612
"D",44.712,68.821,36,29.921,"Class2",76.651,"Q",NA,76.781,13.047,19.684
"U",45.205,43.755,40,34.711,"Class2",42.939,"A",22.909,70.344,3.2,17.859
"H",44.639,40.213,33,111.14,"Class2",83.616,"L",32.911,74.386,9.675,20.615
"N",42.949,55.123,42,78.882,"Class2",67.15,"X",34.145,82.646,10.917,24.502
"S",36.134,15.136,59,28.758,"Class3",52.866,"L",50.632,79.6,65.551,78.058
"T",49.824,51.148,57,69.559,"Class1",20.399,"I",36.536,46.97,91.316,65.308
"Z",47.22,66.515,36,51.675,"Class2",87.381,"A",NA,81.787,13.446,21.62
"O",36.187,9.187,61,43.64,"Class3",54.549,"X",47.535,62.188,20.66,88.088
"N",44.072,55.481,36,28.438,"Class2",56.582,"Q",39.648,84.389,4.522,22.362
"T",50.574,50.646,53,72.207,"Class1",29.637,"X",46.471,9.511,92.42,43.615
"G",35.582,22.062,64,14.16,"Class3",39.949,"L",47.294,90.214,51.261,99.224
"H",42.442,29.674,39,32.256,"Class2",59.225,"C",14.198,87.645,3.906,16.41
"G",26.924,52.688,51,67.61,"Class1",31.005,"D",60.472,83.839,73.752,53.017
"B",34.399,17.259,64,17.111,"Class3",50.244,"G",53.024,64.212,73.345,70.425
"G",44.77,50.851,51,57.831,"Class1",-5.027,"C",NA,67.572,83.077,64.813
"D",48.485,25.526,29,62.442,"Class2",43.044,"A",34.739,74.004,2.751,24.453
"U",52.096,52.025,39,45.383,"Class2",57.474,"L",21.738,81.287,11.894,20.604
"Z",50.776,56.041,40,48.135,"Class2",79.052,"X",42.613,74.91,2.687,23.218
"O",35.013,16.489,65,31.44,"Class3",53.996,"X",54.299,25.571,50.001,85.87
"A",34.871,20.886,65,22.014,"Class3",43.85,"L",55.28,63.798,22.792,56.377
"H",49.004,38.48,27,50.675,"Class2",79.79,"C",31.295,72.623,5.575,22.007
"B",36.07,14.732,64,26.871,"Class3",53.495,"G",51.142,59.218,42.685,78.33
"Z",46.074,63.962,34,-1.134,"Class2",31.866,"X",19.904,78.124,15.477,17.258
"G",54.384,52.344,52,53.263,"Class1",23.029,"D",38.6,50.998,85.388,63.374
"B",34.999,7.145,69,30.417,"Class3",33.554,"R",59.01,37.482,37.554,78.285
"G",35.664,16.276,71,27.06,"Class3",45.529,"R",56.049,79.882,30.583,79.505
"D",64.547,52.985,54,49.536,"Class1",8.982,"D",77.466,77.313,77.611,32.856
"G",35.045,16.134,66,33.729,"Class3",44.258,"G",46.919,85.423,42.771,71.516
"N",46.176,67.921,35,24.506,"Class2",62.297,"C",16.809,71.906,8.772,23.754
"O",35.53,7.704,66,17.771,"Class3",52.775,"G",57.019,83.724,85.935,60.592
"N",50.554,50.531,56,60.409,"Class1",25.388,"P",14.559,31.342,88.709,30.455
"B",33.782,18.816,68,29.615,"Class3",48.915,"R",59.221,29.948,56.487,87.525
"B",34.441,11.89,61,21.819,"Class3",43.898,"X",52.007,66.904,22.565,79.307
"O",35.439,20.463,59,31.439,"Class3",52.341,"R",60.034,52.362,14.868,70.953
"U",46.106,43.615,28,68.765,"Class2",72.723,"X",40.032,78.486,2.984,24.323
"U",49.232,59.065,44,54.786,"Class2",79.378,"A",47.223,78.983,7.322,26.903
"S",34.539,17.254,68,29.005,"Class3",49.905,"G",50.061,42.767,12.08,80.702
"C",51.446,51.444,54,65.226,"Class1",34.147,"D",13.461,21.777,91.272,61.287
"C",39.534,51.816,57,72.927,"Class1",35.305,"D",56.122,56.884,91.618,82.284
"N",45.646,48.502,33,33.165,"Class2",46.203,"L",40.13,86.901,10.326,21.534
"O",35.102,15.358,65,28.829,"Class3",59.666,"E",48.355,86.033,36.959,73.977
"N",46.908,68.665,43,47.971,"Class2",49.831,"L",16.149,74.675,11.155,20.508
"D",44.264,26.794,38,9.222,"Class2",57.095,"L",40.634,79.273,7.146,20.269
"A",34.318,13.416,61,18.854,"Class3",58.796,"L",57.875,71.697,2.458,80.306
"U",47.116,62.904,30,60.019,"Class2",104.044,"L",18.284,86.675,16.261,19.302
"U",46.088,38.492,40,104.431,"Class2",71.295,"L",14.164,75.973,10.215,18.504
"A",34.051,6.034,70,45.353,"Class3",41.278,"G",53.704,29.381,41.806,64.911
"N",49.538,31.07,41,42.919,"Class2",75.86,"A",21.301,73.853,12.01,20.092
"Z",50.783,71.262,40,30.883,"Class2",34.922,"L",46.434,81.444,6.055,18.292
"O",34.127,22.537,64,30.333,"Class3",48.896,"R",59.448,56.823,64.71,91.937
"N",55.794,52.247,54,68.554,"Class1",46.045,"X",70.412,16.474,73.509,60.776
"B",35.464,23.43,67,9.711,"Class3",57.443,"R",46.971,64.379,4.459,102.788
"D",43.991,35.424,39,69.738,"Class2",83.591,"C",43.898,82.986,11.03,22.156
"A",36.008,16.756,61,14.987,"Class3",42.061,"R",55.752,88.239,54.966,73.626
"D",61.393,51.879,55,64.302,"Class1",30.925,"P",14.453,51.201,67.183,57.347
"G",34.169,12.794,62,24.375,"Class3",57.396,"X",56.701,61.402,41.433,84.546
"C",30.218,50.594,53,57.639,"Class1",24.539,"I",22.953,27.564,84.444,54.68
"Z",42.917,48.317,35,69.029,"Class2",48.637,"L",27.546,83.824,11.579,23.038
"C",64.692,52.2,56,64.284,"Class1",15.952,"D",25.216,88.304,90.829,NA
"A",34.59,6.95,69,34.998,"Class3",49.996,"E",50.348,48.729,11.164,96.266
"Z",46.372,66.835,34,64.036,"Class2",72.088,"C",44.192,81.445,13.681,21.108
"D",61.799,52.483,57,77.471,"Class1",35.847,"I",63.414,22.359,80.087,18.207
"G",31.33,52.984,52,79.513,"Class1",42.396,"C",58.248,7.483,72.265,64.439
"Z",53.656,67.117,27,-21.05,"Class2",54.183,"L",22.33,79.043,6.232,22.411
"H",46.211,36.549,34,40.755,"Class2",83.733,"C",31.946,72.799,5.99,21.227
"D",56.216,51.332,55,52.874,"Class1",33.325,"I",12.776,47.26,71.365,68.071
"U",49.192,66.784,35,49.845,"Class2",48.732,"A",33.613,81.512,4.016,20.672
"B",34.738,7.064,62,29.842,"Class3",47.318,"L",46.201,62.384,15.868,83.902
"B",35.643,15.951,69,16.341,"Class3",60.916,"G",52.249,74.783,46.591,91.111
"C",58.346,52.336,57,78.308,"Class1",39.804,"X",3.216,80.405,85.72,92.399
"N",51.628,50.538,55,83.845,"Class1",14.424,"P",13.711,62.495,71.221,71.906
"S",34.78,23.529,62,19.472,"Class3",56.97,"X",51.93,79.582,68.479,74.439
"S",35.232,9.675,70,30.205,"Class3",59.037,"R",50.657,39.259,32.753,NA
"O",35.084,9.849,69,31.037,"Class3",55.824,"X",59.596,86.254,56.985,73.394
"Z",48.29,51.736,41,-13.715,"Class2",66.79,"Q",15.457,74.944,13.933,21.297
"A",35.429,21.261,67,43.218,"Class3",53.931,"R",53.668,75.85,12.24,66.971
"O",34.389,16.058,65,18.474,"Class3",47.761,"L",51.418,85.552,71.63,62.278
"D",43.805,68.536,31,-11.43,"Class2",62.158,"L",24.34,80.078,9.869,17.559
"U",45.759,45.607,43,30.141,"Class2",65.355,"X",22.319,72.518,7.2,19.197
"G",42.851,52.645,53,85.546,"Class1",20.651,"X",28.004,77.149,71.882,37.241
"U",46.268,64.508,35,114.709,"Class2",92.002,"X",16.583,78.847,13.604,23.112
"U",45.196,55.469,36,39.831,"Class2",84.467,"Q",15.425,88.685,8.848,22.626
"Z",44.488,50.437,35,48.659,"Class2",76.934,"Q",30.382,71.379,16.421,17.282
"D",49.048,37.664,31,50.08,"Class2",60.186,"L",40.762,82.437,3.619,15.279
"S",35.557,12.16,69,24.036,"Class3",42.07,"R",56.409,85.098,63.226,79.272
"N",47.031,55.481,30,26.614,"Class2",48.874,"X",26.705,71.282,8.142,19.233
"C",63.576,51.365,51,61.041,"Class1",9.952,"D",16.39,51.358,70.65,66.857
"T",39.836,50.51,51,57.941,"Class1",7.643,"I",76.555,82.566,79.231,49.537
"B",34.389,10.574,61,21.003,"Class3",44.727,"R",49.429,76.426,70.205,97.211
"D",45.008,69.05,39,14.627,"Class2",78.701,"A",19.125,84.883,8.335,23.05
"T",68.503,51.077,56,78.539,"Class1",4.538,"C",67.484,80.937,79.425,42.212
"B",34.65,7.862,63,34.219,"Class3",38.302,"R",52.408,89.185,35.067,64.659
"U",45.849,33.835,39,74.598,"Class2",60.495,"A",44.021,74.691,6.543,24.43
"D",46.359,25.078,43,52.689,"Class2",23.977,"C",NA,81.827,11.172,26.74
"A",34.162,23.503,70,23.835,"Class3",44.795,"L",56.272,63.755,63.764,NA
"Z",52.459,53.994,37,54.287,"Class2",39.607,"C",26.533,87.002,13.056,22.376
"U",46.657,39.611,30,60.191,"Class2",76.899,"Q",43.319,80.442,12.339,19.784
"G",29.516,51.845,54,62.258,"Class1",51.923,"C",28.018,72.198,81.583,81.246
"D",42.995,52.127,54,80.298,"Class1",22.045,"X",43.381,24.859,76.492,60.569
"A",35.529,12.372,66,18.514,"Class3",50.743,"L",56.364,74.469,28.385,85.909
"U",49.191,67.896,44,73.48,"Class2",92.124,"A",14.306,84.547,13.916,28.977
"O",34.318,15.498,63,30.767,"Class3",38.011,"E",51.755,40.862,29.278,54.957
"C",46.341,52.443,57,69.687,"Class1",15.833,"C",2.629,16.525,91.215,43.337
"Z",46.83,34.194,44,51.215,"Class2",83.917,"Q",20.881,70.124,4.825,25.891
"S",35.232,12.85,66,32.728,"Class3",40.392,"R",55.675,54.44,84.423,91.209
"N",49.104,29.671,30,71.164,"Class2",45.554,"X",20.665,80.804,3.418,14.892
"T",42.95,50.381,56,69.056,"Class1",27.376,"D",5.647,90.198,81.737,53.152
"G",47.027,52.07,53,53.754,"Class1",31.984,"D",18.614,63.079,91.814,63.104
"S",34.649,12.569,60,22.784,"Class3",55.012,"L",51.346,92.545,21.988,74.411
"U",45.567,64.118,37,76.962,"Class2",25.922,"C",24.068,80.923,7.614,22.533
"D",61.7,51.974,52,87.972,"Class1",23.086,"C",66.938,36.398,72.764,59.688
"H",44.957,63.902,32,-0.386,"Class2",59.96,"C",39.008,72.579,6.483,18.443
"S",35.239,20.301,71,28.538,"Class3",33.409,"R",48.137,78.678,25.019,78.714
"S",35.165,17.766,63,38.232,"Class3",57.12,"X",NA,49.879,61.589,66.906
"G",34.798,10.486,69,17.348,"Class3",49.715,"G",46.242,40.799,28.154,80.315
"T",65.381,52.72,53,63.232,"Class1",10.145,"X",38.102,69.797,68.291,50.079
"B",34.923,11.385,66,28.708,"Class3",45.594,"L",57.812,54.526,39.42,69.688
"S",34.874,16.114,59,16.612,"Class3",53.058,"X",52.341,64.049,77.567,70.184
"A",34.761,15.908,66,12.749,"Class3",48.072,"G",51.859,62.072,89.279,56.295
"S",34.976,20.883,60,32.874,"Class3",49.876,"X",57.247,85.541,62.545,90.765
"T",45.63,52.438,55,35.992,"Class1",18.665,"I",66.019,85.812,72.718,52.035
"A",34.928,11.14,68,9.575,"Class3",40.618,"R",59.863,64.091,66.344,73.684
"B",36.155,5.064,69,48.898,"Class3",42.963,"X",54.946,51.673,51.684,58.924
"D",44.343,33.074,39,83.223,"Class2",78.814,"L",28.565,74.945,4.068,18.465
"N",30.626,50.209,57,54.154,"Class1",13.762,"D",39.184,83.956,86.426,80.066
"N",50.399,33.449,28,125.856,"Class2",55.386,"L",17.922,85.704,15.696,19.839
"S",35.262,11.674,71,41.446,"Class3",47.869,"R",48.542,38.414,86.316,64.418
"U",48.379,44.117,41,6.747,"Class2",70.002,"Q",23.785,75.772,14.637,16.95
"D",46.609,47.933,28,82.248,"Class2",43.975,"L",40.248,72.841,11.995,23.869
"G",34.367,22.064,70,38.604,"Class3",51.188,"R",49.331,48.446,65.375,62.592
"O",34.527,11.745,66,26.263,"Class3",50.871,"G",47.152,22.245,42.891,50.489
"N",70.914,50.432,56,58.998,"Class1",32.852,"X",54.194,28.354,91.283,56.37
"C",58.212,51.756,57,73.724,"Class1",33.029,"D",44.852,21.924,89.575,54.285
"G",35.377,6.124,63,24.25,"Class3",52.097,"G",54.471,78.566,73.396,92.745
