"RWC1","UKL2","GOX3","MNK4","QJY5","YOF6","TKP7","Output3","LKO8","RGK9"
53.864,61.405,73.648,58.287,"U",55,19.555,"Class1",26.437,91.292
21.219,35.357,54.832,68.538,"K",18,86.376,"Class2",22.253,61.009
53.613,62.683,46.458,48.048,"I",51,41.294,"Class1",17.539,82.284
28.188,17.962,25.807,3.566,"E",35,62.51,"Class3",18.576,50.112
53.925,74.547,52.456,39.649,"T",56,28.727,"Class1",14.993,76.48
27.302,6.584,60.492,35.643,"Q",24,87.288,"Class2",26.986,76.59
45.298,NA,25.697,39.235,"G",34,51.538,"Class3",17.394,57.692
31.206,33.515,53.31,-5.013,"K",11,88.069,"Class2",32.037,42.369
4.809,32.24,59.73,-2.262,"L",NA,87.051,"Class2",20.792,63.658
9.784,24.117,98.626,39.344,"W",39,85.89,"Class2",24.213,39.265
53.767,55.436,10.583,48.091,"J",53,35.147,"Class1",35.165,78.205
53.802,53.694,45.85,75.824,"F",57,34.32,"Class1",22.771,72.024
12.219,18.997,50.828,94.525,"L",28,87.589,"Class2",18.62,36.98
53.862,88.721,37.565,49.973,"F",56,17.874,"Class1",52.765,72.228
34.333,31.289,34.461,53.071,"K",37,49.11,"Class3",12.933,57.594
27.976,8.212,98.602,50.774,"P",33,85.025,"Class2",25.501,60.36
33.334,25.686,73.434,41.705,"L",15,85.418,"Class2",19.597,53.592
34.69,44.875,51.606,25.92,"P",26,85.118,"Class2",22.765,49.101
8.384,26.438,44.511,62.686,"K",41,86.372,"Class2",27.731,65.083
23.381,41.793,75.259,32.887,"L",21,88.661,"Class2",31.512,23.596
29.01,29.467,23.806,31.643,"R",36,53.215,"Class3",14.446,58.849
39.547,2.915,28.202,31.831,"K",35,47.235,"Class3",14.97,47.062
16.917,38.847,23.015,43.118,"Q",29,87.467,"Class2",32.763,79.108
53.736,58.896,40.994,30.263,"I",57,30.493,"Class1",19.375,83.169
7.482,NA,89.288,18.003,"P",16,86.945,"Class2",16.497,54.518
53.907,61.024,17.094,67.608,"T",51,14.613,"Class1",47.447,83.192
14.712,38.264,83.928,83.49,"W",24,84.943,"Class2",8.973,28.074
44.563,28.01,24.834,62.677,"K",37,53.418,"Class3",13.584,50.443
16.284,15.369,70.002,32.395,"K",26,88.346,"Class2",27.737,24.589
21.122,15.602,83.401,56.477,"W",21,87.344,"Class2",34.777,58.021
25.615,49.276,29.254,32.69,"R",36,58.381,"Class3",13.07,46.672
53.358,NA,39.193,48.473,"T",55,10.099,"Class1",44.81,86.874
53.631,62.288,67.758,50.024,"I",57,28.351,"Class1",49.01,80.392
53.393,NA,40.924,58.201,"T",51,20.852,"Class1",38.289,74.579
13.808,17.186,60.575,39.864,"L",25,87.477,"Class2",14.419,32.806
53.735,71.305,54.73,46.87,"I",53,44.179,"Class1",28.854,79.851
53.41,79.865,39.482,45.364,"I",NA,9.421,"Class1",57.802,80.851
6.458,28.087,49.116,69.614,"K",16,87.755,"Class2",28.236,56.194
18.981,39.72,23.805,53.326,"R",35,70.101,"Class3",18.487,43.604
16.367,28.292,102.756,32.267,"P",36,85.851,"Class2",19.348,54.548
53.631,75.089,70.33,51.62,"F",51,31.715,"Class1",59.893,86.062
53.402,74.88,40.769,41.622,"I",51,7.299,"Class1",41.459,73.678
26.465,35.953,74.617,47.572,"K",36,88.586,"Class2",18.418,23.373
53.492,59.195,53.083,59.924,"J",56,29.459,"Class1",58.037,85.647
53.709,51.666,57.621,63.321,"T",52,53.36,"Class1",14.306,78.339
14.31,11.981,66.576,38.208,"L",26,88.442,"Class2",31.364,59.34
36.323,44.706,83.367,11.119,"W",41,85.603,"Class2",25.675,74.921
19.067,-4.451,20.967,20.425,"X",34,60.024,"Class3",15.144,56.201
53.376,65.223,6.18,49.269,"T",57,38.306,"Class1",36.582,74.122
53.036,62.791,20.699,39.599,"I",53,42.041,"Class1",15.573,75.267
9.791,33.024,54.062,6.661,"Q",22,88.001,"Class2",20.083,59.084
28.107,21.551,20.949,32.549,"X",37,52.467,"Class3",15.043,43.503
53.55,75.131,62.294,51.55,"F",51,35.962,"Class1",35.565,79.865
36.208,20.498,68.218,19.107,"K",31,85.782,"Class2",22.344,54.788
53.962,NA,34.597,41.555,"U",57,30.297,"Class1",39.252,89.191
32.827,49.837,48.505,5.951,"K",11,84.663,"Class2",32.612,78.813
53.131,52.844,38.335,47.858,"T",54,32.024,"Class1",48.292,87.277
51.539,39.033,19.545,70.939,"K",34,53.349,"Class3",18.647,53.363
6.035,42.505,41.95,2.881,"K",29,87.131,"Class2",14.256,74.625
21.153,46.989,50.465,87.275,"K",16,86.286,"Class2",30.688,64.716
23.647,19.516,21.342,30.665,"E",37,53.249,"Class3",16.805,51.615
53.175,77.387,47.465,45.406,"T",54,55.13,"Class1",23.035,91.652
48.328,64.265,24.478,58.806,"G",37,60.298,"Class3",11.569,51.665
32.113,30.016,66.691,52.881,"K",18,86.403,"Class2",23.186,55.221
20.667,20.712,31.182,2.496,"R",36,50.507,"Class3",15.448,43.733
53.386,68.044,57.384,54.974,"J",56,25.105,"Class1",41.988,82.917
34.859,35.318,38.596,62.497,"K",21,86.603,"Class2",7.217,79.553
17.347,4.951,66.559,76.809,"P",11,86.278,"Class2",17.736,42.034
38.579,20.359,28.564,47.224,"K",34,55.81,"Class3",13.394,54.842
53.054,65.791,64.988,41.453,"I",56,21.447,"Class1",57.135,77.531
17.419,24.917,62.182,33.708,"P",38,86.234,"Class2",7.298,30.804
53.912,49.092,21.608,59.561,"T",51,33.246,"Class1",51.947,73.906
53.219,62.956,16.618,46.042,"J",53,29.253,"Class1",44.917,74.731
4.482,27.232,42.041,46.875,"K",15,88.339,"Class2",20.948,33.102
18.594,11.382,30.898,53.313,"R",34,57.237,"Class3",15.054,43.298
25.686,24.33,77.487,54.798,"K",18,87.311,"Class2",19.76,45.578
24.462,31.701,21.753,27.107,"X",37,65.095,"Class3",11.032,53.411
53.034,57.454,36.501,42.149,"T",50,34.444,"Class1",18.316,89.823
48.623,16.307,23.602,62.691,"R",37,71.311,"Class3",19.793,56.424
22.995,-23.083,25.029,34.99,"G",36,56.425,"Class3",15.98,44.261
53.07,47.582,39.215,58.103,"I",50,28.03,"Class1",33.738,86.195
43.677,NA,33.737,44.263,"G",36,53.902,"Class3",14.213,58.028
53.339,67.461,52.208,19.716,"F",56,51.639,"Class1",19.294,85.417
53.002,60.287,66.156,46.789,"T",50,46.805,"Class1",54.565,83.703
18.6,26.303,37.447,35.119,"G",36,52.706,"Class3",11.587,44.211
53.363,52.67,39.084,50.735,"U",51,49.296,"Class1",20.937,78.213
50.434,24.965,13.524,20.601,"K",37,55.366,"Class3",13.098,50.299
26.999,36.783,73.893,60.327,"W",26,86.674,"Class2",19.118,69.545
25.064,24.497,33.043,35.204,"G",37,50.789,"Class3",15.403,53.457
43.046,-0.808,31.308,22.186,"G",36,62.79,"Class3",13.331,59.43
53.909,76.095,53.234,47.914,"T",56,22.044,"Class1",57.131,73.371
33.893,12.61,14.145,53.051,"X",35,53.704,"Class3",17.475,50.798
53.86,60.618,62.613,44.745,"J",51,31.79,"Class1",22.652,79.17
53.733,71.831,38.704,51.328,"F",50,32.887,"Class1",28.164,84.197
27.974,22.765,36.79,13.455,"R",34,56.756,"Class3",13.334,46.237
53.266,78.79,51.523,55.934,"I",55,30.283,"Class1",18.864,86.024
53.842,53.883,70.742,49.622,"I",54,-5.798,"Class1",48.178,72.023
41.894,5.655,34.152,46.976,"R",35,51.458,"Class3",15.565,43.303
53.974,55.516,42.248,46.189,"U",54,31.462,"Class1",29.619,72.651
53.977,56.142,8.212,43.109,"F",54,58.097,"Class1",14.585,80.467
53.967,58.767,29.103,45.033,"J",53,29.243,"Class1",45.239,79.359
46.235,37.336,25.184,50.588,"G",34,48.679,"Class3",15.953,50.78
43.639,5.611,29.437,23.9,"K",34,55.163,"Class3",19.184,47.606
38.325,37.933,32.706,38.355,"E",37,59,"Class3",17.532,57.298
44.794,20.309,11.704,46.821,"K",34,52.866,"Class3",13.02,43.053
53.978,50.795,35.518,73.749,"F",50,18.726,"Class1",17.17,76.243
43.93,22.596,19.711,41.819,"G",35,53.738,"Class3",14.959,52.344
53.065,50.749,41.457,28.033,"F",56,41.156,"Class1",58.396,73.614
36.236,9.793,49.233,53.183,"W",31,88.689,"Class2",23.741,47.745
33.22,36.538,92.987,47.051,"Q",15,87.288,"Class2",7.568,31.923
53.585,39.043,34.052,42.229,"U",51,30.517,"Class1",22.783,87.322
6.108,33.562,83.046,18.551,"L",27,85.02,"Class2",15.32,29.867
53.716,77.433,38.609,48.341,"J",NA,44.036,"Class1",35.169,83.571
50.35,NA,16.713,25.371,"G",34,59.465,"Class3",15.944,55.056
53.07,65.365,47.088,82.84,"T",50,40.189,"Class1",56.126,74.456
53.875,62.306,35.643,65.83,"J",55,60.436,"Class1",57.5,75.062
53.954,63.489,74.592,54.561,"I",56,37.567,"Class1",37.715,75.644
33.869,34.032,18.817,84.38,"R",37,57.284,"Class3",16.163,50.122
21.403,48.634,43.458,51.528,"L",24,83.922,"Class2",32.281,27.061
11.524,18.342,83.326,30.604,"P",29,83.579,"Class2",17.485,80.343
36.944,19.651,7.843,28.455,"K",34,53.891,"Class3",18.673,57.829
7.205,22.471,55.15,56.251,"W",24,86.234,"Class2",29.943,78.101
53.549,65.927,34.515,40.692,"I",NA,49.148,"Class1",18.549,76.201
53.414,47.717,31.001,41.508,"T",50,29.516,"Class1",30.639,78.687
6.61,30.735,57.819,33.406,"K",30,86.997,"Class2",33.49,58.255
21.927,17.92,40.376,9.437,"Q",23,86.576,"Class2",32.156,79.4
13.282,46.602,93.619,13.468,"P",29,86.468,"Class2",29.04,60.109
12.775,20.913,61.521,77.861,"P",26,87.255,"Class2",17.064,33.82
32.063,41.112,79.462,37.308,"Q",22,85.285,"Class2",27.34,65.247
53.58,NA,39.416,66.92,"F",51,48.386,"Class1",56.23,75.545
53.785,43.987,75.567,44.246,"J",57,51.65,"Class1",49.591,79.128
53.008,84.295,52.124,34.249,"J",52,31.273,"Class1",37.633,80.52
53.87,60.946,29.56,37.275,"J",52,8.858,"Class1",55.012,85.402
5.533,43.833,70.812,44.559,"Q",20,86.65,"Class2",25.001,58.008
4.479,45.899,60.402,-11.135,"P",40,86.089,"Class2",34.821,75.806
12.678,29.677,77.134,12.058,"P",10,86.096,"Class2",17.664,40.127
42.597,11.718,28.866,38.785,"X",35,49,"Class3",19.698,58.742
30.743,18.303,69.306,138.681,"W",38,86.037,"Class2",18.785,59.03
36.282,52.605,73.846,25.349,"P",NA,85.873,"Class2",26.922,39.986
23.065,23.926,26.283,36.373,"K",35,57.322,"Class3",11.229,59.923
21.461,25.997,25.877,21.766,"E",37,51.766,"Class3",15.149,50.067
53.326,45.539,13.385,64.027,"F",53,28.702,"Class1",51.34,72.008
13.46,14.279,88.078,54.356,"W",41,85.604,"Class2",25.489,25.248
28.344,35.239,70.506,33.116,"L",17,83.241,"Class2",26.65,51.229
14.314,22.48,54.055,37.98,"W",36,86.247,"Class2",10.691,50.825
53.206,65.215,42.763,50.466,"J",57,29.423,"Class1",46.66,89.892
38.948,21.432,26.256,2.241,"X",35,52.374,"Class3",11.161,56.688
26.912,34.036,61.671,26.084,"W",30,86.721,"Class2",9.103,60.779
7.868,3.777,56.188,46.984,"K",25,86.527,"Class2",13.947,70.969
35.342,53.685,65.199,69.102,"P",26,88.101,"Class2",27.221,44.617
20.598,38.185,57.437,79.292,"L",33,87.709,"Class2",23.128,25.219
30.123,12.454,15.821,44.962,"R",34,54.115,"Class3",19.196,48.248
11.468,39.303,57.25,18.682,"Q",39,85.24,"Class2",9.568,37.702
53.035,64.328,45.685,58.818,"U",56,43.03,"Class1",27.809,87.371
46.172,8.431,30.368,47.823,"E",35,56.016,"Class3",14.929,50.097
53.81,52.02,27.322,54.774,"T",55,16.333,"Class1",40.135,80.173
30.98,37.577,37.539,31.51,"G",37,55.253,"Class3",13.295,59.967
27.966,39.813,64.656,72.886,"Q",27,87.002,"Class2",11.484,70.943
53.005,52.261,30.08,40.34,"J",57,29.007,"Class1",21.477,77.559
10.759,15.999,73.559,26.257,"P",26,87.886,"Class2",12.962,23.094
27.42,37.961,30.76,57.409,"K",35,51.113,"Class3",19.114,57.565
30.077,26.454,24.22,51.134,"X",36,58.217,"Class3",19.785,43.603
53.493,52.796,98.631,73.844,"I",53,30.949,"Class1",29.144,77.145
42.912,44.055,36.323,54.799,"X",34,58.75,"Class3",11.051,50.813
12.633,8.77,50.196,20.524,"Q",26,85.681,"Class2",24.954,86.308
35.504,NA,27.616,72.499,"R",35,57.148,"Class3",16.671,44.082
53.695,85.274,24.799,68.364,"U",55,51.799,"Class1",30.301,91.951
53.29,80.125,29.403,44.62,"T",53,38.023,"Class1",54.552,77.885
20.455,13.052,25.655,28.891,"K",34,60.435,"Class3",16.888,59.528
31.234,34.321,63.315,35.973,"P",28,86.867,"Class2",15.619,25.564
18.833,21.809,30.146,14.549,"K",34,58.645,"Class3",11.841,59.485
8.465,25.249,86.499,68.524,"W",12,85.866,"Class2",9.414,47.791
29.642,30.867,33.876,22.695,"G",35,59.016,"Class3",13.468,55.333
53.559,83.707,82.539,44.49,"I",55,43.444,"Class1",25.834,90.842
27.288,26.478,32.664,63.493,"K",37,56.103,"Class3",15.701,58.694
34.018,NA,68.388,56.666,"Q",20,89.007,"Class2",23.859,76.441
27.846,38.51,30.521,41.673,"L",32,87.041,"Class2",32.05,64.153
42.956,23.757,37.432,2.432,"G",37,53.803,"Class3",13.422,58.978
39.066,44.599,23.98,51.191,"G",36,62.479,"Class3",14.238,47.063
25.761,27.259,70.163,48.82,"K",11,85.009,"Class2",19.501,81.599
51.188,21.294,33.48,29.086,"K",35,56.463,"Class3",17.46,59.07
8.581,34.376,28.814,55.662,"L",40,87.824,"Class2",12.477,43.635
53.365,61.94,46.98,44.016,"U",53,43.917,"Class1",50.212,91.303
53.542,64.067,30.504,50.377,"U",55,12.308,"Class1",51.269,83.754
29.819,44.744,29.435,6.603,"K",34,52.609,"Class3",11.429,56.326
48.125,4.225,19.732,29.867,"E",35,48.257,"Class3",14.035,53.08
53.334,52.149,30.634,45.563,"F",57,40.061,"Class1",48.171,78.29
44.713,13.088,29.868,29.47,"E",35,48.584,"Class3",14.769,58.576
26.584,25.76,25.377,32.248,"E",37,58.335,"Class3",18.773,55.863
53.219,52.307,31.655,43.358,"U",55,46.594,"Class1",27.82,86.563
34.711,4.505,30.04,13.1,"X",34,55.08,"Class3",18.581,47.423
11.245,NA,70.27,14.217,"W",19,84.741,"Class2",27.914,21.654
53.792,80.693,45.906,50.035,"F",56,49.701,"Class1",27.453,88.446
53.448,75.479,56.744,63.521,"U",53,21.255,"Class1",25.018,88.71
53.635,74.681,21.272,55.007,"U",54,40.979,"Class1",57.13,81.244
39.878,9.623,16.15,73.38,"E",34,57.389,"Class3",18.08,51.88
24.458,41.534,85.629,19.577,"K",33,88.275,"Class2",8.883,38.909
53.692,67.171,48.082,49.924,"T",55,36.47,"Class1",17.617,80.922
18.598,NA,71.32,62.771,"Q",35,86.409,"Class2",19.901,54.944
29.385,29.146,29.2,35.971,"R",36,50.053,"Class3",17.344,55.097
33.94,31.395,78.424,57.171,"Q",11,87.221,"Class2",17.58,63.438
38.511,18.315,36.126,62.323,"R",36,56.707,"Class3",12.808,57.15
32.24,26.443,23.432,43.021,"E",34,48.621,"Class3",18.323,45.959
46.306,22.083,30.698,21.878,"R",36,47.824,"Class3",16.868,51.333
14.026,34.918,48.361,34.442,"Q",38,89.458,"Class2",24.215,79.176
13.491,41.565,53.46,56.967,"W",11,86.154,"Class2",18.232,64.12
53.053,57.404,82.056,51.842,"U",53,30.003,"Class1",39.944,87.119
36.299,36.211,24.869,60.347,"X",34,68.427,"Class3",17.646,52.944
22.636,23.525,76.485,71.384,"L",30,84.933,"Class2",26.014,35.034
53.289,55.99,72.388,61.296,"F",56,43.81,"Class1",27.913,72.072
28.239,-5.742,27.834,47.349,"R",36,49.756,"Class3",12.534,49.891
28.004,53,30.37,61.628,"R",37,53.321,"Class3",13.189,48.709
33.926,-0.76,16.51,23.611,"E",35,51.79,"Class3",19.709,46.311
29.492,30.811,23.32,33.992,"G",34,52.293,"Class3",13.752,48.7
22.719,27.878,63.017,2.446,"K",38,88.797,"Class2",26.309,40.37
53.44,49.944,45.737,32.006,"T",51,53.83,"Class1",19.524,88.326
42.413,3.729,34.298,33.568,"R",37,52.227,"Class3",13.094,55.678
17.289,23.533,46.412,124.787,"P",33,87.133,"Class2",19.548,47.941
30.486,15.793,32.697,41.09,"G",37,57.502,"Class3",18.328,43.415
27.723,2.053,62.558,31.664,"W",32,86.359,"Class2",32.215,77.894
4.836,31.103,67.97,38.955,"P",25,86.348,"Class2",15.359,22.659
53.443,59.564,25.772,57.376,"J",56,34.946,"Class1",50.823,73.223
24.471,28.999,29.782,29.866,"R",NA,49.407,"Class3",15.953,43.326
17.402,25.141,60.549,45.54,"P",38,86.915,"Class2",12.372,38.16
25.466,53.049,23.817,21.131,"G",36,62.532,"Class3",19.439,50.976
53.856,64.118,35.691,47.616,"T",51,38.456,"Class1",46.53,80.334
24.372,48.797,89.534,67.648,"L",24,88.833,"Class2",20.75,78.304
30.732,12.884,36.413,59.515,"E",37,62.311,"Class3",13.65,54.767
21.372,33.977,28.634,32.821,"K",35,64.321,"Class3",13.958,45.399
53.676,66.917,57.186,42.784,"F",56,26.264,"Class1",14.586,82.603
37.509,49.388,24.236,58.38,"G",35,57.832,"Class3",11.456,57.095
38.521,24.908,35.19,62.919,"X",37,63.838,"Class3",16.459,47.604
39.267,63.841,27.874,36.413,"X",37,54.05,"Class3",18.631,53.529
53.951,73.121,30.705,28.315,"J",50,31.343,"Class1",38.73,72.518
22.796,NA,84.29,41.072,"K",38,87.151,"Class2",21.385,31.711
53.659,68.757,71.395,30.574,"J",51,15.848,"Class1",26.943,90.261
9.302,39.227,83.256,24.48,"W",29,87.489,"Class2",8.321,59.234
35.215,31.104,49.895,34.62,"P",20,89.208,"Class2",20.886,38.921
28.747,25.223,38.331,44.232,"E",34,55.917,"Class3",18.719,58.364
53.763,53.963,25.243,51.52,"F",56,57.216,"Class1",49.163,84.51
14.323,33.514,50.525,51.013,"K",16,87.341,"Class2",32.511,37.817
30.565,21.429,37.713,11.285,"K",12,86.431,"Class2",20.547,86.141
53.006,57.743,52.185,23.904,"I",NA,22.721,"Class1",33.434,84.572
11.952,26.58,95.352,82.824,"W",28,86.177,"Class2",18.271,54.74
53.712,55.101,43.801,29.396,"U",56,55.456,"Class1",43.118,86.972
27.865,36.701,35.581,39.763,"K",35,61.297,"Class3",19.495,57.633
53.236,72.793,63.591,28.377,"I",54,29.167,"Class1",22.303,74.437
37.051,6.967,20.641,67.407,"K",37,47.116,"Class3",11.166,49.431
53.843,80.044,65.169,46.257,"I",55,29.322,"Class1",20.286,85.352
33.112,16.331,25.504,53.929,"G",37,51.671,"Class3",12.893,43.476
