"QWE1","UFS2","XRO3","RPX4","QFI5","IBH6","RUJ7","GBR8","GWJ9","Output10","AZU10","GOC11"
26.504,"F","K",32.684,14.532,28.638,67.397,69.866,28,"Class1",41.758,76
63.543,"L","Z",34.375,24.373,35.191,25.852,60.719,29,"Class1",52.674,66
86.942,"L","Q",41.934,64.098,46.046,55.186,42.835,41,"Class2",64.948,90
68.73,"A","U",74.869,40.684,43.206,44.541,26.491,18,"Class3",76.269,62
65.785,"Z","N",65.452,61.299,56.654,53.975,20.114,36,"Class2",55.21,86
69.582,"T","O",32.638,61.951,57.16,62.519,55.239,40,"Class2",56.382,88
27.777,"T","N",75.261,57.321,43.571,38.63,80.22,39,"Class2",48.993,79
29.004,"Q","S",26.72,33.845,31.171,51.525,44.868,52,"Class1",43.758,76
46.082,"B","P",27.778,32.997,33.464,14.321,30.661,34,"Class1",46.042,81
64.078,"L","P",67.236,63.165,18.541,45.269,10.909,75,"Class3",69.353,30
54.434,"F","P",32.223,30.827,44.348,55.49,28.7,34,"Class1",46.231,92
17.134,"I","S",34.961,65.687,58.612,52.846,90.589,35,"Class2",64.813,84
46.889,"L","R",61.008,51.509,13.846,43.835,15.884,20,"Class3",70.231,32
69.227,"A","U",80.391,52.659,27.545,44.927,37.244,72,"Class3",62.444,29
20.143,"I","N",73.235,54.917,54.164,40.471,66.588,38,"Class2",42.478,NA
74.202,"M","R",72.767,59.243,28.055,50.133,33.631,45,"Class3",57.184,51
51.242,"Z","Y",50.416,58.966,58.766,63.141,76.724,35,"Class2",47.082,94
20.947,"I","Q",58.919,61.179,45.308,47.16,29.214,36,"Class2",58.413,87
75.354,"B","R",82.388,51.543,49.016,43.204,24.54,54,"Class3",64.003,9
20.745,"Q","K",30.425,31.275,40.679,29.723,31.799,51,"Class1",48.78,82
24.161,"B","S",33.324,24.542,21.128,44.231,29.418,35,"Class1",52.603,80
59.741,"M","F",57.453,57.768,68.506,49.492,7.984,24,"Class3",55.75,NA
26.298,"F","C",28.241,8.814,40.439,33.206,57.662,44,"Class1",37.199,66
50.573,"L","S",26.792,5.839,25.751,42.89,56.899,38,"Class1",43.772,71
60.984,"L","P",26.203,9.268,36.02,56.826,63.927,55,"Class1",30.385,73
63.243,"M","P",49.676,55.635,32.997,44.698,34.035,55,"Class3",64.363,56
58.848,"F","N",59.729,61.838,64.11,-10.085,25.453,41,"Class2",45.431,90
11.649,"Z","O",51.067,55.728,59.035,65.167,14.768,41,"Class2",78.497,88
30.301,"B","Z",26.873,15.603,31.398,21.517,59.689,35,"Class1",38.088,NA
85.908,"B","F",84.762,62.393,77.455,48.111,32.88,29,"Class3",48.046,40
13.384,"F","N",57.751,58.049,54.389,89.608,68.064,39,"Class2",51.617,90
32.944,"L","S",34.648,64.074,61.949,-2.239,93.041,40,"Class2",39.211,NA
48.789,"L","O",39.433,58.375,42.454,39.354,26.758,42,"Class2",62.51,94
37.102,"B","P",36.818,44.25,31.875,53.307,86.565,28,"Class1",48.208,87
90.32,"L","S",54.915,59.558,56.656,86.81,43.681,44,"Class2",50.574,89
61.377,"F","S",53.978,59.783,57.612,76.603,57.641,37,"Class2",57.086,91
47.57,"Q","C",31.337,36.051,24.296,55.236,27.708,41,"Class1",30.456,94
78.57,"R","U",65.942,61.086,40.835,50.728,27.27,69,"Class3",71.26,15
63.124,"R","F",76.321,50.239,66.082,43.566,33.935,48,"Class3",69.693,57
55.661,"B","P",26.113,1.313,34.395,68.707,42.743,28,"Class1",52.454,80
61.109,"L","Q",74.509,59.517,57.738,91.257,47.445,40,"Class2",59.422,79
69.78,"B","F",60.233,47.753,55.839,44.869,30.051,72,"Class3",74.197,46
85.399,"M","P",61.571,56.068,43.567,42.87,30.678,53,"Class3",69.904,43
45.802,"L","R",50.279,42.52,30.116,45.363,17.319,77,"Class3",65.841,55
38.439,"A","R",82.342,48.091,13.019,44.054,25.519,56,"Class3",62.442,8
80.96,"L","F",64.304,47.403,73.141,45.427,32.522,41,"Class3",67.42,64
47.793,"L","S",67.277,61.321,49.812,82.07,69.699,40,"Class2",55.187,94
55.854,"F","O",57.519,62.436,49.114,106.49,83.922,42,"Class2",80.652,88
93.517,"T","Q",47.203,61.31,60.858,24.9,40.642,44,"Class2",47.251,90
79.729,"T","O",77.712,58.598,56.558,66.355,32.979,38,"Class2",66.757,91
25.046,"L","Y",33.822,61.33,55.646,45.696,59.904,38,"Class2",71.426,93
87.107,"A","F",77.755,52.625,70.176,46.944,8.294,9,"Class3",73.054,15
58.76,"V","C",30.971,28.498,31.118,60.48,25,54,"Class1",38.239,90
62.016,"V","P",26.376,30.296,31.385,35.75,37.973,49,"Class1",47.015,69
63.374,"T","S",32.135,58.924,55.308,24.034,21.383,44,"Class2",23.527,85
47.773,"I","S",77.414,58.06,63.265,89.829,80.799,40,"Class2",43.68,NA
50.682,"L","N",51.358,63.469,41.848,27.265,23.353,41,"Class2",61.997,94
73.349,"I","O",33.431,62.931,57.126,78.307,51.359,35,"Class2",51.172,78
60.676,"Q","P",33.834,7.62,41.719,59.626,29.624,47,"Class1",39.851,84
89.986,"F","N",66.601,62.076,64.027,63.258,78.238,33,"Class2",59.14,81
29.215,"T","Q",34.863,60.513,52.782,54.152,14.514,38,"Class2",95.399,80
64.861,"F","S",75.409,57.339,44.278,80.92,78.622,40,"Class2",78.747,78
54.45,"Q","Z",28.296,25.609,27.226,34.946,63.222,48,"Class1",40.863,72
93.512,"M","R",62.732,56.287,35,43.597,13.129,14,"Class3",72.587,NA
43.731,"B","Z",32.297,28.393,14.787,28.885,51.631,53,"Class1",35.184,85
85.049,"I","Q",73.443,58.76,57.757,71.949,29.176,40,"Class2",67.483,83
31.699,"L","P",31.104,21.566,30.214,14.153,36.081,55,"Class1",42.004,79
86.472,"I","O",58.155,56.097,58.793,72.478,50.553,42,"Class2",84.854,80
41.383,"V","S",28.187,31.222,32.545,30.523,46.729,29,"Class1",41.793,96
36.592,"B","K",33.536,31.458,29.994,23.63,69.111,52,"Class1",50.602,70
90.415,"F","S",39.125,61.075,47.641,66.399,10.575,39,"Class2",45.02,81
26.298,"V","Z",36.237,18.737,29.577,62.637,28.133,55,"Class1",48.462,95
86.535,"M","J",74.312,57.421,85.01,48.724,39.89,43,"Class3",65.169,37
15.702,"T","S",37.4,60.575,52.913,46.386,24.323,42,"Class2",45.096,84
41.519,"L","U",71.87,51.482,41.034,47.1,37.315,11,"Class3",52.804,28
71.767,"T","O",69.888,58.313,40.696,65.562,25.138,39,"Class2",66.989,89
60.036,"I","O",32.343,55.354,50.24,30.66,13.511,36,"Class2",83.337,78
52.71,"B","P",54.789,52.987,41.404,42.975,29.017,78,"Class3",60.513,37
65.626,"I","S",32.533,58.326,52.801,66.818,56.775,44,"Class2",62.393,93
45.448,"M","U",58.44,53.896,38.081,45.577,41.063,53,"Class3",66.997,39
82.057,"I","Y",31.586,68.122,42.184,51.026,46.809,38,"Class2",36.319,88
32.645,"L","K",36.817,23.622,44.684,30.918,42.481,29,"Class1",42.102,65
22.894,"V","Z",31.575,22.829,32.285,38.889,58.986,51,"Class1",40.223,87
75.717,"Z","N",28.162,59.484,56.26,73.65,78.943,39,"Class2",50.531,92
31.847,"F","Y",57.178,61.188,53.491,22.941,70.291,36,"Class2",69.547,83
NA,"F","Z",26.512,35.901,33.281,64.773,51.392,35,"Class1",39.497,68
NA,"V","K",34.937,41.512,32.73,58.952,75.171,32,"Class1",47.976,NA
49.628,"L","S",26.283,18.296,28.411,75.678,36.742,47,"Class1",43.808,94
29.855,"V","K",34.722,10.638,36.367,88.072,74.626,47,"Class1",47.463,71
46.383,"A","R",84.707,49.666,90.138,44.92,12.897,89,"Class3",79.611,40
23.488,"Q","S",27.754,32.127,26.774,61.684,82.389,45,"Class1",41.059,69
54.983,"B","C",31.166,19.58,29.21,75.476,31.453,40,"Class1",43.722,66
53.749,"L","J",74.305,55.384,50.752,46.968,20.734,65,"Class3",65.757,40
50.833,"F","P",32.541,30.321,37.15,95.04,72.12,50,"Class1",30.618,73
NA,"V","P",26.074,22.437,31.09,34.855,54.668,46,"Class1",35.086,89
19.221,"F","Z",33.957,13.07,16.257,54.702,31.035,30,"Class1",46.486,82
84.856,"L","S",39.338,57.523,51.923,45.52,86.895,42,"Class2",63.273,88
79.707,"M","R",75.162,69.035,34.398,48.417,21.965,76,"Class3",57.239,NA
50.579,"A","P",86.056,59.319,42.938,47.62,5.391,77,"Class3",63.337,35
55.8,"R","J",50.654,59.749,36.259,48.081,8.667,82,"Class3",65.443,53
69.141,"M","U",54.698,63.286,29.601,48.802,37.787,54,"Class3",79.477,50
56.839,"L","R",63.839,54.398,51.881,46.589,17.535,83,"Class3",65.355,47
66.486,"I","S",52.209,58.936,58.375,28.693,44.611,34,"Class2",38.607,78
53.635,"M","R",55.202,60.774,80.353,44.806,24.613,34,"Class3",66.714,42
75.28,"A","R",57.603,54.573,33.032,42.897,9.686,46,"Class3",62.184,57
81.546,"T","Q",35.01,56.813,45.046,85.416,51.32,38,"Class2",82.479,83
54.71,"V","Z",26.982,10.674,43.289,62.319,45.974,39,"Class1",40.999,80
63.783,"B","P",34.689,31.576,36.992,59.746,31.945,49,"Class1",60.635,71
53.048,"R","R",66.366,58.459,68.292,45.816,16.932,10,"Class3",80.565,10
62.121,"L","K",36.359,27.564,39.025,39.438,66.536,56,"Class1",39.604,83
35.921,"L","P",61.724,55.475,55.825,49.177,28.523,32,"Class3",66.702,62
15.27,"Z","O",23.761,57.608,49.906,83.503,59.049,42,"Class2",49.751,78
56.219,"Q","K",31.626,20.152,29.424,72.74,35.155,40,"Class1",44,71
55.481,"Q","Z",35.246,24.828,31.931,48.425,46.832,47,"Class1",66.491,66
36.285,"Q","K",26.327,24.667,25.504,38.342,43.726,48,"Class1",57.392,78
68.252,"B","J",79.205,61.741,81.687,44.951,6.209,35,"Class3",64.134,64
63.606,"L","Y",66.798,59.603,55.45,74.518,3.229,33,"Class2",62.753,89
69.206,"M","R",54.273,49.046,11.999,43.638,10.483,55,"Class3",73.532,19
74.459,"R","J",49.116,59.659,67.973,41.093,17.491,19,"Class3",52.407,7
68.333,"I","Y",41.145,59.964,48.988,51.444,8.297,40,"Class2",53.947,93
34.279,"F","K",33.492,29.86,22.753,40.335,59.06,50,"Class1",50.221,96
51.222,"B","K",26.005,17.956,30.355,38.112,27.92,29,"Class1",52.405,68
NA,"B","J",72.427,50.359,57.789,41.841,6.759,75,"Class3",57.696,12
91.21,"L","P",56.917,61.552,35.967,46.73,12.132,87,"Class3",53.071,59
30.947,"R","J",74.958,50.562,44.636,48.32,16.023,87,"Class3",64.364,30
70.532,"B","U",81.33,55.903,62.167,43.472,23.817,83,"Class3",62.106,17
66.193,"T","S",50.724,62.959,50.618,49.959,77.19,35,"Class2",43.436,82
68.573,"R","F",85.836,60.406,59.253,42.134,28.198,21,"Class3",62.979,55
60.481,"V","P",33.502,19.804,20.712,68.212,38.605,28,"Class1",47.717,77
72.679,"T","N",22.785,61.558,25.976,68.91,69.91,42,"Class2",65.21,82
31.018,"R","U",80.653,56.437,64.526,48.872,22.885,24,"Class3",51.206,46
59.586,"L","P",67.146,58.442,67.485,50.845,37.608,58,"Class3",51.251,28
37.937,"L","J",69.087,59.173,52.742,52.396,21.848,24,"Class3",73.017,46
60.019,"V","P",26.045,33.014,28.859,56.545,69.964,49,"Class1",39.997,90
86.965,"L","F",76.076,53.607,54.295,39.784,7.529,44,"Class3",60.613,11
31.713,"F","N",41.713,58.823,49.753,77.111,39.324,40,"Class2",68.332,89
26.632,"Q","S",29.663,29.87,34.739,55.682,54.067,44,"Class1",47.595,73
51.393,"R","F",77.862,46.458,64.617,45.997,15.195,75,"Class3",56.924,40
57.98,"T","N",66.961,64.406,47.639,97.345,8.938,42,"Class2",55.987,82
48.073,"F","P",26.29,20.237,36.369,78.174,73.892,44,"Class1",45.804,92
58.097,"L","P",28.616,28.362,34.106,89.496,59.03,43,"Class1",40.291,68
69.824,"M","R",80.465,55.383,64.98,43.24,7.905,34,"Class3",51.473,36
31.109,"V","S",35.801,33.665,10.42,118.609,74.698,55,"Class1",44.038,82
46.944,"B","S",30.252,24.299,19.548,72.023,81.391,46,"Class1",49.838,70
63.839,"F","P",35.318,18.326,27.247,77.016,35.7,28,"Class1",34.17,81
88.4,"R","U",62.488,55.034,23.491,45.02,21.331,22,"Class3",55.956,62
56.154,"F","S",28.25,29.9,23.973,36.759,30.745,53,"Class1",50.353,74
42.868,"A","J",48.533,56.189,41.956,44.803,22.493,34,"Class3",47.171,53
49.289,"F","S",27.98,38.836,33.205,17.7,68.729,51,"Class1",52.043,85
59.885,"B","P",62.195,55.272,78.737,42.565,27.162,19,"Class3",61.234,63
85.015,"L","R",84.374,51.855,74.81,44.715,9.451,90,"Class3",58.641,50
51.363,"A","P",69.974,39.757,32.241,46.725,6.491,37,"Class3",60.178,13
39.439,"V","Z",27.51,22.583,20.947,50.569,55.856,48,"Class1",50.26,73
62.433,"F","O",72.803,57.654,61.934,59.721,65.248,43,"Class2",56.641,NA
41.395,"M","R",74.351,60.605,49.752,45.602,39.973,64,"Class3",65.593,57
93.297,"B","U",63.45,57.971,39.184,45.356,25.115,40,"Class3",56.912,13
92.901,"T","Y",34.216,58.634,43.129,38.551,89.999,41,"Class2",64.398,90
39.034,"M","J",69.366,46.636,48.576,43.776,24.169,74,"Class3",67.043,50
44.876,"Q","K",32.353,19.479,31.785,31.405,28.496,54,"Class1",47.632,87
50.929,"Z","S",46.164,61.285,52.076,84.859,81.159,41,"Class2",30.962,91
47.356,"T","Q",54.971,63.525,59.168,16.86,77.134,33,"Class2",65.61,87
63.583,"Q","P",29.902,7.04,43.375,35.575,35.035,29,"Class1",45.154,88
77.66,"I","Q",30.725,62.141,53.214,92.215,44.704,42,"Class2",42.154,86
32.266,"R","J",64.82,55.442,36.679,40.927,9.727,21,"Class3",58.1,12
49.789,"R","P",76.329,57.137,53.997,44.538,8.996,29,"Class3",58.323,44
NA,"B","J",78.003,54.855,46.299,41.442,15.506,74,"Class3",53.043,59
53.333,"L","C",31.818,37.489,27.035,30.902,47.031,49,"Class1",52.16,93
67.422,"A","R",63.234,48.27,44.654,46.001,21.365,50,"Class3",66.362,35
32.317,"V","Z",26.169,27.279,29.395,51.824,65.885,32,"Class1",46.702,68
20.68,"V","P",30.305,20.473,24.175,48.02,81.535,39,"Class1",59.282,NA
75.46,"T","Y",55.932,56.695,58.215,56.238,61.18,38,"Class2",60.127,84
38.612,"A","F",67.224,59.407,29.586,47.293,16.751,22,"Class3",53.221,17
30.322,"Q","P",27.316,15.088,20.1,44.425,34.787,45,"Class1",38.594,66
30.455,"M","J",59.335,55.425,76.619,48.38,36.389,91,"Class3",64.431,40
28.283,"B","S",33.742,27.624,27.203,39.44,72.173,44,"Class1",43.63,83
