"BIG1","FSM2","CKE3","PFE4","Output8","GSF5","AQD6","EMF7","REC8","CHK9"
28,65.974,96.997,50.72,"Class1",27.377,23.532,"T",65.812,47.546
60,49.517,22.101,70.237,"Class3",77.349,38.801,"A",41.699,35.311
70,62.697,NA,6.696,"Class2",33.804,73.573,"K",44.597,62.461
59,49.832,3.116,78.353,"Class3",62.727,8.692,"I",53.545,29.873
51,60.787,17.429,47.106,"Class2",38.487,73.766,"K",39.938,45.443
26,35.919,NA,90.041,"Class1",23.803,28.854,"T",75.62,51.121
26,18.263,95.305,56.627,"Class1",30.091,21.633,"H",82.058,46.865
59,49.923,22.889,87.014,"Class3",60.633,49.58,"H",41.035,45.314
60,62.341,22.233,-16.967,"Class2",31.184,74.856,"K",50.049,40.193
26,48.455,80.88,91.752,"Class1",65.914,26.806,"A",87.176,65.925
57,61.932,35.993,69.513,"Class2",31.718,73.176,"U",57.101,38.933
57,50.202,34.993,78.051,"Class3",68.953,48.904,"M",61.871,38.485
25,64.698,74.137,NA,"Class1",43.211,20.984,"H",83.794,45.606
25,35.986,66.098,101.869,"Class1",33.578,23.738,"H",60.673,47.236
64,59.967,27.154,11.637,"Class2",45.663,74.344,"K",48.136,52.188
72,63.245,18.198,36.074,"Class2",19.83,73.336,"Y",47.859,42.44
45,61.721,13.039,56.991,"Class2",23.487,73.076,"A",66.136,71.395
60,49.764,NA,92.88,"Class3",63.682,10.619,"I",62.433,39.565
23,64.635,93.929,36.883,"Class1",40.816,30.196,"T",88.372,53.052
55,50.551,48.177,84.873,"Class3",65.833,21.613,"N",47.115,35.161
54,48.853,6.376,79.415,"Class3",63.238,52.72,"A",51.733,31.338
47,61.434,19.228,43.952,"Class2",16.977,73.733,"K",57.571,67.014
58,49.738,38.785,97.107,"Class3",67.327,11.661,"H",55.28,16.642
48,62.76,21.184,12.717,"Class2",28.835,74.268,"U",69.437,75.592
53,63.886,28.987,43.989,"Class2",21.526,74.233,"K",54.823,68.469
26,73.229,71.907,80.961,"Class1",42.79,37.05,"Y",72.937,37.301
28,54.541,55.022,57.56,"Class1",34.338,36.234,"V",73.809,55.422
25,89.18,62.514,71.067,"Class1",44.454,32.395,"A",83.782,54.777
24,71.036,69.208,67.053,"Class1",67.475,29.203,"A",90.964,58.136
26,12.238,65.919,NA,"Class1",46.432,30.754,"V",66.707,48.191
56,50.368,26.255,73.935,"Class3",71.045,25.574,"I",52.161,30.623
59,48.968,54.593,88.082,"Class3",59.982,51.681,"M",37.108,48.453
58,49.165,10.997,82.094,"Class3",60.359,6.022,"N",56.22,34.355
57,50.123,5.455,73.33,"Class3",64.059,35.648,"N",54.69,28.608
58,63.531,21.902,36.458,"Class2",37.679,73.153,"U",59.603,74.787
26,83.184,57.363,89.884,"Class1",3.966,19.899,"T",82.969,41.834
73,62.728,36.708,25.947,"Class2",30.737,73.181,"M",55.288,69.55
67,61.093,22.14,97.222,"Class2",25.697,73.906,"Y",39.186,61.884
26,44.514,59.317,41.174,"Class1",23.582,36.271,"H",85.654,49.072
43,61.157,23.006,100.137,"Class2",23.583,73.945,"K",42.499,48.163
44,62.972,12.858,27.392,"Class2",37.074,73.577,"U",41.579,72.216
73,63.8,5.093,3.192,"Class2",49.201,74.071,"K",70.09,45.594
28,43.36,87.987,60.111,"Class1",30.04,22.145,"H",70.159,42.916
45,63.871,31.558,41.35,"Class2",27.467,73.756,"M",59.401,83.966
61,49.462,53.039,84.232,"Class3",56.194,39.311,"A",59.543,26.522
67,62.184,NA,28.09,"Class2",20.058,74.042,"K",35.553,82.706
23,57.707,80.818,NA,"Class1",41.252,21.526,"A",75.11,57.753
53,50.649,NA,86.771,"Class3",66.709,9.34,"A",59.172,40.546
56,49.278,26.305,82.484,"Class3",68.8,46.554,"A",51.797,43.079
72,60.842,21.394,97.506,"Class2",16.003,74.908,"U",67.821,52.528
53,49.899,47.997,73.746,"Class3",69.691,14.024,"M",53.022,20.94
58,50.454,22.83,82.94,"Class3",61.022,27.436,"N",63.88,26.703
59,63.504,29.383,72.447,"Class2",28.73,73.568,"Y",41.776,37.667
56,51.202,48.289,77.003,"Class3",69.125,40.746,"A",47.336,23.133
58,49.411,24.319,NA,"Class3",57.42,25.85,"N",56.804,35.177
27,71.253,84.416,74.787,"Class1",40.145,24.569,"H",62.894,44.392
27,57.919,66.561,93.399,"Class1",21.317,18.061,"A",87.347,55.541
26,74.252,79.378,54.068,"Class1",55.188,38.938,"T",88.521,47.725
58,49.615,49.282,89.291,"Class3",58.342,50.465,"H",46.133,20.923
58,48.981,46.492,92.543,"Class3",78.926,37.875,"H",65.965,31.698
25,99.806,60.776,66.878,"Class1",54.884,34.251,"A",75.353,61.333
27,62.071,52.725,57.796,"Class1",52.611,20.563,"A",91.934,50.994
55,51.078,6.578,107.212,"Class3",70.372,37.387,"N",56.112,38.051
46,62.318,21.603,23.13,"Class2",42.495,74.649,"U",42.652,80.01
68,60.872,32.848,36.801,"Class2",27.968,74.714,"K",54.319,76.715
70,61.742,10.224,-6.869,"Class2",22.957,73.736,"A",68.646,62.376
67,62.452,36.172,35.308,"Class2",31.612,74.833,"K",60.207,61.91
55,50.757,35.539,NA,"Class3",77.231,10.78,"H",46.636,22.82
25,26.718,76.966,77.351,"Class1",46.89,34.356,"Y",91.778,48.989
61,62.573,16.748,40.017,"Class2",33.602,74.492,"K",67.108,58.533
44,63.415,10.565,52.567,"Class2",31.922,73.189,"U",55.462,61.468
67,62.01,17.6,68.152,"Class2",23.472,73.119,"Y",51.121,56.308
26,55.135,73.054,44.636,"Class1",33.038,23.93,"Y",63.457,58.303
24,60.504,94.654,87.748,"Class1",3.917,37.622,"A",71.006,47.168
49,62.235,2.543,22.036,"Class2",38.128,74.432,"U",66.241,69.143
29,58.984,58.918,40.198,"Class1",42.757,29.671,"H",86.523,44.378
29,48.119,72.722,52.033,"Class1",29.594,34.514,"Y",68.339,43.431
60,50.402,55.58,88.611,"Class3",56.321,48.272,"M",45.931,38.55
23,69.302,54.946,76.328,"Class1",34.473,34.323,"V",82.67,50.146
24,59.239,60.09,25.124,"Class1",28.009,29.802,"T",90.38,34.892
52,50.303,54.079,65.065,"Class3",65.378,45.66,"H",56.152,24.444
60,48.561,48.841,83.49,"Class3",67.317,34.889,"A",41.397,41.911
43,59.837,14.539,41.81,"Class2",34.053,74.421,"K",40.044,60.43
28,81.489,85.588,45.868,"Class1",21.156,36.829,"V",69.148,50.591
61,48.935,27.852,90.418,"Class3",67.161,50.56,"I",41.975,46.537
58,51.251,50.412,85.545,"Class3",57.352,12.141,"M",53.995,21.729
28,68.152,55.613,50.413,"Class1",37.111,25.865,"Y",62.376,42.937
56,51.307,10.872,82.482,"Class3",75.941,8.511,"M",55.352,36.913
57,48.361,48.654,94.163,"Class3",57.431,34.227,"M",58.77,39.59
23,66.451,72.881,44.287,"Class1",48.476,37.983,"V",68.367,50.858
27,62.303,94.826,58.201,"Class1",4.031,33.856,"T",77.666,53.134
54,50.284,54.622,82.352,"Class3",68.636,23.114,"A",54.681,30.229
61,50.707,26.707,73.026,"Class3",78.851,42.748,"M",61.161,36.07
23,81.543,81.893,47.829,"Class1",41.2,25.426,"Y",87.375,66.052
43,61.722,26.942,57.105,"Class2",19.348,74.376,"K",63.557,67.095
42,62.256,NA,53.941,"Class2",18.386,74.982,"A",39.499,53.167
57,50.859,6.307,82.795,"Class3",66.381,9.602,"I",64.988,38.645
24,63.797,75.457,78.248,"Class1",78.114,24.98,"A",62.897,47.848
58,50.605,6.973,80.684,"Class3",76.952,21.48,"H",52.939,24.016
58,61.682,24.017,35.132,"Class2",24.182,73.248,"M",51.589,82.851
55,49.153,43.763,92.811,"Class3",63.212,37.039,"I",59.356,39.763
61,49.958,61.365,86.897,"Class3",59.28,53.327,"H",39.738,36.368
60,50.071,52.099,75.552,"Class3",70.54,32.881,"H",57.02,43.607
28,23.756,74.958,60.48,"Class1",-10.02,37.394,"A",67.793,57.991
54,50.103,9.651,88.433,"Class3",72.664,14.28,"H",51.251,32.81
24,41.449,NA,85.616,"Class1",54.642,37.317,"H",82.2,57.967
59,63.297,29.855,49.859,"Class2",34.185,74.132,"A",64.267,63.366
26,46.772,58.083,68.642,"Class1",44.374,29.878,"A",65.522,57.085
64,63.387,27.743,NA,"Class2",37.08,73.134,"U",41.897,80.321
53,49.136,13.924,73.296,"Class3",63.963,30.395,"I",52.446,35.491
28,78.403,76.923,55.575,"Class1",30.205,33.031,"Y",79.518,49.676
60,50.294,NA,81.03,"Class3",72.993,21.208,"A",62.068,28.267
29,52.908,88.73,50.178,"Class1",47.675,28.545,"V",83.181,51.581
42,63.809,2.443,51.831,"Class2",15.415,74.867,"M",59.371,61.597
28,14.858,77.219,55.998,"Class1",50.347,19.176,"T",84.383,57.72
60,62.631,7.398,41.137,"Class2",37.113,73.44,"Y",41.353,37.299
27,50.565,73.519,75.059,"Class1",27.564,36.527,"Y",74.669,43.909
28,44.023,55.145,54.576,"Class1",14.256,29.191,"Y",84.454,58.019
57,63.519,3.198,27.3,"Class2",25.24,74.911,"A",69.18,56.648
61,50.437,40.083,94.545,"Class3",55.714,52.887,"M",54.957,5.9
29,57.336,86.847,106.44,"Class1",63.303,30.773,"V",64.504,45.786
72,62.036,34.566,29.564,"Class2",32.022,74.435,"U",68.76,69.196
70,63.376,4.832,34.73,"Class2",32.131,74.242,"K",50.1,100.415
28,29.929,53.501,94.324,"Class1",66.262,28.572,"A",91.935,50.696
59,49.543,29.229,84.372,"Class3",61.255,46.682,"I",53.141,34.652
72,61.271,29.231,54.793,"Class2",26.256,74.231,"M",60.377,67.738
55,50.39,46.515,95.474,"Class3",65.45,24.159,"N",44.75,38.784
55,49.997,34.906,81.989,"Class3",73.003,22.449,"M",44.894,24.391
58,49.84,59.717,85.024,"Class3",66.719,38.922,"M",44.997,38.423
29,58.156,61.526,46.584,"Class1",44.081,35.26,"H",82.186,52.064
59,63.706,7.468,36.031,"Class2",43.995,74.102,"M",44.656,42.868
66,62.72,34.477,15.437,"Class2",32.917,74.641,"M",52.552,65.67
56,50.369,4.042,101.291,"Class3",67.931,7.437,"I",48.548,25.745
61,50.114,27.108,87.363,"Class3",63.961,19.815,"N",37.122,31.968
27,47.625,78.97,86.732,"Class1",5.059,18.228,"V",83.734,39.129
48,63.004,8.653,1.808,"Class2",19.516,74.413,"A",42.412,67.872
52,50.712,33.561,86.31,"Class3",65.711,40.753,"H",48.575,49.883
55,49.93,40.919,72.803,"Class3",67.603,27.955,"A",53.711,25.182
57,65.075,24.723,38.576,"Class2",31.011,74.383,"K",54.151,57.091
47,60.682,6.713,23.851,"Class2",25.186,74.002,"A",67.128,37.106
28,98.587,91.894,72.635,"Class1",33.123,30.68,"T",68.67,54.413
25,60.148,62.763,44.465,"Class1",25.519,27.762,"T",77.801,54.015
24,57.382,83.124,48.595,"Class1",32.073,25.654,"T",70.832,67.228
47,62.562,24.437,28.078,"Class2",30.547,74.49,"M",54.003,43.045
73,62.36,31.972,28.799,"Class2",26.913,73.161,"Y",59.049,71.496
23,37.604,96.25,63.82,"Class1",37.534,33.988,"Y",91.502,57.659
42,61.819,6.613,49.422,"Class2",29.363,74.461,"Y",69.834,72.492
23,97.17,53.187,45.436,"Class1",42.13,30.7,"A",69.297,58.995
28,44.511,77.972,78.108,"Class1",26.944,32.539,"A",61.833,34.865
66,62.465,8.197,55.368,"Class2",30.577,74.249,"K",43.386,70.29
54,49.522,56.534,70.968,"Class3",68.558,34.298,"A",55.797,27.473
27,42.448,75.695,36.957,"Class1",48.464,31.833,"T",66.592,49.695
29,10.336,53.749,80.612,"Class1",40.329,29.512,"T",68.743,54.448
26,20.144,66.146,72.696,"Class1",23.448,20.899,"H",84.692,61.593
25,55.975,63.576,71.285,"Class1",32.602,19.043,"Y",60.115,51.933
46,63.676,4.148,24.87,"Class2",23.359,74.015,"A",41.444,78.982
56,50.085,23.062,NA,"Class3",61.993,32.978,"M",41.232,40.392
23,40.566,78.442,70.125,"Class1",20.545,38.071,"T",60.918,48.628
47,60.677,28.456,31.424,"Class2",24.546,74.037,"A",37.829,57.201
70,61.27,3.969,NA,"Class2",26.367,74.517,"K",40.217,75.6
27,40.533,54.809,102.139,"Class1",49.954,23.245,"H",72.759,48.002
53,50.191,52.348,86.437,"Class3",66.527,28.811,"M",57.881,44.239
25,47.085,78.906,55.037,"Class1",68.596,27.051,"A",73.825,58.668
73,64.382,17.791,-13.953,"Class2",29.991,74.679,"Y",53.419,36.112
69,62.75,36.832,45.401,"Class2",31.402,73.921,"U",70.779,73.503
53,61.325,27.281,43.653,"Class2",16.644,74.413,"U",42.614,76.709
53,49.4,17.398,89.535,"Class3",54.717,38.844,"H",44.35,26.332
26,35.826,78.256,78.788,"Class1",52.419,36.238,"A",94.336,52.732
56,50.892,36.647,86.985,"Class3",66.327,15.42,"N",41.765,23.357
54,48.834,10.476,88.585,"Class3",56.801,44.983,"H",50.612,32.828
29,28.342,68.688,71.888,"Class1",10.185,36.574,"A",83.411,58.922
61,63.475,22.337,85.6,"Class2",31.605,74.793,"K",69.698,45.004
55,60.883,11.1,93.213,"Class2",19.658,73.71,"Y",53.198,69.897
52,49.539,51.158,94.274,"Class3",65.987,33.216,"M",40.449,17.377
47,64.171,34.862,80.476,"Class2",27.259,73.963,"K",68.817,46.443
47,65.121,21.051,-8.356,"Class2",26.207,73.268,"M",55.881,55.368
60,50.521,32.394,88.99,"Class3",59.725,46.762,"A",60.763,37.242
46,61.68,25.371,26.018,"Class2",29.539,74.118,"Y",48.14,77.643
61,51.644,5.005,81.095,"Class3",73.461,45.567,"I",41.842,37.331
46,62.185,33.902,23.57,"Class2",37.891,73.068,"M",36.224,52.685
58,49.9,36.901,86.6,"Class3",55.967,30.919,"A",63.41,31.479
25,64.138,83.552,58.323,"Class1",45.731,31.335,"H",61.759,35.334
42,60.4,10.242,44.169,"Class2",29.923,73.413,"M",53.795,59.245
61,48.2,33.733,77.343,"Class3",59.071,34.946,"A",63.055,25.163
59,64.253,6.855,NA,"Class2",26.194,74.765,"U",49.549,63.838
67,61.938,29.155,NA,"Class2",25.509,73.227,"U",45.316,38.042
66,61.624,35.257,41.114,"Class2",23.574,73.757,"K",49.361,69.211
71,61.363,9.986,67.15,"Class2",34.359,74.097,"U",50.354,75.034
55,49.564,52.282,95.732,"Class3",61.687,17.778,"H",52.922,30.558
59,50.321,46.528,77.909,"Class3",60.879,16.688,"I",37.011,31.843
47,61.221,6.815,84.489,"Class2",39.724,73.531,"A",67.405,44.152
70,60.998,15.969,15.013,"Class2",31.562,74.442,"U",64.884,56.603
24,76.117,93.155,50.419,"Class1",17.311,18.177,"Y",66.034,50.202
51,64.228,28.61,70.887,"Class2",15.584,73.268,"K",44.064,70.986
25,74.569,74.795,83.062,"Class1",61.53,25.498,"V",93.34,47.05
24,36.013,79.791,55.176,"Class1",54.081,36.012,"V",64.542,42.449
72,62.131,8.092,-6.5,"Class2",33.319,73.408,"Y",51.186,52.718
28,39.39,57.814,90.477,"Class1",50.589,36.917,"A",79.144,39.192
56,49.691,30.745,99.865,"Class3",67.524,23.376,"N",53.121,51.536
44,62.343,10.876,-6.708,"Class2",37.431,73.347,"M",54.536,76.703
28,60.911,88.436,76.509,"Class1",24.44,19.333,"Y",81.229,49.217
57,50.008,38.949,77.914,"Class3",71.727,40.314,"N",50.373,26.678
53,49.378,20.157,72.909,"Class3",77.079,20.742,"M",40.863,62.383
28,110.1,64.137,41.756,"Class1",18.513,31.474,"Y",72.171,45.904
67,61.425,17.871,20.141,"Class2",44.462,73.856,"A",67.629,46.372
61,50.277,22.067,82.696,"Class3",74.099,21.981,"I",57.769,23.992
61,49.081,54.42,83.024,"Class3",66.295,38.319,"N",46.601,52.511
55,50.565,42.113,81.591,"Class3",68.443,23.93,"M",54.131,35.39
24,49.147,71.199,83.769,"Class1",25.263,24.784,"T",69.222,58.68
59,49.718,57.84,78.302,"Class3",66.825,13.697,"H",41.685,39.624
28,61.799,67.5,52.626,"Class1",48.055,31.415,"V",72.935,44.77
55,50.59,9.749,75.206,"Class3",66.444,37.295,"A",53.33,34.352
26,54.275,89.656,85.884,"Class1",50.025,39.86,"H",92.205,47.903
57,50.841,22.153,75.551,"Class3",67.122,52.359,"M",41.472,53.132
49,61.406,11.701,53.598,"Class2",17.421,74.301,"U",68.568,90.646
61,49.891,37.986,84.488,"Class3",61.976,31.307,"I",46.859,30.913
48,61.887,10.495,51.562,"Class2",20.414,74.65,"A",63.153,57.724
55,50.026,24.713,82.905,"Class3",63.319,6.843,"A",58.35,42.452
42,62.971,24.346,41.592,"Class2",36.282,74.155,"Y",48.993,57.078
55,62.142,11.763,14.393,"Class2",20.819,74.63,"U",45.468,74.705
58,63.278,9.857,38.296,"Class2",20,73.608,"Y",70.613,81.303
49,62.442,2.624,77.661,"Class2",31.167,73.438,"M",67.265,60.329
29,68.928,59.892,68.218,"Class1",47.96,26.84,"T",64.492,48.874
26,58.401,81.098,58.367,"Class1",46.421,26.953,"A",64.001,36.868
55,62.315,31.214,1.591,"Class2",42.547,73.072,"M",68.444,66.721
53,64.21,36.254,27.85,"Class2",24.954,73.574,"K",40.249,56.023
54,50.256,45.763,87.147,"Class3",65.559,52.189,"H",40.473,28.607
26,72.06,52.262,74.403,"Class1",15.625,30.891,"Y",92.108,51.621
60,49.348,43.101,72.289,"Class3",66.484,45.806,"M",56.955,30.634
29,40.884,NA,26.525,"Class1",75.626,28.115,"A",78.157,54.002
57,50.177,44.778,83.604,"Class3",74.433,29.41,"I",60.265,26.022
55,50.009,34.582,87.76,"Class3",62.473,47.094,"H",43.874,54.616
61,51.567,5.349,77.284,"Class3",73.551,7.001,"H",54.537,29.278
29,63.642,90.605,72.037,"Class1",31.274,26.128,"Y",87.959,43.981
56,48.91,55.304,76.014,"Class3",72.152,17.887,"A",61.112,23.564
26,91.427,92.336,47.536,"Class1",66.457,19.524,"T",69.069,34.298
23,61.942,78.881,51.41,"Class1",35.457,35.338,"Y",72.448,64.937
44,62.47,23.744,5.831,"Class2",31.217,73.807,"M",63.734,61.907
56,50.609,38.214,89.213,"Class3",65.063,22.888,"A",60.474,36.061
53,50.478,52.738,87.723,"Class3",81.539,46.511,"N",42.098,36.976
42,61.784,4.87,NA,"Class2",25.45,74.938,"K",69.985,64.338
29,26.457,77.333,48.915,"Class1",22.813,38.789,"Y",67.553,56.538
42,62.871,32.345,56.243,"Class2",34.985,73.941,"U",41.579,59.275
52,50.739,41.096,83.023,"Class3",74.517,37.498,"H",42.31,45.15
61,60.989,35.474,19.845,"Class2",26.227,74.011,"A",54.989,66.466
54,50.307,33.683,82.759,"Class3",67.727,39.954,"I",46.588,34.492
55,50.394,61.585,82.717,"Class3",65.939,12.037,"I",52.902,29.511
62,61.938,22.915,-11.291,"Class2",31.759,73.29,"A",46.352,70.056
28,78.073,57.222,38.858,"Class1",36.137,28.505,"Y",85.829,51.481
55,50.076,49.07,89.277,"Class3",63.521,20.246,"N",41.187,38.753
26,66.578,69.483,97.609,"Class1",-1.141,36.009,"T",69.71,43.73
27,74.63,87.776,63.374,"Class1",15.733,19.676,"H",61.063,36.198
26,29.68,74.231,94.732,"Class1",15.711,29.325,"V",63.933,46.942
56,49.803,33.574,91.606,"Class3",69.99,22.573,"H",48.87,33.933
44,61.711,33.017,60.299,"Class2",27.123,73.945,"M",64.464,59.218
61,62.608,22.145,70.222,"Class2",25.037,73.656,"U",60.484,53.368
56,49.108,39.952,86.916,"Class3",73.538,29.444,"M",48.474,56.155
28,51.288,88.978,87.453,"Class1",-5.244,18.692,"Y",68.163,53.751
60,62.205,36.753,13.341,"Class2",27.981,73.535,"M",57.479,51.531
29,47.307,89.04,NA,"Class1",30.423,29.865,"V",81.44,38.577
63,61.895,7.804,26.348,"Class2",17.924,74.965,"K",51.83,49.511
28,20.065,58.954,15.4,"Class1",10.793,31.207,"A",84.826,45.941
26,68.068,54.844,72.55,"Class1",68.241,35.381,"V",62.669,43.822
56,49.882,60.178,83.58,"Class3",61.637,48.371,"N",50.639,37.565
52,50.768,40.424,87.522,"Class3",56.417,11.254,"I",54.744,40.094
55,50.231,19.135,87.773,"Class3",67.628,9.315,"I",42.064,25.505
25,59.938,64.929,70.471,"Class1",8.704,24.107,"Y",73.908,42.42
53,62.119,21.234,13.362,"Class2",21.397,74.454,"M",51.193,89.743
46,62.946,30.873,56.608,"Class2",19.792,74.354,"K",55.583,56.072
58,50.582,33.934,72.96,"Class3",66.961,30.667,"H",51.933,30.684
68,62.005,NA,42.368,"Class2",23.192,73.32,"M",59.371,62.082
52,49.954,47.353,87.207,"Class3",74.332,48.882,"A",65.907,47.953
23,68.072,77.905,76.337,"Class1",65.167,31.619,"Y",86.685,49.644
41,62.049,NA,41.731,"Class2",11.642,73.402,"K",53.442,65.869
57,62.636,25.376,28.784,"Class2",31.153,74.006,"U",53.884,54.98
51,64.456,34.855,19.767,"Class2",29.628,74.84,"K",62.69,50.087
54,49.862,50.377,81.18,"Class3",63.565,42.868,"N",44.776,33.728
53,49.629,48.155,82.006,"Class3",64.073,18.748,"A",52.329,24.212
54,49.394,27.865,82.623,"Class3",69.946,48.814,"N",57.299,28.853
27,56.745,65.689,87.18,"Class1",20.168,31.053,"T",90.422,56.065
70,62.364,30.832,17.752,"Class2",23.085,73.509,"M",67.893,55.337
46,61.858,17.685,19.098,"Class2",28.685,73.558,"U",37.069,60.363
54,48.222,49.264,71.987,"Class3",67.94,39.51,"N",62.487,31.117
