"YLU1","CRS2","GMA3","OLA4","Output13","OWP5","GVZ6","FHC7","AOQ8","QMC9","TKA10","UJR11","IBX12"
25.71,30.789,39.355,78,"Class1","R","D",66.739,56,21.672,2.746,58.051,67.131
48.923,54.874,73.123,83,"Class3","Y","M",75.856,70,40.022,32.801,30.014,64.59
7.887,57.118,35.295,92,"Class1","Z","P",65.711,53,31.991,2.782,73.828,74.467
34.909,53.638,65.049,47,"Class2","R","Y",38.941,11,48.742,58.804,56.97,14.707
12.337,28.36,27.636,56,"Class1","R","H",54.687,58,7.337,2.171,47.064,68.884
20.013,44.24,72.741,65,"Class3","T","J",80.686,72,38.543,26.805,24.938,62.014
34.979,48.065,52.21,49,"Class2","R","X",26.187,NA,34.606,36.061,64.398,70.597
NA,37.379,87.699,69,"Class3","P","J",89.295,75,37.499,24.931,39.186,100.165
30.095,26.816,63.212,55,"Class2","Z","E",27.17,8,52.464,58.885,16.011,26.109
12.72,46.703,76.833,65,"Class3","P","J",73.274,68,39.241,26.569,21.065,37.331
49.545,59.994,80.265,83,"Class3","P","K",89.103,72,35.542,25.463,25.79,31.161
NA,41.476,48.484,45,"Class2","J","O",51.517,11,52.108,73.446,35.275,23.152
34.05,25.023,50.838,53,"Class2","Z","X",56.84,9,47.877,58.629,17.518,35.49
39.48,52.507,87.933,66,"Class3","T","K",80.161,68,40.81,27.718,28.727,70.807
33.307,52.612,61.103,54,"Class2","J","Y",30.336,9,57.286,58.868,19.204,49.829
23.62,42.906,26.397,86,"Class1","Z","P",66.553,58,31.129,2.986,52.465,68.081
32.196,55.106,70.078,52,"Class2","S","E",40.436,8,50.115,35.219,36.399,55.865
59.635,59.189,70.777,82,"Class3","T","J",90.58,73,41.059,20.791,23.409,20.668
6.144,29.086,45.896,44,"Class1","K","C",54.061,57,11.929,0.879,58.764,73.093
NA,36.663,69.705,78,"Class3","A","K",77.875,72,39.8,21.377,21.047,41.355
16.174,71.261,28.59,96,"Class1","H","D",53.589,57,14.762,-0.211,54.049,71.751
30.363,57.894,72.487,82,"Class3","T","K",74.36,65,37.579,29.911,38.798,30.724
NA,41.143,18.101,86,"Class1","Z","D",67.608,56,-0.636,1.844,33.927,66.569
34.669,41.479,60.61,57,"Class2","Z","F",48.643,11,46.766,42.664,62.031,28.066
25.878,32.509,42.058,47,"Class2","Z","E",28.849,9,53.643,18.52,32.777,30.857
21.98,55.988,76.195,78,"Class3","Y","L",75.172,81,41.082,30.508,29.634,92.738
25.652,30.368,53.047,56,"Class2","J","Y",51.847,9,54.228,40.415,22.783,46.527
18.357,87.261,23.812,59,"Class1","R","I",55.899,55,36.663,2.581,49.819,62.523
21.803,50.122,84.063,85,"Class3","A","K",73.516,81,40.639,25.216,29.749,3.73
NA,63.398,74.503,83,"Class3","A","K",87.309,79,43.034,34.995,38.357,49.279
20.37,79.795,22.726,98,"Class1","K","H",57.496,52,5.575,1.772,52.209,73.834
27.071,29.024,90.766,64,"Class3","G","M",73.322,78,39.399,21.024,33.657,50.35
65.441,42.413,74.855,68,"Class3","A","J",77.019,72,41.744,22.84,23.781,-23.598
83.173,40.214,75.713,77,"Class3","T","L",84.158,77,41.063,23.377,35.022,57.177
20.294,51.512,20.751,44,"Class1","K","D",60.677,57,-3.987,0.654,34.547,70.265
29.647,67.338,62.392,50,"Class2","J","Y",53.746,11,38.147,76.81,37.004,14.865
NA,25.777,76.75,56,"Class2","Z","F",52.054,10,36.958,86.322,52.514,30.18
19.639,40.625,84.592,72,"Class3","P","M",90.626,77,38.247,21.786,23.06,49.665
17.71,57.339,37.017,82,"Class1","R","I",66.388,55,20.233,3.821,61.162,69.5
5.174,21.155,31.075,61,"Class1","K","C",55.399,53,36.99,3.687,65.691,67.201
68.119,49.542,75.65,87,"Class3","A","M",82.399,79,39.477,22.56,33.681,93.987
17.29,44.057,-2.415,81,"Class1","K","I",65.379,58,24.558,0.935,42.733,72.755
11.437,53.452,70.128,90,"Class3","A","F",86.066,75,40.337,26.101,40.69,9.635
5.683,54.664,41.414,58,"Class1","K","H",54.676,55,44.147,1.22,65.882,70.112
11.253,39.761,54.997,49,"Class1","R","P",57.562,58,8.09,0.814,30.283,69.053
92.459,62.461,80.635,71,"Class3","Y","M",89.61,72,41.337,30.185,39.088,105.179
24.622,81.522,3.73,63,"Class1","I","P",55.922,54,25.144,1.791,47.924,71.578
76.4,48.018,83.928,72,"Class3","T","L",82.687,77,39.086,22.46,29.427,31.482
85.919,30.236,69.483,80,"Class3","T","M",74.3,67,37.66,15.552,39.748,3.674
22.855,57.182,60.553,55,"Class2","J","E",34.158,9,40.138,7.004,33.717,36.118
32.222,36.697,51.81,52,"Class2","T","X",42.753,10,45.389,48.121,62.174,23.684
24.845,60.464,60.265,57,"Class2","S","Y",29.494,11,35.911,83.784,32.155,59.155
26.649,59.067,41.7,55,"Class2","Z","O",36.477,9,39.586,48.56,47.504,54.448
NA,64.728,39.81,54,"Class2","R","F",27.976,11,33.202,55.157,29.756,45.318
17.787,57.226,68.593,72,"Class3","Y","K",76.566,81,38.61,30.017,23.028,75.079
24.874,82.359,45.086,58,"Class1","K","P",65.819,56,17.712,2.304,53.008,75.87
28.395,44.335,64.371,58,"Class2","Z","E",56.189,10,48.123,53.585,64.545,21.858
17.221,75.153,28.405,49,"Class1","H","H",62.558,56,25.568,1.755,33.43,70.709
25.432,44.946,-10.515,82,"Class1","K","P",65.197,56,12.836,2.874,71.121,69.46
38.619,54.802,79.337,71,"Class3","Y","J",79.327,79,38.5,23.983,39.925,79.067
28.913,63.927,68.1,50,"Class2","R","F",39.557,10,52.223,70.905,67.768,-0.54
25.686,31.196,31.739,43,"Class1","H","H",65.218,54,16.649,3.25,47.566,72.514
7.332,87.595,9.148,82,"Class1","R","I",57.182,53,34.207,3.211,41.331,76.073
29.515,34.008,63.701,52,"Class2","S","X",29.34,11,44.681,58.53,63.11,69.955
16.724,71.672,52.209,58,"Class1","I","I",65.097,57,15.113,2.553,36.361,72.248
NA,86.714,50.06,79,"Class1","I","I",63.992,55,48.715,1.58,38.73,71.864
57.251,55.829,78.734,65,"Class3","P","K",74.361,65,41.03,26.495,41.076,52.755
8.738,96.538,33.418,57,"Class1","Z","D",51.226,54,35.796,2.005,68.58,70.284
7.485,29.954,30.339,68,"Class1","Z","H",61.2,52,46.953,3.645,58.063,70.147
46.003,35.186,77.699,67,"Class3","T","K",80.551,73,39.872,30.079,35.58,11.953
33.876,27.498,76.848,56,"Class2","Z","O",29.217,NA,47.362,31.948,46.404,68.91
NA,43.457,61.432,46,"Class2","S","Y",48.876,11,44.339,25.578,35.772,86.131
10.724,29.317,28.459,85,"Class1","K","I",54.685,57,25.228,2.482,72.936,77.892
35.582,52.56,74.432,60,"Class2","R","O",43.443,10,51.51,60.622,39.374,77.737
35.703,27.431,60.198,48,"Class2","T","F",51.634,9,46.574,42.661,63.667,42.405
28.517,31.963,50.837,61,"Class2","T","Y",38.445,8,42.561,48.556,44.699,63.717
27.82,61.583,67.494,84,"Class3","A","K",84.144,81,41.366,31.66,22.388,56.235
24.735,34.93,26.897,44,"Class2","R","F",49.428,8,38.204,47.096,65.893,-12.508
23.148,95.531,26.337,97,"Class1","K","C",64.056,58,37.825,2.919,65.772,66.541
20.332,67.096,70.879,48,"Class1","R","P",53.276,56,37.271,0.45,40.35,71.145
28.765,52.269,58.575,50,"Class2","T","X",42.079,NA,36.175,39.461,60.069,-3.09
17.767,47.26,-2.083,91,"Class1","I","D",64.718,54,23.707,2.684,40.617,63.257
74.339,29.208,75.632,81,"Class3","A","F",83.686,79,41.37,26.647,19.108,57.314
10.31,47.276,25.86,86,"Class1","K","P",55.437,53,15.587,3.499,55.021,70.736
25.621,89.153,30.054,70,"Class1","R","P",61.335,52,24.703,3.343,36.686,67.855
10.612,62.097,29.19,77,"Class1","K","I",57.361,55,24.061,4.127,34.149,66.763
9.971,44.543,37.483,68,"Class1","H","C",66.292,55,13.686,4.9,42.287,68.436
29.041,51.032,73.679,57,"Class2","Z","E",52.011,8,42.314,73.68,63.634,47.322
33.427,50.855,61.375,56,"Class2","R","X",42.234,11,41.479,46.409,48.07,35.423
NA,50.056,64.825,71,"Class3","Y","F",72.642,64,40.797,23.024,41.197,12.321
48.973,33.058,77.706,67,"Class3","A","M",74.727,75,40.021,27.89,36.99,60.68
12.846,24.929,27.49,82,"Class1","H","C",66.266,53,35.707,2.853,68.894,67.552
17.258,47.849,56.97,80,"Class3","A","L",72.323,78,38.918,27.207,33.377,78.508
9.454,97.053,47.815,67,"Class1","Z","C",57.526,57,45.307,3.074,49.57,72.25
18.64,45.163,72.531,80,"Class3","G","F",90.577,76,40.117,30.762,36.333,28.107
33.835,52.086,48.055,54,"Class2","J","X",28.33,10,42.656,42.07,32.92,83.481
52.613,56.812,85.43,88,"Class3","T","L",83.967,77,38.557,21.735,36.311,-10.2
29.132,66.652,61.792,58,"Class2","J","E",45.68,8,43.476,85.287,44.369,69.849
31.156,41.808,51.322,58,"Class2","S","X",48.091,8,42.785,54.422,42.476,110.9
NA,53.086,79.18,67,"Class3","T","M",86.241,81,40.313,32.36,41.763,53.648
8.605,29.427,20.923,98,"Class1","K","I",63.492,56,53.738,-0.087,65.727,72.579
34.823,46.109,51.207,45,"Class2","R","O",27.322,10,56.78,49.737,19.389,16.609
32.786,35.448,74.702,88,"Class3","T","J",83.788,NA,42.555,22.833,31.416,98.831
29.205,62.441,48.992,58,"Class2","R","X",32.921,11,49.146,87.2,24.062,9.076
22.669,61.874,22.814,57,"Class2","R","O",55.684,10,39.441,84.349,67.428,64.024
17.893,56.82,96.507,83,"Class3","A","L",90.436,67,40.595,30.251,39.929,48.582
34.245,33.979,38.756,54,"Class2","T","Y",50.043,8,38.684,3.392,29.618,46.478
NA,40.232,37.748,53,"Class2","T","X",39.447,10,36.043,58.888,56.01,29.095
86.553,56.368,75.909,66,"Class3","Y","K",86.15,74,36.709,26.834,26.99,36.265
25.103,32.916,33.564,61,"Class1","K","P",63.964,56,40.943,1.848,61.615,63.753
24.375,68.284,43.293,44,"Class1","Z","H",53.645,54,12.865,2.085,69.602,66.823
34.344,43.158,46.123,45,"Class2","T","Y",54.021,8,55.132,54.61,39.497,20.894
55.53,50.254,80.952,82,"Class3","A","K",87.693,74,40.526,31.624,20.252,22.997
