"BXE1","PFV2","EVF3","DCN4","LUK5","Output25","YVS6","WGI7","HFI8","JAO9","PKG10"
8.224,"F",43.421,5.041,73,"Class1",72.127,16.565,"F",NA,32.354
45.699,"N",83.066,32.634,45,"Class5",62.948,7.961,"E",90.591,97.744
35.289,"U",31.418,32.379,82,"Class4",13.926,50.779,"O",86.437,24.607
74.026,"H",87.585,11.894,31,"Class3",81.39,74.102,"U",84.171,23.432
68.016,"O",93.881,27.497,22,"Class3",73.884,79.4,"W",82.656,80.24
49.835,"H",83.646,33.734,42,"Class5",62.958,14.131,"E",88.03,97.048
7.096,"F",26.492,5.637,71,"Class1",72.744,53.833,"F",55.219,31.309
38.935,"K",72.867,25.706,41,"Class4",12.765,82.406,"V",87.008,34.82
88.734,"H",92.006,34.337,32,"Class3",75.498,72.601,"W",85.672,71.205
39.531,"U",56.602,33.9,41,"Class4",32.507,63.976,"H",88.978,21.47
82.841,"A",89.031,56.014,22,"Class3",82.631,79.511,"B",87.353,43.382
7.95,"F",24.146,5.761,71,"Class1",70.959,19.918,"M",50.359,29.661
66.45,"I",84.944,12.862,44,"Class2",50.417,62.148,"N",66.281,55.874
66.407,"O",NA,24.255,51,"Class2",25.199,78.06,"G",42.654,91.549
21.295,"H",83.926,33.946,37,"Class5",59.46,16.039,"B",88.227,97.664
42.578,"U",52.792,38.689,65,"Class4",19.166,53.682,"V",87.907,33.882
66.833,"Q",82.968,15.917,63,"Class2",57.379,84.278,"Q",44.536,53.189
23.632,"R",82.621,33.207,32,"Class5",64.743,7.915,"K",86.532,97.577
41.433,"U",81.62,33.352,37,"Class5",61.178,13.527,"G",NA,97.341
72.521,"Y",92.866,24.943,41,"Class3",81.34,83.201,"W",79.709,76.841
67.601,"Q",83.71,14.826,58,"Class2",70.855,61.636,"O",NA,15.527
66.507,"Q",84.345,23.167,34,"Class2",17.292,79.855,"N",36.542,109.496
29.965,"R",84.49,32.677,32,"Class5",62.01,16.479,"E",84.134,97.478
65.564,"O",87.574,13.894,40,"Class2",26.277,52.043,"G",69.88,46.863
30.446,"U",NA,33.133,45,"Class5",63.557,6.488,"E",87.591,97.604
65.403,"Q",77.88,22.827,36,"Class2",35.568,66.486,"O",43.894,83.824
9.32,"T",35.995,4.791,70,"Class1",76.429,68.792,"M",51.781,29.636
35.216,"K",29.281,30.416,92,"Class4",8.563,80.024,"H",86.151,8.374
9.151,"F",-3.775,4.743,69,"Class1",70.388,18.974,"O",NA,37.653
8.692,"K",34.265,5.578,71,"Class1",68.489,67.216,"O",58.345,37.323
8.307,"T",38.329,4.556,69,"Class1",77.962,36.209,"X",51.081,30.411
34.359,"K",48.419,33.133,70,"Class4",20.665,79.168,"O",88.64,16.138
75.579,"A",92.695,33.424,36,"Class3",75.455,74.382,"Z",88.647,54.018
9.53,"K",22.915,4.778,69,"Class1",70.091,56.628,"F",58.051,33.94
6.944,"T",8.35,5.075,69,"Class1",72.952,65.883,"M",52.904,30.482
36.279,"M",57.299,37.407,45,"Class4",12.583,69.842,"P",87.79,29.277
33.307,"U",66.99,31.094,42,"Class4",29.908,44.482,"P",86.792,-1.218
73.386,"G",91.382,49.699,33,"Class3",84.031,75.119,"U",81.266,53.564
82.385,"A",94.51,14.719,23,"Class3",77.708,81.322,"B",81.853,80.768
65.877,"O",92.813,21.748,61,"Class2",60.083,63.054,"N",84.344,79.676
39.002,"U",83.396,31.089,50,"Class5",62.453,8.357,"E",84.669,97.535
70.306,"G",86.738,59.079,33,"Class3",78.714,79.159,"U",83.545,29.179
7.925,"J",9.305,5.488,72,"Class1",76.973,38.436,"V",52.642,23.903
8.535,"J",47.245,4.188,73,"Class1",69.556,20.522,"O",53.826,27.37
34.098,"Q",56.434,30.968,61,"Class4",-8.317,31.894,"H",87.232,30.662
35.096,"U",81.273,31.093,50,"Class5",62.178,9.745,"K",92.255,97.898
73.533,"A",99.334,22.484,35,"Class3",81.229,78.599,"U",83.472,60.899
8.183,"T",22.045,4.492,71,"Class1",71.124,64.512,"M",53.825,26.474
66.552,"O",88.921,31.176,37,"Class3",71.918,76.63,"D",88.906,54.414
38.062,"M",70.743,35.777,69,"Class4",11.527,79.035,"O",87.451,-7.896
39.093,"Q",-3.024,33.712,69,"Class4",18.15,17.423,"V",87.022,34.38
30.658,"M",-4.351,27.973,93,"Class4",16.728,33.486,"H",87.785,7.847
68.667,"Q",75.54,14.199,50,"Class2",65.765,59.767,"G",75.386,75.749
40.02,"R",83.177,32.365,36,"Class5",62.611,7.463,"E",92.538,97.673
42.139,"Q",22.374,35.902,69,"Class4",4.304,7.579,"P",87.669,16.753
50.036,"P",83.401,31.57,38,"Class5",62.771,16.499,"G",86.298,97.671
31.936,"P",84.074,33.175,50,"Class5",61.555,16.001,"E",86.627,98.006
7.601,"F",29.424,4.851,71,"Class1",70.81,24.611,"M",47.776,29.289
65.869,"U",76.546,15.056,55,"Class2",41.816,64.371,"B",18.583,47.923
34.215,"Q",64.199,30.278,97,"Class4",2.35,13.66,"H",86.644,11.172
58.59,"U",83.483,31.161,29,"Class5",63.376,15.175,"R",87.238,97.716
7.784,"J",11.151,5.636,72,"Class1",71.026,16.54,"O",55.762,33.43
41.52,"N",84.196,33.124,44,"Class5",60.737,16.134,"B",92.517,96.939
43.97,"M",82.83,37.776,82,"Class4",15.583,67.995,"I",87.243,23.073
9.134,"F",27.8,5.667,73,"Class1",70.232,12.369,"F",53.49,26.753
77.784,"G",89.993,6.376,39,"Class3",69.79,76.476,"U",83.58,60.949
41.627,"M",54.953,38.663,53,"Class4",15.422,20.353,"V",86.797,22.233
69.526,"F",84.416,14.819,66,"Class2",76.226,69.617,"B",45.746,42.448
33.943,"O",41.945,39.466,41,"Class4",1.004,38.315,"P",87.972,9.402
64.703,"F",80.856,12.475,51,"Class2",13.556,56.322,"O",75.573,109.136
35.818,"U",83.396,31.814,32,"Class5",61.356,8.623,"K",92.639,97.95
67.646,"O",81.722,13.508,54,"Class2",20.057,59.224,"O",47.866,65.107
72.556,"A",94.259,11.908,29,"Class3",63.401,79.351,"W",85.693,85.276
28.007,"K",40.728,27.685,55,"Class4",3.782,60.414,"I",87.222,13.222
75.832,"G",96.308,32.462,29,"Class3",85.956,76.081,"Z",NA,51.167
9.774,"J",40.87,5.831,69,"Class1",71.36,45.492,"M",57.081,30.633
68.288,"Q",90.888,18.723,64,"Class2",37.305,75.172,"Q",67.778,49.485
32.577,"U",35.029,34.311,86,"Class4",27.785,9.905,"I",88.684,6.208
29.155,"K",58.386,36.713,55,"Class4",11.901,41.114,"H",88.179,36.169
68.776,"F",80.086,20.213,64,"Class2",60.501,75.295,"B",NA,63.344
66.017,"O",76.837,16.783,50,"Class2",7.576,63.716,"N",85.163,79.537
66.57,"I",87.479,23.44,38,"Class2",34.181,70.802,"N",93.541,107.825
51.5,"N",83.166,33.559,30,"Class5",62.915,15.803,"B",92.968,97.297
71.597,"Y",93.19,38.484,40,"Class3",63.248,83.695,"Z",79.467,66.787
67.284,"O",83.12,17.328,38,"Class2",57.805,68.675,"O",46.774,55.644
66.107,"O",76.038,13.352,44,"Class2",52.755,76.98,"Q",49.331,95.597
30.853,"K",59.329,38.497,48,"Class4",17.384,18.767,"I",88.167,11.412
69.131,"O",80.114,13.764,50,"Class2",49.811,83.087,"Q",50.494,94.555
68.962,"U",75.965,16.166,67,"Class2",45.764,59.415,"G",42.225,90.733
35.642,"K",61.018,35.386,77,"Class4",14.996,40.776,"P",86.065,65.262
75.051,"G",99.718,7.93,25,"Class3",75.443,77.397,"B",88.884,74.765
67.923,"F",70.506,8.417,44,"Class2",25.537,59.986,"Q",83.786,59.801
76.564,"A",96.801,59.31,25,"Class3",70.534,76.668,"Z",79.768,25.404
69.166,"A",93.144,60.826,35,"Class3",65.303,74.61,"B",80.629,68.24
32.512,"Q",52.338,35.392,96,"Class4",1.625,61.484,"V",86.772,29.947
9.539,"K",43.749,4.069,72,"Class1",71.193,27.305,"F",58.587,29.742
65.519,"I",79.366,10.999,39,"Class2",51.339,84.851,"Q",38.989,76.463
62.831,"Y",95.884,8.802,24,"Class3",66.889,73.86,"W",90.267,51.331
66.38,"O",85.805,9.621,33,"Class2",74.743,78.897,"O",40.164,60.735
34.608,"O",75.359,27.957,63,"Class4",25.938,61.287,"V",86.15,30.764
33.013,"K",73.824,36.955,75,"Class4",6.294,25.294,"O",87.991,34.374
75.738,"Y",89.308,16.759,33,"Class3",75.371,80.75,"Z",89.995,37.963
34.126,"R",84.747,33.12,34,"Class5",63.014,15.712,"K",84.513,97.544
32.734,"Q",56.773,25.72,87,"Class4",11.588,59.698,"P",88.377,20.838
45.877,"Q",64.304,36.68,97,"Class4",17.167,44.784,"P",87.574,30.674
77.356,"O",90.471,22.285,20,"Class3",70.796,78.23,"B",83.422,82.136
72.058,"O",92.864,4.785,25,"Class3",67.451,72.92,"B",83.212,68.235
77.782,"G",90.203,58.043,22,"Class3",63.588,83.037,"D",80.573,79.038
8.607,"T",-0.572,4.617,72,"Class1",70.441,57.429,"V",NA,28.176
33.554,"M",64.101,31.365,79,"Class4",9.602,18.27,"H",87.947,23.663
68.848,"O",77.306,8.023,62,"Class2",76.547,70.231,"N",46.038,53.388
18.291,"P",84.049,33.662,32,"Class5",63.673,12.186,"R",88.797,97.65
30.473,"M",20.669,34.766,42,"Class4",19.568,60.442,"O",86.242,18.551
6.993,"K",25.303,4.771,72,"Class1",73.415,50.781,"X",59.593,26.953
31.046,"H",83.862,33.09,55,"Class5",63.577,13.289,"R",85.942,97.702
32.108,"U",48.554,31.703,88,"Class4",21.683,81.938,"I",87.917,32.301
8.578,"J",12.943,4.162,69,"Class1",76.639,60.773,"V",NA,31.766
30.174,"M",49.25,28.822,66,"Class4",-1.989,41.559,"V",NA,17.614
6.282,"L",NA,5.161,72,"Class1",76.735,13.95,"O",48.47,30.187
45.915,"R",83.302,32.115,31,"Class5",62.036,11.313,"G",91.038,97.505
8.349,"K",59.448,5.396,74,"Class1",76.702,24.023,"F",60.164,34.101
8.677,"K",38.003,4.537,72,"Class1",69.152,34.161,"F",54.466,25.355
24.4,"U",83.188,31.771,36,"Class5",61.154,6.306,"E",91.952,97.382
28.847,"N",83.991,33.104,46,"Class5",61.546,5.091,"R",91.321,97.816
74.072,"G",88.416,38.283,32,"Class3",66.399,71.811,"U",90.104,80.24
8.202,"T",49.657,4.067,74,"Class1",70.85,38.059,"M",57.792,38.032
8.854,"F",62.968,4.18,73,"Class1",73.238,17.075,"M",48.497,34.476
79.69,"Y",86.306,41.07,21,"Class3",75.286,75.864,"W",84.544,69.274
71.31,"G",91.192,12.823,26,"Class3",66.549,78.529,"U",85.852,55.553
8.76,"J",4.631,5.55,71,"Class1",70.617,25.347,"M",NA,29.68
78.39,"H",90.898,13.016,20,"Class3",76.606,81.562,"B",81.313,56.506
64.639,"F",83.499,21.495,55,"Class2",4.412,66.303,"N",74.302,68.92
30.061,"U",84.227,33.291,44,"Class5",61.989,10.347,"B",86.252,97.351
7.358,"L",26.835,5.556,74,"Class1",66.11,22.288,"X",52.398,35.093
43.418,"U",83.472,31.041,37,"Class5",62.612,18.873,"E",89.967,97.748
65.052,"O",88.08,63.882,28,"Class3",85.224,73.17,"B",81.132,76.122
54.028,"R",82.837,33.636,32,"Class5",63.333,8.516,"G",90.069,97.246
66.364,"U",72.485,14.317,51,"Class2",11.834,69.823,"G",24.731,90.333
77.039,"A",88.78,18.492,33,"Class3",62.509,75.459,"U",90.11,69.745
28.314,"U",35.325,30.001,84,"Class4",24.552,5.94,"V",87.609,-26.888
67.513,"H",93.25,43.208,28,"Class3",62.263,83.195,"Z",79.766,36.928
30.671,"Q",66.225,37.619,42,"Class4",33.641,47.089,"O",86.473,50.588
7.989,"K",54.659,4.898,71,"Class1",70.15,56.122,"V",54.874,32.656
76.143,"Y",90.676,61.314,30,"Class3",71.069,80.502,"W",87.282,62.23
27.814,"Q",26.83,33.729,66,"Class4",13.882,29.029,"V",86.855,25.348
66.803,"Q",80.986,24.074,60,"Class2",44.462,51.234,"Q",NA,83.626
66.307,"I",80.129,17.902,40,"Class2",41.771,63.607,"B",84.997,105.719
65.295,"O",94.335,61.204,42,"Class3",69.714,81.943,"Z",79.551,77.344
56.952,"N",83.713,32.963,47,"Class5",62.457,17.744,"B",86.548,97.8
9.018,"T",22.859,4.067,69,"Class1",74.094,54.062,"V",54.09,32.599
29.289,"P",81.509,32.523,46,"Class5",62.376,16.226,"K",89.91,97.155
31.527,"P",83.429,33.768,53,"Class5",63.889,14.743,"R",92.46,97.498
84.721,"G",86.303,2.209,28,"Class3",58.659,83.263,"Z",84.994,72.533
37.887,"U",22.907,27.466,81,"Class4",16.596,13.77,"H",88.38,34.788
73.592,"H",96.239,15.382,36,"Class3",67.845,81.72,"Z",80.188,68.261
6.071,"K",44.088,4.415,73,"Class1",69.427,51.515,"X",52.904,29.386
74.442,"G",99.368,49.23,38,"Class3",61.715,72.332,"B",85.242,38.289
29.146,"Q",44.032,31.329,43,"Class4",4.903,8.715,"H",86.362,70.817
8.923,"T",13.405,4.098,69,"Class1",68.451,21.296,"M",NA,29.775
64.576,"Q",72.835,24.252,49,"Class2",60.326,73.064,"Q",51.9,54.119
30.372,"O",41.473,28.183,48,"Class4",-0.584,46.677,"H",88.654,30.37
66.992,"F",98.547,10.609,35,"Class2",47.628,81.964,"Q",18.829,66.17
7.856,"K",NA,5.143,73,"Class1",75.547,11.533,"M",47.139,32.173
26.618,"U",83.11,31.571,39,"Class5",63.622,13.64,"R",88.227,97.629
66.168,"U",79.979,21.14,54,"Class2",11.269,78.767,"B",83.029,87.357
74.914,"H",93.138,42.037,31,"Class3",76.821,79.249,"U",85.032,87.753
54.1,"R",83.643,32.765,36,"Class5",62.648,7.652,"G",91.03,97.216
31.571,"K",48.871,38.935,89,"Class4",8.552,52.107,"H",86.937,28.545
30.396,"R",83.156,33.318,37,"Class5",64.535,5.981,"B",87.448,98.264
79.49,"A",89.128,9.958,34,"Class3",74.547,73.947,"Z",88.815,67.357
43.773,"N",83.661,32.324,46,"Class5",63.448,9.245,"K",86.664,97.563
22.047,"H",82.784,33.944,42,"Class5",62.672,13.86,"B",91.184,97.804
78.017,"G",94.93,42.448,42,"Class3",74.083,75.5,"D",85.772,79.448
68.726,"Q",70.849,17.825,51,"Class2",32.536,61.059,"B",33.043,105.111
68.287,"F",72.628,16.892,49,"Class2",86.836,67.287,"B",26.091,89.653
67.985,"Q",80.247,22.549,47,"Class2",54.313,58.332,"B",32.172,53.966
66.576,"Q",85.85,11.771,64,"Class2",81.019,52.419,"G",31.175,86.937
7.782,"F",24.974,5.338,70,"Class1",73.402,24.284,"X",50.045,29.629
74.253,"A",90.297,36.037,36,"Class3",82.6,78.535,"W",87.829,63.84
43.606,"P",84.985,31.314,49,"Class5",62.01,8.228,"E",91.407,96.895
89.775,"A",92.408,59.156,40,"Class3",68.827,79.515,"D",84.572,104.39
66.237,"I",75.146,10.323,63,"Class2",43.144,74.339,"N",61.31,60.833
34.766,"Q",62.774,38.099,63,"Class4",13.412,9.52,"P",87.28,21.294
18.668,"N",83.053,33.835,52,"Class5",59.536,5.528,"E",87.387,97.176
66.356,"Y",96.768,9.689,21,"Class3",67.79,74.843,"U",NA,79.522
30.158,"P",84.249,32.157,39,"Class5",61.719,16.969,"B",92.787,97.397
67.79,"Q",77.216,19.87,65,"Class2",77.073,62.715,"B",33.223,64.041
81.278,"G",94.653,27.511,31,"Class3",81.039,81.092,"D",82.17,56.118
87.647,"Y",97.02,62.976,23,"Class3",60.061,79.779,"U",89.623,66.226
66.673,"Y",94.612,41.912,26,"Class3",65.786,75.077,"D",80.231,87.912
23.14,"P",85.079,31.977,31,"Class5",63.788,6.095,"R",88.698,97.847
27.856,"Q",16.379,28.66,52,"Class4",-3.348,71.565,"I",86.565,17.803
58.354,"P",83.55,32.19,48,"Class5",63.553,7.614,"E",NA,97.685
66.369,"F",85.224,19.387,67,"Class2",58.139,50.833,"Q",41.869,96.555
7.285,"J",-0.569,4.638,69,"Class1",69.913,31.561,"F",NA,28.496
38.012,"O",46.151,30.464,59,"Class4",5.252,5.966,"O",86.156,19.055
67.819,"F",77.093,14.147,46,"Class2",76.686,75.508,"B",NA,80.599
31.023,"R",83.531,32.484,49,"Class5",63.708,7.548,"B",89.344,97.23
94.914,"G",103.115,35.526,41,"Class3",61.116,79.095,"W",88.903,62.894
7.054,"F",36.091,4.884,70,"Class1",75.723,48.904,"O",57.905,28.943
11.136,"L",46.459,5.77,74,"Class1",74.602,51.842,"O",54.926,30.519
29.28,"U",70.682,35.509,64,"Class4",15.363,15.579,"I",88.166,62.945
67.915,"Q",74.548,18.323,50,"Class2",55.933,57.708,"Q",67.417,47.967
8.257,"J",63.529,5.812,69,"Class1",70.265,52.649,"X",57.482,29.955
8.995,"T",-2.995,5.824,71,"Class1",72.242,69.441,"O",50.293,30.05
26.6,"O",46.181,25.872,45,"Class4",2.195,66.566,"H",87.602,16.962
7.184,"F",34.665,4.582,73,"Class1",68.441,60.589,"O",58.83,34.937
28.53,"U",84.679,33.249,30,"Class5",63.693,18.657,"G",88.898,97.89
45.142,"U",83.281,31.07,38,"Class5",64.98,7.975,"R",85.194,97.719
68.831,"U",75.313,16.468,45,"Class2",10.615,51.887,"Q",25.259,47.746
84.805,"O",93.988,16.541,21,"Class3",63.399,73.178,"B",81.013,64.845
67.633,"Y",88.746,41.917,28,"Class3",73.217,71.734,"U",87.738,46.565
8.344,"F",8.798,5.022,74,"Class1",70.661,25.143,"F",53.092,34.309
64.716,"H",84.126,33.228,48,"Class5",63.539,17.645,"G",87.46,97.279
34.36,"O",17.553,30.126,66,"Class4",5.265,9.451,"O",87.72,12.589
65.953,"Q",82.52,17.254,62,"Class2",34.861,57.912,"B",68.068,53.937
27.986,"U",84.659,32.363,43,"Class5",62.823,11.593,"E",84.882,97.484
32.938,"K",37.124,37.807,58,"Class4",13.49,67.392,"P",86.619,42.503
8.85,"J",60.823,4.671,74,"Class1",67.042,18.408,"F",50.215,27.44
12.09,"U",84.418,32.014,39,"Class5",62.762,13.335,"R",85.997,97.731
66.87,"O",75.622,11.734,64,"Class2",21.123,81.152,"N",46.595,69.542
7.561,"J",31.678,5.098,73,"Class1",69.237,35.438,"F",56.219,33.569
