"KZN1","IHU2","POK3","FXI4","GDY5","FHT6","Output14","WZI7","VCX8","OYE9","PGS10","JZR11","CQD12"
67.226,56,68,41.692,50.47,68.473,"Class1","Q",41.546,56.578,"Y",62.254,31.378
94.767,88,39,35.029,78.761,58.093,"Class4","B",53.378,96.87,"C",11.585,55.157
79.047,74,75,41.059,-8.293,58.951,"Class1","B",43.482,56.173,"N",62.175,54.029
32.577,43,87,91.777,60.941,13.964,"Class2","A",97.45,74.541,"O",75.639,68.746
73.033,49,51,24.842,56.953,47.021,"Class3","E",56.537,56.22,"W",16.235,86.708
31.687,54,42,76.802,61.978,26.645,"Class5","F",41.563,79.378,"X",17.836,56.821
90.917,66,61,40.535,80.848,34.644,"Class1","Q",41.59,76.932,"H",67.132,37.202
69.732,49,60,10.452,68.093,53.902,"Class3","H",78.192,60.297,"G",23.397,45.667
25.58,46,79,91.159,60.407,13.69,"Class5","F",35.115,82.575,"K",21.905,23.305
30.52,38,53,89.901,58.668,25.183,"Class5","F",32.833,83.503,"V",30.599,43.694
31.899,59,50,79.254,62.501,23.354,"Class5","U",37.468,69.053,"K",23.117,59.404
67.174,55,63,9.204,94.375,33.139,"Class3","V",79.535,55.982,"W",30.344,101.447
67.4,51,33,22.608,73.43,31.292,"Class3","Q",81.495,57.808,"K",6.548,65.19
86.828,52,68,38.604,3.274,52.922,"Class1","B",43.239,85.497,"Y",63.345,68.364
-21.893,53,73,77.692,55.812,27.049,"Class2","A",94.79,72.024,"Z",59.543,68.17
70.821,78,65,38.064,51.23,42.659,"Class1","B",42.161,76.276,"G",62.526,60.14
75.133,45,59,40.219,103.885,36.54,"Class1","G",43.983,45.508,"N",63.121,61.765
88.476,51,85,34.079,48.795,44.312,"Class1","B",40.642,42.923,"N",62.882,80.574
64.874,40,72,59.2,53.229,27.74,"Class2","A",96.091,65.626,"M",53.356,62.481
80.3,90,39,36.296,78.516,68.74,"Class4","N",52.894,65.317,"T",1.281,57.899
80.385,89,72,39.987,59.514,72.615,"Class1","B",40.089,74.737,"Y",65.878,66.64
76.214,47,79,42.993,22.649,71.88,"Class1","L",41.334,68.534,"J",67.174,54.44
66.522,82,58,35.971,60.585,57.642,"Class4","S",49.806,34.538,"J",11.007,61.508
59.49,91,59,34.269,68.345,48.129,"Class4","N",59.969,82.839,"C",4.755,54.983
89.972,72,62,41.897,69.516,23.062,"Class2","P",94.914,64.133,"M",73.47,72.969
70.269,32,81,45.741,57.57,0.941,"Class2","U",95.149,73.359,"M",68.261,64.789
84.642,78,50,34.922,63.111,55.248,"Class4","B",59.623,99.195,"T",2.728,57.372
31.948,36,74,64.206,43.623,6.085,"Class2","X",94.632,67.538,"Z",52.897,75.391
90.049,68,62,33.904,85.919,63.001,"Class1","G",41.685,41.234,"Y",63.236,93.428
27.64,58,84,85.032,58.307,31.085,"Class5","R",NA,79.187,"V",19.28,57.117
70.561,50,77,37.601,33.098,15.383,"Class3","E",52.754,63.853,"W",12.049,86.307
59.486,78,44,35.875,53.494,58.531,"Class4","I",49.187,89.813,"M",6.962,57.45
79.834,86,63,34.066,44.978,59.168,"Class4","I",55.739,98.446,"J",4.014,59.965
66.119,54,63,24.55,60.629,43.005,"Class3","H",64.191,67.362,"J",12.39,52.607
25.102,39,34,91.521,54.351,43.633,"Class5","F",30.152,88.96,"Y",30.547,49.966
66.595,53,86,24.776,87.977,19.034,"Class3","E",57.855,68.085,"W",20.635,43.896
75.066,81,78,44.128,82.255,41.639,"Class1","W",40.244,59.904,"J",64.161,55.403
28.867,54,43,79.903,59.881,16.284,"Class5","F",31.136,95.982,"K",31.271,64.459
69.056,47,46,20.972,66.087,59.92,"Class3","H",58.244,60.493,"Y",19.304,70.543
76.259,68,87,39.344,58.424,55.067,"Class1","B",NA,73.312,"J",65.582,66.528
40.533,59,80,63.378,63.273,1.474,"Class2","X",95.242,73.763,"V",64.068,65.363
-16.776,42,82,65.036,61.23,22.982,"Class2","X",96.418,61.68,"W",63.126,60.717
65.35,89,67,45.932,58.134,59.245,"Class1","W",41.397,71.823,"G",62.512,46.423
73.697,49,93,41.094,39.94,49.997,"Class1","G",42.845,41.533,"Y",66.376,41.753
81.374,77,91,38.74,40.852,33.91,"Class1","L",40.078,40.731,"J",64.708,48.921
90.992,94,47,35.854,55.989,57.946,"Class4","O",NA,91.149,"M",11.359,55.124
31.299,93,47,35.227,49.14,44.804,"Class4","S",56.003,31.44,"K",11.833,55.842
36.215,86,55,35.199,NA,57.626,"Class4","O",59.181,11.632,"K",1.967,55.209
42.645,40,82,45.274,50.074,16.754,"Class2","A",NA,62.588,"O",67.28,76.944
102.518,87,56,40.468,44.208,62.515,"Class1","G",41.167,59.532,"Y",64.013,65.508
71.053,69,83,39.812,24.451,51.909,"Class1","L",41.21,53.944,"J",66.403,105.444
68.086,46,41,23.373,62.92,45.987,"Class3","H",61.286,66.91,"G",10.157,79.054
79.701,89,89,39.089,36.192,41.671,"Class1","B",43.006,44.476,"N",64.764,81.152
86.016,87,46,35.257,63.832,41.684,"Class4","O",58.978,87.99,"M",2.865,57.33
65.435,50,61,24.523,NA,55.96,"Class3","Q",72.016,62.968,"J",27.254,51.481
70.365,83,58,36.592,44.163,63.196,"Class4","I",49.969,38.752,"C",1.039,59.219
87.011,48,59,37.725,33.651,54.772,"Class1","L",41.436,71.317,"J",67.365,58.207
63.108,42,63,48.529,68.364,24.616,"Class2","T",95.159,67.788,"V",63.189,78.082
65.098,46,91,17.592,NA,48.694,"Class3","V",73.813,56.201,"Y",20.864,74.757
82.238,59,76,85.918,55.103,18.535,"Class2","T",99.102,72.785,"O",58.278,74.215
69.466,93,35,34.66,60.643,65.042,"Class4","S",NA,13.669,"T",5.128,59.293
21.731,45,80,67.781,61.206,11.521,"Class5","G",36.029,84.415,"Y",23.736,44.667
45.755,71,70,70.105,57.384,9.966,"Class2","A",93.575,67.131,"Z",51.105,68.99
35.401,62,60,54.412,67.894,16.163,"Class2","T",96.378,70.345,"W",69.627,77.424
99.044,42,65,38.85,71.732,47.712,"Class1","L",39.195,75.554,"N",66.901,66.951
72.135,49,39,16.043,88.34,51.867,"Class3","V",66.082,65.389,"J",8.041,105.165
48.447,91,62,35.34,49.799,39.393,"Class4","S",58.951,98.387,"K",9.217,51.746
77.968,81,71,43.674,16.309,67.195,"Class1","L",42.019,73.005,"Y",61.988,93.87
40.825,94,73,36.344,67.619,47.919,"Class4","I",50.777,30.544,"M",13.82,53.844
55.719,79,75,35.18,52.285,63.921,"Class4","I",52.323,45.849,"C",2.124,54.907
72.286,77,57,36.299,66.339,69.63,"Class4","O",53.408,62.764,"J",12.393,57.264
53.497,93,53,35.787,68.53,48.18,"Class4","B",57.999,82.536,"C",10.817,58.525
35.303,60,63,63.742,59.059,1.005,"Class2","U",97.552,61.807,"W",58.382,79.636
52.294,45,83,55.035,56.963,14.903,"Class2","A",97.556,65.101,"O",55.581,71.596
28.528,52,71,77.559,60.25,19.037,"Class5","G",40.072,77.716,"K",17.289,55.358
25.102,58,88,83.947,59.15,13.8,"Class5","O",24.747,89.809,"K",23.463,62.501
39.372,57,86,50.482,61.63,19.865,"Class2","T",99.578,67.637,"V",56.241,70.856
82.348,67,70,43.026,45.651,69.476,"Class1","L",40.766,77.708,"J",64.264,36.017
60.559,77,76,33.652,57.893,69.48,"Class4","S",49.785,75.706,"C",8.117,62.835
49.021,50,76,50.886,48.028,0.228,"Class2","U",99.975,68.576,"Z",63.584,77.648
88.585,75,91,40.8,27.934,69.286,"Class1","W",39.941,71.641,"J",65.894,63.293
31.996,43,73,62.542,59.595,49.014,"Class5","R",43.023,75.067,"K",30.531,56.539
29.553,77,47,35.68,NA,59.575,"Class4","S",53.832,98.192,"C",1.607,57.463
52.574,65,59,15.732,62.288,0.336,"Class2","X",95.149,69.542,"O",57.493,69.437
71.708,46,32,26.93,60.579,47.525,"Class3","E",58.271,54.925,"J",28.294,70.154
34.946,78,52,36.754,62.971,43.017,"Class4","I",56.284,97.2,"K",8.946,56.37
77.159,94,37,34.934,58.576,43.901,"Class4","I",59.758,88.711,"C",3.533,57.437
39.524,42,81,59.974,68.884,15.717,"Class2","U",97.711,60.778,"V",54.904,83.752
70.764,56,78,43.837,22.044,61.16,"Class1","L",43.707,86.931,"N",64.77,25.375
45.178,47,71,61.465,63.964,5.608,"Class2","T",97.978,73.655,"V",55.724,70.471
81.402,70,83,39.683,34.155,49.269,"Class1","Q",41.604,57.479,"J",67.63,54.207
22.858,40,66,77.755,61.309,6.835,"Class5","F",33.382,78.256,"B",22.611,76.74
38.892,63,63,29.271,57.48,14.645,"Class2","A",97.754,73.963,"Z",57.439,67.827
84.316,75,79,37.199,33.019,63.505,"Class1","L",41.676,79.183,"Y",62.538,43.032
87.634,45,87,37.823,67.363,54.243,"Class1","G",42.417,65.309,"Y",65.977,77.875
11.212,40,65,62.968,61.767,29.227,"Class2","U",93.528,68.028,"M",66.678,70.468
37.204,45,92,42.492,NA,19.471,"Class2","A",95.109,60.781,"W",67.609,72.387
67.881,49,39,19.294,58.183,22.026,"Class3","H",87.131,62.393,"J",2.084,79.887
89.607,76,80,39.312,8.49,47.041,"Class1","G",42.359,80.857,"Y",65.257,26.084
26.973,47,51,85.451,62.906,3.542,"Class5","R",35.938,84.003,"V",25.901,46.136
37.541,94,42,34.43,66.833,67.297,"Class4","O",54.885,34.076,"C",8.798,54.407
95.024,77,88,38.386,42.183,32.624,"Class1","Q",39.354,82.436,"Y",65.297,63.97
62.363,36,67,48.055,49.561,9.141,"Class2","P",98.295,63.574,"W",50.99,69.301
25.906,59,39,88.874,57.895,7.53,"Class5","G",37.145,72.898,"Y",22.795,41.741
86.636,50,60,35.179,52.531,70.58,"Class1","Q",43.978,40.171,"N",64.081,82.661
80.024,88,69,34.907,62.37,66.836,"Class4","O",59.661,15.498,"J",2.219,56.196
103.709,87,76,35.973,62.983,59.061,"Class4","S",55.912,56.912,"M",0.522,56.59
23.244,45,76,77.85,59.944,23.62,"Class5","G",35.189,77.913,"V",31.967,52.791
70.09,54,91,25.197,54.414,47.339,"Class3","Q",85.966,59.718,"G",4.996,97.032
69.531,62,69,36.61,57.726,63.71,"Class1","G",40.651,83.674,"N",61.816,79.041
85.863,83,58,35.705,62.339,38.385,"Class4","N",55.352,11.054,"T",13.611,54.698
70.583,53,28,4.397,32.486,22.285,"Class3","V",69.552,67.399,"Y",20.58,116.538
77.895,88,78,38.248,81.169,51.978,"Class1","G",41.286,83.808,"G",67.883,56.371
25.338,51,82,82.072,61.214,16.092,"Class5","R",40.68,82.64,"K",23.827,60.829
27.995,57,66,35.262,64.874,21.545,"Class2","P",NA,71.161,"M",67.712,76.656
67.945,91,36,35.29,47.805,54.127,"Class4","I",56.534,75.97,"K",3.362,63.087
67.704,46,89,33.26,90.269,37.532,"Class3","Q",70.494,67.411,"J",21.928,61.16
66.506,46,69,16.957,56.741,58.615,"Class3","E",68.23,61.457,"W",3.606,73.878
77.895,77,73,34.348,62.297,62.572,"Class4","S",58.451,58.244,"C",5.45,54.063
24.119,50,84,78.735,60.634,33.231,"Class5","U",26.459,83.655,"X",31.758,39.818
64.938,54,83,53.025,64.005,2.073,"Class2","U",99.439,62.935,"Z",72.133,76.092
102.545,83,69,33.117,49.752,62.482,"Class4","I",52.865,67.106,"K",4.941,59.233
69.383,52,60,22.924,53.948,34.747,"Class3","H",87.762,57.72,"J",22.26,39.295
20.23,47,35,86.414,64.034,14.119,"Class5","R",38.584,71.322,"Y",27.46,53.05
10.702,46,67,83.589,67.212,29.111,"Class2","T",98.463,71.825,"O",53.994,66.385
25.851,50,78,55.72,58.043,48.261,"Class5","U",26.629,78.11,"K",30.548,69.18
24.585,42,71,66.171,60.133,18.912,"Class5","O",41.548,74.911,"K",22.058,66.341
71.64,82,53,36.585,52.688,66.954,"Class4","B",49.79,61.849,"K",7.947,59.546
25.747,56,84,80.586,54.098,9.589,"Class5","O",25.586,84.911,"V",28.307,83.304
64.608,46,48,11.086,63.363,38.68,"Class3","V",72.355,53.371,"W",12.284,100.775
68.802,52,33,19.958,60.466,36.641,"Class3","V",75.124,65.18,"J",31.159,38.998
65.238,51,74,12.681,62.351,25.632,"Class3","Q",64.445,63.449,"Y",3.122,57.646
86.144,56,81,36.441,20.67,41.345,"Class1","G",41.555,79.767,"G",65.899,26.693
70.447,53,75,24.221,68.79,42.216,"Class3","V",77.609,67.172,"W",1.589,79.822
68.843,46,57,-5.05,NA,17.526,"Class3","Q",54.03,55.871,"K",25.139,46.063
63.167,88,79,38.461,69.892,65.323,"Class1","Q",41.902,85.409,"N",66.163,69.413
68.329,48,27,18.427,63.942,45.318,"Class3","Q",NA,57.134,"K",31.3,90.847
67.365,46,69,37.766,15.309,56.943,"Class1","L",39.221,68.952,"H",63.457,74.784
25.918,46,70,68.962,55.183,47.062,"Class5","G",37.066,90.222,"X",17.888,58.21
67.905,50,55,19.965,67.814,38.564,"Class3","Q",76.476,56.64,"Y",8.413,50.621
69.07,50,79,0.311,71.081,55.006,"Class3","V",73.583,67.034,"K",27.777,56.738
62.307,89,36,35.726,58.034,49.696,"Class4","N",50.015,44.789,"C",14.533,59.603
27.886,58,61,66.945,53.558,47.345,"Class5","U",36.709,76.151,"B",24.157,36.357
28.239,40,72,82.083,54.57,54.442,"Class5","G",25.134,96.416,"B",17.676,56.485
49.206,84,38,35.927,NA,42.916,"Class4","I",57.162,68.056,"T",4.713,55.876
62.682,46,90,40.39,49.983,4.097,"Class2","U",97.055,65.988,"Z",75.199,67.656
38.788,84,38,35.706,61.418,66.03,"Class4","O",52.187,67.046,"T",2.311,54.103
68.222,85,35,36.768,63.42,53.74,"Class4","S",50.487,60.352,"J",5.212,58.822
63.908,48,90,21.702,NA,23.756,"Class3","W",69.608,67.927,"K",29.143,55.859
-2.876,37,57,45.638,58.234,0.754,"Class2","T",94.455,68.756,"W",57.587,68.751
58.883,80,37,35.427,51.769,58.253,"Class4","S",49.768,16.605,"M",5.191,59.002
74.563,47,75,40.199,31.408,58.753,"Class1","W",40.869,74.152,"H",63.74,20.584
31.983,36,67,91.931,57.785,23.272,"Class5","G",26.286,72.658,"X",18.772,63.166
30.695,59,34,97.063,NA,56.715,"Class5","U",40.255,72.539,"V",30.29,61.62
80.448,45,88,39.426,50.586,42.28,"Class1","L",42.2,78.395,"J",64.797,47.958
68.067,60,69,59.376,62.169,26.942,"Class2","T",94.251,66.833,"Z",56.302,77.47
81.558,60,86,38.656,25.596,36.15,"Class1","L",NA,71.826,"J",61.228,53.122
70.979,50,34,20.988,66.897,49.673,"Class3","H",87.741,56.284,"J",15.044,80.864
79.321,71,79,36.642,6.504,66.034,"Class1","L",40.666,56.049,"N",66.928,87.357
59.254,86,36,36.447,56.51,66.743,"Class4","S",55.138,56.336,"C",2.948,56.255
82.793,92,67,35.376,48.689,60.728,"Class4","S",53.493,13.728,"K",4.078,61.83
29.482,38,72,84.191,60.715,51.572,"Class5","O",20.428,92.857,"K",31.309,56.481
64.079,49,27,17.558,69.75,56.584,"Class3","E",80.166,53.444,"Y",6.821,47.38
75.08,76,61,39.306,73.999,52.301,"Class1","G",40.811,85.257,"Y",62.104,53.33
67.495,51,40,18.981,44.977,61.036,"Class3","V",84.272,65.151,"G",18.93,83.022
78.967,47,87,39.551,-14.264,44.249,"Class1","W",40.633,52.119,"H",65.117,100.184
21.139,37,57,33.987,58.931,5.283,"Class2","T",99.983,70.614,"M",55.75,71.784
66.538,49,32,18.743,34.252,58.456,"Class3","E",80.771,67.664,"W",12.444,99.251
73.617,88,57,37.731,52.278,64.631,"Class1","W",42.029,44.19,"N",67.394,69.301
78.363,49,66,37.99,44.036,41.047,"Class1","Q",42.501,69.599,"J",63.524,72.076
30.834,39,76,52.977,59.697,14.714,"Class2","T",93.722,66.348,"W",63.894,71.672
89.42,85,70,38.165,58.371,59.875,"Class1","B",41.114,54.791,"G",65.806,43.902
75.848,66,73,34.134,67.122,48.25,"Class1","G",NA,88.777,"H",61.85,67.764
71.404,51,48,27.486,NA,44.328,"Class3","E",59.194,68.351,"G",8.751,84.729
25.563,51,62,66.154,55.786,37.368,"Class5","F",31.926,75.075,"Y",22.921,60.639
27.922,46,58,68.055,62.057,24.729,"Class5","O",33.716,77.889,"Y",29.249,47.247
1.214,33,87,23.633,NA,7.619,"Class2","U",96.031,64.612,"V",60.102,72.714
25.122,54,50,93.85,56.199,23.532,"Class5","R",45.141,80.919,"X",26.642,44.776
43.422,91,59,35.531,57.998,39.098,"Class4","B",NA,88.215,"C",13.957,57.481
81.949,64,70,39.577,17.682,72.759,"Class1","L",39.811,72.552,"J",64.817,58.896
23.549,33,74,90.714,61.355,7.78,"Class2","X",95.89,70.981,"O",67.34,56.751
53.569,55,58,56.475,64.399,2.076,"Class2","T",97.047,67.143,"M",49.596,67.914
23.556,47,90,33.838,57.705,20.878,"Class2","P",93.15,71.848,"W",53.518,74.999
79.739,93,59,33.081,53.412,44.137,"Class4","O",56.307,55.774,"J",13.012,58.362
30.563,39,81,75.431,60.802,36.562,"Class5","U",40.866,92.315,"B",26.399,76.103
68.153,52,67,14.331,79.215,24.921,"Class3","H",65.008,55.222,"W",11.726,82.317
78.774,71,58,44.613,NA,41.159,"Class1","B",42.544,87.887,"Y",61.814,28.173
-80.53,70,77,22.234,50.515,15.891,"Class2","P",98.51,60.889,"O",58.666,73.843
28.029,55,92,77.164,59.262,19.553,"Class5","O",44.034,92.392,"V",22.228,51.795
66.962,46,82,11.897,27.093,39.633,"Class3","W",85.326,68.236,"J",7.342,65.05
70.343,51,86,23.637,55.885,32.513,"Class3","Q",59.636,54.575,"J",29.45,78.749
28.325,40,59,74.722,58.895,39.711,"Class5","O",45.349,88.849,"Y",29.471,56.899
25.355,38,71,97.443,60.534,43.432,"Class5","R",32.841,82.858,"Y",22.723,37.491
76.774,78,67,32.255,78.159,31.354,"Class1","L",41.644,73.16,"J",64.58,46.742
25.927,43,89,84.479,58.785,28.268,"Class5","U",28.27,76.203,"X",28.364,46.008
76.918,76,82,43.47,0.605,69.187,"Class1","W",40.885,83.196,"J",66.211,86.669
34.522,43,40,87.491,54.485,11.178,"Class5","R",36.413,76.303,"Y",20.125,38.502
20.735,55,67,52.575,68.503,1.411,"Class2","X",99.872,72.904,"O",50.065,74.94
78.845,45,85,41.304,36.761,51.587,"Class1","L",42.895,61.463,"N",65.353,70.642
65.747,85,45,35.293,72.71,56.73,"Class4","O",56.019,49.196,"C",3.094,57.533
60.212,78,36,35.943,47.407,42.134,"Class4","B",51.355,22.737,"M",4.275,56.193
28.609,50,84,29.663,68.509,3.369,"Class2","X",96.132,68.757,"M",74.484,66.61
3.341,35,77,43.632,59.663,11,"Class2","X",95.94,60.429,"O",68.166,77.302
65.209,48,59,9.371,83.409,32.449,"Class3","E",80.81,53.152,"W",20.123,66.831
71.408,49,50,30.273,91.509,37.332,"Class3","V",82.975,56.606,"G",26.304,90.618
78.554,75,58,39.992,14.211,43.602,"Class1","W",43.86,77.981,"J",67.435,81.302
65.306,91,44,34.182,55.611,66.426,"Class4","I",54.71,42.451,"J",0.077,56.048
38.213,55,73,44.762,72.751,24.395,"Class2","U",95.704,70.768,"M",52.309,67.47
58.379,86,50,35.412,58.815,53.335,"Class4","S",56.288,84.197,"C",8.533,63.459
81.434,90,66,34.569,61.74,56.919,"Class4","B",50.047,97.501,"C",10.965,56.328
65.88,52,70,16.809,58.206,15.825,"Class3","W",66.949,61,"J",13.351,77.622
63.768,84,66,36.965,51.704,55.504,"Class4","B",57.111,49.446,"J",2.967,55.269
22.82,41,69,39.172,48.839,27.719,"Class2","T",98.039,73.206,"Z",55.595,75.708
13.037,59,86,27.816,59.599,12.443,"Class2","X",98.455,72.147,"Z",56.672,67.824
60.169,78,45,34.875,69.633,49.677,"Class4","O",58.352,54.145,"M",2.209,58.006
25.629,49,89,91.172,51.465,33.931,"Class5","F",30.62,88.008,"K",22.965,54.052
67.478,54,60,12.457,96.78,45.686,"Class3","V",78.119,55.73,"Y",28.665,71.687
24.55,56,90,78.709,60.537,57.332,"Class5","G",42.966,89.468,"B",24.914,60.561
25.304,47,85,9.592,NA,29.268,"Class2","X",99.813,61.775,"M",49.039,74.967
69.931,47,53,20.716,70.369,56.021,"Class3","Q",64.467,62.356,"G",28.513,60.956
38.574,71,67,27.353,65.727,19.424,"Class2","X",98.87,69.232,"M",68.145,71.371
48.934,79,48,33.897,48.682,42.605,"Class4","N",NA,17.895,"M",10.805,56.136
51.716,93,40,35.636,50.271,60.976,"Class4","S",56.753,94.107,"C",0.869,57.239
41.717,82,35,34.802,58.837,67.77,"Class4","B",49.306,12.785,"K",7.445,56.888
62.619,71,58,37.14,15.889,33.816,"Class1","B",42.143,57.376,"J",63.556,90.981
27.022,57,37,82.107,60.693,6.528,"Class5","U",25.269,78.058,"B",18.443,47.08
65.866,90,48,34.149,58.255,41.792,"Class4","S",55.513,53.456,"K",8.118,56.647
30.608,86,60,34.792,64.215,61.473,"Class4","O",55.926,32.807,"T",8.055,57.945
29.858,37,59,79.066,61.007,25.648,"Class5","O",24.968,88.926,"Y",21.801,71.994
-51.648,45,73,88.098,62.952,22.331,"Class2","A",95.73,68.94,"M",75.149,70.039
46.118,51,91,20.253,60.283,13.474,"Class2","A",NA,63.291,"Z",73.979,61.571
78.86,61,89,34.532,29.355,33.499,"Class1","B",42.885,62.151,"H",65.485,112.073
21.509,40,64,86.459,61.238,48.589,"Class5","G",33.188,73.064,"X",25.578,65.73
79.399,94,60,36.629,49.328,47.977,"Class4","I",58.378,48.314,"K",0.959,54.091
80.818,58,68,38.589,30.818,46.965,"Class1","L",43.898,42.85,"H",62.663,117.332
52.823,88,43,35.918,51.148,53.708,"Class4","O",51.693,67.006,"M",5.324,54.026
24.901,55,67,58.771,59.121,32.764,"Class5","G",35.81,91.16,"B",26.276,74.406
24.204,46,81,76.308,62.699,52.595,"Class5","F",22.89,79.866,"B",21.085,40.533
71.2,53,22,13.587,52.773,16.723,"Class3","H",53.506,59.537,"W",5.037,69.336
70.931,78,84,39.179,1.348,57.501,"Class1","G",40.919,54.898,"J",66.978,59.165
68.01,54,81,28.341,NA,38.047,"Class3","E",78.382,56.722,"G",27.729,45.951
72.37,53,31,18.627,48.823,55.715,"Class3","V",52.444,58.451,"Y",17.29,77.988
26.832,51,82,81.946,60.158,1.586,"Class5","O",37.706,83.834,"K",23.554,70.834
85.97,84,67,36.543,61.896,44.386,"Class1","Q",43.058,88.319,"Y",63.706,28.391
76.821,53,27,30.474,59.377,55.33,"Class3","W",52.167,64.986,"Y",28.925,67.074
9.375,57,68,87.859,67.089,23.855,"Class2","T",98.193,67.339,"M",49.382,72.589
91.421,64,81,42.857,49.485,49.247,"Class1","Q",40.006,77.463,"N",64.711,84.713
36.219,66,91,6.347,41.558,20.461,"Class2","X",99.63,67.228,"O",72.323,65.6
62.1,82,45,36.122,63.606,57.346,"Class4","I",58.145,94.275,"J",10.731,55.041
74.13,44,64,41.382,66.476,40.241,"Class1","L",42.205,67.94,"H",67.254,79.918
25.672,38,66,68.938,62.573,1.07,"Class2","P",97.816,72.408,"Z",65.824,72.389
42.21,84,51,35.224,57.592,45.614,"Class4","S",NA,36.094,"C",2.169,58.69
92.147,60,63,34.413,75.958,59.381,"Class1","B",43.682,61.031,"H",65.719,72.226
74.176,81,38,35.312,60.031,44.764,"Class4","I",53.594,20.804,"J",11.107,58.421
63.859,41,61,35.844,67.314,8.199,"Class2","U",97.017,67.346,"V",52.981,66.931
30.767,45,55,82.807,61.239,34.614,"Class5","G",24.432,80.444,"X",25.285,68.509
13.566,42,83,56.71,64.635,20.614,"Class2","P",97.085,66.418,"M",65.494,72.741
27.133,53,46,73.194,64.335,49.889,"Class5","O",37.942,78.017,"V",20.443,54.881
69.151,77,74,35.774,62.893,61.156,"Class4","N",51.187,56.949,"J",4.823,58.083
55.012,57,91,7.6,69.622,20.442,"Class2","X",NA,63.98,"V",59.765,66.723
72.092,71,73,36.936,5.976,31.051,"Class1","B",39.301,83.062,"J",62.195,33.365
63.43,50,27,19.93,55.313,26.446,"Class3","W",NA,59.059,"W",22.463,56.068
68.792,54,89,-2.581,50.283,46.974,"Class3","V",81.528,61.286,"Y",16.328,85.117
45.068,86,49,35.351,58.394,64.444,"Class4","N",49.469,49.415,"C",9.855,57.333
77.865,80,85,42.53,-6.777,47.294,"Class1","Q",39.247,75.749,"H",61.277,41.612
23.882,43,72,72.26,60.704,19.307,"Class5","U",25.09,75.634,"X",28.391,66.092
