"MTH1","Output15","LTM2","RWU3","CRM4","BRK5","APS6","WRZ7","PTG8","XFR9","TLJ10"
21,"Class2",46.907,83.842,"E",68.498,80.105,50.448,"I",39.825,30.291
85,"Class1",84.24,23.563,"N",44.585,58.006,71.627,"V",38.108,36.145
59,"Class2",45.958,85.423,"C",72.103,84.282,69.755,"I",25.802,26.648
81,"Class1",75.828,113.188,"Y",43.895,42.782,75.42,"I",33.394,35.306
74,"Class1",72.959,60.303,"V",36.063,52.47,82.573,"V",38.414,20.262
32,"Class2",47.252,65.473,"O",73.672,93.767,59.648,"P",50.693,33.99
75,"Class1",80.653,39.761,"U",39.625,42.525,66.814,"L",32.748,32.675
34,"Class2",49.31,96.049,"O",67.036,97.012,93.879,"X",42.438,41.316
47,"Class2",44.118,92.159,"C",76.279,86.539,58.271,"V",54.664,30.064
71,"Class1",72.383,-0.525,"Y",51.656,50.895,68.748,"S",34.011,34.9
81,"Class1",63.962,67.995,"Y",39.184,23.243,89.781,"L",33.843,36.48
74,"Class1",56.589,66.023,"Y",28.483,46.093,82.14,"S",38.804,22.626
63,"Class3",31.483,19.339,"I",26.306,35.877,51.821,"X",52.344,72.237
82,"Class1",54.811,64.24,"V",46.278,26.885,75.503,"V",33.337,22.586
30,"Class2",44.729,82.687,"I",75.523,75.083,49.764,"I",NA,33.217
38,"Class2",46.717,79.078,"O",66.043,84.626,84.149,"I",57.597,35.953
21,"Class2",NA,89.375,"K",66.907,77.69,57.759,"W",NA,39.473
67,"Class1",55.812,51.286,"V",41.904,30.457,67.333,"S",38.771,32.417
14,"Class2",46.933,78.085,"I",71.534,85.281,60.925,"P",26.693,35.747
60,"Class3",30.638,16.02,"W",26.232,41.526,45.966,"X",4.284,43.86
54,"Class2",48.34,101.803,"I",66.929,96.029,48.52,"X",33.24,29.367
83,"Class1",NA,130.001,"U",46.179,18.939,71.578,"W",34.064,31.72
76,"Class1",NA,83.03,"Y",45.28,59.159,81.535,"W",37.285,18.299
58,"Class3",34.59,20.722,"I",26.909,21.165,57.457,"W",75.515,19.18
80,"Class1",67.314,102.252,"N",42.683,24.258,70.619,"L",33.024,24.72
70,"Class3",38.951,14.136,"I",26.505,21.312,73.769,"Y",NA,39.013
37,"Class2",45.687,86.739,"K",65.467,72.071,59.768,"W",56.607,24.941
36,"Class2",43.409,96.243,"C",70.048,96.301,64.549,"P",36.81,31.866
66,"Class2",47.719,82.821,"E",68.705,92.875,81.431,"I",53.544,30.934
21,"Class2",46.361,96.407,"K",72.674,76.718,68.717,"I",29.063,29.622
75,"Class1",63.87,18.155,"U",33.014,43.903,72.625,"V",35.587,39.089
46,"Class2",45.94,79.834,"I",76.348,76.024,79.673,"V",38.815,31.749
70,"Class1",86.177,94.283,"N",45.352,37.512,64.468,"L",33.183,29.564
52,"Class3",33.184,21.025,"W",26.494,59.194,54.912,"W",38.726,70.856
22,"Class2",45.068,87.41,"C",78.293,94.738,52.762,"W",42.868,31.412
69,"Class3",37.495,25.292,"P",26.434,17.297,54.072,"N",18.698,78.899
57,"Class3",32.525,25.586,"C",26.703,45.087,75.78,"X",54.978,56.057
67,"Class2",46.199,91.474,"C",69.852,82.838,49.141,"P",37.513,30.542
66,"Class3",35.129,25.389,"J",26.048,79.167,54.802,"N",27.379,44.147
71,"Class1",65.574,71.086,"O",42.727,52.992,76.492,"W",32.717,27.801
56,"Class3",32.199,25.795,"W",26.817,76.767,51.739,"W",75.588,42.674
55,"Class3",32.203,21.157,"P",26.909,92.937,64.672,"W",11.299,47.37
68,"Class2",46.174,80.61,"K",74.689,77.788,87.481,"P",25.237,34.696
55,"Class2",46.105,88.928,"I",69.599,72.478,88.546,"P",57.812,34.443
69,"Class1",65.429,79.558,"O",30.333,44.226,89.945,"S",33.539,37.621
53,"Class3",33.181,21.316,"C",26.804,56.077,46.078,"X",74.04,61.079
49,"Class3",34.871,24.231,"W",26.185,14.858,46.372,"R",46.543,66.467
36,"Class2",47.032,93.816,"C",71.431,88.979,66.509,"P",53.234,20.723
40,"Class2",NA,82.133,"C",70.738,74.626,86.483,"V",50.789,24.102
67,"Class1",63.112,57.975,"N",49.356,42.394,83.899,"V",38.49,31.011
72,"Class1",55.261,50.008,"U",40.506,19.395,75.016,"W",35.197,37.775
68,"Class2",46.724,83.094,"E",74.952,88.14,65.308,"P",30.288,32.564
28,"Class2",47.098,91.591,"C",70.302,90.142,63.29,"I",31.119,37.088
51,"Class3",35.485,14.882,"C",26.931,58.33,75.024,"R",11.397,44.942
78,"Class1",61.269,44.071,"Y",36.843,17.627,67.272,"S",32.364,35.293
61,"Class2",45.761,82.483,"O",80.38,90.614,59.09,"I",51.835,28.952
59,"Class2",44.908,100.825,"I",71.247,97.5,70.093,"W",35.993,27.927
73,"Class1",69.579,80.342,"O",36.993,63.411,70.674,"W",NA,32.732
22,"Class2",45.285,80.228,"C",68.907,71.286,86.666,"W",29.983,39.229
71,"Class3",34.293,25.425,"P",26.351,39.913,65.532,"N",33.786,49.855
78,"Class1",65.562,33.018,"N",43.874,46.972,68.576,"V",38.275,33.029
48,"Class3",35.02,15.617,"I",26.845,30.929,70.639,"R",10.721,70.056
74,"Class1",86.929,66.338,"V",28.351,17.557,67.729,"W",31.85,31.555
68,"Class1",89.624,45.038,"O",48.472,25.24,70.285,"I",31.174,33.382
25,"Class2",45.801,88.173,"I",63.875,74.579,90.057,"X",32.178,26.597
35,"Class2",44.424,80.535,"E",76.896,80.102,56.316,"I",30.307,27.95
69,"Class1",75.55,25.883,"Y",43.553,65.774,86.942,"L",33.578,31.678
58,"Class3",30.464,32.44,"J",25.718,39.917,67.965,"X",27.709,42.048
39,"Class2",45.785,89.635,"O",68.538,92.473,88.924,"W",44.595,27.146
61,"Class3",35.723,12.342,"P",27.01,75.18,56.801,"W",17.235,32.727
83,"Class1",71.666,58.469,"O",39.032,21.563,78.053,"V",35.421,13.092
81,"Class1",63.213,44.647,"O",38.885,17.335,68.678,"V",33.888,32.266
65,"Class3",32.784,18.558,"J",25.698,61.935,56.391,"R",9.774,21.741
59,"Class3",33.533,15.788,"W",26.922,83.46,57.519,"X",3.308,55.217
39,"Class2",45.06,99.294,"C",68.98,78.143,54.174,"V",34.789,27.893
65,"Class3",33.842,24.278,"P",27.348,39.687,53.266,"Y",58.309,69.374
66,"Class2",47.418,82.845,"I",75.25,86.093,52.776,"V",39.603,31.779
77,"Class1",68.781,25.752,"N",41.824,28.828,69.167,"W",33.443,31.02
13,"Class2",45.982,72.294,"I",82.16,97.109,91.032,"X",41.603,30.475
73,"Class1",65.331,43.309,"V",41.864,43.112,66.662,"W",31.718,28.338
53,"Class3",39.132,24.493,"I",26.632,15.213,63.93,"N",77.739,74.001
77,"Class1",NA,53.595,"N",44.37,39.855,86.727,"L",37.929,27.13
56,"Class2",47.617,90.544,"K",71.365,72.208,88.989,"W",41.23,29.217
57,"Class2",47.33,88.294,"I",75,96.551,56.489,"I",33.696,33.01
81,"Class1",74.543,74.159,"V",40.575,64.285,67.258,"W",32.012,30.356
19,"Class2",45.437,88.853,"C",75.298,92.922,71.219,"W",40.827,34.787
54,"Class3",30.074,19.319,"I",26.478,21.907,61.002,"X",31.967,66.569
53,"Class2",44.483,89.808,"O",68.152,93.971,72.467,"W",25.835,29.101
69,"Class3",34.49,12.284,"W",26.757,23.899,51.984,"R",10.142,62.117
37,"Class2",45.347,89.077,"K",66.796,87.34,67,"X",36.515,31.389
75,"Class1",73.206,36.479,"Y",38.387,23.482,81.653,"V",33.485,29.681
69,"Class2",46.597,78.465,"O",71.753,83.318,91.52,"I",56.399,36.073
48,"Class3",30.099,21.979,"C",26.551,37.308,64.721,"N",50.83,50.551
61,"Class3",32.859,19.642,"J",26.297,33.229,59.515,"Y",71.087,35.511
33,"Class2",46.659,83.968,"C",69.161,71.248,60.961,"I",39.486,27.296
17,"Class2",44.667,82.656,"E",68.615,74.824,91.591,"I",57.752,32.102
70,"Class1",73.649,51.297,"Y",40.353,27.475,75.279,"I",36.492,36.521
50,"Class3",35.106,22.256,"P",26.486,38.147,77.18,"R",73.055,54.786
68,"Class2",48.052,90.658,"E",73.461,78.619,59.613,"X",54.041,25.74
50,"Class3",33.36,26.699,"J",27.289,74.13,61.25,"N",30.82,54.604
79,"Class1",66.186,33.697,"Y",26.951,40.241,71.356,"L",38.758,33.231
52,"Class3",33.479,15.892,"W",27.019,32.84,63.706,"N",NA,43.587
71,"Class1",62.024,48.264,"N",34.322,17.456,63.959,"L",36.67,24.834
35,"Class2",45.981,93.11,"C",72.262,82.367,49.235,"X",34.579,33.741
76,"Class1",61.476,37.516,"V",39.056,68.136,64.409,"V",NA,26.435
79,"Class1",80.898,92.239,"O",35.418,60.861,70.372,"S",36.772,30.508
19,"Class2",NA,89.741,"O",72.185,87.418,65.385,"P",52.469,29.214
18,"Class2",46.199,81.366,"C",78.159,70.738,91.799,"P",48.64,40.153
48,"Class2",44.474,83.827,"I",78.895,87.295,50.044,"X",40.098,27.151
53,"Class2",47.783,86.406,"E",70.723,87.515,74.777,"X",33.813,28.512
76,"Class1",75.598,17.741,"O",40.139,28.122,66.779,"L",36.653,23.425
78,"Class1",63.431,68.417,"V",34.629,67.705,70.64,"S",33.628,24.336
30,"Class2",45.809,82.061,"I",77.037,85.749,80.584,"P",NA,35.751
78,"Class1",63.669,117.407,"Y",37.145,63.244,67.679,"L",35.461,29.257
49,"Class3",34.4,21.649,"C",26.77,70.528,66.311,"X",31.286,19.865
75,"Class1",56.679,101.913,"O",42.926,27.742,70.229,"W",35.226,29.524
44,"Class2",44.539,104.053,"O",73.702,97.399,50.315,"P",40.529,34.461
72,"Class3",33.361,21.925,"C",26.546,64.786,47.376,"R",5.432,59.737
53,"Class3",36.812,24.244,"P",26.628,52.344,65.499,"R",35.065,49.792
73,"Class1",54.101,11.644,"N",46.763,20.818,62.464,"W",32.925,39.338
60,"Class3",34.616,23.911,"C",26.107,83.459,52.543,"Y",20.701,61.627
58,"Class2",46.856,83.718,"I",73.051,70.757,91.725,"P",36.129,28.858
46,"Class2",44.871,83.445,"O",60.895,84.879,64.379,"X",44.761,30.54
76,"Class1",68.31,38.551,"O",40.095,58.153,74.885,"W",NA,24.887
55,"Class2",48.024,88.316,"C",72.144,74.12,89.42,"P",38.573,33.731
60,"Class3",37.371,14.39,"C",26.499,79.644,47.967,"N",46.399,46.721
81,"Class1",69.741,64.899,"Y",46.848,29.317,78.681,"S",34.931,29.58
79,"Class1",78.61,6.754,"N",45.521,54.846,87.152,"S",38.791,22.002
78,"Class1",69.318,57.91,"O",49.806,45.34,79.408,"V",34.036,40.165
49,"Class2",45.329,82.367,"K",66.374,92.533,58.958,"V",46.323,36.771
77,"Class1",78.231,65.73,"U",37.322,31.701,86.122,"I",NA,23.015
64,"Class3",28.95,18.251,"I",27.062,75.931,74.69,"Y",17.852,53.196
74,"Class1",68.114,63.716,"U",50.776,35.444,67.708,"W",37.235,29.934
24,"Class2",44.399,81.075,"O",76.67,91.727,81.071,"W",45.814,34.275
64,"Class2",47.036,85.131,"O",70.686,70.961,88.268,"X",NA,36.973
79,"Class1",69.663,27.107,"N",51.154,54.742,64.73,"V",34.29,39.248
52,"Class2",43.381,72.591,"E",77.904,84.58,91.227,"X",32.606,34.845
73,"Class1",74.917,48.396,"Y",44.623,29.91,70.773,"I",37.375,26.119
33,"Class2",44.902,98.607,"E",80.476,90.542,71.601,"X",33.871,35.332
73,"Class1",89.031,50.254,"U",48.274,40.216,77.294,"I",34.674,19.881
54,"Class2",44.528,84.417,"C",70.061,91.057,91.77,"P",54.514,31.189
71,"Class1",69.524,14.472,"U",36.826,55.63,88.865,"V",33.46,19.646
74,"Class1",71.027,98.031,"N",38.111,67.634,76.695,"L",31.466,32.907
70,"Class1",91.598,66.429,"N",40.524,55.502,72.266,"W",34.09,24.536
43,"Class2",43.926,90.321,"E",73.166,88.85,50.561,"V",34.628,37.166
54,"Class3",28.876,20.916,"J",26.476,82.041,62.383,"W",28.026,38.163
75,"Class1",63.522,78.196,"U",44.872,28.828,82.21,"I",31.771,21.392
70,"Class2",46.565,83.141,"C",74.335,82.964,92.539,"W",29.973,34.822
16,"Class2",46.981,87.109,"K",72.541,96.584,60.926,"V",25.34,32.63
52,"Class3",36.276,23.792,"J",26.456,27.712,68.683,"W",56.352,60.855
71,"Class1",48.005,24.3,"Y",50.615,48.222,69.459,"V",33.982,35.727
73,"Class1",NA,108.751,"Y",41.128,28.487,71.907,"W",34.775,13.674
72,"Class1",78.498,8.227,"U",44.844,28.946,74.219,"V",36.378,31.731
72,"Class1",51.118,48.293,"V",45.467,38.657,70.515,"V",33.552,14.244
83,"Class1",83.027,12.98,"U",39.083,52.312,70.589,"I",31.505,27.428
48,"Class3",33.248,23.974,"W",25.948,56.845,50.095,"X",58.401,42.191
67,"Class1",58.066,13.647,"Y",37.834,32.917,84.883,"I",38.29,19.209
85,"Class1",71.876,52.499,"Y",34.043,33.744,62.704,"I",31.23,31.721
39,"Class2",45.394,78.726,"O",79.368,81.174,51.866,"I",38.334,33.538
58,"Class3",28.607,16.222,"C",26.568,85.245,74.214,"W",14.361,51.44
24,"Class2",46.55,85.631,"I",74.387,96.3,80.619,"X",40.387,28.509
73,"Class3",36.202,22.89,"I",26.385,59.501,60.074,"R",56.933,45.593
51,"Class3",35.542,17.522,"C",26.945,32.863,66.206,"R",66.389,52.701
17,"Class2",42.15,79.856,"E",77.189,81.761,51.442,"X",49.171,27.929
71,"Class1",77.844,68.593,"N",50.967,47.711,74.854,"L",31.204,31.502
64,"Class3",35.678,26.673,"C",26.418,80.715,57.277,"Y",36.088,64.776
56,"Class3",33.746,16.095,"P",26.139,60.297,55.927,"W",16.794,35.852
38,"Class2",47.184,91.146,"I",73.235,76.812,76.386,"V",49.263,41.685
22,"Class2",48.846,84.213,"E",74.437,79.156,94.159,"P",26.512,32.521
71,"Class3",31.081,17.78,"C",26.188,43.204,69.211,"W",65.803,75.706
67,"Class1",82.823,29.181,"U",45.848,59.256,76.38,"W",37.133,22.059
80,"Class1",89.7,51.652,"Y",39.628,66.78,70.077,"S",38.298,39.636
50,"Class2",48.777,83.233,"I",64.515,86.923,93.79,"V",43.96,27.558
21,"Class2",48.027,82.216,"E",69.01,85.463,72.21,"P",48.117,33.915
75,"Class1",61.824,67.011,"Y",37.115,50.313,74.969,"I",31.533,36.427
48,"Class3",NA,22.57,"I",26.449,84.336,63.746,"R",10.178,33.624
63,"Class3",NA,27.494,"I",26.109,93.662,73.883,"N",30.191,40.621
57,"Class3",34.244,21.311,"I",26.555,30.135,61.402,"W",22.907,34.02
79,"Class1",90.86,98.565,"Y",42.02,38.212,71.837,"I",37.825,28.494
83,"Class1",79.917,37.535,"V",33.71,35.292,81.527,"L",35.909,30.297
74,"Class1",68.485,61.622,"Y",42.663,50.451,88.543,"V",NA,41.486
52,"Class3",33.747,12.828,"P",26.488,77.197,45.135,"R",37.623,38.101
55,"Class2",47.553,89.946,"C",77.684,73.671,51.604,"W",48.783,34.332
71,"Class1",68.832,4.981,"U",48.655,58.2,69.873,"I",35.541,35.881
59,"Class3",35.593,16.515,"W",26.386,60.517,53.585,"W",72.292,36.161
76,"Class1",45.687,12.075,"O",41.75,36.576,79.184,"S",35.064,22.879
78,"Class1",55.969,74.787,"U",42.935,18.309,73.271,"S",35.312,16.754
60,"Class2",45.875,77.434,"O",77.792,82.673,77.903,"W",30.483,36.655
53,"Class2",NA,83.42,"O",72.03,77.8,84.187,"W",29.109,31.585
29,"Class2",46.873,75.881,"I",72.149,91.855,51.769,"I",52.391,36.215
48,"Class3",27.844,4.525,"C",26.701,60.711,49.384,"Y",33.871,58.872
18,"Class2",46.62,89.015,"E",66.728,73.553,48.361,"W",37.59,29.678
37,"Class2",47.425,78.968,"C",71.033,82.859,66.845,"X",32.722,31.339
32,"Class2",46.775,91.982,"K",73.308,76.994,79.632,"P",33.3,34.011
73,"Class3",36.352,20.761,"I",26.421,70.485,75.603,"Y",63.8,72.662
35,"Class2",46.283,99.712,"E",72.069,82.893,69.673,"V",33.956,24.255
83,"Class1",97.986,40.766,"U",49.113,39.449,74.79,"S",31.471,35.9
80,"Class1",59.09,40.444,"O",37.271,63.389,68.69,"L",34.894,25.899
49,"Class2",44.03,77.641,"I",67.314,77.956,63.768,"X",37.289,36.28
21,"Class2",46.033,87.322,"I",68.731,75.676,55.875,"V",53.495,30.538
67,"Class3",28.95,27.205,"J",26.2,76.883,68.938,"N",63.45,40.243
73,"Class3",37.296,19.79,"W",26.767,68.659,51.346,"N",11.641,60.496
75,"Class1",92.236,36.949,"Y",40.859,44.93,62.451,"S",31.786,25.628
79,"Class1",49.691,47.089,"U",46.086,36.796,76.825,"I",35.276,22.009
78,"Class1",105.719,-9.758,"U",42.655,37.981,78.674,"S",38.47,38.691
54,"Class3",32.514,17.561,"W",26.481,79.442,62.373,"Y",6.319,38.133
70,"Class3",31.584,24.666,"J",26.607,87.599,57.744,"N",61.182,65.37
20,"Class2",47.618,82.428,"O",69.16,88.375,54.425,"I",NA,18.54
67,"Class3",38.405,11.239,"C",26.378,60.356,46.013,"Y",67.085,54.092
70,"Class2",47.65,95.555,"C",77.057,73.773,80.142,"P",56.832,35.748
61,"Class3",32.983,15.506,"I",26.604,23.412,49.803,"W",58.998,26.796
65,"Class3",34.253,11.095,"P",26.636,17.728,71.434,"W",61.343,52.876
84,"Class1",52.565,60.881,"Y",44.348,33.805,71.756,"S",31.339,36.178
74,"Class1",90.827,58.677,"V",36.475,46.729,69.133,"V",33.823,35.973
66,"Class3",32.529,24.88,"W",26.553,17.316,48.238,"X",74.305,55.254
85,"Class1",80.934,-19.438,"Y",38.249,45.465,79.397,"I",35.983,24.058
