"GZQ1","WKS2","JDK3","VQU4","XVR5","DIY6","VSW7","Output6","QVW8","YML9","PYZ10","XJS11"
50.359,53.459,55.985,"E",25.663,41.517,6.818,"Class1","F",79.395,46,84.667
54.695,48.113,58.703,"E",42.834,53.773,30.512,"Class1","H",77.604,30,75.128
60.214,24.804,78.954,"X",45.963,62.982,30.595,"Class2","P",37.119,84,50.08
21.801,26.148,34.882,"Y",70.11,34.823,24.127,"Class2","O",58.491,67,51.374
56.94,52.605,55.478,"I",16.604,47.05,46.114,"Class1","F",85.061,38,67.415
16.945,5.725,62.73,"S",66.937,31.563,35.246,"Class2","O",79.519,65,52.789
63.82,55.567,60.86,"S",51.126,84.309,27.253,"Class2","P",74.677,78,53.095
62.621,39.386,51.67,NA,41.474,113.996,43.887,"Class2","J",86.488,79,50.629
67.201,52.929,55.719,"E",82.544,38.081,85.31,"Class1","F",84.867,56,39.987
64.231,26.178,49.949,"I",47.503,75.321,31.737,"Class2","P",119.534,74,50.684
43.404,57.084,80.061,"I",54.421,60.496,5.311,"Class2","J",74.622,66,52.974
55.81,48.164,60.741,"S",56.964,71.484,36.873,"Class1","F",78.191,56,102.727
63.209,52.09,57.257,"I",34.892,47.989,39.447,"Class1","T",80.086,49,56.566
57.771,48.048,55.429,"I",61.204,38.328,52.746,"Class1","N",83.643,48,105.78
51.694,48.502,58.572,"I",77.521,38.949,38.807,"Class1","F",75.787,56,81.542
56.497,13.866,76.108,"I",40.518,62.242,44.699,"Class2","X",59.219,61,50.445
47.439,56.448,64.701,"I",63.669,105.075,35.169,"Class2","O",50.179,67,51.949
69.028,53.515,60.119,"V",79.447,39.763,26.416,"Class1","N",79.73,39,51.053
53.078,45.448,65.803,"M",42.414,63.212,23.124,"Class2","P",49.709,83,52.47
52.317,52.629,59.444,"S",70.169,46.305,40.682,"Class1","R",80.581,52,69.553
17.592,27.259,54.967,"I",53.689,88.795,10.105,"Class2","P",9.562,61,53.342
64.198,48.936,58.106,"Y",48.944,72.231,46.139,"Class2","X",45.032,71,52.448
53.073,53.113,56.444,"I",50.74,83.471,33.913,"Class1","R",78.379,NA,43.939
31.403,15.598,46.32,"I",43.443,62.043,49.192,"Class2","P",26.586,77,52.241
53.633,4.315,46.902,"X",63.491,41.125,32.624,"Class2","X",80.168,61,52.335
52.724,48.37,58.404,"V",29.808,76.647,36.513,"Class1","N",81.846,28,46.5
63.399,30.788,61.156,"M",47.587,48.671,49.936,"Class2","J",100.298,68,51.852
19.203,36.551,52.873,"Y",54.964,77.492,43.272,"Class2","P",38.514,87,52.786
40.36,53.908,67.375,"M",61.665,93.193,34.235,"Class2","P",47.571,73,52.842
64.247,59.25,79.475,"I",44.887,60.653,33.62,"Class2","O",23.041,59,53.819
52.425,31.867,44.484,"X",64.177,-24.958,40.832,"Class2","O",0.883,89,52.769
54.289,49.428,56.899,"W",45.762,49.488,54.022,"Class1","T",77.654,26,39.185
52.738,51.957,58.902,"I",44.982,48.411,37.788,"Class1","N",72.428,54,24.538
50.189,50.154,45.954,"Y",42.18,22.992,43.788,"Class2","P",63.485,68,53.278
70.293,51.671,59.64,"E",77.2,49.432,50.279,"Class1","R",75.835,44,97.718
67.506,51.135,57.37,"E",22.885,20.507,33.889,"Class1","N",74.306,47,84.271
62.512,51.998,59.517,"W",62.559,59.217,72.861,"Class1","T",78.21,37,20.363
40.586,5.465,53.636,"S",60.191,56.152,58.256,"Class2","P",-18.955,79,50.582
71.442,51.082,60.13,"E",83.166,46.742,45.572,"Class1","N",86.088,55,91.564
64.032,52.335,55.36,"I",62.203,42.476,51.054,"Class1","N",77.285,35,81.207
55.622,48.918,60.513,"W",0.464,33.557,45.576,"Class1","N",76.053,33,67.847
49.719,53.688,56.054,"W",74.966,46.075,51.371,"Class1","H",80.611,49,21.018
54.455,49.382,60.565,"S",79.647,49.718,40.841,"Class1","R",87.554,50,80.737
65.694,15.231,61.902,"X",42.248,-4.866,58.455,"Class2","J",41.96,78,52.665
61.091,49.078,58.282,"W",61.401,77.307,24.949,"Class1","N",79.511,24,63.284
50.074,51.474,59.055,"W",44.237,68.909,70.193,"Class1","F",84.046,41,64.811
50.336,6.993,46.938,"I",67.408,19.922,40.103,"Class2","I",34.258,NA,51.332
50.679,51.369,56.531,"S",68.747,57.297,12.987,"Class1","T",77.725,48,85.447
48.168,49.434,60.154,"W",19.023,44.189,1.534,"Class1","N",87.494,34,55.391
15.38,10.526,72.053,"X",65.891,45.227,9.002,"Class2","O",85.127,89,51.585
31.04,22.513,77.744,"I",32.642,46.02,43.715,"Class2","J",92.766,NA,53.207
69.382,51.5,55.48,"V",48.255,52.969,10.473,"Class1","R",73.478,56,83.702
31.04,48.913,52.562,"S",47.028,43.834,50.828,"Class2","J",24.424,89,50.609
33.725,21.902,41.83,"X",56.592,55.346,57.198,"Class2","O",19.04,84,51.677
58.74,53.142,57.354,"E",4.325,43.177,36.841,"Class1","R",78.955,24,28.482
47.353,53.701,57.1,"S",73.284,46.211,33.649,"Class1","F",84.169,36,88.346
58.66,52.47,53.235,"I",66.757,99.186,36.918,"Class2","O",0.853,60,52.663
43.496,43.213,59.396,"I",61.015,92.109,42.243,"Class2","O",63.157,59,50.661
63.986,39.747,35.183,"S",35.177,80.531,9.056,"Class2","I",60.798,73,52.783
68.932,54.338,58.625,"V",45.067,46.154,68.921,"Class1","F",82.589,56,58.63
31.353,32.861,42.566,"Y",57.731,70.948,53.037,"Class2","X",16.26,87,53.27
68.163,53.318,55.868,"I",76.832,68.079,51.611,"Class1","R",87.542,27,58.396
49.784,54.647,58.616,"V",20.687,53.518,47.443,"Class1","F",67.367,52,44.019
39.432,57.497,75.642,"Y",56.744,70.175,34.158,"Class2","X",62.723,NA,50.759
60.413,20.51,47.4,"M",32.338,100.28,28.872,"Class2","X",21.386,59,54.376
17.711,25.626,40.845,"X",48.885,43.217,39.698,"Class2","P",72.195,64,51.833
33.329,44.445,38.294,"I",69.125,41.269,68.567,"Class2","I",57.054,90,49.84
57.207,52.628,59.731,NA,11.918,38.749,73.404,"Class1","H",76.31,41,98.092
17.183,36.088,73.003,"X",33.268,37.542,39.646,"Class2","P",63.401,90,53.228
58.553,48.389,59.304,"I",16.461,53.259,27.697,"Class1","T",80.849,35,78.616
27.193,37.957,77.521,"M",46.975,12.228,34.917,"Class2","X",91.252,67,50.195
35.578,17.783,80.875,"X",71.262,57.048,37.899,"Class2","O",38.579,56,52.659
54.815,52.877,57.042,"E",39.719,44.033,27.054,"Class1","F",71.983,56,65.212
32.416,31.313,42.817,"Y",58.122,62.268,40.842,"Class2","J",24.701,74,52.617
60.388,51.419,60.639,"W",30.667,55.189,55.934,"Class1","T",84.913,NA,36.608
51.591,54.592,58.6,"W",78.402,39.355,36.205,"Class1","H",85.164,57,103.652
17.12,6.312,61.882,"M",54.967,62.214,37.964,"Class2","O",69.05,73,52.329
63.53,56.907,76.542,"Y",58.853,66.518,25.021,"Class2","P",92.607,74,52.837
59.727,52.748,55.146,"W",65.163,62.626,14.771,"Class1","T",85.38,52,105.997
67.1,53.484,58.596,"I",68.506,41.026,58.91,"Class1","T",88.633,36,107.224
56.734,49.065,60.801,"V",2.342,43.837,63.805,"Class1","R",80.066,36,56.553
70.82,48.209,56.549,"S",60.856,41.804,63.987,"Class1","R",75.398,55,77.722
22.48,34.252,56.085,"S",68.551,50.67,39.813,"Class2","X",39.621,88,51.564
40.31,40.551,72.916,"I",42.877,56.818,53.35,"Class2","O",74.285,73,52.246
58.41,54.482,57.315,"I",26.324,57.271,23.439,"Class1","T",71.93,23,74.302
41.753,28.029,49.003,"S",71.82,38.221,41.085,"Class2","I",7.091,77,52.529
53.992,51.116,59.628,"I",84.377,45.977,66.844,"Class1","F",87.36,32,67.74
51.228,53.697,56.496,"S",84.962,42.284,37.19,"Class1","H",79.48,22,77.497
32.367,60.095,40.191,"Y",31.773,78.344,1.694,"Class2","P",60.658,66,53.071
23.845,28.772,34.011,NA,49.228,100.585,25.054,"Class2","I",90.738,83,52.561
66.677,50.12,57.385,"I",69.451,41.71,50.272,"Class1","T",73.705,48,33.502
52.253,54.536,57.358,"S",43.482,30.064,35.354,"Class1","F",69.083,28,52.126
32.212,21.012,44.567,"S",31.158,60.2,64.908,"Class2","O",108.834,57,50.775
64.895,49.732,60.602,"W",44.686,65.528,48.936,"Class1","H",69.537,51,79.438
67.57,50.176,56.857,"V",55.727,35.17,16.394,"Class1","F",85.813,30,63.046
71.831,48.247,59.972,NA,36.534,58.157,-13.833,"Class1","T",82.916,41,60.14
49.541,56.618,60.329,"I",69.241,19.889,51.882,"Class2","O",17.238,87,53.172
68.014,54.963,59.557,"E",56.073,26.596,62.267,"Class1","R",85.278,44,116.716
71.066,48.887,55.525,NA,76.743,33.63,36.526,"Class1","H",80.837,56,41.666
41.962,11.416,52.926,"Y",51.858,80.465,27.395,"Class2","I",65.204,89,52.125
52.778,3.158,63.523,"X",58.33,22.418,56.545,"Class2","P",27.188,81,52.366
58.745,49.352,55.155,"I",15.764,37.025,6.991,"Class1","T",83.842,33,67.996
45.91,27.298,64.8,"M",54.735,64.703,54.182,"Class2","X",41.687,68,50.637
44.839,35.504,62.242,"M",63.781,37.206,16.034,"Class2","O",50.17,84,52.943
60.475,54.345,55.515,"V",51.987,59.559,32.298,"Class1","R",86.627,33,67.816
55.094,52.672,60.765,"V",71.272,48.333,27.519,"Class1","H",84.268,35,96.238
24.076,26.101,61.458,"I",34.155,111.915,24.278,"Class2","X",85.508,59,51.385
38.864,39.752,63.783,"M",65.499,51.973,11.957,"Class2","O",44.536,75,51.976
62.704,50.941,55.952,"I",61.675,56.587,18.413,"Class1","F",85.789,53,84.126
18.942,29.422,48.094,"X",55.045,51.15,56.424,"Class2","J",58.286,67,51.983
68.383,48.328,57.58,"I",58.324,54.776,24.901,"Class1","F",84.442,57,75.167
51.401,50.987,57.594,"S",57.267,61.091,48.259,"Class1","T",76.582,38,69.8
37.212,20.211,55.882,"X",53.066,95.724,42.468,"Class2","X",59.605,84,52.317
48.995,50.075,57.052,"E",14.243,61.609,80.013,"Class1","H",68.535,22,41.302
33.176,55.676,63.261,"X",44.942,49.624,19.772,"Class2","J",50.913,85,52.034
28.6,20.418,55.266,"S",30.293,92.724,34.701,"Class2","I",36.693,86,51.992
49.915,14.499,63.99,"S",30.583,74.308,54.51,"Class2","X",56.598,74,50.92
54.134,52.557,57.692,NA,23.174,60.89,48.477,"Class1","F",80.084,52,53.029
66.654,49.751,57.756,NA,39.752,52.725,35.289,"Class1","N",78.683,21,105.776
67.877,54.338,59.049,"W",72.853,44.652,21.005,"Class1","T",78.123,48,50.591
57.154,54.929,60.704,"I",45.455,48.898,39.964,"Class1","H",84.504,37,59.388
55.098,50.548,60.454,"E",33.087,47.795,7.724,"Class1","H",79.048,25,52.535
31.117,26.868,46.929,"X",52.5,13.959,37.319,"Class2","I",36.754,58,54.271
71.259,50.4,55.152,"E",22.32,8.191,38.329,"Class1","N",78.99,32,41.544
47.85,51.004,60.467,"I",80.405,30.205,29.474,"Class1","T",80.689,38,34.785
21.26,42.415,35.908,"X",35.128,63.87,44.938,"Class2","P",53.693,84,52.109
49.985,11.916,47.12,"X",67.559,70.425,47.277,"Class2","I",30.742,78,50.341
68.939,50.468,59.107,"W",48.621,61.797,69.964,"Class1","F",74.801,38,72.594
70.675,51.722,60.586,"V",53.621,66.616,51.702,"Class1","H",78.589,23,34.031
18.539,24.108,44.407,"X",37.691,47.952,17.651,"Class2","X",40.853,82,53.293
49.165,22.894,69.726,"Y",66.101,58.052,25.851,"Class2","P",57.641,84,51.39
63.447,54.071,66.473,"M",50.477,51.635,33.191,"Class2","J",78.289,66,52.981
58.132,37.94,63.688,"Y",44.038,16.081,15.049,"Class2","P",78.208,83,53.756
42.114,39.841,75.201,"X",30.062,95.618,65.932,"Class2","O",60.894,80,48.683
49.809,48.348,58.106,"I",77.787,27.339,15.983,"Class1","N",80.379,47,66.484
33.529,5.393,48.931,"X",31.05,76.48,37.173,"Class2","X",70.931,79,52.045
52.063,51.459,58.8,"E",73.845,51.369,24.563,"Class1","N",72.434,38,96.737
20.084,57.178,60.898,"M",44.736,60.381,32.294,"Class2","J",43.016,90,50.872
23.697,49.259,53.307,"Y",30.303,67.99,38.23,"Class2","X",7.084,84,52.118
62.999,52.528,55.978,"E",21.363,51.64,51.879,"Class1","H",91.674,49,81.159
68.162,53.243,55.059,"V",13.564,61.637,36.662,"Class1","N",74.625,45,55.488
64.628,49.302,68.271,"I",42.164,64.38,28.862,"Class2","X",63.193,72,52.412
55.476,48.53,57.549,"W",43.602,46.698,33.705,"Class1","T",82.435,47,89.976
24.068,31.836,71.487,"I",45.369,116.482,41.888,"Class2","I",72.187,86,52.043
54.649,50.555,59.556,"S",83.405,51.789,3.213,"Class1","T",74.353,52,78.99
49.304,50.469,58.098,"E",55.739,72.145,27.104,"Class1","T",80.052,NA,61.014
70.284,48.74,55.412,"V",71.99,53.646,27.958,"Class1","N",98.56,40,68.164
62.018,52.646,60.477,"S",59.765,56.404,45.341,"Class1","H",81.193,42,108.122
33.601,45.527,39.417,"Y",53.138,45.84,24.081,"Class2","J",38.616,90,53.1
66.004,53.765,57.588,"E",42.08,30.168,61.428,"Class1","T",88.367,52,71.968
62.656,49.752,56.294,"W",13.086,67.899,42.587,"Class1","H",89.22,24,30.133
60.8,53.483,55.223,"V",71.55,66.224,28.349,"Class1","F",89.05,23,90.56
36.883,7.504,62.391,"X",52.412,63.438,35.786,"Class2","P",80.135,84,51.455
71.811,53.207,60.607,"E",38.323,51.499,43.956,"Class1","F",74.34,56,63.616
52.413,48.868,59.964,"W",73.275,32.326,77.127,"Class1","N",68.724,41,95.702
64.027,59.037,77.944,"X",64.759,71.75,22.973,"Class2","X",45.928,78,54.739
48.923,51.786,55.632,"E",7.996,35.246,55.493,"Class1","R",87.398,34,95.854
34.32,60.355,36.748,"M",63.862,38.575,48.516,"Class2","O",40.595,83,51.875
67.817,53.177,57.137,"W",36.902,37.068,4.44,"Class1","N",76.753,33,35.147
18.01,59.933,55.708,"M",52.281,26.424,48.421,"Class2","O",103.11,74,54.084
47.444,50.166,57.839,"E",27.478,43.089,39.737,"Class1","N",85.941,42,67.976
71.592,50.035,59.935,"E",16.682,76.128,44.856,"Class1","H",88.54,33,66.296
65.324,51.04,58.601,"S",54.329,30.626,11.992,"Class1","F",76.154,49,80.37
26.111,12.517,43.227,"M",64.47,49.816,28.79,"Class2","P",62.967,82,52.468
70.545,48.982,55.8,"I",60.331,31.071,26.621,"Class1","N",75.633,46,57.159
59.919,53.94,59.357,"E",42.161,62.582,38.525,"Class1","H",80.122,51,31.06
40.094,30.894,53.98,"X",36.068,53.568,8.021,"Class2","J",89.453,67,52.584
55.279,52.707,55.785,"W",11.548,17.477,48.968,"Class1","F",68.897,NA,50.798
25.925,16.948,43.98,"S",33.15,43.091,35.695,"Class2","P",90,76,52.828
54.573,48.779,60.741,"I",50.914,68.89,55.857,"Class1","R",80.514,25,59.794
51.912,54.701,59.728,"S",82.157,58.47,55.757,"Class1","F",78.796,50,102.701
43.077,32.6,71.978,"Y",42.128,90.037,44.447,"Class2","P",65.526,80,52.184
66.114,52.062,58.666,"E",41.66,39.832,29.717,"Class1","N",85.401,36,27.569
18.2,21.033,37.988,"I",57.5,62.177,34.85,"Class2","I",25.669,62,50.078
29.783,33.712,50.496,"Y",49.163,94.24,7.827,"Class2","I",30.805,72,51.519
59.188,45.855,74.331,"Y",43.997,70.726,34.689,"Class2","J",47.692,72,51.113
60.401,54.938,56.269,"W",5.165,75.333,25.477,"Class1","R",76.301,25,61.635
16.971,32.461,60.075,"M",32.465,34.242,21.008,"Class2","J",14.801,80,51.266
64.969,51.89,57.074,"S",1.061,34.149,41.208,"Class1","F",70.173,37,67.888
69.529,49.325,56.269,"V",51.235,60.729,24.187,"Class1","R",88.805,33,57.619
47.533,48.347,59.416,NA,37.801,47.052,-0.563,"Class1","N",78.501,28,56.933
71.444,48.761,59.391,"E",74.089,60.394,47.732,"Class1","N",85.51,42,68.254
55.571,55.854,41.518,"S",31.208,44.862,65.802,"Class2","I",61.29,58,52.43
68.267,51.741,58.316,"W",23.884,58.301,63.594,"Class1","F",74.82,26,92.84
70.647,49.025,56.155,"W",50.228,37.641,52.484,"Class1","H",86.145,44,47.452
60.36,38.246,43.217,"Y",45.804,30.892,36.423,"Class2","O",30.921,72,53.178
41.068,9.646,53.296,"X",31.473,87.864,57.841,"Class2","I",9.432,72,50.829
54.308,48.956,57.914,"I",34.629,56.771,1.984,"Class1","N",76.25,33,53.198
66.438,49.66,58.627,"I",76.035,19.987,35.511,"Class1","H",77.716,54,113.298
62.748,48.253,56.987,"I",30.429,31.273,31.193,"Class1","F",80.151,40,39.719
55.664,54.552,60.708,"S",39.376,35.698,44.72,"Class1","F",79.701,23,80.502
51.033,30.337,52.365,"M",34.76,27.132,53.091,"Class2","I",7.901,64,53.477
69.934,53.447,55.499,"E",43.884,43.909,42.581,"Class1","R",76.997,NA,117.669
50.683,49.03,60.437,"W",15.169,43.789,45.014,"Class1","H",76.954,54,82.168
30.251,20.293,68.865,"X",37.787,56.685,21.163,"Class2","I",28.139,85,52.493
42.973,25.744,37.79,"M",70.696,53.674,22.541,"Class2","X",17.454,74,49.659
59.026,53.815,57.561,"I",21.646,56.457,49.979,"Class1","F",85.222,NA,115.471
16.447,51.938,45.321,"M",48.236,38.043,28.835,"Class2","X",2.034,71,50.759
51.957,53.377,64.943,"I",65.023,11.406,37.224,"Class2","I",53.948,86,52.365
61.195,55.942,76.816,"I",46.816,84.254,31.716,"Class2","X",44.546,84,51.473
41.119,30.69,48.977,"X",42.852,45.122,37.246,"Class2","O",51.71,71,52.254
58.568,48.576,59.964,"S",38.778,14.08,88.882,"Class1","F",87.167,44,68.33
66.695,51.627,58.983,"V",81.057,47.966,16.773,"Class1","T",84.086,41,62.034
54.757,52.799,46.774,"I",34.344,86.869,48.789,"Class2","P",72.715,60,52.32
52.011,11.788,78.573,"S",32.384,30.341,43.231,"Class2","P",57.939,61,52.24
16.531,55.07,73.377,"X",44.137,44.978,24.075,"Class2","I",72.122,82,51.332
50.891,52.734,56.83,"V",82.92,53.368,36.133,"Class1","R",71.153,31,74.069
45.603,21.825,75.492,"S",63.308,59.55,29.976,"Class2","X",75.257,69,50.394
16.748,27.555,62.903,"S",48.202,82.878,51.054,"Class2","I",62.262,84,53.47
57.809,48.23,55.578,"W",32.111,37.799,50.047,"Class1","F",86.051,46,31.654
64.617,48.42,60.514,"S",80.822,61.291,53.398,"Class1","N",79.442,48,76.363
43.526,38.366,56.709,"S",66.641,69.438,36.534,"Class2","X",84.76,73,53.114
39.422,11.372,77.906,"S",61.536,110.944,48.242,"Class2","J",22.826,NA,50.332
69.613,53.028,56.778,"I",81.496,70.252,7.043,"Class1","H",88.939,NA,67.04
64.586,51.312,57.813,"V",42.548,30.467,33.255,"Class1","N",78.997,42,62.689
49.638,50.467,71.338,"X",53.313,53.239,65.583,"Class2","O",25.823,61,54.244
49.633,50.105,60.467,"W",47.438,45.947,31.652,"Class1","F",83.34,56,89.822
67.074,54.711,58.327,"S",60.457,55.154,41.206,"Class1","R",88.276,37,65.952
47.427,50.962,55.98,"V",39.09,84.489,48.755,"Class1","N",72.551,53,51.879
27.898,32.353,38.778,NA,39.47,45.526,30.333,"Class2","J",38.1,78,51.1
37.973,21.345,64.425,"I",63.734,29.289,55.721,"Class2","I",30.261,80,51.526
25.137,49.307,41.92,"S",37.97,34.697,30.05,"Class2","J",65.285,85,51.709
23.07,28.714,45.415,"S",72.907,127.584,16.547,"Class2","P",-9.292,66,49.921
35.459,49.611,47.099,"Y",64.946,62.495,36.241,"Class2","O",49.204,63,50.526
55.591,50.513,55.854,"V",48.09,59.49,16.742,"Class1","T",72.859,57,95.621
26.239,3.957,76.983,"Y",55.674,51.392,17.484,"Class2","J",43.01,59,52.315
23.36,47.313,44.844,"M",46.884,51.59,32.744,"Class2","P",60.976,59,51.243
31.972,46.402,80.503,"Y",52.268,-4.081,50.497,"Class2","P",43.3,70,51.155
71.124,49.726,59.846,"S",42.216,65.139,28.466,"Class1","T",78.216,45,17.62
69.905,50.77,58.853,"I",28.256,71.611,3.698,"Class1","H",91.079,56,77.425
62.595,48.585,60.028,"W",55.3,65.306,34.701,"Class1","R",79.419,NA,71.893
60.122,54.581,57.186,"V",17.993,46.802,53.876,"Class1","N",76.425,45,57.603
20.928,57.383,77.35,"M",57.887,58.369,45.195,"Class2","P",26.422,71,52.2
57.667,16.256,50.857,"S",33.136,37.268,26.12,"Class2","X",41.968,60,52.703
61.823,15.376,40.185,"I",52.516,57.911,25.255,"Class2","O",79.568,59,51.636
29.963,28.66,33.841,"S",64.361,78.557,41.691,"Class2","P",21.498,62,51.471
49.825,31.67,68.167,"M",52.568,24.332,35.194,"Class2","X",69.719,80,49.5
69.117,48.285,56.486,"S",34.114,41.28,47.106,"Class1","F",75.771,42,63.529
50.335,51.799,60.371,"E",64.561,48.649,56.136,"Class1","T",81.375,31,71.88
67.128,54.812,57.892,"I",80.632,38.149,64.453,"Class1","H",82.086,32,62.645
28.415,37.128,37.39,"Y",67.199,97.984,43.841,"Class2","J",-0.837,64,53.171
15.831,32.313,55.352,"Y",58.61,46.846,41.931,"Class2","J",63.576,65,52.771
41.465,8.133,69.973,"M",66.151,77.309,59.091,"Class2","X",106.521,62,52.139
31.607,45.836,45.195,"I",35.58,57.84,40.093,"Class2","X",96.24,86,53.798
53.685,6.506,47.035,"S",30.538,41.587,23.985,"Class2","P",45.594,63,50.313
42.088,28.474,59.12,"S",61.274,67.347,41.565,"Class2","I",53.895,78,50.717
68.31,53.993,56.389,"S",70.213,35.099,91.949,"Class1","H",81.414,33,88.957
69.816,48.682,56.235,"S",77.196,60.65,20.099,"Class1","N",91.914,36,75.653
41.294,15.467,68.503,"X",42.498,68.494,19.42,"Class2","J",20.115,87,51.154
62.465,51.299,55.452,"I",35.894,25.546,35.005,"Class1","H",91.128,55,74.737
19.358,47.835,36.744,"M",37.469,72.325,62.529,"Class2","I",56.769,57,51.518
49.102,52.188,60.885,"V",80.333,57.464,44.198,"Class1","H",69.782,51,110.318
29.069,14.471,36.306,NA,61.399,39.9,11.384,"Class2","O",37.838,80,51.795
61.173,49.129,55.147,NA,34.998,42.871,26.839,"Class1","H",86.539,29,59.019
54.648,12.895,72.407,"I",34.412,54.577,28.931,"Class2","J",127.951,88,53.699
56.132,29.376,67.501,"S",32.233,17.861,47.404,"Class2","I",71.209,79,52.207
59.904,53.968,57.146,"W",26.888,33.046,16.464,"Class1","F",69.15,39,56.115
47.483,54.511,56.811,NA,24.275,32.345,45.572,"Class1","R",73.901,32,91.489
36.03,19.598,56.755,NA,36.256,69.41,38.425,"Class2","I",7.205,83,52.473
56.77,38.535,33.687,"Y",45.281,37.297,35.324,"Class2","P",47.807,NA,53.336
65.971,18.527,51.517,"M",61.843,88.243,17.672,"Class2","P",50.645,71,53.035
36.438,18.39,42.651,"S",37.498,-19.561,57.885,"Class2","X",26.108,72,53.629
62.877,51.807,60.581,"V",67.752,38.271,34.122,"Class1","H",83.031,NA,59.091
50.475,53.405,60.439,"E",49.17,34.469,26.725,"Class1","F",84.396,31,36.764
30.252,56.187,53.887,"S",46.855,51.796,37.305,"Class2","P",18.169,78,53.086
70.056,50.282,61,"I",0.37,18.827,24.869,"Class1","N",86.003,24,71.37
52.348,15.296,69.92,NA,70.447,111.152,44.315,"Class2","I",36.876,NA,50.157
55.78,53.225,59.196,"E",23.811,27.358,41.684,"Class1","R",80.278,41,44.296
60.642,52.448,55.394,"E",32.629,60.771,49.477,"Class1","F",77.048,45,50.529
59.392,50.978,57.103,"V",26.755,61.415,10.879,"Class1","T",81.156,43,65.694
48.724,52.461,57.022,"W",45.869,68.451,49.686,"Class1","R",79.564,53,57.702
18.835,10.897,39.075,"S",47.266,36.247,54.949,"Class2","X",23.698,57,54.315
58.646,22.181,78.077,"I",47.865,27.142,25.948,"Class2","J",69.378,74,52.749
26.317,42.359,33.614,"I",70.995,90.421,37.928,"Class2","O",80.539,79,51.48
60.872,51.501,56.901,"V",27.742,62.09,40.668,"Class1","H",85.564,54,69.854
15.132,9.015,44.443,"X",47.287,47.587,12.377,"Class2","J",49.48,81,50.353
24.684,55.397,75.156,"S",49.717,64.548,40.524,"Class2","P",42.157,67,53.69
33.848,24.604,34.618,"X",33.667,72.377,33.959,"Class2","P",48.077,80,53.693
58.46,50.577,59.072,"S",54.394,51.142,37.418,"Class1","F",77.15,48,53.868
28.257,59.536,64.908,"M",54.929,63.776,40.615,"Class2","X",46.148,57,51.542
58.191,48.358,60.932,"W",82.838,49.866,6.455,"Class1","F",81.335,44,83.08
58.997,30.289,33.139,"M",65.399,61.732,70.516,"Class2","P",81.334,65,52.976
63.349,34.302,38.252,"X",43.712,69.839,39.087,"Class2","O",48.551,82,50.84
39.342,21.329,49.507,"S",61.56,68.364,30.355,"Class2","I",95.219,83,50.338
62.274,22.559,54.918,"X",30.344,4.446,50.092,"Class2","J",57.715,87,51.711
63.797,49.993,59.453,"S",16.028,43.728,52.369,"Class1","R",74.343,41,81.963
37.644,5.216,73.718,NA,45.286,15.405,21.647,"Class2","O",44.297,84,50.651
39.195,14.879,50.228,"I",64.414,130.602,10.204,"Class2","I",115.884,58,52.361
