"MBI1","RQZ2","HOT3","DTB4","WTS5","FQA6","FXN7","VEQ8","VLC9","Output17","SQM10","LOZ11","OCN12"
60.809,19.578,25.466,69.564,NA,73.272,22,97.542,"T","Class3",14.953,79,13.952
68.73,2.871,20.764,65.885,"S",73.506,21,98.193,"L","Class3",37.623,68,48.301
74.799,87.218,60.684,69.242,"U",43.712,87,38.949,"X","Class2",64.125,40,35.697
43.403,87.093,59.421,76.921,"U",41.219,75,48.795,"P","Class2",49.435,14,48.239
38.315,59.108,51.053,75.216,"S",43.544,31,84.196,"S","Class1",28.026,86,68.245
72.394,25.63,18.871,31.299,"F",75.105,16,97.958,"O","Class3",31.04,88,72.003
31.847,66.621,41.903,42.123,"K",26.188,27,80.807,"G","Class1",26.874,83,75.927
57.964,54.713,55.646,76.146,"J",30.573,32,79.002,"S","Class1",22.885,65,75.362
62.957,87.713,61.011,40.565,NA,45.698,81,46.859,"B","Class2",44.27,30,44.623
56.263,69.267,39.502,80.518,"W",63.746,72,43.415,"D","Class4",62.049,62,60.068
50.526,85.846,41.231,78.124,"E",58.808,82,50.786,"H","Class4",47.78,42,21.082
77.674,87.523,59.128,13.267,"R",38.776,77,37.293,"X","Class2",51.996,26,65.039
68.829,80.222,39.208,79.505,"G",58.9,76,47.103,"L","Class4",68.112,82,3.34
25.85,NA,49.699,86.962,"I",40.146,38,81.791,"S","Class1",25.505,79,68.106
55.249,77.753,38.919,68.705,"E",64.273,58,43.593,"L","Class4",58.192,49,32.589
24.946,87.904,60.256,36.679,"U",28.92,75,38.141,"M","Class2",46.562,29,43.718
42.704,63.894,67.259,38.806,"K",39.868,36,75.902,"S","Class1",29.363,70,68.557
60.839,13.485,24.72,75.534,"D",67.127,18,97.823,"C","Class3",22.842,79,56.674
60.164,25.705,9.803,64.473,"D",60.536,17,98.341,"L","Class3",26.065,67,36.447
49.74,55.179,39.382,82.223,"G",47.305,58,60.266,"D","Class4",51.133,40,22.29
80.607,68.061,40.081,81.009,"O",65.613,85,36.284,"D","Class4",69.956,77,18.171
10.528,87.002,62.067,33.966,"R",57.618,85,36.377,"B","Class2",52.201,56,28.494
51.847,NA,38.806,81.138,"W",60.613,75,43.754,"L","Class4",42.609,46,35.86
81.905,66.82,41.793,70.103,"W",60.84,88,37.627,"J","Class4",71.288,95,36.912
41.651,87.673,61.725,25.768,"E",45.171,87,39,"X","Class2",56.442,8,46.859
50.162,87.765,41.316,82.606,"P",47.249,63,59.81,"J","Class4",53.502,57,29.946
55.496,87.17,60.814,75.133,"E",44.172,85,40.769,"X","Class2",40.032,12,76.311
22.89,51.403,82.819,63.953,"S",33.225,34,95.625,"E","Class1",21.673,64,76.937
70.185,84.979,41.105,80.822,"O",62.347,88,40.221,"D","Class4",69.217,60,32.077
83.733,79.141,39.867,78.037,"E",65.798,86,47.807,"H","Class4",72.818,51,27.666
61.069,25.232,27.096,50.229,"D",61.586,19,97.505,"R","Class3",55.923,63,59.279
64.317,22.956,22.694,69.816,"D",65.448,9,98.313,"T","Class3",22.775,63,65.205
29.819,61.975,25.649,46.243,"S",66.088,19,74.143,"S","Class1",30.677,83,69.733
47.734,50.296,41.53,77.411,"E",64.514,90,40.441,"J","Class4",52.711,46,28.045
32.817,51.628,60.343,58.936,"S",36.745,39,76.067,"S","Class1",23.448,70,72.969
64.092,50.755,39.019,86.091,"P",61.866,80,36.946,"G","Class4",61.362,93,36.341
73.02,22.934,23.676,86.841,NA,77.914,27,98.533,"R","Class3",15.194,84,52.932
37.52,58.097,84.266,79.43,"X",53.324,24,83.871,"S","Class1",23.784,90,72.941
33.855,87.339,61.596,16.692,"X",41.205,77,43.104,"X","Class2",39.275,12,45.406
78.074,NA,42.412,86.202,"W",76.856,72,56.159,"G","Class4",52.173,84,46.149
52.117,87.539,61.845,83.167,"X",47.203,82,41.441,"X","Class2",49.365,32,43.872
46.803,96.439,39.35,79.775,"W",64.983,94,64.775,"D","Class4",57.099,61,29.605
50.012,75.054,37.713,82.524,"O",58.911,93,54.292,"J","Class4",27.907,42,36.449
58.551,63.044,40.57,85.114,"J",25.77,21,88.991,"E","Class1",17.399,87,73.638
33.538,87.817,61.699,42.553,"E",41.904,86,38.807,"M","Class2",42.058,42,39.752
58.624,28.564,10.736,69.703,"J",58.428,9,97.077,"T","Class3",33.579,68,24.994
50.271,79.454,40.622,70.716,"E",60.493,74,49.156,"D","Class4",57.113,30,30.797
46.175,80.836,42.648,77.012,"O",62.501,94,59.868,"L","Class4",70.764,78,17.613
35.076,61.555,45.367,42.984,"I",39.179,32,90.719,"H","Class1",28.053,78,72.131
59.226,87.77,61.483,18.267,"T",25.773,85,39.261,"M","Class2",47.078,29,32.419
25.466,60.879,91.507,64.133,"I",34.233,40,84.665,"O","Class1",30.773,76,74.171
69.833,28.186,11.731,57.986,NA,80.583,18,98.212,"O","Class3",28.071,89,37.16
41.98,49.617,48.683,85.425,"S",47.263,36,61.803,"O","Class1",26.745,86,73.879
63.583,66.308,39.766,79.467,"G",65.376,95,50.246,"D","Class4",55.623,78,20.194
12.631,87.681,60.572,54.861,"R",48.535,77,42.858,"P","Class2",41.441,55,9.156
69.925,27.499,22.974,83.12,NA,68.72,17,97.534,"C","Class3",15.59,68,73.862
52.364,87.151,60.735,70.701,"R",54.133,79,43.737,"Q","Class2",56.231,12,31.775
70.696,16.285,10.476,49.967,NA,55.208,14,97.744,"O","Class3",42.885,80,59.544
79.915,87.63,60.89,49.066,"T",42.267,80,46.555,"P","Class2",37.81,29,33.076
28.057,57.076,63.528,76.656,"I",44.572,42,96.46,"H","Class1",25.048,86,74.416
34.761,64.462,4.139,43.212,"S",2.365,37,91.993,"E","Class1",20.053,74,77.244
47.477,59.968,40.36,72.56,"P",55.8,54,36.013,"G","Class4",68.414,88,43.243
40.137,NA,62.195,46.523,"X",44.757,83,43.552,"Q","Class2",39.199,9,18.984
8.819,65.145,53.683,70.071,"S",23.909,30,90.143,"G","Class1",18.978,66,75.991
79.8,80.48,39.342,79.627,"O",67.871,95,41.979,"D","Class4",59.282,67,35.508
64.222,3.449,25.547,31.393,"S",62.573,25,97.626,"C","Class3",36.227,69,55.767
35.998,60.597,41.206,31.984,"S",24.401,31,85.847,"G","Class1",24.761,84,75.798
5.462,55.526,75.413,78.946,"X",-10.044,19,70.249,"S","Class1",17.007,86,76.03
42.642,50.69,39.722,87.057,"X",38.425,30,61.453,"S","Class1",27.021,65,65.028
17.636,57.568,84.926,44.6,NA,42.311,40,88.32,"S","Class1",25.455,90,74.767
59.701,17.523,21.77,70.403,NA,77.389,20,99.93,"R","Class3",40.88,88,65.485
78.264,63.156,41.032,79.856,"W",68.184,80,58.351,"H","Class4",53.588,54,21.569
34.688,87.337,60.316,71.887,"U",50.351,81,42.884,"P","Class2",40.311,30,58.004
88.454,87.165,59.907,31.366,"T",46.068,79,39.293,"B","Class2",51.624,12,20.19
23.802,56.026,40.408,79.129,"X",15.837,36,66.391,"H","Class1",28.688,64,70.413
34.292,87.729,60.543,24.959,"E",35.041,83,48.909,"Q","Class2",54.35,33,36.856
39.059,47.809,82.324,84.508,"J",34.478,32,67.722,"O","Class1",14.106,67,82.233
67.914,87.083,39.309,72.646,"G",58.228,54,60.007,"L","Class4",21.528,41,45.859
42.415,87.285,59.563,65.089,"U",60.794,82,45.728,"B","Class2",48.129,38,5.627
54.283,NA,60.048,53.61,"U",48.642,75,40.325,"X","Class2",43.029,19,58.06
34.411,87.529,61.868,62.352,"R",39.533,84,45.3,"Q","Class2",62.76,6,40.517
24.645,53.44,45.666,44.438,"I",29.075,24,92.322,"O","Class1",19.874,74,79.495
72.165,77.204,41.682,75.351,"P",57.883,58,40.399,"H","Class4",69.388,84,35.724
17.927,87.795,61.684,22.145,"U",40.623,78,41.128,"P","Class2",46.235,31,25.98
17.983,50.743,83.941,83.697,NA,8.721,25,63.425,"S","Class1",26.507,63,69.377
8.309,67.21,29.831,82.353,"J",36.704,35,92.331,"O","Class1",26,64,74.521
19.786,53.463,41.035,69.964,"K",29.346,19,60.303,"O","Class1",28.39,89,71.063
54.337,87.013,61.157,58.361,"U",32.038,79,44.399,"X","Class2",56.468,43,22.356
73.557,15.99,14.617,77.254,"D",78.405,20,97.526,"O","Class3",39.817,58,26.823
74.891,31.855,19.421,35.193,"S",82.587,26,98.408,"T","Class3",46.89,57,4.205
55.247,92.241,41.051,79.867,"E",63.565,95,43.544,"G","Class4",55.265,79,37.499
52.004,70.694,40.419,71.575,"W",63.491,91,45.831,"G","Class4",94.977,78,35.056
50.571,81.74,40.431,70.38,"O",70.891,75,37.22,"L","Class4",60.981,60,15.715
78.557,87.268,60.142,12.283,"X",65.094,86,38.082,"P","Class2",43.779,39,27.255
64.206,68.164,39.875,84.635,"P",72.154,75,46.065,"H","Class4",48.306,63,34.763
54.93,87.588,63.432,46.896,"X",39.947,75,38.78,"Q","Class2",49.943,40,47.677
58.513,55.804,30.415,75.362,"K",28.659,19,84.413,"S","Class1",25.972,82,68.568
56.471,54.682,40.607,78.809,"E",63.916,90,44.454,"J","Class4",52.006,94,15.819
36.331,58.82,59.039,50.072,"S",35.853,22,84.384,"E","Class1",25.439,64,72.023
3.747,50.837,54.906,57.728,"K",47.068,32,73.45,"E","Class1",29.199,85,70.704
59.935,57.942,80.303,34.723,"J",32.925,20,96.959,"O","Class1",24.511,87,78.807
3.142,49.969,48.292,48.807,"J",32.476,41,84.017,"E","Class1",24.811,65,75.346
56.528,7.935,23.57,73.837,"D",77.418,24,97.434,"T","Class3",38.923,68,34.227
8.343,87.589,63.415,37.558,"U",44.91,79,39.38,"X","Class2",38.183,56,42.909
63.222,87.188,62.312,40.524,"X",39.723,83,41.872,"Q","Class2",43.672,54,26.294
60.298,14.491,22.595,31.03,"J",93.855,16,98.322,"R","Class3",8.956,82,73.196
59.662,4.339,35.602,53.033,"S",73.042,9,98.852,"O","Class3",24.265,62,19.665
72.074,5.678,16.658,52.314,"S",61.718,16,98.999,"O","Class3",24.869,72,65.773
59.773,87.038,61.65,51.278,"U",49.235,85,45.973,"X","Class2",47.865,16,33.617
24.03,50.028,115.165,83.408,"S",29.624,23,85.074,"O","Class1",29.591,92,70.209
63.026,71.422,42.133,71.178,"E",59.706,88,58.393,"G","Class4",58.224,72,16.449
72.517,37.236,32.408,42.153,"D",62.498,16,99.387,"R","Class3",21.673,89,73.339
68.89,16.873,23.504,65.117,"F",85.535,10,97.485,"T","Class3",18.133,55,49.101
74.072,66.665,38.018,83.384,"P",69.608,96,48.083,"J","Class4",79.549,38,26.738
57.906,54.741,57.728,54.638,"X",27.314,23,67.679,"S","Class1",20.338,77,68.597
73.399,87.566,61.033,47.333,"U",31.653,83,46.755,"Q","Class2",46.017,6,24.98
65.471,18.275,18.876,84.574,"S",72.921,25,98.546,"T","Class3",27.207,85,61.442
62.26,33.075,25.167,40.808,"D",65.379,20,99.721,"R","Class3",13.842,66,51.187
37.943,87.732,61.883,75.502,"E",38.759,75,36.352,"Q","Class2",60.119,31,27.542
65.863,87.302,62.297,27.732,"T",24.276,83,36.507,"X","Class2",51.073,9,40.719
72.323,15.483,38.325,58.272,"D",67.794,13,97.01,"O","Class3",37.669,67,39.947
69.297,21.327,27.026,34.097,"Z",58.206,21,99.028,"C","Class3",17.611,79,16.165
26.893,66.22,57.923,66.152,"S",8.025,42,60.71,"O","Class1",26.644,84,76.962
59.99,43.986,41.646,81.645,"E",69.838,60,48.463,"L","Class4",68.59,90,18.474
14.34,55.567,47.802,46.305,"X",1.779,29,95.485,"O","Class1",24.722,89,79.485
39.343,87.25,60.402,26.066,"R",54.481,81,48.788,"M","Class2",58.025,20,71.373
25.165,87.393,61.237,64.088,"T",48.579,78,47.403,"X","Class2",52.796,29,51.498
14.086,61.294,97.769,76.877,"K",33.402,44,89.221,"E","Class1",25.122,64,71.678
60.742,95.312,40.394,67.48,"G",63.965,78,43.413,"L","Class4",68.252,53,27.441
69.201,46.6,40.325,72.724,"E",61.98,68,38.391,"J","Class4",73.832,52,42.271
7.414,87.145,60.708,25.519,"T",47.113,86,36.231,"Q","Class2",42.399,57,28.015
60.005,12.941,21.669,79.978,"D",69.244,18,99.588,"R","Class3",42.033,68,57.828
9.732,87.084,61.371,70.694,"R",43.212,84,45.025,"M","Class2",55.414,34,0.795
55.732,71.345,40.883,71.858,"E",58.425,96,44.322,"J","Class4",55.469,33,41
52.23,54.183,36.106,41.217,"K",18.617,36,74.26,"S","Class1",23.049,70,74.499
55.623,66.189,70.868,72.109,"X",53.682,20,93.097,"O","Class1",20.648,66,71.228
44.316,87.647,61.193,28.666,"U",55.362,78,42.579,"Q","Class2",55.706,23,53.979
73.147,76.191,41.134,68.07,"O",56.204,88,36.425,"H","Class4",64.348,32,15.652
18.468,63.252,105.14,36.184,"I",59.119,31,93.726,"G","Class1",21.63,69,70.672
63.127,84.486,40.743,70.669,NA,77.114,54,62.129,"G","Class4",73.588,93,33.714
76.866,85.65,41.057,72.528,"P",50.48,61,56.291,"L","Class4",55.417,45,18.482
81.225,54.495,40.928,67.02,"O",60.566,95,49.666,"J","Class4",61.15,42,35.634
76.674,92.241,41.207,80.089,"E",66.138,81,49.821,"G","Class4",60.621,51,19.864
62.842,37.862,15.102,58.991,"F",59.978,23,97.125,"T","Class3",27.317,63,69.117
68.296,12.479,28.148,56.729,"D",61.537,16,98.387,"L","Class3",53.617,73,34.402
18.65,53.195,41.514,39.714,"J",8.663,28,59.522,"S","Class1",20.045,63,77.668
51.432,81.009,38.688,73.873,"P",78.064,57,49.418,"J","Class4",102.369,42,17.177
43.231,87.356,60.637,23.123,"U",45.049,87,45.165,"M","Class2",51.474,37,5.637
35.033,58.405,58.977,55.308,"J",24.469,23,74.285,"E","Class1",26.143,89,68.464
60.117,10.389,41.309,64.982,"D",56.711,19,98.773,"T","Class3",36.869,76,67.48
23.289,47.995,47.266,56.575,"X",12.786,29,70.114,"O","Class1",27.78,90,81.238
44.037,87.367,61.058,81.458,"E",31.789,78,42.619,"X","Class2",51.92,51,62.878
71.992,4.632,17.167,36.787,"D",62.881,23,97.806,"O","Class3",37.257,62,72.966
49.813,93.05,40.763,71.106,"W",63.876,76,63.35,"D","Class4",61.248,33,28.583
7.252,54.772,33.697,86.313,"J",25.858,30,72.479,"O","Class1",24.446,64,80.289
21.559,63.547,64.36,75.901,"S",19.897,41,66.172,"E","Class1",29.275,86,72.942
47.88,64.106,67.081,64.588,"K",4.059,38,76.472,"S","Class1",30.466,84,73.858
28.83,63.288,52.879,59.698,"K",56.883,20,94.762,"S","Class1",25.159,82,74.668
14.276,49.371,36.038,70.017,"X",18.431,33,60.397,"E","Class1",18.325,90,83.197
5.02,62.23,102.941,59.084,"J",13.947,35,69.766,"S","Class1",16.502,91,74.799
78.722,87.89,60.662,37.416,NA,37.256,75,44.07,"P","Class2",56.615,14,71.074
53.898,84.434,41.104,87.593,"W",58.091,79,45.187,"G","Class4",53.638,54,37.023
23.848,61.259,73.618,77.235,"J",21.317,29,83.719,"O","Class1",24.052,68,66.355
14.843,87.248,61.583,69.99,"E",39.699,85,48.74,"Q","Class2",45.18,12,53.053
80.713,78.308,41.308,81.812,"G",48.686,78,62.315,"D","Class4",50.61,86,45.105
68.394,11.163,16.427,40.693,"Z",63.648,23,98.353,"L","Class3",41.763,57,38.2
29.824,49.519,95.906,77.742,"X",10.906,30,86.105,"S","Class1",19.396,63,71.779
73.388,25.986,36.282,82.255,"S",64.068,22,97.242,"C","Class3",7.414,62,24.937
48.59,48.401,39.252,84.036,"W",62.626,65,39.634,"J","Class4",66.942,59,42.797
73.967,92.363,41.221,87.374,"P",61.935,72,63.043,"H","Class4",53.963,66,25.562
72.051,62.679,41.827,73.914,"O",63.173,62,37.381,"G","Class4",77.147,51,42.522
44.855,53.469,32.995,40.382,"K",39.161,30,65.224,"H","Class1",21.271,79,75.41
5.072,65.468,40.152,48.488,NA,39.097,29,79.43,"E","Class1",19.02,91,74.377
38.443,87.418,60.597,12.138,NA,70.758,86,42.566,"P","Class2",48.451,48,43.464
64.665,3.777,22.64,82.629,"D",72.408,24,99.132,"T","Class3",43.582,80,69.82
12.843,67.505,-6.886,67.151,"S",41.887,37,91.887,"S","Class1",28.015,72,68.59
71.733,2.384,10.854,33.334,"Z",60.42,20,99.595,"O","Class3",14.958,87,91.059
32.8,87.362,61.438,70.814,"R",21.513,76,40.061,"X","Class2",68.238,6,46.957
56.89,27.501,28.248,33.87,"F",78.079,22,97.243,"L","Class3",40.279,87,62.499
65.226,34.014,27.512,53.069,"Z",63.978,24,98.611,"T","Class3",18.971,89,63.355
75.66,47.89,39.518,72.939,"P",72.232,86,62.622,"G","Class4",61.107,76,26.509
81.815,56.529,40.459,76.947,"W",57.062,73,57.436,"H","Class4",65.943,41,36.176
7.732,87.829,60.446,26.968,"T",17.969,77,48.59,"Q","Class2",48.511,13,28.587
61.856,61.545,40.412,68.649,"G",58.329,76,52.885,"G","Class4",81.117,53,40.292
80.6,87.287,61.25,68.307,"U",44.9,84,40.543,"P","Class2",49.514,25,20.668
33.761,NA,61.334,23.365,"U",60.304,82,44.496,"Q","Class2",70.347,40,30.455
17.41,50.394,14.339,62.615,"X",25.899,34,77.969,"G","Class1",16.823,89,71.13
55.194,87.621,62.966,22.547,"E",52.596,78,41.976,"P","Class2",43.634,14,59.496
47.842,87.021,60.797,14.714,"X",49.043,87,48.543,"B","Class2",50.864,32,38.377
46.035,87.324,62.632,30.791,"R",38.372,85,42.003,"X","Class2",49.789,19,24.962
67.36,18.23,14.173,53.494,"F",65.561,15,99.565,"L","Class3",-0.537,89,10.419
22.498,63.592,77.277,46.83,"X",63.306,33,59.63,"E","Class1",28.519,87,74.485
61.158,33.353,35.526,74.008,"S",74.132,8,97.207,"R","Class3",27.591,55,42.834
47.354,60.197,76.843,45.291,"I",21.12,34,63.627,"S","Class1",25.977,92,67.249
11.687,87.453,61.462,76.592,"X",31.601,80,43.816,"P","Class2",47.567,38,23.019
63.044,87.251,60.549,31.552,"X",70.743,78,46.977,"X","Class2",63.815,52,13.696
14.119,87.533,61.308,66.028,"R",64.626,84,47.196,"P","Class2",65.184,41,14.14
60.685,78.05,42.44,70.232,"P",55.493,54,38.864,"H","Class4",66.472,85,23.336
64.752,7.121,21.164,34.948,"Z",72.839,23,97.707,"L","Class3",13.83,88,24.095
14.337,87.902,60.04,30.674,"X",54.829,75,36.346,"M","Class2",51.556,23,39.8
60.49,26.368,21.818,73.885,"S",81.31,14,99.267,"T","Class3",32.047,58,63.697
68.608,75.209,41.5,79.571,"E",61.693,83,47.005,"H","Class4",61.218,81,27.582
59.12,66.403,40.419,87.426,"W",63.018,77,47.835,"D","Class4",42.28,43,22.036
75.663,90.417,40.454,77.066,"G",61.096,75,59.625,"L","Class4",45.984,75,26.315
70.646,81.943,39.414,73.896,"O",71.59,89,58.171,"H","Class4",72.736,65,18.052
56.26,24.005,31.266,62.648,"F",74.414,27,98.864,"L","Class3",43.289,86,51.551
58.741,87.664,60.346,34.086,"T",62.928,80,48.358,"M","Class2",60.963,37,39.029
32.205,64.667,90.294,42.797,"J",23.481,34,57.395,"H","Class1",25.314,77,78.778
74.828,58.591,40.156,71.54,"E",60.183,57,62.838,"J","Class4",65.687,75,35.011
70.895,10.727,23.796,46.992,"D",57.008,8,99.534,"L","Class3",16.986,68,85.272
48.438,92.567,40.781,77.327,"G",58.404,95,49.699,"H","Class4",42.005,30,10.568
69.051,70.152,40.99,67.258,"W",63.758,88,37.377,"H","Class4",61.437,42,9.907
77.897,59.678,42.038,77.794,"O",61.274,64,48.666,"D","Class4",43.568,76,28.801
82.337,71.769,40.85,82.072,"P",65.146,96,44.105,"L","Class4",26.712,51,33.877
63.377,33.418,28.751,42.31,"J",74.378,26,98.054,"O","Class3",34.842,75,49.247
71.805,25.103,26.25,84.612,"Z",75.304,16,99.887,"T","Class3",37.35,73,-18.171
60.097,9.558,25.158,73.362,"J",64.229,22,99.378,"R","Class3",44.551,66,13.084
62.622,30.054,31.992,60.211,"Z",67.567,26,97.335,"C","Class3",24.333,66,24.437
59.726,62.16,66.176,42.884,"J",5.024,30,87.981,"O","Class1",21.582,64,76.211
16.981,87.878,62.399,82.393,"U",50.917,80,36.221,"P","Class2",50.049,11,-0.811
74.298,26.671,16.482,82.91,"S",69.394,11,98.903,"L","Class3",35.795,57,41.603
57.568,17.773,19.45,45.171,"D",66.513,20,98.559,"O","Class3",28.133,85,26.132
8.723,87.454,61.96,32.337,"U",29.744,80,42.244,"B","Class2",45.315,41,57.118
77.072,87.73,60.559,58.207,"R",41.671,84,46.905,"B","Class2",38.134,53,34.607
71.832,41.634,40.894,67.428,"E",58.484,96,60.26,"G","Class4",66.216,25,30.282
11.285,87.626,61.387,36.008,"X",32.833,87,37.381,"Q","Class2",54.146,33,44.011
55.36,51.497,31.872,87.802,"I",24.118,31,72.108,"O","Class1",31.659,77,81.908
38.132,49.168,56.326,61.439,"J",16.148,24,61.486,"E","Class1",30.842,64,75.611
75.858,50.896,39.663,73.051,"W",61.364,55,56.739,"J","Class4",52.104,72,25.583
56.637,27.557,28.386,70.915,"Z",66.329,25,99.473,"O","Class3",17.648,55,12.703
78.176,45.266,40.798,86.749,"W",68.895,82,55.769,"L","Class4",72.182,26,27.189
58.24,34.594,23.2,30.509,"Z",72.386,23,98.752,"L","Class3",24.153,68,21.89
28.642,87.663,60.558,80.685,"E",50.281,81,38.026,"M","Class2",43.691,36,43.503
40.076,48.2,27.593,32.276,"S",25.772,44,75.97,"E","Class1",18.788,69,78.113
74.768,34.318,13.755,71.061,"F",67.265,9,99.834,"L","Class3",20.091,73,50.067
62.623,79.027,39.822,81.3,"W",61.674,60,39.568,"G","Class4",56.622,38,43.798
60.12,3.177,8.142,37.46,"J",71.579,19,99.851,"R","Class3",33.653,60,87.98
58.022,NA,61.123,84.574,"R",40.227,86,38.19,"B","Class2",46.021,32,29.535
84.404,87.919,61.507,77.894,"U",45.965,76,40.342,"B","Class2",43.581,52,49.983
67.233,27.021,16.361,68.492,"Z",56.171,23,98.152,"T","Class3",52.769,82,68.315
10.539,62.337,64.817,40.369,"I",60.198,43,86.853,"E","Class1",28.651,90,81.819
58.613,31.072,19.145,64.39,"F",76.71,11,99.016,"R","Class3",9.753,79,72.749
62.626,10.231,37.798,76.545,"F",51.892,18,97.593,"C","Class3",26.523,54,69.873
56.857,11.735,20.715,31.258,"Z",62.662,17,99.535,"T","Class3",37.291,73,58.922
56.992,87.26,61.651,54.849,"T",32.554,76,46.83,"Q","Class2",40.667,18,52.47
33.907,67.813,78.97,70.684,"J",44.709,33,80.997,"E","Class1",25.283,89,76.573
7.708,58.863,77.723,87.923,"I",37.697,28,91.936,"G","Class1",25.982,83,70.923
77.694,87.554,61.278,57.798,"T",58.453,75,38.613,"M","Class2",43.16,50,32.07
71.41,28.925,28.224,70.902,"Z",72.105,11,97.93,"L","Class3",16.421,61,43.702
62.266,33.057,22.542,79.683,"J",65.49,11,97.103,"L","Class3",48.056,56,49.624
49.47,61.85,29.986,41.771,"J",10.484,25,90.439,"E","Class1",20.235,88,73.849
50.702,93.066,41.213,85.243,"P",63.946,56,45.744,"G","Class4",28.535,27,31.311
