"IGZ1","YFS2","KQE3","FYH4","ZUQ5","WZC6","AQT7","YWK8","BWF9","Output9","UOC10"
82.06,74.127,73.139,0.645,66.119,80.752,73,21,"D","Class2",39.438
63.127,80.77,73.57,0.742,74.147,68.933,32,57,"C","Class2",36.571
76.78,25.267,36.372,48.729,14.781,35.193,17,40,"M","Class3",54.735
76.753,5.617,33.259,55.658,89.761,38.684,6,45,"T","Class3",52.652
78.395,7.655,40.69,24.875,72.073,79.297,12,42,"D","Class3",50.838
22.892,69.278,73.73,0.9,72.659,67.314,30,49,"D","Class2",16.638
17.828,76.038,59.667,0.507,65.085,66.201,32,43,NA,"Class2",69.767
71.26,80.332,59.036,0.494,66.404,86.661,51,63,"V","Class2",76.639
83.605,27.346,48.084,64.377,47.664,52.444,11,77,"Z","Class1",70.357
54.098,64.13,71.3,0.07,73.161,64.665,25,25,"V","Class2",12.474
82.223,30.615,59.678,63.697,60.519,67.643,10,88,NA,"Class1",71.783
31.859,76.832,61.108,0.353,68.638,73.851,49,60,"D","Class2",43.913
93.124,-1.967,26.479,40.37,83.19,9.824,31,41,"D","Class3",53.646
79.864,12.251,27.659,27.651,44.669,45.066,5,47,"T","Class3",51.473
89.555,7.831,39.59,58.831,68.112,46.642,15,46,"D","Class3",53.364
26.102,86.288,89.021,0.174,73.305,71.379,68,24,"C","Class2",3.927
83.252,26.297,53.871,57.882,NA,77.711,10,62,"A","Class1",71.277
10.868,84.803,85.277,0.206,60.638,56.836,43,64,"D","Class2",62.672
82.731,29.247,47.293,63.066,46.448,71.381,10,86,"C","Class1",71.573
84.857,81.278,72.574,0.735,70.161,68.634,29,56,"C","Class2",81.735
86.599,25.982,59.981,64.652,51.774,59.359,10,59,"A","Class1",70.457
85.516,31.301,56.266,65.285,40.348,61.755,11,86,"C","Class1",70.466
82.39,9.867,29.5,56.275,59.11,81.583,4,34,NA,"Class3",53.313
28.896,79.52,55.366,0.774,64.618,80.739,62,37,"F","Class2",50.275
34.7,78.449,65.515,-0.039,61.7,82.633,18,43,"C","Class2",-11.129
87.729,21.2,24.858,37.884,NA,42.301,28,40,"X","Class3",52.298
85.863,32.694,49.182,53.364,46.544,62.737,11,90,"Z","Class1",70.796
81.388,17.508,22.813,68.859,75.753,52.576,13,35,"D","Class3",52.76
83.112,3.201,23.926,54.011,21.009,27.406,33,40,"T","Class3",50.35
36.729,81.067,69.159,0.637,68.236,78.919,18,41,"F","Class2",28.371
8.288,83.888,63.353,0.513,69.74,71.521,64,46,"W","Class2",46.562
77.578,77.779,87.652,0.451,67.695,77.214,17,43,"W","Class2",24.17
78.057,3.047,43.795,61.418,90.557,85.068,9,36,"X","Class3",51.902
80.224,22.063,29.725,21.176,70.62,66.385,23,46,"X","Class3",53.691
83.572,32.245,50.129,64.722,61.349,77.216,10,70,"C","Class1",71.244
24.563,78.003,69.826,0.438,64.952,72.038,48,36,"V","Class2",52.643
84.755,31.769,55.334,62.891,47.228,76.206,11,59,"A","Class1",70.366
85.843,27.126,49.606,60.882,65.248,67.637,10,60,"K","Class1",69.829
91.873,11.963,39.902,78.757,83.202,39.547,24,45,"T","Class3",50.36
73,86.043,71.18,0.551,70.729,78.432,75,53,"V","Class2",54.522
76.397,4.74,17.563,27.289,91.31,34.948,31,42,"D","Class3",51.76
85.922,29.825,60.811,56.389,47.696,80.615,11,71,"K","Class1",71.008
78.605,14.382,26.535,57.411,84.542,73.186,24,45,"D","Class3",52.817
86.705,28.794,47.615,59.536,47.869,87.442,11,79,"Z","Class1",70.28
76.643,76.079,88.167,0.091,72.893,75.7,75,44,"D","Class2",83.134
81.36,14.575,25.035,60.483,52.47,57.765,1,38,"D","Class3",53.492
82.082,32.709,58.921,61.469,57.737,85.389,10,52,"K","Class1",71.157
84.908,19.459,16.187,26.239,84.306,59.405,32,46,"M","Class3",54.761
85.549,10.742,35.978,60.288,72.003,100.246,18,41,"C","Class3",52.836
84.294,28.785,58.057,62.822,49.999,68.907,10,74,"A","Class1",71.637
44.087,90.506,73.02,0.143,62.83,73.216,42,49,"D","Class2",-13.624
81.437,19.729,16.573,45.566,70.906,28.48,15,44,"D","Class3",49.512
79.129,1.887,44.222,61.041,32.368,62.019,28,39,"X","Class3",53.997
91.976,4.971,19.31,51.495,76.265,66.826,18,35,"M","Class3",54.373
66.833,82.287,55.862,0.292,68.392,69.905,75,63,"V","Class2",77.492
74.692,-2.691,28.027,47.683,96.307,73.321,27,42,"T","Class3",51.275
82.541,25.812,49.268,61.993,62.675,59.991,11,65,"A","Class1",71.189
84.578,24.028,55.132,59.228,56.935,59.61,11,87,"C","Class1",71.428
73.466,12.152,26.034,58.215,86.45,104.787,22,44,"D","Class3",50.892
90.177,1.209,16.08,55.646,73.561,54.759,3,44,"M","Class3",52.478
72.286,15.632,30.541,79.201,55.141,40.295,29,46,"X","Class3",49.047
81.71,23.588,32.407,51.006,74.094,84.915,14,36,"C","Class3",50.774
83.093,31.901,50.757,57.68,51.671,72.989,10,81,"K","Class1",70.072
24.087,76.667,53.862,0.351,NA,68.96,36,33,"W","Class2",81.935
72.263,20.052,41.02,54.41,36.871,31.976,30,44,"C","Class3",51.729
76.01,11.691,31.307,42.101,31.035,55.541,1,40,"D","Class3",53.221
81.889,26.238,30.028,50.988,27.293,81.275,12,46,"X","Class3",50.019
64.177,74.106,91.969,0.503,68.428,72.045,43,50,"C","Class2",41.589
80.954,4.661,27.49,44.371,58.443,41.764,32,40,"X","Class3",52.752
83.422,22.544,49.666,56.897,NA,80.439,10,75,"C","Class1",70.802
84.588,26.996,49.1,62.862,48.125,81.249,10,77,"Z","Class1",70.625
77.12,16.902,42.291,42.26,80.769,-3.808,20,37,"X","Class3",52.087
91.324,8.227,35.967,61.182,NA,69.311,23,40,"X","Class3",49.302
84.749,32.182,60.141,58.585,50.161,63.382,11,58,"C","Class1",71.696
82.208,26.968,32.745,64.429,39.932,32.646,9,42,"T","Class3",50.691
10.384,83.199,68.269,0.433,69.462,69.903,65,23,"D","Class2",82.445
52.775,80.662,68.513,0.599,66.17,75.804,32,58,"F","Class2",45.377
84.587,25.714,50.182,59.384,51.085,53.744,10,53,"A","Class1",69.698
90.394,13.191,32.368,36.274,52.365,54.81,18,39,"M","Class3",50.999
75.199,81.133,58.041,-0.472,66.902,83.966,31,31,"W","Class2",30.451
75.853,25.435,37.016,56.431,17.223,48.752,8,38,"T","Class3",53.377
30.585,80.522,55.165,0.731,66.605,69.721,43,63,"C","Class2",9.772
46.336,73.929,71.161,0.096,66.67,74.641,61,22,"V","Class2",45.892
85.112,32.326,56.761,59.822,42.499,61.178,10,89,"C","Class1",71.586
74.941,7.849,16.144,39.747,88.644,79.525,27,34,"D","Class3",54.387
86.717,28.789,18.266,81.918,NA,52.41,24,42,"C","Class3",54.334
90.609,2.214,39.477,48.872,23.044,127.189,20,44,"D","Class3",52.018
83.689,29.738,51.378,56.292,39.198,84.128,11,51,"O","Class1",71.115
85.824,28.378,56.088,56.864,40.45,73.238,11,85,"K","Class1",70.749
40.096,80.522,54.044,0.155,69.007,67.602,27,45,"V","Class2",72.433
85.874,-2.026,21.286,49.599,23.121,41.512,20,42,"M","Class3",52.876
84.629,29.71,50.02,57.298,38.399,79.038,10,56,"A","Class1",71.19
83.332,29.06,51.036,64.689,41.467,54.194,11,55,"O","Class1",70.012
83.246,8.609,38.271,58.046,32.149,56.034,5,38,"M","Class3",53.952
72.077,16.248,26.199,53.153,75.15,57.369,25,47,"X","Class3",52.402
75.677,12.617,36.672,42.629,66.893,41.024,12,39,"M","Class3",51.741
38.524,76.304,83.04,0.805,65.101,65.373,23,60,"D","Class2",30.065
86.769,21.277,31.422,41.209,47.074,27.692,27,34,"M","Class3",51.956
83.377,93.048,81.503,0.337,68.046,58.449,42,43,"V","Class2",84.857
77.998,16.784,41.461,71.931,18.483,98.387,7,42,"X","Class3",52.013
81.393,14.884,26.343,65.435,88.281,25.966,18,45,"M","Class3",51.321
93.08,17.427,24.12,30.102,17.535,62.428,6,47,"D","Class3",50.132
83.131,31.958,46.447,59.51,54.944,72.228,11,69,"K","Class1",71.019
85.479,34.989,60.711,59.182,65.358,79.15,11,68,"O","Class1",72.174
84.733,31.893,47.131,61.169,52.104,65.292,10,80,"K","Class1",71.097
84.385,27.371,53.952,61.438,57.139,58.835,11,71,"C","Class1",72.173
52.985,90.248,67.302,0.782,74.48,59.36,55,47,"F","Class2",75.474
53.956,75.845,59.539,0.719,73.482,58.928,46,58,"V","Class2",57.43
74.405,76.074,84.229,0.522,68.183,70.772,75,47,"F","Class2",55.347
89.484,19.827,40.672,64.462,57.916,55.359,31,40,"X","Class3",51.912
84.878,29,54.591,61.02,42.601,63.131,11,91,"O","Class1",70.148
74.354,12.164,22.01,28.307,22.622,10.199,22,39,"C","Class3",52.366
27.806,76.918,61.107,-0.246,71.723,73.386,78,31,"V","Class2",102.055
8.513,76.715,77.265,0.619,72.58,64.846,36,32,"D","Class2",56.084
35.823,77.46,84.691,0.165,71.702,57.823,36,46,"V","Class2",23.689
75.801,9.481,32.974,67.709,60.859,78.046,33,40,"X","Class3",52.768
66.645,72.194,61.169,0.752,68.236,77.354,35,32,"D","Class2",52.174
85.626,23.983,53.249,57.317,59.822,66.296,10,81,NA,"Class1",70.734
80.171,70.72,68.739,0.738,70.066,58.783,53,33,"V","Class2",38.089
84.199,26.929,57.332,61.288,41.03,54.685,11,53,"Z","Class1",70.549
86.426,27.813,57.786,58.529,43.293,68.164,10,62,NA,"Class1",70.975
72.209,16.838,39.242,61.501,88.547,31.555,25,38,NA,"Class3",51.859
85.535,14.58,18.964,56.507,63.167,35.607,32,47,"C","Class3",52.432
79.981,10.434,40.819,30.017,57.715,44.284,28,43,"C","Class3",51.603
57.254,82.254,70.428,0.73,65.638,70.344,39,50,"C","Class2",19.486
82.892,26.255,59.315,61.279,63.15,71.922,11,89,"A","Class1",69.94
82.268,23.248,18.934,47.642,83.586,80.669,16,42,"M","Class3",50.264
83.069,1.548,26.455,41.425,77.156,87.135,18,43,"T","Class3",55.426
7.589,85.87,82.721,0.446,63.708,77.673,64,45,"C","Class2",42.882
46.105,73.136,80.222,0.213,74.852,80.359,46,59,"D","Class2",40.302
86.882,34.393,57.442,59.765,57.876,59.131,10,56,"C","Class1",70.122
81.082,6.513,27.511,39.525,53.175,118.886,16,46,"C","Class3",50.409
82.607,79.053,51.416,0.711,72.801,74.208,67,20,"D","Class2",24.768
84.905,29.315,59.179,56.37,63.228,64.696,11,91,"A","Class1",71.974
83.711,24.676,19.889,24.768,68.329,82.644,11,37,"X","Class3",53.05
49.424,84.601,61.674,0.152,62.809,55.01,70,42,"F","Class2",18.372
82.541,32.822,50.519,65.038,54.913,73.981,10,55,"A","Class1",69.445
79.059,5.662,30.791,57.712,68.846,51.845,22,45,"D","Class3",51.84
24.546,78.353,77.122,0.552,NA,80.322,18,30,"W","Class2",53.887
25.985,76.641,63.227,0.842,67.349,79.651,73,53,"W","Class2",48.916
77.901,11.143,24.877,44.048,81.36,54.783,1,34,"D","Class3",49.824
84.089,30.351,50.667,56.78,58.436,66.521,10,90,"Z","Class1",71.384
76.19,13.385,26.531,43.333,22.869,33.509,20,44,"M","Class3",50.607
82.743,22.132,28.563,33.191,62.685,70.14,23,39,"X","Class3",52.186
85.949,29.313,57.8,56.644,54.675,73.501,10,87,"C","Class1",70.186
85.648,31.069,49.711,61.225,39.263,77.253,11,74,"Z","Class1",71.33
79.654,11.589,21.114,53.976,60.055,32.773,30,40,"D","Class3",53.058
86.27,27.302,54.086,56.228,39.159,80.664,10,67,"Z","Class1",71.418
83.702,32.737,58.564,57.078,40.939,56.917,10,63,"Z","Class1",71.543
86.669,29.975,59.262,57.784,41.995,70.293,11,66,"A","Class1",71.137
82.496,24.447,48.791,62.481,57.733,65.59,11,78,"O","Class1",72.236
17.659,80.433,62.388,0.285,66.261,76.507,41,64,"D","Class2",43.808
85.867,31.543,53.877,59.725,NA,74.959,10,78,"Z","Class1",69.561
68.99,84.762,87.447,0.729,63.615,55.285,32,44,"W","Class2",35.387
93.982,7.439,23.126,35.263,43.723,62.778,7,46,"X","Class3",50.788
92.313,6.051,40.955,31.973,87.416,22.669,6,43,"T","Class3",51.367
86.568,25.031,51.487,62.772,61.345,65.814,11,57,"A","Class1",70.535
74.105,65.944,51.814,0.395,69.754,73.766,46,22,"V","Class2",56.438
92.822,30.37,18.8,44.118,28.915,66.688,30,44,"T","Class3",52.185
83.053,33.222,49.57,58.325,45.762,65.601,10,55,"O","Class1",72.726
81.096,26.935,40.778,75.611,29.175,43.181,15,35,"M","Class3",52.146
85.857,23.101,37.355,67.368,81.49,45.828,6,35,"C","Class3",51.832
76.397,18.383,36.482,42.388,74.391,48.381,29,43,"C","Class3",49.575
93.896,-8.4,21.088,65.913,14.908,80.74,22,38,"T","Class3",52.449
79.784,24.594,34.966,58.306,66.812,33.63,3,37,"M","Class3",51.877
85.247,30.416,49.465,58.647,55.715,35.468,11,90,"K","Class1",70.971
78.208,8.831,27.377,74.222,63.992,67.43,23,40,"X","Class3",52.208
91.586,12.235,41.015,47.787,44.958,39.977,8,37,"X","Class3",52.279
86.958,32.603,60.361,61.763,57.771,65.057,10,59,"A","Class1",70.613
47.202,78.418,74.633,0.785,74.064,61.718,67,31,NA,"Class2",37.797
91.591,4.979,38.009,54.592,25.802,55.503,24,47,"C","Class3",53.347
72.858,21.165,22.776,47.802,71.564,75.769,28,39,"X","Class3",51.394
85.863,28.93,48.882,61.41,39.331,58.529,10,69,"Z","Class1",71.616
82.576,88.698,57.454,0.215,69.778,69.427,60,42,NA,"Class2",20.685
83.153,27.319,18.554,59.859,58.346,38.649,2,47,"X","Class3",55.256
86.644,20.569,55.072,57.446,41.905,57.353,10,74,"K","Class1",70.581
90.898,28.698,36.45,67.43,42.757,23.959,6,45,"X","Class3",52.321
62.97,80.192,52.798,0.529,63.434,64.115,17,60,"W","Class2",57.169
21.166,77.471,59.645,0.491,61.724,68.907,23,38,"V","Class2",49.073
13.516,74.422,88.319,0.671,69.421,67.079,47,25,"C","Class2",41.117
86.711,11.483,26.026,55.353,62.979,47.983,28,34,"T","Class3",50.272
21.61,73.621,62.416,0.401,64.053,80.008,72,58,NA,"Class2",115.445
82.127,32.06,55.961,58.405,58.286,71.401,11,70,"A","Class1",72.607
16.87,91.14,65.42,0.351,67.598,64.271,68,57,"V","Class2",18.961
86.807,31.349,47.352,54.286,66.741,78.527,11,92,"O","Class1",70.848
75.953,18.651,35.713,29.534,91.128,73.105,20,36,"T","Class3",52.277
75.095,81.989,69.731,0.039,61.255,75.644,44,54,"D","Class2",0.758
11.168,86.639,62.745,0.3,60.227,63.439,29,49,"C","Class2",33.097
90.84,6.558,20.207,39.939,66.567,58.26,6,46,"X","Class3",51.437
85.633,7.686,17.849,53.003,22.889,71.654,3,36,"X","Class3",52.386
48.604,77.207,69.262,0.85,62.26,62.616,16,43,"V","Class2",-17.164
55.345,84.469,67.347,0.515,60.105,66.294,44,50,"D","Class2",86.104
76.765,83.907,54.374,0.814,61.362,77.891,25,21,"V","Class2",3.335
55.986,70.303,71.155,0.775,64.902,51.929,31,44,"W","Class2",29.483
72.779,16.627,20.229,46.46,47.023,34.654,6,41,"X","Class3",50.778
87.993,0.369,39.248,47.382,93.473,65.312,15,37,"T","Class3",53.501
80.339,72.957,80.898,0.395,NA,70.799,56,30,"F","Class2",-44.481
48.343,74.426,60.541,0.024,72.47,65.36,27,25,"D","Class2",71.648
68.558,83.027,53.452,0.639,74.828,78.461,21,23,"C","Class2",68.553
85.557,20.349,31.943,58.235,52.527,79.015,17,41,"T","Class3",52.051
82.524,30.963,60.019,60.497,NA,64.581,10,72,"Z","Class1",70.892
15.272,79.112,89.695,0.256,63.215,65.253,31,38,"D","Class2",40.523
31.914,76.258,62.976,0.96,74.801,68.812,29,36,"F","Class2",22.879
67.885,87.023,76.102,1.033,64.176,55.904,75,52,"V","Class2",75.722
76.027,1.758,18.642,50.317,62.411,54.133,4,39,"T","Class3",50.432
82.228,23.742,57.1,59.564,58.356,61.987,10,67,"C","Class1",70.75
84.343,31.977,56.263,57.902,66.523,75.617,10,76,"K","Class1",70.863
85.384,31.536,46.691,60.177,41.959,66.617,11,89,"K","Class1",71.407
83.031,18.956,29.082,51.824,42.917,77.099,21,47,NA,"Class3",52.523
80.632,9.282,33.675,38.697,60.483,89.783,2,42,"X","Class3",50.473
86.667,29.691,55.654,57.027,47.914,84.233,11,54,"Z","Class1",71.902
85.422,17.527,42.705,56.39,88.278,6.619,20,38,"T","Class3",54.559
29.211,76.335,59.844,0.716,69.323,66.776,73,57,"C","Class2",31.17
83.146,28.125,49.132,59.365,NA,75.354,11,85,"Z","Class1",71.492
8.637,74.022,54.742,0.687,72.583,69.131,54,64,"C","Class2",52.944
75.845,33.697,19.858,44.113,35.617,38.809,14,41,"M","Class3",52.261
74.192,78.941,75.924,0.366,71.848,77.729,65,29,"C","Class2",19.869
44.069,75.074,56.013,0.376,63.678,63.931,38,47,"W","Class2",74.874
38.083,74.214,57.756,0.013,66.727,61.384,41,64,"V","Class2",15.524
75.147,3.004,43.749,40.427,58.046,4.713,16,47,"T","Class3",55.911
84.804,30.114,46.865,56.674,51.38,71.801,11,53,"O","Class1",70.946
84.063,31.137,49.625,57.678,53.416,57.156,10,86,"A","Class1",70.616
85.16,34.458,51.368,63.17,57.133,59.465,11,88,"C","Class1",71.218
84.93,27.024,57.032,58.988,44.774,62.76,10,55,"A","Class1",71.296
23.789,76.309,56.061,-0.014,72.345,70.974,46,37,"C","Class2",75.626
51.845,80.048,82.7,0.584,62.436,63.287,63,47,"W","Class2",7.628
73.222,8.554,24.824,28.64,26.21,62.562,20,39,NA,"Class3",52.034
65.415,78.091,84.129,0.599,61.965,59.906,46,48,"V","Class2",29.76
83.974,30.754,47.679,64.24,66.985,63.859,10,70,"O","Class1",70.389
85.169,28.673,52.064,56.316,65.907,77.392,11,59,"A","Class1",71.079
89.427,22.025,29.632,43.691,15.585,70.017,3,34,"X","Class3",52.912
51.191,85.486,58.557,0.949,73.443,61.534,73,30,"D","Class2",26.939
78.962,13.355,42.323,54.618,16.895,84.421,32,38,"X","Class3",52.271
79.745,9.613,17.78,43.286,85.772,24.787,13,41,NA,"Class3",52.077
76.538,21.349,22.674,58.658,40.399,25.785,12,43,"D","Class3",52.335
80.109,20.681,24.54,42.393,45.944,39.82,15,37,"T","Class3",52.569
24.006,83.164,80.726,1.02,73.01,73.39,52,53,NA,"Class2",67.184
64.256,79.024,68.608,0.162,73.746,65.913,71,37,"V","Class2",77.718
80.063,10.194,38.715,46.663,92.138,32.452,23,42,"M","Class3",51.969
85.588,33.56,55.287,60.434,47.544,74.55,11,74,"Z","Class1",71.514
48.174,83.164,80.864,0.324,68.653,73.245,28,51,"W","Class2",83.721
81.949,80.332,60.962,0.417,61.889,75.815,17,42,"V","Class2",55.621
89.646,12.604,17.224,64.082,47.488,85.943,7,44,"D","Class3",54.686
45.872,73.066,75.26,0.429,64.17,74.897,25,46,"D","Class2",35.422
89.078,21.311,34.597,31.971,83.472,53.794,5,38,"M","Class3",53.981
86.208,28.035,48.29,54.202,50.208,72.243,11,84,"C","Class1",71.183
84.302,86.957,56.021,0.08,73.228,67.869,62,51,NA,"Class2",19.752
86.621,28.963,52.188,65.258,50.313,65.162,11,89,"A","Class1",70.882
82.651,70.445,76.43,0.534,61.308,64.988,57,54,"V","Class2",46.223
75.558,18.482,19.043,53.854,39.713,60.891,3,34,"D","Class3",51.921
85.439,26.422,51.493,56.49,52.146,67.277,10,67,"O","Class1",70.945
82.628,1.859,32.672,58.197,35.655,38.23,27,41,"M","Class3",51.296
82.798,23.837,47.194,61.962,54.315,73.242,11,80,"Z","Class1",71.178
83.927,31.166,58.532,58.779,NA,65.772,10,83,"K","Class1",71.186
76.606,76.912,84.995,0.531,62.01,76.942,43,39,"C","Class2",21.478
87.694,4.614,28.604,56.325,85.295,78.28,21,38,"M","Class3",51.775
83.337,35.463,47.963,60.783,62.124,59.387,10,71,"A","Class1",70.548
83.709,18.084,34.455,53.269,48.226,38.948,3,34,"T","Class3",53.152
48.341,81.871,51.059,0.185,68.18,65.799,43,23,"D","Class2",13.378
83.542,24.12,48.481,62.414,42.426,68.343,10,91,"Z","Class1",71.322
48.178,74.675,69.847,0.688,74.406,68.287,64,39,"D","Class2",19.624
85.351,34.193,54.492,63.058,43.636,52.335,11,55,"C","Class1",71.073
16.233,86.853,84.965,0.279,69.055,66.46,30,60,"C","Class2",48.861
82.994,76.644,73.642,0.276,69.902,74.745,18,34,"V","Class2",66.862
77.624,-0.835,19.909,37.601,45.74,-0.091,22,43,"C","Class3",52.092
89.858,13.446,40.033,48.636,95.757,58.327,3,46,"X","Class3",50.849
88.847,5.317,27.059,43.019,51.229,67.527,28,39,"T","Class3",52.122
69.38,73.093,89.648,0.7,69.604,74.121,19,24,"W","Class2",48.154
91.452,12.173,31.445,50.403,77.218,81.67,21,36,"T","Class3",52.493
83.506,27.176,54.136,63.749,55.196,75.799,10,54,"K","Class1",71.526
83.588,34.499,51.449,61.142,39.856,42.462,10,68,"K","Class1",70.379
32.706,85.129,83.239,0.118,72.183,60.579,42,59,"F","Class2",39.523
81.519,12.873,39.834,22.748,68.66,46.982,18,47,"X","Class3",52.455
86.142,30.304,52.042,55.825,54.159,56.52,10,89,"O","Class1",72.201
86.435,31.699,53.309,62.186,40.983,73.937,11,68,"C","Class1",70.647
85.983,32.84,47.384,58.558,49.59,79.984,10,86,"K","Class1",71.851
87.264,16.265,37.42,50.158,91.924,53.075,19,44,"M","Class3",54.189
74.473,9.451,35.272,65.373,95.646,68.111,25,37,"D","Class3",53.676
83.338,28.601,46.234,58.02,46.514,77.918,11,88,"C","Class1",70.76
26.656,81.37,61.706,0.374,60.703,73.463,22,53,"F","Class2",20.103
84.755,30.46,56.942,58.119,60.557,76.298,10,79,"Z","Class1",71.004
83.966,31.107,55.456,62.159,51.035,52.631,11,63,"O","Class1",70.1
72.132,8.721,21.8,64.364,91.253,67.681,27,40,"T","Class3",51.6
83.18,26.385,51.352,63.434,61.529,73.158,10,64,"A","Class1",71.933
86.478,2.279,28.996,56.541,48.669,83.329,22,46,"M","Class3",51.798
82.743,30.734,47.684,55.732,66.847,50.564,10,69,"C","Class1",70.352
83.249,11.532,28.65,60.441,62.344,59.953,17,35,"T","Class3",51.461
85.326,33.364,50.409,58.536,51.164,54.039,10,75,NA,"Class1",70.453
82.175,21.075,54.998,60.692,45.765,70.684,11,65,"C","Class1",70.187
79.168,6.979,40.423,29.277,95.962,47.428,20,34,"X","Class3",51.626
76.373,-8.875,37.609,44.795,95.358,61.501,13,40,"X","Class3",51.299
84.192,22.245,48.089,62.459,49.244,65.835,10,85,"Z","Class1",71.084
28.141,80.698,80.514,0.737,74.048,64.731,46,60,"W","Class2",45.291
85.18,35.34,60.453,58.796,44.227,41.866,11,67,"A","Class1",70.703
91.151,-1.16,36.498,49.061,81.1,55.098,31,41,"M","Class3",53.252
67.301,71.1,66.287,0.305,73.579,64.98,48,41,"C","Class2",23.745
82.553,23.382,58.114,58.201,61.797,63.253,11,92,"O","Class1",71.893
73.727,17.706,37.735,49.644,88.27,20.304,33,38,"M","Class3",51.6
51.257,74.524,60.191,0.761,70.674,71.459,78,34,"W","Class2",73.026
19.487,78.969,75.02,0.506,62.321,69.663,40,53,"V","Class2",57.719
90.903,21.37,34.019,47.379,71.374,41.098,13,34,"X","Class3",52.051
83.256,14.371,29.807,45.274,36.235,54.808,9,34,"X","Class3",52.247
74.565,14.54,39.362,56.302,73.866,18.204,16,36,"X","Class3",50.042
82.129,27.944,53.203,63.235,60.398,39.481,11,82,"O","Class1",71.519
50.462,78.625,79.302,0.981,70.765,83.134,21,34,"D","Class2",-4.573
90.07,-3.194,24.254,52.815,80.511,20.457,15,43,"C","Class3",51.257
78.024,71.182,59.43,0.23,67.179,74.79,23,39,"W","Class2",23.124
84.551,27.781,50.242,59.626,57.44,65.639,10,66,"Z","Class1",71.765
84.953,28.031,59.973,54.258,38.025,74.758,11,62,"A","Class1",71.539
82.753,28.23,52.342,61.779,41.953,65.625,10,78,"Z","Class1",71.612
75.056,14.481,25.485,44.215,72.905,43.71,18,43,"C","Class3",50.643
15.821,84.968,58.333,-0.295,63.355,63.993,47,27,"V","Class2",54.324
83.851,78.887,68.243,-0.198,66.078,71.025,40,34,NA,"Class2",56.797
84.926,4.526,20.213,37.382,54.774,38.869,7,44,"T","Class3",52.286
82.056,33.491,50.946,57.491,45.3,62.623,11,85,"Z","Class1",70.522
79.79,80.162,65.013,-0.105,67.47,59.054,50,41,"C","Class2",-0.139
38.413,75.316,57.014,0.294,60.76,61.172,33,42,"C","Class2",49.323
92.676,20.702,30.707,60.611,43.059,35.778,12,37,"M","Class3",50.684
53.809,74.116,66.42,0.724,66.588,69.923,79,54,"C","Class2",42.168
58.843,72.624,89.144,0.994,72.86,70.421,62,35,"F","Class2",2.931
86.561,30.758,52.877,56.229,45.349,68.778,10,67,"Z","Class1",70.581
85.567,22.028,29.026,78.646,93.448,55.664,30,39,"M","Class3",52.523
29.09,87.589,67.238,0.587,62.055,63.483,20,37,"F","Class2",15.668
83.294,21.963,30.384,54.912,65.838,30.131,22,35,"C","Class3",53.25
58.2,82.947,62.34,1.173,67.525,87.575,36,27,"V","Class2",18.04
83.755,29.11,55.506,57.124,48.758,59.034,11,76,"A","Class1",71.603
73.045,84.832,67.237,0.913,61.519,74.646,77,38,"F","Class2",50.095
86.998,31.391,49.948,60.785,59.205,58.012,11,67,"K","Class1",71.648
85.834,23.468,59.676,61.838,62.315,53.377,10,75,"A","Class1",71.097
