"OWE1","HKA2","PXA3","KWV4","IDA5","KEC6","YGR7","UVD8","ZFL9","ESN10","Output18"
"Q",73.089,77.723,26,20,33.55,39.026,91.5,10.078,61.545,"Class3"
"V",50.831,54.911,46,26,47.386,NA,30.305,75.051,76.775,"Class4"
"V",34.587,11.034,49,9,90.534,81.009,84.328,63.102,30.553,"Class1"
"Z",80.612,79.537,27,22,19.484,41.864,69.952,14.987,67.739,"Class3"
"J",68.662,83.409,25,40,38.24,37.521,47.12,13.946,52.207,"Class3"
"T",37.017,52.13,63,55,88.029,43.231,87.478,33.792,49.124,"Class2"
"H",34.576,37.072,73,12,50.405,42.076,27.707,91.493,76.353,"Class4"
"F",-1.036,72.904,33,54,43.595,33.51,19.195,57.861,68.729,"Class4"
"E",45.116,54.702,55,51,49.836,43.11,87.154,32.05,62.58,"Class2"
"F",24.676,42.064,72,15,47.999,42.427,28.16,88.234,72.037,"Class4"
"T",52.237,52.592,63,48,69.171,39.597,87.905,47.314,11.999,"Class2"
"E",52.391,52.362,69,62,44.16,40.263,88.254,37.962,8.001,"Class2"
"Q",65.583,53.213,24,25,15.669,41.128,66.733,14.862,52.795,"Class3"
"V",28.611,40.609,46,52,42.353,48.892,32.82,93.234,65.621,"Class4"
"V",14.418,42.134,43,39,32.043,20.693,41.337,57.735,74.075,"Class4"
"O",6.224,6.289,56,16,74.447,81.643,85.02,62.647,71.784,"Class1"
"Z",85.469,64.423,33,29,3.73,43.964,80.967,12.483,53.115,"Class3"
"Y",44.686,53.039,49,42,77.447,43.355,79.798,44.389,36.867,"Class2"
"F",52.626,53.124,75,46,53.379,37.623,48.277,62.867,73.943,"Class4"
"V",12.112,22.63,53,10,86.432,85.117,47.436,81.672,34.526,"Class1"
"H",36.619,12.432,58,8,83.512,84.244,62.903,70.562,45.302,"Class1"
"Q",88.205,60.253,28,47,27.946,37.612,56.694,12.743,49.66,"Class3"
"H",67.379,55.984,43,34,59.798,30.651,17.505,63.204,69.795,"Class4"
"S",59.479,12.94,87,10,58.542,84.258,72.514,63.279,3.009,"Class1"
"O",35.577,4.626,57,10,73.136,89.991,51.627,84.106,6.084,"Class1"
"F",46.309,65.721,62,14,53.115,47.075,20.552,65.982,66.163,"Class4"
"J",80.592,69.484,40,27,29.438,45.928,89.017,15.177,54.463,"Class3"
"J",53.919,88.335,17,28,10.336,43.093,54.522,13.605,56.244,"Class3"
"Z",70.935,60.92,26,46,8.171,41.618,88.561,15.306,62.928,"Class3"
"O",23.288,25.88,81,15,82.597,84.054,66.4,77.337,51.951,"Class1"
"F",-1.554,50.142,39,5,52.386,35.476,15.683,62.803,68.327,"Class4"
"X",69.821,63.694,38,43,14.734,47.286,57.784,11.232,85.783,"Class3"
"K",79.942,53.382,30,47,30.115,41.676,54.895,14.678,61.744,"Class3"
"F",31.88,11.504,76,13,81.45,84.167,30.255,65.619,27.029,"Class1"
"P",50.644,50.685,48,62,54.624,39.291,84.416,31.591,21.001,"Class2"
"X",90.612,88.103,26,25,26.862,NA,77.869,13.773,63.117,"Class3"
"F",-6.252,6.748,63,8,65.7,87.023,86.629,66.263,2.143,"Class1"
"K",49.28,61.03,31,38,20.614,NA,86.448,16.247,75.583,"Class3"
"Q",73.835,53.075,27,43,43.459,50.382,74.423,11.102,71.421,"Class3"
"T",51.508,54.024,53,58,71.771,40.957,88.416,41.795,65.262,"Class2"
"K",65.659,75.77,17,21,35.66,46.833,71.355,13.574,75.297,"Class3"
"Q",46.853,63.672,15,25,38.354,NA,62.865,12.134,58.848,"Class3"
"H",36.02,53.541,35,12,70.691,22.956,28.541,59.358,66.112,"Class4"
"X",41.725,41.127,48,25,49.438,29.292,36.444,76.145,68.511,"Class4"
"V",30.114,21.189,35,8,63.287,85.948,46.14,61.835,61.608,"Class1"
"Y",44.568,51.117,54,59,41.655,41.768,76.636,49.288,19.768,"Class2"
"F",99.089,19.125,67,13,93.617,82.967,58.534,85.757,34.453,"Class1"
"Q",48.088,77.573,38,31,12.829,44.384,47.654,16.286,68.148,"Class3"
"X",17.968,52.553,35,40,27.878,50.386,81.235,16.941,59.454,"Class3"
"V",25.592,51.745,53,27,37.393,15.758,11.662,68.546,74.55,"Class4"
"F",66.397,14.294,86,5,70.127,89.107,65.089,81.215,19.473,"Class1"
"S",38.6,50.608,55,50,89.601,42.632,86.344,34.344,35.226,"Class2"
"H",67.796,55.161,55,26,78.253,34.456,17.518,79.639,68.099,"Class4"
"J",37.813,61.585,25,37,34.821,45.277,42.448,15.519,65.217,"Class3"
"Q",47.448,78.008,21,48,12.234,46.721,56.99,13.037,81.339,"Class3"
"F",57.202,15.126,72,12,87.908,86.522,76.446,74.234,39.036,"Class1"
"S",40.25,51.799,61,65,64.983,37.185,78.091,34.693,52.002,"Class2"
"X",60.789,58.735,34,24,22.644,45.31,79.76,12.05,60.469,"Class3"
"H",53.909,14.404,45,14,90.193,83.4,72.169,82.398,63.75,"Class1"
"F",15.823,53.638,45,47,79.816,58.25,18.449,83.406,76.026,"Class4"
"S",59.69,11.398,66,16,62.829,90.295,46.97,57.844,46.855,"Class1"
"V",20.205,17.621,85,5,87.578,85.352,48.316,59.175,42.1,"Class1"
"T",39.283,55.823,68,56,73.577,NA,86.808,41.767,52.403,"Class2"
"V",46.356,51.632,34,41,64.988,35.738,32.49,73.052,75.432,"Class4"
"K",41.488,66.532,18,43,33.144,47.668,65.967,11.169,79.11,"Class3"
"F",70.191,61.647,62,6,68.431,51.381,54.256,61.159,73.229,"Class4"
"Q",57.784,83.202,16,33,26.35,42.865,38.599,12.513,65.22,"Class3"
"F",29.258,33.316,43,49,33.741,36.848,45.83,95.335,71.419,"Class4"
"X",58.04,50.093,19,42,23.591,44.117,54.114,10.645,NA,"Class3"
"Z",40.364,106.083,30,37,34.13,40.474,59.659,14.327,71.301,"Class3"
"O",56.088,16.11,52,10,68.792,84.573,81.685,78.98,NA,"Class1"
"S",64.268,11.855,55,10,56.243,87.357,76.665,61.629,35.487,"Class1"
"Q",67.773,66.01,28,44,21.488,34.711,46.894,12.577,85.656,"Class3"
"S",31.042,25.333,79,12,88.032,83.431,50.023,74.312,68.833,"Class1"
"V",42.189,51.871,71,10,42.547,35.712,27.975,93.815,65.567,"Class4"
"H",16.869,10.061,43,9,66.599,84.211,55.072,78.067,5.905,"Class1"
"K",62.176,68.71,37,17,21.122,41.594,60.729,10.488,67.532,"Class3"
"F",30.721,20.875,60,14,69.748,83.09,65.912,74.348,21.634,"Class1"
"J",38.636,92.359,36,35,29.26,53.913,62.154,14.943,50.519,"Class3"
"S",33.177,13.739,56,11,78.658,84.935,62.151,80.38,25.863,"Class1"
"F",58.108,43.669,37,12,45.707,NA,32.012,83.476,63.438,"Class4"
"O",30.272,14.656,39,8,81.024,86.472,49.641,79.994,6.605,"Class1"
"S",40.035,52.119,58,55,45.222,40.675,78.375,36.221,29.669,"Class2"
"X",34.396,60.179,39,26,31.156,41.778,56.514,16.231,78.027,"Class3"
"S",30.423,9.396,91,6,95.275,85.104,57.251,64.932,54.434,"Class1"
"U",7.602,59.479,69,20,58.067,28.508,58.197,86.786,64.173,"Class4"
"T",50.975,49.768,51,60,71.981,40.01,88.24,31.29,42.138,"Class2"
"O",35.677,17.498,49,8,61.857,84.134,77.054,69.74,47.301,"Class1"
"F",18.379,17.104,52,15,81.859,85.187,33.352,84.018,61.648,"Class1"
"X",30.22,61.246,60,17,69.546,31.051,11.862,58.469,63.219,"Class4"
"Z",55.934,90.296,15,45,21.265,39.295,48.137,14.546,56.332,"Class3"
"X",70.671,38.569,71,51,32.006,47.511,47.141,76.856,71.082,"Class4"
"K",71.761,56.67,40,43,18.207,37.429,38.727,15.036,82.598,"Class3"
"S",21.38,22.143,54,10,81.674,85.592,52.572,60.39,28.451,"Class1"
"K",39.355,74.606,19,41,40.69,40.184,64.504,13.76,86.994,"Class3"
"Z",88.045,68.018,22,35,10.865,39.128,80.194,12.112,71.36,"Class3"
"S",50.999,50.35,65,53,83.586,39.862,81.383,47.869,23.268,"Class2"
"S",44.654,50.732,68,46,80.351,42.521,87.722,38.918,36.244,"Class2"
"X",32.833,53.602,74,8,46.532,25.903,11.702,62.912,68.274,"Class4"
"Z",98.688,51.794,37,29,30.81,50.709,41.921,12.974,59.654,"Class3"
"O",10.823,17.305,89,10,87.114,86.502,67.378,70.582,52.646,"Class1"
"U",58.286,60.23,73,21,27.841,41.136,42.552,96.62,64.289,"Class4"
"K",54.328,80.006,16,46,5.629,44.23,64.591,13.099,78.105,"Class3"
"H",25.034,41.833,35,24,31.639,29.93,51.28,92.827,NA,"Class4"
"P",42.176,48.256,54,60,86.497,39.671,82.225,48.121,15.19,"Class2"
"V",43.432,14.571,37,6,54.685,85.525,57.519,67.491,0.131,"Class1"
"Y",41.29,50.03,56,61,56.489,39.656,84.019,42.403,33.645,"Class2"
"S",22.431,13.687,79,6,69.965,86.609,48.326,63.55,28.183,"Class1"
"O",38.895,24.433,73,14,71.452,88.032,57.953,83.338,21.726,"Class1"
"P",55.937,58.641,56,42,57.885,41.09,81.019,38.141,NA,"Class2"
"K",43.859,68.955,38,21,17.061,43.569,68.399,15.634,88.933,"Class3"
"Q",78.678,47.512,18,36,15.543,48.205,57.435,13.502,84.112,"Class3"
"Q",54.088,78.8,33,45,24.773,36.364,90.139,12.983,55.755,"Class3"
"V",27.312,16.585,90,14,84.841,84.006,86.969,84.295,21.286,"Class1"
"O",32.775,16.385,37,10,90.932,87.06,63.876,78.058,12.997,"Class1"
"S",57.681,53.099,46,40,71.164,42.059,81.327,38.494,36.807,"Class2"
"U",21.609,72.515,46,18,64.397,28.582,20.576,96.268,71.882,"Class4"
"V",59.696,18.024,60,16,78.895,82.92,33.541,77.069,39.195,"Class1"
"V",25.626,41.561,68,38,53.925,24.189,38.867,73.626,71.845,"Class4"
"V",37.655,21.203,85,11,71.395,83.659,85.689,57.659,32.495,"Class1"
"Z",76.604,85.619,18,25,1.971,41.354,90.696,10.617,88.773,"Class3"
"E",45.959,52.104,47,56,60.801,42.728,77.656,44.832,41.415,"Class2"
"Y",46.776,50.182,52,64,55.527,42.008,78.106,48.592,7.623,"Class2"
"F",37.953,13.059,86,5,90.584,89.043,57.668,57.94,38.409,"Class1"
"S",77.299,30.248,43,16,75.602,85.374,53.125,76.532,65.456,"Class1"
"X",89.898,71.023,15,41,30.053,45.2,75.299,12.391,80.134,"Class3"
"S",51.935,52.641,59,66,58.787,42.169,79.421,46.473,28.698,"Class2"
"J",75.516,97.216,19,33,34.518,42.215,38.995,15.096,88.824,"Class3"
"V",42.847,52.374,59,47,45.095,50.644,16.301,65.603,63.752,"Class4"
"H",64.436,20.652,38,8,72.924,87.732,68.348,80.337,1.677,"Class1"
"H",52.875,16.013,55,15,95.163,86.693,37.7,59.181,25.082,"Class1"
"V",44.344,54.587,72,22,60.336,40.756,54.119,80.658,75.896,"Class4"
"S",53.183,50.699,62,57,41.53,42.382,76.156,31.278,12.768,"Class2"
"P",59.254,50.563,49,61,67.992,45.673,82.036,46.53,29.478,"Class2"
"T",42.715,46.908,51,65,49.399,43.626,87.815,43.094,NA,"Class2"
"X",33.628,48.928,59,26,25.131,63.976,38.584,82.773,71.594,"Class4"
"P",57.77,56.711,62,43,65.03,42.278,87.858,38.023,18.26,"Class2"
"P",46.731,53.757,57,43,68.205,38.367,80.198,49.806,44.257,"Class2"
"J",73.571,76.482,15,20,32.187,42.393,61.925,15.043,84.125,"Class3"
"E",46.431,54.509,55,40,64.048,41.108,79.406,32.954,50.439,"Class2"
"K",57.026,57.804,42,19,41.015,38.662,81.423,11.835,84.389,"Class3"
"O",46.962,27.416,48,15,111.25,84.188,82.549,62.517,16.335,"Class1"
"X",30.866,48.977,45,42,81.167,27.065,15.398,65.632,63.548,"Class4"
"X",19.611,37.444,33,36,62.616,31.674,49.126,76.078,63.383,"Class4"
"E",50.945,52.9,55,41,79.264,44.452,84.462,38.018,54.298,"Class2"
"E",44.114,48.72,63,45,80.055,41.774,78.521,34.287,9.478,"Class2"
"P",45.273,51.439,59,42,57.481,43.577,85.22,41.491,50.562,"Class2"
"F",63.53,51.196,50,31,51.878,47.455,31.171,73.07,72.889,"Class4"
"F",62.486,62.253,56,20,29.79,43.886,11.874,70.472,67.051,"Class4"
"S",-5.122,31.241,51,15,81.531,86.461,37.759,74.85,4.71,"Class1"
"S",47.693,53.304,46,50,52.248,42.217,81.935,32.388,24.334,"Class2"
"F",42.611,17.881,51,9,80.66,88.179,62.928,79.299,71.094,"Class1"
"X",-0.931,64.314,71,23,45.657,54.751,15.949,75.722,69.626,"Class4"
"J",75.863,71.911,17,17,11.889,40.766,79.961,12.322,84.582,"Class3"
"X",20.612,53.513,53,18,41.045,43.658,17.177,84.857,76.719,"Class4"
"X",62.478,50.743,40,26,26.894,47.008,57.213,15.005,83.734,"Class3"
"J",95.517,93.31,19,33,39.739,47.498,50.138,16.282,78.693,"Class3"
"X",61.989,60.472,28,43,27.762,50.109,74.443,10.724,55.831,"Class3"
"J",74.23,79.504,15,44,9.095,40.454,58.474,16.67,83.218,"Class3"
"T",68.318,52.223,51,59,37.925,40.238,77.528,36.947,60.884,"Class2"
"Y",46.215,48.307,67,60,76.533,40.946,86.948,46.44,42.067,"Class2"
"J",69.805,85.246,17,36,29.678,44.051,70.542,12.929,69.286,"Class3"
"E",52.545,49.86,51,56,70.172,40.207,84.841,44.301,52.103,"Class2"
"P",59.113,50.62,70,48,85.752,43.33,88.287,38.649,32.157,"Class2"
"X",68.646,67.894,36,42,50.01,38.282,44.357,10.277,72.935,"Class3"
"K",52.378,59.546,37,46,30.21,34.179,43.086,16.232,65.055,"Class3"
"Q",70.617,66.556,21,18,48.069,49.262,45.919,12.714,73.722,"Class3"
"P",40.398,50.826,66,47,41.211,44.39,78.459,31.161,44.018,"Class2"
"Y",29.645,51.951,45,56,71.443,42.932,75.362,36.343,64.632,"Class2"
"V",21.716,30.948,48,14,98.401,86.621,44.648,83.01,55.497,"Class1"
"Q",35.969,42.629,15,26,42.821,43.073,78.712,14.267,76.49,"Class3"
"O",40.016,21.497,45,9,83.843,91.933,60.558,71.845,49.296,"Class1"
"Q",57.894,56.056,19,34,45.897,40.642,67.251,14.674,77.365,"Class3"
"J",58.43,60.757,24,28,21.39,46.783,84.15,11.627,86.609,"Class3"
"T",40.67,52.825,55,47,68.371,42.954,85.862,45.741,34.853,"Class2"
"F",58.525,40.473,60,55,39.98,44.394,34.224,64.306,NA,"Class4"
"K",39.676,76.675,42,24,27.716,36.929,80.943,16.863,49.979,"Class3"
"F",39.193,14.287,69,11,76.306,84.928,76.95,57.514,49.806,"Class1"
"H",70.595,45.109,45,48,51.802,33.084,50.733,61.551,68.774,"Class4"
"V",19.485,17.339,91,16,73.722,81.219,67.862,56.719,34.043,"Class1"
"X",51.563,65.324,20,48,3.199,44.443,42.9,16.231,82.071,"Class3"
"Q",46.502,88.914,44,31,3.565,35.166,82.105,10.748,64.626,"Class3"
"T",41.319,49.283,67,62,70.44,40.376,79.209,34.402,17.92,"Class2"
"E",48.171,50.711,55,52,77.494,NA,83.485,47.665,20.431,"Class2"
"H",55.787,20.518,39,16,94.141,86.853,57.879,65.486,59.363,"Class1"
"Y",40.623,45.754,56,42,77.999,43.266,77.322,45.136,49.694,"Class2"
"J",62.323,54.756,22,24,10.407,46.558,46.019,10.564,82.285,"Class3"
"V",30.282,12.551,77,8,84.466,NA,34.271,63.062,22.513,"Class1"
"U",23.324,62.028,65,22,43.251,24.756,30.393,68.569,72.67,"Class4"
"J",64.221,72.576,27,41,29.135,37.274,50.87,11.428,82.008,"Class3"
"S",45.594,55.91,52,58,95.572,42.239,84.468,49.424,55.823,"Class2"
"J",83.143,74.376,41,20,39.529,47.189,40.409,16.163,55.691,"Class3"
"E",47.882,50.683,54,48,51.02,41.809,79.852,42.028,3.609,"Class2"
"V",41.831,13.099,71,14,89.183,85.779,45.564,78.25,2.874,"Class1"
"F",43.089,53.79,64,54,52.62,26.763,19.799,76.786,66.038,"Class4"
"F",58.492,68.774,67,22,50.484,31.306,50.345,72.823,72.28,"Class4"
"J",84.708,62.444,20,22,23.653,41.061,84.615,16.672,55.02,"Class3"
"F",27.18,19.606,72,11,83.217,88.911,78.66,58.76,7.707,"Class1"
"H",55.491,12.107,38,16,64.395,85.859,48.041,75.286,38.958,"Class1"
"H",55.78,59.07,74,31,62.671,33.892,45.61,62.318,67.194,"Class4"
"V",25.617,51.315,70,3,58.411,42.473,58.081,58.332,67.811,"Class4"
"E",61.186,52.235,69,44,47.106,41.269,79.389,47.607,46.698,"Class2"
"V",53.841,27.315,43,5,74.594,79.62,86.112,77.963,62.914,"Class1"
"K",57.855,69.583,40,44,26.861,49.006,91.231,13.173,56.929,"Class3"
"F",49.083,44.514,50,30,50.596,37.484,19.578,76.615,73.647,"Class4"
"F",5.584,21.343,39,5,91.914,83.077,72.424,80.902,61.47,"Class1"
"H",33.724,57.597,45,40,28.853,49.613,36.347,94.077,65.603,"Class4"
"P",41.374,51.333,58,65,42.788,42.386,79.674,45.445,58.729,"Class2"
"O",50.738,25.83,83,5,87.581,82.398,59.858,83.128,57.177,"Class1"
"S",48.587,56.933,59,50,85.955,39.39,79.627,39.287,48.294,"Class2"
"Z",47.658,78.341,27,18,15.498,39.319,87.734,16.959,67.251,"Class3"
"S",42.46,28.29,88,7,73.253,84.459,48.703,78.664,35.855,"Class1"
"V",25.043,38.964,45,34,60.55,7.832,39.555,75.143,75.216,"Class4"
"F",13.206,67.046,46,47,30.056,52.856,27.352,79.872,69.123,"Class4"
"S",23.668,24.57,48,14,66.747,86.125,39.063,79.046,22.937,"Class1"
"P",45.376,53.126,69,65,83.367,42.817,78.345,42.773,27.552,"Class2"
"U",26.635,47.614,43,21,63.548,43.117,52.577,72.785,72.952,"Class4"
"Z",34.37,65.382,23,40,14.515,NA,72.795,10.972,56.587,"Class3"
"V",90.923,3.165,72,12,78.091,84.34,83.999,56.02,55.871,"Class1"
"J",49.542,67.594,41,45,25.018,40.96,69.947,11.147,68.602,"Class3"
"K",60.164,91.939,29,23,27.706,42.881,91.133,16.596,66.316,"Class3"
"T",30.816,53.169,51,61,75.34,39.058,87.812,42.315,67.552,"Class2"
"Q",93.248,49.473,37,41,33.653,40.811,79.47,12.868,71.239,"Class3"
"E",41.694,44.787,71,45,36.015,43.048,79.714,31.107,65.493,"Class2"
"S",32.958,52.958,69,60,67.634,41.187,83.919,32.674,24.483,"Class2"
"H",19.655,58.189,66,14,25.335,23.413,58.642,68.732,NA,"Class4"
"Q",95.498,77.172,19,37,23.232,37.503,45.388,11.197,49.98,"Class3"
"E",49.032,53.809,69,47,68.633,41.497,75.575,49.573,68.622,"Class2"
"F",-13.373,14.062,76,11,79.855,86.96,65.634,63.686,44.656,"Class1"
"U",34.877,67.413,60,15,41.511,32.998,47.791,72.516,74.552,"Class4"
"J",69.432,90.47,29,34,24.543,34.592,79.063,14.229,72.657,"Class3"
"T",64.383,49.567,65,48,64.76,42.097,83.647,43.479,12.444,"Class2"
"T",47.899,52.524,66,46,41.58,42.965,87.04,47.661,NA,"Class2"
"S",63.469,17.026,80,12,78.721,85.679,61.078,75.764,69.601,"Class1"
"X",31.28,63.874,49,26,52.474,27.394,18.554,91.407,71.964,"Class4"
"H",42.609,55.383,44,17,67.524,37.015,27.549,66.384,64.086,"Class4"
"P",48.018,53.994,60,42,51.79,40.326,80.402,42.061,48.354,"Class2"
"P",56.119,53.144,57,59,48.359,42.543,78.886,46.911,27.717,"Class2"
"H",37.978,28.026,69,15,89.58,87.517,76.684,81.06,15.358,"Class1"
"U",30.28,56.669,72,24,57.6,32.951,51.795,72.825,63.805,"Class4"
"X",-1.23,45.74,67,51,46.399,39.133,53.646,76.493,71.029,"Class4"
"V",46.738,19.209,53,6,68.353,84.845,49.442,74.965,NA,"Class1"
"Y",47.585,51.738,56,57,32.745,40.97,80.328,44.892,30.788,"Class2"
"Y",48.41,53.21,62,57,36.692,42.641,75.68,49.088,30.922,"Class2"
"P",61.159,50.729,60,45,87.125,42.087,82.078,32.171,14.818,"Class2"
"S",54.333,54.998,56,49,45.568,41.401,76.711,35.521,27.856,"Class2"
"T",65.268,48.714,46,44,122.65,41.824,81.809,32.123,50.312,"Class2"
"S",43.802,55.339,51,50,81.989,39.476,76.653,32.3,50.28,"Class2"
"S",54.332,18.379,90,7,69.633,87.751,55.966,59.869,14.87,"Class1"
"T",43.194,50.077,56,47,77.18,43.482,86.545,36.511,31.832,"Class2"
"F",38.305,14.275,76,6,87.638,85.84,58.126,62.174,23.955,"Class1"
"Z",37.367,101.273,42,26,35.004,50.411,49.486,13.791,71.882,"Class3"
"H",47.838,25.94,50,13,83.54,83.109,37.212,67.43,43.676,"Class1"
"V",10.959,57.618,66,50,61.053,43.312,38.758,89.602,65.554,"Class4"
"S",27.471,56.375,65,43,83.154,44.692,88.675,35.241,7.655,"Class2"
"Z",79.121,71.072,42,37,15.086,41.762,69.71,13.599,NA,"Class3"
"Q",73.139,82.09,27,25,23.9,39.721,54.791,13.31,54.574,"Class3"
"H",56.426,46.231,57,14,54.633,17.15,52.644,65.674,72.298,"Class4"
"S",43.622,50.82,65,61,83.1,43.002,82.635,49.987,65.4,"Class2"
"S",17.103,20.457,37,11,99.707,89.471,51.96,83.14,74.954,"Class1"
"O",29.648,21.694,78,16,95.709,85.048,71.415,81.299,61.412,"Class1"
"Y",59.218,56.396,58,45,56.904,40.553,81.442,38.881,48.345,"Class2"
"Y",56.737,49.83,67,56,90.687,40.035,77.364,45.749,44.577,"Class2"
"P",63.441,54.085,58,46,77.03,40.712,82.496,39.342,32.707,"Class2"
"F",18.893,66.786,58,45,57.053,31.636,18.198,90.123,74.071,"Class4"
"Q",43.129,63.446,33,42,29.807,51.025,50.662,11.012,70.595,"Class3"
"H",62.1,19.465,79,9,79.053,81.777,36.728,56.343,22.395,"Class1"
"H",60.906,29.425,53,5,80.117,86.249,74.103,71.058,56.173,"Class1"
"S",38.016,17.444,69,16,84.761,89.151,68.236,73.998,30.138,"Class1"
"H",36.747,56.159,63,16,65.352,54.806,36.159,69.875,75.045,"Class4"
"O",58.375,27.674,51,9,76.652,87.718,67.384,63.799,21.726,"Class1"
"H",32.905,18.598,85,8,48.948,85.334,39.539,62.804,4.203,"Class1"
"H",36.976,59.119,71,21,25.757,14.491,53.397,92.445,68.728,"Class4"
"Y",51.182,53.125,66,62,70.583,41.804,82.735,50.171,NA,"Class2"
"X",95.968,50.728,43,27,20.81,42.173,54.613,10.613,81.352,"Class3"
"H",92.888,41.904,45,38,41.19,39.971,12.115,60.507,63.674,"Class4"
"T",36.621,50.775,47,44,55.45,45.738,81.457,39.225,31.73,"Class2"
"P",41.33,54.103,58,63,50.922,43.065,88.242,31.872,59.901,"Class2"
"E",57.468,53.682,64,65,83.596,43.225,75.983,34.531,48.925,"Class2"
"F",21.185,8.888,75,10,69.918,86.906,40.686,59.556,NA,"Class1"
"J",73.255,75.243,42,35,14.715,41.865,47.166,13.701,88.506,"Class3"
"Q",69.792,61.564,32,24,21.438,46.821,77.595,14.861,56.914,"Class3"
"Q",78.575,83.095,30,47,43.504,42.825,89.937,12.895,88.11,"Class3"
"J",100,50.165,28,47,33.001,35.56,44.154,13.437,82.629,"Class3"
"F",41.352,19.402,39,13,98.812,85.666,79.654,65.775,46.265,"Class1"
"O",16.314,9.592,54,5,99.592,88.396,48.583,85.95,19.117,"Class1"
"H",45.867,45.632,49,4,45.321,35.518,55.721,93.339,75.967,"Class4"
"H",58.816,15.103,55,5,86.35,NA,85.901,56.954,53.248,"Class1"
"Q",23.765,52.389,38,23,29.69,49.769,63.62,14.037,72.128,"Class3"
"V",30.122,15.399,86,16,84.326,84.206,74.652,79.602,6.934,"Class1"
"H",-7.476,26.045,61,6,79.545,88.609,42.159,67.785,28.146,"Class1"
"H",27.46,27.87,89,12,81.581,81.121,85.942,79.385,11.89,"Class1"
"V",53.694,42.284,46,14,44.7,33.184,46.2,80.246,74.596,"Class4"
"X",47.848,74.552,24,25,20.639,44.386,52.672,16.544,59.244,"Class3"
"U",20.628,66.83,35,13,41.629,NA,46.227,90.644,65.614,"Class4"
"X",62.994,75.612,25,42,22.459,45.692,43.014,12.879,72.502,"Class3"
"H",54.18,16.474,37,6,103.385,83.843,52.199,67.593,58.353,"Class1"
"P",46.666,51.347,63,47,70.354,43.825,83.722,36.624,15.199,"Class2"
"T",45.012,54.648,64,53,92.773,42.352,86.061,47.554,7.068,"Class2"
"F",72.894,34.513,52,15,49.41,29.661,45.415,76.606,76.17,"Class4"
"T",56.792,52.079,51,65,76.348,41.683,76.774,37.327,21.14,"Class2"
"J",72.316,75.284,35,48,24.229,49.881,52.388,16.352,57.528,"Class3"
"F",39.645,37.041,36,1,47.876,14.308,60.102,73.752,69.994,"Class4"
"X",90.519,59.874,31,17,38.978,NA,46.364,12.491,52.305,"Class3"
"T",22.305,52.018,65,61,68.25,42.051,86.006,46.706,7.378,"Class2"
"S",45.993,12.504,77,14,76.437,83.881,48.334,83.884,50.218,"Class1"
"E",45.861,51.459,62,43,64.351,41.078,85.729,47.957,27.847,"Class2"
"J",26.258,64.709,20,35,40.767,41.847,71.464,15.447,84.512,"Class3"
"H",69.125,9.493,44,10,69.739,91.456,66.228,59.724,20.805,"Class1"
"H",66.634,56.932,40,49,36.848,54.444,36.474,86.375,70.682,"Class4"
"T",57.916,54.192,57,53,72.683,41.212,75.857,45.662,55.853,"Class2"
