"XTR1","VCD2","EUD3","Output22","NTM4","LKT5","UOF6","RGX7","VHR8","SQO9","JXU10","EVP11"
29.792,82.935,28,"Class1","V",22.683,69.889,"Z",95.984,93.295,76.54,16.208
8.041,52.635,45,"Class2","X",80.617,81.06,"T",65.663,28.097,40.786,6.096
7.917,44.518,46,"Class2","V",80.322,82.784,"T",70.935,51.616,57.32,14.684
16.136,68.998,53,"Class1","U",24.461,69.664,"K",89.248,96.296,88.224,16.305
9.176,55.611,46,"Class2","V",83.391,82.917,"J",72.986,60.379,7.246,13.735
9.535,57.247,46,"Class2","G",84.215,84.498,"J",64.526,28.287,60.933,32.241
39.453,73.801,32,"Class1","J",19.548,68.748,"U",94.243,95.677,72.981,21.518
31.551,96.076,42,"Class1","W",29.354,63.541,"K",88.582,93.429,93.31,16.508
19.915,77.498,51,"Class1","J",18.269,66.014,"K",88.865,96.712,78.261,16.713
25.608,72.189,29,"Class1","V",27.172,72.19,"P",88.564,98.092,76.932,18.649
37.668,71.158,34,"Class1","O",14.461,60.206,"V",95.685,98.646,78.562,21.011
7.702,45.807,46,"Class2","G",84.261,83.395,"T",70.7,56.175,27.677,19.586
42.544,82.547,27,"Class1","O",22.062,68.732,"K",96.578,98.608,71.611,25.009
25.438,55.953,45,"Class1","V",22.96,62.02,"K",95.548,96.358,80.376,14.232
17.595,74.054,43,"Class1","O",19.732,63.316,"V",95.2,95.546,83.411,10.357
15.486,83.196,48,"Class1","O",14.924,72.127,"P",88.753,93.841,78.549,20.409
30.796,84.392,51,"Class1","W",27.384,65.559,"U",91.535,94.408,76.755,14.828
7.375,46.246,45,"Class2","X",79.806,82.991,"E",69.972,15.659,47.164,7.706
30.816,71.127,38,"Class1","V",25.015,66.146,"K",93.215,92.924,90.784,17.718
8.698,51.189,45,"Class2","H",82.774,86.715,"T",67.005,67.075,-1.877,40.737
7.061,51.414,46,"Class2","J",81.824,79.188,"V",66.697,63.372,48.638,29.546
9.446,46.862,46,"Class2","X",81.103,81.341,"V",74.097,27.327,27.943,7.865
39.283,74.728,29,"Class1","O",19.672,70.479,"Z",95.273,93.591,73.934,13.871
7.226,46.747,45,"Class2","J",84.451,84.744,"A",68.097,30.152,63.611,32.611
17.385,62.741,47,"Class1","O",30.646,68.148,"P",91.439,91.408,85.547,20.99
13.799,72.839,32,"Class1","J",29.047,68.181,"U",96.987,97.964,72.933,12.578
13.257,72.698,52,"Class1","O",23.279,68.45,"K",89.799,99.265,NA,14.97
27.229,76.751,27,"Class1","U",21.061,70.336,"V",88.894,92.132,87.987,19.501
23.985,77.266,48,"Class1","O",17.767,66.835,"V",95.304,96.861,73.507,25.905
8.82,44.648,45,"Class2","G",79.557,81.795,"T",69.304,42.451,NA,8.539
41.645,79.585,48,"Class1","J",34.517,69.82,"V",88.939,94.887,NA,12.302
41.951,79.778,42,"Class1","O",26.066,68.761,"Z",88.952,94.156,68.915,9.784
9.714,45.341,46,"Class2","H",78.112,80.316,"E",70.021,38.79,40.752,30.525
7.5,46.31,45,"Class2","H",81.397,83.423,"A",68.491,37.476,35.307,39.385
7.289,50.875,45,"Class2","H",80.455,81.434,"T",64.434,54.678,55.463,22.579
7.091,53.676,45,"Class2","H",79.095,79.537,"E",67.311,59.575,21.012,37.64
42.946,79.643,32,"Class1","J",25.596,67.269,"U",92.42,97.691,86.007,17.004
7.226,53.69,45,"Class2","J",82.907,78.293,"E",74.461,69.779,41.603,27.233
8.465,47.783,45,"Class2","J",82.54,82.312,"V",68.934,20.944,83.921,29.638
8.642,46.944,46,"Class2","X",77.582,83.613,"J",65.083,45.945,70.596,41.973
15.298,86.582,39,"Class1","W",10.303,71.872,"V",96.927,91.726,86.24,12.093
26.393,77.44,37,"Class1","W",15.567,64.061,"V",97.058,97.682,75.06,14.681
31.822,87.481,48,"Class1","J",16.512,68.298,"P",97.099,95.796,83.032,22.974
25.663,83.537,46,"Class1","U",23.603,66.881,"P",97.194,99.003,80.498,21.717
7.057,52.023,46,"Class2","J",83.573,89.109,"V",68.793,54.702,6.469,26.981
8.4,46.47,45,"Class2","G",82.058,83.569,"T",66.416,35.639,36.762,39.382
8.234,52.95,45,"Class2","J",80.544,83.74,"T",67.731,35.933,52.365,31.278
9.501,52.367,46,"Class2","G",85.199,78.155,"T",74.543,45.384,52.442,5.758
8.384,56.972,45,"Class2","G",88.449,79.42,"T",67.399,66.334,36.616,47.429
25.831,80.226,32,"Class1","J",25.736,67.769,"Z",95.379,97.238,89.748,24.259
13.701,83.064,52,"Class1","W",20.81,67.224,"V",93.651,96.352,85.196,12.904
27.166,85.831,46,"Class1","V",25.871,71.868,"P",96.619,92.453,83.717,14.111
36.394,76.67,50,"Class1","J",27.131,62.534,"V",90.396,98.995,77.901,16.482
31.214,81.527,40,"Class1","V",17.833,70.46,"V",96.577,95.977,82.364,12.619
8.778,46.224,46,"Class2","V",82.686,82.132,"J",71.152,67.82,0.709,16.414
8.587,51.823,46,"Class2","H",77.234,82.728,"E",70.781,28.169,62.999,17.423
31.098,72.166,27,"Class1","W",9.53,67.877,"U",95.497,98.572,93.58,24.783
12.552,69.364,36,"Class1","V",26.229,68.681,"K",92.55,96.449,85.483,NA
8.132,56.535,46,"Class2","G",81.02,79.114,"E",67.863,29.757,52.405,22.449
9.556,44.469,46,"Class2","V",79.785,83.555,"A",70.488,55.664,50.408,47.434
8.713,41.013,45,"Class2","G",84.861,79.132,"V",69.077,17.13,50.823,13.299
29.447,74.709,44,"Class1","O",28.367,65.372,"P",92.339,97.084,75.827,22.917
43.375,80.928,48,"Class1","O",23.045,64.891,"V",93.278,96.494,75.843,15.848
9.38,40.599,46,"Class2","V",81.696,83.485,"V",71.975,56.05,60.505,24.317
30.184,81.544,30,"Class1","V",12.692,72.743,"U",92.187,93.8,72.994,24.246
21.891,69.829,43,"Class1","O",21.313,72.437,"P",92.776,97.793,82.718,13.882
9.724,43.511,46,"Class2","G",80.043,80.228,"J",65.32,43.016,40.208,14.505
31.688,66.851,45,"Class1","J",17.555,72.247,"U",90.157,93.415,79.047,9.967
8.58,50.502,45,"Class2","J",81.514,85.091,"E",73.234,17.853,41.806,25.825
9.318,47.581,46,"Class2","X",83.141,81.868,"T",70.249,56.901,NA,18.392
35.011,78.981,43,"Class1","V",19.76,71.722,"U",96.387,95.401,69.736,17.878
7.839,46.71,46,"Class2","H",83.194,81.438,"E",64.56,44.321,28.491,37.725
7.79,49.919,46,"Class2","H",81.711,86.257,"J",64.151,43.215,61.16,14.198
22.879,73.874,33,"Class1","J",28.251,64.177,"V",92.775,97.579,77.215,21.928
41.241,72.946,27,"Class1","O",19.062,70.013,"U",96.197,96.04,89.17,20.187
9.665,54.51,46,"Class2","J",80.249,77.95,"A",65.985,49.352,80.435,36.244
9.542,48.565,45,"Class2","J",81,83.81,"J",66.224,39.008,50.963,14.244
7.816,46.063,45,"Class2","H",83.616,86.228,"E",65.638,22.763,67.082,8.981
32.952,83.894,28,"Class1","V",32.693,70.567,"U",88.87,91.753,75.206,22.214
22.835,74.072,54,"Class1","U",28.604,62.636,"U",90.533,96.855,82.763,9.105
7.626,47.452,46,"Class2","J",81.018,82.423,"V",69.405,39.535,71.154,36.986
9.652,55.675,45,"Class2","V",82.047,81.49,"V",73.27,39.687,64.382,16.391
25.877,65.704,43,"Class1","W",30.463,70.054,"K",95.055,94.535,79.739,25.778
36.449,60.172,30,"Class1","W",33.114,64.752,"K",96.822,98.274,74.198,14.972
38.027,75.066,50,"Class1","W",28.387,65.546,"P",94.717,97.026,90.696,10.632
37.585,79.428,30,"Class1","U",15.862,67.17,"V",89.495,96.926,81.654,14.361
9.2,50.183,45,"Class2","X",81.702,79.653,"V",66.816,55.644,71.625,47.135
9.224,41.804,45,"Class2","G",84.835,82.488,"J",74.794,19.375,28.239,38.019
34.025,84.554,38,"Class1","V",23.83,69.635,"Z",96.259,95.823,76.43,14.804
29.71,76.005,30,"Class1","V",21.424,66.631,"Z",95.409,92.67,NA,16.46
7.513,49.446,45,"Class2","X",82.712,91.72,"A",64.142,44.773,44.123,29.626
26.993,74.64,37,"Class1","W",20.67,66.79,"K",88.185,90.736,79.765,25.977
27.429,71.588,27,"Class1","V",11.702,62.737,"K",90.769,95.834,90.71,25.509
7.36,43.255,46,"Class2","J",84.297,84.57,"V",73.803,46.319,67.838,47.145
22.019,69.579,31,"Class1","U",24.812,66.075,"V",91.428,92.476,98.523,NA
28.475,89.336,32,"Class1","W",29.216,67.796,"Z",95.98,97.585,68.612,21.571
17.409,81.061,50,"Class1","O",32.009,70.192,"V",89.873,96.822,80.511,11.205
12.852,91.791,32,"Class1","J",26.811,69.377,"Z",95.89,92.565,71.757,23.177
26.744,79.649,51,"Class1","J",29.49,73.813,"K",93.191,97.99,92.402,13.346
7.899,49.056,45,"Class2","H",83.456,87.684,"E",74.899,29.682,55.757,NA
8.651,52.947,45,"Class2","H",79.315,80.662,"J",68.415,54.512,11.598,10.434
17.885,69.927,30,"Class1","W",33.582,70.112,"Z",97.277,98.091,73.739,NA
28.106,74.214,44,"Class1","O",24.472,71.571,"Z",96.492,95.225,75.791,15.452
21.867,77.071,35,"Class1","O",22.608,73.506,"U",92.437,97.152,83.044,19.272
7.041,49.402,45,"Class2","J",84.144,87.548,"T",64.949,19.246,52.191,NA
26.631,62.959,42,"Class1","O",25.128,69.636,"V",94.691,99.913,90.888,13.365
16.474,75.387,43,"Class1","U",19.549,68.132,"U",97.256,90.641,70.026,25.018
7.105,56.484,46,"Class2","X",81.348,79.679,"A",69.615,56.992,74.062,36.564
7.612,44.416,45,"Class2","V",78.981,85.596,"E",69.276,55.397,46.76,28.053
8.837,47.546,46,"Class2","G",77.667,81.331,"V",67.857,46.226,12.721,27.573
8.467,46.637,45,"Class2","H",82.709,79.163,"J",68.119,47.09,55.325,22.478
12.332,61.037,27,"Class1","V",33.121,73.599,"Z",90.636,97.408,90.875,16.647
31.112,70.119,33,"Class1","U",25.343,71.086,"Z",91.242,97.253,74.063,11.662
8.852,48.365,45,"Class2","X",84.624,80.222,"V",65.632,15.992,33.444,42.696
9.239,50.204,46,"Class2","J",82.312,82.959,"T",64.454,21.391,36.694,7.884
42.93,71.666,35,"Class1","O",19.928,71.645,"P",97.362,97.012,71.666,22.003
37.078,78.567,28,"Class1","W",20.177,64.948,"P",89.548,93.545,73.057,23.405
39.949,67.675,30,"Class1","U",25.782,69.681,"P",92.401,97.908,84.476,12.092
7.166,38.206,45,"Class2","X",81.326,82.16,"T",73.79,40.38,42.852,38.436
7.976,44.676,46,"Class2","G",79.315,76.685,"E",72.918,54.829,48.23,31.027
33.89,79.102,38,"Class1","J",11.564,68.403,"Z",91.855,96.752,83.634,11.356
33.377,68.001,43,"Class1","V",25.416,68.248,"K",93.859,98.071,NA,25.968
9.819,51.998,46,"Class2","V",79.477,81.018,"E",64.835,36.298,49.96,43.798
8.207,48.909,45,"Class2","G",80.309,82.766,"T",71.511,41.555,19.203,19.262
8.492,55.111,46,"Class2","G",79.245,85.941,"J",64.086,29.129,77.712,36.42
13.556,71.609,34,"Class1","J",20.142,66.736,"Z",97.762,98.705,77.038,9.522
7.025,51.733,46,"Class2","V",77.144,80.226,"V",67.296,31.412,20.133,28.758
8.968,53.012,45,"Class2","V",83.09,83.367,"V",69.591,33.217,35.325,3.591
19.763,64.732,54,"Class1","J",33.011,68.63,"Z",90.801,92.875,NA,9.569
25.984,78.6,43,"Class1","O",25.685,67.948,"P",97.185,97.163,85.365,9.4
8.411,42.589,45,"Class2","V",78.478,84.439,"J",70.193,23.136,50.878,26.197
38.704,81.297,42,"Class1","J",18.712,66.571,"V",97.56,90.04,83.335,9.597
42.178,73.036,49,"Class1","W",25.84,67.181,"K",93.646,93.41,85.381,24.276
37.417,69.295,51,"Class1","J",33.376,71.711,"V",91.862,97.532,82.817,14.448
8.117,44.072,46,"Class2","H",83.69,79.516,"A",67.763,34.676,38.736,45.919
8.83,47.357,46,"Class2","X",85.001,80.093,"E",67.511,17.486,67.399,29.346
41.116,66.361,38,"Class1","U",38.339,69.65,"P",92.036,93.054,86.723,14.277
15.135,70.916,38,"Class1","J",17.572,63.823,"U",95.496,92.812,75.563,19.448
24.785,65.986,51,"Class1","V",27.187,71.85,"V",96.802,99.156,75.055,11.836
30.175,88.103,45,"Class1","O",23.246,63.252,"U",95.838,98.891,80.002,25.343
13.888,87.768,53,"Class1","J",21.386,67.588,"U",91.292,94.434,78.739,9.7
16.461,80.564,47,"Class1","W",13.231,65.685,"V",94.165,92.925,NA,19.62
36.789,78.818,41,"Class1","W",26.029,73.82,"V",97.378,90.238,86.432,11.27
8.432,44.479,46,"Class2","G",81.55,81.674,"E",73.151,61.401,56.197,NA
35.492,81.336,53,"Class1","W",12.907,69.868,"P",93.671,95.988,84.12,15.721
8.455,51.195,46,"Class2","G",81.081,81.364,"E",66.073,40.808,26.923,12.542
9.533,57.408,46,"Class2","X",81.097,82.247,"E",70.04,33.716,22.611,22.536
19.898,68.596,36,"Class1","W",26.892,70.861,"V",95.135,99.595,84.28,20.303
8.393,41.012,45,"Class2","X",81.695,87.39,"V",68.021,21.457,47.784,10.575
9.42,50.314,46,"Class2","H",83.968,79.324,"T",65.08,28.923,32.457,4.01
9.996,50.028,45,"Class2","J",77.461,78.886,"E",74.693,50.252,57.488,39.605
40.198,74.684,42,"Class1","J",32.914,69.668,"P",94.551,90.327,78.533,10.377
17.748,72.315,52,"Class1","J",25.439,70.158,"K",93.812,94.697,75.088,9.595
28.231,75.692,39,"Class1","O",24.924,64.028,"K",95.028,96.052,55.815,22.6
8.105,54.478,46,"Class2","X",84.186,83.429,"J",71.074,68.72,70.841,15.851
19.773,70.279,29,"Class1","O",28.523,69.636,"K",94.841,96.176,74.076,15.107
8.55,41.148,46,"Class2","J",77.156,83.734,"J",73.326,28.032,5.574,36.041
33.87,72.497,49,"Class1","U",16.862,71.792,"P",96.528,90.002,91.132,21.399
31.828,78.375,52,"Class1","O",21.94,67.91,"Z",90.211,96.249,70.27,NA
8.498,46.788,46,"Class2","X",84.003,81.933,"E",71.782,59.361,NA,NA
16.537,68.649,47,"Class1","O",25.751,72.31,"P",96.882,92.712,79.835,13.659
24.022,72.799,28,"Class1","V",21.595,68.104,"V",90.215,99.679,79.802,14.712
9.728,44.71,46,"Class2","J",84.497,83.184,"V",65.762,40.506,17.144,31.654
7.453,54.882,46,"Class2","J",86.301,82.177,"V",74.926,36.769,42.097,17.036
8.555,47.023,46,"Class2","G",81.506,83.674,"T",66.795,69.756,21.318,5.651
17.538,77.74,45,"Class1","O",11.52,68.348,"Z",95.977,90.919,82.397,13.145
8.219,48.388,46,"Class2","G",84.035,79.35,"V",64.759,29.29,27.577,37.799
36.077,83.499,45,"Class1","V",31.463,69.794,"U",89.901,97.263,80.225,17.6
7.32,44.363,45,"Class2","X",75.789,85.795,"A",70.954,59.314,41.228,21.541
40.349,71.61,45,"Class1","W",12.692,65.704,"K",92.401,90.962,71.885,13.64
39.292,64.888,48,"Class1","O",28.434,65.787,"Z",93.404,96.519,74.838,16.307
7.302,49.78,46,"Class2","V",78.094,85.633,"E",68.261,16.416,38.676,32.778
28.257,67.011,33,"Class1","V",31.276,70.988,"V",90.733,92.886,76.758,15.717
7.502,48.051,46,"Class2","J",87.27,76.891,"E",73.234,17.758,65.243,23.962
15.506,79.55,50,"Class1","V",21.405,65.807,"Z",92.774,95.072,74.135,14.39
7.164,50.391,45,"Class2","H",80.934,82.876,"T",67.994,24.018,69.075,3.94
18.229,76.902,41,"Class1","U",18.832,70.674,"K",89.078,95.078,65.44,13.704
23.141,66.455,32,"Class1","U",30.934,67.128,"Z",94.162,90.612,80.362,20.27
39.369,71.205,32,"Class1","J",24.838,71.457,"K",96.966,98.418,NA,11.169
37.491,62.487,29,"Class1","W",26.088,72.479,"U",96.427,93.555,81.142,15.561
7.997,48.251,45,"Class2","H",82.677,85.581,"T",71.344,63.244,33.764,35.385
32.703,81.71,54,"Class1","V",26.548,60.723,"V",92.879,93.827,75.141,20.434
14.441,78.929,28,"Class1","V",25.592,70.874,"U",90.906,90.651,81.142,25.117
8.341,44.021,46,"Class2","H",78.833,85.215,"A",74.302,33.399,42.487,46.944
8.274,53.743,46,"Class2","H",79.627,82.369,"T",66.341,48.775,51.77,44.915
26.696,91.007,46,"Class1","W",31.908,75.504,"K",91.143,95.586,82.892,16.584
9.636,49.086,45,"Class2","V",86.659,82.627,"A",73.969,20.958,66.932,41.971
15.627,73.446,45,"Class1","V",28.91,68.388,"K",93.182,99.903,NA,24.849
8.28,43.894,46,"Class2","J",79.49,82.741,"E",68.49,52.829,61.617,5.818
9.676,46.963,45,"Class2","V",80.217,78.921,"V",71.335,35.895,24.134,10.838
18.962,83.429,50,"Class1","V",30.855,74.001,"Z",92.907,91.719,80.816,18.827
7.353,55.687,45,"Class2","V",80.942,87.978,"V",73.491,60.708,75.546,34.37
9.556,48.877,45,"Class2","J",81.912,79.518,"T",73.292,43.756,8.826,34.975
8.165,46.108,45,"Class2","H",79.564,88.821,"V",72.777,50.129,36.794,19.005
15.789,74.334,36,"Class1","U",24.211,72.375,"Z",95.389,92.96,83.151,14.095
9.008,60.354,45,"Class2","G",82.95,81.294,"V",72.229,38.456,52.18,31.551
7.41,44.867,45,"Class2","J",79.6,84.002,"T",73.039,56.344,40.331,6.419
8.888,54.534,45,"Class2","V",83.416,85.296,"T",66.925,63.84,43.505,38.597
7.602,47.947,46,"Class2","H",81.918,83.075,"A",73.937,49.147,50.298,16.25
7.078,44.863,45,"Class2","J",80.126,79.256,"A",67.847,69.263,67.72,28.319
7.467,46.11,45,"Class2","J",84.849,81.138,"J",67.53,53.722,35.778,25.935
7.884,57.945,45,"Class2","J",82.9,86.171,"J",68.525,50.916,55.074,24.856
41.129,67.434,38,"Class1","U",14.729,66.362,"Z",96.459,93.927,73.763,17.422
27.741,75.03,49,"Class1","U",25.853,69.057,"V",90.536,99.87,92.155,9.247
17.928,77.544,37,"Class1","V",21.521,65.613,"P",97.995,90.646,81.693,16.301
8.884,49.516,45,"Class2","G",85.099,82.761,"T",65.314,56.479,37.842,12.029
24.768,77.109,40,"Class1","J",25.246,64.24,"U",92.643,93.428,79.097,9.112
8.219,47.808,45,"Class2","H",79.631,76.592,"E",73.362,49.891,22.109,48.222
37.171,79.513,54,"Class1","W",33.024,68.551,"P",97.29,99.864,NA,21.369
32.314,70.967,33,"Class1","U",29.492,67.105,"V",95.551,90.509,77.318,11.321
35.454,74.248,29,"Class1","W",21.284,68.582,"P",97.707,92.529,72.173,NA
9.901,47.269,45,"Class2","G",83.697,79.744,"E",69.708,55.775,72.713,NA
9.83,53.464,46,"Class2","V",83.355,82.246,"V",74.328,39.78,NA,45.766
12.12,81.705,54,"Class1","O",13.205,70.294,"Z",88.533,92.29,83.623,21.312
7.185,43.863,46,"Class2","G",81.605,85.389,"T",68.861,25.395,67.079,20.627
38.472,71.504,47,"Class1","J",19.034,72.869,"V",97.016,94.254,80.05,19.732
13.451,81.503,45,"Class1","J",31.697,68.677,"Z",92.686,98.615,67.289,17.784
7.758,45.865,46,"Class2","J",80.863,86.193,"T",67.824,18.953,53.23,24.416
8.606,51.907,46,"Class2","G",82.886,85.657,"V",69.434,68.013,49.888,38.764
39.961,75.683,45,"Class1","W",15.626,67.012,"P",94.516,92.108,89.155,20.288
8.454,49.714,45,"Class2","X",79.645,82.982,"J",66.279,49.361,31.624,4.904
7.545,51.883,46,"Class2","G",83.186,78.959,"A",70.039,18.434,41.926,NA
16.626,74.472,38,"Class1","J",32.35,68.292,"P",88.247,90.733,75.591,13.308
28.714,78.301,33,"Class1","U",16.424,67.062,"U",91.513,92.544,81.942,15.871
37.559,69.265,53,"Class1","J",31.431,68.416,"P",97.155,93.592,81.66,22.855
7.139,49.245,46,"Class2","H",82.076,78.732,"T",67.289,50.493,34.107,42.936
18.443,81.456,51,"Class1","O",31.093,71.955,"V",95.519,97.138,80.731,15.686
41.428,88.442,54,"Class1","O",19.351,72.694,"V",90.19,95.817,83.07,14.128
9.178,47.749,46,"Class2","J",81.668,80.087,"E",70.651,32.559,17.333,29.761
7.121,51.014,45,"Class2","X",85.795,84.25,"V",65.592,19.807,29.41,33.055
12.773,72.41,30,"Class1","V",22.961,66.758,"K",88.793,96.514,64.071,17.75
40.503,81.808,32,"Class1","O",19.977,68.835,"U",94.66,92.036,70.577,NA
8.333,44.292,45,"Class2","H",82.779,83.298,"E",74.856,48.881,49.352,20.712
7.066,52.034,46,"Class2","G",80.18,84.234,"J",70.894,17.748,71.078,42.583
7.938,44.267,45,"Class2","H",84.322,82.937,"T",70.534,19.006,11.719,17.806
26.105,81.509,31,"Class1","J",19.068,63.115,"V",94.021,98.177,NA,13.348
7.34,51.023,45,"Class2","V",79.879,75.405,"J",65.909,45.787,27.376,4.514
8.797,42.85,45,"Class2","X",82.693,86.503,"E",70.256,52.922,37.258,21.783
9.851,51.54,45,"Class2","X",80.164,88.694,"A",68.596,54.5,20.039,6.35
9.576,48.542,46,"Class2","X",78.301,80.731,"E",71.255,18.73,NA,31.615
8.739,48.125,45,"Class2","V",81.149,82.672,"V",69.943,19.315,27.847,11.524
9.101,49.91,46,"Class2","X",81.654,82.391,"T",71.787,42.56,23.393,7.347
9.897,43.408,46,"Class2","G",84.439,84.146,"T",67.102,62.4,67.858,44.59
24.902,79.672,37,"Class1","V",32.653,68.14,"U",94.614,91.134,82.968,NA
41.508,81.831,52,"Class1","W",24.941,68.362,"P",93.152,96.448,86.644,20.759
9.416,46.103,46,"Class2","G",82.842,92.011,"J",68.911,45.842,34.28,19.484
7.845,45.901,45,"Class2","G",76.213,81.413,"V",68.1,55.486,58.338,21.093
8.914,47.713,46,"Class2","H",82.352,79.841,"E",67.845,33.06,18.273,NA
9.007,56.796,45,"Class2","H",80.063,80.514,"A",67.338,47.869,39.772,46.287
9.688,53.048,46,"Class2","V",83.719,84.096,"E",71.995,34.866,53.001,41.005
18.463,82.782,40,"Class1","U",22.644,63.523,"P",96.821,98.303,75.515,16.021
25.197,64.249,31,"Class1","U",24.849,68.297,"K",93.452,91.755,83.434,11.1
9.94,45.043,46,"Class2","G",81.275,78.124,"V",73.967,59.897,12.455,39.937
37.054,85.266,37,"Class1","O",28.751,71.813,"U",94.726,92.399,88.746,21.265
15.91,85.83,49,"Class1","J",19.703,70.447,"V",96.07,90.511,84.22,NA
21.29,67.79,37,"Class1","J",30.412,74.587,"K",89.126,90.537,77.991,24.081
15.584,76.357,38,"Class1","W",29.616,70.174,"V",94.401,98.827,89.315,NA
42.746,69.849,33,"Class1","W",20.687,72.198,"U",97.111,96.798,77.263,16.315
7.387,50.572,45,"Class2","V",82.959,84.548,"J",72.256,60.887,63.69,27.727
7.618,52.096,45,"Class2","J",83.903,83.739,"T",74.553,51.21,60.003,19.211
9.052,49.524,45,"Class2","V",84.402,80.2,"T",74.035,19.342,44.532,23.442
14.132,79.295,29,"Class1","J",8.524,68.23,"U",88.286,91.168,82.532,14.654
30.351,70.706,51,"Class1","W",35.196,66.693,"V",92.66,95.117,77.669,21.182
9.326,44.463,46,"Class2","G",83.381,81.028,"J",70.268,26.604,45.027,4.266
26.905,74.155,38,"Class1","J",27.432,68.454,"Z",93.159,97.772,90.366,19.584
12.888,74.781,43,"Class1","O",23.133,71.097,"V",97.728,92.481,103.39,11.003
28.131,63.797,48,"Class1","U",31.92,62.582,"P",90.382,95.616,83.894,9.81
38.226,76.908,34,"Class1","J",23.277,68.337,"Z",90.835,93.299,86.472,11.336
7.294,38.785,45,"Class2","V",80.163,82.096,"V",66.881,29.696,44.155,21.931
25.002,72.232,52,"Class1","J",20.375,69.271,"K",93.26,94.728,71.494,23.836
8.747,44.364,46,"Class2","H",82.966,85.113,"T",70.67,53.337,55.812,31.002
7.594,48.038,46,"Class2","J",79.688,83.573,"V",73.048,23.135,11.629,48.925
17.301,82.028,35,"Class1","V",20.832,71.804,"P",97.717,99.374,93.934,11.615
43.325,83.097,46,"Class1","J",36.295,65.183,"V",92.26,90.062,72.829,23.124
19.712,78.511,48,"Class1","O",32.866,68.254,"U",93.122,99.078,79.363,25.86
15.379,75.229,35,"Class1","O",31.074,65.791,"V",91.816,99.529,83.978,17.783
19.356,83.515,38,"Class1","W",31.967,70.437,"Z",94.011,93.545,75.211,16.117
