"LCX1","OQP2","DAL3","ETB4","QGN5","EAD6","Output2","NER7","FKB8","YZR9","UAL10","XEO11"
NA,72.405,57.837,22.497,69.08,57,"Class3",34.364,46.083,"B",31.041,82
62.087,74.553,9.205,20.799,69.284,24,"Class3",39.572,49.848,"U",46.713,80
42.854,73.709,37.804,22.374,69.734,45,"Class3",69.601,49.115,"R",33.761,83
NA,12.656,31.181,22.093,82.047,37,"Class2",109.329,60.04,"K",21.782,85
58.586,73.195,46.635,25.593,70.735,NA,"Class3",69.885,49.768,"R",42.545,73
54.859,76.406,39.375,93.23,76.232,33,"Class5",49.319,39.17,"E",80.039,84
66.301,73.71,51.926,36.223,57.821,27,"Class4",27.295,96.495,"N",48.076,40
35.685,75.894,38.487,100.706,77.944,76,"Class5",77.967,16.156,"N",58.994,76
52.534,54.779,63.668,58.093,79.147,NA,"Class4",13.049,80.243,"T",62.956,29
42.541,70.242,32.269,74.024,61.133,0,"Class1",60.95,37.33,"L",68.396,69
39.492,68.982,40.094,21.554,69.478,11,"Class3",21.184,46.583,"B",48.217,80
60.616,77.085,46.068,23.208,69.365,37,"Class3",42.446,49.956,"B",57.416,63
79.903,79.396,47.831,95.4,77.063,30,"Class5",95.561,50.269,"W",81.068,65
51.464,39.013,61.957,57.862,67.091,15,"Class4",19.208,95,"N",52.603,46
25.368,81.374,42.423,89.569,78.217,69,"Class5",97.917,39.718,"O",95.589,77
24.972,21.159,31.337,22.243,76.751,37,"Class2",24.253,58.79,"F",26.698,16
NA,84.132,51.648,99.423,76.294,44,"Class5",75.118,17.353,"N",85.036,67
47.34,54.285,76.451,71.862,59.423,64,"Class1",65.405,57.908,"J",9.931,71
73.482,68.568,50.377,59.994,73.163,34,"Class1",62.651,36.791,"L",58.37,61
55.863,82.159,56.261,67.12,62.614,10,"Class1",57.467,44.623,"E",10.554,50
53.41,63.189,45.384,71.637,42.64,16,"Class4",14.752,82.097,"C",54.244,43
87.593,100.598,37.143,95.361,78.98,67,"Class5",91.125,46.605,"E",72.241,62
52.365,75.384,18.217,20.118,70.879,44,"Class3",30.188,49.272,"B",30.144,65
54.129,81.181,47.576,65.507,58.435,15,"Class4",23.332,80.262,"N",61.15,34
45.874,74.622,25.834,22.618,70.28,44,"Class3",35.602,49.836,"R",43.105,65
37.806,50.963,53.427,62.36,44.282,30,"Class4",28.489,96.037,"C",50.171,15
66.794,78.754,12.296,23.549,69.829,54,"Class3",55.34,47.958,"R",22.976,68
NA,26.937,28.499,26.939,68.784,35,"Class2",21.912,43.053,"K",29.998,76
56.766,75.417,50.628,97.862,76.992,41,"Class5",44.838,26.654,"E",59.1,68
NA,83.107,48.038,97.018,77.159,52,"Class5",68.012,23.666,"W",85.015,89
30.703,74.899,38.092,19.109,70.833,37,"Class3",59.639,48.108,"B",57.084,80
11.185,90.415,49.959,95.267,77.594,54,"Class5",94.854,27.609,"Y",64.642,81
50.915,68.83,69.144,80.237,49.463,19,"Class4",23.966,96.06,"Y",62.088,19
30.373,77.66,51.365,95.531,77.592,44,"Class5",82.904,27.763,"Y",88.38,80
48.291,68.059,29.555,64.301,50.007,3,"Class1",51.492,62.339,"P",58.461,28
43.126,40.252,68.61,78.17,68.257,25,"Class4",19.491,86.01,"N",50.339,36
55.119,65.758,48.531,58.176,55.691,14,"Class1",64.999,63.563,"C",49.189,30
82.061,13.11,29.897,27.673,52.378,39,"Class2",5.653,63.641,"M",27.85,22
89.668,73.365,12.886,22.25,70.171,56,"Class3",1.414,46.336,"U",28.411,71
9.661,28.809,32.009,23.415,50.886,40,"Class2",90.514,65.152,"M",29.431,45
84.339,76.675,42.153,96.295,77.824,43,"Class5",34.939,10.752,"N",81.159,79
22.764,57.655,62.198,58.049,49.594,34,"Class1",56.59,64.756,"C",37.126,64
59.896,77.146,39.504,22.722,70.722,29,"Class3",39.581,48.676,"D",57.726,77
72.945,56.716,52.907,80.16,73.383,32,"Class1",64.32,45.219,"J",69.607,66
43.608,91.376,61.39,72.866,51.697,39,"Class1",62.903,46.083,"L",14.557,24
50.881,80.819,48.596,49.037,51.222,25,"Class1",72.673,53.321,"L",16.892,45
22.649,37.502,75.655,63.135,52.389,2,"Class1",52.021,52.256,"J",63.151,41
54.252,22.193,33.932,19.294,64.341,40,"Class2",36.788,56.116,"T",22.06,73
52.377,12.848,31.786,20.599,96.296,37,"Class2",65.444,51.054,"K",25.954,61
51.552,68.043,68.596,54.878,87.456,16,"Class4",21.751,92.69,"U",53.693,2
3.189,97.283,42.504,91.569,77.161,79,"Class5",64.069,27.456,"E",54.884,85
62.781,70.575,82.199,69.858,63.767,49,"Class1",59.121,41.991,"L",66.485,45
54.597,74.684,43.413,20.617,70.195,NA,"Class3",39.67,49.481,"R",36.738,75
34.224,112.025,63.598,71.129,55.269,14,"Class1",77.505,52.27,"C",13.349,44
90.775,70.329,13.028,21.982,69.024,57,"Class3",26.059,46.588,"U",35.979,82
59.751,67.893,51.749,84.178,61.389,13,"Class1",61.802,61.104,"J",41.056,34
17.043,74.668,49.034,72.467,42.515,NA,"Class1",72.914,48.227,"C",29.776,52
31.246,102.433,38.172,98.714,76.288,47,"Class5",71.509,19.065,"E",83.153,89
56.317,77.097,46.281,20.711,69.639,32,"Class3",0.946,48.896,"U",37.226,78
52.335,91.03,46.873,35.33,47.312,28,"Class4",33.34,80.526,"U",50.464,53
75.296,71.552,5.785,22.911,70.648,44,"Class3",34.777,48.752,"B",54.832,63
63.875,83.785,47.358,98.363,77.965,47,"Class5",53.042,33.711,"W",98.903,79
54.32,70.002,54.818,74.065,73.483,4,"Class1",58.068,39.65,"P",27.534,26
45.826,47.169,33.644,60.896,55.957,43,"Class1",69.761,37.108,"J",59.171,60
76.455,78.796,39.031,95.019,78.788,39,"Class5",59.785,33.313,"O",67.638,83
48.826,86.758,49.918,74.423,45.304,41,"Class1",60.772,42.436,"P",63.327,71
45.499,52.941,82.466,82.158,51.908,28,"Class1",51.192,57.841,"E",33.777,37
63.234,73.898,8.292,20.802,70.737,21,"Class3",30.375,48.085,"R",15,84
33.155,58.937,65.283,52.463,61.373,45,"Class1",62.692,49.84,"L",39.406,31
41.669,20.465,28.753,25.95,63.682,40,"Class2",63.72,45.14,"T",25.496,82
35.742,74.67,25.032,21.078,69.378,46,"Class3",6.449,48.036,"L",28.142,78
31.626,88.268,37.76,94.528,76.368,41,"Class5",67.175,37.524,"E",84,74
46.317,85.756,82.113,55.439,42.495,69,"Class1",63.022,45.471,"J",34.835,73
58.472,12.656,29.357,26,79.397,40,"Class2",58.001,54.738,"M",27.605,53
64.07,67.413,40.151,96.41,79.335,62,"Class5",57.555,32.306,"W",85.097,92
67.882,17.101,31.583,31.616,55.874,39,"Class2",76.388,60.862,"F",27.598,25
NA,43.546,47.373,29.053,56.807,16,"Class4",21.212,89.723,"Y",62.134,18
32.444,91.957,51.839,99.012,78.231,36,"Class5",56.207,33.97,"N",63.192,74
57.684,52.566,54.628,60.757,48.728,20,"Class4",18.131,81.266,"T",54.591,1
56.632,75.164,19.158,23.239,70.951,45,"Class3",46.276,49.344,"R",19.667,61
69.153,83.138,39.574,94.874,77.555,78,"Class5",77.818,17.77,"E",52.91,65
61.296,73.709,45.458,95.014,49.515,22,"Class4",25.873,96.163,"Y",44.742,77
62.316,61.185,30.032,74.734,71.726,10,"Class1",69.222,65.518,"E",39.57,37
56.092,74.601,33.782,24.072,69.255,57,"Class3",13.501,48.89,"R",45.43,65
42.951,66.747,78.647,69.847,69.892,29,"Class1",53.111,41.276,"P",40.795,66
67.698,74.475,47.535,21.4,69.191,38,"Class3",3.864,49.784,"B",60.642,78
64.365,77.153,33.426,23.192,69.434,35,"Class3",21.43,49.511,"B",15.027,78
33.886,88.073,35.536,67.626,73.486,41,"Class1",57.237,38.537,"P",11.015,45
95.592,77.155,50.441,95.116,78.253,41,"Class5",53.429,33.206,"N",70.954,74
52.62,74.909,40.132,95.421,76.58,33,"Class5",82.943,33.049,"O",56.977,64
55.427,38.054,56.77,94.343,77.853,21,"Class4",16.85,97.973,"T",53.781,77
32.258,64.64,52.932,56.718,54.133,57,"Class1",45.962,64.439,"J",39.185,43
53.006,84.345,50.857,98.892,77.749,68,"Class5",67.803,39.652,"E",80.543,65
12.817,26.997,30.234,22.445,90.653,38,"Class2",69.53,45.949,"T",23.177,65
52.56,72.433,51.748,97.537,79.715,59,"Class5",28.932,40.587,"W",58.637,78
44.502,67.12,32.449,73.813,46.2,24,"Class1",46.64,41.399,"E",16.41,24
73.444,19.556,31.442,24.539,62.462,37,"Class2",93.103,45.622,"A",23.123,91
83.526,94.318,49.863,95.749,78.271,67,"Class5",65.883,10.612,"N",66.763,69
40.211,67.178,34.968,50.227,58.052,17,"Class1",69.871,58.343,"L",67.379,51
35.808,100.069,39.582,93.713,77.936,34,"Class5",63.516,19.435,"E",93.086,76
74.067,36.86,49.429,55.767,64.873,23,"Class4",13.962,80.723,"C",49.96,70
88.822,74.307,54.229,22.315,70.676,55,"Class3",43.535,49.344,"R",13.218,67
40.871,70.949,58.959,47.602,48.555,15,"Class4",22.503,98.281,"Y",54.113,37
52.526,55.991,60.45,79.385,88.963,15,"Class4",18.939,92.393,"T",55.537,69
89,98.919,38.397,93.036,77.589,NA,"Class5",70.724,17.646,"W",89.467,80
55.061,14.712,33.548,26.394,52.209,35,"Class2",25.338,42.161,"M",28.456,35
83.568,72.386,58.431,24.095,69.994,44,"Class3",43.28,47.579,"B",58.591,80
43.942,65.468,59.933,7.058,64.838,21,"Class4",21.927,88.732,"Y",48.089,78
60.383,63.33,65.256,95.651,83.444,29,"Class4",20.723,82.439,"C",60.164,63
61.878,38.894,45.373,78.208,74.454,25,"Class4",19.202,83.544,"U",60.518,27
124.52,12.328,30.387,19.121,48.576,37,"Class2",61.756,61.943,"M",25.381,93
67.666,74.684,23.794,47.86,71.133,4,"Class1",58.69,33.744,"C",37.744,51
46.602,35.786,64.475,107.77,54.815,29,"Class4",32.242,89.853,"U",54.68,59
45.445,19.902,33.901,14.004,57.838,37,"Class2",74.978,45.369,"A",25.04,62
55.523,76.931,57.777,70.568,65.615,15,"Class4",14.639,95.529,"C",57.199,76
46.756,68.826,41.063,21.449,69.944,9,"Class3",15.43,46.326,"U",63.164,70
42.74,58.43,67.895,67.561,61.623,25,"Class4",8.194,84,"N",42.213,70
69.37,75.763,42.635,23.027,69.249,28,"Class3",21.135,49.552,"R",54.797,81
51.028,52.762,57.893,48.676,91.239,15,"Class4",27.283,93.369,"C",56.636,12
NA,93.202,55.731,65.572,61.765,59,"Class1",78.248,52.605,"L",44.505,25
37.18,82.42,43.526,98.417,79.462,83,"Class5",71.206,50.848,"W",95.597,86
47.518,81.548,52.433,45.852,53.227,26,"Class4",26.215,95.735,"T",54.139,64
51.428,47.149,59.3,33.653,81.022,14,"Class4",20.753,83.882,"U",58.34,69
49.718,64.319,24.218,61.514,56.673,66,"Class1",59.928,51.282,"J",30.445,60
60.791,79.456,55.254,22.499,70.036,9,"Class3",39.895,48.526,"L",63.835,86
41.893,79.209,67.946,72.822,62.732,48,"Class1",59.549,33.464,"J",15.601,33
43.77,77.774,73.377,77.973,52.225,11,"Class1",72.944,54.759,"P",22.16,72
40.739,61.427,60.157,72.034,50.963,27,"Class4",16.715,84.016,"Y",56.003,11
89.165,74.091,15.224,21.932,70.803,35,"Class3",32.251,49.235,"U",50.954,87
70.863,49.529,36.332,52.024,65.233,30,"Class1",75.088,39.25,"J",66.419,26
79.427,78.099,47.94,96.455,77.552,41,"Class5",45.539,10.05,"E",82.853,66
71.02,73.608,41.622,96.3,77.094,74,"Class5",63.992,10.632,"E",98.972,66
64.392,95.86,50.938,99.912,78.71,84,"Class5",67.901,22.88,"O",75.688,93
55.284,75.643,49.31,84.122,78.56,29,"Class4",22.916,94.625,"T",53.52,10
35.773,19.266,31.324,18.484,95.003,38,"Class2",91.014,54.215,"K",30.054,31
71.632,8.995,30.742,16.476,87.994,35,"Class2",48.334,51.684,"F",25.676,62
31.889,87.067,46.187,96.64,78.043,51,"Class5",65.955,50.536,"Y",60.591,90
62.061,70.167,51.932,24.308,70.919,39,"Class3",16.623,49.067,"L",45.863,61
51.52,45.965,73.323,67.308,49.063,42,"Class1",70.644,58.981,"L",51.004,26
55.008,73.899,52.725,42.969,45.238,23,"Class4",26.381,93.262,"Y",56.426,16
56.47,88.421,46.797,18.031,52.981,25,"Class4",29.557,96.077,"Y",59.869,6
53.475,58.039,45.809,45.366,71.93,17,"Class4",32.033,84.61,"N",61.681,57
44.667,53.708,56.647,57.473,51.435,60,"Class1",85.973,42.225,"E",38.012,63
46.8,19.217,30.074,22.115,57.589,37,"Class2",61.688,48.349,"T",28.993,76
54.589,70.441,52.696,26.452,69.833,23,"Class3",35.629,48.831,"D",53.982,70
53.858,61.44,53.909,54.127,43.859,44,"Class1",46.766,51.704,"P",28.054,26
85.821,89.966,40.229,99.224,76.799,31,"Class5",29.782,27.731,"Y",53.558,62
81.248,28.265,31.667,13.586,47.297,35,"Class2",66.47,43.312,"T",30.847,57
48.388,49.639,36.338,77.755,73.782,27,"Class1",46.623,42.633,"P",21.885,65
101.618,86.26,38.555,97.484,77.64,73,"Class5",76.544,27.209,"Y",90.052,67
42.48,72.592,58.329,30.741,71.382,59,"Class1",81.702,37.31,"L",40.594,76
51.7,74.954,40.897,21.28,70.313,30,"Class3",27.44,46.173,"U",50.163,57
46.218,80.276,42.73,89.67,70.865,25,"Class1",50.029,65.754,"J",54.747,47
53.115,26.877,69.934,70.264,53.864,15,"Class4",7.581,84.872,"U",52.239,19
73.12,74.203,39.217,94.948,78.908,33,"Class5",55.437,30.055,"N",99.29,91
51.36,70.669,58.936,101.58,49.828,23,"Class4",9.247,79.493,"N",46.5,32
80.818,70.321,52.329,21.79,70.145,26,"Class3",29.991,46.743,"D",57.107,81
35.993,66.886,70.531,77.125,64.901,43,"Class1",63.948,58.553,"P",41.214,34
62.907,74.483,44.133,25.244,69.721,21,"Class3",16.024,49.644,"L",39.007,61
72.886,98.449,48.129,96.78,79.716,75,"Class5",56.475,24.938,"O",80.203,84
20.111,54.158,21.522,73.122,68.321,20,"Class1",69.854,65.416,"C",30.606,76
48.435,26.73,56.978,39.765,46.976,15,"Class4",14.256,90.397,"T",60.331,73
44.028,30.085,29.481,32.394,95.356,40,"Class2",50.855,60.904,"T",26.407,74
55.605,76.537,27.481,22.042,70.205,29,"Class3",54.918,49.208,"U",55.94,57
45.908,64.866,40.751,94.015,79.371,NA,"Class5",59.402,45.072,"N",67.622,80
89.334,71.179,42.976,96.972,79.799,73,"Class5",62.339,10.614,"N",94.804,66
41.171,72.387,26.316,23.164,70.174,56,"Class3",28.165,48.121,"D",51.007,64
50.35,75.942,50.644,97.27,76.106,81,"Class5",84.699,37.173,"W",84.065,89
39.667,81.508,48.866,64.827,69.749,50,"Class1",57.961,34.419,"J",63.71,44
33.39,42.713,44.69,73.184,45.576,52,"Class1",63.315,59.121,"C",27.063,59
68.77,84.51,62.959,63.12,72.345,68,"Class1",71.943,64.106,"C",36.647,24
40.425,56.462,45.449,67.884,61.954,22,"Class1",45.503,60.251,"L",14.092,61
41.99,74.203,55.016,22.24,70.789,21,"Class3",44.142,46.275,"D",29.819,67
40.246,18.552,30.448,14.436,54.73,36,"Class2",24.496,41.716,"A",22.849,95
53.17,72.095,45.503,24.942,70.362,25,"Class3",20.325,49.604,"B",18.105,73
27.714,62.722,61.057,71.807,44.911,57,"Class1",64.694,61.854,"P",24.247,50
40.85,98.768,73.477,45.74,45.492,37,"Class1",63.795,61.401,"C",34.869,54
43.038,85.4,46.672,96.9,76.722,77,"Class5",53.112,44.382,"N",59.85,93
58.448,80.897,77.758,81.081,59.388,54,"Class1",41.471,37.569,"E",49.002,69
76.863,68.032,42.577,98.573,77.087,75,"Class5",36.929,16.957,"E",83.346,79
60.398,72.777,14.957,20.87,69.38,39,"Class3",11.194,48.613,"R",26.032,87
51.998,64.624,58.554,90.348,65.394,29,"Class4",26.651,98.656,"T",59.791,24
62.686,73.91,29.802,18.978,69.441,14,"Class3",17.545,49.318,"U",57.998,75
49.378,79.402,49.052,92.532,79.007,35,"Class5",47.973,12.999,"O",98.715,84
65.09,36.024,59.272,32.391,83.979,19,"Class4",26.024,83.237,"N",48.201,8
51.217,72.945,54.26,21.726,70.998,37,"Class3",44.065,46.144,"U",56.613,80
78.298,72.119,38.736,22.075,69.685,15,"Class3",42.062,46.197,"L",19.768,78
29.254,77.911,37.299,99.186,79.411,57,"Class5",61.035,28.614,"Y",93.946,93
49.162,22.427,28.217,20.105,94.237,40,"Class2",82.186,44.638,"A",23.526,48
54.804,79.603,27.822,81.553,46.13,28,"Class1",43.764,34.723,"E",16.382,70
40.808,99.853,50.945,95.954,78.344,57,"Class5",53.964,10.683,"N",54.35,87
41.343,76.856,59.951,24.913,70.695,41,"Class3",35.511,46.295,"L",18.004,74
50.05,63.341,56.596,57.074,73.543,23,"Class4",19.03,95.449,"T",48.674,23
70.393,98.491,43.263,93.877,79.122,34,"Class5",60.21,39.292,"O",87.208,74
29.447,55.235,31.335,49.386,72.483,69,"Class1",61.212,56.527,"J",58.061,50
NA,74.647,36.502,19.753,70.138,30,"Class3",47.578,48.702,"R",25.395,81
53.958,17.448,30.419,15.11,62.689,36,"Class2",63.533,35.184,"A",30.594,71
34.215,58.82,27.513,82.386,68.187,5,"Class1",69.024,34.811,"L",39.582,74
72.266,15.029,31.255,20.218,54.771,40,"Class2",29.843,47.577,"F",23.338,61
70.374,85.571,39.494,99.111,77.359,59,"Class5",78.154,25.995,"N",56.673,66
73.897,70.956,17.61,21.102,70.124,NA,"Class3",47.802,46.126,"U",25.205,60
66.6,70.735,27.116,21.207,69.921,16,"Class3",34.205,49.024,"R",20.699,86
27.279,16.541,28.306,15.84,55.248,40,"Class2",36.229,52.64,"M",30.094,79
51.295,106.727,47.487,59.115,56.268,18,"Class4",14.51,88.555,"C",59.634,45
43.556,90.845,43.597,93.32,79.913,NA,"Class5",81.174,49.213,"O",77.371,83
73.019,87.599,38.125,95.041,77.971,31,"Class5",41.912,36.067,"E",71.688,89
60.598,72.622,32.782,62.819,73.945,33,"Class1",55.546,53.16,"P",42.982,66
38.747,95.567,40.632,95.063,78.029,39,"Class5",67.04,39.697,"N",97.961,89
47.784,66.565,76.257,83.827,49.863,29,"Class1",46.683,45.946,"J",64.361,33
50.086,72.283,39.371,22.975,69.998,52,"Class3",26.313,48.416,"U",51.591,68
54.476,109.723,55.849,66.869,84.941,23,"Class4",24.429,94.326,"T",48.987,24
31.959,86.615,77.063,63.841,48.51,18,"Class1",64.331,61.22,"C",14.338,50
NA,80.472,57.61,56.143,42.897,59,"Class1",67.529,52.689,"C",37.72,63
58.273,21.094,31.451,18.641,66.483,36,"Class2",116.553,62.47,"M",21.048,82
93.983,74.851,44.735,91.188,77.293,54,"Class5",53.974,13.748,"N",82.549,93
28.115,26.26,31.445,26.251,92.083,39,"Class2",74.103,57.894,"T",25.445,39
92.657,30.303,31.623,15.017,54.173,40,"Class2",77.071,65.974,"T",30.326,22
49.797,94.854,50.084,98.252,77.313,32,"Class5",69.908,30.116,"O",98.736,83
79.98,75.939,42.071,94.305,77.397,64,"Class5",67.433,19.161,"N",69.886,87
62.413,82.114,37.635,64.867,72.594,54,"Class1",70.339,61.995,"J",34.334,42
17.912,17.713,28.505,19.875,83.655,35,"Class2",60.155,53.098,"M",26.555,55
NA,49.574,68.443,103.396,89.773,26,"Class4",23.463,84.425,"C",42.526,56
25.576,86.781,37.209,96.645,78.182,28,"Class5",63.261,48.641,"W",85.798,86
60.79,82.887,49.298,89.929,78.661,NA,"Class5",76.581,48.968,"W",92.095,77
102.573,71.262,48.312,96.694,76.508,39,"Class5",19.882,36.968,"O",72.36,73
58.622,76.276,6.952,23.001,70.073,12,"Class3",10.435,48.892,"U",43.193,60
53.244,81.514,56.789,44.074,69.002,23,"Class4",16.887,98.338,"N",59.957,6
74.461,68.415,59.336,21.018,69.48,45,"Class3",33.699,46.101,"U",62.553,69
39.34,65.61,65.676,50.559,43.552,60,"Class1",59.687,62.902,"E",62.671,67
64.132,96.489,41.379,96.45,79.199,33,"Class5",78.936,37.489,"O",97.31,65
62.918,93.015,47.299,95.554,77.257,42,"Class5",71.817,23.512,"O",91.687,63
37.426,31.426,29.22,23.187,97.165,38,"Class2",50.371,49.009,"M",27.539,72
39.52,73.918,10.712,19.549,69.682,20,"Class3",2.16,48.681,"L",63.084,82
61.602,67.772,46.364,46.193,78.417,25,"Class4",33.2,87.275,"T",46.256,79
NA,17.799,31.357,27.258,90.32,38,"Class2",72.518,55.658,"M",28.905,55
29.046,47.926,31.721,17.839,64.104,35,"Class2",80.243,44.568,"T",25.92,21
48.603,22.842,32.091,27.255,72.095,40,"Class2",60.022,56.024,"K",26.915,38
35.528,65.774,50.084,64.766,55.834,13,"Class1",42.983,53.205,"P",19.725,30
30.22,23.54,32.318,21.746,66.644,37,"Class2",83.492,57.845,"M",21.375,49
40.647,43.318,55.516,32.379,58.859,17,"Class4",12.263,95.394,"N",48.894,2
26.38,95.456,40.903,101.87,76.951,66,"Class5",72.512,13.179,"N",71.09,69
56.914,66.494,54.613,60.804,52.031,26,"Class1",69.325,55.304,"P",57.41,29
56.771,90.286,57.065,87.865,69.734,21,"Class4",32.184,81.78,"C",49.258,21
50.698,61.324,59.355,72.726,64.388,30,"Class4",25.71,94.007,"U",62.6,48
NA,82.032,48.381,95.565,79.96,32,"Class5",61.601,41.093,"N",78.905,85
49.426,74.064,69.371,41.667,75.887,24,"Class4",26.965,93.705,"U",46.262,1
57.886,101.846,54.018,62.521,58.328,30,"Class4",26.768,96.602,"Y",48.11,59
24.464,21.131,28.729,27.354,66.771,40,"Class2",49.153,64.254,"A",25.187,38
58.846,76.31,51.621,99.738,78.85,46,"Class5",66.216,48.407,"N",52.456,87
45.184,80.069,41.908,65.901,72.82,59,"Class1",68.993,47.492,"P",44.22,57
66.157,85.963,51.686,96.931,79.297,31,"Class5",80.346,15.508,"W",84.704,78
59.652,61.08,57.221,69.46,72.959,29,"Class4",10.913,81.326,"U",56.966,29
NA,71.018,60.309,61.477,88.63,15,"Class4",12.351,95.904,"C",56.075,5
40.253,75.277,40.506,55.959,46.587,34,"Class1",70.966,59.972,"J",26.289,27
44.151,35.076,31.692,19.656,77.952,40,"Class2",49.184,58.163,"M",24.391,28
72.715,57.79,47.867,35.352,88.646,25,"Class4",34.792,96.716,"Y",59.706,54
70.619,19.813,30.108,17.289,76.649,37,"Class2",42.078,38.412,"A",23.413,65
43.083,75.945,40.115,19.186,71,41,"Class3",52.592,49.764,"U",16.59,65
43.148,98.224,61.022,58.507,59.843,60,"Class1",58.975,64.208,"J",39.787,57
52.56,73.78,41.497,72.239,55.921,10,"Class1",55.871,47.544,"P",9.494,61
37.143,70.754,37.884,20.574,70.931,41,"Class3",47.789,48.448,"B",39.252,67
56.51,59.506,66.065,67.935,78.322,19,"Class4",16.944,93.365,"C",59.236,1
40.042,82.034,43.54,97.641,78.205,33,"Class5",63.464,23.525,"W",64.946,77
NA,76.546,23.729,24.13,69.787,30,"Class3",19.111,47.147,"B",32.854,82
69.178,36.578,31.497,16.073,75.67,40,"Class2",71.761,42.758,"F",30.991,94
52.077,106.222,46.562,82.097,77.655,27,"Class4",24.142,81.416,"U",55.803,48
48.821,106.778,41.847,99.676,79.154,78,"Class5",65.317,31.386,"N",74.186,88
48.046,71.41,50.139,80.246,47.324,33,"Class1",55.696,49.508,"E",24.107,32
52.052,17.925,31.556,20.432,78.143,36,"Class2",52.586,36.974,"A",23.13,31
50.187,77.456,22.415,21.5,70.268,31,"Class3",16.285,46.763,"U",29.745,64
35.107,21.723,28.986,23.694,90.734,40,"Class2",10.836,63.3,"F",30.908,26
38.88,88.23,49.97,98.318,78.847,31,"Class5",23.258,25.945,"O",93.682,87
84.244,93.036,44.092,97.963,76.534,71,"Class5",72.089,42.96,"E",99.901,83
13.892,87.321,48.89,91.922,79.369,61,"Class5",43.547,36.837,"E",79.215,81
52.046,16.874,33.706,26.018,48.354,38,"Class2",37.415,40.887,"T",26.935,44
51.805,59.487,70.396,31.629,67.662,23,"Class4",12.28,95.229,"U",47.992,40
62.66,73.074,55.16,21.998,70.149,9,"Class3",45.434,48.892,"B",24.53,72
54.12,53.418,69.248,67.763,43.413,15,"Class4",20.796,85.243,"C",50.753,18
37.949,86.006,50.49,96.109,79.926,79,"Class5",55.191,22.237,"E",95.008,72
38.506,22.937,31.549,23.24,80.54,36,"Class2",31.138,53.732,"T",27.546,87
NA,27.337,30.631,24.187,72.321,35,"Class2",33.38,58.563,"T",30.356,91
51.177,114.138,54.339,54.468,53.778,21,"Class4",30.566,81.502,"Y",50.996,27
55.142,97.266,69.074,51.128,62.073,21,"Class4",20.754,83.287,"N",62.599,52
65.605,19.787,31.506,23.489,84.731,NA,"Class2",35.664,37.629,"K",24.116,60
48.83,71.444,70.976,74.986,43.371,14,"Class4",20.369,84.004,"N",55.821,52
61.794,52.431,46.989,67.272,91.634,22,"Class4",28.66,82.153,"U",49.618,71
32.168,74.248,7.818,22.73,70.912,15,"Class3",31.756,49.58,"U",48.584,76
48.878,76.562,25.062,22.856,70.637,20,"Class3",28.772,49.4,"B",22.635,78
19.859,76.742,32.942,24.793,69.927,NA,"Class3",48.798,47.421,"D",65.529,77
39.914,9.337,32.393,18.56,66.625,35,"Class2",74.157,60.262,"F",28.053,34
49.008,97.528,53.91,57.877,55.131,25,"Class4",19.735,97.975,"C",59.976,51
80.242,76.422,18.094,21.723,69.588,11,"Class3",17.561,49.874,"R",59.269,63
