"WMN1","YDZ2","JZW3","NDS4","NKL5","Output12","KBS6","GZQ7","ZFT8","PYC9"
10.743,54.736,17.873,30.431,56.206,"Class3",66.153,"P",34,10.551
14.754,58.324,26.104,39.895,52.292,"Class3",76.912,"X",34,12.254
75.34,57.885,46.751,73.562,70.483,"Class2",69.238,"J",59,99.577
NA,68.765,45.445,39.517,64.697,"Class3",42.535,"T",23,15.939
79.561,61.039,46.241,62.035,36.334,"Class2",63.333,"N",63,98.676
17.462,21.648,41.136,62.45,1.023,"Class1",26.174,"O",54,62.374
14.13,59.626,22.202,21,51.488,"Class3",80.791,"P",27,13.385
33.191,17.426,32.259,64.869,1.884,"Class1",14.139,"Q",50,55.386
22.457,31.555,54.017,71.327,2.027,"Class1",26.514,"S",51,61.331
32.382,6.623,38.651,62.72,2.07,"Class1",40.033,"O",34,65.08
64.569,68.172,40.496,89.747,37.976,"Class2",57.167,"J",60,98.101
16.969,7.152,46.558,12.749,3.234,"Class1",22.015,"Q",52,56.594
25.165,24.031,59.704,32.097,3.995,"Class1",16.236,"Q",48,58.216
83.016,52.778,42.077,63.19,44.957,"Class2",0.877,"N",61,97.941
70.491,72.334,24.276,18.11,62.644,"Class3",30.518,"P",23,22.871
22.436,4.419,60.597,54.763,3.49,"Class1",27.688,"W",50,64.982
25.218,20.491,41.892,44.946,3.73,"Class1",26.056,"U",38,60.606
25.641,20.742,58.315,46.401,2.752,"Class1",19.186,"U",44,61.507
NA,51.736,45.456,85.294,39.223,"Class2",26.591,"J",54,98.635
44.504,37.015,47.761,39.912,61.879,"Class3",47.688,"H",33,10.368
60.63,31.079,32.878,52.233,61.709,"Class3",28.525,NA,29,15.223
31.723,46.08,37.766,44.456,59.436,"Class3",86.575,"P",35,13.567
7.528,44.861,37.078,41.962,66.302,"Class3",23.161,"F",35,4.858
28.765,46.244,13.82,42.916,50.152,"Class3",24.601,"P",34,6.499
54.098,42.418,21.241,42.127,56.081,"Class3",27.503,"X",33,15.399
8.066,31.719,26.439,60.721,53.502,"Class3",57.941,"X",31,13.636
26.214,18.106,56.067,35.899,3.402,"Class1",34.655,"U",37,61.644
36.299,70.115,15.376,47.656,67.626,"Class3",38.524,"X",28,14.264
85.989,46.294,41.765,64.927,61.977,"Class2",68.565,"S",53,98.556
79.395,48.212,38.876,54.211,57.085,"Class2",44.042,"L",54,99.817
75.075,65.97,49.833,44.302,33.296,"Class2",78.997,"L",51,99.069
65.436,55.405,36.214,82.082,64.991,"Class2",65.299,"H",58,98.138
70.352,62.065,37.419,45.234,65.878,"Class3",59.15,"P",34,15.949
15.312,18.716,45.17,25.287,2.001,"Class1",31.338,"U",36,60.603
21.331,6.078,59.89,66.062,1.196,"Class1",22.047,"W",41,61.588
78.183,57.621,45.328,83.575,63.973,"Class2",52.342,"J",66,100.202
53.008,32.658,27.474,35.339,68.37,"Class3",99.604,"H",28,20.99
74.298,61.542,34.106,81.461,31.475,"Class2",21.851,"J",49,99.328
14.785,9.946,31.799,70.377,2.836,"Class1",5.244,"Q",45,64.3
53.7,22.31,28.476,35.582,52.153,"Class3",8.899,"X",30,19.504
67.039,47.692,36.821,72.949,69.832,"Class2",31.947,"H",51,99.266
24.677,22.138,72.526,40.202,3.458,"Class1",-11.626,"U",53,62.327
33.548,19.163,52.488,91.284,2.581,"Class1",37.853,"S",51,62.574
78.97,71.525,35.92,81.847,62.218,"Class2",-14.64,NA,54,100.021
76.451,69.698,43.798,73.538,39.966,"Class2",-3.841,"N",66,98.922
42.397,42.675,17.405,31.307,63.566,"Class3",79.282,"F",26,21.559
74.901,78.795,40.197,67.655,48.865,"Class2",3.994,"H",59,98.92
18.284,32.663,40.53,47.207,1.881,"Class1",21.23,"O",34,64.799
66.993,57.152,36.257,70.482,49.822,"Class2",33.086,"H",53,99.057
83.74,77.81,36.182,70.246,51.889,"Class2",46.176,"S",58,98.954
9.99,58.588,34.719,49.121,56.865,"Class3",8.102,"H",26,22.544
27.692,14.393,38.121,49.748,3.839,"Class1",39.849,"S",52,68.083
5.218,10.877,34.444,58.998,55.593,"Class3",86.848,"X",31,19.459
73.773,53.504,33.484,64.625,40.002,"Class2",22.582,"L",51,99.152
49.368,50.392,32.47,64.71,51.047,"Class3",78.446,"H",25,18.758
81.404,45.611,43.228,76.939,33.574,"Class2",84.9,"S",61,98.66
70.644,56.152,46.007,35.81,62.17,"Class2",39.031,"L",48,99.833
16.306,6.05,38.625,49.252,3.816,"Class1",16.462,"U",55,61.051
80.023,72.77,43.9,31.132,51.632,"Class2",49.122,"N",43,99.359
74.216,41.747,47.67,67.007,51.623,"Class2",29.286,"S",43,98.762
63.755,49.739,29.217,48.299,69.854,"Class3",54.786,"H",33,8.697
46.106,10.931,29.631,46.24,57.405,"Class3",61.23,"F",28,8.353
80.713,68.989,48.366,49.036,41.197,"Class2",61.442,"L",64,99.077
29.46,26.503,45.308,85.159,3.051,"Class1",21.753,"O",57,59.008
8.041,44.128,28.308,52.724,51.562,"Class3",36.748,"X",25,16.662
69.431,82.864,40.013,27.918,55.802,"Class3",71.375,"P",28,21.238
19.808,28.633,38.509,80.75,1.783,"Class1",15.19,"S",49,64.587
25.595,24.664,42.86,99.925,1.127,"Class1",20.971,"Q",41,64.753
66.591,70.728,47.834,70.941,41.291,"Class2",14.488,"J",44,98.631
24.113,10.168,67.348,63.896,2.232,"Class1",29.471,"Q",40,64.986
15.155,13.177,2.064,32.884,3.437,"Class1",23.455,"W",38,67.466
64.713,44.285,31.245,63.988,54.264,"Class2",69.052,"H",51,99.339
84.14,48.867,37.749,68.036,57.594,"Class2",47.017,"H",61,98.182
85.715,76.69,52.433,84.75,51.851,"Class2",31.722,"H",48,98.8
15.805,8.972,97.707,32.093,3.623,"Class1",5.951,"W",40,64.815
48.988,57.463,27.511,51.506,61.251,"Class3",47.535,"F",30,5.318
70.36,46.685,50.105,53.409,58.188,"Class2",73.721,"J",66,99.235
25.545,25.163,73.329,64.184,3.186,"Class1",21.403,"Q",57,67.286
30.577,13.084,56.852,42.772,2.48,"Class1",27.227,"W",49,68.051
19.464,63.295,34.539,36.445,54.087,"Class3",64.42,"X",27,15.76
31.14,9.367,95.599,43.69,1.409,"Class1",28.177,"W",42,70.213
27.642,50.76,23.174,4.861,55.419,"Class3",52.232,"F",30,15.771
50.149,16.968,26.073,35.924,58.557,"Class3",81.691,"T",30,25.174
70.098,57.863,12.518,67.308,60.806,"Class3",68.082,"T",24,15.974
76.092,60.19,48.412,62.375,55.502,"Class2",25.456,"H",44,98.764
31.969,33.165,66.833,24.676,2.643,"Class1",15.544,"Q",50,66.909
66.011,49.592,46.212,86.687,32.946,"Class2",13.096,"L",44,99.285
85.763,56.747,46.401,51.095,70.257,"Class2",40.746,"L",44,98.588
62.144,65.365,40.679,59.302,40.051,"Class2",17.641,NA,58,99.332
31.324,26.868,57.991,51.062,3.056,"Class1",26.448,"O",35,63.693
73.355,43.13,36.652,63.202,33.611,"Class2",81.198,"H",63,99.107
66.747,67.268,50.109,49.861,48.897,"Class2",38.713,"L",51,99.181
18.32,16.881,64.084,94.881,2.162,"Class1",23.497,"U",54,58.588
31.022,5.707,34.559,80.256,2.512,"Class1",23.309,"W",56,69.621
NA,18.791,75.622,21.822,2.055,"Class1",28.572,"O",46,65.948
75.768,45.423,42.32,64.522,57.285,"Class2",45.339,"L",51,99.376
57.441,29.826,23.358,42.055,72.913,"Class3",58.579,"P",24,21.411
8.946,24.238,30.064,46.949,58.939,"Class3",67.793,"X",24,15.68
25.186,12.687,53.139,82.961,3.783,"Class1",20.286,"S",39,64.484
15.841,13.558,33.985,118.801,2.994,"Class1",5.482,"W",55,66.44
61.086,57.311,45.151,62.111,58.884,"Class2",30.517,NA,49,99.149
16.107,9.853,24.724,30.168,51.884,"Class3",29.025,"H",29,21.128
NA,36.561,19.115,36.491,65.501,"Class3",55.851,"F",35,21.943
32.449,25.745,58.631,39.426,3.615,"Class1",16.857,"U",46,63.768
23.563,32.541,16.251,28.775,57.317,"Class3",46.075,"X",32,13.882
58.08,18.735,10.949,27.139,65.894,"Class3",55.448,"P",34,22.297
NA,30.174,77.225,48.952,2.508,"Class1",31.062,"Q",49,61.98
73.679,41.972,48.921,57.084,44.047,"Class2",74.653,"N",49,98.771
44.925,40.59,23.609,49.055,57.839,"Class3",36.825,"H",27,13.116
41.91,60.454,26.048,49.53,55.555,"Class3",45.575,"T",32,19.396
NA,22.035,9.658,13.844,1.727,"Class1",19.042,"O",46,72.981
65.453,69.291,23.401,50.654,54.328,"Class3",54.815,NA,33,9.471
81.368,51.592,28.822,68.388,66.957,"Class2",17.498,"L",58,99.056
25.309,17.719,23.085,65.637,1.143,"Class1",36.406,"O",41,64.818
20.54,15.262,51.016,31.238,3.576,"Class1",16.394,NA,39,64.005
85.497,49.988,45.422,46.229,64.152,"Class2",78.044,"J",65,99.721
68.22,55.953,41.143,54.835,60.937,"Class2",29.322,"L",54,99.285
84.89,47.161,49.904,49.332,66.976,"Class2",46.677,"S",43,100.261
61.699,69.046,32.733,61.349,70.348,"Class2",63.197,"S",63,98.44
67.519,82.144,21.163,39.628,59.179,"Class3",49.661,"P",31,19.687
24.763,47.638,42.042,51.926,50.299,"Class3",98.498,"F",31,18.528
14.703,21.357,55.805,4.963,3.181,"Class1",12.209,"W",52,64.587
70.711,54.719,30.427,83.596,39.487,"Class2",71.654,NA,45,99.663
22.767,10.468,50.408,46.82,2.711,"Class1",13.252,"O",52,60.415
31.151,24.236,41.091,54.737,2.413,"Class1",23.012,"W",57,60.516
16.09,23.146,50.954,71.765,3.142,"Class1",20.303,"O",42,70.002
14.988,24.055,25.844,52.235,63.599,"Class3",74.208,"X",23,21.574
72.67,49.681,54.706,69.966,45.357,"Class2",62.759,"N",55,98.386
NA,10.761,15.939,48.196,1.248,"Class1",29.879,"S",41,62.112
31.279,11.221,82.517,54.438,3.788,"Class1",-0.287,"U",48,65.238
25.428,20.808,33.452,24.956,3.447,"Class1",12.219,"W",43,65.189
72.82,53.761,45.833,59.328,63.33,"Class2",51.764,"N",43,99.432
72.074,74.899,51.248,46.633,44.853,"Class2",86.411,"N",59,98.628
24.196,24.033,47.946,64.765,2.406,"Class1",26.371,"Q",56,58.344
NA,18.301,75.474,1.108,1.675,"Class1",35.156,"U",34,69.96
24.68,17.521,39.829,69.35,2.863,"Class1",14.621,"S",47,61.188
45.055,31.899,24.521,58.136,58.685,"Class3",31.302,"H",24,18.118
85.866,76.775,42.508,46.115,52.441,"Class2",30.627,"L",51,98.722
80.629,40.12,43.395,49.925,41.428,"Class2",53.051,"L",56,98.244
67.387,76.324,41.544,75.398,67.918,"Class2",52.823,"S",60,98.082
69.839,61.096,44.609,73.835,48.103,"Class2",31.965,"N",64,99.576
51.778,17.518,28.391,45.84,64.715,"Class3",41.211,"X",35,17.727
33.217,13.881,41.36,70.719,1.88,"Class1",35.716,"U",43,65.726
20.296,21.344,45.256,88.248,1.494,"Class1",4.815,"O",46,63.389
14.528,10.319,67.419,21.464,3.343,"Class1",31.835,"W",50,68.593
81.796,46.318,50.383,82.575,44.488,"Class2",53.319,"H",52,98.717
NA,53.001,21.519,28.874,72.008,"Class3",41.073,"F",35,15.677
34.937,56.77,30.962,41.701,52.377,"Class3",62.18,"F",25,7.131
57.557,21.965,21.522,45.191,52.042,"Class3",72.428,"X",35,15.13
33.072,24.253,24.446,34.239,58.467,"Class3",35.95,"F",28,24.939
33.826,22.908,85.219,39.498,1.841,"Class1",26.349,"S",46,68.043
23.007,17.695,54.465,60.926,3.667,"Class1",19.582,"Q",35,67.893
67.774,60.896,31.721,66.361,58.594,"Class2",80.309,NA,44,98.88
32.741,29.143,66.138,50.962,1.758,"Class1",41.903,"U",35,64.903
7.653,76.903,14.579,32.999,53.793,"Class3",49.611,"X",35,17.357
66.661,67.844,45.695,87.268,65.941,"Class2",67.057,"H",51,98.239
17.498,66.279,19.546,38.997,70.153,"Class3",29.219,"H",27,13.404
10.962,59.309,18.577,52.617,52.071,"Class3",51.966,"P",35,21.82
66.393,65.949,28.731,79.91,39.527,"Class2",9.585,"L",59,99.347
85.449,56.867,48.664,31.916,65.977,"Class2",19.581,NA,46,98.649
14.579,77.799,20.596,42.167,65.326,"Class3",52.049,"P",28,14.221
73.093,59.228,34.336,72.697,55.486,"Class2",44.087,NA,42,99.049
85.142,69.777,45.53,57.287,60.789,"Class2",57.293,"H",59,97.493
62.076,67.788,46.726,69.014,61.048,"Class2",38.721,"N",61,98.894
29.434,6.002,62.265,45.308,2.185,"Class1",20.043,"Q",55,62.967
63.644,40.093,50.656,76.745,40.366,"Class2",103.509,"N",58,100.095
64.365,41.426,41.933,60.773,49.3,"Class2",60.833,"H",51,99.572
45.068,32.288,21.134,26.254,63.079,"Class3",55.929,"X",25,14.676
81.436,43.956,33.601,65.264,59.248,"Class2",71.803,"J",53,99.277
31.204,7.503,56.203,84.464,1.66,"Class1",29.594,"S",35,58.895
16.046,72.055,21.585,15.488,54.255,"Class3",48.926,"F",30,17.882
50.925,62.779,4.882,62.131,57.803,"Class3",45.918,"H",23,19.762
19.268,24.221,29.873,31.524,3.581,"Class1",11.135,"W",46,65.928
45.926,41.245,14.695,29.454,71.72,"Class3",50.194,"P",28,22.014
52.062,9.364,37.508,44.287,67.689,"Class3",91.129,"H",35,12.932
31.316,26.63,24.453,20.66,3.542,"Class1",22.566,NA,48,62.68
24.995,18.629,72.368,66.351,3.104,"Class1",18.801,"Q",40,58.264
65.498,51.087,31.22,46.952,71.85,"Class3",35.8,"T",32,13.017
14.91,11.629,63.944,55.545,2.683,"Class1",31.164,"O",54,63.245
71.472,58.365,38.669,56.185,40.004,"Class2",21.431,"N",47,98.65
16.161,29.878,32.123,53.727,3.714,"Class1",26.504,"U",56,63.061
19.816,33.106,74.274,47.974,1.899,"Class1",12.956,"S",41,56.839
NA,16.987,38.963,43.136,65.061,"Class3",74.056,"F",29,10.805
20.49,5.531,52.163,40.469,2.816,"Class1",5.498,"S",39,64.376
6.861,24.269,28.991,29.987,49.142,"Class3",42.952,"X",27,16.496
60.253,77.646,32.531,68.862,54.817,"Class3",63.559,"X",33,15.767
21.297,17.906,50.705,66.677,2.914,"Class1",22.78,"W",42,57.721
24.128,32.164,56.304,56.262,3.091,"Class1",28.046,"S",47,58.823
NA,69.469,39.511,22.275,54.958,"Class2",51.87,"N",62,98.563
33.787,22.621,27.281,46.409,64.746,"Class3",48.355,"T",35,19.974
75.738,77.27,38.386,49.417,70.567,"Class2",39.266,"L",62,98.368
16.333,80.901,36.791,50.891,58.356,"Class3",4.558,"F",32,17.119
49.728,36.238,25.649,25.572,52.342,"Class3",55.299,"F",34,20.473
24.964,20.98,57.777,14.039,3.132,"Class1",27.035,"Q",34,56.107
26.318,30.777,35.993,44.063,2.913,"Class1",18.971,"S",43,57.792
NA,27.639,58.465,50.735,1.737,"Class1",16.183,"S",35,60.793
29.714,32.119,52.259,31.678,2.45,"Class1",31.386,NA,40,65.742
30.105,20.346,40.624,53.732,1.992,"Class1",35.279,"W",55,61.523
68.324,64.599,45.369,63.65,71.721,"Class2",39.513,"H",61,99.869
5.564,8.004,21.503,19.283,62.104,"Class3",70.711,"T",27,18.999
31.719,26.732,51.344,36.231,2.971,"Class1",12.309,"W",54,58.462
82.475,49.504,46.123,52.875,35.8,"Class2",60.263,"J",46,98.585
NA,59.761,56.122,72.295,38.511,"Class2",22.992,"L",46,100.175
10.907,21.722,34.147,49.044,60.483,"Class3",38.306,"P",28,15.976
69.109,68.555,40.354,77.03,65.314,"Class2",31.237,"N",51,99.509
