"ZMX1","DEG2","RQT3","FKX4","XYN5","Output27","DGT6","HIA7","MIP8","WYH9","GBC10"
40.724,75.541,41.683,19,35.678,"Class3","N",54.419,22.939,26.282,74.413
77.186,46.644,39.333,76,33.67,"Class2","N",68.138,29.195,85.161,66.003
23.963,50.503,73.173,25,59.631,"Class4","D",21.32,44.499,34.11,14.318
43.639,71.12,39.259,25,37.043,"Class3","H",38.648,19.944,22.338,67.691
30.423,90.323,47.24,71,84.194,"Class1","O",46.569,45.205,58.208,70.689
52.195,55.24,24.983,52,40.362,"Class4","Z",28.689,50.029,35.252,8.87
46.529,56.323,23.984,62,49.269,"Class4","Z",43.58,39.143,23.637,14.26
66.96,76.202,41.607,72,30.967,"Class3","D",58.256,19.634,NA,54.185
77.479,41.409,36.307,34,67.28,"Class2","Y",79.055,29.092,91.39,99.251
23.325,88.084,101.08,69,89.016,"Class1","M",83.926,66.444,78.84,51.545
41.685,56.072,43.903,49,35.579,"Class3","H",47.765,21.426,25.727,87.719
76.832,60.252,43.05,82,40.905,"Class3","D",52.588,18.203,22.968,52.017
18.82,90.075,42.797,71,86.351,"Class1","G",67.285,47.325,74.947,36.417
34.151,23.935,40.897,71,39.013,"Class3","D",50.299,19.937,26.66,53.58
54.972,27.505,45.821,85,49.886,"Class4","Z",48.962,26.173,11.72,11.354
38.628,75.673,37.133,36,35.011,"Class4","O",40.261,40.125,19.835,11.003
26.366,91.988,49.764,69,85.129,"Class1","D",57.724,27.611,91.249,45.216
54.918,24.931,40.493,53,46.638,"Class3","D",39.749,16.218,23.552,59.38
62.93,67.244,46.898,54,40.278,"Class3","S",47.293,21.884,24.592,76.111
71.069,63.802,40.184,76,41.973,"Class3","S",34.805,19.01,22.843,78.893
77.254,45.379,40.387,78,47.966,"Class2","R",58.621,12.209,90.083,82.759
43.752,75.573,30.623,86,43.067,"Class4","D",34.681,47.794,19.372,7.036
77.599,44.843,33.132,74,NA,"Class2","R",56.046,51.632,92.851,67.19
77.228,43.545,39.971,39,47.16,"Class2","R",65.477,19.212,78.053,80.161
23.511,89.502,58.464,70,NA,"Class1","G",52.642,19.724,79.795,52.146
81.51,40.651,41.512,34,32.545,"Class3","N",45.892,16.022,23.524,88.96
33.164,70.04,-0.456,97,43.619,"Class4","C",22.91,47.637,18.214,15.051
77.801,45.798,32.141,34,40.006,"Class2","N",56.029,34.726,90.776,73.576
77.592,46.227,27.721,80,44.04,"Class2","N",84.903,22.181,94.795,75.808
37.393,71.635,40.712,97,44.242,"Class4","Z",18.199,53.879,17.161,9.702
27.193,15.252,41.813,31,40.507,"Class4","C",37.076,54.011,14.783,11.566
47.189,53.024,41.936,26,58.953,"Class4","D",34.013,28.356,36.43,10.245
39.603,80.951,61.132,45,32.017,"Class4","O",30.931,39.664,23.852,14.888
18.088,89.489,73.584,71,84.371,"Class1","G",10.586,40.602,NA,61.649
15.719,42.63,28.327,70,40.471,"Class4","C",29.976,52.723,33.888,8.981
38.971,6.135,49.596,87,NA,"Class4","D",26.947,50.361,13.317,9.353
51.564,40.326,44.466,67,37.66,"Class3","S",46.655,21.895,22.903,85.563
59.054,16.889,34.015,57,60.464,"Class4","Z",16.025,34.69,23.046,9.082
17.186,92.448,42.649,70,86.466,"Class1","M",67.369,18.805,68.217,64.892
49.936,23.164,40.512,52,45.357,"Class3","R",56.775,22.386,23.286,79.156
66.842,32.787,41.19,68,39.776,"Class3","H",51.26,19.918,26.912,86.241
43.18,59.87,40.238,35,36.817,"Class3","H",51.944,20.488,26.993,85.937
28.258,91.371,91.232,69,88.09,"Class1","B",19.526,34.581,89.541,34.368
33.009,58.463,9.99,46,46.721,"Class4","D",33.799,52.268,31.066,10.035
22.344,72.281,40.28,79,42.46,"Class3","H",47.81,20.399,23.78,98.635
77.885,42.483,34.042,41,27.423,"Class2","Y",62.673,18.398,81.109,77.178
16.022,88.546,62.377,69,81.469,"Class1","D",85.402,29.567,73.983,55.116
77.768,45.482,33.945,45,NA,"Class2","N",78.769,37.049,95.711,86.884
34.511,10.133,42.044,79,10.928,"Class4","D",19.076,29.552,18.615,7.176
78.342,45.084,33.336,83,11.023,"Class2","N",64.464,42.904,90.224,85.345
77.127,42.064,31.111,46,38.676,"Class2","L",79.468,28.088,92.172,83.807
77.157,45.196,36.416,59,65.03,"Class2","Y",81.232,43.302,93.134,79.376
29.194,88.42,74.533,69,83.167,"Class1","M",38.806,18.868,88.89,42.992
48.586,25.621,40.072,90,34.445,"Class4","Z",34.258,40.682,20.714,4.125
33.264,19.579,39.204,87,39.108,"Class4","N",49.371,51.153,NA,-0.318
15.899,90.676,99.087,69,83.127,"Class1","G",25.553,14.406,78.98,62.963
37.575,16.348,56.705,45,56.563,"Class4","C",43.871,32.753,27.122,11.31
48.369,18.823,53.885,65,58.32,"Class4","N",45.919,51.751,22.864,5.383
27.045,32.149,29.737,35,30.682,"Class4","C",18.31,45.169,18.462,8.61
77.765,45.088,30.835,87,51.151,"Class2","Y",59.236,11.665,88.414,95.65
77.087,41.47,32.121,48,NA,"Class2","L",79.249,54.53,91.709,75.823
11.759,90.481,65.526,69,84.829,"Class1","G",12.045,58.699,86.297,59.133
24.47,92.691,37.657,71,83.604,"Class1","O",62.661,29.289,64.917,57.107
25.129,91.198,37.79,69,NA,"Class1","M",35.823,35.128,71.72,54.54
23.42,90.893,84.436,71,88.693,"Class1","M",81.682,13.535,72.387,25.515
25.693,90.14,63.821,69,83.787,"Class1","M",27.394,21.377,78.832,38.55
18.19,90.468,97.545,70,85.71,"Class1","M",13.436,17.174,69.632,53.916
77.107,42.438,32.478,80,46.6,"Class2","N",65.017,49.904,93.846,70.903
77.642,46.292,31.587,48,41.42,"Class2","L",55.383,15.536,82.107,81.481
50.794,26.013,38.417,64,35.548,"Class3","H",49.958,17.689,24.173,94.499
77.399,46.148,34.364,49,56.147,"Class2","Y",55.494,46.439,96.513,90.498
76.905,42.018,41.792,57,35.04,"Class2","L",76.637,16.367,90.885,71.663
59.813,66.783,45.106,25,30.464,"Class3","N",58.458,18.399,26.865,71.421
17.331,90.36,69.637,71,86.9,"Class1","O",61.409,63.98,53.335,59.252
44.558,52.075,43.035,48,38.541,"Class3","D",54.64,18.26,22.009,84.719
33.413,44.906,57.444,95,57.705,"Class4","N",32.553,55.829,17.721,7.056
4.114,90.469,72.856,69,82.676,"Class1","D",68.51,15.571,76.847,34.697
77.173,87.308,42.325,30,45.522,"Class3","R",39.663,18.659,24.843,69.14
46.182,16.423,19.922,23,35.631,"Class4","N",39.828,43.671,31.032,5.902
42.823,38.182,69.712,80,46.728,"Class4","O",26.752,36.003,32.761,10.269
76.751,45.059,31.766,68,23.452,"Class2","N",85.719,49.81,88.761,79.127
10.217,92.579,65.419,69,83.58,"Class1","D",44.047,24.101,59.98,48.656
38.196,39.447,43.287,50,23.831,"Class3","N",38.983,21.732,24.312,70.65
36.927,36.677,62.307,26,34.4,"Class4","D",18.195,35.747,10.433,6.851
77.241,41.28,33.422,50,59.041,"Class2","Y",86.724,17.077,80.737,86.44
41.378,57.465,21.288,87,42.814,"Class4","C",39.841,28.706,21.086,8.16
1.871,88.539,69.619,70,84.414,"Class1","M",61.447,48.243,78.527,63.633
32.545,89.026,40.522,70,85.731,"Class1","B",42.557,81.942,59.107,44.836
78.003,41.27,23.512,88,31.59,"Class2","L",63.395,54.253,93.852,69.358
14.052,91.022,92.49,71,83.921,"Class1","D",14.84,35.862,87.393,49.901
58.634,12.862,24.783,91,51.324,"Class4","Z",13.546,40.374,23.662,4.71
-0.856,91.501,70.283,71,85.153,"Class1","O",42.719,63.681,89.525,35.286
35.134,62.445,40.334,85,40.958,"Class3","N",41.342,22.053,24.781,41.278
32.564,66.096,49.896,79,80.508,"Class4","N",50.567,26.721,13.345,3.108
24.453,36.868,38.123,22,37.332,"Class3","N",57.942,16.971,23.196,22.119
20.573,88.637,77.931,70,85.151,"Class1","G",10.61,65.096,83.138,38.396
53.047,24.124,39.78,81,42.902,"Class3","N",56.033,22.335,25.759,71.549
25.699,8.868,39.503,24,20.99,"Class4","D",31.122,46.05,19.418,10.828
34.173,33.509,27.248,68,42.384,"Class4","Z",37.922,48.654,31.937,12.478
16.898,92.761,43.151,69,85.626,"Class1","M",39.547,6.681,NA,34.381
77.074,46.976,36.224,82,54.521,"Class2","M",70.943,42.236,91.797,90.85
56.105,73.448,43.661,58,42.139,"Class3","R",36.411,19.154,26.322,91.302
77.146,41.537,36.147,34,45.698,"Class2","N",91.017,28.952,97.4,86.183
19.163,36.737,40.592,79,25.865,"Class3","N",48.906,19.009,23.027,85.102
61.724,39.136,17.71,24,36.176,"Class4","D",32.625,32.045,14.175,8.443
24.358,50.625,25.909,84,40.721,"Class4","N",27.513,55.673,15.354,10.545
41.323,80.845,61.355,38,60.267,"Class4","Z",44.285,42.86,26.986,15.521
77.012,44.146,34.234,65,47.504,"Class2","N",91.557,38.772,82.525,73.638
33.666,80.459,28.318,70,48.639,"Class4","D",42.139,54.061,34.474,8.456
48.101,86.706,40.943,35,40.951,"Class3","H",57.942,20.77,25.734,55.219
4.811,90.096,65.293,70,88.161,"Class1","D",18.451,35.682,88.723,55.818
32.059,91.513,43.272,69,83.905,"Class1","B",23.457,71.748,59.493,34.152
77.707,41.165,30.326,51,33.474,"Class2","N",64.102,41.704,82.202,94.773
22.988,91.208,89.569,70,85.299,"Class1","O",59.017,80.508,77.25,56.24
77.48,45.193,30.57,51,NA,"Class2","L",83.505,10.441,78.401,91.786
77.777,42.668,39.495,85,NA,"Class2","N",67.326,38.787,83.912,84.789
-4.235,14.369,40.93,82,43.769,"Class4","D",24.392,31.001,14.427,12.081
77.373,41.364,36.283,51,36.934,"Class2","R",87.018,51.283,89.593,77.034
23.472,92.029,35.377,69,NA,"Class1","M",24.106,63.462,55.943,58.435
18.299,90.226,68.134,70,83.766,"Class1","M",44.204,45.572,81.197,62.814
77.661,45.282,35.702,50,33.187,"Class2","M",90.791,19.148,81.465,91.52
77.468,42.794,32.999,45,34.483,"Class2","L",80.567,24.059,NA,86.973
30.036,36.457,47.793,74,46.105,"Class4","C",18.394,41.954,10.574,11.682
54.251,57.474,33.151,42,40.988,"Class4","C",14.635,53.311,NA,7.043
77.309,41.122,34.153,31,27.346,"Class2","Y",71.471,33.904,94.285,76.941
44.84,76.321,41.106,18,43.736,"Class3","R",60.42,19.849,25.243,47.935
73.736,73.205,41.492,64,43.437,"Class3","H",51.178,18.624,26.676,74.553
44.645,41.181,40.734,16,45.97,"Class3","S",35.126,22.997,24.548,80.56
23.483,69.361,20.488,29,31.646,"Class4","Z",25.123,28.714,27.9,6.036
14.617,91.337,72.23,69,82.806,"Class1","M",58.678,82.973,86.182,49.185
54.495,85.8,38.082,83,45.277,"Class3","D",39.753,17.889,23.056,61.894
38.392,64.717,38.247,33,15.413,"Class4","D",35.236,26.931,27.064,3.62
17.152,89.126,114.997,70,86.04,"Class1","B",37.581,79.796,56.958,45.781
-4.363,92.727,37.222,70,88.871,"Class1","G",81.258,9.524,82.743,59.999
16.087,90.717,97.929,70,87.341,"Class1","M",40.913,9.92,92.201,26.991
49.455,22.671,42.101,57,35.519,"Class3","D",57.176,19.474,25.812,96.577
43.463,25.122,32.268,56,53.667,"Class4","O",14.195,42.173,36.66,11.879
46.574,48.551,44.515,61,49.719,"Class3","H",48.491,16.837,22.493,68.767
59.598,68.551,40.999,20,46.417,"Class3","R",37.7,18.377,26.977,64.507
77.178,41.974,33.524,78,26.946,"Class2","R",83.359,31.179,82.763,74.067
45.632,67.008,40.846,51,29.734,"Class3","R",51.736,20.21,26.037,64.272
77.333,45.163,38.247,62,58.566,"Class2","Y",65.277,23.82,88.871,85.4
10.056,89.062,62.634,70,NA,"Class1","D",69.798,64.563,62.458,57.518
78.053,41.845,33.512,69,NA,"Class2","R",73.793,33.139,80.551,83.789
24.39,33.207,51.96,80,10.33,"Class4","Z",37.603,30.595,22.457,13.349
30.701,39.658,73.251,56,47.911,"Class4","C",44.379,26.739,19.097,12.147
12.647,52.673,51.231,73,NA,"Class4","Z",46.566,52.82,32.788,12.647
25.159,32.395,43.494,91,44.834,"Class4","O",44.795,38.726,31.439,12.149
73.61,70.226,42.946,51,32.248,"Class3","D",47.047,18.206,26.443,76.339
77.393,42.824,33.316,32,NA,"Class2","M",68.496,28.324,79.499,86.25
29.305,90.903,105.136,69,85.79,"Class1","G",11.012,8.139,61.411,29.124
77.24,42.496,28.641,31,35.385,"Class2","N",75.513,44.122,94.938,82.33
44.712,34.364,43.465,55,48.218,"Class3","D",51.067,18.104,23.273,100.592
58.614,26.869,38.772,54,48.66,"Class3","N",41.607,16.995,23.747,113.258
42.579,49.335,11.53,75,56.712,"Class4","O",26.506,49.245,15.263,10.64
76.688,44.857,27.443,77,54.596,"Class2","R",59.334,10.842,NA,92.675
34.732,79.477,57.007,66,44.964,"Class4","C",33.262,42.268,31.787,6.748
77.194,46.021,30.306,90,38.523,"Class2","R",80.733,40.533,NA,88.509
35.717,81.321,33.314,66,65.185,"Class4","D",31.753,37.978,36.263,6.242
32.225,40.55,22.251,80,32.712,"Class4","O",46.678,36.896,11.981,7.508
23.321,91.428,65.32,69,81.794,"Class1","M",84.912,33.965,71.786,46.418
76.759,41.375,33.048,68,61.702,"Class2","N",56.64,13.887,77.203,77.972
68.963,59.217,43.355,45,33.025,"Class3","H",46.513,19.963,26.341,47.743
15.826,91.467,79.77,70,83.859,"Class1","B",47.458,69.693,79.643,56.457
30.266,36.824,1.064,91,NA,"Class4","Z",37.095,35.118,10.714,13.553
13.813,58.213,44.123,22,51.201,"Class4","O",28.113,53.08,35.028,5.831
35.435,48.205,29.837,39,29.468,"Class4","C",15.936,35.554,29.762,10.329
67.02,48.956,41.283,74,41.46,"Class3","D",52.385,19.56,25.277,83.856
10.195,72.542,50.211,80,30.689,"Class4","Z",16.932,36.811,32.37,10.027
36.009,21.325,53.197,83,50.832,"Class4","O",22.267,32.407,35.668,10.165
23.21,88.215,70.98,69,NA,"Class1","O",41.646,49.429,87.576,60.423
15.506,91.202,75.855,69,87.073,"Class1","O",71.098,57.127,86.089,64.455
19.683,91.054,87.2,71,87.698,"Class1","D",79.03,55.739,57.902,57.111
1.876,91.776,55.746,70,86.588,"Class1","D",30.641,52.419,66.099,39.907
38.988,21.958,-25.526,50,48.848,"Class4","Z",30.478,35.242,11.613,11.413
77.326,44.787,27.446,55,46.117,"Class2","R",58.701,15.816,91.717,96.383
7.231,92.779,27.486,71,86.717,"Class1","M",36.197,73.461,71.698,54.345
-4.054,91.375,73.049,69,86.392,"Class1","B",47.469,54.384,88.563,47.145
30.561,82.533,42.832,84,36.191,"Class3","H",38.818,22.717,23.631,65.679
13.454,89.935,66.209,70,86.312,"Class1","D",65.221,56.395,83.444,54.109
77.757,43.233,28.541,61,57.356,"Class2","N",88.89,40.481,NA,73.181
16.851,58.301,46.137,69,38.14,"Class3","H",44.632,21.481,22.433,47.298
28.392,60.96,25.963,68,46.462,"Class4","D",49.504,27.578,20.722,15.38
77.487,45.68,35.882,48,46.08,"Class2","N",64.166,15.109,90.541,103.4
50.319,46.836,43.587,55,39.151,"Class3","D",53.962,16.411,25.592,76.321
18.279,16.252,46.931,43,28.049,"Class4","N",32.467,43.046,21.853,8.965
76.606,41.031,37.778,51,18.759,"Class2","L",64.089,26.675,93.639,92.592
77.132,45.607,34.591,46,8.022,"Class2","Y",69.978,14.955,80.767,87.358
51.429,6.253,38.69,81,37.192,"Class4","N",38.961,29.826,16.114,15.572
49.761,78.365,48.422,52,48.618,"Class4","O",12.987,33.344,NA,-1.11
20.33,8.591,28.081,95,49.357,"Class4","Z",48.661,54.838,26.749,5.257
3.516,92.613,89.315,70,87.177,"Class1","M",55.096,46.376,NA,50.509
77.368,43.379,31.085,80,44.129,"Class2","M",63.133,34.597,88.456,78.379
25.553,66.427,13.346,31,NA,"Class4","D",32.331,41.03,16.983,14.112
34.54,38.726,39.189,78,32.034,"Class4","O",40.589,30.476,29.755,8.095
47.399,27.903,43.336,36,39.18,"Class3","D",50.202,16.412,25.555,61.531
48.258,51.07,32.832,23,53.89,"Class4","O",40.034,46.986,35.201,13.417
23.196,50.645,13.459,36,32.681,"Class4","C",40.615,26.471,34.245,11.591
7.355,91.359,58.324,70,NA,"Class1","M",57.361,33.097,87.595,47.339
77.28,46.594,41.205,77,45.519,"Class2","R",72.535,22.043,89.186,78.878
34.787,91.197,65.693,69,87.339,"Class1","D",10.658,48.857,90.309,40.23
24.946,90.346,56.605,71,NA,"Class1","D",11.229,18.847,72.665,37.505
78.186,42.757,37.616,62,57.925,"Class2","M",62.148,16.219,90.643,80.723
17.419,89.124,33.018,71,88.044,"Class1","O",19.345,67.74,75.011,56.923
77.545,45.482,34.321,61,52.335,"Class2","M",69.232,27.263,81.996,83.245
