"RVM1","WRJ2","XBE3","Output19","QPJ4","QET5","BQX6","EZA7","WEP8","RMF9","GZF10","LAG11"
40.801,39,89.327,"Class2",55.781,34.339,"C",35.623,69.732,50.71,71.195,"I"
23.425,48,15.963,"Class1",14.298,66.383,"G",81.093,4.274,98.113,32.598,"B"
97.717,39,89.958,"Class2",60.576,31.653,"C",45.512,40.074,39.887,68.211,"H"
58.568,56,17.324,"Class1",20.789,77.256,"S",82.35,5.281,100.248,49.662,"B"
37.019,49,20.103,"Class1",25.564,81.518,"G",82.664,26.681,96.494,21.342,"X"
47.434,87,22.529,"Class1",46.49,77.648,"P",81.613,7.311,95.16,55.57,"X"
22.222,32,89.705,"Class2",71.925,21.031,"K",NA,29.046,52.526,75.166,"K"
55.634,62,21.351,"Class1",43.118,49.582,"G",82.675,37.436,95.578,28.158,"U"
64.806,57,28.982,"Class1",48.213,80.063,"S",81.872,17.538,99.943,69.073,"L"
112.515,32,89.184,"Class2",70.989,35.808,"T",44.62,74.626,49.086,72.983,"G"
37.491,49,28.831,"Class1",19.348,76.004,"P",81.235,17.283,96.769,63.888,"H"
42.54,72,21.69,"Class1",38.316,72.524,"Q",81.605,25.147,96.822,70.046,"X"
66.865,43,89.234,"Class2",76.485,65.978,"R",45.524,44.077,46.425,NA,"K"
30.241,49,89.503,"Class2",59.234,49.075,"K",39.952,54.837,51.515,67.955,"K"
19.799,66,24.814,"Class1",42.226,84.109,"S",82.914,1.8,98.153,43.017,"H"
56.732,76,18.216,"Class1",12.268,80.679,"Q",81.153,14.392,100.721,0.036,"U"
55.536,77,89.189,"Class2",82.04,23.642,"K",30.316,47.886,38.132,67.781,"H"
20.998,65,89.71,"Class2",56.828,47.84,"I",32.162,80.118,45.719,67.639,"K"
68.523,45,89.754,"Class2",83.034,29.268,"T",35.863,91.189,47.504,87.816,"H"
55.666,74,15.083,"Class1",40.379,53.342,"S",81.737,12.343,100.112,73.539,"X"
39.42,63,89.017,"Class2",64.221,26.613,"T",28.694,86.056,41.476,67.313,"I"
76.783,87,24.428,"Class1",24.512,42.86,"G",82.547,15.35,95.405,42.919,"B"
33.975,89,26.45,"Class1",19.222,76.26,"T",82.267,17.659,97.438,39.895,"H"
49.215,41,89.648,"Class2",85.926,39.908,"R",34.433,28.403,49.43,48.937,"I"
58.656,43,89.085,"Class2",65.72,21.684,"R",43.563,55.156,49.843,64.443,"I"
11.48,71,15.866,"Class1",30.813,95.145,"S",82.409,4.018,97.131,32.772,"X"
53.83,76,27.538,"Class1",48.826,80.669,"Q",81.12,29.841,98.603,15.701,"H"
62.808,67,23.895,"Class1",32.882,65.613,"P",82.029,26.284,97.731,40.214,"B"
57.467,60,89.534,"Class2",58.766,47.172,"K",30.082,34.99,47.456,64.93,"I"
39.876,91,89.116,"Class2",80.079,47.48,"T",25.986,61.383,48.665,70.683,"L"
48.826,38,89.241,"Class2",62.221,46.37,"I",37.151,53.316,55.301,50.347,"K"
59.611,70,26.811,"Class1",23.856,73.331,"S",82.037,2.205,100.131,27.447,"B"
5.064,71,26.488,"Class1",31.186,70.191,"G",81.655,4.207,100.034,56.228,"B"
56.517,39,89.491,"Class2",57.804,30.088,"R",30.712,75.416,44.234,82.038,"G"
44.169,59,25.161,"Class1",24.211,69.744,"T",81.295,13.432,96.927,35.444,"H"
28.359,69,17.159,"Class1",23.121,80.007,"P",82.128,16.837,97.239,43.877,"L"
-8.667,90,89.866,"Class2",71.657,25.714,"I",44.243,27.695,36.903,86.446,"H"
23.814,79,19.939,"Class1",46.448,64.625,"S",82.407,33.888,99.568,42.872,"U"
4.156,60,18.892,"Class1",15.787,90.612,"T",81.086,26.982,98.806,68.209,"L"
68.798,92,28.338,"Class1",24.479,77.274,"G",82.076,28.296,97.767,38.728,"U"
74.208,66,26.386,"Class1",11.434,98.533,"G",82.875,22.685,97.908,47.826,"H"
75.681,65,89.707,"Class2",82.15,12.529,"K",30.735,25.786,49.758,69.403,"K"
28.585,63,89.908,"Class2",76.276,25.382,"C",NA,89.489,39.333,74.699,"L"
55.982,79,89.726,"Class2",57.878,36.449,"K",39.656,73.096,44.677,75.025,"I"
29.443,70,20.543,"Class1",31.113,78.496,"G",82.105,31.428,97.465,45.74,"X"
22.13,65,89.512,"Class2",78.793,46.489,"K",31.586,87.423,43.592,74.384,"H"
62.158,57,28.865,"Class1",11.87,60.033,"P",82.72,22.946,98.72,NA,"U"
43.998,53,17.655,"Class1",52.759,66.501,"Q",81.754,5.512,98.374,38.533,"B"
62.827,87,89.411,"Class2",68.345,13.205,"C",25.895,76.538,50.548,79.175,"K"
32.676,53,89.681,"Class2",64.041,58.769,"I",39.928,42.954,44.441,91.268,"G"
62.47,61,25.948,"Class1",53.771,92.58,"T",82.286,11.049,95.883,26.557,"X"
76.997,76,21.794,"Class1",41.244,71.377,"P",81.774,21.676,98.896,46.794,"U"
72.877,51,89.069,"Class2",73.551,32.757,"R",19.558,39.359,56.646,71.167,"H"
21.31,81,15.027,"Class1",44.172,98.209,"S",82.745,5.274,96.919,15.532,"U"
33.988,22,89.29,"Class2",68.067,24.673,"C",22.41,40.394,37.752,49.716,"K"
71.605,55,89.171,"Class2",58.766,38.027,"C",NA,35.586,46.498,88.417,"K"
24.311,87,20.051,"Class1",18.15,69.096,"Q",82.501,32.3,95.56,39.691,"H"
55.455,55,27.833,"Class1",12.794,76.495,"S",81.293,27.027,97.627,28.218,"U"
24.155,30,89.798,"Class2",70.137,28.627,"T",43.691,46.297,39.036,84.49,"L"
18.635,28,89.691,"Class2",75.918,81.508,"I",18.623,63.639,41.053,76.235,"G"
61.653,27,89.694,"Class2",72.457,13.936,"C",NA,67.516,49.949,64.954,"G"
85.839,26,89.727,"Class2",74.179,47.716,"R",23.997,81.584,48.731,86.204,"L"
76.39,48,27.772,"Class1",25.171,92.486,"Q",81.885,22.309,99.266,-12.039,"B"
33.897,34,89.097,"Class2",67.945,16.202,"T",32.44,72.031,37.971,78.118,"I"
69.34,52,89.094,"Class2",57.067,59.457,"T",18.744,65.768,46.592,62.702,"L"
25.022,21,89.46,"Class2",73.133,18.704,"I",32.826,70.94,46.51,65.001,"K"
53.539,36,89.705,"Class2",61.998,43.757,"T",23.612,92.456,42.037,NA,"K"
50.607,62,19.618,"Class1",30.763,99.656,"P",81.996,27.566,98.151,77.294,"L"
36.108,32,89.573,"Class2",63.903,35.724,"I",23.725,33.721,43.203,81.287,"I"
53.378,49,22.644,"Class1",16.551,85.171,"T",81.4,26.351,97.081,10.044,"H"
41.564,68,89.032,"Class2",82.417,16.861,"I",32.51,90.987,52.256,59.213,"K"
50.417,77,26.432,"Class1",24.023,85.642,"Q",81.139,17.504,100.018,42.907,"H"
47.254,42,89.018,"Class2",58.652,27.01,"R",49.041,36.849,46.728,61.443,"I"
23.153,36,89.087,"Class2",68.72,46.764,"C",23.32,29.127,45.681,76.643,"K"
66.859,20,89.623,"Class2",74.404,38.237,"K",33.122,34.01,46.236,80.436,"L"
68.895,75,89.327,"Class2",85.012,24.45,"I",44.779,61.908,45.409,63.482,"G"
44.259,81,16.911,"Class1",11.298,76.604,"S",82.082,18.478,98.153,26.396,"H"
29.987,69,18.1,"Class1",35.324,91.965,"P",82.23,18.202,96.668,52.709,"U"
80.016,27,89.448,"Class2",78.385,59.83,"T",24.336,53.075,38.127,78.172,"L"
66.794,76,89.758,"Class2",67.309,36.218,"T",45.182,48.957,46.065,59.754,"L"
27.909,48,17.004,"Class1",39.031,67.438,"T",82.391,36.984,97.461,53.203,"X"
37.837,59,19.829,"Class1",16.722,71.384,"S",81.897,25.982,96.682,55.691,"H"
35.273,60,23.88,"Class1",46.063,69.151,"Q",81.367,1.405,98.423,35.187,"U"
41.656,64,89.093,"Class2",63.062,11.791,"I",31.64,91.898,32.681,77.8,"G"
47.59,84,89.85,"Class2",65.299,62.724,"C",33.309,23.768,52.102,68.981,"G"
43.963,51,20.546,"Class1",16.443,75.222,"G",82.179,34.544,97.698,20.62,"H"
38.327,76,89.745,"Class2",78.77,58.33,"C",NA,29.735,45.643,86.551,"L"
17.916,80,89.074,"Class2",64.546,5.582,"C",49.606,43.333,50.223,60.936,"G"
68.189,84,89.753,"Class2",74.94,43.073,"R",40.979,57.06,53.219,70.752,"I"
51.284,23,89.889,"Class2",64.002,52.664,"R",39.945,51.482,44.087,73.353,"I"
64.403,66,15.414,"Class1",32.189,67.998,"P",81.459,2.61,95.473,38.645,"X"
12.951,65,89.509,"Class2",65.969,43.999,"T",44.702,85.695,51.452,100.03,"K"
58.871,86,89.484,"Class2",66.53,30.314,"R",29.831,86.345,43.594,85.576,"L"
53.777,85,20.979,"Class1",50.056,80.062,"G",82.652,18.038,100.725,28.911,"H"
25.348,80,19.497,"Class1",13.319,55.097,"G",81.749,20.693,99.036,57.009,"X"
15.625,59,17.215,"Class1",49.687,75.47,"G",81.253,32.348,99.027,49.19,"H"
83.98,26,89.301,"Class2",73.36,47.472,"T",18.865,79.905,41.035,69.988,"L"
89.685,86,89.278,"Class2",81.743,50.775,"K",21.354,89.543,42.594,82.952,"K"
45.339,77,89.589,"Class2",78.241,59.541,"C",40.024,81.348,48.573,111.737,"I"
34.666,83,89.668,"Class2",58.253,67.737,"C",32.197,67.62,47.213,91.553,"K"
38.288,47,89.111,"Class2",69.142,23.091,"I",20.689,35.32,50.802,108.946,"G"
30.505,27,89.641,"Class2",82.772,73.773,"R",42.55,59.512,51.952,85.426,"H"
55.329,29,89.872,"Class2",70.921,-5.204,"R",21.324,76.088,47.069,57.96,"H"
17.064,69,20.11,"Class1",47.601,81.023,"S",81.995,28.407,96.132,NA,"H"
87.731,51,89.251,"Class2",56.101,18.878,"R",29.689,70.367,40.892,79.936,"I"
55.685,50,27.775,"Class1",50.413,85.762,"S",81.759,7.447,98.01,30.991,"U"
38.099,72,18.393,"Class1",31.405,81.336,"P",81.118,20.7,95.063,40.685,"H"
77.054,80,89.761,"Class2",77.522,34.875,"K",NA,41.839,49.483,71.804,"H"
76.368,72,17.78,"Class1",40.046,76.389,"S",82.613,13,98.121,NA,"U"
52.274,38,89.216,"Class2",83.728,41.384,"K",30.24,51.334,45.736,72.389,"K"
71.42,55,89.736,"Class2",83.292,30.923,"I",26.552,83.199,48.523,65.433,"G"
24.578,85,89.272,"Class2",67.443,44.168,"K",44.538,26.234,52.901,67.042,"L"
34.149,86,18.327,"Class1",44.168,88.044,"Q",81.772,34.382,96.883,72.209,"U"
13.757,38,89.705,"Class2",65.565,51.428,"K",30.214,30.333,47.46,93.709,"G"
37.264,74,22.411,"Class1",32.491,69.01,"S",NA,26.135,99.162,38.777,"B"
54.139,70,89.619,"Class2",76.909,27.32,"K",48.904,23.696,36.811,74.741,"H"
51.48,18,89.767,"Class2",73.197,39.162,"R",41.169,54.329,52.586,113.769,"I"
29.757,64,25.76,"Class1",53.914,63.405,"T",81.072,23.059,98.724,32.466,"X"
77.503,57,89.756,"Class2",78.76,-3.697,"C",NA,27.07,45.262,62.643,"I"
72.646,61,89.188,"Class2",72.342,34.321,"K",18.188,84.318,54.796,68.446,"I"
73.897,71,24.5,"Class1",51.705,74.543,"G",81.164,24.042,99.153,54.882,"L"
63.585,90,23.262,"Class1",24.366,73.8,"S",82.204,5.981,95.926,62.071,"H"
46.664,62,18.853,"Class1",41.702,84.66,"G",81.841,32.038,100.111,NA,"X"
76.68,83,89.432,"Class2",73.023,15.161,"K",50.6,91.721,48.86,87.329,"H"
44.177,61,24.119,"Class1",36.74,66.523,"T",81.817,22.383,97.591,69.405,"X"
46.329,80,20.312,"Class1",35.143,69.217,"G",82.415,32.937,96.973,37.926,"X"
43.428,49,89.698,"Class2",69.787,30.162,"R",NA,30.623,53.596,57.391,"K"
33.666,26,89.325,"Class2",58.365,35.922,"R",38.893,22.189,42.096,90.453,"I"
58.66,33,89.894,"Class2",60.884,24.312,"K",35.048,60.35,41.465,77.857,"G"
57.813,89,24.851,"Class1",46.688,55.186,"S",82.127,11.985,94.806,43.581,"X"
80.866,62,89.657,"Class2",64.465,14.517,"I",39.526,54.212,44.292,58.544,"H"
96.173,82,25.936,"Class1",12.824,46.235,"P",82.329,36.3,99.102,19.807,"X"
61.424,57,26.547,"Class1",38.071,74.913,"G",81.479,1.171,98.619,NA,"U"
98.513,34,89.114,"Class2",56.132,26.152,"T",42.217,34.964,56.863,72.552,"K"
42.106,66,89.596,"Class2",70.528,48.254,"I",48.529,44.226,44.853,76.02,"G"
26.1,86,22.089,"Class1",23.863,98.964,"Q",82.717,9.439,97.563,51.28,"H"
72.812,88,89.545,"Class2",80.451,29.03,"T",46.259,57.727,43.814,98.83,"L"
93.885,61,16.925,"Class1",20.143,69.973,"G",82.723,29.985,97.897,29.683,"H"
49.443,35,89.402,"Class2",64.477,-6.842,"K",47.457,36.423,45.833,83.188,"L"
67.518,66,89.531,"Class2",63.004,48.031,"T",37.406,47.13,47.685,93.214,"L"
71.958,87,89.162,"Class2",57.49,42.892,"T",20.478,67.644,50.768,68.885,"H"
75.901,85,28.729,"Class1",47.561,91.25,"Q",82.073,11.703,98.54,29.878,"H"
65.534,69,89.931,"Class2",81.244,43.097,"R",28.309,52.27,47.114,80.754,"I"
64.518,49,89.489,"Class2",55.978,66.719,"R",40.849,56.099,47.756,79.928,"G"
71.481,85,17.952,"Class1",35.452,52.846,"Q",81.818,36.023,98.021,25.056,"U"
71.582,71,26.282,"Class1",16.372,28.449,"G",81.846,13.739,99.015,73.64,"X"
63.492,74,23.809,"Class1",25.163,63.211,"Q",82.652,23.519,99.385,34.305,"U"
57.289,90,19.542,"Class1",48.847,46.403,"G",81.29,29.98,98.11,64.017,"L"
66.735,30,89.548,"Class2",78.149,32.439,"I",24.25,69.099,43.927,64.603,"H"
-4.21,75,19.117,"Class1",22.426,56.935,"T",82.373,25.479,100.004,42.591,"L"
43.136,53,89.581,"Class2",80.896,48.517,"C",23.588,63.38,39.481,64.67,"I"
52.015,80,22.054,"Class1",37.092,70.131,"S",81.3,10.576,97.324,73.951,"U"
35.598,62,89.628,"Class2",69.655,31.392,"T",29.912,75.502,45.409,74.858,"H"
44.107,60,89.198,"Class2",78.308,21.441,"K",39.828,51.654,41.75,76.549,"K"
66.588,76,16.658,"Class1",27.463,60.626,"P",81.43,16.524,99.664,40.63,"L"
35.161,78,89.854,"Class2",63.858,21.557,"T",39.961,25.94,48.208,76.467,"I"
60.962,24,89.031,"Class2",85.877,60.564,"T",18.529,74.292,45.36,96.25,"K"
43.704,25,89.282,"Class2",82.977,29.012,"K",49.376,41.267,45.631,65.393,"G"
30.896,30,89.802,"Class2",72.474,54.773,"R",45.154,42.068,38.254,NA,"L"
13.559,73,15.872,"Class1",20.211,83.85,"T",82.495,31.489,98.554,41.879,"U"
51.179,88,24.107,"Class1",27.387,76.867,"T",82.472,20.362,98.574,23.994,"B"
82.075,68,24.97,"Class1",45.772,36.692,"T",82.425,37.621,97.915,30.831,"B"
52.475,56,89.334,"Class2",77.949,2.723,"I",49.4,66.646,51.353,NA,"H"
53.664,31,89.963,"Class2",57.753,57.69,"K",44.683,50.886,49.234,76.999,"I"
43.561,18,89.3,"Class2",66.083,18.457,"K",39.427,67.988,42.949,79.803,"H"
57.71,79,89.477,"Class2",57.259,13.107,"R",45.879,88.08,39.683,63.943,"G"
59.616,91,28.963,"Class1",48.013,57.152,"T",82.155,33.774,99.038,49.744,"B"
45.857,66,25.437,"Class1",43.265,73.172,"T",81.424,11.729,101.005,42.707,"B"
64.724,64,25.592,"Class1",50.098,82.121,"S",81.887,17.959,96.202,NA,"L"
68.892,80,89.877,"Class2",61.273,31.941,"C",25,60.785,43.624,88.219,"L"
11.118,88,27.838,"Class1",16.958,78.78,"T",81.263,20.892,100.47,59.342,"B"
73.339,58,89.871,"Class2",62.149,44.853,"I",43.442,71.489,58.039,62.23,"I"
85.513,77,22.483,"Class1",23.803,74.205,"P",82.067,34.017,97.143,NA,"X"
44.431,63,26.242,"Class1",41.351,68.93,"Q",NA,28.411,98.633,78.63,"U"
74.148,76,17.391,"Class1",23.488,80.293,"Q",82.306,37.843,96.948,50.953,"H"
86.71,74,21.162,"Class1",24.14,75.916,"P",81.45,10.415,97.329,5.16,"H"
37.16,80,17.549,"Class1",46.043,50.892,"T",81.532,19.171,98.123,42.398,"X"
83.69,67,23.646,"Class1",37.203,73.816,"Q",82.42,36.754,98.5,64.29,"X"
63.592,92,25.179,"Class1",45.879,95.105,"P",82.516,12.939,97.305,68.012,"X"
34.783,75,21.939,"Class1",31.844,53.829,"Q",81.328,16.374,97.469,40.176,"X"
68.435,46,89.242,"Class2",65.555,13.968,"T",18.281,65.648,37.911,63.668,"I"
59.339,89,28.674,"Class1",25.508,81.749,"S",82.473,19.373,97.908,76.443,"H"
51.944,79,89.235,"Class2",81.687,49.852,"R",27.723,24.178,40.574,62.31,"K"
25.855,54,17.541,"Class1",39.271,81.031,"P",82.648,26.188,97.451,50.459,"X"
35.68,78,20.749,"Class1",11.613,100.381,"T",82.537,6.286,99.265,48.962,"H"
50.193,87,27.988,"Class1",16.272,81.364,"T",81.139,9.342,99.042,60.125,"U"
77.656,87,17.47,"Class1",13.065,62.916,"P",81.58,5.065,98.217,44.565,"L"
47.312,77,21.966,"Class1",36.155,49.47,"T",81.377,35.944,100.053,49.763,"L"
47.514,53,89.21,"Class2",65.244,19.161,"R",34.798,31.487,50.793,61.506,"G"
56.944,62,21.864,"Class1",24.184,67.409,"S",81.368,3.192,97.146,26.718,"L"
49.912,82,89.98,"Class2",55.891,39.473,"R",50.982,88.181,47.359,49.662,"L"
53.292,77,25.742,"Class1",22.834,68.433,"P",81.85,29.904,97.728,NA,"U"
39.584,81,26.936,"Class1",50.272,73.296,"P",82.213,13.055,98.042,33.062,"H"
30.018,83,26.014,"Class1",54.914,61.874,"S",82.113,5.436,97.939,55.999,"X"
46.326,74,89.598,"Class2",69.234,57.956,"T",NA,80.596,49.529,87.039,"I"
88.366,84,89.447,"Class2",76.177,20.441,"T",30.128,43.644,48.811,78.963,"I"
47.125,44,89.238,"Class2",58.553,29.428,"C",42.53,38.183,43.49,85.623,"L"
41.059,63,17.565,"Class1",23.959,58.044,"S",81.393,17.778,97.246,47.569,"X"
52.399,84,15.94,"Class1",50.463,84.123,"G",82.191,10.036,98.003,30.059,"B"
1.702,88,23.839,"Class1",20.018,91.483,"P",81.193,3.109,97.56,32.764,"U"
34.772,44,89.715,"Class2",80.256,33.641,"C",45.604,68.179,43.56,74.157,"K"
37.261,74,89.261,"Class2",62.598,-0.118,"I",40.449,56.2,45.996,65.264,"G"
81.086,81,89.318,"Class2",71.813,33.961,"I",27.98,51.747,44.24,70.581,"K"
63.035,58,89.016,"Class2",79.219,45.375,"I",19.759,78.808,43.149,50.823,"G"
49.449,48,25.536,"Class1",36.559,70.447,"T",82.206,10.503,100.591,6.009,"U"
54.048,79,22.595,"Class1",51.074,86.197,"G",81.266,4.758,99.252,38.699,"B"
8.959,43,89.732,"Class2",72.283,28.164,"C",41.57,47.328,48.74,71.666,"I"
52.407,89,20.569,"Class1",44.626,74.133,"S",82.701,1.839,95.961,38.369,"H"
62.112,52,89.827,"Class2",85.33,37.762,"C",29.259,87.683,45.362,83.432,"L"
-6.57,18,89.654,"Class2",69.366,20.862,"K",32.49,32.075,50.265,79.263,"I"
83.154,83,89.328,"Class2",55.288,40.314,"C",46.468,27.031,43.438,93.55,"K"
60.809,44,89.633,"Class2",68.376,14.129,"K",23.861,47.479,44.564,92.026,"K"
27.152,62,19.057,"Class1",12.214,78.96,"S",81.999,24.497,96.511,44.815,"H"
10.071,74,89.941,"Class2",85.113,7.006,"R",29.718,92.781,39.976,62.606,"H"
13.413,72,28.579,"Class1",25.442,100.8,"P",82.729,13.809,96.035,53.164,"X"
85.47,87,20.671,"Class1",26.912,49.272,"Q",82.73,3.54,99.471,35.02,"U"
43.112,24,89.684,"Class2",58.298,26.473,"K",26.99,21.855,47.947,77.974,"G"
72.385,39,89.255,"Class2",58.155,32.457,"I",40.832,32.444,44.197,77.734,"L"
60.001,56,24.547,"Class1",29.497,73.186,"S",81.871,3.133,100.674,53.744,"L"
56.196,65,17.748,"Class1",41.314,79.275,"Q",81.113,12.873,97.895,49.411,"L"
46.643,75,89.285,"Class2",80.083,14.748,"I",20.481,40.239,51.246,85.786,"L"
87.497,69,26.234,"Class1",48.444,92.54,"S",82.177,17.925,98.282,69.243,"X"
60.939,62,16.817,"Class1",38.316,61.004,"Q",82.89,11.544,99.153,45.634,"U"
42.741,61,89.215,"Class2",71.415,41.573,"K",23.621,47.806,46.304,74.191,"H"
10.599,39,89.443,"Class2",80.754,24.455,"R",23.607,30.39,41.345,67.191,"K"
39.004,50,89.203,"Class2",59.497,27.295,"I",37.829,21.322,52.844,61.793,"L"
10.481,81,25.415,"Class1",31.138,96.305,"P",81.634,14.781,99.672,45.099,"U"
45.869,21,89.052,"Class2",67.806,36.744,"T",48.734,68.988,50.636,75.466,"K"
78,90,19.712,"Class1",19.631,74.808,"G",81.761,14.882,100.983,34.732,"U"
68.211,53,89.355,"Class2",55.954,53.374,"T",44.693,28.182,45.97,85.212,"I"
38.786,45,89.901,"Class2",81.044,41.545,"I",36.204,83.299,45.795,71.421,"K"
51.062,89,18.797,"Class1",12.046,80.631,"S",82.325,26.096,98.088,70.616,"H"
42.18,69,20.56,"Class1",28.207,82.666,"T",81.996,1.831,98.815,66.019,"H"
58.664,76,89.864,"Class2",76.182,53.814,"R",28.939,31.074,43.714,87.227,"H"
67.822,70,15.096,"Class1",20.93,91.024,"T",81.123,37.904,97.877,67.461,"L"
68.993,70,89.76,"Class2",71.585,34.702,"R",36.827,67.818,41.601,79.615,"G"
71.926,41,89.86,"Class2",69.931,-1.9,"I",35.531,46.843,50.358,NA,"G"
36.535,59,89.78,"Class2",74.133,32.969,"T",48.708,93.609,49.697,57.07,"K"
57.068,32,89.829,"Class2",78.249,26.121,"C",20.595,40.402,43.984,79.256,"L"
47.739,70,89.087,"Class2",65.012,58.735,"K",32.51,84.54,43.976,78.554,"G"
50.541,74,89.373,"Class2",55.201,65.662,"I",40.731,32.561,53.847,79.811,"K"
28.558,48,23.03,"Class1",33.361,99.567,"S",81.559,9.788,96.754,44.123,"H"
37.741,53,17.628,"Class1",30.454,52.71,"G",81.2,26.877,97.791,61.537,"B"
15.196,66,89.734,"Class2",61.684,11.747,"T",25.523,43.415,56.715,40.903,"H"
10.373,48,15.039,"Class1",32.653,78.326,"S",81.753,7.789,95.239,58.228,"U"
49.051,82,20.642,"Class1",11.915,92.792,"S",81.688,5.686,98.819,50.026,"B"
41.163,69,21.928,"Class1",37.517,65.488,"S",81.215,19.457,96.728,21.989,"H"
46.892,62,16.778,"Class1",16.446,92.287,"Q",81.217,2.9,98.385,38.517,"U"
12.466,40,89.36,"Class2",77.451,27.339,"C",31.124,79.782,41.415,76.379,"I"
45.349,83,89.459,"Class2",69.73,26.268,"R",18.105,26.324,41.855,65.526,"H"
33.865,69,17.856,"Class1",22.33,96.602,"S",81.394,2.423,96.885,16.692,"B"
65.948,60,89.372,"Class2",59.145,53.447,"C",32.243,74.996,55.668,66.187,"G"
18.892,86,89.077,"Class2",79.697,28.99,"T",27.871,89.109,39.415,73.136,"K"
17.747,72,22.037,"Class1",49.441,47.15,"S",NA,22.618,96.452,62.562,"U"
71.568,74,20.489,"Class1",14.995,66.737,"P",82.765,19.236,97.414,NA,"U"
52.057,72,25.135,"Class1",10.968,73.615,"P",81.251,25.995,95.59,15.901,"H"
26.41,55,89.689,"Class2",64.373,50.724,"R",35.49,23.518,43.144,47.625,"G"
27.096,48,22.325,"Class1",11.156,82.419,"P",82.319,26.673,97.707,46.072,"U"
45.021,52,21.145,"Class1",15.969,84.757,"Q",82.025,18.082,99.477,32.238,"H"
75.427,81,89.008,"Class2",56.536,20.558,"R",22.871,23.847,49.208,79.134,"I"
18.418,68,18.504,"Class1",50.749,39.655,"T",82.907,27.681,100.588,68.344,"L"
64.304,51,27.022,"Class1",22.957,74.961,"Q",82.28,15.157,98.02,40.455,"H"
52.132,49,89.206,"Class2",76.925,-18.344,"T",40.765,88.313,49.212,70.394,"I"
23.65,79,19.737,"Class1",16.677,87.334,"P",82.051,31.397,98.028,NA,"B"
42.359,73,89.515,"Class2",82.701,30.22,"K",50.749,47.511,46.954,66.409,"K"
55.116,46,89.999,"Class2",75.958,36.556,"R",42.885,89.775,42.913,76.436,"H"
52.788,70,23.069,"Class1",41.238,98.147,"T",81.712,31.719,96.377,35.663,"X"
68.323,77,89.978,"Class2",76.336,21.387,"K",47.27,64.23,47.078,50.305,"I"
76.937,80,24.616,"Class1",11.03,67.458,"P",81.065,25.846,95.467,55.531,"L"
57.348,70,15.919,"Class1",29.758,75.794,"P",81.862,35.561,97.807,41.92,"X"
22.922,58,89.267,"Class2",59.202,50.199,"R",20.288,26.36,51.557,58.589,"I"
33.688,56,20.125,"Class1",20.617,63.37,"G",82.162,15.533,97.259,46.548,"H"
47.429,19,89.814,"Class2",71.965,30.386,"C",27.923,58.921,38.162,66.954,"H"
19.466,78,28.874,"Class1",17.458,78.157,"S",82.382,23.307,95.597,47.558,"H"
44.144,90,28.328,"Class1",35.878,71.122,"T",82.486,33.077,97.473,79.449,"H"
58.19,48,24.117,"Class1",20.761,92.69,"S",82.546,32.635,97.475,28.75,"U"
