"BVS1","XTI2","XHW3","Output11","WVJ4","XOA5","YHF6","RJF7","MQK8","XUZ9","ZRW10"
62.862,93.183,24,"Class2",36.657,92.276,16.609,35.752,46.71,"V",39
32.725,59.014,5,"Class1",63.465,33.146,17.442,80.69,23.681,"J",12
62.861,65.289,16,"Class2",26.685,75.511,52.867,22.302,49.934,"Z",8
31.257,45.616,6,"Class1",79.809,25.806,9.429,55.604,25.889,"D",13
44.99,51.232,11,"Class1",40.886,29.072,21.599,89.662,29.94,"A",11
39.409,67.276,17,"Class1",58.483,22.353,17.411,83.532,30.657,"N",21
62.52,59.038,19,"Class2",37.216,39.829,17.707,33.087,55.51,"Z",39
47.475,40.967,12,"Class1",31.06,48.006,45.585,80.005,29.124,"N",14
43.52,65.965,12,"Class1",62.041,60.438,33.792,90.372,18.356,"J",17
17.548,47.855,28,"Class1",47.708,48.679,19.686,79.613,18.13,"A",10
31.568,53.577,5,"Class1",54.52,21.216,20.288,84.452,34.862,"A",10
26.383,56.273,21,"Class1",27.44,29.108,41.779,79.529,30.163,"D",11
63.833,NA,28,"Class2",43.143,66.364,4.906,23.475,56.014,"Z",43
63.754,73.637,24,"Class2",25.253,85.174,14.769,11.896,57.944,"F",54
63.351,48.329,25,"Class2",51.062,76.009,36.605,41.93,49.856,"J",11
63.14,82.089,19,"Class2",36.535,113.627,38.521,47.011,50.746,"V",13
63.378,86.467,28,"Class2",57.579,66.972,36.298,39.323,57.006,"J",32
63.425,64.62,14,"Class2",38.647,82.509,4.497,33.462,42.072,"Z",56
63.47,98.417,22,"Class2",52.076,54.135,55.06,45.864,52.471,"V",29
62.253,98.645,16,"Class2",56.675,91.348,55.683,71.994,57.496,"Z",37
62.772,52.773,13,"Class2",52.676,79.879,39.218,21.559,62.347,"K",18
35.163,57.747,13,"Class1",26.629,23.13,8.544,86.686,29.451,"N",25
63.401,79.846,18,"Class2",61.901,92.511,47.705,28.787,52.408,"Z",41
62.986,97.034,15,"Class2",46.301,49.765,13.1,30.404,50.952,"K",32
62.484,53.048,17,"Class2",35.614,81.041,16.053,17.097,57.047,"F",13
29.951,62.689,23,"Class1",56.774,25.312,32.917,84.535,34.528,"N",20
36.509,56.6,28,"Class1",75.334,28.695,17.328,89.415,33.025,"D",13
62.537,62.684,14,"Class2",57.125,75.641,22.523,34.813,46.673,"K",57
63.847,49.236,15,"Class2",43.494,82.118,50.351,23.501,51.829,"J",21
63.514,82.651,23,"Class2",36.156,83.248,18.952,52.952,48.526,"Z",56
63.606,62.755,25,"Class2",37.326,48.387,25.962,23.081,53.731,"Z",57
28.609,40.203,16,"Class1",52.624,18.438,25.728,89.666,21.698,"J",13
64.259,75.435,19,"Class2",60.432,69.617,45.829,39.354,42.347,"V",44
27.541,51.907,24,"Class1",31.103,13.094,11.393,82.487,33.34,"J",18
63.445,67.736,23,"Class2",42.835,65.367,55.462,49.989,42.992,"Z",13
62.168,76.457,17,"Class2",NA,72.542,22.37,34.054,44.189,"V",50
29.581,45.314,6,"Class1",51.976,23.575,12.128,75.394,20.623,"D",25
44.021,38.709,18,"Class1",39.739,31.217,4.745,83.059,25.615,"N",15
63.242,48.437,26,"Class2",61.337,80.798,58.604,14.73,42.2,"J",23
29.078,37.862,14,"Class1",41.208,21.601,31.623,89.812,22.32,"J",15
32.406,64.239,12,"Class1",66.661,24.935,33.679,79.628,28.179,"D",14
27.897,43.881,17,"Class1",106.584,38.031,19.292,76.382,28.296,"J",17
63.432,NA,27,"Class2",53.915,81.478,47.446,37.556,53.711,"K",37
62.986,58.643,23,"Class2",59.352,54.556,36.95,-6.548,48.701,"Z",53
38.015,40.127,26,"Class1",86.407,14.175,6.01,64.212,33.016,"J",13
37.961,55.294,30,"Class1",57.08,20.838,42.252,69.455,30.741,"N",22
28.085,50.651,31,"Class1",54.377,25.994,7.778,64.142,19.179,"A",25
63.555,96.103,16,"Class2",56.255,114.053,13.593,37.724,44.749,"J",51
63.93,65.295,16,"Class2",60.205,98.253,58.841,15.807,57.792,"K",52
23.507,44.098,24,"Class1",44.49,31.93,38.383,61.393,30.426,"N",9
62.921,63.388,14,"Class2",51.862,66.955,64.415,44.861,60.242,"J",56
62.142,49.137,14,"Class2",54.693,60.716,24.504,19.884,52.244,"Z",52
62.395,56.148,20,"Class2",NA,91.803,53.298,38.211,63.716,"Z",40
48.73,42.036,16,"Class1",71.952,39.07,4.678,74.426,15.591,"D",15
63.344,67.222,27,"Class2",46.526,96.73,12.805,20.668,46.171,"K",54
63.351,69.987,20,"Class2",65.394,69.537,36.832,47.223,53.952,"J",36
63.753,62.374,18,"Class2",45.15,86.747,69.14,36.267,60.546,"J",45
21.306,44.191,22,"Class1",80.314,25.813,22.64,88.717,16.078,"D",13
63.094,78.064,15,"Class2",33.4,58.567,65.373,29.152,56.489,"V",29
40.182,60.051,31,"Class1",44.918,37.474,30.446,89.809,21.355,"D",25
63.038,58.997,22,"Class2",26.28,94.528,36.632,18.246,63.233,"Z",50
21.791,40.098,12,"Class1",67.243,37.518,44.179,73.079,34.562,"N",12
26.934,NA,23,"Class1",37.528,39.008,45.1,91.267,15.621,"D",15
63.976,62.347,24,"Class2",53.277,87.975,61.521,23.648,64.919,"K",40
25.076,61.856,9,"Class1",49.692,27.095,26.146,73.977,33.689,"A",15
40.099,48.18,30,"Class1",55.006,31.703,30.756,77.953,30.337,"A",10
29.909,52.007,15,"Class1",39.605,47.089,21.306,80.804,25.571,"J",14
23.131,37.649,24,"Class1",53.075,30.975,33.392,90.701,30.142,"A",14
42.551,50.705,8,"Class1",84.356,39.379,6.072,81.784,15.335,"N",12
62.63,95.14,28,"Class2",36.682,65.064,38.512,66.471,47.674,"K",45
44.687,65.312,30,"Class1",66.904,26.888,17.517,95.933,34.991,"D",23
41.699,NA,29,"Class1",76.048,62.557,11.691,79.058,20.837,"D",11
46.492,65.311,10,"Class1",70.42,23.004,35.695,75.771,19.271,"O",20
31.469,56.687,12,"Class1",37.117,19.574,45.966,82.989,34.554,"D",21
39.287,48.289,31,"Class1",50.155,38.384,7.03,75.818,25.117,"D",17
32.895,60.595,23,"Class1",64.458,30.602,17.044,90.334,23.599,"N",24
34.356,55.053,13,"Class1",71.618,18.514,3.453,71.259,27.35,"O",10
62.656,66.219,28,"Class2",36.153,70.492,34.133,29.022,52.374,"J",36
33.465,65.262,14,"Class1",53.33,22.768,27.769,74.316,33.744,"N",25
62.123,97.343,25,"Class2",36.214,75.754,32.232,52.487,50.232,"F",13
63.517,93.422,26,"Class2",39.157,67.405,18.265,35.249,53.519,"V",57
63.547,94.966,25,"Class2",60.572,72.354,42.603,37.487,45.205,"Z",11
45.796,62.979,23,"Class1",48.622,17.962,11.566,79.504,16.792,"J",24
27.432,54.687,24,"Class1",43.649,47.876,31.779,86.024,24.148,"A",18
61.719,72.837,14,"Class2",44.855,83.301,35.076,40.944,46.99,"Z",18
62.675,NA,11,"Class2",48.014,112.324,44.267,40.048,48.234,"F",10
63.187,92.183,13,"Class2",46.099,95.178,45.401,56.58,44.992,"Z",39
24.19,49.823,18,"Class1",77.526,40.455,32.078,69.858,21.611,"J",13
45.872,40.911,29,"Class1",41.554,39.663,25.733,67.622,23,"D",18
62.387,82.959,26,"Class2",62.622,85.04,42.612,29.401,49.49,"V",26
63.369,89.003,22,"Class2",29.913,95.757,12.789,38.322,47.249,"F",48
24.801,54.107,22,"Class1",58.007,28.849,30.111,89.845,16.455,"A",24
63.586,54.186,26,"Class2",39.648,73.425,8.839,27.702,64.344,"V",43
62.451,87.951,12,"Class2",45.201,73.009,36.885,38.835,56.674,"F",17
32.656,53.599,27,"Class1",41.783,26.882,9.082,83.707,31.308,"A",25
63.261,79.257,15,"Class2",47.392,79.405,11.142,59.262,49.33,"K",39
63.962,93.244,14,"Class2",53.45,78.593,7.142,17.676,43.054,"J",26
32.071,NA,22,"Class1",43.412,27.109,5.809,87.355,20.284,"O",16
64.246,75.688,16,"Class2",46.085,65.174,57.057,26.161,60.037,"V",48
47.588,38.495,29,"Class1",72.139,33.106,35.187,86.247,33.68,"O",11
63.098,93.98,11,"Class2",47.214,75.049,12.17,31.448,59.984,"Z",51
40.938,37.913,18,"Class1",88.12,15.302,31.126,98.567,30.37,"O",12
39.628,44.058,30,"Class1",44.449,31.69,29.619,102.371,25.13,"A",11
24.223,48.779,22,"Class1",68.672,22.593,13.403,67.625,26.935,"J",18
31.144,59.549,5,"Class1",80.426,38.159,8.748,79.379,30.649,"D",18
26.849,65.076,29,"Class1",42.892,10.263,28.425,74.388,22.822,"A",14
62.545,94.68,12,"Class2",41.544,89.275,37.72,37.151,44.082,"K",10
38.505,58.491,22,"Class1",74.123,28.803,10.741,84.521,25.115,"O",11
64.226,59.46,15,"Class2",40.178,78.416,71.135,16.551,47.94,"K",28
62.215,80.378,14,"Class2",60.266,67.498,65.055,52.206,61.365,"V",12
61.982,83.469,16,"Class2",59.16,84.727,62.373,44.79,50.299,"K",54
64.586,91.149,14,"Class2",30.997,81.55,19.42,30.804,57.156,"V",47
31.862,63.697,5,"Class1",38.706,23.516,6.508,89.087,31.419,"A",10
62.798,47.033,12,"Class2",39.363,46.409,38.508,32.193,47.644,"V",13
62.371,54.112,17,"Class2",31.402,94.665,66.49,79.42,51.556,"V",17
41.388,51.397,25,"Class1",69.811,35.314,21.317,89.056,24.178,"A",9
62.784,79.661,26,"Class2",43.242,53.511,33.755,36.204,60.006,"F",44
62.119,48.706,20,"Class2",49.959,73.6,14.859,36.481,45.187,"K",26
46.531,61.261,11,"Class1",93.778,23.146,11.969,65.301,27.69,"A",25
32.902,44.314,29,"Class1",74.855,24.698,41.941,92.259,30.813,"J",17
27.292,NA,27,"Class1",62.023,23.967,13.523,69.988,30.417,"A",15
49.954,55.347,25,"Class1",51.648,20.605,34.224,79.951,29.603,"D",11
38.974,52.806,12,"Class1",61.838,28.155,12.222,82.334,23.545,"O",19
64.102,86.449,27,"Class2",61.152,58.498,55.613,33.704,44.14,"Z",16
62.078,87.272,11,"Class2",14.007,69.683,39.889,26.353,61.137,"K",33
62.721,88.698,24,"Class2",53.598,54.261,53.123,32.236,59.348,"K",57
46.342,39.042,13,"Class1",40.577,57.374,2.265,79.904,27.795,"O",14
32.4,50.281,14,"Class1",NA,28.387,39.966,78.825,30.07,"A",12
62.706,95.451,23,"Class2",56.252,90.862,36.889,32.581,63.526,"F",37
29.93,56.087,20,"Class1",57.578,23.911,26.974,75.757,26.186,"N",12
63.848,76.777,23,"Class2",48.443,71.751,65.543,28.463,63.677,"F",55
61.934,67.625,13,"Class2",61.7,98.768,40.003,26.363,50.007,"V",15
62.711,84.647,19,"Class2",48.237,76.779,40.215,29.496,64.495,"K",42
31.827,65.928,12,"Class1",55.947,27.698,36.081,97.186,20.672,"N",19
41.109,51.132,5,"Class1",49.258,54.022,45.298,86.253,24.126,"N",17
64.05,52.571,13,"Class2",NA,61.724,62.313,15.108,54.13,"K",24
26.2,55.683,10,"Class1",55.406,32.504,36.204,67.541,15.629,"N",12
62.977,NA,21,"Class2",47.226,78.924,23.999,43.418,54.148,"K",18
31.267,41.573,28,"Class1",66.422,40.71,12.35,80.879,21.746,"J",22
61.789,53.507,12,"Class2",57.05,83.024,52.284,38.573,42.344,"V",16
62.923,67.69,24,"Class2",55.045,39.072,7.543,12.216,56.153,"F",55
62.531,48.943,15,"Class2",51.164,94.547,47.092,37.671,53.076,"J",57
48.302,37.396,10,"Class1",62.584,40.668,15.26,84.809,16.951,"N",22
9.762,64.691,27,"Class1",44.222,55.99,27.199,75.528,33.566,"J",15
