"UZX1","AFT2","TRB3","QCZ4","Output14","YGC5","MQV6","LYM7","RIK8","IKQ9","NLX10","FJL11"
63.674,"E",6,43.247,"Class2",6.011,75.517,39.974,43.33,83.647,43.132,70
72.91,"Z",40,50.501,"Class1",46.185,62.996,63.967,32.315,79.54,112.067,66
42.788,"W",44,83.842,"Class3",49.229,73.145,25.149,64.625,29.074,78.394,62
56.826,"O",53,79.139,"Class2",24.206,63.508,40.83,64.412,59.774,34.69,70
27.376,"W",57,67.724,"Class3",23.611,66.135,5.869,64.216,31.213,85.823,61
13.311,"G",36,49.094,"Class1",43.84,69.003,63.476,35.596,69.463,19.996,56
71.178,"E",33,7.714,"Class2",31.843,57.16,41.975,65.288,64.439,39.444,47
11.627,"Z",32,52.658,"Class1",41.612,73.411,64.336,35.154,69.84,48.877,62
10.473,"J",64,44.742,"Class1",41.838,58.29,62.073,28.715,73.988,50.388,55
59.012,"J",38,70.16,"Class1",44.453,60.586,63.95,45.228,73.986,18.063,51
44.687,"W",79,89.149,"Class3",44.792,71.414,61.437,71.363,45.433,79.874,62
27.651,"H",55,71.901,"Class3",51.436,71.643,24.163,63.889,52.653,87.897,65
58.997,"H",75,83.523,"Class3",23.219,71.776,13.277,67.652,24.542,81.025,65
40.122,"H",56,73.307,"Class3",34.704,66.956,2.728,71.529,18.804,75.672,59
85.527,"C",26,28.099,"Class2",38.151,51.747,40.516,52.344,85.953,42.045,56
63.771,"G",34,76.707,"Class1",46.496,54.625,65.785,33.047,71.641,90.327,57
69.513,"E",27,62.554,"Class2",-6.824,51.968,41.948,59.34,58.434,41.606,32
28.679,"Y",52,90.097,"Class3",39.993,77.534,33.238,74.01,16.786,87.997,59
40.151,"Z",70,52.87,"Class1",43.221,47.863,64.324,46.786,74.798,40.036,55
23.349,"L",15,83.156,"Class1",41.472,56.99,67.25,31.373,74.469,53.706,64
64.044,"O",72,66.372,"Class2",9.635,89.028,40.738,74.765,91.779,39.83,49
51.858,"E",32,40.031,"Class1",40.861,73.789,60.418,34.994,77.445,57.622,52
75.114,"Q",6,65.198,"Class2",22.881,54.913,40.292,47.591,85.424,36.891,52
32.235,"U",57,85.343,"Class3",57.649,68.308,2.569,55.221,20.388,81.11,68
92.15,"C",55,17.357,"Class2",52.87,87.112,40.735,65.802,87.519,29.853,28
46.582,"E",74,45.218,"Class1",40.844,56.61,66.149,37.39,77.252,54.228,62
56.512,"Q",6,76.943,"Class2",42.667,67.618,40.285,74.805,75.102,42.148,35
36.577,"W",70,67.561,"Class3",64.507,77.354,41.311,55.601,28.11,77.961,70
70.844,"L",16,52.441,"Class1",41.35,50.883,58.01,43.373,75.182,40.458,53
40.881,"V",61,83.092,"Class3",NA,64.633,83.103,74.3,26.385,82.48,66
84.808,"E",57,18.468,"Class2",29.013,54.625,40.647,59.269,65.771,39.228,61
49.28,"E",41,48.224,"Class1",43.507,51.853,60.936,31.147,84.875,91.997,57
70.564,"E",41,55.794,"Class1",42.356,42.878,60.461,40.401,69.564,62.041,58
24.364,"H",71,79.609,"Class3",38.021,65.926,70.997,55.085,52.237,79.93,65
48.064,"J",73,73.405,"Class1",39.962,54.147,62.128,29.54,85.809,60.085,55
71.232,"C",47,31.416,"Class2",43.457,70.707,41.332,47.793,68.432,42.323,66
31.42,"Y",48,72.017,"Class3",39.596,66.193,63.036,66.035,54.474,91.167,60
27.184,"J",38,48.629,"Class1",37.948,61.766,56.887,38.995,85.638,27.763,53
89.747,"C",40,3.365,"Class2",38.023,62.03,41.793,51.51,52.443,41.839,68
37.229,"Y",53,79.169,"Class3",51.161,70.993,47.091,61.802,42.47,68.192,59
29.441,"E",44,81.233,"Class1",41.313,64.608,65.063,41.538,81.862,54.176,57
26.267,"L",26,50.446,"Class1",39.641,65.118,59.834,28.95,82.604,42.55,60
25.159,"Z",67,62.651,"Class1",NA,41.196,63.959,39.057,76.478,45.384,52
79.389,"J",24,45.383,"Class1",NA,44.025,65.991,41.083,80.813,76.696,66
58.408,"B",30,61.007,"Class2",26.011,88.348,41.058,72.746,79.26,43.668,59
43.863,"L",35,36.522,"Class1",40.626,49.501,63.514,46.438,74.815,101.863,58
47.076,"H",76,79.491,"Class3",20.977,68.506,74.235,67.705,27.977,89.747,65
37.35,"G",38,52.648,"Class1",41.394,61.683,56.739,39.957,68.784,11.715,59
37.157,"U",73,86.841,"Class3",47.548,67.467,39.555,68.096,25.344,78.907,68
38.214,"W",73,74.389,"Class3",36.595,71.578,7.612,58.007,19.501,76.254,70
27.237,"G",23,38.415,"Class1",43.964,68.648,62.282,45.503,73.173,29.672,55
33.073,"G",35,67.784,"Class1",42.807,53.949,64.281,44.623,73.522,31.801,56
86.741,"Z",19,79.557,"Class1",43.309,63.949,62.411,29.107,74.959,31.887,52
4.154,"Z",16,55.742,"Class1",45.442,74.996,62.897,28.65,82.839,45.839,63
84.873,"O",65,70.234,"Class2",49.185,85.199,40.59,51.131,95.366,40.281,62
52.308,"Q",56,33.684,"Class2",2.291,62.603,40.891,41.867,77.535,40.727,59
62.788,"Q",57,93.529,"Class2",71.523,57.533,41.162,43.343,80.64,40.211,59
20.681,"V",50,80.77,"Class3",26.517,74.663,44.811,68.652,42.463,74.268,71
45.941,"W",67,91.475,"Class3",44.629,74.432,41.609,71.519,16.586,78.644,64
72.24,"Q",63,24.279,"Class2",35.802,72.403,40.687,63.935,75.703,41.022,59
66.687,"E",7,80.075,"Class2",13.557,90.063,41.041,73.647,85.889,39.048,47
71.188,"Q",30,60.349,"Class2",31.795,64.175,40.281,40.132,68.41,40.907,46
18.05,"Z",60,41.176,"Class1",42.459,56.891,67.645,44.476,79.754,34.688,59
63.154,"C",63,4.859,"Class2",23.979,68.167,41.134,49.357,83.433,37.554,59
47.511,"J",60,66.221,"Class1",NA,68.555,65.654,34.97,70.812,71.322,62
43.633,"C",74,91.997,"Class2",52.097,72.645,40.392,49.947,56.08,40.042,46
58.706,"G",67,41.253,"Class1",39.927,45.278,58.574,30.613,69.465,47.785,59
47.802,"L",54,62.891,"Class1",42.721,56.971,66.449,30.673,85.258,61.432,53
39.227,"J",69,37.44,"Class1",42.03,49.345,64.944,28.98,69.07,88.755,54
27.021,"U",57,67.992,"Class3",39.792,65.91,43.901,72.315,51.844,85.31,59
30.49,"W",76,72.085,"Class3",44.346,65.921,63.288,63.431,28.473,82.553,67
51.521,"O",7,83.32,"Class2",47.442,60.88,40.063,43.531,91.024,33.854,56
67.25,"L",75,44.932,"Class1",42.916,65.048,62.487,30.764,87.654,48.722,58
35.319,"U",76,81.889,"Class3",6.776,66.174,14.158,74.75,54.987,84.137,71
26.472,"C",11,74.905,"Class2",41.399,65.872,42,61.603,82.492,36.226,49
73.643,"Q",61,12.585,"Class2",41.403,65.181,40.298,53.776,59.772,39.028,61
-4.139,"L",46,45.9,"Class1",42.934,44.659,64.957,33.453,68.569,59.755,66
22.225,"U",68,70.638,"Class3",42.653,74.378,48.563,67.783,17.864,72.14,62
74.069,"O",51,45.251,"Class2",51.688,67.851,40.025,52.175,92.661,35.609,49
33.82,"C",16,4.801,"Class2",24.303,86.784,41.607,53.688,84.143,44.885,66
26.522,"Y",80,91.819,"Class3",39.257,69.705,99.397,56.554,56.41,75.735,59
67.172,"B",11,47.381,"Class2",33.054,51.288,41.283,54.148,73.099,42.324,30
38.36,"V",52,77.918,"Class3",48.7,66.037,86.869,63.147,52.955,88.246,68
56.21,"Q",37,15.816,"Class2",12.388,80.301,41.232,51.466,74.671,39.691,38
79.562,"O",22,2.371,"Class2",5.789,52.511,40.221,46.839,67.62,37.231,50
58.607,"Z",76,61.676,"Class1",45.608,53.929,63.481,38.907,75.028,91.792,64
21.535,"E",3,61.199,"Class2",30.09,71.058,41.242,68.372,87.959,41.178,68
33.366,"V",59,72.954,"Class3",10.847,70.427,64.744,73.021,37.241,87.787,61
43.618,"G",33,59.725,"Class1",43.416,69.126,66.482,36.325,77.395,44.977,63
70.562,"Q",74,43.249,"Class2",58.67,82.772,41.093,60.972,86.614,35.935,58
NA,"H",63,85.051,"Class3",43.458,66.768,68.226,64.054,42.012,73.067,71
17.984,"Y",71,69.065,"Class3",41.102,71.077,71.284,60.016,52.641,77.731,69
37.225,"V",44,83.476,"Class3",51.695,68.057,44.851,73.716,18.551,89.106,59
29.213,"W",46,89.32,"Class3",39.905,69.078,48.603,72.519,51.79,87.384,64
68.464,"C",40,61.669,"Class2",27.153,89.919,40.929,65.018,69.66,43.095,56
32.942,"U",81,71.606,"Class3",34.031,69.988,51.995,74.153,35.187,95.268,71
44.242,"H",81,79.089,"Class3",28.597,77.673,16.387,66.539,51.394,83.196,68
36.544,"W",56,90.837,"Class3",48.693,72.313,35.378,72.009,51.626,79.551,68
NA,"E",76,57.367,"Class1",50.15,66.169,64.405,45.375,68.181,62.794,60
54.081,"E",15,65.411,"Class1",41.602,54.474,64.613,27.887,81.875,14.558,64
66.21,"C",71,81.447,"Class2",10.384,79.594,41.306,71.842,71.512,36.013,52
16.412,"J",34,47.661,"Class1",38.532,57.51,62.51,33.339,77.713,37.553,56
39.271,"G",36,72.544,"Class1",35.216,48.458,60.554,43.264,82.884,46.692,65
40.203,"L",75,74.873,"Class1",44.965,42.029,63.44,40.969,85.28,49.094,64
61.669,"E",72,69.129,"Class1",44.4,46.326,63.99,46.083,70.455,0.017,64
84.729,"J",74,79.786,"Class1",42.714,63.374,59.309,31.787,75.673,48.671,57
46.486,"L",22,71.301,"Class1",43.769,75.725,65.113,38.998,68.045,3.398,62
26.516,"G",25,62.443,"Class1",44.514,44.51,61.919,34.786,76.679,96.709,52
73.983,"G",44,46.961,"Class1",44.621,50.952,60.172,46.558,76.563,79.203,65
31.301,"U",59,82.591,"Class3",26.496,71.393,55.362,63.886,21.313,91.738,64
89.154,"J",72,56.548,"Class1",44.886,59.55,63.624,27.211,87.063,26.797,51
44.066,"Z",27,53.049,"Class1",39.324,65.293,60.382,31.295,70.285,60.22,53
19.254,"H",52,78.225,"Class3",80.038,77.286,13.966,65.49,30.627,87.287,63
56.598,"O",59,61.212,"Class2",65.131,76.493,40.533,45.052,92.547,46.907,54
73.607,"Z",35,61.364,"Class1",44.664,51.358,64.696,36.988,72.236,50.296,52
41.196,"E",39,39.833,"Class2",35.108,79.06,40.548,73.958,93.8,33.564,59
64.204,"C",55,33.162,"Class2",47.654,66.655,42.477,73.695,84,39.725,47
48.57,"Z",72,82.083,"Class1",44.92,48.047,63.505,27.352,84.583,77.764,51
48.614,"C",12,23.78,"Class2",52.692,61.91,40.374,51.232,52.022,41.846,69
84.273,"O",27,3.191,"Class2",25.253,81.29,41.086,66.611,64.879,34.288,38
20.236,"L",29,78.027,"Class1",41.847,49.856,66.57,33.23,70.7,57.902,55
54.338,"Z",76,44.757,"Class1",40.502,46.331,64.896,30.778,74.563,48.113,55
35.138,"G",58,55.201,"Class1",37.502,59.024,69.864,29.488,78.091,37.384,62
25.082,"Q",42,27.485,"Class2",22.853,62.524,41.27,66.154,83.674,40.028,49
47.634,"U",67,77.32,"Class3",32.573,72.13,107.724,57.21,49.043,71.562,66
-13.53,"E",51,83.735,"Class1",43.267,41.537,63.565,28.233,70.586,84.018,51
50.273,"U",69,73.049,"Class3",47.386,68.96,43.51,67.143,21.279,83.06,71
34.548,"E",12,44.843,"Class1",40.02,43.761,66.878,45.019,77.605,61.147,53
32.722,"H",60,77.258,"Class3",49.34,76.376,62.811,56.409,16.427,77.37,64
119.952,"O",11,7.071,"Class2",21.904,65.895,41.534,60.24,82.562,39.167,43
44.073,"Q",60,91.829,"Class2",34.457,89.064,40.801,48.841,87.68,44.635,42
30.551,"C",23,33.044,"Class2",39.662,72.198,41.036,51.02,87.884,46.116,55
35.942,"V",79,81.867,"Class3",34.596,71.764,64.42,56.932,49.68,71.754,62
39.48,"G",75,76.278,"Class1",42.762,43.135,66.309,42.325,81.106,76.682,63
29.463,"O",66,27.959,"Class2",30.267,61.18,40.41,67.858,67.348,46.48,54
20.807,"H",58,80.872,"Class3",40.923,73.775,38.414,56.738,18.127,75.938,61
60.277,"J",35,66.231,"Class1",44.514,63.986,58.617,40.485,71.383,49.596,56
33.348,"U",50,89.164,"Class3",47.319,75.06,17.011,71.277,53.358,83.279,63
30.126,"Q",13,52.536,"Class2",23.547,74.975,40.545,59.367,82.26,26.13,41
35.158,"U",71,72.49,"Class3",34.638,77.742,109.684,60.683,38.657,70.306,63
30.289,"U",82,91.55,"Class3",20.114,75.452,31.189,74.346,38.217,81.871,65
NA,"J",65,63.89,"Class1",41.822,74.609,60.039,41.071,81.035,43.308,62
109.009,"B",51,44.169,"Class2",14.494,75.233,42.599,48.874,70.94,34.881,38
28.354,"U",46,72.856,"Class3",NA,72.17,73.573,62.747,23.967,88.838,64
76.864,"Z",16,74.98,"Class1",41.697,47.212,63.568,43.417,87.496,52.394,54
7.522,"Z",76,45.919,"Class1",41.093,74.881,61.427,32.193,73.852,47.762,65
70.59,"B",68,6.565,"Class2",34.793,76.394,40.741,63.511,57.296,40.79,66
48.669,"W",61,78.747,"Class3",43.755,72.425,77.508,58.035,45.025,81.01,65
69.611,"E",74,49.905,"Class1",39.697,76.218,65.827,38.647,71.67,45.655,51
69.485,"Q",5,15.948,"Class2",32.509,64.266,39.767,43.049,73.589,39.709,53
27.649,"G",19,82.774,"Class1",44.361,50.029,54.98,42.517,68.325,57.882,58
42.839,"G",43,78.953,"Class1",44.429,49.539,61.56,27.123,82.817,52.145,62
47.334,"W",61,91.816,"Class3",37.56,67.418,70.966,69.114,44.757,90.332,70
37.178,"V",66,90.809,"Class3",40.646,73.42,65.48,62.638,32.251,95.204,71
74.387,"Q",44,65.02,"Class2",37.153,73.817,40.483,63.515,94.417,45.777,36
68.58,"B",10,75.857,"Class2",14.076,86.106,40.728,51.113,92.347,45.443,46
21.86,"O",35,59.796,"Class2",71.038,86.125,41.152,56.762,90.786,32.75,59
66.65,"Q",46,90.727,"Class2",48.311,77.782,41.936,66.374,68.198,31.237,65
31.303,"U",83,72.219,"Class3",36.346,76.962,82.251,58.687,26.44,79.704,69
27.415,"W",60,68.908,"Class3",50.946,76.165,16.328,72.895,30.468,75.699,71
45.906,"J",32,57.7,"Class1",42.709,48.481,60.369,35.57,79.197,45.41,66
70.659,"Q",66,23.993,"Class2",NA,71.474,39.357,73.014,60.21,42.603,47
24.924,"U",77,84.362,"Class3",22.18,64.681,43.674,72.492,51.895,62.644,64
65.394,"G",75,45.763,"Class1",43.622,60.697,63.505,41.329,76.048,24.561,57
66.044,"C",15,65.144,"Class2",79.303,54.462,42.745,72.751,60.54,39.669,51
38.19,"E",38,9.158,"Class2",14.002,88.902,41.485,66.075,54.616,48.844,32
35.675,"U",44,80.633,"Class3",NA,73.807,70.954,70.68,44.788,93.007,71
13.953,"Z",64,52.064,"Class1",43.761,47.876,62.578,38.533,81.79,52.895,54
61.162,"J",29,39.856,"Class1",NA,56.192,55.999,39.537,82.952,86.724,52
66.906,"E",48,71.204,"Class1",40.859,67.916,59.346,29.308,78.193,68.844,52
34.048,"U",69,70.946,"Class3",28.7,72.804,21.386,73.118,27.058,91.983,64
12.232,"Z",40,78.845,"Class1",45.079,60.252,67.61,29.845,87.482,58.142,51
26.207,"H",53,89.24,"Class3",40.752,73.802,59.349,59.286,37.435,78.093,60
88.811,"C",17,34.717,"Class2",48.246,66.804,41.295,47.32,93.049,32.651,64
79.829,"E",70,4.3,"Class2",53.336,90.705,41.011,49.18,80.294,31.678,56
33.816,"Y",61,90.639,"Class3",23.937,73.392,56.616,59.603,16.151,94.444,60
27.799,"Y",50,82.602,"Class3",NA,77.872,70.237,68.155,25.568,70.756,71
28.729,"U",63,74.322,"Class3",13.736,64.177,50.978,74.08,55.828,90.622,66
45.821,"G",21,70.23,"Class1",42.481,62.046,61.413,32.309,68.148,50.998,61
49.524,"G",67,83.209,"Class1",42.613,67.962,64.189,33.877,74.788,33.295,60
25.726,"W",54,83.621,"Class3",45.43,71.117,74.955,70.629,42.28,65.877,67
48.637,"Z",29,52.498,"Class1",42.247,58.101,65.844,29.453,72.636,105.257,66
NA,"C",7,82.849,"Class2",29.689,83.707,41.423,58.77,85.901,38.928,42
36.149,"U",58,70.234,"Class3",40.866,64.311,54.77,64.891,26.775,86.57,69
33.021,"U",75,74.091,"Class3",33.185,73.201,54.396,72.196,23.916,79.617,66
32.441,"E",50,46.804,"Class1",43.469,63.978,67.073,32.439,72.157,63.126,51
41.441,"U",47,91.867,"Class3",53.152,76.387,46.46,72.363,16.44,86.117,59
49.756,"L",18,59.985,"Class1",37.247,52.225,64.139,31.634,68.62,64.299,66
97.07,"B",3,89.677,"Class2",11.946,86.25,40.201,52.853,57.657,51.062,50
42.68,"Y",54,72.481,"Class3",36.978,71.298,79.079,58.805,39.966,77.912,68
38.897,"E",15,52.717,"Class1",44.773,54.024,62.499,30.156,82.209,91.633,66
76.084,"Q",21,6.572,"Class2",62.362,77.165,41.487,46.487,93.516,34.423,46
NA,"V",62,71.078,"Class3",44.457,70.818,75.612,59.159,51.14,71.058,65
66.586,"E",39,89.195,"Class2",21.745,51.954,41.485,69.457,84.537,47.13,65
15.315,"U",48,70.022,"Class3",27.777,65.301,-24.945,69.774,52.933,85.118,62
43.108,"W",65,90.352,"Class3",28.132,64.466,56.426,61.684,51.405,76.455,65
30.843,"H",77,90.535,"Class3",19.189,75.43,75.645,61.7,16.489,89.096,62
68.076,"B",71,39.023,"Class2",24.02,67.682,41.515,72.009,76.662,50.785,36
66.729,"J",47,67.876,"Class1",44.354,43.603,63.099,40.811,83.289,59.075,62
70.603,"E",54,31.571,"Class2",35.996,83.019,40.387,40.136,68.964,46.19,29
47.565,"U",74,81.985,"Class3",34.581,66.957,10.72,57.823,47.464,92.26,62
52.547,"C",50,92.872,"Class2",NA,53.489,39.446,65.66,56.736,39.329,49
49.676,"C",49,85.946,"Class2",-2.375,88.641,40.82,45.541,77.609,44.739,59
26.957,"U",73,77.045,"Class3",34.574,69.295,51.714,66.88,45.238,79.95,59
20.186,"O",41,43.587,"Class2",69.827,88.597,40.785,73.936,75.616,37.473,70
10.924,"J",63,57.22,"Class1",44.102,41.674,65.942,27.034,71.116,83.677,61
NA,"C",67,52.46,"Class2",62.436,52.014,40.988,67.115,80.613,33.012,42
32.03,"Y",78,77.163,"Class3",34.266,64.201,2.756,61.474,56.948,73.658,59
48.632,"V",73,91.313,"Class3",35.664,67.117,27.059,71.127,43.571,86.437,68
82.122,"C",23,43.392,"Class2",40.692,56.342,42.665,57.315,53.807,38.817,70
34.803,"Q",39,10.296,"Class2",NA,75.427,41.014,45.73,77.628,45.335,46
52.652,"Z",15,59.193,"Class1",44.781,49.342,62.575,35.507,72.859,34.033,61
37.727,"J",19,40.261,"Class1",42.448,50.572,61.911,40.956,77.533,38.49,62
14.726,"G",35,55.724,"Class1",45.33,75.335,61.955,45.641,82.841,78.419,53
34.947,"O",4,79.612,"Class2",40.222,86.718,42.661,60.072,65.822,49.506,50
81.256,"L",14,42.899,"Class1",43.272,67.964,61.913,35.719,86.86,114.97,53
64.919,"B",22,22.56,"Class2",-14.696,67.899,40.954,69.196,80.397,49.405,38
6.788,"V",51,83.618,"Class3",53.275,68.857,51.972,63.686,20.339,90.478,65
27.354,"H",83,84.167,"Class3",40.76,65.488,68.967,59.6,55.296,88.132,64
86.194,"B",31,54.948,"Class2",43.528,73.089,40.806,60.406,63.772,28.61,42
50.372,"Q",28,68.731,"Class2",36.387,68.398,40.785,68.168,82.678,33.932,51
27.416,"V",68,89.553,"Class3",44.052,69.023,14.296,73.452,53.808,85.022,66
22.992,"H",56,73.399,"Class3",13.055,69.56,86.281,71.184,56.651,89.286,67
40.792,"V",69,70.278,"Class3",43.141,68.759,26.893,62.579,52.616,83.861,63
56.073,"O",61,30.393,"Class2",58.751,64.067,42.009,63.028,77.623,33.315,37
62.806,"B",53,84.799,"Class2",33.705,72.785,40.979,60.925,84.813,52.61,47
35.955,"L",13,52.594,"Class1",40.035,44.117,60.28,27.229,78.255,54.14,51
52.138,"Q",12,65.604,"Class2",7.475,77.417,41.07,58.626,95.188,25.645,45
51.572,"E",41,89.395,"Class2",-7.853,88.63,41.46,72.298,58.46,43.845,48
14.689,"J",49,66.724,"Class1",41.692,42.471,60.093,34.262,70.594,31.173,57
67.486,"Q",9,2.754,"Class2",8.845,90.985,40.972,43.548,83.079,41.595,56
NA,"E",63,71.311,"Class1",45.561,46.249,64.089,44.505,73.228,73.759,59
57.782,"C",75,16.302,"Class2",16.557,63.804,41.085,59.063,52.908,44.286,50
43.103,"Z",28,52.782,"Class1",42.103,63.29,57.524,45.922,86.064,48.397,52
47.054,"Q",15,31.23,"Class2",28.616,64.387,40.552,40.057,91.363,31.172,68
51.08,"V",46,81.281,"Class3",33.503,69.186,45.923,55.527,48.806,76.107,67
38.404,"V",81,73.052,"Class3",31.423,64.63,55.157,74.929,37.742,96.79,69
44.308,"L",74,67.167,"Class1",43.309,63.814,59.816,33.047,78.543,81.913,59
51.371,"W",45,83.353,"Class3",49.339,71.366,14.992,62.042,15.181,77.738,60
68.453,"E",43,89.583,"Class2",35.594,73.819,41.349,73.224,86.948,43.666,61
23.972,"L",46,48.248,"Class1",41.35,53.817,60.571,35.152,72.719,21.019,56
36.193,"V",48,81.534,"Class3",44.779,64.963,37.783,59.291,27.401,88.257,70
72.688,"C",9,5.199,"Class2",13.145,85.933,41.432,69.543,77.846,39.182,57
25.368,"Z",55,42.46,"Class1",40.736,42.563,64.45,33.853,80.944,72.576,62
61.33,"O",19,24.461,"Class2",39.225,80.596,41.097,49.471,81.287,43.905,32
85.475,"E",49,55.834,"Class2",29.415,88.326,40.764,50.626,75.144,41.016,41
64.126,"Q",50,53.946,"Class2",22.081,62.413,40.799,65.071,90.418,40.877,52
56.121,"E",65,55.9,"Class2",14.288,56.576,39.901,48.232,62.778,41.786,30
