"PJZ1","LTA2","XEO3","NMU4","RJK5","OXN6","JIO7","WTC8","Output3","QOA9","PBY10"
18.8,57.509,"W",20.052,75.078,"K",93,39.263,"Class1",39.252,92.114
18.703,8.117,"S",92.878,36.102,"N",22,57.553,"Class4",99.334,4.922
45.236,38.972,"N",94.457,NA,"P",76,44.251,"Class3",22.792,13.257
15.25,28.302,"Q",11.355,76.871,"H",93,11.768,"Class1",39.466,91.89
15.638,73.821,"K",11.453,61.384,"R",86,85.234,"Class2",45.985,51.84
26.408,50.89,"N",93.589,NA,"E",63,35.874,"Class3",21.26,10.743
8.772,75.869,"Z",15.479,NA,"R",77,85.842,"Class2",52.732,35.684
-1.54,77.25,"P",12.173,26.451,"K",75,85.292,"Class2",52.319,59.021
46.551,61.846,"N",94.767,93.066,"R",70,44.771,"Class3",26.561,16.278
28.377,56.409,"N",91.106,94.425,"E",75,32.059,"Class3",33.146,15.747
13.582,20.116,"B",84.623,29.193,"O",11,53.223,"Class4",97.122,2.365
-1.875,58.965,"S",7.742,84.951,"H",78,70.309,"Class1",39.886,93.111
69.305,54.344,"I",93.572,95.211,"J",61,33.441,"Class3",21.246,10.216
13.301,59.646,"D",14.043,75.659,"H",93,72.019,"Class1",39.635,96.421
7.658,26.97,"S",21.412,NA,"K",82,58.248,"Class1",40.068,93.011
19.509,49.292,"N",92.5,91.419,"T",81,45.833,"Class3",28.872,14.933
65.319,61.232,"T",93.998,84.93,"P",77,51.955,"Class3",25.147,15.193
5.336,52.976,"W",6.513,80.739,"C",90,58.388,"Class1",39.155,95.473
12.552,14.151,"D",87.113,36.995,"R",21,41.792,"Class4",94.448,2.342
34.673,52.09,"Z",NA,87.951,"R",57,40.522,"Class3",23.857,13.574
23.467,14.725,"L",92.132,32.242,"R",17,48.346,"Class4",95.65,2.669
15.755,86.887,"M",77.837,31.282,"O",84,85.467,"Class2",57.872,20.222
5.223,92.306,"P",79.617,45.463,"O",77,84.773,"Class2",38.263,53.393
26.229,19.403,"L",87.78,32.086,"O",18,53.898,"Class4",97.262,5.054
17.664,59.323,"I",92.589,NA,"J",83,32.187,"Class3",26.269,14.94
20.389,43.117,"I",94.754,93.395,"E",61,37.321,"Class3",26.508,17.547
15.392,54.059,"S",8.159,85.49,"C",84,31.049,"Class1",39.006,95.776
53.872,61.746,"I",95.676,88.833,"P",83,33.669,"Class3",28.732,13.496
18.692,51.407,"D",9.658,NA,"W",78,34.435,"Class1",39.643,91.824
9.86,68.316,"K",37.577,77.365,"K",72,85.86,"Class2",58.611,51.164
19.527,52.454,"Q",NA,73.595,"Y",86,59.369,"Class1",40.069,95.858
17.68,5.19,"S",84.374,30.212,"N",12,48.624,"Class4",96.105,3.979
1.316,72.115,"J",88.01,74.506,"G",86,86.179,"Class2",48.141,55.748
16.597,3.719,"S",85.948,30.478,"Y",14,42.625,"Class4",96.711,9.657
16.196,13.332,"J",93.707,29.483,"Y",11,38.936,"Class4",96.044,8.881
18.917,52.745,"I",93.086,92.668,"P",78,40.218,"Class3",24.385,15.719
21.817,10.69,"L",NA,32.459,"P",19,68.994,"Class4",97.803,3.49
24.591,14.483,"D",92.115,31.373,"R",13,54.839,"Class4",93.267,4.98
20.923,69.96,"M",68.377,55.473,"O",74,85.044,"Class2",55.297,8.435
14.618,62.915,"S",22.128,85.667,"K",88,16.542,"Class1",39.302,97.107
59.598,48.012,"X",94.361,88.272,"E",72,43.878,"Class3",18.506,16.999
14.278,73.248,"G",7.994,78,"C",85,26.546,"Class1",39.185,94.927
7.345,76.973,"M",42.196,75.28,"P",84,85.507,"Class2",57.519,62.851
16.351,16.274,"D",86.139,31.139,"P",23,52.617,"Class4",94.142,7.45
18.807,31.962,"S",24.899,85.056,"Y",77,70.391,"Class1",39.75,96.26
23.84,59.46,"I",95.357,93.277,"T",77,41.21,"Class3",21.867,10.409
41.694,47.452,"Z",91.673,NA,"J",75,48.68,"Class3",22.604,15.286
21.715,40.663,"Z",23.372,25.96,"K",83,85.302,"Class2",51.382,52.729
18.35,23.502,"B",89.165,33.979,"N",18,65.361,"Class4",97.856,5.247
7.316,49.274,"W",7.776,84.153,"K",90,53.286,"Class1",39.31,93.5
15.755,29.582,"S",15.739,77.802,"W",85,52.575,"Class1",40.354,95.146
-0.507,63.871,"J",68.158,46.494,"G",82,85.371,"Class2",52.156,65.777
32.459,57.31,"I",93.214,86.727,"P",69,37.095,"Class3",28.835,15.113
8.233,20.091,"G",12.192,77.899,"K",85,32.233,"Class1",39.554,95.117
12.004,56.643,"G",16.168,77.995,"H",84,85.744,"Class1",39.514,94.355
16.838,18.107,"J",87.046,34.622,"O",20,30.53,"Class4",94.948,4.498
7.411,79.167,"K",31.004,35.549,"R",83,85.586,"Class2",62.063,41.765
17.827,84.119,"Q",17.485,82.623,"C",81,28.125,"Class1",39.843,90.315
15.213,62.988,"K",38.666,35.612,"P",73,85.384,"Class2",62.836,24.308
37.101,57.307,"X",95.332,95.908,"J",73,48.459,"Class3",25.867,13.823
28.024,52.818,"N",94.842,93.082,"T",67,40.938,"Class3",22.318,12.8
0.499,85.772,"M",NA,35.209,"K",76,85.338,"Class2",59.056,65.733
2.632,97.345,"M",30.044,82.364,"P",77,85.594,"Class2",53.523,36.434
31.053,53.127,"I",95.974,95.226,"E",82,36.8,"Class3",30.762,16.344
18.265,52.354,"Z",92.353,95.327,"P",79,35.348,"Class3",23.052,12.22
11.567,46.729,"D",6.777,83.225,"H",91,41.434,"Class1",39.756,90.394
19.655,4.582,"S",81.963,35.739,"P",18,51.765,"Class4",97.474,9.181
21.408,59.513,"I",92.254,84.784,"T",66,36.316,"Class3",30.035,14.625
8.426,32.5,"G",6.897,84.693,"H",82,36.356,"Class1",39.124,94.903
54.309,57.109,"T",93.443,86.042,"R",66,41.755,"Class3",17.656,13.57
17.102,73.398,"K",82.488,31.37,"G",82,86.367,"Class2",56.477,43.766
19.217,14.734,"J",82.363,30.084,"P",18,61.565,"Class4",93.191,5.415
35.498,47.869,"N",95.673,NA,"R",66,35.292,"Class3",27.586,13.823
15.112,67.92,"D",NA,NA,"Y",88,57.767,"Class1",39.37,94.275
12.196,10.746,"D",89.572,31.104,"R",21,51.304,"Class4",93.968,7.318
4.024,74.808,"M",69.368,25.211,"K",72,85.492,"Class2",59.532,66.519
25.669,57.872,"K",72.933,70.243,"G",78,85.31,"Class2",48.805,66.11
14.324,13.694,"S",91.071,36.077,"P",14,73.911,"Class4",97.697,8.552
7.987,80.6,"Z",86.561,25.883,"O",80,85.498,"Class2",60.065,29.327
0.688,51.984,"I",94.164,85.779,"P",79,31.31,"Class3",21.201,17.574
41.463,57.391,"T",94.177,94.298,"P",72,35.769,"Class3",30.913,15.712
14.486,77.653,"Z",95.324,45.576,"O",86,85.929,"Class2",48.528,32.38
14.88,4.474,"D",93.771,36.072,"P",21,36.746,"Class4",96.612,3.372
9.506,59.934,"Q",8.157,80.457,"W",82,67.328,"Class1",39.684,91.251
9.58,42.098,"S",14.327,75.973,"C",82,49.259,"Class1",39.51,90.83
12.344,77.374,"W",18.821,77.03,"K",84,43.994,"Class1",39.37,97.185
6.169,5.413,"D",90.971,36.015,"N",20,56.317,"Class4",98.817,5.771
9.811,93.787,"P",28.059,36.029,"G",87,85.541,"Class2",44.696,26.3
16.56,8.353,"L",87.523,33.955,"R",19,60.936,"Class4",94.97,7.627
4.912,58.152,"S",21.816,NA,"W",80,45.418,"Class1",39.458,97.205
56.734,50.914,"T",91.113,NA,"T",72,33.997,"Class3",27.23,12.065
28.542,56.579,"Z",91.044,84.88,"T",76,42.222,"Class3",20.233,14.04
17.107,63.869,"D",13.031,85.622,"W",84,50.591,"Class1",39.455,92.79
76.216,56.21,"Z",93.453,90.617,"J",60,49.268,"Class3",24.093,16.908
12.756,13.625,"S",80.919,36.369,"O",18,72.059,"Class4",95.104,9.194
40.605,54.192,"Z",95.846,84.325,"J",76,41.484,"Class3",33.014,13.979
23.272,11.988,"D",86.427,31.168,"P",14,56.756,"Class4",95.592,9.356
18.633,7.394,"J",89.121,36.539,"P",21,30.103,"Class4",94.735,9.795
12.527,16.428,"D",87.743,32.63,"O",14,41.032,"Class4",96.262,6.847
32.532,15.361,"J",91.904,32.599,"Y",11,59.869,"Class4",97.108,10.331
14.708,7.47,"L",93.881,30.517,"P",23,53.165,"Class4",97.52,7.165
24.18,14.612,"S",87.951,34.493,"O",18,57.361,"Class4",91.067,9.455
15.67,57.829,"T",94.961,87.094,"T",71,37.661,"Class3",30.207,15.789
16.794,52.74,"S",20.484,80.795,"C",84,65.061,"Class1",39.39,90.091
12.715,79.328,"M",80.587,31.004,"G",77,85.425,"Class2",49.673,51.984
41.201,50.428,"N",92.313,93.362,"E",57,28.282,"Class3",24.913,12.661
14.135,27.897,"S",18.909,86.281,"C",84,48.376,"Class1",39.402,97.951
12.752,50.24,"G",9.473,NA,"H",81,84.98,"Class1",39.56,92.109
15.174,70.64,"M",87.51,79.382,"P",81,84.958,"Class2",57.594,11.602
19.598,5.592,"L",87.721,30.516,"N",13,70.267,"Class4",95.131,3.396
41.468,56.161,"X",92.667,86.056,"T",63,36.542,"Class3",20.288,17.567
10.111,17.835,"J",81.385,29.131,"N",17,51.247,"Class4",95.148,10.592
15.395,2.042,"S",86.078,31.712,"R",15,36.861,"Class4",97.605,10.667
24.875,7.935,"B",93.589,29.925,"P",17,46.359,"Class4",93.555,4.497
16.849,59.833,"X",92.604,89.665,"R",60,29.19,"Class3",26.373,14.159
0.833,51.726,"D",13.356,84.28,"H",79,22.39,"Class1",39.118,96.109
12.896,11.621,"B",80.704,35.784,"O",14,62.213,"Class4",96.055,6.422
41.622,58.352,"X",95.74,89.413,"E",64,34.647,"Class3",24.713,13.389
11.169,37.661,"Q",6.729,73.366,"K",90,60.768,"Class1",39.446,95.149
6.214,60.532,"K",75.392,36.144,"P",73,85.729,"Class2",48.119,9.442
21.273,11.185,"B",84.633,31.188,"Y",17,49.95,"Class4",91.989,7.028
16.519,81.533,"M",33.565,34.905,"R",77,85.33,"Class2",50.941,69.035
-10.288,66.74,"P",4.708,38.198,"O",85,84.815,"Class2",47.773,24.05
10.535,73.863,"G",15.755,79.388,"H",90,33.173,"Class1",39.459,95.253
17.518,52.283,"M",NA,32.762,"R",80,85.477,"Class2",64.844,21.209
15.772,84.847,"K",55.649,59.807,"R",82,85.693,"Class2",50.843,52.804
17.048,17.514,"W",11.56,75.158,"W",81,22.484,"Class1",39.593,91.791
9.545,35.968,"G",10.67,81.648,"W",89,74.234,"Class1",39.325,97.207
17.752,82.436,"Z",29.891,72.56,"O",88,85.504,"Class2",52.175,57.552
5.137,45.891,"G",NA,85.525,"H",85,21.534,"Class1",39.535,97.402
13.035,67.299,"G",10.395,73.403,"C",81,41.616,"Class1",39.064,91.665
25.954,13.447,"D",83.838,34.542,"N",19,47.341,"Class4",94.88,4.372
37.58,55.723,"X",94.391,90.614,"J",78,46.933,"Class3",22.147,17.059
10.597,52.685,"Q",15.215,80.874,"Y",87,57.107,"Class1",39.431,95.41
13.928,79.457,"G",24.919,83.401,"K",83,57.304,"Class1",38.839,96.999
34.462,60.796,"T",92.645,92.835,"P",83,38.229,"Class3",25.992,17.334
25.555,55.362,"Z",93.069,89.709,"E",63,31.435,"Class3",25.801,10.246
18.616,28.49,"W",18.637,75.363,"C",80,38.715,"Class1",40.041,91.147
14.717,5.515,"D",91.25,30.586,"P",17,68.214,"Class4",96.924,6.888
27.388,59.809,"I",91.639,85.613,"J",75,34.516,"Class3",24.776,10.892
13.619,11.887,"L",82.729,36.623,"O",12,57.969,"Class4",97.327,6.972
18.408,6.416,"B",92.969,35.625,"Y",12,53.278,"Class4",93.682,2.486
16.191,55.461,"S",22.584,75.566,"W",90,90.969,"Class1",39.3,90.214
23.245,56.647,"Z",91.809,85.285,"E",71,32.175,"Class3",20.87,14.678
45.759,56.689,"I",95.686,95.468,"R",60,35.73,"Class3",27.147,12.031
13.975,28.046,"S",14.318,75.543,"W",80,57.117,"Class1",40.084,92.848
9.205,86.954,"M",26.876,80.843,"R",83,85.464,"Class2",51.262,68.654
7.838,11.883,"L",92.029,29.817,"R",16,53.534,"Class4",96.916,8.885
18.163,16.61,"L",80.327,32.679,"O",18,68.622,"Class4",90.518,5.059
10.419,75.199,"G",12.738,83.695,"W",78,25.452,"Class1",39.425,92.975
11.529,77.407,"S",14.028,76.913,"C",87,66.386,"Class1",39.292,95.428
10.83,65.525,"Z",81.801,44.683,"P",77,85.455,"Class2",52.363,50.207
22.978,54.338,"N",93.766,94.091,"E",70,41.965,"Class3",18.922,16.322
2.481,86.921,"M",23.538,53.664,"O",86,85.173,"Class2",47.97,57.861
61.453,54.955,"Z",95.891,95.507,"R",65,32.424,"Class3",20.133,11.779
29.33,58.6,"T",94.172,85.345,"E",76,44.301,"Class3",18.923,16.579
24.409,59.998,"X",95.737,93.811,"T",63,43.642,"Class3",24.674,16.244
25.12,55.637,"T",92.092,90.95,"J",74,39.417,"Class3",20.37,14.898
16.116,12.835,"S",90.142,34.419,"R",20,36.23,"Class4",97.129,6.277
1.684,40.191,"S",23.24,76.573,"K",84,39.563,"Class1",39.707,93.224
37.682,57.55,"X",94.944,90.945,"R",77,43.295,"Class3",21.472,10.791
13.458,36.726,"G",22.167,85.735,"Y",80,42.233,"Class1",39.624,96.879
24.551,53.055,"X",92.908,NA,"T",59,34.21,"Class3",27.642,15.716
34.334,53.984,"T",95.549,84.815,"T",66,31.545,"Class3",23.784,10.68
22.572,12.881,"S",92.836,30.943,"O",15,51.052,"Class4",95.545,7.878
46.318,63.116,"I",NA,94.724,"T",63,38.885,"Class3",19.168,14.314
18.609,76.261,"J",13.608,80.947,"O",73,85.45,"Class2",48.98,43.688
38.002,51.406,"X",92.541,89.285,"J",66,41.116,"Class3",29.881,12.513
9.621,3.501,"B",89.751,NA,"O",12,41.723,"Class4",95.827,7.87
11.431,5.904,"L",89.862,33.258,"P",14,58.583,"Class4",94.629,3.897
17.895,53.108,"S",12.393,82.699,"K",89,16.156,"Class1",39.697,90.163
21.927,50.28,"Z",95.876,86.351,"R",68,33.201,"Class3",28.063,14.242
17.756,50.554,"G",18.758,75.283,"K",86,51.946,"Class1",39.004,95.777
15.299,12.057,"L",87.118,29.152,"R",23,57.347,"Class4",95.174,6.414
9.579,88.732,"M",NA,83.922,"G",75,85.169,"Class2",59.395,34.355
21.829,18.922,"L",85.633,33.756,"Y",11,53.141,"Class4",92.711,6.02
41.414,60.556,"T",91.765,93.351,"J",65,47.717,"Class3",28.707,15.981
38.235,48.963,"N",91.187,85.689,"R",84,34.755,"Class3",24.013,17.716
9.767,38.033,"W",6.402,75.334,"K",87,57.307,"Class1",39.165,92.561
40.926,48.668,"T",95.421,86.559,"R",66,38.512,"Class3",19.702,12.4
9.755,38.735,"Q",18.871,75.452,"Y",84,63.659,"Class1",39.521,90.654
45.847,52.031,"I",95.738,87.037,"J",67,41.751,"Class3",28.5,12.807
25.437,65.789,"X",94.721,84.901,"J",63,36.357,"Class3",18.048,15.762
57.052,60.195,"Z",91.515,84.294,"P",80,39.211,"Class3",28.004,10.243
17.195,90.649,"Z",18.426,72.743,"P",74,85.482,"Class2",62.602,61.488
10.823,86.662,"S",10.603,80.166,"C",77,44.482,"Class1",39.374,97.162
56.73,49.88,"Z",NA,84.174,"T",69,35.451,"Class3",28.487,11.982
-12.626,81.282,"J",58.406,70.085,"R",80,84.893,"Class2",50.701,25.474
8.174,69.394,"P",NA,72.539,"O",78,85.401,"Class2",56.526,31.912
16.915,49.147,"Q",11.808,NA,"Y",93,14.618,"Class1",39.142,94.564
11.006,57.453,"Z",12.011,84.683,"K",83,85.719,"Class2",48.745,35.537
25.134,66.621,"M",9.954,58.597,"K",86,84.997,"Class2",55.155,46.104
30.469,70.643,"I",95.862,93.518,"J",60,40.821,"Class3",17.215,13.675
5.557,78.801,"K",70.515,83.232,"O",81,84.686,"Class2",46.291,7.663
11.715,32.263,"Q",9.696,76.73,"K",90,25.233,"Class1",39.438,90.864
42.387,54.441,"X",91.997,95.49,"J",77,30.948,"Class3",21.288,14.197
15.778,12.733,"J",88.039,31.416,"P",18,56.147,"Class4",96.117,4.916
17.334,60.575,"Z",39.162,83.329,"G",74,85.574,"Class2",56.198,10.72
18.834,89.957,"M",56.456,32.322,"P",88,85.324,"Class2",48.987,63.505
8.022,40.073,"D",6.452,85.924,"K",91,73.304,"Class1",39.234,92.163
9.614,30.296,"D",17.317,73.325,"W",79,72.427,"Class1",39.154,92.177
9.467,80.384,"P",77.605,72.59,"G",84,85.369,"Class2",30.259,50.105
50.542,60.304,"I",92.912,87.672,"R",65,39.908,"Class3",33.371,11.903
31.839,45.743,"X",94.721,86.826,"T",73,34,"Class3",23.297,16.402
11.762,29.371,"S",11.074,77.971,"K",93,54.343,"Class1",39.268,90.031
20.256,81.064,"S",11.577,79.588,"Y",81,12.48,"Class1",39.421,93.629
21.251,61.768,"M",95.448,41.259,"K",76,85.223,"Class2",54.026,61.334
10.828,40.716,"G",20.162,82.755,"W",77,62.133,"Class1",39.462,92.486
8.429,23.79,"L",92.051,32.433,"R",18,33.645,"Class4",92.847,7.758
15.262,73.569,"D",8.797,82.447,"Y",83,8.671,"Class1",39.631,96.197
1.458,64.205,"G",18.892,78.271,"K",79,21.285,"Class1",39.225,95.422
5.895,77.636,"Z",19.159,53.236,"G",75,84.853,"Class2",53.881,43.996
3.28,56.091,"S",17.876,81.81,"W",93,45.808,"Class1",39.186,96.314
13.315,77.922,"Q",12.7,74.79,"W",79,4.07,"Class1",39.102,92.877
16.933,67.762,"D",12.303,NA,"Y",85,17.87,"Class1",39.298,94.006
24.303,17.685,"J",93.553,32.318,"Y",13,48.305,"Class4",96.596,10.067
13.37,59.608,"K",64.61,66.797,"K",81,85.212,"Class2",47.16,7.298
1.073,105.844,"M",24.041,39.465,"P",79,85.721,"Class2",44.471,8.622
14.268,6.66,"S",81.855,31.068,"O",16,40.235,"Class4",90.653,5.307
3.456,78.548,"K",72.281,84.613,"O",76,85.453,"Class2",55.481,8.051
11.643,48.111,"Z",91.712,89.661,"J",57,28.685,"Class3",26.85,14.393
16.735,5.178,"B",93.083,36.25,"O",22,59.807,"Class4",97.659,2.995
9.189,22.227,"D",80.581,34.788,"P",12,70.251,"Class4",95.732,5.216
20.927,16.404,"J",88.817,32.177,"Y",15,47.735,"Class4",94.638,4.939
22.649,73.062,"J",94.777,81.119,"G",75,86.414,"Class2",49.665,25.997
8.564,85.841,"Z",41.904,57.6,"G",87,85.62,"Class2",60.068,47.764
66.1,48.249,"N",94.073,88.691,"T",69,40.532,"Class3",24.952,12.595
26.187,11.952,"L",84.181,35.328,"P",23,66.61,"Class4",97.981,7.944
10.025,28.045,"G",16.594,85.401,"H",92,64.094,"Class1",39.203,96.824
24.419,66.127,"Z",43.464,NA,"O",86,85.409,"Class2",55.089,24.848
24.239,17.872,"D",84.113,30.934,"P",11,17.144,"Class4",94.35,10.164
41.934,54.984,"N",92.882,NA,"R",79,34.936,"Class3",30.098,16.133
14.429,57.136,"W",15.39,73.11,"K",91,66.855,"Class1",39.567,97.631
6.379,9.262,"B",86.543,35.312,"O",22,52.227,"Class4",97.07,3.095
35.235,61.552,"I",91.854,84.233,"T",84,44.383,"Class3",32.038,17.535
14.337,6.533,"D",82.991,32.725,"N",11,51.749,"Class4",93.334,3.766
23.535,78.912,"Z",14.848,40.777,"G",73,85.619,"Class2",55.258,47.32
12.454,73.472,"Z",27.86,67.312,"K",72,85.386,"Class2",47.185,62.405
11.787,4.933,"L",84.676,34.259,"Y",13,44.201,"Class4",93.692,6.102
15.253,15.705,"J",81.273,35.745,"N",23,45.423,"Class4",95.784,7.331
10.129,61.187,"D",16.823,78.582,"W",92,71.173,"Class1",39.43,91.296
3.4,53.057,"J",30.722,36.144,"P",73,85.022,"Class2",57.578,61.12
17.15,12.762,"L",90.902,29.946,"N",23,53.353,"Class4",97.901,3.928
11.835,41.513,"Q",13.631,79.037,"C",93,38.982,"Class1",39.346,96.996
42.726,49.257,"X",94.268,86.29,"T",57,48.919,"Class3",27.297,15.468
57.881,59.857,"X",92.051,84.685,"P",75,33.4,"Class3",24.102,15.828
6.218,75.937,"K",83.617,NA,"R",73,85.151,"Class2",57.46,33.231
3.597,87.048,"J",19.331,NA,"P",87,85.741,"Class2",52.37,53.92
8.262,40.422,"Q",14.395,85.948,"C",84,61.969,"Class1",39.518,90.849
22.94,13.93,"S",90.218,34.859,"N",23,57.64,"Class4",92.594,9.178
21.319,8.31,"S",84.453,33.663,"R",11,46.495,"Class4",100.257,6.07
8.792,72.897,"M",44.398,30.083,"O",78,85.295,"Class2",46.052,31.844
38.008,59.817,"X",92.107,89.224,"P",72,42.219,"Class3",17.343,16.65
31.949,51.154,"N",94.427,88.175,"T",68,34.626,"Class3",26.193,16.731
16.116,6.819,"B",92.684,30.37,"P",13,53.128,"Class4",94.309,3.474
3.802,50.48,"J",36.31,48.155,"O",76,85.659,"Class2",64.804,45.732
27.231,53.479,"I",93.39,92.186,"E",66,51.659,"Class3",24.835,17.277
31.974,50.222,"M",37.831,44.751,"R",81,86.119,"Class2",44.599,11.715
18.553,30.857,"B",87.049,29.611,"N",23,39.088,"Class4",95.779,8.546
19.715,78.265,"Z",73.333,82.32,"O",88,85.349,"Class2",51.847,7.512
25.529,59.835,"Z",95.629,85.746,"E",62,42.555,"Class3",25.32,10.195
20.408,16.566,"S",NA,32.897,"Y",22,46.575,"Class4",96.003,10.537
43.878,53.407,"N",92.846,89.771,"R",59,41.3,"Class3",31.89,12.631
20.291,55.809,"T",95.675,87.264,"R",64,31.095,"Class3",21.219,13.099
53.545,55.742,"N",91.952,91.621,"J",70,40.316,"Class3",16.801,12.4
10.476,68.267,"K",37.768,51.885,"G",87,85.485,"Class2",49.844,21.442
15.461,34.801,"S",11.849,73.706,"K",91,31.839,"Class1",40.53,94.647
11.658,5.409,"L",83.293,35.748,"R",15,63.687,"Class4",95.367,10.721
32.309,61.915,"N",92.951,87.085,"J",61,32.504,"Class3",29.59,17.013
14.063,60.662,"Z",40.44,35.4,"K",77,85.762,"Class2",50.277,6.064
15.133,54.899,"G",NA,83.492,"Y",77,50.504,"Class1",39.122,97.077
22.032,11.807,"S",87.589,NA,"R",18,78.941,"Class4",91.585,3.887
26.672,53.83,"N",95.927,94.637,"J",83,39.443,"Class3",25.842,16.997
5.285,62.808,"J",65.779,63.617,"P",80,85.654,"Class2",65.528,18.651
