"AMD1","ZGR2","YOI3","COQ4","BYR5","YRE6","XYF7","Output11","FHN8","JOB9","GUC10","MRT11","AGX12"
43.746,38.848,26.626,"U",35.962,96.62,-1.816,"Class2",63,26.524,55.916,"Q",54
92.717,64.269,52.26,"U",23.653,60.443,33.894,"Class3",49,57.371,74.145,"Z",3
37.101,31.289,58.01,"Y",86.075,29.626,52.81,"Class1",45,26.529,3.347,"U",66
59.875,67.446,53.23,"B",25.291,52.573,5.404,"Class3",50,59.285,51.135,"G",6
84.536,77.108,56.812,"Z",57.299,11.138,71.573,"Class5",38,81.234,66.866,NA,30
81.984,33.204,29.345,"U",46.182,27.32,8.449,"Class2",64,35.025,34.816,"E",49
34.047,40.353,77.254,"B",51.953,63.567,47.645,"Class4",72,67.325,40.71,"W",36
66.068,78.916,60.142,"X",67.561,12.259,77.21,"Class5",34,82.576,24.79,"M",34
34.59,12.505,60.956,"P",31.206,41.874,54.576,"Class1",56,74.367,3.767,"E",68
20.494,44.342,29.605,"F",36.954,92.007,13.007,"Class2",64,33.423,50.014,"X",76
69.804,34.926,49.181,"B",18.551,55.489,-14.372,"Class3",48,66.158,33.86,"N",6
35.137,51.424,57.64,"K",51.147,53.303,56.879,"Class1",49,2.54,3.709,"K",74
76.127,77.904,37.392,"V",53.911,13.894,70.482,"Class5",50,67.55,21.603,"M",34
17.196,34.677,29.604,"Q",18.291,12.857,5.543,"Class2",61,62.189,44.47,"A",19
38.29,34.703,77.374,"D",55.678,60.616,47.821,"Class4",63,64.688,37.696,"O",41
85.068,78.153,41.081,"Z",61.392,13.45,75.623,"Class5",18,92.108,12.273,"Y",35
29.902,38.31,29.552,"F",48.796,61.963,12.087,"Class2",75,33.298,61.478,"X",43
35.275,53.83,60.189,"N",40.139,36.798,50.167,"Class1",55,49.61,2.265,"N",77
65.831,36.833,53.985,"B",16.771,78.933,22.613,"Class3",45,72.241,57.659,"X",5
32.103,44.294,77.141,"B",50.794,53.547,-14.913,"Class4",51,61.547,15.629,"Q",32
31.965,30.63,56.505,"N",39.141,18.855,51.221,"Class1",33,61.324,3.607,"E",74
52.279,43.708,28.917,"U",31.666,20.604,8.577,"Class2",60,42.172,50.837,"F",51
69.772,77.557,53.453,"N",57.275,13.377,77.879,"Class5",13,65.065,33.58,"F",43
33.941,33.959,77.063,"D",58.547,45.094,54.728,"Class4",69,67.032,46.742,"N",44
43.615,47.981,77.916,"B",56.69,67.043,50.89,"Class4",45,67.705,31.401,"W",30
30.594,8.275,57.857,"W",56.398,29.06,52.969,"Class1",60,46.078,5.924,"K",69
84.036,43.346,51.423,"U",23.935,54.355,41.307,"Class3",47,45.079,55.165,"G",1
72.377,72.598,48.397,"U",22.564,69.391,7.927,"Class3",45,62.648,40.11,"Z",9
62.448,77.887,56.214,"X",59.228,12.147,78.545,"Class5",54,88.925,32.454,"G",36
90.118,43.306,29.156,"R",29.715,32.027,-8.485,"Class2",59,11.458,62.655,"F",37
31.016,38.237,77.826,"C",56.548,59.135,54.495,"Class4",62,46.969,37.305,"N",28
77.716,78.784,61.486,"G",77.287,12.328,70.447,"Class5",14,44.262,51.167,"F",34
67.458,31.326,28.649,"U",30.026,-1.79,9.479,"Class2",65,15.813,58.019,"A",56
82.023,77.553,40.253,"V",62.607,12.659,78.541,"Class5",28,58.743,46.043,"S",43
59.103,31.351,24.965,"U",40.78,49.475,17.078,"Class2",68,10.407,46.411,"Q",20
68.352,37.71,43.881,"P",17.884,79.554,8.926,"Class3",59,47.864,70.489,"D",6
32.123,41.811,54.075,"K",35.247,9.867,49.512,"Class1",47,44.165,3.751,"K",68
33.484,34.57,77.089,"C",44.062,53.901,11.407,"Class4",73,69.942,22.668,"W",31
92.265,35.892,23.662,"H",18.128,11.658,-0.415,"Class2",66,63.066,48.95,"F",20
68.151,37.447,23.54,"Q",44.824,-7.038,17.057,"Class2",82,14.053,51.739,"E",100
66.097,51.782,54.553,"L",24.648,39.543,-1.49,"Class3",52,87.715,45.669,"Z",9
72.701,78.163,44.626,"N",58.561,10.477,70.804,"Class5",43,54.016,22.047,"S",34
62,65.266,46.679,"U",23.2,57.377,22.069,"Class3",54,74.356,43.891,"G",4
76.095,77.625,48.99,"X",47.79,11.448,81.41,"Class5",56,92.205,43.456,"M",31
33.88,28.746,56.788,"Y",44.479,41.861,49.513,"Class1",43,63.976,3.633,"N",70
29.712,65.724,56.563,"W",56.463,41.902,51.044,"Class1",60,69.86,1.222,"U",70
30.662,31.984,23.221,"F",42.12,65.46,20.911,"Class2",73,8.743,41.792,"E",64
66.375,38.78,28.305,"U",21.426,65.608,1.889,"Class2",61,26.416,55.664,"F",35
36.969,38.694,77.14,"D",58.259,60.259,26.713,"Class4",55,65.59,36.499,"U",26
35.573,67.396,59.663,"K",60.761,43.725,53.948,"Class1",50,69.314,2.353,"K",77
64.437,32.063,29.688,"H",31.006,66.681,9.694,"Class2",76,39.733,72.371,NA,39
73.788,61.411,42.23,"A",22.052,58.458,28.367,"Class3",50,57.527,56.572,"G",1
46.677,75.021,45.097,"B",23.527,60.046,-9.003,"Class3",54,61.113,58.365,"N",3
0.213,41.173,26.582,"F",27.235,54.105,5.33,"Class2",76,55.283,53.669,"A",27
83.038,77.25,43.75,"X",60.184,13.916,78.125,"Class5",37,73.545,28.768,"S",44
49.84,36.057,23.662,"H",26.391,72.263,-0.371,"Class2",67,42.402,63.305,"A",26
32.194,76.4,58.637,"P",72.384,53.57,50.555,"Class1",31,80.093,2.248,"U",68
36.799,NA,24.537,"H",22.432,44.781,8.862,"Class2",61,21.807,36.243,"F",65
53.418,50.66,49.239,"A",17.987,73.307,22.817,"Class3",53,74.852,59.923,"X",9
32.927,NA,77.865,"B",52.314,71.917,30.274,"Class4",45,66.284,31.29,"U",44
33.056,76.853,59.42,"W",56.737,51.753,53.122,"Class1",34,44.861,1.008,"K",74
74.773,78.856,43.675,"Z",54.622,9.275,75.68,"Class5",52,84.9,42.714,"G",41
41.455,34.554,77.54,"B",50.235,62.424,20.462,"Class4",54,50.237,36.861,"W",27
85.732,77.313,47.073,"V",61.444,16.101,70.114,"Class5",12,80.44,36.647,"F",46
63.205,34.072,28.029,"Q",34.399,38.933,8.858,"Class2",81,18.327,34.467,"X",42
33.559,31.997,58.707,"P",51.82,46.159,50.258,"Class1",33,25.758,2.414,"N",65
35.847,13.295,55.083,"K",67.693,27.509,54.433,"Class1",53,74.447,2.937,NA,66
26.987,33.021,77.371,"C",52.602,63.089,44.165,"Class4",56,65.196,39.592,"W",28
31.59,NA,77.017,"R",52.96,75.095,91.595,"Class4",51,66.093,29.722,"N",42
37.105,45.236,77.172,"U",56.057,59.954,16.911,"Class4",59,66.275,27.139,"O",30
33.763,76.713,59.949,"K",69.959,23.11,49.941,"Class1",59,47.346,3.887,"E",67
53.208,54.699,43.093,"U",17.844,66.75,27.554,"Class3",45,75.007,39.138,"N",4
31.418,47.648,77.585,"R",58.575,57.093,55.29,"Class4",61,68.902,50.846,"N",35
77.978,72.535,54.888,"L",19.508,33.345,25.085,"Class3",58,83.065,58.68,"N",7
27.745,39.863,77.528,"R",45.324,67.153,30.527,"Class4",67,71.444,35.336,"U",34
80.366,77.542,47.291,"G",66.53,14.929,65.673,"Class5",16,60.838,17.03,"M",42
73.859,78.665,52.244,"G",72.344,9.99,81.229,"Class5",42,84.575,18.028,"G",29
15.252,42.172,27.684,"Q",23.827,51.422,-0.398,"Class2",68,44.102,31.605,"Q",34
31.019,39.029,77.25,"C",57.637,53.544,38.802,"Class4",48,46.813,34.597,"Q",40
70.376,42.533,55.182,"B",14.711,41.934,2.119,"Class3",47,62.712,67.248,"Z",4
73.574,78.224,47.265,"N",52.537,20.352,76.048,"Class5",36,82.512,58.745,"S",32
45.853,30.277,29.214,"R",24.775,-7.464,12.24,"Class2",75,31.54,33.982,"A",48
35.03,6.83,58.124,"K",61.682,29.395,49.923,"Class1",44,83.974,4.668,"L",73
78.711,35.749,28.539,"F",37.514,60.353,17.083,"Class2",74,46.608,45.863,"A",85
65.194,30.766,24.247,"R",42.845,40.157,23.914,"Class2",70,10.773,45.143,"F",67
35.417,49.245,77.679,"C",46.246,33.652,41.164,"Class4",40,60.639,22.137,"W",28
76.68,77.964,39.188,"X",55.372,17.831,76.43,"Class5",49,92.95,76.068,"M",46
69.415,77.36,37.612,"V",49.449,5.989,75.866,"Class5",21,46.864,35.117,"M",29
44.992,35.276,42.242,"L",24.696,81.172,26.431,"Class3",55,45.594,49.408,"X",2
28.071,36.317,77.353,"R",44.21,65.311,75.731,"Class4",60,56.007,35.99,"O",40
34.96,88.64,55.616,"N",69.199,44.496,54.527,"Class1",32,46.288,2.884,"L",68
32.169,65.851,55.271,"N",71.329,31.988,56.565,"Class1",39,75.261,3.516,"E",78
45.788,35.275,26.313,"H",44.646,45.823,17.475,"Class2",71,35.704,43.606,"Q",53
32.79,59.38,54.343,"K",52.798,39.143,53.274,"Class1",37,33.075,3.262,"K",70
79.231,78.763,50.905,"Z",71.077,12.585,83.759,"Class5",24,53.227,19.333,"F",35
112.453,40.91,27.494,"Q",29.023,44.573,13.097,"Class2",69,33.294,31.995,"X",72
34.182,33.995,77.103,"R",55.368,64.609,29.394,"Class4",39,50.475,36.018,"O",30
31.099,90.025,60.667,"Y",57.779,12.526,54.458,"Class1",50,78.597,2.315,"U",70
35.741,83.481,55.401,"P",82.005,22.315,49.015,"Class1",42,17.091,3.888,"E",74
35.363,46.355,77.261,"C",47.081,54.911,19.109,"Class4",74,63.213,31.61,"O",33
64.89,34.428,29.626,"U",47.393,110.231,13.349,"Class2",68,45.481,66.384,"A",84
73.148,30.611,23.014,"F",32.901,17.348,-6.228,"Class2",84,35.093,42.819,"E",95
80.642,77.099,59.584,"Z",46.486,11.514,71.382,"Class5",21,84.09,48.375,"M",40
76.356,77.435,53.665,"X",69.74,14.87,78.949,"Class5",43,50.59,21.009,"S",37
82.664,52.692,52.913,"U",25.083,42.78,20.94,"Class3",44,84.517,59.765,"Z",4
38.906,48.526,77.272,"R",53.424,58.722,46.548,"Class4",42,58.741,33.305,"O",41
81.429,78.888,53.413,"N",57.126,6.651,78.753,"Class5",44,55.295,34.131,"M",42
31.639,5.86,59.987,"N",31.246,42.328,51.808,"Class1",33,44.845,3.431,"U",67
64.994,40.436,42.757,"L",19.585,63.713,28.01,"Class3",59,63.289,57.265,"D",8
58.607,53.886,47.14,"U",20.969,37.257,2.749,"Class3",52,76.727,46.51,"N",4
43.358,39.998,27.493,"U",14.904,24.565,3.855,"Class2",78,43.307,53.217,"E",67
34.183,86.793,55.977,"W",89.155,43.903,52.888,"Class1",33,82.933,1.58,"N",73
68.467,50.898,48.951,"U",19.273,44.955,23.371,"Class3",49,92.33,55.573,"G",3
70.308,77.713,37.642,"G",75.059,15.242,80.638,"Class5",44,89.158,39.537,"S",37
63.93,66.645,55.61,"L",16.364,91.982,25.08,"Class3",48,95.359,58.062,"X",4
97.502,36.759,24.802,"U",29.34,68.132,-4.534,"Class2",62,22.103,36.988,"F",35
70.263,78.393,48.102,"G",69.282,12.866,68.555,"Class5",30,48.715,-6.928,"Y",49
46.657,68.89,44.805,"L",21.256,53.735,4.024,"Class3",47,84.552,43.859,"N",4
31.449,25.305,60.834,"N",31.673,25.96,54.503,"Class1",48,46.352,4.127,"L",70
30.034,66.018,56.2,"Y",87.689,14.755,58.364,"Class1",58,5.867,1.851,"N",72
40.242,45.397,77.169,"B",58.136,73.815,10.038,"Class4",65,47.107,30.405,"N",32
77.388,41.029,29.625,"Q",16.296,2.108,5.284,"Class2",85,58.235,34.756,"Q",98
79.658,77.945,45.366,"N",62.513,13.973,75.577,"Class5",53,43.486,20.228,NA,49
80.519,44.788,29.404,"H",18.736,46.069,7.88,"Class2",80,62.569,47.584,"E",18
30.346,35.431,42.857,"B",17.578,47.822,17.172,"Class3",49,76.356,56.356,"G",6
83.726,75.816,49.182,"A",22.029,67.825,15.197,"Class3",59,91.843,63.816,NA,6
30.149,75.049,56.809,"W",59.813,4.367,56.109,"Class1",57,79.301,4.263,"K",69
79.929,78.031,52.801,"N",70.704,16.025,67.749,"Class5",53,60.434,27.766,"S",31
34.626,83.464,60.113,"N",89.049,14.975,56.429,"Class1",39,29.795,4.756,"K",68
75.974,33.403,28.544,"H",25.909,47.982,18.83,"Class2",71,7.524,60.241,"X",38
83.05,78.075,57.4,"Z",75.645,13.631,77.506,"Class5",37,85.308,49.923,"F",46
94.926,61.033,40.02,"A",20.541,73.765,38.145,"Class3",59,72.257,60.427,"D",3
35.271,36.974,77.175,"C",42.819,72.416,26.306,"Class4",66,66.547,26.868,"O",38
34.156,61.77,54.644,"W",33.653,19.122,53.959,"Class1",40,52.56,4.195,"N",78
49.513,NA,29.866,"Q",25.404,30.472,6.108,"Class2",73,8.245,53.993,"X",44
33.118,44.454,77.609,"C",55.695,56.782,28.813,"Class4",71,49.109,19.032,"W",36
35.316,37.771,27.719,"U",26.218,56.292,2.053,"Class2",83,36.017,56.547,"E",45
33.684,21.565,54.935,"K",34.825,44.813,56.252,"Class1",51,56.031,2.725,"N",72
70.711,77.336,38.676,"X",48.022,16.1,65.011,"Class5",43,78.46,26.145,"M",28
30.138,29.15,56.724,"Y",67.082,25.757,57.032,"Class1",55,40.764,4.407,"U",67
64.297,77.253,58.548,"G",76.912,13.958,75.041,"Class5",15,83.662,15,"Y",39
34.713,88.992,59.766,"W",52.909,29.305,53.28,"Class1",40,87.63,2.287,"L",68
34.438,50.192,77.291,"U",46.022,54.806,20.623,"Class4",70,71.108,12.796,"Q",28
59.174,37.641,25.731,"U",48.98,33.712,11.151,"Class2",70,52.964,44.598,"Q",91
63.26,60.526,54.571,"U",15.95,65.872,-6.456,"Class3",52,60.345,43.628,"Z",3
60.483,38.705,29.695,"Q",47.531,60.442,5.455,"Class2",74,23.882,49.092,NA,26
77.749,45.072,44.556,"B",22.575,46.492,28.891,"Class3",54,60.623,46.445,"G",8
74.984,31.471,28.922,"H",48.295,99.625,10.823,"Class2",77,27.582,41.474,"Q",62
70.823,NA,53.476,"U",16.173,61.527,34.15,"Class3",58,67.193,37.666,"G",2
77.652,77.503,48.095,"Z",48.483,14.553,68.354,"Class5",45,44.36,48.29,"F",45
34.357,47.8,77.645,"C",56.402,62.85,47.034,"Class4",73,72.871,26.244,"Q",33
89.197,77.955,55.197,"X",71.24,10.253,76.364,"Class5",45,49.24,33.704,"G",31
34.111,70.364,55.062,"N",66.494,30.942,50.57,"Class1",57,4.589,2.503,"K",75
35.023,6.902,60.897,"Y",72.205,47.785,54.169,"Class1",39,4.605,0.935,"L",67
30.785,81.632,57.803,"P",44.131,20.84,53.927,"Class1",45,5.59,3.111,"E",72
36.39,41.24,77.604,"U",43.67,57.711,43.383,"Class4",49,42.905,36.478,"U",38
34.849,70.003,55.301,"K",77.946,42.345,57.838,"Class1",42,52.833,4.499,"K",65
78.702,77.669,42.738,"Z",50.969,10.87,76.465,"Class5",36,37.282,37.55,"Y",38
69.386,74.882,48.669,"P",21.963,80.208,13.48,"Class3",54,46.878,46.752,"X",7
29.088,49.171,77.981,"C",52.04,62.407,46.103,"Class4",50,56.642,26.503,"W",31
30.311,16.582,60.214,"Y",64.731,10.872,51.992,"Class1",60,7.618,4.043,"L",76
33.93,40.607,77.161,"B",42.814,62.347,17.259,"Class4",74,71.059,45.513,"O",37
27.925,39.384,77.736,"D",44.064,69.056,23.616,"Class4",72,51.4,40.438,"U",27
57.414,73.404,47.873,"P",18.231,67.197,10.973,"Class3",49,46.372,69.667,"Z",1
60.217,35.505,27.503,"R",37.926,60.007,12.61,"Class2",77,32.022,44.878,NA,34
33.273,84.691,54.832,"K",64.389,26.001,53.089,"Class1",40,67.995,2.37,"N",76
41.1,44.257,23.057,"R",26.02,59.457,1.322,"Class2",69,44.477,53.871,"X",70
34.895,31.87,54.891,"K",63.812,45.088,52.617,"Class1",30,55.659,5.303,"K",71
38.962,49.497,77.121,"D",43.01,56.093,80.691,"Class4",53,62.062,35.626,"W",26
26.006,40.49,77.089,"R",57.5,77.551,61.904,"Class4",42,68.347,16.148,"O",28
80.818,72.142,43.073,"P",20.636,65.799,15.409,"Class3",52,89.528,58.905,"X",6
79.93,66.488,51.755,"P",14.047,45.533,20.066,"Class3",44,84.401,50.948,"N",7
28.696,41.084,29.242,"Q",27.929,60.513,8.192,"Class2",59,20.971,40.816,"F",62
84.625,35.9,27.322,"R",15.049,62.931,8.741,"Class2",81,65.433,36.55,"X",54
100.749,39.515,50.153,"P",18.26,79.767,15.673,"Class3",49,66.452,44.39,"Z",1
75.117,78.095,38.263,"X",78.441,16.621,76.079,"Class5",56,40.985,1.233,"S",47
32.718,66.194,59.731,"K",37.537,45.963,49.035,"Class1",55,37.517,2.912,"L",62
34.912,33.343,77.526,"B",48.395,75.416,32.64,"Class4",67,56.304,38.39,"W",34
96.291,NA,25.121,"Q",26.615,58.783,12.265,"Class2",78,17.303,56.29,"F",98
22.912,41.557,77.475,"R",44.12,66.613,36.944,"Class4",43,47.045,39.722,"U",30
36.717,78.272,55.277,"K",89.61,11.138,50.828,"Class1",44,74.074,3.495,"K",64
70.327,78.067,46.734,"G",68.399,14.86,72.999,"Class5",49,47.893,12.556,"Y",37
34.072,74.567,57.078,"P",75.964,35.025,52.723,"Class1",57,39.787,4.664,"E",77
79.978,32.465,29.015,"R",16.374,8.107,11.232,"Class2",59,55.939,45.406,"A",63
37.075,81.692,54.284,"Y",44.2,13.293,55.776,"Class1",56,67.103,5.542,"U",69
54.887,48.839,54.648,"B",16.423,54.819,20.139,"Class3",43,62.265,41.843,"D",3
56.792,68.309,50.687,"A",17.318,55.575,39.666,"Class3",54,94.4,59.301,"G",7
38.915,47.562,77.456,"B",57.667,55.007,45.54,"Class4",49,45.518,42.995,"W",32
71.435,39.916,45.084,"B",24.548,72.179,33.707,"Class3",52,40.459,69.616,"Z",5
56.513,71.05,50.673,"A",19.235,54.155,9.184,"Class3",45,58.589,75.54,NA,6
17.286,38.709,29.649,"Q",30.78,94.612,10.599,"Class2",79,48.144,53.281,"E",68
72.005,77.024,37.873,"V",47.838,17.079,72.678,"Class5",18,84.695,55.767,"G",30
31.805,37.745,77.764,"D",57.167,56.106,55.424,"Class4",69,50.787,19.758,"O",26
47.762,32.781,25.078,"F",20.405,27.057,17.445,"Class2",58,21.222,68.642,"A",86
82.091,78.844,53.753,"N",58.063,9.812,74.756,"Class5",26,83.043,19.126,"M",41
48.975,50.065,49.491,"P",21.604,66.745,-15.256,"Class3",51,88.956,35.478,"N",6
24.554,75.998,60.279,"W",78.886,22.066,53.419,"Class1",60,36.736,4.545,"N",67
36.102,34.407,77.546,"R",55.158,76.216,37.428,"Class4",64,69.809,30.1,"Q",35
77.786,77.378,54.105,"Z",54.751,10.726,75.514,"Class5",35,38,37.554,"Y",34
50.531,63.347,42.838,"P",20.991,45.744,45.853,"Class3",52,42.133,44.032,"Z",2
50.689,67.063,44.519,"P",17.814,61.023,32.567,"Class3",49,48.48,68.947,"N",2
74,78.633,58.86,"G",67.473,17.026,64.08,"Class5",35,34.318,51.493,NA,35
42.649,39.546,25.197,"Q",48.317,33.35,15.027,"Class2",77,10.674,39.807,"E",37
59.805,59.32,46.745,"A",21.03,62.337,-0.893,"Class3",59,44.526,56.37,"Z",2
42.728,41.537,77.673,"D",57.465,69.633,69.875,"Class4",62,64.164,26.341,"N",31
35.23,50.594,77.106,"D",53.62,72.567,64.696,"Class4",51,56.196,44.211,"O",40
36.339,38.877,77.903,"D",47.634,43.935,18.814,"Class4",54,59.099,29.603,"Q",43
34.034,6.925,58.121,"Y",38.177,22.615,55.2,"Class1",41,74.964,2.326,"K",75
76.877,78.39,48.983,"Z",53.182,15.302,75.671,"Class5",31,46.872,18.856,"Y",32
18.261,38.504,28.848,"H",30.073,26.714,1.785,"Class2",79,62.968,47.886,"A",81
2.883,34.171,23.003,"F",21.899,48.719,16.701,"Class2",81,54.105,39.277,"F",68
48.796,59.304,42.855,"P",17.608,46.342,34.068,"Class3",52,72.661,46.672,"N",1
33.289,NA,77.007,"C",51.365,54.239,-16.326,"Class4",42,65.425,34.808,"U",39
34.253,NA,55.121,"W",55.812,23.934,54.329,"Class1",58,64.413,2.201,"U",71
41.426,39.181,29.797,"Q",42.487,64.233,8.745,"Class2",66,17.262,40.229,"A",45
53.601,40.557,27.784,"U",24.699,57.805,9.387,"Class2",59,60.349,41.207,"F",44
32.569,51.386,57.651,"K",57.588,18.728,56.666,"Class1",38,5.214,2.673,"N",61
47.35,43.263,23.419,"U",18.834,48.595,5.86,"Class2",58,25.657,39.601,"F",43
74.181,78.244,42.187,"Z",56.967,12.757,82.227,"Class5",9,59.147,34.048,"M",36
49.031,44.077,24.68,"Q",32.467,16.676,10.779,"Class2",61,51.429,61.931,"F",39
72.622,78.257,44.615,"Z",70.843,8.692,71.854,"Class5",27,56.204,8.418,"S",45
72.146,78.927,59.579,"Z",70.21,11.265,70.637,"Class5",36,31.865,53.321,"G",32
58.805,35.554,43.742,"B",14.013,60.7,25.771,"Class3",43,42.528,42.32,"X",6
25.023,37.421,24.594,"H",25.756,60.827,5.144,"Class2",70,30.207,70.724,"A",18
98.796,30.243,23.472,"H",18.721,72.329,9.803,"Class2",65,41.451,44.051,"Q",76
84.743,78.837,40.044,"G",57.048,12.791,73.061,"Class5",39,52.309,31.591,"G",33
69.732,34.133,29.117,"Q",43.022,10.892,1.734,"Class2",64,43.545,54.849,"X",66
73.07,53.476,41.318,"B",20.621,67.875,1.006,"Class3",47,63.361,47.554,"G",2
59.232,66.035,53.547,"U",23.531,54.081,5.358,"Class3",49,94.973,76.312,"D",8
37.409,42.904,77.105,"B",51.085,59.542,75.84,"Class4",50,51.634,25.786,"U",27
32.958,75.259,54.035,"Y",59.137,21.283,47.984,"Class1",39,69.669,3.424,"L",65
31.866,28.138,55.406,"P",84.519,29.273,50.649,"Class1",41,67.925,2.778,"K",65
33.638,35.581,59.914,"Y",33.361,11.475,51.343,"Class1",32,72.643,2.413,"N",63
53.306,44.067,56.585,"L",14.482,54.954,32.32,"Class3",52,71.971,83.238,"X",5
69.619,77.477,44.748,"Z",48.559,15.03,77.808,"Class5",42,54.129,29.954,"Y",49
33.428,25.411,58.28,"N",57.376,24.22,51.617,"Class1",44,87.522,3.597,"K",76
67.467,77.944,42.254,"X",72.572,13.409,70.73,"Class5",45,42.264,34.116,"S",31
39.52,45.788,77.756,"C",48.668,53.892,17.703,"Class4",61,57.036,30.665,NA,40
84.455,77.255,59.043,"V",75.536,15.522,80.081,"Class5",19,32.133,66.271,"M",42
81.395,77.497,41.87,"Z",47.809,16.23,71.151,"Class5",41,51.388,38.381,"F",29
41.309,43.119,28.685,"U",16.138,58.564,13.186,"Class2",70,28.649,40.152,"E",40
32.762,49.664,77.973,"B",54.394,60.068,53.99,"Class4",61,48.43,36.794,"W",41
66.455,49.124,54.555,"P",24.574,64.616,16.425,"Class3",56,44.063,49.351,"N",4
37.878,43.709,77.149,"D",54.46,69.194,18.696,"Class4",72,61.683,28.274,"W",28
47.686,36.142,24.571,"Q",15.155,23.116,5.226,"Class2",61,16.012,58.239,"A",22
33.323,35.235,77.771,"D",45.921,60.638,37.261,"Class4",72,56.085,34.405,"W",26
68.998,67.522,45.747,"P",23.84,67.973,30.811,"Class3",47,40.617,25.66,"N",4
63.317,78.463,52.8,"X",71.852,18.76,69.425,"Class5",19,64.98,2.442,"F",46
29.095,41.615,77.994,"U",55.373,66.905,28.746,"Class4",57,48.094,28.774,NA,39
63.704,78.864,41.235,"N",55.676,13.095,64.375,"Class5",10,54.559,39.41,"M",35
75.762,77.004,37.906,"G",64.481,10.19,72.95,"Class5",25,42.198,17.036,"F",49
29.086,17.908,60.118,"W",34.424,24.807,56.197,"Class1",40,10.237,4.441,"E",76
69.597,52.21,49.432,"A",24.202,61.005,7.924,"Class3",54,43.026,66.413,"D",7
