"MRQ1","QJV2","LID3","AHN4","YXE5","PNH6","WVM7","UKR8","AYF9","UBT10","Output13","BEP11","CZN12"
55.905,41.778,19,69.782,43.685,56.201,"Q",41.718,45.244,9.675,"Class2","P",62
89.559,7.79,19,59.984,89.36,57.171,"G",67.337,1.351,74.848,"Class3","Z",32
31.892,42.663,64,84.708,77.825,6.839,"N",41.585,42.507,41.808,"Class5","D",58
39.796,NA,42,7.617,59.491,19.58,"M",72.328,80.861,16.343,"Class4","N",65
88.272,21.284,21,75.55,90.596,80.716,"Q",47.955,18.075,50.128,"Class3","F",39
24.079,21.8,43,46.253,49.839,45.292,"L",85.95,82.877,32.856,"Class1","Y",8
34.981,85.421,66,47.484,83.536,22.887,"W",43.765,62.453,46.363,"Class5","Y",55
57.581,49.098,12,48.821,42.416,55.008,"N",39.531,48.652,6.193,"Class2","I",66
4.179,50.344,63,47.034,56.608,17.978,"W",87.574,82.303,38.038,"Class1","O",69
52.574,11.777,37,50.1,34.336,43.526,"U",88.757,82.493,37.784,"Class1","M",25
86.23,42.007,33,76.315,89.375,8.653,"P",13.654,17.833,39.525,"Class3","F",63
86.851,29.172,34,59.229,90.591,45.823,"G",65.223,12.199,73.864,"Class3","Z",81
85.57,26.361,47,65.936,87.902,61.318,"O",24.578,23.08,69.587,"Class3","Z",40
59.667,40.602,7,7.033,44.008,47.638,"N",43.654,81.34,9.532,"Class2","V",54
50.966,41.611,22,49.124,39.09,63.739,"X",42.756,30.567,2.616,"Class2","U",74
22.599,50.716,70,82.734,65.354,37.431,"N",33.087,66.596,28.92,"Class5","B",51
18.407,61.214,67,59.543,56.222,5.99,"W",34.66,48.581,49.448,"Class5","B",57
83.795,11.642,15,75.674,96.693,21.82,"G",39.312,5.552,84.157,"Class3","I",71
26.559,4.043,26,7.645,60.5,48.985,"C",71.153,87.438,41.635,"Class4","E",74
26.008,5.647,59,8.501,79.824,18.201,"U",71.85,66.026,20.125,"Class4","V",67
45.413,18.338,76,58.03,35.007,47.539,"V",85.853,83.166,37.091,"Class1","M",75
34.829,72.933,65,88.25,80.486,4.13,"N",37.024,12.985,34.45,"Class5","B",NA
51.202,10.536,37,57.87,49.633,44.499,"L",87.429,83.285,39.028,"Class1","O",13
65.104,64.813,8,36.712,42.417,51.787,"N",45.887,45.476,9.92,"Class2","U",72
46.151,53.261,18,70.983,41.671,24.647,"O",38.289,30.394,11.889,"Class2","V",68
55.561,80.591,11,24.364,41.079,28.639,"X",44.914,37.432,9.945,"Class2","I",72
5.827,6.931,29,7.532,48.361,23.908,"U",72.508,83.488,83.55,"Class4","E",53
51.002,NA,13,8.25,57.231,67.161,"O",71.938,71.88,81.483,"Class4","N",56
87.279,46.75,34,58.972,87.475,13.788,"P",59.46,19.576,23.677,"Class3","P",37
34.272,42.897,65,46.835,54.521,58.793,"C",88.859,83.075,34.527,"Class1","S",20
87.461,NA,43,61.383,91.572,42.33,"O",21.714,24.8,55.433,"Class3","Z",82
20.504,30.385,64,85.452,70.452,16.961,"W",38.787,19.882,58.135,"Class5","Y",NA
88.579,6.856,39,45.346,86.795,19.036,"G",77.926,23.82,68.742,"Class3","Z",72
89.007,30.094,21,74.179,90.385,15.551,"H",13.031,19.801,23.257,"Class3","I",55
78.854,30.686,58,49.063,39.108,51.127,"V",86.098,82.719,54.583,"Class1","S",68
53.268,52.847,13,51.7,40.456,10.255,"N",40.397,66.306,11.858,"Class2","U",61
86.751,51.85,14,57.009,89.665,44.009,"P",23.098,22.325,72.426,"Class3","Z",81
17.711,4.423,60,8.547,46.68,45.217,"O",72.138,86.802,38.425,"Class4","A",62
23.465,1.852,21,8.505,49.107,23.022,"S",71.985,77.996,17.276,"Class4","N",50
75.347,39.026,37,42.487,21.541,44.182,"L",87.718,82.725,53.034,"Class1","Y",26
86.719,5.848,19,56.909,93.088,19.386,"P",48.072,26.676,77.997,"Class3","I",84
33.731,13.315,56,42.947,45.884,16.307,"L",87.25,82.954,47.061,"Class1","Y",53
33.609,2.094,32,7.821,41.736,32.276,"C",71.856,70.535,18.573,"Class4","V",61
88.556,13.598,33,57.855,89.567,52.557,"P",13.295,2.03,51.796,"Class3","F",49
86.724,34.426,42,71.315,89.483,-3.433,"Q",52.004,9.58,55.555,"Class3","P",44
38.894,0.281,29,7.507,33.172,68.099,"M",72.748,66.62,25.703,"Class4","E",63
47.683,62.114,2,26.11,39.127,58.942,"Q",41.652,43.929,9.878,"Class2","P",45
33.317,NA,79,45.429,40.889,37.56,"C",87.511,82.49,50.532,"Class1","A",17
79.312,61.639,80,42.12,43.184,26.478,"V",89.257,83.05,53.32,"Class1","O",88
18.67,73.819,73,54.627,69.504,38.702,"S",43.596,21.241,27.998,"Class5","Y",56
56.816,80.765,18,69.56,42.202,28.34,"Q",45.993,53.024,7.625,"Class2","L",46
88.878,17.388,47,64.264,91.928,32.03,"O",33.789,5.857,80.312,"Class3","K",37
32.263,NA,21,8.004,44.957,63.157,"O",72.952,74.767,20.598,"Class4","V",77
27.924,61.558,25,56.901,41.651,27.354,"C",85.515,81.863,54.731,"Class1","A",61
85.888,26.723,13,48.714,85.456,76.463,"H",32.033,4.656,41.389,"Class3","I",24
59.827,5.134,13,7.337,54.738,18.768,"O",72.952,64.93,43.431,"Class4","V",31
31.196,5.684,58,7.98,52.468,51.225,"S",72.606,66.85,39.502,"Class4","A",20
34.07,6.947,67,8.867,53.054,37.894,"U",71.113,89.847,42.173,"Class4","R",NA
26.598,53.938,28,43.774,28.211,78.633,"V",89.507,83.929,45.769,"Class1","Y",83
19.706,48.711,71,30,76.482,38.701,"M",31.591,70.526,54.703,"Class5","X",54
45.87,44.775,14,55.367,41.637,39.2,"X",39.527,63.715,2.966,"Class2","I",50
32.276,2.792,47,7.647,50.344,77.124,"U",71.145,67.34,44.341,"Class4","A",44
48.877,25.371,64,47.312,34.773,64.491,"U",86.738,82.55,45.081,"Class1","A",NA
84.021,54.524,40,69.309,88.503,24.52,"Q",6.106,17.615,44.729,"Class3","F",52
41.369,6.438,68,8.07,53.395,81.451,"U",71.338,73.488,57.777,"Class4","E",51
14.273,79.85,68,76.508,90.081,31.374,"F",34.822,57.016,31.413,"Class5","Y",46
37.2,17.435,14,57.943,46.108,80.229,"V",89.193,83.132,41.809,"Class1","Y",83
88.676,45.067,43,44.996,88.583,50.684,"P",6.917,13.635,44.82,"Class3","K",22
56.175,17.843,70,54.689,27.201,16.04,"L",89.573,82.777,59.665,"Class1","M",59
20.609,85.824,70,75.226,69.968,-10.209,"S",38.339,46.897,60.382,"Class5","D",55
53.126,62.246,65,49.505,30.91,38.338,"U",86.489,82.217,52.037,"Class1","O",90
52.597,50.084,23,56.484,42.522,32.594,"N",43.334,59.71,11.974,"Class2","I",67
56.898,40.374,21,20.785,39.331,6.341,"X",40.769,21.764,10.975,"Class2","I",NA
12.021,67.162,68,69.442,85.805,21.585,"F",42.777,60.884,48.767,"Class5","D",56
25.968,87.557,64,72.358,61.315,36.2,"F",30.867,30.98,59.525,"Class5","X",60
58.942,5.793,9,7.576,40.872,42.907,"U",71.578,90.925,59.533,"Class4","R",48
51.235,43.469,21,83.329,43.043,52.049,"Q",41.672,60.96,11.517,"Class2","U",59
53.616,24.432,23,51.072,42.399,56.985,"C",88.048,83.438,37.2,"Class1","S",88
52.991,49.143,21,32.081,39.87,57.671,"Y",41.148,1.51,12.802,"Class2","P",50
85.628,NA,38,75.784,92.218,-5.678,"Q",62.468,18.494,88.697,"Class3","P",61
87.324,42.504,36,48.34,87.975,84.939,"H",46.933,22.134,21.708,"Class3","K",53
56.885,7.082,53,8.502,61.285,52.911,"M",72.146,73.153,71.544,"Class4","R",18
72.447,53.942,17,41.919,37.259,40.952,"Q",41.852,24.863,6.758,"Class2","L",68
11.94,36.64,65,24.961,76.815,10.416,"N",32.497,25.646,36.962,"Class5","T",60
61.878,60.919,1,62.896,42.548,66.361,"N",38.442,8.09,8.527,"Class2","I",56
31.209,1.291,63,8.261,32.161,23.489,"M",71.976,67.79,55.99,"Class4","E",61
88.545,24.173,20,71.773,90.345,16.907,"G",73.816,16.764,39.845,"Class3","I",22
56.022,6.302,30,7.458,52.159,47.198,"S",71.204,63.376,45.819,"Class4","V",68
29.262,47.646,62,53.617,40.465,44.766,"L",89.567,83.306,45.094,"Class1","M",57
27.846,36.216,64,43.297,50.007,19.925,"F",43.374,30.773,29.002,"Class5","B",60
48.671,83.059,13,54.668,41.951,86.395,"O",39.358,62.037,2.706,"Class2","V",50
87.757,11.607,27,46.069,83.659,73.152,"G",31.653,22.38,39.496,"Class3","K",31
29.165,84.043,71,39.701,49.096,23.122,"M",38.672,61.023,73.29,"Class5","B",54
50.018,3.639,36,8.939,52.218,4.295,"C",71.356,56.919,15.002,"Class4","N",16
62.505,60.904,68,42.582,56.515,56.228,"C",89.415,84.407,31.096,"Class1","Y",46
87.451,32.58,18,46.286,86.388,72.723,"H",2.798,10.979,57.25,"Class3","F",69
85.262,20.325,21,61.419,89.098,74.048,"H",79.128,11.821,83.633,"Class3","I",NA
11.802,95.344,68,21.996,89.787,13.301,"S",31.957,99.619,65.809,"Class5","D",NA
24.209,6.89,6,8.999,53.228,24.365,"O",71.545,97.829,83.699,"Class4","E",41
50.653,46.204,74,56.09,46.437,84.788,"V",89.925,82.982,36.607,"Class1","Y",26
20.645,7.05,20,7.274,41.203,74.059,"O",72.54,64.797,16.781,"Class4","V",47
88.611,21.037,17,68.892,93.993,59.782,"G",85.221,29.676,53.067,"Class3","P",47
20.007,62.613,67,80.725,65.808,37.816,"W",36.514,32.16,52.445,"Class5","D",59
62.096,43.907,9,17.593,40.472,46.982,"Q",38.841,27.815,6.07,"Class2","P",54
30.329,4.399,48,7.374,34.96,52.683,"M",72.404,96.066,43.551,"Class4","A",17
10.218,77.792,70,86.509,76.395,33.573,"N",38.107,17.895,46.834,"Class5","D",47
41.152,8.39,12,7.609,59.771,53.315,"M",71.41,102.899,33.546,"Class4","N",34
34.463,NA,10,8.298,41.648,50.613,"S",71.803,89.644,55.809,"Class4","R",40
43.17,28.058,32,58.005,37.996,57.851,"W",86.633,83.641,54.34,"Class1","A",85
29.574,45.015,31,43.236,49.107,65.033,"W",89.161,82.896,54.168,"Class1","A",21
85.556,16.014,18,74.056,89.39,51.694,"Q",29.614,15.693,32.294,"Class3","F",90
23.166,5.75,60,7.215,56.314,55.379,"S",72.383,73.46,18.97,"Class4","A",12
56.094,50.249,7,51.252,43.571,49.634,"Y",44.28,-21.215,11.567,"Class2","V",49
25.383,40.065,66,13.632,82.434,12.945,"M",29.737,18.172,58.392,"Class5","T",55
30.218,20.099,52,43.281,34.863,36.788,"V",88.484,82.646,48.229,"Class1","S",73
21.207,59.256,68,77.702,49.787,10.304,"M",36.898,57.177,50.927,"Class5","Y",58
87.407,4.657,34,65.871,92.961,20.467,"P",39.877,23.169,27.616,"Class3","K",43
26.669,53.142,66,68.938,74.19,8.879,"M",39.744,33.579,49.372,"Class5","Y",47
35.792,44.972,45,57.239,35.557,36.546,"V",88.072,81.935,52.413,"Class1","Y",73
20.196,44.569,65,27.546,65.588,9.512,"F",32.327,72.715,45.604,"Class5","T",56
58.889,45.464,46,50.327,42.367,40.885,"U",86.242,83.419,47.416,"Class1","S",60
20.593,47.92,63,84.036,74.508,21.551,"N",39.643,42.654,59.729,"Class5","Y",54
50.764,54.791,18,31.937,38.489,44.866,"Q",42.755,84.245,11.653,"Class2","L",58
35.477,NA,58,8.406,38.895,42.023,"U",71.37,70.494,35.166,"Class4","A",70
20.662,22.239,79,52.457,45.089,1.764,"V",85.46,83.809,53.416,"Class1","S",77
22.319,49.568,33,46.216,49.251,93.36,"U",86.34,82.7,39.456,"Class1","O",83
13.246,58.785,65,46.084,65.531,28.193,"N",33.899,44.67,37.504,"Class5","B",55
42.349,32.896,29,50.038,31.683,61.067,"W",88.59,83.187,53.208,"Class1","O",NA
54.262,53.443,12,62.628,42.344,86.425,"O",46.927,16.687,9.424,"Class2","U",52
60.38,NA,22,45.17,37.94,62.888,"N",38.549,87.179,9.335,"Class2","U",54
51.597,82.313,19,24.464,38.239,49.255,"Q",39.33,58.447,0.15,"Class2","I",49
12.208,32.391,66,17.319,71.249,29.134,"W",31.248,32.633,74.238,"Class5","X",56
55.226,59.135,7,34.775,40.462,38.372,"X",46.846,38.581,2.576,"Class2","P",55
83.061,34.147,15,47.712,90.728,23.507,"G",15.376,1.736,43.824,"Class3","I",32
50.524,0.157,32,8.827,87.912,9.243,"U",72.615,81.202,59.407,"Class4","V",52
57.791,7.344,67,8.539,36.243,12.063,"M",72.538,73.643,47.247,"Class4","E",NA
23.818,9.293,10,52.065,26.442,38.719,"U",86.692,82.374,43.307,"Class1","S",42
88.854,45.705,49,60.741,91.657,55.857,"G",22.536,38.737,88.988,"Class3","K",23
37.761,8.611,45,7.198,55.238,52.32,"U",71.779,110.619,26.68,"Class4","N",NA
0.526,4.513,42,8.178,54.8,-4.623,"O",71.307,76.19,83.01,"Class4","V",19
85.739,13.632,48,59.723,90.979,45.754,"G",52.227,33.238,47.003,"Class3","K",53
55.733,1.091,47,7.97,53.675,20.7,"M",71.826,63.559,26.811,"Class4","V",69
56.239,46.045,21,7.431,40.229,86.295,"X",38.447,36.094,3.626,"Class2","V",48
31.196,NA,64,88.234,81.877,-2.76,"F",39.682,33.594,23.325,"Class5","X",55
87.132,NA,21,50.41,87.492,49.75,"P",79.869,-3.23,35.436,"Class3","K",53
47.347,31.111,79,53.934,30.898,68.183,"L",86.511,84.188,58.324,"Class1","M",63
9.763,76.727,70,51.83,61.439,26.004,"S",36.947,74.16,59.589,"Class5","B",48
63.321,79.153,11,56.798,41.21,41.238,"N",43.743,2.299,8.342,"Class2","V",48
18.66,85.891,71,60.583,67.087,21.871,"F",37.232,31.596,30.634,"Class5","T",48
58.79,57.271,10,9.112,39.187,105.631,"Y",38.728,59.421,5.583,"Class2","P",51
37.461,1.369,34,7.439,32.913,2.79,"M",71.655,75.962,19.334,"Class4","A",34
53.027,40.192,16,51.475,41.851,90.618,"X",42.602,78.487,9.106,"Class2","I",70
84.449,3.705,12,69.676,83.964,47.466,"P",71.88,11.942,47.526,"Class3","P",30
83.313,6.9,25,47.543,27.135,84.77,"V",89.342,82.312,34.032,"Class1","S",71
27.487,4.792,48,7.819,35.591,24.253,"M",72.33,92.715,79.149,"Class4","R",45
50.302,64.95,3,40.093,42.476,25.053,"X",42.614,42.975,2.477,"Class2","L",72
83.47,54.227,44,74.168,93.277,-27.495,"Q",74.872,22.801,79.58,"Class3","I",69
35.477,1.41,57,8.984,48.722,36.93,"U",71.763,71.219,24.993,"Class4","R",63
85.639,33.282,39,67.842,87.751,49.311,"O",71.602,4.697,83.387,"Class3","P",51
23.445,NA,61,7.72,61.833,25.518,"M",71.163,88.208,39.915,"Class4","V",74
8.49,65.862,64,48.33,64.116,16.407,"W",40.65,48.022,50.662,"Class5","D",58
45.517,39.202,38,50.168,46.085,65.367,"V",89.81,83.3,39.877,"Class1","O",20
85.049,44.594,30,47.61,44.547,45.232,"L",87.863,82.865,40.055,"Class1","Y",55
32.857,NA,18,53.256,47.096,44.314,"U",86.056,83.035,53.01,"Class1","A",87
86.256,52.457,15,66.778,89.138,56.038,"P",77.304,13.109,41.079,"Class3","I",81
54.775,50.178,5,79.768,41.604,77.988,"Q",44.915,23.397,11.453,"Class2","U",56
35.649,NA,40,8.571,46.001,25.58,"O",71.744,64.887,46.777,"Class4","A",53
85.223,53.875,41,53.81,87.492,27.796,"G",14.543,22.953,75.857,"Class3","F",29
22.787,55.927,72,12.44,67.278,22.193,"F",37.423,66.699,24.147,"Class5","D",59
8.919,2.776,11,7.792,45.806,47.466,"S",71.634,79.391,15.856,"Class4","E",26
47.199,44.976,12,35.728,42.497,48.261,"N",39.177,35.326,1.382,"Class2","P",56
56.247,64.919,20,58.334,43.913,42.262,"X",44.725,40.079,10.646,"Class2","L",NA
15.7,54.793,65,40.936,69.809,29.321,"N",35.939,51.252,66.105,"Class5","X",61
45.635,30.571,10,59.61,45.031,55.637,"W",88.037,83.453,51.98,"Class1","A",NA
62.406,71.528,22,44.314,39.733,50.805,"Q",46.599,21.577,8.677,"Class2","V",51
24.018,NA,48,8.37,23.163,31.729,"C",71.96,73.358,53.45,"Class4","V",24
30.065,2.935,20,7.954,51.99,7.131,"U",71.02,84.599,58.238,"Class4","V",74
37.365,79.819,66,85.815,62.897,15.764,"W",43.855,-5.837,57.659,"Class5","Y",51
54.676,54.703,8,75.163,40.392,94.949,"X",40.694,16.562,1.193,"Class2","V",71
26.802,7.531,37,7.695,27.131,35.294,"O",71.945,60.291,33.244,"Class4","N",47
15.061,29.587,64,14.415,54.134,21.674,"M",41.68,11.786,47.578,"Class5","T",47
42.93,65.636,2,79.893,42.836,61.25,"X",43.538,11.682,2.976,"Class2","V",54
47.832,80.393,20,68.385,40.542,37.778,"X",44.638,15.767,2.116,"Class2","L",55
64.1,46.53,19,81.128,40.292,57.542,"Y",39.796,24.082,7.698,"Class2","I",71
24.96,4.108,36,8.925,38.611,18.079,"C",72.097,73.243,34.41,"Class4","R",25
53.282,14.306,22,44.794,47.373,60.681,"L",85.419,82.535,32.258,"Class1","M",81
87.102,10.75,37,63.366,91.095,-15.211,"Q",37.729,20.839,68.641,"Class3","F",43
58.627,51.493,5,31.521,41.022,64.39,"Y",42.51,28.458,8.054,"Class2","V",59
22.921,93.069,65,76.862,64.343,14.054,"M",34.182,35.65,39.756,"Class5","B",58
12.9,81.264,63,32.841,55.08,27.825,"W",33.913,27.269,36.936,"Class5","T",57
64.368,50.767,28,58.12,37.388,47.091,"L",85.232,83.682,51.341,"Class1","Y",93
89.631,21.762,35,52.9,88.193,-26.549,"H",56.004,34.316,54.089,"Class3","I",74
57.786,53.061,28,43.991,46.466,6.557,"L",87.494,82.727,53.861,"Class1","M",25
64.508,60.129,12,14.612,38.805,70.451,"Y",44.193,68.745,10.577,"Class2","L",56
56.629,1.612,24,7.438,51.607,80.454,"O",72.373,76.63,33.171,"Class4","N",52
90.485,20.332,36,51.874,93.031,41.515,"G",68.795,25.295,79.202,"Class3","I",47
39.512,2.945,36,7.034,56.276,91.552,"C",71.701,52.43,62.801,"Class4","A",68
86.286,27.82,48,57.609,88.874,32.529,"H",57.933,24.255,26.424,"Class3","P",38
85.925,32.247,30,58.731,92.639,34.495,"P",2.693,20.315,48.087,"Class3","F",67
23.055,52.137,63,30.763,65.032,25.985,"M",43.04,2.662,66.533,"Class5","T",47
58.384,7.333,62,48.438,46.855,86.328,"L",85.954,82.462,40.327,"Class1","O",NA
85.533,16.648,48,58.921,89.236,59.112,"P",19.602,37.769,36.829,"Class3","Z",53
37.207,75.01,70,44.405,59.085,26.849,"S",34.83,1.837,29.863,"Class5","D",51
48.444,4.638,44,55.325,40.428,-14.756,"C",89.591,83.439,52.805,"Class1","A",14
87.274,4.989,21,68.307,89.434,69.292,"Q",41.109,30.516,57.992,"Class3","K",54
24.74,4.118,11,51.297,45.453,76.088,"W",85.932,83.719,50.908,"Class1","O",65
33.625,8.255,51,7.725,57.933,27.631,"U",72.582,118.409,51.586,"Class4","N",15
86.589,16.186,41,53.163,87.834,9.169,"Q",67.045,20.238,58.558,"Class3","K",88
49.971,68.974,15,85.402,40.116,100.732,"X",47.719,21.727,11.386,"Class2","I",64
67.504,32.324,73,58.764,32.907,56.21,"U",86.672,82.286,48.584,"Class1","O",43
68.43,5.027,52,7.766,50.707,37.434,"O",71.122,64.047,26.871,"Class4","V",NA
14.627,88.252,69,7.442,62.088,20.739,"F",31.936,36.197,31.91,"Class5","X",55
28.249,4.628,29,8.034,49.329,21.787,"U",71.606,88.664,51.541,"Class4","R",71
88.779,42.806,26,63.912,92.696,46.172,"Q",58.782,3.46,25.152,"Class3","P",65
85.246,46.856,32,53.213,92.564,11.352,"P",15.858,31.362,87.766,"Class3","I",24
-18.483,0.368,46,7.056,41.621,85.754,"O",72.047,65.425,36.026,"Class4","R",34
-0.459,17.113,46,56.638,28.212,29.532,"U",86.867,82.23,50.768,"Class1","O",32
8.466,79.577,73,25.34,62.44,20.992,"M",38.472,45.92,56.408,"Class5","X",50
30.771,27.739,7,57.481,52.847,68.443,"W",88.852,82.489,56.109,"Class1","Y",15
27.681,74.149,63,58.371,82.62,37.474,"W",32.58,-2.712,44.382,"Class5","B",55
60.281,60.378,9,73.168,40.392,-7.779,"X",39.731,59.003,0.044,"Class2","L",60
49.394,0.789,22,7.448,58.271,31.801,"S",72.401,69.377,35.65,"Class4","N",34
85.347,53.729,20,64.243,88.585,70.705,"O",42.328,12.992,30.502,"Class3","I",83
86.886,55.638,31,68.255,89.451,79.18,"H",17.175,1.697,20.474,"Class3","Z",83
84.304,16.479,43,55.466,90.738,37.314,"H",78.402,23.246,32.503,"Class3","K",84
55.411,80.952,18,47.545,41.124,39.39,"X",47.434,19.82,10.06,"Class2","I",NA
30.454,40.96,70,44.221,73.463,21.892,"M",34.996,64.603,53.86,"Class5","D",60
56.512,57.195,12,8.719,42.447,23.518,"O",46.151,35.434,5.2,"Class2","V",73
36.937,26.429,45,48.53,60.473,17.704,"W",88.4,83.123,49.428,"Class1","A",13
22.515,62.07,71,86.796,59.404,33.181,"F",43.363,59.072,30.521,"Class5","D",46
87.815,21.892,46,50.719,92.037,-1.744,"Q",69.099,23.219,87.45,"Class3","K",75
50.107,35.873,48,47.213,52.017,76.052,"V",87.313,82.783,45.965,"Class1","S",91
86.499,21.064,42,68.286,87.727,19.038,"H",68.284,17.092,55.035,"Class3","K",22
23.74,35.912,70,85.423,72.497,5.633,"W",31.356,46.962,34.812,"Class5","D",50
89.627,36.599,24,56.925,92.246,42.2,"Q",18.412,20.407,85.498,"Class3","Z",52
86.465,35.799,41,46.838,90.522,49.435,"H",24.909,16.383,71.178,"Class3","K",56
16.61,69.977,67,23.626,57.875,26.698,"S",43.412,47.447,54.291,"Class5","X",51
24.863,0.782,65,7.646,40.991,68.335,"U",71.185,78.262,70.511,"Class4","R",50
41.153,63.601,78,47.908,48.691,17.847,"V",88.049,83.467,56.481,"Class1","A",39
88.665,44.897,39,60.496,94.007,31.935,"P",65.676,19.342,74.806,"Class3","I",47
