"LKQ1","Output19","WVR2","KLZ3","VEO4","EWA5","AWO6","HJY7","WUI8","LGQ9","UIV10"
75,"Class3",64.963,17.431,68.979,69.785,44.995,"R",79.704,35.294,31
66,"Class1",55.385,77.654,75.023,29.841,31.494,"X",51.283,34.117,64
41,"Class2",89.907,7.204,27.412,65.964,-2.565,"P",24.244,64.713,64
39,"Class2",87.878,18.349,36.782,64.219,13.543,"R",16.55,92.295,60
48,"Class1",67.639,80.505,76.557,20.767,33.27,"X",6.53,25.613,56
57,"Class1",45.287,75.238,75.013,4.861,28.579,"C",14.541,41.251,61
61,"Class1",33.287,78.049,75.104,27.457,28.801,"B",47.969,38.614,57
29,"Class2",90.47,36.483,83.319,64.754,8.074,"R",9.06,71.337,64
31,"Class2",89.655,29.543,30.561,67.042,7.392,"P",26.087,67.543,64
52,"Class2",90.99,8.573,37.235,66.383,18.959,"K",7.987,71.662,60
70,"Class2",88.509,4.416,55.935,67.658,14.404,"P",19.344,81.306,63
80,"Class3",52.294,17.459,68.358,67.664,43.574,"T",90.066,30.846,45
74,"Class3",66.11,15.089,80.755,66.175,39.013,"T",95.58,25.562,22
66,"Class1",60.215,79.083,76.279,29.259,34.985,"W",6.663,92.942,61
69,"Class2",86.294,31.926,95.81,65.956,2.861,"F",12.957,68.748,64
69,"Class1",50.933,77.174,74.15,39.519,34.193,"Q",11.086,78.276,59
62,"Class2",89.053,24.588,86.658,66.56,4.854,"K",24.682,59.71,61
70,"Class1",56.297,79.191,74.915,29.273,26.055,"C",78.074,54.652,56
56,"Class1",68.537,80.386,74.6,36.695,30.931,"X",43.446,11.703,59
64,"Class2",89.066,37.379,68.324,67.044,14.6,"R",8.708,71.177,62
78,"Class3",30.529,15.733,88.982,70.873,53.595,"U",84.916,37.854,28
45,"Class2",87.016,6.706,60.909,67.787,17.682,"F",12.979,87.5,63
51,"Class2",87.895,22.368,95.663,66.216,16.804,"F",32.589,74.902,59
65,"Class2",87.078,35.732,93.123,67.228,21.715,"N",27.74,59.115,59
30,"Class2",87.462,29.047,59.251,66.034,27.576,"P",16.641,72.402,62
73,"Class3",38.384,17.652,93.106,68.815,48.443,"U",89.336,47.769,15
47,"Class1",17.902,73.096,76.877,34.562,31.583,"C",11.874,38.062,60
62,"Class1",70.652,77.419,74.047,50.872,26.803,"X",49.638,-16.166,64
76,"Class3",52.243,16.44,83.948,69.291,50.102,"U",88.697,28.16,22
71,"Class1",31.722,78.964,75.074,38.337,31.6,"W",0.157,54.459,59
73,"Class3",72.536,16.822,78.459,67.246,43.19,"T",89.391,29.424,35
67,"Class2",88.752,40.205,57.371,66.533,5.09,"N",21.745,83.152,59
74,"Class3",32.416,16.584,76.481,70.172,44.817,"T",84.343,28.815,38
63,"Class1",29.603,NA,76.143,41.421,33.16,"C",47.716,106.087,55
41,"Class2",90.236,29.282,42.904,68.279,20.14,"F",10.781,72.638,61
59,"Class1",41.716,76.006,76.525,25.41,31.891,"W",51.094,23.96,56
30,"Class2",89.093,4.782,31.866,65.667,16.567,"K",22.428,75.012,58
52,"Class2",86.189,26.087,80.304,66.851,32.315,"R",32.678,73.662,58
69,"Class1",30.32,73.826,75.522,21.284,35.138,"C",20.941,57.336,60
61,"Class2",89.319,10.891,99.697,67.871,-0.535,"N",29.339,83.766,63
41,"Class2",87.821,20.68,42.574,66.544,17.944,"K",0.88,82.541,58
48,"Class2",87.066,5.79,70.882,67.7,26.578,"K",16.814,91.003,58
60,"Class1",27.973,79.035,76.1,58.92,32.272,"Q",8.587,48.408,57
77,"Class3",74.019,15.279,67.264,63.81,54.403,"A",86.84,39.459,32
75,"Class3",49.901,17.887,73.005,68.488,34.632,"T",88.479,28.594,31
68,"Class1",35.264,79.676,74.952,37.795,18.575,"C",29.668,52.513,61
65,"Class2",88.737,40.399,81.442,65.212,21.595,"F",13.471,69.998,62
67,"Class1",16.054,73.96,74.978,35.299,29.073,"C",69.06,21.762,57
64,"Class2",90.246,18.049,41.268,67.849,14.075,"N",24.576,82.307,61
62,"Class1",31.214,77.814,76.378,11.56,32.211,"B",32.945,35.539,57
73,"Class3",80.145,17.859,70.185,66.936,38.646,"U",93.23,22.757,31
74,"Class3",60.149,15.579,76.455,70.137,57.112,"A",83.926,34.386,34
73,"Class1",23.374,74.102,75.395,11.106,26.35,"C",57.187,69.524,62
38,"Class2",90.561,25.927,45.208,67.151,4.92,"R",19.708,88.661,63
79,"Class3",86.68,15.744,78.322,61.085,39.78,"U",88.318,37.631,21
49,"Class2",87.328,NA,66.978,65.639,14.75,"P",22.509,75.009,58
70,"Class2",88.501,6.979,70.93,67.583,-15.436,"P",20.449,58.522,63
38,"Class2",90.168,8.571,69.327,65.547,13.017,"F",7.388,68.038,59
79,"Class3",47.509,17.224,84.733,65.737,52.136,"E",76.718,32.992,26
73,"Class3",61.757,15.596,86.498,64.613,45.651,NA,95.633,34.833,19
62,"Class2",87.062,5.401,45.28,67.367,20.19,"F",24.422,71.236,62
40,"Class2",87.801,34.043,71.814,66.487,13.04,"K",41.116,72.147,58
46,"Class1",50.384,79.441,75.555,59.546,27.632,"X",105.781,9.492,59
74,"Class3",67.19,16.908,67.181,69.458,51.835,"A",93.463,38.681,49
65,"Class2",89.656,22.802,93.75,66.164,13.094,"R",20.771,70.892,58
73,"Class3",51.537,15.819,84.871,69.035,55.548,"E",89.345,37.119,27
64,"Class1",63.929,78.659,76.779,54.614,35.438,"X",53.857,15.806,55
76,"Class3",38.356,16.421,88.659,67.366,43.907,"T",92.6,31.269,33
43,"Class2",88.638,7.253,35.606,64.803,2.443,NA,25.252,73.439,58
80,"Class3",73.393,17.042,70.892,76.133,43.735,"E",91.278,42.675,46
65,"Class1",35.39,NA,76.357,43.996,27.581,"C",31.616,16.455,61
26,"Class2",86.902,38.628,73.79,68.444,12.992,"N",23.592,70.375,59
73,"Class3",84.505,17.914,77.309,77.134,56.006,"E",87.982,33.405,33
76,"Class3",39.892,15.354,75.939,68.831,44.781,"A",80.625,28.931,25
55,"Class2",90.134,16.858,79.04,65.538,29.717,"R",23.683,68.71,59
56,"Class1",29.882,76.946,74.272,-5.254,26.644,"C",48.4,21.609,58
38,"Class2",87.189,35.184,33.347,64.844,15.481,"N",14.554,80.137,63
77,"Class3",46.186,17.166,77.596,65.442,51.034,"A",92.308,25.824,14
68,"Class1",66.622,80.858,75.7,41.978,33.74,NA,22.817,34.451,59
50,"Class1",58.487,74.451,75.824,29.716,29.661,"C",30.338,50.656,61
80,"Class3",67.087,16.076,72.922,63.386,47.645,"A",85.92,41.395,22
74,"Class3",48.057,17.32,85.126,64.447,57.97,"A",84.148,27.079,30
55,"Class1",23.019,80.825,75.078,26.767,17.807,"W",43.088,71.106,63
52,"Class1",54.693,73.383,75.789,22.308,23.144,"B",30.778,28.091,59
57,"Class1",24.932,78.591,74.964,34.185,31.597,"X",57.923,31.508,58
36,"Class2",89.007,NA,96.697,65.314,20.299,"R",22.612,69.714,64
66,"Class2",87.464,5.563,85.448,66.108,18.336,"F",24.329,65.673,58
31,"Class2",88.512,17.39,31.919,67.707,14.881,NA,4.669,80.971,58
79,"Class3",82.801,17.85,87.28,77.361,41.738,"U",87.263,35.018,32
27,"Class2",90.871,36.655,90.235,66.002,32.235,NA,13.763,81.096,58
70,"Class1",71.662,74.871,74.177,52.775,31.295,"Q",50.244,75.434,58
59,"Class2",87.42,15.866,58.397,66.985,25.954,"F",27.234,66.21,63
77,"Class3",48.974,15.049,92.564,64.971,40.023,"U",86.649,29.724,27
66,"Class2",89.118,38.175,78.74,66.988,15.672,"R",20.752,80.754,62
71,"Class1",54.999,73.119,74.135,42.722,24.795,"B",-1.494,-6.716,55
51,"Class2",86.646,33.106,95.795,66.676,28.782,"R",27.953,74.196,64
65,"Class2",89.498,20.456,76.581,66.166,13.625,"R",24.647,71.893,64
63,"Class1",54.917,73.871,76.223,24.742,31.57,"Q",29.515,54.237,62
80,"Class3",47.485,17.134,81.265,60.174,32.976,"A",83.925,33.146,44
63,"Class2",87.546,17.607,42.331,66.63,26.209,"R",22.857,69.696,64
27,"Class2",86.648,6.219,80.986,66.183,-0.08,"R",23.139,79.899,64
60,"Class2",86.024,21.668,99.16,65.792,19.757,"K",20.551,71.243,58
69,"Class2",88.903,31.948,26.967,65.773,35.251,"R",30.117,65.141,58
53,"Class1",42.43,79.465,75.44,26.949,27.273,"X",115.932,17.131,56
61,"Class2",88.208,15.073,88.734,65.851,5.791,"N",26.774,71.578,61
77,"Class3",82.918,16.398,74.024,71.115,39.711,"R",85.093,35.247,51
33,"Class2",86.756,35.333,65.428,65.539,4.442,"P",20.809,59.977,58
76,"Class3",22.549,15.476,89.3,66.988,38.392,"T",77.796,32.238,16
49,"Class2",90.808,17.175,51.285,65.209,9.768,"R",29.382,73.138,62
67,"Class2",88.323,36.862,73.681,67.653,31.95,"P",17.225,73.387,64
27,"Class2",89.758,NA,53.527,65.511,4.186,"N",36.526,88.242,60
50,"Class1",28.247,80.062,74.291,44.124,29.924,"W",0.15,37.999,62
66,"Class2",89.322,23.996,77.853,67.453,15.309,"F",30.046,66.946,64
63,"Class2",88.88,20.48,55.031,66.832,-8.908,"R",29.19,79.043,61
55,"Class2",87.933,21.881,45.315,65.127,-6.451,"K",13.648,72.435,58
57,"Class1",72.603,77.496,75.891,15.184,38.005,"X",59.291,32.076,55
64,"Class1",17.966,75.476,74.131,-2.008,26.359,"W",42.878,36.192,63
49,"Class2",87.528,28.065,50.63,68.37,12.48,"F",22.467,80.596,58
69,"Class2",89.709,13.693,64.671,65.729,14.09,"N",19.096,65.068,60
37,"Class2",86.504,9.572,39.746,65.453,0.616,"K",24.344,60.384,63
75,"Class3",76.779,16.16,80.722,72.924,57.945,"U",92.043,36.659,30
40,"Class2",89.698,36.357,95.851,67.598,18.239,"F",20.542,71.169,59
77,"Class3",70.173,16.191,71.286,71.52,46.834,"T",91.925,23.849,18
70,"Class2",87.042,25.602,76.768,66.869,12.248,"R",20.657,74.116,60
39,"Class2",87.998,37.092,57.718,65.972,4.119,"P",16.463,69.819,63
78,"Class3",45.559,17.227,72.226,76.347,47.047,"U",88.064,32.307,38
75,"Class3",63.795,17.063,90.085,67.79,50.805,"U",85.878,25.248,34
74,"Class1",21.422,76.259,75.247,26.685,32.606,"Q",45.674,37.134,61
75,"Class3",32.384,15.387,90.001,64.043,55.339,"T",83.03,24.811,27
59,"Class1",46.019,80.719,75.718,21.743,26.78,"C",53.581,29.201,62
78,"Class3",84.068,NA,88.628,69.665,42.363,"A",84.065,31.79,49
80,"Class3",75.373,16.205,87.304,68.231,43.443,"E",96.629,34.08,44
50,"Class1",54.524,78.464,74.781,30.191,26.636,"W",53.775,26.766,55
69,"Class1",43.272,77.569,76.163,14.249,32.866,"W",17.583,17.493,59
74,"Class3",34.705,15.366,83.018,67.41,51.299,"A",90.428,26.833,45
45,"Class2",90.78,32.097,99.84,65.973,19.347,"F",13.822,61.212,62
34,"Class2",86.48,7.402,69.337,66.705,12.755,"N",23.473,64.469,64
64,"Class1",67.924,NA,75.041,53.301,35.165,"C",48.386,63.013,61
74,"Class3",67.037,17.878,73.22,68.097,40.274,"A",87.657,29.232,38
43,"Class2",86.14,13.007,55.253,65.758,24.382,"P",26.824,77.807,59
39,"Class2",87.66,30.297,95.29,66.73,17.078,"N",15.349,57.93,59
70,"Class2",87.658,25.393,32.065,65.26,8.344,"K",32.536,81.744,63
70,"Class1",47.209,76.347,74.414,40.006,26.405,"X",15.117,35.775,56
79,"Class3",46.644,17.642,80.623,65.35,46.512,"T",86.912,38.762,46
78,"Class3",72.402,16.915,88.531,66.819,49.803,"U",87.808,30.539,15
59,"Class1",21.503,77.645,74.939,37.131,34.236,"W",72.095,51.471,61
73,"Class3",83.106,15.754,87.256,68.97,48.201,"R",90.751,35.422,49
46,"Class1",60.097,76.839,76.347,41.609,22.48,"C",45.108,116.187,55
79,"Class3",25.774,17.728,70.244,71.83,36.561,"E",86.924,22.26,29
74,"Class3",50.687,16.31,70.554,71.999,54.481,"U",92.686,34.572,25
76,"Class3",59.864,17.594,92.548,62.893,45.842,"E",83.841,44.22,20
50,"Class2",89.872,38.316,43.388,68.313,-2.47,"N",14.115,80.413,62
73,"Class3",31.266,17.825,79.958,71.05,46.571,"U",88.456,33.542,29
58,"Class1",52.396,76.739,75.258,57.936,31.427,"W",19.766,2.677,62
68,"Class2",87.086,22.891,47.379,64.804,20.589,"R",41.244,59.234,62
48,"Class1",56.337,77.329,76.417,6.978,34.288,"B",48.212,12.235,55
66,"Class1",61.145,75.619,74.005,41.983,32.395,"W",49.39,54.878,58
64,"Class1",34.656,75.956,74.787,-6.212,35.159,NA,89.816,66.83,57
79,"Class3",58.421,15.845,87.041,65.449,48.578,"U",87.196,27.521,29
38,"Class2",88.605,40.349,48.831,65.834,18.244,"F",20.804,76.52,62
49,"Class2",89.881,21.851,28.717,65.728,5.731,"R",18.66,66.076,58
69,"Class2",89.225,16.766,52.041,66.896,17.959,NA,33.316,57.654,61
50,"Class2",90.574,4.898,51.173,66.86,11.483,"F",13.977,58.136,59
75,"Class3",85.549,16.756,68.817,63.979,42.719,"T",91.028,28.812,41
75,"Class3",45.65,16.246,77.713,64.982,48.562,"A",85.063,31.949,46
74,"Class3",40.171,16.995,71.31,62.725,30.347,"A",90.69,32.161,40
61,"Class2",89.511,10.809,60.115,65.882,4.154,"R",20.366,73.726,61
36,"Class2",87.373,37.35,67.633,66.862,22.285,NA,14.39,71.285,62
39,"Class2",88.94,7.436,93.391,66.579,0.838,"N",19.511,76.088,63
49,"Class1",54.035,79.707,75.826,27.987,30.262,NA,19.515,44.897,56
53,"Class1",34.201,77.955,75.473,55.673,29.967,"B",60.484,23.573,60
71,"Class1",47.051,NA,75.616,63.29,35.015,"W",31.099,37.685,58
77,"Class3",59.223,15.28,91.191,65.079,53.47,"E",93.57,26.997,16
51,"Class1",25.057,78.276,74.213,30.331,32.614,"B",21.771,50.228,60
72,"Class1",32.675,77.844,75.043,38.801,37.26,"B",22.172,49.448,61
27,"Class2",90.667,NA,29.406,68.224,26.116,"N",24.896,70.9,61
74,"Class3",52.642,16.588,73.761,74.021,41.968,"T",84.142,35.926,32
42,"Class2",90.461,13.409,84.542,65.318,-0.634,"N",23.374,81.005,58
74,"Class3",83.759,16.973,82.747,70.701,45.773,"T",83.916,35.783,26
75,"Class3",50.992,17.067,90.419,61.794,45.915,"U",86.53,34.673,42
48,"Class2",89.944,38.953,30.402,66.408,22.696,"K",22.562,75.207,59
74,"Class3",22.912,17.763,77.258,70.681,38.437,"A",78.871,43.83,45
76,"Class3",69.877,17.058,73.281,64.514,53.497,NA,94.631,29.527,31
80,"Class3",53.414,NA,73.361,71.73,42.512,NA,88.55,27.64,29
65,"Class1",27.194,73.498,75.465,32.178,19.803,"Q",62.878,14.716,62
26,"Class2",86.098,20.675,57.482,67.612,12.522,"P",1.621,62.32,58
80,"Class3",29.786,15.019,83.821,65.331,38.895,"E",89.055,36.762,29
48,"Class1",28.922,79.948,75.052,31.841,23.022,"B",46.661,19.861,62
70,"Class1",64.671,78.452,75.107,29.249,28.503,"B",75.245,15.167,56
51,"Class1",44.876,77.406,74.792,44.395,36.662,"W",94.9,59.044,56
60,"Class1",12.757,79.408,74.352,37.727,22.379,"X",40.576,32.284,58
78,"Class3",33.263,15.265,86.689,67.339,51.068,"E",86.21,32.285,39
73,"Class3",76.963,15.935,77.677,68.891,43.296,"T",88.667,31.809,49
70,"Class1",18.944,79.82,74.653,34.418,32.37,"W",3.151,38.606,64
51,"Class1",42.194,76.753,76.825,48.324,35.8,"Q",5.643,101.121,57
76,"Class3",23.72,17.932,73.784,68.237,38.936,"R",84.147,39.884,48
53,"Class2",90.329,23.651,49.714,67.074,17.776,"F",27.905,71.631,63
76,"Class3",49.962,16.532,89.23,69.125,51.766,"A",82.61,30.07,21
74,"Class3",50.981,17.476,77.369,67.201,51.228,"A",83.813,37.779,28
53,"Class2",90.476,12.226,65.843,67.318,-7.066,"R",23.058,63.845,61
26,"Class2",86.13,8.41,30.606,65.531,20.607,"N",11.567,69.268,59
78,"Class3",63.805,16.514,67.914,64.77,32.903,NA,87.84,29.111,46
46,"Class1",40.923,NA,74.317,31.081,32.958,"B",57.14,58.727,60
58,"Class1",69.05,76.036,74.906,47.429,27.194,"Q",56.345,16.298,57
69,"Class2",88.261,36.062,62.776,66.4,6.368,"R",25.589,66.431,64
54,"Class1",21.135,80.763,75.917,24.099,23.988,NA,18.083,63.952,58
78,"Class3",56.453,15.981,82.41,62.246,40.544,"A",89.523,31.206,27
76,"Class3",84.638,16.904,89.012,66.097,48.038,"A",82.822,34.395,49
78,"Class3",37.892,15.979,89.732,66.188,46.848,"T",97.597,26.733,29
56,"Class1",23.995,74.571,74.212,24.68,28.348,"B",71.19,40.218,60
46,"Class1",44.867,76.497,74.962,46.117,36.974,"X",25.434,40.523,62
73,"Class3",26.955,17.287,76.544,67.694,61.877,"T",88.809,27.473,38
50,"Class1",62.205,76.877,76.514,33.959,26.934,"C",51.941,40.031,58
73,"Class3",69.254,16.877,85.182,72.194,50.056,"T",87.067,29.552,45
59,"Class1",34.843,74.85,74.756,15.765,27.246,"W",33.118,42.427,56
32,"Class2",88.331,34.135,73.772,66.346,0.189,"N",15.035,79.083,64
80,"Class3",21.158,15.946,86.91,65.915,45.771,"A",93.455,29.033,36
78,"Class3",54.738,17.925,85.594,75.327,49.554,"T",85.594,30.685,36
50,"Class1",40.046,79.675,75.543,18.231,21.764,"B",20.334,23.704,63
56,"Class1",68.265,77.468,74.881,41.787,27.465,"W",66.463,73.525,61
55,"Class2",86.226,30.318,65.804,66.158,7.501,"R",18.041,69.144,58
58,"Class1",50.469,77.789,74.223,30.263,30.005,"W",52.661,63.844,59
43,"Class2",89.083,12.738,81.506,68.995,40.551,"F",30.78,75.822,59
70,"Class1",20.691,74.287,76.747,8.751,24.892,"W",53.158,42.761,63
39,"Class2",89.2,40.248,26.251,67.733,13.269,"F",31.508,83.935,63
65,"Class1",21.666,NA,76.579,38.606,24.05,"X",45.549,18.723,63
66,"Class2",90.118,21.943,42.68,65.221,2.177,"N",31.077,68.424,58
42,"Class2",87.094,35.837,94.164,65.939,21.448,"R",29.188,80.252,58
69,"Class1",42.366,80.125,75.459,7.839,22.579,"X",11.166,52.823,62
64,"Class2",86.679,5.396,94.94,65.632,17.274,"N",24.619,80.021,59
78,"Class3",76.105,16.357,68.788,75.057,41.084,NA,88.362,40.209,16
77,"Class3",39.471,16.502,78.062,71.035,34.932,"R",88.471,28.788,20
67,"Class1",22.069,79.162,76.995,24.314,27.439,"X",46.8,57.004,60
62,"Class2",90.971,37.236,81.89,66.011,8.601,"R",19.321,66.187,61
68,"Class1",70.021,74.65,74.107,30.862,27.343,"C",63.978,38.497,56
59,"Class2",87.525,32,92.82,65.52,6.384,"K",23.703,86.569,61
67,"Class1",28.415,73.811,74.404,19.858,25.572,"W",83.981,6.228,60
76,"Class3",52.518,16.17,71.205,66.246,50.844,"U",81.53,35.671,50
68,"Class2",87.752,36.872,31.054,67.548,12.377,"P",28.998,74.267,62
73,"Class1",18.545,74.231,74.802,28.642,25.568,"Q",27.616,37.377,63
59,"Class1",19.122,75.11,75.076,37.41,33.607,"W",11.097,48.944,62
74,"Class3",32.271,16.152,87.325,66.69,42.316,"U",82.577,28.154,39
79,"Class3",34.409,17.293,68.01,68.768,45.386,"E",85.148,19.296,27
79,"Class3",72.889,16.199,86.72,70.237,43.812,"R",84.556,27.862,48
73,"Class3",64.7,16.927,83.564,67.19,28.042,"E",83.954,35.964,16
60,"Class1",64.279,73.658,76.159,30.755,35.557,"B",17.354,21.95,59
43,"Class2",86.405,39.189,40.461,66.054,21.853,"F",21.055,66.438,64
70,"Class1",14.104,75.532,76.173,45.361,35.169,NA,64.628,49.936,63
79,"Class3",38.851,15.974,81.099,64.965,35.597,"T",85.177,31.042,15
66,"Class1",46.394,73.81,74.773,40.522,17.584,"C",47.197,29.309,57
75,"Class3",72.154,16.988,76.755,61.486,40.185,"U",85.991,45.97,45
73,"Class3",34.598,16.25,65.234,62.117,40.063,"U",90.903,36.345,17
73,"Class3",58.721,17.603,77.431,65.919,37.417,"U",94.448,26.46,14
47,"Class2",90.574,18.826,34.386,67.165,0.703,"N",19.788,68.83,62
74,"Class3",83.155,16.159,79.973,64.834,45.596,"E",92.575,35.132,32
76,"Class3",34.985,16.407,81.706,65.688,58.767,"A",92.905,30.155,35
67,"Class1",28.124,74.873,76.292,9.582,39.054,"X",43.426,41.731,62
49,"Class1",20.331,75.76,76.756,31.854,30.419,"X",60.025,27.31,64
75,"Class3",23.888,16.075,71.859,58.634,48.203,"U",85.202,25.974,28
42,"Class2",90.89,4.929,31.838,66.073,23.863,"R",19.579,65.644,58
76,"Class3",75.901,16.058,76.626,71.622,44.097,"E",91.937,42.14,47
26,"Class2",87.806,24.914,86.282,65.44,4.009,"K",32.072,71.901,61
74,"Class3",55.581,15.155,84.761,65.303,42.248,"A",78.571,37.875,36
64,"Class1",19.144,73.742,74.429,32.976,38.689,"X",39.926,-12.212,58
46,"Class1",13.482,NA,75.41,42.418,24.335,"W",39.473,67.748,61
60,"Class1",31.169,74.055,74.761,40.21,35.532,"X",96.45,35.946,59
75,"Class3",73.937,16.213,66.067,66.355,38.247,"T",84.675,50.746,46
53,"Class2",87.07,NA,62.261,66.549,27.24,"N",15.299,89.218,61
73,"Class3",53.359,16.201,67.866,59.609,43.644,"U",87.576,29.183,30
76,"Class3",44.394,17.033,78.275,68.158,43.823,"A",93.453,31.113,29
46,"Class1",61.159,76.481,74.463,47.393,35.558,"W",87.079,45.714,62
47,"Class1",45.115,75.249,74.523,62.119,15.528,"W",80.087,44.526,62
38,"Class2",86.132,11.71,41.635,67.416,15.3,"P",26.705,81.095,58
79,"Class3",72.55,17.599,84.775,63.834,51.078,"U",91.906,24.53,51
69,"Class1",19.192,75.648,76.878,8.602,38.945,"W",73.521,32.018,59
79,"Class3",58.994,15.315,67.748,63.496,52.784,"E",85.333,36.999,15
77,"Class3",41.501,15.095,81.995,72.335,39.349,"E",84.265,29.166,30
75,"Class3",71.852,17.509,88.21,71.556,40.629,"A",88.134,27.75,22
79,"Class3",45.099,17.731,87.165,68.759,58.319,"A",81.122,40.634,16
58,"Class2",88.331,8.27,91.86,66.493,17.873,"P",22.608,70.349,64
65,"Class2",86.84,37.152,65.362,66.558,19.754,"R",12.981,65.447,62
66,"Class1",36.971,74.144,75.025,41.624,30.512,"Q",46.226,37.523,56
78,"Class3",81.439,17.121,92.078,66.577,48.606,"R",92.308,41.792,25
73,"Class1",34.369,NA,75.791,42.838,27.536,"W",45.737,46.193,59
44,"Class2",86.089,31.432,49.114,67.339,12.186,"N",21.401,85.249,62
55,"Class1",30.744,80.245,76.67,30.981,26.085,NA,131.838,21.396,62
41,"Class2",86.989,31.847,38.859,66.887,14.379,"N",15.458,86.799,60
74,"Class1",31.44,77.464,76.526,8.898,34.787,"X",28.717,64.032,59
67,"Class2",88.1,16.508,65.319,65.748,19.992,"R",31.858,69.121,59
61,"Class1",38.269,77.435,75.465,18.727,29.686,"Q",33.931,-6.996,62
76,"Class3",69.909,16.477,75.531,66.699,48.197,"U",81.829,31.526,18
57,"Class2",86.807,19.502,54.832,65.432,13.058,"P",24.963,73.983,60
74,"Class3",72.317,15.179,89.933,65.146,46.271,"A",81.986,32.007,27
59,"Class1",49.746,76.94,76.718,49.114,32.906,"Q",37.764,38.428,64
53,"Class2",87.631,10.274,76.215,67.291,9.168,"F",18.004,67.723,59
69,"Class1",47.63,74.65,75.115,41.632,23.064,"X",32.623,36.496,57
62,"Class2",90.245,17.659,65.43,67.086,18.931,"F",13.273,75.209,62
77,"Class3",57.243,15.565,67.726,69.12,50.364,"A",87.613,31.52,17
49,"Class2",89.531,25.66,39.268,66.418,20.33,"N",28.268,69.81,61
75,"Class3",38.749,17.707,89.677,68.224,37.948,"R",89.824,37.553,35
39,"Class2",86.953,27.354,93.007,67.196,22.999,"N",35.304,62.727,64
46,"Class2",87.953,40.808,38.253,66.47,9.239,"N",17.261,73.807,58
57,"Class1",61.072,79.676,74.381,20.025,25.647,"X",44.482,70.488,62
80,"Class3",23.642,17.64,76.182,64.308,40.268,"R",79.73,26.687,27
50,"Class1",59.928,76.1,75.036,34.07,27.24,"C",33.934,32.835,57
73,"Class3",55.521,16.023,68.208,67.458,41.29,"A",92.713,28.282,24
45,"Class2",87.118,4.443,55.168,66.106,21.641,"R",29.628,62.335,60
49,"Class1",54.837,75.779,76.749,51.75,42.112,"C",46.052,-3.235,57
46,"Class1",32.384,73.173,76.131,34.52,31.016,"X",81.341,18.976,59
80,"Class3",63.783,16.857,88.202,70.486,46.395,"E",93.53,26.573,38
39,"Class2",88.334,15.413,44.844,68.525,26.825,"K",39.113,61.704,58
48,"Class2",89.46,31.58,68.284,65.902,-5.288,"P",17.413,64.937,62
70,"Class2",87.585,NA,87.98,66.751,11.711,"F",25.666,74.493,60
39,"Class2",89.31,28.231,28.08,65.824,9.912,"K",35.574,70.927,62
47,"Class2",86.729,8.562,67.686,68.123,-0.952,"K",28.798,71.536,58
56,"Class1",35.377,75.311,74.218,40.333,22.886,"Q",-13.754,83.45,58
53,"Class1",18.717,73.4,74.983,37.082,37.221,"B",23.857,58.057,56
49,"Class1",65.727,77.438,75.891,31.833,28.284,"B",19.504,53.836,64
