"UAZ1","IMG2","POB3","GLF4","HMU5","LVK6","RYA7","NVU8","Output21","PWB9","JCR10","OTJ11"
"Z",60,39.092,62.297,62.529,27,9.228,12.247,"Class2",77.629,58.854,67.087
"M",34,63.162,17.865,88.727,51,62.513,80.858,"Class5",36.244,33.735,25.82
"G",88,59.507,16.094,25.36,21,18.922,NA,"Class3",68.075,34.153,30.391
"X",64,29.503,60.854,51.977,27,1.647,8.56,"Class2",88.227,18.745,38.023
"T",49,28.001,14.642,60.94,56,9.41,49.157,"Class1",34.844,61.298,59.903
"X",78,31.849,36.176,53,12,18.145,18.949,"Class3",79.118,73.278,29.242
"F",87,80.736,71.801,NA,47,77.549,10.058,"Class4",76.257,36.904,32.922
"I",29,70.308,14.408,83.277,57,37.662,82.741,"Class5",30.131,68.69,27.714
"G",80,54.233,38.07,36.751,10,18.451,48.473,"Class3",66.538,22.044,29.278
"M",48,84.076,67.388,66.25,26,84.794,1.249,"Class4",96.421,53.448,32.974
"O",74,52.19,32.924,45.147,9,18.912,19.761,"Class3",76.45,31.923,29.723
"Z",12,89.077,67.313,71.619,38,86.063,23.873,"Class4",87.38,43.794,27.352
"X",62,38.848,75.624,59.532,36,46.348,22.921,"Class2",81.866,18.145,71.623
"F",77,80.028,94.246,72.285,33,81.601,27.53,"Class4",78.263,64.074,34.821
"Y",60,48.529,44.243,59.334,17,9.932,-2.347,"Class2",78.726,41.901,60.317
"D",74,62.668,14.497,26.307,17,18.061,40.612,"Class3",61.761,61.389,30.08
"I",54,74.242,53.797,89.179,59,34.317,82.344,"Class5",19.395,57.727,28.421
"X",73,46.292,4.936,40.466,22,17.271,30.428,"Class3",76.499,20.239,28.594
"M",44,63.285,27.153,89.834,61,67.47,82.362,"Class5",31.568,39.212,36.287
"G",86,55.887,14.218,31.947,12,18.238,32.954,"Class3",90.181,28.234,29.948
"G",16,25.788,14.429,NA,45,23.798,54.475,"Class1",38.79,62.404,24.265
"M",14,84.596,90.461,69.287,32,77.604,28.911,"Class4",83.522,66.379,27.826
"M",87,52.748,16.244,51.113,19,18.34,30.902,"Class3",64.1,15.743,30.497
"B",27,25.519,14.05,51.249,35,46.019,56.427,"Class1",38.435,61.943,52.438
"U",22,86.143,88.636,73.726,37,81.678,9.604,"Class4",80.174,57.687,31.22
"M",31,69.402,11.407,87.608,59,60.226,81.026,"Class5",25.499,32.838,31.698
"D",81,61.658,3.709,23.564,13,17.667,42.981,"Class3",76.103,94.389,30.998
"J",28,25.604,27.623,86.885,37,51.266,59.676,"Class1",36.406,58.42,33.864
"W",46,104.032,29.354,90.08,58,42.327,82.207,"Class5",31.083,43.33,29.733
"W",32,51.854,32.093,88.326,64,66.636,NA,"Class5",34.928,58.808,25.258
"T",66,26.091,22.29,68.153,35,31.056,61.761,"Class1",40.802,59.632,82.825
"Y",63,29.829,61.575,54.087,21,71.513,22.293,"Class2",71.875,30.567,58.145
"X",63,62.439,67.985,53.54,22,10.312,0.956,"Class2",82.058,40.534,63.688
"D",54,74.565,11.495,87.421,54,45.234,82.492,"Class5",22.54,46.726,30.521
"I",54,66.225,48.228,88.35,53,78.735,82.565,"Class5",33.393,72.678,35.766
"M",37,60.953,23.125,89.45,51,57.205,81.722,"Class5",25.593,70.652,34.318
"X",79,67.677,4.369,43.109,27,18.089,8.43,"Class3",49.786,74.292,28.667
"I",48,25.711,15.742,79.07,64,74.325,57.197,"Class1",42.677,58.708,74.573
"W",46,70.956,34.364,89.791,59,47.783,82.582,"Class5",24.821,95.719,27.019
"Y",65,45.061,75.685,53.384,18,33.094,11.52,"Class2",88.224,50.681,30.722
"O",61,38.753,72.84,53.814,34,57.456,1.391,"Class2",81.917,32.342,80.782
"Y",65,36.896,39.888,63.96,19,89.089,7.453,"Class2",81.249,39.76,76.554
"O",75,54.019,40.499,28.897,23,17.18,13.506,"Class3",40.225,90.666,29.657
"B",3,25.501,27.855,61.506,52,22.747,52.399,"Class1",39.531,62.066,74.899
"I",4,26.95,14.152,80.151,39,32.646,55.035,"Class1",44.1,58.794,57.461
"D",76,40.023,39.681,27.448,22,17.325,40.46,"Class3",80.149,77.253,28.705
"U",73,84.475,92.458,NA,27,77.408,27.446,"Class4",90.647,35.856,38.019
"Z",65,48.741,62.52,56.802,25,86.656,19.976,"Class2",89.126,53.474,82.046
"Y",62,49.963,53.972,54.839,25,20.056,4.221,"Class2",78.036,46.169,38.783
"M",41,83.532,70.491,62.228,46,80.529,7.579,"Class4",83.844,45.318,40.033
"M",48,85.967,77.2,75.432,41,80.083,23.766,"Class4",71.564,43.798,36.566
"Y",64,49.035,38.81,64.281,19,82.402,6.428,"Class2",80.333,58.613,30.169
"U",44,89.816,75.278,70.842,47,83.081,23.434,"Class4",83.939,44.936,43.447
"G",54,25.937,12.084,50.869,45,35.737,43.938,"Class1",40.785,59.646,35.627
"T",26,83.436,84.747,71.376,40,85.348,-7.603,"Class4",80.61,42.736,31.575
"T",29,82.05,74.979,75.672,37,83.555,35.68,"Class4",85.155,39.93,29.22
"B",18,25.355,17.293,93.742,48,65.881,48.044,"Class1",35.101,61.044,72.733
"D",46,74.82,52.667,88.976,55,65.451,80.8,"Class5",29.804,37.437,28.629
"D",55,67.978,49.756,86.756,61,45.273,81.674,"Class5",32.961,90.234,25.135
"Y",61,35.882,72.471,51.808,28,16.725,15.182,"Class2",86.452,53.781,48.813
"O",65,58.233,80.578,58.726,19,10.526,15.222,"Class2",78.691,40.059,74.588
"T",48,79.684,93.939,NA,26,79.592,18.2,"Class4",83.477,40.25,43.223
"B",77,25.615,21.919,81.58,26,69.808,51.796,"Class1",38.767,62.773,84.68
"I",21,26.559,13.561,62.59,58,52.443,62.537,"Class1",36.709,60.905,39.81
"F",21,87.724,91.434,69.528,43,79.906,38.279,"Class4",79.824,58.809,31.687
"S",62,45.713,13.857,86.478,53,38.775,80.303,"Class5",25.12,69.782,29.619
"G",60,25.973,26.623,68.133,73,90.745,46.893,"Class1",31.866,59.403,46.87
"W",25,93.827,54.921,90.071,64,55.666,80.35,"Class5",31.55,88.812,29.968
"L",65,42.048,79.039,61.547,31,34.342,22.438,"Class2",81.563,40.155,48.026
"M",84,44.672,22.883,43.011,16,17.529,40.206,"Class3",77.723,31.2,28.791
"I",14,25.904,25.423,66.283,75,90.316,46.63,"Class1",39.992,62.341,81.006
"F",11,87.751,91.729,NA,42,80.006,20.564,"Class4",88.198,42.824,40.947
"T",58,26.002,13.743,84.056,42,71.867,51.052,"Class1",43.82,58.072,79.259
"I",27,26.682,24.547,71.506,28,64.701,47.95,"Class1",36.016,61.478,42.283
"M",72,33.926,11.849,49.991,10,17.805,49.163,"Class3",59.864,69.707,29.929
"M",66,89.273,74.327,64.347,30,86.115,25.82,"Class4",91.16,53.957,39.128
"M",82,67.499,39.109,54.454,9,18.666,38.197,"Class3",84.25,13.804,28.219
"L",63,56.672,66.391,65.197,34,54.141,10.416,"Class2",82.23,40.182,52.545
"Y",62,40.782,79.569,56.936,35,21.287,32.949,"Class2",83.856,31.489,62.71
"B",29,25.523,27.979,74.029,66,26.513,54.838,"Class1",43.557,61.82,66.14
"Z",48,85.935,93.032,65.596,33,87.47,18.316,"Class4",99.671,44.952,39.597
"S",57,72.954,39.433,90.508,61,47.239,79.748,"Class5",26.035,62.797,27.478
"M",26,83.807,69.184,68.711,41,87.027,21.105,"Class4",95.958,50.068,34.798
"T",69,89.394,92.804,70.901,26,88.944,19.664,"Class4",74.011,40.938,37.932
"X",61,38.738,78.653,58.174,21,26.286,34.544,"Class2",83.491,48.864,73.859
"X",63,56.427,68.692,59.694,21,8.799,NA,"Class2",80.412,33.879,49.784
"D",80,36.769,7.513,45.326,27,17.261,31.459,"Class3",92.785,85.705,30.876
"J",37,25.103,12.864,79.266,73,78.679,43.223,"Class1",34.879,61.088,58.259
"L",65,53.367,44.12,53.317,24,48.691,20.983,"Class2",78.354,50.375,72.105
"Y",61,56.139,46.254,49.906,18,79.712,4.9,"Class2",88.824,25.868,43.783
"L",59,53.463,50.275,63.315,26,63.104,12.933,"Class2",84.262,49.916,66.927
"Y",62,44.948,47.449,61.15,25,2.853,37.122,"Class2",79.901,46.126,31.992
"T",27,82.461,67.343,66.109,38,88.006,-7.167,"Class4",81.344,57.172,39.52
"S",60,60.549,9.323,88.826,58,74.197,79.429,"Class5",25.103,36.026,29.9
"T",60,25.469,16.226,70.102,33,74.928,60.456,"Class1",35.728,59.032,39.512
"X",61,48.059,42.934,59.528,24,4.668,-3.604,"Class2",83.58,23.352,56.778
"G",61,25.548,16.782,77.622,33,68.587,48.992,"Class1",35.446,60.512,49.734
"T",31,24.966,25.249,102.723,58,25.564,49.28,"Class1",35.606,58.893,82.521
"J",6,25.46,25.211,45.772,76,37.274,70.182,"Class1",39.96,61.841,69.893
"D",85,26.638,22.036,21.197,17,17.558,48.079,"Class3",78.682,23.789,29.679
"T",20,83.642,85.713,80.786,27,84.851,29.395,"Class4",86.32,41.808,37.975
"G",83,66.578,39.989,37.208,9,18.06,43.439,"Class3",81.361,9.141,30.105
"M",44,62.271,18.215,88.157,59,44.147,81.081,"Class5",32.2,64.5,32.889
"O",62,42.201,71.785,59.264,19,17.578,27.856,"Class2",80.192,34.256,35.596
"G",54,26.179,15.115,71.593,54,74.247,38.701,"Class1",33.447,62.665,60.294
"B",80,25.8,24.464,85.625,34,37.278,54.092,"Class1",46.89,59.212,31.141
"T",9,25.346,25.81,73.236,55,63.293,59.776,"Class1",40.134,62.228,19.883
"G",62,25.931,27.858,78.88,36,76.957,51.685,"Class1",35.962,59.591,47.929
"W",41,70.055,22.208,87.409,65,47.484,NA,"Class5",28.732,78.107,31.008
"L",64,53.371,49.496,64.163,31,4.5,15.542,"Class2",77.168,23.847,67.49
"T",8,81.185,68.581,59.719,29,77.993,30.852,"Class4",82.016,61.922,42.505
"Z",60,57.149,45.543,55.979,27,25.917,7.032,"Class2",85.68,20.714,78.144
"Z",43,80.81,74.009,68.921,42,81.522,2.603,"Class4",87.648,69.163,44.443
"X",71,50.063,21.909,43.485,18,18.371,9.83,"Class3",93.578,20.784,30.18
"Z",64,43.27,48.984,53.076,21,16.821,18.429,"Class2",80.381,52.114,34.057
"O",79,47.217,14.462,52.153,21,18.221,44.64,"Class3",76.986,25.597,29.437
"L",59,29.539,70.676,57.162,35,75.548,31.865,"Class2",71.08,44.329,30.199
"L",65,55.969,78.605,53.869,22,59.793,22.295,"Class2",74.254,29.411,53.938
"M",47,84.27,82.06,71.977,33,88.586,33.928,"Class4",82.62,48.675,42.02
"Z",59,40.772,65.596,54.144,36,26.49,17.407,"Class2",78.042,28.964,77.977
"T",80,25.079,16.988,67.242,77,63.74,64.97,"Class1",41.038,60.522,74.287
"O",63,29.707,43.931,59.267,28,50.951,NA,"Class2",78.185,53.978,36.575
"I",12,27.506,13.979,92.167,53,52.801,56.126,"Class1",37.905,61.781,25.574
"X",76,60.66,16.887,50.336,26,18.006,39.518,"Class3",83.06,48.64,28.193
"S",68,66.799,50.738,86.787,51,44.468,78.657,"Class5",35.82,94.961,27.463
"L",59,40.145,40.108,61.494,15,1.431,3.03,"Class2",81.551,34.439,32.114
"W",24,69.866,32.683,89.219,62,71.084,81.086,"Class5",26.997,58.537,28.699
"G",46,26.166,19.127,68.029,47,4.952,57.011,"Class1",41.602,61.722,30.088
"I",56,25.869,26.324,82.632,74,64.226,NA,"Class1",38.57,59.331,77.308
"L",66,33.718,56.456,59.008,33,53.931,22.599,"Class2",80.153,36.768,38.735
"G",87,33.395,36.285,37.014,14,18.178,10.721,"Class3",79.2,20.023,28.727
"O",75,37.099,33.103,33.891,19,18.485,46.634,"Class3",64.67,37.193,28
"Z",61,49.979,52.55,56.47,20,46.52,18.715,"Class2",75.752,33.263,73.168
"M",11,82.665,67.365,76.784,40,81.039,31.356,"Class4",91.86,56.413,33.476
"O",60,51.515,69.898,54.539,23,66.516,20.701,"Class2",77.383,58.684,48.58
"I",48,56.668,45.094,86.976,56,56.264,81.247,"Class5",26.378,42.872,32.789
"O",71,50.706,2.09,38.218,20,17.795,20.974,"Class3",75.077,43.141,28.893
"M",79,84.145,75.133,62.094,33,80.314,45.196,"Class4",91.822,34.894,32.55
"B",75,25.88,20.72,65.318,73,32.316,52.974,"Class1",35.899,59.995,76.192
"Z",53,85.302,73.015,70.535,31,84.432,14.941,"Class4",106.257,52.186,40.337
"T",59,82.257,71.442,64.633,32,82.068,36.133,"Class4",98.276,44.743,39.47
"M",70,88.559,96.034,74.511,36,87.436,61.071,"Class4",95.859,38.612,31.465
"M",14,87.858,65.01,73.993,35,88.553,32.412,"Class4",85.513,66.924,40.596
"Z",61,57.504,69.762,64.979,28,82.786,17.886,"Class2",82.598,44.798,33.001
"Z",55,82.849,75.619,60.915,36,83.096,4.168,"Class4",89.375,66.207,43.496
"F",58,86.161,98.023,77.277,45,83.497,15.335,"Class4",84.936,56.695,43.35
"I",62,58.631,29.047,88.881,55,77.243,NA,"Class5",25.644,31.282,35.207
"M",65,76.535,39.366,87.376,60,64.256,79.378,"Class5",32.005,60.767,28.434
"M",19,81.164,97.865,69.445,45,86.412,3.628,"Class4",74.307,58.573,31.966
"M",32,59.786,44.255,91.495,54,54.854,77.958,"Class5",36.156,55.372,27.863
"Z",34,83.012,67.009,58.487,27,88.838,30.596,"Class4",81.622,60.217,37.594
"M",61,91.443,21.388,85.177,54,48.587,80.994,"Class5",28.938,64.932,29.333
"I",40,66.597,51.638,89.705,52,74.871,80.535,"Class5",31.175,75.381,31.375
"I",15,26.94,24.392,69.206,44,22.294,58.734,"Class1",37.953,60.627,23.336
"W",68,71.028,54.819,85.568,62,61.474,76.74,"Class5",28.862,58.646,34.703
"M",16,87.743,96.527,66.257,32,85.14,25.787,"Class4",92.77,66.984,36.352
"X",79,38.41,10.577,41.529,10,17.958,38.743,"Class3",52.653,28.142,30.871
"D",41,70.707,39.008,86.616,65,69.448,78.698,"Class5",31.57,72.153,32.155
"I",64,24.772,27.983,76.273,30,45.072,53.314,"Class1",34.497,59.007,32.855
"D",85,44.744,40.864,42.539,13,17.389,26.328,"Class3",75.113,10.196,30.517
"U",37,84.81,77.743,65.761,36,86.613,5.514,"Class4",100.074,39.566,30.514
"U",56,80.1,77.665,78.286,39,87.578,35.092,"Class4",78.357,50.499,32.631
"M",75,43.311,23.603,40.448,22,18.373,45.451,"Class3",87.803,24.209,30.681
"S",25,39.997,13.181,82.474,51,52.866,82.38,"Class5",29.284,67.429,29.144
"T",68,25.455,12.673,60.571,47,34.033,60.61,"Class1",34.965,62.662,48.642
"M",73,76.762,81.116,65.474,47,82.87,19.535,"Class4",92.938,60.948,43.13
"M",20,82.229,80.604,68.616,28,80.952,0.368,"Class4",102.75,66.255,44.282
"D",49,50.209,18.344,88.451,61,75.964,81.559,"Class5",33.13,94.041,33.968
"D",36,62.081,37.7,87.73,55,75.505,NA,"Class5",27.812,61.012,25.696
"T",75,25.236,21.221,92.49,46,40.793,66.757,"Class1",37.605,59.973,25.634
"G",74,51.83,16.402,47.829,25,18.461,NA,"Class3",82.391,72.072,30.968
"M",80,38.106,25.649,47.581,19,17.782,30.927,"Class3",73.235,9.271,28.955
"Z",35,81.606,84.893,NA,46,85.45,54.673,"Class4",80.814,48.126,37.405
"U",20,84.706,73.411,65.219,35,83.807,21.829,"Class4",83.517,55.804,42.337
"I",19,25.923,17.484,86.831,27,9.336,62.623,"Class1",36.686,58.933,60.064
"Z",60,38.505,40.188,55.447,16,87.132,29.546,"Class2",78.195,14.464,71.659
"X",64,36.338,42.989,63.283,23,71.001,30.826,"Class2",78.272,25.087,72.78
"Y",59,60.286,77.67,52.241,33,77.51,16.081,"Class2",80.921,48.499,68.517
"T",8,84.582,82.366,69.136,40,82.212,34.901,"Class4",87.851,66.783,29.855
"T",30,25.966,25.345,101.236,77,47.375,53.626,"Class1",32.859,58.842,80.231
"I",51,25.77,13.313,NA,49,36.797,61.511,"Class1",31.814,61.871,76.257
"O",62,50.915,74.535,63.523,16,18.87,10.393,"Class2",80.288,43.076,71.231
"X",75,54.49,16.483,30.098,27,18.273,25.433,"Class3",83.965,62.912,29.21
"O",85,48.121,17.331,19.534,25,18.062,NA,"Class3",74.471,33.914,28.662
"X",82,60.627,38.398,35.061,18,17.081,53.908,"Class3",67.878,65.998,28.232
"X",60,29.649,79.83,55.181,23,90.612,7.27,"Class2",74.147,23.413,59.347
"L",59,43.395,73.897,61.318,26,26.81,-4.414,"Class2",82.377,28.183,42.576
"U",48,82.166,74.842,61.735,45,84.081,29.459,"Class4",85.313,34.707,34.573
"J",29,26.169,16.416,48.584,79,17.715,60.821,"Class1",39.415,62.37,56.156
"O",64,39.618,61.697,54.179,23,49.373,15.982,"Class2",87.785,55.644,61.016
"B",53,26.474,21.739,118.017,83,61.165,46.571,"Class1",34.123,61.174,74.351
"I",44,25.601,21.022,38.288,71,70.457,38.889,"Class1",32.331,61.212,32.933
"D",81,52.911,1.931,31.185,12,17.695,23.277,"Class3",77.021,84.086,30.185
"G",15,26.505,22.645,87.465,63,38.055,62.198,"Class1",37.698,61.749,30.06
"X",61,27.584,57.201,57.943,31,52.745,26.137,"Class2",86.097,47.985,76.464
"Z",10,81.15,95.918,68.628,43,87.155,21.272,"Class4",84.322,49.656,27.888
"I",34,77.157,45.57,85.385,60,58.819,79.799,"Class5",31.868,77.689,28.01
"Z",75,86.267,93.175,70.45,44,87.541,-10.869,"Class4",81.755,44.176,38.576
"O",82,50.81,28.456,42.976,18,18.218,42.41,"Class3",85.583,49.418,29.49
"X",76,46.435,38.08,49.999,23,17.621,36.65,"Class3",76.319,88.542,28.138
"T",84,81.825,73.226,65.841,36,79.968,17.033,"Class4",94.243,44.821,40.961
"J",33,25.408,24.459,67.744,67,22.589,53.417,"Class1",41.653,62.078,81.469
"G",78,36.302,5.696,27.338,20,18.147,10.355,"Class3",66.497,77.049,29.44
"G",66,25.952,19.377,67.345,73,32.388,50.567,"Class1",35.709,60.882,51.344
"O",77,45.794,20.586,30.349,17,17.784,35.659,"Class3",77.896,84.692,28.12
"B",54,25.501,25.507,55.592,35,49.613,41.881,"Class1",38.46,60.495,30.811
"G",58,25.936,19.167,70.978,38,62.603,49.555,"Class1",38.859,59.886,72.832
"X",62,44.179,77.534,NA,18,21.8,3.573,"Class2",84.117,24.668,67.462
"Z",52,88.771,98.31,75.197,33,81.293,19.141,"Class4",86.997,59.297,30.181
"L",59,32.067,53.513,59.143,30,77.557,18.673,"Class2",83.879,19.019,31.748
"Z",60,31.072,80.916,60.706,25,52.914,17.268,"Class2",86.161,33.765,70.455
"X",64,41.361,52.733,55.472,34,57.008,29.531,"Class2",85.253,26.809,59.871
"T",16,26.895,24.303,76.818,51,50.357,50.843,"Class1",38.096,62.586,37.297
"I",3,25.651,20.156,82.015,40,16.864,62.822,"Class1",34.524,62.337,86.164
"U",50,82.492,89.668,68.881,30,82.551,10.295,"Class4",83.748,48.088,30.769
"M",42,82.841,87.198,83.392,47,87.866,14.717,"Class4",94.887,45.339,28.855
"M",63,75.356,52.768,88.025,51,55.667,80.788,"Class5",30.741,75.303,36.484
"W",67,44.109,50.577,85.37,63,52.628,81.327,"Class5",31.158,54.3,26.943
"Y",64,32.142,52.103,53.862,31,32.454,26.74,"Class2",79.079,14.668,60.645
"Z",62,34.663,70.565,65.024,30,79.606,6.035,"Class2",82.385,22.887,57.923
"Z",72,84.855,65.193,68.39,42,88.829,24.344,"Class4",90.683,47.791,31.249
"Z",63,25.128,59.212,48.729,21,76.895,-3.671,"Class2",85.801,50.748,82.413
"X",76,39.081,14.308,40.962,25,17.624,13.503,"Class3",85.654,18.268,28.697
"M",66,86.714,70.529,67.29,39,83.666,14.013,"Class4",79.976,49.408,37.991
"X",76,50.663,8.203,46.656,18,18.433,39.678,"Class3",88.469,57.634,28.268
"F",15,81.086,66.915,62.23,29,83.218,NA,"Class4",87.023,51.869,42.806
"X",88,37.945,17.282,NA,23,18.504,39.027,"Class3",79.453,71.643,30.603
"O",85,74.434,21.531,44.248,23,17.38,32.675,"Class3",87.757,79.076,28.385
"S",33,67.903,9.071,88.554,52,64.802,80.909,"Class5",31.443,43.426,27.532
"M",54,100.059,51.96,87.228,54,41.369,81.522,"Class5",37.875,65.408,33.389
"G",85,23.018,4.356,NA,12,18.389,15.555,"Class3",80.841,41.54,29.76
"Z",66,39.158,42.466,58.353,20,85.799,2.828,"Class2",81.668,40.483,30.99
"T",63,27.457,20.629,66.552,45,44.115,NA,"Class1",34.634,61.472,83.385
"O",80,45.755,10.717,23.528,13,17.37,36.223,"Class3",94.899,61.964,29.705
"G",56,25.236,13.234,NA,39,61.095,61.414,"Class1",47.014,60.497,48.467
"M",75,67.943,34.499,46.105,10,18.928,30.753,"Class3",64.726,70.293,28.241
"X",75,55.428,34.067,61.535,26,17.052,17.678,"Class3",100.607,91.304,30.059
"T",14,26.301,17.052,NA,65,77.58,70.938,"Class1",37.601,59.475,62.199
"M",33,80.874,70.147,65.955,41,84.908,32.674,"Class4",81.435,34.206,42.217
"Y",64,45.648,54.173,54.444,19,71.646,20.722,"Class2",83.194,29.156,69.212
"X",84,59.803,32.102,47.902,17,17.106,24.69,"Class3",66.976,78.5,30.08
"T",71,25.673,22.972,90.32,55,48.294,48.058,"Class1",34.541,62.488,72.671
"M",88,57.893,2.689,45.002,26,18.456,26.665,"Class3",67.131,56.553,29.344
"G",54,26.316,13.165,87.023,78,81.076,39.416,"Class1",40.893,60.328,84.372
"I",38,31.201,31.515,90.62,59,76.051,79.499,"Class5",28.23,54.939,29.748
"Z",63,51.552,59.224,54.721,22,41.258,12.383,"Class2",80.549,21.654,61.201
"Z",61,63.791,61.944,53.778,19,19.49,11.166,"Class2",84.794,32.776,63.6
"M",51,93.805,49.766,88.775,59,65.506,80.326,"Class5",32.671,33.096,35.606
"G",74,24.991,24.344,97.616,82,22.384,60.327,"Class1",39.38,58.601,78.317
