"KGE1","ZCT2","XFI3","XCR4","Output20","RPT5","VDN6","SFI7","VGU8","GPL9"
73.562,70.769,"U",48.201,"Class2",32.148,17.451,58.093,92.749,26
90.532,70.964,"X",48.438,"Class2",43.553,21.874,46.733,92.707,55
52.762,19.61,"N",72.193,"Class1",6.338,10.005,51.27,52.689,31
33.893,19.421,"D",79.715,"Class1",11.763,8.451,49.617,70.433,13
40.429,26.525,"S",66.875,"Class1",18.734,11.196,51.14,75.925,13
55.823,18.505,"S",80.942,"Class1",11.718,8.36,51.126,68.934,41
79.934,73.191,"U",47.812,"Class2",64.08,19.925,52.89,93.953,47
91.263,72.197,"G",47.079,"Class2",21.316,13.825,61.838,92.451,64
44.589,13.994,"N",53.062,"Class1",27.087,20.102,49.237,84.442,26
44.882,31.724,"D",69.575,"Class1",30.946,4.712,51.041,39.654,36
52.36,26.551,"J",54.219,"Class1",30.075,16.948,49.55,69.273,28
83.618,69.431,"E",47.837,"Class2",48.463,29.15,51.213,93.406,70
86.72,70.571,"E",48.494,"Class2",50.605,7.423,55.216,93.466,44
30.901,8.558,"T",77.22,"Class1",11.027,NA,50.019,71.481,19
86.896,71.403,"U",47.224,"Class2",51.56,19.005,58.961,92.438,54
82.712,68.381,"E",47.899,"Class2",64.676,15.682,60.411,92.891,28
83.426,71.124,"I",47.179,"Class2",32.441,30.54,52.143,93.127,57
44.357,19.042,"D",58.446,"Class1",13.285,11.31,50.667,46.314,41
87.454,68.901,"U",47.169,"Class2",24.099,27.799,54.45,92.844,8
28.893,6.033,"N",68.454,"Class1",13.506,1.086,50.408,52.481,18
93.63,73.517,"E",48.641,"Class2",20.101,10.714,70.475,93.322,62
50.2,21.28,"N",70.814,"Class1",28.692,3.275,51.256,106.107,9
38.278,10.699,"S",60.563,"Class1",25.325,12.084,50.476,56.097,21
34.317,33.236,"T",60.64,"Class1",5.431,21.65,49.557,52.636,NA
51.659,29.137,"D",64.951,"Class1",13.435,27.633,49.183,74.977,42
44.955,20.405,"D",51.472,"Class1",13.878,-4.259,50.805,55.866,18
39.584,15.224,"T",73.325,"Class1",7.849,11.579,49.676,103.208,27
54.057,24.072,"T",75.77,"Class1",22.278,8.318,49.94,55.721,15
91.211,69.983,"U",48.88,"Class2",58.307,25.887,54.106,92.08,14
98.879,69.902,"X",46.71,"Class2",33.298,8.74,54.805,93.616,56
49.009,26.628,"D",67.401,"Class1",10.509,11.47,50.857,68.259,40
86.719,73.598,"I",46.383,"Class2",18.166,0.893,57.91,93.686,54
77.485,70.78,"G",47.097,"Class2",64.776,21.409,60.048,92.978,36
80.911,70.772,"U",47.886,"Class2",53.916,22.675,71.302,93.338,39
95.936,71.724,"U",48.446,"Class2",45.114,12.136,61.65,92.904,39
93.604,72.445,"G",47.251,"Class2",29.21,20.947,47.558,92.971,62
39.715,16.309,"T",64.073,"Class1",19.496,NA,50.057,70.335,31
93.626,70.757,"G",47.048,"Class2",61.755,38.311,58.348,93.591,71
32.059,14.727,"D",64.812,"Class1",12.612,17.089,50.238,68.254,19
75.577,71.514,"I",48.39,"Class2",13.389,-8.66,69.256,92.578,34
45.561,21.503,"J",71.95,"Class1",21.73,11.455,50.99,66.338,18
75.706,68.999,"I",47.692,"Class2",13.655,14.306,56.871,90.892,70
45.166,32.842,"T",56.814,"Class1",17.621,8.96,50.599,72.819,38
45.553,25.877,"N",55.292,"Class1",15.314,9.274,49.174,56.831,40
33.578,14.593,"N",70.4,"Class1",9.074,-0.836,51.618,84.76,17
28.587,23.975,"S",68.557,"Class1",27.544,16.572,50.498,51.656,39
91.927,71.356,"U",48.891,"Class2",51.18,26.035,57.582,92.274,38
35.035,16.208,"N",73.266,"Class1",13.665,6.512,50.399,72.193,34
44.763,18.138,"T",73.132,"Class1",12.547,NA,50.21,44.009,39
97.759,72.487,"G",47.261,"Class2",17.86,35.056,43.177,93.425,68
72.639,72.003,"I",47.489,"Class2",15.655,18.344,72.251,92.07,12
46.265,18.363,"J",64.555,"Class1",27.473,10.647,50.472,64.999,29
31.629,10.797,"S",50.373,"Class1",5.547,3.751,49.381,78.115,21
75.05,70.603,"U",46.55,"Class2",59.161,14.614,52.812,92.26,66
49.689,22.968,"T",66.282,"Class1",26.368,11.604,51.141,105.847,11
85.332,69.956,"X",47.429,"Class2",13.104,7.992,72.54,92.824,48
77.222,70.155,"G",49.988,"Class2",24.106,23.401,60.364,92.861,25
35.474,16.387,"T",71.522,"Class1",34.535,10.099,51.453,59.826,42
37.141,34.162,"S",77.742,"Class1",25.44,0.879,51.436,61.429,41
45.666,18.681,"T",64.685,"Class1",28.222,8.651,49.071,84.121,32
38.381,9.15,"J",66.29,"Class1",34.7,1.722,51.826,64.305,21
52.401,40.082,"S",65.138,"Class1",27.652,8.9,50.953,65.558,12
96.772,71.213,"U",48.935,"Class2",38.514,13.173,44.054,91.683,53
47.393,24.831,"T",60.411,"Class1",21.85,23.008,49.449,81.153,35
44.38,19.706,"D",58.699,"Class1",9.991,16.396,50.922,82.526,40
69.112,71.871,"U",46.668,"Class2",13.584,-12.606,52.71,92.306,17
31.098,14.52,"N",77.748,"Class1",20.004,-0.444,49.389,45.525,43
90.592,71.445,"X",46.918,"Class2",23.931,7.672,67.417,93.834,63
85.09,73.303,"G",47.495,"Class2",47.212,1.179,57.32,92.739,21
69.015,70.974,"E",48.66,"Class2",15.06,22.532,47.146,94.115,70
73.293,73.532,"G",47.086,"Class2",32.158,2.018,68.144,93.248,43
44.675,17.003,"N",59.401,"Class1",32.384,15.473,49.216,64.54,12
70.311,71.66,"E",46.112,"Class2",56.776,23.168,63.519,92.857,16
96.892,70.245,"E",47.713,"Class2",33.19,28.673,46.035,91.931,6
30.327,33.009,"S",59.869,"Class1",15.832,11.983,50.436,68.787,21
77.362,72.636,"X",46.647,"Class2",60.998,22.721,66.123,93.582,37
44.067,21.828,"N",61.459,"Class1",25.8,5.062,49.769,40.323,40
43.105,26.047,"J",62.021,"Class1",20.362,10.155,50.593,66.462,20
87.642,69.855,"X",48.522,"Class2",21.3,18.123,61.737,93.961,3
33.655,15.604,"T",75.283,"Class1",8.234,21.362,51.743,78.265,38
38.559,28.056,"D",67.077,"Class1",18.866,14.285,51.575,77.815,30
34.35,29.768,"J",48.824,"Class1",17.024,9.262,50.204,74.644,23
34.374,29.559,"D",71.701,"Class1",21.728,4.4,49.173,43.314,16
70.107,71.107,"X",46.854,"Class2",24.079,18.477,43.69,90.821,43
51.245,24.94,"T",66.142,"Class1",26.965,20.373,51.763,64.889,35
96.819,71.596,"I",46.992,"Class2",41.094,15.327,70.869,91.871,50
84.099,72.629,"E",49.231,"Class2",38.794,14.929,54.256,93.267,65
76.094,69.249,"U",46.607,"Class2",41.648,4.073,71.523,90.796,55
28.776,20.822,"D",64.211,"Class1",13.854,20.586,51.734,98.628,18
90.499,73.201,"I",47.656,"Class2",38.164,4.785,63.112,93.12,61
86.277,69.636,"I",47.885,"Class2",64.471,18.577,53.846,92.399,6
52.269,21.056,"S",71.646,"Class1",6.454,10.4,50.546,57.05,40
29.339,20.614,"D",69.722,"Class1",20.244,9.85,50.993,83.897,14
79.001,73.492,"U",47.545,"Class2",16.607,22.188,69.363,93.292,12
42.259,25.824,"S",69.932,"Class1",11.703,18.334,49.063,53.523,10
41.166,21.617,"J",58.835,"Class1",16.715,8.49,50.076,84.772,22
89.907,70.822,"E",48.246,"Class2",62.949,25.985,51.68,91.437,23
39.956,23.327,"D",61.668,"Class1",6.696,7.343,49.435,96.102,39
80.962,69.427,"I",47.108,"Class2",61.205,41.364,52.256,91.78,73
74.216,69.427,"I",46.795,"Class2",40.751,28.712,57.398,91.812,55
72.14,70.731,"U",46.267,"Class2",63.102,NA,65.699,93.693,24
28.077,30.603,"D",60.866,"Class1",7.295,17.687,51.525,58.943,16
44.508,27.858,"T",64.531,"Class1",20.442,3.741,50.136,59.168,24
73.252,71.346,"G",47.5,"Class2",33.394,12.99,59.852,90.701,17
71.848,70.059,"X",47.367,"Class2",56.444,4.534,47.715,92.921,2
53.236,22.594,"T",60.42,"Class1",33.759,21.11,49.156,98.543,33
35.487,39.244,"N",64.649,"Class1",23.872,5.281,51.414,49.905,31
42.721,13.606,"N",65.912,"Class1",16.207,11.283,51.119,49.102,26
68.846,71.56,"G",47.847,"Class2",22.376,11.389,72.113,92.011,75
95.802,70.26,"X",47.522,"Class2",26.185,25.674,60.606,92.71,36
82.342,70.359,"U",48.44,"Class2",35.076,17.333,52.915,90.713,28
54.862,23.608,"S",68.995,"Class1",32.738,16.637,49.009,71.439,18
96.427,71.228,"U",46.71,"Class2",28.225,19.498,44.238,90.912,30
68.694,70.283,"U",47.567,"Class2",23.851,23.935,61.156,92.318,58
54.941,32.901,"S",65.652,"Class1",34.122,9.827,50.27,91.44,19
73.731,71.588,"I",48.268,"Class2",59.91,14.898,44.798,92.631,67
91.061,70.155,"X",47.079,"Class2",20.478,-6.462,55.421,92.141,30
33.766,13.987,"N",49.668,"Class1",26.917,3.839,50.059,91.886,14
38.521,18.992,"T",51.27,"Class1",12.759,18.738,49.767,98.728,12
36.719,11.314,"T",68.012,"Class1",32.43,4.426,49.912,95.481,15
51.364,10.71,"D",63.629,"Class1",9.485,1.216,49.235,101.798,20
32.517,23.599,"N",66.485,"Class1",25.658,9.291,50.118,77.076,37
30.082,36.82,"N",70.707,"Class1",32.202,9.713,51.084,55.235,22
50.623,8.996,"S",62.8,"Class1",16.833,4.174,49.388,59.437,31
38.221,26.373,"T",74.963,"Class1",15.763,6.227,50.115,72.526,23
36.936,26.242,"S",69.097,"Class1",17.235,3.438,49.066,78.703,37
30.916,21.057,"J",64.428,"Class1",28.872,8.307,50.614,79.477,19
40.777,18.771,"S",66.534,"Class1",31.106,4.949,50.819,74.148,37
37.177,29.004,"D",69.835,"Class1",14.715,7.302,51.571,66.943,40
95.763,71.767,"I",47.848,"Class2",55.293,8.212,57.037,93.018,8
43.884,31.219,"N",51.776,"Class1",15.433,-5.647,50.916,49.18,27
38.771,23.131,"N",60.139,"Class1",11,15.373,49.961,83.712,14
51.286,20.772,"D",68.444,"Class1",14.723,22.287,51.305,79.194,12
72.496,69.384,"G",46.896,"Class2",36.29,18.876,66.293,92.841,39
40.99,18.969,"N",74.556,"Class1",6.84,13.216,50.337,60.056,21
77.715,71.804,"U",47.421,"Class2",27.972,10.185,43.904,92.218,34
35.292,26.866,"D",82.279,"Class1",15.586,2.459,51.207,79.852,16
54.61,26.314,"S",70.246,"Class1",25.433,10.996,49.011,60.896,40
80.728,71.045,"X",46.624,"Class2",51.65,33.262,49.798,91.436,NA
95.137,71.264,"U",46.314,"Class2",40.61,4.185,46.194,93.138,16
30.49,23.389,"D",67.89,"Class1",30.87,16.742,51.106,83.47,9
39.73,35.637,"J",69.22,"Class1",35.926,7.995,50.087,58.319,29
52.015,28.959,"D",63.48,"Class1",12.184,4.274,49.595,65.035,22
31.236,27.833,"D",71.103,"Class1",6.298,11.757,51.553,84.496,32
73.579,70.664,"E",47.889,"Class2",61.082,18.886,55.573,91.386,42
86.088,72.178,"I",47.65,"Class2",44.469,23.635,51.889,93.392,9
31.868,21.924,"S",58.322,"Class1",16.285,NA,51.872,77.454,29
52.129,35.623,"S",66.466,"Class1",18.193,14.019,49.956,50.892,11
50.769,20.279,"D",66.791,"Class1",13.33,14.927,49.563,59.134,34
31.142,22.541,"D",70.593,"Class1",22.788,7.116,50.371,63.8,16
39.046,23.47,"N",60.707,"Class1",21.901,6.428,51.262,54.962,37
40.603,28.396,"J",71.256,"Class1",20.495,4.347,51.923,74.799,11
73.282,69.866,"X",49.643,"Class2",39.683,21.327,54.106,92.128,74
68.593,69.565,"X",48.843,"Class2",62.65,23.556,59.249,91.714,32
90.703,74.25,"U",48.768,"Class2",64.785,23.09,49.614,93.663,61
49.522,29.177,"D",64.54,"Class1",22.563,5.494,49.374,83.298,41
43.275,18.265,"D",66.625,"Class1",20.25,8.379,51.675,91.388,31
82.675,69.927,"G",47.54,"Class2",60.345,NA,68.9,91.545,37
34.371,37.01,"N",59.283,"Class1",6.276,9.386,51.86,94.999,11
45.785,23.149,"T",65.429,"Class1",13.171,17.672,50.312,75.247,12
94.213,71.285,"G",48.464,"Class2",39.09,22.874,63.103,91.701,32
35.563,35.24,"T",57.691,"Class1",34.299,NA,51.682,85.602,32
45.823,15.084,"N",53.132,"Class1",23.426,11.394,50.037,84.649,33
86.286,69.64,"U",47.619,"Class2",60.39,13.098,71.543,91.988,6
48.412,27.202,"S",63.914,"Class1",25.529,2.106,50.134,38.771,31
38.758,20.177,"T",58.55,"Class1",26.109,24.126,51.94,74.645,28
91.883,71.088,"G",47.041,"Class2",30.327,7.6,51.985,92.425,74
35.342,26.695,"S",68.359,"Class1",32.298,6.337,50.559,75.539,NA
40.634,9.81,"S",60.015,"Class1",12.544,0.775,50.645,70.749,35
93.621,72.322,"I",46.526,"Class2",27.644,3.932,46.798,92.257,68
35.118,27.142,"T",68.855,"Class1",7.253,2.428,50.01,47.75,21
45.278,16.137,"N",61.468,"Class1",35.065,NA,51.255,66.452,NA
76.401,69.1,"G",47.24,"Class2",28.287,17.342,46.43,93.754,49
46.909,23.856,"D",81.798,"Class1",34.451,8.197,50.475,66.928,23
94.339,70.188,"G",47.047,"Class2",22.225,2.257,62.604,93.177,73
45.763,20.854,"J",78.769,"Class1",22.709,10.88,49.197,50.643,28
52.33,24.136,"T",70.096,"Class1",25.212,13.064,49.315,80.468,39
78.083,71.066,"U",46.989,"Class2",16.588,-4.88,55.022,94.035,26
97.621,70.028,"G",45.786,"Class2",59.068,18.552,68.679,92.604,47
46.063,20.001,"D",59.346,"Class1",29.411,13.92,50.277,82.874,40
47.591,20.676,"T",69.103,"Class1",9.925,10.989,49.31,63.908,26
71.773,69.608,"U",47.58,"Class2",26.785,23.972,51.859,92.072,26
41.102,16.512,"N",63.867,"Class1",7.981,16.021,49.489,64.699,40
37.758,17.736,"D",56.523,"Class1",5.565,6.279,49.229,70.568,35
84.734,71.681,"U",47.15,"Class2",64.311,13.458,58.651,91.773,NA
84.758,70.558,"I",48.215,"Class2",35.409,11.769,60.883,91.216,61
35.237,16.246,"J",56.789,"Class1",19.183,8.299,50.431,46.528,37
89.727,69.156,"U",46.935,"Class2",29.836,4.327,58.708,93.358,43
48.01,21.743,"S",49.07,"Class1",32.984,3.537,50.135,66.994,12
95.253,71.953,"E",48.129,"Class2",32.658,26.292,58.319,93.07,30
51.683,20.326,"D",76.325,"Class1",26.574,10.764,50.092,81.266,24
87.659,71.581,"X",47.798,"Class2",60.751,-7.298,68.852,92.711,69
82.459,69.895,"E",47.213,"Class2",26.765,27.419,48.422,92.083,66
44.164,8.928,"S",57.174,"Class1",14.174,2.529,49.465,79.988,42
74.849,72.067,"E",48.177,"Class2",56.019,7.412,64.952,91.111,52
36.43,19.985,"D",61.544,"Class1",8.642,8.61,51.533,65.612,32
28.004,29.152,"S",63.269,"Class1",22.092,25.453,50.656,86.679,NA
51.929,23.336,"N",60.106,"Class1",28.494,3.072,49.111,94.788,25
98.451,71.732,"U",46.89,"Class2",48.422,-11.179,60.386,92.375,69
39.245,29.615,"D",63.266,"Class1",7.929,3.921,49.774,62.305,17
43.423,21.924,"D",71.6,"Class1",5.204,2.381,49.498,44.345,32
35.182,7.621,"S",69.042,"Class1",35.024,8.688,51.714,60.908,43
35.972,27.409,"T",64.874,"Class1",14.647,9.145,49.266,73.858,23
87.663,71.292,"U",47.222,"Class2",35.414,26.646,70.326,94.333,20
43.255,13.414,"S",63.123,"Class1",25.343,0.898,51.745,86.881,40
29.582,15.111,"N",61.689,"Class1",8.749,13.265,51.262,59.981,40
42.512,27.169,"J",60.515,"Class1",18.896,10.927,51.549,86.768,11
45.573,23.756,"S",67.133,"Class1",31.424,14.2,51.249,68.377,27
49.042,23.058,"J",63.899,"Class1",33.816,-1.616,51.553,58.591,19
46.016,5.712,"D",67.431,"Class1",33.204,-0.293,50.662,60.811,29
89.151,71.93,"E",47.578,"Class2",32.102,22.07,67.407,92.526,23
89.31,71.067,"I",47.145,"Class2",54.822,18.362,58.629,90.798,14
75.502,70.239,"E",47.023,"Class2",17.383,30.167,55.407,91.448,35
42.073,24.016,"N",68.072,"Class1",24.951,12.143,51.333,66.995,23
48.47,21.55,"D",66.88,"Class1",34.05,-1.735,49.434,77.5,23
85.831,70.79,"X",47.199,"Class2",53.742,10.041,66.332,92.693,48
42.139,18.16,"T",81.894,"Class1",17.057,11.502,51.425,61.256,40
54.916,22.11,"J",48.658,"Class1",27.273,15.488,51.62,40.929,20
28.95,25.89,"S",65.034,"Class1",34.293,10.28,50.196,75.402,41
91.748,69.192,"E",46.755,"Class2",18.304,15.23,44.303,91.373,52
97.392,69.373,"X",47.874,"Class2",16.318,10.051,44.108,92.054,38
91.674,71.427,"X",47.531,"Class2",15.89,26.309,62.975,95.004,21
83.586,70.946,"U",49.115,"Class2",59.589,8.961,63.538,93.572,54
49.582,25.565,"J",66.711,"Class1",30.9,19.815,51.251,94.304,43
52.631,30.419,"S",53.82,"Class1",25.97,19.461,49.163,61.377,14
47.697,12.013,"D",70.874,"Class1",32.208,5.981,49.83,56.876,43
77.17,70.168,"X",46.583,"Class2",22.387,14.447,50.661,92.505,28
28.711,39.405,"D",69.003,"Class1",11.553,10.81,51.482,64.411,22
45.165,24.792,"D",51.27,"Class1",5.155,2.822,49.246,66.03,41
49.774,24.836,"T",73.842,"Class1",16.045,11.961,50.122,44.055,NA
82.681,72.895,"I",47.445,"Class2",18.69,13.079,60.557,92.371,73
82.167,71.494,"I",47.515,"Class2",37.861,22.662,45.68,93.245,72
49.621,32.081,"J",65.759,"Class1",8.465,13.295,51.778,43.002,42
70.685,69.7,"U",47.774,"Class2",57.16,25.506,54.156,91.25,35
71.106,71.99,"U",47.049,"Class2",55.514,34.944,70.32,93.013,34
76.422,73.644,"I",47.921,"Class2",15.13,5.415,54.466,92.602,72
28.021,21.796,"J",68.186,"Class1",22.472,13.377,49.305,88.584,26
73.432,70.697,"X",46.486,"Class2",39.223,18.61,55.496,91.735,53
50.388,28.771,"J",69.449,"Class1",20.966,13.314,50.235,48.576,20
55.843,18.45,"N",57.086,"Class1",25.42,8.805,49.589,62.124,35
95.909,74.915,"U",48.709,"Class2",34.386,36.785,61.337,92.313,18
69.729,70.628,"G",48.739,"Class2",39.621,5.453,44.599,93.585,32
77.927,71.205,"G",48.207,"Class2",24.022,21.887,57.414,91.417,40
47.506,14.925,"T",68.622,"Class1",25.304,7.212,51.904,69.741,25
96.563,69.563,"U",48.958,"Class2",33.026,-6.719,46.557,91.427,33
72.181,71.254,"G",47.41,"Class2",43.914,28.482,44.689,91.87,NA
55.94,24.86,"J",65.792,"Class1",16.19,16.591,49.744,53.206,34
42.16,25.486,"N",61.976,"Class1",21.723,10.845,50.836,74.288,24
84.614,70.834,"I",46.831,"Class2",14.075,11.1,46.743,92.567,10
96.45,71.397,"G",45.362,"Class2",50.468,19.304,48.735,92.417,33
37.141,27.846,"D",50.765,"Class1",7.742,10.423,51.743,69.292,10
93.767,71.282,"X",49.204,"Class2",52.933,16.612,50.853,93.057,4
32.924,19.737,"N",68.02,"Class1",35.97,21.339,51.541,91.979,20
87.267,72.253,"X",48.489,"Class2",22.517,19.831,53.124,91.672,64
48.967,20.475,"N",54.732,"Class1",26.205,14.509,50.216,67.524,20
92.524,72.436,"U",49.155,"Class2",16.155,13.849,67.11,94.286,16
72.044,73.226,"I",48.446,"Class2",57.065,22.767,70.412,91.991,11
41.323,14.216,"J",57.38,"Class1",17.289,7.383,49.807,77.218,27
55.517,31.55,"J",59.842,"Class1",12.881,18.402,49.596,77.711,19
78.131,71.076,"X",47.967,"Class2",51.811,35.346,59.68,91.671,29
37.764,20.793,"S",77.691,"Class1",23.375,14.874,50.768,61.58,36
35.264,25.091,"T",71.621,"Class1",20.024,19.937,50.878,82.702,43
29.824,33.26,"S",67.337,"Class1",28.145,7.472,50.212,83.658,40
91.648,72.495,"I",46.919,"Class2",35.17,8.872,68.587,93.315,52
95.328,71.136,"U",48.296,"Class2",62.978,24.412,68.304,91.67,48
32.577,8.617,"T",64.478,"Class1",20.724,NA,49.491,76.855,9
76.28,69.861,"E",46.929,"Class2",38.326,16.576,60.638,92.297,17
97.102,69.509,"I",48.183,"Class2",45.714,18.794,46.878,93.013,33
42.835,25.878,"T",67.89,"Class1",27.633,20.751,49.469,63.807,35
54.671,22.15,"J",61.275,"Class1",26.054,5.83,49.915,67.136,17
80.481,70.616,"I",49.099,"Class2",23.244,11.302,43.723,90.848,62
79.842,70.261,"X",47.939,"Class2",22.692,14.898,70.481,93.342,53
53.678,23.217,"D",58.922,"Class1",21.962,9.175,50.721,66.041,24
51.243,18.872,"S",73.626,"Class1",33.725,5.12,49.351,75.657,21
72.989,72.187,"U",47.301,"Class2",63.289,20.453,51.125,92.369,14
77.345,71.744,"I",47.894,"Class2",42.565,15.841,52.439,92.679,64
49.781,26.344,"S",58.322,"Class1",22.303,8.336,50.648,55.766,39
74.317,68.579,"E",47.467,"Class2",32.315,20.279,64.806,92.803,30
46.799,33.093,"S",56.284,"Class1",28.806,5.606,49.807,75.457,9
92.42,70.85,"X",48.164,"Class2",56.847,34.499,53.745,92.874,21
41.259,13.999,"T",68.86,"Class1",14.118,-0.938,50.017,69.043,41
36.522,35.636,"N",71.005,"Class1",27.387,5.954,50.52,69.73,25
50.13,7.396,"S",70.096,"Class1",18.417,13.96,51.163,72.837,15
84.974,70.377,"I",46.822,"Class2",54.241,15.4,72.693,93.261,66
69.4,70.46,"X",47.639,"Class2",27.976,26.703,70.624,91.416,58
35.932,16.142,"S",78.422,"Class1",26.973,7.8,49.175,75.365,28
28.873,22.273,"D",67.961,"Class1",27.403,9.749,50.282,72.753,25
76.002,71.088,"X",47.712,"Class2",35.343,NA,56.328,91.745,NA
75.829,71.574,"X",47.161,"Class2",45.213,9.194,53.515,91.306,20
86.42,71.735,"U",49.784,"Class2",20.872,37.74,64.121,94.33,41
86.619,69.771,"E",47.933,"Class2",38.192,8.742,63.592,92.887,27
70.526,69.698,"E",47.776,"Class2",40.497,11.128,62.115,93.942,30
68.411,71.492,"X",47.933,"Class2",30.182,2.794,45.661,92.669,16
78.822,69.095,"X",48.002,"Class2",21.652,26.842,58.737,91.658,47
92.704,70.788,"U",48.713,"Class2",40.956,15.245,49.992,90.839,5
34.279,31.088,"D",71.091,"Class1",24.043,12.304,49.593,95.289,10
75.755,71.633,"E",47.881,"Class2",44.373,15.555,52.573,93.237,2
91.787,68.052,"U",47.118,"Class2",14.302,23.348,53.492,92.118,32
88.064,73.179,"E",46.829,"Class2",60.931,4.533,72.849,92.954,30
80.581,73.352,"G",46.755,"Class2",34.986,-0.711,63.23,95.237,17
72.154,71.407,"U",45.529,"Class2",27.272,12.915,69.533,91.711,24
38.998,9.814,"N",55.616,"Class1",31.267,0.639,51.148,81.399,40
53.121,6.755,"D",65.186,"Class1",23.694,17.571,49.622,84.78,21
77.364,71.322,"U",47.777,"Class2",57.339,NA,47.965,93.715,71
94.34,71.011,"I",48.202,"Class2",20.307,23.991,66.934,92.256,56
97.644,70.458,"X",49.384,"Class2",58.803,14.932,48.027,94.035,58
30.695,13.99,"D",66.417,"Class1",20.538,3.557,51.988,82.284,30
93.891,72.952,"G",46.648,"Class2",29.367,24.013,62.391,91.335,60
32.581,26.69,"S",66.574,"Class1",27.225,4.755,51.66,71.638,33
