"NIR1","BCV2","DTG3","RYA4","WVT5","OFL6","YPK7","Output9","YAD8","JVN9","IWF10","BUI11","PRQ12"
23.084,48.155,9.255,"X",NA,82.667,61,"Class1",75.697,77.973,36.973,23.074,"N"
24.634,19.821,13.822,"J",25,76.63,56,"Class1",77.63,55.44,36.545,27.809,"W"
83.82,54.514,38.142,"R",NA,45.075,40,"Class4",29.379,14.209,39.483,16.914,"Y"
62.886,34.624,58.597,"C",33,36.852,51,"Class3",16.964,68.269,86.722,54.911,"R"
8.011,29.162,11.539,"J",18,84.013,37,"Class1",75.56,113.723,31.922,24.791,"K"
65,6.833,53.627,"V",53,48.954,1,"Class5",56.317,65.817,67.044,38.679,"F"
72.185,87.841,42.502,"V",30,91.711,13,"Class2",37.015,86.978,67.174,41.097,"V"
80.043,54.507,11.202,"U",NA,8.618,47,"Class4",37.977,54.786,80.177,30.864,"V"
55.898,78.477,43.98,"O",34,90.419,8,"Class2",55.273,46.465,71.615,53.203,"A"
72.566,97.807,42.082,"S",26,86.92,7,"Class2",15.041,88.853,72.756,80.762,"B"
86.806,53.22,18.74,"R",93,38.969,40,"Class4",18.545,39.471,73.566,33.619,"Y"
84.545,48.632,39.485,"R",91,42.946,46,"Class4",38.417,43.959,84.878,19.575,"Q"
75.853,50.796,24.778,"G",93,49.56,44,"Class4",26.824,81.884,87.487,28.889,"V"
19.113,52.986,19.243,"J",14,58.131,31,"Class1",74.447,57.814,35.853,28.016,"N"
65.323,46.144,55.281,"A",69,-22.827,9,"Class5",55.623,79.796,65.906,57.761,"G"
67.296,38.363,91.946,"P",41,26.943,53,"Class3",9.154,78.099,79.003,56.48,"D"
55.419,40.383,52.482,"H",52,33.129,52,"Class3",7.279,51.894,91.901,62.657,"O"
55.134,26.843,51.289,"H",29,28.652,48,"Class3",11.05,79.768,82.208,63.286,"E"
64.15,91.175,44.424,"S",32,90.56,12,"Class2",19.964,81.466,88.047,43.28,"B"
79.538,55.264,21.607,"R",93,52.671,50,"Class4",71.671,29.88,30.726,20.521,"A"
60.751,43.046,96.7,"H",18,32.356,51,"Class3",4.938,59.767,86.088,59.931,"D"
55.192,89.853,45.357,"V",30,87.27,13,"Class2",37.346,69.128,86.35,60.611,"W"
60.982,89.904,43.161,"T",37,87.475,9,"Class2",35.698,96.816,77.31,82.683,"Q"
65.741,39.708,64.847,"K",5,26.515,51,"Class3",18.164,63.186,86.676,61.519,"O"
62.069,92.423,46.667,"S",27,85.046,11,"Class2",40.567,96.058,76.942,58.305,"Q"
84.383,50.728,26.424,"R",92,31.067,41,"Class4",16.641,53.085,87.694,18.986,"A"
78.281,52.577,30.806,"U",91,38.271,52,"Class4",54.828,32.128,62.907,22.851,"A"
7.746,30.103,12.307,"T",25,50.121,42,"Class1",81.49,24.274,29.781,30.973,"I"
83.657,51.763,24.099,"G",91,57.223,41,"Class4",47.365,40.671,36.159,31.122,"T"
74.042,97.954,42.701,"T",NA,92.45,7,"Class2",19.482,86.739,70.483,62.161,"W"
24.731,40.233,18.067,"J",15,44.641,NA,"Class1",75.555,91.155,32.003,26.077,"N"
61.118,14.378,65.321,"K",30,30.94,51,"Class3",6.502,66.003,59.965,55.135,"O"
82.267,55.631,30.823,"R",91,35.719,43,"Class4",22.888,62.349,58.082,14.757,"Y"
57.212,16.156,85.544,"C",44,25.531,NA,"Class3",13.208,57.292,66.214,64.377,"D"
69.373,35.92,94.64,"K",50,31.972,47,"Class3",14.824,76.094,71.89,64.221,"B"
67.404,37.039,91.768,"K",38,28.31,48,"Class3",15.595,78.316,75.654,55.407,"B"
83.479,51.359,38.294,"G",91,51.428,43,"Class4",29.84,7.811,67.605,33.373,"T"
71.182,82.268,44.333,"S",30,92.576,14,"Class2",21.937,56.919,68.197,84.496,"W"
65.993,90.098,47.116,"V",24,86.891,9,"Class2",40.791,61.144,66.401,44.834,"V"
79.303,82.169,44.622,"V",27,90.204,8,"Class2",39.779,66.134,62.115,76.614,"W"
56.943,88.014,43.383,"O",NA,90.326,9,"Class2",27.919,80.593,87.733,67.785,"B"
64.429,95.197,42.745,"V",26,86.633,9,"Class2",45.062,85.58,88.714,37.603,"A"
24.392,49.91,9.112,"V",11,54.576,33,"Class1",78.016,53.744,27.411,25.274,"W"
77.401,47.864,19.281,"E",92,75.451,51,"Class4",14.929,51.944,53.746,25.236,"A"
69.559,96.586,44.594,"V",31,92.982,NA,"Class2",15.982,70.895,81.859,85.069,"W"
15.721,39.597,15.817,"C",14,42.902,52,"Class1",73.076,80.07,31.567,30.26,"W"
59.763,91.463,47.498,"V",34,88.35,9,"Class2",52.715,65.144,85.924,55.327,"Q"
15.186,40.036,15.45,"X",NA,38.306,46,"Class1",69.27,4.832,35.347,28.761,"K"
56.452,36.121,47.519,"J",25,25.168,15,"Class5",55.779,67.207,78.622,49.388,"Z"
24.537,17.502,20.955,"T",21,55.785,31,"Class1",72.169,61.829,36.615,26.812,"N"
17.434,68.906,12.898,"T",22,53.349,35,"Class1",73.396,68.166,33.768,27.761,"P"
58.896,44.297,63.852,"D",39,84.543,4,"Class5",56.85,85.338,60.95,57.654,"G"
56.592,36.514,66.691,"C",23,27.73,47,"Class3",8.523,74.13,89.188,62.954,"E"
24.056,31.098,16.703,"V",26,58.648,NA,"Class1",80.791,62.585,27.767,31.036,"W"
70.687,95.047,45.328,"R",25,87.62,12,"Class2",45.086,61.151,78.104,69.685,"Q"
60.299,100.016,46.313,"S",29,87.87,14,"Class2",37.175,65.548,80.02,50.488,"Q"
69.412,25.037,51.727,"V",58,69.631,13,"Class5",57.225,81.463,66.954,45.085,"F"
56.708,37.489,47.162,"K",5,24.455,45,"Class3",2.779,64.291,61.419,63.295,"R"
86.495,23.091,45.632,"D",71,68.731,NA,"Class5",55.856,62.337,64.716,39.342,"Z"
24.52,46.483,11.891,"T",16,48.037,64,"Class1",70.496,21.384,30.724,26.338,"I"
86.056,55.411,14.797,"R",93,51.323,40,"Class4",33.444,31.851,84.513,17.634,"Y"
63.718,29.208,51.532,"Q",28,29.82,51,"Class3",7.91,65.664,89.19,59.939,"O"
74.395,52.945,42.487,"Y",91,66.843,52,"Class4",32.125,20.55,88.833,34.911,"Q"
85.216,87.141,44.089,"S",25,85.693,10,"Class2",58.921,69.011,68.877,78.092,"V"
46.488,15.66,60.708,"A",53,107.489,NA,"Class5",56.622,71.029,72.358,41.005,"Z"
77.59,48.738,37.304,"U",93,37.615,41,"Class4",37.882,32.815,72.978,24.458,"T"
68.194,37.528,63.968,"Q",51,26.903,46,"Class3",18.33,62.466,78.602,60.787,"O"
66.732,24.04,44.081,"V",24,-4.773,12,"Class5",56.458,58.067,64.009,38.033,"Z"
85.814,88.261,46.475,"T",28,86.365,8,"Class2",57.457,94.502,76.235,39.204,"W"
61.948,100.257,43.58,"T",30,87.667,12,"Class2",65.739,68.484,70.992,49.031,"Q"
58.765,33.013,65.938,"Q",54,26.914,NA,"Class3",13.482,52.133,91.959,62.344,"R"
79.151,40.294,47.958,"A",34,106.677,18,"Class5",55.924,66.451,72.157,54.374,"G"
5.691,66.78,18.305,"C",22,59.262,48,"Class1",80.015,44.646,29.793,25.756,"P"
77.456,88.943,46.659,"S",28,87.78,13,"Class2",35.97,80.225,81.02,62.489,"Q"
77.088,91.861,42.024,"T",37,85.867,14,"Class2",30.485,80.793,83.044,41.218,"W"
11.687,32.049,13.259,"J",14,63.028,51,"Class1",74.14,101.741,33.17,29.594,"P"
66.327,81.412,42.206,"S",28,88.503,10,"Class2",51.482,67.186,79.212,54.095,"V"
86,53.29,13.945,"U",93,47.379,49,"Class4",14.131,42.881,14.163,24.817,"Y"
15.488,-3.923,19.016,"T",16,69.345,27,"Class1",77.526,61.078,34.93,29.264,"K"
11.694,71.828,11.105,"J",12,67.768,54,"Class1",73.901,59.944,27.749,29.655,"W"
22.85,47.638,8.257,"X",14,79.065,35,"Class1",82.352,4.783,29.613,23.902,"I"
66.83,33.033,96.288,"H",27,29.45,50,"Class3",14.962,46.138,66.978,58.243,"R"
64.351,35.699,68.785,"C",38,17.662,47,"Class3",18.367,75.89,78.462,56.132,"B"
55.783,21.648,83.4,"P",42,26.104,52,"Class3",5.832,71.662,81.229,52.186,"D"
69.863,27.515,62.768,"C",17,30.031,52,"Class3",3.619,60.933,76.413,52.953,"B"
