"APU1","TNS2","BNJ3","FKI4","NGO5","FMO6","UYZ7","NLU8","CDP9","DKG10","Output2"
"X",7.133,25.212,23.619,90.455,86.772,32,71.364,"L",9.407,"Class4"
"N",81.137,107.688,66.168,21.171,67.425,75,18.145,"C",43.336,"Class2"
"G",81.656,45.584,47.892,44.956,63.67,84,NA,"I",22.24,"Class2"
"K",20.001,11.854,23.729,97.599,76.133,24,74.992,"P",16.713,"Class4"
"C",84.573,30.224,59.484,44.955,60.232,85,44.352,"P",59.435,"Class1"
"Z",86.303,30.507,53.178,43.948,61.279,71,49.325,"D",60.652,"Class1"
"P",81.183,29.247,20.758,48.505,47.454,12,47.951,"M",30.24,"Class3"
"C",78.975,72.199,63.402,40.143,70.988,96,15.535,"G",27.281,"Class2"
"A",77.819,66.071,59.006,14.906,64.094,95,45.062,"H",67.864,"Class2"
"H",50.272,44.78,64.511,30.278,66.46,89,18.334,"G",74.971,"Class2"
"G",89.701,32.35,53.735,44.634,55.494,75,47.502,"F",58.528,"Class1"
"Z",91.762,30.502,63.927,48.142,57.924,52,49.11,"M",62.586,"Class1"
"M",62.866,66.609,26.927,58.582,36.998,15,47.503,"I",14.556,"Class3"
"H",70.441,42.65,59.995,7.912,64.614,83,40.007,"G",12.687,"Class2"
"R",56.397,66.111,16.36,62.392,30.356,14,47.738,"M",12.175,"Class3"
"N",60.868,41.08,52.699,19.491,65.982,76,82.667,"H",43.301,"Class2"
"R",73.028,32.624,29.084,70.9,42.549,14,47.945,"M",14.425,"Class3"
"Z",86.377,32.313,56.097,50.115,55.608,79,42.473,"M",54.752,"Class1"
"D",96.205,31.934,49.089,48.276,57.426,64,52.067,"B",63.02,"Class1"
"R",66.332,53.221,14.209,80.994,41.95,13,47.026,"R",33.4,"Class3"
"E",71.342,39.953,14.612,62.614,29.904,14,47.949,"Z",39.887,"Class3"
"I",22.745,25.921,22.667,57.054,87.633,28,74.673,"R",16.984,"Class4"
"H",56.208,37.621,45.801,48.825,61.283,88,55.553,"H",59.339,"Class2"
"H",85.139,68.453,42.107,47.499,56.871,77,66.37,"C",18.779,"Class2"
"X",20.546,32.998,22.965,70.374,90.936,14,74,"L",14.244,"Class4"
"J",7.878,10.846,22.478,44.417,80.66,36,74.035,"L",14.214,"Class4"
"C",86.046,32.846,50.836,44.555,57.648,95,51.444,"M",65.779,"Class1"
"Q",11.061,11.426,22.499,86.462,85.009,41,75.848,"R",11.34,"Class4"
"M",66.585,52.301,28.223,61.155,42.549,15,47.957,"H",25.776,"Class3"
"K",23.9,16.738,23.235,95.665,87.219,43,79.37,"P",10.343,"Class4"
"D",91.396,32.039,58.166,47.173,56.46,81,40.391,"D",66.575,"Class1"
"E",62.269,36.298,25.633,65.813,20.08,11,47.339,"I",11.574,"Class3"
"H",88.147,33.402,50.356,45.158,57.688,68,51.781,"B",66.902,"Class1"
"X",17.535,31.001,23.995,58.178,80.556,24,73.976,"J",16.181,"Class4"
"J",14.121,19.959,23.043,84.177,86.666,9,77.236,"J",13.685,"Class4"
"H",92.129,31.243,57.671,48.209,58.538,82,NA,"P",64.822,"Class1"
"N",68.75,68.562,62.04,55.107,65.526,78,51.338,"C",75.902,"Class2"
"G",86.672,30.644,48.552,44.595,55.003,83,45.893,"P",57.231,"Class1"
"C",94.8,31.955,54.669,45.466,60.237,62,40.217,"M",60.671,"Class1"
"C",86.918,32.551,54.157,50.348,57.481,82,43.971,"F",61.17,"Class1"
"J",11.07,-4.677,23.847,65.738,92.782,7,71.246,"R",16.309,"Class4"
"Z",86.764,32.37,63.473,49.282,55.223,91,NA,"P",59.576,"Class1"
"C",50.151,71.784,54.063,46.965,67.479,89,75.514,"I",36.647,"Class2"
"C",90.58,33.282,48.902,47.517,54.418,93,40.509,"D",64.395,"Class1"
"G",44.345,56.883,46.54,16.671,65.755,93,17.561,"H",5.649,"Class2"
"X",7.919,25.593,22.296,58.65,89.83,34,66.296,"R",11.413,"Class4"
"G",89.347,31.003,50.829,46.774,59.001,68,50.383,"M",63.306,"Class1"
"N",52.332,63.378,60.361,33.453,71.599,77,71.573,"G",33.912,"Class2"
"A",71.383,65.849,68.795,43.896,70.422,80,NA,"C",75.583,"Class2"
"A",58.218,76.771,49.828,45.496,65.739,78,17.956,"C",44.184,"Class2"
"C",71.004,38.521,67.392,72.099,71.423,NA,87.853,"G",63.362,"Class2"
"C",83.606,32.769,58.362,45.547,58.177,75,42.754,"B",65.501,"Class1"
"C",56.659,39.45,48.713,65.407,70.147,91,63.174,"G",14.409,"Class2"
"G",60.611,26.986,68.514,24.405,63.596,91,37.948,"H",61.196,"Class2"
"M",69.563,34.196,28.49,60.026,36.558,NA,47.712,"M",36.788,"Class3"
"G",89.361,31.368,62.596,47.347,62.324,60,52.423,"D",65.099,"Class1"
"H",78.63,46.996,63.607,51.52,70.177,91,50.664,"H",20.036,"Class2"
"K",-3.029,10.982,22.438,106.497,80.569,17,69.448,"P",14.962,"Class4"
"C",77.729,41.919,64.799,36.218,78.773,NA,15.931,"G",29.351,"Class2"
"Q",9.114,4.799,22.265,55.897,87.479,24,79.465,"P",16.363,"Class4"
"Z",85.504,30.751,61.914,48.454,57.141,64,43.833,"D",66.709,"Class1"
"E",68.264,54.122,21.767,70.107,28.858,14,47.93,"H",25.451,"Class3"
"I",10.337,17.872,23.383,87.958,95.017,24,70.149,"L",17.891,"Class4"
"N",80.457,85.585,61.318,79.381,66.169,86,20.655,"H",5.465,"Class2"
"J",10.848,11.828,23.249,71.668,86.197,25,74.187,"P",17.789,"Class4"
"Z",88.518,32.273,45.153,49.222,58.695,84,39.008,"D",63.596,"Class1"
"H",67.211,44.133,21.301,77.508,30.337,13,47.837,"R",11.234,"Class3"
"Q",19.807,27.4,23.649,68.093,85.992,32,73.752,"R",14.953,"Class4"
"P",79.072,36.783,13.568,68.087,41.019,10,47.673,"M",46.557,"Class3"
"M",71.786,56.354,23.183,83.662,38.95,15,47.767,"M",40.636,"Class3"
"G",65.844,69.625,51.38,51.57,64.264,83,37.304,"I",35.115,"Class2"
"H",75.129,73.292,56.713,31.67,63.984,81,36.446,"H",59.364,"Class2"
"A",76.999,73.829,62.767,77.315,64.695,NA,50.305,"H",42.205,"Class2"
"D",89.151,32.533,54.684,46.408,58.192,90,43.487,"M",53.993,"Class1"
"C",89.949,30.609,52.552,44.177,63.728,63,NA,"F",54.247,"Class1"
"M",69.039,31.001,22.817,51.43,32.568,12,47.81,"Z",11.414,"Class3"
"Q",16.894,68.892,22.96,97.513,92.903,14,79.477,"J",13.544,"Class4"
"I",15.144,20.717,22.904,59.918,78.09,16,73.348,"J",9.795,"Class4"
"I",17.71,55.71,23.018,76.61,83.123,17,70.712,"R",16.626,"Class4"
"H",73.871,55.823,13.467,68.118,19.791,12,47.992,"R",18.175,"Class3"
"E",80.767,59.794,17.823,70.415,39.499,10,47.999,"Z",36.637,"Class3"
"E",66.2,80.606,31.73,65.641,34.954,11,47.188,"Z",30.016,"Class3"
"I",8.658,39.217,22.447,42.179,77.724,16,NA,"L",9.37,"Class4"
"R",41.925,51.133,25.614,59.207,39.767,11,47.182,"I",12.558,"Class3"
"M",68.769,57.393,21.427,61.975,51.509,11,47.066,"Z",27.421,"Class3"
"H",91.558,31.589,55.774,48.09,56.567,NA,NA,"P",66.018,"Class1"
"Z",89.107,32.132,54.528,47.364,59.164,58,43.443,"B",60.762,"Class1"
"M",66.739,52.428,25.707,68.919,42.293,12,47.257,"H",45.829,"Class3"
"D",88.665,31.213,47.434,44.194,56.258,94,47.697,"F",62.035,"Class1"
"P",62.045,43.007,21.634,60.179,27.803,13,47.776,"I",30.402,"Class3"
"Z",90.333,31.317,46.027,45.602,55.754,80,39.392,"D",57.037,"Class1"
"E",55.534,40.112,29.135,54.402,43.737,NA,NA,"Z",34.411,"Class3"
"H",55.888,48.856,23.208,58.829,54.607,13,47.69,"I",22.448,"Class3"
"J",13.977,20.06,23.943,63.048,91.449,15,76.464,"L",13.749,"Class4"
"E",88.928,65.826,25.521,66.301,28.054,NA,47.519,"M",50.014,"Class3"
"H",70.815,72.198,52.11,53.171,71.324,83,73.582,"C",58.872,"Class2"
"X",14.02,34.002,22.51,36.991,92.242,29,76.344,"J",14.973,"Class4"
"J",6.519,29.663,22.219,61.904,80.036,39,73.612,"P",17.898,"Class4"
"G",95.166,32.806,61.53,46.679,55.998,68,39.876,"P",65.757,"Class1"
"C",75.084,34.242,43.731,28.246,69.253,91,75.854,"G",53.18,"Class2"
"R",68.174,46.919,32.003,56.123,33.644,12,47.159,"I",38.343,"Class3"
"G",95.913,33.896,61.906,44.883,59.332,62,48.824,"B",60.018,"Class1"
"D",83.061,30.928,46.402,45.582,61.255,77,45.672,"B",65.744,"Class1"
"H",75.303,50.404,43.781,20.644,64.719,85,50.157,"Q",39.361,"Class2"
"D",89.598,31.407,54.604,45.883,58.691,84,50.815,"M",55.436,"Class1"
"G",90.541,30.913,59.758,45.194,55.696,86,47.943,"M",62.13,"Class1"
"Q",15.424,19.572,23.705,41.377,84.276,20,75.497,"J",13.341,"Class4"
"H",81.065,46.671,58.909,8.681,62.163,89,31.921,"H",40.901,"Class2"
"C",89.239,31.619,49.917,50.152,53.165,85,48.964,"P",66.147,"Class1"
"M",56.52,40.727,24.175,56.677,37.456,14,47.729,"H",47.265,"Class3"
"X",23.307,22.839,22.144,46.16,89.411,21,77.236,"C",15.171,"Class4"
"N",77.754,79.171,60.423,39.962,60.742,96,60.66,"G",16.815,"Class2"
"H",45.165,49.456,56.472,48.038,67.736,84,22.619,"C",4.834,"Class2"
"M",83.366,46.439,16.805,63.645,35.349,13,47.324,"I",25.914,"Class3"
"C",91.334,29.427,53.742,47.681,57.774,55,44.362,"F",59.183,"Class1"
"D",80.249,31.818,54.424,48.572,58.538,85,49.857,"M",62.379,"Class1"
"E",66.455,49.916,28.154,60.02,34.971,15,47.704,"H",51.178,"Class3"
"H",85.768,31.782,58.65,49.065,60.6,49,45.6,"B",62.904,"Class1"
"H",77.986,37.206,63.063,8.369,68.289,82,69.453,"H",85.424,"Class2"
"J",5.613,20.56,22.197,73.795,89.404,31,73.534,"P",12.944,"Class4"
"G",75.098,46.657,50.772,54.81,62.852,81,75.581,"G",55.759,"Class2"
"H",74.074,34.455,13.467,57.874,37.884,12,47.623,"M",43.221,"Class3"
"H",77.838,50.426,20.709,81.98,27.137,10,47.968,"Z",43.572,"Class3"
"C",74.383,29.478,65.369,72.081,68.776,77,66.478,"H",77.91,"Class2"
"A",70.592,31.859,49.68,34.316,61.463,89,29.805,"I",54.667,"Class2"
"G",87.441,32.598,51.957,45.2,58.037,86,43.793,"D",63.997,"Class1"
"H",88.651,29.848,50.187,47.753,56.342,75,51.776,"D",58.158,"Class1"
"J",12.347,9.591,23.027,90.768,87.784,42,74.293,"P",12.993,"Class4"
"R",85.518,47.25,29.895,67.786,16.072,12,47.838,"H",31.061,"Class3"
"G",91.56,38.95,62.944,76.845,68.323,79,50.231,"C",58.728,"Class2"
"Q",23.167,1.084,23.233,78.83,89.932,8,81.164,"R",15.467,"Class4"
"K",22.093,14.727,22.475,80.118,86.009,20,72.614,"J",17.775,"Class4"
"H",78.989,49.356,54.738,37.93,75.999,82,76.972,"H",71.05,"Class2"
"P",68.53,2.212,21.424,76.967,30.157,13,47.043,"M",19.4,"Class3"
"I",13.509,44.812,22.321,90.572,88.315,29,73.504,"L",9.58,"Class4"
"Q",10.274,41.116,23.116,98.452,88.004,42,69.009,"R",12.048,"Class4"
"R",54.175,62.742,18.751,62.55,32.243,14,47.14,"R",41.785,"Class3"
"C",89.899,30.787,61.06,42.401,61.142,95,47.199,"M",53.007,"Class1"
"C",89.879,32.058,60.81,49.212,58.022,65,45.764,"F",64.483,"Class1"
"K",14.953,50.641,22.424,84.678,93.008,26,81.978,"P",10.529,"Class4"
"N",72.455,20.36,49.047,82.14,69.123,97,67.509,"I",39.371,"Class2"
"K",12.034,32.933,22.152,54.493,83.701,34,75.614,"J",9.837,"Class4"
"G",89.874,32.188,63.295,45.703,58.012,49,43.009,"D",57.551,"Class1"
"H",89.155,31.823,61.042,44.091,56.895,62,52.163,"B",62.474,"Class1"
"J",10.017,27.219,22.323,61.854,91.103,26,74.866,"L",16.682,"Class4"
"M",62.506,64.577,27.868,77.059,33.956,11,47.055,"I",17.629,"Class3"
"C",86.608,31.311,49.92,44.182,61.151,69,52.371,"B",54.797,"Class1"
"C",88.311,31.591,46.843,46.874,57.511,73,52.09,"P",66.2,"Class1"
"Q",21.011,52.237,22.129,79.374,79.815,18,NA,"L",15.317,"Class4"
"M",68.403,28.565,13.779,56.673,37.209,12,47.351,"M",39.64,"Class3"
"Q",8.674,-9.5,23.72,65.811,84.994,20,68.425,"J",9.404,"Class4"
"C",88.338,31.908,45.426,45.059,57.367,54,38.066,"B",59.412,"Class1"
"H",90.472,32.961,48.547,50.596,60.11,72,50.663,"M",62.162,"Class1"
"X",13.643,-3.105,22.092,56.241,81.757,12,76.927,"P",12.621,"Class4"
"D",92.41,30.994,52.555,48.238,60.321,53,43.994,"P",63.182,"Class1"
"C",58.645,45.458,54.478,67.485,66.958,84,60.583,"I",44.875,"Class2"
"D",88.357,31.923,47.099,43.728,62.766,67,41.627,"P",60.22,"Class1"
"N",81.149,24.583,65.503,78.833,67.71,79,65.848,"G",5.601,"Class2"
"H",90.737,32.245,60.285,45.623,62.56,54,51.799,"B",55.547,"Class1"
"N",69.062,6.894,57.441,43.361,69.181,81,19.097,"I",30.657,"Class2"
"C",94.018,79.088,62.739,68.51,70.396,87,31.856,"C",81.405,"Class2"
"E",76.127,61.864,16.281,59.078,36.446,14,47.511,"Z",51.159,"Class3"
"M",57.064,42.269,16.603,88.681,41.379,13,47.433,"Z",15.762,"Class3"
"G",87.989,31.724,54.82,45.601,64.611,62,42.227,"M",60.445,"Class1"
"C",70.177,34.633,63.478,41.517,70.928,89,60.555,"I",80.12,"Class2"
"Z",89.426,30.55,52.401,48.394,60.455,57,48.534,"P",53.959,"Class1"
"I",17.104,6.681,23.786,93.451,93.626,34,75.119,"R",15.537,"Class4"
"C",89.888,31.074,49.017,43.6,61.073,81,47.448,"F",66.243,"Class1"
"G",92.654,30.145,48.888,44.974,57.449,61,47.451,"B",55.956,"Class1"
"K",20.733,15.038,23.97,64.324,92.175,9,NA,"C",10.662,"Class4"
"D",91.283,31.145,51.203,48.898,54.501,78,51.293,"P",57.536,"Class1"
"K",26.157,56.838,22.253,47.823,78.431,40,67.71,"P",11.155,"Class4"
"C",77.156,42.259,55.712,44.57,68.427,80,21.86,"Q",44.758,"Class2"
"C",83.547,32.162,51.231,46.87,57.805,84,48.269,"F",62.637,"Class1"
"H",74.8,48.444,19.173,52.673,14.482,13,47.603,"H",20.324,"Class3"
"J",20.32,40.544,22.444,83.154,87.537,NA,73.729,"L",16.304,"Class4"
"P",76.906,35.664,18.358,63.054,31.563,14,47.89,"M",10.982,"Class3"
"G",74.631,59.396,63.871,58.542,68.764,95,68.346,"I",10.658,"Class2"
"C",86.558,31.848,54.286,45.518,57.302,93,52.564,"M",56.323,"Class1"
"A",60.49,36.407,48.155,21.768,71.738,89,32.086,"I",83.777,"Class2"
"Q",19.975,21.045,23.006,42.54,87.781,35,77.422,"C",16.687,"Class4"
"P",63.938,31.733,17.168,60.681,37.872,10,47.25,"M",11.047,"Class3"
"K",25.018,13.195,23.318,50.07,85.234,36,71.966,"J",9.073,"Class4"
"D",87.526,31.433,47.822,45.71,63.228,50,44.884,"M",56.79,"Class1"
"X",26.84,54.348,22.143,64.585,90.54,26,80.407,"P",15.069,"Class4"
"K",16.392,29.617,23.156,58.754,77.53,16,74.101,"L",11.49,"Class4"
"R",63.981,54.821,15.88,74.962,28.217,14,47.524,"I",14.686,"Class3"
"M",63.527,36.66,32.75,67.726,27.612,15,47.739,"R",13.574,"Class3"
"G",70.715,55.915,54.887,43.462,64.923,88,33.552,"I",56.015,"Class2"
"R",63.64,47.533,26.563,66.155,50.393,11,47.437,"I",39.168,"Class3"
"E",57.649,31.095,19.879,56.932,40.905,12,47.063,"M",40.463,"Class3"
"I",14.019,13.817,23.819,71.047,82.092,27,74.13,"J",16.094,"Class4"
"M",79.573,33.207,17.324,69.028,31.47,15,47.6,"H",21.278,"Class3"
"H",85.124,32.313,55.832,47.208,61.69,75,49.536,"B",57.433,"Class1"
"H",83.004,31.515,59.459,48.996,59.486,78,41.371,"D",56.355,"Class1"
"E",66.253,49.416,19.311,56.701,35.018,13,47.048,"H",19.005,"Class3"
"E",96.621,58.023,23.184,59.742,26.78,12,47.131,"I",34.284,"Class3"
"X",25.171,25.53,23.215,78.608,77.626,42,NA,"R",14.425,"Class4"
"Q",7.623,17.089,23.465,86.945,85.835,20,78.69,"J",9.159,"Class4"
"E",67.569,56.721,32.112,60.787,29.504,NA,47.654,"Z",14.626,"Class3"
"H",60.261,56.21,20.756,68.525,27.086,12,47.499,"R",28.333,"Class3"
"Q",21.655,27.645,22.293,119.036,77.447,42,72.18,"R",16.895,"Class4"
"Z",82.363,33.55,48.424,46.05,59.983,90,46.6,"D",57.532,"Class1"
"H",74.482,128.384,60.861,68.098,71.594,92,47.279,"C",36.731,"Class2"
"Q",26.197,13.574,22.524,70.471,85.928,38,73.364,"P",16.767,"Class4"
"H",63.161,63.663,55.462,21.676,66.523,85,29.489,"H",19.618,"Class2"
"X",18.537,18.172,23.618,85.001,84.981,NA,69.228,"L",10.055,"Class4"
"N",52.761,41.42,44.429,53.813,62.016,91,40.538,"I",25.736,"Class2"
"P",76.598,53.601,18.248,64.218,22.685,11,47.662,"I",42.02,"Class3"
"E",73.417,49.625,21.432,66.246,33.029,14,47.273,"Z",31.956,"Class3"
"H",85.394,29.595,62.684,42.287,57.443,86,45.478,"F",65.235,"Class1"
"H",70.026,37.7,45.962,46.954,63.939,81,53.915,"Q",44.71,"Class2"
"R",48.56,51.784,31.29,82.761,33.93,14,47.813,"Z",10.305,"Class3"
"Z",92.382,31.282,47.494,46.81,58.479,49,40.914,"P",57.638,"Class1"
"C",88.162,31.554,48.898,45.598,58.256,53,NA,"F",53.841,"Class1"
"H",100.016,64.028,23.324,73.193,36.401,15,47.48,"M",20.571,"Class3"
"H",85.718,47.962,24.412,79.297,34.861,14,47.02,"R",41.339,"Class3"
"Q",6.521,39.889,22.651,73.978,84.172,30,69.926,"P",17.076,"Class4"
"H",75.173,11.762,50.868,74.659,65.237,86,24.33,"H",36.506,"Class2"
"M",51.889,59.926,31.635,67.838,27.346,12,47.455,"M",14.286,"Class3"
"I",18.561,14.497,22.993,62.43,91.121,23,79.377,"J",10.613,"Class4"
"C",70.199,57.675,62.887,43.654,65.441,85,43.274,"I",65.021,"Class2"
"C",85.007,30.947,49.681,47.588,57.352,82,47.216,"M",60.11,"Class1"
"N",72.974,51.13,55.747,62.745,74.672,97,36.736,"G",28.62,"Class2"
"X",20.858,10.048,23.382,67.83,78.859,12,74.092,"P",13.651,"Class4"
"A",93.821,57.319,61.678,34.85,67.236,95,44.949,"I",55.447,"Class2"
"N",87.47,45.996,68.525,63.302,64.602,79,49.522,"C",50.397,"Class2"
"N",71.55,74.694,50.246,66.9,71.071,80,85.139,"I",48.281,"Class2"
"X",17.825,22.145,22.695,51.868,84.714,27,72.266,"R",13.798,"Class4"
"G",63.96,73.405,66.905,24.086,66.369,91,89.92,"H",16.364,"Class2"
"E",67.564,35.091,31.181,63.581,39.98,14,47.41,"R",40.699,"Class3"
"C",64.889,59.099,51.393,73.864,63.71,75,38.098,"I",17.333,"Class2"
"K",9.01,69.107,22.324,43.033,84.507,20,NA,"P",13.918,"Class4"
"R",89.582,49.263,20.916,68.411,17.591,15,47.705,"Z",43.77,"Class3"
"J",13.928,28.097,23.501,81.386,88.767,11,73.381,"C",17.414,"Class4"
"M",60.449,57.058,25.187,50.96,25.826,10,47.678,"H",45.653,"Class3"
"M",53.456,61.98,19.519,71.402,39.999,10,47.596,"R",34.347,"Class3"
"J",8.114,23.059,23.151,82.246,86.956,42,77.919,"R",11.366,"Class4"
"P",65.442,60.408,25.562,64.483,36.666,14,47.325,"M",30.087,"Class3"
"I",16.338,12.582,23.147,50.084,89.653,31,81.722,"J",15.682,"Class4"
"H",69.925,35.734,27.68,48.606,16.524,11,47.943,"R",32.62,"Class3"
"A",54.275,75.306,61.506,45.197,63.722,90,31.477,"Q",20.569,"Class2"
"Z",87.637,33.904,56.595,47.239,59.806,53,45.41,"M",54.522,"Class1"
"H",82.348,47.346,46.624,29.027,72.179,92,42.516,"Q",64.102,"Class2"
"G",64.346,69.164,56.878,52.954,73.3,84,90.353,"G",81.344,"Class2"
"Q",14.634,24.87,23.863,79.77,80.17,37,77.632,"P",14.664,"Class4"
"H",88.08,31.146,55.974,47.196,58.626,NA,52.429,"B",53.661,"Class1"
"N",75.388,56.059,42.003,40.843,64.993,86,71.37,"G",45.076,"Class2"
"M",83.671,49.65,30.876,73.997,27.632,14,47.714,"R",21.268,"Class3"
"E",49.328,37.547,32.042,65.906,28.219,14,47.869,"R",11.651,"Class3"
"H",85.651,30.545,63.505,46.468,57.908,62,42.38,"M",56.83,"Class1"
"C",59.695,76.099,57.139,75.254,75.937,76,76.661,"H",66.045,"Class2"
"A",73.594,65.551,66.843,25.533,71.756,79,75.647,"Q",83.94,"Class2"
"M",62.933,50.271,31.107,61.981,37.232,13,47.075,"I",46.787,"Class3"
"K",5.502,25.372,23.54,45.699,81.677,22,75.139,"P",14.663,"Class4"
"G",40.641,73.41,57.629,65.712,73.917,79,16.128,"C",24.252,"Class2"
"H",86.691,30.844,57.491,48.77,59.095,91,46.598,"D",62.643,"Class1"
"D",88.441,30.542,61.789,43.706,58.845,62,38.867,"D",57.207,"Class1"
"K",26.196,27.646,23.003,84.811,88.124,NA,81.024,"P",16.997,"Class4"
"H",72.025,64.656,16.158,73.52,33.613,10,47.419,"M",18.866,"Class3"
"C",91.587,29.356,63.721,44.822,54.33,72,45.287,"F",64.436,"Class1"
"H",87.443,30.153,26.295,73.613,18.936,15,47.744,"H",39.853,"Class3"
"E",63.682,35.75,32.572,67.561,46.863,12,47.771,"R",42.718,"Class3"
"Q",22.538,12.775,22.164,74.046,91.5,15,72.702,"L",15.731,"Class4"
"C",82.882,42.234,67.238,29.139,74.799,84,27.719,"C",26.682,"Class2"
"C",95.122,29.372,49.875,44.617,58.467,91,52.434,"F",65.19,"Class1"
"I",10.127,16.681,23.576,71.525,79.811,24,NA,"P",10.827,"Class4"
"M",79.006,70.592,26.914,71.59,39.168,15,47.622,"I",33.155,"Class3"
"C",90.757,32.119,53.121,45.403,59.411,56,42.643,"F",63.92,"Class1"
"I",22.271,21.41,22.929,126.257,79.099,42,78.043,"R",12.647,"Class4"
"Q",12.763,32.837,23.337,65.384,85.27,40,73.804,"P",15.183,"Class4"
"Q",16.022,2.209,22.446,80.53,77.849,37,72.086,"R",15.85,"Class4"
"P",57.111,26.196,16.359,46.959,27.424,13,47.978,"M",25.229,"Class3"
"D",93.567,31.24,47.58,45.005,60.948,58,51.593,"B",57.234,"Class1"
"A",78.761,39.166,60.318,22.616,72.222,95,32.172,"H",70.056,"Class2"
"J",11.498,2.352,22.749,94.666,89.436,24,75.605,"P",12.251,"Class4"
"N",65.98,81.171,68.172,9.094,69.254,86,82.363,"C",21.993,"Class2"
"P",51.448,57.386,14.685,62.404,25.624,14,47.597,"H",34.217,"Class3"
"Z",86.689,31.566,51.084,46.679,65.661,NA,42.057,"P",58.374,"Class1"
"I",18.067,11.708,23.42,48.909,94.997,28,78.457,"L",12.086,"Class4"
"C",76.245,106.083,63.73,58.209,80.659,94,78.213,"Q",24.361,"Class2"
"K",32.849,21.289,22.606,39.332,81.854,10,81.965,"P",11.398,"Class4"
"I",13.18,61.132,22.534,84.149,81.378,7,74.53,"C",10.361,"Class4"
"A",62.526,24.323,61.171,47.712,64.534,82,33.97,"H",15.653,"Class2"
"H",59.197,46.384,30.915,59.694,36.157,13,NA,"I",41.37,"Class3"
"C",92.003,31.043,59.663,44.007,60.573,52,43.009,"F",65.477,"Class1"
"J",28.68,17.634,22.15,69.857,78.012,17,68.58,"L",17.313,"Class4"
"Z",81.72,31.695,45.026,48.345,58.94,72,40.643,"B",60.094,"Class1"
"H",86.666,31.269,62.45,47.6,60.684,87,NA,"D",61.922,"Class1"
"J",4.45,3.773,22.193,61.64,78.123,40,71.666,"C",12.313,"Class4"
"I",19.053,37.231,23.18,69.231,91.626,11,66.984,"C",10.559,"Class4"
"M",55.159,45.704,16.522,52.01,26.993,13,47.723,"I",17.208,"Class3"
"E",74.525,52.963,28.081,74.534,26.623,14,47.014,"Z",28.833,"Class3"
"A",90.427,56.014,44.265,41.598,71.762,75,63.775,"C",11.829,"Class2"
