"DAS1","INT2","DQG3","PQM4","PKA5","GOE6","Output12","OHJ7","BEG8","XFJ9","VOJ10","TED11"
80.125,14.346,"E","G",82,33.236,"Class1",23.94,10.993,85.025,35,26.532
72.55,43.272,"H","E",30,75.614,"Class2",46.037,29.261,57.804,36,64.656
31.164,16.506,"B","G",86,33.352,"Class1",51.168,58.708,88.65,38,7.251
64.888,17.673,"B","G",74,28.491,"Class1",29.931,29.414,91.07,44,24.864
81.765,15.169,"L","G",77,26.501,"Class1",84.286,57.62,85.814,42,NA
61.666,17.914,"E","W",80,32.157,"Class1",85.192,56.851,87.206,40,6.496
84.524,68.315,"H","T",32,77.031,"Class2",42.227,28.281,58.871,32,25.888
78.911,42.652,"H","T",30,79.555,"Class2",67.858,26.968,56.246,38,44.31
20.806,16.994,"Z","R",88,33.752,"Class1",93.192,16.758,87.782,40,23.05
28.427,20.867,"B","R",74,28.868,"Class1",17.563,36.692,91.712,33,27.661
-7.499,13.611,"L","R",81,36.939,"Class1",45.006,2.534,89.138,33,12.721
17.114,12.51,"B","R",84,32.303,"Class1",49.289,19.477,86.72,30,12.496
51.476,15.521,"Z","W",79,31.544,"Class1",23.25,30.612,90.997,45,24.709
43.351,12.271,"L","R",77,30.146,"Class1",70.131,36.492,92.251,40,7.309
98.426,44.972,"M","T",30,77.136,"Class2",44.579,34.39,55.657,31,44.845
67.834,38.474,"H","Y",31,76.262,"Class2",67.047,42.536,56.982,37,16.78
66.1,49.314,"O","P",30,76.202,"Class2",49.027,23.794,56.758,30,39.506
59.513,14.176,"B","G",82,32.723,"Class1",21.333,19.444,90.459,30,NA
83.187,52.667,"O","T",29,79.155,"Class2",67.539,22.961,58.706,29,54.517
89.352,67.482,"O","T",29,72.825,"Class2",45.683,30.053,58.295,31,43.834
64.927,18.833,"B","G",77,30.2,"Class1",73.576,1.328,86.971,30,28.885
22.481,19.08,"Z","W",76,32.097,"Class1",54.94,62.091,92.957,41,45.801
75.867,63.41,"N","T",29,77.282,"Class2",46.545,14.138,55.326,29,64.232
49.909,15.259,"E","R",84,29.426,"Class1",48.098,31.679,92.685,40,34.737
46.777,8.148,"B","Z",77,33.322,"Class1",53.283,38.509,86.473,37,5.69
27.856,12.402,"N","G",79,32.164,"Class1",44.879,3.62,86.266,43,29.474
47.539,11.244,"L","R",77,35.932,"Class1",74.624,54.63,86.115,42,4.041
19.633,18.552,"E","O",86,31.324,"Class1",31.219,41.412,87.521,44,42.388
33.178,9.537,"B","G",83,34.749,"Class1",10.523,42.443,88.812,35,NA
49.75,3.131,"N","Z",85,34.239,"Class1",27.899,12.261,86.381,42,36.315
47.668,52.988,"K","P",31,81.732,"Class2",48.686,28.573,55.776,39,28.536
56.535,13.684,"E","R",76,30.971,"Class1",48.093,22.97,91.185,35,5.766
65.619,56.215,"N","V",30,80.116,"Class2",53.663,35.644,56.931,35,48.642
84.979,56.566,"H","P",30,78.541,"Class2",54.251,30.559,57.06,38,17.625
70.898,14.643,"L","O",73,29.571,"Class1",24.814,24.369,90.706,39,33.019
20.449,14.275,"N","O",74,32.038,"Class1",89.086,30.776,87.013,34,36.508
51.418,40.31,"M","P",29,76.701,"Class2",63.619,30.084,56.24,29,51.197
59.544,16.555,"Z","R",83,31.013,"Class1",93.656,49.159,91.429,35,20.978
64.796,63.804,"K","E",30,77.087,"Class2",70.863,17.726,57.168,32,59.058
72.809,12.844,"B","Z",77,32.344,"Class1",61.431,13.879,89.452,37,44.188
58.704,15.159,"N","Z",84,30.439,"Class1",20.036,-22.192,90.913,41,29.239
NA,11.403,"N","O",75,35.288,"Class1",49.057,-49.878,86.07,42,16.508
23.423,17.415,"Z","Z",83,35.617,"Class1",41.508,53.532,92.6,41,19.083
NA,11.119,"E","O",76,32.837,"Class1",92.368,13.221,89.655,31,45.692
50.531,12.17,"N","W",85,36.1,"Class1",36.65,14.957,89.643,38,29.428
NA,71.63,"M","P",30,75.58,"Class2",66.143,9.154,55.993,37,61.144
17.659,17.821,"B","W",85,32.781,"Class1",88.211,58.648,88.117,38,23.657
59.867,48.665,"N","P",31,74.535,"Class2",60.137,37.064,56.318,35,NA
52.509,67.937,"O","P",32,78.664,"Class2",46.175,39.47,58.092,36,NA
70.769,31.508,"N","Y",29,74.083,"Class2",45.862,36.998,58.847,33,53.348
-5.362,9.346,"Z","Z",73,32.757,"Class1",82.187,12.588,86.851,37,18.737
58.783,32.777,"K","E",29,75.828,"Class2",52.394,28.4,58.909,36,51.197
73.236,63.775,"N","E",31,71.942,"Class2",53.998,40.562,55.589,34,68.418
33.203,16.803,"B","O",81,30.344,"Class1",40.145,55.595,91.335,44,40.439
44.4,12.675,"N","R",77,33.662,"Class1",41.827,30.007,85.896,43,37.583
75.264,18.199,"B","G",86,29.86,"Class1",25.164,29.562,90.173,44,41.367
78.635,33.915,"O","V",29,76.988,"Class2",63.838,16.135,55.696,33,30.46
80.505,9.951,"L","O",76,31.996,"Class1",17.753,54.352,90.557,41,29.094
65.61,29.402,"K","Y",31,77.526,"Class2",60.099,41.287,57.102,30,16.214
96.137,80.397,"H","Y",31,76.193,"Class2",50.424,26.488,58.176,29,69.096
79.24,13.676,"N","O",83,34.272,"Class1",14.878,63.697,85.052,36,25.972
68.064,25.03,"H","T",30,72.158,"Class2",45.978,38.194,55.344,34,16.12
72.412,17.479,"E","R",84,25.286,"Class1",32.624,3.075,90.269,35,9.915
83.315,24.623,"N","Y",32,75.811,"Class2",61.994,43.441,58.962,37,66.498
19.598,17.177,"E","R",80,34.733,"Class1",53.668,29.015,85.41,42,25.486
50.616,13.354,"B","R",86,34.39,"Class1",24.378,37.943,89.028,39,46.59
-0.036,21.014,"N","R",80,31.947,"Class1",35.113,32.834,92.623,34,7.299
77.975,48.357,"M","T",32,72.296,"Class2",61.443,31.112,55.657,31,32.501
77.806,51.934,"N","P",32,75.895,"Class2",49.567,23.24,57.09,34,54.077
61.007,65.995,"O","T",31,79.356,"Class2",63.379,37.498,56.876,33,38.122
117.208,18.724,"Z","Z",86,35.755,"Class1",36.967,55.754,86.153,36,11.087
73.186,54.404,"O","Y",31,71.938,"Class2",45.727,34.957,55.072,31,35.151
75.308,47.529,"K","P",31,80.949,"Class2",68.388,27.172,57.011,39,27.074
77.777,38.46,"O","E",30,73.939,"Class2",57.627,31.483,55.221,30,34.17
86.635,39.161,"M","Y",29,79.908,"Class2",54.648,21.132,58.553,30,29.153
80.337,16.116,"B","Z",73,32.038,"Class1",36.753,90.281,89.018,30,15.743
34.235,17.221,"Z","G",83,32.258,"Class1",51.327,80.944,87.967,37,37.866
64.875,12.488,"N","R",82,28.104,"Class1",85.752,44.986,90.089,32,17.874
65.78,61.761,"O","V",32,75.841,"Class2",44.7,29.562,58.579,38,28.383
70.034,17.815,"N","O",77,29.88,"Class1",22.667,-18.613,92.079,43,28.797
63.724,45.271,"H","P",32,78.898,"Class2",64.956,7.162,56.883,29,48.571
56.213,69.262,"O","P",30,81.279,"Class2",63.595,45.06,58.178,31,16.234
54.7,33.622,"M","V",30,79.856,"Class2",60.205,30.492,57.958,34,63.069
83.643,12.655,"L","O",83,30.472,"Class1",78.431,21.392,88.454,39,41.87
65.147,49.584,"M","P",32,79.131,"Class2",58.165,34.981,57.13,38,44.098
81.573,15.465,"E","W",85,34.691,"Class1",50.036,15.432,88.127,32,24.121
79.681,70.241,"M","P",29,76.147,"Class2",43.698,15.67,56.888,36,27.498
56.951,14.249,"L","G",75,30.755,"Class1",63.656,26.715,89.344,42,29.195
66.427,12.49,"L","R",75,32.226,"Class1",28.833,34.601,89.54,41,18.159
87.382,48.66,"O","P",32,75.161,"Class2",65.926,26.722,57.221,32,60.767
16.918,9.21,"E","W",75,34.013,"Class1",94.422,55.06,87.395,39,5.335
75.711,23.184,"N","O",78,33.552,"Class1",66.554,27.516,86.827,34,8.174
42.114,21.008,"N","Z",78,28.102,"Class1",89.488,25.908,87.249,37,NA
21.714,19.253,"E","W",87,32.648,"Class1",89.967,51.477,86.524,44,21.115
74.638,34.896,"N","E",30,81.014,"Class2",60.731,20.645,55.838,37,39.944
72.925,41.915,"H","P",30,74.171,"Class2",60.794,11.662,56.701,34,27.127
61.323,45.782,"H","Y",32,70.332,"Class2",53.428,16.502,55.282,29,55.685
142.568,15.772,"L","R",75,31.462,"Class1",29.549,2.835,91.09,31,17.979
NA,35.445,"M","T",29,79.254,"Class2",67.755,35.754,55.113,37,65.057
40.453,14.505,"Z","W",86,31.237,"Class1",45.499,57.794,91.605,43,44.835
53.252,10.061,"B","W",74,30.725,"Class1",14.178,55.751,88.366,32,14.069
15.721,13.821,"L","G",75,31.378,"Class1",30.774,19.789,85.79,31,30.658
68.509,40.726,"H","E",31,73.535,"Class2",43.745,20.405,55.189,39,63.23
58.819,9.529,"Z","G",85,26.914,"Class1",28.495,12.305,88.988,37,40.331
64.725,29.731,"K","V",29,75.229,"Class2",72.838,12.262,58.651,33,48.04
62.108,30.656,"H","E",29,78.04,"Class2",46.903,36.641,58.612,39,28.019
49.295,13.382,"L","R",73,31.021,"Class1",18.257,24.368,92.258,36,25.43
47.945,16.126,"E","G",85,34.626,"Class1",39.377,33.627,85.722,39,17.915
89.036,50.833,"K","V",31,74.598,"Class2",51.109,38.123,55.564,35,66.483
73.86,15.1,"E","R",78,34.908,"Class1",14.257,35.527,89.884,42,38.837
55.137,14.849,"L","O",80,35.247,"Class1",39.852,30.353,91.126,37,41.513
98.019,15.474,"Z","G",73,30.567,"Class1",33.69,37.535,92.457,40,31.524
94.411,67.154,"O","E",31,78.057,"Class2",70.884,36.387,58.127,36,25.754
72.736,24.334,"O","T",29,71.368,"Class2",55.739,31.206,58.962,35,40.567
75.621,23.56,"K","V",32,78.358,"Class2",67.128,52.83,57.226,38,17.829
67.176,37.413,"O","E",32,73.509,"Class2",43.271,24.973,58.495,36,61.369
NA,15.854,"B","W",81,31.069,"Class1",41.615,37.457,91.804,33,31.55
101.317,12.455,"N","W",83,33.594,"Class1",41.682,26.702,89.987,45,30.042
61.864,40.797,"O","P",31,74.736,"Class2",64.889,35.377,57.932,32,48.278
91.16,51.413,"K","T",31,71.565,"Class2",54.818,42.81,57.922,34,22.353
31.526,14.835,"E","O",79,33.156,"Class1",13.253,21.126,91.496,41,42.135
108.222,12.434,"L","Z",73,35.86,"Class1",31.233,32.116,87.944,35,16.728
36.546,12.338,"L","O",82,31.845,"Class1",42.858,32.838,88.119,40,4.557
69.09,43.372,"M","P",31,77.626,"Class2",45.539,20.91,55.486,31,61.662
40.52,14.931,"B","W",80,31.6,"Class1",22.431,36.974,86.065,42,37.236
43.465,18.528,"N","R",83,34.389,"Class1",57.557,29.231,88.068,36,17.356
58.878,77.358,"M","T",29,79.074,"Class2",68.186,32.659,55.093,31,53.521
NA,11.83,"L","W",74,31.609,"Class1",61.022,26.735,85.752,43,5.063
63.443,33.573,"H","Y",31,74.764,"Class2",68.38,32.333,57.961,29,NA
55.954,13.48,"L","O",83,33.036,"Class1",34.429,15.513,90.269,31,24.932
55.675,13.537,"N","Z",79,29.475,"Class1",12.043,19.999,92.312,40,36.615
47.036,11.332,"B","Z",81,30.029,"Class1",83.122,54.89,87.38,33,6.441
3.84,17.897,"N","R",74,30.997,"Class1",10.882,96.444,87.84,33,39.437
78.534,50.003,"H","P",32,76.416,"Class2",51.261,29.229,58.372,39,43.635
62.567,40.525,"N","T",31,75.567,"Class2",72.379,22.622,57.354,38,21.197
NA,13.501,"N","R",75,32.077,"Class1",23.538,53.109,85.419,40,22.927
11.379,8.167,"Z","G",83,32.427,"Class1",33.677,38.1,91.962,41,44.369
45.073,19.114,"Z","R",79,30.596,"Class1",60.766,43.47,87.233,45,44.663
58.185,13.658,"N","O",79,36.199,"Class1",29.44,10.846,88.969,36,22.958
51.418,36.019,"M","E",29,75.174,"Class2",69.737,30.209,58.092,37,18.839
70.592,34.932,"H","P",32,69.109,"Class2",45.143,24.206,57.742,30,22.017
110.307,11.57,"Z","W",76,29.369,"Class1",34.254,47.963,90.276,34,24.073
66.527,59.183,"H","Y",31,77.311,"Class2",63.495,14.179,55.891,29,NA
71.955,60.198,"H","E",31,76.584,"Class2",68.513,18.212,57.762,34,42.233
7.892,10.85,"Z","G",77,30.23,"Class1",92.655,43.505,92.08,38,38.353
10.207,18.85,"Z","G",78,33.171,"Class1",85.679,40.836,85.849,45,6.385
20.119,17.235,"E","Z",78,32.925,"Class1",11.214,64.192,87.109,37,36.349
46.572,16.878,"N","Z",83,28.809,"Class1",79.147,43.504,91.92,38,7.924
48.439,48.767,"H","T",29,77.347,"Class2",60.388,48.384,57.243,36,54.481
63.569,53.547,"M","E",29,78.465,"Class2",60.81,27.644,58.254,38,67.318
76.072,14.233,"L","R",84,30.463,"Class1",82.006,27.714,92.445,45,16.719
44.061,12.102,"B","W",75,31.845,"Class1",88.246,30.14,87.096,32,42.346
10.063,13.325,"L","R",82,31.409,"Class1",59.109,92.106,89.124,40,7.728
NA,17.125,"L","O",76,28.797,"Class1",21.35,-12.39,90.963,41,44.885
69.493,73.636,"M","T",31,78.883,"Class2",51.678,31.142,55.565,33,40.898
53.236,16.55,"Z","O",77,34.542,"Class1",16.458,9.839,92.285,31,25.025
75.12,27.839,"O","T",30,73.034,"Class2",41.234,37.3,55.52,30,57.809
74.942,51.617,"N","Y",29,79.381,"Class2",63.702,33.721,55.326,32,21.383
59.191,37.041,"O","Y",31,76.638,"Class2",52.555,25.459,57.107,30,67.246
74.694,57.09,"H","V",29,76.96,"Class2",72.228,23.87,58.628,36,51.632
23.442,17.829,"B","W",85,34.58,"Class1",50.273,75.094,89.355,34,33.795
63.595,9.944,"E","O",78,31.587,"Class1",86.513,29.013,88.214,32,9.479
43.898,16.114,"L","G",87,35.63,"Class1",76.397,11.563,87.824,36,22.361
90.844,25.674,"O","P",30,77.705,"Class2",53.237,21.232,55.315,29,53.549
59.078,56.288,"M","T",32,76.327,"Class2",62.451,28.468,55.766,29,68.059
57.323,12.969,"N","G",86,33.83,"Class1",22.855,43.112,90.038,33,35.768
NA,38.111,"M","V",31,77.059,"Class2",69.768,14.065,55.525,39,36.563
96.782,5.23,"H","T",31,71.782,"Class2",41.12,36.159,58.214,30,53.759
68.558,10.577,"B","G",75,27.776,"Class1",96.425,15.798,86.071,44,46.323
76.87,9.086,"H","T",30,76.532,"Class2",57.091,18.823,57.905,31,38.208
63.972,10.099,"B","Z",85,35.861,"Class1",10.871,20.11,85.75,40,5.161
78.946,56.278,"O","Y",30,76.901,"Class2",48.749,42.232,56.126,31,56.98
71.407,21.213,"M","Y",29,73.992,"Class2",45.219,36.973,58.561,33,49.709
59.13,17.229,"N","W",76,33.015,"Class1",51.755,28.543,88.461,43,10.962
68.469,32.4,"O","P",32,80.762,"Class2",72.198,26.483,55.968,33,66.306
77.403,42.806,"N","V",30,72.618,"Class2",41.505,34.999,58.262,35,69.302
98.767,13.003,"Z","W",82,35.408,"Class1",45.276,37.671,91.141,44,6.161
73.128,27.612,"O","P",32,79.099,"Class2",71.163,27.952,58.938,38,21.033
NA,42.602,"N","E",29,75.279,"Class2",59.206,44.584,55.12,38,66.935
-5.692,18.95,"L","R",81,32.3,"Class1",24.406,43.357,91.089,33,42.792
84.876,41.047,"N","P",32,77.835,"Class2",44.145,31.141,56.933,35,60.947
3.864,19.341,"E","O",77,31.319,"Class1",87.636,31.293,86.889,32,32.644
47.238,12.206,"B","Z",79,31.985,"Class1",60.269,-1.769,88.091,45,8.812
65.127,37.977,"K","Y",32,79.107,"Class2",59.039,32.233,56.453,32,62.29
40.598,15.93,"B","W",81,31.961,"Class1",88.079,43.995,92.993,33,19.578
50.703,20.569,"N","G",77,30.232,"Class1",69.211,14.318,92.6,36,40.068
52.418,8.96,"E","R",88,32.533,"Class1",70.649,46.967,86.38,37,19.775
31.637,12.816,"Z","W",83,32.538,"Class1",74.953,-5.035,85.808,38,22.502
71.779,13.286,"E","Z",79,31.156,"Class1",39.881,44.761,90.996,31,36.726
48.431,16.992,"Z","R",83,31.211,"Class1",25.165,68.448,87.528,44,29.578
70.038,65.97,"O","P",30,76.164,"Class2",40.394,31.125,58.046,35,52.402
56.267,83.761,"O","P",32,77.692,"Class2",71.968,24.202,57.084,34,53.157
24.649,10.824,"Z","W",88,27.34,"Class1",55.731,-22.364,90.635,30,7.187
66.977,85.319,"N","P",30,75.215,"Class2",57.748,26.944,55.318,29,68.508
30.224,19.809,"B","Z",78,30.714,"Class1",90.197,17.634,89.952,34,29.88
56.465,11.581,"N","W",87,34.569,"Class1",67.492,3.73,85.037,38,44.364
70.903,40.21,"N","E",30,76.372,"Class2",46.945,6.012,57.906,29,54.594
65.07,26.028,"K","P",31,79.602,"Class2",48.602,13.8,56.031,34,29.623
54.786,23.434,"K","E",29,75.68,"Class2",67.145,25.185,56.836,30,53.809
78.173,14.519,"Z","Z",75,31.709,"Class1",71.806,37.806,86.769,38,8.131
59.9,13.895,"E","G",87,29.7,"Class1",63.043,25.296,87.29,36,NA
65.069,20.576,"E","G",80,31.524,"Class1",72.595,80.74,90.399,31,6.713
53.473,15.147,"Z","W",78,34.286,"Class1",35.406,57.173,89.175,38,28.36
62.803,37.779,"N","E",32,75.342,"Class2",56.717,12.303,56.571,35,40.241
67.846,4.333,"B","R",83,28.144,"Class1",89.995,10.014,85.887,32,26.422
54.52,16.683,"N","O",83,34.96,"Class1",77.503,22.308,88.242,44,8.643
71.155,34.519,"H","P",32,78.216,"Class2",62.449,18.318,55.134,35,46.128
63.867,7.369,"Z","O",86,31.104,"Class1",24.648,59.616,92.481,42,27.914
57.085,59.986,"K","Y",32,75.945,"Class2",55.484,44.516,57.278,29,47.827
48.234,46.309,"H","V",32,71.449,"Class2",57.601,48.722,57.515,37,66.733
NA,13.419,"E","Z",74,29.58,"Class1",73.205,-7.725,86.372,37,27.128
69.859,59.279,"N","Y",32,75.44,"Class2",43.114,22.2,56.597,33,25.665
73.649,61.994,"H","V",32,74.619,"Class2",56.997,31.271,55.999,37,48.755
21.679,14.956,"E","W",83,33.875,"Class1",13.858,1.267,91.132,38,26.586
60.639,58.711,"H","P",31,77.015,"Class2",54.85,9.48,56.149,34,32.899
83.5,30.046,"M","Y",31,76.537,"Class2",43.297,47.369,58.48,38,16.26
35.057,11.048,"B","W",77,31.267,"Class1",11.614,-0.453,90.51,32,9.397
51.907,28.52,"K","P",32,72.943,"Class2",67.044,35.242,55.639,37,52.451
NA,15.969,"Z","R",87,26.577,"Class1",12.995,37.365,90.121,41,13.096
73.625,55.197,"M","P",30,78.565,"Class2",67.407,19.557,56.571,32,70.101
85.221,34.696,"H","Y",30,79.359,"Class2",49.014,42.691,58.166,34,52.533
44.035,14.899,"N","R",85,28.009,"Class1",31.542,18.137,86.687,37,16.584
62.437,11.508,"N","Z",75,33.853,"Class1",48.635,22.299,92.967,43,18.52
39.182,16.623,"N","O",74,30.901,"Class1",29.325,20.552,89.816,43,14.462
73.344,61.671,"H","P",29,77.873,"Class2",46.48,29.154,57.684,31,55.274
88.049,15.198,"Z","O",74,35.112,"Class1",67.047,24.254,89.728,39,18.435
71.335,56.626,"K","V",30,74.002,"Class2",61.458,10.391,57.156,36,16.77
82.525,47.591,"M","E",29,79.954,"Class2",62.133,26.624,57.138,39,18.67
31.351,50.142,"M","E",32,76.237,"Class2",43.708,15.391,57.67,37,56.037
46.314,17.148,"B","Z",78,29.679,"Class1",29.052,48.601,87.423,34,10.891
-2.336,15.178,"L","O",88,36.171,"Class1",76.789,17.442,87.463,44,42.947
57.27,13.806,"H","P",31,73.825,"Class2",59.888,16.762,56.071,39,53.889
25.789,13.557,"L","Z",85,32.309,"Class1",21.862,47.217,85.145,34,36.397
70.206,41.608,"N","E",31,77.893,"Class2",56.92,36.108,55.584,32,46.991
33.335,14.982,"L","W",87,29.312,"Class1",23.315,32.84,86.933,30,6.516
NA,14.386,"L","W",86,31.861,"Class1",30.124,43.016,89.429,37,38.659
53.594,13.161,"E","O",88,34.305,"Class1",49.836,36.444,88.883,39,26.466
68.765,41.589,"O","V",31,75.303,"Class2",40.358,28.904,56.389,37,43.302
74.737,41.114,"K","V",30,77.438,"Class2",57.127,23.333,56.793,32,59.006
43.338,30.473,"H","V",31,78.623,"Class2",42.077,35.031,56.471,38,48.492
13.353,14.248,"N","W",85,30.092,"Class1",78.933,37.528,85.438,36,11.547
NA,53.42,"H","P",29,71.845,"Class2",72.484,41.793,57.051,31,64.604
53.388,46.788,"M","T",29,78.086,"Class2",64.832,29.791,58.615,35,53.859
106.767,11.834,"B","O",76,32.802,"Class1",58.207,5.808,88.458,42,8.069
63.789,9.432,"N","R",75,32.706,"Class1",95.809,34.098,86.461,33,26.296
7.132,11.653,"E","Z",73,28.77,"Class1",52.579,26.075,92.063,45,14.617
97.545,66.054,"O","P",29,75.483,"Class2",49.387,24.326,55.226,37,56.384
71.757,9.396,"B","O",80,33.377,"Class1",22.97,3.938,92.248,45,NA
83.328,36.099,"M","E",30,73.732,"Class2",49.664,25.323,58.496,34,69.253
33.28,13.556,"Z","R",79,28.671,"Class1",92.357,16.582,86.748,41,38.711
55.088,38.166,"K","V",29,72.882,"Class2",44.643,36.207,55.233,37,59.383
62.723,49.962,"H","E",30,75.436,"Class2",51.547,33.298,58.43,36,27.029
70.602,41.065,"N","P",29,76.564,"Class2",51.268,19.095,58.06,32,25.374
41.143,13.388,"E","Z",88,34.672,"Class1",91.459,15.394,88.406,39,4.876
