"Output4","RWU1","CEF2","BXM3","PAT4","CYJ5","CAD6","MGW7","EXY8","ZGK9","EIF10","QHO11","WZM12"
"Class4","H",6.641,58.453,51.284,"N",43.269,54.495,33.219,91.632,46,20.52,38
"Class2","L",57.818,48.22,73.207,"Q",78.059,25.066,79.802,70.526,76,45.939,38
"Class2","C",124.333,71.02,57.957,"V",67.502,74.419,76.931,60.95,44,48.71,82
"Class5",NA,43.484,21.898,60.328,"C",58.831,22.81,24.69,57.923,54,19.717,24
"Class5","G",61.913,20.122,69.947,"P",32.342,36.487,47.91,57.658,62,24.532,31
"Class1","T",86.198,25.872,27.227,"E",63.922,63.098,120.891,89.393,60,40.488,90
"Class4","H",4.912,35.287,82.869,"W",53.304,53.109,72.206,91.29,54,81.854,34
"Class4","S",-0.505,30.638,49.58,"P",67.05,46.26,73.344,90.897,53,22.4,43
"Class1","Y",74.447,31.999,28.103,"E",67.372,30.288,80.5,90.868,66,69.007,69
"Class5","B",60.776,22.261,57.531,"B",29.186,25.771,57.302,66.19,31,20.65,33
"Class2","Q",35.371,46.029,46.351,"V",86.572,24.229,53.283,62.771,53,49.239,28
"Class2","B",29.641,48.158,48.44,"L",55.127,67.884,20.182,70.725,90,53.817,25
"Class3","E",60.977,62.174,62.109,"F",24.794,21.627,38.456,12.789,76,31.185,74
"Class2","C",34.295,67.656,93.947,"R",73.067,31.108,89.723,55.054,98,51.99,26
"Class2","A",50.105,67.177,43.774,"V",60.734,31.803,71.557,66.658,27,50.738,81
"Class3","E",71.886,58.983,47.055,"U",19.046,29.513,62.178,23.486,88,30.479,54
"Class3","Y",73.681,49.227,55.865,"I",20.741,32.624,40.723,12.033,65,30.567,46
"Class4","S",25.191,51.946,77.497,"N",69.263,62.114,53.554,92.72,62,76.957,42
"Class3","G",53.73,54.645,51.415,"R",23.278,31.247,42.905,26.069,85,31.021,87
"Class1","T",77.836,32.968,37.581,"Z",60.942,65.791,52.421,90.863,70,58.085,71
"Class1","L",83.974,33.592,81.119,"D",65.183,52.078,59.386,89.695,82,33.146,76
"Class4","V",17.731,8.008,95.56,"N",48.707,58.15,33.924,90.304,75,48.566,38
"Class5",NA,19.355,16.804,62.726,"P",29.277,30.651,42.835,51.242,58,20.507,30
"Class5","D",57.082,13.241,54.904,"C",30.257,47.681,36.339,66.915,53,30.542,NA
"Class5","D",25.394,18.142,75.7,"L",31.38,36.774,34.609,57.885,41,18.481,15
"Class3",NA,70.68,45.494,57.788,"F",23.785,27.061,29.674,8.378,53,30.094,76
"Class5","R",-6.123,24.442,64.943,"E",64.86,19.286,51.34,75.017,26,17.442,14
"Class5","B",50.195,23.971,76.093,"L",62.235,14.09,38.947,27.146,64,16.81,14
"Class5","D",18.38,21.546,69.896,"C",55.182,18.64,22.878,24.275,64,35.035,30
"Class5","B",55.228,14.362,54.533,"P",58.721,14.276,43.262,86.681,59,24.08,24
"Class1","B",82.39,29.953,54.393,"Z",59.616,28.844,53.953,90.596,77,69.739,64
"Class4","D",5.849,45.478,61.547,"Q",47.707,53.867,57.117,91.55,89,86.045,42
"Class3","E",66.584,70.953,49.415,"R",19.175,29.101,42.656,26.708,69,30.699,56
"Class1","Y",84.144,29.497,48.579,"D",63.845,49.571,61.779,89.175,72,50.203,77
"Class1","X",93.907,15.348,65.32,"Z",68.234,44.876,51.614,89.001,63,54.562,69
"Class5","O",76.456,18.296,68.166,"C",45.792,19.185,44.914,92.63,20,32.683,22
"Class2","C",71.242,61.132,58.604,"R",62.181,31.407,18.131,67.512,65,51.08,80
"Class1","T",94.781,21.264,64.983,"Z",64.568,46.459,106.048,90.241,60,68.735,68
"Class2","Q",100.408,47.801,86.241,"V",82.424,76.402,64.31,60.824,84,49.867,49
"Class5","B",23.788,29.674,68.738,"B",65.178,36.557,64.501,90.532,26,20.338,32
"Class1","L",83.317,16.248,47.821,"Z",61.045,68.557,26.49,89.905,64,60.387,94
"Class1","Y",87.462,10.393,11.109,"Z",64.614,45.905,46.352,89.34,83,32.897,66
"Class4","S",0.572,58.303,71.837,"W",60.708,63.598,66.437,92.954,88,34.644,38
"Class1","X",87.426,12.932,37.586,"S",62.688,28.401,36.031,90.934,80,44.852,96
"Class4","H",15.96,70.998,50.169,"W",58.027,56.673,65.682,91.89,55,77.739,44
"Class4","R",14.093,27.363,74.941,"P",68.433,58.517,81.442,91.345,75,72.237,38
"Class5","G",84.834,13.402,76.6,"L",50.143,39.161,34.296,48.937,8,32.595,21
"Class3","K",79.164,49.092,38.865,"W",21.344,27.576,39.252,6.738,47,31.151,77
"Class4","S",7.599,71.981,63.004,"E",60.177,50.197,52.542,90.81,39,30.602,48
"Class3","G",79.625,72.691,54.652,"I",26.441,30.312,54.103,18.561,45,30.366,69
"Class5","R",63.231,21.847,65.938,"L",33.126,12.525,41.708,44.512,51,17.06,15
"Class1","B",92.745,31.621,31.571,"V",64.74,48.882,36.735,89.379,65,55.267,90
"Class2","A",78.227,49.836,45.612,"V",75.489,72.485,48.709,70.335,70,49.011,43
"Class2","L",48.147,49.739,100.574,"I",77.367,83.61,50.807,59.721,49,52.835,66
"Class5","O",30.719,30.275,60.883,"L",39.113,13.48,37.698,18.487,53,27.742,22
"Class2","C",25.067,63.495,51.298,"I",76.578,60.181,63.865,66.24,31,54.502,77
"Class2","Q",102.904,57.374,71.655,"Q",71.777,56.261,68.949,58.761,74,49.806,24
"Class5","R",20.913,17.817,66.149,"C",45.408,14.222,40.48,68.025,8,36.045,22
"Class1","Y",90.66,32.072,60.638,"E",67.456,71.41,61.557,89.645,71,45.687,96
"Class4","D",27.623,60.76,59.301,"N",60.111,55,67.888,90.379,93,82.164,44
"Class3","G",56.207,79.664,45.031,"U",21.261,32,44.072,31.168,82,30.414,77
"Class5","D",58.507,28.207,74.729,"C",45.817,28.812,47.902,74.339,51,16.74,22
"Class4","D",27.846,76.358,59.413,"N",54.922,60.626,45.877,93.7,47,49.084,39
"Class3","Z",89.736,39.059,36.795,"W",21.182,24.577,55.743,26.903,63,30.081,40
"Class3","K",68.692,44.718,57.716,"W",27.011,21.432,35.339,26.857,73,30.699,62
"Class1","X",82.407,21.621,72.475,"E",62.097,40.602,36.939,90.45,82,48.038,65
"Class3","E",90.297,74.61,58.476,"F",28.535,22.744,57.142,9.292,57,31.548,68
"Class4","H",24.03,37.899,54.798,"N",67.525,61.113,59.031,91.202,67,23.645,NA
"Class5","G",36.729,23.948,67.744,"B",64.322,36.686,40.03,78.485,63,18.752,14
"Class3","Y",84.494,64.138,52.995,"U",23.287,23.063,34.447,22.472,86,30.158,60
"Class2","C",88.339,48.358,56.947,"L",74.979,35.307,73.068,56.472,24,45.714,67
"Class3","G",75.645,69.374,35.819,"R",23.031,25.021,39.697,19.344,46,30.686,58
"Class4","H",18.442,54.959,68.486,"N",69.583,50.001,52.886,91.065,59,59.368,43
"Class5","O",51.563,23.773,73.64,"C",51.274,33.497,33.007,28.831,21,22.844,32
"Class2","A",57.64,47.192,60.402,"Q",66.899,27.53,24.39,63.471,76,48.744,77
"Class5","R",61.915,23.536,68.036,"P",51.588,29.912,30.975,87.574,63,14.082,NA
"Class5","O",17.575,20.328,59.197,"C",38.645,43.057,57.124,39.732,10,36.299,28
"Class3","G",67.209,33.115,49.135,"I",22.463,22.296,48.399,8.769,81,30.568,38
"Class3","G",70.027,45.524,51.209,"R",19.461,29.86,49.49,14.264,75,31.168,49
"Class4",NA,5.088,72.889,79.82,"Q",65.52,63.792,84.318,93.288,70,73.843,48
"Class4","D",30.249,61.695,73.695,"W",69.814,46.21,72.359,93.885,51,19.498,44
"Class2","A",118.252,65.048,51.226,"I",92.724,32.341,43.663,60.746,45,50.44,29
"Class2","A",23.584,56.953,35.02,"I",82.985,20.297,50.777,62.771,19,48.259,81
"Class5","O",23.228,20.807,68.591,"C",38.673,28.521,26.412,16.314,42,17.738,16
"Class2","B",36.941,47.637,40.927,"V",83.068,80.857,31.626,59.112,63,53.117,86
"Class1","L",84.605,26.257,34.86,"V",69.677,49.478,80.602,90.74,67,66.464,76
"Class4","R",4.723,10.201,57.063,"P",55.938,59.801,115.222,91.186,94,44.023,39
"Class4","D",20.374,88.856,63.903,"E",59.355,50.069,66.575,92.667,79,63.096,39
"Class2","A",40.294,65.656,64.022,"R",59.455,38.837,76.089,61.209,36,50.379,NA
"Class2","C",20.188,34.398,35.208,"Q",81.488,66.297,63.879,59.436,88,53.355,81
"Class3","G",55.67,36.968,52.46,"I",25.08,32.623,61.545,17.971,41,30.507,73
"Class3","Y",79.644,56.763,52.681,"U",27.42,24.646,48.039,13.97,59,31.448,72
"Class1","Y",79.115,29.612,30.601,"S",67.431,39.404,93.124,90.632,76,52.783,74
"Class5","G",36.529,23.063,61.147,"E",59.652,27.666,51.845,40.859,14,34.776,14
"Class1","B",87.586,26.06,56.309,"V",69.336,31.871,61.728,89.358,71,37.188,80
"Class1","X",82.195,12.461,51.686,"S",66.559,51.44,114.122,90.166,55,48.73,73
"Class1","Y",86.952,11.636,61.069,"E",67.835,65.794,-25.42,90.566,69,57.316,77
"Class1","Y",78.816,28.561,64.41,"Z",62.914,50.368,68.788,90.908,67,65.726,66
"Class1","L",84.557,13.808,66.832,"D",60.522,35.348,54.271,90.509,57,62.087,77
"Class2","Q",66.944,42.128,58.632,"R",80.251,38.795,29.829,72.502,15,52.084,78
"Class3","E",77.951,46.545,67.033,"I",28.518,27.419,50.648,29.723,68,31.998,63
"Class1","L",88.671,25.997,35.312,"E",69.475,49.447,88.963,89.169,70,50.339,83
"Class1","T",80.236,18.918,71.417,"Z",63.928,45.962,62.769,89.641,82,35.379,91
"Class4","S",16.259,16.275,61.31,"N",48.148,48.502,56.489,91.533,71,20.564,33
"Class1","B",83.017,13.493,15.289,"V",69.537,39.647,38.564,90.058,81,42.765,66
"Class1","X",86.445,17.784,64.219,"D",59.944,67.984,84.292,89.592,71,66.381,79
"Class5","G",69.854,22.743,62.835,"L",59.316,14.525,40.061,40.722,15,20.782,20
"Class3","E",73.11,32.981,34.314,"W",27.195,33.188,43.803,31.016,81,31.748,79
"Class1","Y",82.876,15.367,41.099,"D",65.757,66.714,29.226,90.562,63,53.412,96
"Class5","R",6.676,24.729,72.608,"B",29.347,34.189,35.611,88.431,32,19.53,20
"Class4","S",20.298,25.626,89.882,"P",74.245,57.781,65.056,91.097,47,73.587,33
"Class2",NA,57.369,58.043,34.459,"I",81.444,34.776,32.656,72.106,77,50.449,47
"Class5","D",72.761,23.757,53.675,"B",34.465,30.526,59.804,22.827,28,35.883,17
"Class2","A",42.762,60.099,19.023,"V",56.991,24.046,27.307,73.26,95,45.686,NA
"Class4","D",7.296,67.139,84.58,"Q",60.187,47.133,61.2,93.488,41,34.404,38
"Class4","R",10.875,48.088,69.05,"Q",59.933,47.234,41.911,93.186,92,65.411,33
"Class3","E",73.625,47.767,30.928,"I",18.665,34.49,39.78,5.42,70,30.141,79
"Class1","T",78.672,15.276,36.335,"Z",63.634,38.402,54.983,89.524,56,67.975,94
"Class4","D",9.016,56.487,71.737,"P",51.306,48.229,70.001,92.242,40,58.196,40
"Class3","E",81.289,59.488,50.689,"F",26.296,30.52,45.701,28.127,57,30.432,NA
"Class2","Q",53.577,40.082,51.122,"L",80.476,70.733,59.455,64.882,94,51.529,26
"Class1","X",84.972,32.048,64.29,"D",59.113,69.421,69.235,90.062,67,28.594,83
"Class1","L",94.546,25.052,33.554,"E",63.576,53.31,48.007,90.725,56,37.682,68
"Class2","A",63.673,51.826,64.99,"L",73.344,38.511,106.304,63.821,96,53.296,63
"Class5","G",-5.77,12.783,65.954,"E",62.944,31.377,35.009,64.824,61,33.094,22
"Class2","L",81.345,60.651,37.885,"L",56.875,29.745,34.885,60.793,35,53.022,65
"Class5","O",64.002,16.059,65.711,"L",55.675,20.603,32.889,29.675,28,30.4,16
"Class3","Y",56.765,55.703,57.693,"U",21.615,31.117,41.574,17.179,49,30.767,66
"Class2",NA,18.107,61.632,30.248,"L",71.651,67.826,67.933,65.369,64,45.499,42
"Class3","K",51.718,32.662,53.18,"U",19.233,35.327,34.882,26.267,63,31.322,43
"Class2","C",38.864,50.053,65.008,"Q",88.299,69.646,36.679,61.283,89,48.67,25
"Class4","D",14.678,58.565,73.041,"N",74.373,59.472,63.419,90.522,94,54.73,33
"Class1","T",86.856,23.272,53.778,"Z",63.558,40.98,41.341,89.025,62,49.007,85
"Class2","A",39.446,50.351,52.65,"Q",62.016,44.408,48.4,63.632,25,48.766,46
"Class3","Z",65.137,59.58,61.135,"I",22.482,35.242,52.826,19.617,53,31.709,87
"Class5","B",47.2,21.68,54.025,"C",50.549,34.275,49.604,85.274,57,24.434,28
"Class2","A",128.915,62.088,74.461,"R",83.332,55.865,35.09,72.835,84,48.766,43
"Class2","A",49.12,59.136,61.887,"Q",96.425,55.491,49.137,66.15,58,49.099,25
"Class5","O",43.476,24.323,64.585,"B",50.048,45.627,63.76,27.592,61,23.726,25
"Class1","L",86.873,14.23,63.174,"V",69.052,37.789,5.327,90.672,75,48.801,70
"Class4","V",2.974,45.146,57.158,"Q",58.115,57.557,46.56,91.091,84,53.527,34
"Class2","Q",71.777,65.01,68.441,"R",69.33,23.482,40.597,73.882,64,52.264,62
"Class3","E",51.572,48.635,60.42,"W",26.039,22.104,46.775,16.282,41,30.016,47
"Class4","S",7.305,51.859,53.357,"W",65.319,63.741,62.546,93.873,86,35.068,41
"Class5","R",96.932,25.582,69.135,"B",48.794,38.79,49.376,94.604,41,20.832,16
"Class1","B",93.88,14.762,72.568,"E",64.961,50.216,61.615,90.546,69,28.469,76
"Class1","L",86.187,28.333,70.717,"E",69.678,63.457,101.639,89.975,59,62.73,NA
"Class2","B",57.221,55.04,55.688,"Q",74.198,81.993,51.498,66.794,33,51.362,29
"Class2","B",14.029,61.572,55.498,"R",72.71,72.298,39.653,58.836,49,46.861,41
"Class2",NA,69.931,51.346,41.576,"R",63.609,23.631,35.214,55.982,14,52.013,23
"Class2","A",58.818,66.756,3.527,"Q",73.432,39.56,80.463,69.67,32,51.767,49
"Class1","Y",86.862,22.2,28.155,"V",67.935,49.26,72.53,90.928,72,40.524,78
"Class1","T",79.462,18.71,26.269,"S",65.224,65.343,62.018,90.823,57,44.747,NA
"Class5","G",33.401,17.662,58.434,"L",66.993,28.49,48.984,73.456,51,23.747,19
"Class3","E",35.791,45.82,56.22,"I",25.36,28.334,63.876,6.215,72,30.993,85
"Class1","Y",81.656,28.059,67.19,"S",67.135,40.711,82.515,90.922,57,46.769,72
"Class3","G",65.115,59.048,52.25,"F",22.339,20.894,35.672,22.435,46,31.041,81
"Class4","S",9.627,43.155,87.548,"Q",52.242,50.949,47.373,93.458,93,24.513,40
"Class2","L",117.686,58.184,55.521,"I",80.334,29.288,71.24,55.953,18,51.065,54
"Class4","R",-5.037,60.065,77.459,"E",65.389,46.565,44.73,93.476,80,58.708,40
"Class2","L",35.747,61.562,72.645,"R",89.881,53.53,33.918,63.776,37,54.576,60
"Class3","Z",64.182,44.494,60.303,"I",18.492,26.271,26.571,17.097,74,30.929,NA
"Class2","L",72.111,39.438,90.022,"Q",57.528,76.747,31.311,63.076,65,46.709,38
"Class2","L",16.945,46.326,62.687,"Q",90.046,21.764,19.839,70.519,23,51.912,23
"Class4","S",16.766,87.306,65.931,"Q",70.173,60.628,29.459,90.655,67,41.89,38
"Class2","B",84.471,54.603,72.306,"V",75.556,83.59,70.646,67.522,50,48.704,NA
"Class3","Y",74.111,71.488,49.213,"W",20.475,34.489,54.163,5.825,77,30.97,76
"Class2","A",98.498,71.505,61.935,"I",97.471,37.145,41.326,69.39,34,52.375,83
"Class2","Q",50.41,51.598,41.667,"V",89.176,76.71,52.294,70.505,17,54.372,85
"Class3",NA,55.554,38.423,40.34,"R",26.131,28.848,42.397,6.41,75,31.681,78
"Class3","E",76.762,43.082,37.942,"U",24.608,34.758,44.032,21.18,62,31.485,81
"Class2","C",81.54,62.539,55.602,"R",94.138,69.939,66.846,73.901,31,51.086,24
"Class4","V",20.273,30.578,63.699,"N",47.278,49.603,59.342,90.477,76,83.463,39
"Class4","D",23.161,58.753,83.893,"P",45.617,54.248,40.386,93.796,71,35.081,34
"Class1","X",80.95,19.439,8.731,"E",66.094,51.942,39.071,89.097,83,69.099,94
"Class5","B",47.586,22.707,59.815,"B",43.829,21.854,40.441,37.208,48,21.249,12
"Class5","R",45.662,18.736,62.454,"B",41.439,24.254,58.929,55.306,61,33.64,NA
"Class1","X",75.988,19.812,29.603,"V",69.199,54.62,121.219,89.248,81,46.321,95
"Class5","R",71.131,26.221,65.098,"B",66.571,21.392,59.002,88.791,29,18.55,24
"Class5","G",33.992,22.436,70.98,"C",51.396,40.815,26.866,55.482,23,26.797,30
"Class2","A",53.871,58.692,60.737,"I",58.059,63.124,45.474,62.647,79,52.049,71
"Class3","K",79.661,42.463,64.467,"F",27.145,20.825,50.623,23.686,63,30.031,39
"Class4","V",17.857,65.445,81.946,"E",47.181,46.058,70.261,93.371,92,26.132,40
"Class5","R",13.256,25.052,66.965,"E",30.567,21.627,65.607,43.437,6,21.932,32
"Class3","E",59.493,25.9,44.28,"R",25.803,22.711,52.403,20.75,69,30.979,43
"Class4","D",5.502,35.979,62.656,"Q",69.334,56.64,41.411,93.417,42,44.352,45
"Class3","G",69.594,57.942,31.166,"I",21.421,24.732,48.285,21.276,49,30.342,78
"Class1","L",83.681,23.395,40.462,"S",67.686,35.386,11.827,89.979,59,28.594,88
"Class2","A",69.193,43.319,57.999,"Q",86.276,79.451,33.01,72.887,43,49.372,NA
"Class1","Y",88.797,19.414,33.99,"D",65.583,39.224,26.356,90.582,73,34.59,64
"Class5","O",18.042,14.633,70.039,"C",64.713,15.933,46.265,20.369,14,19.421,13
"Class2","B",51.4,63.324,10.843,"Q",90.28,72.234,79.564,55.857,75,54.449,68
"Class4","D",20.555,68.818,84.643,"Q",51.298,57.879,40.617,92.519,92,70.778,41
"Class2","C",32.912,63.391,63.977,"Q",90.194,38.345,74.502,56.558,38,47.913,54
"Class4","H",-4.294,47.106,43.859,"W",69.229,58.672,75.227,93.016,90,18.464,33
"Class1","T",87.676,30.415,53.729,"S",63.99,37.729,60.118,90.115,57,29.357,64
"Class2","C",23.329,51.715,62.804,"Q",84.6,78.926,69.207,57.079,15,51.707,36
"Class2","L",61.408,58.696,63.155,"R",78.165,35.667,60.628,54.782,97,50.858,NA
"Class1","X",81.483,26.311,46.898,"E",64.61,53.381,39.278,90.595,72,43.236,65
"Class3","G",66.279,29.615,59.058,"I",27.974,35.452,45.8,27.489,49,31.142,38
"Class2","A",19.138,63.145,52.963,"V",74.425,24.249,59.905,56.014,27,54.77,27
"Class3","G",84.321,49.249,53.906,"U",24.576,36.072,56.052,19.98,57,30.412,67
"Class2","A",52.003,38.658,55.831,"L",60.29,44.612,54.026,60.058,33,53.734,24
"Class1","T",88.69,19.918,28.528,"E",63.831,64.492,14.633,90.899,52,57.521,92
"Class1","L",77.356,18.67,53.867,"S",68.172,42.724,9.374,89.568,76,33.835,76
"Class3","E",56.34,65.567,62.648,"U",20.56,31.63,39.938,20.6,66,30.22,39
"Class1","Y",73.367,7.475,25.561,"Z",62.895,48.792,57.409,89.836,70,66.406,65
"Class5","B",19.903,30.106,61.721,"L",41.766,44.495,36.936,54.26,20,24.508,30
"Class4","H",-5.026,34.602,62.852,"P",54.56,49.203,-5.114,92.194,66,74.296,45
"Class4","H",24.813,96.686,73.003,"N",70.664,57.054,82.557,91.697,84,63.275,35
"Class2","L",76.009,49.9,38.686,"R",85.944,18.211,79.138,55.354,46,50.28,31
"Class5","B",69.751,22.613,60.987,"C",29.055,29.072,52.565,27.79,24,20.488,16
"Class2","B",46.139,72.637,90.567,"I",60.147,43.913,80.588,60.924,63,48.565,61
"Class2","Q",13.714,59.281,37.003,"I",80.23,35.73,68.394,63.353,87,48.817,73
"Class2","B",68.321,65.582,68.041,"Q",85.108,48.631,2.498,62.188,18,48.789,77
"Class3","G",73.901,15.47,42.82,"F",24.938,22.32,51.946,12.12,51,31.936,66
"Class4","V",3.185,56.268,60.965,"P",68.496,48.525,47.612,91.516,64,62.215,33
