"Output18","TKD1","TPG2","YEU3","LKC4","GVD5","ASP6","ZXY7","RXK8","DBQ9"
"Class1",91,46.225,58.092,"D",25.335,29.416,69.862,42.174,55.345
"Class3",91,47.25,39.592,"I",85.624,9.477,72.924,39.207,5.918
"Class3",78,52.58,51.725,"U",89.274,17.28,71.35,41.596,5.226
"Class3",59,48.363,47.064,"M",86.42,8.044,72.268,27.91,11.764
"Class1",91,46.822,74.431,"B",30.064,22.744,66.202,70.383,39.713
"Class2",63,35.432,72.37,"B",22.888,53.541,77.912,39.29,83.134
"Class3",58,64.908,35.805,"U",88.231,NA,73.346,22.505,3.993
"Class2",71,36.57,72.005,"U",46.368,NA,78.174,34.647,76.28
"Class2",57,37.922,71.261,"N",22.682,56.684,76.113,-6.25,78.632
"Class2",53,33.601,73.25,"N",60.645,48.841,76.924,26.869,78.569
"Class3",64,51.914,57.438,"M",85.029,47.181,67.513,48.979,9.604
"Class3",86,60.92,45.86,"T",86.637,4.023,73.316,33.968,4.636
"Class1",97,46.298,89.531,"A",80.736,24.727,69.311,49.146,58.932
"Class1",96,46.725,44.395,"B",65.74,NA,68.002,50.032,54.292
"Class3",88,45.377,79.064,"T",90.932,24.318,73.393,37.39,6.41
"Class2",62,31.539,73.013,"N",39.746,60.626,77.251,62.325,80.426
"Class3",81,29.214,69.422,"T",88.771,27.154,73.15,38.429,14.968
"Class1",88,46.241,9.962,"A",72.105,27.973,66.786,41.71,45.371
"Class2",53,34.23,71.056,"U",27.506,41.856,76.32,38.912,79.857
"Class2",58,38.71,73.095,"B",37.2,77.761,78.139,53.827,80.286
"Class3",88,114.575,32.952,"I",91.044,47.783,72.763,27.082,13.071
"Class3",54,56.029,67.12,"M",89.315,25.26,67.291,38.723,4.822
"Class2",58,36.347,71.152,"B",60.929,77.127,76.548,4.936,83.087
"Class1",97,46.578,62.496,"D",75.949,43.573,66.681,18.401,35.62
"Class1",88,46.858,26.324,"A",72.273,27.495,67.226,76.517,50.808
"Class2",60,37.52,73.953,"S",50.256,57.356,78.203,80.456,75.732
"Class3",57,67.173,30.52,"U",85.843,21.218,73.145,44.591,13.523
"Class3",86,53.434,69.697,"O",86.776,29.125,68.03,33.894,8.289
"Class2",75,34.399,73.702,"S",24.196,71.87,79.345,51.917,81.61
"Class1",94,47.156,24.973,"Y",38.347,39.841,65.481,27.908,60.746
"Class2",68,30.19,72.927,"S",54.812,76.169,78.207,52.604,79.746
"Class3",90,43.546,31.981,"I",89.084,24.211,69.02,33.064,4.287
"Class1",85,46.832,81.415,"J",45.989,16.571,65.583,13.663,55.516
"Class2",52,34.108,71.004,"S",38.132,77.63,77.501,71.098,82.767
"Class1",91,45.964,31.988,"D",51.853,30.456,68.967,36.073,54.14
"Class1",96,46.328,26.777,"D",50.492,40.195,NA,48.634,61.473
"Class1",88,46.504,57.301,"A",65.442,34.853,66.484,5.645,60.619
"Class1",89,46.902,36.875,"Y",73.929,38.753,66.772,28.388,41.818
"Class2",70,37.571,71.247,"S",59.739,51.918,78.098,56.525,80.86
"Class1",93,46.292,23.15,"B",42.245,27.443,68.21,15.289,47.055
"Class2",52,35.432,71.065,"R",51.242,54.511,77.149,-30.166,81.967
"Class1",94,46.421,57.228,"B",25.916,34.614,68.631,45.908,47.035
"Class2",61,34.659,71.674,"U",31.822,72.021,78.181,46.227,79.911
"Class3",81,97.653,58.034,"M",86.612,32.192,70.91,29.415,15.035
"Class1",95,46.488,26.259,"J",64.748,5.708,67.294,13.462,51.791
"Class1",94,47.208,27.98,"B",81.445,38.527,70.732,47.118,35.833
"Class2",63,33.068,71.743,"N",23.729,31.828,77.754,67.545,81.792
"Class3",91,71.941,49.681,"T",85.658,21.685,72.932,41.665,14.366
"Class3",60,34.488,71.7,"O",86.148,64.727,NA,34.934,15.74
"Class2",64,35.812,72.006,"B",57.421,57.371,77.454,43.706,77.928
"Class1",91,46.912,38.105,"J",67.936,39.626,67.12,91.445,37.388
"Class3",50,29.199,49.507,"T",85.69,39.826,71.581,39.976,8.658
"Class3",80,45.912,48.056,"M",90.353,47.263,70.159,27.857,10.89
"Class1",89,46.344,36.261,"J",69.904,45.201,68.699,73.57,53.849
"Class2",76,36.633,73.652,"B",28.801,51.228,79.51,33.433,80.905
"Class2",73,34.149,73.459,"U",48.97,53.202,78.961,48.725,82.954
"Class3",58,48.673,38.05,"U",86.593,59.372,70.851,45.24,11.659
"Class3",64,36.608,57.838,"I",87.591,18.552,69.879,43.342,2.38
"Class2",71,36.36,72.39,"R",36.927,25.864,77.357,25.932,80.329
"Class3",65,47.133,35.894,"O",86.736,39.251,71.922,44.903,7.09
"Class2",68,32.021,73.207,"U",27.561,70.667,78.656,22.665,78.494
"Class3",63,58.282,73.597,"M",89.751,31.894,71.81,54.562,13.204
"Class3",74,54.467,64.482,"I",91.999,34.128,NA,35.055,9.699
"Class2",71,35.855,73.146,"N",53.76,67.737,79.038,35.919,75.319
"Class3",85,52.107,57.719,"M",87.786,-5.705,66.732,52.934,9.338
"Class1",88,46.016,23.202,"J",26.134,30.989,68.163,55.839,57.02
"Class1",93,46.816,64.473,"D",37.031,30.977,67.586,29.876,61.133
"Class1",86,46.584,36.014,"B",46.087,36.529,71.6,38.44,60.646
"Class2",64,34.68,72.052,"U",41.776,91.603,79.634,67.944,83.105
"Class3",76,64.924,80.402,"O",85.042,NA,73.902,31.921,9.516
"Class3",71,95.156,87.151,"I",88.609,12.35,74.27,39.088,10.287
"Class1",85,46.313,25.421,"Y",57.92,25.917,68.514,7.364,60.16
"Class2",76,37.667,71.958,"U",57.284,47.631,76.224,62.877,83.904
"Class2",58,35.242,73.706,"N",38.645,95.292,78.239,33.487,82.471
"Class1",90,45.928,28.845,"A",60.854,46.34,65.103,16.019,61.258
"Class1",85,47.172,65.19,"B",44.813,22.928,66.776,69.174,46.58
"Class3",72,65.302,35.955,"U",85.605,14.006,69.551,41.285,10.706
"Class2",51,34.651,71.833,"U",50.228,72.534,78.018,11.281,77.068
"Class1",91,46.198,74.384,"J",76.545,37.612,68.453,57.919,55.132
"Class1",94,46.448,52.3,"J",91.971,32.745,66.08,63.414,41.208
"Class3",53,101.632,50.485,"M",86.998,11.176,75.837,54.439,15.593
"Class3",70,44.587,59.345,"O",88.054,19.974,74.425,47.863,4.599
"Class3",81,18.474,60.183,"M",91.114,23.904,70.181,34.744,12.634
"Class2",52,33.015,71.451,"N",23.183,59.323,78.693,26.409,80.119
"Class1",86,46.842,75.014,"D",39.56,28.434,67.466,63.089,44.383
"Class2",75,37.607,73.401,"B",47.464,67.782,75.972,63.844,76.647
"Class2",70,35.215,71.845,"N",18.937,104.664,76.504,26.897,82.409
"Class2",72,36.903,73.862,"S",50.61,68.491,NA,55.968,78.433
"Class1",96,47.293,59.219,"Y",29.432,7.23,65.229,34.406,42.944
"Class3",84,83.287,91.17,"O",89.54,12.817,72.11,43.158,3.881
"Class3",71,35.018,53.929,"I",85.25,50.938,72.874,29.842,7.472
"Class3",79,46.011,53.615,"T",88.008,35.675,72.55,25.999,14.698
"Class3",62,39.954,76.58,"U",85.805,42.383,70.452,43.505,12.977
"Class3",53,58.699,42.723,"T",88.124,-21.173,72.663,41.368,9.858
"Class3",76,92.111,61.68,"I",88.421,20.929,69.15,54.739,6.731
"Class1",86,46.531,57.057,"Y",40.176,26.929,64.638,42.57,36.388
"Class1",95,46.358,52.647,"A",74.424,14.018,67.692,57.924,50.688
"Class2",75,37.797,71.775,"U",26.244,79.729,77.597,48.279,78.347
"Class3",60,55.913,36.341,"U",88.93,44.148,67.235,41.93,4.029
"Class1",90,46.331,72.354,"Y",48.118,31.245,65.361,24.465,58.963
"Class3",73,46.57,67.398,"I",87.956,25.444,70.465,38.416,7.416
"Class3",70,24.864,72.737,"O",88.261,49.083,NA,38.6,4.163
"Class1",90,46.009,63.696,"D",46.374,20.062,66.256,59.879,38.216
"Class1",92,46.943,3.964,"A",89.051,32.28,65.823,53.7,51.838
"Class3",90,48.406,86.879,"T",86.19,31.094,68.574,58.173,14.956
"Class1",96,46.445,59.893,"D",64.525,32.298,62.788,29.612,44.529
"Class2",72,35.53,72.519,"U",39.893,84.541,77.607,-3.586,79.303
"Class1",93,46.27,57.544,"D",67.851,35.745,67.31,99.436,45.668
"Class2",61,36.52,71.032,"R",33.549,31.495,77.714,18.107,79.94
"Class2",67,35.607,71.681,"S",21.89,81.281,76.08,46.597,81.73
"Class2",75,39.923,72.71,"S",51.555,94.372,77.54,18.567,81.26
"Class3",67,41.2,87.261,"T",91.577,35.228,72.943,46.46,8.47
"Class3",56,89.134,81.101,"U",90.522,20.682,73.07,52.063,8.708
"Class1",93,46.689,85.999,"D",88.295,15.195,67.763,47.228,39.562
"Class2",68,34.826,73.964,"N",26.151,67.2,76.911,47.038,78.246
"Class3",89,112.047,74.244,"M",89.235,44.148,71.594,61.989,4.927
"Class2",69,36.096,73.037,"S",23.032,48.364,77.858,-8.432,82.023
"Class3",76,85.695,73.66,"T",89.336,35.775,73.535,53.458,3.755
"Class3",71,74.956,79.556,"M",86.404,5.041,NA,37.851,8.471
"Class2",65,38.555,72.369,"U",39.662,83.151,76.543,5.656,75.622
"Class1",89,46.557,76.751,"J",63.893,33.23,68.747,61.043,36.334
"Class2",61,34.658,73.73,"N",23.294,75.506,77.014,9.94,77.165
"Class2",55,36.742,73.947,"S",42.178,NA,77.416,53.53,83.672
"Class2",56,34.577,72.49,"R",47.233,83.637,76.487,28.337,78.497
"Class1",97,46.608,50.955,"A",75.074,26.987,68.17,20.403,46.659
"Class3",82,10.455,78.353,"T",85.994,3.813,72.88,38.682,15.981
"Class3",84,104.292,76.741,"I",89.882,17.769,NA,33.301,15.665
"Class1",95,47.469,37.066,"B",68.658,35.376,63.188,-0.362,54.537
"Class3",64,34.792,90.748,"U",90.754,20.151,69.643,46.15,9.685
"Class2",69,33.377,71.444,"U",28.72,63.669,78.107,25.775,76.79
"Class2",53,36.059,72.681,"N",46.874,75.325,77.686,36.237,77.845
"Class1",88,46.858,58.345,"J",64.281,28.465,NA,33.342,38.352
"Class2",61,35.953,72.178,"B",19.053,71.597,77.681,53.456,80.253
"Class1",94,46.616,84.39,"B",60.497,18.247,63.29,30.322,54.395
"Class2",70,32.569,71.065,"R",25.465,NA,77.3,52.134,82.328
"Class2",68,38.74,73.637,"B",42.891,44.646,78.401,15.544,75.274
"Class2",72,37.903,72.25,"N",43.138,60.673,77.233,46.997,75.269
"Class1",97,46.718,54.392,"Y",28.496,41.98,67.781,18.15,54.427
"Class3",56,88.815,72.886,"M",89.154,24.845,72.287,40.546,13.707
"Class3",78,33.415,63.937,"U",86.8,8.737,70.617,43.113,15.646
"Class1",93,45.885,60.946,"D",73.891,35.197,67.92,50.246,45.887
"Class2",59,38.781,71.333,"B",18.835,75.471,75.579,30.693,81.395
"Class3",53,74.864,89.478,"O",85.449,23.496,69.952,64.147,3.706
"Class2",55,37.284,71.276,"S",47.483,59.246,76.842,20.761,76.931
"Class1",85,46.576,49.14,"Y",69.267,18.166,68.919,0.395,41.965
"Class1",94,46.465,57.361,"B",82.705,28.472,64.127,47.434,43.141
"Class1",97,47.138,43.681,"Y",76.736,37.256,66.611,39.758,44.662
"Class3",86,70.228,71.002,"U",88.29,39.42,69.122,20.46,7.053
"Class1",97,46.4,80.447,"Y",26.692,35.048,68.648,60.76,39.222
"Class1",93,46.915,73.693,"Y",70.169,39.279,68.374,63.641,61.03
"Class1",92,47.191,71.426,"B",71.719,26.181,65.145,66.853,39.841
"Class3",86,37.993,30.621,"O",85.549,48.151,69.946,43.526,3.097
"Class1",86,46.151,76.79,"J",44.38,27.379,65.606,38.082,61.485
"Class1",94,46.54,76.016,"A",63.319,38.236,69.386,-22.423,61.301
"Class1",93,46.592,58.336,"A",59.3,34.263,69.695,44.407,52.011
"Class3",89,34.878,76.746,"I",87.422,38.529,72.346,41.06,11.224
"Class1",94,46.273,34.318,"A",60.252,24.754,67.512,74.039,60.797
"Class2",62,35.61,73.175,"S",23.048,53.622,NA,22.466,82.358
"Class3",66,90.008,49.412,"T",89.212,NA,73.32,46.44,11.554
"Class2",58,35.708,73.54,"U",18.394,64.938,77.389,36.51,77.087
"Class2",54,34.581,72.801,"R",42.643,99.054,78.045,-12.446,81.702
"Class2",76,34.506,72.755,"R",30.56,NA,75.997,-9.49,78.581
"Class2",56,34.541,72.711,"B",32.283,60.501,77.164,33.519,76.256
"Class3",80,20.652,58.969,"M",87.254,34.849,71.69,38.891,6.395
"Class2",56,34.334,72.982,"R",57.928,62.125,76.932,27.585,77.146
"Class2",66,37.625,71.374,"S",18.706,62.757,77.974,37.604,77.067
"Class3",76,52.045,30.913,"I",89.493,42.39,72.333,37.115,9.87
"Class1",86,47.163,55.625,"Y",32.404,38.219,66.892,42.369,55.036
"Class1",94,46.937,7.493,"A",80.969,30.103,67.226,19.383,58.414
"Class2",67,36.56,72.181,"U",48.89,NA,77.564,29.21,81.145
"Class3",52,54.866,73.446,"O",90.489,28.039,NA,36.585,11.985
"Class3",69,82.657,41.081,"U",85.338,34.299,71.415,29.671,14.906
"Class1",94,46.782,8.496,"Y",64.919,29.14,64.884,35.819,41.206
"Class1",91,46.577,44.906,"A",24.176,28.479,66.035,56.44,44.706
"Class2",53,31.318,73.713,"S",47.108,65.919,77.517,5.891,83.666
"Class2",71,38.111,72.36,"S",27.031,55.704,76.766,46.19,81.319
"Class3",76,29.241,83.347,"T",85.419,20.414,71.99,41.605,7.107
"Class1",95,47.084,16.324,"D",57.662,34.086,68.633,24.866,56.261
"Class3",78,75.984,54.771,"U",85.959,-8.438,69.868,27.402,15.336
"Class2",59,37.7,71.614,"S",41.135,72.963,79.09,7.91,80.535
"Class3",84,30.654,59.475,"O",91.802,14.304,69.85,32.797,15.38
"Class1",97,46.077,51.646,"J",48.338,21.919,66.413,33,57.224
"Class2",53,37.458,71.215,"N",40.558,75.491,77.963,29.74,80.646
"Class3",84,77.21,70.458,"T",86.988,42.683,72.302,35.201,8.357
"Class2",59,36.326,71.901,"B",22.986,52.482,78.52,13.081,81.401
"Class3",89,78.156,88.844,"T",87.415,10.199,70.889,35.111,14.609
"Class1",88,46.198,27.655,"D",73.881,35.149,71.492,8.287,41.181
"Class3",76,37.526,63.916,"U",85.031,22.717,72.101,46.832,2.608
"Class3",51,6.26,75.498,"M",86.206,37.451,76.205,24.96,7.536
"Class1",96,46.531,56.646,"B",48.678,28.183,65.771,-0.399,60.245
"Class1",91,46.538,27.915,"B",65.908,38.06,NA,27.807,53.521
"Class3",49,28.06,64.688,"U",89.738,55.064,NA,54.493,15.841
"Class2",68,38.59,73.239,"B",53.093,60.138,76.486,44.269,79.061
"Class1",93,46.446,80.692,"Y",40.97,30.728,70.029,55.223,52.122
"Class2",71,35.303,72.267,"U",52.559,101.722,78.256,6.633,77.508
"Class2",56,35.54,72.777,"U",39.128,67.777,77.902,31.615,80.928
"Class2",61,36.855,73.457,"U",52.494,80.975,78.251,42.249,81.764
"Class2",53,36.398,73.346,"B",33.764,54.595,77.426,54.402,79.048
"Class1",94,46.374,64.775,"J",33.156,34.646,65.634,50.712,58.936
"Class3",59,40.049,83.779,"O",89.468,8.226,72.648,44.759,11.719
"Class1",88,46.009,38.3,"A",34.957,32.998,67.91,20.282,59.017
"Class1",90,46.089,11.49,"B",34.959,25.46,67.518,37.252,43.29
"Class2",52,38.67,73.421,"B",29.297,79.87,77.768,54.732,77.436
"Class3",58,71.752,60.736,"U",89.086,4.739,NA,46.637,5.04
"Class3",56,39.361,38.53,"I",89.516,-12.13,72.627,36.498,14.702
"Class1",95,46.112,18.819,"B",62.417,32.735,64.606,35.402,53.412
"Class3",58,74.203,61.463,"O",85.068,36.737,71.073,49.197,12.726
"Class1",97,46.486,11.544,"Y",23.749,12.789,64.712,17.725,40.147
"Class1",96,46.712,70.792,"B",62.04,35.158,64.754,70.181,36.231
"Class1",88,46.372,59.559,"B",75.946,49.102,64.933,36.149,48.231
"Class2",69,34.852,71.458,"N",37.889,83.271,75.826,38.562,77.531
"Class3",48,46.299,35.858,"T",88.759,30.988,74.208,25.4,4.574
"Class2",59,37.599,72.459,"U",52.576,69.324,79.084,35.858,83.991
"Class2",51,36.739,71.751,"R",29.175,79.274,76.201,5.621,80.88
"Class3",54,66.067,62.343,"U",86.628,49.329,71.587,41.185,11.55
"Class1",91,46.415,54.361,"J",36.341,40.347,67.559,59.239,58.655
"Class1",94,46.704,53.27,"B",26.266,29.948,69.261,57.403,44.358
"Class1",85,46.788,59.838,"B",67.193,33.381,64.572,31.918,60.57
"Class1",85,46.133,71.224,"A",43.543,26.049,NA,48.425,47.806
"Class1",93,46.387,80.353,"J",64.265,34.443,NA,74.232,36.453
"Class1",96,46.222,5.118,"Y",26.285,26.884,66.011,15.297,48.218
"Class2",73,34.818,72.374,"R",33.622,91.986,78.068,41.644,80.843
"Class1",85,46.34,40.478,"D",58.41,32.502,66.677,23.006,52.483
"Class3",85,55.558,40.428,"M",86.597,43.284,72.834,30.61,10.334
"Class2",59,35.18,73.618,"R",60.455,39.597,77.136,77.369,83.769
"Class1",89,46.29,70.244,"B",50.837,14.603,66.485,32.293,38.491
"Class3",91,49.61,57.114,"U",91.162,46.583,72.04,32.752,10.528
"Class1",97,46.378,87.588,"J",71.273,45.415,69.173,49.825,40.588
"Class2",65,36.821,72.465,"U",26.387,42.029,77.397,-13.283,83.865
"Class2",58,37.123,71.474,"R",30.386,65.676,77.837,26.687,77.559
"Class1",89,46.57,16.184,"D",64.918,16.563,68.974,44.765,38.593
"Class2",57,35.296,71.508,"B",35.451,73.468,NA,28.055,81.079
"Class3",86,35.264,76.681,"M",86.702,44.722,73.955,33.668,12.557
"Class3",64,40.246,65.02,"T",87.645,29.343,69.61,48.967,2.226
"Class3",83,13.191,80.27,"M",88.622,43.026,70.455,53.333,5.571
"Class1",93,46.569,82.813,"B",34.216,27.645,67.654,76.749,42.47
"Class3",91,35.121,43.678,"M",89.425,49.208,69.865,49.957,10.105
"Class2",69,34.086,71.784,"S",38.111,37.382,77.746,17.878,75.385
"Class2",52,35.64,72.298,"B",53.492,49.951,77.159,28.383,77.34
"Class3",72,74.003,56.042,"M",85.676,19.016,71.058,45.413,11.305
"Class2",54,34.709,72.72,"B",54.966,54.18,75.717,57.29,76.251
"Class2",69,36.647,72.984,"U",32.492,73.545,76.656,53.153,81.157
"Class2",75,36.816,71.96,"S",49.505,96.907,76.834,19.999,76.376
"Class3",70,32.881,34.049,"M",89.475,55.76,75.064,45.036,2.524
"Class2",57,36.227,71.624,"U",47.944,84.548,75.707,40.853,75.275
"Class3",75,74.646,67.65,"T",86.76,37.522,70.41,53.03,5.979
"Class3",66,57.539,42.512,"M",90.906,19.555,65.999,39.615,12.645
"Class2",67,39.006,71.032,"U",51.583,79.987,77.655,59.247,83.039
"Class1",87,46.715,54.239,"Y",74.187,30.66,64.898,84.61,42.766
"Class2",57,33.492,71.91,"N",25.809,36.384,77.848,44.973,81.511
"Class2",76,41.629,73.19,"N",44.112,82.367,76.924,9.138,78.188
"Class3",55,90.996,58.804,"I",90.971,7.799,70.508,37.765,11.04
"Class1",90,46.566,75.121,"A",27.563,42.077,64.641,88.105,35.045
"Class3",90,51.489,36.551,"I",88.539,26.017,71.05,31.146,9.102
"Class2",76,35.55,71.792,"U",51.608,65.263,78.015,-13.965,80.318
"Class1",89,47.177,9.405,"D",50.271,36.158,65.646,5.118,48.452
"Class1",92,46.267,74.375,"Y",59.669,29.892,NA,68.517,39.533
"Class1",93,46.189,54.177,"J",37.163,34.472,67.846,59.083,54.884
"Class2",69,35.715,72.859,"N",40.862,36.73,79.019,62.676,83.553
"Class1",95,46.504,39.575,"D",37.347,36.18,68.211,47.911,44.5
"Class2",73,37.383,73.793,"U",59.372,67.211,76.493,13.369,79.132
"Class2",73,36.974,72.374,"S",59.754,90.732,76.456,17.52,75.396
"Class3",75,67.028,83.277,"O",85.584,35.392,71.039,27.784,3.696
"Class2",65,33.634,73.936,"N",41.465,72.454,77.667,23.096,75.4
"Class2",54,40.483,72.941,"U",32.609,89.004,78.942,18.046,80.62
"Class3",71,42.043,88.56,"T",89.014,48.634,77.009,45.893,6.372
"Class3",84,39.267,53.948,"I",90.903,31.05,72.399,21.428,15.926
"Class3",64,31.957,57.389,"O",89.585,2.732,72.339,42.028,7.937
"Class2",69,33.577,72.125,"B",36.758,58.212,77.811,36.698,81.12
"Class1",93,46.241,55.912,"D",45.533,NA,65.664,24.805,40.886
"Class3",79,87.786,50.499,"U",85.045,32.299,69.111,42.581,9.894
"Class2",76,34.929,73.889,"R",56.487,77.85,77.012,53.161,83.953
"Class1",94,46.263,81.155,"B",23.69,41.116,67.431,48.638,38.023
"Class1",87,46.639,6.272,"D",38.625,27.146,68.323,35.81,46.479
"Class1",86,46.757,82.911,"Y",28.662,21.052,68.133,58.776,38.342
"Class2",56,41.125,72.539,"R",26.455,65.352,77.463,68.398,78.216
"Class1",96,46.915,48.521,"Y",35.26,24.191,64.462,47.721,46.217
"Class2",68,34.462,73.227,"N",30.966,61.755,78.24,42.816,75.056
"Class3",54,62.52,89.605,"O",86.86,31.246,71.406,58.537,8.86
"Class2",68,35.7,72.538,"R",28.77,67.872,78.754,10.492,76.598
"Class3",85,17.126,60.2,"M",88.291,34.747,73.24,36.749,11.14
"Class3",73,66.512,31.569,"I",90.574,NA,73.8,25.22,12.56
"Class3",62,63.373,87.531,"M",91.914,18.522,72.297,34.843,9.063
"Class1",94,46.093,14.735,"J",35.364,34.527,67.364,48.617,35.494
"Class1",96,46.573,77.525,"J",55.968,47.614,67.725,64.798,53.092
"Class2",61,38.263,72.454,"S",35.056,44.014,76.658,55.025,78.467
"Class1",91,46.263,4.077,"B",53.254,33.754,60.578,2.381,61.494
"Class1",94,46.383,85.242,"Y",51.064,17.929,66.066,44.287,45.793
"Class3",78,35.771,41.277,"T",90.109,20.03,72.911,24.141,14.001
"Class2",75,39.651,71.047,"S",21.551,59.744,NA,19.221,77.905
"Class3",84,34.182,59.146,"T",86.151,25.561,71.458,44.563,12.498
"Class3",79,66.672,46.887,"T",91.725,37.5,70.954,30.734,9.009
"Class2",65,33.632,72.558,"B",36.176,72.051,78.841,37.332,77.938
"Class3",88,46.975,79.08,"T",87,20.128,70.575,42.121,8.755
"Class3",85,66.265,63.933,"I",87.747,25.041,75.595,42.657,11.331
"Class3",85,51.004,77.119,"T",91.45,25.301,72.368,40.975,15.152
"Class3",90,58.483,62.554,"U",89.12,10.641,NA,37.893,10.906
"Class3",55,50.651,35.079,"M",85.727,35.284,72.325,41.315,15.601
"Class3",89,66.333,78.953,"O",89.741,34.821,68.832,50.839,15.609
"Class2",62,35.439,72.622,"R",34.734,71.7,78.665,78.228,77.354
"Class1",94,46.6,17.172,"Y",37.892,23.745,66.416,31.611,44.224
"Class1",87,47.11,7.248,"B",48.944,30.233,67.927,10.22,56.97
"Class3",80,4.654,63.302,"M",87.775,32.99,71.399,42.81,7.846
"Class1",85,46.113,18.247,"B",44.394,32.465,67.547,16.461,41.275
"Class2",59,38.534,72.416,"U",47.597,23.386,79.161,37.549,82.619
"Class2",71,36.863,71.016,"S",49.46,36.138,78.127,66.513,75.604
"Class2",51,35.431,73.287,"S",24.4,47.727,77.258,24.544,81.232
"Class3",63,54.482,79.893,"O",86.778,42.426,71.913,48.973,11
"Class3",55,35.968,71.351,"M",88.295,-6.01,69.218,31.605,15.404
"Class2",54,36.829,73.26,"R",46.35,73.268,76.588,56.747,82.112
