"TMN1","IOT2","UCB3","GZI4","HSG5","QKS6","Output16","SEM7","YDE8","ZLU9"
75.463,50.593,69.469,67.592,94.747,"W","Class1",-11.327,24,55.027
43.675,58.213,75.428,34.084,24.51,"P","Class2",50.855,68,58.866
57.111,65.144,69.574,70.413,89.044,"B","Class1",43.112,56,55.462
57.073,73.027,69.317,70.156,86.9,"W","Class1",10.211,28,59.222
52.15,23.943,85.563,47.51,35.143,"X","Class3",43.684,51,27.849
65.9,57.686,76.02,36.175,55.061,"P","Class2",31.03,36,58.68
52.001,23.672,84.954,76.669,36.216,"P","Class3",57.045,71,13.922
13.924,62.258,69.702,65.003,96.322,"B","Class1",13.066,19,62.504
79.946,56.69,90.335,34.885,102.52,"P","Class2",30.816,17,51.546
54.643,25.895,86.668,80.443,35.939,"X","Class3",87.042,53,34.476
53.329,42.317,69.284,71.442,83.451,"F","Class1",32.269,33,60.625
-21.479,38.76,69.856,71.087,97.541,"B","Class1",18.26,22,57.057
76.482,58.825,41.085,33.924,49.964,"P","Class2",33.563,57,50.807
41.041,37.287,85.238,81.165,36.653,"X","Class3",65.269,49,13.49
64.674,60.438,72.163,34.751,37.148,"W","Class2",27.462,41,54.774
42.635,NA,61.404,36.644,34.544,"A","Class3",85.614,68,39.036
68.97,50.752,69.883,70.194,89.981,"O","Class1",26.693,22,62.22
65.933,60.763,80.109,33.659,27.482,"W","Class2",17.67,68,52.311
39.201,53.582,69.269,66.971,86.698,"O","Class1",-1.025,18,55.729
79.723,59.065,76.172,34.335,47.135,"M","Class2",24.978,19,58.038
68.126,58.9,85.127,35.583,27.596,"W","Class2",45.232,21,51.707
69.624,59.094,68.837,33.286,55.425,"P","Class2",32.138,41,57.638
65.555,60.972,51.975,36.09,47.118,"Y","Class2",47.031,19,52.605
7.079,52.475,69.048,66.205,85.475,"F","Class1",34.807,56,62.709
61.468,60.072,89.365,33.13,10.957,"M","Class2",11.687,39,53.918
35.406,43.279,69.544,69.652,89.476,"W","Class1",29.06,66,55.306
74.492,59.374,52.855,36.317,25.239,"W","Class2",15.248,58,55.738
72.442,59.462,76.063,35.694,82.406,"M","Class2",24.157,22,53.302
53.908,NA,77.954,55.222,33.025,"X","Class3",77.063,50,21.285
54.2,19.063,77.59,68.112,NA,"Q","Class3",66.506,35,23.414
70.146,59.887,92.061,33.38,4.119,"W","Class2",35.098,36,59.057
37.798,42.208,83.989,59.572,37.061,"Q","Class3",67.051,43,15.717
26.817,35.725,69.101,70.779,84.215,"A","Class1",57.755,20,58.058
46.397,29.435,54.452,43.147,35.676,"Q","Class3",48.397,70,16.869
75.124,18.984,69.55,65.33,88.648,"A","Class1",8.996,38,54.359
64.687,60.229,75.41,34.203,87.017,"Y","Class2",50.241,43,52.306
63.935,57.352,72.408,34.393,42.884,"M","Class2",15.163,66,59.401
26.403,58.53,69.427,69.437,92.446,"A","Class1",-7.553,11,59.822
60.466,69.75,69.25,66.498,80.876,"A","Class1",35.257,54,54.196
51.401,60.626,64.275,34.345,31.595,"W","Class2",40.657,64,52.699
37.707,37.497,89.705,58.504,36.134,"X","Class3",48.544,51,33.897
114.3,55.22,69.228,69.964,90.894,"W","Class1",39.527,30,61.625
35.084,46.206,69.484,66.303,87.996,"B","Class1",14.09,20,55.521
69.687,59.659,65.051,35.859,62.005,"W","Class2",41.066,68,52.308
34.839,43.679,69.995,69.142,79.59,"B","Class1",26.268,13,54.513
51.577,43.077,81.309,39.73,35.127,"P","Class3",66.78,86,30.225
50.789,35.744,69.864,65.107,94.72,"B","Class1",40.212,29,62.989
45.082,NA,81.847,53.005,35.783,"X","Class3",68.394,72,35.156
38.09,37.916,69.345,71.498,86.431,"A","Class1",38.931,38,59.57
89.732,45.677,69.161,69.149,92.736,"O","Class1",21.102,10,60.153
47.165,38.997,49.153,78.339,35.605,"Q","Class3",85.724,56,33.694
29.532,47.502,69.879,71.388,93.333,"A","Class1",17.13,12,58.626
13.339,47.783,69.119,70.213,78.644,"W","Class1",25.964,47,57.799
59.818,58.154,69.244,69.404,84.383,"B","Class1",19.576,43,59.057
38.628,48.077,69.766,70.067,95.703,"B","Class1",8.081,14,60.313
73.283,59.03,72.008,36.663,50.797,"M","Class2",57.286,42,56.438
67.946,61.542,63.145,34.211,32.268,"W","Class2",39.229,18,55.134
37.413,54.322,69.023,67.061,93.083,"F","Class1",27.605,26,58.311
42.215,35.057,45.788,71.648,NA,"Q","Class3",77.542,61,21.636
49.301,59.707,90.654,36.663,29.349,"M","Class2",33.486,35,58.561
67.653,56.967,66.783,34.938,10.081,"D","Class2",39.747,65,52.782
74.941,61.147,75.696,36.061,-4.483,"W","Class2",33.697,63,50.856
83.266,59.657,53.33,36.97,54.674,"W","Class2",54.879,27,58.211
35.566,36.254,69.469,71.201,82.324,"O","Class1",54.594,32,55.606
51.123,57.936,58.737,40.51,36.072,"A","Class3",67.294,50,23.47
75.97,58.731,93.35,35.832,58.002,"M","Class2",35.647,44,56.311
77.383,NA,48.498,35.091,34.774,"Y","Class2",34.525,32,54.83
63.807,59.123,68.705,34.954,49.927,"P","Class2",50.878,31,59.998
64.727,58.937,78.192,35.958,0.527,"Y","Class2",44.042,24,56.33
52.564,38.332,60.891,66.077,34.938,"I","Class3",54.175,41,38.904
22.795,57.178,69.242,70.2,92.075,"W","Class1",30.947,38,55.421
29.637,29.56,69.651,71.491,85.882,"W","Class1",41.419,18,54.332
81.534,56.838,87.24,36.88,58.129,"M","Class2",29.417,50,51.715
63.367,58.125,39.893,36.858,35.548,"Y","Class2",33.136,63,53.419
42.522,59.118,41.981,36.176,71.515,"W","Class2",31.962,24,55.361
32.678,44.957,69.597,70.545,87.981,"W","Class1",36.122,30,59.022
54.715,29.366,79.984,73.513,NA,"P","Class3",57.885,72,40.053
16.152,49.951,69.794,66.318,NA,"A","Class1",5.23,25,55.727
17.706,80.007,69.659,65.098,NA,"W","Class1",43.022,16,56.32
35.204,NA,69.574,67.397,88.097,"O","Class1",31.937,42,61.323
49.913,44.942,82.225,67.954,35.919,"A","Class3",58.989,35,34.354
61.369,26.46,82.537,38.581,37.209,"Q","Class3",72.193,86,28.288
-11.882,40.835,69.798,67.493,88.58,"B","Class1",22.769,49,55.355
49.548,NA,74.724,66.444,34.974,"Q","Class3",67.033,45,41.213
58.635,56.674,72.019,34.406,32.208,"Y","Class2",41.298,36,52.378
81.242,35.408,69.068,69.103,90.727,"W","Class1",14.115,39,54.793
68.186,60.666,69.664,71.087,87.761,"A","Class1",-3.691,48,57.693
50.084,46.036,91.965,43.782,35.063,"A","Class3",62.181,38,36.028
36.358,41.185,75.528,79.274,35.676,"X","Class3",49.378,52,32.554
45.015,56.093,83.145,70.42,35.876,"I","Class3",37.464,39,33.898
34.581,68.751,69.602,65.033,80.757,"F","Class1",26.854,14,59.488
40.44,31.584,69.127,71.33,86.193,"F","Class1",27.885,23,57.937
32.671,65.677,69.616,71.168,83.633,"O","Class1",21.908,52,56.101
48.574,NA,72.686,82.428,35.605,"X","Class3",62.252,83,28.185
58.08,59.042,80.088,34.062,42.001,"P","Class2",16.554,37,51.069
49.641,9.126,46.739,52.319,34.242,"Q","Class3",31.201,66,13.188
4.757,42.196,69.782,65.821,87.292,"B","Class1",59.097,11,57.505
43.932,37.941,58.22,62.477,34.931,"I","Class3",63.387,62,16.208
30.454,57.454,69.497,68.249,94.974,"A","Class1",20.536,27,58.542
39.936,48.053,69.219,68.837,88.743,"A","Class1",47.038,28,54.201
39.228,42.846,62.395,82.195,35.784,"A","Class3",35.59,43,15.124
63.939,58.375,56.565,36.547,111.988,"P","Class2",36.157,21,54.362
69.19,35.988,60.016,46.851,35.367,"A","Class3",43.961,48,38.579
64.16,58.423,53.85,36.054,68.519,"P","Class2",20.889,22,59.36
20.481,61.585,69.886,67.062,95.058,"W","Class1",16.63,28,62.893
59.504,58.17,69.951,34.425,6.505,"M","Class2",36.812,34,55.747
19.531,55.422,69.923,70.036,83.819,"F","Class1",49.889,26,58.844
68.769,57.121,42.56,36.19,59.698,"P","Class2",33.298,57,59.986
38.397,68.825,69.582,70.592,92.111,"F","Class1",34.642,66,62.73
79.686,57.188,41.242,35.379,59.511,"P","Class2",22.953,61,59.766
45.87,29.336,74.564,43.29,36.118,"P","Class3",62.497,36,22.842
47.591,32.345,50.301,75.225,37.198,"X","Class3",88.589,48,39.685
63.654,57.871,48.527,33.211,45.728,"M","Class2",37.098,53,56.255
46.997,54.948,69.525,68.379,89.543,"F","Class1",16.928,63,57.217
59.482,41.474,68.15,70.53,33.199,"X","Class3",53.962,68,26.457
59.387,60.264,81.401,33.485,88.635,"P","Class2",48.463,38,56.362
55.485,32.701,63.226,72.935,33.955,"I","Class3",55.828,42,29.759
40.605,42.299,69.074,66.295,91.524,"F","Class1",22.611,19,55.672
12.627,74.636,69.19,71.373,82.338,"O","Class1",26.306,46,61.255
19.312,28.018,69.708,70.756,94.262,"W","Class1",34.975,19,62.072
33.498,36.701,69.216,67.532,90.222,"O","Class1",29.791,57,62.996
74.295,58.263,93.917,33.369,27.892,"W","Class2",50.606,52,57.596
76.836,58.651,86.499,33.675,41.447,"D","Class2",36.398,26,55.51
47,34.613,65.387,42.882,36.917,"P","Class3",61.105,74,17.737
44.763,23.21,45.256,47.273,36.122,"Q","Class3",89.833,86,37.853
61.191,34.67,64.222,60.57,36.045,"X","Class3",52.284,66,40.955
53.575,53.214,69.421,67.423,93.045,"O","Class1",21.058,29,56.485
80.442,57.989,75.506,34.028,31.321,"W","Class2",40.699,32,55.383
83.156,48.337,69.754,65.128,103.646,"O","Class1",34.164,29,59.012
64.334,58.351,83.14,33.721,1.014,"Y","Class2",23.848,57,53.372
18.833,57.627,69.128,66.084,82.488,"F","Class1",14.283,34,57.555
44.287,39.898,83.976,49.199,36.265,"A","Class3",71.483,88,21.53
24.671,71.478,69.183,67.701,79.803,"W","Class1",0.867,32,62.125
41.913,28.887,63.941,83.758,35.146,"P","Class3",62.237,86,27.551
79.118,57.496,66.205,35.495,72.167,"P","Class2",48.833,34,54.705
90.24,59.511,55.912,36.611,47.467,"P","Class2",46.454,60,50.105
67.856,59.793,76.621,34.128,13.711,"D","Class2",16.902,22,53.906
64.276,63.148,76.829,34.782,NA,"W","Class2",38.371,57,58.105
-7.513,62.057,69.193,68.971,85.148,"W","Class1",42.196,51,56.429
32.676,39.443,54.053,79.061,36.084,"P","Class3",87.274,51,17.401
58.381,56.621,69.187,69.895,89.157,"O","Class1",10.952,48,55.04
50.826,43.394,69.206,66.36,84.766,"B","Class1",41.85,30,60.155
46.236,NA,51.411,34.508,35.718,"Q","Class3",76.215,74,17.858
35.626,44.668,69.922,68.412,89.687,"B","Class1",25.457,37,61.445
46.347,41.782,69.787,66.202,84.412,"O","Class1",30.778,68,54.322
73.478,59.168,59.889,33.655,42.514,"Y","Class2",32.518,56,57.936
15.81,44.766,69.193,65.782,81.478,"O","Class1",44.263,57,61.802
48.483,25.462,67.486,65.952,36.025,"A","Class3",101.448,80,12.068
69.111,60.409,43.883,33.907,41.145,"M","Class2",25.414,40,56.555
70.34,58.334,72.138,33.89,-14.802,"D","Class2",29.214,33,56.602
29.227,26.722,69.39,68.569,89.498,"O","Class1",23.357,59,59.279
68.515,NA,46.273,34.365,45.089,"Y","Class2",51.861,58,59.752
59.911,59.402,39.389,35.077,63.509,"W","Class2",18.214,45,58.19
19.345,37.733,69.02,65.983,88.217,"A","Class1",14.395,69,62.762
52.342,51.151,69.404,69.063,92.255,"W","Class1",40.653,13,56.154
50.434,56.026,69.94,71.161,85.48,"A","Class1",36.961,14,59.273
43.231,50.503,69.588,70.545,82.272,"W","Class1",13.845,45,55.586
41.868,37.418,79.978,64.158,35.621,"P","Class3",77.362,74,17.187
4.826,52.465,69.76,71.604,100.783,"W","Class1",28.238,36,54.41
47.964,70.134,69.312,68.676,92.717,"B","Class1",25.332,67,57.019
51.078,43.947,57.66,46.291,36.503,"P","Class3",57.98,68,15.296
28.609,61.239,69.893,69.527,87.258,"A","Class1",30.205,58,59.601
70.239,58.17,76.299,35.202,-0.898,"P","Class2",38.647,56,54.624
64.754,59.462,44.852,35.185,57.025,"Y","Class2",52.048,59,55.796
62.837,58.704,77.327,34.675,8.223,"D","Class2",26.443,33,55.93
48.823,31.503,71.445,82.533,35.223,"A","Class3",71.637,80,31.665
75.036,46.227,69.386,66.366,87.529,"O","Class1",12.286,60,61.114
50.638,39.639,82.195,56.43,35.571,"I","Class3",37.278,61,41.155
65.168,58.672,82.153,33.153,58.657,"P","Class2",46.83,24,50.61
55.972,30.144,58.647,80.09,36.667,"A","Class3",47.983,66,14.751
53.968,34.895,60.348,74.661,35.789,"P","Class3",71.229,69,37.569
50.048,40.925,56.675,63.244,34.535,"Q","Class3",102.255,48,27.362
76.732,60.878,84.522,36.289,52.78,"W","Class2",35.311,21,51.268
78.503,74.264,69.031,66.575,87.036,"B","Class1",28.722,17,58.374
37.791,30.636,62.701,39.643,34.27,"I","Class3",112.553,64,41.185
71.759,59.41,67.195,35.503,37.802,"D","Class2",14.637,58,52.957
51.124,18.202,56.428,75.624,36.02,"A","Class3",59.202,49,23.739
40.595,43.503,66.332,50.429,35.99,"P","Class3",48.157,73,29.229
68.639,56.022,69.137,65.884,80.153,"B","Class1",18.47,48,59.91
-9.721,64.865,69.533,69.821,89.973,"F","Class1",13.699,15,61.164
41.684,48.82,56.918,73.471,35.373,"X","Class3",66.597,37,21.098
34.001,51.295,89.092,60.01,34.9,"X","Class3",65.666,54,25.988
68.315,58.934,86.146,34.094,38.97,"D","Class2",45.53,26,58.552
22.114,49.474,69.9,71.967,89.377,"B","Class1",30.299,23,55.254
44.486,55.471,69.221,66.849,79.246,"O","Class1",18.56,58,61.178
77.625,43.301,69.091,71.494,98.874,"F","Class1",1.482,43,61.016
64.809,60.957,90.489,36.559,54.33,"P","Class2",38.415,39,51.692
59.797,58.861,70.702,35.353,23.529,"P","Class2",41.042,49,54.6
69.482,58.353,83.59,36.525,68.966,"M","Class2",22.326,33,53.994
60.137,35.896,75.971,36.506,36.508,"A","Class3",38.903,72,21.934
52.793,NA,46.32,34.285,35.383,"I","Class3",66.746,46,14.979
38.63,47.903,69.508,69.701,84.775,"A","Class1",35.321,30,56.175
66.716,38.242,69.718,71.354,83.881,"B","Class1",47.425,11,57.399
30.031,24.708,69.33,67.241,78.057,"O","Class1",7.737,29,61.43
38.662,59.919,69.87,71.839,93.766,"A","Class1",44.951,24,55.07
61.642,60.046,52.834,36.643,56.15,"Y","Class2",34.875,29,50.233
56.656,37.008,67.225,82.456,36.902,"Q","Class3",60.185,83,30.84
46.411,51.401,75.048,53.382,34.79,"X","Class3",45.031,64,32.093
43.219,27.078,91.403,83.962,35.065,"Q","Class3",52.172,74,14.759
48.369,NA,69.547,66.194,87.698,"W","Class1",22.783,62,59.754
57.213,44.894,45.777,70.233,35.103,"A","Class3",97.965,70,27.521
31.393,51.843,69.943,65.126,91.042,"O","Class1",16.235,60,55.86
44.282,16.274,83.895,53.785,35.617,"I","Class3",62.522,66,37.135
74.477,59.576,84.79,36.983,22.241,"W","Class2",46.237,44,56.128
61.699,62.988,42.981,33.49,36.79,"P","Class2",43.001,48,52.177
33.604,49.86,69.257,71.962,91.324,"O","Class1",28.344,22,55.38
38.381,27.571,63.895,53.735,35.47,"X","Class3",68.109,74,40.615
24.548,43.976,69.03,66.503,95.109,"O","Class1",42.176,65,55.87
86.748,58.29,58.815,34.899,2.686,"M","Class2",40.843,35,56.183
74.87,57.28,71.732,33.123,12.328,"D","Class2",35.082,32,55.415
56.437,37.505,69.743,70.302,90.577,"W","Class1",24.681,30,60.002
35.325,18.212,50.078,78.931,35.182,"X","Class3",77.147,65,28.896
25.775,49.332,69.962,71.389,77.71,"B","Class1",23.475,52,62.853
69.279,57.869,90.498,36.735,83.908,"M","Class2",36.407,17,50.52
68.942,58.706,79.4,33.697,-9.478,"D","Class2",36.512,62,53.168
45.121,44.397,43.572,36.866,37.044,"I","Class3",50.058,80,33.541
62.87,41.028,72.433,64.351,34.299,"X","Class3",78.895,49,27.89
71.226,59.268,88.343,33.486,65.592,"Y","Class2",29.481,40,52.383
32.605,45.889,69.996,70.041,89.402,"W","Class1",42.02,25,58.836
68.83,57.638,86.756,36.501,44.209,"M","Class2",58.147,45,53.058
79.046,59.582,60.654,35.083,70.197,"D","Class2",39.239,46,55.297
39.494,33.679,59.79,63.087,35.012,"A","Class3",18.592,73,36.364
11.867,50.647,69.947,68.038,NA,"O","Class1",24.837,16,54.169
43.231,40.264,74.565,38.077,37.586,"I","Class3",49.418,54,30.798
52.55,52.753,69.843,65.268,88.306,"B","Class1",18.345,52,56.72
47.577,50.701,47.983,55.284,NA,"I","Class3",40.578,69,19.959
44.234,26.951,47.53,64.078,34.257,"Q","Class3",81.598,35,28.581
47.553,59.398,41.26,35.774,46.404,"P","Class2",32.428,33,54.509
54.52,32.658,85.733,46.603,35.821,"X","Class3",45.362,36,34.789
48.939,61.152,69.673,67.082,82.324,"A","Class1",44.311,29,59.992
26.571,72.323,69.645,71.809,83.545,"O","Class1",11.084,19,59.042
21.304,50.552,69.614,71.281,89.327,"F","Class1",14.788,61,55.095
62.927,39.326,85.842,66.04,NA,"Q","Class3",47.544,40,12.159
33.037,24.889,66.333,75.324,35.618,"I","Class3",80.448,63,22.46
75.426,56.98,69.578,69.596,87.818,"W","Class1",12.451,54,62.466
57.61,30.699,76.061,71.203,34.335,"A","Class3",45.089,64,14.702
67.439,58.487,62.7,35.353,65.603,"Y","Class2",17.208,59,55.561
62.912,59.531,89.859,34.19,67.79,"P","Class2",23.559,53,57
43.387,54.205,67.613,72.576,34.988,"P","Class3",77.403,40,25.698
43.022,27.652,63.689,53.752,34.699,"I","Class3",73.824,71,15.625
46.686,40.255,74.206,53.617,35.854,"P","Class3",93.396,71,22.757
3.97,43.181,69.798,70.625,90.421,"F","Class1",-14.447,67,55.569
48.802,65.239,69.817,65.422,93.819,"O","Class1",39.484,66,60.276
56.865,26.361,69.193,64.707,35.031,"I","Class3",61.347,81,29.745
61.792,34.364,69.796,65.164,94.279,"B","Class1",31.245,47,55.307
67.546,59.45,58.181,33.19,90.61,"D","Class2",46.637,38,51.399
26.24,43.538,69.429,69.794,NA,"F","Class1",25.362,25,57.668
-6.109,36.428,69.881,65.001,94.089,"A","Class1",17.998,35,55.936
59.556,65.76,69.301,71.456,91.601,"W","Class1",30.324,31,54.04
40.607,57.97,48.438,35.697,33.538,"W","Class2",35.703,47,51.961
59.561,NA,69.114,71.836,82.203,"B","Class1",21.437,58,54.504
26.654,77.394,69.125,66.432,90.345,"A","Class1",6.397,43,55.234
59.33,60.302,66.057,33.187,60.878,"P","Class2",27.975,30,51.995
75.838,59.303,71.398,34.997,33.707,"M","Class2",58.367,65,53.045
69.594,58.783,39.741,33.061,48.419,"Y","Class2",47.367,20,58.788
57.526,58.457,67.847,35.188,42.159,"D","Class2",46.892,60,50.686
46.22,60.21,69.749,68.401,NA,"W","Class1",64.264,31,55.622
50.149,11.556,47.994,78.126,34.856,"A","Class3",62.565,83,20.038
68.668,60.091,83.62,35.824,22.105,"P","Class2",28.979,57,56.76
41.105,45.984,90.929,39.431,35.682,"X","Class3",25.667,78,17.229
50.449,34.843,78.654,38.472,35.554,"A","Class3",57.711,43,16.03
73.82,56.151,39.689,35.667,53.593,"M","Class2",30.524,68,51.962
59.531,58.785,72.747,36.549,35.997,"M","Class2",39.134,19,53.982
-0.68,37.582,69.047,68.918,90.458,"F","Class1",5.024,45,55.312
31.467,30.241,69.368,68.405,80.428,"O","Class1",59.034,66,59.678
77.21,57.822,89.29,33.101,13.776,"W","Class2",33.518,61,50.867
41.614,36.019,50.846,72.868,34.422,"A","Class3",41.153,59,41.818
72.661,61.253,78.305,36.16,-17.008,"D","Class2",45.281,64,56.229
50.748,57.833,71.131,69.233,34.654,"A","Class3",59.961,71,36.406
12.026,26.151,69.483,71.308,86.407,"A","Class1",21.547,48,59.532
90.683,36.205,69.359,66.223,NA,"O","Class1",6.087,14,59.87
51.676,27.057,86.893,55.645,34.97,"Q","Class3",63.166,58,39.577
35.42,20.541,74.266,44.326,37.022,"I","Class3",65.485,87,27.32
44.971,36.774,69.247,71.395,86.964,"O","Class1",26.105,38,61.989
48.544,26.435,73.203,55.34,35.946,"A","Class3",61.796,36,27.538
56.152,60.727,44.593,36.942,61.503,"D","Class2",22.892,54,56.549
38.006,30.811,75.935,71.26,34.994,"P","Class3",52.92,63,15.379
67.776,58.875,61.43,36.04,71.66,"W","Class2",11.283,46,50.939
68.077,56.551,84.005,36.763,20.956,"W","Class2",47.654,41,54.448
68.695,54.505,69.426,70.101,97.289,"W","Class1",43.971,41,58.504
49.646,58.39,80.477,77.59,35.524,"X","Class3",61.699,39,20.217
45.041,NA,56.655,34.259,28.354,"Y","Class2",34.484,46,57.061
56.855,57.419,69.259,36.963,47.252,"M","Class2",55.149,22,58.737
65.242,59.911,87.781,35.959,33.883,"P","Class2",29.08,38,56.106
68.934,58.486,73.835,34.052,37.262,"D","Class2",28.936,50,59.349
19.078,49.158,69.003,69.161,94.202,"O","Class1",44.025,69,61.893
55.295,39.633,61.39,61.176,35.87,"P","Class3",31.234,74,41.41
-11.476,50.013,69.589,65.245,95.624,"A","Class1",40.491,68,54.006
44.094,49.944,45.037,53.592,34.548,"A","Class3",65.982,43,22.63
49.232,66.175,69.45,69.094,87.823,"B","Class1",-16.009,58,61.213
20.47,42.7,69.025,65.564,88.782,"B","Class1",47.044,25,54.808
9.35,40.414,69.843,70.001,88.971,"O","Class1",37.897,56,56.596
19.682,42.987,69.547,68.844,94.868,"A","Class1",53.276,65,61.981
53.419,32.979,78.982,44.546,34.502,"I","Class3",50.072,83,24.4
51.998,11.524,64.55,75.194,35.763,"I","Class3",51.684,45,27.888
2.453,53.932,69.675,67.242,NA,"O","Class1",4.555,10,54.099
59.633,60.09,56.869,34.933,73.633,"M","Class2",39.472,66,56.55
23.382,51.303,69.812,71.167,89.719,"F","Class1",15.2,24,60.483
28.498,60.8,69.988,67.81,84.569,"F","Class1",26.674,37,59.454
49.033,27.164,70.927,69.088,34.377,"P","Class3",24.122,42,31.131
81.546,58.151,50.453,34.623,69.612,"Y","Class2",38.413,64,54.848
43.271,65.993,69.815,69.459,85.647,"O","Class1",31.357,66,60.979
70.723,61.14,57.321,35.335,6.911,"P","Class2",26.207,41,53.651
79.113,57.641,78.004,34.025,28.524,"P","Class2",21.864,63,50.841
61.281,58.855,43.971,36.881,73.35,"Y","Class2",17.937,29,58.702
43.974,48.347,69.222,68.333,90.854,"W","Class1",1.985,49,54.209
53.347,56.424,69.739,66.02,95.095,"F","Class1",32.526,65,55.182
57.985,60.925,43.714,34.048,42.578,"M","Class2",50.646,35,58.002
23.312,25.483,69.954,69.429,87.726,"W","Class1",15.784,26,54.509
-18.068,59.496,69.783,70.783,85.343,"O","Class1",23.985,63,57.956
55.829,60.059,62.105,36.866,82.804,"M","Class2",42.506,21,52.11
56.247,60.051,58.942,33.854,31.235,"M","Class2",50.916,36,50.28
41.208,63.983,69.018,66.642,92,"B","Class1",31.405,51,58.437
43.929,40.1,54.58,48.391,35.642,"X","Class3",70.994,39,41.365
5.353,56.386,69.882,67.999,86.726,"O","Class1",35.669,57,58.347
27.675,43.4,69.752,67.161,91.205,"O","Class1",42.686,37,58.587
