"UMN1","QLW2","MEG3","DAI4","Output15","TJK5","CAB6","VIU7","LHS8","FIE9","HQP10"
59.671,74.005,48.247,58.432,"Class4",44,77.467,"Q",89.888,"U",22.257
52.458,86.289,51.436,71.158,"Class2",96,68.723,"L",51.422,"S",48.34
96.035,45.413,52.796,56.311,"Class3",10,71.062,"P",1.304,"X",26.187
94.309,45.823,43.834,44.791,"Class3",10,64.228,"A",1.579,"B",41.607
51.524,88.967,81.843,63.813,"Class1",7,56.335,"V",18.199,"B",8.931
87.752,44.262,34.609,51.092,"Class3",12,41.064,"P",1.625,"S",24.392
65.452,80.288,4.595,51.361,"Class4",31,79.626,"J",79.532,"F",59.739
52.321,39.43,41.731,46.96,"Class1",26,89.462,"P",18.232,"X",8.517
65.788,91.823,35.88,45.816,"Class4",24,73.34,"P",82.168,"P",-0.642
68.605,89.021,14.751,90.676,"Class4",48,60.838,"P",46.898,"Q",58.604
31.174,83.854,26.2,67.326,"Class2",94,72.585,"Y",58.905,"V",NA
92.757,46.474,33.097,51.202,"Class3",10,62.593,"W",1.056,"M",28.806
91.209,46.455,52.956,56.484,"Class3",11,14.588,"F",1.284,"B",19.185
63.183,77.597,60.483,55.982,"Class4",36,82.681,"P",50.773,"Q",35.844
54.794,79.918,33.107,66.537,"Class2",66,78.544,"A",51.71,"P",79.769
51.936,34.779,36.573,36.092,"Class1",21,73.154,"V",26.108,"X",12.45
64.443,85.234,30.847,24.6,"Class4",30,70.711,"Y",47.9,"Q",39.066
51.524,37.158,64.434,51.39,"Class1",19,78.535,"V",15.028,"F",0.804
47.839,73.54,59.095,68.178,"Class2",89,71.991,"V",51.347,"V",83.108
51.377,65.13,84.852,1.766,"Class5",82,79.437,"P",75.763,"Z",30.143
63.278,76.587,10.575,39.071,"Class4",6,62.963,"D",90.28,"F",53.182
77.854,82.789,53.462,65.202,"Class2",95,82.49,"H",56.915,"V",77.202
95.7,46.727,49.301,64.76,"Class3",11,24.595,"A",1.014,"V",32.693
64.823,91.36,48.284,30.677,"Class4",44,63.39,"J",87.882,"Q",63.077
51.095,62.964,70.893,0.901,"Class5",83,77.5,"P",59.751,"Z",20.046
91.998,46.871,50.791,40.68,"Class3",11,68.318,"A",1.939,"B",26.359
51.022,55.869,53.511,1.386,"Class5",82,79.95,"Q",85.827,"F",43.079
51.523,58.689,67.807,1.088,"Class5",82,78.433,"Q",84.124,"P",24.922
50.864,70.726,52.7,2.242,"Class5",82,80.698,NA,72.557,"Z",35.513
51.118,26.53,50.291,53.061,"Class1",19,79.399,"P",9.425,"C",21.335
45.35,75.228,61.176,68.376,"Class2",59,72.093,NA,58.538,"V",47.545
65.864,80.465,23.228,55.528,"Class4",8,64.819,"Y",62.873,"J",91.054
93.622,44.729,31.912,48.301,"Class3",10,55.092,"W",1.083,"M",18.876
87.611,80.737,27.193,67.413,"Class2",61,80.113,"H",52.602,"W",100.249
48.358,79.834,13.839,70.32,"Class2",63,52.172,NA,55.592,"S",75.009
52.874,16.105,86.932,36.473,"Class1",29,88.925,"V",25.354,"F",13.119
93.212,45.518,57.207,37.442,"Class3",10,74.488,"P",1.014,"M",23.042
56.282,79.85,28.313,15.748,"Class1",28,68.33,"M",15.687,"C",9.357
89.228,44.437,39.395,50.085,"Class3",10,73.825,"W",1.473,"S",30.609
50.147,70.719,93.981,70.167,"Class1",23,86.988,"V",22.745,"X",8.806
51.187,64.258,35.129,2.423,"Class5",83,80.2,"Q",76.931,"I",11.655
93.971,44.51,44.331,46.399,"Class3",11,72.533,"Y",1.163,"M",30.768
51.838,72.619,50.541,1.605,"Class5",83,78.628,"Q",69.601,"A",55.115
63.536,80.802,40.577,37.803,"Class4",14,79.275,"Y",69.357,"U",37.883
50.551,54.659,65.388,3.048,"Class5",83,84.023,"P",59.301,"A",45.941
63.251,91.06,18.436,53.051,"Class4",8,91.338,"D",73.636,"F",72.618
88.676,45.402,31.106,54.122,"Class3",12,42.66,"A",1.138,"M",28.332
66.869,83.475,6.218,54.027,"Class4",17,110.005,"P",68.31,"F",29.16
92.424,44.51,36.534,39.218,"Class3",12,68.509,NA,1.319,"M",34.196
93.298,45.222,35.368,55.075,"Class3",11,28.754,"F",1.191,"S",24.717
92.538,44.242,45.535,59.012,"Class3",12,74.471,"W",1.535,"B",35.381
62.171,74.503,52.825,71.527,"Class4",21,72.643,"Q",95.334,"F",49.631
52.256,46.287,99.603,68.229,"Class1",27,81.569,"M",22.641,"W",NA
53.73,87.008,44.799,66.334,"Class2",79,72.539,"Y",54.681,"V",29.389
63.026,76.356,20.463,64.578,"Class4",36,88.203,"J",37.674,"P",51.858
66.12,77.648,14.637,77.498,"Class4",19,45.581,"D",40.875,"J",66.337
53.374,57.006,41.048,77.664,"Class1",29,41.362,"A",24.454,"F",2.395
66.505,75.47,31.076,44.43,"Class4",23,84.996,"P",69.65,"F",82.113
53.446,26.937,63.741,86.312,"Class1",31,67.149,"P",18.945,"W",25.435
64.951,73.135,42.186,70.659,"Class2",70,85.745,"V",53.738,"S",17.685
50.394,73.852,54.761,2.222,"Class5",83,81.356,"J",87.436,"Z",35.106
88.263,44.678,47.787,53.175,"Class3",11,89.602,"Y",1.203,"V",18.782
68.245,86.659,44.065,54.143,"Class4",4,76.537,"P",36.711,"J",52.13
69.065,93.794,10.027,35.207,"Class4",38,72.567,"Y",63.283,"J",-3.967
50.567,64.365,69.127,2.111,"Class5",82,85.513,"W",61.007,"I",NA
52.583,78.469,21.427,65.885,"Class2",79,63.749,"L",51.123,"P",63.904
94.799,45.349,46.802,55.05,"Class3",11,62.831,"Y",1.215,"B",15.666
45.117,86.415,23.279,68.743,"Class2",94,79.79,"V",51.519,"S",101.479
54.082,55.146,97.502,36.831,"Class1",18,79.377,"P",9.365,"B",10.647
53.053,81.113,48.309,10.544,"Class1",9,75.699,"M",21.321,"B",-0.571
91.608,45.83,41.069,50.116,"Class3",12,63.684,"F",1.715,"M",27.506
51.741,14.99,67.07,38.177,"Class1",14,80.505,"M",12.976,"W",8.834
50.188,50.652,71.748,2.306,"Class5",82,75.878,"Q",65.173,"F",33.56
94.089,46.683,32.865,44.208,"Class3",10,91.836,"W",1.237,"S",22.507
64.996,87.71,29.094,31.932,"Class4",14,58.685,"J",94.39,"J",59.39
93.054,46.88,38.92,43.627,"Class3",11,78.068,"Y",1.658,"M",26.252
63.38,73.979,29.398,51.909,"Class4",32,72.593,"D",72.172,"Q",NA
34.865,84.516,13.828,67.806,"Class2",58,50.003,"A",54.849,"S",49.409
92.25,44.452,53.444,45.977,"Class3",12,67.438,"Y",1.822,"X",37.68
62.839,86.187,30.862,44.296,"Class4",26,64.341,"Q",49.857,"U",70.16
91.661,46.26,57.297,41.168,"Class3",12,70.706,"A",1.589,"X",33.039
65.201,86.651,37.046,43.13,"Class4",41,64.235,"Q",99.581,"J",53.235
52.131,33.909,73.865,67.646,"Class1",34,68.522,"M",12.12,"W",7.855
90.874,46.349,45.89,65.574,"Class3",10,58.115,"W",1.424,"S",19.729
51.475,65.401,57.282,1.645,"Class5",83,80.619,"Q",73.612,"P",0.156
52.03,25.505,32.292,39.226,"Class1",22,76.915,"M",17.859,"C",12.234
64.042,78.594,43.597,60.853,"Class4",29,88.308,"P",71.928,"P",55.495
54.502,42.865,65.76,78.364,"Class1",7,59.993,"A",20.258,"F",12.905
63.309,83.506,39.642,46.532,"Class4",25,69.182,"D",54.247,"U",72.196
89.971,44.963,55.76,48.424,"Class3",10,93.06,"P",1.077,"V",30.688
52.158,84.475,18.782,67.559,"Class2",52,80.908,NA,51.096,"S",102.061
31.156,84.265,38.788,63.755,"Class2",78,76.616,"L",56.731,"W",70.539
50.229,10.691,59.763,49.704,"Class1",22,86.866,NA,15.538,"W",12.066
52.137,32.617,38.261,52.971,"Class1",30,43.514,"P",9.916,"W",6.365
36.237,72.197,51.964,68.055,"Class2",58,66.517,"Y",58.32,"V",105.928
92.433,44.808,34.656,60.02,"Class3",10,55.668,"Y",1.62,"X",25.736
91.674,44.335,37.08,59.019,"Class3",10,75.848,"F",1.28,"B",30.715
64.442,93.406,59.649,58.712,"Class4",24,67.234,"D",80.079,"P",101.046
91.929,45.043,58.07,56.151,"Class3",10,53.006,"P",1.756,"M",20.751
41.293,73.026,8.241,65.878,"Class2",69,63.819,"V",52.701,"P",58.702
63.798,74.153,18.294,41.05,"Class4",28,75.685,"J",44.815,"Q",44.619
34.525,77.546,18.72,69.954,"Class2",92,65.024,"V",59.049,"A",41.896
89.844,45.77,34.426,33.33,"Class3",11,72.522,"A",1.014,"S",21.789
51.726,79.833,64.628,62.649,"Class2",72,75.667,"A",54.404,"V",111.967
51.4,70.254,78.323,2.608,"Class5",82,79.04,"J",84.824,"F",38.718
64.648,91.865,7.028,16.75,"Class4",45,55.105,"Q",77.706,"U",41.722
91.019,46.863,52.196,47.255,"Class3",12,105.228,"Y",1.26,"V",17.353
61.488,85.151,54.126,37.839,"Class4",29,62.357,"P",70.602,"P",-14.642
63.229,77.35,26.309,41.945,"Class4",43,72.319,"J",89.676,"U",59.333
51.653,73.8,52.316,1.927,"Class5",82,79.508,"Q",83.395,"Z",13.199
51.39,50.613,76.92,2.382,"Class5",82,80.261,"Q",75.989,"F",59.08
63.939,76.461,44.688,109.901,"Class4",13,72.002,"Y",65.967,"J",38.649
68.523,88.026,61.161,16.801,"Class4",46,83.063,"Y",80.192,"U",100.764
63.604,94.834,23.834,75.561,"Class4",39,75.941,"Y",49.081,"J",54.767
49.687,60.023,71.277,2.569,"Class5",82,79.241,NA,89.265,"Z",29.803
92.515,45.371,36.198,46.504,"Class3",12,45.627,"P",1.264,"V",28.677
91.809,46.723,49.213,50.063,"Class3",11,64.272,"W",1.73,"S",22.409
54.91,10.396,72.889,38.989,"Class1",34,72.813,"U",25.813,"C",13.759
88.773,45.472,44.167,53.801,"Class3",10,29.499,"A",1.029,"V",30.149
92.049,45.185,39.773,49.613,"Class3",11,48.384,"P",1.1,"V",30.608
51.085,62.633,79.987,1.982,"Class5",83,76.373,"P",71.679,"P",39.421
54.164,80.703,30.452,73.523,"Class1",25,69.097,"M",11.342,"F",10.809
50.942,79.685,56.515,62.958,"Class2",79,87.012,"A",59.535,"P",63.99
89.985,46.256,33.529,57.774,"Class3",11,54.258,"W",1.525,"S",NA
94.208,44.331,34.99,51.884,"Class3",10,100.34,"Y",1.967,"M",23.507
50.246,59.099,27.842,0.733,"Class5",82,75.128,"J",66.496,"P",NA
50.927,62.907,30.724,1.147,"Class5",83,81.702,"J",60.359,"I",47.936
53.803,10.193,96.788,33.444,"Class1",33,65.581,"M",11.208,"B",9.801
94.415,44.946,33.137,50.838,"Class3",11,50.416,"A",1.414,"M",26.13
33.342,77.45,51.584,64.006,"Class2",71,75.476,"Y",56.881,"S",57.803
91.889,44.138,47.689,38.214,"Class3",10,28.219,"A",1.766,"V",23.417
94.015,46.736,31.889,48.458,"Class3",10,104.284,"P",1.445,"S",30.054
49.484,65.526,30.189,1.842,"Class5",83,81.186,"J",76.77,"P",31.794
64.154,77.131,4.475,44.959,"Class4",26,56.925,"P",43.85,"P",55.1
39.275,79.271,34.275,62.725,"Class2",80,72.844,"Y",55.09,"S",68.039
67.012,81.452,40.43,50.714,"Class4",26,87.499,"Y",95.437,"P",23.657
51.151,71.111,33.151,2.198,"Class5",82,83.28,"J",80.765,"P",43.163
92.041,45.125,56.525,49.609,"Class3",10,76.055,"Y",1.11,"B",21.931
38.28,76.433,38.016,67.869,"Class2",76,55.648,"A",57.368,"A",69.075
52.446,20.243,99.284,50.316,"Class1",31,56.075,"P",16.41,"B",15.415
93.41,45.644,39.255,63.614,"Class3",11,53.496,"F",1.068,"X",37.318
65.952,76.584,38.373,87.072,"Class4",19,92.311,"P",70.776,"P",52.572
51.505,86.791,67.569,68.141,"Class2",74,87.758,"L",58.096,"V",42.429
60.637,79.803,29.002,48.295,"Class4",15,66.927,"D",55.902,"P",66.65
52.806,56.871,70.83,40.365,"Class1",22,64.196,"A",17.485,"X",6.378
65.606,84.663,12.185,46.667,"Class4",19,57.551,"P",99.784,"J",46.808
39.349,78.765,49.153,65.084,"Class2",71,81.13,"Y",54.807,"S",47.217
55.675,29.414,50.612,78.875,"Class1",17,44.196,"U",11.502,"F",11.845
53.697,92.556,87.326,21.252,"Class1",30,74.547,"A",12.869,"F",4.254
92.276,45.189,35.226,46.761,"Class3",12,82.901,"A",1.811,"B",25.767
67.637,76.135,23.513,67.372,"Class2",67,59.872,NA,56.854,"A",-1.637
25.882,87.076,20.026,70.268,"Class2",85,79.444,"Y",51.31,"V",37.477
48.863,49.822,97.709,19.405,"Class1",20,60.816,"A",13.355,"X",7.201
90.553,46.866,30.285,54.986,"Class3",12,76.65,"Y",1.643,"S",24.554
71.1,81.201,62.112,66.365,"Class2",77,70.746,"V",53.347,"P",70.24
90.584,45.112,38.854,49.3,"Class3",10,84.164,"P",1.828,"V",30.522
63.526,89.274,40.31,31.673,"Class4",38,55.359,NA,51.758,"U",69.674
52.602,53.258,70.696,54.679,"Class1",8,77.236,"M",9.569,"B",2.266
62.992,90.408,22.268,100.524,"Class4",22,76.79,"J",82.343,"Q",27.276
53.509,48.214,43.453,37.75,"Class1",18,73.778,"U",18.075,"B",NA
90.332,45.274,47.91,56.466,"Class3",11,73.778,"W",1.115,"S",29.216
91.071,44.997,52.554,37.792,"Class3",11,43.939,"W",1.172,"V",32.496
51.379,58.427,43.239,2.555,"Class5",83,78.429,NA,79.784,"A",44.972
53.533,78.986,40.497,64.775,"Class2",96,93.281,"V",58.33,"V",94.252
51.629,51.946,46.106,3.063,"Class5",82,77.555,"W",64.504,"F",42.553
53.723,41.67,82.775,60.1,"Class1",33,88.634,"P",10.032,"C",10.407
51.025,40.081,13.938,49.742,"Class1",12,55.159,"M",22.626,"F",14.647
92.862,45.456,49.181,52.424,"Class3",10,72.09,"F",1.096,"X",42.475
53.506,75.125,94.95,63.597,"Class1",25,91.977,"M",22.339,"C",-3.501
31.41,77.395,8.668,68.53,"Class2",65,69.663,"H",51.018,"V",55.187
50.797,67.915,68.272,1.857,"Class5",82,77.861,"P",64.989,"I",32.11
50.155,76.769,39.042,2.213,"Class5",82,80.393,"L",70.527,"Z",48.675
51.792,68.083,26.483,1.623,"Class5",82,79.655,"Q",80.712,"Z",37.999
69.829,81.405,59.526,61.081,"Class2",75,50.638,"Y",53.358,"V",45.094
96.805,45.013,52.733,52.908,"Class3",10,17.633,"W",1.564,"S",26.529
50.075,73.232,82.541,2.734,"Class5",82,79.497,"Q",79.675,"P",33.731
39.589,78.772,31.455,67.778,"Class2",82,71.339,"V",56.526,"S",28.316
54.979,83.277,23.707,68.293,"Class2",93,79.695,"V",56.922,"V",73.058
54.748,62.263,25.764,60.269,"Class1",13,76.548,"V",17.299,"W",8.928
92.584,44.169,40.748,55.571,"Class3",12,85.065,"F",1.591,"X",NA
45.629,81.797,40.176,68.144,"Class2",65,68.13,"A",53.376,"A",53.639
53.464,74.824,18.558,70.127,"Class2",55,73.356,"L",53.391,"V",0.255
65.443,75.08,59.779,64.035,"Class4",34,72.948,NA,75.37,"J",42.996
52.894,47.272,53.707,41.661,"Class1",22,60.662,"V",11.709,"X",8.055
53.934,43.145,38.209,52.691,"Class1",21,75.643,"V",21.609,"F",9.958
92.876,44.401,47.589,54.203,"Class3",12,50.645,"A",1.144,"S",37.928
55.059,10.98,85.193,58.452,"Class1",8,81.57,"V",15.56,"W",12.003
50.767,59.017,83.33,1.814,"Class5",83,74.246,"L",77.963,"F",54.768
62.21,77.694,6.239,73.377,"Class4",41,83.646,"D",72.834,"P",68.526
51.282,72.92,32.448,1.996,"Class5",82,81.831,"L",86.436,"P",33.02
52.045,70.316,75.679,2.084,"Class5",82,79.372,"W",87.497,"A",40.316
67.461,76.61,14.271,44.633,"Class4",9,80.234,"Q",95.412,"Q",77.582
52.316,56.338,15.434,41.979,"Class1",18,87.92,"A",10.246,"W",11.547
53.099,27.698,60.14,69.345,"Class1",11,61.859,"P",23.887,"W",8.787
50.214,76.874,55.929,1.498,"Class5",82,76.964,"L",67.868,"A",48.141
51.037,56.296,65.641,0.456,"Class5",83,80.97,"W",79.84,"F",60.342
65.438,94.857,57.263,72.485,"Class4",24,72.705,"Y",40.894,"J",-1.646
92.934,44.388,39.552,46.485,"Class3",10,61.972,"P",1.581,"X",32.342
51.788,60.113,42.545,3.195,"Class5",83,80.887,"P",70.089,"F",35.48
62.242,80.887,26.707,52.084,"Class4",29,101.702,"D",85.942,"U",31.163
50.989,70.645,83.744,1.277,"Class5",83,78.376,"Q",84.07,"Z",NA
50.303,67.913,71.807,1.941,"Class5",82,74.808,"L",65.158,"F",40.09
51.686,56.739,69.93,0.949,"Class5",82,78.887,"J",79.374,"A",30.654
51.354,67.532,76.024,2.41,"Class5",82,80.016,"Q",79.376,"I",19.109
55.168,85.592,42.916,46.885,"Class1",26,56.727,"A",17.948,"F",7.929
49.782,67.814,26.163,37.614,"Class1",11,44.769,"P",18.775,"B",10.548
51.463,59.778,49.499,1.077,"Class5",82,78.417,"J",60.946,"F",6.114
60.964,78.813,46.269,46.946,"Class4",29,63.869,"Y",45.979,"Q",48.851
37.2,86.9,48.238,72.872,"Class2",58,71.33,NA,56.081,"P",66.686
12.167,76.913,53.592,67.403,"Class2",79,71.446,"A",51.429,"W",70.331
55.385,41.556,8.851,66.24,"Class1",8,44.763,NA,19.919,"W",10.747
53.039,54.728,11.022,25.29,"Class1",11,95.307,"P",12.196,"F",7.637
65.713,93.447,57.137,68.601,"Class4",42,69.341,"Y",45.422,"P",68.291
88.222,46.923,30.42,43.237,"Class3",10,89.042,"W",1.729,"M",24.87
62.313,92.477,43.649,83.042,"Class4",48,52.416,"P",72.637,"J",53.307
50.667,63.558,58.774,2,"Class5",82,81.943,"W",77.947,"I",35.856
13.31,73.653,41.561,67.924,"Class2",96,51.434,"V",56.382,"A",65.659
34.132,76.078,16.495,71.115,"Class2",53,70.882,"L",51.978,"W",78.551
51.778,84.362,30.606,64.157,"Class2",55,60.639,"Y",59.636,"P",NA
95.814,46.651,47.768,48.462,"Class3",10,97.361,"F",1.07,"V",26.383
93.43,44.069,39.293,47.521,"Class3",10,34.431,"Y",1.647,"B",24.516
51.706,32.774,54.177,53.22,"Class1",33,60.019,"M",14.592,"W",11.14
43.626,79.594,7.005,67.95,"Class2",85,70.876,"A",53.723,"W",68.858
91.497,44.293,55.143,40.164,"Class3",11,63.586,"Y",1.497,"M",28.469
62.112,86.88,52.363,58.438,"Class4",6,89.709,"D",80.317,"J",33.162
50.797,62.495,33.796,1.233,"Class5",83,77.932,"L",73.55,"I",59.454
60.745,82.037,18.949,75.391,"Class2",70,73.204,"H",53.713,"A",72.755
93.335,46.094,40.275,52.754,"Class3",10,77.743,"W",1.4,"X",24.796
66.249,74.956,11.424,73.047,"Class4",41,74.886,"J",55.711,"P",31.498
51.019,27.042,56.422,83.085,"Class1",29,81.983,"A",16.123,"B",5.713
50.701,18.308,22.028,46.289,"Class1",18,59.442,"P",22.911,"X",14.175
51.56,76.267,51.849,2.343,"Class5",82,79.481,"W",88.567,"P",38.338
52.252,50.813,83.751,3.264,"Class5",83,74.411,"Q",78.869,"A",55.86
50.644,70.648,41.372,2.061,"Class5",83,80.64,NA,64.564,"F",47.334
67.602,74.032,28.918,76.841,"Class2",58,76.422,"V",52.322,"P",49.632
89.779,46.735,49.534,52.129,"Class3",10,89.758,"W",1.146,"B",NA
50.861,64.24,27.366,1.72,"Class5",82,78.335,"W",79.063,"F",41.028
62.502,83.55,35.74,51.631,"Class4",21,53.295,"P",88.657,"J",61.895
91.944,46.658,41.893,51.865,"Class3",12,76.463,"W",1.182,"S",NA
95.037,45.612,43.995,38.646,"Class3",11,88.942,"Y",1.478,"X",17.681
65.941,74.887,7.554,38.063,"Class4",40,87.151,"Y",69.72,"Q",11.702
51.035,61.23,47.791,1.975,"Class5",82,77.859,"W",90.052,"F",44.518
92.691,46.72,32.126,47.154,"Class3",11,68.875,"P",1.49,"B",28.768
63.143,74.738,32.295,17.833,"Class4",20,82.039,"P",54.543,"J",55.939
52.188,71.424,81.462,2.021,"Class5",83,78.489,"W",87.103,"Z",0.753
87.851,45.734,39.754,48.623,"Class3",12,93.103,"Y",1.829,"M",36.441
66.963,90.115,33.972,18.418,"Class4",41,86.811,"J",63.439,"U",99.303
51.57,43.31,21.128,66.197,"Class1",25,62.952,"U",24.089,"X",10.405
64.235,73.244,56.927,31.642,"Class4",44,78.118,"Q",43.791,"U",111.601
66.407,92.301,15.709,26.97,"Class4",18,75.923,"Q",71.796,"F",66.473
89.989,44.008,32.487,57.687,"Class3",10,95.123,"W",1.776,"V",28.677
51.358,68.191,75.929,1.522,"Class5",83,83.561,"J",75.426,"Z",47.85
53.466,26.74,36.436,49.948,"Class1",35,83.789,"M",15.911,"F",6.386
51.654,37.293,69.092,28.793,"Class1",27,102.444,"M",19.196,"F",15.678
50.397,74.125,83.867,2.981,"Class5",83,78.89,"J",78.697,"A",18.17
51.784,18.416,59.013,69.472,"Class1",9,76.07,"U",12.068,"F",13.853
63.795,81.953,30.159,51.457,"Class4",15,41.45,NA,86.41,"P",17.064
53.04,71.736,77.089,49.093,"Class1",18,93.997,"V",18.918,"B",4.119
65.036,85.844,62.589,73.631,"Class4",35,79.507,"Y",36.592,"U",17.886
91.073,44.48,44.631,47.02,"Class3",11,61.123,"F",1.966,"V",21.016
50.597,84.783,47.863,66.302,"Class2",92,68.57,"H",58.633,"W",122.277
53.908,83.88,66.723,33.175,"Class1",7,65.014,"A",25.087,"X",NA
51.07,76.076,34.452,1.615,"Class5",83,81.792,"P",83.672,"Z",52.821
51.913,54.25,85.216,1.927,"Class5",83,78.572,"J",71.399,"F",52.096
65.423,90.59,42.058,97.213,"Class4",28,74.777,"Y",51.006,"Q",37.536
63.301,94.275,59.108,66.451,"Class4",7,65.038,"P",64.912,"P",61.365
58.548,93.744,10.449,37.261,"Class4",15,61.442,"D",89.331,"J",65.995
54.056,89.695,50.004,46.953,"Class1",16,70.231,"M",17.327,"F",7.392
52.577,18.912,58.526,62.199,"Class1",12,66.929,"A",15.919,"W",8.819
64.961,84.119,43.359,44.239,"Class4",12,85.18,"Y",55.097,"Q",86.329
53.303,62.945,90.776,29.229,"Class1",16,75.753,"M",15.986,"W",7.562
91.306,45.965,48.449,55.161,"Class3",11,38.003,"W",1.754,"M",26.397
50.022,93.674,37.565,80.746,"Class1",22,77.623,"M",18.882,"F",11.384
50.671,64.73,57.969,2.321,"Class5",82,82.94,"J",63.094,"A",55.786
88.804,44.889,52.542,41.73,"Class3",12,86.789,"W",1.423,"S",29.661
41.646,79.75,20.694,64.383,"Class2",68,77.043,"V",53.649,"A",44.496
91.115,46.489,40.77,75.521,"Class3",12,40.97,"F",1.746,"M",28.956
50.395,64.377,77.368,1.796,"Class5",83,78.972,"L",61.623,"P",73.29
94.846,44.263,43.808,43.769,"Class3",11,71.635,"A",1.344,"B",14.959
55.28,57.524,99.599,54.062,"Class1",28,60.918,NA,16.694,"F",12.921
89.945,45.119,33.113,40.055,"Class3",12,75.626,"F",1.997,"V",NA
95.662,44.404,35.437,54.644,"Class3",10,40.88,"P",1.071,"X",28.795
74.65,82.777,50.639,64.289,"Class2",72,60.046,"A",55.168,"P",85.936
93.499,44.275,37.007,52.472,"Class3",10,86.537,"F",1.433,"B",22.173
34.602,76.694,8.707,62.693,"Class2",68,76.39,"A",58.74,"S",103.466
48.683,55.094,11.345,50.814,"Class1",20,90.886,"A",15.591,"C",18.098
91.04,46.967,55.09,39.115,"Class3",12,88.329,"Y",1.351,"V",NA
51.327,63.611,54.163,2.912,"Class5",82,77.256,NA,83.879,"Z",25.78
52.797,75.5,62.395,30.913,"Class1",15,31.105,"P",19.478,"F",5.213
67.376,92.508,37.567,40.429,"Class4",47,65.644,"Y",96.567,"F",60.218
91.982,45.094,39.429,45.514,"Class3",11,72.031,"A",1.9,"M",24.093
93.152,44.924,52.402,44.015,"Class3",10,56.38,"F",1.216,"S",NA
67.778,79.937,10.114,68.79,"Class2",90,48.753,"V",53.358,"A",16.927
55.093,53.122,37.596,21.935,"Class1",22,67.169,"A",21.967,"X",11.505
63.136,91.85,9.81,40.656,"Class4",23,56.438,"P",99.527,"J",28.397
62.317,93.932,8.553,34.837,"Class4",34,71.183,"Y",55.186,"U",56.665
89.965,45.486,53.564,43.214,"Class3",10,55.259,"P",1.813,"S",16.751
66.696,73.15,45.287,33.092,"Class4",15,65.862,"P",71.216,"P",91.022
72.022,78.371,34.248,72.69,"Class2",84,64.971,"H",53.322,"S",NA
50.284,73.322,30.157,2.242,"Class5",83,79.473,"L",67.931,"P",48.594
51.056,56.334,29.23,2.231,"Class5",82,79.998,"P",71.007,"F",35.261
54.404,92.81,61.291,29.813,"Class1",19,61.326,"M",23.129,"B",11.596
91.962,45.008,42.628,46.624,"Class3",10,60.498,"Y",1.673,"X",28.467
12.328,81.603,13.222,67.057,"Class2",96,39.249,NA,53.945,"V",52.161
52.178,76.21,80.132,34.74,"Class1",28,85.454,"V",9.387,"B",16.812
60.724,83.201,38.57,63.86,"Class2",78,44.609,"Y",58.367,"A",61.289
41.226,84.124,42.05,71.156,"Class2",85,80.31,"H",52.484,"A",28.725
57.655,87.457,13.145,68.585,"Class2",88,79.78,"L",56.832,"A",76.216
68.609,84.938,43.064,51.113,"Class4",16,85.564,"J",49.597,"J",NA
52.296,52.995,74.124,1.046,"Class5",82,79.167,"W",76.189,"I",49.207
70.209,93.885,20.983,36.876,"Class4",36,63.611,"D",39.415,"P",35.198
50.302,69.417,74.819,2.276,"Class5",82,81.801,"P",85.562,"F",15.734
