"TFB1","Output8","GTB2","OPN3","OFZ4","GOJ5","BHA6","GTQ7","VTN8","SAR9","RMY10"
"Q","Class1",32,"W",57.309,88.094,31.368,57.474,14.044,92.35,61.601
"J","Class3",32,"O",44.712,10.812,41.759,73.911,88.779,89.643,21.205
"Z","Class5",71,"F",32.096,30.883,9.185,37.091,81.284,12.625,63.643
"H","Class2",40,"D",94.862,14.758,61.749,47.997,47.809,12.336,74.625
"M","Class4",52,"U",11.761,32.764,26.223,47.196,52.176,36.021,69.965
"B","Class4",61,"J",85.687,54.067,26.665,45.634,57.174,33.052,69.044
"O","Class3",30,"K",14.303,11.003,28.53,61.479,97.246,93.846,28.958
"B","Class5",71,"F",63.674,28.776,18.762,53.051,62.202,15.454,55.469
"H","Class1",37,"C",59.543,93.04,28.8,69.73,9.172,90.731,61.918
"Q","Class1",29,"C",53.77,95.824,27.379,71.271,8.499,89.998,66.625
"Q","Class1",39,"C",56.242,88.007,32.264,64.59,4.763,92.133,60.795
"P","Class3",32,"Y",43.254,10.766,55.691,71.646,89.237,83.27,39.262
"P","Class3",32,"I",46.054,10.47,64.668,47.821,95.773,79.487,34.499
"H","Class2",29,"I",75.34,62.87,48.838,22.13,40.032,34.664,75.154
"Q","Class2",37,"J",81.637,41.548,45.826,55.08,39.954,32.547,42.866
"J","Class3",31,"I",46.646,10.41,63.288,64.244,96.333,80.131,27.565
"A","Class1",4,"C",66.305,86.565,29.063,45.08,4.022,92.488,61.268
"B","Class5",68,"Y",45.507,29.412,9.126,31.393,80.444,14.05,43.439
"D","Class3",32,"Y",14.234,10.222,19.778,64.094,93.724,77.619,32.942
"A","Class1",39,"Q",56.784,86.264,27.639,67.843,4.183,89.929,65.989
"X","Class2",39,"J",83.485,47.293,44.033,25.032,41.049,32.235,62.289
"U","Class5",69,"I",47.14,26.986,2.67,12.759,75.113,9.481,50.213
"L","Class5",70,"Y",54.914,30.987,9.73,46.72,81.564,10.351,46.114
"K","Class1",20,"K",65.195,91.087,31.315,57.133,6.076,91.449,62.205
"Q","Class1",5,"K",61.087,94.11,26.55,65.096,10.305,91.352,65.399
"N","Class4",45,"U",89.467,44.057,67.387,45.334,58.323,57.018,63.202
"A","Class1",21,"Q",60.65,95.058,27.777,54.718,12.211,91.303,62.351
"U","Class5",72,"I",70.439,25.563,12.163,26.905,66.804,11.369,62.346
"Q","Class1",37,"W",66.787,95.13,28.753,71.658,9.04,91.907,61.403
"I","Class3",35,"I",40.88,11.938,NA,59.044,85.828,78.065,47.211
"I","Class5",70,"X",36.036,27.912,14.123,38.552,74.767,12.03,37.127
"H","Class2",31,"A",74.362,52.463,44.469,40.309,32.35,30.639,61.624
"L","Class5",70,"H",35.322,30.079,19.312,28.718,78.016,11.667,48.029
"Q","Class2",37,"D",87.717,7.04,52.021,18.447,38.074,19.054,76.818
"D","Class3",33,"K",58.483,11.586,47.368,77.736,85.807,86.119,13.378
"M","Class4",37,"J",53.726,32.055,45.197,49.939,59.227,44.541,81.002
"I","Class5",71,"F",48.15,25.278,8.675,73.103,59.727,13.68,55.106
"M","Class4",61,"T",67.823,42.417,74.056,46.521,40.261,45.318,60.33
"O","Class3",34,"K",34.255,10.833,42.82,47.844,83.031,79.617,35.062
"F","Class4",41,"J",59.422,70.995,14.161,45.979,68.081,45.841,55.394
"C","Class1",12,"W",60.356,94.161,29.885,56.078,6.823,91.229,61.492
"U","Class5",70,"X",62.266,27.771,10.168,23.957,102.291,11.561,32.95
"I","Class5",71,"Y",43.503,29.812,14.959,37.971,88.015,11.502,34.59
"B","Class5",71,"H",29.122,27.779,6.623,32.97,60.208,13.672,37.564
"N","Class4",44,"U",55.394,60.744,27.102,46.555,36.527,38.178,87.93
"U","Class5",69,"F",52.831,26.652,6.076,8.911,64.379,13.737,62.233
"B","Class5",69,"I",43.548,25.354,14.825,44.317,73.43,11.221,33.589
"L","Class5",69,"Y",60.311,24.096,13.539,22.932,67.09,12.528,49.798
"H","Class2",38,"A",69.782,67.041,53.726,22.104,28.934,28.208,82.735
"L","Class5",68,"X",38.767,26.756,8.18,47.097,61.171,12.036,63.965
"A","Class1",17,"K",61.935,82.657,27.804,67.327,17.261,90.681,63.311
"F","Class4",38,"K",65.489,74.598,85.119,50.823,51.612,53.538,83.963
"H","Class2",35,"I",61.326,67.302,51.642,28.577,35.166,52.09,76.898
"H","Class1",35,"C",59.629,84.495,30.707,71.173,6.473,91.531,65.074
"I","Class5",71,"H",48.109,25.045,12.323,67.391,68.538,11.344,33.274
"B","Class5",71,"X",39.559,30.674,7.697,16.89,66.676,9.044,44.705
"Q","Class1",21,"W",63.309,94.739,30.264,52.194,12.354,91.808,61.642
"T","Class4",53,"K",51.378,83.088,79.421,48.134,54.107,49.882,65.361
"N","Class4",63,"U",47.39,54.854,56.442,45.486,46.609,42.829,61.523
"P","Class2",35,"A",67,53.179,60.569,35.422,35.264,32.398,66.907
"C","Class1",16,"C",62.619,91.063,28.304,66.656,5.605,93.086,64.969
"I","Class3",32,"Y",64.363,11.686,47.627,86.228,97.872,77.06,10.37
"X","Class2",40,"D",72.841,29.57,59.913,25.127,31.496,29.255,85.07
"B","Class4",49,"K",56.394,19.296,38.237,50.258,56.809,38.466,81.152
"U","Class5",68,"I",31.183,30.075,3.679,65.302,77.386,7.65,48.824
"J","Class3",35,"Y",16.187,11.335,66.724,53.907,83.835,86.841,47.383
"X","Class2",37,"J",80.075,30.3,59.676,17.815,41.605,10.036,59.013
"H","Class1",9,"Q",52.987,84.139,29.042,46.038,1.748,91.904,63.979
"P","Class3",33,"O",6.957,11.313,65.733,36.277,87.992,89.845,28.203
"O","Class3",32,"Y",-18.237,11.182,56,69.081,89.297,81.22,24.317
"E","Class2",34,"K",74.306,45.196,49.574,20.857,34.227,26.381,81.691
"H","Class1",34,"C",61.118,95.308,NA,54.811,4.935,NA,60.363
"P","Class2",37,"J",72.395,23.08,NA,45.832,51.515,37.245,60.596
"H","Class1",16,"M",59.926,94.851,26.864,57.366,5.249,91.058,63.644
"A","Class1",5,"M",59.337,83.797,25.761,45.769,4.531,91.853,62.003
"X","Class2",34,"A",70.995,26.368,50.609,33.273,38.741,NA,61.438
"L","Class5",71,"X",62.841,29.582,9.054,62.322,68.911,11.573,42.213
"O","Class3",34,"O",14.029,11.418,38.555,63.087,77.898,78.027,24.939
"O","Class3",32,"O",1.716,11.372,61.969,72.386,90.934,82.266,21.451
"Q","Class2",32,"J",60.05,39.435,40.86,44.898,42.895,NA,79.058
"X","Class2",27,"D",64.352,60.621,65.584,26.825,40.909,NA,84.835
"N","Class4",39,"K",60.408,31.094,34.723,51.548,59.329,41.82,96.947
"E","Class2",39,"J",66.42,41.64,59.294,30.079,37.367,17.598,80.364
"X","Class2",35,"A",89.697,45.371,51.575,39.612,48.822,34.875,67.808
"B","Class4",56,"J",33.811,34.3,73.219,50.102,54.151,48.233,91.966
"B","Class5",71,"H",33.895,29.02,5.461,51.991,80.86,11.996,63.344
"M","Class4",56,"J",51.348,49.865,19.188,50.588,50.474,41.187,53.15
"H","Class2",38,"I",72.771,58.837,52.038,17.953,32.395,27.362,59.742
"Q","Class1",26,"K",55.487,83.856,30.773,67.321,3.814,90.797,65.709
"Z","Class5",71,"X",51.149,24.601,8.917,13.766,84.95,10.122,64.72
"I","Class3",30,"Y",4.803,10.687,34.673,51.758,79.07,79.324,12.052
"X","Class2",38,"A",49.32,5.838,54.436,22.659,42.575,38.225,43.787
"D","Class3",30,"O",24.812,11.602,42.346,57.565,85.596,84.302,20.199
"H","Class2",37,"A",67.777,21.459,52.792,36.761,42.458,20.571,68.727
"A","Class1",7,"C",61.484,94.484,27.776,69.685,7.234,92.464,62.471
"L","Class5",72,"Y",55.187,28.009,17.042,22.151,79.551,10.315,41.442
"K","Class1",39,"M",55.189,92.802,29.083,49.878,9.483,92.494,66.475
"Q","Class2",34,"D",67.628,44.994,56.292,22.087,48.502,34.045,86.186
"M","Class4",63,"H",65.809,66.811,61.002,51.231,61.998,45.919,53.009
"J","Class3",31,"Y",86.381,11.844,49.906,33.882,82.696,79.099,15.868
"A","Class1",37,"K",59.659,88.23,29.836,43.37,12.739,92.949,63.622
"L","Class5",72,"F",42.085,30.517,11.795,8.347,68.694,11.685,42.773
"D","Class3",33,"K",33.253,11.424,54.462,41.985,92.971,87.302,13.774
"N","Class4",55,"U",73.846,28.696,44.292,47.769,70.223,47.292,91.364
"E","Class2",31,"J",69.169,17.915,53.064,16.604,34.843,23.862,59.994
"H","Class1",28,"M",61.782,89.304,27.266,63.731,9.068,91.137,61.892
"M","Class4",59,"H",38.257,27.718,36.503,50.222,42.123,53.222,79.097
"P","Class2",38,"A",81.181,66.974,42.615,46.929,36.751,23.197,61.287
"B","Class5",69,"H",25.531,28.985,13.821,45.766,78.787,10.829,43.552
"B","Class5",72,"H",56.686,26.48,8.506,71.441,80.162,14.129,34.866
"M","Class4",34,"K",89.708,54.841,58.996,44.498,48.197,42.384,53.921
"C","Class1",5,"K",63.166,87.087,26.941,66.53,8.318,91.52,62.654
"X","Class2",29,"A",75.413,11.508,44.835,46.545,38.183,17.44,44.887
"I","Class5",71,"F",36.306,29.613,10.319,23.142,91.315,12.867,47.997
"P","Class3",35,"I",-0.781,11.977,48.881,67.836,77.692,85.119,40.592
"Q","Class2",29,"A",87.719,28.552,52.616,50.737,35.924,11.774,44.209
"Z","Class5",70,"Y",35.584,26.684,7.589,11.894,79.27,8.488,39.242
"X","Class2",38,"I",69.266,38.148,55.47,57.53,34.303,36.854,83.034
"B","Class5",69,"I",35.148,28.002,12.704,31.274,65.522,10.994,59.466
"Q","Class2",34,"J",93.174,18.068,55.349,57.203,43.565,32.133,41.83
"P","Class3",30,"E",48.395,10.879,45.69,78.014,65.264,90.817,24.935
"C","Class1",30,"M",64.017,91.935,26.307,60.901,18.275,90.985,64.767
"H","Class2",33,"J",53.811,68.858,41.567,38.186,38.688,40.789,46.243
"K","Class1",12,"W",56.351,94.023,29.745,69.384,11.531,92.246,64.24
"B","Class5",70,"Y",34.496,24.293,11.553,33.792,86.972,14.242,43.53
"F","Class4",51,"J",37.222,41.784,30.451,47.62,45.077,49.955,91.985
"P","Class2",30,"A",92.916,24.999,51.296,15.998,33.969,40.698,59.727
"M","Class4",47,"K",73.81,18.504,41.337,45.298,61.42,34.435,91.099
"P","Class3",32,"O",21.018,10.807,58.68,37.141,91.833,88.387,16.522
"L","Class5",72,"F",64.398,30.293,19.335,53.257,75.698,10.844,57.042
"L","Class5",72,"H",51.381,29.501,7.832,45.05,70.263,12.094,45.107
"E","Class2",32,"D",59.528,37.353,60.734,53.505,50.488,20.434,41.098
"M","Class4",37,"J",84.703,17.875,NA,49.97,79.448,NA,69.089
"J","Class3",33,"Y",21.54,11.697,39.495,39.221,80.31,77.098,36.793
"U","Class5",71,"Y",40.768,30.013,12.705,65.494,73.948,NA,64.449
"D","Class3",30,"O",24.467,10.719,53.26,61.084,80.188,79.202,19.99
"I","Class3",32,"E",20.936,10.857,38.066,45.758,86.572,77.261,47.098
"X","Class2",27,"A",86.519,11.997,54.094,32.991,44.694,33.606,58.643
"N","Class4",31,"H",69.243,15.614,NA,51.522,44.31,36.957,78.995
"C","Class1",40,"K",64.598,95.393,30.621,52.605,11.14,91.381,66.479
"B","Class5",70,"X",43.394,30.887,11.557,33.59,81.778,NA,41.953
"K","Class1",24,"W",60.44,85.973,28.626,70.322,8.719,90.769,65.526
"P","Class2",32,"I",89.503,13.35,54.184,55.847,46.095,23.206,91.595
"M","Class4",44,"U",45.61,42.041,95.193,47.492,65.103,46.673,80.218
"X","Class2",38,"K",79.942,16.299,57.426,47.496,45.663,29.335,69.801
"H","Class2",40,"A",67.055,11.349,49.836,40.154,37.524,46.46,90.278
"C","Class1",22,"Q",61.131,86.791,NA,61.151,10.452,92.573,67.112
"F","Class4",45,"K",50.979,28.888,81.454,45.525,57.018,43.203,58.402
"N","Class4",34,"J",79.034,60.449,19.169,48.889,50.099,47.031,64.866
"H","Class2",30,"D",81.04,18.099,55.698,43.386,42.867,30.317,65.22
"D","Class3",30,"E",34.428,11.924,NA,44.01,81.991,82.503,10.342
"H","Class1",37,"C",57.217,89.387,26.588,52.324,14.198,NA,60.469
"X","Class2",35,"A",62.036,69.432,51.49,55.629,37.054,17.079,81.795
"U","Class5",70,"F",11.577,29.312,11.353,15.081,72.454,13.464,46.775
"A","Class1",37,"Q",63.201,85.847,27.322,69.965,8.688,93.037,60.256
"M","Class4",42,"U",59.621,11.12,30.426,47.743,64.134,45.911,85.852
"P","Class2",29,"D",67.431,46.743,58.675,28.226,40.669,17.44,83.329
"P","Class2",38,"D",91.043,29.431,54.781,17.153,39.651,27.989,51.304
"T","Class4",44,"H",60.725,20.656,85.836,44.604,49.556,58.201,73.801
"L","Class5",71,"H",35.611,25.699,10.157,12.193,66.05,NA,40.819
"K","Class1",33,"M",63.037,83.566,24.214,43.255,8.111,90.474,63.391
"P","Class2",40,"D",56.813,10.284,60.249,54.503,36.896,27.042,77.174
"C","Class1",8,"C",62.573,95.984,26.82,43.191,3.603,89.84,66.596
"P","Class2",30,"I",58.933,67.591,55.01,35.506,43.867,29.178,48.199
"J","Class3",32,"O",93.411,10.359,66.477,52.115,85.553,75.616,33.213
"J","Class3",31,"O",57.954,11.945,NA,84.928,87.572,80.788,24.279
"Z","Class5",71,"Y",62.886,24.05,6.24,10.324,87.124,10.061,50.691
"U","Class5",68,"F",30.395,27.692,12.533,46.176,68.538,12.678,38.791
"H","Class1",37,"C",63.851,87.608,25.455,57.554,10.329,92.65,63.251
"B","Class4",55,"H",68.46,34.952,40.037,44.963,67.36,45.511,74.654
"X","Class2",35,"J",63.913,8.107,61.649,32.608,32.232,26.966,87.305
"I","Class3",32,"K",33.301,10.264,49.684,89.372,91.726,72.21,28.606
"P","Class3",30,"E",49.177,10.74,77.192,42.945,98.132,82.763,13.95
"P","Class2",26,"K",71.561,29.993,56.324,26.973,38.793,36.808,85.23
"Q","Class2",39,"J",81.79,42.543,59.231,48.137,37.14,22.78,83.111
"Q","Class2",37,"D",79.373,36.863,56.083,15.716,40.172,28.399,54.149
"E","Class2",34,"K",73.627,37.879,53.47,22.177,41.584,40.03,91.455
"U","Class5",68,"X",49.459,30.406,6.932,71.788,80.911,7.211,34.515
"J","Class3",32,"Y",-7.915,11.113,42.288,81.33,95.532,89.566,20.953
"X","Class2",36,"A",67.857,28.077,NA,31.084,57.563,49.639,68.569
"P","Class2",39,"I",91.626,52.1,52.286,19.803,50.021,NA,41.898
"E","Class2",38,"K",84.243,59.954,41.586,30.017,52.73,25.202,75.895
"E","Class2",33,"K",80.88,61.006,55.794,34.451,39.287,24.288,62.02
"D","Class3",33,"K",8.075,10.164,46.082,58.906,77.855,86.045,17.092
"M","Class4",33,"U",73.96,24.286,17.451,48.183,45.993,35.863,75.81
"J","Class3",35,"E",47.922,11.05,36.74,66.22,90.068,68.523,11.89
"F","Class4",47,"K",112.572,45.691,67.102,46.721,62.217,38.376,75.619
"K","Class1",12,"Q",59.596,89.674,27.746,63.541,2.978,90.564,67.892
"B","Class5",69,"I",39.32,27.518,11.579,16.878,82.498,12.429,34.435
"I","Class5",70,"F",27.784,27.746,8.607,58.028,88.64,14.113,63.473
"A","Class1",21,"W",60.477,94.504,25.01,68.73,18.019,NA,63.869
"O","Class3",32,"I",39.715,11.897,47.648,33.294,76.813,77.79,40.5
"Q","Class2",34,"D",43.237,53.436,53.934,28.641,36.717,46.688,53.588
"D","Class3",33,"I",34.327,10.871,10.589,58.685,92.049,76.384,24.97
"D","Class3",33,"O",47.974,10.15,57.841,89.063,98.482,NA,28.49
"X","Class2",40,"D",82.739,19.229,60.593,40.25,35.528,21.635,44.644
"Q","Class2",40,"K",74.881,57.914,70.126,53.043,38.196,45.749,56.489
"J","Class3",34,"E",50.696,11.67,62.793,51.498,82.166,80.469,16.728
"H","Class2",34,"D",69.011,44.603,58.88,39.809,48.656,33.689,94.639
"B","Class5",72,"Y",47.344,25.086,11.356,12.77,81.305,12.122,43.643
"P","Class2",31,"D",77.067,42.972,48.261,16.861,44.547,35.576,42.523
"O","Class3",32,"O",19.599,11.798,82.122,84.817,90.539,80.895,10.399
"I","Class3",30,"O",11.249,11.381,NA,66.803,92.353,79.02,14.829
"F","Class4",64,"U",120.745,18.96,6.103,44.924,55.936,40.781,67.771
"Z","Class5",71,"Y",30.881,27.26,9.466,64.508,77.724,9.005,34.002
"U","Class5",71,"Y",40.575,24.779,15.208,66.571,58.343,10.629,62.255
"T","Class4",56,"H",46.957,42.336,87.016,44.383,55.52,40.221,75.367
"I","Class5",71,"I",35.082,27.882,11.79,32.414,73.946,10.706,39.773
"Z","Class5",69,"Y",43.137,29.875,11.084,23.066,64.491,11.979,56.646
"A","Class1",35,"Q",60.617,82.077,31.654,43.754,9.622,90.695,67.146
"J","Class3",34,"K",22.905,11.952,58.396,44.589,89.419,76.668,17.881
"I","Class5",71,"F",28.484,27.772,4.786,34.532,63.059,14.378,66.208
"J","Class3",32,"O",65.034,11.657,41.807,90.666,84.805,84.96,39.851
"H","Class2",39,"I",64.478,35.91,41.047,41.545,43.044,18.628,49.597
"K","Class1",17,"W",63.381,96.353,24.11,54.777,9.273,92.964,64.163
"Z","Class5",72,"F",63.38,27.467,9.89,32.065,82.609,13.5,56.864
"P","Class2",37,"D",89.408,6.786,66.051,32.79,37.34,20.535,73.228
"P","Class2",30,"D",67.448,33.198,NA,51.979,26.841,6.956,76.663
"H","Class1",29,"C",55.92,92.232,27.935,56.306,3.548,90.995,65.876
"L","Class5",69,"X",54.793,26.178,9.221,17.233,74.055,NA,60.719
"M","Class4",55,"U",63.873,44.177,28.34,49.213,58.07,47.497,93.192
"F","Class4",32,"H",75.769,82.176,30.79,44.343,46.492,43.663,72.419
"C","Class1",19,"C",66.133,93.184,26.099,67.683,6.778,90.673,64.919
"T","Class4",30,"K",88.16,13.623,27.239,50.1,54.269,49.726,67.319
"M","Class4",39,"K",73.563,51.785,43.759,50.303,55.345,56.041,56.363
"M","Class4",60,"U",102.447,78.505,33.045,47.261,67.668,42.635,61.298
"H","Class2",39,"D",97.57,3.194,44.909,53.416,29.268,20.727,91.534
"U","Class5",71,"I",43.036,30.526,10.845,60.201,78.195,11.202,58.496
"P","Class2",40,"D",67.239,60.994,57.802,48.873,36.163,27.059,46.159
"E","Class2",32,"A",72.753,36.922,76.388,14.357,35.336,18.105,48.122
"T","Class4",63,"K",80.92,71.967,31.236,45.478,57.897,34.988,72.118
"I","Class3",33,"I",43.86,10.032,58.645,42.558,100.186,83.013,16.185
"I","Class5",68,"X",43.342,26.049,15.097,66.412,72.025,12.742,55.82
"A","Class1",5,"K",55.312,86.884,29.791,51.307,11.837,90.887,65.536
"T","Class4",32,"U",59.548,80.503,51.109,48.476,63.272,39.668,85.236
"K","Class1",9,"W",67.104,91.558,30.155,43.962,8.186,90.763,63.153
"H","Class2",31,"K",57.259,22.803,39.005,25.621,42.354,38.135,93.479
"L","Class5",70,"X",36.56,30.063,14.862,61.202,69.608,13.157,39.512
"F","Class4",32,"T",45.071,11.305,-0.905,51.903,47.658,43.215,72.884
"B","Class5",68,"H",29.313,28.882,6.376,31.823,68.987,11.125,62.734
"B","Class4",36,"H",43.717,16.96,53.636,45.452,66.825,43.407,62.197
"C","Class1",39,"Q",64.334,87.944,31.397,45.785,5.2,NA,64.933
"B","Class4",46,"J",45.527,30.822,26.022,48.185,71.68,49.909,92.099
"O","Class3",31,"K",25.798,11.682,29.241,55.15,80.725,77.471,23.057
"N","Class4",46,"J",67.387,16.89,91.981,50.409,45.794,41.625,61.835
"Z","Class5",72,"F",24.175,29.672,14.732,58.511,83.038,8.229,64.084
"H","Class1",6,"W",62.98,90.014,28.573,52.258,12.705,90.267,66.868
"X","Class2",26,"K",77.231,48.082,NA,41.031,34.688,39.032,74.271
"F","Class4",53,"T",89.54,68.015,NA,46.689,53.253,39.588,69.921
"U","Class5",70,"I",46.197,29.442,12.255,57.55,54.209,13.243,48.221
"A","Class1",18,"M",61.013,91.038,27.652,74.373,5.6,91.558,67.36
"B","Class4",37,"T",28.273,80.549,69.76,47.489,55.003,37.761,67.072
"I","Class5",71,"F",13.362,26.56,12.407,9.351,76.012,12.38,44.759
"X","Class2",30,"D",103.241,5.886,47.824,32.741,42.028,44.326,48.989
"P","Class2",31,"K",66.92,48.756,53.339,22.647,35.03,39.339,69.135
"X","Class2",35,"K",77.986,45.279,51.993,15.884,47.489,20.247,47.977
"I","Class3",30,"I",-6.6,10.568,49.915,89.172,93.946,86.5,15.995
"T","Class4",57,"J",1.748,52.125,61.229,44.467,54.369,41.307,63.686
"M","Class4",45,"T",64.968,63.086,36.086,47.531,53.899,53.242,95.62
"K","Class1",12,"Q",55.802,92.975,29.435,65.614,16.957,89.709,64.207
"P","Class3",31,"I",58.057,10.673,75.759,72.472,85.986,82.879,25.274
"F","Class4",52,"H",76.137,16.877,34.889,51.93,55.62,30.582,89.617
"E","Class2",28,"D",68.993,64.253,44.398,21.751,46.7,31.411,92.435
"C","Class1",23,"M",70.569,95.052,32.954,50.412,10.203,90.521,65.873
"B","Class5",71,"Y",65.907,28.802,10.778,17.894,87.951,9.93,38.819
"Q","Class2",26,"I",68.801,9.959,61.231,57.936,39.76,NA,66.996
"E","Class2",27,"J",68.188,30.511,67.751,53.124,39.64,38.572,85.78
"I","Class3",33,"Y",1.392,11.234,53.285,76.636,95.799,77.321,13.706
"O","Class3",31,"Y",47.768,10.815,54.955,91.179,79.127,NA,15.111
"A","Class1",24,"M",62.409,93.958,28.957,58.834,5.935,93.505,60.861
"I","Class5",68,"Y",38.859,30.602,8.765,53.612,82.527,10.699,48.562
"J","Class3",31,"K",36.114,11.494,34.552,51.423,86.635,83.629,33.179
"D","Class3",35,"O",71.289,10.305,63.419,38.99,85.041,84.083,36.454
"T","Class4",42,"H",70.918,56.354,16.241,50.291,59.14,44.157,80.769
"P","Class3",32,"E",35.901,11.992,19.478,61.193,95.799,84.497,29.158
"L","Class5",71,"Y",53.139,29.856,15.732,62.388,68.518,12.356,49.711
"F","Class4",63,"T",69.268,65.604,47.936,46.005,57.705,51.113,67.173
"E","Class2",34,"J",67.152,11.95,48.612,18.141,37.495,21.577,62.177
"Z","Class5",69,"I",52.105,27.615,15.271,13.681,66.88,12.197,34.361
"P","Class2",31,"J",59.328,52.15,56.585,15.733,44.363,41.042,67.239
"E","Class2",35,"I",63.464,57.806,56.024,35.977,49.676,24.857,42.898
"B","Class4",51,"U",34.955,17.659,49.401,49.424,56.124,40.518,90.85
"X","Class2",32,"I",67.499,13.897,53.998,24.602,47.687,21.345,85.164
"K","Class1",32,"Q",55.979,84.511,29.31,74.176,5.828,92.838,66.695
"D","Class3",34,"I",91.043,11.807,39.133,51.843,91.802,84.674,30.487
"N","Class4",58,"H",27.622,28.937,102.17,50.455,60.341,45.514,86.043
"Q","Class1",17,"W",58.28,93.051,27.268,52.723,8.672,89.439,66.545
"Z","Class5",71,"I",53.784,26.23,12.744,66.018,46.482,11.239,46.561
"A","Class1",21,"Q",67.04,84.087,30.551,56.685,17.017,91.628,61.752
"M","Class4",32,"J",81.084,34.872,67.868,46.54,49.713,36.117,96.162
"U","Class5",71,"Y",39.287,30.491,16.264,59.389,99.163,9.56,33.957
"M","Class4",48,"U",50.09,53.369,30.28,44.985,43.925,42.423,96.222
"B","Class5",68,"I",66.253,28.496,15.45,71.914,77.688,12.983,57.342
