"Output10","CES1","DTC2","VDM3","KMC4","NVK5","TXO6","JMA7","RYZ8","ECP9","GJD10","MQI11","AQX12"
"Class4",71.787,"U","G",43.993,5.892,41.141,81.4,9,54.037,48.508,48.273,81
"Class4",78.505,"K","S",23.434,14.626,39.737,89.326,7,57.056,19.232,43.722,50
"Class4",76.435,"U","S",56.772,21.155,39.885,86.277,7,79.175,6.623,42.08,78
"Class4",78.114,"V","C",22.102,11.138,40.597,85.618,8,71.402,7.797,37.11,24
"Class5",57.311,"K","D",11.147,56.185,73.612,45.905,10,45.224,61.347,39.803,63
"Class1",83.956,"P","C",33.548,88.059,72.314,81.993,58,33.777,57.078,54.224,44
"Class5",79.76,"K","Y",12.451,57.303,83.181,57.341,11,70.852,58.901,29.945,73
"Class3",59.692,"F","J",15.151,50.636,54.138,18.666,35,79.402,25.678,49.367,72
"Class1",84.654,"H","U",32.681,47.491,70.121,48.165,64,38.542,62.082,50.079,93
"Class4",79.37,"V","D",9.438,-0.087,38.527,95.579,13,49.508,23.379,46.91,70
"Class2",75.896,"J","A",12.495,33.251,72.099,87.357,53,64.959,40.439,41.958,28
"Class3",53.399,"R","C",14.04,48.64,49.878,32.662,63,79.927,42.24,57.163,71
"Class5",63.957,"S","E",14.372,-19.282,85.097,54.273,10,68.628,54.191,35.592,72
"Class1",81.201,"L","X",32.828,62.823,69.56,49.386,64,35.581,54.375,33.851,60
"Class5",90.105,"O","E",30.441,NA,65.849,48.837,12,58.317,76.763,44.07,77
"Class5",91.508,"A","Y",14.645,46.498,66.539,57.23,12,66.772,56.794,34.342,76
"Class4",77.538,"L","S",30.23,5.101,39.386,87.497,16,64.304,33.766,42.087,74
"Class5",77.597,"K","D",23.557,40.987,61.539,50.701,11,66.372,55.35,57.31,75
"Class2",81.24,"Y","A",27.814,11.559,49.673,87.342,79,61.595,60.114,42.261,35
"Class1",99.385,"P","C",33.207,69.429,59.565,55.526,57,38.266,41.664,33.733,30
"Class5",65.533,"N","E",28.322,52.58,72.385,46.777,10,82.148,76.561,34.582,77
"Class4",72.747,"L","C",17.221,NA,38.934,91.067,10,76.923,43.145,40.687,67
"Class2",87.323,"A","P",14.48,10.77,67.411,88.044,80,69.175,67.395,51.865,39
"Class3",63.632,"F","J",15.635,57.551,29.38,79.01,23,81.269,20.562,54.609,69
"Class4",75.73,"L","C",38.585,22.41,36.178,82.777,25,49.886,8.243,46.854,67
"Class1",93.926,"X","R",32.277,NA,74.095,76.599,63,34.636,58.924,50.088,81
"Class3",77.384,"R","I",12.614,56.337,44.697,30.306,27,82.471,38.211,48.543,71
"Class1",92.36,"L","P",33.746,65.883,70.32,54.034,57,34.953,42.256,37.247,54
"Class5",74.95,"O","Q",21.231,28.661,68.159,41.082,10,69.669,53.823,9.777,64
"Class4",76.217,"Q","G",37.035,17.411,37.588,89.894,1,51.368,16.809,47.571,75
"Class2",87.113,"I","Z",27.067,24.486,71.336,87.612,32,57.775,25.88,40.588,31
"Class2",86.85,"I","P",-3.823,10.643,29.51,87.546,64,70.642,59.404,52.754,40
"Class4",74.298,"V","G",29.661,13.243,40.003,79.643,0,64.481,35.215,41.036,68
"Class2",75.207,"Y","A",7.558,4.579,52.526,87.567,58,71.229,55.228,49.049,18
"Class4",80.606,"U","D",25.16,14.972,38.121,89.313,3,76.291,37.92,39.711,48
"Class1",79.42,"T","X",31.951,80.73,60.965,94.49,54,35.525,55.806,49.796,62
"Class1",91.929,"L","X",33.044,93.719,65.866,45.445,64,39.974,30.237,42.626,76
"Class2",79.258,"K","Z",12.473,18.872,47.739,87.611,60,69.542,57.315,40.567,20
"Class4",76.742,"V","S",38.551,20.551,35.687,89.966,5,76.169,20.62,45.92,30
"Class3",70.261,"C","L",15.454,49.879,53.049,43.432,61,79.117,15.403,52.427,68
"Class4",77.226,"L","C",35.672,25.519,36.179,87.918,17,84.235,18.335,49.631,58
"Class2",77.628,"K","P",17.752,26.017,44.913,87.1,63,72.994,35.739,35.872,27
"Class1",86.573,"X","R",33.337,55.737,75.428,47.36,57,34.559,77.436,38.217,35
"Class5",61.275,"S","I",22.202,67.531,65.605,50.498,11,48.603,76.852,40.46,78
"Class5",81.827,"O","E",31.965,3.643,62.221,55.548,10,51.153,55.694,48.439,78
"Class2",81.128,"J","Z",17.98,17.539,70.312,87.433,82,70.35,59.764,50.423,27
"Class5",91.917,"S","D",13.318,NA,58.292,49.507,12,78.906,59.422,43.986,66
"Class2",87.292,"I","P",9.83,21.49,49.522,87.201,43,64.489,21.391,49.317,15
"Class4",71.333,"V","S",17.013,29.949,42.092,90.417,1,57.012,28.265,47.864,27
"Class3",98.129,"R","J",12.978,40.148,46.173,22.825,45,82.111,57.513,60.378,71
"Class2",87.078,"J","P",21.299,NA,28.602,87.192,64,65.939,68.353,59.358,20
"Class5",60.955,"A","Y",23.395,-19.845,81.77,49.26,10,97.715,61.431,11.622,68
"Class3",76.527,"K","J",14.638,47.432,35.415,36.915,32,83.319,18.105,48.705,69
"Class5",82.347,"S","Y",20.347,NA,77.826,57.246,12,82.985,56.06,NA,52
"Class5",76.452,"K","Y",15.2,16.736,80.419,51.346,11,54.634,60.437,44.142,66
"Class2",74.523,"A","C",21.552,51.729,66.491,86.894,87,57.608,51.188,42.804,16
"Class1",90.721,"H","U",32.974,92.093,55.042,44.243,54,35.108,67.408,38.312,28
"Class3",97.01,"R","J",13.678,NA,32.666,56.082,78,82.952,37.482,54.334,70
"Class4",73.804,"V","S",16.007,25.405,43.06,78.484,17,61.529,38.878,41.132,30
"Class4",79.361,"V","G",32.843,24.993,41.34,92.135,9,84.037,33.613,42.292,39
"Class2",74.49,"A","C",23.556,15.898,64.952,87.745,71,69.514,36.108,41.368,38
"Class4",75.805,"Q","C",26.216,15.821,35.69,83.902,23,53.023,48.278,NA,50
"Class2",78.916,"Y","C",9.424,32.244,59.436,87.145,74,67.224,63.27,31.461,23
"Class3",79.284,"K","N",14.235,54.192,47.62,41.336,59,83.696,59.014,55.34,71
"Class2",82.352,"A","Z",17.921,33.036,38.553,87.568,46,59.596,35.112,49.702,28
"Class3",77.922,"K","N",14.834,39.719,36.758,59.648,72,81.037,16.328,47.442,69
"Class4",80.134,"V","D",21.014,11.738,37.074,81.748,25,62.787,20.435,50.325,72
"Class5",73.942,"O","I",17.71,50.155,79.275,56.217,10,44.7,50.335,27.985,59
"Class4",69.815,"L","S",22.463,15.443,38.649,89.002,24,51.547,23.164,49.622,80
"Class3",52.767,"C","J",13.044,55.983,41.906,48.305,74,82.093,34.832,57.226,68
"Class5",83.023,"O","E",20.775,55.603,70.435,59.618,12,68.726,55.461,37.748,59
"Class3",90.923,"K","N",14.09,40.003,48.901,54.485,75,82.505,61.624,51.731,68
"Class2",75.074,"J","C",8.532,21.364,35.891,87.353,85,75.219,64.413,35.654,32
"Class5",76.497,"A","I",29.758,34.488,81.858,58.187,11,64.52,66.296,41.322,72
"Class5",85.427,"S","D",15.475,66.083,85.146,55.562,11,82.206,52.234,28.699,70
"Class5",85.573,"N","Y",21.319,58.546,67.262,57.602,10,93.997,54.616,57.219,55
"Class2",82.64,"J","C",27.087,47.871,75.506,87.471,61,77.303,72.14,44.911,33
"Class4",79.911,"U","C",13.151,13.96,36.367,88.57,9,84.864,35.501,40.586,25
"Class5",80.691,"N","Q",17.746,9.163,61.621,54.232,11,97.225,55.269,9.53,63
"Class1",92.638,"L","X",34.214,36.961,63.038,28.329,52,38.671,38.202,49.524,42
"Class1",88.02,"T","P",32.844,72.341,72.736,55.451,67,33.149,26.875,33.491,66
"Class4",69.323,"K","D",24.419,13.162,42.536,91.283,5,77.824,9.143,38.576,16
"Class1",83.93,"T","P",31.758,115.158,71.982,7.629,52,36.586,31.9,NA,62
"Class3",90.4,"K","N",15.683,54.275,34.168,36.066,66,80.106,39.849,45.608,71
"Class4",80.417,"Q","G",33.465,7.478,43.088,87.454,2,56.744,35.114,38.512,43
"Class5",91.56,"A","I",20.466,33.749,75.807,53.632,12,64.141,76.484,35.363,52
"Class3",58.56,"P","J",15.885,47.036,40.502,89.803,24,82.357,37.645,54.469,68
"Class2",80.215,"I","P",16.284,29.774,41.385,87.59,37,52.923,26.161,46.964,42
"Class3",71.406,"P","I",15.664,49.787,30.572,55.631,33,80.949,43.527,56.015,73
"Class3",82.89,"P","J",14.558,45.544,33.723,53.616,23,80.004,49.139,45.465,70
"Class5",92.502,"A","I",15.205,15.894,57.459,54.167,12,47.61,58.201,53.054,61
"Class4",74.404,"Q","C",21.044,17.719,35.792,79.568,2,54.994,16.251,48.366,63
"Class3",87.939,"R","C",15.766,42.197,39.82,20.246,74,81.343,59.267,NA,73
"Class5",59.901,"K","I",20.013,37.193,62.618,50.034,11,53.096,59.268,43.434,63
"Class4",70.516,"V","C",35.239,23.191,40.925,78.108,10,53.144,38.492,36.51,81
"Class1",87.616,"T","C",33.118,95.568,73.37,45.122,63,36.243,55.603,39.714,41
"Class3",53.358,"K","I",15.127,37.088,55.926,70.126,32,81.877,17.989,50.855,70
"Class1",94.518,"T","P",31.865,47.111,61.003,24.816,57,39.202,38.514,43.195,93
"Class3",97.306,"F","I",14.347,NA,31.719,27.042,70,80.388,18.725,51.517,73
"Class1",99.533,"P","U",32.252,31.618,79.868,53.729,59,37.748,52.736,40.557,36
"Class1",92.613,"L","P",33.009,60.522,68.371,50.082,63,39.568,57.443,43.922,90
"Class2",74.054,"J","Q",18.879,24.342,67.45,86.951,51,62.758,23.672,37.695,36
"Class1",99.683,"T","C",33.154,57.932,78.636,32.593,59,36.14,79.219,54.429,42
"Class1",84.502,"T","X",32.471,54.129,84.237,11.559,52,39.075,23.419,41.936,63
"Class3",83.563,"F","J",13.577,48.44,29.987,31.408,71,79.035,16.513,51.502,71
"Class2",88.612,"I","A",21.779,65.693,31.871,87.759,68,63.519,57.607,47.003,36
"Class1",91.504,"L","R",32.941,44.848,82.878,35.205,61,40.629,49.421,42.456,32
"Class4",77.524,"Q","C",48.282,10.65,35.606,86.687,6,83.476,6.186,NA,26
"Class3",57.537,"C","C",14.449,40.104,30.953,69.565,24,82.761,24.853,54.95,73
"Class5",69.501,"O","Y",20.536,30.762,79.801,55.557,12,63.88,69.057,40.756,77
"Class4",75.76,"V","Y",44.406,13.847,38.84,88.072,0,84.513,26.863,45.313,48
"Class3",55.295,"P","L",14.322,59.363,55.156,6.078,23,83.818,47.989,45.113,71
"Class4",80.505,"V","Y",35.222,32.834,40.7,80.846,25,80.667,16.086,41.137,42
"Class5",60.293,"S","Y",16.776,37.208,72.315,57.565,10,52.699,61.63,NA,76
"Class1",85.428,"P","R",33.201,59.69,60.612,105.287,57,39.496,52.548,42.689,26
"Class2",85.746,"Y","Q",12.246,18.639,54.005,87.05,46,63.859,69.422,NA,21
"Class5",69.919,"N","I",8.389,18.755,82.569,58.826,11,47.014,50.91,31.345,79
"Class5",88.196,"O","D",20.694,-2.196,63.432,45.382,10,48.537,76.982,28.59,58
"Class5",96.592,"A","D",11.274,55.811,62.634,52.045,10,71.431,61.093,32.33,70
"Class3",69.791,"R","N",13.023,52.665,47.665,29.713,82,82.358,18.828,58.764,70
"Class5",62.922,"K","I",16.855,34.21,68.136,53.962,12,93.425,58.803,21.703,52
"Class3",55.718,"P","L",14.454,24.673,45.996,35.926,27,80.229,47.327,53.357,68
"Class1",97.959,"L","C",33.145,95.304,56.471,35.852,53,36.974,43.486,39.077,58
"Class5",66.736,"A","E",9.127,38.527,78.247,59.004,12,81.206,53.642,36.796,76
"Class2",82.823,"I","P",6.332,11.345,74.606,87.78,76,57.813,38.45,47.048,36
"Class4",71.917,"Q","D",18.766,13.642,35.12,92.457,9,71.297,37.524,44.122,15
"Class5",87.088,"A","Q",20.992,25.642,79.092,51.764,10,62.685,51.9,34.286,66
"Class2",83.905,"J","Z",12.207,15.278,22.276,88.464,86,65.788,56.703,NA,39
"Class2",75.786,"K","A",0.009,20.183,75.806,88.004,30,69.135,33.203,52.583,15
"Class3",78.143,"C","C",14.245,38.874,50.91,25.477,39,81.137,57.471,57.689,71
"Class4",70.303,"K","D",15.669,6.151,37.454,87.806,16,59.187,19.906,34.769,41
"Class2",84.615,"K","C",15.701,27.597,18.879,87.136,87,73.815,73.218,45.895,31
"Class1",75.901,"T","U",33.068,48.932,53.851,72.18,53,37.004,78.556,49.643,51
"Class4",74.944,"K","C",19.437,5.799,39.692,86.136,2,86.172,47.123,44.356,32
"Class3",95.803,"P","N",13.231,50.624,42.83,37.545,64,81.498,15.9,53.873,69
"Class2",81.461,"J","Z",18.051,42.757,43.772,87.248,49,68.655,23.582,44.062,16
"Class1",87.533,"P","X",32.871,91.009,53.852,98.825,63,33.814,23.919,34.631,83
"Class3",92.287,"K","I",15.392,40.326,56.151,54.239,42,80.092,14.596,55.767,69
"Class1",84.803,"X","X",32.284,107.434,74.571,3.054,64,35.365,55.789,48.288,51
"Class3",69.036,"P","I",13.499,48.797,55.002,24.575,79,80.927,56.226,54.618,70
"Class2",79.438,"J","C",17.119,30.724,73.172,87.397,27,65.584,47.111,58.384,30
"Class2",76.454,"J","P",10.144,31.64,34.675,86.886,65,71.948,71.925,38.724,33
"Class3",61.146,"K","I",15.156,44.208,28.413,55.712,45,83.454,14.723,46.547,70
"Class5",81.674,"N","E",16.632,42.836,60.346,51.373,11,57.714,70.538,42.663,54
"Class5",73.984,"O","E",33.972,55.776,73.11,47.449,11,96.883,57.574,40.338,79
"Class4",74.731,"U","G",19.032,21.128,35.829,88.265,2,62.157,33.072,49.865,30
"Class4",74.171,"L","C",42.453,19.13,36.203,82.871,18,58.115,44.834,35.391,54
"Class3",85.844,"P","L",14.851,55.215,51.875,47.884,45,82.665,33.308,53.579,70
"Class2",79.095,"A","Q",3.413,40.788,30.482,87.919,31,54.418,56.362,46.228,15
"Class4",70.469,"Q","S",32.83,9.169,35.091,78.985,20,77.536,37.931,42.824,81
"Class2",85.62,"I","C",17.528,20.384,30.618,87.521,59,54.991,38.561,37.989,36
"Class5",59.622,"A","D",22.626,50.581,68.053,51.299,12,86.754,62.755,30.004,62
"Class1",91.74,"P","R",33.473,58.836,54.024,2.998,67,37.186,55.705,43.613,26
"Class5",62.021,"S","D",27.683,37.694,59.039,57.438,11,52.504,59.799,44.729,57
"Class2",85.452,"A","Q",11.724,NA,38.208,87.695,33,67.655,42.171,53.35,39
"Class2",77.328,"Y","Z",27.204,26.01,34.598,87.506,33,59.235,23.123,42.781,20
"Class3",94.305,"P","J",16.102,48.642,41.129,-12.786,20,80.339,15.273,49.863,69
"Class4",74.745,"K","C",-2.541,6.785,41.418,79.403,15,64.634,17.576,46.859,74
"Class4",80.92,"V","D",32.97,NA,43.917,80.328,22,54.748,13.556,44.78,76
"Class5",74.329,"A","Q",10.999,41.084,85.658,48.068,12,53.583,63.078,45.725,74
"Class1",79.812,"X","X",34.147,53.724,61.442,55.122,61,33.31,28.472,46.404,43
"Class3",64.093,"P","L",15.556,62.404,51.152,32.865,67,83.834,47.663,39.139,73
"Class1",78.254,"H","X",32.32,78.866,77.62,60.756,57,39.931,45.204,NA,92
"Class1",83.086,"P","P",32.695,39.287,71.929,-7.286,65,37.936,64.148,38.956,72
"Class3",70.344,"P","L",12.545,NA,39.624,82.379,73,83.373,32.754,46.851,69
"Class2",86.415,"K","A",6.28,24.251,36.363,87.98,37,67.596,58.004,61.341,18
"Class3",84.513,"K","N",13.845,48.764,38.738,47.514,69,79.458,48.217,50.365,72
"Class1",84.482,"P","P",31.016,57.247,86.088,70.931,62,37.623,38.838,49.41,61
"Class5",75.905,"O","E",11.423,12.68,57.635,40.345,10,55.162,48.752,22.376,75
"Class5",78.757,"K","D",18.521,63.87,74.981,49.413,11,73.479,75.201,21.568,75
"Class3",65.467,"C","C",15.231,42.246,37.326,30.434,39,79.474,54.284,53.102,68
"Class4",76.657,"V","D",40.31,8.236,41.118,93.05,13,68.214,33.537,44.12,49
"Class5",70.195,"A","Q",23.01,2.231,57.626,44.301,10,81.543,58.54,19.692,78
"Class5",88.623,"S","Q",21.21,32.143,85.607,45.764,12,55.82,55.252,33.917,59
"Class3",96.702,"C","L",14.005,43.174,48.679,15.944,72,80.225,55.252,50.936,70
"Class1",89.19,"X","R",35.052,56.252,52.542,-23.12,55,36.211,69.663,45.811,82
"Class3",93.039,"R","I",14.196,38.512,49.14,1.813,37,83.635,46.205,57.441,71
"Class5",86.647,"O","Y",14.885,NA,68.357,61.56,11,96.62,52.561,27.575,63
"Class5",83.312,"S","Y",25.911,23.26,77.987,56.824,12,47.962,50.409,23.055,79
"Class4",69.362,"V","G",15.24,18.167,37.232,86.125,3,87.865,36.893,33.892,63
"Class2",74.993,"K","P",7.897,30.329,41.117,87.366,46,75.55,32.899,56.128,30
"Class4",79.107,"V","C",34.151,14.174,43.379,77.695,23,77.621,18.928,41.967,61
"Class2",80.505,"J","P",29.055,22.546,16.84,87.487,90,67.879,59.793,52.262,26
"Class1",83.646,"L","P",33.627,89.084,83.929,64.008,57,33.314,36.616,48.014,57
"Class4",77.39,"Q","S",20.862,1.751,35.961,81.393,25,55.287,6.235,51.187,77
"Class5",76.676,"N","E",21.86,26.127,67.53,51.626,12,89.985,49.209,47.179,73
"Class3",67.634,"F","C",13.838,55.571,34.816,22.493,83,83.848,30.435,48.515,71
"Class5",58.136,"S","Y",22.527,39.368,80.674,54.303,10,51.487,48.418,43.051,74
"Class1",99.357,"T","R",32.546,69.025,76.728,105.207,65,35.985,42.936,47.172,65
"Class2",80.818,"K","P",28.178,23.264,65.198,87.515,45,54.544,30.716,38.701,28
"Class1",75.88,"P","U",33.147,70.412,59.127,51.102,61,33.036,39.698,36.878,88
"Class5",92.321,"S","Q",16.155,64.239,62.873,48.17,10,79.538,55.334,40.292,75
"Class5",58.423,"N","E",16.842,54.37,63.942,46.082,11,54.814,69.894,41.109,73
"Class4",79.879,"Q","G",17.182,1.055,42.807,78.788,7,64.114,6.24,48.331,33
"Class1",81.257,"H","P",32.933,75.366,86.135,86.053,62,35.213,67.628,52.834,95
"Class5",90.042,"S","E",20.955,12.132,65.092,47.827,12,82.166,76.969,22.397,64
"Class1",76.176,"P","X",33.954,69.448,57.519,119.897,53,39.141,39.284,47.496,49
"Class5",92.722,"S","D",18.208,48.432,83.311,52.538,11,95.288,64.425,-3.39,66
"Class5",61.543,"N","Y",23.707,26.258,74.629,52.379,11,54.57,50.707,40.358,65
"Class5",74.925,"A","Y",16.589,36.303,75.695,53.917,10,49.793,51.532,36.784,67
"Class5",93.663,"K","E",36.269,58.318,68.449,49.628,12,98.481,60.183,8.256,61
"Class5",67.636,"O","D",16.943,66.338,70.211,55.775,12,95.954,68.45,36.879,55
"Class3",57.617,"R","N",16.89,51.855,54.972,45.97,26,82.067,40.145,48.903,68
"Class3",62.448,"C","J",14.716,39.726,39.427,43.033,51,82.49,36.35,49.958,72
"Class2",85.457,"I","Z",-13.697,20.392,74.204,87.69,32,64.897,38.701,49.424,26
"Class1",73.906,"X","P",32.33,99.244,60.682,102.22,56,37.452,29.558,35.566,88
"Class3",73.401,"R","J",15.609,50.453,37.33,38.205,65,80.995,52.846,43.705,69
"Class4",69.799,"K","S",36.113,13.411,42.279,90.76,12,67.402,44.157,38.504,59
"Class1",99.877,"T","P",33.154,63.553,51.818,-17.121,57,34.494,74.03,42.876,50
"Class4",79.694,"V","C",47.105,17.971,43.568,86.354,24,77.066,23.075,44.188,63
"Class4",79.438,"L","G",31.257,8.684,35.675,87.45,25,82.541,46.335,35.86,68
"Class2",79.348,"A","P",14.618,22.406,61.127,88.27,67,62.148,45.886,28.229,23
"Class5",87.2,"O","I",22.587,14.913,65.545,50.8,11,67.763,61.505,31.716,63
"Class2",78.377,"K","A",33.779,17.955,65.664,87.711,27,53.881,21.477,40.566,24
"Class3",92.126,"K","I",13.727,35.026,39.253,41.263,23,83.465,26.749,51.678,71
"Class3",91.375,"C","C",14.941,NA,42.835,48.024,54,83.033,59.903,48.62,71
"Class2",81.221,"Y","Q",21.405,19.999,45.416,87.498,38,74.016,60.372,53.911,19
"Class4",69.238,"K","Y",32.117,14.785,39.814,90.327,4,62.768,49.741,45.598,82
"Class3",63.996,"R","N",13.4,31.331,41.363,44.355,68,79.043,50.529,53.226,72
"Class3",83.501,"R","J",13.726,49.776,36.439,71.027,56,79.523,50.409,50.925,70
"Class1",81.388,"P","X",32.761,94.073,55.458,67.459,65,40.314,25.366,43.255,93
"Class1",91.311,"H","R",31.956,47.696,68.676,41.83,61,37.656,55.195,46.996,25
"Class4",73.767,"K","D",38.176,7.999,37.113,87.301,7,54.951,23.816,NA,68
"Class4",78.019,"K","D",20.42,6.506,35.902,86.944,24,54.474,18.443,37.434,33
"Class5",83.85,"S","E",24.998,20.299,67.564,58.513,10,58.719,49.905,56.107,53
"Class5",91.36,"N","Y",12.188,35.211,69.013,48.382,11,60.931,62.203,57.192,62
"Class4",73.678,"Q","G",33.551,22.759,38.537,89.906,1,55.663,26.296,36.331,21
"Class2",88.382,"J","C",13.815,19.62,45.397,87.328,38,74.989,43.427,40.131,20
"Class2",86.51,"Y","C",9.859,NA,69.774,88.062,41,63.218,27.614,NA,20
"Class2",88.488,"Y","P",29.476,46.112,14.519,87.828,81,66.696,73.357,50.094,27
"Class4",70.483,"K","G",11.108,9.675,41.965,83.984,11,87.977,35.006,45.186,57
"Class4",77.659,"K","S",42.171,10.753,37.704,84.035,1,70.943,15.835,40.807,51
"Class4",75.174,"U","G",23.92,25.06,36.555,86.886,1,57.495,25.05,43.908,36
"Class1",83.382,"T","X",32.891,61.105,73.747,18.491,61,32.277,28.762,29.182,70
