"FWS1","KXE2","AYC3","YFR4","GBL5","JUT6","WLV7","FJH8","HGF9","YZT10","Output1","COL11"
79.7,60,29.244,86.326,86.412,68,92.139,28.698,38.741,62.056,"Class1","P"
-5.748,44,29.097,38.847,98.981,58,68.949,47.067,64.851,70.422,"Class5","T"
53.637,68,53.983,53.373,6.52,70,74.948,56.096,89.615,50.956,"Class5","J"
90.398,70,28.99,86.51,33.348,68,93.189,28.239,34.335,61.987,"Class1","U"
81.712,67,14.731,60.388,36.553,59,40.281,62.357,81.647,61.266,"Class3","I"
79.479,64,9.672,-0.246,32.99,83,51.589,60.764,81.345,60.905,"Class3","W"
56.66,6,41.731,32.221,63.257,61,35.138,24.543,60.161,48.038,"Class4","J"
75.154,NA,32.579,86.808,81.406,57,82.494,28.399,21.556,82.861,"Class1","P"
56.053,75,84.549,32.436,38.991,75,75.843,84.307,58.628,45.271,"Class2","G"
62.929,86,49.644,22.228,43.253,44,61.549,82.029,70.266,59.923,"Class2","G"
53.673,33,30.648,86.624,29.752,67,78.883,28.237,38.581,43.615,"Class1","U"
85.277,67,17.194,61.57,36.04,83,32.96,62.208,56.421,67.16,"Class3","A"
14.454,64,13.279,69.079,34.73,83,36.558,62.08,66.656,61.117,"Class3","V"
53.566,6,56.891,26.273,68.264,27,27.858,40.779,71.443,58.317,"Class4","B"
43.29,75,32.492,59.341,1.062,56,35.999,45.109,64.457,58.732,"Class5","G"
48.852,36,32.63,86.291,86.384,60,61.852,28.085,27.608,128.327,"Class1","P"
54.866,7,42.034,23.643,66.493,56,15.805,44.917,62.064,54.32,"Class4","B"
34.368,85,36.019,18.85,36.96,58,43.925,88.345,75.522,20.413,"Class2","C"
36.213,68,17.96,93.646,33.984,59,54.312,61.689,39.587,67.217,"Class3","V"
66.51,65,19.291,45.384,33.128,77,21.449,60.792,31.404,63.011,"Class3","S"
60.488,66,34.878,86.666,69.86,66,88.837,29.707,51.06,50.066,"Class1","P"
49.643,5,29.178,28.521,67.881,38,53.123,14.439,45.639,58.828,"Class4","L"
55.833,6,35.337,32.117,66.387,42,31.128,54.231,40.689,56.827,"Class4","F"
17.222,79,27.812,14.197,43.327,47,58.013,86.714,55.548,101.737,"Class2","M"
71.357,54,51.587,86.182,11.221,51,53.932,34.477,94.97,69.706,"Class5","G"
69.744,84,8.726,23.865,34.983,58,72.864,85.876,48.603,66.655,"Class2","M"
9.418,62,10.702,60.227,33.936,54,44.378,NA,84.582,62.169,"Class3","W"
59.465,6,35.283,37.989,65.782,39,44.818,59.14,48.593,48.126,"Class4","B"
59.041,7,39.088,20.317,69.775,27,45.735,68.066,52.547,58.302,"Class4","L"
32.73,67,22.564,7.972,32.65,57,54.938,61.927,63.688,59.044,"Class3","A"
57.767,5,44.082,31.933,63.692,27,19.618,22.928,66.281,47.057,"Class4","B"
59.153,54,33.076,86.737,73.681,82,93.76,31.245,27.268,123.194,"Class1","P"
71.384,67,36.98,86.738,65.822,73,83.491,29.327,10.442,92.544,"Class1","U"
62.032,NA,34.424,86.245,53.149,71,64.821,28.853,27.445,39.493,"Class1","U"
59.522,80,78.804,16.003,40.345,51,40.068,84.74,63.651,64.297,"Class2","G"
34.976,63,41.001,47.56,76.479,55,69.909,47.082,62.896,52.698,"Class5","T"
56.108,7,57.394,38.495,64.82,63,19.49,35.382,57.359,59.001,"Class4","F"
72.445,87,71.092,9.298,42.23,45,63.939,87.298,53.289,66.375,"Class2","S"
68.561,47,30.16,86.849,78.095,75,55.237,28.124,49.6,43.08,"Class1","P"
66.15,97,34.727,24.232,34.96,65,48.63,84.562,76.529,24.989,"Class2","C"
21.188,51,54.589,51.594,39.911,45,61.568,57.444,95.856,59.612,"Class5","Y"
54.387,99,67.583,11.504,35.523,69,48.525,84.029,48.81,52.868,"Class2","G"
58.638,53,37.86,79.984,16.163,46,61.903,64.293,85.229,81.38,"Class5","P"
57.194,74,28.641,11.101,44.77,64,73.33,82.222,58.612,56.728,"Class2","M"
50.502,6,45.519,47.985,73.595,32,18.989,67.326,66.783,35.277,"Class4","J"
39.874,62,20.342,36.816,36.081,79,48.081,61.964,23.206,66.652,"Class3","S"
25.833,66,16.974,65.432,36.198,55,55.274,61.494,58.135,67.459,"Class3","V"
83.247,47,35.313,86.126,56.671,59,86.108,22.978,28.855,54.476,"Class1","U"
88.668,66,36.026,86.828,76.435,59,87.432,32.856,35.239,49.366,"Class1","E"
85.882,75,25.497,18.464,37.459,79,45.929,87.414,70.86,49.797,"Class2","G"
55.726,5,43.339,21.934,70.95,64,22.304,56.22,67.631,65.571,"Class4","L"
82.975,40,29.394,86.462,74.182,61,52.386,29.462,51.723,69.29,"Class1","R"
62.994,50,35.366,86.669,58.419,72,84.781,35.296,26.685,52.832,"Class1","P"
50.194,5,34.061,28.33,71.432,48,38.979,45.961,39.632,56.264,"Class4","L"
86.414,83,16.546,18.677,41.361,51,46.38,88.395,49.523,69.607,"Class2","M"
65.79,65,3.372,57.268,33.103,60,22.498,60.917,57.087,85.348,"Class3","W"
56.212,53,38.426,86.656,41.142,77,92.274,29.192,46.439,83.925,"Class1","U"
93.094,96,10.784,21.128,47.003,46,61.523,86.845,74.335,59.433,"Class2","T"
44.8,84,42.121,61.59,33.226,55,14.745,51.023,73.999,45.358,"Class5","T"
21.126,75,59.299,43.154,41.213,48,47.519,55.142,84.781,89.716,"Class5","T"
42.179,67,12.122,53.668,32.95,69,34.583,61.953,67.427,80.462,"Class3","A"
59.851,64,38.823,86.489,81.128,80,80.189,35.116,15.537,87.128,"Class1","U"
86.476,66,32.42,86.385,62.8,69,87.114,NA,40.142,77.166,"Class1","P"
57.11,76,28.287,45.054,6.9,49,27.215,61.824,75.938,73.764,"Class5","Y"
68.276,NA,31.039,85.86,39.084,82,83.218,32.718,29.139,68.698,"Class1","V"
54.461,6,37.102,41.15,69.753,45,36.082,59.366,42.484,55.47,"Class4","J"
62.29,6,48.44,39.91,70.898,59,22.311,39.251,46.719,49.141,"Class4","L"
69.051,40,30.368,86.493,87.746,79,70.724,28.436,11.993,68.728,"Class1","U"
56.413,6,50.304,15.748,73.866,40,9.813,33.46,59.44,61.229,"Class4","J"
37.923,71,53.507,71.841,13.882,66,63.449,86.722,71.89,64.014,"Class5","G"
41.928,NA,54.113,32.716,34.288,66,66.462,90.959,63.536,63.329,"Class2","M"
33.343,79,19.545,29.427,34.806,62,72.797,82.997,76.306,97.677,"Class2","T"
-27.376,68,19,83.865,33.372,71,37.549,61.445,56.363,69.33,"Class3","S"
32.655,47,44.72,67.917,74.947,44,18.192,26.327,86.77,46.795,"Class5","J"
52.187,6,36.441,21.24,63.736,54,13.186,NA,64.937,58.914,"Class4","B"
87.837,62,37.554,86.734,75.411,80,60.58,21.155,41.221,71.865,"Class1","P"
51.585,7,52.657,33.507,66.147,43,30.165,40.528,70.674,60.202,"Class4","L"
77.43,62,13.483,39.771,35.914,64,40.187,62.054,18.878,55.676,"Class3","S"
54.643,NA,58.991,66.195,67.058,41,43.671,60.034,79.777,58.99,"Class4","L"
55.634,5,35.571,39.345,74.327,44,7.466,39.698,44.645,23.773,"Class4","F"
79.736,45,32.366,49.61,84.081,54,62.697,97.671,98.105,76.01,"Class5","Y"
74.735,50,31.234,86.192,58.721,68,77.015,32.764,26.716,23.126,"Class1","U"
69.307,72,27.222,60.611,35.858,47,34.871,50.05,78.411,64.981,"Class5","P"
4.327,58,49.074,52.157,94.484,46,61.565,69.128,84.277,60.353,"Class5","J"
9.859,63,29.32,62.716,68.9,69,27.048,56.657,63.784,54.226,"Class5","T"
14.74,51,45.969,49.907,50.973,61,57.31,84.331,64.504,56.955,"Class5","Y"
54.591,6,57.186,44.303,68.605,49,32.442,67.896,56.052,56.459,"Class4","F"
45.724,65,34.538,75.353,41.617,54,32.12,117.239,67.692,60.104,"Class5","J"
110.016,81,30.389,16.759,41.787,58,72.404,83.846,74.566,33.444,"Class2","T"
-29.895,67,16.855,29.036,36.844,58,29.592,60.793,80.049,67.284,"Class3","V"
74.303,52,37.342,86.74,81.629,82,84.456,24.382,34.799,44.271,"Class1","P"
12.767,56,24.042,55.565,20.593,52,14.117,70.002,96.107,57.036,"Class5","P"
36.071,57,37.426,72.1,82.763,46,47.754,NA,90.331,84.285,"Class5","T"
56.236,86,42.818,15.638,44.946,64,47.142,82.535,48.081,30.014,"Class2","G"
54.438,7,38.984,33.266,68.344,37,16.109,60.435,60.553,41.566,"Class4","F"
53.638,6,55.43,34.016,67.547,42,45.615,22.47,56.789,52.524,"Class4","B"
61.381,32,37.238,87.016,53.264,60,56.053,30.584,47.329,13.879,"Class1","U"
41.874,64,45.763,59.531,19.066,54,59.506,62.732,71.682,62.481,"Class5","G"
28.726,99,34.628,15.914,47.76,46,56.184,85.247,61.127,34.496,"Class2","G"
55.961,68,17.224,62.218,34.849,57,30.207,60.572,37.782,70.88,"Class3","A"
92.749,51,35.182,86.541,55.931,82,43.964,27.322,36.825,86.853,"Class1","P"
61.13,89,79.77,18.243,41.915,73,43.974,84.558,50.731,42.62,"Class2","C"
76.402,73,75.765,26.426,36.451,48,58.955,85.598,78.059,71.889,"Class2","S"
66.386,94,21.892,19.126,45.12,72,72.055,85.774,73.538,67.495,"Class2","C"
15.181,68,8.408,27.634,36.177,61,45.599,60.191,60.166,74.947,"Class3","V"
75.248,49,38.667,86.907,73.446,54,56.056,25.552,11.705,16.159,"Class1","V"
91.481,50,36.097,86.721,34.923,55,54.193,26.666,20.542,28.128,"Class1","P"
25.903,90,54.456,19.989,43.124,63,56.96,80.776,71.367,52.99,"Class2","C"
19.659,65,3.946,46.847,35.102,79,34.93,62.076,30.568,64.514,"Class3","A"
31.971,59,26.72,50.003,38.565,64,60.123,58.222,91.509,66.019,"Class5","T"
57.863,7,49.411,43.206,66.716,37,13.487,NA,60.529,29.893,"Class4","L"
54.881,6,34.672,25.163,70.083,44,50.428,48.262,81.627,60.816,"Class4","L"
56.419,7,43.908,39.758,70.907,64,46.462,66.602,40.415,72.75,"Class4","E"
50.817,74,65.774,33.971,38.074,65,47.937,84.986,75.104,34.07,"Class2","T"
68.48,64,30.221,86.752,83.186,58,48.642,18.874,24.819,123.257,"Class1","R"
56.301,7,29.176,46.324,65.48,65,54.717,7.023,42.662,36.38,"Class4","E"
52.836,5,49.634,41.868,70.416,60,26.6,36.061,80.778,57.989,"Class4","B"
47.799,82,15.02,18.858,37.866,54,75.906,NA,54.534,56.994,"Class2","M"
71.103,70,29.814,86.43,37.032,66,69.665,25.049,43.578,61.523,"Class1","R"
49.154,93,19.631,11.222,42.514,63,56.992,NA,56.276,24.757,"Class2","G"
75.444,40,31.848,86.689,59.208,61,86.975,25.588,49.6,71.903,"Class1","E"
65.274,44,34.463,72.799,20.875,45,22.83,76.781,59.429,87.834,"Class5","J"
21.171,53,35.988,66.735,39.96,42,69.986,60.924,73.793,80.912,"Class5","J"
58.819,7,33.749,19.393,63.772,37,37.173,39.558,60.294,54.214,"Class4","F"
41.215,94,17.089,15.894,39.863,57,42.813,82.356,81.536,17.297,"Class2","T"
17.365,78,56.165,17.149,40.958,57,40.527,82.164,72.398,8.75,"Class2","S"
74.229,97,65.566,11.83,47.472,54,45.225,87.111,79.716,71.781,"Class2","T"
17.612,66,5.009,113.043,35.761,63,24.831,62.578,73.048,68.608,"Class3","W"
8.904,64,21.218,32.201,32.765,92,43.566,61.114,61.165,50.523,"Class3","I"
82.103,55,31.184,86.546,25.608,67,71.476,26.538,36.451,56.855,"Class1","R"
9.495,73,43.54,61.712,80.79,61,53.963,34.702,71.651,46.227,"Class5","G"
14.449,62,14.733,74.032,36.93,69,27.359,62.742,34.24,79.885,"Class3","A"
46.798,66,10.631,33.774,34.495,74,46.091,62.495,69.76,62.392,"Class3","S"
17.497,66,13.816,38.117,32.648,61,41.077,61.505,48.99,72.565,"Class3","A"
89.216,37,31.251,86.282,21.597,79,75.216,26.071,13.991,80.546,"Class1","P"
64.638,65,9.738,73.543,32.949,65,33.476,61.125,22.62,66.447,"Class3","V"
56.207,5,47.598,42.627,66.813,67,31.802,68.025,53.155,45.226,"Class4","L"
86.35,65,22.75,32.602,34.944,61,48.283,61.821,59.909,62.314,"Class3","V"
36.698,66,14.115,-18.466,34.128,89,38.088,60.447,73.898,59.48,"Class3","V"
66.942,85,34.403,38.569,43.357,52,55.48,83.891,56.823,17.918,"Class2","M"
58.588,5,58.382,29.259,63.782,40,34.561,69.838,59.068,48.051,"Class4","B"
67.794,78,27.602,32.106,34.943,77,76.133,91.732,67.944,7.837,"Class2","C"
65.18,41,35.811,86.603,38.818,63,83.705,29.979,44.584,86.732,"Class1","E"
92.489,44,32.489,86.275,74.614,70,52.945,36.586,42.557,35.163,"Class1","E"
59.446,65,22.127,25.532,36.604,69,50.756,63.165,27.617,54.858,"Class3","V"
59.78,7,46.798,49.875,71.569,53,16.634,57.63,72.072,54.359,"Class4","L"
72.138,63,33.627,86.783,45.737,83,44.507,30.491,34.543,67.394,"Class1","U"
57.218,98,72.487,16.508,42.922,57,66.437,85.008,66.343,65.149,"Class2","M"
73.678,39,37.198,86.505,72.364,71,65.877,19.756,44.375,36.026,"Class1","U"
57.616,6,53.484,38.597,68.163,63,29.856,63.398,39.586,59.145,"Class4","E"
74.589,41,28.618,86.495,60.793,83,71.024,28.559,49.908,58.501,"Class1","V"
55.388,5,41.537,46.688,67.408,62,26.555,17.188,46.55,47.284,"Class4","J"
53.103,7,46.141,19.554,63.775,27,52.78,45.805,50.629,59.674,"Class4","F"
33.802,57,52.818,34.047,83.033,46,39.603,43.143,99.682,78.54,"Class5","P"
52.875,7,31.614,37.289,72.467,54,15.495,65.085,67.441,48.517,"Class4","L"
59.642,6,47.255,59.446,69.853,48,9.404,37.807,63.85,74.154,"Class4","B"
93.516,63,8.215,68.054,35.365,66,38.111,62.175,46.447,68.132,"Class3","W"
52.095,6,30.255,46.832,65.108,57,20.349,30.624,46.185,50.923,"Class4","B"
19.909,66,25.886,60.398,6.193,67,59.494,NA,90.477,71.557,"Class5","T"
73.974,46,33.825,86.178,71.3,56,49.424,37.775,30.89,33.395,"Class1","P"
86.652,93,55.014,24.042,34.512,72,40.207,84.363,69.431,124.174,"Class2","S"
57.765,45,33.067,87.115,70.658,80,69.054,29.347,26.1,108.647,"Class1","V"
57.035,7,35.489,34.87,74.309,37,27.256,56.67,47.111,55.126,"Class4","L"
-9.554,62,8.345,70.544,36.462,79,51.649,60.847,43.837,66.44,"Class3","A"
44.739,95,56.872,20.489,40.327,79,51.673,85.812,81.879,47.872,"Class2","M"
73.59,95,21.261,24.502,47.507,69,44.772,88.653,55.173,42.316,"Class2","M"
25.308,46,42.503,60.788,75.139,60,31.572,67.536,83.927,62.62,"Class5","P"
61.429,51,30.99,85.708,26.983,66,79.217,27.712,48.871,27.013,"Class1","V"
68.106,65,35.966,86.93,61.423,82,76.712,29.769,18.957,50.711,"Class1","R"
54.505,63,22.409,40.769,35.754,81,21.53,60.536,83.291,52.405,"Class3","A"
16.062,62,48.739,65.058,87.865,52,42.126,7.054,74.259,74.376,"Class5","Y"
26.414,80,50.892,68.046,50.848,55,50.909,63.125,89.357,65.231,"Class5","Y"
-20.667,67,18.027,44.443,35.528,65,35.936,60.328,51.65,67.615,"Class3","A"
62.965,7,57.465,37.61,68.69,63,26.043,54.886,55.841,50.139,"Class4","J"
-35.373,67,11.257,38.884,33.95,75,47.888,62.957,21.644,64.647,"Class3","S"
41.3,73,37.669,8.765,40.41,62,47.075,81.592,61.028,93.154,"Class2","M"
40.338,67,21.065,70.482,36.944,69,21.094,60.346,33.593,81.457,"Class3","S"
103.098,75,26.525,16.509,34.135,57,43.866,88.541,73.355,70.512,"Class2","M"
37.918,61,52.657,49.373,39.976,59,13.69,48.562,97.104,71.177,"Class5","J"
52.806,5,43.502,30.749,72.481,36,33.872,NA,75.521,49.78,"Class4","L"
48.584,5,33.437,34.772,64.102,46,21.234,24.688,66.859,64.297,"Class4","L"
58.528,6,51.012,23.586,68.959,65,22.878,85.179,56.185,56.311,"Class4","L"
54.368,5,38.286,41.99,66.892,33,16.104,30.704,76.669,58.317,"Class4","F"
54.611,5,34.864,52.829,66.466,31,45.538,57.384,72.91,63.125,"Class4","F"
38.328,79,81.957,26.589,45.55,55,58.305,88.749,68.761,73.13,"Class2","T"
49.195,5,37.592,39.852,65.146,35,22.57,59.863,42.367,61.084,"Class4","J"
45.502,63,12.925,82.526,36.53,83,37.334,62.267,75.975,71.99,"Class3","S"
70.964,65,14.864,14.139,32.754,58,28.073,61.406,58.306,68.865,"Class3","V"
51.974,42,28.544,39.348,7.821,52,54.116,109.936,88.131,64.947,"Class5","J"
57.141,5,48.09,12.401,63.86,28,50.554,56.182,55.004,60.867,"Class4","L"
19.241,53,54.276,70.469,10.043,49,53.151,17.46,76.91,85.402,"Class5","J"
76.768,77,34.406,30.117,82.513,55,14.867,45.135,70.743,83.322,"Class5","J"
24.985,57,24.318,61.082,29.86,57,68.453,60.439,85.401,69.512,"Class5","Y"
26.089,NA,57.018,28.607,44.391,59,66.487,87.71,58.412,17.931,"Class2","M"
63.649,6,33.42,33.78,64.152,62,24.791,39.914,69.909,37.081,"Class4","B"
94.593,69,35.649,85.868,87.887,67,84.513,38.867,10.125,11.114,"Class1","V"
61.81,38,34.892,40.452,10.201,50,56.873,99.636,88.1,60.976,"Class5","G"
-19.787,64,3.159,55.353,34.61,72,48.701,61.52,42.705,72.801,"Class3","W"
62.086,65,14.781,66.597,36.626,55,24.155,62.31,26.66,59.842,"Class3","V"
66.107,36,38.164,86.461,26.304,70,79.158,29.969,24.866,52.63,"Class1","U"
76.928,42,54.757,41.186,81.812,54,54.544,50.226,60.251,74.025,"Class5","T"
97.527,NA,14.623,21.948,45.404,47,73.264,86.203,72.377,61.223,"Class2","M"
1.403,85,57.079,52.445,80.641,43,24.528,89.579,99.416,79.989,"Class5","J"
63.145,37,32.696,85.798,51.642,56,43.177,22.112,17.367,21.63,"Class1","R"
-6.984,81,40.649,46.708,0.456,61,44.571,68.333,89.642,88.81,"Class5","J"
22.417,57,51.247,61.368,36.795,46,46.174,58.275,94.689,63.938,"Class5","T"
57.376,68,10.875,83.748,34.051,83,48.473,60.764,80.218,70.876,"Class3","W"
61.329,66,12.758,93.625,34.801,84,26.061,58.702,67.851,79.041,"Class3","S"
84.365,65,7.091,36.618,36.599,61,52.731,60.2,41.991,56.548,"Class3","V"
55.855,6,41.957,36.993,72.724,38,11.373,18.706,44.41,30.245,"Class4","E"
62.11,54,35.09,86.529,84.966,69,74.037,26.754,6.998,73.255,"Class1","V"
53.091,6,56.465,39.536,67.782,42,47.752,36.474,61.579,61.438,"Class4","J"
87.019,68,14.307,65.968,36.247,78,51.927,62.077,73.275,60.213,"Class3","I"
76.289,NA,16.013,62.042,32.095,62,37.97,61.815,68.08,60.887,"Class3","I"
34.487,52,32.427,40.522,88.076,51,25.202,65.525,87.03,75.073,"Class5","J"
58.54,6,38.669,26.892,68.217,52,51.885,64.186,62.161,42.177,"Class4","B"
57.6,98,55.785,24.948,42.742,71,62.247,88.384,67.267,50.357,"Class2","T"
76.353,65,38.396,86.735,60.196,76,53.761,30.623,42.183,53.719,"Class1","P"
57.843,78,34.074,14.069,34.432,79,48.873,NA,64.861,79.421,"Class2","C"
7.677,68,22.846,6.579,36.125,62,21.757,62.011,39.524,59.332,"Class3","S"
122.466,79,77.598,5.436,37.81,53,40.396,88.358,49.417,40.582,"Class2","C"
73.704,38,32.601,85.868,58.048,52,57.442,29.902,30.994,59.457,"Class1","U"
57.715,69,44.85,43.352,56.729,65,15.373,90.936,77.103,58.862,"Class5","J"
72.31,79,48.519,51.835,91.729,52,50.659,79.803,71.237,69.36,"Class5","J"
18.92,NA,50.996,71.734,1.219,46,65.901,102.864,99.633,76.11,"Class5","P"
54.206,6,31.141,34.372,63.733,49,54.416,50.919,85.338,46.509,"Class4","F"
72.339,64,31.797,86.47,76.173,79,70.327,18.467,19.96,13.581,"Class1","E"
23.234,NA,41.542,12.062,34.071,76,55.294,82.361,58.052,20.136,"Class2","T"
60.578,5,37.386,29.411,74.959,55,18.802,52.731,70.705,52.269,"Class4","L"
52.19,5,56.127,49.698,68.549,62,31.848,18.878,41.809,74.237,"Class4","B"
55.396,NA,38.324,30.448,74.449,46,31.69,79.184,40.442,51.289,"Class4","B"
52.288,NA,38.3,86.524,25.044,58,75.083,28.974,37.344,73.028,"Class1","V"
50.949,88,24.56,12.517,47.169,69,75.007,86.799,58.661,8.426,"Class2","S"
38.447,53,41.754,60.367,3.81,67,19.858,56.102,65.133,80.117,"Class5","Y"
68.172,59,36.873,86.219,79.063,83,87.835,26.534,22.7,58.936,"Class1","V"
54.237,5,32.95,35.353,73.828,56,28.758,47.87,85.499,28.613,"Class4","B"
69.351,70,34.826,86.278,73.799,82,80.483,27.304,31.12,80.612,"Class1","U"
46.456,85,50.949,16.857,40.394,76,50.319,87.371,48.395,31.059,"Class2","C"
86.506,58,28.484,87.165,56.413,78,62.954,25.249,14.823,76.714,"Class1","R"
19.525,66,17.077,-13.781,34.106,84,42.169,62.06,63.888,67.573,"Class3","W"
18.694,78,20.461,18.244,34.971,44,66.934,89.376,62.505,56.564,"Class2","G"
54.481,7,52.621,37.095,67.497,33,54.585,50.361,79.729,42.796,"Class4","F"
62.086,6,50.766,40.792,71.29,56,26.696,56.502,49.76,29.141,"Class4","F"
51.07,64,21.71,59.47,36.65,91,54.073,60.615,35.802,67.403,"Class3","V"
17.689,63,5.25,68.661,34.952,76,34.157,59.527,24.303,73.066,"Class3","I"
57.152,56,54.959,43.054,23.74,48,63.039,85.482,77.205,75.367,"Class5","Y"
67.877,64,21.687,75.363,35.52,58,54.125,NA,36.833,66.276,"Class3","S"
56.111,NA,32.448,21.388,74.07,42,21.476,33.404,65.254,40.489,"Class4","F"
37.976,79,25.585,11.351,39.486,82,76.519,81.983,74.76,59.027,"Class2","T"
55.873,93,17.565,27.337,46.679,44,59.728,86.12,61.93,92.814,"Class2","C"
43.791,76,55.005,5.975,41.268,79,47.107,85.882,67.653,42.886,"Class2","G"
44.662,85,54.822,59.439,39.747,47,17.923,48.217,97.528,69.629,"Class5","P"
52.912,5,34.188,27.883,69.763,33,36.777,20.367,63.048,43.89,"Class4","F"
64.819,58,41.098,45.07,31.139,51,75.937,88.363,67.412,52.748,"Class5","P"
58.697,62,15.058,19.466,35.844,64,33.608,61.799,36.854,73.744,"Class3","W"
35.199,65,5.287,10.865,32.22,73,43.498,60.564,55.09,74.33,"Class3","I"
58.552,75,59.302,14.979,35.11,54,63.279,89.332,60.108,62.61,"Class2","S"
59.301,66,18.92,25.566,35.183,91,55.795,60.043,31.23,53.215,"Class3","S"
20.906,76,45.787,61.274,45.561,68,59.258,61.467,62.673,77.645,"Class5","P"
38.164,58,29.653,71.939,64.729,55,53.502,20.434,78.725,60.025,"Class5","T"
70.308,43,34.987,86.651,84.013,69,42.589,17.192,40.327,3.755,"Class1","R"
73.188,88,80.024,17.165,42.798,63,73.541,82.658,81.634,74.452,"Class2","G"
10.3,62,11.039,22.822,33.794,80,28.342,60.109,36.076,72.091,"Class3","W"
55.529,7,42.774,30.106,64.147,45,54.551,50.194,41.491,45.057,"Class4","B"
86.552,67,5.654,53.236,34.556,83,45.329,61.95,26.714,60.356,"Class3","S"
44.472,87,19.832,18.277,39.701,80,49.841,78.639,58.602,19.36,"Class2","C"
71.173,63,21.847,15.781,32.441,54,42.668,61.282,33.625,78.222,"Class3","A"
12.666,64,22.104,30.191,36.32,89,27.21,63.283,46.369,65.811,"Class3","S"
54.425,6,31.95,49.777,68.031,49,30.515,31.438,52.815,54.615,"Class4","B"
8.912,65,46.168,66.177,34.711,56,30.266,88.352,82.507,57.68,"Class5","G"
45.472,61,37.284,53.938,88.606,45,17.473,57.999,80.417,54.077,"Class5","T"
87.051,65,16.353,34.029,35.621,59,36.597,62.227,44.836,72.093,"Class3","I"
62.35,40,36.085,85.876,65.992,72,77.768,31.76,38.16,23.233,"Class1","V"
24.107,80,48.819,51.12,8.73,46,17.619,115.061,87.961,82.848,"Class5","T"
69.856,64,3.333,69.077,32.503,83,49.753,61.21,63.755,54.543,"Class3","W"
59.759,6,44.978,29.325,65.895,41,49.804,NA,69.459,72.199,"Class4","E"
